apg	apg	apg	apg		N;INDF;MASC;SG
owoc	fructul	owoc	fruct	N;NOM;MASC;SG	N;DEF;MASC;SG
owoc	fructe	owoc	fruct	N;NOM;MASC;SG	N;INDF;FEM;PL
owoc	fructele	owoc	fruct	N;NOM;MASC;SG	N;DEF;FEM;PL
empire	empire	empir	empire		N;INDF;MASC;SG
empire	imperiul	empir	imperiu		N;DEF;MASC;SG
empire	imperiu	empir	imperiu		N;INDF;MASC;SG
empire	imperiului	empir	imperiu		N;DEF;MASC;SG
pióra	penele	pióra	penă	N;ACC;NEUT;PL	N;DEF;FEM;PL
ski	schi	skiot	schi		N;INDF;MASC;SG
okręgów	districtele	okręg	district	N;GEN;MASC;PL	N;DEF;FEM;PL
regularne	regulata	regularny	regulată	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
regularne	regulate	regularny	regulat	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
regularne	regulat	regularny	regulat	ADJ;NOM;NEUT;SG	ADV
break	break	break	break		N;INDF;MASC;SG
break	rupe	break	rupe		V;IND;SG;3;PRS;FIN
break	pauza	break	pauză		N;DEF;FEM;SG
break	sparge	break	sparge		V;IND;SG;3;PRS;FIN
break	pauza	break	pauză		N;DEF;FEM;SG
druku	imprimare	druk	imprimare	N;GEN;MASC;SG	N;INDF;FEM;SG
druku	imprimarea	druk	imprimare	N;GEN;MASC;SG	N;DEF;FEM;SG
druku	tiparire	druk	tiparire	N;GEN;MASC;SG	N;INDF;FEM;SG
zasoby	resursa	zasóba	resursă	N;NOM;MASC;PL	N;DEF;FEM;SG
zasoby	resursa	zasóba	resursă	N;NOM;MASC;PL	N;DEF;FEM;SG
zasoby	resursele	zasóba	resursă	N;NOM;MASC;PL	N;DEF;FEM;PL
zasoby	stocul	zasóba	stoc	N;NOM;MASC;PL	N;DEF;MASC;SG
zasoby	stoc	zasóba	stoc	N;NOM;MASC;PL	N;INDF;MASC;SG
ran	rana	rana	rană		N;DEF;FEM;SG
ran	rana	rana	rană		N;DEF;FEM;SG
ran	ranile	rana	rană		N;DEF;FEM;PL
objętości	volumul	objętość	volum	N;GEN;FEM;SG	N;DEF;MASC;SG
objętości	volume	objętość	volum	N;GEN;FEM;SG	N;INDF;FEM;PL
objętości	volumele	objętość	volum	N;GEN;FEM;SG	N;DEF;FEM;PL
radosław	radosław	radosław	radospaw	PROPN;NOM;MASC;SG	
czystości	puritate	czystość	puritate	N;GEN;FEM;SG	N;INDF;FEM;SG
czystości	puritatea	czystość	puritate	N;GEN;FEM;SG	N;DEF;FEM;SG
oskar	oscar	oskar	oscar	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
oskar	oskar	oskar	oskar	PROPN;NOM;MASC;SG	PROPN
szczęścia	norocul	szczęście	noroc	N;GEN;NEUT;SG	N;DEF;MASC;SG
szczęścia	fericirea	szczęście	fericire	N;GEN;NEUT;SG	N;DEF;FEM;SG
szczęścia	fericire	szczęście	fericire	N;GEN;NEUT;SG	N;INDF;FEM;SG
modlitwa	rugaciuni	modlitwa	rugaciune	N;NOM;FEM;SG	N;INDF;FEM;PL
modlitwa	rugaciunile	modlitwa	rugaciune	N;NOM;FEM;SG	N;DEF;FEM;PL
modlitwa	rugaciune	modlitwa	rugaciune	N;NOM;FEM;SG	N;INDF;FEM;SG
modlitwa	rugaciunea	modlitwa	rugaciune	N;NOM;FEM;SG	N;DEF;FEM;SG
modlitwa	rugaciunea	modlitwa	rugaciune	N;NOM;FEM;SG	N;DEF;FEM;SG
modlitwa	rugaciune	modlitwa	rugaciune	N;NOM;FEM;SG	N;INDF;FEM;SG
marine	marin	mariny	marin		N;INDF;MASC;SG
marine	marina	mariny	marină		N;DEF;FEM;SG
marine	marine	mariny	marin		N;INDF;FEM;PL
rasa	rasa	rasa	rasă	N;NOM;FEM;SG	N;DEF;FEM;SG
rasa	rasa	rasa	rasă	N;NOM;FEM;SG	N;DEF;FEM;SG
rasa	rasa	rasa	rasă	N;NOM;FEM;SG	N;DEF;FEM;SG
rasa	cursa	rasa	cursă	N;NOM;FEM;SG	N;DEF;FEM;SG
rasa	rasa	rasa	rasă	N;NOM;FEM;SG	N;DEF;FEM;SG
rasa	race	rasa	race	N;NOM;FEM;SG	
rasa	cursa	rasa	cursă	N;NOM;FEM;SG	N;DEF;FEM;SG
tymczasowy	temporare	tymczasowy	temporare	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
tymczasowy	temporara	tymczasowy	temporar	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
tymczasowy	temporar	tymczasowy	temporar	ADJ;NOM;MASC;SG	ADV
tymczasowy	temporara	tymczasowy	temporar	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
tymczasowy	interimar	tymczasowy	interimar	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
tymczasowy	provizorii	tymczasowy	provizoriu	ADJ;NOM;MASC;SG	ADJ;INDF;PL
tymczasowy	provizoriu	tymczasowy	provizoriu	ADJ;NOM;MASC;SG	ADV
tymczasowy	provizorie	tymczasowy	provizorie	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
satelita	satelitul	satelita	satelit	N;NOM;MASC;SG	N;DEF;MASC;SG
pérez	pérez	porez	pérez	PROPN;NOM;MASC;SG	PROPN
era	epoca	era	epocă		N;DEF;FEM;SG
lang	lang	lang	lang		PROPN
królowie	regilor	król	regilor	N;NOM;MASC;PL	N;DEF;MASC;PL
królowie	kings	król	kings	N;NOM;MASC;PL	N;INDF;MASC;SG
pascal	pascal	pascal	pascal		N;INDF;MASC;SG
pomógł	ajutat	pomóc	ajuta	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;MASC;SG
gridcolor	gridcolor	gridcolor	gridcolor		N;INDF;MASC;SG
dyskografia	discografia	dyskografia	discografie	N;NOM;FEM;SG	N;DEF;FEM;SG
koń	calul	koń	cal	N;NOM;MASC;SG	N;DEF;MASC;SG
koń	horse	koń	horsă	N;NOM;MASC;SG	
pacjenta	pacienta	pacjent	pacientă	N;ACC;MASC;SG	N;DEF;FEM;SG
pacjenta	pacientul	pacjent	pacient	N;ACC;MASC;SG	N;DEF;MASC;SG
pacjenta	pacienta	pacjent	pacientă	N;ACC;MASC;SG	N;DEF;FEM;SG
potrzebna	nevoie	potrzebny	nevoie	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
potrzebna	nevoie	potrzebny	nevoie	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
uderzenie	impactul	uderzenie	impact	N;NOM;NEUT;SG	N;DEF;MASC;SG
uderzenie	lovit	uderzenie	lovi	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
uderzenie	loveste	uderzenie	lovest	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
popełnił	comis	popełnić	comite	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;MASC;SG
popełnił	comise	popełnić	comite	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;PST;FIN
piaski	sands	piasek	sands		N;INDF;MASC;SG
piaski	nisipuri	piasek	nisip		N;INDF;FEM;PL
piaski	nisipurile	piasek	nisip		N;DEF;FEM;PL
annie	annie	annie	annie		PROPN
secret	secreta	secret	secret		N;DEF;FEM;SG
secret	secret	secret	secret		N;INDF;MASC;SG
secret	secreta	secret	secret		N;DEF;FEM;SG
secret	secrete	secret	secret		N;INDF;FEM;PL
secret	secretul	secret	secret		N;DEF;MASC;SG
polecenia	comenzi	polecenie	comandă	N;NOM;NEUT;SG	N;INDF;FEM;PL
polecenia	comanda	polecenie	comandă	N;NOM;NEUT;SG	N;DEF;FEM;SG
polecenia	comanda	polecenie	comandă	N;NOM;NEUT;SG	N;DEF;FEM;SG
fortu	fortul	fort	fort	N;GEN;MASC;SG	N;DEF;MASC;SG
aleksandrii	alexandria	aleksandria	alexandrie	N;GEN;FEM;SG	PROPN
praktyka	practici	praktyka	practică	N;NOM;FEM;SG	N;INDF;FEM;PL
praktyka	exerseaza	praktyka	exersa	N;NOM;FEM;SG	V;IND;SG;3;IPFV;FIN
praktyka	practica	praktyka	practică	N;NOM;FEM;SG	N;DEF;FEM;SG
praktyka	practica	praktyka	practică	N;NOM;FEM;SG	N;DEF;FEM;SG
sainte	sainte	sainty	sainte	V;IPFV;IND;SG;2;PRS;FIN;ACT	PROPN
środowisk	mediile	środowisko	medie	N;GEN;NEUT;PL	N;DEF;FEM;PL
ska	ska	sko	ska		N;INDF;MASC;SG
zaangażowany	implicate	zaangażować	implicat	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
zaangażowany	implicata	zaangażować	implica	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
zaangażowany	comise	zaangażować	comite	ADJ;NOM;MASC;SG	V;IND;PL;3;PST;FIN
pomiarów	masuratorile	pomiar	masurator	N;GEN;MASC;PL	N;DEF;FEM;PL
renesansu	renascentist	renesans	renascentist	N;GEN;MASC;SG	ADJ;INDF;MASC;SG
częste	comuna	częsty	comună		N;DEF;FEM;SG
częste	comun	częsty	comun		ADJ;INDF;MASC;SG
częste	comuna	częsty	comună		N;DEF;FEM;SG
częste	frecvente	częsty	frecvent		ADJ;INDF;FEM;PL
grażyna	grażyna	grażyna	grażyna	PROPN;NOM;FEM;SG	
jelita	intestinele	jelita	intestin		N;DEF;FEM;PL
jelita	intestinul	jelita	intestin		N;DEF;MASC;SG
jelita	intestinului	jelita	intestin		N;DEF;MASC;SG
jelita	intestinul	jelita	intestin		N;DEF;MASC;SG
jelita	intestinale	jelita	intestinal		ADJ;INDF;FEM;PL
jelita	intestinal	jelita	intestinal		ADJ;INDF;MASC;SG
jelita	intestinala	jelita	intestinal		N;DEF;FEM;SG
jelita	intestinele	jelita	intestin		N;DEF;FEM;PL
zdrowie	sanatate	zdrowie	sanata	N;NOM;NEUT;SG	N;INDF;FEM;SG
zdrowie	sanatatea	zdrowie	sanatate	N;NOM;NEUT;SG	N;DEF;FEM;SG
zdrowie	sanatate	zdrowie	sanata	N;NOM;NEUT;SG	N;INDF;FEM;SG
cbs	cbs	cbs	cbs		PROPN
rolnicze	agricole	rolniczy	agricol	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
charakteryzują	caracterizeaza	charakteryzować	caracterizează	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
partnerem	partenere	partner	partenere	N;INS;MASC;SG	ADJ;INDF;FEM;PL
partnerem	partenera	partner	parteneră	N;INS;MASC;SG	N;DEF;FEM;SG
partnerem	partenerul	partner	partener	N;INS;MASC;SG	N;DEF;MASC;SG
przedstawiono	prezentat	przedstawić	prezenta	V;PFV;IND;0;PST;FIN;ACT	ADJ;INDF;MASC;SG
przedstawiono	prezentata	przedstawić	prezenta	V;PFV;IND;0;PST;FIN;ACT	ADJ;DEF;FEM;SG
przedstawiono	prezentate	przedstawić	prezentat	V;PFV;IND;0;PST;FIN;ACT	ADJ;INDF;FEM;PL
honoru	onoare	honor	onoare	N;GEN;MASC;SG	N;INDF;FEM;SG
honoru	onoarea	honor	onoare	N;GEN;MASC;SG	N;DEF;FEM;SG
honoru	onoare	honor	onoare	N;GEN;MASC;SG	N;INDF;FEM;SG
honoru	onoarea	honor	onoare	N;GEN;MASC;SG	N;DEF;FEM;SG
square	patrat	squary	patrat		N;INDF;MASC;SG
square	square	squary	square		N;INDF;MASC;SG
square	patrat	squary	patrat		N;INDF;MASC;SG
odrębne	distincta	odrębny	distincta	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
odrębne	distincte	odrębny	distinct	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
odrębne	separa	odrębny	separa	ADJ;NOM;NEUT;SG	V;IND;SG;3;IPFV;FIN
odrębne	separata	odrębny	separată	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
odrębne	separate	odrębny	separat	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
obydwa	amandoua	obydwa	amandoi	V;IPFV;IND;SG;PST;FIN;ACT	
obydwa	amandoi	obydwa	amandoi	V;IPFV;IND;SG;PST;FIN;ACT	
obydwa	ambele	obydwa	ambii	V;IPFV;IND;SG;PST;FIN;ACT	NUM;FEM;PL
obydwa	amandoua	obydwa	amandoi	V;IPFV;IND;SG;PST;FIN;ACT	
czaszki	craniile	czaszki	craniu	N;ACC;FEM;PL	N;DEF;FEM;PL
czaszki	craniu	czaszki	craniu	N;ACC;FEM;PL	N;INDF;MASC;SG
czaszki	skull	czaszki	skull	N;ACC;FEM;PL	N;INDF;MASC;SG
czaszki	craniul	czaszki	craniu	N;ACC;FEM;PL	N;DEF;MASC;SG
fischer	fischer	fischer	fischer		PROPN
białek	proteinele	białek	proteină		N;DEF;FEM;PL
białek	proteine	białek	proteină		N;INDF;FEM;PL
publiczny	publice	publiczny	public	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
publiczny	publica	publiczny	publica	ADJ;NOM;MASC;SG	V;IND;SG;3;IPFV;FIN
mail	mail	mail	mail		N;INDF;MASC;SG
mail	posta	mail	postă		N;DEF;FEM;SG
mail	posta	mail	postă		N;DEF;FEM;SG
tronie	tronul	trona	tron	N;DAT;MASC;SG	N;DEF;MASC;SG
tronie	tron	trona	tron	N;DAT;MASC;SG	
kogo	cine	kto	cine	PRO;ACC;MASC;SG	PRO;3
kogo	care	kto	care	PRO;ACC;MASC;SG	PRO;3
francuz	francez	francuz	francez	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
francuz	francezul	francuz	francez	N;NOM;MASC;SG	N;DEF;MASC;SG
heaven	ceruri	heaven	cer		N;INDF;FEM;PL
heaven	raiul	heaven	rai		N;DEF;MASC;SG
cen	cen	cen	cen		N;INDF
rozkładu	descompunerea	rozkład	descompunere	N;GEN;MASC;SG	N;DEF;FEM;SG
rozkładu	descompunere	rozkład	descompunere	N;GEN;MASC;SG	N;INDF;FEM;SG
piła	baut	pić	baut		N;INDF;MASC;SG
piła	baut	pić	baut		N;INDF;MASC;SG
piła	vazut	pić	vaz		ADJ;INDF;MASC;SG
piła	fierastrau	pić	fierastra		V;IND;PL;3;IPFV;FIN
piła	ferastrau	pić	ferastra		N;DEF;FEM;SG
śniegu	zapada	śnieg	zapadă	N;GEN;MASC;SG	N;DEF;FEM;SG
śniegu	ninsoare	śnieg	ninsoare	N;GEN;MASC;SG	N;INDF;FEM;SG
śniegu	zapada	śnieg	zapadă	N;GEN;MASC;SG	N;DEF;FEM;SG
śniegu	zapada	śnieg	zapadă	N;GEN;MASC;SG	N;DEF;FEM;SG
damian	damian	damian	damian	PROPN;NOM;MASC;SG	PROPN
istoty	fiinte	istota	fiinte	N;ACC;FEM;SG	N;INDF;FEM;PL
istoty	fiinte	istota	fiinte	N;ACC;FEM;SG	N;INDF;FEM;PL
istoty	creaturile	istota	creatură	N;ACC;FEM;SG	N;DEF;FEM;PL
istoty	creaturi	istota	creatură	N;ACC;FEM;SG	N;INDF;FEM;PL
ołtarzu	altarul	ołtarz	altar	N;INS;MASC;SG	N;DEF;MASC;SG
policjant	cop	policjant	cop	N;NOM;MASC;SG	
toledo	toledo	toledo	toledo		PROPN
cannes	cannes	cannes	cannes		N;INDF;MASC;SG
geschichte	geschichte	geschicht	geschichte		N;INDF;MASC;SG
gospodarstwo	ferma	gospodarstwo	fermă	N;NOM;NEUT;SG	N;DEF;FEM;SG
gospodarstwo	ferma	gospodarstwo	fermă	N;NOM;NEUT;SG	N;DEF;FEM;SG
wiosce	satul	wioska	sat	N;DAT;FEM;SG	N;DEF;MASC;SG
wiosce	village	wioska	villag	N;DAT;FEM;SG	PROPN
wiosce	satului	wioska	sat	N;DAT;FEM;SG	N;DEF;MASC;SG
teologiczne	teologice	teologiczny	teologic	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
ograniczona	limited	ograniczony	limited	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
ograniczona	limitate	ograniczony	limitat	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
ograniczona	limitata	ograniczony	limitat	ADJ;NOM;FEM;SG	ADJ;DEF;FEM;SG
dem	dem	dem	dem		N;INDF;MASC;SG
potwierdzenie	confirmarea	potwierdzenie	confirmare	N;NOM;NEUT;SG	N;DEF;FEM;SG
potwierdzenie	confirmare	potwierdzenie	confirmare	N;NOM;NEUT;SG	N;INDF;FEM;SG
management	gestionare	management	gestionare		N;INDF;FEM;SG
management	conducerea	management	conducere		N;DEF;FEM;SG
management	managementul	management	management		N;DEF;MASC;SG
management	gestionarea	management	gestionare		N;DEF;FEM;SG
management	management	management	management		N;INDF;MASC;SG
split	impartit	split	imparti		V;MASC;SG;V.PTCP
split	divizat	split	diviza		ADJ;INDF;MASC;SG
split	split	split	split		N;INDF;MASC;SG
split	imparte	split	imparte		V;IND;SG;3;PRS;FIN
kenneth	kenneth	kenneth	kenneth	N;NOM;MASC;SG	PROPN
przeżył	supravietuit	przeżyć	supravietui	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;MASC;SG
przeżył	supravietuit	przeżyć	supravietui	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;MASC;SG
sosna	pine	sosna	pine		N;INDF;MASC;SG
sosna	pin	sosna	pin		N;INDF;MASC;SG
paragwaju	paraguay	paragwaj	paraguay	N;GEN;MASC;SG	PROPN
bunt	revolta	bunt	revolta	N;NOM;MASC;SG	N;DEF;FEM;SG
bunt	revolta	bunt	revolta	N;NOM;MASC;SG	N;DEF;FEM;SG
bunt	revolta	bunt	revolta	N;NOM;MASC;SG	N;DEF;FEM;SG
bunt	revolta	bunt	revolta	N;NOM;MASC;SG	N;DEF;FEM;SG
bunt	rebeliune	bunt	rebeliune	N;NOM;MASC;SG	N;INDF;FEM;SG
bunt	rebeliunea	bunt	rebeliune	N;NOM;MASC;SG	N;DEF;FEM;SG
pete	pete	pete	pată	PROPN;NOM;MASC;SG	N;INDF;FEM;PL
suche	usca	suchy	usca		V;IND;SG;3;IPFV;FIN
suche	uscate	suchy	uscat		ADJ;INDF;FEM;PL
suche	uscat	suchy	uscat		ADJ;INDF;MASC;SG
suche	uscata	suchy	uscată		N;DEF;FEM;SG
ward	ward	warda	ward	PROPN;NOM;MASC;SG	PROPN
owłosione	paroasa	owłosić	parosa	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
promieniowanie	radiatii	promieniować	radiat	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;PL
promieniowanie	radiatii	promieniować	radiat	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	N;INDF;FEM;PL
eduardo	eduardo	eduardo	eduardo	PROPN;NOM;MASC;SG	PROPN
sweet	sweet	sweet	sweet		N;INDF;MASC;SG
sweet	dulci	sweet	dulce		ADJ;INDF;PL
skierowane	regia	skierować	regie	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	N;DEF;FEM;SG
kolorów	culorile	kolor	culoare	N;GEN;MASC;PL	N;DEF;FEM;PL
fernández	fernández	fernndez	fernandez	PROPN;NOM;MASC;SG	PROPN
rycerz	knight	rycerz	knight	N;NOM;MASC;SG	PROPN
rycerz	cavalerul	rycerz	cavaler	N;NOM;MASC;SG	N;DEF;MASC;SG
watson	watson	watson	watson		PROPN
wyraża	exprima	wyrażać	exprima	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;3;IPFV;FIN
wprowadzona	introdusa	wprowadzić	introdus	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
wprowadzona	introduse	wprowadzić	introduce	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;IND;PL;3;PST;FIN
zwrot	rambursare	zwrot	rambursare	N;NOM;MASC;SG	N;INDF;FEM;SG
zwrot	restituirea	zwrot	restituire	N;NOM;MASC;SG	N;DEF;FEM;SG
zwrot	restituire	zwrot	restituire	N;NOM;MASC;SG	N;INDF;FEM;SG
zwrot	intoarcere	zwrot	intoarcere	N;NOM;MASC;SG	N;INDF;FEM;SG
zwrot	rambursare	zwrot	rambursare	N;NOM;MASC;SG	N;INDF;FEM;SG
zwrot	rambursarea	zwrot	rambursare	N;NOM;MASC;SG	N;DEF;FEM;SG
funkcjonowanie	operatie	funkcjonowanie	operatie	N;NOM;NEUT;SG	N;INDF;FEM;SG
funkcjonowanie	operatiune	funkcjonowanie	operatiune	N;NOM;NEUT;SG	N;INDF;FEM;SG
funkcjonowanie	operatiunea	funkcjonowanie	operatiune	N;NOM;NEUT;SG	N;DEF;FEM;SG
funkcjonowanie	operatiunea	funkcjonowanie	operatiune	N;NOM;NEUT;SG	N;DEF;FEM;SG
białoruś	belarus	białoruś	belarus		PROPN
socjalistyczna	socialista	socjalistyczny	socialist	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
socjalistyczna	socialiste	socjalistyczny	socialist	ADJ;NOM;FEM;SG	ADJ;INDF;FEM;PL
egzemplarze	copiile	egzemplarz	copie	N;NOM;MASC;PL	N;DEF;FEM;PL
słowackiej	slovaca	słowacki	slovacă	ADJ;GEN;FEM;SG	N;DEF;FEM;SG
słowackiej	slovacia	słowacki	slovacie	ADJ;GEN;FEM;SG	PROPN
widział	vazut	widzieć	vaz	V;IPFV;MASC;IND;SG;PST;FIN;ACT	ADJ;INDF;MASC;SG
widział	fierastrau	widzieć	fierastra	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;PL;3;IPFV;FIN
widział	ferastrau	widzieć	ferastra	V;IPFV;MASC;IND;SG;PST;FIN;ACT	N;DEF;FEM;SG
patrol	patrula	patrol	patrulă	N;NOM;MASC;SG	N;DEF;FEM;SG
patrol	patrula	patrol	patrulă	N;NOM;MASC;SG	N;DEF;FEM;SG
patrol	patrulare	patrol	patrular	N;NOM;MASC;SG	N;INDF;FEM;SG
litera	scrisoare	liter	scrisoare	N;NOM;FEM;SG	N;INDF;FEM;SG
litera	scrisoarea	liter	scrisoare	N;NOM;FEM;SG	N;DEF;FEM;SG
litera	litera	liter	literă	N;NOM;FEM;SG	N;DEF;FEM;SG
oznaczony	etichetate	oznaczyć	etichetate	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
oznaczony	etichetata	oznaczyć	etichetată	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
oznaczony	marcata	oznaczyć	marcata	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;DEF;FEM;SG
oznaczony	marcate	oznaczyć	marca	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
control	control	control	control		N;INDF;MASC;SG
control	controleaza	control	controlează		V;IND;SG;3;IPFV;FIN
control	controlul	control	control		N;DEF;MASC;SG
chóru	cor	chór	cor		N;INDF;MASC;SG
chóru	corul	chór	cor		N;DEF;MASC;SG
chóru	refren	chór	refren		N;INDF;MASC;SG
chóru	cor	chór	cor		N;INDF;MASC;SG
chóru	corul	chór	cor		N;DEF;MASC;SG
starcia	ciocniri	starcie	ciocnire	N;NOM;NEUT;SG	N;INDF;FEM;PL
maroka	marocan	marok	marocan	PROPN;GEN;MASC;SG	ADJ;INDF;MASC;SG
athletic	atletic	athletic	atletic		ADJ;INDF;MASC;SG
aresztowania	arestari	aresztowanie	arestare	N;GEN;NEUT;SG	N;INDF;MASC;PL
aresztowania	arestarile	aresztowanie	arestare	N;GEN;NEUT;SG	N;DEF;FEM;PL
okien	windows	okno	windows		PROPN
okien	ferestre	okno	fereastră		N;INDF;FEM;PL
okien	geamuri	okno	geam		N;INDF;FEM;PL
okien	ferestrele	okno	fereastră		N;DEF;FEM;PL
karen	karen	karen	karen	PROPN;NOM;FEM;SG	PROPN
reorganizacji	reorganizarea	reorganizacja	reorganizare	N;GEN;FEM;SG	N;DEF;FEM;SG
reorganizacji	reorganizare	reorganizacja	reorganizare	N;GEN;FEM;SG	N;INDF;FEM;SG
reorganizacji	reorganizarea	reorganizacja	reorganizare	N;GEN;FEM;SG	N;DEF;FEM;SG
reorganizacji	reorganizare	reorganizacja	reorganizare	N;GEN;FEM;SG	N;INDF;FEM;SG
odpowiedni	adecvata	odpowiedni	adecvat	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
odpowiedni	adecvata	odpowiedni	adecvat	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
odpowiedni	adecvate	odpowiedni	adecvat	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
śledztwo	ancheta	śledztwo	anchetă	N;NOM;NEUT;SG	N;DEF;FEM;SG
śledztwo	ancheta	śledztwo	anchetă	N;NOM;NEUT;SG	N;DEF;FEM;SG
śledztwo	investigatie	śledztwo	investigatie	N;NOM;NEUT;SG	N;INDF;FEM;SG
wrc	wrc	wrzeć	wrc		PROPN
praktyczny	practice	praktyczny	practica	ADJ;NOM;MASC;SG	
praktyczny	practica	praktyczny	practică	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
praktyczny	practic	praktyczny	practic	ADJ;NOM;MASC;SG	ADV
ograniczony	limited	ograniczyć	limited	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
ograniczony	limitate	ograniczyć	limitat	ADJ;NOM;MASC;SG	ADJ;INDF;FEM;PL
ograniczony	limitata	ograniczyć	limitat	ADJ;NOM;MASC;SG	ADJ;DEF;FEM;SG
arabskie	araba	arabski	araba	ADJ;NOM;NEUT;SG	N;DEF;FEM;SG
arabskie	arabe	arabski	arab	ADJ;NOM;NEUT;SG	ADJ;INDF;FEM;PL
arabskie	araba	arabski	araba	ADJ;NOM;NEUT;SG	N;DEF;FEM;SG
arabskie	araba	arabski	araba	ADJ;NOM;NEUT;SG	N;DEF;FEM;SG
lewo	stanga	lewo	stanga		N;DEF;FEM;SG
lewo	stanga	lewo	stanga		N;DEF;FEM;SG
lewo	stinga	lewo	stingă		N;DEF;FEM;SG
kopenhadze	copenhaga	kopenhadz	copenhaga	PROPN;DAT;MASC;SG	PROPN
gracze	jucatorii	gracz	jucator	N;NOM;MASC;PL	N;DEF;MASC;PL
holland	olanda	holland	olanda		PROPN
holland	holland	holland	holland		PROPN
halle	halle	hall	hall		PROPN
sumy	suma	suma	sumă		N;DEF;FEM;SG
sumy	suma	suma	sumă		N;DEF;FEM;SG
sumy	sumele	suma	sumă		N;DEF;FEM;PL
sumy	sume	suma	sumă		N;INDF;FEM;PL
bractwa	fraternitate	bractwo	fraternitate	N;ACC;NEUT;SG	N;INDF;FEM;SG
bractwa	fraternitate	bractwo	fraternitate	N;ACC;NEUT;SG	N;INDF;FEM;SG
tajemnica	misterul	tajemnica	mister	N;NOM;FEM;SG	N;DEF;MASC;SG
tajemnica	secreta	tajemnica	secret	N;NOM;FEM;SG	N;DEF;FEM;SG
tajemnica	secreta	tajemnica	secret	N;NOM;FEM;SG	N;DEF;FEM;SG
tajemnica	secrete	tajemnica	secret	N;NOM;FEM;SG	N;INDF;FEM;PL
tajemnica	secretul	tajemnica	secret	N;NOM;FEM;SG	N;DEF;MASC;SG
targ	piata	targa	piată	N;NOM;MASC;SG	N;DEF;FEM;SG
targ	piata	targa	piată	N;NOM;MASC;SG	N;DEF;FEM;SG
targ	piata	targa	piată	N;NOM;MASC;SG	N;DEF;FEM;SG
targ	piata	targa	piată	N;NOM;MASC;SG	N;DEF;FEM;SG
targ	piata	targa	piată	N;NOM;MASC;SG	N;DEF;FEM;SG
połączony	conectate	połączyć	conecta	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADJ;INDF;FEM;PL
