το	os	ο	o	DET;NOM;DEF;NEUT;SG	PRO;ACC;MASC;PL;3
αρχαιολογικό	arqueológicos	αρχαιολογικός	arqueológico	ADJ;NOM;NEUT;SG	N;MASC;PL
αρχαιολογικό	arqueológicas	αρχαιολογικός	arqueológico	ADJ;NOM;NEUT;SG	N;FEM;PL
αρχαιολογικό	arqueologia	αρχαιολογικός	arqueologia	ADJ;NOM;NEUT;SG	N;FEM;SG
μουσικός	músico	μουσικός	músico	ADJ;NOM;MASC;SG	N;MASC;SG
χρήματα	dinheiro	χρήμα	dinheiro	N;NOM;NEUT;PL	N;MASC;SG
χρήματα	money	χρήμα	money	N;NOM;NEUT;PL	N;MASC;SG
χρήματα	grana	χρήμα	grana	N;NOM;NEUT;PL	N;FEM;SG
βερολίνο	berlim	βερολίνο	berlim	PROPN;NOM;NEUT;SG	N;MASC;SG
κλίμακα	escalar	κλίμακα	escalar	N;NOM;FEM;SG	V;NFIN
ανέβηκε	carregadas	αναβέκω	carregar	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
ανέβηκε	carregados	αναβέκω	carregar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
μέλλον	futuras	μέλλον	futuro	N;NOM;NEUT;SG	ADJ;FEM;PL
μέλλον	futuros	μέλλον	futuro	N;NOM;NEUT;SG	ADJ;MASC;PL
βιέννη	viena	βιέννος	viena	PROPN;ACC;FEM;SG	N;FEM;SG
δεδομένου	dada	δεδομένο	dar	ADV	V;FEM;SG;V.PTCP
δεδομένου	dado	δεδομένο	dar	ADV	V;MASC;SG;V.PTCP
δεδομένου	dadas	δεδομένο	dar	ADV	V;FEM;PL;V.PTCP
πρότεινε	sugestão	προτείνω	sugestão	V;PFV;IND;SG;3;PST;FIN;ACT	N;FEM;SG
πρότεινε	sugeridos	προτείνω	sugerir	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
χτίστηκε	construídos	χτίζω	construir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
χτίστηκε	construídas	χτίζω	construir	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
ιστορίες	tales	ιστορία	tale	N;NOM;FEM;PL	N;MASC;SG
ισπανικά	castelhano	ισπανικά	castelhano	ADV	N;MASC;SG
ισπανικά	espanhola	ισπανικά	espanhola	ADV	N;FEM;SG
ισπανικά	espanhóis	ισπανικά	espanhol	ADV	N;MASC;PL
ισπανικά	espanhol	ισπανικά	espanhol	ADV	N;MASC;SG
βρετανικό	britânicos	βρετανικός	britânico	ADJ;NOM;NEUT;SG	N;MASC;PL
βρετανικό	british	βρετανικός	british	ADJ;NOM;NEUT;SG	N;MASC;SG
έρευνες	investigação	έρευνα	investigação	N;NOM;FEM;PL	N;FEM;SG
έρευνες	pesquisa	έρευνα	pesquisa	N;NOM;FEM;PL	N;FEM;SG
εκλογή	eleições	εκλογή	eleição	N;NOM;FEM;SG	N;FEM;PL
κάνοντας	making	κάνω	making	V;IPFV;V.CVB;ACT	N;MASC;SG
πρακτική	prática	πρακτικός	prática	ADJ;NOM;FEM;SG	N;FEM;SG
πρακτική	práticos	πρακτικός	prático	ADJ;NOM;FEM;SG	ADJ;MASC;PL
πρακτική	praticar	πρακτικός	praticar	ADJ;NOM;FEM;SG	V;NFIN
πρακτική	prática	πρακτικός	prática	ADJ;NOM;FEM;SG	N;FEM;SG
πρακτική	pratique	πρακτικός	pratique	ADJ;NOM;FEM;SG	V;SBJV;SG;3;PRS;FIN
πρακτική	pratica	πρακτικός	praticar	ADJ;NOM;FEM;SG	N;FEM;SG
μερικοί	algum	μερικοί	algum	PRO;NOM;MASC;PL;3	DET;MASC;SG
σύνδεση	conectando	σύνδεση	conectar	N;NOM;FEM;SG	V;V.MSDR
σύνδεση	conecte	σύνδεση	conecte	N;NOM;FEM;SG	V;SBJV;SG;3;PRS;FIN
σύνδεση	ligar	σύνδεση	ligar	N;NOM;FEM;SG	V;NFIN
σύνδεση	conectar	σύνδεση	conectar	N;NOM;FEM;SG	V;NFIN
τεράστια	enormes	τεράστιος	enorme	ADJ;NOM;FEM;SG	ADJ;MASC;PL
τεράστια	enormes	τεράστιος	enorme	ADJ;NOM;FEM;SG	ADJ;MASC;PL
καφέ	castanhos	καφένας	castanho	N;NOM;NEUT;SG	N;MASC;PL
καφέ	castanhas	καφένας	castanha	N;NOM;NEUT;SG	N;FEM;PL
συμπεριλαμβανομένων	inclusive	συμπεριλαμβανόμενος	inclusive	V;PFV;GEN;FEM;PL;V.PTCP;PASS	ADV
λος	los	λος	eles		PRO;ACC;MASC;PL;3
γνωστές	conhecida	γνωστός	conhecido	ADJ;NOM;FEM;PL	ADJ;FEM;SG
γνωστές	conhecido	γνωστός	conhecido	ADJ;NOM;FEM;PL	ADJ;MASC;SG
μάτια	eyes	μάτι	eyes	N;NOM;NEUT;PL	N;MASC;SG
σερβία	sérvia	σερβία	sérvio	PROPN;ACC;FEM;SG	N;FEM;SG
βαν	carrinha	βαν	carrinha		N;FEM;SG
βαν	van	βαν	van		N;MASC;SG
ποικιλία	diversidades	ποικιλία	diversidade	N;NOM;FEM;SG	N;FEM;PL
κώστα	costas	κώστα	costa	PROPN;ACC;MASC;SG	N;FEM;PL
κώστα	costa	κώστα	costa	PROPN;ACC;MASC;SG	N;FEM;SG
χρονικά	crónicas	χρονικά	crónica	ADV	N;FEM;PL
χρονικά	crônicas	χρονικά	crônica	ADV	N;FEM;PL
απώλειες	perda	απώλεια	perda	N;NOM;FEM;PL	N;FEM;SG
εκπομπή	emissões	εκπομπή	emissão	N;ACC;FEM;SG	N;FEM;PL
αντικαταστάθηκε	substituídos	αντικαθιστώ	substituir	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
τόμας	tomé	τόμας	tomé	PROPN;NOM;MASC;SG	N;MASC;SG
τόμας	thomas	τόμας	thoma	PROPN;NOM;MASC;SG	N;FEM;PL
τόμας	tomás	τόμας	tomás	PROPN;NOM;MASC;SG	N;MASC;SG
απλό	simple	απλός	simple	ADJ;NOM;NEUT;SG	N;MASC;SG
απλό	plain	απλός	plain	ADJ;NOM;NEUT;SG	N;MASC;SG
απλό	planície	απλός	planície	ADJ;NOM;NEUT;SG	N;FEM;SG
επιστήμες	ciência	επιστήμα	ciência	N;NOM;FEM;PL	N;FEM;SG
επαγγελματική	professional	επαγγελματικός	professional	ADJ;NOM;FEM;SG	N;MASC;SG
επαγγελματική	profissionais	επαγγελματικός	profissional	ADJ;NOM;FEM;SG	N;MASC;PL
επαγγελματική	profissional	επαγγελματικός	profissional	ADJ;NOM;FEM;SG	N;MASC;SG
γαλλικό	french	γαλλικός	french	ADJ;NOM;NEUT;SG	N;MASC;SG
γαλλικό	franceses	γαλλικός	francês	ADJ;NOM;NEUT;SG	N;MASC;PL
γαλλικό	francês	γαλλικός	francês	ADJ;NOM;NEUT;SG	N;MASC;SG
φήμη	rumores	φήμη	rumor	N;ACC;FEM;SG	N;MASC;PL
δημοσίευσε	postei	δημοσιεύω	postar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
τύμπανα	tambor	τύμπανο	tambor	N;NOM;NEUT;PL	N;MASC;SG
τύμπανα	bateria	τύμπανο	bateria	N;NOM;NEUT;PL	N;FEM;SG
ανακάλυψη	descubra	ανακάλυψη	descubrar	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
ανακάλυψη	descobre	ανακάλυψη	descobrir	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
ανακάλυψη	descobrir	ανακάλυψη	descobrir	N;ACC;FEM;SG	V;NFIN
ανακάλυψη	descubram	ανακάλυψη	descubrar	N;ACC;FEM;SG	V;SBJV;PL;3;PRS;FIN
ανακάλυψη	descobertas	ανακάλυψη	descobrir	N;ACC;FEM;SG	V;FEM;PL;V.PTCP
κινήσεις	moves	κίνηση	move	N;NOM;FEM;PL	N;MASC;SG
κινήσεις	move	κίνηση	mover	N;NOM;FEM;PL	V;IMP;SG;3;PRS;FIN
ποιος	oms	ποιος	oms	DET;NOM;DEF;MASC;SG	N;FEM;SG
ποιος	who	ποιος	who	DET;NOM;DEF;MASC;SG	N;MASC;SG
ποιος	quem	ποιος	quem	DET;NOM;DEF;MASC;SG	PRO;SG
κανονική	regulares	κανονικός	regular	ADJ;NOM;FEM;SG	ADJ;MASC;PL
κανονική	normais	κανονικός	normal	ADJ;NOM;FEM;SG	ADJ;MASC;PL
έπεσε	fell	πέφτω	fell	V;PFV;IND;SG;3;PST;FIN;ACT	N;MASC;SG
έπεσε	caí	πέφτω	caí	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
βραζιλία	brazil	βραζιλία	brazil	PROPN;ACC;FEM;SG	N;MASC;SG
βραζιλία	brasil	βραζιλία	brasil	PROPN;ACC;FEM;SG	N;MASC;SG
δύσκολο	hard	δύσκολος	hard	ADJ;NOM;NEUT;SG	N;MASC;SG
δύσκολο	dura	δύσκολος	durar	ADJ;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
δύσκολο	difíceis	δύσκολος	difícil	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
προσπαθεί	tentativas	προσπαθώ	tentativa	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
συνεργάστηκε	colaboraram	συνεργώ	colaborar	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;PL;3;FIN
συνεργάστηκε	colaboraram	συνεργώ	colaborar	V;PFV;IND;SG;3;PST;FIN;PASS	V;IND;PL;3;FIN
ιερουσαλήμ	jerusalem	ιερουσαλήμ	jerusalem	PROPN;NOM;FEM;SG	N;MASC;PL
ιερουσαλήμ	jerusalém	ιερουσαλήμ	jerusalém	PROPN;NOM;FEM;SG	N;MASC;SG
εννέα	nine	εννέα	nine	NUM;NOM;NEUT;PL	N;MASC;SG
διαφορετικό	diferentes	διαφορετικός	diferente	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
αλήθεια	verdadeiro	αλήθεια	verdadeiro	N;NOM;FEM;SG	ADJ;MASC;SG
αλήθεια	verdadeira	αλήθεια	verdadeiro	N;NOM;FEM;SG	ADJ;FEM;SG
αλήθεια	realmente	αλήθεια	realmente	N;NOM;FEM;SG	ADV
ποσότητα	quantidades	ποσότητα	quantidade	N;NOM;FEM;SG	N;FEM;PL
σουηδία	suécia	σουηδία	suécia	PROPN;ACC;FEM;SG	N;FEM;SG
λατινική	latim	λατινικός	latim	ADJ;NOM;FEM;SG	N;MASC;SG
λατινική	latino	λατινικός	latino	ADJ;NOM;FEM;SG	N;MASC;SG
λατινική	latinos	λατινικός	latino	ADJ;NOM;FEM;SG	N;MASC;PL
λατινική	latina	λατινικός	latino	ADJ;NOM;FEM;SG	N;FEM;SG
ολόκληρο	inteiras	ολόκληρος	inteiro	ADJ;NOM;NEUT;SG	ADJ;FEM;PL
ολόκληρο	inteiros	ολόκληρος	inteiro	ADJ;NOM;NEUT;SG	N;MASC;PL
γνωστοί	conhecida	γνωστός	conhecido	ADJ;NOM;MASC;PL	ADJ;FEM;SG
γνωστοί	conhecido	γνωστός	conhecido	ADJ;NOM;MASC;PL	ADJ;MASC;SG
προσφορά	licitar	προσφορά	licitar	N;ACC;FEM;SG	V;NFIN
προσφορά	ofereça	προσφορά	oferecer	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
προσφορά	oferecer	προσφορά	oferecer	N;ACC;FEM;SG	V;NFIN
φρούριο	forte	φρούριο	forte	N;NOM;NEUT;SG	ADJ;MASC;SG
ανεξάρτητα	independente	ανεξάρτητα	independente	ADV	ADJ;MASC;SG
παρατηρήσεις	comentário	παρατήρηση	comentário	N;NOM;FEM;PL	N;MASC;SG
παρατηρήσεις	comentar	παρατήρηση	comentar	N;NOM;FEM;PL	V;NFIN
παρατηρήσεις	comenta	παρατήρηση	comentar	N;NOM;FEM;PL	V;IND;SG;3;PRS;FIN
αρκετοί	varios	αρκετός	vario	PRO;NOM;MASC;PL;3	N;MASC;PL
σχόλια	comentário	σχόλιο	comentário	N;NOM;NEUT;PL	N;MASC;SG
σχόλια	comentar	σχόλιο	comentar	N;NOM;NEUT;PL	V;NFIN
σχόλια	comenta	σχόλιο	comentar	N;NOM;NEUT;PL	V;IND;SG;3;PRS;FIN
άξονα	eixos	άξονας	eixo	N;ACC;MASC;SG	N;MASC;PL
νομική	jurídica	νομικός	jurídico	ADJ;NOM;FEM;SG	N;FEM;SG
νομική	legais	νομικός	legal	ADJ;NOM;FEM;SG	ADJ;MASC;PL
παλιό	antiga	παλιός	antigo	ADJ;NOM;NEUT;SG	N;FEM;SG
παλιό	velhos	παλιός	velho	ADJ;NOM;NEUT;SG	N;MASC;PL
συμφωνώ	concorda	συμφωνώ	concordar	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
συμφωνώ	concordam	συμφωνώ	concordar	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
έκδοσης	emitindo	έκδοση	emitir	N;GEN;FEM;SG	V;V.MSDR
συρία	síria	συρία	sírio	PROPN;ACC;FEM;SG	N;FEM;SG
στίχους	letra	στίχος	letra	N;ACC;MASC;PL	N;FEM;SG
κλειστό	fechou	κλειστός	fechar	N;NOM;NEUT;SG	V;IND;SG;3;PST;FIN
κλειστό	fechado	κλειστός	fechar	N;NOM;NEUT;SG	V;MASC;SG;V.PTCP
κλειστό	fechada	κλειστός	fechar	N;NOM;NEUT;SG	V;FEM;SG;V.PTCP
κλειστό	fechados	κλειστός	fechar	N;NOM;NEUT;SG	V;MASC;PL;V.PTCP
κατάταξη	rankings	κατάταξη	ranking	N;ACC;FEM;SG	N;MASC;PL
κατάταξη	classificações	κατάταξη	classificação	N;ACC;FEM;SG	N;FEM;PL
μεξικό	méxico	μεξικό	méxico	PROPN;NOM;NEUT;SG	N;MASC;SG
μεξικό	mexico	μεξικό	mexico	PROPN;NOM;NEUT;SG	N;MASC;SG
φυσικός	naturais	φυσικός	natural	ADJ;NOM;MASC;SG	N;MASC;PL
φυσικός	físico	φυσικός	físico	ADJ;NOM;MASC;SG	N;MASC;SG
τουρνουά	torneios	τουρνο	torneio	N;NOM;NEUT;SG	N;MASC;PL
τουρνουά	torneios	τουρνο	torneio	N;NOM;NEUT;SG	N;MASC;PL
στατιστικά	estatísticas	στατιστικός	estatística	ADV	N;FEM;PL
στατιστικά	estatística	στατιστικός	estatístico	ADV	N;FEM;SG
συμβολή	contribuindo	συμβολή	contribuir	N;ACC;FEM;SG	V;V.MSDR
συμβολή	contribuir	συμβολή	contribuir	N;ACC;FEM;SG	V;NFIN
βασικές	básicas	βασικός	básico	ADJ;NOM;FEM;PL	N;FEM;PL
βασικές	básica	βασικός	básico	ADJ;NOM;FEM;PL	N;FEM;SG
βασικές	basic	βασικός	basic	ADJ;NOM;FEM;PL	N;MASC;SG
βασικές	básico	βασικός	básico	ADJ;NOM;FEM;PL	ADJ;MASC;SG
βασικές	básicos	βασικός	básico	ADJ;NOM;FEM;PL	N;MASC;PL
στυλ	estilos	στυλ	estilo	N;NOM;NEUT;SG	N;MASC;PL
τοπικές	locais	τοπικός	local	ADJ;NOM;FEM;PL	N;MASC;PL
τοπικές	local	τοπικός	local	ADJ;NOM;FEM;PL	N;MASC;SG
ρεάλ	real	ρεάλ	real		N;MASC;SG
ρεάλ	verdadeiro	ρεάλ	verdadeiro		ADJ;MASC;SG
ρεάλ	reais	ρεάλ	real		N;MASC;PL
ρεάλ	verdadeiros	ρεάλ	verdadeiro		ADJ;MASC;PL
ρεάλ	verdadeira	ρεάλ	verdadeiro		ADJ;FEM;SG
βοήθησε	ajudei	βοηθώ	ajudar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
βοήθησε	ajudaram	βοηθώ	ajudar	V;PFV;IND;SG;3;PST;FIN;ACT	V;IND;PL;3;FIN
γράφτηκε	escritas	γράφτω	escrever	V;PFV;IND;SG;3;PST;FIN;PASS	V;FEM;PL;V.PTCP
γράφτηκε	escritos	γράφτω	escrever	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
γράφτηκε	escrita	γράφτω	escrita	V;PFV;IND;SG;3;PST;FIN;PASS	N;FEM;SG
βοηθός	auxiliar	βοηθός	auxiliar	N;NOM;MASC;SG	V;NFIN
ελβετία	suíça	ελβετία	suíço	PROPN;ACC;FEM;SG	N;FEM;SG
ελβετία	suiça	ελβετία	suiçar	PROPN;ACC;FEM;SG	N;FEM;SG
αναζήτηση	procurar	αναζήτηση	procurar	N;NOM;FEM;SG	V;NFIN
αναζήτηση	pesquisar	αναζήτηση	pesquisar	N;NOM;FEM;SG	V;NFIN
υποστήριξε	suportados	υποστηρίζω	suportar	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
υποστήριξε	suportadas	υποστηρίζω	suportar	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;PL;V.PTCP
καλλιτεχνικό	artística	καλλιτεχνικός	artístico	ADJ;NOM;NEUT;SG	N;FEM;SG
καλλιτεχνικό	artísticas	καλλιτεχνικός	artístico	ADJ;NOM;NEUT;SG	N;FEM;PL
εσύ	tu	εσύ	tu	V;IPFV;IND;SG;1;PRS;FIN;ACT	INTJ
εσύ	você	εσύ	você	V;IPFV;IND;SG;1;PRS;FIN;ACT	PRO;NOM;SG;3
εσύ	vc	εσύ	vc	V;IPFV;IND;SG;1;PRS;FIN;ACT	PRO;NOM;MASC;SG;3
μπάσκετ	basquete	μπάσκετ	basquete		N;MASC;SG
μπάσκετ	basquetebol	μπάσκετ	basquetebol		N;MASC;SG
επιστρέφει	devoluções	επιστρέφω	devolução	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
επιστρέφει	retornos	επιστρέφω	retorno	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
μουσικοί	músicos	μουσικός	músico	ADJ;NOM;MASC;PL	N;MASC;PL
κοιλάδα	vale	κοιλάδα	valer	N;ACC;FEM;SG	V;IND;SG;3;PRS;FIN
συγχώνευση	fundir	συγχώνευση	fundir	N;NOM;FEM;SG	V;NFIN
συγχώνευση	mesclar	συγχώνευση	mesclar	N;NOM;FEM;SG	V;NFIN
συγχώνευση	fundir	συγχώνευση	fundir	N;NOM;FEM;SG	V;NFIN
καθ	kath	καθ	kath	ADP	N;FEM;SG
αθλητικά	tênis	αθλητικά	tênis	ADV	N;MASC;SG
αθλητικά	sapatilhas	αθλητικά	sapatilha	ADV	N;FEM;PL
αθλητικά	desporto	αθλητικά	desporto	ADV	N;MASC;SG
αθλητικά	esportes	αθλητικά	esporte	ADV	N;MASC;PL
αθλητικά	desportos	αθλητικά	desporto	ADV	N;MASC;PL
χρυσός	dourada	χρυσός	dourar	N;NOM;MASC;SG	V;FEM;SG;V.PTCP
χρυσός	dourados	χρυσός	dourar	N;NOM;MASC;SG	V;MASC;PL;V.PTCP
χρυσός	dourado	χρυσός	dourar	N;NOM;MASC;SG	V;MASC;SG;V.PTCP
χρυσός	dourado	χρυσός	dourar	N;NOM;MASC;SG	V;MASC;SG;V.PTCP
τρίτος	terceira	τρίτος	terceiro	NUM;NOM;MASC;SG	ADJ;FEM;SG
τρίτος	terço	τρίτος	terço	NUM;NOM;MASC;SG	ADJ;MASC;SG
τρίτος	terceiro	τρίτος	terceiro	NUM;NOM;MASC;SG	ADJ;MASC;SG
ανακοινώθηκε	anunciados	ανακοινώνω	anunciar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
ηττήθηκε	derrotados	ηττώμαι	derrotar	V;PFV;IND;SG;3;PST;FIN;PASS	V;MASC;PL;V.PTCP
δώδεκα	twelve	δώδεκα	twelver	NUM;NOM;MASC;PL	N;MASC;SG
έφυγε	gone	φεύγω	gone	V;PFV;IND;SG;3;PST;FIN;ACT	N;MASC;SG
τελικός	finais	τελικός	final	ADJ;NOM;MASC;SG	N;MASC;PL
τελικός	final	τελικός	final	ADJ;NOM;MASC;SG	N;MASC;SG
πιστεύεται	acreditou	πιστεύεται	acreditar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;SG;3;PST;FIN
πιστεύεται	acreditavam	πιστεύεται	acreditar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;PL;3;IPFV;FIN
πιστεύεται	acreditava	πιστεύεται	acreditar	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;IND;SG;3;IPFV;FIN
τοπικά	locais	τοπικά	local	ADV	N;MASC;PL
τοπικά	local	τοπικά	local	ADV	N;MASC;SG
παραδοσιακά	tradicional	παραδοσιακός	tradicional	ADV	ADJ;MASC;SG
παραδοσιακά	tradicionais	παραδοσιακός	tradicional	ADV	ADJ;MASC;PL
προέλευση	origens	προέλευση	origem	N;ACC;FEM;SG	N;FEM;PL
ισχυρή	poderosas	ισχυρός	poderoso	ADJ;NOM;FEM;SG	ADJ;FEM;PL
ισχυρή	poderosos	ισχυρός	poderoso	ADJ;NOM;FEM;SG	ADJ;MASC;PL
διαχείριση	gerir	διαχείριση	gerir	N;NOM;FEM;SG	V;NFIN
διαχείριση	gerenciar	διαχείριση	gerenciar	N;NOM;FEM;SG	V;NFIN
διαχείριση	gerir	διαχείριση	gerir	N;NOM;FEM;SG	V;NFIN
σταδιοδρομία	carreiras	σταδιοδρομία	carreira	N;NOM;FEM;SG	N;FEM;PL
ιράν	irã	ιράν	irã		N;MASC;SG
ιράν	irão	ιράν	ir		V;IND;PL;3;FUT;FIN
πιθανό	provavelmente	πιθανός	provavelmente	ADJ;NOM;NEUT;SG	ADV
πιθανό	possíveis	πιθανός	possível	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
τζορτζ	jorge	τζορτζ	jorge		N;MASC;SG
τζορτζ	george	τζορτζ	george		PROPN;MASC;SG
παρουσίασε	apresentadas	παρουσιάζω	apresentar	V;PFV;IND;SG;3;PST;FIN;ACT	V;FEM;PL;V.PTCP
παρουσίασε	apresentados	παρουσιάζω	apresentar	V;PFV;IND;SG;3;PST;FIN;ACT	V;MASC;PL;V.PTCP
ιστορικές	histórico	ιστορικός	histórico	ADJ;NOM;FEM;PL	ADJ;MASC;SG
ιστορικές	histórica	ιστορικός	histórico	ADJ;NOM;FEM;PL	ADJ;FEM;SG
αντίστοιχη	correspondendo	αντίστοιχος	corresponder	ADJ;NOM;FEM;SG	V;V.MSDR
αντίστοιχη	correspondentes	αντίστοιχος	correspondente	ADJ;NOM;FEM;SG	ADJ;MASC;PL
ζωγραφική	pintar	ζωγραφικός	pintar	ADJ;NOM;FEM;SG	V;NFIN
ζωγραφική	pintura	ζωγραφικός	pintura	ADJ;NOM;FEM;SG	N;FEM;SG
ζωγραφική	pintando	ζωγραφικός	pintar	ADJ;NOM;FEM;SG	V;V.MSDR
βελτίωση	melhorar	βελτίωση	melhorar	N;ACC;FEM;SG	V;NFIN
βελτίωση	melhorando	βελτίωση	melhorar	N;ACC;FEM;SG	V;V.MSDR
βελτίωση	melhoramentos	βελτίωση	melhoramento	N;ACC;FEM;SG	N;MASC;PL
βελτίωση	melhorias	βελτίωση	melhoria	N;ACC;FEM;SG	N;FEM;PL
βελτίωση	melhorar	βελτίωση	melhorar	N;ACC;FEM;SG	V;NFIN
βελτίωση	melhore	βελτίωση	melhore	N;ACC;FEM;SG	V;SBJV;SG;3;PRS;FIN
βελτίωση	melhorias	βελτίωση	melhoria	N;ACC;FEM;SG	N;FEM;PL
βέλγιο	bélgica	βέλγιο	bélgico	PROPN;NOM;NEUT;SG	N;FEM;SG
εξωτερική	externas	εξωτερικός	externo	ADJ;NOM;FEM;SG	N;FEM;PL
εξωτερική	externos	εξωτερικός	externo	ADJ;NOM;FEM;SG	ADJ;MASC;PL
εξωτερική	externa	εξωτερικός	externo	ADJ;NOM;FEM;SG	N;FEM;SG
υπολογίζεται	calculados	υπολογίζω	calcular	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;MASC;PL;V.PTCP
υπολογίζεται	calculadas	υπολογίζω	calcular	V;IPFV;IND;SG;3;PRS;FIN;PASS	V;FEM;PL;V.PTCP
κτήριο	construindo	κτήριο	construir	N;NOM;NEUT;SG	V;V.MSDR
στίχοι	letra	στίχος	letra	N;NOM;MASC;PL	N;FEM;SG
απευθείας	directa	απευθείας	directo	ADV	N;FEM;SG
απευθείας	direta	απευθείας	direto	ADV	ADJ;FEM;SG
απευθείας	diretos	απευθείας	direto	ADV	N;MASC;PL
απευθείας	direct	απευθείας	direct	ADV	N;MASC;SG
απευθείας	direto	απευθείας	direto	ADV	N;MASC;SG
ρωσικά	russa	ρωσικός	russa	ADV	N;FEM;SG
ρωσικά	russas	ρωσικός	russa	ADV	N;FEM;PL
ρωσικά	russo	ρωσικός	russo	ADV	N;MASC;SG
ρωσικά	russos	ρωσικός	russo	ADV	N;MASC;PL
ηλίας	ilias	ηλία	ilia	PROPN;NOM;MASC;SG	N;MASC;SG
ηλίας	elijah	ηλία	elijah	PROPN;NOM;MASC;SG	N;MASC;SG
ηλίας	elias	ηλία	elia	PROPN;NOM;MASC;SG	N;MASC;SG
ηλίας	elias	ηλία	elia	PROPN;NOM;MASC;SG	N;MASC;SG
φυλή	tribos	φυλή	tribo	N;NOM;FEM;SG	N;MASC;PL
βενετία	veneza	βενετία	veneza	PROPN;NOM;FEM;SG	N;FEM;SG
κόστος	custos	κόστος	custo	N;NOM;NEUT;SG	N;MASC;PL
κόστος	custos	κόστος	custo	N;NOM;NEUT;SG	N;MASC;PL
κόστος	despesas	κόστος	despesa	N;NOM;NEUT;SG	N;FEM;PL
δημοκρατικό	democrata	δημοκρατικός	democrata	ADJ;NOM;NEUT;SG	N;MASC;SG
δημοκρατικό	democrática	δημοκρατικός	democrático	ADJ;NOM;NEUT;SG	N;FEM;SG
σκωτίας	escócia	σκωτία	escócia	PROPN;GEN;FEM;SG	N;FEM;SG
σκωτίας	escócia	σκωτία	escócia	PROPN;GEN;FEM;SG	N;FEM;SG
σκωτίας	escocês	σκωτία	escocês	PROPN;GEN;FEM;SG	N;MASC;SG
σκωτίας	escoceses	σκωτία	escocês	PROPN;GEN;FEM;SG	N;MASC;PL
σκωτίας	escocesa	σκωτία	escocesa	PROPN;GEN;FEM;SG	N;FEM;SG
σκωτίας	scottish	σκωτία	scottish	PROPN;GEN;FEM;SG	N;MASC;SG
λατινικά	latim	λατινικός	latim	ADV	N;MASC;SG
λατινικά	latino	λατινικός	latino	ADV	N;MASC;SG
λατινικά	latinos	λατινικός	latino	ADV	N;MASC;PL
λατινικά	latina	λατινικός	latino	ADV	N;FEM;SG
εγκαταστάθηκαν	liquidada	εγκαθιστώ	liquidar	V;PFV;IND;PL;3;PST;FIN;PASS	V;FEM;SG;V.PTCP
δυνατή	strong	δυνατός	strong	ADJ;NOM;FEM;SG	N;MASC;SG
δυνατή	fortes	δυνατός	forte	ADJ;NOM;FEM;SG	ADJ;MASC;PL
μέτρο	medir	μέτρο	medir	N;NOM;NEUT;SG	V;NFIN
μέτρο	mede	μέτρο	medir	N;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
κλασική	clássica	κλασικός	clássico	ADJ;NOM;FEM;SG	N;FEM;SG
κλασική	clássicos	κλασικός	clássico	ADJ;NOM;FEM;SG	N;MASC;PL
κλασική	clássicas	κλασικός	clássico	ADJ;NOM;FEM;SG	N;FEM;PL
κλασική	clássico	κλασικός	clássico	ADJ;NOM;FEM;SG	N;MASC;SG
κλασική	clássica	κλασικός	clássico	ADJ;NOM;FEM;SG	N;FEM;SG
