है	האי	है	האי	V;IND;SG;3;PRS;FIN;ACT	
विरोधी	הפכים	विरोधी	הפכים	ADJ	N;MASC;PL
संक्रमण	המעבר	संक्रमण	המעבר	N;NOM;MASC;SG;3	PROPN
संक्रमण	מעבר	संक्रमण	מעבר	N;NOM;MASC;SG;3	
घाटी	עמק	घाटी	עמק	N;NOM;FEM;SG;3	
घाटी	ואלי	घाटी	ואלי	N;NOM;FEM;SG;3	PROPN
घाटी	העמק	घाटी	העמק	N;NOM;FEM;SG;3	
नियंत्रित	נשלט	नियंत्रित	נשלט	ADJ	V;MASC;SG;3;PST;MID
नियंत्रित	שלט	नियंत्रित	שלט	ADJ	
विलियम	ויליאם	विलियम	ויליאם	PROPN;NOM;MASC;SG;3	PROPN
विलियम	וויליאם	विलियम	ויליאם	PROPN;NOM;MASC;SG;3	PROPN
विविध	מגוונים	विविध	מגוון		N;MASC;PL
विविध	שונות	विविध	שונה		ADJ;FEM;PL
विकल्प	חלופות	विकल्प	חלופה	N;NOM;MASC;SG;3	N;FEM;PL
विकल्प	אפשרויות	विकल्प	אפשרות	N;NOM;MASC;SG;3	N;FEM;PL
विकल्प	אופציות	विकल्प	אופציה	N;NOM;MASC;SG;3	N;FEM;PL
उद्यान	פארק	उद्यान	פארק	N;NOM;MASC;SG;3	PROPN
होगी	ויל	हो	ויל	V;FEM;IND;SG;3;FUT;FIN;ACT	PROPN
होगी	וויל	हो	וויל	V;FEM;IND;SG;3;FUT;FIN;ACT	PROPN
पशु	חיות	पशु	חיה	N;NOM;MASC;SG;3	N;FEM;PL
पशु	בהמות	पशु	בהמות	N;NOM;MASC;SG;3	
पशु	חיה	पशु	None	N;NOM;MASC;SG;3	V;FEM;SG;V.PTCP;ACT
ज्यादातर	ברובו	ज्यादातर	ברובו	N;NOM;MASC;SG;3	
ज्यादातर	לרוב	ज्यादातर	ררוב	N;NOM;MASC;SG;3	
ज्यादातर	בעיקר	ज्यादातर	בעיקר	N;NOM;MASC;SG;3	ADV
ईसाई	כריסטיאן	ईसाई	כריסטיאן		PROPN
ईसाई	נוצרי	ईसाई	נוצרי		PROPN
ईसाई	נצרות	ईसाई	נצרות		N;FEM;SG
प्रमाण	ראיות	प्रमाण	ראייה	N;NOM;MASC;SG;3	N;FEM;PL
याद	זוכרים	याद	זכר	N;NOM;FEM;SG;3	V;MASC;PL;V.PTCP;ACT
याद	נזכור	याद	זכר	N;NOM;FEM;SG;3	V;PL;1;FUT;ACT
याद	יזכור	याद	זכר	N;NOM;FEM;SG;3	PROPN
मानसिक	נפשי	मानसिक	נפשי	N;NOM;MASC;SG;3	ADJ;MASC;SG
मानसिक	נפשית	मानसिक	נפשי	N;NOM;MASC;SG;3	ADV
मानसिक	מנטלית	मानसिक	מנטלית	N;NOM;MASC;SG;3	ADV
रसायन	כימיקלים	रसायन	כימיקל	N;NOM;MASC;SG;3	N;MASC;PL
रसायन	כימי	रसायन	כימי	N;NOM;MASC;SG;3	PROPN
रसायन	כימיקלים	रसायन	כימיקל	N;NOM;MASC;SG;3	N;MASC;PL
क्षेत्रफल	האזור	क्षेत्रफल	האזור	N;NOM;MASC;SG;3	PROPN
प्रभावी	יעילות	प्रभावी	יעילות	ADJ	N;FEM;SG
विज्ञापन	פרסומות	विज्ञापन	פרסום	N;NOM;MASC;SG;3	N;FEM;PL
विज्ञापन	פרסם	विज्ञापन	פרסם	N;NOM;MASC;SG;3	V;MASC;SG;3;PST;ACT
विज्ञापन	מודעות	विज्ञापन	מודעה	N;NOM;MASC;SG;3	N;FEM;PL
ईश्वर	אלהים	ईश्वर	אלהים		PROPN
ईश्वर	אלוקים	ईश्वर	אלוק		N;MASC;PL
ईश्वर	אלוהים	ईश्वर	אלוהים		N;MASC;SG
आसानी	הקלות	आसानी	הקלה	N;NOM;FEM;SG;3	N;FEM;PL
आसानी	להקל	आसानी	הקל	N;NOM;FEM;SG;3	V;NFIN;ACT
अमरीका	אמריקה	अमरीका	אמריקה	PROPN;NOM;MASC;SG;3	PROPN
शिकार	טרף	शिकार	טרף	N;NOM;MASC;SG;3	
शिकार	צייד	शिकार	צייד	N;NOM;MASC;SG;3	PROPN
रोगी	המטופל	रोगी	המטופל	N;NOM;MASC;SG;3	PROPN
रोगी	חולה	रोगी	חלה	N;NOM;MASC;SG;3	PROPN
रोगी	מטופלת	रोगी	טופל	N;NOM;MASC;SG;3	V;FEM;SG;V.PTCP;PASS
रोगी	מטופל	रोगी	טופל	N;NOM;MASC;SG;3	PROPN
रूसी	רוסייה	रूसी	רוסייה	PROPN;NOM;MASC;SG;3	PROPN
रूसी	רוסית	रूसी	רוסית	PROPN;NOM;MASC;SG;3	PROPN
रूसी	רוסי	रूसी	רוסי	PROPN;NOM;MASC;SG;3	N;MASC;SG
क्रांति	המהפכה	क्रांति	המהפכה	N;NOM;FEM;SG;3	PROPN
अधीन	תחת	अधीन	תחת		ADP
अधीन	מתחת	अधीन	מתחת		ADP
गुप्त	גופטה	गुप्त	גופטה	PROPN;NOM;MASC;SG;3	PROPN
गुप्त	סמויה	गुप्त	סמוי	PROPN;NOM;MASC;SG;3	N;FEM;SG
गुप्त	סודית	गुप्त	סודית	PROPN;NOM;MASC;SG;3	ADV
गुप्त	סוד	गुप्त	סוד	PROPN;NOM;MASC;SG;3	
गुप्त	סודיות	गुप्त	סודיות	PROPN;NOM;MASC;SG;3	N;FEM;SG
गुप्त	סודי	गुप्त	סודי	PROPN;NOM;MASC;SG;3	N;MASC;SG
गुप्त	מקודד	गुप्त	מקודד	PROPN;NOM;MASC;SG;3	V;MASC;SG;V.PTCP;PASS
गुप्त	מוצפן	गुप्त	הוצפן	PROPN;NOM;MASC;SG;3	V;MASC;SG;V.PTCP;PASS
गुप्त	מוצפנת	गुप्त	הוצפן	PROPN;NOM;MASC;SG;3	V;FEM;SG;V.PTCP;PASS
गुप्त	אינקוגניטו	गुप्त	אינקוגניטו	PROPN;NOM;MASC;SG;3	PROPN
ब्राह्मण	ברהמן	ब्राह्मण	ברהמן	N;NOM;MASC;SG;3	
माने	הרעמה	मान	הרעמה	V;PFV;MASC;PL;V.PTCP;ACT	PROPN
हृदय	הלב	हृदय	הלב	N;NOM;MASC;SG;3	
हृदय	לב	हृदय	לב	N;NOM;MASC;SG;3	PROPN
आयोग	עמלות	आयोग	עמלה	N;NOM;MASC;SG;3	N;FEM;PL
आयोग	עמלות	आयोग	עמלה	N;NOM;MASC;SG;3	N;FEM;PL
हिंदू	הינדו	हिंदू	הינדו	PROPN;NOM;MASC;SG;3	PROPN
शुद्ध	טהורה	शुद्ध	טהור		ADJ;FEM;SG
शुद्ध	טהורים	शुद्ध	טהור		N;MASC;PL
तीसरे	שלישי	तीसरा	שלישי	ADJ;ACC;MASC;SG	PROPN
तीसरे	השלישי	तीसरा	השליש	ADJ;ACC;MASC;SG	PROPN
तीसरे	שלישית	तीसरा	None	ADJ;ACC;MASC;SG	ADV
चर्च	כנסיות	चर्च	כנסיה	N;NOM;MASC;SG;3	N;FEM;PL
चर्च	כנסיה	चर्च	כנסיה	N;NOM;MASC;SG;3	PROPN
अपेक्षा	ציפייה	अपेक्षा	ציפייה	CONJ	N;FEM;SG
अपेक्षा	הציפייה	अपेक्षा	הציפייה	CONJ	N;FEM;SG
कार्यालय	משרדים	कार्यालय	משרד	N;NOM;MASC;SG;3	N;MASC;PL
कार्यालय	המשרד	कार्यालय	המשרד	N;NOM;MASC;SG;3	PROPN
स्टार	סטאר	स्टार	סטאר	N;NOM;MASC;SG;3	PROPN
वर्षा	גשם	वर्षा	גשם	N;NOM;FEM;SG;3	
जनरल	כללי	जनरल	כלל	N;NOM;MASC;SG;3	N;MASC;PL
संदेश	הודעות	संदेश	הודעה	N;NOM;MASC;SG;3	N;FEM;PL
संदेश	מסרים	संदेश	מסר	N;NOM;MASC;SG;3	N;MASC;PL
मार	הרוג	मार	הרוג	V;ACT	
परिचय	מבוא	परिचय	מבוא	N;NOM;MASC;SG;3	
परिचय	הקדמה	परिचय	הקדמה	N;NOM;MASC;SG;3	PROPN
परिचय	על	परिचय	על	N;NOM;MASC;SG;3	ADP
परिचय	לגבי	परिचय	לגבי	N;NOM;MASC;SG;3	ADP
परिचय	אודות	परिचय	אודות	N;NOM;MASC;SG;3	
परिचय	מבוא	परिचय	מבוא	N;NOM;MASC;SG;3	
परिचय	הקדמה	परिचय	הקדמה	N;NOM;MASC;SG;3	PROPN
उत्पत्ति	המקור	उत्पत्ति	המקור	N;NOM;FEM;SG;3	
उत्पत्ति	בראשית	उत्पत्ति	בראשית	N;NOM;FEM;SG;3	ADV
उत्पत्ति	המצוף	उत्पत्ति	המצוף	N;NOM;FEM;SG;3	
मांग	דורש	मांग	דרש	N;NOM;FEM;SG;3	V;MASC;SG;V.PTCP;ACT
सोवियत	הסובייטי	सोवियत	הסובייטי	PROPN;NOM;MASC;SG;3	PROPN
सोवियत	סובייטי	सोवियत	סובייטי	PROPN;NOM;MASC;SG;3	PROPN
दौर	עגול	दौर	עגול	N;NOM;MASC;SG;3	
संचालन	פעולות	संचालन	פעולה	N;NOM;MASC;SG;3	N;FEM;PL
संचालन	מבצעים	संचालन	מבצע	N;NOM;MASC;SG;3	N;MASC;PL
संचालन	המבצע	संचालन	המבצע	N;NOM;MASC;SG;3	PROPN
भौगोलिक	גיאוגרפי	भौगोलिक	גיאוגרפי	ADJ;NOM	PROPN
भौगोलिक	גיאוגרפי	भौगोलिक	גיאוגרפי	ADJ;NOM	PROPN
उपस्थित	השתתפות	उपस्थित	השתתפות	ADJ	N;FEM;SG
उपस्थित	נוכח	उपस्थित	נוכח	ADJ	
उपस्थित	משתתפים	उपस्थित	השתתף	ADJ	V;MASC;PL;V.PTCP
उपस्थित	נוכחים	उपस्थित	נוכח	ADJ	N;MASC;PL
उपस्थित	מתנה	उपस्थित	מתנה	ADJ	
उपस्थित	הווה	उपस्थित	הווה	ADJ	PROPN
उपस्थित	נוכח	उपस्थित	נוכח	ADJ	
परिवर्तित	שינה	परिवर्तित	שינה	ADJ	PROPN
परिवर्तित	השתנה	परिवर्तित	השתנה	ADJ	V;MASC;SG;3;PST
परिवर्तित	השתנו	परिवर्तित	השתנה	ADJ	V;PL;3;PST
परिवर्तित	השתנתה	परिवर्तित	השתנה	ADJ	V;FEM;SG;3;PST
परिवर्तित	השתנה	परिवर्तित	השתנה	ADJ	V;MASC;SG;3;PST
परिवर्तित	שונה	परिवर्तित	שונה	ADJ	
पेश	מציג	पेश	הציג	ADJ	V;MASC;SG;V.PTCP;ACT
स्वर	תנועות	स्वर	תנועה	N;NOM;MASC;SG;3	N;FEM;PL
स्वर	קולי	स्वर	קולי	N;NOM;MASC;SG;3	PROPN
लघु	הלוגריתם	लघु	הלוגרי		PROPN
लघु	תמציתי	लघु	תמציתי		ADJ;MASC;SG
लघु	קטין	लघु	קטין		N;MASC;SG
लघु	מינור	लघु	מינור		N;MASC;SG
प्रश्न	השאלה	प्रश्न	השאלה	N;NOM;MASC;SG;3	PROPN
प्रश्न	שאלות	प्रश्न	שאלה	N;NOM;MASC;SG;3	N;FEM;PL
पहाड़ी	היל	पहाडी	היל	N;NOM;FEM;SG;3	PROPN
पहाड़ी	גבעת	पहाडी	גבעה	N;NOM;FEM;SG;3	PROPN
जालस्थल	האתר	जालस्थल	האתר	N;NOM;MASC;SG;3	
पुरानी	זקן	पुराना	זקן	ADJ;FEM;SG	
पुरानी	ישן	पुराना	ישן	ADJ;FEM;SG	PROPN
पुरानी	זקנה	पुराना	זקן	ADJ;FEM;SG	N;FEM;SG
पसंद	לייקים	पसंद	לייק	N;NOM;FEM;SG;3	PROPN
पसंद	אוהב	पसंद	אהב	N;NOM;FEM;SG;3	V;MASC;SG;V.PTCP;ACT
पसंद	סימניות	पसंद	סימני	N;NOM;FEM;SG;3	N;FEM;PL
सुझाव	הצעות	सुझाव	הצעה	N;NOM;MASC;SG;3	N;FEM;PL
सुझाव	המלצות	सुझाव	המלצה	N;NOM;MASC;SG;3	N;FEM;PL
सुझाव	עצות	सुझाव	עצות	N;NOM;MASC;SG;3	N;FEM;PL
सुझाव	טיפים	सुझाव	טיף	N;NOM;MASC;SG;3	N;MASC;PL
खेती	הקציר	खेती	הקציר	N;NOM;FEM;SG;3	V;MASC;SG;3;PST;ACT
खेती	קציר	खेती	קציר	N;NOM;FEM;SG;3	
लिखने	כתיבה	लिख	כתיבה	V;NFIN;ACT	N;FEM;SG
वर्णित	מתואר	वर्णित	תואר	ADJ	V;MASC;SG;V.PTCP;PASS
वर्णित	תאר	वर्णित	תאר	ADJ	
वर्णित	תיאר	वर्णित	תיאר	ADJ	V;MASC;SG;3;PST;ACT
विभाजन	הדיוויזיה	विभाजन	הדיוויזיה	N;NOM;MASC;SG;3	PROPN
विभाजन	מחלקות	विभाजन	מחלקה	N;NOM;MASC;SG;3	N;FEM;PL
विभाजन	החלוקה	विभाजन	החלוקה	N;NOM;MASC;SG;3	PROPN
विशेषता	איכותי	विशेषता	איכותי	N;NOM;FEM;SG;3	ADJ;MASC;SG
विशेषता	באיכות	विशेषता	באיכות	N;NOM;FEM;SG;3	
कठिन	קשה	कठिन	קשה	ADP	ADV
कठिन	קשיח	कठिन	קשיח	ADP	
कठिन	קשוח	कठिन	קשוח	ADP	ADJ;MASC;SG
कठिन	קשה	कठिन	קשה	ADP	ADV
कठिन	קשוחים	कठिन	קשוח	ADP	ADJ;MASC;PL
कठिन	קשוחה	कठिन	קשוח	ADP	ADJ;FEM;SG
कठिन	קשה	कठिन	קשה	ADP	ADV
कठिन	קשים	कठिन	קשה	ADP	ADJ;MASC;PL
कड़ी	קישור	कडा	קישור	ADJ;NOM;FEM;SG	
कड़ी	לינק	कडा	לינק	ADJ;NOM;FEM;SG	PROPN
कड़ी	קישורים	कडा	קישורים	ADJ;NOM;FEM;SG	N;MASC;PL
कड़ी	שרשרת	कडा	שרשרת	ADJ;NOM;FEM;SG	N;FEM;SG
एकमात्र	סולה	एकमात्र	סול	ADP	PROPN
ईरान	איראן	ईरान	איראן	PROPN;NOM;MASC;SG;3	PROPN
ईरान	אירן	ईरान	אירן	PROPN;NOM;MASC;SG;3	PROPN
क्षेत्रीय	אזורי	क्षेत्रीय	אזור	ADJ;NOM	N;MASC;PL
क्षेत्रीय	איזורי	क्षेत्रीय	איזורין	ADJ;NOM	PROPN
जान	אהובות	जान	אהובה	PROPN;NOM;MASC;SG;3	N;FEM;PL
जान	אהובים	जान	אהוב	PROPN;NOM;MASC;SG;3	N;MASC;PL
जान	דע	जान	דע	PROPN;NOM;MASC;SG;3	V;MASC;SG;1;PST;ACT
जान	מכירה	जान	מכירה	PROPN;NOM;MASC;SG;3	N;FEM;SG
जान	יודעת	जान	ידע	PROPN;NOM;MASC;SG;3	V;FEM;SG;V.PTCP;ACT
जान	יודע	जान	ידע	PROPN;NOM;MASC;SG;3	V;MASC;SG;V.PTCP;ACT
लड़ाई	הילחם	लड़ाई	הילחם	N;NOM;FEM;SG;3	PROPN
लड़ाई	להילחם	लड़ाई	נלחם	N;NOM;FEM;SG;3	V;NFIN;MID
परिभाषित	מוגדרים	परिभाषित	הוגדר	ADJ	V;MASC;PL;V.PTCP;PASS
परिभाषित	מוגדר	परिभाषित	הוגדר	ADJ	V;MASC;SG;V.PTCP;PASS
ग्रामीण	כפרי	ग्रामीण	כפר	N;NOM;MASC;SG;3	PROPN
ग्रामीण	כפרית	ग्रामीण	כפרי	N;NOM;MASC;SG;3	ADV
ग्रामीण	הכפרית	ग्रामीण	הכפרית	N;NOM;MASC;SG;3	ADV
रोड	כביש	रोड	כביש	N;NOM;FEM;SG;3	PROPN
गायक	זמרת	गायक	זמרת	N;NOM;MASC;SG;3	PROPN
गायक	זמר	गायक	זמר	N;NOM;MASC;SG;3	PROPN
इस्लाम	האסלאם	इस्लाम	האסלאם	PROPN;NOM;MASC;SG;3	PROPN
इस्लाम	האיסלאם	इस्लाम	האיסלאם	PROPN;NOM;MASC;SG;3	PROPN
इस्लाम	אסלאם	इस्लाम	אסלאם	PROPN;NOM;MASC;SG;3	PROPN
समुद्री	ימית	समुद्री	ימית	ADJ;NOM	PROPN
समुद्री	נחת	समुद्री	נחת	ADJ;NOM	
समझा	הבין	समझ	הבין	V;PFV;MASC;SG;V.PTCP;ACT	ADV
समझा	מובן	समझ	הובן	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;V.PTCP;PASS
उनको	אותם	वह	None	PRO;SG;3;FORM	PRO;ACC;MASC;PL;3
उपयोगी	שימושית	उपयोगी	שימושית	ADJ	ADV
उपयोगी	מועיל	उपयोगी	מועיל	ADJ	V;MASC;SG;V.PTCP;ACT
उपयोगी	עוזר	उपयोगी	עוזר	ADJ	N;MASC;SG
उपयोगी	מסייע	उपयोगी	סייע	ADJ	V;MASC;SG;V.PTCP;ACT
उपयोगी	מועיל	उपयोगी	מועיל	ADJ	V;MASC;SG;V.PTCP;ACT
उपयोगी	מועילה	उपयोगी	הועיל	ADJ	V;FEM;SG;V.PTCP;ACT
कोशिका	תא	कोशिका	תא	N;NOM;FEM;SG;3	
केंद्रीय	סנטרל	केंद्रीय	סנטרל	PROPN;NOM;SG;3	PROPN
केंद्रीय	מרכזית	केंद्रीय	מרכזי	PROPN;NOM;SG;3	ADV
केंद्रीय	מרכז	केंद्रीय	מרכז	PROPN;NOM;SG;3	N;MASC;SG
केंद्रीय	מרכזי	केंद्रीय	מרכזי	PROPN;NOM;SG;3	ADJ;MASC;SG
सत्र	פגישות	सत्र	פגישה	N;NOM;MASC;SG;3	N;FEM;PL
सत्र	הפעלות	सत्र	הפעלה	N;NOM;MASC;SG;3	N;FEM;PL
सत्र	מפגשים	सत्र	מפגש	N;NOM;MASC;SG;3	V;MASC;PL;V.PTCP;ACT
मिश्र	מצריים	मिश्र	מצרי	PROPN;NOM;SG;3	N;MASC;PL
मिश्र	מצרים	मिश्र	מצרים	PROPN;NOM;SG;3	PROPN
मिश्र	מצרית	मिश्र	מצרי	PROPN;NOM;SG;3	ADV
मिश्र	מצרי	मिश्र	מצרי	PROPN;NOM;SG;3	PROPN
मिश्र	המצרי	मिश्र	המצרי	PROPN;NOM;SG;3	PROPN
पहुँच	גישה	पहुँच	גישה	V;ACT	N;FEM;SG
पहुँच	תפוצה	पहुँच	תפוצה	V;ACT	N;FEM;SG
पहुँच	נגישות	पहुँच	נגישה	V;ACT	N;FEM;SG
मेरा	מוקש	मैं	מוקש	PRO;MASC;SG;1	V;MASC;SG;V.PTCP;PASS
मेरा	שלי	मैं	שלי	PRO;MASC;SG;1	
मिस्र	מצריים	मिस्र	מצרי	PROPN;NOM;MASC;SG;3	N;MASC;PL
मिस्र	מצרים	मिस्र	מצרים	PROPN;NOM;MASC;SG;3	PROPN
मिस्र	מצרית	मिस्र	מצרי	PROPN;NOM;MASC;SG;3	ADV
मिस्र	מצרי	मिस्र	מצרי	PROPN;NOM;MASC;SG;3	PROPN
मिस्र	המצרי	मिस्र	המצרי	PROPN;NOM;MASC;SG;3	PROPN
गणराज्य	רפובליקה	गणराज्य	רפובליקה	PROPN;NOM;MASC;SG;3	N;FEM;SG
गणराज्य	הרפובליקה	गणराज्य	הרפובליקה	PROPN;NOM;MASC;SG;3	N;FEM;SG
पुराना	זקן	पुराना	זקן	ADJ;MASC;SG	
पुराना	ישן	पुराना	ישן	ADJ;MASC;SG	PROPN
पुराना	זקנה	पुराना	זקן	ADJ;MASC;SG	N;FEM;SG
तेज	מהיר	तेज	מהיר	ADJ	
सम्राट	קיסר	सम्राट	קיסר	N;NOM;MASC;SG;3	PROPN
सम्राट	הקיסר	सम्राट	הקיסר	N;NOM;MASC;SG;3	PROPN
नवंबर	נובמבר	नवंबर	נובמבר	PROPN;NOM;MASC;SG;3	PROPN
नवंबर	בנובמבר	नवंबर	בנובמבר	PROPN;NOM;MASC;SG;3	ADV
नवंबर	נוב	नवंबर	נוב	PROPN;NOM;MASC;SG;3	
सर	אדוני	सर	אדון	N;NOM;MASC;SG;3	PROPN
अपराध	ווידוי	अपराध	ווידוי	N;NOM;MASC;SG;3	
अमेरिकन	אמריקאים	अमेरिकन	אמריקני	PROPN;NOM;MASC;SG;3	N;MASC;PL
अमेरिकन	אמריקני	अमेरिकन	אמריקני	PROPN;NOM;MASC;SG;3	PROPN
अमेरिकन	אמריקאית	अमेरिकन	אמריקני	PROPN;NOM;MASC;SG;3	ADV
अमेरिकन	אמריקאי	अमेरिकन	אמריקני	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
जन	יאן	जन	יאן	N;NOM;MASC;SG;3	PROPN
यूनाइटेड	יונייטד	यूनाइटेड	יונייטד	PROPN;NOM;MASC;SG;3	PROPN
यूनाइटेड	מאוחדים	यूनाइटेड	אוחד	PROPN;NOM;MASC;SG;3	V;MASC;PL;V.PTCP;PASS
जापानी	יפן	जापानी	יפן	N;NOM;MASC;SG;3	PROPN
जापानी	יפני	जापानी	יפני	N;NOM;MASC;SG;3	PROPN
जापानी	יפנית	जापानी	יפני	N;NOM;MASC;SG;3	PROPN
जापानी	יפנים	जापानी	יפנים	N;NOM;MASC;SG;3	N;MASC;PL
रॉक	רוק	रॉक	רוק	N;NOM;MASC;SG;3	PROPN
रॉक	סלע	रॉक	סלע	N;NOM;MASC;SG;3	
लंबी	גבוהים	लंबा	גבוה	ADJ;NOM;FEM;SG	ADJ;MASC;PL
लंबी	לונג	लंबा	לונג	ADJ;NOM;FEM;SG	PROPN
गेम	המשחק	गेम	המשחק	N;NOM;MASC;SG;3	PROPN
गेम	משחקים	गेम	משחק	N;NOM;MASC;SG;3	N;MASC;PL
अन्दर	בתוך	अन्दर	בתוך		ADP
अन्दर	בתוך	अन्दर	בתוך		ADP
अन्दर	פנימה	अन्दर	פנימה		ADV
संपत्ति	נכסים	संपत्ति	נכס	N;NOM;FEM;SG;3	N;MASC;PL
संक्षिप्त	קצר	संक्षिप्त	קצר	PROPN;NOM;SG;3	ADJ;MASC;SG
संक्षिप्त	תקציר	संक्षिप्त	תקציר	PROPN;NOM;SG;3	
संक्षिप्त	תמציתי	संक्षिप्त	תמציתי	PROPN;NOM;SG;3	ADJ;MASC;SG
क्यों	למה	क्यों	למה	PRO	ADV
क्यों	מדוע	क्यों	מדוע	PRO	ADV
गलत	שגוי	गलत	שגוי	ADJ	
गलत	טועה	गलत	טעה	ADJ	V;MASC;SG;V.PTCP;ACT
गलत	שגוי	गलत	שגוי	ADJ	
गलत	טעות	गलत	טעות	ADJ	N;FEM;SG
गलत	שווא	गलत	שווא	ADJ	
गलत	שקר	गलत	שקר	ADJ	
वर्मा	ורמה	वर्मा	ורמה	PROPN;NOM;MASC;SG;3	ADV
सर्वोच्च	עליון	सर्वोच्च	עליון	PROPN;NOM;MASC;SG;3	ADJ;MASC;SG
सर्वोच्च	העליון	सर्वोच्च	העליון	PROPN;NOM;MASC;SG;3	PROPN
लेना	לנה	ले	לנה	V;MASC;NFIN;ACT	PROPN
लेना	לינה	ले	לינה	V;MASC;NFIN;ACT	N;FEM;SG
वाहन	הרכב	वाहन	הרכב	N;NOM;MASC;PL;3	N;MASC;SG
वाहन	רכב	वाहन	רכב	N;NOM;MASC;PL;3	N;MASC;SG
फ़िल्में	קולנוע	फ़िल्म	קולנוע	N;NOM;FEM;PL;3	N;MASC;SG
सैनिक	צבאי	सैनिक	צבאי	N;NOM;MASC;SG;3	ADJ;MASC;SG
डेटा	דאטה	डेटा	דאטה	N;NOM;MASC;SG;3	PROPN
डेटा	נתונים	डेटा	נתון	N;NOM;MASC;SG;3	N;MASC;PL
स्थिर	סטטי	स्थिर	סטט		N;MASC;SG
स्थिर	יציבה	स्थिर	יציב		N;FEM;SG
स्थिर	יציב	स्थिर	יציב		ADJ;MASC;SG
विद्वानों	מלומדים	विद्वान	מלומדים	N;ACC;MASC;PL;3	PROPN
अशोक	אשוקה	अशोक	אשוקה	PROPN;NOM;MASC;SG;3	PROPN
मानना	תאמין	मान	האמין	V;NFIN;ACT	ADV
रखना	שמור	रख	שמור	V;MASC;NFIN;ACT	
बाह्य	חיצוניים	बाह्य	חיצוני		ADJ;MASC;PL
बाह्य	חיצוניות	बाह्य	חיצוני		ADJ;FEM;PL
बाह्य	חיצונית	बाह्य	חיצוני		ADV
बाह्य	חיצוני	बाह्य	חיצוני		ADJ;MASC;SG
आये	באו	आ	בא	V;PFV;MASC;SG;V.PTCP;ACT	V;PL;3;PST;ACT
चूंकि	מאז	चूंकि	מאז	CONJ	ADV
होटल	מלונות	होटल	מלון	N;NOM;MASC;SG;3	N;MASC;PL
उच्चारण	הגיית	उच्चारण	הגיית	N;NOM;MASC;SG;3	V;FEM;SG;2;PST;ACT
पुरुषों	mens	पुरुष	mens	N;ACC;MASC;PL;3	
वृक्ष	עצים	वृक्ष	עץ	N;NOM;MASC;SG;3	N;MASC;PL
निवेश	משקיעים	निवेश	משקיע	N;NOM;MASC;SG;3	N;MASC;PL
निवेश	משקיעה	निवेश	השקיע	N;NOM;MASC;SG;3	V;FEM;SG;V.PTCP;ACT
निवेश	משקיע	निवेश	השקיע	N;NOM;MASC;SG;3	V;MASC;SG;V.PTCP;ACT
निवेश	השקעות	निवेश	השקעה	N;NOM;MASC;SG;3	N;FEM;PL
सत्य	האמת	सत्य	האמה		ADV
सत्य	אמת	सत्य	אמת		N;FEM;SG
दार्शनिक	פילוסוף	दार्शनिक	פילוסוף	N;NOM;MASC;SG;3	PROPN
सौ	hundred	सौ	hundred	NUM	
आंतरिक	פנים	आंतरिक	פנים	ADJ;NOM	N;MASC;PL
आंतरिक	פנימית	आंतरिक	פנימי	ADJ;NOM	ADV
आंतरिक	פנימיות	आंतरिक	פנימייה	ADJ;NOM	N;FEM;PL
आंतरिक	פנימי	आंतरिक	פנימי	ADJ;NOM	
निकल	ניקל	निकल	ניקל	V;ACT	PROPN
प्रत्यक्ष	ישיר	प्रत्यक्ष	ישיר	PROPN;NOM;MASC;SG;3	
प्रत्यक्ष	ישירות	प्रत्यक्ष	ישירות	PROPN;NOM;MASC;SG;3	
प्रत्यक्ष	ישירה	प्रत्यक्ष	ישיר	PROPN;NOM;MASC;SG;3	ADV
मित्र	ידידים	मित्र	ידיד	N;NOM;MASC;SG;3	N;MASC;PL
मित्र	חברים	मित्र	חבר	N;NOM;MASC;SG;3	N;MASC;PL
दर्द	כאבים	दर्द	כאב	N;NOM;MASC;SG;3	N;MASC;PL
बिजली	ברקים	बिजली	ברק	N;NOM;FEM;SG;3	N;MASC;PL
बिजली	ברק	बिजली	ברק	N;NOM;FEM;SG;3	PROPN
बिजली	ברקים	बिजली	ברק	N;NOM;FEM;SG;3	N;MASC;PL
बिजली	ברק	बिजली	ברק	N;NOM;FEM;SG;3	PROPN
कार्ड	כרטיסים	कार्ड	כרטיס	N;NOM;MASC;SG;3	N;MASC;PL
कार्ड	קלפים	कार्ड	קלף	N;NOM;MASC;SG;3	N;MASC;PL
कार्ड	אקורד	कार्ड	אקורד	N;NOM;MASC;SG;3	PROPN
कार्ड	קארד	कार्ड	קארד	N;NOM;MASC;SG;3	PROPN
कार्ड	קלף	कार्ड	קלף	N;NOM;MASC;SG;3	PROPN
बिंदु	נקודות	बिंदु	נקודה	N;NOM;MASC;SG;3	N;FEM;PL
बिंदु	דוט	बिंदु	דוט	N;NOM;MASC;SG;3	PROPN
बिंदु	פוינט	बिंदु	פוינט	N;NOM;MASC;SG;3	PROPN
बुद्ध	בודהה	बुद्ध	בודהה	PROPN;NOM;MASC;SG;3	PROPN
स्टेडियम	אצטדיונים	स्टेडियम	אצטדיון	N;NOM;MASC;SG;3	N;MASC;PL
स्टेडियम	האצטדיון	स्टेडियम	האצטדיון	N;NOM;MASC;SG;3	PROPN
अभाव	היעדר	अभाव	היעדר	N;NOM;MASC;SG;3	
