الكرامة	αξιοπρέπεια	كَرَامَة	αξιοπρέπεια	N;NOM;DEF;SG	N;ACC;FEM;SG
دافع	κίνητρο	دَافَع	κίνητρο	V;PFV;MASC;SG;3;ACT	N;ACC;NEUT;SG
دافع	κίνητρα	دَافَع	κίνητρο	V;PFV;MASC;SG;3;ACT	N;NOM;NEUT;PL
بارد	ψυχρή	بَارِد	ψυχρή		ADJ;NOM;FEM;SG
بارد	κρύος	بَارِد	κρύος		N;NOM;MASC;SG
بارد	κρύο	بَارِد	κρύο		N;NOM;NEUT;SG
بارد	κρύα	بَارِد	κράο		N;NOM;NEUT;PL
مسجلة	εγγεγραμμένος	مُسَجَّل	εγγεγραμμένος	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;MASC;SG;V.PTCP;PASS
مسجلة	καταχωρημένο	مُسَجَّل	καταχωρημένος	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
الاشتراك	εγγραφείτε	اِشتِرَاك	εγγραφώ	N;NOM;DEF;SG	V;IPFV;IND;PL;2;PRS;FIN;ACT
الاشتراك	συνδρομή	اِشتِرَاك	συνδρομή	N;NOM;DEF;SG	N;ACC;FEM;SG
كيلي	kelly	كيلي	kelly		
كيلي	κέλυ	كيلي	κέλυ		
كيلي	κέλι	كيلي	κέλι		
كيلي	κέλλυ	كيلي	κέλλο		PROPN;NOM;FEM;SG
قمع	καταπίεση	قَمع	καταπίεση	N;NOM;INDF;SG	N;ACC;FEM;SG
قمع	καταστολή	قَمع	καταστολή	N;NOM;INDF;SG	N;ACC;FEM;SG
قمع	καταστείλει	قَمع	καταστέλλω	N;NOM;INDF;SG	V;PFV;NFIN;ACT
قمع	καταστολή	قَمع	καταστολή	N;NOM;INDF;SG	N;ACC;FEM;SG
قمع	καταστολή	قَمع	καταστολή	N;NOM;INDF;SG	N;ACC;FEM;SG
الجنسيات	εθνικοτήτων	جِنسِيّ	εθνικότητα	ADJ;NOM;DEF;FEM;PL	N;GEN;FEM;PL
الولاء	αφοσίωση	وَلَاء	αφοσίωση	N;NOM;DEF;SG	N;ACC;FEM;SG
تنافس	ανταγωνισμού	نَافَس	ανταγωνισμός	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;GEN;MASC;SG
تنافس	διαγωνισμός	نَافَس	διαγωνισμός	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;NOM;MASC;SG
تنافس	ανταγωνισμός	نَافَس	ανταγωνισμός	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;NOM;MASC;SG
مستقرة	σταθερά	مُستَقِرّ	σταθερά	ADJ;NOM;INDF;FEM;SG	ADV
يقسم	ορκίζεται	قَسَّم	ορκίζω	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
متفرقة	διάσπαρτα	مُتَفَرِّق	διάσπαρτος	ADJ;NOM;INDF;FEM;SG	ADJ;NOM;NEUT;PL
دمياط	δαμιέτη	دُميَاط	δαμίμτης		N
ريفر	ρίβερ	رِيفِر	ρίβερ		
ريفر	ποταμός	رِيفِر	ποταμός		N;NOM;MASC;SG
ريفر	ποτάμι	رِيفِر	ποτάμι		N;NOM;NEUT;SG
جيرمان	germain	جِيرَمَان	germain		
السند	μποντ	سَنَد	μποντ	N;NOM;DEF;SG	
السند	bond	سَنَد	bond	N;NOM;DEF;SG	
بلانك	πλανκ	بَلَانِك	πλανκ		N
بلانك	σανίδα	بَلَانِك	σανίδα		N;NOM;FEM;SG
الاحتراق	καύσης	اِحتِرَاق	καύση	N;NOM;DEF;SG	N;GEN;FEM;SG
تقاليد	παράδοση	تَقلِيد	παράδοση	N;NOM;INDF;PL	N;ACC;FEM;SG
جيري	τζέρυ	جيري	τζέρυ		N
جيري	τζέρι	جيري	τζέρι		PROPN;NOM;MASC;SG
سنان	σινάν	سنان	σινά		
مكتوم	μακτούμ	مكتوم	μακτούμ		N;SG
مكسيكو	μεξικό	مَكسِيكُو	μεξικό		PROPN;NOM;NEUT;SG
هاوس	χάουζ	هاوس	χάουζ		
هاوس	house	هاوس	house		
هاوس	σπιτι	هاوس	σπιτι		N;NOM;NEUT;SG
هاوس	σπίτι	هاوس	σπίτι		N;NOM;NEUT;SG
المخيم	καμπ	مُخَيَّم	καμπ	N;NOM;DEF;SG	
كيس	σακούλα	كَيس	σακούλα		N;NOM;FEM;SG
كيس	σάκο	كَيس	σάκος		N;NOM;NEUT;SG
كيس	τσάντα	كَيس	τσάντα		N;NOM;FEM;SG
كيس	σάκος	كَيس	σάκος		N;NOM;MASC;SG
كيس	σακ	كَيس	σακ		N
كيس	τσουβάλι	كَيس	τσουβάλι		N;NOM;NEUT;SG
كيس	σάκο	كَيس	σάκος		N;NOM;NEUT;SG
كيس	σακί	كَيس	σακί		N;NOM;NEUT;SG
كيس	σάκος	كَيس	σάκος		N;NOM;MASC;SG
مد	παλίρροιες	مَدّ	παλίρροιας	N;NOM;INDF;SG	N;NOM;FEM;PL
لورنس	λόρενς	لُورنس	λόρης		PROPN;NOM;FEM;SG
لورنس	λώρενς	لُورنس	λώρης		PROPN;NOM;MASC;PL
شخصيا	προσωπικά	شَخصِيّ	προσωπικά	ADJ;ACC;INDF;MASC;SG	ADV
شخصيا	προσωπικα	شَخصِيّ	προσωπικά	ADJ;ACC;INDF;MASC;SG	ADV
البشير	μπασίρ	البشير	μπασίρ		
موثقة	τεκμηριωμένη	موثقة	τεκμηριώνω	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
موثقة	τεκμηριώνεται	موثقة	τεκμηριώνω	ADJ;NOM;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
موثقة	τεκμηριωμένες	موثقة	τεκμηριώνω	ADJ;NOM;INDF;FEM;SG	V;PFV;NOM;FEM;PL;V.PTCP;PASS
هلسنكي	ελσίνκι	هِلسِنكِي	ελσίνκι		PROPN;NOM;NEUT;SG
الحفريات	απολιθώματα	حَفرِيَّات	απολίθωμα		N;NOM;NEUT;PL
الحفريات	ανασκαφές	حَفرِيَّات	ανασκαφή		N;NOM;FEM;PL
تفجيرات	βομβαρδισμούς	تَفجِير	βομβαρδισμός	N;NOM;INDF;PL	N;ACC;MASC;PL
براين	μπράιαν	برَايِن	μπράιαν		
براين	brian	برَايِن	brian		
الانفصال	διαχωρισμού	اِنفِصَال	διαχωρισμός	N;NOM;DEF;SG	N;GEN;MASC;SG
التحدث	μιλήσω	تَحَدُّث	μιλώ	N;NOM;DEF;SG	V;PFV;IND;SG;1;FIN;ACT
التحدث	μιλήστε	تَحَدُّث	μιλώ	N;NOM;DEF;SG	V;PFV;IMP;PL;2;FIN;ACT
التحدث	μίλα	تَحَدُّث	μίλος	N;NOM;DEF;SG	
وال	και	وَال	και	N;NOM;DEF;SG	CONJ
هان	χαν	هان	χαν		N
هان	han	هان	han		
المرمى	στόχο	مَرمَى	στόχος	N;NOM;DEF;SG	N;ACC;MASC;SG
المرمى	γκολ	مَرمَى	γκολ	N;NOM;DEF;SG	
زنجبار	ζανζιβάρη	زنجبار	ζανζιβάρης		PROPN;NOM;FEM;SG
بون	βόννη	بون	βόννη		PROPN;ACC;FEM;SG
بلغراد	βελιγράδι	بلغراد	βελιγράδι		PROPN;NOM;NEUT;SG
بلغراد	βελιγραδίου	بلغراد	βελιγράδιο		PROPN;GEN;NEUT;SG
وهب	έδωσε	وَهَب	δίνω		V;PFV;IND;SG;3;PST;FIN;ACT
نينوى	νινευή	نينوى	νινευή		PROPN;ACC;FEM;SG
صدى	έκο	صَدَى	έκο	N;NOM;INDF;SG	
صدى	echo	صَدَى	echo	N;NOM;INDF;SG	
المعلوماتية	πληροφορική	مَعلُومَاتِيَّة	πληροφορικός		ADJ;NOM;FEM;SG
ذهبي	χρυσός	ذهبي	χρυσός	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG
ذهبي	χρυσό	ذهبي	χρυσός	ADJ;NOM;INDF;MASC;SG	
ذهبي	χρυσή	ذهبي	χρυσός	ADJ;NOM;INDF;MASC;SG	N;NOM;FEM;SG
ذهبي	golden	ذهبي	golden	ADJ;NOM;INDF;MASC;SG	
ذهبي	χρυσά	ذهبي	χρυσάς	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;PL
ذهبي	χρυσός	ذهبي	χρυσός	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;SG
ذهبي	χρυσό	ذهبي	χρυσός	ADJ;NOM;INDF;MASC;SG	
ذهبي	χρυσο	ذهبي	χρύσος	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
ذهبي	χρυσάφι	ذهبي	χρυσάφι	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
ذهبي	χρυσά	ذهبي	χρυσάς	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;PL
ساكسونيا	σαξονία	ساكسونيا	σαξονία		PROPN;ACC;FEM;SG
ساكسونيا	sachsen	ساكسونيا	sachsen		
عموم	παν	عُمُوم	παν	N;NOM;INDF;SG	
عموم	pan	عُمُوم	pan	N;NOM;INDF;SG	
مسبق	προκαταβολή	مُسبَق	προκαταβολή	N;NOM;INDF;SG	N;ACC;FEM;SG
مسبق	ηγούμενος	مُسبَق	ηγούμενος	N;NOM;INDF;SG	ADJ;NOM;MASC;SG
احتفال	γιορτάζει	اِحتِفَال	γιορτάζω	N;NOM;INDF;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
احتفال	γιορτάζουν	اِحتِفَال	γιορτάζω	N;NOM;INDF;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
احتفال	γιορτάζω	اِحتِفَال	γιορτάζω	N;NOM;INDF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
التحديد	αναγνώρισης	تَحدِيد	αναγνώριση	N;NOM;DEF;SG	N;GEN;FEM;SG
التحديد	αναγνώριση	تَحدِيد	αναγνώριση	N;NOM;DEF;SG	N;ACC;FEM;SG
التحديد	ταυτοποίηση	تَحدِيد	ταυτοποίηση	N;NOM;DEF;SG	N;ACC;FEM;SG
التحديد	ταυτότητα	تَحدِيد	ταυτότητα	N;NOM;DEF;SG	N;ACC;FEM;SG
مخالف	διαφωνούντων	مُخَالِف	διαφωνών	N;NOM;INDF;SG	ADJ;GEN;FEM;PL
ليفي	εισφορά	لِيفِي	εισφορά		N;NOM;FEM;SG
الاستخدامات	χρησιμοποιεί	اِستِخدَام	χρησιμοποιώ	N;NOM;DEF;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
الاستخدامات	χρήσεων	اِستِخدَام	χρήση	N;NOM;DEF;PL	N;GEN;FEM;PL
العبودية	σκλαβιά	عُبُودِيّ	σκλαβιά	N;NOM;DEF;SG	N;ACC;FEM;SG
العبودية	δεσμά	عُبُودِيّ	δεσμά	N;NOM;DEF;SG	N;NOM;NEUT;PL
فوج	φογκ	فَوجَ	φογκ	N;NOM;INDF;SG	
فوج	vogue	فَوجَ	vogue	N;NOM;INDF;SG	
السلك	σύρματα	سِلكَة	σύρμα	N;NOM;DEF;SG	N;NOM;NEUT;PL
وطن	πατρίδα	وَطَن	πατρίδα	N;NOM;INDF;SG	N;ACC;FEM;SG
يعترف	παραδέχεται	اِعتَرَف	παραδέχομαι	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
استضافة	φιλοξένησε	اِستِضَافَة	φιλοξενώ	N;NOM;INDF;SG	V;PFV;IND;SG;3;PST;FIN;ACT
المحاكمة	δίκης	مُحَاكَمَة	δίκη	N;NOM;DEF;SG	N;GEN;FEM;SG
المحاكمة	δίωξη	مُحَاكَمَة	δίωξη	N;NOM;DEF;SG	N;ACC;FEM;SG
الشبكية	αμφιβληστροειδή	شَبَكِيّ	αμφιβληστροειδής		ADV
عنق	λαιμό	عَنق	λαιμός		N;NOM;NEUT;SG
عنق	σβέρκο	عَنق	σβέρκο		N;NOM;NEUT;SG
عنق	λαιμός	عَنق	λαιμός		N;NOM;MASC;SG
كونيتيكت	κονέκτικατ	كُونِيتِيكت	κονέκτικα		ADV
بادن	baden	بَادِن	baden		
بار	ράβδος	بَار	ράβδος		N;NOM;FEM;SG
بار	μπαρ	بَار	μπαρ		N;NOM;NEUT;PL
بار	bar	بَار	bar		
بار	μπάρ	بَار	μπάρ		N;NOM;NEUT;SG
بار	μπάρα	بَار	μπάρα		N;NOM;FEM;SG
قراصنة	πειρατές	قراصنة	πειρατής		N;NOM;MASC;PL
ثالثة	τρίτον	ثَالِث	τρίτος	ADJ;NOM;INDF;FEM;SG	NUM;NOM;NEUT;SG
ثالثة	τρίτο	ثَالِث	τρίτος	ADJ;NOM;INDF;FEM;SG	NUM;NOM;NEUT;SG
ثالثة	τρίτη	ثَالِث	τρίτος	ADJ;NOM;INDF;FEM;SG	NUM;NOM;FEM;SG
ثالثة	τρίτος	ثَالِث	τρίτος	ADJ;NOM;INDF;FEM;SG	NUM;NOM;MASC;SG
سويدي	σουηδικά	سويدي	σουηδικά	ADJ;NOM;INDF;MASC;SG	ADV
الضرب	πολλαπλασιασμού	ضَرب	πολλαπλασιασμός	N;NOM;DEF;SG	N;GEN;MASC;SG
الضرب	πολλαπλασιασμό	ضَرب	πολλαπλασιασμός	N;NOM;DEF;SG	N;ACC;MASC;SG
ملح	σολτ	ملح	σολτ	N;NOM;INDF;SG	
بوخارست	βουκουρεστίου	بُوخرَست	βουκουρεστίο		PROPN;GEN;NEUT;SG
بوخارست	βουκουρέστι	بُوخرَست	βουκουρίστι		PROPN;NOM;NEUT;SG
حبيبي	μωρό	حبيبي	μωρός		N;NOM;NEUT;SG
فقرات	σπόνδυλο	فَقرَة	σπόνδυλο	N;NOM;INDF;PL	N;ACC;MASC;SG
مزدوج	δυάρι	مزدوج	δυάρι	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
مزدوج	διπλή	مزدوج	διπλός	ADJ;NOM;INDF;MASC;SG	NUM;NOM;FEM;SG
مزدوج	διπλό	مزدوج	διπλός	ADJ;NOM;INDF;MASC;SG	NUM;NOM;NEUT;SG
مزدوج	διπλά	مزدوج	διπλός	ADJ;NOM;INDF;MASC;SG	NUM;NOM;NEUT;PL
مزدوج	διπλός	مزدوج	διπλός	ADJ;NOM;INDF;MASC;SG	DET;NOM;DEF;MASC;SG
كلود	claude	كلود	claude		
كلود	κλωντ	كلود	κλωντ		PROPN;NOM;MASC;SG
كلود	κλοντ	كلود	κλοντ		PROPN;NOM;MASC;SG
العمق	βάθος	عُمق	βάθος	N;NOM;DEF;SG	N;ACC;NEUT;SG
مصنوع	φτιαγμένο	مَصنُوع	φτιαγμένος	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
مصنوع	φτιαγμένα	مَصنُوع	φτιαγμένα	ADJ;NOM;INDF;MASC;SG	ADJ;NOM;NEUT;PL
مصنوع	φτιαγμένη	مَصنُوع	φτιαγμένος	ADJ;NOM;INDF;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
مصنوع	έκανε	مَصنُوع	κάνω	ADJ;NOM;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
غازات	αερίου	غَاز	αέριο	N;NOM;INDF;PL	N;GEN;NEUT;SG
غازات	αέριο	غَاز	αέριο	N;NOM;INDF;PL	N;NOM;NEUT;SG
غازات	βενζίνη	غَاز	βενζίνη	N;NOM;INDF;PL	N;NOM;FEM;SG
غازات	γκάζι	غَاز	γκάζι	N;NOM;INDF;PL	PROPN;NOM;NEUT;SG
داروين	δαρβίνου	دَارُوين	δαρβίνος		N;GEN;NEUT;SG
داروين	δαρβίνος	دَارُوين	δαρβίνος		N;NOM;MASC;SG
كارول	κάρολ	كارول	κάρολ		
كارول	carol	كارول	carol		
تطبق	εφαρμόστηκε	طَبَّق	εφαρμόζω	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;PASS
تطبق	εφαρμόζεται	طَبَّق	εφαρμόζω	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
تطبق	εφαρμοζόμενη	طَبَّق	εφαρμοζόμενος	V;IPFV;FEM;IND;SG;3;FIN;ACT	ADJ;NOM;FEM;SG
تطبق	ισχύουν	طَبَّق	ισχύω	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
كوسوفو	κοσσυφοπέδιο	كُوسُوفُو	κοσσυφοπέδιο		PROPN;NOM;NEUT;SG
كوسوفو	κόσοβο	كُوسُوفُو	κόσοβος		
المستحيل	αδύνατον	مُستَحِيل	αδύνατος	ADJ;NOM;DEF;MASC;SG	ADV
الدجاج	κότα	دَجَاج	κότα	N;NOM;DEF;SG	PROPN;NOM;FEM;SG
السباقات	αγωνιστική	سِبَاقَة	αγωνιστικός	N;NOM;DEF;PL	N;NOM;FEM;SG
السباقات	αγωνιστικά	سِبَاقَة	αγωνιστικά	N;NOM;DEF;PL	ADV
كريمة	κρέμα	كَرِيم	κρέμα	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
كريمة	κρεμ	كَرِيم	κρεμ	ADJ;NOM;INDF;FEM;SG	
جونغ	γιουνγκ	جُونغ	γιουνγκ		NUM;NOM;MASC;SG
جونغ	τζουνγκ	جُونغ	τζουνγκ		N
ساكن	κάτοικοι	سَاكِن	κάτοικος	ADJ;NOM;INDF;MASC;SG	N;NOM;MASC;PL
ساكن	κατοίκους	سَاكِن	κάτοικος	ADJ;NOM;INDF;MASC;SG	N;ACC;MASC;PL
شهيرة	διάσημο	شَهِيرَة	διάσημος	ADJ;NOM;INDF;FEM;SG	N;NOM;NEUT;SG
شهيرة	διάσημος	شَهِيرَة	διάσημος	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;SG
شهيرة	διάσημοι	شَهِيرَة	διάσημος	ADJ;NOM;INDF;FEM;SG	N;NOM;MASC;PL
التجديد	καινοτομίες	تَجدِيد	καινοτομία	N;NOM;DEF;SG	N;NOM;FEM;PL
التجديد	καινοτομίας	تَجدِيد	καινοτομία	N;NOM;DEF;SG	N;GEN;FEM;SG
التجديد	ανανέωση	تَجدِيد	ανανέωση	N;NOM;DEF;SG	N;ACC;FEM;SG
المدرعة	θωρακισμένο	مَدرَعَة	θωρακίζω	N;NOM;DEF;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
المدرعة	θωρακισμένο	مَدرَعَة	θωρακίζω	N;NOM;DEF;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
طبعا	σίγουρα	طَبع	σίγουρα	N;ACC;INDF;SG	ADV
تروي	τροία	رَوَى	τροίος	V;IPFV;FEM;IND;SG;3;FIN;ACT	PROPN;ACC;FEM;SG
تروي	τρόι	رَوَى	τρόι	V;IPFV;FEM;IND;SG;3;FIN;ACT	N
طلعت	ταλάτ	طَلَع	ταλάτ	V;PFV;FEM;SG;3;ACT	
ميغيل	μιγκέλ	مِيغِيل	μιγκέλ		
ميغيل	miguel	مِيغِيل	miguel		
المتقدم	προκαταβολή	مُتَقَدِّم	προκαταβολή	ADJ;NOM;DEF;MASC;SG	N;ACC;FEM;SG
المتقدم	προχωρημένο	مُتَقَدِّم	προχωρώ	ADJ;NOM;DEF;MASC;SG	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
المتقدم	προχωρημένη	مُتَقَدِّم	προχωρώ	ADJ;NOM;DEF;MASC;SG	V;PFV;NOM;FEM;SG;V.PTCP;PASS
لوحظ	παρατηρήθηκαν	لَاحَظ	παρατηρώ	V;PFV;MASC;SG;3;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
لوحظ	σημείωσε	لَاحَظ	σημειώνω	V;PFV;MASC;SG;3;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
يسمع	ακούσω	سَمِع	ακούω	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
موجه	σκηνοθέτησε	مُوَجَّه	σκηνοθετώ	ADJ;NOM;INDF;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
موجه	σκηνοθεσία	مُوَجَّه	σκηνοθεσία	ADJ;NOM;INDF;MASC;SG	N;ACC;FEM;SG
موجه	διάνυσμα	مُوَجَّه	διάνυσμα	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
بطن	κοιλιά	بَطن	κοιλιός		N;NOM;FEM;SG
بطن	μπέλι	بَطن	μπέλι		N
بطن	κοιλιά	بَطن	κοιλιός		N;NOM;FEM;SG
بطن	κοιλία	بَطن	κοιλία		N;NOM;FEM;SG
المهرة	ικανός	مُهرَة	ικανός	N;NOM;DEF;SG	ADJ;NOM;MASC;SG
تصفية	εκκαθάριση	تَصفِيَة	εκκαθάριση	N;NOM;INDF;SG	N;ACC;FEM;SG
تصفية	εκκαθάρισης	تَصفِيَة	εκκαθάριση	N;NOM;INDF;SG	N;GEN;FEM;SG
التذاكر	εισητήρια	تَذَاكُر	εισητήρια	N;NOM;DEF;SG	N;NOM;NEUT;PL
التذاكر	εισιτήρια	تَذَاكُر	εισιτήριο	N;NOM;DEF;SG	N;NOM;NEUT;PL
المشاهير	διασημότητα	مَشهُور	διασημότητα	N;NOM;DEF;PL	N;ACC;FEM;SG
المشاهير	διάσημος	مَشهُور	διάσημος	N;NOM;DEF;PL	N;NOM;MASC;SG
التفتيش	επιθεώρησης	تَفتِيش	επιθεώρηση	N;NOM;DEF;SG	N;GEN;FEM;SG
المعتاد	συνήθεις	مُعتَاد	συνήθης	ADJ;NOM;DEF;MASC;SG	ADJ;NOM;FEM;PL
سوار	βραχιόλι	سُوَار	βραχιόλι		N;NOM;NEUT;SG
تكشف	αποκαλύψει	كَشَف	αποκαλύπτω	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;PFV;3;NFIN;ACT
تكشف	αποκάλυψε	كَشَف	αποκαλύπτω	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
تكشف	αποκάλυψη	كَشَف	αποκάλυψη	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;ACC;FEM;SG
تكشف	αποκαλύπτεται	كَشَف	αποκαλύπτω	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
نيلسون	νέλσον	نيلسون	νέλσον		
نيلسون	nelson	نيلسون	nelson		
الزنك	ψευδαργύρου	الزنك	ψευδάργυρος	N;NOM;DEF;SG	N;GEN;NEUT;SG
استيعاب	απορρόφησης	اِستِيعَاب	απορρόφηση	N;NOM;INDF;SG	N;GEN;FEM;SG
استيعاب	απορρόφηση	اِستِيعَاب	απορρόφηση	N;NOM;INDF;SG	N;ACC;FEM;SG
استيعاب	αφομοίωση	اِستِيعَاب	αφομοίωση	N;NOM;INDF;SG	N;ACC;FEM;SG
سحر	μαγική	سِحر	μαγικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
سحر	μαγεία	سِحر	μαγείο	N;NOM;INDF;SG	N;ACC;FEM;SG
سحر	μαγικά	سِحر	μαγικά	N;NOM;INDF;SG	ADV
سحر	μαγικό	سِحر	μαγικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
تنشيط	ενεργοποίηση	تَنشِيط	ενεργοποίηση	N;NOM;INDF;SG	N;ACC;FEM;SG
تنشيط	ενεργοποίηση	تَنشِيط	ενεργοποίηση	N;NOM;INDF;SG	N;ACC;FEM;SG
تنشيط	ενεργοποίησε	تَنشِيط	ενεργοποιώ	N;NOM;INDF;SG	V;PFV;IND;SG;3;PST;FIN;ACT
السوقية	χυδαιότητα	سُوقِيّ	χυδαιότητα	N;NOM;DEF;SG	N;ACC;FEM;SG
لوثر	λούθερ	لوثر	λούθερ		
شطرنج	σκάκι	شطرنج	σκάκι		N;NOM;NEUT;SG
متجر	shop	مَتجَر	shop		
متجر	κατάστημα	مَتجَر	κατάστημα		N;NOM;NEUT;SG
متجر	μαγαζί	مَتجَر	μαγαζί		N;NOM;NEUT;SG
متجر	κατάστημα	مَتجَر	κατάστημα		N;NOM;NEUT;SG
متجر	μαγαζί	مَتجَر	μαγαζί		N;NOM;NEUT;SG
التنس	τέννις	تَنسّ	τέννις		N;NOM;NEUT;PL
التنس	τένις	تَنسّ	τένις		N;NOM;NEUT;SG
النسر	αρπακτικό	النسر	αρπακτικός	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG
فرعي	υποβρύχιο	فَرعِيّ	υποβρύχιο	ADJ;NOM;INDF;MASC;SG	N;NOM;NEUT;SG
فرعي	υπο	فَرعِيّ	υπο	ADJ;NOM;INDF;MASC;SG	N
استئصال	εκρίζωση	اِستِئصَال	εκρίζωση	N;NOM;INDF;SG	N;ACC;FEM;SG
استئصال	εξάλειψη	اِستِئصَال	εξάλειψη	N;NOM;INDF;SG	N;ACC;FEM;SG
مهددة	απειλείται	مُهَدَّد	απειλώ	ADJ;NOM;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
مهددة	απείλησε	مُهَدَّد	απειλώ	ADJ;NOM;INDF;FEM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
مهددة	απειλούνται	مُهَدَّد	απειλώ	ADJ;NOM;INDF;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN;PASS
جوني	τζόνυ	جُونِيّ	τζόνυ		N
جوني	τζόνι	جُونِيّ	τζόνι		
جوني	johnny	جُونِيّ	johnny		
ضفدع	βάτραχος	ضفدع	βάτραχος		N;NOM;MASC;SG
ضفدع	βάτραχος	ضفدع	βάτραχος		N;NOM;MASC;SG
ضفدع	βάτραχο	ضفدع	βάτραχος		N;NOM;NEUT;SG
جزئية	μερικό	جُزئِيّ	μερικό	ADJ;NOM;INDF;FEM;SG	N;NOM;FEM;SG
المتطوعين	εθελοντές	مُتَطَوِّع	εθελοντής	ADJ;NOM;DEF;MASC;PL	N;NOM;MASC;PL
المشاركون	συμμετέχοντες	مُشَارِك	συμμετέχων	N;NOM;DEF;PL	ADJ;NOM;MASC;PL
تذكارية	αναμνηστικό	تَذكَارِيّ	αναμνηστικός	ADJ;NOM;INDF;FEM;SG	N;NOM;NEUT;SG
تذكارية	αναμνηστικά	تَذكَارِيّ	αναμνηστικά	ADJ;NOM;INDF;FEM;SG	ADV
التغلب	ξεπεράσει	تَغَلُّب	ξεπερνώ	N;NOM;DEF;SG	V;PFV;NFIN;ACT
منهجية	συστηματικές	مُنهَجِيّ	συστηματικός	N;NOM;INDF;SG	ADJ;NOM;FEM;PL
منهجية	συστηματικά	مُنهَجِيّ	συστηματικά	N;NOM;INDF;SG	ADV
منهجية	συστηματικό	مُنهَجِيّ	συστηματικός	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
منهجية	συστηματική	مُنهَجِيّ	συστηματικός	N;NOM;INDF;SG	ADJ;NOM;FEM;SG
البلطيق	βαλτική	بُلط	βαλτικός		ADJ;NOM;FEM;SG
البلطيق	βαλτικής	بُلط	βαλτικός		ADJ;GEN;FEM;SG
تحفيز	τόνωση	تحفيز	τόνωση	N;NOM;INDF;SG	N;ACC;FEM;SG
السويسرية	ελβετικό	سُوِيسرِيَّة	ελβετικός	N;NOM;DEF;SG	ADJ;NOM;NEUT;SG
السويسرية	ελβετική	سُوِيسرِيَّة	ελβετικός	N;NOM;DEF;SG	ADJ;NOM;FEM;SG
السويسرية	ελβετικής	سُوِيسرِيَّة	ελβετικός	N;NOM;DEF;SG	ADJ;GEN;FEM;SG
زائد	συν	زَائِد	συν	ADJ;NOM;INDF;MASC;SG	N
زائد	plus	زَائِد	plus	ADJ;NOM;INDF;MASC;SG	
