tennessee	tennessee	tennessee	tennesse	PROPN	PROPN;NOM;MASC;SG
aug	avg	augi	avg		N;NOM;MASC;SG
bobby	bobi	bobby	bobiti	PROPN	N;NOM;MASC;SG
bobby	bobby	bobby	bobby	PROPN	PROPN;NOM;MASC;SG
sever	hude	sever	hud	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
sever	hudo	sever	hudo	ADJ;INDF;MASC;SG	ADV
sever	sever	sever	sever	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
faze	faz	fază	faz	N;INDF;FEM;PL	N;NOM;FEM;SG
pielea	koža	piele	koža	N;DEF;FEM;SG	N;NOM;FEM;SG
pielea	koži	piele	koža	N;DEF;FEM;SG	N;DAT;FEM;SG
pielea	kože	piele	koža	N;DEF;FEM;SG	N;GEN;FEM;SG
pielea	kožo	piele	koža	N;DEF;FEM;SG	N;ACC;FEM;SG
abordare	pristop	abordare	pristop	N;INDF;FEM;SG	N;NOM;MASC;SG
abordare	prilet	abordare	prilet	N;INDF;FEM;SG	
abordare	pristopi	abordare	pristop	N;INDF;FEM;SG	N;NOM;MASC;PL
vorbind	govorjenje	vorbi	govorjenje	V;V.MSDR	N;NOM;NEUT;SG
bretagne	bretagne	bretagnu	bretagna	PROPN	ADJ;NOM;FEM;PL
mina	mina	mină	mina	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
mina	roki	mină	roka	N;DEF;FEM;SG	N;NOM;FEM;DU
mina	roka	mină	roka	N;DEF;FEM;SG	N;NOM;MASC;SG
pactului	pakt	pact	pakt	N;DEF;MASC;SG	N;NOM;MASC;SG
cameron	cameron	cameron	cameron	PROPN	N;NOM;MASC;SG
revistele	revije	revistă	revija	N;DEF;FEM;PL	N;NOM;FEM;PL
decisiv	odločilno	decisiv	odločilen	ADJ;INDF;MASC;SG	ADV
salbatice	divja	salbatic	divji	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
salbatice	wild	salbatic	wild	ADJ;INDF;FEM;PL	
salbatice	divji	salbatic	divji	ADJ;INDF;FEM;PL	ADJ;NOM;DEF;MASC;SG
definitia	opredelitev	definitie	opredelitev	N;DEF;FEM;SG	N;NOM;FEM;SG
definitia	definicija	definitie	definicija	N;DEF;FEM;SG	N;NOM;FEM;SG
stins	ugasne	stins	ugasen	ADJ;INDF;MASC;SG	V;PFV;IND;SG;3;PRS;FIN
stins	zbledela	stins	zbledeti	ADJ;INDF;MASC;SG	V;PFV;FEM;SG;V.PTCP
averea	bogastva	avere	bogastvo	N;DEF;FEM;SG	N;GEN;NEUT;SG
averea	bogastvo	avere	bogastvo	N;DEF;FEM;SG	N;NOM;NEUT;SG
averea	premoženje	avere	premoženje	N;DEF;FEM;SG	N;NOM;NEUT;SG
practicat	vadil	practica	vaditi	ADJ;INDF;MASC;SG	V;IPFV;MASC;SG;V.PTCP
practicat	vadila	practica	vaditi	ADJ;INDF;MASC;SG	V;IPFV;FEM;SG;V.PTCP
practicat	vadili	practica	vaditi	ADJ;INDF;MASC;SG	V;IPFV;MASC;PL;V.PTCP
dati	dej	da	daj		V;PFV;IMP;SG;2;FIN
dati	daj	da	daj		V;PFV;IMP;SG;2;FIN
tinta	tarča	tinta	tarča	N;DEF;FEM;SG	N;NOM;FEM;SG
tinta	ciljna	tinta	ciljen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
tinta	tarča	tinta	tarča	N;DEF;FEM;SG	N;NOM;FEM;SG
tinta	ciljna	tinta	ciljen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
comunitatile	skupnostim	comunitate	skupnost	N;DEF;FEM;PL	N;DAT;FEM;PL
comunitatile	skupnosti	comunitate	skupnost	N;DEF;FEM;PL	N;GEN;FEM;PL
nenumarate	nešteto	nenumarat	nešteto	ADJ;INDF;FEM;PL	DET
nenumarate	nešteto	nenumarat	nešteto	ADJ;INDF;FEM;PL	DET
vanzare	prodajo	vanzare	prodaja	N;INDF;FEM;SG	N;ACC;FEM;SG
vanzare	prodaja	vanzare	prodaja	N;INDF;FEM;SG	N;NOM;FEM;SG
vanzare	prodajo	vanzare	prodaja	N;INDF;FEM;SG	N;ACC;FEM;SG
vanzare	prodaja	vanzare	prodaja	N;INDF;FEM;SG	N;NOM;FEM;SG
cunostinta	znanec	cunostinta	znanec	N;DEF;FEM;SG	N;NOM;MASC;SG
cunostinta	znanec	cunostinta	znanec	N;DEF;FEM;SG	N;NOM;MASC;SG
varul	sorodnik	var	sorodnik	N;DEF;MASC;SG	N;NOM;MASC;SG
varul	sestrična	var	sestričen	N;DEF;MASC;SG	ADJ;NOM;FEM;SG
varul	bratranec	var	bratranec	N;DEF;MASC;SG	N;NOM;MASC;SG
mer	mer	mer	mera		N;NOM;MASC;SG
automata	samodejno	automată	samodejno	N;DEF;FEM;SG	ADV
automata	avtomatsko	automată	avtomatsko	N;DEF;FEM;SG	ADV
automata	samodejni	automată	samodejen	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
automata	samodejna	automată	samodejen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
refugiati	begunci	refugia	begunec	ADJ;INDF;MASC;PL	N;NOM;MASC;PL
refugiati	beguncev	refugia	begunec	ADJ;INDF;MASC;PL	N;GEN;MASC;PL
refugiati	begunci	refugia	begunec	ADJ;INDF;MASC;PL	N;NOM;MASC;PL
refugiati	beguncev	refugia	begunec	ADJ;INDF;MASC;PL	N;GEN;MASC;PL
fereastra	okence	fereastră	okenca	N;DEF;FEM;SG	N;ACC;MASC;PL
fereastra	okno	fereastră	okno	N;DEF;FEM;SG	N;NOM;NEUT;SG
fereastra	okence	fereastră	okenca	N;DEF;FEM;SG	N;ACC;MASC;PL
fereastra	okno	fereastră	okno	N;DEF;FEM;SG	N;NOM;NEUT;SG
propaganda	propagando	propagandă	propaganda	N;DEF;FEM;SG	N;ACC;FEM;SG
propaganda	propaganda	propagandă	propaganda	N;DEF;FEM;SG	N;NOM;FEM;SG
propaganda	propagando	propagandă	propaganda	N;DEF;FEM;SG	N;ACC;FEM;SG
propaganda	propaganda	propagandă	propaganda	N;DEF;FEM;SG	N;NOM;FEM;SG
dominat	prevladovala	domina	prevladovati	ADJ;INDF;MASC;SG	V;IPFV;FEM;SG;V.PTCP
creasca	rastejo	crească	rasti	N;DEF;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN
creasca	rasti	crească	rasti	N;DEF;FEM;SG	V;IPFV;NFIN
creasca	gojil	crească	gojiti	N;DEF;FEM;SG	V;IPFV;MASC;SG;V.PTCP
creasca	zrasti	crească	zrasti	N;DEF;FEM;SG	V;PFV;NFIN
rebel	upornik	rebel	upornik	ADJ;INDF;MASC;SG	N;NOM;MASC;SG
rebel	upornikov	rebel	upornik	ADJ;INDF;MASC;SG	N;GEN;MASC;PL
rebel	uporniško	rebel	uporniški	ADJ;INDF;MASC;SG	ADV
lantul	verigo	lant	veriga	N;DEF;MASC;SG	N;ACC;FEM;SG
lantul	verige	lant	veriga	N;DEF;MASC;SG	N;NOM;FEM;PL
lantul	veriga	lant	veriga	N;DEF;MASC;SG	N;NOM;FEM;SG
uruguay	urugvaj	uruguay	urugvaj	PROPN	N;NOM;FEM;SG
abbasid	abasidski	abbasid	abasidski	N;INDF;MASC;SG	ADJ;NOM;MASC;PL
iugoslaviei	jugoslavija	iugoslavie	jugoslavija	PROPN;DEF;FEM;SG	N;NOM;FEM;SG
iugoslaviei	jugoslavijo	iugoslavie	jugoslavija	PROPN;DEF;FEM;SG	N;ACC;FEM;SG
damian	damian	damian	damian	PROPN	PROPN;NOM;MASC;SG
preluarea	pridobivanje	preluare	pridobivanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
preluarea	prevzem	preluare	prevzem	N;DEF;FEM;SG	N;NOM;MASC;SG
judecator	judge	judecator	judgo	N;INDF;MASC;SG	
judecator	judge	judecator	judgo	N;INDF;MASC;SG	
semneaza	podpišite	semneaza	podpisati	V;IND;SG;3;IPFV;FIN	V;PFV;IMP;PL;2;FIN
semneaza	znak	semneaza	znak	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG
semneaza	podpišite	semneaza	podpisati	V;IND;SG;3;IPFV;FIN	V;PFV;IMP;PL;2;FIN
semneaza	znak	semneaza	znak	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG
hugh	hugh	hugh	hugh	PROPN	N;NOM;MASC;SG
termica	toplotno	termica	toplotno	N;DEF;FEM;SG	ADV
laos	laosu	laos	laos	ADV	N;DAT;MASC;SG
argumentele	trditve	argument	trditev	N;DEF;FEM;PL	N;NOM;FEM;PL
argumentele	utemeljitve	argument	utemeljitev	N;DEF;FEM;PL	N;NOM;FEM;PL
argumentele	argumenti	argument	argument	N;DEF;FEM;PL	N;NOM;MASC;PL
fir	žice	fir	žica	N;INDF;MASC;SG	N;NOM;FEM;PL
legiunea	legija	legiune	legija	N;DEF;FEM;SG	N;NOM;FEM;SG
legiunea	legijo	legiune	legati	N;DEF;FEM;SG	N;ACC;FEM;SG
localizata	nahaja	localizat	nahajati	ADJ;DEF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
localizata	krajevno	localizat	krajeven	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG
localizata	lokalizirano	localizat	lokalizirano	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
triburile	plemen	trib	plemen	N;DEF;FEM;PL	N;GEN;FEM;PL
triburile	plemena	trib	pleme	N;DEF;FEM;PL	N;NOM;NEUT;PL
mon	mon	mon	mon		
lisa	lisa	lisa	lisa	N;DEF;FEM;SG	N;NOM;FEM;SG
lisa	liso	lisa	lisa	N;DEF;FEM;SG	N;ACC;FEM;SG
platoul	plato	platou	plato	N;DEF;MASC;SG	N;ACC;FEM;SG
pasarile	ptic	pasarilă	ptica	N;DEF;FEM;PL	N;GEN;FEM;PL
pasarile	ptički	pasarilă	ptiček	N;DEF;FEM;PL	N;NOM;MASC;PL
pasarile	ptiči	pasarilă	ptič	N;DEF;FEM;PL	N;NOM;MASC;PL
pasarile	ptice	pasarilă	ptica	N;DEF;FEM;PL	N;NOM;FEM;PL
pasarile	ptiče	pasarilă	ptič	N;DEF;FEM;PL	N;ACC;MASC;PL
pasarile	ptic	pasarilă	ptica	N;DEF;FEM;PL	N;GEN;FEM;PL
pasarile	ptički	pasarilă	ptiček	N;DEF;FEM;PL	N;NOM;MASC;PL
pasarile	ptiči	pasarilă	ptič	N;DEF;FEM;PL	N;NOM;MASC;PL
pasarile	ptice	pasarilă	ptica	N;DEF;FEM;PL	N;NOM;FEM;PL
pasarile	ptiče	pasarilă	ptič	N;DEF;FEM;PL	N;ACC;MASC;PL
arcul	lok	arc	lok	N;DEF;MASC;SG	N;NOM;MASC;SG
arcul	premec	arc	premec	N;DEF;MASC;SG	N;NOM;MASC;SG
square	kvadratnih	square	kvadraten	N;INDF;MASC;SG	ADJ;GEN;MASC;PL
doc	dohtar	doc	dohtar		N;NOM;MASC;SG
doc	doc	doc	doc		N;NOM;MASC;SG
doc	dok	doc	dok		N;NOM;MASC;SG
incet	počasi	incet	počasi		ADV
call	poklici	call	poklic	N;INDF;MASC;SG	N;NOM;MASC;PL
call	pokliči	call	poklic	N;INDF;MASC;SG	V;PFV;IMP;SG;2;FIN
call	pokličite	call	poklicati	N;INDF;MASC;SG	V;PFV;IMP;PL;2;FIN
cerul	sky	cer	sky	N;DEF;MASC;SG	
cerul	nebo	cer	nebo	N;DEF;MASC;SG	N;NOM;NEUT;SG
esentiale	bistveno	esential	bistveno	ADJ;INDF;FEM;PL	ADV
esentiale	bistvena	esential	bistven	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
transferul	premestitev	transfer	premestitev	N;DEF;MASC;SG	N;NOM;FEM;SG
transferul	prenos	transfer	prenos	N;DEF;MASC;SG	N;NOM;MASC;SG
creatorul	stvarnika	creator	stvarnik	N;DEF;MASC;SG	N;ANIM;ACC;MASC;SG
creatorul	ustvarjalec	creator	ustvarjalec	N;DEF;MASC;SG	N;NOM;MASC;SG
creatorul	stvarnik	creator	stvarnik	N;DEF;MASC;SG	N;NOM;MASC;SG
companiile	podjetja	companie	podjetje	N;DEF;FEM;PL	N;NOM;NEUT;PL
companiile	družbe	companie	družba	N;DEF;FEM;PL	N;NOM;FEM;PL
silvia	silvia	silvie	silvia	N;DEF;FEM;SG	N;NOM;FEM;SG
silvia	sylvia	silvie	sylvia	N;DEF;FEM;SG	N;NOM;FEM;SG
gibson	gibson	gibson	gibson	PROPN	N;NOM;MASC;SG
inconjurata	obkrožen	inconjurat	obkrožen	ADJ;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
inconjurata	obkrožena	inconjurat	obkrožen	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
inconjurata	obkoljena	inconjurat	obkoljen	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
viktor	viktor	viktor	viktor	PROPN	N;NOM;MASC;SG
babes	bejbe	babes	bejba	N;INDF;MASC;SG	N;NOM;FEM;PL
babes	bejbe	babes	bejba	N;INDF;MASC;SG	N;NOM;FEM;PL
adulti	odrasle	adult	odrasel		ADJ;NOM;FEM;PL;V.PTCP
adulti	odrasli	adult	odrasel		ADJ;NOM;MASC;PL;V.PTCP
adulti	odraslih	adult	odrasel		ADJ;GEN;MASC;PL;V.PTCP
adulti	odrasel	adult	odrasel		ADJ;NOM;INDF;MASC;SG;V.PTCP
adulti	odrasli	adult	odrasel		ADJ;NOM;MASC;PL;V.PTCP
adulti	odrasle	adult	odrasel		ADJ;NOM;FEM;PL;V.PTCP
adulti	odrasli	adult	odrasel		ADJ;NOM;MASC;PL;V.PTCP
nivele	ravni	nivel	raven	N;INDF;FEM;PL	N;NOM;FEM;SG
estadio	estadio	estadio	estadio	PROPN	N;NOM;MASC;SG
atribuita	pripisala	atribuit	pripisati	N;DEF;FEM;SG	V;PFV;FEM;SG;V.PTCP
atribuita	dodeljena	atribuit	dodeljen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
atribuita	dodeljene	atribuit	dodeljen	N;DEF;FEM;SG	ADJ;NOM;FEM;PL;V.PTCP
atribuita	dodeljena	atribuit	dodeljen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
atribuita	dodeljeno	atribuit	dodeljen	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
atribuita	dodeljen	atribuit	dodeljen	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
atribuita	dodeljeni	atribuit	dodeljen	N;DEF;FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
wood	les	wood	les	PROPN	N;NOM;MASC;SG
wood	wood	wood	wood	PROPN	PROPN;NOM;MASC;SG
wood	lesena	wood	lesen	PROPN	ADJ;NOM;FEM;SG
wood	lesa	wood	les	PROPN	N;GEN;MASC;SG
wood	lesni	wood	lesen	PROPN	ADJ;NOM;DEF;MASC;SG
wood	leseno	wood	lesen	PROPN	ADJ;NOM;NEUT;SG
geo	geo	geo	geo	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
coordonatele	koordinate	coordonată	koordinata	N;DEF;FEM;PL	N;NOM;FEM;PL
johan	johan	johan	johan	PROPN	N;NOM;MASC;SG
santos	santos	santos	santos	PROPN	N;NOM;MASC;SG
armament	oborožitve	armament	oborožitev	N;INDF;MASC;SG	N;NOM;FEM;PL
credit	zasluge	credit	zasluga	N;INDF;MASC;SG	N;NOM;FEM;PL
credit	kreditne	credit	krediten	N;INDF;MASC;SG	ADJ;NOM;FEM;PL
credit	kreditno	credit	krediten	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
simfonia	simfonija	simfonie	simfonija	N;DEF;FEM;SG	N;NOM;FEM;SG
visul	sanje	vis	sanja	N;DEF;MASC;SG	N;NOM;FEM;PL
visul	dream	vis	dream	N;DEF;MASC;SG	N;NOM;MASC;SG
visul	sanjsko	vis	sanjski	N;DEF;MASC;SG	ADJ;NOM;NEUT;SG
eddie	eddie	eddie	eddie	PROPN	N;NOM;MASC;SG
opozitia	nasprotovanje	opozitie	nasprotovanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
opozitia	nasprotovanja	opozitie	nasprotovanje	N;DEF;FEM;SG	N;GEN;NEUT;SG
opozitia	opozicija	opozitie	opozicija	N;DEF;FEM;SG	N;NOM;FEM;SG
opozitia	opozicije	opozitie	opozicija	N;DEF;FEM;SG	N;NOM;FEM;PL
jorge	jorge	jorge	jorga	PROPN	N;NOM;MASC;SG
atribuite	pripisala	atribuit	pripisati	ADJ;INDF;FEM;PL	V;PFV;FEM;SG;V.PTCP
atribuite	dodeljena	atribuit	dodeljen	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
atribuite	dodeljena	atribuit	dodeljen	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
atribuite	dodeljeno	atribuit	dodeljen	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
atribuite	dodeljen	atribuit	dodeljen	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
bursa	bratovščina	bursă	bratovščina	N;DEF;FEM;SG	N;NOM;FEM;SG
bursa	štipendijo	bursă	štipendija	N;DEF;FEM;SG	N;ACC;FEM;SG
bursa	štipendijo	bursă	štipendija	N;DEF;FEM;SG	N;ACC;FEM;SG
bursa	štipendija	bursă	štipendija	N;DEF;FEM;SG	N;NOM;FEM;SG
bursa	bursa	bursă	burs	N;DEF;FEM;SG	PROPN;NOM;FEM;SG
bursa	štipendijo	bursă	štipendija	N;DEF;FEM;SG	N;ACC;FEM;SG
bursa	štipendija	bursă	štipendija	N;DEF;FEM;SG	N;NOM;FEM;SG
dragomir	dragomir	dragomir	dragomir	PROPN	N;NOM;MASC;SG
reciproc	medsebojna	reciproc	medsebojen	ADV	ADJ;NOM;FEM;SG
extra	dodatno	extra	dodatno		ADV
extra	dodaten	extra	dodaten		ADJ;NOM;INDF;MASC;SG
avansate	napredno	avansat	napreden	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
avansate	napredna	avansat	napreden	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
avansate	napreden	avansat	napreden	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG
antena	krožnik	antena	krožnik	N;DEF;FEM;SG	N;NOM;MASC;SG
antena	jed	antena	jed	N;DEF;FEM;SG	N;NOM;FEM;SG
antena	antena	antena	anteno	N;DEF;FEM;SG	N;NOM;FEM;SG
antena	antene	antena	anten	N;DEF;FEM;SG	N;NOM;FEM;PL
antena	anteno	antena	anten	N;DEF;FEM;SG	N;ACC;FEM;SG
antena	antena	antena	anteno	N;DEF;FEM;SG	N;NOM;FEM;SG
antena	antene	antena	anten	N;DEF;FEM;SG	N;NOM;FEM;PL
antena	anteno	antena	anten	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	senca	umbră	senca	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	senco	umbră	senca	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	senci	umbră	senca	N;DEF;FEM;SG	N;DAT;FEM;SG
umbra	sence	umbră	senca	N;DEF;FEM;SG	N;NOM;FEM;PL
umbra	senca	umbră	senca	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	senci	umbră	senca	N;DEF;FEM;SG	N;DAT;FEM;SG
umbra	senco	umbră	senca	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	odtenek	umbră	odtenek	N;DEF;FEM;SG	N;NOM;MASC;SG
umbra	senca	umbră	senca	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	senco	umbră	senca	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	senci	umbră	senca	N;DEF;FEM;SG	N;DAT;FEM;SG
umbra	sence	umbră	senca	N;DEF;FEM;SG	N;NOM;FEM;PL
umbra	senca	umbră	senca	N;DEF;FEM;SG	N;NOM;FEM;SG
umbra	senci	umbră	senca	N;DEF;FEM;SG	N;DAT;FEM;SG
umbra	senco	umbră	senca	N;DEF;FEM;SG	N;ACC;FEM;SG
umbra	odtenek	umbră	odtenek	N;DEF;FEM;SG	N;NOM;MASC;SG
vocala	samoglasnik	vocală	samoglasnik	N;DEF;FEM;SG	N;NOM;MASC;SG
vocala	samoglasnik	vocală	samoglasnik	N;DEF;FEM;SG	N;NOM;MASC;SG
creuse	creuse	creus	creus	V;IND;SG;3;PST+PRF;FIN	N;NOM;MASC;SG
omorat	umorili	omora	umoriti	ADJ;INDF;MASC;SG	V;PFV;MASC;PL;V.PTCP
omorat	umorjeni	omora	umorjen	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
omorat	ubitih	omora	ubit	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL;V.PTCP
omorat	ubita	omora	ubiti	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;DU;V.PTCP
marturii	pričevanje	marturie	pričevanje	N;INDF;FEM;PL	N;NOM;NEUT;SG
marturii	pričanje	marturie	pričanje	N;INDF;FEM;PL	N;NOM;NEUT;SG
aaron	aaron	aaron	aaron	PROPN	N;NOM;MASC;SG
aaron	aron	aaron	arona	PROPN	N;NOM;MASC;SG
falls	slapovi	fall	slap	PROPN	N;NOM;MASC;PL
falls	falls	fall	falls	PROPN	N;NOM;MASC;SG
falls	pade	fall	pasti	PROPN	V;PFV;IND;SG;3;PRS;FIN
falls	padci	fall	padec	PROPN	N;NOM;MASC;PL
transformare	preoblikovanje	transformare	preoblikovanje	N;INDF;FEM;SG	N;NOM;NEUT;SG
transformare	transformacije	transformare	transformacija	N;INDF;FEM;SG	N;NOM;FEM;PL
transformare	preobrazba	transformare	preobrazba	N;INDF;FEM;SG	N;NOM;FEM;SG
academica	akademske	academică	akademski	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
academica	akademsko	academică	akademski	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
academica	akademski	academică	akademski	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
promoveaza	spodbujanje	promoveaza	spodbujanje	V;IND;SG;3;IPFV;FIN	N;NOM;NEUT;SG
promoveaza	zagon	promoveaza	zagon	V;IND;SG;3;IPFV;FIN	N;NOM;MASC;SG
digitale	digitalnega	digital	digitalen	ADJ;INDF;FEM;PL	ADJ;GEN;NEUT;SG
digitale	digitalna	digital	digitalen	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
digitale	digitalno	digital	digitalen	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
digitale	digitalni	digital	digitalen	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
grafic	graf	grafic	graf	ADV	N;NOM;MASC;SG
grafic	grafični	grafic	grafičen	ADV	ADJ;NOM;MASC;SG
grafic	grafično	grafic	grafičen	ADV	ADJ;NOM;NEUT;SG
grafic	graf	grafic	graf	ADV	N;NOM;MASC;SG
contul	račun	cont	račun	N;DEF;MASC;SG	N;NOM;MASC;SG
pedeapsa	kazen	pedeapsă	kazen	N;DEF;FEM;SG	N;NOM;FEM;SG
pedeapsa	kazni	pedeapsă	kazen	N;DEF;FEM;SG	N;NOM;FEM;PL
pedeapsa	kazen	pedeapsă	kazen	N;DEF;FEM;SG	N;NOM;FEM;SG
pedeapsa	kaznovanje	pedeapsă	kaznovanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
pedeapsa	kazen	pedeapsă	kazen	N;DEF;FEM;SG	N;NOM;FEM;SG
pedeapsa	kazni	pedeapsă	kazen	N;DEF;FEM;SG	N;NOM;FEM;PL
pedeapsa	kazen	pedeapsă	kazen	N;DEF;FEM;SG	N;NOM;FEM;SG
pedeapsa	kaznovanje	pedeapsă	kaznovanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
mei	mei	meu	jaz	DET;MASC;PL;1	PROPN;NOM;MASC;SG
sevilla	sevilla	sevilla	sevilel	PROPN	PROPN;NOM;FEM;SG
sevilla	seville	sevilla	sevilel	PROPN	N;NOM;FEM;PL
domnule	gospod	domn	gospod	N;VOC;DEF;MASC;SG	N;NOM;MASC;SG
definite	opredeljen	definit	opredeljen	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
definite	opredeljeno	definit	opredeljen	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
definite	opredeljena	definit	opredeljen	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
pauza	pavza	pauză	pavza	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	premor	pauză	premor	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	break	pauză	break	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	zlomil	pauză	zlomiti	N;DEF;FEM;SG	V;PFV;MASC;SG;V.PTCP
pauza	zlomi	pauză	zlom	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	break	pauză	break	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	zlomil	pauză	zlomiti	N;DEF;FEM;SG	V;PFV;MASC;SG;V.PTCP
pauza	zlomi	pauză	zlom	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	pavza	pauză	pavza	N;DEF;FEM;SG	N;NOM;MASC;SG
pauza	premor	pauză	premor	N;DEF;FEM;SG	N;NOM;MASC;SG
allan	allan	allan	allan	PROPN	PROPN;NOM;MASC;SG
seminarul	seminarja	seminar	seminar	N;DEF;MASC;SG	N;NOM;MASC;SG
seminarul	seminar	seminar	seminar	N;DEF;MASC;SG	N;NOM;MASC;SG
globala	svetovna	globală	svetoven	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
globala	globalni	globală	globalen	ADJ;DEF;FEM;SG	ADJ;NOM;MASC;SG
globala	globalno	globală	globalen	ADJ;DEF;FEM;SG	ADV
globala	svetovno	globală	svetoven	ADJ;DEF;FEM;SG	ADJ;NOM;NEUT;SG
torre	torre	torre	torra	PROPN	N;NOM;MASC;SG
conan	conan	conan	conan	PROPN	PROPN;NOM;MASC;SG
brescia	brescia	brescie	bresci	PROPN	PROPN;NOM;FEM;SG
circuitul	vezja	circuit	vezja	N;DEF;MASC;SG	N;NOM;FEM;SG
circuitul	vezje	circuit	vezja	N;DEF;MASC;SG	N;NOM;NEUT;SG
circuitul	dirkališče	circuit	dirkališče	N;DEF;MASC;SG	N;NOM;NEUT;SG
infrant	poražen	infrant	poražen		ADJ;NOM;INDF;MASC;SG;V.PTCP
infrant	premagani	infrant	premagan		ADJ;NOM;MASC;PL;V.PTCP
infrant	poraženi	infrant	poražen		ADJ;NOM;MASC;PL;V.PTCP
infrant	premagan	infrant	premagan		ADJ;NOM;INDF;MASC;SG;V.PTCP
hrusciov	hruščov	hrusciov	hrušč	N;INDF;MASC;SG	N;GEN;MASC;PL
ferrara	ferrara	ferrara	ferrar	PROPN	N;NOM;MASC;SG
string	niz	stringe	niz		N;NOM;MASC;SG
string	vrvica	stringe	vrvica		N;NOM;FEM;SG
string	vrvico	stringe	vrvica		N;ACC;FEM;SG
string	vrvice	stringe	vrvica		N;NOM;FEM;PL
julian	julien	julian	julien	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
mandatului	mandat	mandat	mandat	N;DEF;MASC;SG	N;NOM;MASC;SG
mandatului	mandata	mandat	mandat	N;DEF;MASC;SG	N;NOM;MASC;SG
mandatului	pooblastila	mandat	pooblastilo	N;DEF;MASC;SG	N;NOM;NEUT;PL
collins	collins	collins	collins	PROPN	PROPN;NOM;MASC;SG
ontario	ontario	ontario	ontari	PROPN	PROPN;NOM;NEUT;SG
valoroase	dragoceno	valoros	dragocen	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG
