月	قمر	月	قَمَر	N	
尼斯	جميل	尼斯	جَمِيل	PROPN	N;NOM;INDF;SG
尼斯	لطيف	尼斯	لطيف	PROPN	N;NOM;INDF;SG
汗	تعرق	汗	عَرَّق	N	
汗	خان	汗	خان	N	
汗	عرق	汗	عَرِق	N	
南極	انتاركتيكا	南極	إِنتَارِكتِيكَا	PROPN	
南極	انتاركتيكا	南極	إِنتَارِكتِيكَا	PROPN	
廣播	راديو	廣播	راديو	N	
比例	نسب	比例	نَسَب	N	V;PFV;MASC;SG;3;PASS
比例	متناسبة	比例	مُتَنَاسِب	N	ADJ;NOM;INDF;FEM;SG
比例	متناسب	比例	مُتَنَاسِب	N	ADJ;NOM;INDF;MASC;SG
偶像	معبود	偶像	معبود	N	ADJ;NOM;INDF;MASC;SG
偶像	المعبود	偶像	مَعبُود	N	
偶像	ايدول	偶像	أَيدُول	N	
側	جنب	側	جَنب	N	
它們	انهم	它	اِنهَمّ	PRO;PL;3	
鍾	الساعة	鍾	سَاعَة	PROPN	N;NOM;DEF;SG
鍾	ساعة	鍾	سَاعَة	PROPN	N;NOM;INDF;SG
鍾	الساعه	鍾	اَلسَّاعه	PROPN	N;NOM;DEF;SG
飛行	طيران	飛行	طَيَرَان	V	N;NOM;INDF;SG
飛行	الطيران	飛行	طَيَرَان	V	N;NOM;DEF;SG
飛行	الرحلة	飛行	رِحلَة	V	N;NOM;DEF;SG
飛行	طيران	飛行	طَيَرَان	V	N;NOM;INDF;SG
飛行	الطيران	飛行	طَيَرَان	V	N;NOM;DEF;SG
統一	موحدة	統一	مُوَحَّد	V	ADJ;NOM;INDF;FEM;SG
統一	موحد	統一	مُوَحَّد	V	ADJ;NOM;INDF;MASC;SG
統一	وحدة	統一	وَحدَة	V	N;NOM;INDF;SG
統一	الوحدة	統一	وَحدَة	V	N;NOM;DEF;SG
統一	التوحيد	統一	تَوحِيد	V	N;NOM;DEF;SG
統一	توحيد	統一	تَوحِيد	V	N;NOM;INDF;SG
統一	المواءمة	統一	مُوَاءَمَة	V	N;NOM;DEF;SG
冬	وينتر	冬	وينتر	N	
冬	ونتر	冬	ونتر	N	
恢復	اعادة	恢復	إِعَادَة	V	N;NOM;INDF;SG
恢復	استعادة	恢復	اِستِعَادَة	V	N;NOM;INDF;SG
恢復	الاستعادة	恢復	اِستِعَادَة	V	N;NOM;DEF;SG
恢復	الترميم	恢復	تَرمِيم	V	N;NOM;DEF;SG
恢復	ترميم	恢復	تَرمِيم	V	N;NOM;INDF;SG
恢復	استرداد	恢復	اِستِردَاد	V	N;NOM;INDF;SG
恢復	تعافي	恢復	عَافَى	V	N;NOM;INDF;SG
恢復	التعافي	恢復	تَعَافِي	V	N;NOM;DEF;SG
恢復	الانتعاش	恢復	اِنتِعَاش	V	N;NOM;DEF;SG
恢復	الانعاش	恢復	إِنعَاش	V	N;NOM;DEF;SG
恢復	استئناف	恢復	اِستِئنَاف	V	N;NOM;INDF;SG
綠	ميدوري	綠	ميدوري	N	
綠	اخضر	綠	أَخضَر	N	
綠	خضراء	綠	خَضِير	N	
綠	خضر	綠	خضر	N	
退役	متقاعد	退役	مُتَقَاعِد	V	ADJ;NOM;INDF;MASC;SG
退役	تقاعد	退役	تَقَاعُد	V	N;NOM;INDF;SG
退役	المتقاعدين	退役	مُتَقَاعِد	V	N;NOM;DEF;PL
框	مربع	框	مُرَبَّع	N	ADJ;NOM;INDF;MASC;SG
框	بوكس	框	بوكس	N	
住宅	سكني	住宅	سَكَنِيّ	N	ADJ;NOM;INDF;MASC;SG
伊朗	ايران	伊朗	إِيرَان	PROPN	N;NOM;INDF;SG
伊朗	ايراني	伊朗	إِيرَانِيّ	PROPN	ADJ;NOM;INDF;MASC;SG
伊朗	الايرانية	伊朗	إِيرَانِيّ	PROPN	ADJ;NOM;DEF;FEM;SG
伊朗	الايراني	伊朗	إِيرَانِيّ	PROPN	N;NOM;DEF;SG
圍	واى	圍	واى	N	
莊	المصرفي	莊	مَصرِفِيّ	PROPN	ADJ;NOM;DEF;MASC;SG
莊	مصرفي	莊	مَصرِفِيّ	PROPN	ADJ;NOM;INDF;MASC;SG
混合	هجين	混合	هجين	V	N;NOM;INDF;SG
混合	الهجين	混合	الهجين	V	N;NOM;DEF;SG
混合	المختلطة	混合	مُختَلِط	V	ADJ;NOM;DEF;FEM;SG
混合	ميكس	混合	ميكس	V	
混合	المزيج	混合	مَزِيج	V	N;NOM;DEF;SG
混合	مزيج	混合	مَزِيج	V	N;NOM;INDF;SG
混合	مزج	混合	مَزج	V	N;NOM;INDF;SG
混合	مختلط	混合	مُختَلِط	V	ADJ;NOM;INDF;MASC;SG
混合	مختلطة	混合	مُختَلِط	V	ADJ;NOM;INDF;FEM;SG
混合	المختلطة	混合	مُختَلِط	V	ADJ;NOM;DEF;FEM;SG
混合	المختلط	混合	مُختَلِط	V	N;NOM;DEF;SG
混合	مزج	混合	مَزج	V	N;NOM;INDF;SG
混合	خلطة	混合	خَلطَة	V	N;NOM;INDF;SG
混合	مزيج	混合	مَزِيج	V	N;NOM;INDF;SG
混合	الخلط	混合	خَلط	V	N;NOM;DEF;SG
混合	خلط	混合	خَلط	V	N;NOM;INDF;SG
殺	اقتل	殺	اِقتَلّ	V	
莫斯科	موسكو	莫斯科	مُوسكُو	PROPN	
希臘	يوناني	希臘	يُونَانِيّ	PROPN	ADJ;NOM;INDF;MASC;SG
希臘	يونانية	希臘	يُونَانِيّ	PROPN	ADJ;NOM;INDF;FEM;SG
希臘	اليوناني	希臘	يُونَانِيّ	PROPN	ADJ;NOM;DEF;MASC;SG
希臘	اليونانية	希臘	يُونَانِيّ	PROPN	ADJ;NOM;DEF;FEM;SG
希臘	يونان	希臘	يونان	PROPN	
希臘	اليونان	希臘	يُونَان	PROPN	N;NOM;DEF;SG
法案	بيل	法案	بِيل	N	
有限	محدودية	有限	مَحدُودِيَّة	ADJ	N;NOM;INDF;SG
戰士	الجندى	戰士	جُندِيّ	N	
被	اجبرت	被	أَجبَر	V;PASS	V;PFV;FEM;SG;3;ACT
被	اجبر	被	أَجبَر	V;PASS	V;PFV;MASC;SG;3;ACT
被	مجبر	被	مُجَبِّر	V;PASS	ADJ;NOM;INDF;MASC;SG
被	القسري	被	قَسرِيّ	V;PASS	ADJ;NOM;DEF;MASC;SG
合成	صناعي	合成	صِنَاعِيّ	N	ADJ;NOM;INDF;MASC;SG
合成	اصطناعية	合成	اِصطِنَاعِيّ	N	ADJ;NOM;INDF;FEM;SG
合成	الاصطناعية	合成	اِصطِنَاعِيّ	N	ADJ;NOM;DEF;FEM;SG
合成	اصطناعي	合成	اِصطِنَاعِيّ	N	ADJ;NOM;INDF;MASC;SG
合成	صناعية	合成	صِنَاعِيّ	N	ADJ;NOM;INDF;FEM;SG
四十	الاربعين	四十	أَربَعُون	NUM	N;NOM;DEF;DU
罪	ذنوب	罪	ذَنُوب	N	
鳥	طير	鳥	طَير	N	
鳥	بيرد	鳥	بِيرد	N	
鳥	عصفور	鳥	عُصفُور	N	
鳥	الطيور	鳥	طَير	N	
鳥	طيور	鳥	طَير	N	
教練	كوتش	教練	كوتش	N	
展示	اظهار	展示	اظهار	V	N;NOM;INDF;SG
展示	عرض	展示	عَرض	V	N;NOM;INDF;SG
展示	العرض	展示	عَرض	V	N;NOM;DEF;SG
展示	اعرض	展示	أَعرَض	V	
展示	عرض	展示	عَرض	V	N;NOM;INDF;SG
展示	العرض	展示	عَرض	V	N;NOM;DEF;SG
湘	شيانغ	湘	شيانغ	PROPN	
只要	مجرد	只要	مُجَرَّد	ADP	N;NOM;INDF;SG
只要	فقط	只要	فَقَط	ADP	ADV
義大利	ايطاليا	義大利	إِيطَالِيَا	PROPN	
義大利	ايطالي	義大利	إِيطَالِيّ	PROPN	ADJ;NOM;INDF;MASC;SG
義大利	الايطالية	義大利	إِيطَالِيَّة	PROPN	N;NOM;DEF;SG
義大利	ايطالية	義大利	إِيطَالِيّ	PROPN	ADJ;NOM;INDF;FEM;SG
義大利	ايطاليا	義大利	إِيطَالِيَا	PROPN	
義大利	الايطالي	義大利	إِيطَالِيّ	PROPN	N;NOM;DEF;SG
讀	قرا	讀	قِرّ	V	N;NOM;INDF;SG
讀	القراءة	讀	قِرَاءَة	V	N;NOM;DEF;SG
讀	قراءة	讀	قِرَاءَة	V	N;NOM;INDF;SG
讀	اقرا	讀	أَقَرّ	V	
讀	القراءة	讀	قِرَاءَة	V	N;NOM;DEF;SG
讀	قراءة	讀	قِرَاءَة	V	N;NOM;INDF;SG
讀	اقرا	讀	أَقَرّ	V	
很快	قريبا	很快	قَرِيب	ADV	ADJ;ACC;INDF;MASC;SG
追	تشيس	追	شِيس	V	
追	المطاردة	追	مُطَارَدَة	V	N;NOM;DEF;SG
追	مطاردة	追	مُطَارَدَة	V	N;NOM;INDF;SG
厚	سميك	厚	سميك	PART	ADJ;NOM;INDF;MASC;SG
厚	سميكة	厚	سمِيكَة	PART	ADJ;NOM;INDF;FEM;SG
統治	عهد	統治	عَهد	V	N;NOM;INDF;SG
藩	النطاق	藩	نِطَاق	PROPN	N;NOM;DEF;SG
藩	مجال	藩	مَجَال	PROPN	N;NOM;INDF;SG
藩	المجال	藩	مَجَال	PROPN	N;NOM;DEF;SG
部落	القبلية	部落	قَبَلِيّ	N	ADJ;NOM;DEF;FEM;SG
圓	الدائرة	圓	دَائِرَة		N;NOM;DEF;SG
圓	دائرة	圓	دَائِرَة		N;NOM;INDF;SG
圓	مستديرة	圓	مُستَدِير		ADJ;NOM;INDF;FEM;SG
圓	الجولة	圓	جَولَة		N;NOM;DEF;SG
幫助	المساعدة	幫助	مُسَاعَدَة	V	N;NOM;DEF;SG
幫助	مساعدة	幫助	مُسَاعَدَة	V	N;NOM;INDF;SG
教會	كنيسه	教會	كنيسه	N	PRO;NOM;MASC;SG;3
教會	كنيست	教會	كَنِيس	N	
連結	الربط	連結	رَبط	V	N;NOM;DEF;SG
連結	الوصل	連結	وَصَل	V	N;NOM;DEF;SG
連結	الرابط	連結	رَابِط	V	N;NOM;DEF;SG
連結	لينك	連結	لينك	V	
連結	وصلة	連結	وِصلَة	V	N;NOM;INDF;SG
連結	ربط	連結	رَبط	V	N;NOM;INDF;SG
連結	رابط	連結	رابط	V	N;NOM;INDF;SG
連結	ربط	連結	رَبط	V	N;NOM;INDF;SG
連結	تواصل	連結	تَوَاصُل	V	N;NOM;INDF;SG
連結	التواصل	連結	تَوَاصُل	V	N;NOM;DEF;SG
連結	للتواصل	連結	للتواصل	V	N;GEN;DEF;SG
設定	ضبط	設定	ضَبط	V	N;NOM;INDF;SG
設定	تعيين	設定	تَعيِين	V	N;NOM;INDF;SG
設定	اعدادات	設定	إِعدَاد	V	N;NOM;INDF;PL
記者	صحفية	記者	صُحُفِيّ	N	ADJ;NOM;INDF;FEM;SG
記者	صحفي	記者	صُحُفِيّ	N	ADJ;NOM;INDF;MASC;SG
星系	غالاكسي	星系	غالاكسي	N	
鳳	فينيكس	鳳	فينيكس	PROPN	
鳳	فينكس	鳳	فينكس	PROPN	
假	زائف	假	زَائِف	N	ADJ;NOM;INDF;MASC;SG
假	وهمية	假	وَهمِيّ	N	ADJ;NOM;INDF;FEM;SG
假	زائف	假	زَائِف	N	ADJ;NOM;INDF;MASC;SG
假	مزيفة	假	مُزَيَّف	N	ADJ;NOM;INDF;FEM;SG
留下	ابقي	留下	ابقي	V	
留下	ابقى	留下	ابقى	V	
留下	البقاء	留下	بَقَاء	V	N;NOM;DEF;SG
留下	ابق	留下	ابق	V	
領	الطوق	領	طَوق		N;NOM;DEF;SG
領	طوق	領	طَوق		N;NOM;INDF;SG
合理	المعقول	合理	مَعقُول	N	
合理	معقولة	合理	مَعقُول	N	ADJ;NOM;INDF;FEM;SG
挪威	النرويجية	挪威	نُروِيجِيّ	PROPN	N;NOM;DEF;SG
挪威	النرويج	挪威	نُرُويج	PROPN	
挪威	النرويج	挪威	نُرُويج	PROPN	
所	موقع	所	مَوقِع	ADV	N;NOM;INDF;SG
所	الموقع	所	مَوقِع	ADV	N;NOM;DEF;SG
所	المكان	所	مَكَان	ADV	N;NOM;DEF;SG
解釋	تفسيرات	解釋	تَفسِير	V	N;NOM;INDF;PL
解釋	توضيحات	解釋	تَوضِيح	V	N;NOM;INDF;PL
解釋	التفسيرات	解釋	تَفسِير	V	N;NOM;DEF;PL
解釋	الشرح	解釋	شَرح	V	N;NOM;DEF;SG
解釋	شرح	解釋	شَرح	V	
解釋	توضيح	解釋	تَوضِيح	V	N;NOM;INDF;SG
解釋	التفسير	解釋	تَفسِير	V	N;NOM;DEF;SG
解釋	تفسير	解釋	تَفسِير	V	N;NOM;INDF;SG
解釋	تعليل	解釋	تَعلِيل	V	N;NOM;INDF;SG
解釋	شرح	解釋	شَرح	V	
刀	سيف	刀	سيف	N	
刀	سيفا	刀	سيفا	N	
刀	سكينة	刀	سَكِينَة	N	
刀	سكين	刀	سَكَين	N	
批評	الانتقاد	批評	اِنتِقَاد	V	N;NOM;DEF;SG
批評	انتقادات	批評	اِنتِقَاد	V	N;NOM;INDF;PL
批評	انتقاد	批評	اِنتِقَاد	V	N;NOM;INDF;SG
批評	الانتقادات	批評	اِنتِقَاد	V	N;NOM;DEF;PL
批評	نقد	批評	نَقد	V	N;NOM;INDF;SG
批評	النقد	批評	نَقد	V	N;NOM;DEF;SG
批評	انتقادات	批評	اِنتِقَاد	V	N;NOM;INDF;PL
批評	الانتقادات	批評	اِنتِقَاد	V	N;NOM;DEF;PL
太子	برنس	太子	برنس	N	
太子	برينس	太子	برِينس	N	
檔案	محفوظات	檔案	مَحفُوظ	N	ADJ;NOM;INDF;FEM;PL
檔案	ارشيف	檔案	ارشيف	N	
爵士	جاز	爵士	جَاز	N	V;PFV;MASC;SG;3;ACT
國會	الكونغرس	國會	اَلكُونغرِس	N	
國會	الكونجرس	國會	اَلكُونجرِس	N	
國會	كونغرس	國會	كُونغرِس	N	
病毒	فيروس	病毒	فَيرُوس	N	
病毒	فيرس	病毒	فَيرَس	N	
富士	فوجي	富士	فَوجِيّ	PROPN	
阿根廷	الارجنتين	阿根廷	أَرجَنتِين	PROPN	
當選	منتخب	當選	مُنتَخَب	V	N;NOM;INDF;SG
當選	المنتخب	當選	مُنتَخَب	V	N;NOM;DEF;SG
創	ترون	創	رَأَى		V;IPFV;MASC;IND;SG;2;FIN;ACT
計算	احسب	計算	أَحسَب	V	
計算	حساب	計算	حِسَاب	V	N;NOM;INDF;SG
計算	حساب	計算	حِسَاب	V	N;NOM;INDF;SG
計算	الحوسبة	計算	حُوسبَة	V	N;NOM;DEF;SG
計算	الحساب	計算	حِسَاب	V	N;NOM;DEF;SG
計算	حساب	計算	حِسَاب	V	N;NOM;INDF;SG
計算	حسابات	計算	حِسَاب	V	N;NOM;INDF;PL
計算	الحسابات	計算	حِسَاب	V	N;NOM;DEF;PL
對手	منافس	對手	مُنَافِس	N	
對手	خصوم	對手	خَصم	N	
對手	خصم	對手	خصم	N	
碧	بي	碧	بِي	PROPN	
一	اليوم	一	يَوم	NUM	N;ACC;DEF;SG
一	يوم	一	يَوم	NUM	N;NOM;INDF;SG
一	نهار	一	نَهَار	NUM	
錢	فلوس	錢	فِلم	N	
錢	مال	錢	مَال	N	
晉	الجن	晉	جُنّ	PROPN	N;NOM;DEF;SG
廣東	الكانتونية	廣東	كَانتُونِيّ	PROPN	
棒球	بيسبول	棒球	بِيسبُول	N	
中立	محايدة	中立	مُحَايَدَة	N	ADJ;NOM;INDF;FEM;SG
化石	الحفريات	化石	حَفرِيَّات	N	
持有	حيازة	持有	حِيَازَة	V	N;NOM;INDF;SG
持有	الحيازة	持有	حِيَازَة	V	N;NOM;DEF;SG
持有	الاستحواذ	持有	اِستِحوَاذ	V	N;NOM;DEF;SG
持有	امتلاك	持有	اِمتِلَاك	V	N;NOM;INDF;SG
理解	مفهوم	理解	مَفهُوم	V	N;NOM;INDF;SG
理解	التفاهم	理解	تَفَاهُم	V	N;NOM;DEF;SG
理解	التفهم	理解	تَفَهُّم	V	N;NOM;DEF;SG
理解	الفهم	理解	فَهم	V	N;NOM;DEF;SG
理解	تفاهم	理解	تَفَاهُم	V	N;NOM;INDF;SG
其	بالحقيقة	其	بِلحَقِيقَة	PRO;3	N;NOM;DEF;SG
波蘭	بولندا	波蘭	بُولَندَا	PROPN	
美洲	امريكا	美洲	أَمرِيكَا	PROPN	
美洲	اميركا	美洲	أَمِيرِكَا	PROPN	
美洲	الامريكتين	美洲	أَمرِيكَة	PROPN	N;ACC;DEF;DU
恆星	نجم	恆星	نجم	N	
恆星	ستار	恆星	سِتَار	N	
挑戰	تحديات	挑戰	تَحَدِّي	V	N;NOM;INDF;PL
挑戰	التحديات	挑戰	تَحَدِّي	V	N;NOM;DEF;PL
挑戰	التحدي	挑戰	تَحَدِّي	V	N;NOM;DEF;SG
挑戰	تحدي	挑戰	تَحَدِّي	V	N;NOM;INDF;SG
挑戰	تحدى	挑戰	تَحَدِّي	V	
挑戰	تحديا	挑戰	تَحَدِّي	V	N;ACC;INDF;SG
挑戰	تحدي	挑戰	تَحَدِّي	V	N;NOM;INDF;SG
東方	شرقي	東方	شَرقِيّ	N	ADJ;NOM;INDF;MASC;SG
東方	ايست	東方	أَيسَت	N	
東方	الشرقية	東方	شَرقِيّ	N	ADJ;NOM;DEF;FEM;SG
東方	شرقي	東方	شَرقِيّ	N	ADJ;NOM;INDF;MASC;SG
東方	شرقية	東方	شَرقِيّ	N	ADJ;NOM;INDF;FEM;SG
東方	الشرقية	東方	شَرقِيّ	N	ADJ;NOM;DEF;FEM;SG
東方	شرقي	東方	شَرقِيّ	N	ADJ;NOM;INDF;MASC;SG
東方	شرقية	東方	شَرقِيّ	N	ADJ;NOM;INDF;FEM;SG
東方	الشرقية	東方	شَرقِيّ	N	ADJ;NOM;DEF;FEM;SG
賈	جيا	賈	جيا	PROPN	
幾乎	تقريبا	幾乎	تَقرِيب	ADV	N;ACC;INDF;SG
阿拉	الله	阿拉	اَللّٰه	PROPN	N;NOM;DEF;SG
玲	لينغ	玲	لينغ	PROPN	
玲	لينج	玲	لينج	PROPN	
月球	قمر	月球	قَمَر	N	
地圖	خريطه	地圖	خريطه	N	PRO;NOM;MASC;SG;3
杭州	هانغتشو	杭州	هَانغتشُو	PROPN	
女兒	بنت	女兒	بَنَى	N	V;PFV;FEM;SG;3;ACT
結婚	الزواج	結婚	زَوَاج	V	N;NOM;DEF;SG
結婚	زواج	結婚	زَوَاج	V	N;NOM;INDF;SG
引用	نقلا	引用	نَقل	V	N;ACC;INDF;SG
引用	اقتباس	引用	اِقتِبَاس	V	N;NOM;INDF;SG
引用	الاقتباس	引用	اِقتِبَاس	V	N;NOM;DEF;SG
引用	اقتباسات	引用	اِقتِبَاس	V	N;NOM;INDF;PL
請求	الطلبات	請求	طَلَب	V	N;NOM;DEF;PL
請求	طلبات	請求	طَلَب	V	N;NOM;INDF;PL
請求	طلب	請求	طَلَب	V	N;NOM;INDF;SG
請求	الطلب	請求	طَلَب	V	N;NOM;DEF;SG
殖民	المستعمرات	殖民	مُستَعمَر	V	N;NOM;DEF;PL
殖民	المستعمرة	殖民	مُستَعمِر	V	N;NOM;DEF;SG
殖民	مستعمرة	殖民	مُستَعمِر	V	N;NOM;INDF;SG
原子	الذرية	原子	ذُريَة	N	
原子	ذرية	原子	ذُرِّيَّة	N	ADJ;NOM;INDF;FEM;SG
菲律賓	الفلبينية	菲律賓	فِلِبِّينِيّ	PROPN	ADJ;NOM;DEF;FEM;SG
菲律賓	الفلبين	菲律賓	الفلبين	PROPN	
菲律賓	بالفلبين	菲律賓	بالفلبين	PROPN	
觀眾	جماهير	觀眾	جُمهُور	N	
進攻	هجوم	進攻	هُجُوم	V	N;NOM;INDF;SG
進攻	الهجوم	進攻	هُجُوم	V	N;NOM;DEF;SG
珊	صن	珊	صَن	PROPN	
珊	شمس	珊	شمس	PROPN	
珊	الشمس	珊	شَمس	PROPN	N;NOM;DEF;SG
貓	القط	貓	قَطّ	N	
貓	قط	貓	قَطّ	N	
貓	كات	貓	كَات	N	
吸引	الجذب	吸引	جَذب	V	N;NOM;DEF;PL
吸引	جاذبية	吸引	جَاذِبِيَّة	V	N;NOM;INDF;SG
吸引	جذب	吸引	جَذب	V	N;NOM;INDF;SG
吸引	جذب	吸引	جَذب	V	N;NOM;INDF;SG
吸引	اجتذاب	吸引	اِجتِذَاب	V	N;NOM;INDF;SG
吸引	جذب	吸引	جَذب	V	N;NOM;INDF;SG
測試	اختبر	測試	اِختَبَر	N	
專業	مهنية	專業	مِهنِيّ	N	ADJ;NOM;INDF;FEM;SG
專業	مهني	專業	مِهنِيّ	N	ADJ;NOM;INDF;MASC;SG
專業	محترف	專業	مُحتَرَف	N	ADJ;NOM;INDF;MASC;SG
專業	احترافية	專業	احترافية	N	ADJ;NOM;INDF;FEM;SG
旅遊	السياحية	旅遊	سِيَاحِيّ	N	ADJ;NOM;DEF;FEM;SG
石油	بترول	石油	بِترُول	N	
石油	بترول	石油	بِترُول	N	
浪	الامواج	浪	مَاج		N;NOM;DEF;PL
浪	موج	浪	مَوج		N;NOM;INDF;SG
浪	موجات	浪	مَوجَة		N;NOM;INDF;PL
浪	امواج	浪	امواج		
浪	الموجات	浪	مُوَجَّات		N;NOM;DEF;PL
浪	الموجة	浪	مُوجَة		N;NOM;DEF;SG
浪	لوح	浪	لَوح		
浪	موجة	浪	مَوجَة		N;NOM;INDF;SG
需求	يحتاج	需求	اِحتَاج	N	V;IPFV;MASC;IND;SG;3;FIN;ACT
內部	الداخلية	內部	دَاخِلِيّ	N	ADJ;NOM;DEF;FEM;SG
內部	داخلي	內部	دَاخِلِيّ	N	ADJ;NOM;INDF;MASC;SG
內部	داخلية	內部	دَاخِلِيّ	N	ADJ;NOM;INDF;FEM;SG
內部	الداخلي	內部	دَاخِلِيّ	N	ADJ;NOM;DEF;MASC;SG
內部	داخل	內部	دَاخِلَ	N	ADP;ACC
內部	داخلي	內部	دَاخِلِيّ	N	ADJ;NOM;INDF;MASC;SG
內部	الداخلية	內部	دَاخِلِيّ	N	ADJ;NOM;DEF;FEM;SG
內部	داخلي	內部	دَاخِلِيّ	N	ADJ;NOM;INDF;MASC;SG
內部	داخلية	內部	دَاخِلِيّ	N	ADJ;NOM;INDF;FEM;SG
內部	داخليا	內部	دَاخِلِيّ	N	ADJ;ACC;INDF;MASC;SG
內部	داخليا	內部	دَاخِلِيّ	N	ADJ;ACC;INDF;MASC;SG
失	ضائع	失	ضَائِع	V	ADJ;NOM;INDF;MASC;SG
日文	ياباني	日文	يَابَانِيّ	N	ADJ;NOM;INDF;MASC;SG
日文	اليابانية	日文	يَابَانِيّ	N	ADJ;NOM;DEF;FEM;SG
特里	تيري	特里	تِيرِي	PROPN	
公爵	ديوك	公爵	دَيك	N	
公爵	دوق	公爵	دَوق	N	
降低	تخفيض	降低	تَخفِيض	V	N;NOM;INDF;SG
降低	انخفاض	降低	اِنخِفَاض	V	N;NOM;INDF;SG
降低	النقصان	降低	نِقصَان	V	N;NOM;DEF;SG
降低	نقصان	降低	نقصان	V	N;NOM;INDF;SG
降低	خفض	降低	خَفض	V	N;NOM;INDF;SG
軟體	البرمجيات	軟體	بَرمَجِيّ	N	
每日	يوميا	每日	يَومِيّ	N	ADJ;ACC;INDF;MASC;SG
每日	اليومية	每日	يَومِيّ	N	ADJ;NOM;DEF;FEM;SG
每日	اليومي	每日	يَومِيّ	N	ADJ;NOM;DEF;MASC;SG
每日	يومية	每日	يَومِيّ	N	ADJ;NOM;INDF;FEM;SG
每日	يوميا	每日	يَومِيّ	N	ADJ;ACC;INDF;MASC;SG
拒絕	انخفاض	拒絕	اِنخِفَاض	V	N;NOM;INDF;SG
拒絕	انحدار	拒絕	اِنحِدَار	V	N;NOM;INDF;SG
拒絕	الانحدار	拒絕	اِنحِدَار	V	N;NOM;DEF;SG
拒絕	الحرمان	拒絕	حَرم	V	N;NOM;DEF;SG
拒絕	انكار	拒絕	إِنكَار	V	N;NOM;INDF;SG
拒絕	الرفض	拒絕	رَفض	V	N;NOM;DEF;SG
原始	الخام	原始	خَام	N	ADJ;NOM;DEF;MASC;SG
原始	خام	原始	خَام	N	ADJ;NOM;INDF;MASC;SG
原始	الاصلي	原始	أَصلِيّ	N	ADJ;NOM;DEF;MASC;SG
原始	اصلي	原始	أَصلِيّ	N	
原始	الاصلية	原始	أَصلِيّ	N	ADJ;NOM;DEF;FEM;SG
原始	الاصل	原始	أَصل	N	
原始	اصلية	原始	أَصلِيّ	N	ADJ;NOM;INDF;FEM;SG
尖	مدببة	尖	مُدبِب	PART	ADJ;NOM;INDF;FEM;SG
尖	مدبب	尖	مُدبَب	PART	ADJ;NOM;INDF;MASC;SG
潭	تام	潭	تَامّ	PROPN	ADJ;NOM;INDF;MASC;SG
俱樂部	نادى	俱樂部	نَادِي	N	
俱樂部	نادي	俱樂部	نادي	N	
俱樂部	كلوب	俱樂部	كلوب	N	
減少	انخفاض	減少	اِنخِفَاض	V	N;NOM;INDF;SG
減少	انحدار	減少	اِنحِدَار	V	N;NOM;INDF;SG
減少	الانحدار	減少	اِنحِدَار	V	N;NOM;DEF;SG
減少	تقليل	減少	تَقلِيل	V	N;NOM;INDF;SG
減少	التخفيض	減少	تَخفِيض	V	N;NOM;DEF;SG
減少	تخفيض	減少	تَخفِيض	V	N;NOM;INDF;SG
減少	انخفاض	減少	اِنخِفَاض	V	N;NOM;INDF;SG
減少	النقصان	減少	نِقصَان	V	N;NOM;DEF;SG
減少	نقصان	減少	نقصان	V	N;NOM;INDF;SG
減少	خفض	減少	خَفض	V	N;NOM;INDF;SG
減少	مخفضة	減少	مخفضة	V	ADJ;NOM;INDF;FEM;SG
知名	الرؤية	知名	رُؤيَة	ADJ	N;NOM;DEF;SG
身體	جسد	身體	جَسَد	N	
硬	بجد	硬	بَجدَ	PART	
硬	صعب	硬	صَعب	PART	ADJ;NOM;INDF;MASC;SG
硬	صعبة	硬	صَعب	PART	ADJ;NOM;INDF;FEM;SG
碼頭	المرسى	碼頭	مَرسَى	N	
女	ممثله	女	ممثله	N	PRO;NOM;MASC;SG;3
邱	تشيو	邱	تشيو	PROPN	
邱	كيو	邱	كيو	PROPN	
肖	شو	肖	شو	N	
生	ولد	生	وَلَد	V	N;NOM;INDF;SG
生	مولود	生	مولود	V	N;NOM;INDF;SG
風格	موديلات	風格	مُودِيل	N	
風格	ستايل	風格	ستايل	N	
這裡	هنا	這裡	هُنَا	PRO	ADV
勝利	نصر	勝利	نصر	N	
勝利	النصر	勝利	النصر	N	
女王	qu	女王	مَثّ	N	
蒙特	مونت	蒙特	مونت	PROPN	
天皇	امبراطور	天皇	امبراطور	N	
每天	يوميا	每天	يَومِيّ	DET	ADJ;ACC;INDF;MASC;SG
邀請	دعوة	邀請	دَعوَة	V	N;NOM;INDF;SG
邀請	الدعوة	邀請	دَعوَة	V	N;NOM;DEF;SG
邀請	مدعو	邀請	مَدعُوّ	V	N;NOM;INDF;SG
邀請	الدعوات	邀請	دَعوَة	V	N;NOM;DEF;PL
邀請	دعوات	邀請	دَعوَة	V	N;NOM;INDF;PL
邀請	دعوة	邀請	دَعوَة	V	N;NOM;INDF;SG
邀請	الدعوة	邀請	دَعوَة	V	N;NOM;DEF;SG
邀請	الدعوات	邀請	دَعوَة	V	N;NOM;DEF;PL
邀請	دعوات	邀請	دَعوَة	V	N;NOM;INDF;PL
傳說	الاسطورة	傳說	أُسطُورَة	V	N;NOM;DEF;SG
傳說	اسطورة	傳說	أُسطُورَة	V	N;NOM;INDF;SG
傳說	اساطير	傳說	أُسطُورَة	V	N;NOM;INDF;PL
傳說	الاساطير	傳說	أُسطَاطِير	V	N;NOM;DEF;PL
