procurar	für	procurar	für	V	ADP
imperfecto	dem	imperfecto	der	ADJ	PRO;DAT;NEUT;SG
imperfecto	den	imperfecto	der	ADJ	DET;ACC;DEF;MASC;SG
imperfecto	das	imperfecto	der	ADJ	PRO;NOM;NEUT;SG
budde	budde	budde	budd	N	
flipper	flipper	flipper	flipper	PROPN	ADJ
refuxiados	flüchtlinge	refuxiado	flüchtlinge	N	ADJ;NOM;FEM;PL
refuxiados	flüchtling	refuxiado	flüchtlingen	N	ADJ
refuxiados	flüchtlinge	refuxiado	flüchtlinge	N	ADJ;NOM;FEM;PL
refuxiados	flüchtlingen	refuxiado	flüchtlingen	N	ADJ
refuxiados	flüchtling	refuxiado	flüchtlingen	N	ADJ
viñan	come	vir	come	V	PROPN
viñan	sie	vir	sie	V	PRO;NOM;FEM;SG;3
cambian	wechsel	cambiar	wechsel	V	ADV
cambian	veränderung	cambiar	veränderung	V	N;NOM;FEM;SG
cambian	änderung	cambiar	änderung	V	N;NOM;FEM;SG
honestidade	aufrichtigkeit	honestidade	aufrichtigkeit	N	ADJ
honestidade	ehrlichkeit	honestidade	ehrlichkeit	N	
granxas	bauernhof	granxa	bauernhof	N	ADJ
mozart	mozarts	mozart	mozarts	N	PROPN;NOM;MASC;SG
mozart	mozart	mozart	mozart	N	PROPN
dados	würfel	dar	würfel	V	
mestra	lehrer	mestra	lehr	N	ADJ
mestra	dozent	mestra	dozent	N	ADJ
mestra	lehrerin	mestra	lehrerin	N	ADJ
mestra	meisterwerk	mestra	meisterwerk	N	ADJ
occidental	western	occidental	western	ADJ	PROPN;NOM;SG
occidental	westen	occidental	westen	ADJ	ADV
occidental	west	occidental	west	ADJ	
occidental	westen	occidental	westen	ADJ	ADV
actuación	performance	actuación	performance	N	ADJ;NOM;FEM;PL
king	königs	king	königs	PROPN	
king	king	king	köngen	PROPN	
king	könig	king	könig	PROPN	N;NOM;SG
andy	andy	andy	andy	PROPN	PROPN;NOM;MASC;SG
archie	archie	archie	archie	PROPN	PROPN;NOM;SG
fantasía	fantasy	fantasía	fantasy	N	PROPN
fantasía	phantasie	fantasía	phantasie	N	
fantasía	fantasie	fantasía	fantasie	N	ADJ
xulgar	judge	xulgar	judg	V	
xulgar	richter	xulgar	richter	V	ADJ
xulgar	richterin	xulgar	richterin	V	ADJ
vicepresidente	vize	vicepresidente	vize	N	
vicepresidente	sitte	vicepresidente	sitte	N	
vicepresidente	vizepräsidentin	vicepresidente	vizepräsidentin	N	ADJ
vicepresidente	vizepräsident	vicepresidente	vizepräsident	N	ADJ
vicepresidente	vice	vicepresidente	vice	N	PROPN
vicepresidente	präsidenten	vicepresidente	präsident	N	ADJ;PL
vicepresidente	vorsitzender	vicepresidente	vorsitzend	N	ADJ
vicepresidente	präsident	vicepresidente	präsident	N	ADJ
vicepresidente	präsidentin	vicepresidente	präsidentin	N	ADJ
fase	stufe	fase	stufen	N	ADJ
fase	stage	fase	stage	N	
fase	phase	fase	phase	N	
veredes	schau	verede	schau	V	;SG
veredes	see	verede	see	V	
veredes	ihr	verede	ihr	V	PRO;NOM;MASC;SG
veredes	dich	verede	du	V	
veredes	du	verede	du	V	PRO;NOM;SG;2
veredes	dir	verede	dur	V	
veredes	sie	verede	sie	V	PRO;NOM;FEM;SG;3
deixala	lassen	deixala	lassen	ADV	V;NFIN
deixala	zulassen	deixala	zulassen	ADV	V;NFIN
deixala	lass	deixala	laß	ADV	V;IND;SG;2;PRS;FIN
deixala	let	deixala	let	ADV	PROPN
deixala	ihr	deixala	ihr	ADV	PRO;NOM;MASC;SG
deixala	ihre	deixala	ihr	ADV	DET;NOM;FEM;SG
deixala	ihr	deixala	ihr	ADV	PRO;NOM;MASC;SG
deixala	dich	deixala	du	ADV	
deixala	du	deixala	du	ADV	PRO;NOM;SG;2
deixala	dir	deixala	dur	ADV	
deixala	sie	deixala	sie	ADV	PRO;NOM;FEM;SG;3
anderson	anderson	anderson	anderson	PROPN	PROPN;NOM;MASC;SG
contesta	antwort	contesta	antworen	V	
pagas	zahlen	paga	zahlen	N	V;NFIN
pagas	bezahlen	paga	bezahlen	N	V;NFIN
pagas	pay	paga	pay	N	PROPN;NOM;SG
pagas	ihr	paga	ihr	N	PRO;NOM;MASC;SG
pagas	dich	paga	du	N	
pagas	du	paga	du	N	PRO;NOM;SG;2
pagas	dir	paga	dur	N	
pagas	sie	paga	sie	N	PRO;NOM;FEM;SG;3
preguntoume	sowie	preguntoume	sowie	V	CONJ
preguntoume	und	preguntoume	und	V	CONJ
impedir	stopp	impedir	stopp	V	
impedir	stop	impedir	stopen	V	PROPN
congreso	kongresse	congreso	kongreß	N	PROPN;NOM;SG
congreso	kongress	congreso	kongreß	N	PROPN;NOM;SG
recibiron	erhaltene	recibir	erhalten	V	ADJ;NOM;FEM;PL
recibiron	erhalten	recibir	erhalten	V	ADJ;V.PTCP
béisbol	baseball	béisbol	baseball	N	ADJ
béisbol	baseballspieler	béisbol	baseballspiel	N	ADJ
medrei	wuchs	medrar	wachsen	ADV	V;IND;SG;3;PST;FIN
reto	challenge	reto	challeng	N	
reto	herausforderung	reto	herausforderung	N	ADJ;NOM;FEM;SG
postura	position	postura	position	N	
postura	stellung	postura	Stellung	N	
interacción	wechselwirkung	interacción	wechselwirkung	N	
interacción	interaktion	interacción	interaktion	N	PROPN
interacción	interaktionen	interacción	interaktion	N	V;NFIN
impotencia	ohnmacht	impotencia	ohnmacht	N	ADJ
relacionado	verwandte	relacionar	verwenden	V	
relacionado	verwandt	relacionar	verwandt	V	ADJ
relacionado	verbundene	relacionar	verbunden	V	ADJ;NOM;FEM;SG
tocas	ihr	toca	ihr	V	PRO;NOM;MASC;SG
tocas	dich	toca	du	V	
tocas	du	toca	du	V	PRO;NOM;SG;2
tocas	dir	toca	dur	V	
tocas	sie	toca	sie	V	PRO;NOM;FEM;SG;3
despedida	adieu	despedir	adieu	N	
despedida	lebewohl	despedir	lebewohl	N	
despedida	abschied	despedir	abscheiden	N	
ego	ego	ego	ego	N	
prioridades	prioritäten	prioridade	priorität	N	V;NFIN
prioridades	schwerpunkte	prioridade	schwerpunkt	N	ADJ;SG
largo	holen	largo	holen	N	V;NFIN
largo	erhalte	largo	erhalten	N	V;SG;FIN
largo	erhalten	largo	erhalten	N	ADJ;V.PTCP
largo	bekommen	largo	bekommen	N	V;NFIN
largo	bekomme	largo	bekommen	N	V;IND;SG;3;PRS;FIN
largo	aus	largo	aus	N	ADP
largo	ausgehen	largo	ausgehen	N	V;NFIN
largo	draußen	largo	draußen	N	ADV
largo	raus	largo	raus	N	ADV
largo	out	largo	out	N	PROPN
experto	fachmann	experto	fachmann	N	
experto	experten	experto	expert	N	V;IND;PL;3;FIN
experto	experte	experto	expern	N	
experto	sachverständiger	experto	sachverständig	N	ADJ
experto	sachverständige	experto	sachverständig	N	ADJ;NOM;FEM;PL
referencia	verweis	referencia	verweis	N	V;IND;SG;3;PST;FIN
referencia	bezug	referencia	bezugen	N	V;IND;SG;3;PST;FIN
referencia	referenz	referencia	referenz	N	ADJ
tiveses	ihr	ter	ihr	V	PRO;NOM;MASC;SG
tiveses	dich	ter	du	V	
tiveses	du	ter	du	V	PRO;NOM;SG;2
tiveses	dir	ter	dur	V	
tiveses	sie	ter	sie	V	PRO;NOM;FEM;SG;3
preocupar	über	preocupar	über	V	ADP
preocupar	etwa	preocupar	etwa	V	ADV
preocupar	sorge	preocupar	sorgen	V	
necesitaba	notwendig	necesitar	notwendig	V	ADJ
necesitaba	erforderlich	necesitar	erforderlich	V	ADJ
gafas	sonnenbrillen	gafo	sonnenbrillen	N	V;NFIN
gafas	gläser	gafo	glas	N	ADJ
gafas	brille	gafo	brill	N	
gafas	gläsern	gafo	gläsern	N	V;NFIN
secundarios	seite	secundario	seit	ADJ	N
secundarios	side	secundario	side	ADJ	
secreto	geheim	secreto	geheim	N	ADJ
secreto	secret	secreto	secren	N	PROPN;SG
secreto	geheimen	secreto	geheimen	N	ADJ
secreto	heimlich	secreto	heimlich	N	ADJ
verdadeiros	stimmt	verdadeiro	stimmen	ADJ	V;IND;SG;3;PRS;FIN
verdadeiros	true	verdadeiro	treen	ADJ	
verdadeiros	richtig	verdadeiro	richtig	ADJ	ADV
desafío	challenge	desafío	challeng	N	
desafío	herausforderung	desafío	herausforderung	N	ADJ;NOM;FEM;SG
desafío	missachtung	desafío	mißtachtung	N	
desafío	defiance	desafío	defiance	N	PROPN;NOM;SG
capturar	erfassung	capturar	erfassung	V	ADJ
capturar	abscheidung	capturar	abscheidung	V	PROPN
profundidade	tiefe	profundidade	tief	N	
profundidade	tiefen	profundidade	tief	N	V;NFIN
profundidade	tiefe	profundidade	tief	N	
profundidade	tief	profundidade	tief	N	ADJ
profundidade	deep	profundidade	deep	N	
profundidade	tiefen	profundidade	tief	N	V;NFIN
capas	schichten	capa	schicht	N	V;NFIN
capas	lagen	capa	liegen	N	V;IND;PL;3;PST;FIN
capas	layer	capa	layer	N	PROPN
capas	ebenen	capa	eben	N	
capas	gold	capa	gold	N	
capas	goldene	capa	golden	N	ADJ;NOM;FEM;PL
utiliza	verwendung	utilizar	verwendung	V	N;SG
utiliza	nutzung	utilizar	nutzung	V	N;NOM;FEM;SG
utiliza	gebrauch	utilizar	gebrauch	V	ADJ
virán	come	virán	come	V	PROPN
orientais	osten	oriental	osten	ADJ	ADV
orientais	ost	oriental	ost	ADJ	N;NOM;NEUT
adolescente	jugendlicher	adolescente	jugendlich	N	ADJ
maquinaria	maschine	maquinaria	maschine	N	ADJ
maquinaria	maschinenbau	maquinaria	maschinenbau	N	ADJ
maquinaria	maschine	maquinaria	maschine	N	ADJ
maquinaria	werkzeugmaschinen	maquinaria	werkzeugmaschinen	N	V;NFIN
renda	mieten	renda	mieten	N	V;NFIN
renda	miete	renda	miet	N	
renda	vermietung	renda	vermietung	N	
renda	einkommen	renda	einkommen	N	V;NFIN
renda	einnahmen	renda	einnehmen	N	V;NFIN
renda	einkünfte	renda	einkünfen	N	;SG
sexamos	let	sexar	let	V	PROPN
admitir	will	admitir	wollen	V	V;IND;SG;3;PRS;FIN
admitir	wollen	admitir	wollen	V	V;IND;PL;3;PRS;FIN
admitir	möchten	admitir	mögen	V	V;IND;PL;3;PST;FIN
inxección	injektionen	inxección	injektion	N	V;NFIN
inxección	injektion	inxección	injektion	N	
inxección	spritze	inxección	spritz	N	
instrumento	instrument	instrumento	instrument	N	ADJ
diaños	die	diaño	der	N	DET;NOM;DEF;FEM;SG
diaños	der	diaño	der	N	DET;NOM;DEF;MASC;SG
diaños	dem	diaño	der	N	PRO;DAT;NEUT;SG
diaños	den	diaño	der	N	DET;ACC;DEF;MASC;SG
diaños	das	diaño	der	N	PRO;NOM;NEUT;SG
diaños	teufel	diaño	teufel	N	
diaños	hölle	diaño	höllen	N	
diaños	hell	diaño	hell	N	ADJ
micrófono	mikro	micrófono	mikro	N	
micrófono	mikrofon	micrófono	mikrofon	N	
micrófono	mikrophon	micrófono	mikrophon	N	ADJ
micrófono	mic	micrófono	mic	N	
micrófono	mikrofon	micrófono	mikrofon	N	
micrófono	mikro	micrófono	mikro	N	
cheguen	sie	chegar	sie	V	PRO;NOM;FEM;SG;3
cheguen	erhalten	chegar	erhalten	V	ADJ;V.PTCP
cheguen	come	chegar	come	V	PROPN
placas	kennzeichen	placa	kennzeichen	N	
placas	teller	placa	teller	N	
placas	platten	placa	platt	N	V;NFIN
habitacións	hotelzimmer	habitación	hotelzimmer	N	
habitacións	gästezimmer	habitación	gästezimmer	N	ADJ;NOM;FEM;PL
contrasinal	kennwort	contrasinal	kennwort	N	
dispositivos	vorrichtungen	dispositivo	vorrichtungen	N	V;NFIN
dispositivos	endgeräte	dispositivo	endgerät	N	
mandela	mandela	mandela	mandela	PROPN	PROPN;NOM;SG
mark	markieren	mark	markieren	PROPN	V;NFIN
mark	markierung	mark	markierung	PROPN	ADJ
mark	marke	mark	marken	PROPN	N;NOM;FEM;SG
mark	mark	mark	mark	PROPN	PROPN
porca	schmutzigen	porco	schmutzig	N	ADJ
porca	schmutzige	porco	schmutzig	N	ADJ;NOM;FEM;PL
porca	dirty	porco	dirty	N	PROPN
porca	dreckig	porco	dreckig	N	ADJ
porca	schmutzig	porco	schmutzig	N	ADJ
entrevistas	interviews	entrevista	interviews	N	
entrevistas	gespräche	entrevista	gespräch	N	ADJ
entrevistas	befragungen	entrevista	befragungen	N	V;NFIN
lendo	lektüre	lendo	lektür	V	
lendo	lesung	lendo	lesung	V	N;SG
sa	gesunde	sa	gesund	PROPN	N;NOM;FEM;SG
sa	gesund	sa	gesund	PROPN	ADJ
sa	gesundes	sa	gesund	PROPN	N;NOM;NEUT;SG
sa	gesunden	sa	gesund	PROPN	
queixa	beschwerde	queixa	beschwerde	N	ADJ
queixa	antrag	queixa	antragen	N	ADJ
queixa	beschwerden	queixa	beschwerden	N	V;NFIN
queixa	klage	queixa	klage	N	ADJ
verdades	wahrheiten	verdade	wahrheiten	N	V;NFIN
ética	ethik	ética	ethik	N	
ética	ethik	ética	ethik	N	
ética	ethisch	ética	ethisch	N	ADJ
ética	ethischen	ética	ethisch	N	ADJ
cruzando	quer	cruzar	quer	V	ADV
cruzando	across	cruzar	across	V	PROPN;SG
cruzando	kreuzung	cruzar	kreuzung	V	
cruzando	überfahrt	cruzar	überfahren	V	ADJ;V.PTCP
opresión	unterdrückung	opresión	unterdrückung	N	
serra	sierra	serra	sierra	N	PROPN;NOM;SG
argumento	argumente	argumento	argument	N	
argumento	argument	argumento	argument	N	ADV
argumento	streit	argumento	streit	N	ADJ
xen	gene	xen	gen	PROPN	
xen	gen	xen	gen	PROPN	
xen	gens	xen	gens	PROPN	
asilo	krankenschwester	asilo	krankenschwester	N	ADJ
asilo	krankenpflege	asilo	krankenpflege	N	ADJ;NOM
asilo	krankenschwestern	asilo	krankenschwestern	N	ADJ
asilo	pflege	asilo	pfleg	N	
asilo	pflegepersonal	asilo	pflegepersonal	N	ADJ
asilo	startseite	asilo	startseite	N	ADJ
asilo	zuhause	asilo	zuhause	N	
autor	schriftsteller	autor	schriftsteller	N	ADJ
autor	verfasser	autor	verfasser	N	
autor	autorin	autor	autorin	N	PROPN
autor	autoren	autor	autor	N	
ducha	dusche	ducha	duschen	N	
ducha	duschen	ducha	duschen	N	
amabilidade	güte	amabilidade	güt	N	
amabilidade	freundlichkeit	amabilidade	freundlichkeit	N	ADJ
simon	simon	ser	simon	PROPN	PROPN;NOM;MASC;SG
nucleares	kernkraft	nuclear	kernkraft	V	
nucleares	kernenergie	nuclear	kernenergie	V	PROPN;SG
nucleares	nukleare	nuclear	nuklear	V	ADJ;NOM;FEM;PL
nucleares	nuklear	nuclear	nuklear	V	ADJ
nucleares	nuklearen	nuclear	nuklear	V	ADJ;ACC;MASC;SG
nucleares	atomenergie	nuclear	atomenergie	V	ADJ
propiedades	grundstück	propiedade	grundstücken	N	
propiedades	eigenschaft	propiedade	eigenschaft	N	ADJ
propiedades	immobilien	propiedade	immobilie	N	
propiedades	immobilie	propiedade	immobilie	N	ADJ
propiedades	eigentum	propiedade	eigentum	N	ADJ
propiedades	eigenschaften	propiedade	eigenschaft	N	V;NFIN
propiedades	immobilien	propiedade	immobilie	N	
propiedades	immobilie	propiedade	immobilie	N	ADJ
henry	heinrich	henry	heinrich	PROPN	PROPN;NOM;MASC;SG
henry	henry	henry	henry	PROPN	PROPN;NOM;MASC;SG
gañadores	gewinnern	gañador	gewinnern	N	V;NFIN
gañadores	sieger	gañador	sieger	N	
gañadores	preisträger	gañador	preisträg	N	ADJ
gañadores	gewinner	gañador	gewinner	N	
use	verwendung	use	verwendung	V	N;SG
use	nutzung	use	nutzung	V	N;NOM;FEM;SG
use	gebrauch	use	gebrauch	V	ADJ
paramos	stopp	parar	stopp	V	
paramos	stop	parar	stopen	V	PROPN
aparecer	show	aparecer	show	V	N
buracos	löcher	buraco	loch	N	ADJ
ensaio	testversion	ensaio	testversion	N	PROPN
ensaio	prozess	ensaio	prozeß	N	
mercados	markt	mercado	marken	N	ADV
mercados	markt	mercado	marken	N	ADV
mercados	märkten	mercado	märken	N	V;PL;FIN
mercados	absatzmärkte	mercado	absatzmärkt	N	V;IND;SG;3;PST;FIN
suecia	schweden	suecia	schweden	PROPN	PROPN
pares	stopp	par	stopp	N	
pares	stop	par	stopen	N	PROPN
pares	anhalten	par	anhalten	N	V;NFIN
pares	stoppen	par	stoppen	N	V;NFIN
pares	aufhören	par	aufhören	N	V;NFIN
dentista	zahnarzt	dentista	zahnarzen	N	PROPN
dentista	zahnärzte	dentista	zahnärzt	N	V;IND;SG;3;PST;FIN
obtivo	got	obter	got	V	PROPN
obtivo	habe	obter	haben	V	V;SBJV;SG;3;PRS;FIN
obtivo	hab	obter	haben	V	V;IND;SG;3;PRS;FIN
farían	würden	facer	werden	V	V;SBJV;PL;3;PST;FIN
farían	wäre	facer	sein	V	V;SBJV;SG;3;PST;FIN
farían	hätte	facer	haben	V	V;SBJV;SG;3;PST;FIN
farían	würde	facer	werden	V	V;SBJV;SG;3;PST;FIN
farían	habe	facer	haben	V	V;SBJV;SG;3;PRS;FIN
farían	sie	facer	sie	V	PRO;NOM;FEM;SG;3
xerais	generäle	xeral	general	ADJ	N;NOM;FEM;PL
xerais	generals	xeral	generals	ADJ	
golpes	weht	golpe	weht	N	V;IND;SG;3;PRS;FIN
golpes	bläst	golpe	blasen	N	V;IND;SG;3;PRS;FIN
meniño	baby	meniño	baby	N	
meniño	schatz	meniño	schatz	N	
meniño	jungen	meniño	jung	N	ADJ
meniño	junge	meniño	jung	N	ADJ;NOM;FEM;PL
meniño	boy	meniño	boy	N	PROPN
colleron	sie	coller	sie	V	PRO;NOM;FEM;SG;3
debiamos	sollte	debiar	sollen	V	V;IND;SG;3;PST;FIN
debiamos	soll	debiar	sollen	V	V;IND;SG;3;PRS;FIN
debiamos	sollten	debiar	sollen	V	V;IND;PL;3;PST;FIN
debiamos	sollen	debiar	sollen	V	V;IND;PL;3;PRS;FIN
teredes	habe	ter	haben	V	V;SBJV;SG;3;PRS;FIN
teredes	ihr	ter	ihr	V	PRO;NOM;MASC;SG
teredes	dich	ter	du	V	
teredes	du	ter	du	V	PRO;NOM;SG;2
teredes	dir	ter	dur	V	
teredes	sie	ter	sie	V	PRO;NOM;FEM;SG;3
nazis	nsdap	nazis	nsden	N	
nazis	nazis	nazis	nazis	N	
nazis	nsdap	nazis	nsden	N	
nazis	nazi	nazis	nazi	N	PROPN
nazis	nazis	nazis	nazis	N	
cazadores	jägern	cazador	jägern	N	
cazadores	jäger	cazador	jag	N	ADJ
cazadores	jagen	cazador	jagen	N	V;NFIN
cazadores	jagd	cazador	jagd	N	
trataba	war	tratar	sein	V	V;IND;SG;3;PST;FIN
trataba	wurde	tratar	werden	V	V;IND;SG;3;PST;FIN;PASS
musulmáns	muslimen	musulmáns	musleimen	N	PROPN;SG
musulmáns	muslime	musulmáns	muslim	N	
musulmáns	moslems	musulmáns	moslems	N	ADV
barrios	nachbarschaften	barrio	nachbarschaft	N	ADJ
barrios	viertel	barrio	viertel	N	
barrios	stadtteile	barrio	stadtteil	N	
barrios	stadtviertel	barrio	stadtviertel	N	ADJ
barrios	bereiche	barrio	bereich	N	
barrios	bereichen	barrio	bereichen	N	V;NFIN
barrios	flächen	barrio	flächen	N	V;NFIN
barrios	gebiete	barrio	gebieten	N	
reláxate	entspannen	reláxate	entspannen	PROPN	V;NFIN
reláxate	entspannung	reláxate	entspannung	PROPN	N;NOM;FEM;SG
reláxate	relax	reláxate	relax	PROPN	ADJ
bater	schlag	bater	schlagen	V	
bater	hit	bater	hit	V	PROPN
bater	treffer	bater	treffer	V	
perdoar	verzeih	perdoar	verzeih	V	;SG
manteñen	sie	manter	sie	V	PRO;NOM;FEM;SG;3
elemento	die	elemento	der	N	DET;NOM;DEF;FEM;SG
elemento	der	elemento	der	N	DET;NOM;DEF;MASC;SG
elemento	dem	elemento	der	N	PRO;DAT;NEUT;SG
elemento	den	elemento	der	N	DET;ACC;DEF;MASC;SG
elemento	das	elemento	der	N	PRO;NOM;NEUT;SG
elemento	element	elemento	element	N	ADJ
mecánico	mechanisch	mecánico	mechanisch	N	ADJ
mecánico	mechanisches	mecánico	mechanisch	N	ADJ;NOM;NEUT;SG
mecánico	maschinenbau	mecánico	maschinenbau	N	ADJ
mecánico	mechanischen	mecánico	mechanisch	N	ADJ
mecánico	mechanische	mecánico	mechanisch	N	ADJ;NOM;FEM;PL
mecánico	mechaniker	mecánico	mechaniker	N	ADJ
desaparición	verschwinden	desaparición	verschwinden	N	V;NFIN
piden	ask	pedir	ask	V	
piden	frag	pedir	frag	V	
piden	frage	pedir	frage	V	N;NOM;FEM;SG
piden	für	pedir	für	V	ADP
piden	sie	pedir	sie	V	PRO;NOM;FEM;SG;3
durmimos	schlaf	durmir	schlafen	V	
durmimos	nachtruhe	durmir	nachtruhe	V	ADJ
esquezo	vergiß	esquezo	vergeßen	V	;SG
refire	mittlere	referir	mittler	V	ADJ;NOM;FEM;PL
refire	mittelwert	referir	mittelwern	V	
refire	gemein	referir	gemein	V	ADJ
espacial	hubble	espacial	hubble	N	PROPN;NOM;SG
espacial	raum	espacial	raum	N	ADV
espacial	weltall	espacial	weltall	N	
espacial	weltraum	espacial	weltraum	N	PROPN
espacial	platz	espacial	platz	N	ADV
espacial	raumfahrt	espacial	raumfahren	N	
estacións	jahreszeiten	estación	jahreszeit	N	
estacións	jahreszeit	estación	jahreszeit	N	ADJ
estacións	spielzeiten	estación	spielzeit	N	V;NFIN
barra	bar	barra	bar	N	PROPN
barra	balken	barra	balken	N	V;NFIN
barra	kilogramm	barra	kilogramm	N	ADJ
barra	kilo	barra	kilo	N	
rabaño	herde	rabaño	herden	N	
rabaño	schwarm	rabaño	schwarm	N	
osos	bären	oso	bären	N	V;NFIN
osos	bears	oso	bears	N	PROPN
osos	trägt	oso	tragen	N	V;IND;SG;3;PRS;FIN
osos	bär	oso	bär	N	
sumidoiro	gosse	sumidoiro	gießen	N	PROPN;NOM;SG
diálogo	dialoge	diálogo	dialog	N	ADJ
diálogo	dialog	diálogo	dialog	N	
personalidade	persönlichkeit	personalidade	persönlichkeit	N	ADJ
gertrude	gertrud	gertrude	gertrude	PROPN	PROPN;NOM;SG
gertrude	gertrude	gertrude	gertrude	PROPN	PROPN;NOM;FEM;SG
sinceramente	echt	sinceramente	echt	ADV	ADJ
perdidos	verlorene	perdido	verloren	V	ADJ;NOM;FEM;SG
perdidos	lost	perdido	lossen	V	PROPN
hara	hara	haber	hara	N	
persecución	streben	persecución	streben	N	V;NFIN
persecución	verfolgung	persecución	verfolgung	N	
acusación	anklage	acusación	anklage	N	ADJ;NOM;FEM;SG
acusación	vorwurf	acusación	vorwerfen	N	ADV
acusación	anschuldigung	acusación	anschuldigung	N	ADJ
acusación	gebühr	acusación	gebühr	N	
vivido	gewohnt	vivido	gewohnt	V	ADJ
lanzamento	fallenlassen	lanzamento	fallenlassen	N	V;NFIN
lanzamento	ablegen	lanzamento	ablegen	N	V;NFIN
lanzamento	drop	lanzamento	drop	N	
lanzamento	tropfen	lanzamento	tropfen	N	V;NFIN
recorda	ihr	recordar	ihr	V	PRO;NOM;MASC;SG
recorda	dich	recordar	du	V	
recorda	du	recordar	du	V	PRO;NOM;SG;2
recorda	dir	recordar	dur	V	
recorda	sie	recordar	sie	V	PRO;NOM;FEM;SG;3
green	grün	grear	grün	PROPN	ADJ
green	green	grear	Green	PROPN	PROPN;NOM;SG
green	grünen	grear	grün	PROPN	ADJ
green	grüne	grear	grün	PROPN	ADJ;NOM;FEM;PL
clásico	klassik	clásico	klassik	ADJ	
clásico	klassik	clásico	klassik	ADJ	
clásico	classic	clásico	classic	ADJ	PROPN
armado	bewaffnete	armar	bewaffnet	N	ADJ;NOM;SG
armado	bewaffnet	armar	bewaffnen	N	ADJ;V.PTCP
armado	bewaffneten	armar	bewaffnet	N	V;IND;PL;3;PST;FIN
mobles	möbeln	moble	möbeln	N	V;NFIN
mobles	möbel	moble	möbel	N	
mobles	mobiliar	moble	mobiliar	N	ADJ
afastados	away	afastar	away	V	PROPN
afastados	weg	afastar	weg	V	ADV
afastados	vom	afastar	vom	V	
afastados	von	afastar	von	V	ADP
afastados	ab	afastar	ab	V	ADP
afastados	aus	afastar	aus	V	ADP
xestos	gesten	xesto	gesten	N	
disturbios	unruhen	disturbio	unruh	N	V;NFIN
disturbios	ausschreitungen	disturbio	ausschreitung	N	V;PL
disturbios	aufstände	disturbio	aufständen	N	
disturbios	aufstand	disturbio	aufstehen	N	V;IND;SG;3;PST;FIN
gravitacional	gravitation	gravitacional	gravitation	ADJ	PROPN;SG
averiguar	aus	averiguar	aus	V	ADP
averiguar	draußen	averiguar	draußen	V	ADV
averiguar	raus	averiguar	raus	V	ADV
averiguar	out	averiguar	out	V	PROPN
desgracia	leider	desgracia	leider	N	ADV
presencia	vorhandensein	presencia	vorhandensein	N	ADV
presencia	anwesenheit	presencia	anwesenheit	N	ADJ
presencia	präsenz	presencia	präsenz	N	ADJ
presencia	gegenwart	presencia	gegenwart	N	
teríamos	würden	ter	werden	V	V;SBJV;PL;3;PST;FIN
teríamos	wäre	ter	sein	V	V;SBJV;SG;3;PST;FIN
teríamos	hätte	ter	haben	V	V;SBJV;SG;3;PST;FIN
teríamos	würde	ter	werden	V	V;SBJV;SG;3;PST;FIN
teríamos	habe	ter	haben	V	V;SBJV;SG;3;PRS;FIN
brando	weicher	brando	weicher	V	ADJ
brando	weiche	brando	weich	V	ADJ;NOM;FEM;SG
brando	soft	brando	soft	V	
brando	weich	brando	weich	V	ADJ
brando	sanft	brando	sanfen	V	ADJ
sospeita	verdacht	sospeita	verdachen|verdenken	N	V;V.PTCP
sospeita	misstrauen	sospeita	misstrauen	N	V;NFIN
sospeita	verdächtige	sospeita	verdächtige	N	ADJ;NOM;FEM;PL
sospeita	verdacht	sospeita	verdachen|verdenken	N	V;V.PTCP
sospeita	verdächtigen	sospeita	verdächtigen	N	ADJ
sospeita	vermutet	sospeita	vermuten	N	V;V.PTCP
sospeita	verdächtiger	sospeita	verdächtiger	N	ADJ
mestura	mix	mestura	mixen	N	
mestura	gemischt	mestura	mischen	N	ADJ
mestura	mischung	mestura	mischung	N	ADJ
mestura	mischen	mestura	mischen	N	V;NFIN
mestura	gemisch	mestura	gemisch	N	ADJ
mestura	mischung	mestura	mischung	N	ADJ
mestura	vermischen	mestura	vermischen	N	V;NFIN
mestura	mischen	mestura	mischen	N	V;NFIN
novidade	neuer	novidade	neu	N	ADJ
novidade	neue	novidade	neu	N	ADJ;NOM;FEM;PL
novidade	neu	novidade	neu	N	ADJ
novidade	neuen	novidade	neu	N	ADJ;ACC;MASC;SG
novidade	neues	novidade	neu	N	ADJ;NOM;NEUT;SG
mañán	vormittags	mañán	vormittags	N	ADV
mañán	morgens	mañán	morgens	N	ADV
mañán	morgen	mañán	morgen	N	ADV
mañán	vormittag	mañán	vormittag	N	ADV
mañán	morgen	mañán	morgen	N	ADV
mañán	tomorrow	mañán	tomorrow	N	PROPN
tua	ihre	tua	ihr	N	DET;NOM;FEM;SG
tua	ihr	tua	ihr	N	PRO;NOM;MASC;SG
tua	ihrer	tua	ihr	N	DET;NOM;MASC;SG
tua	dein	tua	dein	N	PRO;NOM;MASC;SG
tua	deine	tua	dein	N	PRO;NOM;MASC;SG
tua	liebevoll	tua	liebevoll	N	ADJ
tua	liebevollen	tua	liebevoll	N	ADJ
tua	lieben	tua	lieben	N	V;FIN
tua	liebevolle	tua	liebevoll	N	ADJ;NOM;FEM;PL
sintes	feel	sinte	feel	N	ADJ
sintes	fühlen	sinte	fühlen	N	V;NFIN
sintes	fühle	sinte	fühlen	N	V;IND;SG;3;PRS;FIN
