heller	heller	hell	heller	ADJ	N;NOM;SG
bestritten	vaidlustatud	bestreiten	vaidlusta=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
kiew	kyiv	keißen	kyiv		N;NOM;SG
kiew	kiievi	keißen	kiiev		ADJ
hard	raske	hard	raske	PROPN	ADJ;NOM;SG
hard	kõva	hard	kõva	PROPN	ADJ;NOM;SG
faust	faust	fausen	faust		N;NOM;SG
faust	rusikas	fausen	rusikas		N;NOM;SG
vita	vita	vita	vita		N;NOM;SG
unverändert	muutmata	unverändert	muutma	ADJ	V;PRIV;V.CVB;ACT
evans	evans	evans	evans	PROPN;NOM;MASC;SG	N;NOM;SG
interessante	huvitav	interessant	huvitav	ADJ;NOM;FEM;PL	ADJ;NOM;SG;PRS;V.PTCP;ACT
holding	hoidmine	holding	hoidmine		N;NOM;SG
apple	õun	applen	õun		N;NOM;SG
apple	apple	applen	apple		N;NOM;SG
apple	õuna	applen	õun		N;PRT;SG
fisch	kalad	fisch	kala		N;NOM;PL
fisch	kala	fisch	kala		N;NOM;SG
fisch	kalad	fisch	kala		N;NOM;PL
thron	troon	thron	troon		N;NOM;SG
thron	trooni	thron	troon		N;NOM;SG
rapper	räpparid	rapper	räppar		N;NOM;PL
rapper	räppar	rapper	räppar		N;NOM;SG
ozean	ookeanide	ozean	ookean		N;GEN;PL
ozean	ookeanid	ozean	ookean		N;NOM;PL
ozean	ookean	ozean	ookean		N;NOM;SG
konservatorium	konservatoorium	konservatorium	konservatoorium	PROPN	N;NOM;SG
beteiligen	osale	beteiligen	osa	V;NFIN	N;AT+ALL;SG
untergrund	substraat	untergrund	substraat	ADJ	N;NOM;SG
senior	vanem	senior	vanem	PROPN;NOM;SG	ADJ;NOM;CMPR;SG
cooper	cooper	cooper	cooper	PROPN;NOM;SG	N;NOM;SG
rechner	kalkulaator	rechner	kalkulaator		N;NOM;SG
rechner	arvutid	rechner	arvuti		N;NOM;PL
rechner	peremees	rechner	pere_mees		N;NOM;SG
rechner	võõrustaja	rechner	võõrustaja		N;NOM;SG
rechner	vastuvõtva	rechner	vastu_võtv		ADJ;NOM;SG;PRS;V.PTCP;ACT
rechner	saatejuht	rechner	saate_juht		N;NOM;SG
rechner	arvuti	rechner	arvuti		N;NOM;SG
rechner	kalkulaatorid	rechner	kalkulaator		N;NOM;PL
schubert	schubert	schubern	schubert		N;NOM;SG
brigitte	brigitte	brigitt	brigitte	PROPN;NOM;FEM;SG	N;NOM;PL
barry	barry	barry	barry	PROPN;SG	N;NOM;SG
bahnhöfe	jaamade	bahnhöfen	jaam	N;NOM;MASC;PL	N;GEN;PL
brüdern	vennad	brüdern	vend		N;NOM;PL
patent	patent	patent	patent	PROPN	N;NOM;SG
patent	patentide	patent	patent	PROPN	N;GEN;PL
webseiten	koduleht	webseiten	kodu_leht	V;NFIN	N;NOM;SG
webseiten	veebileht	webseiten	veebi_leht	V;NFIN	N;NOM;SG
webseiten	veebisait	webseiten	veebi_sait	V;NFIN	N;NOM;SG
webseiten	kodulehekülg	webseiten	kodu_lehe_külg	V;NFIN	N;NOM;SG
webseiten	veebi	webseiten	veeb	V;NFIN	N;PRT;SG
webseiten	alade	webseiten	ala	V;NFIN	N;GEN;PL
knochen	kondid	knochen	kond	V;NFIN	N;NOM;PL
knochen	luud	knochen	luud	V;NFIN	N;NOM;SG
knochen	luude	knochen	luude	V;NFIN	N;NOM;PL
knochen	luud	knochen	luud	V;NFIN	N;NOM;SG
knochen	kont	knochen	kont	V;NFIN	N;NOM;SG
knochen	luu	knochen	luu	V;NFIN	N;NOM;SG
knochen	luude	knochen	luude	V;NFIN	N;NOM;PL
veb	veb	veb	vebi	PROPN	N;NOM;SG
posen	poznańi	pos	poznańi	PROPN	N;NOM;SG
posen	posen	pos	posen	PROPN	N;NOM;SG
rechtlich	juriidiliselt	rechtlich	juriidiliselt	ADJ	ADV
rechtlich	legaalselt	rechtlich	legaalselt	ADJ	ADV
rechtlich	seaduslikult	rechtlich	seaduslikult	ADJ	ADV
rechtlich	õiguslikult	rechtlich	õiguslikult	ADJ	ADV
pionier	pioneer	pionier	pioneer	ADJ	N;NOM;SG
pionier	pioneerid	pionier	pioneerima	ADJ	N;NOM;PL
type	tüüp	type	tüüp		N;NOM;SG
blütezeit	õitsemist	blütezeit	õitsemine	ADJ	N;PRT;SG
blütezeit	õitsevad	blütezeit	õitsema	ADJ	V;IND;PL;3;PRS;FIN;ACT
blütezeit	bloom	blütezeit	bloom	ADJ	N;NOM;SG
metz	metz	metz	metz	PROPN;NOM;MASC;SG	N;NOM;SG
harold	harold	harold	harold	PROPN;NOM;MASC;SG	N;NOM;SG
brothers	vennad	brothers	vend	PROPN;NOM;SG	N;NOM;PL
entfernten	pult	entfernt	pult	V;IND;PL;3;PST;FIN	N;NOM;SG
ausgehen	kohtamine	ausgehen	kohtamine	V;NFIN	N;NOM;SG
ausgehen	käimine	ausgehen	käimine	V;NFIN	N;NOM;SG
ausgehen	välja	ausgehen	välja	V;NFIN	ADV
ausgehen	väljas	ausgehen	väljas	V;NFIN	ADV
ausgehen	out	ausgehen	out	V;NFIN	N;NOM;SG
lebenslauf	õppekava	lebenslauf	õppe_kava		N;NOM;SG
lebenslauf	elulugu	lebenslauf	elu_lugu		N;NOM;SG
lebenslauf	jätka	lebenslauf	jätkama		V;IMP;SG;2;PRS;FIN;ACT
staffeln	hooaega	staffeln	hoo_aeg	N;NOM;FEM;PL	N;PRT;SG
alkohol	alkohol	alkohol	alkohol		N;NOM;SG
alkohol	alkoholi	alkohol	alkohol		N;PRT;SG
gene	gene	gen	gene		N;NOM;SG
gene	geen	gen	geen		N;NOM;SG
gene	geeni	gen	geen		N;PRT;SG
gene	geenid	gen	geen		N;NOM;PL
rechnen	aritmeetiline	rechnen	aritmeetiline	V;NFIN	ADJ;NOM;SG
rechnen	matemaatika	rechnen	matemaatika	V;NFIN	N;NOM;SG
silva	silva	silva	silv	PROPN	N;NOM;SG
bemerkenswert	märkimisväärselt	bemerkenswert	märkimis_väärselt	ADJ	ADV
menschheit	inimlikkus	menschheit	inimlikkus		N;NOM;SG
menschheit	inimkonna	menschheit	inimkond		N;NOM;SG
menschheit	inimkond	menschheit	inimkond		N;NOM;SG
menschheit	inimkond	menschheit	inimkond		N;NOM;SG
ehre	au	ehr	au		N;NOM;SG
ehre	au	ehr	au		N;NOM;SG
ehre	hiilgus	ehr	hiilgus		N;NOM;SG
öffentlicher	avalikkus	öffentlich	avalikkus	ADJ	N;NOM;SG
toll	toll	toll	toll	ADJ	N;NOM;SG
christ	christian	christ	christian	PROPN	N;NOM;SG
christ	kristlane	christ	kristlane	PROPN	N;NOM;SG
christ	kristus	christ	kristus	PROPN	N;NOM;SG
vorwort	eessõna	vorworen	ees_sõna		N;NOM;SG
vorwort	eessõna	vorworen	ees_sõna		N;NOM;SG
miami	miami	miami	miam	PROPN;NOM;MASC;SG	N;NOM;SG
shanghai	shanghai	shanghai	shanghai	PROPN;NOM;MASC;SG	N;NOM;SG
mexico	mehhiko	mexico	mehhiko	PROPN;NOM;SG	N;NOM;SG
bischofs	oda	bischofs	oda		N;NOM;SG
bischofs	bishop	bischofs	bishop		N;NOM;SG
bischofs	piiskop	bischofs	piiskop		N;NOM;SG
fauna	fauna	fauna	fauna		N;NOM;SG
fauna	metsloomade	fauna	mets_loom		N;GEN;PL
protokoll	minutid	protokoll	minut	ADJ	N;NOM;PL
protokoll	protokoll	protokoll	protokoll	ADJ	N;NOM;SG
protokoll	log	protokoll	log	ADJ	N
protokoll	logi	protokoll	logi	ADJ	V;IMP;SG;2;PRS;FIN;ACT
protokoll	palke	protokoll	palk	ADJ	N;PRT;PL
athleten	sportlane	athlet	sportlane	V;IND;PL;3;PST;FIN	N;NOM;SG
athleten	sportlased	athlet	sportlane	V;IND;PL;3;PST;FIN	N;NOM;PL
lahn	lahn	lahn	lahn	PROPN;NOM;SG	N;NOM;SG
teilnehmern	osalejad	teilnehmern	osaleja	V;NFIN	N;NOM;PL
teilnehmern	osalejaid	teilnehmern	osaleja	V;NFIN	N;PRT;PL
teilnehmern	osalejad	teilnehmern	osaleja	V;NFIN	N;NOM;PL
baker	pagar	bak	pagar	PROPN	N;NOM;SG
baker	baker	bak	baker	PROPN	N;NOM;SG
ethnischen	etniline	ethnisch	etniline	ADJ;PL	ADJ;NOM;SG
copa	copa	copa	copa	PROPN;NOM;SG	N;NOM;SG
konzipiert	kujundatud	konzipieren	kujundama	V;V.PTCP	ADJ;PST;V.PTCP;PASS
konzipiert	disainitud	konzipieren	disainitud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
konzipiert	projekteeritud	konzipieren	projekteerima	V;V.PTCP	ADJ;PST;V.PTCP;PASS
breiter	laiemalt	breit	laiemalt	ADJ	ADV
udo	udo	udo	udo	PROPN;NOM;MASC;SG	N;NOM;SG
steuerung	kontroll	steuerung	kontroll	ADJ	N;NOM;SG
steuerung	tõrje	steuerung	tõrge	ADJ	N;NOM;SG
steuerung	kontroller	steuerung	kont_roller	ADJ	N;NOM;SG
steuerung	valitsemine	steuerung	valitsemine	ADJ	N;NOM;SG
steuerung	juhtimine	steuerung	juhtimine	ADJ	N;NOM;SG
vortrag	räägi	vortragen	rääkima	N;SG	V;IMP;SG;2;PRS;FIN;ACT
prinzipien	põhimõtted	prinzip	põhi_mõte	V;NFIN	N;NOM;PL
lehrbuch	õpiku	lehrbuch	õpik	PROPN	N;GEN;SG
comedy	komöödia	comedy	komöödia	PROPN	N;NOM;SG
basketballspieler	korvpall	basketballspieler	korvpall	ADJ	N;NOM;SG
hansen	hansen	hansen	hansen	PROPN;NOM;SG	N;NOM;SG
catherine	catherine	catherine	catherine	PROPN;NOM;SG	N;NOM;SG
catherine	katariina	catherine	katariina	PROPN;NOM;SG	N;NOM;SG
standorte	alade	standort	ala	N;NOM	N;GEN;PL
aufteilung	jaotamine	aufteilung	jaotamine	ADJ;SG	N;NOM;SG
aufteilung	eraldamine	aufteilung	eraldamine	ADJ;SG	N;NOM;SG
aufteilung	jaotus	aufteilung	jaotus	ADJ;SG	N;NOM;SG
aufteilung	jaotamine	aufteilung	jaotamine	ADJ;SG	N;NOM;SG
aufteilung	jaotus	aufteilung	jaotus	ADJ;SG	N;NOM;SG
aufteilung	jaotumine	aufteilung	jaotumine	ADJ;SG	N;NOM;SG
aufteilung	jagamine	aufteilung	jagamine	ADJ;SG	N;NOM;SG
erwachsene	kasvanud	erwachsen	kasvama	ADJ;NOM;FEM;PL	V;PST;V.PTCP;ACT
erwachsene	kasvatatud	erwachsen	kasvatatud	ADJ;NOM;FEM;PL	V;PST;V.PTCP;PASS
erwachsene	täiskasvanud	erwachsen	täis_kasvanu	ADJ;NOM;FEM;PL	N;NOM;SG
erwachsene	täiskasvanu	erwachsen	täis_kasvanu	ADJ;NOM;FEM;PL	N;NOM;SG
erwachsene	täiskasvanud	erwachsen	täis_kasvanu	ADJ;NOM;FEM;PL	N;NOM;SG
werfen	viskamine	werfen	viskamine	V;NFIN	N;NOM;SG
werfen	valatud	werfen	valatud	V;NFIN	ADJ;PST;V.PTCP;PASS
mexikanischen	mehhiko	mexikanisch	mehhiko	ADJ;NOM;MASC;PL	N;NOM;SG
mexikanischen	mehhiklane	mexikanisch	mehhiklane	ADJ;NOM;MASC;PL	N;NOM;SG
philosophen	filosoofid	philosophen	filosoof		N;NOM;PL
philosophen	filosoof	philosophen	filosoof		N;NOM;SG
frag	küsi	frag	küsima		V;IMP;SG;2;PRS;FIN;ACT
frag	küsige	frag	küsima		V;IMP;PL;2;PRS;FIN;ACT
dicke	paksud	dick	paks	N;NOM;FEM;PL	ADJ;NOM;PL
dicke	paks	dick	paks	N;NOM;FEM;PL	ADJ;NOM;SG
dicke	paksus	dick	paksus	N;NOM;FEM;PL	N;NOM;SG
bodensee	bodensee	bodensee	bodensee	PROPN;NOM;NEUT;SG	N;NOM;SG
irischen	iiri	irisch	iiri		ADJ
irischen	iirlased	irisch	iirlane		N;NOM;PL
ländlichen	maaelu	ländlich	maa_elu	ADJ	N;NOM;SG
han	hani	han	hani		N;NOM;SG
han	han	han	han		N;NOM;SG
vielfalt	mitmekesisust	vielfalt	mitme_kesisus	N;NOM;FEM;SG	N;PRT;SG
vielfalt	mitmekesisuse	vielfalt	mitme_kesisus	N;NOM;FEM;SG	N;GEN;SG
vielfalt	sordi	vielfalt	sort	N;NOM;FEM;SG	N;GEN;SG
wettbewerbe	võistlustel	wettbewerb	võistlus	N;NOM;PL	N;AT+ESS
;PL
wettbewerbe	võistlus	wettbewerb	võistlus	N;NOM;PL	N;NOM;SG
wettbewerbe	konkurss	wettbewerb	konkurss	N;NOM;PL	N;NOM;SG
heiraten	abiellu	heiraten	abi_elluma	V;NFIN	N;PRT;SG
heiraten	abielu	heiraten	abi_elu	V;NFIN	N;NOM;SG
heiraten	pulm	heiraten	pulm	V;NFIN	N;NOM;SG
heiraten	laulatus	heiraten	laulatus	V;NFIN	N;NOM;SG
heiraten	pulma	heiraten	pulm	V;NFIN	N;IN+ALL;LGSPEC1;SG
heiraten	pulmad	heiraten	pulm	V;NFIN	N;NOM;PL
murray	murray	murray	murray	PROPN;NOM;SG	N;NOM;SG
archäologe	arheoloog	archäologe	arheoloog		N;NOM;SG
austin	austin	austin	austin	PROPN;NOM;MASC;SG	N;NOM;SG
zelle	rakk	zellen	rakk		N;NOM;SG
zelle	lahter	zellen	lahter		N;NOM;SG
zelle	rakkude	zellen	rakk		N;GEN;PL
zelle	raku	zellen	rakk		N;NOM;SG
zelle	lahtri	zellen	lahter		N;GEN;SG
zelle	rakke	zellen	rakk		N;PRT;PL
zelle	rakud	zellen	rakk		N;NOM;PL
wälder	mets	wald	mets		N;NOM;SG
wälder	woods	wald	woods		N;NOM;SG
wälder	metsamaa	wald	metsa_maa		N;NOM;SG
wälder	metsad	wald	mets		N;NOM;PL
wälder	mets	wald	mets		N;NOM;SG
wälder	metsa	wald	mets		N;IN+ALL;LGSPEC1;SG
schließung	sulgemine	schließung	sulgemine	ADJ	N;NOM;SG
schließung	lõpetamine	schließung	lõpetamine	ADJ	N;NOM;SG
schließung	sulgemine	schließung	sulgemine	ADJ	N;NOM;SG
ausgelöst	käivitatud	auslösen	käivita=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
maßnahme	tegevus	maßnahmen	tegevus	ADJ	N;NOM;SG
maßnahme	võte	maßnahmen	võte	ADJ	N;NOM;SG
maßnahme	toiming	maßnahmen	toiming	ADJ	N;NOM;SG
maßnahme	mõõt	maßnahmen	mõõt	ADJ	N;NOM;SG
maßnahme	abinõu	maßnahmen	abi_nõu	ADJ	N;NOM;SG
maßnahme	meede	maßnahmen	meede	ADJ	N;NOM;SG
chief	ülemus	chief	ülemus	PROPN	N;NOM;SG
chief	pealik	chief	pealik	PROPN	N;NOM;SG
chief	ülem	chief	ülem	PROPN	N;NOM;SG
echo	kaja	echo	kaja		N;NOM;SG
grundlegende	põhitõed	grundlegend	põhi_tõe	ADJ;NOM;FEM;PL	N;NOM;PL
grundlegende	põhi	grundlegend	põhi	ADJ;NOM;FEM;PL	N;NOM;SG
grundlegende	põhiline	grundlegend	põhiline	ADJ;NOM;FEM;PL	ADJ;NOM;SG
geschmack	maitsed	geschmack	maitsma	ADJ	N;NOM;PL
geschmack	maitse	geschmack	maitse	ADJ	N;NOM;SG
geschmack	maitse	geschmack	maitse	ADJ	N;NOM;SG
geschmack	maitseb	geschmack	maitsema	ADJ	V;IND;SG;3;PRS;FIN;ACT
porto	porto	porto	porto	PROPN;SG	N;NOM;SG
konzentration	kontsentratsioonid	konzentration	kontsentratsioon	ADJ	N;NOM;PL
konzentration	kontsentratsioon	konzentration	kontsentratsioon	ADJ	N;NOM;SG
konzentration	koondumine	konzentration	koondumine	ADJ	N;NOM;SG
konzentration	keskendumine	konzentration	keskendumine	ADJ	N;NOM;SG
konzentration	kontsentratsioon	konzentration	kontsentratsioon	ADJ	N;NOM;SG
interviews	vestlused	interviews	vestlus		N;NOM;PL
interviews	intervjuud	interviews	intervjuu		N;PRT;SG
ansprüche	õigused	ansprechen	õigus		N;NOM;PL
ansprüche	nõuded	ansprechen	nõue		N;NOM;PL
ansprüche	väited	ansprechen	väide		N;NOM;PL
wiedervereinigung	kokkutulek	wiedervereinigung	kokku_tulek	ADJ	N;NOM;SG
kabel	kaablid	kabel	kaabel		N;NOM;PL
kabel	kaabel	kabel	kaabel		N;NOM;SG
berner	bern	bern	bern		N;NOM;SG
berner	berni	bern	bern		N;NOM;SG
konzentrierte	kontsentreeritud	konzentrieren	kontsentreerima	V;IND;SG;3;PST;FIN	ADJ;PST;V.PTCP;PASS
keramik	keraamika	keramik	keraamika		N;NOM;SG
keramik	keraamilised	keramik	keraamiline		ADJ;NOM;PL
keramik	keraamika	keramik	keraamika		N;NOM;SG
keramik	keraamika	keramik	keraamika		N;NOM;SG
bismarck	bismarck	bismarck	bismarck	PROPN;NOM;MASC;SG	N;NOM;SG
monika	monica	monika	monica	PROPN;NOM;FEM;SG	N;NOM;SG
monika	monika	monika	monika	PROPN;NOM;FEM;SG	N;NOM;SG
flensburg	flensburgi	flensburg	flensburg	PROPN;NOM	N;PRT;SG
pakistan	pakistan	pakistan	pakistama	PROPN;NOM;MASC;SG	N;NOM;SG
pakistan	pakistani	pakistan	pakistan	PROPN;NOM;MASC;SG	N;SG
grant	grant	granen	grant	PROPN;NOM;SG	N;NOM;SG
löwe	lõvi	löwe	lõvi		N;NOM;SG
löwe	leo	löwe	leo		N;NOM;SG
melodie	meloodia	melodie	meloodia		N;NOM;SG
melodie	melody	melodie	melody		N;NOM;SG
melodie	viisi	melodie	viis		N;PRT;SG
canadian	kanada	canadian	kanama	PROPN	N;NOM;SG
beratung	nõuanded	beratung	nõudma	N;NOM;FEM;SG	N;NOM;PL
beratung	nõu	beratung	nõu	N;NOM;FEM;SG	N;PRT;SG
beratung	nõustamise	beratung	nõustamine	N;NOM;FEM;SG	N;GEN;SG
bäumen	puid	bäumen	puu		N;PRT;PL
bäumen	puud	bäumen	puu		N;NOM;PL
boeing	boeing	boeing	boeing	PROPN;NOM;SG	N;NOM;SG
externe	välised	extern	väline		ADJ;NOM;PL
externe	välise	extern	väline		ADJ;GEN;SG
externe	väline	extern	väline		ADJ;NOM;SG
orientierung	orientatsiooni	orientierung	orientatsioon	N;NOM;FEM;SG	N;PRT;SG
prinzen	printsid	prinzen	prints		N;NOM;PL
prinzen	vürst	prinzen	vürst		N;NOM;SG
prinzen	prints	prinzen	prints		N;NOM;SG
prinzen	prince	prinzen	prince		N;NOM;SG
mängel	puudused	mängeln	puudus	ADJ	N;NOM;PL
mängel	puudujäägid	mängeln	puudu_jääk	ADJ	N;NOM;PL
mängel	puudused	mängeln	puudus	ADJ	N;NOM;PL
mängel	nõrkused	mängeln	nõrkus	ADJ	N;NOM;PL
mängel	puudused	mängeln	puudus	ADJ	N;NOM;PL
medal	medal	medal	medal	PROPN	N;NOM;SG
portrait	portree	portrait	portree	ADJ	N;NOM;SG
challenge	väljakutse	challeng	välja_kutse		N;NOM;SG
werten	väärtused	werten	väärtus	V;NFIN	N;NOM;PL
fachzeitschrift	päevik	fachzeitschrift	päevik	ADJ	N;NOM;PL
salvador	salvador	salvador	salvador	PROPN	N;NOM;SG
saarland	saarimaa	saarland	saari_maa	PROPN	N;NOM;SG
saarland	saar	saarland	saar	PROPN	N;NOM;SG
dakota	dakota	dakota	dakotama	PROPN;NOM;MASC;SG	N;NOM;SG
dutzend	kümneid	dutzend	kümme	ADJ	NUM;PRT;PL
dutzend	kümned	dutzend	kümme	ADJ	NUM;NOM;PL
dutzend	tosinaid	dutzend	tosin	ADJ	N;PRT;PL
dutzend	kümmekond	dutzend	kümmekond	ADJ	NUM;NOM;SG
dutzend	tosin	dutzend	tosin	ADJ	NUM;NOM;SG
egon	egon	egon	egon	PROPN;NOM;MASC;SG	N;NOM;SG
control	kontroll	control	kontroll	PROPN	N;NOM;SG
control	tõrje	control	tõrge	PROPN	N;NOM;SG
südwest	edela	südwest	edela	PROPN	N;NOM;SG
südwest	edela	südwest	edela	PROPN	N;NOM;SG
vorwürfe	süüdistusi	vorwürfen	süüdistus	ADJ	N;PRT;PL
vorwürfe	süüdistused	vorwürfen	süüdistus	ADJ	N;NOM;PL
tiger	tiger	tiger	tiger	ADJ	N;NOM;SG
tiger	tiiger	tiger	tiiger	ADJ	N;NOM;SG
finanziell	rahaliselt	finanziell	rahaliselt	ADJ	ADV
finanziell	finants	finanziell	finants	ADJ	N;NOM;SG
finanziell	rahandus	finanziell	rahandus	ADJ	N;NOM;SG
beamter	ametnik	beamt	ametnik	ADJ	N;NOM;SG
beamter	ametnikud	beamt	ametnik	ADJ	N;NOM;PL
beamter	politseinik	beamt	politseinik	ADJ	N;NOM;SG
beamter	ohvitser	beamt	ohvitser	ADJ	N;NOM;SG
tiroler	tyrolean	tiroler	tyrolean	PROPN	N;NOM;SG
allgemeines	kindral	allgemein	kindral	ADJ;NOM;NEUT;SG	N;NOM;SG
allgemeines	üldist	allgemein	üldine	ADJ;NOM;NEUT;SG	ADJ;PRT;SG
allgemeines	üldised	allgemein	üldine	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
wang	wang	wang	wang	PROPN;NOM;MASC;SG	N;NOM;SG
liverpool	liverpooli	liverpool	liver_pool	PROPN	N;PRT;SG
ringer	maadlejad	ring	maadleja	ADJ	N;NOM;PL
ringer	maadlus	ring	maadlus	ADJ	N;NOM;SG
ringer	maadleja	ring	maadleja	ADJ	N;NOM;SG
identifiziert	identifitseeritud	identifizieren	identifitseeri=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
behauptungen	nõuded	behauptehen	nõue	V;NFIN	N;NOM;PL
behauptungen	väited	behauptehen	väide	V;NFIN	N;NOM;PL
behauptungen	väide	behauptehen	väide	V;NFIN	N;NOM;SG
gerecht	laat	rechen	laat	ADJ	N;NOM;SG
roll	rulli	roll	rull	PROPN	N;NOM;SG
roll	veere	roll	veer	PROPN	N;NOM;SG
broadway	broadway	broadway	broadway	PROPN	N;NOM;SG
zerstörte	hävinenud	zerstört	hävinema	ADJ;NOM;FEM;SG	V;PST;V.PTCP;ACT
zerstörte	hävitatud	zerstört	hävitama	ADJ;NOM;FEM;SG	V;PST;V.PTCP;PASS
zerstörte	hävinud	zerstört	hävima	ADJ;NOM;FEM;SG	V;PST;V.PTCP;ACT
materie	mateeria	materie	mateeria	PROPN	N;NOM;SG
jason	jason	jason	jasoma	PROPN;NOM;MASC;SG	N;NOM;SG
alaska	alaska	alaska	alaska	PROPN;NOM;MASC;SG	ADJ
lies	loe	lesen	lugema		V;IMP;SG;2;PRS;FIN;ACT
lies	lugemine	lesen	lugemine		N;NOM;SG
lies	loetud	lesen	lugema		V;PST;V.PTCP;PASS
soul	hinge	soul	hing	PROPN;SG	N;PRT;SG
soul	hing	soul	hing	PROPN;SG	N;NOM;SG
schaut	vaata	schauen	vaatama	V;IND;SG;3;PRS;FIN	V;IMP;SG;2;PRS;FIN;ACT
schaut	vaadake	schauen	vaatama	V;IND;SG;3;PRS;FIN	V;IMP;PL;2;PRS;FIN;ACT
naturwissenschaften	teadus	naturwissenschaft	teadus	ADJ	N;NOM;SG
naturwissenschaften	teadust	naturwissenschaft	teadus	ADJ	N;PRT;SG
barocke	barokk	barock	barokk	ADJ;NOM;FEM;PL	N;NOM;SG
vermitteln	suhtlemine	vermitteln	suhtlemine	V;NFIN	N;NOM;SG
matthew	matthew	matthew	matthew	PROPN	N;NOM;SG
argentinischer	argentina	argentinisch	argent	ADJ	N;FRML;SG
argentinischer	argentiina	argentinisch	argentiina	ADJ	N;NOM;SG
dunkle	tume	dunkel	tume	ADJ;NOM;FEM;PL	ADJ;NOM;SG
helene	helene	helen	helene	PROPN;NOM;FEM;SG	N;NOM;SG
helene	helen	helen	helen	PROPN;NOM;FEM;SG	N;NOM;SG
vogt	vogt	vogen	vogt	PROPN;NOM;SG	N;NOM;SG
vogt	kohtutäitur	vogen	kohtu_täitur	PROPN;NOM;SG	N;NOM;SG
angela	angela	angela	angela	PROPN;NOM;MASC;SG	N;NOM;SG
syn	syn	syn	syn	;SG	N;NOM;SG
ruprecht	rupert	ruprecht	rupert	PROPN	N;NOM;SG
religionen	usklik	religion	usklik	N;NOM;PL	ADJ;NOM;SG
religionen	religioosne	religion	religioosne	N;NOM;PL	ADJ;NOM;SG
religionen	religioon	religion	religioon	N;NOM;PL	N;NOM;SG
freigegeben	vabastatud	freigeben	vabastatud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
head	pea	head	pea	PROPN;NOM;SG	N;NOM;SG
leonard	leonard	leonard	leonard	PROPN;NOM;SG	N;NOM;SG
disney	disney	disney	disney	PROPN;NOM;MASC;SG	N;NOM;SG
helm	tüüri	helm	tüür		N;NOM;SG
helm	kiiver	helm	kiiver		N;NOM;SG
ruinen	varemed	ruin	vare	V;NFIN	N;NOM;PL
weißer	kaukaasia	weiß	kaukaasia	ADJ	N;NOM;SG
orientierte	orienteeritud	orientieren	orienteeri=tud	V;IND;SG;3;PST;FIN	ADJ;PST;V.PTCP;PASS
sky	sky	sky	sky		N;NOM;SG
sky	taevas	sky	taevas		N;IN+ESS;SG
afrikanischen	aafrika	afrikanisch	aafrika	ADJ;ACC;MASC;SG	N;NOM;SG
köhler	köhler	kohl	köhler	ADJ	N;NOM;SG
zeitalter	vanused	zeitalter	vanune	ADJ	N;NOM;PL
zeitalter	ajastu	zeitalter	ajastu	ADJ	N;NOM;SG
zeitalter	era	zeitalter	era	ADJ	N;NOM;SG
vision	nägemus	vision	nägemus		N;NOM;SG
vision	visioon	vision	visioon		N;NOM;SG
vision	nägemine	vision	nägemine		N;NOM;SG
jorge	jorge	jorge	jorg	PROPN;NOM;MASC;SG	N;NOM;SG
kilogramm	kilogrammides	kilogramm	kilo_gramm	ADJ	N;IN+ESS;PL
kilogramm	kilogrammi	kilogramm	kilo_gramm	ADJ	N;PRT;SG
kilogramm	kilogrammi	kilogramm	kilo_gramm	ADJ	N;PRT;SG
kilogramm	kilo	kilogramm	kilo	ADJ	N;NOM;SG
bassist	bass	bassist	bass	PROPN;NOM;SG	N;NOM;SG
schwert	blade	schwern	blade		N;NOM;SG
schwert	tera	schwern	tera		N;NOM;SG
schwert	mõõgad	schwern	mõõk		N;NOM;PL
schwert	mõõk	schwern	mõõk		N;NOM;SG
elsass	alsace	elsassen	alsace	PROPN;NOM;SG	N;NOM;SG
schlagen	peksa	schlagen	peksa	V;NFIN	ADV
schlagen	löömine	schlagen	löömine	V;NFIN	N;NOM;SG
schlagen	peksmine	schlagen	peksmine	V;NFIN	N;NOM;SG
schlagen	peksmise	schlagen	peksmine	V;NFIN	N;GEN;SG
phoenix	phoenix	phoenix	phoenix	PROPN;NOM;SG	N;NOM;SG
italia	italia	italia	italia	PROPN;SG	N;NOM;SG
eisenach	eisenach	eisenach	eisenach	PROPN;NOM;NEUT;SG	N;NOM;SG
glaubens	faith	glaubens	faith	N;NOM;NEUT;PL	N;NOM;SG
glaubens	usk	glaubens	usk	N;NOM;NEUT;PL	N;NOM;SG
glaubens	usku	glaubens	usk	N;NOM;NEUT;PL	N;PRT;SG
gewerkschaft	liit	gewerkschaft	liit	ADJ	N;NOM;SG
gewerkschaft	liidu	gewerkschaft	liit	ADJ	N;GEN;SG
gewerkschaft	ametiühingud	gewerkschaft	ameti_ühing	ADJ	N;NOM;PL
gewerkschaft	liidud	gewerkschaft	liit	ADJ	N;NOM;PL
touristen	turistid	tourist	turist		N;NOM;PL
touristen	turist	tourist	turist		N;NOM;SG
vermute	oletada	vermuten	oletama		V;NFIN
oregon	oregoni	oregon	oregon	PROPN;NOM;SG	N;NOM;SG
