stregone	ساحر.	stregone	ساحر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
convenzionali	رواجی	convenzionale	رواجی	ADJ;PL	PROPN;NOM;MASC;SG;3
tondo	حدود	tondo	حد	ADJ;MASC;SG	N;NOM;MASC;SG;3
tondo	وسعت.	tondo	وسعت.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	محکم.	tondo	محکم.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	(	tondo	(	ADJ;MASC;SG	
tondo	ابھرواں	tondo	ابھرواں	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	مدوّر	tondo	مدوّر	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	گول	tondo	گول	ADJ;MASC;SG	N;NOM;MASC;SG;3
tondo	حدود	tondo	حد	ADJ;MASC;SG	N;NOM;MASC;SG;3
tondo	وسعت.	tondo	وسعت.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	محکم.	tondo	محکم.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	(	tondo	(	ADJ;MASC;SG	
tondo	ابھرواں	tondo	ابھرواں	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tondo	مدوّر	tondo	مدوّر	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
compilazione	فراہم	compilazione	فراہم	N;FEM;SG	ADJ
compilazione	مدون	compilazione	مدون	N;FEM;SG	ADJ
completezza	استیعاب	completezza	استیعاب	N;FEM;SG	PROPN;NOM;MASC;SG;3
eremo	خانقاہ.	eremo	خانقاہ.	N;MASC;SG	
cardiaca	قلبی.	cardiaca	قلبی.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
estetico	جمالیات.	estetico	جمالیات.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
beati	مردود	beato	مردود	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
beati	مرحوم	beato	مرحوم	ADJ;MASC;PL	N
beati	ملعون	beato	ملعون	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
beati	مقّدس.	beato	مقّدس.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
beati	مغفور	beato	مغفور	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
appropriato	مناسب.	appropriato	مناسب.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
appropriato	ہتھیانا	appropriato	ہتھیانا	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
incursione	ہلّہ	incursione	ہلّہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
incursione	لوٹنا	incursione	لوٹ	N;FEM;SG	V;NFIN;ACT
incursione	(	incursione	(	N;FEM;SG	
incursione	on	incursione	on	N;FEM;SG	
larghi	کھلا	largo	کھل	ADJ;MASC;PL	V;PFV;MASC;SG;V.PTCP;ACT
larghi	کشادہ.	largo	کشادہ.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
larghi	چوپٹ	largo	چوپٹ	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
larghi	کھلا	largo	کھل	ADJ;MASC;PL	V;PFV;MASC;SG;V.PTCP;ACT
larghi	چکلا	largo	چکل	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
larghi	کشادہ.	largo	کشادہ.	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
larghi	چوپٹ	largo	چوپٹ	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
preferiti	پسندیدہ	preferito	پسندیدہ	V;MASC;PL;PST;V.PTCP	ADJ
orrore	کپکپی	orrore	کپکپی	N;MASC;SG	
orrore	لرزہ.	orrore	لرزہ.	N;MASC;SG	PROPN;NOM;MASC;SG;3
chef	باورچی	chef	باورچی	N	PROPN;NOM;MASC;SG;3
immenso	عظیم	immenso	عظیم	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
immenso	لامحدود.	immenso	لامحدود.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
tasca	منّا	tasca	منّا	N;FEM;SG	PROPN;NOM;MASC;SG;3
hole	رستہ	hole	رستہ	N	PROPN;NOM;MASC;SG;3
hole	کٹیا	hole	کٹیا	N	
hole	تکیہ	hole	تکیہ	N	PROPN;NOM;MASC;SG;3
hole	سوراخ.	hole	سوراخ.	N	PROPN;NOM;MASC;SG;3
hole	کٹھڑیا.	hole	کٹھڑیا.	N	PROPN;NOM;MASC;SG;3
hole	چھید	hole	چھید	N	
hole	رستہ	hole	رستہ	N	PROPN;NOM;MASC;SG;3
hole	کٹیا	hole	کٹیا	N	
hole	تکیہ	hole	تکیہ	N	PROPN;NOM;MASC;SG;3
hole	سوراخ.	hole	سوراخ.	N	PROPN;NOM;MASC;SG;3
hole	کٹھڑیا.	hole	کٹھڑیا.	N	PROPN;NOM;MASC;SG;3
sparire	نایاب	sparire	نایاب	V;NFIN	ADJ
macchinari	ذرائع	macchinario	ذرائع	N;MASC;PL	N;NOM;MASC;SG;3
precisare	(	precisare	(	V;NFIN	
gentili	عنایت	gentile	عنایت	ADJ;PL	PROPN;NOM;MASC;SG;3
gentili	گروہ	gentile	گروہ	ADJ;PL	N;NOM;MASC;SG;3
gentili	قسم	gentile	قسم	ADJ;PL	N;NOM;MASC;SG;3
gentili	جماعت	gentile	جماعت	ADJ;PL	N;NOM;FEM;SG;3
gentili	مہربان	gentile	مہربان	ADJ;PL	PROPN;NOM;MASC;SG;3
gentili	عنایت	gentile	عنایت	ADJ;PL	PROPN;NOM;MASC;SG;3
gentili	وضع	gentile	وضع	ADJ;PL	N;NOM;MASC;SG;3
gentili	گروہ	gentile	گروہ	ADJ;PL	N;NOM;MASC;SG;3
gentili	قسم	gentile	قسم	ADJ;PL	N;NOM;MASC;SG;3
gentili	جماعت	gentile	جماعت	ADJ;PL	N;NOM;FEM;SG;3
gentili	شفیق	gentile	شفیق	ADJ;PL	PROPN;NOM;MASC;SG;3
gentili	مہربان	gentile	مہربان	ADJ;PL	PROPN;NOM;MASC;SG;3
scomparire	نایاب	scomparire	نایاب	V;NFIN	ADJ
emergono	کھلنا	emergere	کھل	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
emergono	مانا	emergere	مان	V;IND;PL;3;PRS;FIN	V;PFV;MASC;SG;V.PTCP;ACT
dodicesima	بارہواں	dodicesimo	بارہواں	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
dodicesima	ترتیب	dodicesimo	ترتیب	ADJ;FEM;SG	N;NOM;FEM;SG;3
dodicesima	پارہ.	dodicesimo	پارہ.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
circolari	دوری	circolare	دوری	N;MASC;PL	N;NOM;FEM;SG;3
circolari	دوری	circolare	دوری	N;MASC;PL	N;NOM;FEM;SG;3
circolari	گول	circolare	گول	N;MASC;PL	N;NOM;MASC;SG;3
velvet	مخملی	velvet	مخملی	N;MASC	PROPN;NOM;MASC;SG;3
velvet	مخمل	velvet	مخمل	N;MASC	PROPN;NOM;MASC;SG;3
velvet	مخملی	velvet	مخملی	N;MASC	PROPN;NOM;MASC;SG;3
stimolo	اُکساہٹ	stimolo	اُکساہٹ	N;MASC;SG	PROPN;NOM;MASC;SG;3
stimolo	مہیج	stimolo	مہیج	N;MASC;SG	PROPN;NOM;MASC;SG;3
stimolo	ہیجان.	stimolo	ہیجان.	N;MASC;SG	PROPN;NOM;MASC;SG;3
stimolo	تحرک	stimolo	تحرک	N;MASC;SG	
stimolo	اُکساہٹ	stimolo	اُکساہٹ	N;MASC;SG	PROPN;NOM;MASC;SG;3
boulevard	خیابان	boulevard	خیابان	N;FEM;SG	PROPN;NOM;MASC;SG;3
rimedio	حرجانہ	rimedio	حرجانہ	N;MASC;SG	PROPN;NOM;MASC;SG;3
rimedio	against	rimedio	against	N;MASC;SG	PROPN;NOM;MASC;SG;3
decreti	فرمان.	decreto	فرمان.	N;MASC;PL	PROPN;NOM;MASC;SG;3
pony	ٹٹّو	pony	ٹٹّو	N;MASC	PROPN;NOM;MASC;SG;3
metamorfosi	تجسد.	metamorfosi	تجسد.	N;FEM	PROPN;NOM;MASC;SG;3
metamorfosi	تقلّب	metamorfosi	تقلّب	N;FEM	PROPN;NOM;MASC;SG;3
trauma	دہاکا	trauma	دہاکا	N;MASC;SG	PROPN;NOM;MASC;SG;3
trauma	بپتا.	trauma	بپتا.	N;MASC;SG	PROPN;NOM;MASC;SG;3
drum	پاؤں	drum	پاو	N	PROPN;NOM;MASC;SG;3
selvaggia	(	selvaggio	(	ADJ;FEM;SG	
selvaggia	ویرانہ	selvaggio	ویرانہ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	چوکنّا.	selvaggio	چوکنّا.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	ہُوش	selvaggio	ہُوش	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	بیابان	selvaggio	بیابان	ADJ;FEM;SG	
selvaggia	بادیہ.	selvaggio	بادیہ.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	ویران.	selvaggio	ویران.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	اُجاڑ.	selvaggio	اُجاڑ.	ADJ;FEM;SG	
selvaggia	(	selvaggio	(	ADJ;FEM;SG	
selvaggia	ویرانہ	selvaggio	ویرانہ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	چوکنّا.	selvaggio	چوکنّا.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	ہُوش	selvaggio	ہُوش	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	بیابان	selvaggio	بیابان	ADJ;FEM;SG	
selvaggia	بادیہ.	selvaggio	بادیہ.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	وحشی	selvaggio	وحشی	ADJ;FEM;SG	
selvaggia	ویران.	selvaggio	ویران.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	اُجاڑ.	selvaggio	اُجاڑ.	ADJ;FEM;SG	
selvaggia	اکّھڑ	selvaggio	اکّھڑ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	ظالم	selvaggio	ظالم	ADJ;FEM;SG	N;NOM;MASC;SG;3
selvaggia	خونخوار	selvaggio	خونخوار	ADJ;FEM;SG	
selvaggia	ناآراستہ	selvaggio	ناآراستہ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	اکّھڑ	selvaggio	اکّھڑ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
selvaggia	ظالم	selvaggio	ظالم	ADJ;FEM;SG	N;NOM;MASC;SG;3
selvaggia	خونخوار	selvaggio	خونخوار	ADJ;FEM;SG	
selvaggia	ناآراستہ	selvaggio	ناآراستہ	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
much	ممتاز.	much	ممتاز.		ADJ
much	اتنا	much	اتنا		PRO;NOM;MASC;SG
much	how	much	how		PROPN;NOM;MASC;SG;3
sunshine	بشاشت	sunshino	بشاشت	N	PROPN;NOM;MASC;SG;3
temperate	درمیانہ.	temperare	درمیانہ.	N;FEM;PL	PROPN;NOM;MASC;SG;3
temperate	محترز	temperare	محترز	N;FEM;PL	PROPN;NOM;MASC;SG;3
trionfale	کامران	trionfale	کامران	ADJ;SG	PROPN;NOM;MASC;SG;3
trionfale	شادمان.	trionfale	شادمان.	ADJ;SG	PROPN;NOM;MASC;SG;3
graduatoria	اعلیٰ	graduatoria	اعلیٰ	N;FEM;SG	ADJ
graduatoria	ارفع.	graduatoria	ارفع.	N;FEM;SG	PROPN;NOM;MASC;SG;3
ratto	بھگوڑا	ratto	بھگوڑا	N;MASC;SG	PROPN;NOM;MASC;SG;3
ratto	(	ratto	(	N;MASC;SG	
ratto	موش	ratto	موش	N;MASC;SG	PROPN;NOM;MASC;SG;3
assorbire	تصادم	assorbire	تصادم	V;NFIN	N;NOM;MASC;SG;3
assorbire	(	assorbire	(	V;NFIN	
uguaglianza	برابر	uguaglianza	برابر	N;FEM;SG	ADJ
nazismo	نازیت	nazismo	نازیت	N;MASC;SG	PROPN;NOM;MASC;SG;3
predicatore	واعظ	predicatore	واعظ	N;MASC;SG	
predicatore	مبلّغ	predicatore	مبلّغ	N;MASC;SG	
coltura	پارچہ.	coltura	پارچہ.	N;FEM;SG	PROPN;NOM;MASC;SG;3
coltura	کاٹنا	coltura	کاٹنا	N;FEM;SG	V;MASC;SG;NFIN;ACT
coltura	پارچہ.	coltura	پارچہ.	N;FEM;SG	PROPN;NOM;MASC;SG;3
coltura	کاٹنا	coltura	کاٹنا	N;FEM;SG	V;MASC;SG;NFIN;ACT
gusti	مذاق-	gusto	مذاق-	N;MASC;PL	
gusti	مزا	gusto	مزا	N;MASC;PL	;NOM;MASC
gusti	مذاق-	gusto	مذاق-	N;MASC;PL	
gusti	چکھنا	gusto	چکھ	N;MASC;PL	V;MASC;SG;NFIN;ACT
identiche	بعینہٖ	identico	بعینہٖ	ADJ;FEM;PL	N
tagliata	ٹکڑے	tagliare	ٹکڑے	V;FEM;SG;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP;ACT
tagliata	قیمت	tagliare	قیمت	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG;3
tagliata	کٹوتی	tagliare	کٹوتی	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG;3
tagliata	فلم	tagliare	فلم	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG;3
tagliata	انقطاع.	tagliare	انقطاع.	V;FEM;SG;PST;V.PTCP	PROPN;NOM;MASC;SG;3
tagliata	کمیشن	tagliare	کمیشن	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG;3
tagliata	ملانا.	tagliare	ملانا.	V;FEM;SG;PST;V.PTCP	PROPN;NOM;MASC;SG;3
tagliata	بالوں	tagliare	بال	V;FEM;SG;PST;V.PTCP	N;ACC;MASC;PL;3
tagliata	ڈرامے	tagliare	ڈرامہ	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG;3
tagliata	کنجی	tagliare	کنجی	V;FEM;SG;PST;V.PTCP	;NOM;MASC;SG;3
tagliata	ٹکڑے	tagliare	ٹکڑے	V;FEM;SG;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP;ACT
tagliata	قیمت	tagliare	قیمت	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG;3
tagliata	کٹوتی	tagliare	کٹوتی	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG;3
tagliata	فلم	tagliare	فلم	V;FEM;SG;PST;V.PTCP	N;NOM;FEM;SG;3
tagliata	انقطاع.	tagliare	انقطاع.	V;FEM;SG;PST;V.PTCP	PROPN;NOM;MASC;SG;3
tagliata	تراشنا	tagliare	تراشنا	V;FEM;SG;PST;V.PTCP	
tagliata	کمیشن	tagliare	کمیشن	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG;3
tagliata	ملانا.	tagliare	ملانا.	V;FEM;SG;PST;V.PTCP	PROPN;NOM;MASC;SG;3
tagliata	بالوں	tagliare	بال	V;FEM;SG;PST;V.PTCP	N;ACC;MASC;PL;3
tagliata	ڈرامے	tagliare	ڈرامہ	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG;3
tagliata	کنجی	tagliare	کنجی	V;FEM;SG;PST;V.PTCP	;NOM;MASC;SG;3
rat	بھگوڑا	rat	بھگوڑا	N	PROPN;NOM;MASC;SG;3
rat	(	rat	(	N	
rat	موش	rat	موش	N	PROPN;NOM;MASC;SG;3
posizionamento	تقرّر	posizionamento	تقرّر	N;MASC;SG	PROPN;NOM;MASC;SG;3
pantaloni	پاجامہ.	pantalone	پاجامہ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
provino	گانے	provino	گا	N;MASC;SG	V;NFIN;ACT
ridere	ہنسی	ridere	ہنسی	V;NFIN	N;NOM;FEM;SG;3
ridere	خندہ	ridere	خندہ	V;NFIN	N;NOM;MASC;SG;3
ridere	قہقہہ.	ridere	قہقہہ.	V;NFIN	
ridere	کھلکھلانا.	ridere	کھلکھلان	V;NFIN	PROPN;NOM;MASC;SG;3
ridere	کامیاب	ridere	کامیاب	V;NFIN	ADJ
ridere	کھلکھلانا.	ridere	کھلکھلان	V;NFIN	PROPN;NOM;MASC;SG;3
ridere	کامیاب	ridere	کامیاب	V;NFIN	ADJ
vincolo	بندش	vincolo	بندش	N;MASC;SG	PROPN;NOM;MASC;SG;3
burn	سگریٹ.	burno	سگریٹ.	N	PROPN;NOM;MASC;SG;3
burn	بھڑکنا	burno	بھڑک	N	V;NFIN;ACT
burn	چرکا	burno	چرکا	N	
burn	گلانا.	burno	گلانا.	N	PROPN;NOM;MASC;SG;3
burn	جْھلسا-	burno	جْھلسا-	N	PROPN;NOM;MASC;SG;3
vergini	کورا/کوری	vergine	کورا/کوری	N;FEM;PL	N;NOM;MASC;SG;3
vergini	راہبہ	vergine	راہبہ	N;FEM;PL	N;NOM;MASC;SG;3
vergini	اچھوتی.	vergine	اچھوتی	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	ناری	vergine	ناری	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	کنواری.	vergine	کنواری.	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	بھولا	vergine	بھولا	N;FEM;PL	V;PFV;MASC;SG;V.PTCP;ACT
vergini	باکرہ	vergine	باکرہ	N;FEM;PL	
vergini	انیلی-	vergine	انیلی-	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	کورا/کوری	vergine	کورا/کوری	N;FEM;PL	N;NOM;MASC;SG;3
vergini	راہبہ	vergine	راہبہ	N;FEM;PL	N;NOM;MASC;SG;3
vergini	اچھوتی.	vergine	اچھوتی	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	ناری	vergine	ناری	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	کنواری.	vergine	کنواری.	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	بھولا	vergine	بھولا	N;FEM;PL	V;PFV;MASC;SG;V.PTCP;ACT
vergini	باکرہ	vergine	باکرہ	N;FEM;PL	
vergini	انیلی-	vergine	انیلی-	N;FEM;PL	PROPN;NOM;MASC;SG;3
vergini	دوشیزہ	vergine	دوشیزہ	N;FEM;PL	PROPN;NOM;MASC;SG;3
privacy	علاحدگی.	privacy	علحدگین	N	PROPN;NOM;MASC;SG;3
privacy	تنہائی	privacy	تنہائی	N	PROPN;NOM;MASC;SG;3
privacy	علاحدگی.	privacy	علحدگین	N	PROPN;NOM;MASC;SG;3
obblighi	تمسک.	obbligo	تمسک.	N;MASC;PL	PROPN;NOM;MASC;SG;3
obblighi	اصول	obbligo	اصول	N;MASC;PL	N;NOM;MASC;SG;3
obblighi	قانون	obbligo	قانون	N;MASC;PL	N;NOM;MASC;SG;3
obblighi	تمسک.	obbligo	تمسک.	N;MASC;PL	PROPN;NOM;MASC;SG;3
obblighi	فرض	obbligo	فرض	N;MASC;PL	N;NOM;MASC;SG;3
obblighi	اصول	obbligo	اصول	N;MASC;PL	N;NOM;MASC;SG;3
obblighi	قانون	obbligo	قانون	N;MASC;PL	N;NOM;MASC;SG;3
crescono	قد	crescere	قد	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	مرتبے	crescere	مرتبہ	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	پختہ	crescere	پختہ	V;IND;PL;3;PRS;FIN	ADJ
crescono	بونا	crescere	بونا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	اُگنا	crescere	اُگنا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	ہویدا	crescere	ہو	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	فزوں	crescere	فزہ	V;IND;PL;3;PRS;FIN	N;NOM;MASC;PL;3
crescono	اپجنا.	crescere	اپجنا.	V;IND;PL;3;PRS;FIN	
crescono	نمو	crescere	نمو	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	بالغ.	crescere	بالغ.	V;IND;PL;3;PRS;FIN	
crescono	پھل	crescere	پھل	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	گدرایا	crescere	گدرایا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	پیدا	crescere	پیدا	V;IND;PL;3;PRS;FIN	ADJ
crescono	حجم	crescere	حجم	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	قد	crescere	قد	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	مرتبے	crescere	مرتبہ	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	بڑھنا	crescere	بڑھ	V;IND;PL;3;PRS;FIN	V;MASC;SG;NFIN;ACT
crescono	پختہ	crescere	پختہ	V;IND;PL;3;PRS;FIN	ADJ
crescono	بونا	crescere	بونا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	اُگنا	crescere	اُگنا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	ہویدا	crescere	ہو	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	فزوں	crescere	فزہ	V;IND;PL;3;PRS;FIN	N;NOM;MASC;PL;3
crescono	اپجنا.	crescere	اپجنا.	V;IND;PL;3;PRS;FIN	
crescono	نمو	crescere	نمو	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	بالغ.	crescere	بالغ.	V;IND;PL;3;PRS;FIN	
crescono	پھل	crescere	پھل	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
crescono	گدرایا	crescere	گدرایا	V;IND;PL;3;PRS;FIN	PROPN;NOM;MASC;SG;3
crescono	پیدا	crescere	پیدا	V;IND;PL;3;PRS;FIN	ADJ
crescono	حجم	crescere	حجم	V;IND;PL;3;PRS;FIN	N;NOM;MASC;SG;3
educato	نستعلیق	educato	نستعلیق	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
educato	شائستہ	educato	شائستہ	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
educato	مہذب.	educato	مہذب.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
educato	مہذب.	educato	مہذب.	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
educato	شائستہ	educato	شائستہ	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
periodica	دوری	periodico	دوری	ADJ;FEM;SG	N;NOM;FEM;SG;3
assorbito	منہمک	assorbire	منہمک	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG;3
assorbito	منہمک	assorbire	منہمک	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG;3
creatività	مخترع	creatività	مخترع	N;FEM	PROPN;NOM;MASC;SG;3
creatività	خلاّق.	creatività	خلاّق.	N;FEM	
pub	چھاپنا	pub	چھاپنا	N;MASC	V;MASC;SG;NFIN;ACT
pub	ہوٹل.	pub	ہوٹل	N;MASC	PROPN;NOM;MASC;SG;3
inventario	سیاہہ.	inventario	سیاہہ.	N;MASC;SG	PROPN;NOM;MASC;SG;3
vittoriosa	مظفر	vittorioso	مظفر	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
vittoriosa	منصور.	vittorioso	منصور.	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
ripetizioni	مثنٰی.	ripetizione	مثنٰی.	N;FEM;PL	PROPN;NOM;MASC;SG;3
ripetizioni	توالی	ripetizione	توالی	N;FEM;PL	PROPN;NOM;MASC;SG;3
ripetizioni	نقل	ripetizione	نقل	N;FEM;PL	N;NOM;MASC;SG;3
incarnazione	اوتار	incarnazione	اوتار	N;FEM;SG	PROPN;NOM;MASC;SG;3
incarnazione	اوتار	incarnazione	اوتار	N;FEM;SG	PROPN;NOM;MASC;SG;3
sperone	تحریک.	sperone	تحریک.	N;MASC;SG	PROPN;NOM;MASC;SG;3
sperone	ایڑ	sperone	ایڑ	N;MASC;SG	
sperone	تحریک.	sperone	تحریک.	N;MASC;SG	PROPN;NOM;MASC;SG;3
sharp	ترش	sharp	ترش	N;MASC	ADJ
sharp	اچانک	sharp	اچانک	N;MASC	ADV
sharp	اشتہا	sharp	اشتہا	N;MASC	ADJ
sharp	چنٹ.	sharp	چنٹ.	N;MASC	PROPN;NOM;MASC;SG;3
sharp	نکیلا.	sharp	نکیل	N;MASC	PROPN;NOM;MASC;SG;3
sharp	عیار	sharp	عیار	N;MASC	
sharp	طاقتور.	sharp	طاقتور.	N;MASC	PROPN;NOM;MASC;SG;3
sharp	معاً	sharp	معاً	N;MASC	PROPN;NOM;MASC;SG;3
sharp	سیدھے	sharp	سیدھے	N;MASC	V;ACT
sharp	چالاک	sharp	چالاک	N;MASC	ADJ;NOM;MASC;SG
sharp	سخت	sharp	سخت	N;MASC	ADJ
sharp	سڈول	sharp	سڈول	N;MASC	PROPN;NOM;MASC;SG;3
sharp	ڈھالو	sharp	ڈھالو	N;MASC	
sharp	ترش	sharp	ترش	N;MASC	ADJ
sharp	اچانک	sharp	اچانک	N;MASC	ADV
sharp	اشتہا	sharp	اشتہا	N;MASC	ADJ
sharp	چنٹ.	sharp	چنٹ.	N;MASC	PROPN;NOM;MASC;SG;3
sharp	نکیلا.	sharp	نکیل	N;MASC	PROPN;NOM;MASC;SG;3
sharp	عیار	sharp	عیار	N;MASC	
sharp	تیز	sharp	تیز	N;MASC	ADJ
sharp	طاقتور.	sharp	طاقتور.	N;MASC	PROPN;NOM;MASC;SG;3
sharp	معاً	sharp	معاً	N;MASC	PROPN;NOM;MASC;SG;3
sharp	سیدھے	sharp	سیدھے	N;MASC	V;ACT
sharp	چالاک	sharp	چالاک	N;MASC	ADJ;NOM;MASC;SG
sharp	سخت	sharp	سخت	N;MASC	ADJ
sharp	سڈول	sharp	سڈول	N;MASC	PROPN;NOM;MASC;SG;3
sharp	ڈھالو	sharp	ڈھالو	N;MASC	
sharp	ذکی	sharp	ذکی	N;MASC	PROPN;NOM;MASC;SG;3
sanscrito	سنسکرت	sanscrito	سنسکرت	ADJ;MASC;SG	PROPN;NOM;MASC;SG;3
erosione	گھسنے	erosione	گھسنا	N;FEM;SG	V;SG;V.PTCP;ACT
erosione	فرسودگی.	erosione	فرسودگی.	N;FEM;SG	PROPN;NOM;MASC;SG;3
heath	ویران	heath	ویران	N;MASC;SG	V;ACT
heath	جھاڑبن.	heath	جھاڑبن.	N;MASC;SG	
metropoli	گڑھ.	metropoli	گڑھ.	N;FEM;SG	
bolle	قعر	bolla	قعر	N;FEM;PL	
bolle	کہفہ	bolla	کہفہ	N;FEM;PL	
bolle	خیالی	bolla	خیالی	N;FEM;PL	PROPN;NOM;MASC;SG;3
sterling	معتبر	sterling	معتبر	N;MASC	ADJ
sterling	معیاری	sterling	معیاری	N;MASC	ADJ
sterling	کھرا	sterling	کھرا	N;MASC	V;PFV;MASC;SG;V.PTCP;ACT
cartuccia	کارتوس.	cartuccia	کارتوس.	N;FEM;SG	PROPN;NOM;MASC;SG;3
string	جکڑنا.	string	جکڑنا.	N	V;MASC;SG;V.PTCP;ACT
mosaici	مخلوط	mosaico	مخلوط	N;MASC;PL	ADJ
mosaici	دوغلا	mosaico	دوغلا	N;MASC;PL	ADJ;NOM;MASC;SG
mosaici	جڑت	mosaico	جڑت	N;MASC;PL	PROPN;NOM;MASC;SG;3
sans	بغیر	sans	بغیر	N;MASC;SG	PART;NEG
sans	بدون.	sans	بدون.	N;MASC;SG	
sans	بلا	sans	بلا	N;MASC;SG	
integra	مکمل	integrare	مکمل	V;IND;SG;3;PRS;FIN	ADJ
