der	на	der	на	DET;NOM;DEF;MASC;SG	ADP
system	системи	system	система	N;NOM;NEUT;SG	N;INDF;FEM;PL
vermutlich	вероятно	vermutlich	вероятно	ADJ	ADV
vermutlich	предполагаемо	vermutlich	предполагаем	ADJ	ADV
enthält	съдържат	enthalten	съдържам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
enthält	включват	enthalten	включвам-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
beitrag	вноски	beitregen	вноска	N;SG	N;INDF;FEM;PL
main	основни	main	основен	PROPN;NOM;MASC;SG	ADJ;INDF;PL
main	основна	main	основен	PROPN;NOM;MASC;SG	ADJ;INDF;FEM;SG
main	главна	main	главен	PROPN;NOM;MASC;SG	ADJ;INDF;FEM;SG
main	главен	main	главен	PROPN;NOM;MASC;SG	ADJ;INDF;MASC;SG
main	главни	main	главен	PROPN;NOM;MASC;SG	ADJ;INDF;PL
meiner	моите	mein	мой	PRO;NOM;MASC;SG	DET;DEF;PL;1
meiner	мой	mein	мой	PRO;NOM;MASC;SG	DET;INDF;MASC;SG;1
meiner	моята	mein	мой	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;1
meiner	мое	mein	мой	PRO;NOM;MASC;SG	DET;INDF;NEUT;SG;1
meiner	моя	mein	мой	PRO;NOM;MASC;SG	DET;INDF;FEM;SG;1
meiner	моят	mein	мой	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;1
mutter	майки	mutter	майка		N;INDF;FEM;PL
mutter	майките	mutter	майка		N;DEF;FEM;PL
mutter	мамо	mutter	мамо		INTJ
mutter	мама	mutter	мама		N;INDF;FEM;SG
mutter	майка	mutter	майка		N;INDF;FEM;SG
mutter	майко	mutter	майка		INTJ
west	запад	west	запад		N;INDF;MASC;SG
west	западно	west	западно		ADV
west	западна	west	западна		ADJ;INDF;FEM;SG
west	западен	west	западя-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
west	уест	west	уест		PROPN;INDF;MASC;SG
acht	осмици	acht	осмица	NUM	N;INDF;MASC;PL
scheint	блестящи	scheinen	блестя	V;IND;SG;3;PRS;FIN	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
ziel	обективна	ziel	обективен	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
ziel	обективни	ziel	обективен	N;NOM;NEUT;SG	ADJ;INDF;PL
ziel	обективен	ziel	обективен	N;NOM;NEUT;SG	ADJ;INDF;MASC;SG
ziel	голове	ziel	гол	N;NOM;NEUT;SG	N;INDF;MASC;PL
ziel	цели	ziel	цел	N;NOM;NEUT;SG	N;INDF;FEM;PL
ziel	целева	ziel	целев	N;NOM;NEUT;SG	ADJ;INDF;FEM;SG
ziel	мишена	ziel	мишен	N;NOM;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
per	виа	per	видя-(се)	ADP	N;INDF;MASC;SG
per	via	per	via	ADP	ADJ
per	пер	per	пер	ADP	PROPN;INDF;MASC;SG
grüße	поздрави	grüß	поздравя	PROPN;NOM;SG	V;PFV;IMP;SG;2;FIN
grüße	поздрав	grüß	поздрав	PROPN;NOM;SG	N;INDF;MASC;SG
roman	римски	roman	римски	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
roman	римска	roman	римски	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
roman	новела	roman	новя-(се)	N;NOM;MASC;SG	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
spiele	кибрит	spiel	кибрит	N;NOM;NEUT;PL	N;INDF;MASC;SG
spiele	съвпада	spiel	съвпадам	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
spiele	играе	spiel	играя	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
spiele	играй	spiel	играй	N;NOM;NEUT;PL	V;IPFV;IMP;SG;2;FIN
spiele	свири	spiel	свиря	N;NOM;NEUT;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
spiele	игра	spiel	игра	N;NOM;NEUT;PL	N;INDF;FEM;SG
spiele	хазарт	spiel	хазарт	N;NOM;NEUT;PL	N;INDF;MASC;SG
sachsen	саксония	sachsen	саксония	PROPN;NOM;NEUT;SG	PROPN;INDF;FEM;SG
sachsen	саксонците	sachsen	саксонец	PROPN;NOM;NEUT;SG	N;DEF;MASC;PL
sachsen	саксън	sachsen	саксън	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
sachsen	саксония	sachsen	саксония	PROPN;NOM;NEUT;SG	PROPN;INDF;FEM;SG
sachsen	sachsen	sachsen	sachsen	PROPN;NOM;NEUT;SG	PROPN;INDF;MASC;SG
wolfgang	волфганг	wolfgang	волфганг	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
folgen	епизоди	folgen	епизод	V;NFIN	N;INDF;MASC;PL
folgen	последици	folgen	последица	V;NFIN	N;INDF;FEM;PL
folgen	последствия	folgen	последствие	V;NFIN	N;INDF;NEUT;PL
folgen	последствията	folgen	последствие	V;NFIN	N;DEF;NEUT;PL
walter	уолтър	walter	уолтър	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
walter	валтер	walter	валтер	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
amerikanische	американска	amerikanisch	американски	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
amerikanische	американско	amerikanisch	американски	ADJ;NOM;FEM;PL	ADV
amerikanische	американски	amerikanisch	американски	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
amerikanische	американец	amerikanisch	американец	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
leider	съжалявам	leider	съжалявам-(се)	ADV	V;IPFV;IND;SG;1;PRS;FIN;ACT
leider	сори	leider	сора	ADV	INTJ
leider	уви	leider	уви	ADV	INTJ
uhr	гледай	uhr	гледам	N;NOM;FEM;SG	V;IPFV;IMP;SG;2;FIN
uhr	гледайте	uhr	гледам	N;NOM;FEM;SG	V;IPFV;IMP;PL;2;FIN
einzige	само	einzig	само	ADJ;NOM;FEM;PL	ADV
einzige	единствено	einzig	единствено	ADJ;NOM;FEM;PL	ADV
einzige	необвързан	einzig	необвързан	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
einzige	единична	einzig	единичен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
einzige	сингъл	einzig	сингъл	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
einzige	необвързана	einzig	побвържа	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
einzige	единичен	einzig	единичен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
liegen	лъжа	liegen	лъжа	V;NFIN	N;INDF;FEM;SG
liegen	лъжи	liegen	лъжа	V;NFIN	N;INDF;FEM;PL
liegen	лъжа	liegen	лъжа	V;NFIN	N;INDF;FEM;SG
liegen	дивани	liegen	диваня	V;NFIN	N;INDF;MASC;PL
geben	даване	geben	даване	V;NFIN	N;INDF;NEUT;SG
geben	въвеждане	geben	въвеждане	V;NFIN	N;INDF;NEUT;SG
meinung	становища	meinung	становище	N;NOM;FEM;SG	N;INDF;NEUT;PL
meinung	мнения	meinung	мнение	N;NOM;FEM;SG	N;INDF;NEUT;PL
kultur	култура	kultur	култура		N;INDF;FEM;SG
kultur	цивилизация	kultur	цивилизация		N;INDF;FEM;SG
kultur	цивилизацията	kultur	цивилизация		N;DEF;FEM;SG
alexander	александър	alexander	александър	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
trotz	злоба	trotz	злоб	ADP	N;INDF;FEM;SG
trotz	напук	trotz	напук	ADP	ADV
vorhanden	налично	vorhanden	налично	ADJ	ADV
vorhanden	подарък	vorhanden	подарък	ADJ	N;INDF;MASC;SG
vorhanden	настояще	vorhanden	настояще	ADJ	N;INDF;NEUT;SG
projekt	проект	projekt	проект	V;FIN	N;INDF;MASC;SG
projekt	проектът	projekt	проект	V;FIN	N;DEF;MASC;SG
projekt	проекта	projekt	проект	V;FIN	N;DEF;MASC;SG
folgte	последва	folgen	последвам	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
maler	художниците	maler	художник	ADJ	N;DEF;MASC;PL
maler	художници	maler	художник	ADJ	N;INDF;MASC;PL
maler	художничка	maler	художничка	ADJ	N;INDF;FEM;SG
maler	художник	maler	художник	ADJ	N;INDF;MASC;SG
maler	изпълнител	maler	изпълнител	ADJ	N;INDF;MASC;SG
maler	художничка	maler	художничка	ADJ	N;INDF;FEM;SG
maler	художник	maler	художник	ADJ	N;INDF;MASC;SG
maler	артист	maler	артист	ADJ	N;INDF;MASC;SG
maler	творец	maler	творец	ADJ	N;INDF;MASC;SG
paar	двойка	paar	двойка	ADV	N;INDF;FEM;SG
paar	чифт	paar	чифт	ADV	N;INDF;MASC;SG
paar	няколко	paar	няколко	ADV	PRO;INDF
paar	малцина	paar	малцина	ADV	NUM;ANIM;INDF;PL
paar	двойка	paar	двойка	ADV	N;INDF;FEM;SG
paar	двойки	paar	двойка	ADV	N;INDF;FEM;PL
paar	чифта	paar	чифт	ADV	N;MASC
max	макс	max	макс	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
sommer	лятото	sommer	лято	ADV	N;DEF;NEUT;SG
sommer	съмър	sommer	съмър	ADV	N;INDF;MASC;SG
sommer	лято	sommer	лято	ADV	N;INDF;NEUT;SG
sommer	самър	sommer	самър	ADV	PROPN;INDF;MASC;SG
runde	обиколка	runde	обиколка	ADV	N;INDF;FEM;SG
runde	скута	runde	скут	ADV	N;DEF;MASC;SG
runde	кръгла	runde	кръгъл	ADV	N;INDF;FEM;SG
runde	кръгли	runde	кръгъл	ADV	ADJ;INDF;PL
runde	рунд	runde	рунд	ADV	N;INDF;MASC;SG
runde	кръг	runde	кръг	ADV	N;INDF;MASC;SG
runde	кръгове	runde	кръг	ADV	N;INDF;MASC;PL
runde	рунда	runde	рунд	ADV	N;DEF;MASC;SG
william	уилям	william	уилям	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
institut	институт	instituen	институт	ADJ	N;INDF;MASC;SG
institut	института	instituen	институт	ADJ	N;DEF;MASC;SG
raum	стая	raum	стая	ADV	N;INDF;FEM;SG
raum	стаята	raum	стая	ADV	N;DEF;FEM;SG
raum	пространство	raum	пространство	ADV	N;INDF;NEUT;SG
raum	космос	raum	космос	ADV	N;INDF;MASC;SG
raum	космоса	raum	космос	ADV	N;DEF;MASC;SG
armee	армии	arme	армия	N;NOM;FEM;SG	N;INDF;FEM;PL
armee	армейски	arme	армейски	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
jean	жан	jean	жан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jean	джийн	jean	джийн	PROPN;NOM;MASC;SG	PROPN;INDF;FEM;SG
tun	tun	tun	tun	V;NFIN	N;INDF;MASC;SG
gleichzeitig	едновременно	gleichzeitig	едновременно	ADJ	ADV
gleichzeitig	едновременно	gleichzeitig	едновременно	ADJ	ADV
gleichzeitig	паралелно	gleichzeitig	паралелно	ADJ	ADV
gleichzeitig	успоредно	gleichzeitig	успореден	ADJ	ADV
ehemalige	възпитаници	ehemalig	възпитаник	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
ehemalige	бивш	ehemalig	бивш	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
ehemalige	бивша	ehemalig	бивш	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
vereinigten	обединени	vereinigen	обединя-(се)	ADJ;PL	V;PFV;INDF;PL;V.PTCP;PASS
vereinigten	обединена	vereinigen	обединя-(се)	ADJ;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
vereinigten	обединен	vereinigen	обединя-(се)	ADJ;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
vereinigten	юнайтед	vereinigen	юнайтед	ADJ;PL	N;INDF;MASC;SG
vereinigten	обединено	vereinigen	обединя-(се)	ADJ;PL	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
bevor	преди	bevor	преди	CONJ	ADP
regel	норма	regel	норма	ADV	N;INDF;FEM;SG
regel	правилото	regel	правило	ADV	N;DEF;NEUT;SG
regel	правило	regel	правило	ADV	N;INDF;NEUT;SG
gefunden	открити	finden	открит	V;V.PTCP	ADJ;INDF;PL
daten	дейта	daten	дейт	N;NOM;NEUT;PL	N;INDF;MASC;SG
welches	което	welch	който	PRO;NOM;NEUT;SG	PRO;NOM;NEUT;SG
welches	която	welch	който	PRO;NOM;NEUT;SG	PRO;NOM;FEM;SG
erledigt	готово	erledigen	готов	V;V.PTCP	ADV
theater	театри	theat	театър	N;NOM;SG	N;INDF;MASC;PL
theater	кината	theat	кино	N;NOM;SG	N;DEF;NEUT;PL
theater	театри	theat	театър	N;NOM;SG	N;INDF;MASC;PL
lag	миг	liegen	миг	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
wollte	издирван	wollen	издирвам	V;IND;SG;3;PST;FIN	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
wollte	търсен	wollen	търсен	V;IND;SG;3;PST;FIN	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
wollte	пожелала	wollen	пожелая	V;IND;SG;3;PST;FIN	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
dritten	трето	dritt	трето	ADJ;ACC;MASC;SG	ADV
ehe	женитба	ehe	женитба		N;INDF;FEM;SG
ehe	брака	ehe	брак		N;DEF;MASC;SG
ehe	брак	ehe	брак		N;INDF;MASC;SG
ehe	сватба	ehe	сватба		N;INDF;FEM;SG
ehe	бракът	ehe	брак		N;DEF;MASC;SG
völlig	напълно	völlig	напълно	ADJ	ADV
völlig	напълно	völlig	напълно	ADJ	ADV
person	човек	person	човек		N;INDF;MASC;SG
person	личност	person	личност		N;INDF;FEM;SG
mein	майн	mein	майн	PRO;NOM;MASC;SG	PROPN;INDF;MASC;SG
kloster	манастир	kloster	манастир	ADJ	N;INDF;MASC;SG
kloster	манастира	kloster	манастирам	ADJ	N;DEF;MASC;SG
kloster	абатство	kloster	абатство	ADJ	N;INDF;NEUT;SG
kloster	манастир	kloster	манастир	ADJ	N;INDF;MASC;SG
com	com	com	com		INTJ
com	ком	com	ком		N;INDF;MASC;SG
hilfe	помощи	helfen	помощ	N;NOM;FEM;SG	N;INDF;FEM;PL
gegeben	дадена	geben	даден	V;V.PTCP	ADJ;INDF;FEM;SG
gegeben	дадено	geben	даден	V;V.PTCP	ADV
europäischen	европейско	europäisch	европейски	ADJ;NOM;SG	ADV
europäischen	европеец	europäisch	европеец	ADJ;NOM;SG	N;INDF;MASC;SG
reich	империята	reich	империя	ADJ	N;DEF;FEM;SG
reich	емпайър	reich	емпайър	ADJ	N;INDF;MASC;SG
reich	империя	reich	империя	ADJ	N;INDF;FEM;SG
reich	райх	reich	райх	ADJ	N;INDF;MASC;SG
reich	рич	reich	рич	ADJ	N;INDF;MASC;SG
reich	богато	reich	богат	ADJ	ADV
kamen	дойде	kommen	дойда	V;IND;PL;3;PST;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
dich	dich	du	dich		PROPN;INDF;MASC;SG
dich	си	du	съм		V;IPFV;IND;SG;2;PRS;FIN;ACT
dich	ти	du	аз		PRO;NOM;SG;2
dich	ви	du	аз		PRO;ACC;SG;2
schnell	бързо	schnell	бързо	ADJ	ADV
schnell	суифт	schnell	суифт	ADJ	PROPN;INDF;MASC;SG
schnell	бързо	schnell	бързо	ADJ	ADV
einzelnen	индивидуално	einzeln	индивидуално	ADJ	ADV
einzelnen	индивид	einzeln	индивид	ADJ	N;INDF;MASC;SG
stellte	позира	stellen	позирам	V;IND;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
teile	порции	teilen	порция	ADV	N;INDF;FEM;PL
teile	части	teilen	част	ADV	N;INDF;FEM;PL
teile	сподели	teilen	споделя	ADV	V;PFV;IMP;SG;2;FIN
teile	споделете	teilen	споделя	ADV	V;PFV;IMP;PL;2;FIN
teile	споделяне	teilen	споделяне	ADV	N;INDF;NEUT;SG
teile	дял	teilen	дял	ADV	N;INDF;MASC;SG
teile	бройки	teilen	бройка	ADV	N;INDF;FEM;PL
teile	парченца	teilen	парченц	ADV	N;INDF;NEUT;PL
teile	парчета	teilen	парче	ADV	N;INDF;NEUT;PL
überhaupt	дори	überhaupt	дори	ADV	PART
überhaupt	даже	überhaupt	даже	ADV	PART
machte	направени	machen	направя-(се)	V;IND;SG;3;PST;FIN	V;PFV;INDF;PL;V.PTCP;PASS
josef	жозеф	josef	жозеф	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
josef	джоузеф	josef	джоузеф	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
josef	йосиф	josef	йосиф	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
josef	йозеф	josef	йозеф	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
josef	йосиф	josef	йосиф	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
gmbh	llc	gmbh	llc	N;NOM;FEM;SG	ADJ
gmbh	gmbh	gmbh	gmbh	N;NOM;FEM;SG	ADJ
gmbh	ltd	gmbh	ltd	N;NOM;FEM;SG	ADV
google	гугъл	google	гугъл	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
google	google	google	google	PROPN;NOM;MASC;SG	PROPN
italien	италия	italien	италия	PROPN;NOM;NEUT;SG	PROPN;INDF;FEM;SG
italien	italia	italien	italia	PROPN;NOM;NEUT;SG	PROPN;INDF;MASC;SG
fragen	въпрос	fragen	въпрос	V;NFIN	N;INDF;MASC;SG
fragen	въпроси	fragen	въпрос	V;NFIN	N;INDF;MASC;PL
hälfte	наполовина	Hälfte	наполовина	ADJ	ADV
hälfte	половината	Hälfte	половина	ADJ	N;DEF;FEM;SG
euro	евро	euro	евро	PROPN;NOM;MASC;SG	N;INDF;NEUT;SG
euro	еврото	euro	евро	PROPN;NOM;MASC;SG	N;DEF;NEUT;SG
euro	евро	euro	евро	PROPN;NOM;MASC;SG	N;INDF;NEUT;SG
verbindung	свързване	verbindung	свързване	ADJ	N;INDF;NEUT;SG
verbindung	връзка	verbindung	връзка	ADJ	N;INDF;FEM;SG
verbindung	връзката	verbindung	връзка	ADJ	N;DEF;FEM;SG
verbindung	връзка	verbindung	връзка	ADJ	N;INDF;FEM;SG
verbindung	линк	verbindung	линк	ADJ	N;INDF;MASC;SG
verbindung	връзка	verbindung	връзка	ADJ	N;INDF;FEM;SG
verbindung	свързване	verbindung	свързване	ADJ	N;INDF;NEUT;SG
verbindung	свържете	verbindung	свържа	ADJ	V;PFV;IMP;PL;2;FIN
verbindung	съединението	verbindung	съединение	ADJ	N;DEF;NEUT;SG
verbindung	съединение	verbindung	съединение	ADJ	N;INDF;NEUT;SG
nähe	близко	nähe	близък	N;NOM;FEM;SG	ADV
nähe	близо	nähe	близо	N;NOM;FEM;SG	ADV
nähe	близко	nähe	близък	N;NOM;FEM;SG	ADV
nähe	близо	nähe	близо	N;NOM;FEM;SG	ADV
nähe	близки	nähe	близък	N;NOM;FEM;SG	ADJ;INDF;PL
nähe	наблизо	nähe	наблизо	N;NOM;FEM;SG	ADV
anders	андерс	anders	андерс	ADV	N;INDF;MASC;SG
vertrag	завет	vertragen	завет	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
vertrag	завета	vertragen	завет	V;IND;SG;3;PST;FIN	N;DEF;MASC;SG
vertrag	спогодба	vertragen	спогодба	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
vertrag	съгласие	vertragen	съгласие	V;IND;SG;3;PST;FIN	N;INDF;NEUT;SG
vertrag	споразумение	vertragen	споразумение	V;IND;SG;3;PST;FIN	N;INDF;NEUT;SG
vertrag	договор	vertragen	договор	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
vertrag	договор	vertragen	договор	V;IND;SG;3;PST;FIN	N;INDF;MASC;SG
besuchte	посетиха	besuchen	посетя	V;IND;SG;3;PST;FIN	V;PFV;IND;PL;3;PST;FIN;ACT
besuchte	посети	besuchen	посетя	V;IND;SG;3;PST;FIN	V;PFV;IMP;SG;2;FIN
besuchte	посетих	besuchen	посетя	V;IND;SG;3;PST;FIN	V;PFV;IND;SG;1;PST;FIN;ACT
besuchte	присъстваха	besuchen	присъствам	V;IND;SG;3;PST;FIN	V;IPFV;IND;PL;3;IPFV;FIN;ACT
james	джеймс	james	джеймс	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
top	топ	top	топ	ADV	N;INDF;MASC;SG
top	върха	top	връх	ADV	N;DEF;MASC;SG
bruder	бро	bruder	бро	ADJ	N;INDF;MASC;SG
bruder	братко	bruder	братко	ADJ	N;INDF;MASC;SG
bruder	брат	bruder	брат	ADJ	N;INDF;MASC;SG
künstler	изпълнител	künstler	изпълнител		N;INDF;MASC;SG
künstler	художничка	künstler	художничка		N;INDF;FEM;SG
künstler	художник	künstler	художник		N;INDF;MASC;SG
künstler	артист	künstler	артист		N;INDF;MASC;SG
künstler	творец	künstler	творец		N;INDF;MASC;SG
künstler	изпълнителите	künstler	изпълнител		N;DEF;MASC;PL
künstler	изпълнители	künstler	изпълнител		N;INDF;MASC;PL
künstler	творци	künstler	творец		N;INDF;MASC;PL
künstler	художници	künstler	художник		N;INDF;MASC;PL
künstler	изпълнители	künstler	изпълнител		N;INDF;MASC;PL
künstler	артисти	künstler	артист		N;INDF;MASC;PL
england	англия	england	англия	PROPN;NOM;NEUT;SG	PROPN;INDF;FEM;SG
erfolg	успехи	erfolg	успех	ADJ	N;INDF;MASC;PL
erfolg	успехите	erfolg	успех	ADJ	N;DEF;MASC;PL
erfolg	успех	erfolg	успех	ADJ	N;INDF;MASC;SG
erfolg	успехи	erfolg	успех	ADJ	N;INDF;MASC;PL
politische	политическа	politisch	политически	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
politische	политически	politisch	политически	ADJ;NOM;FEM;PL	ADV
politische	политическо	politisch	политически	ADJ;NOM;FEM;PL	ADV
früher	досега	früher	досега	ADJ	ADV
früher	рано	früher	рано	ADJ	ADV
früher	ърли	früher	ъръл	ADJ	N;INDF;FEM;PL
wissen	знаейки	wissen	знаемка	V;NFIN	N;INDF;MASC;PL
wissen	познаване	wissen	познаване	V;NFIN	N;INDF;NEUT;SG
wissen	знания	wissen	знание	V;NFIN	N;INDF;NEUT;PL
wissen	познания	wissen	познание	V;NFIN	N;INDF;NEUT;PL
wissen	знание	wissen	знание	V;NFIN	N;INDF;NEUT;SG
wissen	познание	wissen	познание	V;NFIN	N;INDF;NEUT;SG
länge	дължини	länge	дължина	ADJ	N;INDF;FEM;PL
länge	дължина	länge	дължина	ADJ	N;INDF;FEM;SG
länge	дължина	länge	дължина	ADJ	N;INDF;FEM;SG
groß	голямо	groß	голям	ADJ	ADV
groß	биг	groß	биг	ADJ	N;INDF;MASC;SG
groß	голямо	groß	голям	ADJ	ADV
groß	страхотно	groß	страхотно	ADJ	ADV
groß	groß	groß	groß	ADJ	PROPN;INDF;MASC;SG
ganze	цялата	ganz	цял	ADJ;NOM;FEM;PL	ADJ;DEF;FEM;SG
ganze	цяла	ganz	цял	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
ganze	цял	ganz	цял	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
ganze	цялото	ganz	цял	ADJ;NOM;FEM;PL	ADJ;DEF;NEUT;SG
geschrieben	писмено	schreiben	писмен	V;V.PTCP	ADV
geschrieben	писмен	schreiben	писмен	V;V.PTCP	ADJ;INDF;MASC;SG
geschrieben	писмена	schreiben	писмен	V;V.PTCP	ADJ;INDF;FEM;SG
beiträge	вноски	beitragen	вноска	ADJ	N;INDF;FEM;PL
beiträge	изявления	beitragen	изявление	ADJ	N;INDF;NEUT;PL
beiträge	постове	beitragen	пост	ADJ	N;INDF;MASC;PL
beiträge	публикации	beitragen	публикация	ADJ	N;INDF;FEM;PL
beiträge	изделия	beitragen	изделие	ADJ	N;INDF;NEUT;PL
beiträge	статии	beitragen	статия	ADJ	N;INDF;FEM;PL
beiträge	артикули	beitragen	артикул	ADJ	N;INDF;MASC;PL
abschnitt	сечение	abschneiden	сечение	ADV	N;INDF;NEUT;SG
abschnitt	секция	abschneiden	секция	ADV	N;INDF;FEM;SG
abschnitt	раздел	abschneiden	раздел	ADV	N;INDF;MASC;SG
möchte	иска	mögen	искам	V;SBJV;SG;3;PST;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
trainer	треньор	Trainer	треньор	ADJ	N;INDF;MASC;SG
trainer	треньори	Trainer	треньор	ADJ	N;INDF;MASC;PL
trainer	треньор	Trainer	треньор	ADJ	N;INDF;MASC;SG
trainer	треньорът	Trainer	треньор	ADJ	N;DEF;MASC;SG
trainer	маратонки	Trainer	маратонка	ADJ	N;INDF;FEM;PL
trainer	инструктори	Trainer	инструктор	ADJ	N;INDF;MASC;PL
trainer	треньори	Trainer	треньор	ADJ	N;INDF;MASC;PL
gerne	щастлив	gerne	щастлив	ADV	ADJ;INDF;MASC;SG
gerne	щастливи	gerne	щастлив	ADV	ADJ;INDF;PL
gerne	щастлива	gerne	щастлив	ADV	ADJ;INDF;FEM;SG
gerne	хепи	gerne	хеп	ADV	INTJ
see	видя	see	видя-(се)		V;PFV;IND;SG;3;PST;FIN;ACT
see	вижте	see	видя-(се)		V;PFV;IMP;PL;2;FIN
see	виж	see	видя-(се)		V;PFV;IMP;SG;2;FIN
see	езерото	see	езеро		N;DEF;NEUT;SG
see	лейк	see	лейк		PROPN;INDF;MASC;SG
see	езеро	see	езеро		N;INDF;NEUT;SG
spielt	пиеси	spielen	пиеса	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
französische	френско	französisch	френски	ADJ;NOM;FEM;PL	ADV
französische	французи	französisch	француга	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
französische	френска	französisch	френски	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
französische	френски	französisch	френски	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
französische	французин	französisch	французин	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
hohen	висок	hoch	висок	ADJ;PL	ADJ;INDF;MASC;SG
hohen	висока	hoch	висок	ADJ;PL	ADJ;INDF;FEM;SG
hohen	високо	hoch	високо	ADJ;PL	ADV
hohen	hohe	hoch	hohe	ADJ;PL	PROPN;INDF;MASC;SG
südlich	южно	südlich	южен	ADJ	ADV
südlich	южен	südlich	южен	ADJ	N;INDF;MASC;SG
südlich	юг	südlich	юг	ADJ	N;INDF;MASC;SG
zeitschrift	дневник	zeitschrefen	дневник	ADJ	N;INDF;MASC;SG
zeitschrift	журнал	zeitschrefen	журна	ADJ	N;INDF;MASC;SG
zeitschrift	джърнъл	zeitschrefen	джърна-(се)	ADJ	N;INDF;MASC;SG
zeitschrift	списание	zeitschrefen	списание	ADJ	N;INDF;NEUT;SG
finde	открийте	finden	открия-(се)	V;IND;SG;2;PRS;FIN	V;PFV;IMP;PL;2;FIN
finde	намиране	finden	намиране	V;IND;SG;2;PRS;FIN	N;INDF;NEUT;SG
finde	намерете	finden	намеря-(се)	V;IND;SG;2;PRS;FIN	V;PFV;IMP;PL;2;FIN
finde	намери	finden	намеря-(се)	V;IND;SG;2;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
finde	намеря	finden	намеря-(се)	V;IND;SG;2;PRS;FIN	V;PFV;IND;SG;1;PRS;FIN;ACT
führen	олово	führen	олово	V;NFIN	N;INDF;NEUT;SG
studium	учи	studium	уча-(се)	N;NOM;NEUT;SG	V;IPFV;IMP;SG;2;FIN
studium	изследвания	studium	изследване	N;NOM;NEUT;SG	N;INDF;NEUT;PL
