les	la	le	el	DET;DEF;PL	DET;DEF;FEM;SG
baptiste	baptiste	baptiste	baptiste	N;MASC;SG	
étudiants	alumnat	étudiant	alumnat	N;MASC;PL	N;MASC;SG
étudiants	alumne	étudiant	alumne	N;MASC;PL	N;MASC;SG
étudiants	estudiant	étudiant	estudiar	N;MASC;PL	V;V.MSDR
maisons	casas	maison	casas	N;FEM;PL	
manque	manca	manque	mancar	N;MASC;SG	V;IND;SG;3;PRS;FIN
manque	falta	manque	faltar	N;MASC;SG	V;IND;SG;3;PRS;FIN
manque	desaparegut	manque	desaparegut	N;MASC;SG	ADJ;MASC;SG;V.PTCP
manque	falta	manque	faltar	N;MASC;SG	V;IND;SG;3;PRS;FIN
manque	desapareguda	manque	desaparegut	N;MASC;SG	ADJ;FEM;SG;V.PTCP
plein	plens	plein	ple	ADJ;MASC;SG	ADJ;MASC;PL
naturel	naturals	naturel	natural	ADJ;MASC;SG	ADJ;PL
franco	franco	franco	francar	N;MASC;SG	
abbé	abbe	abbé	abbe	N;MASC;SG	
abbé	abbé	abbé	abbé	N;MASC;SG	PROPN
gérard	gérard	gérard	gérard	PROPN	
gérard	gerard	gérard	gerard	PROPN	
semaines	setmana	semaine	setmana	N;FEM;PL	N;FEM;SG
familles	família	famille	família	N;FEM;PL	N;FEM;SG
familles	familia	famille	familia	N;FEM;PL	
gardien	guardià	gardien	guardià	N;MASC;SG	ADJ;MASC;SG
gardien	guardian	gardien	guardiar	N;MASC;SG	ADJ;MASC;SG
gardien	custodio	gardien	custodio	N;MASC;SG	
gardien	guardià	gardien	guardià	N;MASC;SG	ADJ;MASC;SG
appelle	convocatòria	appeler	convocatòria	V;IND;SG;3;PRS;FIN	N;FEM;SG
appelle	trucada	appeler	trucada	V;IND;SG;3;PRS;FIN	N;FEM;SG
dramatique	dramatique	dramatique	dramatique	ADJ;MASC;SG	
dramatique	drama	dramatique	drama	ADJ;MASC;SG	N;MASC;SG
extérieur	outdoor	extérieur	outdoor	N;MASC;SG	
extérieur	externs	extérieur	extern	N;MASC;SG	ADJ;MASC;PL
extérieur	extern	extérieur	extern	N;MASC;SG	ADJ;MASC;SG
extérieur	externa	extérieur	extern	N;MASC;SG	ADJ;FEM;SG
draft	esborrany	draft	esborrany	PROPN	ADJ;MASC;SG
régional	regionals	régional	regional	ADJ;MASC;SG	ADJ;PL
littéraire	literàries	littéraire	literari	ADJ;MASC;SG	ADJ;FEM;PL
littéraire	littéraire	littéraire	littéraire	ADJ;MASC;SG	
arrêté	detingut	arrêter	detingut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
réalité	realitat	réalité	realitat	N;FEM;SG	
savoie	savoie	savoir	savoie	N;FEM;SG	
savoie	savoy	savoir	savoy	N;FEM;SG	
connaissance	conegut	connaissance	conegut	N;FEM;SG	ADJ;MASC;SG;V.PTCP
connaissance	coneixements	connaissance	coneixement	N;FEM;SG	N;MASC;PL
étoile	estel	étoile	estel	N;FEM;SG	
marche	marche	marche	marche	N;FEM;SG	PROPN
marche	caminant	marche	caminar	N;FEM;SG	V;V.MSDR
marche	march	marche	march	N;FEM;SG	PROPN
jaune	groc	jaune	groc	ADJ;MASC;SG	
serbie	sèrbia	serbier	serbi	PROPN	ADJ;FEM;SG
permettent	permet	permettre	permetre	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
masse	massa	masse	massa	N;FEM;SG	ADV
arc	arc	arc	arc	N;MASC;SG	
arc	cra	arc	cra	N;MASC;SG	
arc	proa	arc	proa	N;MASC;SG	
tombe	cascades	tomber	cascada	V;IND;SG;3;PRS;FIN	ADJ;FEM;PL;V.PTCP
tombe	tomba	tomber	tomba	V;IND;SG;3;PRS;FIN	N;FEM;SG
tombe	tombe	tomber	tombe	V;IND;SG;3;PRS;FIN	
vrai	true	vrai	true	ADJ;MASC;SG	
armées	exèrcits	armer	exèrcit	V;FEM;PL;PST;V.PTCP	N;MASC;PL
armées	batallons	armer	batalló	V;FEM;PL;PST;V.PTCP	N;MASC;PL
armées	armat	armer	armat	V;FEM;PL;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
armées	armats	armer	armat	V;FEM;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
arabe	arab	arabe	arab	ADJ;MASC;SG	
acte	act	acte	act	N;MASC;SG	PROPN
arthur	arthur	arthur	arthur	N;MASC;SG	PROPN
live	viure	live	viure	PROPN	
live	live	live	live	PROPN	
grèce	grèce	grèce	grèce	N;FEM;SG	PROPN
grèce	grècia	grèce	grècia	N;FEM;SG	ADJ;FEM;SG
major	major	major	major	N;MASC;SG	ADJ;SG
santa	santa	santa	santar	PROPN	
essai	provant	essai	provant	N;MASC;SG	V;V.MSDR
essai	proves	essai	prova	N;MASC;SG	N;FEM;PL
essai	prova	essai	prova	N;MASC;SG	V;IND;SG;3;PRS;FIN
décrit	descriu	décrire	descriure	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
anglaise	anglès	anglais	anglès	ADJ;FEM;SG	N;MASC;SG
écosse	scotland	écosse	scotland	PROPN	PROPN
écosse	escòcia	écosse	escòcia	PROPN	ADJ;FEM;SG
héros	heroes	héros	heroa	N;MASC;SG	PROPN
héros	herois	héros	heroi	N;MASC;SG	N;MASC;PL
héros	heroi	héros	heroi	N;MASC;SG	
reprend	currículums	reprendre	currículum	V;IND;SG;3;PRS;FIN	N;MASC;PL
permis	permís	permettre	permís	V;MASC;SG;PST;V.PTCP	N;MASC;SG
permis	llicència	permettre	llicència	V;MASC;SG;PST;V.PTCP	N;FEM;SG
permis	llicència	permettre	llicència	V;MASC;SG;PST;V.PTCP	N;FEM;SG
permis	permisos	permettre	permís	V;MASC;SG;PST;V.PTCP	N;MASC;PL
nantes	nantes	nant	nanta	PROPN	
midi	midi	midi	midi	N;MASC;SG	
aura	aura	avoir	aura	V;IND;SG;3;FUT;FIN	
pdf	pdf	pdf	pdf	N;MASC;SG	
ciel	cel	ciel	cel	N;MASC;SG	
ciel	heaven	ciel	heavar	N;MASC;SG	PROPN
ciel	ciel	ciel	ciel	N;MASC;SG	
ciel	cel	ciel	cel	N;MASC;SG	
ciel	sky	ciel	sky	N;MASC;SG	PROPN
anti	anti	anti	anti	N;MASC;SG	
rang	rang	rang	rang	N;MASC;SG	
rang	fila	rang	fila	N;MASC;SG	
rang	filera	rang	filera	N;MASC;SG	
occidentale	oest	occidental	oest	ADJ;FEM;SG	
occidentale	western	occidental	western	ADJ;FEM;SG	
washington	washington	washington	washington	N;MASC;SG	
rurale	rurals	rural	rural	ADJ;FEM;SG	ADJ;PL
maladie	maladie	maladie	maladie	N;FEM;SG	
king	king	king	king	PROPN	PROPN
king	rei	king	rei	PROPN	N;MASC;SG
portant	tenint	porter	tenir	V;PRS;V.PTCP	V;V.MSDR
préfecture	préfecture	préfecture	préfecture	N;FEM;SG	
officielle	official	officiel	official	ADJ;FEM;SG	
objectif	lens	objectif	lens	N;MASC;SG	PROPN
objectif	lent	objectif	lent	N;MASC;SG	ADJ;MASC;SG
cap	cape	cap	cape	N;MASC;SG	
sorte	ordena	sorte	ordenar	N;FEM;SG	V;IND;SG;3;PRS;FIN
ingénieur	enginyers	ingénieur	enginyer	N;MASC;SG	N;MASC;PL
irlande	irlanda	irlande	irlanda	N;MASC;SG	
irlande	bellvís	irlande	bellvís	N;MASC;SG	
peine	frase	peine	frase	N;FEM;SG	V;IND;SG;3;PRS;FIN
britanniques	britànic	britannique	britànic	ADJ;MASC;PL	ADJ;MASC;SG
britanniques	british	britannique	british	ADJ;MASC;PL	
britanniques	britànica	britannique	britànic	ADJ;MASC;PL	ADJ;FEM;SG
importants	important	important	important	ADJ;MASC;PL	ADJ;SG
yves	yves	yve	yves	PROPN	PROPN
yves	stanley	yve	stanley	PROPN	PROPN
chanteuse	singer	chanteur	singer	N;FEM;SG	PROPN
madrid	madrid	madrid	madrid	PROPN	
cordialement	gràcies	cordialement	gràcies	ADV	N
utilisés	emprat	utiliser	emprat	V;MASC;PL;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
utilisés	utilitzat	utiliser	utilitzat	V;MASC;PL;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
utilisés	utilitzats	utiliser	utilitzat	V;MASC;PL;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
utilisés	usat	utiliser	usat	V;MASC;PL;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
application	app	application	app	N;FEM;SG	
responsable	responsable	responsable	responsable	ADJ;MASC;SG	N;SG
responsable	mantenidor	responsable	mantenidor	ADJ;MASC;SG	N;MASC;SG
banque	bank	banque	bank	N;FEM;SG	ADJ;MASC;SG
décédé	morí	décéder	morí	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
décédé	causant	décéder	causar	V;MASC;SG;PST;V.PTCP	V;V.MSDR
décédé	difunts	décéder	difunt	V;MASC;SG;PST;V.PTCP	N;MASC;PL
danse	ballant	danse	ballar	N;FEM;SG	V;V.MSDR
danse	ballar	danse	ballar	N;FEM;SG	V;NFIN
genève	genève	genève	genève	ADJ;FEM;SG	PROPN
genève	ginebra	genève	ginebrar	ADJ;FEM;SG	
développé	desenvolupat	développer	desenvolupar	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
développé	desenvolupats	développer	desenvolupat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
élèves	alumnat	élève	alumnat	N;MASC;PL	N;MASC;SG
remplacé	substituït	remplacer	substituir	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
fleuve	fleuve	fleuve	fleuve	N;MASC;SG	
univers	univers	univers	univers	N;MASC;SG	
critiques	crítica	critique	crítica	N;MASC;PL	N;FEM;SG
critiques	crítics	critique	crític	N;MASC;PL	ADJ;MASC;PL
critiques	ressenyes	critique	ressenya	N;MASC;PL	
critiques	crític	critique	crític	N;MASC;PL	ADJ;MASC;SG
écriture	escrivint	écriture	escriure	N;FEM;SG	V;V.MSDR
écriture	écriture	écriture	écriture	N;FEM;SG	
die	die	der	die		
die	morir	der	morir		V;NFIN
caractéristiques	funcionalitats	caractéristique	funcionalitat	ADJ;FEM;PL	N;FEM;PL
caractéristiques	característiques	caractéristique	característica	ADJ;FEM;PL	N;FEM;PL
trente	trento	trente	trentar	NUM	ADJ;MASC;SG
julien	julian	julien	julir	PROPN	
julien	julián	julien	julián	PROPN	
julien	julià	julien	julià	PROPN	ADJ;MASC;SG
julien	julien	julien	juliar	PROPN	
chasse	caça	chasse	caça	N;FEM;SG	
chasse	hunt	chasse	hunt	N;FEM;SG	PROPN
paru	aparegut	paraître	aparèixer	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
processus	processos	processus	procés	N;MASC;SG	N;MASC;PL
gaz	gaz	gaz	gaz	N;MASC;SG	PROPN
gaz	gasos	gaz	gas	N;MASC;SG	N;MASC;PL
orléans	orleans	orléan	orleà	N;MASC;SG	N;MASC;PL
orléans	orleans	orléan	orleà	N;MASC;SG	N;MASC;PL
catégories	categoria	catégorie	categoria	N;FEM;PL	N;FEM;SG
propres	propi	propre	propi	ADJ;MASC;PL	ADJ;MASC;SG
gmina	gmina	gmina	gminar	N;MASC;SG	
juan	juan	juan	juan	PROPN	
véritable	true	véritable	true	ADJ;MASC;SG	
lee	lee	lee	lee	PROPN	PROPN
rapide	rapid	rapide	rapid	ADJ;MASC;SG	
traduit	traduït	traduire	traduït	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
traduit	tradueix	traduire	traduir	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
chœur	chorus	chœur	chorus	N;MASC;SG	PROPN
léon	léon	léon	léon	N;MASC;SG	PROPN
léon	leon	léon	leon	N;MASC;SG	PROPN
léon	leo	léon	leo	N;MASC;SG	
naturelle	naturals	naturel	natural	ADJ;FEM;SG	ADJ;PL
nommée	anomenat	nommer	anomenat	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
fusion	fusiona	fusion	fusionar	N;FEM;SG	V;IND;SG;3;PRS;FIN
fusion	fusionar	fusion	fusionar	N;FEM;SG	V;NFIN
commandement	ordre	commandement	ordre	N;MASC;SG	
commandement	comandament	commandement	comandament	N;MASC;SG	
mairie	mairie	mairie	mairie	N;FEM;SG	
jan	jan	jan	jan	N;MASC;SG	
jeanne	jeanne	jeanne	jeanne	N;FEM;SG	
yeux	eyes	oeil	el	N;MASC;PL	PROPN
yeux	ull	oeil	ull	N;MASC;PL	
all	tots	all	tot		PRO;MASC;PL
all	totes	all	tot		PRO;FEM;PL
reprise	reprès	reprendre	reprendre	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
reprise	reprèn	reprendre	reprendre	V;FEM;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
reprise	represa	reprendre	represa	V;FEM;SG;PST;V.PTCP	
reprise	currículum	reprendre	currículum	V;FEM;SG;PST;V.PTCP	N;MASC;SG
reprise	reprise	reprendre	reprise	V;FEM;SG;PST;V.PTCP	
prédécesseur	predecessor	prédécesseur	predecessor	N;MASC;SG	
retraite	retirat	retraite	retirat	N;FEM;SG	ADJ;MASC;SG;V.PTCP
retraite	jubilats	retraite	jubilat	N;FEM;SG	ADJ;MASC;PL;V.PTCP
retraite	jubilat	retraite	jubilar	N;FEM;SG	ADJ;MASC;SG;V.PTCP
ferroviaire	ferrocarril	ferroviaire	ferrocarril	ADJ;MASC;SG	N;MASC;SG
ferroviaire	ferrocarril	ferroviaire	ferrocarril	ADJ;MASC;SG	N;MASC;SG
table	taula	table	taula	N;FEM;SG	V;IND;SG;3;PRS;FIN
table	quadre	table	quadre	N;FEM;SG	
antonio	antonio	antonio	antonio	PROPN	
emploi	treballs	emploi	treball	N;MASC;SG	N;MASC;PL
promotion	ascensos	promotion	ascens	N;FEM;SG	N;MASC;PL
promotion	promocions	promotion	promoció	N;FEM;SG	N;FEM;PL
québécois	quebec	québécois	quebar	ADJ;MASC;SG	N;MASC;SG
obtenu	obtingut	obtenir	obtingut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
obtenu	obtingudes	obtenir	obtingut	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
obtenu	obtinguda	obtenir	obtingut	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
obtenu	obtinguts	obtenir	obtingut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
quel	quins	quel	quin	DET;MASC;SG	PRO;MASC;PL
quel	quina	quel	quin	DET;MASC;SG	PRO;FEM;SG
quel	quin	quel	quin	DET;MASC;SG	PRO;MASC;SG
quel	què	quel	què	DET;MASC;SG	PRO;SG
importantes	important	important	important	ADJ;FEM;PL	ADJ;SG
brun	marró	brun	marró	ADJ;MASC;SG	
brun	brown	brun	brown	ADJ;MASC;SG	PROPN
originaire	originades	originaire	originat	ADJ;MASC;SG	ADJ;FEM;PL;V.PTCP
faite	fetes	faire	fet	V;FEM;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
faite	feta	faire	fet	V;FEM;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
faite	fet	faire	fet	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
participé	participat	participer	participat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
baron	baró	baron	baró	N;MASC;SG	
biographie	bio	biographie	bio	N;FEM;SG	
biographie	biografia	biographie	biografia	N;FEM;SG	V;IND;SG;3;PRS;FIN
effets	efecte	effet	efecte	N;MASC;PL	N;MASC;SG
bosnie	bòsnia	bosnie	bòsnia	PROPN	
explique	expliqui	expliquer	explicar	V;IND;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
explique	explicar	expliquer	explicar	V;IND;SG;3;PRS;FIN	V;NFIN
égypte	egypt	égypte	egypt	N;FEM;SG	PROPN
égypte	egipte	égypte	egipte	N;FEM;SG	
blocage	bloquejant	blocage	bloquejar	N;MASC;SG	V;V.MSDR
blocage	bloqueja	blocage	bloquejar	N;MASC;SG	V;IND;SG;3;PRS;FIN
dominique	dominic	dominique	dominic	ADJ;MASC;SG	
dominique	domènec	dominique	domènec	ADJ;MASC;SG	
dominique	dominique	dominique	dominique	ADJ;MASC;SG	
nœud	node	nœud	node	N;MASC;SG	
nœud	nus	nœud	nus	N;MASC;SG	
christophe	chris	christophe	chri	N;MASC;SG	PROPN
christophe	cristòfor	christophe	cristòfor	N;MASC;SG	ADJ;MASC;SG
christophe	christopher	christophe	christopher	N;MASC;SG	
christophe	christophe	christophe	christophe	N;MASC;SG	
atelier	atelier	atelier	atelier	N;MASC;SG	
auguste	auguste	auguste	auguste	N;MASC;SG	
auguste	august	auguste	august	N;MASC;SG	
auguste	augustus	auguste	augustus	N;MASC;SG	ADJ;MASC;SG
raisons	raó	raison	raó	N;FEM;PL	N;FEM;SG
raisons	motiu	raison	motiu	N;FEM;PL	N;MASC;SG
francis	francis	francis	franci	PROPN	
écrite	escrit	écrire	escrit	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
chute	falling	chute	falling	N;FEM;SG	PROPN
chute	caient	chute	caure	N;FEM;SG	
communiste	comunista	communiste	comunista	ADJ;MASC;SG	N;SG
étranger	alien	étranger	aliar	N;MASC;SG	V;IND;PL;3;PRS;FIN
étranger	exteriors	étranger	exterior	N;MASC;SG	ADJ;PL
documentaire	documental	documentaire	documental	N;MASC;SG	ADJ;SG
cartes	maps	carte	map	N;FEM;PL	
cartes	mapa	carte	mapa	N;FEM;PL	N;MASC;SG
secret	secret	secret	secret	ADJ;MASC;SG	
publics	públic	public	públic	ADJ;MASC;PL	ADJ;MASC;SG
publics	public	public	public	ADJ;MASC;PL	
col	col	col	col	N;MASC;SG	
mary	maría	mary	maría	PROPN	
mary	mary	mary	mary	PROPN	
mines	mineria	mine	mineria	N;FEM;PL	N;FEM;SG
alfred	alfred	alfred	alfred	N;MASC;SG	PROPN
locaux	local	local	local	ADJ;MASC;PL	ADJ;SG
publiée	publicat	publier	publicat	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
publiée	publicat	publier	publicat	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
soir	nit	soir	nit	N;MASC;SG	
coureur	racer	coureur	racer	N;MASC;SG	
basé	basat	baser	basat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
différence	diff	différence	diff	N;FEM;SG	
enregistré	enregistrat	enregistrer	enregistrar	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
enregistré	registrat	enregistrer	registrat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
enregistré	inscrits	enregistrer	inscrit	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
enregistré	desat	enregistrer	desat	V;MASC;SG;PST;V.PTCP	
enregistré	salvat	enregistrer	salvar	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
xls	xls	xl	el	N;MASC;SG	
connexe	relacionats	connexe	relacionat	ADJ;MASC;SG	ADJ;MASC;PL;V.PTCP
changement	canvia	changement	canviar	N;MASC;SG	V;IND;SG;3;PRS;FIN
changement	canvi	changement	canvi	N;MASC;SG	
privée	privat	priver	privat	V;FEM;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
privée	privats	priver	privat	V;FEM;SG;PST;V.PTCP	ADJ;MASC;PL
députés	mps	député	mps	N;MASC;PL	
députés	parlamentaris	député	parlamentari	N;MASC;PL	ADJ;MASC;PL
commencé	començat	commencer	començar	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
commencé	iniciat	commencer	iniciat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
électrique	elèctrics	électrique	elèctric	ADJ;MASC;SG	ADJ;MASC;PL
électrique	electric	électrique	electric	ADJ;MASC;SG	PROPN
vite	ràpid	vite	ràpid	ADV	ADJ;MASC;SG
rhin	rin	rhin	rin	N;MASC;SG	
normandie	normandie	normandie	normandie	N;FEM;SG	
normandie	normandia	normandie	normandia	N;FEM;SG	
culturel	culturals	culturel	cultural	ADJ;MASC;SG	ADJ;PL
romans	romans	roman	romà	N;MASC;PL	ADJ;MASC;PL
sportive	esport	sportif	esport	ADJ;FEM;SG	N;MASC;SG
sportive	sport	sportif	sport	ADJ;FEM;SG	N;MASC;SG
bourg	bourg	bourg	bourg	N;MASC;SG	
collecte	recollint	collecte	recollir	N;FEM;SG	V;V.MSDR
collecte	recollida	collecte	recollit	N;FEM;SG	ADJ;FEM;SG;V.PTCP
faveur	favor	faveur	favor	N;FEM;SG	
transports	transport	transport	transport	N;MASC;PL	N;MASC;SG
transports	transport	transport	transport	N;MASC;PL	N;MASC;SG
seuls	sola	seul	sol	ADJ;MASC;PL	ADJ;FEM;SG
rio	rio	rio	rio	PROPN	
juge	jutjar	juge	jutjar	N;MASC;SG	V;NFIN
francisco	francisco	francisco	francisco	PROPN	
lille	lille	lille	lille	N;FEM;SG	
complexe	complexes	complexe	complex	ADJ;MASC;SG	ADJ;FEM;PL
und	und	und	und	PROPN	
universitaire	universitat	universitaire	universitat	ADJ;MASC;SG	N;FEM;SG
titulaire	titular	titulaire	titular	N;MASC;SG	
contexte	antecedents	contexte	antecedent	N;MASC;SG	N;MASC;PL
contexte	fons	contexte	fon	N;MASC;SG	N;MASC;PL
contact	contacte	contact	contacte	N;MASC;SG	
vis	cargols	vis	cargol	N;MASC;SG	N;MASC;PL
vis	vis	vis	vis	N;MASC;SG	
vis	rosca	vis	rosca	N;MASC;SG	
lois	lois	loi	loi	N;FEM;PL	PROPN
ferme	granja	ferme	granja	ADJ;FEM;SG	N;FEM;SG
one	one	one	one	PROPN	
hautes	alta	haut	alt	ADJ;FEM;PL	ADJ;FEM;SG
hautes	high	haut	high	ADJ;FEM;PL	N;SG
hautes	alt	haut	alt	ADJ;FEM;PL	ADJ;MASC;SG
édouard	edouard	édouard	edouard	N;MASC;SG	
édouard	edward	édouard	edward	N;MASC;SG	
édouard	eduard	édouard	eduard	N;MASC;SG	
édouard	édouard	édouard	édouard	N;MASC;SG	
massif	sòlid	massif	sòlid	N;MASC;SG	ADJ;MASC;SG
vente	sale	vente	sale	N;FEM;SG	INTJ
vente	vendes	vente	venda	N;FEM;SG	N;FEM;PL
vente	surts	vente	sort	N;FEM;SG	V;IND;SG;1;PRS;FIN
culte	culte	culte	culte	N;MASC;SG	
culte	secta	culte	secta	N;MASC;SG	
culte	culte	culte	culte	N;MASC;SG	
matériel	equipaments	matériel	equipament	N;MASC;SG	N;MASC;PL
bras	bras	bras	bras	N;MASC;SG	
bras	braços	bras	braç	N;MASC;SG	
bras	braç	bras	braç	N;MASC;SG	
calais	calais	calais	calai	PROPN	ADJ;MASC;SG
conduit	impulsada	conduire	impulsat	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
conduit	impulsat	conduire	impulsat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
conduit	impulsades	conduire	impulsat	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
conduit	conducte	conduire	conducte	V;MASC;SG;PST;V.PTCP	N;MASC;SG
perdu	perduda	perdre	perdre	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
perdu	perduts	perdre	perdut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
perdu	lost	perdre	lost	V;MASC;SG;PST;V.PTCP	PROPN
perdu	perdut	perdre	perdut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
nice	bonic	nice	bonic	PROPN	ADJ;MASC;SG
nice	niça	nice	niça	PROPN	
visite	visiteu	visite	visiteu	N;FEM;SG	V;IND;SG;1;PRS;FIN
visite	visita	visite	visitar	N;FEM;SG	V;IND;SG;3;PRS;FIN
visite	recorregut	visite	recorregut	N;FEM;SG	ADJ;MASC;SG;V.PTCP
promu	promogut	promouvoir	promogut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
promu	promogudes	promouvoir	promogut	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
promu	promoguts	promouvoir	promogut	V;MASC;SG;PST;V.PTCP	ADJ;MASC;PL;V.PTCP
informatique	ordinadors	informatique	ordinador	ADJ;MASC;SG	N;MASC;PL
informatique	computació	informatique	computació	ADJ;MASC;SG	N;FEM;SG
mur	paret	mur	paret	N;MASC;SG	
mur	mur	mur	mur	N;MASC;SG	
scientifiques	científics	scientifique	científic	ADJ;MASC;PL	N;MASC;PL
luc	luc	luc	luc	N;MASC;SG	PROPN
tente	tenda	tenter	tenda	V;IND;SG;3;PRS;FIN	N;FEM;SG
tente	carpa	tenter	carpa	V;IND;SG;3;PRS;FIN	
scott	scott	scott	scott	PROPN	PROPN
contrairement	contrari	contrairement	contrari	ADV	ADJ;MASC;SG
contrairement	contraris	contrairement	contrari	ADV	ADJ;MASC;PL
liège	feudal	liège	feudal	PROPN	ADJ;SG
liège	lieja	liège	liejar	PROPN	
liège	suro	liège	suro	PROPN	N;MASC;SG
liège	cork	liège	cork	PROPN	PROPN
utilisant	utilitzant	utiliser	utilitzar	V;PRS;V.PTCP	V;V.MSDR
utilisant	usant	utiliser	usar	V;PRS;V.PTCP	V;V.MSDR
huile	oli	huile	oli	N;FEM;SG	
tourné	tornà	tourner	tornà	V;MASC;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
tourné	rodat	tourner	rodat	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
dessin	dibuix	dessin	dibuix	N;MASC;SG	
barcelone	barcelona	barcelone	barcelona	N;MASC;SG	
manuel	manel	manuel	manel	N;MASC;SG	
manuel	manual	manuel	manual	N;MASC;SG	ADJ;SG
joe	joe	joe	joe	PROPN	PROPN
espagnole	castellà	espagnol	castellà	ADJ;FEM;SG	N;MASC;SG
maroc	maroc	maroc	maroc	N;MASC;SG	PROPN
faux	malament	faux	malament	ADJ;MASC;SG	ADV
faux	false	faux	false	ADJ;MASC;SG	V;IND;SG;3;PRS;FIN
faux	falses	faux	fals	ADJ;MASC;SG	ADJ;FEM;PL
faux	fake	faux	fake	ADJ;MASC;SG	PROPN
christ	crist	christ	crist	N;MASC;SG	
colombie	columbia	colombie	columbia	PROPN	N;FEM;SG
colombie	colòmbia	colombie	colòmbia	PROPN	ADJ;FEM;SG
baie	berry	baie	berry	N;FEM;SG	
athlète	atleta	athlète	atleta	N;MASC;SG	
bourgogne	bourgogne	bourgogne	bourgogne	N;MASC;SG	
bourgogne	borgonya	bourgogne	borgonya	N;MASC;SG	
contraire	contraris	contraire	contrari	ADJ;MASC;SG	ADJ;MASC;PL
destination	destinacions	destination	destinació	N;FEM;SG	N;FEM;PL
destination	destins	destination	destí	N;FEM;SG	N;MASC;PL
vierge	virgo	vierge	virgo	ADJ;MASC;SG	PROPN
vierge	virgin	vierge	virjar	ADJ;MASC;SG	PROPN
vierge	verge	vierge	verge	ADJ;MASC;SG	
lesquels	qual	lequel	qual	PRO;MASC;PL	PRO;SG
température	temperatures	température	temperatura	N;FEM;SG	N;FEM;PL
essais	provant	essai	provant	N;MASC;PL	V;V.MSDR
essais	assaig	essai	assaig	N;MASC;PL	N;MASC;SG
aider	auxili	aider	auxili	V;NFIN	
aider	ajut	aider	ajut	V;NFIN	
mention	menció	mention	menció	N;FEM;SG	V;IND;SG;3;PRS;FIN
arrêt	atura	arrêt	aturar	N;MASC;SG	V;IND;SG;3;PRS;FIN
