par	glede	par	glede		ADV
piecas	five	piecas	fiv	NUM;NOM;FEM;PL	
mira	miro	mirt	mira	V;FH;IND;3;POS;PST;FIN;ACT	N;NOM;MASC;SG
mira	mira	mirt	mir	V;FH;IND;3;POS;PST;FIN;ACT	N;NOM;FEM;SG
vēsturiski	zgodovinski	vēsturiski	zgodovinski	ADV	ADJ;NOM;MASC;SG
vēsturiski	zgodovinska	vēsturiski	zgodovinski	ADV	ADJ;NOM;FEM;SG
vēsturiski	zgodovinsko	vēsturiski	zgodovinski	ADV	ADJ;NOM;NEUT;SG
vēsturiski	zgodovinsko	vēsturiski	zgodovinski	ADV	ADJ;NOM;NEUT;SG
vēsturiski	zgodovinski	vēsturiski	zgodovinski	ADV	ADJ;NOM;MASC;SG
vēsturiski	zgodovinsko	vēsturiski	zgodovinski	ADV	ADJ;NOM;NEUT;SG
vēsturiski	zgodovinska	vēsturiski	zgodovinski	ADV	ADJ;NOM;FEM;SG
vēsturiski	zgodovinske	vēsturiski	zgodovinski	ADV	ADJ;NOM;FEM;PL
viduslaiku	srednjeveški	viduslaiks	srednjeveški	N;ACC;MASC	ADJ;NOM;MASC;SG
karaspēku	čet	karaspēks	čet	N;ACC;MASC;SG	N;NOM;MASC;SG
karaspēku	čete	karaspēks	četa	N;ACC;MASC;SG	N;NOM;FEM;PL
tautu	narode	tauta	narode	N;ACC;FEM;SG	N;ACC;MASC;PL
tautu	narodi	tauta	narod	N;ACC;FEM;SG	N;NOM;MASC;PL
nolēma	odločeno	nolemt	odločen	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
francija	francijo	francija	francija	PROPN;NOM;FEM;SG	N;ACC;FEM;SG
francija	francija	francija	francija	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
francija	france	francija	franca	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
viljams	william	viljams	william	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
tirgus	tržnice	tirgus	tržnica	N;NOM;MASC;SG	N;NOM;FEM;PL
tirgus	trgi	tirgus	trg	N;NOM;MASC;SG	N;NOM;MASC;PL
tirgus	tržišča	tirgus	tržišče	N;NOM;MASC;SG	N;NOM;NEUT;PL
puse	zabavo	puse	zabava	N;NOM;FEM;SG	N;ACC;FEM;SG
londonā	london	londons	london	N;ESS;MASC;SG	PROPN;NOM;MASC;SG
slimības	bolezen	slimība	bolezen	N;NOM;FEM;PL	N;NOM;FEM;SG
slimības	bolezen	slimība	bolezen	N;NOM;FEM;PL	N;NOM;FEM;SG
džordžs	george	džordžs	george	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
vīriešiem	moške	vīrietis	moški	N;DAT;MASC;PL	ADJ;NOM;FEM;PL
vīriešiem	možje	vīrietis	mož	N;DAT;MASC;PL	N;NOM;MASC;PL
vīriešiem	men	vīrietis	mena	N;DAT;MASC;PL	N;NOM;MASC;SG
vīriešiem	moški	vīrietis	moški	N;DAT;MASC;PL	N;NOM;MASC;PL
vīriešiem	moška	vīrietis	moški	N;DAT;MASC;PL	ADJ;NOM;FEM;SG
kājas	stopala	kāja	stopati	N;NOM;FEM;PL	V;IPFV;FEM;SG;V.PTCP
kājas	stopali	kāja	stopati	N;NOM;FEM;PL	V;IPFV;MASC;PL;V.PTCP
kājas	nog	kāja	nog	N;NOM;FEM;PL	N;GEN;FEM;PL
kājas	nogi	kāja	noga	N;NOM;FEM;PL	N;NOM;FEM;DU
lietuvā	litva	lietuva	litev	PROPN;ESS;FEM;SG	PROPN;NOM;FEM;SG
lietuvā	litvi	lietuva	litev	PROPN;ESS;FEM;SG	N;NOM;FEM;SG
lietuvā	litvo	lietuva	litev	PROPN;ESS;FEM;SG	PROPN;ACC;FEM;SG
berlīnes	berlin	berlīne	berlin	N;NOM;FEM;PL	N;NOM;MASC;SG
centrālās	osrednje	centrāla	osrednji	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
centrālās	centralno	centrāla	centralno	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
centrālās	osrednji	centrāla	osrednji	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
centrālās	centralni	centrāla	centralen	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
šķērso	prečkanje	šķērsot	prečkanje	V;FH;IMP;SG;2;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
šķērso	prehod	šķērsot	prehod	V;FH;IMP;SG;2;POS;PRS;FIN;ACT	N;NOM;MASC;SG
šķērso	prečka	šķērsot	prečkati	V;FH;IMP;SG;2;POS;PRS;FIN;ACT	V;IND;SG;3;PRS;FIN
kategorijā	kategorijo	kategorija	kategorija	N;ESS;FEM;SG	N;ACC;FEM;SG
kategorijā	kategorija	kategorija	kategorija	N;ESS;FEM;SG	N;NOM;FEM;SG
bibliotēka	knjižnici	bibliotēka	knjižnica	N;NOM;FEM;SG	N;DAT;FEM;SG
vajadzībām	rabi	vajadzība	raba	N;DAT;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
vajadzībām	potrebe	vajadzība	potreba	N;DAT;FEM;PL	N;NOM;FEM;PL
vajadzībām	potrebuje	vajadzība	potrebovati	N;DAT;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN
vajadzībām	potreb	vajadzība	potreba	N;DAT;FEM;PL	N;GEN;FEM;PL
astes	rep	aste	rep	N;NOM;FEM;PL	N;NOM;MASC;SG
astes	tail	aste	taiti	N;NOM;FEM;PL	N;NOM;MASC;SG
astes	cifra	aste	cifr	N;NOM;FEM;PL	N;NOM;FEM;SG
izmērs	velikosti	izmērs	velikost	N;NOM;MASC;SG	N;GEN;FEM;SG
nasa	nasa	nass	nas	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
nasa	naso	nass	jaz	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
nasa	nasi	nass	jaz	PROPN;NOM;FEM;SG	
gustavs	gustav	gustavs	gustava	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
gustavs	gustave	gustavs	gustava	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
iepriekšējais	predhodno	iepriekšējs	predhodno	ADJ;NOM;MASC;SG	ADV
tornis	tower	tornis	tower	N;NOM;MASC;SG	
neliela	rahle	neliels	rahle	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
neliela	rahlo	neliels	rahlo	ADJ;NOM;FEM;SG	ADV
uefa	uefa	uefa	uefa	PROPN	PROPN;NOM;MASC;SG
grūti	trde	grūti	trd	ADV	ADJ;NOM;FEM;PL
grūti	težko	grūti	težek	ADV	ADJ;NOM;NEUT;SG
grūti	težka	grūti	težek	ADV	ADJ;NOM;FEM;SG
grūti	težavna	grūti	težaven	ADV	ADJ;NOM;FEM;SG
grūti	težko	grūti	težek	ADV	ADJ;NOM;NEUT;SG
naftas	nafte	nafta	nafta	N;NOM;FEM;SG	N;NOM;FEM;PL
vidējais	povprečje	vidējs	povprečje	ADJ;NOM;MASC;SG	N;NOM;NEUT;SG
vidējais	mediana	vidējs	mediano	ADJ;NOM;MASC;SG	N;NOM;FEM;SG
veidot	ustvarjanje	veidot	ustvarjanje	V;POS;NFIN	N;NOM;NEUT;SG
saimniecības	gospodarstva	saimniecība	gospodarstvo	N;NOM;FEM;PL	N;GEN;NEUT;SG
saimniecības	gospodarstev	saimniecība	gospodarstvo	N;NOM;FEM;PL	N;GEN;NEUT;PL
saimniecības	farma	saimniecība	farma	N;NOM;FEM;PL	N;NOM;FEM;SG
saimniecības	kmetiji	saimniecība	kmetija	N;NOM;FEM;PL	N;NOM;FEM;DU
saimniecības	kmetija	saimniecība	kmetija	N;NOM;FEM;PL	N;NOM;FEM;SG
saimniecības	držala	saimniecība	držati	N;NOM;FEM;PL	V;IPFV;FEM;SG;V.PTCP
saimniecības	gospodarstvu	saimniecība	gospodarstvo	N;NOM;FEM;PL	N;DAT;NEUT;SG
saimniecības	držanje	saimniecība	držanje	N;NOM;FEM;PL	N;NOM;NEUT;SG
saimniecības	holding	saimniecība	holding	N;NOM;FEM;PL	N;NOM;MASC;SG
saimniecības	gospodarstvo	saimniecība	gospodarstvo	N;NOM;FEM;PL	N;NOM;NEUT;SG
nosaukts	poimenovana	nosaukt	poimenovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
muzeja	muzej	muzejs	muzej	N;GEN;MASC;SG	N;NOM;MASC;SG
kuģi	plovil	kuģis	plovilo	N;NOM;MASC;PL	N;GEN;NEUT;PL
atzina	priznana	atzīt	priznan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
atzina	priznan	atzīt	priznan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
hercogs	vojvodo	hercogs	vojvoda	N;NOM;MASC;SG	N;ACC;FEM;SG
objekti	predmete	objekts	predmeti	N;NOM;MASC;PL	N;ACC;MASC;PL
objekti	predmetov	objekts	predmet	N;NOM;MASC;PL	N;GEN;MASC;PL
strādā	dela	strādāt	delo	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;PL
strādā	delovna	strādāt	deloven	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;FEM;SG
strādā	delovno	strādāt	deloven	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;NEUT;SG
strādā	delovni	strādāt	deloven	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;DEF;MASC;SG
posms	fazo	posms	faza	N;NOM;MASC;SG	N;ACC;FEM;SG
stipri	močan	stipri	močen	ADV	ADJ;NOM;INDF;MASC;SG
stipri	močni	stipri	močen	ADV	ADJ;NOM;MASC;PL
stipri	močna	stipri	močen	ADV	ADJ;NOM;FEM;SG
komisijas	komisij	komisija	komisija	N;NOM;FEM;PL	N;GEN;FEM;PL
komisijas	komisija	komisija	komisija	N;NOM;FEM;PL	N;NOM;FEM;SG
komisijas	provizija	komisija	provizija	N;NOM;FEM;PL	N;NOM;FEM;SG
regulāri	redni	regulāri	reden	ADV	ADJ;NOM;MASC;SG
regulāri	redna	regulāri	reden	ADV	ADJ;NOM;FEM;SG
val	val	val	val		N;NOM;MASC;SG
administratīvi	upravne	administratīvi	upraven	ADV	ADJ;NOM;FEM;PL
administratīvi	administrativna	administratīvi	administrativen	ADV	ADJ;NOM;FEM;SG
administratīvi	upravna	administratīvi	upraven	ADV	ADJ;NOM;FEM;SG
starts	začni	starts	začeti	N;NOM;MASC;SG	V;PFV;IMP;SG;2;FIN
united	združeni	unitede	združen		ADJ;NOM;MASC;PL;V.PTCP
united	združena	unitede	združen		ADJ;NOM;FEM;SG;V.PTCP
united	združene	unitede	združen		ADJ;NOM;FEM;PL;V.PTCP
united	united	unitede	united		
united	združeno	unitede	združen		ADJ;NOM;NEUT;SG;V.PTCP
plānots	predvideno	plānot	predviden	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
plānots	načrtovana	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
plānots	načrtovano	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
plānots	programirani	plānot	programiran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
plānots	programiran	plānot	programiran	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
plānots	načrtovan	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
plānots	načrtovani	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
plānots	načrtovana	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
plānots	načrtovano	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
plānots	načrtovane	plānot	načrtovan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
iekļautas	vključeni	iekļaut	vključen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
iekļautas	vključena	iekļaut	vključen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
iekļautas	vključene	iekļaut	vključen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
iekļautas	vključen	iekļaut	vključen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
iekļautas	vključeno	iekļaut	vključen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
savieno	povezovanje	savienot	povezovanje	V;IMP;2;POS;FIN;ACT	N;NOM;NEUT;SG
savieno	poveži	savienot	povežiti	V;IMP;2;POS;FIN;ACT	V;PFV;IND;SG;2;PRS;FIN
savieno	povezuje	savienot	povezovati	V;IMP;2;POS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN
alberts	albert	alberts	albert	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
cīņu	pretep	cīņa	pretep	N;ACC;FEM;SG	N;NOM;MASC;SG
cīņu	boj	cīņa	boj	N;ACC;FEM;SG	N;NOM;MASC;SG
cīņu	borba	cīņa	borba	N;ACC;FEM;SG	N;NOM;FEM;SG
metāla	kovinska	metāls	kovinski	N;GEN;MASC;SG	ADJ;NOM;FEM;SG
metāla	kovine	metāls	kovina	N;GEN;MASC;SG	N;NOM;FEM;PL
metāla	kovina	metāls	kovina	N;GEN;MASC;SG	N;NOM;FEM;SG
metāla	kovinsko	metāls	kovinski	N;GEN;MASC;SG	ADJ;NOM;NEUT;SG
metāla	kovinski	metāls	kovinski	N;GEN;MASC;SG	ADJ;NOM;MASC;SG
metāla	kovin	metāls	kovina	N;GEN;MASC;SG	N;NOM;FEM;PL
metāla	kovinski	metāls	kovinski	N;GEN;MASC;SG	ADJ;NOM;MASC;SG
metāla	kovinsko	metāls	kovinski	N;GEN;MASC;SG	ADJ;NOM;NEUT;SG
bataljona	bataljon	bataljons	bataljon	N;GEN;MASC;SG	N;NOM;MASC;SG
putniem	ptic	putns	ptica	N;DAT;MASC;PL	N;GEN;FEM;PL
putniem	ptički	putns	ptiček	N;DAT;MASC;PL	N;NOM;MASC;PL
putniem	ptiči	putns	ptič	N;DAT;MASC;PL	N;NOM;MASC;PL
putniem	ptice	putns	ptica	N;DAT;MASC;PL	N;NOM;FEM;PL
putniem	ptiče	putns	ptič	N;DAT;MASC;PL	N;ACC;MASC;PL
edgars	edgars	edgars	edgars	PROPN;NOM;MASC;SG	
edgars	edgar	edgars	edgar	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
viļņas	vilni	vilna	vilen	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
krustojumā	križišču	krustojums	križišče	N;ESS;MASC;SG	N;DAT;NEUT;SG
krustojumā	križišče	krustojums	križišče	N;ESS;MASC;SG	N;NOM;NEUT;SG
šūnas	celic	šūna	celica	N;NOM;FEM;PL	N;GEN;FEM;PL
kijevas	kijevu	kijeva	kijeva	PROPN;NOM;FEM;SG	PROPN;DAT;MASC;SG
ffffff	ffffff	ffffff	ffffff		
ekspedīcijas	ekspedicijskih	ekspedīcija	ekspedicijski	N;NOM;FEM;PL	ADJ;GEN;MASC;PL
stundas	urah	stunda	ura	N;NOM;FEM;PL	N;ESS;FEM;PL
stundas	ur	stunda	ura	N;NOM;FEM;PL	N;GEN;FEM;PL
stundas	urno	stunda	urno	N;NOM;FEM;PL	ADV
stundas	urni	stunda	urn	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
pusi	pol	puse	pol	N;ACC;FEM;SG	DET
pusi	polovica	puse	polovica	N;ACC;FEM;SG	N;NOM;FEM;SG
atsevišķi	posamezno	atsevišķi	posamezno	ADV	ADJ;NOM;NEUT;SG
atsevišķi	posamično	atsevišķi	posamičen	ADV	ADJ;NOM;NEUT;SG
atsevišķi	ločena	atsevišķi	ločen	ADV	ADJ;NOM;FEM;SG;V.PTCP
atsevišķi	ločeni	atsevišķi	ločen	ADV	ADJ;NOM;MASC;PL;V.PTCP
atsevišķi	ločeno	atsevišķi	ločen	ADV	ADJ;NOM;NEUT;SG;V.PTCP
atsevišķi	posamezno	atsevišķi	posamezno	ADV	ADJ;NOM;NEUT;SG
atsevišķi	posamično	atsevišķi	posamičen	ADV	ADJ;NOM;NEUT;SG
atsevišķi	ločeno	atsevišķi	ločen	ADV	ADJ;NOM;NEUT;SG;V.PTCP
galva	glavo	galva	glava	N;NOM;FEM;SG	N;ACC;FEM;SG
galva	head	galva	heada	N;NOM;FEM;SG	
lidojuma	polet	lidojums	polet	N;GEN;MASC;SG	N;NOM;MASC;SG
lidojuma	let	lidojums	leto	N;GEN;MASC;SG	N;GEN;NEUT;PL
čehijas	češka	čehija	češka	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
čehijas	češki	čehija	češki	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
mazā	otrok	maza	otrok	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
mazā	punčka	maza	punčka	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
mazā	dojenček	maza	dojenček	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
mazā	babe	maza	baba	ADJ;NOM;FEM;SG	N;NOM;FEM;PL
mazā	bejba	maza	bejba	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
mihails	mikhail	mihails	mikhati	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
galerija	galerijo	galerija	galerija	N;NOM;FEM;SG	N;ACC;FEM;SG
beidzas	konci	beigties	konec	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	N;NOM;MASC;PL
ziņas	novica	ziņa	novica	N;NOM;FEM;PL	N;NOM;FEM;SG
reliģija	religije	reliģija	religija	N;NOM;FEM;SG	N;NOM;FEM;PL
reliģija	religijo	reliģija	religija	N;NOM;FEM;SG	N;ACC;FEM;SG
reliģija	vere	reliģija	vera	N;NOM;FEM;SG	N;NOM;FEM;PL
operācijas	operacijo	operācija	operacija	N;NOM;FEM;PL	N;ACC;FEM;SG
operācijas	kirurgija	operācija	kirurgija	N;NOM;FEM;PL	N;NOM;FEM;SG
operācijas	operacija	operācija	operacija	N;NOM;FEM;PL	N;NOM;FEM;SG
telpas	sob	telpa	sob	N;NOM;FEM;PL	N;ACC;MASC;SG
lieli	velika	liels	velik	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
lieli	velika	liels	velik	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
lieli	veliki	liels	velik	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;MASC;SG
lieli	velik	liels	velik	ADJ;NOM;MASC;PL	ADJ;NOM;INDF;MASC;SG
veidi	načine	veids	način	N;NOM;MASC;PL	N;ACC;MASC;PL
pārstāvis	reprezentativno	pārstāvis	reprezentativen	N;NOM;MASC;SG	ADV
pārstāvis	reprezentativni	pārstāvis	reprezentativen	N;NOM;MASC;SG	ADJ;NOM;MASC;PL
kopējo	pogosti	kopēja	pogost	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;PL
kopējo	pogosto	kopēja	pogosto	ADJ;ACC;MASC;SG	ADV
joslas	band	josla	band	N;NOM;FEM;PL	N;NOM;MASC;SG
joslas	bend	josla	bend	N;NOM;FEM;PL	N;NOM;MASC;SG
joslas	ansambel	josla	ansambel	N;NOM;FEM;PL	N;NOM;MASC;SG
robeža	mejo	robeža	meja	N;NOM;FEM;SG	N;ACC;FEM;SG
robeža	meje	robeža	meja	N;NOM;FEM;SG	N;NOM;FEM;PL
robeža	omeji	robeža	omejiti	N;NOM;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
tādi	takšne	tāds	takšen	PRO;NOM;MASC;PL	DET;NOM;FEM;PL
tādi	takšna	tāds	takšen	PRO;NOM;MASC;PL	DET;NOM;FEM;SG
tādi	take	tāds	tak	PRO;NOM;MASC;PL	DET;NOM;FEM;PL
mājās	domača	māja	domač	N;ESS;FEM;PL	ADJ;NOM;FEM;SG
mājās	doma	māja	doma	N;ESS;FEM;PL	ADV
mājās	domov	māja	domov	N;ESS;FEM;PL	ADV
mājās	dom	māja	dom	N;ESS;FEM;PL	N;NOM;MASC;SG
grieķijas	grški	grieķija	grški	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
grieķijas	grško	grieķija	grški	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
grieķijas	grk	grieķija	grk	N;NOM;FEM;PL	N;NOM;MASC;SG
grieķijas	grška	grieķija	grški	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
vadītāja	voznika	vadītāja	voznik	N;NOM;FEM;SG	N;ANIM;ACC;MASC;SG
zirgu	konjsko	zirgs	konjski	N;ACC;MASC;SG	ADV
zirgu	konj	zirgs	konj	N;ACC;MASC;SG	N;NOM;MASC;SG
izdota	izdana	izdot	izdan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
izdota	izdani	izdot	izdan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
izdota	izdano	izdot	izdano	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
izdota	izdane	izdot	izdan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
bankas	banks	banka	banks	N;NOM;FEM;PL	
bankas	bankam	banka	banka	N;NOM;FEM;PL	N;DAT;FEM;PL
bankas	bankah	banka	banka	N;NOM;FEM;PL	N;ESS;FEM;PL
purva	močvirja	purva	močvirje	N;NOM;MASC;SG	N;NOM;NEUT;PL
bērniem	otroci	bērns	otrok	N;DAT;MASC;PL	N;NOM;MASC;PL
lomas	vlog	loma	vloga	N;NOM;FEM;PL	N;GEN;FEM;PL
paliek	ostanke	palikt	ostanek	V;FH;IND;3;POS;PRS;FIN;ACT	N;ACC;MASC;PL
četri	four	četri	four	NUM;NOM;MASC;PL	
četri	štiri	četri	štirje	NUM;NOM;MASC;PL	NUM;ACC;FEM;PL
konferences	konferenc	konference	konferenca	N;NOM;FEM;PL	N;GEN;FEM;PL
savvaļas	divja	savvaļa	divji	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
savvaļas	wild	savvaļa	wild	N;NOM;FEM;PL	
savvaļas	divje	savvaļa	divji	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
savvaļas	divji	savvaļa	divji	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
savvaļas	divjad	savvaļa	divjad	N;NOM;FEM;PL	N;NOM;FEM;SG
dod	dej	dot	daj	V;FH;IND;3;POS;PRS;FIN;ACT	V;PFV;IMP;SG;2;FIN
dod	daj	dot	daj	V;FH;IND;3;POS;PRS;FIN;ACT	V;PFV;IMP;SG;2;FIN
lielākoties	večinoma	lielākoties	večinoma		ADV
lielākoties	največkrat	lielākoties	največkrat		ADV;RL
projekts	projekta	projekts	projekt	N;NOM;MASC;SG	N;GEN;MASC;SG
pētījumi	študij	pētījums	študij	N;NOM;MASC;PL	N;NOM;MASC;SG
pētījumi	raziskava	pētījums	raziskava	N;NOM;MASC;PL	N;NOM;FEM;SG
pētījumi	raziskovanje	pētījums	raziskovanje	N;NOM;MASC;PL	N;NOM;NEUT;SG
institūtā	inštitut	Institūta	inštitut	N;ESS;MASC;SG	N;NOM;MASC;SG
institūtā	zavod	Institūta	zavod	N;ESS;MASC;SG	N;NOM;MASC;SG
komandieri	poveljnikov	komandiere	poveljnik	N;ACC;FEM;SG	N;GEN;MASC;PL
komandieri	poveljniki	komandiere	poveljnik	N;ACC;FEM;SG	N;NOM;MASC;PL
komandieri	poveljnik	komandiere	poveljnik	N;ACC;FEM;SG	N;NOM;MASC;SG
mārtiņš	martina	mārtiņš	martina	PROPN;NOM;MASC;SG	N;ACC;MASC;SG
mārtiņš	martin	mārtiņš	martin	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
brāļi	brate	brālis	brat	N;NOM;MASC;PL	N;ACC;MASC;PL
brāļi	bratov	brālis	brat	N;NOM;MASC;PL	N;GEN;MASC;PL
brāļi	brata	brālis	brat	N;NOM;MASC;PL	N;NOM;MASC;DU
izskatās	zgleda	izskatīties	zgledati	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	
tehnoloģiju	tehnologije	tehnoloģija	tehnologija	N;ACC;FEM;SG	N;NOM;FEM;PL
tehnoloģiju	tehnologija	tehnoloģija	tehnologija	N;ACC;FEM;SG	N;NOM;FEM;SG
vada	diske	vadīt	disk	V;FH;IND;3;POS;PRS;FIN;ACT	N;ACC;MASC;PL
lietots	uporabljen	lietot	uporabljen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
lietots	uporabljena	lietot	uporabljen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
lietots	uporabljeno	lietot	uporabljeno	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
lietots	uporabljene	lietot	uporabljen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
lietots	uporabljeni	lietot	uporabljen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
malas	robove	mala	rob	N;NOM;FEM;PL	N;ACC;MASC;PL
malas	robu	mala	rob	N;NOM;FEM;PL	N;DAT;MASC;SG
malas	rob	mala	rob	N;NOM;FEM;PL	N;NOM;MASC;SG
malas	ostrino	mala	ostrina	N;NOM;FEM;PL	N;ACC;FEM;SG
saistīts	povezano	saistīt	povezan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
saistīts	povezani	saistīt	povezan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
tumši	temna	tumši	temen	ADV	ADJ;NOM;FEM;SG
tumši	temni	tumši	temen	ADV	ADJ;NOM;MASC;PL
struktūra	strukturo	struktūra	struktura	N;NOM;FEM;SG	N;ACC;FEM;SG
centrālā	centralne	centrāla	centralen	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
jūnija	junij	jūnijs	junij	N;GEN;MASC;SG	N;NOM;MASC;SG
jūnija	june	jūnijs	juna	N;GEN;MASC;SG	
ziemeļrietumu	severozahodni	ziemeļrietums	severozahoden	N;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
ziemeļrietumu	northwestern	ziemeļrietums	northwwestern	N;ACC;MASC;SG	N;NOM;MASC;SG
ziemeļrietumu	severozahodni	ziemeļrietums	severozahoden	N;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
ziemeļrietumu	sz	ziemeļrietums	sz	N;ACC;MASC;SG	N;NOM;MASC;SG
ziemeļrietumu	severozahodno	ziemeļrietums	severozahodno	N;ACC;MASC;SG	ADJ;NOM;NEUT;SG
zinātnieki	znanstvenike	zinātnieks	znanstvenik	N;NOM;MASC;PL	N;ACC;MASC;PL
