lokalizacji	местоположения	lokalizacja	местоположение	N;GEN;FEM;SG	N;INDF;NEUT;PL
zabił	убита	zabić	убия	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zabił	убити	zabić	убия	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
zabił	убит	zabić	убия	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
korporacji	корпорациите	korporacja	корпорация	N;GEN;FEM;SG	N;DEF;FEM;PL
korporacji	корпорации	korporacja	корпорация	N;GEN;FEM;SG	N;INDF;FEM;PL
twierdza	крепостта	twierdzać	крепост		N;DEF;FEM;SG
twierdza	крепост	twierdzać	крепост		N;INDF;FEM;SG
obserwacje	наблюдение	obserwacja	наблюдение	N;NOM;FEM;PL	N;INDF;NEUT;SG
satelity	спътник	satelita	спътник	N;ACC;FEM;PL	N;INDF;MASC;SG
satelity	сателитно	satelita	сателитен	N;ACC;FEM;PL	ADV
satelity	сателит	satelita	сателит	N;ACC;FEM;PL	N;INDF;MASC;SG
satelity	сателитен	satelita	сателитен	N;ACC;FEM;PL	ADJ;INDF;MASC;SG
satelity	сателитна	satelita	сателитен	N;ACC;FEM;PL	ADJ;INDF;FEM;SG
szyi	врат	szyi	врат		N;INDF;MASC;SG
szyi	врата	szyi	врата		N;INDF;FEM;SG
szyi	шия	szyi	шия		N;INDF;FEM;SG
szyi	нек	szyi	нек		PROPN;INDF;FEM;SG
młodzi	млада	młody	млад	N;NOM;MASC;PL	ADJ;INDF;FEM;SG
młodzi	младо	młody	млад	N;NOM;MASC;PL	N;INDF;NEUT;SG
młodzi	млади	młody	млад	N;NOM;MASC;PL	ADJ;INDF;PL
młodzi	йънг	młody	йънг	N;NOM;MASC;PL	PROPN;INDF;MASC;SG
młodzi	млад	młody	млад	N;NOM;MASC;PL	ADJ;INDF;MASC;SG
akademickich	академик	akademicki	академик	ADJ;GEN;MASC;PL	N;INDF;MASC;SG
akademickich	академична	akademicki	академичен	ADJ;GEN;MASC;PL	ADJ;INDF;FEM;SG
stalina	сталин	stalina	сталин		N;INDF;MASC;SG
borys	борис	borys	борис	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
uznana	призната	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uznana	признати	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
uznana	разпознат	uznać	разпозна-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uznana	признат	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uznana	признати	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
uznana	призната	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uznana	разпознат	uznać	разпозна-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uznana	признато	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
uznana	признат	uznać	призная-(се)	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
machine	машинка	machina	машинка		N;INDF;FEM;SG
machine	машина	machina	машина		N;INDF;FEM;SG
sławy	знаменитости	sława	знаменитост		N;INDF;FEM;PL
sławy	знаменитостите	sława	знаменитост		N;DEF;FEM;PL
sławy	славата	sława	слава		N;DEF;FEM;SG
sławy	слава	sława	слава		N;INDF;FEM;SG
wykonawcy	изпълнител	wykonawca	изпълнител	N;NOM;MASC;PL	N;INDF;MASC;SG
wykonawcy	предприемач	wykonawca	предприемач	N;NOM;MASC;PL	N;INDF;MASC;SG
zaliczony	преброени	zaliczyć	преброя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
beta	бета	bet	бет		N;INDF;FEM;SG
rodríguez	родригес	rodríguez	родригес	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
rodríguez	родригез	rodríguez	родригез	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
rodríguez	родригес	rodríguez	родригес	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zysk	печалби	zysk	печалба	N;NOM;MASC;SG	N;INDF;FEM;PL
zysk	печалби	zysk	печалба	N;NOM;MASC;SG	N;INDF;FEM;PL
ring	ринг	ring	ринг		N;INDF;MASC;SG
ring	пръстен	ring	пръстен		ADJ;INDF;MASC;SG
iata	iata	iato	iata		PROPN;INDF;MASC;SG
ludzkie	човешко	ludzki	човешки	ADJ;NOM;NEUT;SG	ADV
ludzkie	човек	ludzki	човек	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
zagrożony	застрашена	zagrożyć	застраша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zagrożony	застрашени	zagrożyć	застраша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
zagrożony	заплашен	zagrożyć	заплашен	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zagrożony	заплаши	zagrożyć	заплаша	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IMP;SG;2;PST;FIN
nicholas	николас	nicholas	николас	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
nicholas	никълъс	nicholas	никълъс	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
mateusza	матю	mateusz	матю	N;ACC;MASC;SG	PROPN;INDF;MASC;SG
punk	пънк	punk	пънк		N;INDF;MASC;SG
brać	вземете	brać	взема	V;IPFV;NFIN;ACT	V;PFV;IMP;PL;2;FIN
brać	вземи	brać	взема	V;IPFV;NFIN;ACT	V;PFV;IMP;SG;2;FIN
spencer	спенсър	spencer	спенсър	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
przedstawiciela	представителна	przedstawiciel	представителен	N;ACC;MASC;SG	ADJ;INDF;FEM;SG
przedstawiciela	представителен	przedstawiciel	представителен	N;ACC;MASC;SG	ADJ;INDF;MASC;SG
przedstawiciela	представително	przedstawiciel	представително	N;ACC;MASC;SG	ADV
przedstawiciela	представителни	przedstawiciel	представителен	N;ACC;MASC;SG	ADJ;INDF;PL
piwo	бирите	piwo	бира	N;NOM;NEUT;SG	N;DEF;FEM;PL
piwo	бири	piwo	бира	N;NOM;NEUT;SG	N;INDF;FEM;PL
kultur	култури	kultur	култура		N;INDF;FEM;PL
kultur	културите	kultur	култура		N;DEF;FEM;PL
willi	вили	willa	виля-(се)	N;GEN;FEM;SG	N;INDF;FEM;PL
willi	вили	willa	виля-(се)	N;GEN;FEM;SG	N;INDF;FEM;PL
komenda	командване	komenda	командване		N;INDF;NEUT;SG
komenda	команда	komenda	команда		N;INDF;FEM;SG
komenda	командата	komenda	команда		N;DEF;MASC;SG
atlantic	атлантик	atlantic	атлантик		N;INDF;MASC;SG
atlantic	атлантическа	atlantic	атлантически		ADJ;INDF;FEM;SG
pokonać	ритъм	pokonać	ритъм	V;PFV;NFIN;ACT	N;INDF;MASC;SG
pokonać	победи	pokonać	победа	V;PFV;NFIN;ACT	N;INDF;FEM;PL
pokonać	преодоляване	pokonać	преодоляване	V;PFV;NFIN;ACT	N;INDF;NEUT;SG
pokonać	поражение	pokonać	поражение	V;PFV;NFIN;ACT	N;INDF;NEUT;SG
pokonać	победен	pokonać	победя	V;PFV;NFIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
age	възраст	age	възраст		N;INDF;FEM;SG
panorama	панорама	panoram	панорама	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
gitarze	китарата	gitarz	китар	V;IPFV;IND;SG;PRS;FIN;ACT	N;DEF;FEM;SG
gitarze	китара	gitarz	китар	V;IPFV;IND;SG;PRS;FIN;ACT	N;INDF;FEM;SG
karne	наказателни	karny	наказателен	N;NOM;MASC;SG	ADJ;INDF;PL
karne	наказателен	karny	наказателен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
karne	наказателен	karny	наказателен	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
dole	дъното	dół	дъно	V;PFV;IND;SG;PRS;FIN;ACT	N;DEF;NEUT;SG
dole	отдолу	dół	отдолу	V;PFV;IND;SG;PRS;FIN;ACT	ADV
dole	дъно	dół	дъно	V;PFV;IND;SG;PRS;FIN;ACT	N;INDF;NEUT;SG
marsa	марс	marsa	марс		PROPN;INDF;MASC;SG
znajomości	връзки	znajomość	връзка	N;GEN;FEM;SG	N;INDF;FEM;PL
nigerii	нигерийски	nigeria	нигерийски		PROPN;INDF;MASC;SG
nigerii	нигерия	nigeria	нигерия		PROPN;INDF;FEM;SG
potencjał	потенциална	potencjać	потенциален	N;ACC;MASC;SG	ADJ;INDF;FEM;SG
włoskie	италианец	włoski	италианец	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
włoskie	италианско	włoski	италиански	ADJ;NOM;NEUT;SG	ADV
xbox	xbox	xbox	xbox		N;INDF;NEUT;SG
wirginia	вирджиния	wirginia	вирджиния		PROPN;INDF;FEM;SG
dick	кур	dick	кур	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
dick	дик	dick	дик	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
dick	хуй	dick	хуй	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
konie	конче	koń	конче	N;NOM;MASC;PL	N;INDF;NEUT;SG
konie	кон	koń	кон	N;NOM;MASC;PL	N;INDF;MASC;SG
kiss	кис	kiss	кис		N;INDF;MASC;SG
kiss	целувка	kiss	целувка		N;INDF;FEM;SG
rezerw	резерв	rezerw	резерв		N;INDF;MASC;SG
rezerw	резерви	rezerw	резервя		N;INDF;FEM;PL
imigrantów	имигрант	imigrant	имигрант	N;GEN;MASC;PL	N;INDF;MASC;SG
imigrantów	емигрант	imigrant	емигрант	N;GEN;MASC;PL	N;INDF;MASC;SG
angelo	анджело	angelo	анджело		N;INDF;MASC;SG
leszno	лешно	leszno	лешно		ADV
petra	петра	petr	петра	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
bułgaria	българия	bułgarium	българия	N;NOM;FEM;SG	PROPN;INDF;FEM;SG
straße	straße	stras	straße	INTJ	N;INDF;MASC;SG
bogate	рич	bogaty	рич	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
bogate	богато	bogaty	богат	ADJ;NOM;NEUT;SG	ADV
bogate	богати	bogaty	богат	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
odziedziczył	наследствено	odziedziczyć	наследствен	V;PFV;MASC;IND;SG;PST;FIN;ACT	ADV
delegacji	делегациите	delegacja	делегация	N;GEN;FEM;SG	N;DEF;FEM;PL
delegacji	делегации	delegacja	делегация	N;GEN;FEM;SG	N;INDF;FEM;PL
ems	емс	ems	емс		PROPN;INDF;MASC;SG
chelsea	челси	chelsie	челса		N;INDF;MASC;SG
wątek	нишки	wątek	нишка	N;ACC;MASC;SG	ADJ;INDF;PL
wątek	конци	wątek	конеца	N;ACC;MASC;SG	N;INDF;MASC;PL
związani	обвързан	związać	обвържа	ADJ;NOM;MASC;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
związani	обвързана	związać	обвържа-(се)	ADJ;NOM;MASC;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
nigdzie	никъде	nigdzie	никъде		ADV
ograniczone	ограничено	ograniczyć	огранича	ADJ;NOM;NEUT;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ograniczone	ограничена	ograniczyć	огранича-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ograniczone	limited	ograniczyć	limited	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
ograniczone	ограничен	ograniczyć	огранича-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ograniczone	ограничени	ograniczyć	огранича-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
ograniczone	ограничено	ograniczyć	огранича	ADJ;NOM;NEUT;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ograniczone	ограничена	ograniczyć	огранича-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ograniczone	ограничен	ograniczyć	огранича-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ograniczone	ограничени	ograniczyć	огранича-(се)	ADJ;NOM;NEUT;SG	V;PFV;INDF;PL;V.PTCP;PASS
kowalczyk	ковалчик	kowalczyk	ковалчик	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
sosnowiec	сосновец	sosnowiec	сосновец		N;INDF;MASC;PL
alfons	алфонсо	alfons	алфонсо	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
alfons	алфонс	alfons	алфонс	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
alfons	сводник	alfons	сводник	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
właściwy	компетентни	właściwy	компетентен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
amerykanin	американска	amerykanin	американски	N;NOM;MASC;SG	ADJ;INDF;FEM;SG
amerykanin	американско	amerykanin	американски	N;NOM;MASC;SG	ADV
amerykanin	американски	amerykanin	американски	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
bordeaux	бордо	bordeaux	бордо	N;NOM;MASC;SG	ADV
teorie	теорията	teoria	теория	N;NOM;FEM;PL	N;DEF;FEM;SG
teorie	теория	teoria	теория	N;NOM;FEM;PL	N;INDF;FEM;SG
centralne	централно	centralny	централен	ADJ;NOM;NEUT;SG	ADV
centralne	централа	centralny	централа	ADJ;NOM;NEUT;SG	N;INDF;FEM;SG
centralne	централни	centralny	централен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
porsche	порше	porscha	порше		N;INDF;NEUT;SG
emilia	емилия	emilia	емилия	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
emilia	емили	emilia	емил	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
powiązane	асоциирани	powiązać	асоциирам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
powiązane	свързани	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
powiązane	свързан	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
powiązane	свързани	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
powiązane	свързан	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
powiązane	свързано	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
powiązane	свързана	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
powiązane	свързани	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
powiązane	свързани	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
powiązane	свързан	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
powiązane	свързана	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
powiązane	свързано	powiązać	свържа	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
milion	милион	milion	милион		N;INDF;MASC;SG
etiopii	етиопия	etiopia	етиопия		N;INDF;FEM;SG
etiopii	етиопски	etiopia	етиопски		ADJ;INDF;MASC;SG
projektant	дизайнерски	projektant	дизайнерски	N;NOM;MASC;SG	ADJ;INDF;MASC;SG
justyna	джъстин	justyn	джъстин	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
justyna	джъстин	justyn	джъстин	PROPN;NOM;FEM;SG	N;INDF;MASC;SG
odpowiedzialność	отговорности	odpowiedzialność	отговорност	N;NOM;FEM;SG	N;INDF;FEM;PL
police	полиция	polic	полиция		N;INDF;FEM;SG
bundesligi	бундеслига	bundesliga	бундеслига	N;ACC;MASC;PL	N;INDF;FEM;SG
liu	лиу	liel	лиу	PROPN;NOM;MASC;SG	PROPN;INDF;FEM;SG
liu	лю	liel	лю	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
odkryty	открито	odkryć	открито	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	ADV
wyjaśnienia	обяснения	wyjaśnienie	обясня-(се)	N;NOM;NEUT;SG	N;INDF;NEUT;PL
wyjaśnienia	разяснения	wyjaśnienie	разяснение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
wyjaśnienia	обяснения	wyjaśnienie	обясня-(се)	N;NOM;NEUT;SG	N;INDF;NEUT;PL
wyjaśnienia	разяснения	wyjaśnienie	разяснение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
wyjaśnienia	разяснения	wyjaśnienie	разяснение	N;NOM;NEUT;SG	N;INDF;NEUT;PL
okrążenia	обиколка	okrążyć	обиколка	N;NOM;NEUT;PL	N;INDF;FEM;SG
okrążenia	скута	okrążyć	скут	N;NOM;NEUT;PL	N;DEF;MASC;SG
hop	хоп	hop	хоп		N;INDF;MASC;SG
współrzędnych	координатите	współrzędny	координат	ADJ;GEN;MASC;PL	N;DEF;MASC;PL
współrzędnych	координати	współrzędny	координат	ADJ;GEN;MASC;PL	N;INDF;MASC;PL
avenue	авеню	avenu	авеню		PROPN;INDF;MASC;SG
gustav	густав	gustav	густав	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
mobile	мобилни	mobil	мобилен		ADJ;INDF;PL
mobile	мобилен	mobil	мобилен		ADJ;INDF;MASC;SG
mobile	мобилно	mobil	мобилно		ADV
mobile	мобилна	mobil	мобилен		ADJ;INDF;FEM;SG
filadelfii	фили	filadelfia	филя-се	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
filadelfii	филаделфия	filadelfia	филаделфия	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
filadelfii	филаделфия	filadelfia	филаделфия	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
oddziaływania	въздействия	oddziaływać	въздействие	N;IPFV;GEN;NEUT;SG;POS;V.MSDR	N;INDF;NEUT;PL
poczta	mail	poczta	mail	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
wenus	венера	wenus	венер		N;INDF;FEM;SG
graf	граф	grafa	граф		N;INDF;MASC;SG
zapraszam	заповядайте	zapraszać	заповядам	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN
cosworth	косуърт	coswory	косуърт		N;INDF;MASC;SG
funduszu	фондове	fundusz	фонд	N;GEN;MASC;SG	N;INDF;MASC;PL
felipe	фелипе	felipy	фелипе	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
zasług	заслуги	zasługa	заслуга	N;GEN;FEM;SG	N;INDF;FEM;PL
wyróżnić	осветяване	wyróżnić	осветяване	V;PFV;NFIN;ACT	N;INDF;NEUT;SG
zurychu	цюрих	zurych	цюрих	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
pasażerski	пътник	pasażerski	пътник	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
pasażerski	пътника	pasażerski	пътник	ADJ;NOM;MASC;SG	N;DEF;MASC;SG
cia	цру	cia	цру		PROPN;INDF;MASC;SG
cia	цру	cia	цру		PROPN;INDF;MASC;SG
pojedynczy	сингъл	pojedynczy	сингъл	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
sprinter	спринтьор	sprinter	спринтьор		N;INDF;MASC;SG
ból	болки	ból	болка	N;NOM;MASC;SG	N;INDF;FEM;PL
rgb	rgb	rgba	rgb		PROPN;INDF;NEUT;SG
pierwotne	първично	pierwotny	първичен	ADJ;NOM;NEUT;SG	ADV
pierwotne	първични	pierwotny	първичен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
pierwotne	първично	pierwotny	първичен	ADJ;NOM;NEUT;SG	ADV
kupił	купена	kupić	купен	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
kupił	купен	kupić	купен	V;PFV;MASC;IND;SG;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
wycofany	оттеглено	wycofać	оттегля-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
wycofany	отменено	wycofać	отменя	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
wycofany	изтеглени	wycofać	изтегля-(се)	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
justin	джъстин	justin	джъстин	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
beck	бек	beck	бек	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
true	истина	true	истина		N;INDF;FEM;SG
true	верни	true	верен		ADJ;INDF;PL
true	вярно	true	верен		ADV
ginie	джина	ginąć	джина	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;SG
sprawdzone	проверено	sprawdzić	проверя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
sprawdzone	проверен	sprawdzić	проверен	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sprawdzone	проверени	sprawdzić	проверя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
sprawdzone	проверих	sprawdzić	проверя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;1;PST;FIN;ACT
sprawdzone	потвърдено	sprawdzić	потвърдя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
sprawdzone	проверено	sprawdzić	проверя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
sprawdzone	проверен	sprawdzić	проверен	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sprawdzone	проверена	sprawdzić	проверя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
sprawdzone	проверени	sprawdzić	проверя	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
sprawdzone	изпитва	sprawdzić	изпитвам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
sprawdzone	тествани	sprawdzić	тествам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;IPFV;INDF;PL;V.PTCP;PASS
sprawdzone	изпитани	sprawdzić	изпитам	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
rzymskie	римлянин	rzymski	римлянин	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
rzymskie	роман	rzymski	роман	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
hampshire	хемпшир	hampshiry	хемпшир		N;INDF;MASC;SG
hart	харт	hart	харт		PROPN;INDF;MASC;SG
khan	кхан	khana	кхан	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
khan	хан	khana	хан	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
khan	кан	khana	кан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
podanie	мине	podanie	мина-(се)	N;PFV;NOM;NEUT;SG;POS;V.MSDR	V;PFV;IND;SG;3;PST;FIN;ACT
luca	лука	luca	лук	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
akademickie	академик	akademicki	академик	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
akademickie	академични	akademicki	академичен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
szt	бр	szt	бр		NUM;INDF;PL
przywilej	привилегии	przywilej	привилегия	N;ACC;MASC;SG	N;INDF;FEM;PL
przywilej	привилегии	przywilej	привилегия	N;ACC;MASC;SG	N;INDF;FEM;PL
sri	шри	srać	шри	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
lekki	светло	lekki	светло	ADJ;NOM;MASC;SG	ADV
lekki	светлина	lekki	светлина	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
lekki	светлината	lekki	светлина	ADJ;NOM;MASC;SG	N;DEF;FEM;SG
lekki	леки	lekki	лек	ADJ;NOM;MASC;SG	ADJ;INDF;PL
roll	рол	roll	рол		PROPN;INDF;MASC;SG
roll	ролка	roll	ролка		N;INDF;FEM;SG
uchodźców	бежанец	uchodźca	бежанец	N;ACC;MASC;PL	N;INDF;MASC;SG
owoc	плодове	owoc	плод	N;NOM;MASC;SG	N;INDF;MASC;PL
empire	империята	empir	империя		N;DEF;FEM;SG
empire	емпайър	empir	емпайър		N;INDF;MASC;SG
empire	империя	empir	империя		N;INDF;FEM;SG
ski	ски	skiot	ска		N;INDF;NEUT;PL
regularne	редовно	regularny	редовно	ADJ;NOM;NEUT;SG	ADV
regularne	редовни	regularny	редовен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
break	прекъсване	break	прекъсване		N;INDF;NEUT;SG
break	почивка	break	почивка		N;INDF;FEM;SG
zasoby	ресурс	zasóba	ресурс	N;NOM;MASC;PL	N;INDF;MASC;SG
zasoby	наличност	zasóba	наличност	N;NOM;MASC;PL	N;INDF;FEM;SG
ran	раната	rana	рана		N;DEF;FEM;SG
ran	рани	rana	рана		N;INDF;FEM;PL
ran	рана	rana	рана		N;INDF;FEM;SG
ran	рани	rana	рана		N;INDF;FEM;PL
ran	раните	rana	рана		N;DEF;FEM;PL
objętości	обеми	objętość	обем	N;GEN;FEM;SG	N;INDF;MASC;PL
oskar	оскар	oskar	оскар	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
oskar	оскар	oskar	оскар	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
modlitwa	молитви	modlitwa	молитвя	N;NOM;FEM;SG	N;INDF;FEM;PL
modlitwa	молитвите	modlitwa	молитв	N;NOM;FEM;SG	N;DEF;FEM;PL
