enkel	простые	enkel	простой	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
kriminelle	преступник	kriminel	преступник	ADJ;PL	N;ANIM;NOM;MASC;SG
kriminelle	уголовное	kriminel	уголовный	ADJ;PL	ADJ;NOM;NEUT;SG
kriminelle	уголовного	kriminel	уголовный	ADJ;PL	ADJ;GEN;MASC;SG
kriminelle	преступники	kriminel	преступник	ADJ;PL	N;ANIM;NOM;MASC;PL
kriminelle	преступников	kriminel	преступник	ADJ;PL	N;ANIM;GEN;MASC;PL
leftarm	leftarm	leftarm	leftarm		PROPN
regelmæssige	регулярный	regelmæssig	регулярный	ADJ;PL	ADJ;NOM;MASC;SG
regelmæssige	регулярная	regelmæssig	регулярный	ADJ;PL	ADJ;NOM;FEM;SG
regelmæssige	регулярное	regelmæssig	регулярный	ADJ;PL	ADJ;NOM;NEUT;SG
regelmæssige	регулярного	regelmæssig	регулярный	ADJ;PL	ADJ;GEN;MASC;SG
halve	половинки	halv	половинка	ADJ;PL	N;INAN;NOM;FEM;PL
mitsubishi	mitsubishi	mitsubishi	mitsubishi		PROPN
skarpe	острая	skarp	острый	ADJ;PL	ADJ;NOM;FEM;SG
skarpe	шарп	skarp	шарп	ADJ;PL	N;INAN;NOM;MASC;SG
skarpe	острый	skarp	острый	ADJ;PL	ADJ;NOM;MASC;SG
kriminalitet	преступления	kriminalitet	преступление	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
kriminalitet	преступления	kriminalitet	преступление	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
batteri	батареи	batteri	батарея	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
batteri	батарей	batteri	батарея	N;INDF;NEUT;SG	N;INAN;GEN;FEM;PL
batteri	батареи	batteri	батарея	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
batteri	батарейки	batteri	батарейка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
omkostninger	цена	omkostning	цена	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
omkostninger	стоимость	omkostning	стоимость	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
motors	двигатели	motors	двигатель		N;INAN;NOM;MASC;PL
motors	motors	motors	motors		PROPN
passede	подходит	passe	подходить	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
cia	цру	cia	цру		N;INAN;NOM;NEUT;SG
cia	цру	cia	цру		N;INAN;NOM;NEUT;SG
forberede	подготовка	forbere	подготовка	V;NFIN;ACT	N;INAN;NOM;FEM;SG
lissabon	лиссабон	lissabon	лиссабон		N;INAN;NOM;MASC;SG
grace	благодать	grace	благодать		N;INAN;NOM;FEM;SG
grace	грейс	grace	грейс		N;ANIM;NOM;FEM;SG
grace	грэйс	grace	грэйс		N;ANIM;NOM;FEM;SG
skandinavisk	скандинавских	skandinavisk	скандинавский	ADJ;INDF;SG	ADJ;GEN;PL
tjenester	обслуживание	tjenester	обслуживание	N;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
tusind	тысячи	tusind	тысяча	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
tusind	тысяч	tusind	тысяча	N;INDF;NEUT;SG	N;INAN;GEN;FEM;PL
håbet	надеюсь	håb	надеяться	N;DEF;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;MID
håbet	надеемся	håb	надеяться	N;DEF;NEUT;SG	V;IPFV;IND;PL;1;PRS;FIN;MID
håbet	надеялся	håb	надеяться	N;DEF;NEUT;SG	V;IPFV;MASC;IND;SG;PST;FIN;MID
håbet	надеялись	håb	надеяться	N;DEF;NEUT;SG	V;IPFV;IND;PL;PST;FIN;MID
reform	реформы	reform	реформа	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
videnskabeligt	научный	videnskabelig	научный	ADV	ADJ;NOM;MASC;SG
videnskabeligt	научная	videnskabelig	научный	ADV	ADJ;NOM;FEM;SG
videnskabeligt	научное	videnskabelig	научный	ADV	ADJ;NOM;NEUT;SG
psykisk	психологические	psykisk	психологический	ADJ;INDF;SG	ADJ;NOM;PL
psykisk	экстрасенс	psykisk	экстрасенс	ADJ;INDF;SG	N;ANIM;NOM;MASC;SG
psykisk	психиатрических	psykisk	психиатрический	ADJ;INDF;SG	ADJ;GEN;PL
psykisk	мысленно	psykisk	мысленно	ADJ;INDF;SG	ADV
psykisk	психически	psykisk	психически	ADJ;INDF;SG	ADV
psykisk	морально	psykisk	морально	ADJ;INDF;SG	ADV
psykisk	умственно	psykisk	умственно	ADJ;INDF;SG	ADV
clara	клара	clara	клар		N;ANIM;NOM;FEM;SG
hoteller	hotels	hotel	hotels	N;INDF;NEUT;PL	PROPN
beskadiget	повреждены	beskadige	повредить	V;INDF;SG;PST;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
ward	уорд	ward	уорда		N;ANIM;NOM;MASC;SG
modtagelse	получая	modtagelse	получать	N;INDF;MASC+FEM;SG	V;IPFV;PRS;V.CVB;ACT
support	поддерживаю	support	поддерживать	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
sandhed	правда	sandhed	правда	N;INDF;MASC+FEM;SG	ADV
hævet	подняли	hæve	поднять	V;INDF;SG;PST;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
hævet	поднятые	hæve	поднять	V;INDF;SG;PST;V.PTCP	V;PFV;NOM;PL;PST;V.PTCP;PASS
manuelt	вручную	manuel	вручную	ADJ;INDF;SG	ADV
manuelt	руководство	manuel	руководство	ADJ;INDF;SG	N;INAN;NOM;NEUT;SG
manuelt	вручную	manuel	вручную	ADJ;INDF;SG	ADV
inn	инн	inn	инн		N;INAN;NOM;MASC;SG
inn	inn	inn	inn		PROPN
præstation	достижения	præstation	достижение	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
magic	волшебство	magic	волшебство		N;INAN;NOM;NEUT;SG
magic	волшебная	magic	волшебный		ADJ;NOM;FEM;SG
magic	magic	magic	magic		PROPN
magic	магия	magic	магия		N;INAN;NOM;FEM;SG
racer	гонщик	race	гонщик	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
racer	порождает	race	порождать	N;INDF;MASC+FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
iau	мас	iau	мас		
specialiseret	специализированных	specialisere	специализировать	V;INDF;SG;PST;V.PTCP	V;PFV;GEN;PL;PST;V.PTCP;PASS
specialiseret	специализированных	specialisere	специализировать	V;INDF;SG;PST;V.PTCP	V;PFV;GEN;PL;PST;V.PTCP;PASS
specialiseret	специализированные	specialisere	специализировать	V;INDF;SG;PST;V.PTCP	V;PFV;NOM;PL;PST;V.PTCP;PASS
voice	голос	voice	голос		N;INAN;NOM;MASC;SG
øre	уши	øre	ухо	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
walt	уолт	walt	уолт		N;ANIM;NOM;MASC;SG
hudson	хадсон	hudson	хадсон		N;ANIM;NOM;MASC;SG
rapporterede	сообщалось	rapportere	сообщать	V;IND;PST;FIN;ACT	V;IPFV;NEUT;IND;SG;PST;FIN;PASS
rapporterede	сообщено	rapportere	сообщить	V;IND;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
rapporterede	сообщается	rapportere	сообщать	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
elben	эльба	elben	эльб	PROPN	N;INAN;NOM;MASC;SG
triple	тройной	triple	тройной		ADJ;NOM;MASC;SG
klassificeret	классифицированы	klassificere	классифицировать	V;INDF;SG;PST;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
taber	неудачник	tabe	неудачник	V;IND;PRS;FIN;ACT	N;ANIM;NOM;MASC;SG
armenien	армении	armenie	армение	N;DEF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
armenien	армении	armenie	армение	N;DEF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
tropiske	тропический	tropisk	тропический	ADJ;PL	ADJ;NOM;MASC;SG
hand	рука	hand	рука		N;INAN;NOM;FEM;SG
hand	руку	hand	рука		N;INAN;ACC;FEM;SG
indstilling	конфигурации	indstilling	конфигурация	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
busk	бусский	busk	бусский	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
rapporter	пожаловаться	rapport	жаловаться	N;INDF;MASC+FEM;PL	V;PFV;NFIN;MID
rapporter	отчёт	rapport	отчёт	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
rapporter	доклад	rapport	доклад	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
rapporter	отчет	rapport	отчет	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
kompleks	комплекс	kompleks	комплекс	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
kompleks	сложные	kompleks	сложный	ADJ;INDF;SG	ADJ;NOM;PL
kompleks	сложных	kompleks	сложный	ADJ;INDF;SG	ADJ;GEN;PL
fænomener	феномен	fænomene	феномен	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
redigere	правка	redig	правка	V;NFIN;ACT	N;INAN;NOM;FEM;SG
redigere	редактирование	redig	редактирование	V;NFIN;ACT	N;INAN;NOM;NEUT;SG
glenn	глен	glenn	глен		N;ANIM;NOM;MASC;SG
glenn	гленн	glenn	гленный		N;ANIM;NOM;MASC;SG
eksport	экспортировать	eksport	экспортировать	N;INDF;MASC+FEM;SG	V;IPFV;NFIN;ACT
elite	элиты	elite	элита	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
spurgte	спрашивает	spørge	спрашивать	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kørsel	вождения	kørsel	вождение	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
bloch	блох	bloch	блох	N;INDF;NEUT;SG	N;ANIM;GEN;MASC;PL
legendariske	легендарный	legendarisk	легендарный	ADJ;PL	ADJ;NOM;MASC;SG
memorial	мемориал	memorial	мемориал		N;INAN;NOM;MASC;SG
frugter	фрукт	frugte	фрукт	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
frugter	плод	frugte	плод	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
tunesien	тунисе	tunesien	тунис	PROPN	N;INAN;DAT;MASC;SG
tunesien	тунис	tunesien	тунис	PROPN	N;INAN;NOM;MASC;SG
tunesien	туниса	tunesien	тунис	PROPN	N;INAN;GEN;MASC;SG
tunesien	туниса	tunesien	тунис	PROPN	N;INAN;GEN;MASC;SG
hood	гуд	hood	гуд	N;INDF;MASC+FEM;SG	
anklager	прокурор	anklage	прокурор	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
anklager	обвинитель	anklage	обвинитель	N;INDF;MASC+FEM;PL	N;ANIM;NOM;MASC;SG
peters	питерс	peters	питерс		N;ANIM;NOM;MASC;SG
venezuela	венесуэлы	venezuela	венесуэла		N;INAN;NOM;FEM;PL
venezuela	венесуэлы	venezuela	венесуэла		N;INAN;NOM;FEM;PL
venezuela	венесуэла	venezuela	венесуэла		N;INAN;NOM;FEM;SG
alexandria	александрии	alexandria	александрия		N;INAN;NOM;FEM;PL
ride	езда	ride	езда	V;NFIN;ACT	N;INAN;NOM;FEM;SG
ride	поездка	ride	поездка	V;NFIN;ACT	N;INAN;NOM;FEM;SG
ridge	хребет	ridge	хребет		N;INAN;NOM;MASC;SG
ridge	ридж	ridge	ридж		N;INAN;NOM;MASC;SG
classic	классические	classic	классический		ADJ;NOM;PL
classic	классическая	classic	классический		ADJ;NOM;FEM;SG
classic	классический	classic	классический		ADJ;NOM;MASC;SG
classic	классика	classic	классик		N;INAN;NOM;FEM;SG
classic	classic	classic	classic		PROPN
ritualer	ритуал	ritual	ритуал	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
sekund	второй	sekund	второй	N;INDF;NEUT;SG	ADJ;NOM;MASC;SG
sekund	вторая	sekund	второй	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
sekund	второе	sekund	второй	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
mændene	men	mand	men	N;DEF;MASC+FEM;PL	PROPN
ambassade	посольства	ambassade	посольство	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
newcastle	ньюкасл	newcastel	ньюкасл		N;INAN;NOM;MASC;SG
fyldte	чучела	fylde	чучело	V;PST;V.PTCP	N;INAN;NOM;NEUT;PL
fyldte	чучело	fylde	чучело	V;PST;V.PTCP	N;INAN;NOM;NEUT;SG
runder	обход	runde	обход	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
ontario	онтарио	ontario	онтарио		N;INAN;NOM;MASC;SG
åndelige	духовный	åndelig	духовный	ADJ;PL	ADJ;NOM;MASC;SG
åndelige	духовное	åndelig	духовный	ADJ;PL	ADJ;NOM;NEUT;SG
åndelige	духовного	åndelig	духовный	ADJ;PL	ADJ;GEN;MASC;SG
panzer	panzer	panze	panzer	N;INDF;MASC+FEM;PL	PROPN
gottorp	готторпский	gottorp	готторпский	PROPN	ADJ;NOM;MASC;SG
særskilt	отдельно	særskilt	отдельно	ADJ;INDF;SG	ADV
særskilt	раздельно	særskilt	раздельно	ADJ;INDF;SG	ADV
særskilt	отделить	særskilt	отделить	ADJ;INDF;SG	V;PFV;NFIN;ACT
højdepunkt	выделить	højdepunkt	выделить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
højdepunkt	подчеркнуть	højdepunkt	подчеркнуть	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
gemeinden	gemeinden	gemeinde	gemeinden	N;INDF;NEUT;SG	PROPN
kommunistisk	коммунистическая	kommunistisk	коммунистический	ADV	ADJ;NOM;FEM;SG
sko	обувь	sko	обувь	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
sko	обуви	sko	обувь	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
sko	обуви	sko	обувь	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
sko	обувь	sko	обувь	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
sko	ботинок	sko	ботинок	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
bakken	хилл	bakke	хилл	N;DEF;MASC+FEM;SG	
bakken	hill	bakke	hill	N;DEF;MASC+FEM;SG	PROPN
gengivet	воспроизводится	gengive	воспроизводить	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
gengivet	воспроизводятся	gengive	воспроизводить	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
opererer	операционная	operere	операционный	V;IND;PRS;FIN;ACT	ADJ;NOM;FEM;SG
mælk	молочный	mælk	молочный	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
track	трек	track	трек		N;INAN;NOM;MASC;SG
track	дорожка	track	дорожка		N;INAN;NOM;FEM;SG
track	трека	track	трек		N;INAN;NOM;MASC;PL
intelligens	интеллект	intellig	интеллект	N;GEN;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
intelligens	разведка	intellig	разведка	N;GEN;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
intelligens	разведки	intellig	разведка	N;GEN;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
eastwood	иствуд	eastwood	иствуд		N;ANIM;NOM;MASC;SG
virus	вирусы	virus	вирус	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
virus	вирусов	virus	вирус	N;INDF;MASC+FEM;SG	N;INAN;GEN;MASC;PL
virus	вирусы	virus	вирус	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
marcel	марсель	marcel	марсель		N;INAN;NOM;MASC;SG
leonard	леонард	leonard	леонард		N;ANIM;NOM;MASC;SG
birger	биргер	birger	биргер	N;INDF;MASC+FEM;PL	
seattle	сиэтле	seattle	сиэтла		N;INAN;NOM;MASC;SG
seattle	сиэтл	seattle	сиэть		N;INAN;NOM;MASC;SG
mozart	моцарта	mozart	моцарт		N;ANIM;ACC;MASC;SG
mozart	моцарт	mozart	моцарт		N;ANIM;NOM;MASC;SG
adm	adm	adm	adm	N;INDF;MASC+FEM;SG	PROPN
korstog	crusade	korstog	crusade	N;INDF;NEUT;SG	PROPN
evil	злой	evil	злой		ADJ;NOM;MASC;SG
evil	зла	evil	зло		N;INAN;GEN;NEUT;SG
evil	злая	evil	злой		ADJ;NOM;FEM;SG
evil	зло	evil	зло		N;INAN;NOM;NEUT;SG
dylan	дилана	dylan	дилан		N;ANIM;ACC;MASC;SG
dylan	дилан	dylan	дилан		N;ANIM;NOM;MASC;SG
statsborger	гражданин	statsborger	гражданин	ADJ;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
statsborger	гражданина	statsborger	гражданин	ADJ;INDF;MASC+FEM;SG	N;ANIM;ACC;MASC;SG
definerer	определение	definere	определение	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
brasilianske	бразильский	brasiliansk	бразильский	ADJ;PL	ADJ;NOM;MASC;SG
brasilianske	бразилии	brasiliansk	бразилия	ADJ;PL	N;INAN;NOM;FEM;PL
vestindien	карибского	vestindie	карибский	N;DEF;MASC+FEM;SG	ADJ;GEN;MASC;SG
zulu	зулу	zulu	зул		N;INAN;NOM;MASC;SG
beat	бит	beat	бит	N;INDF;NEUT;SG	
beat	победить	beat	победить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
gradvis	постепенного	gradvis	постепенный	ADV	ADJ;GEN;MASC;SG
gradvis	постепенное	gradvis	постепенный	ADV	ADJ;NOM;NEUT;SG
gradvis	постепенный	gradvis	постепенный	ADV	ADJ;NOM;MASC;SG
gradvis	прогрессивное	gradvis	прогрессивный	ADV	ADJ;NOM;NEUT;SG
gradvis	прогрессивного	gradvis	прогрессивный	ADV	ADJ;GEN;MASC;SG
winter	зимняя	winter	зимний		ADJ;NOM;FEM;SG
winter	зимний	winter	зимний		ADJ;NOM;MASC;SG
winter	зима	winter	зима		N;INAN;NOM;FEM;SG
winter	винтер	winter	винтер		N;ANIM;NOM;MASC;SG
winter	зимние	winter	зимний		ADJ;NOM;PL
gert	герт	gern	герт		N;ANIM;NOM;MASC;SG
peace	мира	peace	мир		N;INAN;GEN;MASC;SG
peace	мир	peace	мир		N;INAN;NOM;MASC;SG
ralph	ральф	ralph	ральф		N;ANIM;NOM;MASC;SG
percussion	ударных	percussion	ударный	N;INDF;MASC+FEM;SG	ADJ;GEN;PL
matcher	матчи	matcher	матч	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
matcher	совпадения	matcher	совпадение	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;PL
matcher	спички	matcher	спичка	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;PL
matcher	сопоставления	matcher	сопоставление	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;PL
matcher	сопоставление	matcher	сопоставление	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
matcher	подбор	matcher	подбор	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
matcher	матч	matcher	матч	V;IND;PRS;FIN;ACT	N;INAN;NOM;MASC;SG
matcher	совпадение	matcher	совпадение	V;IND;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
vedrører	озабоченности	vedrøre	озабоченность	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
tilbyde	предложение	tilbyde	предложение	V;NFIN;ACT	N;INAN;NOM;NEUT;SG
hope	надеюсь	hope	надеяться		V;IPFV;IND;SG;1;PRS;FIN;MID
hope	хоуп	hope	хоупоть		N;ANIM;NOM;MASC;SG
hope	надежда	hope	надежда		N;INAN;NOM;FEM;SG
hope	надеемся	hope	надеяться		V;IPFV;IND;PL;1;PRS;FIN;MID
regelmæssigt	регулярный	regelmæssigt	регулярный	ADV	ADJ;NOM;MASC;SG
regelmæssigt	регулярная	regelmæssigt	регулярный	ADV	ADJ;NOM;FEM;SG
regelmæssigt	регулярные	regelmæssigt	регулярный	ADV	ADJ;NOM;PL
regelmæssigt	регулярное	regelmæssigt	регулярный	ADV	ADJ;NOM;NEUT;SG
regelmæssigt	регулярного	regelmæssigt	регулярный	ADV	ADJ;GEN;MASC;SG
rigdom	богатства	rigdom	богатство	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
nævne	упоминание	nævne	упоминание	V;NFIN;ACT	N;INAN;NOM;NEUT;SG
renæssance	возрождения	renæssance	возрождение	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
finansieret	финансируемых	finansiere	финансировать	V;INDF;SG;PST;V.PTCP	V;IPFV;GEN;PL;PRS;V.PTCP;PASS
finansieret	финансируется	finansiere	финансировать	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
finansieret	финансируемых	finansiere	финансировать	V;INDF;SG;PST;V.PTCP	V;IPFV;GEN;PL;PRS;V.PTCP;PASS
finansieret	финансируется	finansiere	финансировать	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
finansieret	финансируемые	finansiere	финансировать	V;INDF;SG;PST;V.PTCP	V;IPFV;NOM;PL;PRS;V.PTCP;PASS
personale	персонал	personal	персонал	ADJ;PL	N;INAN;NOM;MASC;SG
personale	персонал	personal	персонал	ADJ;PL	N;INAN;NOM;MASC;SG
personale	сотрудники	personal	сотрудник	ADJ;PL	N;ANIM;NOM;MASC;PL
kaster	подача	kaste	подача	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
halvkugle	полушария	halvkugle	полушарие	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
happy	счастливый	happy	счастливый		ADJ;NOM;MASC;SG
happy	счастливая	happy	счастливый		ADJ;NOM;FEM;SG
happy	счастливые	happy	счастливый		ADJ;NOM;PL
happy	счастлива	happy	счастливый		ADJ;FEM;SG
happy	счастлив	happy	счастливый		ADJ;MASC;SG
ansøgning	приложения	ansøgning	приложение	N;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;PL
ansøgning	заявки	ansøgning	заявка	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
command	команда	command	команда		N;INAN;NOM;FEM;SG
command	командования	command	командование		N;INAN;NOM;NEUT;PL
command	командование	command	командование		N;INAN;NOM;NEUT;SG
joakim	скрудж	joakim	скрудж		N;ANIM;NOM;MASC;SG
hemmelig	тайна	hemmelig	тайна	ADJ;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
hemmelig	секрет	hemmelig	секрет	ADJ;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;SG
følges	последовало	følges	следовать	V;NFIN;PASS	V;PFV;NEUT;IND;SG;PST;FIN;ACT
bue	арк	bue	арк	N;INDF;MASC+FEM;SG	
bue	arc	bue	arc	N;INDF;MASC+FEM;SG	PROPN
bue	дуги	bue	дуга	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
bue	arch	bue	arch	N;INDF;MASC+FEM;SG	PROPN
udtalelser	мнение	udtalelse	мнение	N;INDF;MASC+FEM;PL	N;INAN;NOM;NEUT;SG
simpsons	симпсонов	simpsons	симпсон	N;GEN;INDF;MASC+FEM;SG	N;ANIM;GEN;MASC;PL
simpsons	симпсон	simpsons	симпсон	N;GEN;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;SG
weekend	выходные	weekend	выходной	N;INDF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
wta	wta	wta	вожицруть	N;INDF;MASC+FEM;SG	PROPN
bryggeri	брюэр	bryggeri	брюэр	N;INDF;NEUT;SG	
madison	мэдисон	madison	мэдисон		N;ANIM;NOM;MASC;SG
sørger	трауре	sørge	траур	V;IND;PRS;FIN;ACT	N;INAN;ESS;MASC;SG
sørger	скорбь	sørge	скорбь	V;IND;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
blom	блом	blom	блом	N;INDF;MASC+FEM;SG	
brugernavn	username	brugernavn	username	N;INDF;NEUT;SG	PROPN
indtaget	принятых	indtage	принять	V;INDF;SG;PST;V.PTCP	V;PFV;GEN;PL;PST;V.PTCP;PASS
indtaget	взяты	indtage	брать	V;INDF;SG;PST;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
crash	аварии	crash	авария	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
glimrende	превосходно	glimrende	превосходно	ADJ	ADV
devil	дьявол	devil	дьявол		N;ANIM;NOM;MASC;SG
ungdoms	молодость	ungdom	молодость	N;GEN;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
ungdoms	молодёжь	ungdom	молодёжь	N;GEN;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
ungdoms	молодежь	ungdom	молодежь	N;GEN;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;SG
søgning	искать	søgning	искать	N;INDF;MASC+FEM;SG	V;IPFV;NFIN;ACT
søgning	ищите	søgning	искать	N;INDF;MASC+FEM;SG	V;IPFV;IMP;PL;2;FIN;ACT
husene	дома	hus	дома	N;DEF;NEUT;PL	ADV
seksuel	сексуальные	seksuel	сексуальный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
landede	приземлился	lande	приземлиться	V;IND;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
foretrak	предпочтение	foretrak	предпочтение	V;IND;PST;FIN;ACT	N;INAN;NOM;NEUT;SG
beskeden	сообщение	beskeden	сообщение	ADJ;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
beskeden	послание	beskeden	послание	ADJ;INDF;MASC+FEM;SG	N;INAN;NOM;NEUT;SG
beskeden	скромные	beskeden	скромный	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
lead	свинца	lead	свинец		N;INAN;GEN;MASC;SG
lead	свинец	lead	свинец		N;INAN;NOM;MASC;SG
lead	ведущая	lead	вести		V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
lead	ведущие	lead	ведущий		ADJ;NOM;PL
montana	монтана	montana	монтан		N;INAN;NOM;FEM;SG
falsk	ложь	falsk	ложь	ADJ;INDF;SG	N;INAN;NOM;FEM;SG
falsk	ложные	falsk	ложный	ADJ;INDF;SG	ADJ;NOM;PL
falsk	фальшивка	falsk	фальшивка	ADJ;INDF;SG	N;INAN;NOM;FEM;SG
falsk	фальшивые	falsk	фальшивый	ADJ;INDF;SG	ADJ;NOM;PL
falsk	подделка	falsk	подделка	ADJ;INDF;SG	N;INAN;NOM;FEM;SG
pil	стрелы	pil	стрела	V;IMP	N;INAN;NOM;FEM;PL
pil	стрелка	pil	стрелка	V;IMP	N;INAN;NOM;FEM;SG
pil	стрела	pil	стрела	V;IMP	N;INAN;NOM;FEM;SG
pil	стрелки	pil	стрелка	V;IMP	N;INAN;NOM;FEM;PL
monarki	монархии	monarki	монархия	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
moral	моральная	moral	моральный	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
moral	моральный	moral	моральный	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
moral	морали	moral	мораль	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
moral	морали	moral	мораль	N;INDF;MASC+FEM;SG	N;INAN;NOM;FEM;PL
håbede	надеялся	håbe	надеяться	V;IND;PST;FIN;ACT	V;IPFV;MASC;IND;SG;PST;FIN;MID
håbede	надеялись	håbe	надеяться	V;IND;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;MID
