und	si	und	sine	CONJ	
festival	festivalul	festival	festival	PROPN;NOM;NEUT;SG	N;DEF;MASC;SG
festival	festivalului	festival	festival	PROPN;NOM;NEUT;SG	N;DEF;MASC;SG
übersetzung	traducere	übersetzung	traducere	ADJ	N;INDF;FEM;SG
übersetzung	traducerea	übersetzung	traducere	ADJ	N;DEF;FEM;SG
übersetzung	traduce	übersetzung	traduce	ADJ	V;IND;SG;3;PRS;FIN
übersetzung	traduceri	übersetzung	traducere	ADJ	N;INDF;FEM;PL
versuch	încercați	versuchen	încerca	V;IND;SG;3;FIN	V;IND;PL;2;IPFV;FIN
versuch	experimentul	versuchen	experiment	V;IND;SG;3;FIN	N;DEF;MASC;SG
versuch	experiment	versuchen	experiment	V;IND;SG;3;FIN	N;INDF;MASC;SG
folgten	urmate	folgen	urma	V;IND;PL;3;PST;FIN	ADJ;INDF;FEM;PL
folgten	urmărit	folgen	urmări	V;IND;PL;3;PST;FIN	ADJ;INDF;MASC;SG
folgten	urmat	folgen	urma	V;IND;PL;3;PST;FIN	ADJ;INDF;MASC;SG
folgten	urmărită	folgen	urmări	V;IND;PL;3;PST;FIN	ADJ;INDF;FEM;SG
pfalz	pfalz	pfalz	pfalz	PROPN;NOM;NEUT;SG	PROPN
pfalz	palatinat	pfalz	palatina	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
beziehungen	relațiile	beziehungen	relație	N;NOM;FEM;PL	N;DEF;FEM;PL
beziehungen	relația	beziehungen	relație	N;NOM;FEM;PL	N;DEF;FEM;SG
beziehungen	relatie	beziehungen	relatie	N;NOM;FEM;PL	N;INDF;FEM;SG
beziehungen	relație	beziehungen	relație	N;NOM;FEM;PL	N;INDF;FEM;SG
beziehungen	relațiile	beziehungen	relație	N;NOM;FEM;PL	N;DEF;FEM;PL
rhein	rin	rhein	rin	PROPN;NOM;SG	N;INDF;MASC;SG
rhein	rhein	rhein	rhein	PROPN;NOM;SG	N;INDF;MASC;SG
bewegung	mişcare	bewegung	mişcare		N;INDF;FEM;SG
bewegung	mișcare	bewegung	mișcare		N;INDF;FEM;SG
bewegung	mută	bewegung	muta		V;IND;SG;3;PST;FIN
bewegung	misca	bewegung	misca		V;IND;SG;3;IPFV;FIN
bewegung	mutare	bewegung	mutare		N;INDF;FEM;SG
bewegung	exercițiu	bewegung	exercițiu		N;INDF;MASC;SG
bewegung	exercitiu	bewegung	exercitiu		N;INDF;MASC;SG
bewegung	exercitarea	bewegung	exercitare		N;DEF;FEM;SG
bewegung	mișcarea	bewegung	mișcare		N;DEF;FEM;SG
bewegung	miscarea	bewegung	miscare		N;DEF;FEM;SG
bewegung	mişcare	bewegung	mişcare		N;INDF;FEM;SG
bewegung	miscare	bewegung	miscare		N;INDF;FEM;SG
bewegung	mişcarea	bewegung	mincare		N;DEF;FEM;SG
bewegung	mișcare	bewegung	mișcare		N;INDF;FEM;SG
erfüllt	îndeplinit	erfüllen	îndeplini	V;V.PTCP	ADJ;INDF;MASC;SG
erfüllt	împlinită	erfüllen	împlini	V;V.PTCP	ADJ;INDF;FEM;SG
erfüllt	împlinit	erfüllen	împlini	V;V.PTCP	ADJ;INDF;MASC;SG
erfüllt	îndeplinite	erfüllen	îndeplinit	V;V.PTCP	ADJ;INDF;FEM;PL
erfüllt	met	erfüllen	met	V;V.PTCP	N
südlichen	southern	südlich	southern	ADJ;ACC;MASC;SG	PROPN
südlichen	sudul	südlich	sud	ADJ;ACC;MASC;SG	N;DEF;MASC;SG
opfer	victime	opfer	victimă	ADJ	N;INDF;FEM;PL
opfer	pierderi	opfer	pierdere	ADJ	N;INDF;FEM;PL
opfer	sacrificiu	opfer	sacrificiu	ADJ	N;INDF;MASC;SG
opfer	jertfa	opfer	jertfa	ADJ	N;DEF;FEM;SG
opfer	sacrificii	opfer	sacrificiu	ADJ	N;INDF;FEM;PL
opfer	sacrificiul	opfer	sacrificiu	ADJ	N;DEF;MASC;SG
opfer	victime	opfer	victimă	ADJ	N;INDF;FEM;PL
opfer	victimele	opfer	victimă	ADJ	N;DEF;FEM;PL
opfer	victimă	opfer	victimă	ADJ	N;INDF;FEM;SG
opfer	victima	opfer	victimă	ADJ	N;DEF;FEM;SG
erde	earth	erde	earth		N
erde	pămînt	erde	pămînt		N;INDF;MASC;SG
erde	pământul	erde	pământ		N;DEF;MASC;SG
erde	pământ	erde	pământ		N;INDF;MASC;SG
erde	solul	erde	sol		N;DEF;MASC;SG
erde	sol	erde	sol		N;INDF;MASC;SG
angegeben	enumerat	angeben	enumera	V;V.PTCP	ADJ;INDF;MASC;SG
angegeben	listat	angeben	lista	V;V.PTCP	ADJ;INDF;MASC;SG
angegeben	enumerate	angeben	enumera	V;V.PTCP	ADJ;INDF;FEM;PL
angegeben	listate	angeben	lista	V;V.PTCP	ADJ;INDF;FEM;PL
angegeben	indicate	angeben	indica	V;V.PTCP	ADJ;INDF;FEM;PL
angegeben	indicat	angeben	indica	V;V.PTCP	ADJ;INDF;MASC;SG
angegeben	indicată	angeben	indicat	V;V.PTCP	ADJ;INDF;FEM;SG
angegeben	precizată	angeben	preciza	V;V.PTCP	ADJ;INDF;FEM;SG
angegeben	specificate	angeben	specifica	V;V.PTCP	ADJ;INDF;FEM;PL
angegeben	specificat	angeben	specificat	V;V.PTCP	ADJ;INDF;MASC;SG
angegeben	specificată	angeben	specificat	V;V.PTCP	ADJ;INDF;FEM;SG
technik	tehnologii	technik	tehnologie	N;SG	N;INDF;FEM;PL
bestimmten	anumite	bestimmen	anumit	V;PL;FIN	PRO;FEM;PL;3
roten	rosu	rot	rosu	ADJ;NOM;PL	N;INDF;MASC;SG
roten	roşu	rot	roşu	ADJ;NOM;PL	N;INDF;MASC;SG
roten	red	rot	red	ADJ;NOM;PL	N;INDF;MASC;SG
roten	roșu	rot	roșu	ADJ;NOM;PL	N;INDF;MASC;SG
typ	tipul	typ	tip		N;DEF;MASC;SG
typ	tastează	typ	tasta		V;IND;3;PRS;FIN
typ	tip	typ	tip		N;INDF;MASC;SG
typ	typ	typ	typ		N;INDF;MASC;SG
italienischen	iulian	italienisch	iulian	ADJ;NOM;MASC;PL	N;INDF;MASC;SG
italienischen	italiana	italienisch	italiană	ADJ;NOM;MASC;PL	N;DEF;FEM;SG
italienischen	italiană	italienisch	italiană	ADJ;NOM;MASC;PL	N;INDF;FEM;SG
italienischen	italian	italienisch	italian	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
united	unită	united	unit		ADJ;INDF;FEM;SG
united	united	united	united		N;INDF;MASC;SG
united	unite	united	unit		ADJ;INDF;FEM;PL
united	unit	united	unit		ADJ;INDF;MASC;SG
technische	tehnică	technisch	tehnică	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
technische	tehnic	technisch	tehnic	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
technischen	tehnică	technisch	tehnică	ADJ;SG	N;INDF;FEM;SG
technischen	tehnice	technisch	tehnic	ADJ;SG	ADJ;INDF;FEM;PL
mag	aprecierile	mögen	apreciere	V;IND;SG;3;PRS;FIN	N;DEF;FEM;PL
mag	aprecieri	mögen	apreciere	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
mag	mag	mögen	mag	V;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
keiner	niciuna	kein	nici_unul	PRO;NOM;INDF;MASC;SG;NEG	
keiner	nimeni	kein	nimeni	PRO;NOM;INDF;MASC;SG;NEG	PRO;SG;3
open	deschis	open	deschis		ADJ;INDF;MASC;SG
open	deschide	open	deschide		V;IND;SG;3;PRS;FIN
open	open	open	open		N;INDF;MASC;SG
mainz	mainz	mainz	mainz	PROPN;NOM;NEUT;SG	PROPN
wenigen	puține	wenig	puțin	ADJ;ACC;INDF;PL	PRO;FEM;PL;3
wenigen	puțini	wenig	puțin	ADJ;ACC;INDF;PL	PRO;MASC;PL;3
wenigen	putini	wenig	putin	ADJ;ACC;INDF;PL	
boden	podele	boden	podea	ADV	N;INDF;FEM;PL
boden	etaje	boden	etaj	ADV	N;INDF;FEM;PL
boden	solul	boden	sol	ADV	N;DEF;MASC;SG
boden	sol	boden	sol	ADV	N;INDF;MASC;SG
boden	sol	boden	sol	ADV	N;INDF;MASC;SG
boden	boden	boden	boden	ADV	PROPN
boden	etajul	boden	etaj	ADV	N;DEF;MASC;SG
boden	etaj	boden	etaj	ADV	N;INDF;MASC;SG
boden	podea	boden	podea	ADV	N;INDF;FEM;SG
söhne	sons	sohnen	sons		N;INDF;MASC;SG
söhne	fiii	sohnen	fiu		N;DEF;MASC;PL
grand	grand	grand	grand		N;INDF;MASC;SG
grundlage	fundatia	grundlage	fundatie	ADJ;NOM;SG	N;DEF;FEM;SG
grundlage	fundaţia	grundlage	fundagie	ADJ;NOM;SG	N;DEF;FEM;SG
grundlage	fundatie	grundlage	fundatie	ADJ;NOM;SG	N;INDF;FEM;SG
grundlage	fundația	grundlage	fundație	ADJ;NOM;SG	N;DEF;FEM;SG
grundlage	baza	grundlage	bază	ADJ;NOM;SG	N;DEF;FEM;SG
grundlage	bază	grundlage	bază	ADJ;NOM;SG	N;INDF;FEM;SG
siedlung	decontarea	siedlung	decontare	ADJ	N;DEF;FEM;SG
siedlung	decontare	siedlung	decontare	ADJ	N;INDF;FEM;SG
siedlung	așezare	siedlung	așezare	ADJ	N;INDF;FEM;SG
radio	radio	radio	radio		N;INDF;MASC;SG
entdeckt	reperat	entdecken	repera	V;V.PTCP	ADJ;INDF;MASC;SG
entdeckt	zărit	entdecken	zări	V;V.PTCP	ADJ;INDF;MASC;SG
entdeckt	descoperite	entdecken	descoperi	V;V.PTCP	ADJ;INDF;FEM;PL
entdeckt	descoperită	entdecken	descoperi	V;V.PTCP	ADJ;INDF;FEM;SG
entdeckt	descoperit	entdecken	descoperit	V;V.PTCP	ADJ;INDF;MASC;SG
entdeckt	detectată	entdecken	detecta	V;V.PTCP	ADJ;INDF;FEM;SG
entdeckt	detectate	entdecken	detecta	V;V.PTCP	ADJ;INDF;FEM;PL
entdeckt	detectat	entdecken	detecta	V;V.PTCP	ADJ;INDF;MASC;SG
bernhard	bernard	bernhard	bernard	PROPN;NOM;MASC;SG	PROPN
bernhard	bernhard	bernhard	bernhard	PROPN;NOM;MASC;SG	PROPN
vorschlag	propunere	vorschlagen	propunere	ADV	N;INDF;FEM;SG
vorschlag	propunerea	vorschlagen	propunere	ADV	N;DEF;FEM;SG
vorschlag	propunere	vorschlagen	propunere	ADV	N;INDF;FEM;SG
vorschlag	sugestia	vorschlagen	sugestie	ADV	N;DEF;FEM;SG
vorschlag	sugestie	vorschlagen	sugestie	ADV	N;INDF;FEM;SG
erzbischof	arhiepiscopul	erzbischof	arhiepiscop	ADJ	N;DEF;MASC;SG
erzbischof	arhiepiscop	erzbischof	arhiepiscop	ADJ	N;INDF;MASC;SG
halt	țineți	halt	ține	ADV	V;IND;PL;2;PRS;FIN
ungarn	ungaria	ungarn	ungaria	PROPN;NOM;SG	PROPN
ungarn	budapesta	ungarn	budapest	PROPN;NOM;SG	N;DEF;FEM;SG
historiker	istorici	historik	istoric	ADJ	N;INDF;MASC;PL
historiker	istoricii	historik	istoric	ADJ	N;DEF;MASC;PL
preußischen	prusac	preußisch	prusac	ADJ;NOM;PL	N;INDF;MASC;SG
bezug	referință	bezugen	referință	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
bezug	referința	bezugen	referință	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
bezug	trimitere	bezugen	trimitere	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
heimat	acasa	heimat	acasa	N;FEM;SG	
heimat	acasă	heimat	acasă	N;FEM;SG	ADV
heimat	home	heimat	homă	N;FEM;SG	
heimat	patriei	heimat	patrie	N;FEM;SG	PROPN;DEF;FEM;SG
pierre	pierre	pier	pierre	PROPN;NOM;SG	PROPN
spielzeit	anotimpul	spielzeit	anotimp	N;NOM;SG	N;DEF;MASC;SG
spielzeit	sezonul	spielzeit	sezon	N;NOM;SG	N;DEF;MASC;SG
software	software	software	software		N;INDF;MASC;SG
rock	fustă	rock	fustă		N;INDF;FEM;SG
rock	fusta	rock	fustă		N;DEF;FEM;SG
rock	piatră	rock	piatră		N;INDF;FEM;SG
rock	piatra	rock	piatră		N;DEF;FEM;SG
rock	stânca	rock	stâncă		N;DEF;FEM;SG
rock	stâncă	rock	stâncă		N;INDF;FEM;SG
rock	rock	rock	rock		N;INDF;MASC;SG
bester	bester	gut	bester	ADJ	PROPN
entsprechenden	corespunzând	entsprechend	corespunde	ADJ	V;V.MSDR
aufstieg	înălţarea	aufsteigen	înălhare	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
aufstieg	ascensiunea	aufsteigen	ascensiune	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
aufstieg	ascensiune	aufsteigen	ascensiune	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
aufstieg	urca	aufsteigen	urca	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
aufstieg	ascensiune	aufsteigen	ascensiune	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
verwaltung	administrațiile	verwaltung	administrație	ADJ	N;DEF;FEM;PL
verwaltung	gestionare	verwaltung	gestionare	ADJ	N;INDF;FEM;SG
verwaltung	conducerea	verwaltung	conducere	ADJ	N;DEF;FEM;SG
verwaltung	managementul	verwaltung	management	ADJ	N;DEF;MASC;SG
verwaltung	gestionarea	verwaltung	gestionare	ADJ	N;DEF;FEM;SG
verwaltung	management	verwaltung	management	ADJ	N;INDF;MASC;SG
verwaltung	administrația	verwaltung	administrație	ADJ	N;DEF;FEM;SG
verwaltung	administrarea	verwaltung	administrare	ADJ	N;DEF;FEM;SG
verwaltung	administrare	verwaltung	administrare	ADJ	N;INDF;FEM;SG
verwaltung	administrație	verwaltung	administrație	ADJ	N;INDF;FEM;SG
lebten	trait	leben	trai	V;IND;PL;3;PST;FIN	V;MASC;SG;V.PTCP
lebten	trăia	leben	trăi	V;IND;PL;3;PST;FIN	V;IND;SG;3;IPFV;FIN
lebten	trăită	leben	trăi	V;IND;PL;3;PST;FIN	ADJ;INDF;FEM;SG
lebten	trăit	leben	trăi	V;IND;PL;3;PST;FIN	V;MASC;SG;V.PTCP
bank	bancă	bank	bancă		N;INDF;FEM;SG
bank	banca	bank	bancă		N;DEF;FEM;SG
bank	bank	bank	bank		N;INDF;MASC;SG
bank	bancă	bank	bancă		N;INDF;FEM;SG
rein	frâu	rein	frâu	ADJ	N;INDF;MASC;SG
rein	pure	rein	pur	ADJ	
rein	pur	rein	pur	ADJ	ADV
mannschaften	crews	mannschaften	crews	N;NOM;PL	
mannschaften	echipajele	mannschaften	echipaj	N;NOM;PL	N;DEF;FEM;PL
mannschaften	echipele	mannschaften	echipă	N;NOM;PL	N;DEF;FEM;PL
tor	tor	tor	tor	N;NOM;NEUT;SG	
tor	poarta	tor	poartă	N;NOM;NEUT;SG	N;DEF;FEM;SG
tor	poartă	tor	purta	N;NOM;NEUT;SG	V;IND;3;PRS;FIN
herbst	toamna	herbst	toamnă	ADV	N;DEF;FEM;SG
herbst	toamnă	herbst	toamnă	ADV	N;INDF;FEM;SG
herbst	herbst	herbst	herbst	ADV	
herbst	cazi	herbst	cădea	ADV	V;IND;SG;2;PRS;FIN
herbst	toamna	herbst	toamnă	ADV	N;DEF;FEM;SG
herbst	cădea	herbst	cădea	ADV	V;IND;SG;3;IPFV;FIN
schulen	scoli	schallen	scoli	V;NFIN	N;INDF;FEM;PL
schulen	școli	schallen	școală	V;NFIN	N;INDF;FEM;PL
schulen	scoala	schallen	scoală	V;NFIN	N;DEF;FEM;SG
schulen	școala	schallen	școală	V;NFIN	N;DEF;FEM;SG
schulen	şcoala	schallen	pcoală	V;NFIN	N;DEF;FEM;SG
schulen	școală	schallen	școală	V;NFIN	N;INDF;FEM;SG
schulen	şcoală	schallen	şcoală	V;NFIN	N;INDF;FEM;SG
königreich	regat	königreich	regat	ADJ	N;INDF;MASC;SG
königreich	kingdom	königreich	kingdom	ADJ	N;INDF;MASC;SG
königreich	regatul	königreich	regat	ADJ	N;DEF;MASC;SG
allgemeine	allgemeine	allgemein	allgemein	ADJ;NOM;FEM;PL	N;INDF;FEM;PL
allgemeine	generalul	allgemein	general	ADJ;NOM;FEM;PL	N;DEF;MASC;SG
allgemeine	general	allgemein	general	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
ebene	câmpii	eben	câmpie		N;INDF;FEM;PL
ebene	strat	eben	strat		N;INDF;MASC;SG
ebene	stratul	eben	strat		N;DEF;MASC;SG
ebene	nivelul	eben	nivel		N;DEF;MASC;SG
ebene	nivel	eben	nivel		N;INDF;MASC;SG
schmidt	schmidt	schmeden	schmidt	PROPN	PROPN
schmidt	smith	schmeden	smith	PROPN	PROPN
gehörten	aparținut	gehören	aparține	V;IND;PL;3;PST;FIN	ADJ;INDF;MASC;SG
weiteres	mai	weit	mai	ADJ;NOM;NEUT;SG	ADV
bundesstaat	stare	bundesstaat	stare	ADJ	N;INDF;FEM;SG
bundesstaat	stat	bundesstaat	stat	ADJ	N;INDF;MASC;SG
bundesstaat	state	bundesstaat	stat	ADJ	N;INDF;FEM;PL
bundesstaat	statul	bundesstaat	stat	ADJ	N;DEF;MASC;SG
essen	mancare	essen	mancare	V;NFIN	N;INDF;FEM;SG
essen	mâncare	essen	mâncare	V;NFIN	N;INDF;FEM;SG
essen	alimentare	essen	alimentare	V;NFIN	N;INDF;FEM;SG
essen	alimente	essen	aliment	V;NFIN	N;INDF;FEM;PL
essen	hrană	essen	hrană	V;NFIN	N;INDF;FEM;SG
essen	essen	essen	essen	V;NFIN	PROPN
essen	alimentatie	essen	alimentatie	V;NFIN	N;INDF;FEM;SG
essen	restaurante	essen	restaurant	V;NFIN	N;INDF;FEM;PL
essen	restaurantele	essen	restaurant	V;NFIN	N;DEF;FEM;PL
göttingen	göttingen	göttingen	göttingen	PROPN;NOM	PROPN
richter	judge	richter	judge	ADJ	N;INDF;MASC;SG
richter	judecator	richter	judecator	ADJ	N;INDF;MASC;SG
richter	judecă	richter	judecă	ADJ	V;IND;SG;3;PST;FIN
richter	judecător	richter	judecător	ADJ	N;INDF;MASC;SG
richter	judecătorilor	richter	judecător	ADJ	N;DEF;MASC;PL
richter	judecătorii	richter	judecător	ADJ	N;DEF;MASC;PL
richter	judecători	richter	judecător	ADJ	N;INDF;MASC;PL
richter	richter	richter	richter	ADJ	N;INDF;MASC;SG
ausstellung	expozitie	ausstellingen	expozitie	N;NOM;FEM;SG	N;INDF;FEM;SG
ausstellung	expo	ausstellingen	expo	N;NOM;FEM;SG	
ausstellung	expoziţia	ausstellingen	expozigie	N;NOM;FEM;SG	N;DEF;FEM;SG
ausstellung	expozitie	ausstellingen	expozitie	N;NOM;FEM;SG	N;INDF;FEM;SG
ausstellung	expoziţie	ausstellingen	expoziţie	N;NOM;FEM;SG	N;INDF;FEM;SG
aufgabe	sarcină	aufgaben	sarcină	N;NOM;FEM;SG	N;INDF;FEM;SG
aufgabe	abandonarea	aufgaben	abandonare	N;NOM;FEM;SG	N;DEF;FEM;SG
aufgabe	misiunea	aufgaben	misiune	N;NOM;FEM;SG	N;DEF;FEM;SG
aufgabe	misiune	aufgaben	misiune	N;NOM;FEM;SG	N;INDF;FEM;SG
geld	banii	geld	ban	N;NOM;NEUT;SG	N;DEF;MASC;PL
geld	bani	geld	ban	N;NOM;NEUT;SG	N;INDF;MASC;PL
kirchen	biserica	Kirche	biserică	N;PL	N;DEF;FEM;SG
kirchen	biserică	Kirche	biserică	N;PL	N;INDF;FEM;SG
lösung	rezolvare	lösung	rezolvare	N;NOM;FEM;SG	N;INDF;FEM;SG
lösung	rezolvarea	lösung	rezolvare	N;NOM;FEM;SG	N;DEF;FEM;SG
lösung	soluție	lösung	soluție	N;NOM;FEM;SG	N;INDF;FEM;SG
lösung	solutie	lösung	solutie	N;NOM;FEM;SG	N;INDF;FEM;SG
lösung	soluția	lösung	soluție	N;NOM;FEM;SG	N;DEF;FEM;SG
tiere	fauna	tier	faună	N;NOM;NEUT;PL	N;DEF;FEM;SG
tiere	wildlife	tier	wildlife	N;NOM;NEUT;PL	PROPN
tiere	animalelor	tier	animal	N;NOM;NEUT;PL	N;DEF;FEM;PL
tiere	animalele	tier	animal	N;NOM;NEUT;PL	N;DEF;FEM;PL
rheinland	rheinland	rheinland	rheinland	PROPN;SG	ADJ;INDF;MASC;SG
rheinland	renania	rheinland	renania	PROPN;SG	PROPN
werbung	publicitatea	werbung	publicitate	N;NOM;FEM;SG	N;DEF;FEM;SG
werbung	reclamă	werbung	reclama	N;NOM;FEM;SG	N;INDF;FEM;SG
werbung	publicitate	werbung	publicitate	N;NOM;FEM;SG	N;INDF;FEM;SG
winter	winters	winter	winters	N	PROPN
fehlen	absent	fehlen	absent	V;NFIN	ADJ;INDF;MASC;SG
fehlen	absentă	fehlen	absent	V;NFIN	ADJ;INDF;FEM;SG
fehlen	absenta	fehlen	absenta	V;NFIN	N;DEF;FEM;SG
fehlen	absența	fehlen	absență	V;NFIN	N;DEF;FEM;SG
fehlen	lipsa	fehlen	lipsă	V;NFIN	N;DEF;FEM;SG
fehlen	lipsă	fehlen	lipsă	V;NFIN	N;INDF;FEM;SG
wissenschaftliche	științifică	wissenschaftlich	științific	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
wissenschaftliche	științific	wissenschaftlich	științific	ADJ;NOM;FEM;PL	ADV
wissenschaftliche	stiintific	wissenschaftlich	stiintific	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
unterschied	distincție	unterscheiden	distincție	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
unterschied	distincția	unterscheiden	distincție	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
unterschied	diferența	unterscheiden	diferență	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
unterschied	diferență	unterscheiden	diferență	V;IND;SG;3;PST;FIN	N;INDF;FEM;SG
unterschied	diferenta	unterscheiden	diferent	V;IND;SG;3;PST;FIN	N;DEF;FEM;SG
familien	familiile	familien	familie	V;IND;PL;3;FIN	N;DEF;FEM;PL
familien	familii	familien	familie	V;IND;PL;3;FIN	N;INDF;FEM;PL
familien	familie	familien	familie	V;IND;PL;3;FIN	N;INDF;FEM;SG
familien	familia	familien	familie	V;IND;PL;3;FIN	N;DEF;FEM;SG
inseln	insulele	inseln	insulă	N;NOM;FEM;PL	N;DEF;FEM;PL
inseln	isles	inseln	isles	N;NOM;FEM;PL	PROPN
offensichtlich	aparenta	offensichtlich	aparent	ADJ	N;DEF;FEM;SG
offensichtlich	aparente	offensichtlich	aparent	ADJ	N;INDF;FEM;PL
offensichtlich	evidenta	offensichtlich	evident	ADJ	N;DEF;FEM;SG
offensichtlich	evident	offensichtlich	evident	ADJ	ADV
offensichtlich	evident	offensichtlich	evident	ADJ	ADV
objekte	obiectele	objeken	obiect	N;NOM;NEUT;PL	N;DEF;FEM;PL
objekte	obiect	objeken	obiect	N;NOM;NEUT;PL	N;INDF;MASC;SG
objekte	obiectul	objeken	obiect	N;NOM;NEUT;PL	N;DEF;MASC;SG
anteil	proporția	anteil	proporție	ADV	N;DEF;FEM;SG
anteil	proporție	anteil	proporție	ADV	N;INDF;FEM;SG
anteil	procent	anteil	procent	ADV	N;INDF;MASC;SG
anteil	procentajul	anteil	procentaj	ADV	N;DEF;MASC;SG
anteil	procentul	anteil	procent	ADV	N;DEF;MASC;SG
anteil	procentaj	anteil	procentaj	ADV	N;INDF;MASC;SG
anteil	distribuie	anteil	distribui	ADV	V;IND;3;PRS;FIN
anteil	cota	anteil	cotă	ADV	N;DEF;FEM;SG
anteil	share	anteil	share	ADV	
nürnberg	nuremberg	nürnberg	nuremberg	PROPN;NOM;SG	N;INDF;MASC;SG
blick	vizualizează	blick	vizualiza	ADV	V;IND;3;PRS;FIN
blick	vizualizare	blick	vizualizare	ADV	N;INDF;FEM;SG
blick	vedere	blick	vedere	ADV	N;INDF;FEM;SG
herr	herr	herr	herr	N;NOM;MASC;SG	
herr	domnule	herr	domn	N;NOM;MASC;SG	N;VOC;DEF;MASC;SG
englische	engleza	englisch	engleza	ADJ;NOM;FEM;PL	N;DEF;FEM;SG
englische	engleză	englisch	englez	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
englische	romanian	englisch	romanian	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
silber	argint	silber	argint		N;INDF;MASC;SG
silber	silver	silber	silver		N;INDF;MASC;SG
silber	argintiu	silber	argintiu		N;INDF;MASC;SG
silber	argintăria	silber	argintărie		N;DEF;FEM;SG
silber	argintărie	silber	argintărie		N;INDF;FEM;SG
hintergrund	tapet	hintergrund	tapet	ADJ	N;INDF;MASC;SG
hintergrund	fundal	hintergrund	fundal	ADJ	N;INDF;MASC;SG
hintergrund	fundalul	hintergrund	fundal	ADJ	N;DEF;MASC;SG
französisch	franceza	französisch	franceza	ADJ	N;DEF;FEM;SG
theorie	teorie	theorie	teorie	PROPN	N;INDF;FEM;SG
theorie	teoria	theorie	teorie	PROPN	N;DEF;FEM;SG
theorie	teoriile	theorie	teorie	PROPN	N;DEF;FEM;PL
theorie	teorii	theorie	teorie	PROPN	N;INDF;FEM;PL
air	aer	air	aer	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
air	aerul	air	aer	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
air	air	air	air	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
beendete	încheiat	beenden	încheia	V;IND;SG;3;PST;FIN	ADJ;INDF;MASC;SG
benutzt	folosit	benutzen	folosit	V;V.PTCP	ADJ;INDF;MASC;SG
benutzt	utilizate	benutzen	utilizat	V;V.PTCP	ADJ;INDF;FEM;PL
benutzt	folosite	benutzen	folosit	V;V.PTCP	ADJ;INDF;FEM;PL
benutzt	folosită	benutzen	folosit	V;V.PTCP	ADJ;INDF;FEM;SG
benutzt	utilizată	benutzen	utiliza	V;V.PTCP	ADJ;INDF;FEM;SG
benutzt	utilizat	benutzen	utilizat	V;V.PTCP	ADJ;INDF;MASC;SG
jährlich	anual	jährlich	anual	ADJ	ADV
jährlich	anual	jährlich	anual	ADJ	ADV
erweitert	îmbunătățit	erweitern	îmbunătăți	V;V.PTCP	ADJ;INDF;MASC;SG
erweitert	îmbunătățită	erweitern	îmbunătățit	V;V.PTCP	ADJ;INDF;FEM;SG
erweitert	mărit	erweitern	mări	V;V.PTCP	ADJ;INDF;MASC;SG
erweitert	prelungită	erweitern	prelungit	V;V.PTCP	ADJ;INDF;FEM;SG
erweitert	prelungit	erweitern	prelungi	V;V.PTCP	ADJ;INDF;MASC;SG
erweitert	extins	erweitern	extins	V;V.PTCP	ADJ;INDF;MASC;SG
erweitert	extinsă	erweitern	extins	V;V.PTCP	ADJ;INDF;FEM;SG
erweitert	extinse	erweitern	extinde	V;V.PTCP	ADJ;INDF;FEM;PL
erweitert	extins	erweitern	extins	V;V.PTCP	ADJ;INDF;MASC;SG
erweitert	extinsă	erweitern	extins	V;V.PTCP	ADJ;INDF;FEM;SG
erweitert	avansată	erweitern	avansa	V;V.PTCP	ADJ;INDF;FEM;SG
erweitert	avansate	erweitern	avansat	V;V.PTCP	ADJ;INDF;FEM;PL
erweitert	avansat	erweitern	avansa	V;V.PTCP	ADJ;INDF;MASC;SG
unterstützt	ajutată	unterstützen	ajuta	V;V.PTCP	ADJ;INDF;FEM;SG
unterstützt	ajutat	unterstützen	ajuta	V;V.PTCP	ADJ;INDF;MASC;SG
unterstützt	susţinut	unterstützen	sushinut	V;V.PTCP	ADJ;INDF;MASC;SG
unterstützt	sprijinit	unterstützen	sprijini	V;V.PTCP	ADJ;INDF;MASC;SG
