през	דרך	през	דרך	ADP	
създадена	נוצרה	създам	נוצר	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;FEM;SG;3;PST;MID
създадена	נוצרו	създам	נוצר	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;PL;3;PST;MID
създадена	יצרת	създам	יצרת	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;FEM;SG
създадена	יצר	създам	יצר	V;PFV;INDF;FEM;SG;V.PTCP;PASS	N;MASC;SG
създадена	נוצר	създам	נוצר	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;SG;3;PST;MID
черно	שחורה	черен	שחורה	ADV	ADJ;FEM;SG
черно	השחור	черен	השחור	ADV	
черно	black	черен	black	ADV	
черно	שחור	черен	שחור	ADV	ADJ;MASC;SG
открива	מגלה	откривам-(се)	גילה	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
царство	הממלכה	царство	הממלך	N;INDF;NEUT;SG	PROPN
поет	המשורר	поет	המשורר	N;INDF;MASC;SG	PROPN
двойки	זוגי	двойка	זוג	N;INDF;FEM;PL	
републикански	רפובליקני	републикански	רפובליקני	ADJ;INDF;MASC;SG	N;MASC;SG
републикански	הרפובליקני	републикански	הרפובליקני	ADJ;INDF;MASC;SG	PROPN
павел	פאבל	павел	פאבל	PROPN;INDF;MASC;SG	PROPN
брак	נישואים	брак	נישואין	N;INDF;MASC;SG	N;MASC;PL
брак	נישואין	брак	נישואין	N;INDF;MASC;SG	N;MASC;PL
секретар	המזכירה	секретар	המזכירה	N;INDF;MASC;SG	V;FEM;SG;3;PST;ACT
секретар	המזכיר	секретар	המזכיר	N;INDF;MASC;SG	PROPN
секретар	מזכירה	секретар	הזכיר	N;INDF;MASC;SG	V;FEM;SG;V.PTCP;ACT
съпругата	אשתו	съпруга	אשת	N;DEF;FEM;SG	
съпругата	רעיה	съпруга	רעיה	N;DEF;FEM;SG	PROPN
представители	נציגי	представител	נציג	N;INDF;MASC;PL	N;PSSD;MASC;PL
участват	השתתף	участвам	השתתף	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;MASC;SG;3;PST
участват	משתתפת	участвам	השתתף	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
решава	מחליטה	решавам-(се)	החליט	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
решава	מחליט	решавам-(се)	מחליט	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
годишна	השנתי	годишна	השנתי	ADJ;INDF;FEM;SG	V;SG;1;PST;ACT
годишна	שנתי	годишна	שנתי	ADJ;INDF;FEM;SG	PROPN
годишна	שנתית	годишна	שנתי	ADJ;INDF;FEM;SG	ADV
вместо	ובמקום	вместо	ובמקום	ADP	PROPN
издаден	הוציא	издам-(се)	הוציא	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;3;PST;ACT
възможно	אפשרי	възможно	אפשרי	ADV	ADJ;MASC;SG
висока	גבוהים	висок	גבוה	ADJ;INDF;FEM;SG	ADJ;MASC;PL
обявява	מכריז	обявявам-(се)	הכריז	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
обявява	מודיעה	обявявам-(се)	הודיע	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
загора	זאגורה	загора	זאגורה	N;INDF;FEM;SG	PROPN
източник	המקור	източник	המקור	N;INDF;MASC;SG	
модел	דוגמנית	модел	דוגמנית	N;INDF;MASC;SG	ADV
модел	דוגמן	модел	דוגמן	N;INDF;MASC;SG	PROPN
културни	תרבותית	културен	תרבותי	ADJ;INDF;PL	ADV
културни	תרבותי	културен	תרבותי	ADJ;INDF;PL	ADJ;MASC;SG
статистика	סטטיסטי	статистика	סטטיסטי	N;INDF;FEM;SG	ADJ;MASC;SG
анна	אנה	анна	אנה	PROPN;INDF;FEM;SG	PROPN
българите	בולגרים	българин	בולגרי	N;DEF;MASC;PL	PROPN
температура	חום	температура	חום	N;INDF;FEM;SG	
предлага	הצעות	предлагам	הצעה	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
глава	ראשה	глава	ראשה	N;INDF;FEM;SG	
глава	הראש	глава	הראש	N;INDF;FEM;SG	
глава	ראשי	глава	ראש	N;INDF;FEM;SG	N;PSSD;MASC;PL
водата	מיים	вода	מיים	N;DEF;FEM;SG	PROPN
водата	מים	вода	מים	N;DEF;FEM;SG	N;MASC;PL
дело	קייס	дело	קייס	N;INDF;NEUT;SG	PROPN
отношения	יחסי	отношение	יחסים	N;INDF;NEUT;PL	N;PSSD;MASC;PL
позволява	מאפשר	позволявам-(си)	None	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;SG;V.PTCP
позволява	מאפשרת	позволявам-(си)	None	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
позволява	מתיר	позволявам-(си)	מתיר	V;IPFV;IND;SG;3;PRS;FIN;ACT	
медал	מדליית	медал	מדליה	N;INDF;MASC;SG	N;PSSD;FEM;SG
въпрос	השאלה	въпрос	השאלה	N;INDF;MASC;SG	PROPN
пол	מין	пол	מין	N;INDF;MASC;SG	
пол	פאול	пол	פאול	N;INDF;MASC;SG	PROPN
пол	פול	пол	פול	N;INDF;MASC;SG	PROPN
профил	הפרופיל	профил	הפרופיל	N;INDF;MASC;SG	PROPN
съществуват	קיימות	съществувам	קיים	V;IPFV;IND;PL;3;PRS;FIN;ACT	ADJ;FEM;PL
съществуват	קיים	съществувам	קיים	V;IPFV;IND;PL;3;PRS;FIN;ACT	ADJ;MASC;SG
съществуват	קיימת	съществувам	קיים	V;IPFV;IND;PL;3;PRS;FIN;ACT	ADJ;FEM;SG
съществуват	קיימים	съществувам	קיים	V;IPFV;IND;PL;3;PRS;FIN;ACT	ADJ;MASC;PL
сезона	העונה	сезон	העונה	N;DEF;MASC;SG	ADV
сградата	בונה	сграда	בנה	N;DEF;FEM;SG	
значително	ניכר	значително	ניכר	ADV	
значително	משמעותי	значително	משמעותי	ADV	ADJ;MASC;SG
значително	משמעותיים	значително	משמעותי	ADV	ADJ;MASC;PL
значително	משמעותיות	значително	משמעותי	ADV	ADJ;FEM;PL
определя	קובע	определям-(се)	קבע	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
определя	סדרות	определям-(се)	סדרה	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
определя	סטים	определям-(се)	סט	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
определя	מגדיר	определям-(се)	הגדיר	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
основан	נוסדה	основа	נוסד	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;SG;3;PST;MID
основан	נוסד	основа	נוסד	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;3;PST;MID
основан	ייסד	основа	ייסד	V;PFV;INDF;MASC;SG;V.PTCP;PASS	N;MASC;SG
русе	תחבולה	русе	תחבולה	PROPN;INDF;NEUT;SG	N;FEM;SG
кюстендил	קיוסטנדיל	кюстендил	קיוסטנדיל	N;INDF;MASC;SG	PROPN
цялото	שלמה	цял	שלמה	ADJ;DEF;NEUT;SG	PROPN
теория	תיאוריה	теория	תיאוריה	N;INDF;FEM;SG	PROPN
дълго	ארוך	дълго	ארוך	ADV	ADJ;MASC;SG
дълго	ארוכה	дълго	ארוך	ADV	ADJ;FEM;SG
дълго	לונג	дълго	לונג	ADV	PROPN
езеро	אגם	езеро	אגם	N;INDF;NEUT;SG	PROPN
езеро	לייק	езеро	לייק	N;INDF;NEUT;SG	PROPN
папа	אפיפיור	пап	אפיפיור	N;INDF;MASC;SG	PROPN
папа	פופ	пап	פופ	N;INDF;MASC;SG	PROPN
спас	ספא	спас	ספא	PROPN;INDF;MASC;SG	N;MASC;SG
основа	הקרן	основа	הקרן	N;INDF;FEM;SG	
елизабет	אליזבט	елизабет	אליזבט	N;INDF;FEM;SG	PROPN
елизабет	אליזבת	елизабет	אליזבת	N;INDF;FEM;SG	PROPN
елизабет	אליזבט	елизабет	אליזבט	N;INDF;FEM;SG	PROPN
елизабет	אליזבת	елизабет	אליזבת	N;INDF;FEM;SG	PROPN
бивш	לשעבר	бивш	לשעבר	N;INDF;MASC;SG	ADV
полет	פולט	полет	פלט	N;INDF;MASC;SG	PROPN
двама	שתיים	двама	שתיים	NUM;INDF;PL	NUM;FEM;SG
реки	ריברס	река	ריברס	N;INDF;FEM;PL	PROPN
среда	הסביבה	среда	הסביב	N;INDF;FEM;SG	V;FEM;SG;3;PST;ACT
ясно	ברור	ясно	ברור	ADV	ADJ;MASC;SG
ясно	נקה	ясно	נקה	ADV	
ясно	נקי	ясно	נקי	ADV	ADJ;MASC;SG
ясно	בברור	ясно	בברור	ADV	
актриси	שחקנית	актриса	שחקן	N;INDF;FEM;PL	N;FEM;SG
паметник	האנדרטה	паметник	האנדרטה	N;INDF;MASC;SG	PROPN
губи	מפסידה	губя-(се)	הפסיד	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
губи	מפסיד	губя-(се)	הפסיד	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
губи	מאבד	губя-(се)	מאבד	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
губи	מאבדת	губя-(се)	איבד	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
губи	מפסיד	губя-(се)	הפסיד	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
губи	מפסיד	губя-(се)	הפסיד	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
включват	כלול	включвам-(се)	כלול	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
включват	כולל	включвам-(се)	כלל	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
включват	כוללת	включвам-(се)	כלל	V;IPFV;IND;PL;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
уилям	ויליאם	уилям	ויליאם	N;INDF;MASC;SG	PROPN
уилям	וויליאם	уилям	ויליאם	N;INDF;MASC;SG	PROPN
белгия	בלגיה	белгия	בלגיה	PROPN;INDF;FEM;SG	PROPN
говори	דבר	говоря	דבר	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
говори	דברי	говоря	דבר	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;PSSD;MASC;PL
говори	דבר	говоря	דבר	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
говори	דברי	говоря	דבר	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;PSSD;MASC;PL
школа	לימודים	школа	לימודים	N;INDF;FEM;SG	N;MASC;PL
епархия	הדיוקסיה	епархия	הדיוקסיה	N;INDF;FEM;SG	PROPN
шест	שש	шест	שש	NUM;INDF;PL	NUM;FEM;SG
шест	six	шест	six	NUM;INDF;PL	
шест	שישה	шест	שישה	NUM;INDF;PL	NUM;MASC;SG
хиляди	אלפים	хиляда	אלפים	N;INDF;FEM;PL	NUM;MASC;PL
гвинея	גיני	гвинея	גיני	N;INDF;FEM;SG	PROPN
гвинея	גינאה	гвинея	גינאה	N;INDF;FEM;SG	PROPN
такъв	כזאת	такъв	כזאת	DET;MASC;SG	
такъв	כזה	такъв	כזה	DET;MASC;SG	
такъв	כזו	такъв	כזו	DET;MASC;SG	
такъв	כאלה	такъв	כאלה	DET;MASC;SG	PROPN
храм	מקדש	храм	מקדש	N;INDF;MASC;SG	PROPN
храм	המקדש	храм	המקדש	N;INDF;MASC;SG	PROPN
горна	העליונה	горен	העליונה	ADJ;INDF;FEM;SG	PROPN
отказва	מסרבת	отказвам-(се)	סירב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP;ACT
отказва	מסרב	отказвам-(се)	סירב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP;ACT
отказва	סירבה	отказвам-(се)	סירב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;3;PST;ACT
отказва	סרבו	отказвам-(се)	סרבה	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PL;3;PST;ACT
отказва	סירבו	отказвам-(се)	סירב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PL;3;PST;ACT
отказва	סרב	отказвам-(се)	סרב	V;IPFV;IND;SG;3;PRS;FIN;ACT	
отказва	סירב	отказвам-(се)	סירב	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;3;PST;ACT
постепенно	הדרגתי	постепенно	הדרגתי	ADV	ADJ;MASC;SG
постепенно	בהדרגה	постепенно	בהדרגה	ADV	
построена	בנויה	построя-(се)	בנה	V;PFV;INDF;FEM;SG;V.PTCP;PASS	ADJ;FEM;SG
построена	נבנתה	построя-(се)	נבנה	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;FEM;SG;3;PST;MID
построена	נבנה	построя-(се)	נבנה	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;SG;3;PST;MID
построена	בנה	построя-(се)	בנה	V;PFV;INDF;FEM;SG;V.PTCP;PASS	
построена	בנוי	построя-(се)	בנה	V;PFV;INDF;FEM;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP;ACT
забележителности	כוונת	забележителност	כוונה	N;INDF;FEM;PL	N;FEM;SG
интернет	אינטרנט	интернет	אינטרנט	N;INDF;MASC;SG	
интернет	האינטרנט	интернет	האינטרנט	N;INDF;MASC;SG	PROPN
американска	אמריקאים	американски	אמריקני	ADJ;INDF;FEM;SG	N;MASC;PL
американска	אמריקני	американски	אמריקני	ADJ;INDF;FEM;SG	PROPN
американска	אמריקאית	американски	אמריקני	ADJ;INDF;FEM;SG	ADV
римска	רומן	римски	רומן	ADJ;INDF;FEM;SG	PROPN
римска	רומי	римски	רומי	ADJ;INDF;FEM;SG	PROPN
океан	האוקיינוס	океан	האוקיינוס	N;INDF;MASC;SG	PROPN
победи	פעימה	победа	פעים	N;INDF;FEM;PL	N;FEM;SG
победи	מנצח	победа	מנצח	N;INDF;FEM;PL	N;MASC;SG
победи	לנצח	победа	ניצח	N;INDF;FEM;PL	V;NFIN;ACT
победи	הניצחונות	победа	הניצחון	N;INDF;FEM;PL	PROPN
елена	הלנה	елен	הלנה	PROPN;INDF;FEM;SG	PROPN
елена	אלנה	елен	אלנה	PROPN;INDF;FEM;SG	PROPN
елена	ילנה	елен	ילן	PROPN;INDF;FEM;SG	PROPN
роли	רולי	рола	רולי	N;INDF;FEM;PL	PROPN
роли	רולי	рола	רולי	N;INDF;FEM;PL	PROPN
роли	לחמנייה	рола	לחמנייה	N;INDF;FEM;PL	N;FEM;SG
роли	רולס	рола	רולס	N;INDF;FEM;PL	PROPN
лудвиг	לודוויג	лудвиг	לודוויג	PROPN;INDF;MASC;SG	PROPN
космически	קוסמי	космически	קוסמי	ADJ;INDF;MASC;SG	PROPN
космически	קוסמית	космически	קוסמי	ADJ;INDF;MASC;SG	ADV
представя	מתנות	представям-(се)	מתנה	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;FEM;PL
сграда	בונה	сграда	בנה	N;INDF;FEM;SG	
македонски	מקדוני	македонски	מקדוני	PROPN;INDF;MASC;SG	PROPN
виж	ראי	видя-(се)	ראי	V;PFV;IMP;SG;2;FIN	
виж	רואה	видя-(се)	ראה	V;PFV;IMP;SG;2;FIN	V;MASC;SG;V.PTCP;ACT
виж	ראה	видя-(се)	ראה	V;PFV;IMP;SG;2;FIN	V;MASC;SG;3;PST;ACT
виж	תראי	видя-(се)	תראי	V;PFV;IMP;SG;2;FIN	V;SG;1;FUT;ACT
виж	תראה	видя-(се)	תראה	V;PFV;IMP;SG;2;FIN	V;MASC;SG;3;FUT
виж	תראו	видя-(се)	ראה	V;PFV;IMP;SG;2;FIN	
югославия	יוגוסלביה	югославия	יוגוסלביה	PROPN;INDF;FEM;SG	PROPN
епископ	בישופ	епископ	בישופ	N;INDF;MASC;SG	PROPN
епископ	בישוף	епископ	בישוף	N;INDF;MASC;SG	PROPN
северно	הצפון	северно	הצפון	ADV	PROPN
северно	צפון	северно	צפון	ADV	N;MASC;SG
георгиев	גאורגייב	георгиев	גאורגייב	PROPN;INDF;MASC;SG	PROPN
острова	אי	острова	אי	N;DEF;MASC;SG	ADV
острова	האי	острова	האי	N;DEF;MASC;SG	
морски	ימית	морски	ימית	ADJ;INDF;MASC;SG	PROPN
морски	נחת	морски	נחת	ADJ;INDF;MASC;SG	
морски	ימית	морски	ימית	ADJ;INDF;MASC;SG	PROPN
черна	השחור	чер	השחור	ADJ;INDF;FEM;SG	
черна	black	чер	black	ADJ;INDF;FEM;SG	
високо	גבוה	високо	גבוה	ADV	ADJ;MASC;SG
високо	גבוהה	високо	גבוה	ADV	ADJ;FEM;SG
използвани	משומש	използвам	משומש	V;IPFV;INDF;PL;V.PTCP;PASS	V;MASC;SG;V.PTCP;PASS
използвани	בשימוש	използвам	בשימוש	V;IPFV;INDF;PL;V.PTCP;PASS	PROPN
системата	המערכת	система	המערך	N;DEF;FEM;SG	
революция	המהפכה	революция	המהפכה	N;INDF;FEM;SG	PROPN
пример	דוגמא	пример	דוגמה	N;INDF;MASC;SG	
пример	לדוגמה	пример	לדוגמה	N;INDF;MASC;SG	PROPN
луи	לואי	луя	לואי	N;INDF;MASC;SG	PROPN
луи	לואיס	луя	לואיס	N;INDF;MASC;SG	PROPN
луи	לואי	луя	לואי	N;INDF;MASC;SG	PROPN
олимпийски	אולימפי	олимпийски	אולימפי	PROPN;INDF;MASC;SG	PROPN
олимпийски	האולימפי	олимпийски	האולימפי	PROPN;INDF;MASC;SG	PROPN
колумбия	קולומביה	колумбия	קולומביה	PROPN;INDF;FEM;SG	PROPN
колумбия	קולומביה	колумбия	קולומביה	PROPN;INDF;FEM;SG	PROPN
полски	פוליש	полски	פוליש	ADJ;INDF;MASC;SG	PROPN
полски	לק	полски	לק	ADJ;INDF;MASC;SG	
полски	פולני	полски	פולני	ADJ;INDF;MASC;SG	PROPN
полски	הברקה	полски	הברקה	ADJ;INDF;MASC;SG	N;FEM;SG
радио	רדיו	радио	רדיו	N;INDF;NEUT;SG	
национална	לאומי	национален	לאומי	ADJ;INDF;FEM;SG	PROPN
национална	לאומית	национален	לאומי	ADJ;INDF;FEM;SG	ADV
политическа	פוליטיות	политически	פוליטי	ADJ;INDF;FEM;SG	ADJ;FEM;PL
политическа	פוליטית	политически	פוליטי	ADJ;INDF;FEM;SG	ADV
политическа	פוליטי	политически	פוליטי	ADJ;INDF;FEM;SG	N;MASC;SG
сръбски	סרבי	сръбски	סרבי	ADJ;INDF;MASC;SG	PROPN
сръбски	סרבי	сръбски	סרבי	ADJ;INDF;MASC;SG	PROPN
маса	השולחן	маса	השולחן	N;INDF;FEM;SG	PROPN
маса	מיסה	маса	מיסה	N;INDF;FEM;SG	PROPN
маса	מסת	маса	מסת	N;INDF;FEM;SG	PROPN
обекти	אובייקט	обект	אובייקט	N;INDF;MASC;PL	N;MASC;SG
робърт	רוברט	робърт	רוברט	PROPN;INDF;MASC;SG	PROPN
борба	נלחם	борба	נלחם	N;INDF;FEM;SG	V;MASC;SG;MID
борба	נלחמים	борба	נלחם	N;INDF;FEM;SG	V;MASC;PL;V.PTCP;MID
борба	הילחם	борба	הילחם	N;INDF;FEM;SG	PROPN
борба	להילחם	борба	נלחם	N;INDF;FEM;SG	V;NFIN;MID
направи	הפוך	направя-(се)	הפוך	V;PFV;IMP;SG;2;FIN	
практика	להתאמן	практика	התאמן	N;INDF;FEM;SG	V;NFIN
епоха	עידן	епоха	עידן	N;INDF;FEM;SG	PROPN
швейцария	שוויץ	швейцария	שווייץ	PROPN;INDF;FEM;SG	PROPN
швейцария	שווייץ	швейцария	שווייץ	PROPN;INDF;FEM;SG	PROPN
швейцария	שוויצרי	швейцария	שוויצרי	PROPN;INDF;FEM;SG	PROPN
военно	צבא	военен	צבא	ADV	N;MASC;SG
военно	צבאי	военен	צבאי	ADV	ADJ;MASC;SG
средно	ממוצע	средно	ממוצע	ADV	N;MASC;SG
средно	הממוצע	средно	הממוצע	ADV	PROPN
средно	בינוני	средно	בינוני	ADV	ADJ;MASC;SG
средно	מדיום	средно	מדיום	ADV	N;MASC;SG
средно	מדיה	средно	מדיה	ADV	N;MASC;SG
средно	בינונית	средно	בינוני	ADV	ADJ;FEM;SG
специално	ובפרט	специално	ובפרט	ADV	PROPN
специално	ספיישל	специално	ספיישל	ADV	PROPN
специално	מיוחדת	специално	מיוחד	ADV	ADJ;FEM;SG
специално	מיוחדים	специално	מיוחד	ADV	ADJ;MASC;PL
специално	מיוחדות	специално	מיוחד	ADV	ADJ;FEM;PL
специално	מיוחד	специално	מיוחד	ADV	ADJ;MASC;SG
материали	חומר	материал	חומר	N;INDF;MASC;PL	N;MASC;SG
материали	חומרי	материал	חומרי	N;INDF;MASC;PL	ADJ;MASC;PL
материали	חומר	материал	חומר	N;INDF;MASC;PL	N;MASC;SG
число	המספר	число	המספר	N;INDF;NEUT;SG	PROPN
течение	לופ	течение	לופ	N;INDF;NEUT;SG	PROPN
поема	שיר	поемам	שיר	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;SG
берлин	ברלין	берлин	ברלין	N;INDF;MASC;SG	PROPN
солун	סלוניקי	солун	סלוניקי	PROPN;INDF;MASC;SG	PROPN
целта	יעד	цел	יעד	N;DEF;FEM;SG	
целта	המטרה	цел	המטרה	N;DEF;FEM;SG	PROPN
саксония	סקסה	саксония	סקסה	PROPN;INDF;FEM;SG	PROPN
саксония	סקסוניה	саксония	סקסוניה	PROPN;INDF;FEM;SG	PROPN
началник	ראשי	началник	ראש	N;INDF;MASC;SG	N;PSSD;MASC;PL
класиране	מיון	класиране	מיון	N;INDF;NEUT;SG	
посока	הכיוון	посока	הכיוון	N;INDF;FEM;SG	PROPN
посока	כיוון	посока	כיוון	N;INDF;FEM;SG	
посока	היעד	посока	היעד	N;INDF;FEM;SG	
посока	ליעד	посока	ליעד	N;INDF;FEM;SG	PROPN
посока	יעד	посока	יעד	N;INDF;FEM;SG	
проекта	פרוייקט	проект	פרוייקט	N;DEF;MASC;SG	PROPN
сам	לבדי	сам	לבדי	N;INDF;MASC;SG	
сам	לבדו	сам	לבד	N;INDF;MASC;SG	
сам	לבד	сам	לבד	N;INDF;MASC;SG	
сам	סם	сам	סם	N;INDF;MASC;SG	
сам	סאם	сам	סאם	N;INDF;MASC;SG	
нищо	כלום	никой	כלום	PRO;NOM;INDF;NEUT;SG	N;MASC;SG
стоянов	סטויאנוב	стоянов	סטויאנוב	PROPN;INDF;MASC;SG	PROPN
играч	נגן	играч	נגן	N;INDF;MASC;SG	
широко	רחבה	широко	רחבה	ADV	N;FEM;SG
широко	רחב	широко	רחב	ADV	
използван	בשימוש	използвам	בשימוש	V;IPFV;INDF;MASC;SG;V.PTCP;PASS	PROPN
принос	קלט	принос	קלט	N;INDF;MASC;SG	
принос	הקלט	принос	הקלט	N;INDF;MASC;SG	
ото	אוטו	ото	אוטו	PROPN;INDF;MASC;SG	PROPN
неговият	שלו	мой	של	DET;DEF;MASC;SG;3	
публикува	פרסומים	публикувам	פרסום	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;MASC;PL
публикува	פרסם	публикувам	פרסם	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;3;PST;ACT
библиотека	הספרייה	библиотека	הספרייה	N;INDF;FEM;SG	PROPN
скорост	ספיד	скорост	ספיד	N;INDF;FEM;SG	PROPN
редовни	רגילה	редовен	רגיל	ADJ;INDF;PL	ADJ;FEM;SG
редовни	סדיר	редовен	סדיר	ADJ;INDF;PL	
редовни	רגיל	редовен	רגיל	ADJ;INDF;PL	ADJ;MASC;SG
редовни	קבוע	редовен	קבוע	ADJ;INDF;PL	ADJ;MASC;SG
редовни	הקבועים	редовен	הקבוע	ADJ;INDF;PL	N;MASC;PL
съветски	הסובייטי	съветски	הסובייטי	ADJ;INDF;MASC;SG	PROPN
съветски	סובייטי	съветски	סובייטי	ADJ;INDF;MASC;SG	PROPN
ръководител	מפקחת	ръководител	פיקח	N;INDF;MASC;SG	V;FEM;SG;V.PTCP;ACT
последен	אחרונות	последен	אחרון	ADJ;INDF;MASC;SG	N;FEM;PL
последен	האחרון	последен	האחרון	ADJ;INDF;MASC;SG	PROPN
последен	אחרונים	последен	אחרון	ADJ;INDF;MASC;SG	ADJ;MASC;PL
руско	רוסייה	руско	רוסייה	ADV	PROPN
руско	רוסית	руско	רוסית	ADV	PROPN
руско	רוסי	руско	רוסי	ADV	N;MASC;SG
южен	דרומי	южен	דרומי	N;INDF;MASC;SG	PROPN
южен	דרומית	южен	דרומי	N;INDF;MASC;SG	ADV
южен	הדרומי	южен	הדרום	N;INDF;MASC;SG	PROPN
южен	דרומה	южен	דרומה	N;INDF;MASC;SG	
южен	הדרום	южен	הדרום	N;INDF;MASC;SG	
открити	התגלתה	открит	התגלה	ADJ;INDF;PL	V;FEM;SG;3;PST
открити	שהתגלה	открит	שהגלל	ADJ;INDF;PL	V;MASC;SG;3;PST
открити	גילו	открит	גילה	ADJ;INDF;PL	V;PL;3;PST;ACT
открити	גילה	открит	גילה	ADJ;INDF;PL	V;MASC;SG;3;PST;ACT
открити	התגלה	открит	התגלה	ADJ;INDF;PL	V;MASC;SG;3;PST
световно	גלובל	световен	גלובל	ADV	PROPN
световно	גלובלי	световен	גלובלי	ADV	PROPN
партии	מסיבות	партия	מסיבה	N;INDF;FEM;PL	
открит	גילו	открия-(се)	גילה	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PL;3;PST;ACT
открит	גילה	открия-(се)	גילה	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;3;PST;ACT
открит	נמצא	открия-(се)	נמצא	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP;MID
открит	נמצאו	открия-(се)	נמצא	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PL;3;PST;MID
открит	נמצאה	открия-(се)	נמצא	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;SG;3;PST;MID
открит	מצאתי	открия-(се)	מצא	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;SG;1;PST;ACT
открит	מצא	открия-(се)	מצא	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;3;PST;ACT
виена	וינה	виен	וינה	PROPN;INDF;FEM;SG	PROPN
южно	דרום	южен	דרום	ADV	N;MASC;SG
южно	דרומה	южен	דרומה	ADV	
южно	הדרום	южен	הדרום	ADV	
училището	לימודים	училище	לימודים	N;DEF;NEUT;SG	N;MASC;PL
обект	האובייקט	обект	האובייקט	N;INDF;MASC;SG	PROPN
територии	טריטוריה	територия	טריטוריה	N;INDF;FEM;PL	N;FEM;SG
бог	אלהים	бог	אלהים	N;INDF;MASC;SG	PROPN
бог	אלוקים	бог	אלוק	N;INDF;MASC;SG	N;MASC;PL
футболен	כדורגל	футболен	כדורגל	ADJ;INDF;MASC;SG	N;MASC;SG
футболен	פוטבול	футболен	None	ADJ;INDF;MASC;SG	PROPN
издателство	מפרסם	издателство	פרסם	N;INDF;NEUT;SG	V;MASC;SG;V.PTCP;ACT
долината	עמק	долина	עמק	N;DEF;FEM;SG	
