から	no	から	no	CONJ	
内部	iekšējais	内部	iekšējs	N	ADJ;NOM;MASC;SG
内部	iekšēja	内部	iekšēja	N	ADJ;NOM;FEM;SG
内部	iekšējs	内部	iekšējs	N	ADJ;NOM;MASC;SG
内部	iekšējie	内部	iekšējs	N	ADJ;NOM;MASC;PL
グリーン	zaļas	グリーン	zaļa	N	ADJ;NOM;FEM;PL
グリーン	zaļa	グリーン	zaļš	N	ADJ;NOM;FEM;SG
グリーン	zaļā	グリーン	zaļš	N	ADJ;NOM;FEM;SG
グリーン	zaļš	グリーン	zaļš	N	ADJ;NOM;MASC;SG
グリーン	zaļi	グリーン	zaļš	N	ADJ;NOM;MASC;PL
消滅	izzušana	消滅	izzušana	V	N;NOM;FEM;SG
消滅	izmiršanas	消滅	izmiršana	V	N;NOM;FEM;SG
再	atsākt	再	atsākt	N	V;POS;NFIN
再	atsāk	再	atsākt	N	V;FH;IND;2;POS;PRS;FIN;ACT
再	atsākt	再	atsākt	N	V;POS;NFIN
再	atsāk	再	atsākt	N	V;FH;IND;2;POS;PRS;FIN;ACT
ミニ	mini	ミニ	mīt	N	
いくつか	dažas	いくつか	daža	ADV	PRO;NOM;FEM;PL
いくつか	dažiem	いくつか	dažs	ADV	PRO;DAT;MASC;PL
いくつか	daži	いくつか	dažs	ADV	PRO;NOM;MASC;PL
アカデミー	academy	アカデミー	academy	N	
合意	vienprātība	合意	vienprātība	V	N;NOM;FEM;SG
合意	vienošanās	合意	vienošanās	V	N;NOM;FEM;SG
合意	nolīgumu	合意	nolīgums	V	N;ACC;MASC;SG
合意	nolīgums	合意	nolīgums	V	N;NOM;MASC;SG
改善	uzlabošana	改善	uzlabošana	V	N;NOM;FEM;SG
改善	uzlabošanās	改善	uzlabošanās	V	N;NOM;FEM;SG
改善	uzlabošana	改善	uzlabošana	V	N;NOM;FEM;SG
改善	uzlabojums	改善	uzlabojums	V	N;NOM;MASC;SG
改善	uzlabojumi	改善	uzlabojums	V	N;NOM;MASC;PL
ブラジル	brazīlija	ブラジル	brazīlija	PROPN	PROPN;NOM;FEM;SG
ブラジル	brazīlijas	ブラジル	brazīlija	PROPN	PROPN;NOM;FEM;SG
ブラジル	brazīlijas	ブラジル	brazīlija	PROPN	PROPN;NOM;FEM;SG
審査	pārskatīt	審査	pārskatīt	N	V;POS;NFIN
ダン	dens	ダン	dens	PROPN	PROPN
ダン	dan	ダン	dan	PROPN	
観測	novērošana	観測	novērošana	V	N;NOM;FEM;SG
観測	novērojums	観測	novērojums	V	N;NOM;MASC;SG
観測	novērojumu	観測	novērojums	V	N;ACC;MASC;SG
観測	novērojumi	観測	novērojums	V	N;NOM;MASC;PL
観測	piezīmes	観測	piezīme	V	N;NOM;FEM;PL
観測	novērojumi	観測	novērojums	V	N;NOM;MASC;PL
観測	novērojumus	観測	novērojums	V	N;ACC;MASC;PL
観測	apsvērumi	観測	apsvērums	V	N;NOM;MASC;PL
シャー	shah	シャー	shah	PROPN	
巨大	milzīgi	巨大	milzīgs	ADJ	ADV
巨大	milzu	巨大	milzu	ADJ	N
命令	instrukcija	命令	instrukcija	V	N;NOM;FEM;SG
命令	norādījums	命令	norādījums	V	N;NOM;MASC;SG
命令	rīkojumi	命令	rīkojums	V	N;NOM;MASC;PL
命令	pasūtījumu	命令	pasūtījums	V	N;ACC;MASC;SG
命令	pavēle	命令	pavēle	V	N;NOM;FEM;SG
命令	pasūtījumi	命令	pasūtījums	V	N;NOM;MASC;PL
命令	pasūtījumus	命令	pasūtījums	V	N;ACC;MASC;PL
ジャン	žans	ジャン	žans	PROPN	PROPN;NOM;MASC;SG
ジャン	džīna	ジャン	džīna	PROPN	PROPN;NOM;FEM;SG
旅行	braucieni	旅行	brauciens	V	N;NOM;MASC;PL
旅行	ceļošana	旅行	ceļošana	V	N;NOM;FEM;SG
旅行	ceļojumi	旅行	ceļojums	V	N;NOM;MASC;PL
旅行	brauciens	旅行	brauciens	V	N;NOM;MASC;SG
旅行	ceļojums	旅行	ceļojums	V	N;NOM;MASC;SG
旅行	braucienā	旅行	brauciens	V	N;ESS;MASC;SG
旅行	brauciens	旅行	brauciens	V	N;NOM;MASC;SG
旅行	ceļojums	旅行	ceļojums	V	N;NOM;MASC;SG
旅行	ceļošana	旅行	ceļošana	V	N;NOM;FEM;SG
旅行	braucieni	旅行	brauciens	V	N;NOM;MASC;PL
旅行	trips	旅行	trips	V	
旅行	ceļojumi	旅行	ceļojums	V	N;NOM;MASC;PL
ルー	lū	ルー	lū	N	
少ない	mazāk	少ない	mazi	ADJ	ADV;CMPR
比較	salīdzinājumi	比較	salīdzinājums	V	N;NOM;MASC;PL
ダンス	dejo	ダンス	dejot	N	V;FH;IND;3;POS;PRS;FIN;ACT
ダンス	dejot	ダンス	dejot	N	V;POS;NFIN
ダンス	dejo	ダンス	dejot	N	V;FH;IND;3;POS;PRS;FIN;ACT
プロデュース	ražot	プロデュース	ražot	N	V;POS;NFIN
セント	centi	セント	cents	PROPN	
セント	centu	セント	cents	PROPN	N;ACC;MASC;SG
セント	centi	セント	cents	PROPN	
ルート	maršruti	ルート	maršruti	PROPN	N;NOM;MASC;PL
ルート	ceļi	ルート	ceļš	PROPN	N;NOM;MASC;PL
ルート	maršrutus	ルート	maršruts	PROPN	N;ACC;MASC;PL
ルート	maršruts	ルート	maršruts	PROPN	N;NOM;MASC;SG
ルート	root	ルート	root	PROPN	N
ルート	sakne	ルート	sakne	PROPN	N;NOM;FEM;SG
ルート	saknes	ルート	sakne	PROPN	N;NOM;FEM;PL
わずか	nelieli	わずか	neliels	ADV	ADJ;NOM;MASC;PL
わずか	neliels	わずか	neliels	ADV	ADJ;NOM;MASC;SG
わずか	neliela	わずか	neliels	ADV	ADJ;NOM;FEM;SG
わずか	nelielas	わずか	neliela	ADV	ADJ;NOM;FEM;PL
到着	ierašanās	到着	ierašanās	V	N;NOM;FEM;SG
トラ	tīģeris	トラ	tīģeris	PROPN	N;NOM;MASC;SG
トラ	tīģeri	トラ	tīģeris	PROPN	N;ACC;MASC;SG
平和	miers	平和	miers	ADJ	N;NOM;MASC
平和	mieru	平和	miers	ADJ	N;ACC;MASC
平和	miera	平和	miers	ADJ	N;NOM;MASC
注意	piesardzība	注意	piesardzība	V	N;NOM;FEM;SG
注意	uzmanību	注意	uzmanība	V	N;ACC;FEM;SG
注意	uzmanība	注意	uzmanība	V	N;NOM;FEM;SG
注意	uzmanības	注意	uzmanība	V	N;NOM;FEM;PL
ドラゴン	pūķi	ドラゴン	pūķe	PROPN	N;NOM;MASC;PL
ドラゴン	pūķi	ドラゴン	pūķe	PROPN	N;NOM;MASC;PL
ドラゴン	pūķis	ドラゴン	pūķis	PROPN	N;NOM;MASC;SG
一度	reizi	一度	reize	ADV	N;ACC;FEM;SG
今日	šodien	今日	šodien	N	ADV
集合	uzstādīt	集合	uzstādīt	N	V;POS;NFIN
回転	rotācija	回転	rotācija	V	N;NOM;FEM;SG
テン	desmit	テン	desmit	N	NUM;PL
テン	ten	テン	ten	N	
秘密	noslēpumus	秘密	noslēpums		N;ACC;MASC;PL
秘密	noslēpumi	秘密	noslēpums		N;NOM;MASC;PL
秘密	secret	秘密	secret		
秘密	slepeni	秘密	slepenis		ADV
秘密	slepens	秘密	slepens		ADJ;NOM;MASC;SG
秘密	noslēpums	秘密	noslēpums		N;NOM;MASC;SG
秘密	slepenība	秘密	slepenība		N;NOM;FEM;SG
操作	darbības	操作	darbība	V	N;NOM;FEM;PL
操作	operācijas	操作	operācija	V	N;NOM;FEM;PL
操作	ekspluatācija	操作	ekspluatācija	V	N;NOM;FEM;SG
操作	darbība	操作	darbība	V	N;NOM;FEM;SG
操作	operācija	操作	operācija	V	N;NOM;FEM;SG
操作	ekspluatācija	操作	ekspluatācija	V	N;NOM;FEM;SG
残り	atlikušās	残り	atlikt	N	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
残り	atlikusī	残り	atlikt	N	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
残り	atlikušais	残り	atlikt	N	V;PFV;NOM;DEF;MASC;SG;PST;V.PTCP
一致	atbilstība	一致	atbilstība	V	N;NOM;FEM;SG
一致	sakritība	一致	sakritība	V	N;NOM;FEM;SG
一致	mača	一致	mačs	V	N;GEN;MASC;SG
オーストリア	austrijas	オーストリア	austrija	PROPN	PROPN;NOM;FEM;SG
オーストリア	austrija	オーストリア	austrija	PROPN	PROPN;NOM;FEM;SG
オーストリア	austrijas	オーストリア	austrija	PROPN	PROPN;NOM;FEM;SG
オーストリア	austrijā	オーストリア	austrija	PROPN	PROPN;ESS;FEM;SG
オーストリア	austriju	オーストリア	austrija	PROPN	PROPN;ACC;FEM;SG
山梨	jamanasi	山梨	jamanasis	PROPN	N;NOM;MASC;SG
ジャック	jack	ジャック	jack	N	
フィールド	laukā	フィールド	laukā	N	ADV
諸島	salas	諸島	sala	PROPN	N;NOM;FEM;PL
諸島	salām	諸島	sala	PROPN	N;DAT;FEM;PL
休止	apturēšana	休止	apturēšana	V	N;NOM;FEM;SG
休止	suspensijas	休止	suspensija	V	N;NOM;FEM;PL
休止	suspensija	休止	suspensija	V	N;NOM;FEM;SG
休止	pauze	休止	pauze	V	N;NOM;FEM;SG
高知	koči	高知	kočs	PROPN	
メキシコ	meksikas	メキシコ	meksika	PROPN	PROPN;NOM;FEM;SG
メキシコ	meksika	メキシコ	meksika	PROPN	N;NOM;FEM;SG
メキシコ	meksikas	メキシコ	meksika	PROPN	PROPN;NOM;FEM;SG
メキシコ	meksikā	メキシコ	meksika	PROPN	N;ESS;FEM;SG
フォード	fords	フォード	fords	PROPN	PROPN;NOM;MASC;SG
フォード	ford	フォード	ford	PROPN	
レポート	ziņot	レポート	ziņot	N	V;POS;NFIN
地図	kartē	地図	karte	V	N;ESS;FEM;SG
地図	karte	地図	karte	V	N;NOM;FEM;SG
地図	kartes	地図	karte	V	N;NOM;FEM;PL
ブリ	bri	ブリ	bri	N	
違反	pārkāpums	違反	pārkāpums	V	N;NOM;MASC;SG
違反	pārkāpumi	違反	pārkāpums	V	N;NOM;MASC;PL
違反	uzbrucēji	違反	uzbrucēt	V	N;NOM;MASC;PL
十分	pietiek	十分	pietikt	ADJ	V;FH;IND;3;POS;PRS;FIN;ACT
十分	pietiekami	十分	pietiekami	ADJ	ADV
十分	pietiks	十分	pietikt	ADJ	V;FH;IND;3;POS;FUT;FIN;ACT
改良	uzlabojumi	改良	uzlabojums	V	N;NOM;MASC;PL
ワイド	plašs	ワイド	plašs	N	ADJ;NOM;MASC;SG
ワイド	plaša	ワイド	plaša	N	ADJ;NOM;FEM;SG
ルイ	luiss	ルイ	luiss	PROPN	N;NOM;MASC;SG
ルイ	luis	ルイ	luis	PROPN	
ルイ	rui	ルイ	rui	PROPN	
ルイ	luī	ルイ	luī	PROPN	PROPN
曖昧	neskaidra	曖昧	neskaidrs		ADJ;NOM;FEM;SG
曖昧	neskaidrs	曖昧	neskaidrs		ADJ;NOM;MASC;SG
曖昧	nenoteikts	曖昧	nenoteikt		ADJ;NOM;MASC;SG
曖昧	neskaidrību	曖昧	neskaidrība		N;ACC;FEM;SG
録音	ierakstīšana	録音	ierakstīšana	V	N;NOM;FEM;SG
録音	reģistrēšana	録音	reģistrēšana	V	N;NOM;FEM;SG
録音	ierakstīšanas	録音	ierakstīšana	V	N;NOM;FEM;SG
録音	reģistrācija	録音	reģistrācija	V	N;NOM;FEM;SG
ニッポン	nippon	ニッポン	nippon	PROPN	
指名	izvirzīšanas	指名	izvirzīšana	V	N;NOM;FEM;PL
指名	nominācijas	指名	nominācija	V	N;NOM;FEM;PL
指名	izvirzīšana	指名	izvirzīšana	V	N;NOM;FEM;SG
指名	nomināciju	指名	nominācija	V	N;ACC;FEM;SG
冒険	piedzīvojumu	冒険	piedzīvojums	V	N;ACC;MASC;SG
冒険	piedzīvojums	冒険	piedzīvojums	V	N;NOM;MASC;SG
冒険	piedzīvojumi	冒険	piedzīvojums	V	N;NOM;MASC;PL
冒険	piedzīvojumiem	冒険	piedzīvojums	V	N;DAT;MASC;PL
冒険	piedzīvojumi	冒険	piedzīvojums	V	N;NOM;MASC;PL
バイパス	apiet	バイパス	apiet	PROPN	V;POS;NFIN
ワシントン	vašingtonas	ワシントン	vašingtona	PROPN	N;NOM;FEM;PL
マガジン	magazine	マガジン	magazine	N	
生命	life	生命	life	N	
執行	izpilde	執行	izpilde	V	N;NOM;FEM;SG
危険	bīstami	危険	bīstams	ADJ	ADV
危険	briesmas	危険	briesmas	ADJ	N;NOM;FEM
危険	draudi	危険	draude	ADJ	N;NOM;MASC
健康	veselīgi	健康	veselīgs	ADJ	ADV
健康	veselības	健康	veselība	ADJ	N;NOM;FEM;PL
健康	veselību	健康	veselība	ADJ	N;ACC;FEM;SG
健康	veselība	健康	veselība	ADJ	N;NOM;FEM;SG
愛媛	ehimes	愛媛	ehime	PROPN	N;NOM;FEM;PL
わか	waka	わか	vaka		
対立	konflikts	対立	konflikts	V	N;NOM;MASC;SG
対立	konflikti	対立	konflikts	V	N;NOM;MASC;PL
香川	kagavas	香川	kagava	PROPN	N;NOM;FEM;PL
タン	tan	タン	tan	N	
ベン	bens	ベン	bens	PROPN	PROPN;NOM;MASC;SG
ベン	ben	ベン	ben	PROPN	
ドン	dons	ドン	dons	N	PROPN;NOM;MASC;SG
ドン	don	ドン	don	N	
ダイレクト	tiešā	ダイレクト	tieša	N	ADJ;NOM;FEM;SG
ダイレクト	tiešs	ダイレクト	tiešs	N	ADJ;NOM;MASC;SG
ダイレクト	tiešais	ダイレクト	tiešais	N	ADJ;NOM;MASC;SG
ダイレクト	direct	ダイレクト	direct	N	
ダイレクト	tieša	ダイレクト	tieša	N	ADJ;NOM;FEM;SG
審議	apspriede	審議	apspriede	V	N;NOM;FEM;SG
スウェーデン	zviedrija	スウェーデン	zviedrija	PROPN	PROPN;NOM;FEM;SG
ミス	garām	ミス	garām	N	ADV
ミス	pietrūkst	ミス	pietrūkt	N	V;FH;IND;3;POS;PRS;FIN;ACT
ミス	miss	ミス	miss	N	
ロバート	roberts	ロバート	roberts	PROPN	PROPN;NOM;MASC;SG
わら	salmi	わら	salme		N;NOM;MASC;PL
佐賀	saga	佐賀	saga	PROPN	
実行	izpilde	実行	izpilde	V	N;NOM;FEM;SG
始める	sākums	始める	sākums	V	N;NOM;MASC;SG
始める	starts	始める	starts	V	N;NOM;MASC;SG
有効	aktivizēta	有効	aktivizēt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
有効	ieslēgts	有効	ieslēgt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
有効	ieslēgti	有効	ieslēgt	ADJ	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
有効	aktivizēts	有効	aktivizēt	ADJ	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
有効	ieslēgta	有効	ieslēgt	ADJ	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
有効	ļāva	有効	ļaut	ADJ	V;FH;IND;3;POS;PST;FIN;ACT
有効	derīgi	有効	derīgi	ADJ	ADV
有効	spēkā	有効	spēks	ADJ	N;ESS;MASC;SG
フラン	franku	フラン	franka	PROPN	PROPN;ACC;MASC;SG
フラン	frena	フラン	frens	PROPN	N;NOM;MASC;SG
パワー	power	パワー	powērēt	N	
サポート	atbalstu	サポート	atbalsts	V	N;ACC;MASC;SG
サポート	atbalsts	サポート	atbalsts	V	N;NOM;MASC;SG
音声	runā	音声	runāt	N	V;FH;IND;2;POS;PRS;FIN;ACT
うた	uta	うた	uta	N	
トロ	toro	トロ	torot	PROPN	
学習	mācīšanās	学習	mācīšanās	V	N;NOM;FEM;SG
スコア	score	スコア	score	N	
四国	šikoku	四国	šikoks	PROPN	N;ACC;MASC;SG
人生	life	人生	life	N	
コピー	kopiju	コピー	kopija	V	N;ACC;FEM;SG
コピー	eksemplārs	コピー	eksemplārs	V	N;NOM;MASC;SG
コピー	kopija	コピー	kopija	V	N;NOM;FEM;SG
コピー	kopijas	コピー	kopija	V	N;NOM;FEM;PL
コピー	eksemplāri	コピー	eksemplāri	V	ADJ;NOM;MASC;PL
コピー	kopēšana	コピー	kopēšana	V	N;NOM;FEM;SG
コピー	kopēšanas	コピー	kopēšana	V	N;NOM;FEM;PL
希望	cerības	希望	cerība	V	N;NOM;FEM;PL
希望	cerību	希望	cerība	V	N;ACC;FEM;SG
希望	cerības	希望	cerība	V	N;NOM;FEM;PL
希望	cerība	希望	cerība	V	N;NOM;FEM;SG
マリア	marija	マリア	marija	PROPN	N;NOM;FEM;SG
ジェイ	sīlis	ジェイ	sīlis	PROPN	N;NOM;MASC;SG
練習	trenēties	練習	trenēties	N	V;POS;REFL;NFIN
燃料	kurināmais	燃料	kurināt	N	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
燃料	kurināmais	燃料	kurināt	N	V;NOM;DEF;MASC;SG;PRS;V.PTCP;PASS
再生	atskaņošanas	再生	atskaņošana	V	N;NOM;FEM;SG
再生	rehabilitācija	再生	rehabilitācija	V	N;NOM;FEM;SG
再生	rehabilitācijas	再生	rehabilitācija	V	N;NOM;FEM;PL
撤退	atsaukšana	撤退	atsaukšana	V	N;NOM;FEM;SG
撤退	atsaukšanu	撤退	atsaukšana	V	N;ACC;FEM;SG
撤退	izstāšanās	撤退	izstāšanās	V	N;NOM;FEM;SG
撤退	anulēšana	撤退	anulēšana	V	N;NOM;FEM;SG
歴代	secīgi	歴代	secīgi	N	ADV
歴代	secīgas	歴代	secīga	N	ADJ;NOM;FEM;PL
無料	brīva	無料	brīva	N	ADJ;NOM;FEM;SG
無料	free	無料	free	N	
無料	brīvs	無料	brīvs	N	ADJ;NOM;MASC;SG
ジャンプ	lec	ジャンプ	lect	N	V;IMP;SG;2;POS;FIN;ACT
ジャンプ	nolec	ジャンプ	nolect	N	V;FH;IND;3;POS;PRS;FIN;ACT
ソウル	seulas	ソウル	seula	PROPN	PROPN;NOM;FEM;SG
ソウル	dvēseli	ソウル	dvēselis	PROPN	N;ACC;MASC;SG
ソウル	dvēsele	ソウル	dvēsele	PROPN	N;NOM;FEM;SG
期待	gaidas	期待	gaidīties	V	N;NOM;FEM;PL
期待	cerības	期待	cerība	V	N;NOM;FEM;PL
期待	gaidas	期待	gaidīties	V	N;NOM;FEM;PL
困難	grūtības	困難	grūtības	ADJ	N;NOM;FEM
困難	grūtības	困難	grūtības	ADJ	N;NOM;FEM
供給	piegāde	供給	piegāde	V	N;NOM;FEM;SG
供給	piedāvājums	供給	piedāvājums	V	N;NOM;MASC;SG
供給	apgāde	供給	apgāde	V	N;NOM;FEM;SG
記憶	atmiņa	記憶	atmiņa	V	N;NOM;FEM;SG
記憶	atmiņas	記憶	atmiņas	V	N;NOM;FEM
早稲田	waseda	早稲田	vaseda	PROPN	PROPN;NOM;FEM;SG
まとめ	kopsavilkums	まとめる	kopsavilkums	V	N;NOM;MASC;SG
はい	jā	はく	jā	CONJ	PART
北京	pekinas	北京	pekinas	PROPN	N;NOM;FEM;PL
北京	pekinā	北京	pekināt	PROPN	PROPN
北京	pekinas	北京	pekinas	PROPN	N;NOM;FEM;PL
引用	citāts	引用	citāts	V	N;NOM;MASC;SG
引用	citātiem	引用	citāts	V	N;DAT;MASC;PL
引用	citāts	引用	citāts	V	N;NOM;MASC;SG
サイド	side	サイド	side	N	
トリ	torija	トリ	torija	PROPN	N;NOM;MASC;SG
原則	principi	原則	princips	V	N;NOM;MASC;PL
ラブ	mīli	ラブ	mīlēt	N	V;IMP;SG;2;POS;FIN;ACT
ラブ	love	ラブ	love	N	
ラブ	mīlu	ラブ	mīlēt	N	V;FH;IND;SG;1;POS;PRS;FIN;ACT
信頼	uzticību	信頼	uzticība	V	N;ACC;FEM;SG
信頼	pārliecība	信頼	pārliecība	V	N;NOM;FEM;SG
信頼	uzticība	信頼	uzticība	V	N;NOM;FEM;SG
信頼	uzticēšanās	信頼	uzticēšanās	V	N;NOM;FEM;SG
信頼	uzticēšanās	信頼	uzticēšanās	V	N;NOM;FEM;SG
信頼	uzticība	信頼	uzticība	V	N;NOM;FEM;SG
信頼	uzticību	信頼	uzticība	V	N;ACC;FEM;SG
分析	analīzes	分析	analīze	V	N;NOM;FEM;PL
分析	analīzi	分析	analīze	V	N;ACC;FEM;SG
分析	analīze	分析	analīze	V	N;NOM;FEM;SG
ベルリン	berlīnē	ベルリン	berlīnēt	PROPN	PROPN;ESS;FEM;SG
ベルリン	berlīne	ベルリン	berlīne	PROPN	N;NOM;FEM;SG
ベルリン	berlīnes	ベルリン	berlīne	PROPN	N;NOM;FEM;PL
ベルリン	berlin	ベルリン	berlin	PROPN	
同時	vienlaikus	同時	vienlaikus	N	ADV
同時	vienlaicīga	同時	vienlaicīga	N	ADJ;NOM;FEM;SG
中野	nakano	中野	nakanot	PROPN	PROPN
ルイス	luiss	ルイス	luiss	PROPN	N;NOM;MASC;SG
ルイス	lūiss	ルイス	lūiss	PROPN	N;NOM;MASC;SG
ルイス	luiss	ルイス	luiss	PROPN	N;NOM;MASC;SG
ルイス	luis	ルイス	luis	PROPN	
計算	aprēķini	計算	aprēķināt	V	N;NOM;MASC;PL
計算	aprēķins	計算	aprēķins	V	N;NOM;MASC;SG
計算	aprēķināšana	計算	aprēķināšana	V	N;NOM;FEM;SG
計算	aprēķins	計算	aprēķins	V	N;NOM;MASC;SG
計算	aprēķināšana	計算	aprēķināšana	V	N;NOM;FEM;SG
計算	aprēķināšana	計算	aprēķināšana	V	N;NOM;FEM;SG
バイ	bye	バイ	bye	N	
バイ	atā	バイ	ats	N	INTJ
意識	apziņa	意識	apziņa	V	N;NOM;FEM;SG
意識	samaņas	意識	samaņa	V	N;NOM;FEM;PL
許可	atļauja	許可	atļauja	V	N;NOM;FEM;SG
許可	atļauja	許可	atļauja	V	N;NOM;FEM;SG
回復	atgūšanās	回復	atgūšanās	V	N;NOM;FEM;SG
回復	atveseļošanās	回復	atveseļošanās	V	N;NOM;FEM;SG
回復	atveseļošanas	回復	atveseļošana	V	N;GEN;FEM;SG
回復	atgūšana	回復	atgūšana	V	N;NOM;FEM;SG
回復	reģenerācija	回復	reģenerācija	V	N;NOM;FEM;SG
拡張	paplašinājumi	拡張	paplašinājums	V	N;NOM;MASC;PL
ハート	heart	ハート	heart	N	
ハート	hart	ハート	hart	N	
固定	fiksācijas	固定	fiksācija	V	N;NOM;FEM;PL
マイケル	maikls	マイケル	maikls	PROPN	PROPN;NOM;MASC;SG
マイケル	michael	マイケル	michael	PROPN	
占領	profesija	占領	profesija	V	N;NOM;FEM;SG
占領	nodarbošanās	占領	nodarbošanās	V	N;NOM;FEM;SG
占領	okupācijas	占領	okupācija	V	N;NOM;FEM;PL
出現	parādīšanās	出現	parādīšanās	V	N;NOM;FEM;SG
出現	izšķilšanās	出現	izšķilšanās	V	N;NOM;FEM;SG
準備	pagatavošana	準備	pagatavošana	V	N;NOM;FEM;SG
準備	preparāts	準備	preparāts	V	N;NOM;MASC;SG
準備	sagatavošana	準備	sagatavošana	V	N;NOM;FEM;SG
準備	gatavošanās	準備	gatavošanās	V	N;NOM;FEM;SG
準備	sagatavošanās	準備	sagatavošanās	V	N;NOM;FEM;SG
準備	sagatavošana	準備	sagatavošana	V	N;NOM;FEM;SG
アート	art	アート	art	N	
スイス	šveice	スイス	šveice	PROPN	
スイス	šveicē	スイス	šveice	PROPN	PROPN;ESS;FEM;SG
スイス	šveices	スイス	šveice	PROPN	PROPN;NOM;FEM;SG
除去	eliminācija	除去	eliminācija	V	N;NOM;FEM;SG
除去	izvadīšana	除去	izvadīšana	V	N;NOM;FEM;SG
除去	likvidēšana	除去	likvidēšana	V	N;NOM;FEM;SG
除去	izņemšanas	除去	izņemšana	V	N;NOM;FEM;PL
除去	pārcelšanās	除去	pārcelšanās	V	N;NOM;FEM;SG
除去	noņemšana	除去	noņemšana	V	N;NOM;FEM;SG
除去	izņemšana	除去	izņemšana	V	N;NOM;FEM;SG
崩壊	sabrukumu	崩壊	sabrukums	V	N;ACC;MASC;SG
崩壊	sabrukums	崩壊	sabrukums	V	N;NOM;MASC;SG
崩壊	sabrukuma	崩壊	sabrukums	V	N;GEN;MASC;SG
崩壊	krišanās	崩壊	krišanās	V	N;NOM;FEM;SG
崩壊	sabrukšanas	崩壊	sabrukšana	V	N;NOM;FEM;PL
最新	jaunākie	最新	jauns	N	ADJ;NOM;CMPR;MASC;PL
最新	jaunāko	最新	jauns	N	ADJ;ACC;CMPR;MASC;SG
最新	jaunākās	最新	jauna	N	ADJ;NOM;CMPR;FEM;PL
最新	jaunākais	最新	jauns	N	ADJ;NOM;CMPR;MASC;SG
キリスト	kristians	キリスト	kristians	N	PROPN;NOM;MASC;SG
キリスト	kristiāns	キリスト	kristiāns	N	PROPN;NOM;MASC;SG
交渉	sarunas	交渉	saruna	V	N;NOM;FEM;PL
交渉	pārrunas	交渉	pārruna	V	N;NOM;FEM;PL
交渉	sarunas	交渉	saruna	V	N;NOM;FEM;PL
普及	izplatīšana	普及	izplatīšana	V	N;NOM;FEM;SG
アナ	ana	アナ	ana	PROPN	
アナ	anna	アナ	anna	PROPN	PROPN;NOM;FEM;SG
最近	nesenā	最近	nesens	N	ADV
最近	nesen	最近	nesen	N	ADV
最近	nesen	最近	nesen	N	ADV
無期	nenoteikts	無期	nenoteikt	N	ADJ;NOM;MASC;SG
整理	uzkopšanas	整理	uzkopšana	V	N;NOM;FEM;PL
整理	sakopšana	整理	sakopšana	V	N;NOM;FEM;SG
アウト	ārā	アウト	ārā	N	ADV
アウト	out	アウト	out	N	
協定	vienošanās	協定	vienošanās	V	N;NOM;FEM;SG
協定	nolīgumu	協定	nolīgums	V	N;ACC;MASC;SG
協定	nolīgums	協定	nolīgums	V	N;NOM;MASC;SG
協定	vienošanās	協定	vienošanās	V	N;NOM;FEM;SG
協定	līgumi	協定	līgums	V	N;NOM;MASC;PL
推定	pieņēmums	推定	pieņēmums	V	N;NOM;MASC;SG
山崎	jamadzaki	山崎	jamadzaks	PROPN	N;NOM;MASC;SG
協議	konsultācijas	協議	konsultācija	V	N;NOM;FEM;PL
協議	apspriešana	協議	apspriešana	V	N;NOM;FEM;SG
協議	apspriedes	協議	apspriede	V	N;NOM;FEM;PL
吸収	uzsūkšanās	吸収	uzsūkšanās	V	N;NOM;FEM;SG
吸収	absorbcija	吸収	absorbcija	V	N;NOM;FEM;SG
吸収	absorbciju	吸収	absorbcija	V	N;ACC;FEM;SG
ダウン	leju	ダウン	leja	PROPN	N;ACC;FEM;SG
ダウン	lejā	ダウン	lejā	PROPN	ADV
ダウン	lejup	ダウン	lejup	PROPN	ADV
前田	maeda	前田	maedīt	PROPN	N;NOM;MASC;SG
処分	likvidēšana	処分	likvidēšana	V	N;NOM;FEM;SG
処分	iznīcināšana	処分	iznīcināšana	V	N;NOM;FEM;SG
ケイ	kay	ケイ	kay	PROPN	
検証	pārbaude	検証	pārbaude	V	N;NOM;FEM;SG
検証	apstiprināšana	検証	apstiprināšana	V	N;NOM;FEM;SG
上野	ueno	上野	uenot	PROPN	
認識	atzīšana	認識	atzīšana	V	N;NOM;FEM;SG
認識	atzinība	認識	atzinība	V	N;NOM;FEM;SG
逮捕	arests	逮捕	arests	V	N;NOM;MASC;SG
逮捕	apcietināšanas	逮捕	apcietināšana	V	N;NOM;FEM;PL
逮捕	aresti	逮捕	aresti	V	N;NOM;MASC;PL
オフ	nost	オフ	nost		ADV
オフ	off	オフ	off		
オフ	izslēgts	オフ	izslēgt		V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
トーク	runāt	トーク	runāt	N	V;POS;NFIN
拒否	kritums	拒否	kritums	V	N;NOM;MASC;SG
