категорія	kategorii	категорія	kategoria	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
гран	wielka	гран	wielki		ADJ;NOM;FEM;SG
гран	grand	гран	grand		
олена	ołena	олена	ołen	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
олена	elena	олена	elen	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
олена	eleny	олена	elena	PROPN;ANIM;NOM;FEM;SG	
олена	jelena	олена	jelen	PROPN;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
біографія	biografię	біографія	biografia	N;INAN;NOM;FEM;SG	N;ACC;FEM;SG
тиждень	tygodnia	тиждень	tydzień	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
тиждень	tygodniu	тиждень	tydzień	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
епохи	epoka	епох	epoka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
епохи	epoki	епох	epoka	N;INAN;NOM;FEM;PL	
епохи	era	епох	era	N;INAN;NOM;FEM;PL	
вулиць	ulice	вулиця	ulica	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
вулиць	ulic	вулиця	ulica	N;INAN;GEN;FEM;PL	
договір	kontrakt	договір	kontrakt	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
договір	umowy	договір	umowa	N;INAN;NOM;MASC;SG	
договір	traktatem	договір	traktat	N;INAN;NOM;MASC;SG	N;INS;MASC;SG
договір	traktaty	договір	traktaty	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
договір	traktatu	договір	traktat	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
договір	traktacie	договір	traktaty	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
старий	stare	старий	stary	ADJ;NOM;MASC;SG	
старий	old	старий	old	ADJ;NOM;MASC;SG	
старий	stara	старий	stary	ADJ;NOM;MASC;SG	
медалі	medali	медалі	medać	N;INAN;NOM;FEM;PL	N;GEN;MASC;PL
заснував	założone	заснувати	założyć	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
заснував	założony	заснувати	założyć	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
заснував	założona	заснувати	założyć	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
курс	namiar	курс	namiar	N;INAN;NOM;MASC;SG	V;PFV;IND;SG;2;FIN;ACT
географічне	geograficznego	географічний	geograficzny	ADJ;NOM;NEUT;SG	ADJ;ACC;MASC;SG
засновано	założone	засновати	założyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
засновано	założony	засновати	założyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
засновано	założona	засновати	założyć	V;PFV;IND;0;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
двигун	silnika	двигун	silnik	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
двигун	silniki	двигун	silnik	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
остаточно	trwale	остаточно	trwal	ADV	
чорний	black	чорний	black	ADJ;NOM;MASC;SG	
чорний	czerń	чорний	czerń	ADJ;NOM;MASC;SG	
захоплення	schwytać	захоплення	schwytać	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
захоплення	uchwycić	захоплення	uchwycić	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
турнір	turnieju	турнір	turniej	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
виникнення	powstać	виникнення	powstać	N;INAN;NOM;NEUT;SG	V;PFV;NFIN;ACT
виникнення	powstań	виникнення	powstanie	N;INAN;NOM;NEUT;SG	N;GEN;NEUT;PL
зміг	mógł	змогти	móc	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
зміг	zdolne	змогти	zdolny	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;NEUT;SG
зміг	zdolna	змогти	zdolny	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;FEM;SG
зміг	zdolny	змогти	zdolny	V;PFV;MASC;IND;SG;PST;FIN	ADJ;NOM;MASC;SG
шкіл	szkół	школа	szkół	N;INAN;GEN;FEM;PL	
шкіл	szkoły	школа	szkoła	N;INAN;GEN;FEM;PL	N;GEN;FEM;SG
матеріал	materiały	матеріал	materiał	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
миру	peace	мир	peaka	N;INAN;GEN;MASC;SG	
миру	pokój	мир	pokój	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
канада	kanada	канада	kanada	PROPN;INAN;NOM;FEM;SG	
канада	kanady	канада	kanada	PROPN;INAN;NOM;FEM;SG	
поза	poza	поза	poza		ADP
поза	postawy	поза	postawa		N;GEN;FEM;SG
поза	postawa	поза	postawa		N;NOM;FEM;SG
костянтин	konstantin	костянтина	konstantin	N;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
костянтин	constantine	костянтина	constantiny	N;ANIM;NOM;MASC;SG	
тов	tov	тов	tov	N;INAN;NOM;NEUT;SG	
фірми	firma	фірма	firma	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
фірми	kancelaria	фірма	kancelaria	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
операцій	operacji	операція	operacja	N;INAN;GEN;FEM;PL	N;GEN;FEM;SG
операцій	operacje	операція	operacja	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
операцій	transakcje	операція	transakcja	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
операцій	transakcji	операція	transakcja	N;INAN;GEN;FEM;PL	N;GEN;FEM;SG
дорога	drogowy	дорога	drogowy	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
дорога	drogi	дорога	droga	N;INAN;NOM;FEM;SG	
дорога	drodze	дорога	droga	N;INAN;NOM;FEM;SG	N;DAT;FEM;SG
дорога	road	дорога	road	N;INAN;NOM;FEM;SG	
театрі	teatr	театр	teatr	N;INAN;DAT;MASC;SG	N;NOM;MASC;SG
бароко	barokowy	бароко	barokowy	N;INAN;NOM;MASC;SG	ADJ;NOM;MASC;SG
творчість	kreatywności	творчість	kreatywność	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
творчість	narracji	творчість	narracja	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
користь	korzyść	користь	korzyść	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
користь	świadczenie	користь	świadczenie	N;INAN;ACC;FEM;SG	N;NOM;NEUT;SG
цар	king	цар	king	N;ANIM;NOM;MASC;SG	
цар	króla	цар	król	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
цар	kinga	цар	kinga	N;ANIM;NOM;MASC;SG	PROPN;NOM;FEM;SG
цар	car	цар	car	N;ANIM;NOM;MASC;SG	
цар	cara	цар	carać	N;ANIM;NOM;MASC;SG	
захисник	obrońcę	захисник	obrońca	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
захисник	obrońcą	захисник	obrońca	N;ANIM;NOM;MASC;SG	N;INS;MASC;SG
єпископ	bishop	єпископ	bishop	N;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
важко	trudna	важко	trudny	ADV	ADJ;NOM;FEM;SG
важко	trudny	важко	trudny	ADV	ADJ;NOM;MASC;SG
важко	trudne	важко	trudny	ADV	
марка	znaczek	марка	znaczek	N;INAN;NOM;FEM;SG	N;ACC;MASC;SG
руки	broń	рука	broń	N;INAN;NOM;FEM;PL	V;IPFV;IMP;SG;2;FIN;ACT
місяця	miesiąc	місяць	miesiąc	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
місяця	miesiąca	місяць	miesiąc	N;INAN;GEN;MASC;SG	N;ACC;MASC;SG
місяця	miesiac	місяць	miesiac	N;INAN;GEN;MASC;SG	V;IPFV;IND;SG;PST;FIN;ACT
місяця	moon	місяць	moon	N;INAN;GEN;MASC;SG	
місяця	księżyc	місяць	księżyc	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
документи	dokumentów	документ	dokument	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
заявив	nalegał	заявити	nalegać	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
заявив	nalegała	заявити	nalegać	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
заявив	zeznawał	заявити	zeznawać	V;PFV;MASC;IND;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
температури	temperatury	температура	temperatura	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
захворювання	choroby	захворювання	choroba	N;INAN;NOM;NEUT;SG	N;ACC;FEM;PL
захворювання	choroby	захворювання	choroba	N;INAN;NOM;NEUT;SG	N;ACC;FEM;PL
захворювання	chorób	захворювання	chorób	N;INAN;NOM;NEUT;SG	
визнання	akceptację	визнання	akceptacja	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
визнання	spowiedzi	визнання	spowiedź	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
визнання	spowiedź	визнання	spowiedź	N;INAN;NOM;NEUT;SG	
вільям	william	вільям	williać	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
вільям	williamie	вільям	williamia	PROPN;ANIM;NOM;MASC;SG	N;DAT;FEM;SG
вільям	wilhelm	вільям	wilhelm	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
вільям	williama	вільям	williem	PROPN;ANIM;NOM;MASC;SG	N;NOM;FEM;SG
сучасні	nowoczesne	сучасний	nowoczesny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
сучасні	nowocześnie	сучасний	nowocześnie	ADJ;NOM;PL	ADV
сучасні	nowoczesny	сучасний	nowoczesny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
сучасні	współczesna	сучасний	współczesny	ADJ;NOM;PL	N;NOM;FEM;SG
сучасні	nowoczesna	сучасний	nowoczesny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
літаків	samolot	літак	samolot	N;INAN;GEN;MASC;PL	N;NOM;MASC;SG
літаків	samoloty	літак	samolot	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
змагань	konkursy	змагання	konkurs	N;INAN;GEN;NEUT;PL	N;NOM;MASC;PL
керував	koordynowanie	керувати	koordynowanie	V;IPFV;MASC;IND;SG;PST;FIN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
керував	koordynacja	керувати	koordynacja	V;IPFV;MASC;IND;SG;PST;FIN	N;NOM;FEM;SG
фортеці	cytadela	фортека	cytadel	N;INAN;NOM;FEM;PL	
піренеї	pyrénées	піренея	pyrénées	PROPN;INAN;NOM;FEM;SG	
закладів	instytucji	заклад	instytucja	N;INAN;GEN;MASC;PL	N;GEN;FEM;SG
закладів	instytucje	заклад	instytucja	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
хмельницької	chmielnicki	хмельницький	chmielnicki	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
кольори	barwy	колір	barwa	N;INAN;NOM;MASC;PL	
кольори	barwy	колір	barwa	N;INAN;NOM;MASC;PL	
кольори	kolorów	колір	kolor	N;INAN;NOM;MASC;PL	N;GEN;MASC;PL
спорт	sport	спорт	sport	N;INAN;NOM;MASC;SG	
спорт	sport	спорт	sport	N;INAN;NOM;MASC;SG	
спорт	sporty	спорт	sporty	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
спорт	sportowe	спорт	sportowy	N;INAN;NOM;MASC;SG	ADJ;NOM;NEUT;SG
брата	bracie	брат	brat	N;ANIM;ACC;MASC;SG	N;VOC;MASC;SG
брата	brat	брат	brat	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
порт	portu	порт	port	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
порт	port	порт	port	N;INAN;NOM;MASC;SG	
петербург	petersburgu	петербург	petersburg	PROPN;INAN;NOM;MASC;SG	N;ACC;MASC;SG
вздовж	wzdłuż	вздовж	wzdłuż		
кораблів	okręty	корабель	okręt	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
кораблів	statki	корабель	statek	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
канал	kanał	канал	kanał	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
канал	kanału	канал	kanał	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
канал	kanały	канал	kanał	N;INAN;NOM;MASC;SG	N;NOM;MASC;PL
канал	kanał	канал	kanał	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
канал	channel	канал	channel	N;INAN;NOM;MASC;SG	
бельгії	belgii	бельгія	belgia	PROPN;INAN;GEN;FEM;SG	
бельгії	belgia	бельгія	belgia	PROPN;INAN;GEN;FEM;SG	
звільнення	wyzwolenia	звільнення	wyzwolić	N;INAN;NOM;NEUT;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
звільнення	rezygnacji	звільнення	rezygnacja	N;INAN;NOM;NEUT;SG	N;GEN;FEM;SG
звільнення	rezygnację	звільнення	rezygnacja	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
звільнення	rapture	звільнення	raptura	N;INAN;NOM;NEUT;SG	
економіка	ekonomii	економіка	ekonomia	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
економіка	ekonomiczny	економіка	ekonomiczny	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
економіка	gospodarki	економіка	gospodarka	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
східна	wschód	східний	wschód	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
східна	wschodniej	східний	wschodni	ADJ;NOM;FEM;SG	ADJ;GEN;FEM;SG
прийняття	adopcję	прийняття	adopcja	N;INAN;NOM;NEUT;SG	N;ACC;FEM;SG
прийняття	adopcji	прийняття	adopcja	N;INAN;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
білі	biel	білий	biel	ADJ;NOM;PL	
білі	biał	білий	biać	ADJ;NOM;PL	PROPN;NOM;MASC;SG
білі	white	білий	whita	ADJ;NOM;PL	
білі	biała	білий	biały	ADJ;NOM;PL	ADJ;NOM;FEM;SG
білі	biały	білий	biały	ADJ;NOM;PL	
чоловіка	mąż	чоловік	mąż	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
чоловіка	mężu	чоловік	mąż	N;ANIM;ACC;MASC;SG	V;IPFV;IMP;SG;2;FIN;ACT
чоловіка	maz	чоловік	maza	N;ANIM;ACC;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
запропонував	oferowane	запропонувати	oferować	V;PFV;MASC;IND;SG;PST;FIN	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
запропонував	oferowana	запропонувати	oferować	V;PFV;MASC;IND;SG;PST;FIN	ADJ;IPFV;NOM;FEM;SG;POS;V.PTCP;PASS
математики	matematyków	математика	matematyk	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
математики	matematyki	математика	matematyk	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
математики	matematyka	математика	matematyka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
молодший	młodsi	молодший	młody	ADJ;NOM;CMPR;MASC;SG	ADJ;NOM;CMPR;MASC;PL
молодший	drobne	молодший	drobny	ADJ;NOM;CMPR;MASC;SG	ADJ;NOM;NEUT;SG
значну	znaczne	значний	znaczny	ADJ;ACC;FEM;SG	V;PFV;IND;SG;FIN;ACT
значну	znaczna	значний	znaczny	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;SG
значну	znaczny	значний	znaczny	ADJ;ACC;FEM;SG	ADJ;NOM;MASC;SG
значну	znaczący	значний	znaczący	ADJ;ACC;FEM;SG	
нижня	niżej	нижній	nisko	ADJ;NOM;FEM;SG	ADV;CMPR
нижня	lower	нижній	lower	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
нижня	dolna	нижній	dolny	ADJ;NOM;FEM;SG	
визначається	zdefiniowano	визначатися	zdefiniować	V;IPFV;IND;SG;3;PRS;FIN	V;PFV;IND;0;PST;FIN;ACT
визначається	zdefiniowane	визначатися	zdefiniować	V;IPFV;IND;SG;3;PRS;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
визначається	określonych	визначатися	określony	V;IPFV;IND;SG;3;PRS;FIN	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
визначається	zdefiniowana	визначатися	zdefiniować	V;IPFV;IND;SG;3;PRS;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
визначається	zdefiniowany	визначатися	zdefiniować	V;IPFV;IND;SG;3;PRS;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
визначається	zdefiniowanych	визначатися	zdefiniować	V;IPFV;IND;SG;3;PRS;FIN	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
обслуговування	utrzymania	обслуговування	utrzymać	N;INAN;NOM;NEUT;SG	N;PFV;GEN;NEUT;SG;POS;V.MSDR
обслуговування	obsługiwane	обслуговування	obsługiwać	N;INAN;NOM;NEUT;SG	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
проектів	projekty	проект	projekt	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
віталій	witalij	віталії	witalić	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
віталій	witalij	віталії	witalić	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
віталій	vitalis	віталії	vitalis	PROPN;ANIM;NOM;MASC;SG	
віталій	witalij	віталії	witalić	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
групу	grupie	група	grupa	N;INAN;ACC;FEM;SG	N;DAT;FEM;SG
групу	grupa	група	grupa	N;INAN;ACC;FEM;SG	N;NOM;FEM;SG
біла	biel	білий	biel	ADJ;NOM;FEM;SG	
біла	biał	білий	biać	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG
біла	white	білий	whita	ADJ;NOM;FEM;SG	
біла	biały	білий	biały	ADJ;NOM;FEM;SG	
біла	biełaja	білий	biełaja	ADJ;NOM;FEM;SG	
власні	własne	власний	własny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
власні	własny	власний	własny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
власні	własna	власний	własny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
православної	prawosławny	православний	prawosławny	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
кордон	cordon	кордон	cordon	N;INAN;NOM;MASC;SG	
кордон	granice	кордон	granica	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
кордон	granicy	кордон	granica	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
кордон	granicę	кордон	granica	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
місцеві	miejscowa	місцевий	miejscowy	ADJ;NOM;PL	ADJ;NOM;FEM;SG
місцеві	lokalny	місцевий	lokalny	ADJ;NOM;PL	ADJ;NOM;MASC;SG
місцеві	lokalna	місцевий	lokalny	ADJ;NOM;PL	ADJ;NOM;FEM;SG
місцеві	lokalne	місцевий	lokalny	ADJ;NOM;PL	ADJ;NOM;NEUT;SG
місцеві	miejscowy	місцевий	miejscowy	ADJ;NOM;PL	ADJ;NOM;MASC;SG
місцеві	lokalnych	місцевий	lokalny	ADJ;NOM;PL	ADJ;GEN;MASC;PL
місцеві	miejscowych	місцевий	miejscowy	ADJ;NOM;PL	ADJ;GEN;MASC;PL
ідея	pomysl	ідея	pomysl	N;INAN;NOM;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
клубів	kluby	клуб	klub	N;INAN;GEN;MASC;PL	N;NOM;MASC;PL
клубів	trefl	клуб	trefl	N;INAN;GEN;MASC;PL	
вимоги	wymagania	вимога	wymagać	N;INAN;NOM;FEM;PL	N;NOM;NEUT;SG
вимоги	wymogi	вимога	wymoga	N;INAN;NOM;FEM;PL	
веде	tropy	вести	tropa	V;IPFV;IND;SG;3;PRS;FIN	N;NOM;MASC;PL
почесний	honorowym	почесний	honorowy	ADJ;NOM;MASC;SG	ADJ;INS;MASC;SG
білецький	bielecki	білецький	bielecki	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG
казахстан	kazachstanu	казахстан	kazachstan	PROPN;INAN;NOM	N;GEN;MASC;SG
тисячі	tysiące	тисяча	tysiące	N;INAN;NOM;FEM;PL	
тисячі	tysięcy	тисяча	tysiąc	N;INAN;NOM;FEM;PL	N;ACC;MASC;PL
червона	czerwień	червоний	czerwień	ADJ;NOM;FEM;SG	
короткий	short	короткий	short	ADJ;NOM;MASC;SG	
короткий	krótko	короткий	krótko	ADJ;NOM;MASC;SG	ADV
провулок	aleja	провулок	aleja	N;INAN;NOM;MASC;SG	
причини	przyczyny	причина	przyczyna	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
причини	powoduje	причина	powodować	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
причини	przyczyny	причина	przyczyna	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
причини	przyczyn	причина	przyczyna	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
проводиться	bycie	проводитися	bycie	V;IPFV;IND;SG;3;PRS;FIN	
проводиться	bycia	проводитися	być	V;IPFV;IND;SG;3;PRS;FIN	
переїхав	przeniesiony	переїхати	przenieść	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
переїхав	przeniesiona	переїхати	przenieść	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
переїхав	przeniesione	переїхати	przenieść	V;PFV;MASC;IND;SG;PST;FIN	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
степан	stjepan	степан	stjepan	PROPN;ANIM;NOM;MASC;SG	
степан	stepan	степан	stepan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
степан	stephen	степан	stephen	PROPN;ANIM;NOM;MASC;SG	V;IPFV;IND;SG;PRS;FIN;ACT
степан	stefan	степан	stefan	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
степан	stephena	степан	stephen	PROPN;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
працівників	pracownicy	працівник	pracownik	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
працівників	robotnicy	працівник	robotnik	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
працівників	pracownicy	працівник	pracownik	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
євреїв	żydów	єврей	żyd	N;ANIM;ACC;MASC;PL	N;GEN;MASC;PL
євреїв	żydzi	єврей	żydzić	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
конструкції	struktury	конструкція	struktura	N;INAN;NOM;FEM;PL	N;ACC;FEM;PL
конструкції	konstrukcji	конструкція	konstrukcja	N;INAN;NOM;FEM;PL	N;GEN;FEM;SG
метро	metra	метро	metr	N;INAN;NOM;NEUT;SG	N;GEN;MASC;SG
метро	metro	метро	metro	N;INAN;NOM;NEUT;SG	
примітки	uwaga	примітка	uwaga	N;INAN;NOM;FEM;PL	
примітки	notatka	примітка	notatka	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
примітки	nuty	примітка	nuta	N;INAN;NOM;FEM;PL	
примітки	notatek	примітка	notatka	N;INAN;NOM;FEM;PL	N;GEN;FEM;PL
примітки	zauważa	примітка	zauważać	N;INAN;NOM;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
сад	ogrodu	сад	ogród	N;INAN;NOM;MASC;SG	N;GEN;MASC;SG
сад	ogrodzie	сад	ogród	N;INAN;NOM;MASC;SG	N;DAT;MASC;SG
сад	sade	сад	sad	N;INAN;NOM;MASC;SG	
ніч	nocy	ніч	noc	N;INAN;NOM;FEM;SG	N;GEN;FEM;SG
ніч	nocny	ніч	nocny	N;INAN;NOM;FEM;SG	ADJ;NOM;MASC;SG
ніч	night	ніч	night	N;INAN;NOM;FEM;SG	
німецька	niemcy	німецький	niemiec	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;PL
німецька	niemieckim	німецький	niemiecki	ADJ;NOM;FEM;SG	ADJ;INS;MASC;SG
окупації	zajęcie	окупація	zająć	N;INAN;NOM;FEM;PL	N;PFV;NOM;NEUT;SG;POS;V.MSDR
окупації	zawód	окупація	zawód	N;INAN;NOM;FEM;PL	N;NOM;MASC;SG
заходи	miary	захід	miara	N;INAN;NOM;MASC;PL	
заходи	procedury	захід	procedura	N;INAN;NOM;MASC;PL	N;ACC;FEM;PL
марк	marca	марк	marza	PROPN;ANIM;NOM;MASC;SG	
марк	marc	марк	marc	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
вища	wyższa	вищий	wysoki	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;FEM;SG
вища	wyższy	вищий	wysoki	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG
вища	wyżej	вищий	wysoko	ADJ;NOM;RL;FEM;SG	ADV;CMPR
вища	wyższe	вищий	wysoki	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
вища	wyższy	вищий	wysoki	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG
вища	wyższa	вищий	wysoki	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;FEM;SG
лікар	medyk	лікар	medyk	N;ANIM;NOM;MASC;SG	
лікар	lekarza	лікар	lekarz	N;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
лікар	doktorze	лікар	doktor	N;ANIM;NOM;MASC;SG	
найбільша	największym	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;INS;CMPR;MASC;SG
найбільша	największa	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;FEM;SG
найбільша	najwięksi	найбільший	wielki	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;PL
найбільша	największe	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
найбільша	największy	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG
найбільша	największych	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;GEN;CMPR;MASC;PL
найбільша	największa	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;FEM;SG
найбільша	największe	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;NEUT;SG
найбільша	największy	найбільший	duży	ADJ;NOM;RL;FEM;SG	ADJ;NOM;CMPR;MASC;SG
пар	par	пар	par		
пар	parami	пар	para		N;INS;FEM;PL
пар	pary	пар	para		
пар	pari	пар	pari		
лев	lwa	лев	lwa	PROPN;ANIM;NOM;MASC;SG	N;ACC;MASC;SG
лев	lew	лев	lew	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
лев	lew	лев	lew	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
лев	leo	лев	leo	PROPN;ANIM;NOM;MASC;SG	
валерій	walerij	валерій	walerić	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
валерій	walerij	валерій	walerić	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
валерій	waleriusz	валерій	waleriusz	PROPN;ANIM;NOM;MASC;SG	
