loại	kategória	loại	kategória	N	
biệt	levegőben	biệt	levégő		N;IN+ESS;SG
biến	változtatható	biến	változtatható	V	ADJ;NOM;SG
biến	változó	biến	változó	V	ADJ;NOM;SG
biến	átalakítás	biến	átalakítás	V	N;NOM;SG
hậu	királynő	hậu	királynő		N;NOM;SG
hậu	queen	hậu	ő		
hậu	dáma	hậu	dáma		
hậu	királyné	hậu	király		N;NOM;SG
chưa	mégis	chưa	mégis		CONJ
thu	thu	thu	thu	V	
thu	gyülekező	thu	gyülekező	V	N;NOM;SG
bên	side	bên	side	N	
vẫn	még	vẫn	még		ADV
mất	lost	mất	lost	V	
liệu	okmány	liệu	okmány	V	N;NOM;SG
liệu	okirat	liệu	okirat	V	N;NOM;SG
liệu	dokumentum	liệu	dokumentum	V	N;NOM;SG
sơn	festett	sơn	festett	N	V;INDF;IND;SG;3;PST;FIN;ACT
sơn	festette	sơn	fest	N	V;DEF;IND;SG;3;PST;FIN;ACT
sơn	sơn	sơn	sơn	N	
mục	belépés	mục	belépés	N	
tìm	keresés	tìm	keresés	V	
tìm	finn	tìm	finn	V	
kiến	hangya	kiến	hangya	N	
giao	interfész	giao	interfész	V	N;NOM;SG
tương	xiang	tương	xiang		
bạn	te	bạn	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
hữu	tulaj	hữu	tulaj		N;NOM;SG
hữu	tulajdonos	hữu	tulajdonos		N;NOM;SG
hữu	tulajdonosa	hữu	tulajdonos		N;NOM;SG
thay	változás	thay	változás	V	N;NOM;SG
thay	változtatás	thay	változtatás	V	N;NOM;SG
thay	változások	thay	változás	V	N;NOM;PL
giá	ár	giá	ár	N	
giá	érdemes	giá	érdemes	N	ADJ;NOM;SG
giá	megéri	giá	megéri	N	
giá	worth	giá	worth	N	
vai	vai	vai	vai	N	
gần	majdnem	gần	majdnem	ADJ	
gần	szoros	gần	szoros	ADJ	
gần	közel	gần	közel	ADJ	
gần	bezárása	gần	bezárás	ADJ	N;NOM;SG
gần	közeli	gần	közeli	ADJ	
gần	közel	gần	közel	ADJ	
cứu	mentés	cứu	mentés	V	N;NOM;SG
cứu	mentése	cứu	mentés	V	N;NOM;SG
cứu	segítség	cứu	segítség	V	N;NOM;SG
cứu	megmentési	cứu	megmentési	V	
cứu	mentő	cứu	mentő	V	
cứu	mentés	cứu	mentés	V	N;NOM;SG
lớp	team	lớp	team	N	
quyết	eltökélt	quyết	eltökélt	N	V;INDF;IND;SG;3;PST;FIN;ACT
quyết	határozott	quyết	határoz	N	V;INDF;IND;SG;3;PST;FIN;ACT
quyết	meghatározott	quyết	meghatározott	N	V;INDF;IND;SG;3;PST;FIN;ACT
quyết	meghatározva	quyết	meghatározva	N	ADV;V.CVB
thương	cuki	thương	cuki	V	
thương	aranyos	thương	aranyos	V	
hát	ének	hát	én	V	N;NOM;SG
hát	éneklés	hát	éneklés	V	N;NOM;SG
triều	court	triều	cour	N	
phục	kiszolgáló	phục	kiszolgáló	V	
phục	szerver	phục	szerver	V	N;NOM;SG
tuổi	idős	tuổi	idős	N	
tuổi	régi	tuổi	régi	N	
tuổi	öreg	tuổi	öreg	N	
tân	virgin	tân	virgin	N	
tân	szűz	tân	szűz	N	
tân	tan	tân	tan	N	
đời	life	đời	life	N	
cần	szükséges	cần	szükséges	V	ADJ;NOM;SG
hoàn	hős	hoàn	hős		N;NOM;SG
hoàn	huan	hoàn	huan		
chơi	játék	chơi	játék	V	N;NOM;SG
chơi	play	chơi	play	V	
chơi	játssz	chơi	játssz	V	
chơi	játék	chơi	játék	V	N;NOM;SG
chơi	game	chơi	gam	V	
chơi	meccs	chơi	meccs	V	N;NOM;SG
kim	jin	kim	jin	N	
kim	kim	kim	kim	N	
long	hosszú	long	hosszú	N	
long	dragon	long	dragon	N	
đóng	szoros	đóng	szoros	V	
đóng	közel	đóng	közel	V	
đóng	bezárása	đóng	bezárás	V	N;NOM;SG
đóng	közeli	đóng	közeli	V	
đóng	záró	đóng	záró	V	N;NOM;SG
đóng	zárás	đóng	zárás	V	N;NOM;SG
đóng	zárva	đóng	zárva	V	ADV;V.CVB
đóng	bezár	đóng	bezár	V	PROPN;NOM;SG
dẫn	érdeklődők	dẫn	érdeklődő	V	N;NOM;PL
dẫn	érdeklődő	dẫn	érdeklődő	V	ADJ;NOM;SG
dẫn	ólom	dẫn	ólom	V	N;NOM;SG
quá	is	quá	is		CONJ
quá	túl	quá	túl		
thắng	win	thắng	win	N	
thắng	nyerni	thắng	nyer	N	V;NFIN;ACT
thắng	nyerj	thắng	nyerj	N	V;DEF;IND;SG;3;PRS;FIN;ACT
thắng	győztes	thắng	győztes	N	
thắng	nyertes	thắng	nyertes	N	
thắng	nyerő	thắng	nyerő	N	
thắng	nyert	thắng	nyert	N	V;INDF;IND;SG;3;PST;FIN;ACT
thắng	győz	thắng	győz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
thắng	nyert	thắng	nyert	N	V;INDF;IND;SG;3;PST;FIN;ACT
mang	hozz	mang	hozz	V	
mang	mang	mang	mang	V	
giáp	páncél	giáp	páncél	V	N;NOM;SG
giáp	páncélos	giáp	páncélos	V	N;NOM;SG
giáp	páncél	giáp	páncél	V	N;NOM;SG
khí	air	khí	air	N	
hướng	orientációs	hướng	orientációs	N	ADJ;NOM;SG
huy	huy	huy	huy	N	
huy	hui	huy	hui	N	
cây	fán	cây	fán	N	
cây	fa	cây	fa	N	
cây	fák	cây	fák	N	
cây	fák	cây	fák	N	
thư	mail	thư	mail	N	
thư	posta	thư	posta	N	
tra	csekk	tra	csekk	V	N;NOM;SG
tra	csekket	tra	csekket	V	N;ACC;SG
tra	ellenőrzés	tra	ellenőrzés	V	N;NOM;SG
chiếm	megszálló	chiếm	megszálló	V	
nga	orosz	nga	orosz	N	
nga	oroszul	nga	orosz	N	
nga	nga	nga	nga	N	
triệu	zhao	triệu	zhao	NUM	
triệu	milliók	triệu	millió	NUM	
phép	engedély	phép	engedély	N	
phép	engedélyezett	phép	engedélyezett	N	V;INDF;IND;SG;3;PST;FIN;ACT
phép	engedélyezve	phép	engedélyezve	N	ADV;V.CVB
phép	megengedett	phép	megengedett	N	V;INDF;IND;SG;3;PST;FIN;ACT
new	újdonság	new	újdonság		N;NOM;SG
new	új	new	új		ADJ;NOM;SG
yếu	gyenge	yếu	gyenge	N	
mật	titkos	mật	titkos	N	
lãnh	leng	lãnh	leng	N	V;INDF;IND;SG;3;PRS;FIN;ACT
mạng	network	mạng	network	N	
ghi	írj	ghi	írj	V	
ghi	írással	ghi	írás	V	N;INS;SG
ghi	írás	ghi	írás	V	N;NOM;SG
ghi	írása	ghi	írás	V	N;NOM;SG
sao	miért	sao	miért	PROPN	ADV
giả	hamisítvány	giả	hamisítvány		N;NOM;SG
giả	mű	giả	mű		N;NOM;SG
cung	íj	cung	íj	V	N;NOM;SG
cung	íjak	cung	íj	V	N;NOM;PL
đài	vár	đài	vár	N	V;INDF;IND;SG;3;PRS;FIN;ACT
đài	castle	đài	castle	N	
đài	rádiós	đài	rádiós	N	
đài	radio	đài	radio	N	
chống	bátorság	chống	bátorság	V	N;NOM;SG
chống	ellene	chống	ellen	V	PRO;NOM;SG;3
chống	ellen	chống	ellen	V	ADP
đảng	party	đảng	party	N	
đảng	parti	đảng	parti	N	ADJ;NOM;SG
đảng	banda	đảng	banda	N	
nhập	beviteli	nhập	beviteli	V	N;NOM;SG
nhập	bevitel	nhập	bevitel	V	N;NOM;SG
nhập	bemeneti	nhập	bemeneti	V	N;NOM;SG
nhập	behozatali	nhập	behozatali	V	N;NOM;SG
nhập	import	nhập	import	V	N;NOM;SG
nhập	importálása	nhập	importálás	V	N;NOM;SG
nhập	behozatal	nhập	behozatal	V	N;NOM;SG
hạt	mag	hạt	mag	N	
hạt	megyei	hạt	megyei	N	ADJ;NOM;SG
hạt	megye	hạt	megye	N	
chết	halál	chết	halál	V	N;NOM;SG
chết	halott	chết	halott	V	
chết	halottak	chết	halott	V	N;NOM;PL
lạc	kontakt	lạc	kontakt	N	
chung	kölcsönös	chung	kölcsönös	ADJ	
chung	chung	chung	chung	ADJ	
chung	univerzális	chung	univerzális	ADJ	
chung	egyetemes	chung	egyetemes	ADJ	
chung	általános	chung	általános	ADJ	
chung	tábornok	chung	tábornok	ADJ	N;NOM;SG
chung	közös	chung	közös	ADJ	
chung	gyakori	chung	gyakori	ADJ	
trần	chen	trần	chen	N	
trần	tran	trần	tran	N	
trần	chan	trần	chan	N	PROPN;NOM;SG
mẫu	mal	mẫu	mal	N	
tất	harisnya	tất	harisnya		N;NOM;SG
mạnh	meng	mạnh	meng	ADJ	
mạnh	erősebben	mạnh	erős	ADJ	ADV
mạnh	erős	mạnh	erős	ADJ	
mạnh	erősek	mạnh	erős	ADJ	N;NOM;PL
từng	valaha	từng	valaha	PROPN	
bán	eladás	bán	eladás	V	
bán	eladva	bán	eladva	V	ADV;V.CVB
bán	eladási	bán	eladási	V	ADJ;NOM;SG
bán	eladás	bán	eladás	V	
bán	vásár	bán	vásár	V	N;NOM;SG
bán	eladó	bán	eladó	V	ADJ;NOM;SG
bán	értékesítés	bán	értékesítés	V	N;NOM;SG
bán	eladás	bán	eladás	V	
bán	eladások	bán	eladás	V	N;NOM;PL
bán	eladás	bán	eladás	V	
bán	értékesítés	bán	értékesítés	V	N;NOM;SG
bán	értékesítési	bán	értékesítési	V	ADJ;NOM;SG
rộng	szélessége	rộng	szélesség	ADJ	N;NOM;SG
rộng	szélesség	rộng	szélesség	ADJ	N;NOM;SG
rộng	széles	rộng	széles	ADJ	N;NOM;SG
rộng	tág	rộng	tág	ADJ	
rộng	széles	rộng	széles	ADJ	N;NOM;SG
thủy	boszorkány	thủy	boszorkány	V	N;NOM;SG
thủy	shui	thủy	shui	V	N;NOM;SG
album	rekord	album	rekord	N	
giờ	most	giờ	most	N	ADV
mỗi	minden	mỗi	minden	NUM	PRO;NOM;SG;3
mỗi	mindegyik	mỗi	mindegyik	NUM	
núi	hegyi	núi	hegyi	N	
sang	fényűző	sang	fényűző	V	ADJ;NOM;SG
sang	luxus	sang	luxus	V	
sang	sang	sang	sang	V	
phản	árulás	phản	árulás	V	N;NOM;SG
luật	jogszabály	luật	jogszabály	N	
đoạn	bekezdés	đoạn	bekezdés	N	
yêu	szeretettel	yêu	szeretet	V	N;INS;SG
yêu	love	yêu	love	V	
yêu	szeretet	yêu	szeretet	V	N;NOM;SG
yêu	szerelem	yêu	szerelem	V	N;NOM;SG
yêu	luv	yêu	luv	V	
yêu	szerető	yêu	szerető	V	
môi	ajkai	môi	ajkai	N	
môi	ajka	môi	ajka	N	
môi	lip	môi	lip	N	
kiện	sue	kiện	sue	V	
biên	bien	biên	bien	N	
align	összehangolása	align	összehangolás		N;NOM;SG
nhện	pók	nhện	pók	N	
nhện	spider	nhện	spider	N	
độc	egyedül	độc	egyedül	ADJ	
độc	mérgező	độc	mérgező	ADJ	
độc	toxikus	độc	toxikus	ADJ	N;NOM;SG
độc	megmérgezték	độc	megmérgez	ADJ	V;DEF;IND;PL;3;PST;FIN;ACT
độc	mérgezett	độc	mérgezett	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
hiệp	kerek	hiệp	kér	N	
hiệp	körbe	hiệp	kör	N	ADV
giúp	segítség	giúp	segítség	V	N;NOM;SG
sắc	élesebb	sắc	éles	N	ADJ;NOM;CMPR;SG
nha	fogorvos	nha	fogorvos		N;NOM;SG
nha	fogorvos	nha	fogorvos		N;NOM;SG
nha	fogászati	nha	fogászati		N;NOM;SG
nha	fogorvosi	nha	fogorvosi		N;NOM;SG
phá	szünet	phá	szünet	V	N;NOM;SG
phá	törés	phá	törés	V	N;NOM;SG
phổ	porosz	phổ	porosz	N	
quảng	kuang	quảng	kuang	N	
quảng	guang	quảng	guang	N	
hồng	pink	hồng	pink	N	
hồng	rózsaszín	hồng	rózsaszín	N	
hồng	rózsaszínű	hồng	rózsaszínű	N	
hồng	hong	hồng	hong	N	
hồng	rosa	hồng	rosa	N	
rồi	akkor	rồi	akkor	CONJ	ADV
rồi	aztán	rồi	aztán	CONJ	
nghị	bud	nghị	bud	N	
chia	közös	chia	közös	V	
chia	megosztva	chia	megosztva	V	ADV;V.CVB
chia	osztva	chia	osztva	V	ADV;V.CVB
chia	megosztva	chia	megosztva	V	ADV;V.CVB
chia	részesedése	chia	részesedés	V	N;NOM;SG
chia	megosztás	chia	megosztás	V	
chia	részesedés	chia	részesedés	V	N;NOM;SG
ruồi	repülni	ruồi	repül	N	V;NFIN;ACT
ruồi	repül	ruồi	repül	N	V;INDF;IND;SG;3;PRS;FIN;ACT
ruồi	repülj	ruồi	repül	N	V;DEF;IMP;SG;2;PRS;FIN;ACT
ruồi	legyek	ruồi	lesz	N	V;INDF;IND;SG;1;PRS;FIN;ACT
chọn	kiválasztási	chọn	kiválasztási	V	ADJ;NOM;SG
chọn	válogatás	chọn	válogatás	V	N;NOM;SG
chọn	kiválasztás	chọn	kiválasztás	V	N;NOM;SG
chọn	kijelölés	chọn	kijelölés	V	N;NOM;SG
chọn	választás	chọn	választás	V	
chọn	kiválasztás	chọn	kiválasztás	V	N;NOM;SG
lục	zöld	lục	zöld	N	
bàn	asztali	bàn	asztali	N	
bàn	íróasztal	bàn	íróasz	N	
đai	kitoloncolták	đai	kitoloncol	N	V;DEF;IND;PL;3;PST;FIN;ACT
tông	konkrét	tông	konkrét	N	
tông	vezetett	tông	vezetett	N	V;INDF;IND;SG;3;PST;FIN;ACT
tông	hajtott	tông	hajt	N	V;INDF;IND;SG;3;PST;FIN;ACT
ngoại	nagymama	ngoại	nagymam	N	
trực	közvetlen	trực	közvetlen	V	
trực	direct	trực	direct	V	N;NOM;SG
trực	közvetlenül	trực	közvetlen	V	ADJ;FRML;SG
trực	egyenes	trực	egyenes	V	
dung	tartalma	dung	tartalom		N;NOM;SG
dung	tartalom	dung	tartalom		N;NOM;SG
dung	trágya	dung	trágya		N;NOM;SG
dung	tartalma	dung	tartalom		N;NOM;SG
dung	tartalmát	dung	tartalom		N;ACC;SG
dung	tartalom	dung	tartalom		N;NOM;SG
vòng	körül	vòng	körül	N	ADP
vòng	körbe	vòng	kör	N	ADV
vòng	kerek	vòng	kér	N	
vòng	körbe	vòng	kör	N	ADV
phái	küldöm	phái	küld	N	V;DEF;IND;SG;1;PRS;FIN;ACT
phái	küld	phái	küld	N	V;INDF;IND;SG;3;PRS;FIN;ACT
phái	küldő	phái	küldő	N	
đào	barack	đào	barack	N	
đào	ásni	đào	ás	N	V;NFIN;ACT
đào	tao	đào	tao	N	
đào	graves	đào	graves	N	
đào	barack	đào	barack	N	
khai	kiaknázatlan	khai	kiaknázatlan	V	
khai	állítások	khai	állítás	V	N;NOM;PL
khai	követelés	khai	követelés	V	N;NOM;SG
khai	követelések	khai	követelés	V	N;NOM;PL
khai	igények	khai	igény	V	N;NOM;PL
tốt	jó	tốt	jó	ADJ	
trợ	módosító	trợ	módosító	V	ADJ;NOM;SG
lệnh	parancsok	lệnh	parancsok		N;NOM;PL
lệnh	parancsol	lệnh	parancsol		V;INDF;IND;SG;3;PRS;FIN;ACT
lệnh	parancsnokság	lệnh	parancsnokság		N;NOM;SG
lệnh	parancs	lệnh	parancs		N;NOM;SG
lệnh	parancsok	lệnh	parancsok		N;NOM;PL
lệnh	megrendelések	lệnh	megrendelés		N;NOM;PL
lệnh	parancs	lệnh	parancs		N;NOM;SG
lệnh	parancsot	lệnh	parancsot		N;ACC;SG
chuẩn	normál	chuẩn	normál	V	
chuẩn	szabványos	chuẩn	szabványos	V	N;NOM;SG
chuẩn	szabvány	chuẩn	szabvány	V	N;NOM;SG
chuẩn	standard	chuẩn	standard	V	
chuẩn	szokásos	chuẩn	szokásos	V	ADJ;NOM;SG
chuẩn	normális	chuẩn	normális	V	
chuẩn	normál	chuẩn	normál	V	
duy	csak	duy	csak	N	ADV
duy	kizárólag	duy	kizárólag	N	
thiếu	hiányzó	thiếu	hiányzó	V	ADJ;NOM;SG
hết	mindent	hết	minden	V	
hết	minden	hết	minden	V	PRO;NOM;SG;3
hết	mindegyik	hết	mindegyik	V	
hết	mind	hết	mind	V	CONJ
hết	minden	hết	minden	V	PRO;NOM;SG;3
hết	vége	hết	vég	V	N;NOM;SG
hết	át	hết	át	V	ADV
hán	han	hán	han	N	
hầu	hou	hầu	hou		PROPN;NOM;SG
tuyến	libéria	tuyến	libéria	N	
hạn	korlátozás	hạn	korlátozás	N	
hạn	limit	hạn	limi	N	
gốc	eredeti	gốc	eredeti		N;NOM;SG
rêu	moss	rêu	moss	N	
muốn	will	muốn	will	V	
muốn	fog	muốn	fog	V	V;INDF;IND;SG;3;PRS;ACT
muốn	akarat	muốn	akarat	V	N;NOM;SG
ninh	biztonsági	ninh	biztonsági	N	ADJ;NOM;SG
ninh	ning	ninh	ning	N	
trùng	másolat	trùng	másolat	V	N;NOM;SG
trùng	ismétlődő	trùng	ismétlődő	V	ADJ;NOM;SG
giang	jiang	giang	jiang	N	
đĩa	lemez	đĩa	lemez		N;NOM;SG
đĩa	lemezt	đĩa	lemez		N;ACC;SG
đĩa	tányér	đĩa	tányér		N;NOM;SG
đĩa	lemez	đĩa	lemez		N;NOM;SG
đĩa	tányért	đĩa	tány		N;ACC;SG
đĩa	lemez	đĩa	lemez		N;NOM;SG
đĩa	lemezt	đĩa	lemez		N;ACC;SG
đĩa	csészealj	đĩa	csészealj		N;NOM;SG
khỏi	től	khỏi	től	V	
khỏi	tól	khỏi	tól	V	
khỏi	from	khỏi	from	V	
tưởng	gondolat	tưởng	gondolat	V	N;NOM;SG
lâm	lam	lâm	lam	N	
lâm	lin	lâm	lin	N	
vàng	arany	vàng	arany	N	
vàng	sárgák	vàng	sár	N	V;DEF;IND;PL;3;PRS;FIN;ACT
vàng	sárga	vàng	sárga	N	
quang	quang	quang	quang	N	
dòng	line	dòng	line	N	
dòng	sor	dòng	sor	N	
hàn	koreai	hàn	koreai	N	
hàn	koreai	hàn	koreai	N	
hàn	han	hàn	han	N	
ngay	azonnal	ngay	azonnal	PART	
ngay	most	ngay	most	PART	ADV
cận	záró	cận	záró	V	N;NOM;SG
cận	zárás	cận	zárás	V	N;NOM;SG
cận	bíboros	cận	bíboros	V	
đậu	bab	đậu	bab	V	
đậu	bab	đậu	bab	V	
đậu	babot	đậu	babo	V	N;ACC;SG
đậu	ima	đậu	ima	V	N;NOM;SG
đậu	imát	đậu	imát	V	N;ACC;SG
đậu	imádság	đậu	imádság	V	N;NOM;SG
khách	látogató	khách	látogató	N	ADJ;NOM;SG
khách	látogatók	khách	látogató	N	ADJ;NOM;PL
khách	látogató	khách	látogató	N	ADJ;NOM;SG
địch	ellenséges	địch	ellenséges	N	ADJ;NOM;SG
thánh	saint	thánh	saint	N	
thánh	szent	thánh	szent	N	
thánh	szent	thánh	szent	N	
trẻ	fiatal	trẻ	fiatal	N	
trẻ	fiatalos	trẻ	fiatalos	N	ADJ;NOM;SG
phó	helyettes	phó	helyettes		
phó	megbízott	phó	meg+bízik		V;INDF;IND;SG;3;PST;FIN;ACT
linh	ling	linh	ling	N	
linh	szellemi	linh	szellemi	N	
linh	lelki	linh	lelki	N	
chạy	futás	chạy	futás	V	N;NOM;SG
chạy	futó	chạy	futó	V	
chạy	futás	chạy	futás	V	N;NOM;SG
chạy	meghajtó	chạy	meghajtó	V	N;NOM;SG
thuận	shun	thuận	shun	ADJ	
thuận	üzlet	thuận	üzlet	ADJ	N;NOM;SG
thuận	egyezség	thuận	egyezség	ADJ	
thuận	alku	thuận	alku	ADJ	
nông	ranch	nông	ranch	N	
bảng	asztali	bảng	asztali	N	
phú	funky	phú	funky	N	
phú	phu	phú	phu	N	
truy	hajthatatlan	truy	hajthatatlan	V	ADJ;NOM;SG
truy	könyörtelen	truy	könyörtelen	V	
chiều	délután	chiều	délután	N	
chiều	délutáni	chiều	délutáni	N	
cực	nagyon	cực	nagyon		ADV
cực	rúd	cực	rúd		N;NOM;SG
lương	leung	lương	leung	N	
lương	liang	lương	liang	N	
mét	mérő	mét	mérő	N	
mét	hajógyárak	mét	hajógyár	N	
lâu	hosszú	lâu	hosszú	ADJ	
gặp	találkozó	gặp	találkozó	V	N;NOM;SG
blank	üres	blank	üres	V	
blank	üresen	blank	üres	V	ADJ;FRML;SG
bại	vereség	bại	vereség	V	N;NOM;SG
ước	kívánom	ước	kíván		V;DEF;IND;SG;1;PRS;FIN;ACT
ước	kívánság	ước	kívánság		N;NOM;SG
ước	kívánom	ước	kíván		V;DEF;IND;SG;1;PRS;FIN;ACT
ước	kívánni	ước	kíván		V;NFIN;ACT
ước	kívánok	ước	kíván		V;INDF;IND;SG;1;PRS;FIN;ACT
chuyên	szakember	chuyên	szakember	ADJ	N;NOM;SG
chuyên	specialista	chuyên	specialista	ADJ	N;NOM;SG
chuyên	szakosodott	chuyên	szakosodott	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
chuyên	szakosított	chuyên	szakosított	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
lai	jövőbeli	lai	jövőbeli		ADJ;NOM;SG
lai	jövő	lai	jövő		ADJ;NOM;SG
lai	lai	lai	lai		
vài	kevesen	vài	kevés	DET	ADV
vài	pár	vài	pár	DET	
vài	kevés	vài	kevés	DET	
vài	kevesek	vài	kevés	DET	
nền	háttér	nền	háttér		N;NOM;SG
nền	háttere	nền	háttér		N;NOM;SG
nền	háttérben	nền	háttér		N;IN+ESS;SG
trụ	hengeres	trụ	hengeres	N	
style	stílus	style	stílus		N;NOM;SG
song	iker	song	iker	CONJ	
song	szülei	song	szül	CONJ	N;NOM;PL
song	szülők	song	szülő	CONJ	N;NOM;PL
song	szüleim	song	szül	CONJ	N;NOM;PL
song	dal	song	dal	CONJ	N;NOM;SG
song	dalt	song	dalt	CONJ	N;ACC;SG
song	song	song	song	CONJ	
giai	dallam	giai	dallam		N;NOM;SG
quay	forgás	quay	forgás	V	N;NOM;SG
quay	forgatás	quay	forgatás	V	N;NOM;SG
quay	rakpart	quay	rakpart	V	N;NOM;SG
quay	forgás	quay	forgás	V	N;NOM;SG
quay	rotációs	quay	rotációs	V	N;NOM;SG
quay	spin	quay	spin	V	
quay	forgás	quay	forgás	V	N;NOM;SG
xuân	chun	xuân	chun	N	PROPN;NOM;SG
xuân	csun	xuân	csun	N	
xuân	tavaszi	xuân	tavaszi	N	
trúc	panda	trúc	panda	N	
american	amerikai	american	amerikai	N	ADJ;NOM;SG
rừng	erdő	rừng	erdő	N	
rừng	erdei	rừng	erdei	N	
rừng	erdő	rừng	erdő	N	
thưởng	prémium	thưởng	prémium	V	
thưởng	bónusz	thưởng	bónusz	V	
thưởng	jutalom	thưởng	jutalom	V	N;NOM;SG
list	jegyzék	list	jegyzék	ADJ	N;NOM;SG
list	lista	list	lista	ADJ	N;NOM;SG
xuống	lefelé	xuống	lefelé	V	
xuống	le	xuống	le	V	ADV
đứng	állva	đứng	állva	V	
truyện	story	truyện	story	N	
truyện	olvasok	truyện	olvas	N	V;INDF;IND;SG;1;PRS;FIN;ACT
truyện	olvasni	truyện	olvas	N	V;NFIN;ACT
phóng	mérleg	phóng	mérleg	V	N;NOM;SG
phóng	skálán	phóng	skálán	V	N;ON+ESS;SG
phóng	skála	phóng	skála	V	N;NOM;SG
phóng	kilövés	phóng	kilövés	V	N;NOM;SG
phóng	indítás	phóng	indítás	V	N;NOM;SG
đốc	kormányzó	đốc	kormányzó		ADJ;NOM;SG
khởi	start	khởi	start	V	
khởi	kezdés	khởi	kezdés	V	N;NOM;SG
bầu	szavazás	bầu	szavazás	V	N;NOM;SG
bầu	szavazati	bầu	szavazati	V	N;NOM;SG
bầu	szavazó	bầu	szavazó	V	
bầu	várandós	bầu	várandós	V	N;NOM;SG
bầu	terhes	bầu	terhes	V	
bầu	vemhes	bầu	vemhes	V	N;NOM;SG
mềm	puha	mềm	puha	N	
mềm	lágy	mềm	lágy	N	
cha	cha	cha	cha	N	
giết	gyilkolás	giết	gyilkolás	V	N;NOM;SG
nhanh	gyors	nhanh	gyors	ADJ	
nhanh	gyors	nhanh	gyors	ADJ	
nghiệm	kísérletek	nghiệm	kísérlet	V	N;NOM;PL
tối	sötét	tối	söt	N	
tối	este	tối	este	N	ADV
giảm	csökkentése	giảm	csökkentés	V	N;NOM;SG
giảm	csökkenés	giảm	csökkenés	V	N;NOM;SG
giảm	kevesebbet	giảm	kevesebb	V	
giảm	kevesebb	giảm	kevesebb	V	
giảm	kevésbé	giảm	kevésbé	V	ADV
bắn	lövöldözés	bắn	lövöldözés	V	N;NOM;SG
bắn	lövés	bắn	lövés	V	N;NOM;SG
bắn	forgatás	bắn	forgatás	V	N;NOM;SG
bắn	lövés	bắn	lövés	V	N;NOM;SG
bắn	tüzelést	bắn	tüzelés	V	N;ACC;SG
nhằm	felborult	nhằm	felborul		V;INDF;IND;SG;3;PST;FIN;ACT
đôi	páros	đôi	páros	NUM	
đôi	kettős	đôi	kettős	NUM	ADJ;NOM;SG
đôi	dupla	đôi	dupla	NUM	
đôi	duplán	đôi	duplán	NUM	
đôi	pár	đôi	pár	NUM	
đôi	néha	đôi	néha	NUM	
đôi	páros	đôi	páros	NUM	
mắt	szem	mắt	szem	N	
mắt	eye	mắt	eye	N	
mắt	szem	mắt	szem	N	
cáo	beszámoló	cáo	beszámoló	N	ADJ;NOM;SG
cáo	fox	cáo	fox	N	
tam	tam	tam	tam	N	
sai	helytelen	sai	helytelen	ADJ	
sai	rossz	sai	rossz	ADJ	
sai	helytelen	sai	helytelen	ADJ	
sai	hamis	sai	hamis	ADJ	
sai	tévedés	sai	tévedés	ADJ	N;NOM;SG
sai	hiba	sai	hiba	ADJ	N;NOM;SG
sửa	edit	sửa	edit	V	N;NOM;SG
sửa	módosítás	sửa	módosítás	V	N;NOM;SG
sửa	szerkesztése	sửa	szerkesztés	V	N;NOM;SG
sửa	korrekció	sửa	korrekció	V	N;NOM;SG
sửa	korrekciós	sửa	korrekciós	V	N;NOM;SG
sửa	kiigazítás	sửa	kiigazítás	V	N;NOM;SG
sửa	helyesbítés	sửa	helyesbítés	V	N;NOM;SG
sửa	javítás	sửa	javítás	V	N;NOM;SG
dựa	alapú	dựa	alapú	V	
lửa	tűz	lửa	tűz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
trương	cheung	trương	cheung	N	
trương	zhang	trương	zhang	N	
nặng	heavy	nặng	heavy	ADJ	
nặng	súlyos	nặng	súlyos	ADJ	
nặng	nehéz	nặng	nehéz	ADJ	
nặng	súlyos	nặng	súlyos	ADJ	
mức	szintű	mức	szintű	N	
chuyện	story	chuyện	story	N	
trắng	fehér	trắng	fehér	N	
đọc	olvasás	đọc	olvasás	V	N;NOM;SG
đọc	les	đọc	les	V	
xung	impulzus	xung	impulzus	V	N;NOM;SG
xung	ütközés	xung	ütközés	V	N;NOM;SG
xung	konfliktusok	xung	konfliktus	V	N;NOM;PL
xung	konfliktus	xung	konfliktus	V	N;NOM;SG
quý	értékes	quý	értékes	N	
quý	drága	quý	drága	N	
quý	negyed	quý	negyed	N	
hưng	hung	hưng	hung	N	
luyện	tréning	luyện	tréning	V	N;NOM;SG
luyện	képzési	luyện	képzési	V	ADJ;NOM;SG
luyện	kiképzés	luyện	kiképzés	V	N;NOM;SG
luyện	képzés	luyện	képzés	V	N;NOM;SG
luyện	edzés	luyện	edzés	V	N;NOM;SG
tống	soong	tống	soong	N	
thật	real	thật	real	PART	
thật	valós	thật	valós	PART	ADJ;NOM;SG
thật	igazi	thật	igazi	PART	
thật	valódi	thật	valódi	PART	
thật	igaz	thật	igaz	PART	
thật	igazi	thật	igazi	PART	
thật	igazság	thật	igazság	PART	N;NOM;SG
thật	tényleg	thật	tényleg	PART	
thật	igazán	thật	igazán	PART	
