ausscheiden	звільнення	ausscheiden	звільнення	V;NFIN	N;INAN;NOM;NEUT;SG
type	типу	type	тип		N;INAN;NOM;MASC;SG
type	тип	type	тип		N;INAN;NOM;MASC;SG
blütezeit	краєвидом	blütezeit	краєвид	ADJ	N;INAN;INS;MASC;SG
blütezeit	цвіте	blütezeit	цвісти	ADJ	V;IPFV;IND;SG;3;PRS;FIN
blütezeit	блум	blütezeit	блум	ADJ	PROPN;ANIM;NOM;MASC;SG
metz	мец	metz	мець	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG
harold	гарольд	harold	гарольд	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
brothers	браття	brothers	браття	PROPN;NOM;SG	N;ANIM;NOM;NEUT;PL
brothers	брати	brothers	брат	PROPN;NOM;SG	N;ANIM;NOM;MASC;PL
entfernten	віддалений	entfernt	віддалений	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
entfernten	пульт	entfernt	пульта	V;IND;PL;3;PST;FIN	N;INAN;NOM;MASC;SG
entfernten	віддалене	entfernt	віддалений	V;IND;PL;3;PST;FIN	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
ausgehen	побачення	ausgehen	побачення	V;NFIN	N;INAN;NOM;NEUT;SG
ausgehen	побачень	ausgehen	побачення	V;NFIN	N;INAN;GEN;NEUT;PL
ausgehen	знайомств	ausgehen	знайомство	V;NFIN	N;INAN;NOM;NEUT;PL
ausgehen	назовні	ausgehen	назовні	V;NFIN	ADV
ausgehen	out	ausgehen	out	V;NFIN	
lebenslauf	поновлює	lebenslauf	поновлювати		V;IPFV;IND;SG;3;PRS;FIN
lebenslauf	curriculum	lebenslauf	curriculum		
lebenslauf	біографія	lebenslauf	біографія		N;INAN;NOM;FEM;SG
lebenslauf	біографію	lebenslauf	біографія		N;INAN;ACC;FEM;SG
lebenslauf	поновити	lebenslauf	поновити		V;PFV;NFIN
lebenslauf	відновити	lebenslauf	відновити		V;PFV;NFIN
lebenslauf	продовжити	lebenslauf	продовжити		V;PFV;NFIN
sorgt	різниця	sorgen	різниця	V;IND;SG;3;PRS;FIN	N;INAN;NOM;FEM;SG
alkohol	алкоголь	alkohol	алкоголь		N;INAN;NOM;MASC;SG
alkohol	рому	alkohol	рім		N;INAN;GEN;MASC;SG
alkohol	алкоголю	alkohol	алкоголь		N;INAN;GEN;MASC;SG
alkohol	алкоголь	alkohol	алкоголь		N;INAN;NOM;MASC;SG
alkohol	спирт	alkohol	спирт		N;INAN;NOM;MASC;SG
alkohol	алкоголю	alkohol	алкоголь		N;INAN;GEN;MASC;SG
alkohol	настоянка	alkohol	настоянка		N;INAN;NOM;FEM;SG
gene	ген	gen	ген		N;INAN;NOM;MASC;SG
gene	джин	gen	джин		PROPN;ANIM;NOM;MASC;SG
gene	гени	gen	гени		N;INAN;NOM;MASC;PL
rechnen	арифметика	rechnen	арифметик	V;NFIN	N;INAN;NOM;FEM;SG
rechnen	математика	rechnen	математик	V;NFIN	N;INAN;NOM;MASC;SG
rechnen	математичний	rechnen	математичний	V;NFIN	ADJ;NOM;MASC;SG
rechnen	математичні	rechnen	математичний	V;NFIN	ADJ;NOM;PL
rechnen	математики	rechnen	математика	V;NFIN	N;INAN;NOM;FEM;PL
silva	сілва	silva	сілва	PROPN	PROPN;ANIM;NOM;FEM;SG
bemerkenswert	поліпшити	bemerkenswert	поліпшити	ADJ	V;PFV;NFIN
bemerkenswert	надзвичайно	bemerkenswert	надзвичайно	ADJ	ADV
menschheit	людство	menschheit	людство		N;INAN;NOM;NEUT;SG
menschheit	людяності	menschheit	людяність		N;INAN;NOM;FEM;PL
menschheit	людство	menschheit	людство		N;INAN;NOM;NEUT;SG
menschheit	людства	menschheit	людство		N;INAN;NOM;NEUT;SG
menschheit	людству	menschheit	людство		N;INAN;DAT;NEUT;SG
produzieren	виробництвом	produzieren	виробництво	V;NFIN	N;INAN;INS;NEUT;SG
produzieren	виготовлення	produzieren	виготовлення	V;NFIN	N;INAN;NOM;NEUT;SG
ehre	честь	ehr	честь		N;INAN;ACC;FEM;SG
ehre	пошани	ehr	пошана		N;INAN;NOM;FEM;PL
ehre	честь	ehr	честь		N;INAN;ACC;FEM;SG
ehre	шанувати	ehr	шанувати		V;IPFV;NFIN
ehre	вшанування	ehr	вшанування		N;INAN;NOM;NEUT;SG
ehre	славу	ehr	слава		N;INAN;ACC;FEM;SG
ehre	слава	ehr	слава		N;INAN;NOM;FEM;SG
öffentlicher	паблік	öffentlich	паблік	ADJ	
toll	чудово	toll	чудово	ADJ	ADV
christ	християни	christ	християнин	PROPN	N;ANIM;NOM;MASC;PL
christ	християнин	christ	християнин	PROPN	N;ANIM;NOM;MASC;SG
christ	крістіан	christ	крістіан	PROPN	N;ANIM;NOM;MASC;SG
christ	християнський	christ	християнський	PROPN	ADJ;NOM;MASC;SG
christ	християнська	christ	християнський	PROPN	ADJ;NOM;FEM;SG
christ	христос	christ	христос	PROPN	PROPN;ANIM;NOM;MASC;SG
christ	christ	christ	christ	PROPN	
christ	христа	christ	христий	PROPN	PROPN;ANIM;NOM;MASC;SG
vorwort	преамбула	vorworen	преамбути		N;INAN;NOM;FEM;SG
miami	miami	miami	miami	PROPN;NOM;MASC;SG	
miami	маямі	miami	маямі	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG
shanghai	шанхай	shanghai	шанхай	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG
mexico	мексики	mexico	мексик	PROPN;NOM;SG	PROPN;INAN;GEN;FEM;SG
mexico	мексиці	mexico	мексика	PROPN;NOM;SG	PROPN;INAN;DAT;FEM;SG
mexico	мексика	mexico	мексик	PROPN;NOM;SG	PROPN;INAN;NOM;FEM;SG
bischofs	єпископа	bischofs	єпископ		N;ANIM;ACC;MASC;SG
bischofs	єпископ	bischofs	єпископ		N;ANIM;NOM;MASC;SG
vertretung	репутації	vertretung	репутація	N;FEM;SG	N;INAN;NOM;FEM;PL
fauna	фауна	fauna	фауна		N;INAN;NOM;FEM;SG
fauna	природу	fauna	природа		N;INAN;ACC;FEM;SG
protokoll	хвилин	protokoll	хвилина	ADJ	N;INAN;GEN;FEM;PL
protokoll	хвилини	protokoll	хвилина	ADJ	N;INAN;NOM;FEM;PL
protokoll	протокол	protokoll	протокол	ADJ	N;INAN;NOM;MASC;SG
protokoll	журнал	protokoll	журнал	ADJ	N;INAN;NOM;MASC;SG
protokoll	лог	protokoll	лог	ADJ	N;INAN;NOM;MASC;SG
protokoll	log	protokoll	log	ADJ	
protokoll	журнали	protokoll	журнал	ADJ	N;INAN;NOM;MASC;PL
protokoll	журналів	protokoll	журнал	ADJ	N;INAN;GEN;MASC;PL
athleten	спортсмен	athlet	спортсмен	V;IND;PL;3;PST;FIN	N;ANIM;NOM;MASC;SG
athleten	спортсмени	athlet	спортсмен	V;IND;PL;3;PST;FIN	N;ANIM;NOM;MASC;PL
teilnehmern	учасників	teilnehmern	учасник	V;NFIN	N;ANIM;ACC;MASC;PL
teilnehmern	учасники	teilnehmern	учасник	V;NFIN	N;ANIM;NOM;MASC;PL
teilnehmern	учасникам	teilnehmern	учасник	V;NFIN	N;ANIM;DAT;MASC;PL
teilnehmern	учасників	teilnehmern	учасник	V;NFIN	N;ANIM;ACC;MASC;PL
teilnehmern	учасники	teilnehmern	учасник	V;NFIN	N;ANIM;NOM;MASC;PL
baker	бейкер	bak	бейкер	PROPN	PROPN;ANIM;NOM;MASC;SG
baker	пекар	bak	пекар	PROPN	N;ANIM;NOM;MASC;SG
ethnischen	національну	ethnisch	національний	ADJ;PL	ADJ;ACC;FEM;SG
ethnischen	етно	ethnisch	етно	ADJ;PL	N;INAN;NOM;NEUT;SG
ethnischen	етнічна	ethnisch	етнічний	ADJ;PL	ADJ;NOM;FEM;SG
copa	кубок	copa	кубок	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
konzipiert	розроблена	konzipieren	розроблений	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
breiter	ширше	breit	ширше	ADJ	ADV;CMPR
udo	удо	udo	удо	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
steuerung	контроль	steuerung	контроль	ADJ	N;INAN;NOM;MASC;SG
steuerung	керування	steuerung	керування	ADJ	N;INAN;NOM;NEUT;SG
steuerung	контролер	steuerung	контролер	ADJ	N;INAN;NOM;MASC;SG
steuerung	регулятор	steuerung	регулятор	ADJ	N;INAN;NOM;MASC;SG
steuerung	керування	steuerung	керування	ADJ	N;INAN;NOM;NEUT;SG
steuerung	управління	steuerung	управління	ADJ	N;INAN;NOM;NEUT;SG
steuerung	контролює	steuerung	контролювати	ADJ	V;IPFV;IND;SG;3;PRS;FIN
vortrag	лекції	vortragen	лекція	N;SG	N;INAN;NOM;FEM;PL
vortrag	презентації	vortragen	презентація	N;SG	N;INAN;NOM;FEM;PL
vortrag	поговоримо	vortragen	поговорити	N;SG	V;PFV;IND;PL;1;FUT;FIN
vortrag	talk	vortragen	talk	N;SG	
vortrag	говорити	vortragen	говорити	N;SG	V;IPFV;NFIN
prinzipien	засади	prinzip	засади	V;NFIN	N;INAN;NOM;MASC;PL
prinzipien	принципи	prinzip	принцип	V;NFIN	N;INAN;NOM;MASC;PL
lehrbuch	підручник	lehrbuch	підручник	PROPN	N;INAN;NOM;MASC;SG
lehrbuch	присвячена	lehrbuch	присвячений	PROPN	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
lehrbuch	посібник	lehrbuch	посібник	PROPN	N;INAN;NOM;MASC;SG
comedy	комедія	comedy	комедія	PROPN	N;INAN;NOM;FEM;SG
comedy	комедії	comedy	комедія	PROPN	N;INAN;NOM;FEM;PL
basketballspieler	баскетбол	basketballspieler	баскетбол	ADJ	N;INAN;NOM;MASC;SG
subsp	subsp	subsp	subsp		
hansen	гансен	hansen	гансен	PROPN;NOM;SG	PROPN;ANIM;NOM;MASC;SG
catherine	катерина	catherine	катерина	PROPN;NOM;SG	N;ANIM;NOM;FEM;SG
standorte	адрес	standort	адрес	N;NOM	
standorte	сайтів	standort	сайт	N;NOM	N;INAN;GEN;MASC;PL
standorte	юнеско	standort	юнеско	N;NOM	
aufteilung	виділення	aufteilung	виділення	ADJ;SG	N;INAN;NOM;NEUT;SG
aufteilung	зриву	aufteilung	зриву	ADJ;SG	N;INAN;NOM;MASC;SG
aufteilung	розподіл	aufteilung	розподіл	ADJ;SG	N;INAN;NOM;MASC;SG
aufteilung	розділення	aufteilung	розділення	ADJ;SG	N;INAN;NOM;NEUT;SG
aufteilung	поділ	aufteilung	поділ	ADJ;SG	N;INAN;NOM;MASC;SG
böhmischen	чеський	böhmisch	чеський	ADJ;NOM;PL	ADJ;NOM;MASC;SG
böhmischen	чеському	böhmisch	чеський	ADJ;NOM;PL	ADJ;DAT;MASC;SG
erwachsene	дорослому	erwachsen	дорослий	ADJ;NOM;FEM;PL	ADJ;DAT;NEUT;SG
erwachsene	доросла	erwachsen	дорости	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
erwachsene	виріс	erwachsen	виріс	ADJ;NOM;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN
erwachsene	дорослих	erwachsen	дорослий	ADJ;NOM;FEM;PL	ADJ;ACC;PL
erwachsene	доросла	erwachsen	дорости	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
erwachsene	доросле	erwachsen	дорослий	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
erwachsene	дорослий	erwachsen	дорослий	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
werfen	кидок	werfen	кидок	V;NFIN	N;INAN;NOM;MASC;SG
werfen	молота	werfen	молота	V;NFIN	N;INAN;NOM;NEUT;SG
mexikanischen	мексиканська	mexikanisch	мексиканський	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
mexikanischen	мексиканський	mexikanisch	мексиканський	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
philosophen	філософи	philosophen	філософ		N;ANIM;NOM;MASC;PL
philosophen	філософ	philosophen	філософ		N;ANIM;NOM;MASC;SG
frag	запитати	frag	запитати		V;PFV;NFIN
frag	питати	frag	питати		V;IPFV;NFIN
frag	запитувати	frag	запитувати		V;IPFV;NFIN
frag	попросити	frag	попросити		V;PFV;NFIN
frag	спитати	frag	спитати		V;PFV;NFIN
frag	ask	frag	ask		
dicke	жирна	dick	жирний	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
dicke	товстий	dick	товстий	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
dicke	товста	dick	товст	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
dicke	густе	dick	густий	N;NOM;FEM;PL	ADJ;NOM;NEUT;SG
dicke	товщина	dick	товщина	N;NOM;FEM;PL	N;INAN;NOM;FEM;SG
irischen	ірландський	irisch	ірландський		ADJ;NOM;MASC;SG
irischen	irish	irisch	irish		
irischen	ірландська	irisch	ірландський		ADJ;NOM;FEM;SG
han	хан	han	хан		PROPN;ANIM;NOM;MASC;SG
han	хана	han	хана		PROPN;ANIM;NOM;MASC;SG
vielfalt	diversity	vielfalt	diversity	N;NOM;FEM;SG	
vielfalt	різноманітності	vielfalt	різноманітність	N;NOM;FEM;SG	N;INAN;DAT;FEM;SG
vielfalt	сорти	vielfalt	сорт	N;NOM;FEM;SG	N;INAN;NOM;MASC;PL
vielfalt	різноманітності	vielfalt	різноманітність	N;NOM;FEM;SG	N;INAN;DAT;FEM;SG
wettbewerbe	конкурсів	wettbewerb	конкурс	N;NOM;PL	N;INAN;GEN;MASC;PL
wettbewerbe	змагань	wettbewerb	змагання	N;NOM;PL	N;INAN;GEN;NEUT;PL
wettbewerbe	конкурс	wettbewerb	конкурс	N;NOM;PL	N;INAN;NOM;MASC;SG
wettbewerbe	євробачення	wettbewerb	євробачення	N;NOM;PL	N;INAN;NOM;NEUT;SG
rowohlt	rowohlt	rowohlt	rowohlt	PROPN	
heiraten	ср	heiraten	ср.	V;NFIN	
heiraten	шлюб	heiraten	шлюб	V;NFIN	N;INAN;NOM;MASC;SG
heiraten	весілля	heiraten	весілля	V;NFIN	N;INAN;NOM;NEUT;SG
murray	мюррей	murray	мюрра	PROPN;NOM;SG	PROPN;ANIM;NOM;MASC;SG
archäologe	археолог	archäologe	археолог		N;ANIM;NOM;MASC;SG
austin	остін	austin	остін	PROPN;NOM;MASC;SG	
zelle	клітинка	zellen	клітинка		N;INAN;NOM;FEM;SG
zelle	комірки	zellen	комірка		N;INAN;NOM;FEM;PL
zelle	комірку	zellen	комірка		N;INAN;ACC;FEM;SG
zelle	клітини	zellen	клітина		N;INAN;NOM;FEM;PL
zelle	комірка	zellen	комірка		N;INAN;NOM;FEM;SG
zelle	комірки	zellen	комірка		N;INAN;NOM;FEM;PL
wälder	лісі	wald	ліс		N;INAN;DAT;MASC;SG
wälder	побратима	wald	побратима		N;INAN;GEN;MASC;SG
wälder	ліси	wald	ліс		N;INAN;NOM;MASC;PL
wälder	лісах	wald	ліс		N;INAN;ESS;MASC;PL
wälder	лісами	wald	ліс		N;INAN;INS;MASC;PL
wälder	лісова	wald	лісовий		ADJ;NOM;FEM;SG
wälder	ліс	wald	ліс		N;INAN;NOM;MASC;SG
schließung	закриття	schließung	закриття	ADJ	N;INAN;NOM;NEUT;SG
schließung	замикання	schließung	замикання	ADJ	N;INAN;NOM;NEUT;SG
schließung	закриття	schließung	закриття	ADJ	N;INAN;NOM;NEUT;SG
maßnahme	бойовики	maßnahmen	бойовик	ADJ	N;ANIM;NOM;MASC;PL
maßnahme	дії	maßnahmen	дія	ADJ	N;INAN;NOM;FEM;PL
maßnahme	дія	maßnahmen	дія	ADJ	N;INAN;NOM;FEM;SG
maßnahme	вимірювання	maßnahmen	вимірювання	ADJ	N;INAN;NOM;NEUT;SG
maßnahme	міру	maßnahmen	міра	ADJ	N;INAN;ACC;FEM;SG
maßnahme	міра	maßnahmen	міра	ADJ	PROPN;ANIM;NOM;FEM;SG
chief	шеф	chief	шеф	PROPN	N;ANIM;NOM;MASC;SG
chief	вождь	chief	вождь	PROPN	N;ANIM;NOM;MASC;SG
chief	головний	chief	головний	PROPN	ADJ;NOM;MASC;SG
echo	echo	echo	echo		
echo	ехо	echo	ехо		
echo	відлуння	echo	відлуння		N;INAN;NOM;NEUT;SG
grundlegende	основи	grundlegend	основа	ADJ;NOM;FEM;PL	N;INAN;NOM;FEM;PL
grundlegende	основне	grundlegend	основний	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
grundlegende	базове	grundlegend	базовий	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
grundlegende	базовий	grundlegend	базовий	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
grundlegende	основний	grundlegend	основний	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
professoren	професорів	professor	професор	N;NOM;PL	N;ANIM;ACC;MASC;PL
geschmack	смак	geschmack	смак	ADJ	N;INAN;NOM;MASC;SG
geschmack	аромат	geschmack	аромат	ADJ	N;INAN;NOM;MASC;SG
porto	поштові	porto	поштовий	PROPN;SG	ADJ;NOM;PL
porto	порто	porto	порто	PROPN;SG	
porto	порту	porto	порт	PROPN;SG	N;INAN;GEN;MASC;SG
konzentration	спеціальність	konzentration	спеціальність	ADJ	N;INAN;NOM;FEM;SG
konzentration	спеціальність	konzentration	спеціальність	ADJ	N;INAN;NOM;FEM;SG
konzentration	концентрація	konzentration	концентрація	ADJ	N;INAN;NOM;FEM;SG
ansprüche	заявляє	ansprechen	заявляти		V;IPFV;IND;SG;3;PRS;FIN
ansprüche	стверджує	ansprechen	стверджувати		V;IPFV;IND;SG;3;PRS;FIN
wiedervereinigung	зустрілася	wiedervereinigung	зустрітися	ADJ	V;PFV;FEM;IND;SG;PST;FIN
kabel	кабелі	kabel	кабіль		N;INAN;NOM;MASC;PL
kabel	дріт	kabel	дріт		N;INAN;NOM;MASC;SG
kabel	кабель	kabel	кабель		N;INAN;NOM;MASC;SG
berner	берн	bern	берн		
konzentrierte	зосереджена	konzentrieren	зосереджений	V;IND;SG;3;PST;FIN	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
konzentrierte	фокусі	konzentrieren	фокус	V;IND;SG;3;PST;FIN	N;INAN;DAT;MASC;SG
keramik	кераміка	keramik	кераміка		N;INAN;NOM;FEM;SG
keramik	керамічний	keramik	керамічний		ADJ;NOM;MASC;SG
keramik	кераміка	keramik	кераміка		N;INAN;NOM;FEM;SG
keramik	кераміка	keramik	кераміка		N;INAN;NOM;FEM;SG
bismarck	бісмарк	bismarck	бісмарк	PROPN;NOM;MASC;SG	N;ANIM;NOM;MASC;SG
monika	моніка	monika	моніка	PROPN;NOM;FEM;SG	PROPN;ANIM;NOM;FEM;SG
monika	monika	monika	monika	PROPN;NOM;FEM;SG	
monika	моніка	monika	моніка	PROPN;NOM;FEM;SG	PROPN;ANIM;NOM;FEM;SG
pakistan	пакистану	pakistan	пакистаний	PROPN;NOM;MASC;SG	PROPN;INAN;GEN;MASC;SG
pakistan	пакистан	pakistan	пакистан	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;MASC;SG
grant	грант	granen	грант	PROPN;NOM;SG	
grant	надати	granen	надати	PROPN;NOM;SG	V;PFV;NFIN
brasilianischen	бразильська	brasilianisch	бразильський	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
löwe	лев	löwe	лев		PROPN;ANIM;NOM;MASC;SG
löwe	леви	löwe	лев		N;ANIM;NOM;MASC;PL
löwe	лео	löwe	лео		PROPN;ANIM;NOM;MASC;SG
löwe	лев	löwe	лев		PROPN;ANIM;NOM;MASC;SG
pädagogik	педагогіка	pädagogik	педагогіка		N;INAN;NOM;FEM;SG
melodie	мелодія	melodie	мелодія		N;INAN;NOM;FEM;SG
melodie	мелодії	melodie	мелодія		N;INAN;NOM;FEM;PL
melodie	мелодію	melodie	мелодія		N;INAN;ACC;FEM;SG
canadian	канадська	canadian	канадський	PROPN	ADJ;NOM;FEM;SG
canadian	канадський	canadian	канадський	PROPN	ADJ;NOM;MASC;SG
canadian	canadian	canadian	canadian	PROPN	
beratung	пораду	beratung	пораду	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
beratung	поради	beratung	порада	N;NOM;FEM;SG	N;INAN;NOM;FEM;PL
beratung	консультацій	beratung	консультація	N;NOM;FEM;SG	N;INAN;GEN;FEM;PL
beratung	консалтингових	beratung	консалтинговий	N;NOM;FEM;SG	ADJ;ACC;PL
bäumen	дерев	bäumen	дерево		
bäumen	дерева	bäumen	дерево		N;INAN;NOM;NEUT;PL
boeing	боїнг	boeing	боїнг	PROPN;NOM;SG	N;INAN;NOM;MASC;SG
boeing	boeing	boeing	boeing	PROPN;NOM;SG	
externe	зовнішнє	extern	зовнішній		ADJ;NOM;NEUT;SG
externe	зовнішні	extern	зовнішній		ADJ;NOM;PL
externe	зовнішній	extern	зовнішній		ADJ;NOM;MASC;SG
externe	зовнішня	extern	зовнішній		ADJ;NOM;FEM;SG
orientierung	орієнтацію	orientierung	орієнтація	N;NOM;FEM;SG	N;INAN;ACC;FEM;SG
prinzen	принців	prinzen	принець		N;ANIM;ACC;MASC;PL
prinzen	принц	prinzen	принц		N;ANIM;NOM;MASC;SG
prinzen	принца	prinzen	принца		PROPN;ANIM;NOM;MASC;SG
prinzen	князь	prinzen	князь		N;ANIM;NOM;MASC;SG
mängel	слабкості	mängeln	слабкість	ADJ	N;INAN;NOM;FEM;PL
mängel	слабкості	mängeln	слабкість	ADJ	N;INAN;NOM;FEM;PL
mängel	дефекти	mängeln	дефект	ADJ	N;INAN;NOM;MASC;PL
medal	медаль	medal	медаль	PROPN	N;INAN;ACC;FEM;SG
portrait	портрет	portrait	портрет	ADJ	N;INAN;NOM;MASC;SG
challenge	виклик	challeng	виклик		N;INAN;NOM;MASC;SG
werten	значення	werten	значення	V;NFIN	N;INAN;NOM;NEUT;SG
werten	цінності	werten	цінність	V;NFIN	N;INAN;NOM;FEM;PL
elektronischen	електроніка	elektronisch	електроніка	ADJ	N;INAN;NOM;FEM;SG
fachzeitschrift	журнал	fachzeitschrift	журнал	ADJ	N;INAN;NOM;MASC;SG
fachzeitschrift	journal	fachzeitschrift	journal	ADJ	
fachzeitschrift	щоденник	fachzeitschrift	щоденник	ADJ	N;INAN;NOM;MASC;SG
salvador	сальвадор	salvador	сальвадор	PROPN	PROPN;INAN;NOM;FEM;SG
saarland	саар	saarland	саар	PROPN	PROPN;INAN;NOM;MASC;SG
dakota	дакота	dakota	дакота	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;FEM;SG
rache	помсти	rachen	помст	N;NOM;SG	N;INAN;NOM;FEM;PL
dutzend	десятки	dutzend	десяток	ADJ	N;INAN;NOM;MASC;PL
dutzend	десяток	dutzend	десяток	ADJ	N;INAN;NOM;MASC;SG
dutzend	десятки	dutzend	десяток	ADJ	N;INAN;NOM;MASC;PL
egon	егон	egon	егон	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
utrecht	утрехт	utrecht	утрехт	PROPN	PROPN;INAN;NOM;MASC;SG
control	контроль	control	контроль	PROPN	N;INAN;NOM;MASC;SG
control	контрольна	control	контрольний	PROPN	ADJ;NOM;FEM;SG
control	керування	control	керування	PROPN	N;INAN;NOM;NEUT;SG
vorwürfe	заявою	vorwürfen	заява	ADJ	N;INAN;INS;FEM;SG
vorwürfe	звинувачення	vorwürfen	звинувачення	ADJ	N;INAN;NOM;NEUT;SG
tiger	tiger	tiger	tiger	ADJ	
tiger	тигр	tiger	тигр	ADJ	N;INAN;NOM;MASC;SG
tiger	тигри	tiger	тигра	ADJ	N;ANIM;NOM;MASC;PL
päpstlichen	папська	päpstlich	папський	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
päpstlichen	папська	päpstlich	папський	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
finanziell	фінансово	finanziell	фінансово	ADJ	ADV
finanziell	матеріально	finanziell	матеріально	ADJ	ADV
finanziell	фінанси	finanziell	фінанса	ADJ	N;INAN;NOM;MASC;PL
finanziell	фінанси	finanziell	фінанса	ADJ	N;INAN;NOM;MASC;PL
beamter	чиновники	beamt	чиновник	ADJ	N;ANIM;NOM;MASC;PL
beamter	чиновників	beamt	чиновник	ADJ	N;ANIM;ACC;MASC;PL
beamter	наглядач	beamt	наглядач	ADJ	N;ANIM;NOM;MASC;SG
beamter	офіцер	beamt	офіцер	ADJ	N;ANIM;NOM;MASC;SG
allgemeines	загальні	allgemein	загальний	ADJ;NOM;NEUT;SG	ADJ;NOM;PL
allgemeines	генерал	allgemein	генерал	ADJ;NOM;NEUT;SG	N;ANIM;NOM;MASC;SG
lichtenberg	ліхтенберг	lichtenberg	ліхтенберг	PROPN;NOM;SG	PROPN;INAN;NOM;MASC;SG
wang	ван	wang	ван	PROPN;NOM;MASC;SG	
liverpool	ліверпуль	liverpool	ліверпуль	PROPN	PROPN;INAN;NOM;MASC;SG
ringer	борці	ring	борк	ADJ	N;ANIM;NOM;MASC;PL
ringer	двійник	ring	двійник	ADJ	N;INAN;NOM;MASC;SG
ringer	боротьба	ring	боротьба	ADJ	N;INAN;NOM;FEM;SG
ringer	борець	ring	борець	ADJ	N;ANIM;NOM;MASC;SG
identifiziert	визначена	identifizieren	визначений	V;V.PTCP	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
behauptungen	заявою	behauptehen	заява	V;NFIN	N;INAN;INS;FEM;SG
behauptungen	умовних	behauptehen	умовний	V;NFIN	ADJ;GEN;PL
gerecht	ярмарок	rechen	ярмарка	ADJ	N;INAN;NOM;MASC;SG
gerecht	справедливо	rechen	справедливо	ADJ	ADV
roll	рол	roll	рол	PROPN	
roll	roll	roll	roll	PROPN	
roll	кинути	roll	кинути	PROPN	V;PFV;NFIN
broadway	бродвей	broadway	бродвей	PROPN	N;INAN;NOM;MASC;SG
zerstörte	знищені	zerstört	знищений	ADJ;NOM;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
zerstörte	знищено	zerstört	знищено	ADJ;NOM;FEM;SG	V;PFV;IND;0;FIN
zerstörte	зруйновано	zerstört	зруйновано	ADJ;NOM;FEM;SG	V;PFV;IND;0;FIN
zerstörte	знищили	zerstört	знищити	ADJ;NOM;FEM;SG	V;PFV;IND;PL;PST;FIN
materie	речовина	materie	речовина	PROPN	N;INAN;NOM;FEM;SG
jason	джейсон	jason	джейсон	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
jason	ясон	jason	ясон	PROPN;NOM;MASC;SG	PROPN;ANIM;NOM;MASC;SG
alaska	аляска	alaska	аляска	PROPN;NOM;MASC;SG	PROPN;INAN;NOM;FEM;SG
lies	прочитайте	lesen	прочитати		V;PFV;IMP;PL;2;FIN
lies	читати	lesen	читати		V;IPFV;NFIN
lies	прочитані	lesen	прочитаний		ADJ;PFV;NOM;PL;V.PTCP;PASS
lies	читайте	lesen	читати		V;IPFV;IMP;PL;2;FIN
lies	прочитати	lesen	прочитати		V;PFV;NFIN
lies	читання	lesen	читання		N;INAN;NOM;NEUT;SG
soul	душу	soul	душа	PROPN;SG	N;INAN;ACC;FEM;SG
soul	душа	soul	душа	PROPN;SG	N;INAN;NOM;FEM;SG
soul	soul	soul	soul	PROPN;SG	
soul	душею	soul	душа	PROPN;SG	N;INAN;INS;FEM;SG
schaut	погляд	schauen	погляд	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
schaut	вигляд	schauen	вигляд	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
