تلاقی	reunion	تلاقی	reunion	ADJ	N
ٹُوٹ	rift	ٹُوٹ	rift	PROPN;NOM;MASC;SG;3	N
ٹُوٹ	mớ	ٹُوٹ	mớ	PROPN;NOM;MASC;SG;3	
ٹُوٹ	phá	ٹُوٹ	phá	PROPN;NOM;MASC;SG;3	V
ٹُوٹ	breaking	ٹُوٹ	breaking	PROPN;NOM;MASC;SG;3	
ٹُوٹ	gãy	ٹُوٹ	gãy	PROPN;NOM;MASC;SG;3	V
ٹُوٹ	deficiency	ٹُوٹ	deficiency	PROPN;NOM;MASC;SG;3	N
ٹُوٹا	hỏng	ٹُوٹا	hỏng	PROPN;NOM;MASC;SG;3	V
ٹُوٹا	cracked	ٹُوٹا	cracked	PROPN;NOM;MASC;SG;3	
ٹُوٹا	gãy	ٹُوٹا	gãy	PROPN;NOM;MASC;SG;3	V
ٹُوٹا	vỡ	ٹُوٹا	vỡ	PROPN;NOM;MASC;SG;3	V
ٹُوٹا	hỏng	ٹُوٹا	hỏng	PROPN;NOM;MASC;SG;3	V
ٹُوٹا	hư	ٹُوٹا	hư	PROPN;NOM;MASC;SG;3	ADJ
ٹُوٹا	vỡ	ٹُوٹا	vỡ	PROPN;NOM;MASC;SG;3	V
ٹوٹا	mát	ٹوٹا	mát	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹوٹا	hộp	ٹوٹا	hộp	V;PFV;MASC;SG;V.PTCP;ACT	N
ٹوٹا	muon	ٹوٹا	muon	V;PFV;MASC;SG;V.PTCP;ACT	
ٹُوٹنا	assault	ٹُوٹنا	assault	V;NFIN	N
ٹُوٹنا	công	ٹُوٹنا	công	V;NFIN	N
ٹُوٹنا	đê	ٹُوٹنا	đê	V;NFIN	N
ٹُوٹنا	break	ٹُوٹنا	break	V;NFIN	
ٹُوٹی	chết	ٹُوٹی	chết	PROPN;NOM;MASC;SG;3	V
ٹُوٹی	gãy	ٹُوٹی	gãy	PROPN;NOM;MASC;SG;3	V
ٹُوٹی	vỡ	ٹُوٹی	vỡ	PROPN;NOM;MASC;SG;3	V
ٹُوٹی	hỏng	ٹُوٹی	hỏng	PROPN;NOM;MASC;SG;3	V
ٹُوٹی	hư	ٹُوٹی	hư	PROPN;NOM;MASC;SG;3	ADJ
ٹُوسا	bắn	ٹُوسا	bắn	PROPN;NOM;MASC;SG;3	V
ٹُوسا	sprout	ٹُوسا	sprout	PROPN;NOM;MASC;SG;3	
ٹُوسی	nghị	ٹُوسی	nghị	PROPN;NOM;MASC;SG;3	N
ٹُوسی	răn	ٹُوسی	răn	PROPN;NOM;MASC;SG;3	V
ٹُوسی	bud	ٹُوسی	bud	PROPN;NOM;MASC;SG;3	
ٹُوک	hạt	ٹُوک	hạt	PROPN;NOM;MASC;SG;3	N
ٹُوک	loaf	ٹُوک	loaf	PROPN;NOM;MASC;SG;3	
ٹُوک	bit	ٹُوک	bit	PROPN;NOM;MASC;SG;3	N
ٹُوک	cắn	ٹُوک	cắn	PROPN;NOM;MASC;SG;3	V
ٹوک	thạch	ٹوک	thạch		N
ٹوک	thách	ٹوک	thách		V
ٹوک	tra	ٹوک	tra		V
ٹوکرا	nạp	ٹوکرا	nạp	PROPN;NOM;MASC;SG;3	V
ٹوکرا	tải	ٹوکرا	tải	PROPN;NOM;MASC;SG;3	V
ٹولا	ban	ٹولا	ban	PROPN;NOM;MASC;SG;3	
ٹولا	band	ٹولا	band	PROPN;NOM;MASC;SG;3	
ٹولی	ban	ٹولی	ban	N;NOM;FEM;SG;3	
ٹولی	band	ٹولی	band	N;NOM;FEM;SG;3	
ٹونا	spell	ٹونا	spell	V;SG;V.PTCP;ACT	N
ٹونا	thuật	ٹونا	thuật	V;SG;V.PTCP;ACT	N
ٹونا	magic	ٹونا	magic	V;SG;V.PTCP;ACT	N
ٹونا	fascination	ٹونا	fascination	V;SG;V.PTCP;ACT	N
ٹونا	charm	ٹونا	charm	V;SG;V.PTCP;ACT	N
ٹونٹی	nhấn	ٹونٹی	nhấn	N;NOM;FEM;SG;3	V
ٹونک	end	ٹونک	end	PROPN;NOM;MASC;SG;3	
ٹونک	kết	ٹونک	kết	PROPN;NOM;MASC;SG;3	N
ٹوہ	touch	ٹوہ	touch		N
ٹوہ	ống	ٹوہ	ống		N
ٹوہ	sờ	ٹوہ	sờ		V
ٹوہ	chạm	ٹوہ	chạm		V
ٹوہاٹوئی	tìm	ٹوہاٹوئی	tìm	PROPN;NOM;MASC;SG;3	V
ٹوہاٹوئی	gẫm	ٹوہاٹوئی	gẫm	PROPN;NOM;MASC;SG;3	V
ٹوہنا	tìm	ٹوہنا	tìm	PROPN;NOM;MASC;SG;3	V
ٹوہنا	touch	ٹوہنا	touch	PROPN;NOM;MASC;SG;3	N
ٹوہنا	ống	ٹوہنا	ống	PROPN;NOM;MASC;SG;3	N
ٹوہنا	sờ	ٹوہنا	sờ	PROPN;NOM;MASC;SG;3	V
ٹوہنا	chạm	ٹوہنا	chạm	PROPN;NOM;MASC;SG;3	V
ٹوہیا	tracker	ٹوہیا	tracker	PROPN;NOM;MASC;SG;3	N
ٹوہیا	chaser	ٹوہیا	chaser	PROPN;NOM;MASC;SG;3	
ٹُوئِیّاں	bài	ٹُوئِیی	bài	PROPN;NOM;MASC;SG;3	N
ٹُوئِیّاں	ngắn	ٹُوئِیی	ngắn	PROPN;NOM;MASC;SG;3	ADJ
ٹُوئِیّاں	short	ٹُوئِیی	short	PROPN;NOM;MASC;SG;3	
ٹُوئِیّاں	lá	ٹُوئِیی	lá	PROPN;NOM;MASC;SG;3	N
ٹہلنا	die	ٹہل	die	V;MASC;SG;NFIN;ACT	
ٹہلنا	die	ٹہل	die	V;MASC;SG;NFIN;ACT	
ٹہنی	thơm	ٹہنی	thơm	ADJ	N
ٹہوکا	đứt	ٹہوکا	đứt	PROPN;NOM;MASC;SG;3	V
ٹہوکا	thump	ٹہوکا	thump	PROPN;NOM;MASC;SG;3	
ٹہوکا	đứt	ٹہوکا	đứt	PROPN;NOM;MASC;SG;3	V
ٹہوکا	thump	ٹہوکا	thump	PROPN;NOM;MASC;SG;3	
ٹُیّاں	nhỏ	ٹُیّاں	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹُیّاں	wee	ٹُیّاں	wee	PROPN;NOM;MASC;SG;3	N
ٹِیپ	bond	ٹِیپ	bond	PROPN;NOM;MASC;SG;3	N
ٹِیپ	clip	ٹِیپ	clip	PROPN;NOM;MASC;SG;3	N
ٹِیپنا	xem	ٹِیپنا	xem	PROPN;NOM;MASC;SG;3	V
ٹِیپنا	xem	ٹِیپنا	xem	PROPN;NOM;MASC;SG;3	V
ٹِیپنا	nhìn	ٹِیپنا	nhìn	PROPN;NOM;MASC;SG;3	V
ٹِیپنا	bóc	ٹِیپنا	bóc	PROPN;NOM;MASC;SG;3	V
ٹِیپنا	nhấn	ٹِیپنا	nhấn	PROPN;NOM;MASC;SG;3	V
ٹِیپنا	bào	ٹِیپنا	bào	PROPN;NOM;MASC;SG;3	N
ٹِیپنا	ấn	ٹِیپنا	ấn	PROPN;NOM;MASC;SG;3	N
ٹِیپنا	bấm	ٹِیپنا	bấm	PROPN;NOM;MASC;SG;3	V
ٹیٹوا	họng	ٹیٹوا	họng	PROPN;NOM;MASC;SG;3	N
ٹیر	gọi	ٹیر	gọi		V
ٹیر	cẩm	ٹیر	cẩm		N
ٹیر	khóc	ٹیر	khóc		V
ٹیر	voice	ٹیر	voice		N
ٹیر	giọng	ٹیر	giọng		N
ٹیرنا	chant	ٹیرنا	chant	PROPN;NOM;MASC;SG;3	
ٹیرنا	ca	ٹیرنا	ca	PROPN;NOM;MASC;SG;3	N
ٹیرنا	hát	ٹیرنا	hát	PROPN;NOM;MASC;SG;3	V
ٹیرنا	la	ٹیرنا	la	PROPN;NOM;MASC;SG;3	
ٹیروا	fountain	ٹیروا	fountain	PROPN;NOM;MASC;SG;3	N
ٹیڑھا	angry	ٹیڑھا	angry	V;PFV;MASC;SG;V.PTCP;ACT	N
ٹیڑھا	bent	ٹیڑھا	bent	V;PFV;MASC;SG;V.PTCP;ACT	NUM
ٹیڑھا	khó	ٹیڑھا	khó	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹیڑھا	angry	ٹیڑھا	angry	V;PFV;MASC;SG;V.PTCP;ACT	N
ٹیڑھا	bent	ٹیڑھا	bent	V;PFV;MASC;SG;V.PTCP;ACT	NUM
ٹیڑھا	liền	ٹیڑھا	liền	V;PFV;MASC;SG;V.PTCP;ACT	
ٹیڑھا	khó	ٹیڑھا	khó	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹِیس	throb	ٹِیس	throb	PROPN;NOM;MASC;SG;3	
ٹیسُوا	tear	ٹیسُوا	tear	PROPN;NOM;MASC;SG;3	
ٹیسُوا	xé	ٹیسُوا	xé	PROPN;NOM;MASC;SG;3	V
ٹیک	ridge	ٹیک	ridge	PROPN;NOM;MASC;SG;3	
ٹیک	đèo	ٹیک	đèo	PROPN;NOM;MASC;SG;3	N
ٹیک	thề	ٹیک	thề	PROPN;NOM;MASC;SG;3	V
ٹیک	bày	ٹیک	bày	PROPN;NOM;MASC;SG;3	V
ٹیک	cứu	ٹیک	cứu	PROPN;NOM;MASC;SG;3	V
ٹیک	giúp	ٹیک	giúp	PROPN;NOM;MASC;SG;3	V
ٹیک	hứa	ٹیک	hứa	PROPN;NOM;MASC;SG;3	V
ٹیک	mờ	ٹیک	mờ	PROPN;NOM;MASC;SG;3	N
ٹیک	mound	ٹیک	mound	PROPN;NOM;MASC;SG;3	
ٹیک	gò	ٹیک	gò	PROPN;NOM;MASC;SG;3	N
ٹیک	màn	ٹیک	màn	PROPN;NOM;MASC;SG;3	N
ٹیک	curtain	ٹیک	curtain	PROPN;NOM;MASC;SG;3	N
ٹیک	chăn	ٹیک	chăn	PROPN;NOM;MASC;SG;3	N
ٹیک	rèm	ٹیک	rèm	PROPN;NOM;MASC;SG;3	N
ٹیک	prop	ٹیک	prop	PROPN;NOM;MASC;SG;3	
ٹِیکا	phát	ٹِیکا	phát	PROPN;NOM;MASC;SG;3	V
ٹِیکا	bắn	ٹِیکا	bắn	PROPN;NOM;MASC;SG;3	V
ٹِیکا	spot	ٹِیکا	spot	PROPN;NOM;MASC;SG;3	
ٹِیکا	điểm	ٹِیکا	điểm	PROPN;NOM;MASC;SG;3	N
ٹِیکا	blot	ٹِیکا	blot	PROPN;NOM;MASC;SG;3	
ٹِیکا	tiêm	ٹِیکا	tiêm	PROPN;NOM;MASC;SG;3	V
ٹیکا	cứu	ٹیکا	cứu	PROPN;NOM;MASC;SG;3	V
ٹیکا	giúp	ٹیکا	giúp	PROPN;NOM;MASC;SG;3	V
ٹیکا	aid	ٹیکا	aid	PROPN;NOM;MASC;SG;3	
ٹیکا	prop	ٹیکا	prop	PROPN;NOM;MASC;SG;3	
ٹِیکرا	gò	ٹِیکرا	gò	PROPN;NOM;MASC;SG;3	N
ٹِیکری	tor	ٹِیکری	tor	PROPN;NOM;MASC;SG;3	V
ٹیکن	prop	ٹیکن	prop	PROPN;NOM;MASC;SG;3	
ٹیکنا	prop	ٹیکنا	prop	N;NOM;MASC;SG;3	
ٹیکنا	norad	ٹیکنا	norad	N;NOM;MASC;SG;3	
ٹیکنا	đặt	ٹیکنا	đặt	N;NOM;MASC;SG;3	V
ٹِیلا	gò	ٹِیلا	gò	PROPN;NOM;MASC;SG;3	N
ٹِیلا	đồi	ٹِیلا	đồi	PROPN;NOM;MASC;SG;3	N
ٹِیلا	ngổn	ٹِیلا	ngổn	PROPN;NOM;MASC;SG;3	V
ٹِیلا	hill	ٹِیلا	hill	PROPN;NOM;MASC;SG;3	
ٹِیلا	hoan	ٹِیلا	hoan	PROPN;NOM;MASC;SG;3	
ٹِیلا	đống	ٹِیلا	đống	PROPN;NOM;MASC;SG;3	
ٹِیلا	mound	ٹِیلا	mound	PROPN;NOM;MASC;SG;3	
ٹِیلا	gò	ٹِیلا	gò	PROPN;NOM;MASC;SG;3	N
ٹِیمی	spark	ٹِیمی	spark	PROPN;NOM;MASC;SG;3	N
ٹِیمی	bugi	ٹِیمی	bugi	PROPN;NOM;MASC;SG;3	N
ٹِین	tin	ٹِین	tin	PROPN;NOM;MASC;SG;3	
ٹِین	thiếc	ٹِین	thiếc	PROPN;NOM;MASC;SG;3	N
ٹینٹوا	họng	ٹینٹوا	họng	PROPN;NOM;MASC;SG;3	N
ٹینی	nhỏ	ٹینی	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹینی	bantam	ٹینی	bantam	PROPN;NOM;MASC;SG;3	
ٹینی	nhỏ	ٹینی	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹینی	tiểu	ٹینی	tiểu	PROPN;NOM;MASC;SG;3	
ٹینی	nhỏ	ٹینی	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹینی	xíu	ٹینی	xíu	PROPN;NOM;MASC;SG;3	
ٹینی	tiny	ٹینی	tiny	PROPN;NOM;MASC;SG;3	
ٹینی	bantam	ٹینی	bantam	PROPN;NOM;MASC;SG;3	
ٹینی	nhỏ	ٹینی	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹینی	tiểu	ٹینی	tiểu	PROPN;NOM;MASC;SG;3	
ٹیو	trù	ٹیو	trù		N
ٹیو	fancy	ٹیو	fancy		N
ٹیو	đường	ٹیو	đường		N
ٹیو	bịp	ٹیو	bịp		N
ٹیو	lừa	ٹیو	lừa		V
ٹیوا	trù	ٹیوا	trù	PROPN;NOM;MASC;SG;3	N
ٹھا	trạm	ٹھا	trạm		N
ٹھا	ga	ٹھا	ga		N
ٹھا	nơi	ٹھا	nơi		N
ٹھا	chỗ	ٹھا	chỗ		N
ٹھاٹ	tiền	ٹھاٹ	tiền		N
ٹھاٹ	splendour	ٹھاٹ	splendour		V
ٹھاٹ	elegance	ٹھاٹ	elegance		N
ٹھاٹر	lattice	ٹھاٹر	lattice	PROPN;NOM;MASC;SG;3	V
ٹھاٹر	bier	ٹھاٹر	bier	PROPN;NOM;MASC;SG;3	
ٹھاٹھا	rising	ٹھاٹھا	rising	PROPN;NOM;MASC;SG;3	
ٹھاٹھا	sưng	ٹھاٹھا	sưng	PROPN;NOM;MASC;SG;3	ADJ
ٹھار	tuyết	ٹھار	tuyết		N
ٹھاڑا	stout	ٹھاڑا	stout	PROPN;NOM;MASC;SG;3	
ٹھاڑا	đứng	ٹھاڑا	đứng	PROPN;NOM;MASC;SG;3	V
ٹھاڑا	dốc	ٹھاڑا	dốc	PROPN;NOM;MASC;SG;3	N
ٹھاکُر	idol	ٹھاکُر	idol	PROPN;NOM;MASC;SG;3	N
ٹھاکُر	thakur	ٹھاکُر	thakur	PROPN;NOM;MASC;SG;3	
ٹھاکُر	thầy	ٹھاکُر	thầy	PROPN;NOM;MASC;SG;3	N
ٹھالی	useless	ٹھالی	useless	PROPN;NOM;MASC;SG;3	
ٹھالی	sprig	ٹھالی	sprig	PROPN;NOM;MASC;SG;3	
ٹھان	intention	ٹھان	intention	N;NOM;MASC;SG;3	
ٹھاں	đục	ٹھاں	đục		V
ٹھاں	boom	ٹھاں	boom		N
ٹھانسنا	cram	ٹھانسنا	cram	V;MASC;SG;ACT	
ٹھانسنا	đồ	ٹھانسنا	đồ	V;MASC;SG;ACT	N
ٹھانسنا	stuff	ٹھانسنا	stuff	V;MASC;SG;ACT	
ٹھپّا	stamp	ٹھپّا	stamp	PROPN;NOM;MASC;SG;3	
ٹھپّا	tem	ٹھپّا	tem	PROPN;NOM;MASC;SG;3	N
ٹھپّا	die	ٹھپّا	die	PROPN;NOM;MASC;SG;3	
ٹھپّا	chết	ٹھپّا	chết	PROPN;NOM;MASC;SG;3	V
ٹھپّا	pattern	ٹھپّا	pattern	PROPN;NOM;MASC;SG;3	V
ٹھپّا	mẫu	ٹھپّا	mẫu	PROPN;NOM;MASC;SG;3	N
ٹھٹھّا	jest	ٹھٹھّا	jest	PROPN;NOM;MASC;SG;3	
ٹھٹھّا	fun	ٹھٹھّا	fun	PROPN;NOM;MASC;SG;3	N
ٹھٹھّا	ké	ٹھٹھّا	ké	PROPN;NOM;MASC;SG;3	N
ٹھٹھّا	vui	ٹھٹھّا	vui	PROPN;NOM;MASC;SG;3	
ٹھٹھّا	joke	ٹھٹھّا	joke	PROPN;NOM;MASC;SG;3	N
ٹھٹھّا	đùa	ٹھٹھّا	đùa	PROPN;NOM;MASC;SG;3	V
ٹھٹھّا	đểu	ٹھٹھّا	đểu	PROPN;NOM;MASC;SG;3	PART
ٹھٹھانا	phật	ٹھٹھا	phật	V;MASC;SG;NFIN;ACT	N
ٹھٹھانا	strike	ٹھٹھا	strike	V;MASC;SG;NFIN;ACT	N
ٹھٹھانا	slr	ٹھٹھا	slr	V;MASC;SG;NFIN;ACT	N
ٹِھٹھر	frost	ٹِھٹھر	frost	PROPN;NOM;MASC;SG;3	
ٹھٹھّر	bier	ٹھٹھّر	bier	PROPN;NOM;MASC;SG;3	
ٹِھٹھرانا	chill	ٹِھٹھرانا	chill	PROPN;NOM;MASC;SG;3	
ٹھٹھری	bier	ٹھٹھری	bier	PROPN;NOM;FEM;SG;3	
ٹھٹھول	jester	ٹھٹھول	jester	PROPN;NOM;MASC;SG;3	
ٹھٹھول	fun	ٹھٹھول	fun	PROPN;NOM;MASC;SG;3	N
ٹھٹھول	ké	ٹھٹھول	ké	PROPN;NOM;MASC;SG;3	N
ٹھٹھول	vui	ٹھٹھول	vui	PROPN;NOM;MASC;SG;3	
ٹھٹھولی	đùa	ٹھٹھولی	đùa	PROPN;NOM;MASC;SG;3	V
ٹھٹھیرا	tinker	ٹھٹھیرا	tinker	PROPN;NOM;MASC;SG;3	N
ٹھٹھیرا	brazier	ٹھٹھیرا	brazier	PROPN;NOM;MASC;SG;3	
ٹھٹھیرا	tinker	ٹھٹھیرا	tinker	PROPN;NOM;MASC;SG;3	N
ٹھڈّا	backbone	ٹھڈّا	backbone	PROPN;NOM;MASC;SG;3	N
ٹُھڈّا	đá	ٹُھڈّا	đá	PROPN;NOM;MASC;SG;3	N
ٹِھر	chill	ٹِھر	chill	PROPN;NOM;MASC;SG;3	
ٹھس	lụt	ٹھس	lụt		V
ٹھس	đặc	ٹھس	đặc		N
ٹھس	lat	ٹھس	lat		N
ٹھس	biếng	ٹھس	biếng		ADJ
ٹھس	lười	ٹھس	lười		ADJ
ٹھس	nặng	ٹھس	nặng		ADJ
ٹھس	lụt	ٹھس	lụt		V
ٹھس	ngu	ٹھس	ngu		V
ٹھس	đặc	ٹھس	đặc		N
ٹھس	lat	ٹھس	lat		N
ٹھس	biếng	ٹھس	biếng		ADJ
ٹھس	lười	ٹھس	lười		ADJ
ٹھس	nặng	ٹھس	nặng		ADJ
ٹھسّا	stamp	ٹھسّا	stamp	PROPN;NOM;MASC;SG;3	
ٹھسّا	tem	ٹھسّا	tem	PROPN;NOM;MASC;SG;3	N
ٹھسّا	ngạo	ٹھسّا	ngạo	PROPN;NOM;MASC;SG;3	N
ٹھسّا	vanity	ٹھسّا	vanity	PROPN;NOM;MASC;SG;3	
ٹھسّا	xem	ٹھسّا	xem	PROPN;NOM;MASC;SG;3	V
ٹھسّا	hiện	ٹھسّا	hiện	PROPN;NOM;MASC;SG;3	N
ٹھسّا	show	ٹھسّا	show	PROPN;NOM;MASC;SG;3	
ٹھسّا	splash	ٹھسّا	splash	PROPN;NOM;MASC;SG;3	N
ٹھسک	ngạo	ٹھسک	ngạo		N
ٹھسک	cú	ٹھسک	cú		N
ٹھسک	đòn	ٹھسک	đòn		N
ٹھسکا	mát	ٹھسکا	mát		ADJ
ٹھسکا	sốc	ٹھسکا	sốc		N
ٹُھسکنا	sob	ٹُھسکنا	sob	V;MASC;SG;ACT	
ٹِھکانا	website	ٹِھکانا	website	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	site	ٹِھکانا	site	V;MASC;SG;NFIN;ACT	
ٹِھکانا	hướng	ٹِھکانا	hướng	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	spot	ٹِھکانا	spot	V;MASC;SG;NFIN;ACT	
ٹِھکانا	điểm	ٹِھکانا	điểm	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	end	ٹِھکانا	end	V;MASC;SG;NFIN;ACT	
ٹِھکانا	kết	ٹِھکانا	kết	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	reliance	ٹِھکانا	reliance	V;MASC;SG;NFIN;ACT	
ٹِھکانا	tin	ٹِھکانا	tin	V;MASC;SG;NFIN;ACT	
ٹِھکانا	nơi	ٹِھکانا	nơi	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	chỗ	ٹِھکانا	chỗ	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	hạn	ٹِھکانا	hạn	V;MASC;SG;NFIN;ACT	N
ٹِھکانا	nhà	ٹِھکانا	nhà	V;MASC;SG;NFIN;ACT	N
ٹھکٹھکانا	pat	ٹھکٹھکانا	pat	V;MASC;SG;NFIN;ACT	
ٹھکٹھکانا	cốc	ٹھکٹھکانا	cốc	V;MASC;SG;NFIN;ACT	N
ٹھکٹھکانا	diss	ٹھکٹھکانا	diss	V;MASC;SG;NFIN;ACT	
ٹُھکرانا	đá	ٹُھکرانا	đá	V;SG;NFIN;ACT	N
ٹھگ	cheat	ٹھگ	cheat		N
ٹھگ	cheat	ٹھگ	cheat		N
ٹھگنا	cheat	ٹھگ	cheat	PROPN;NOM;MASC;SG;3	N
ٹھگنا	rob	ٹھگ	rob	PROPN;NOM;MASC;SG;3	
ٹھگنا	cướp	ٹھگ	cướp	PROPN;NOM;MASC;SG;3	V
ٹھگی	deception	ٹھگی	deception	PROPN;NOM;MASC;SG;3	V
ٹھلّا	mạnh	ٹھلّا	mạnh	PROPN;NOM;MASC;SG;3	ADJ
ٹھلّا	strong	ٹھلّا	strong	PROPN;NOM;MASC;SG;3	
ٹھلّا	stout	ٹھلّا	stout	PROPN;NOM;MASC;SG;3	
ٹُھمکا	nhỏ	ٹُھمکا	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹُھمکا	bài	ٹُھمکا	bài	PROPN;NOM;MASC;SG;3	N
ٹُھمکا	ngắn	ٹُھمکا	ngắn	PROPN;NOM;MASC;SG;3	ADJ
ٹُھمکا	short	ٹُھمکا	short	PROPN;NOM;MASC;SG;3	
ٹُھمکا	lá	ٹُھمکا	lá	PROPN;NOM;MASC;SG;3	N
ٹھناک	clink	ٹھناک	clink	PROPN;NOM;MASC;SG;3	
ٹھناک	jingle	ٹھناک	jingle	PROPN;NOM;MASC;SG;3	N
ٹھنٹھنانا	jingle	ٹھنٹھنانا	jingle	V;NFIN	N
ٹھنڈ	winter	ٹھنڈ	winter	N;NOM;MASC;SG;3	
ٹھنڈ	chill	ٹھنڈ	chill	N;NOM;MASC;SG;3	
ٹھنڈ	lạnh	ٹھنڈ	lạnh	N;NOM;MASC;SG;3	ADJ
ٹھنڈا	nhẹ	ٹھنڈا	nhẹ	V;PFV;MASC;SG;V.PTCP;ACT	
ٹھنڈا	ngầu	ٹھنڈا	ngầu	V;PFV;MASC;SG;V.PTCP;ACT	N
ٹھنڈا	tuyệt	ٹھنڈا	tuyệt	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹھنڈا	mát	ٹھنڈا	mát	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹھنڈا	cool	ٹھنڈا	cool	V;PFV;MASC;SG;V.PTCP;ACT	
ٹھنڈا	lạnh	ٹھنڈا	lạnh	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹھنڈا	nhân	ٹھنڈا	nhân	V;PFV;MASC;SG;V.PTCP;ACT	
ٹھنڈا	nhẹ	ٹھنڈا	nhẹ	V;PFV;MASC;SG;V.PTCP;ACT	
ٹھنڈا	ngầu	ٹھنڈا	ngầu	V;PFV;MASC;SG;V.PTCP;ACT	N
ٹھنڈا	tuyệt	ٹھنڈا	tuyệt	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹھنڈا	mát	ٹھنڈا	mát	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹھنڈا	cool	ٹھنڈا	cool	V;PFV;MASC;SG;V.PTCP;ACT	
ٹھنڈا	lạnh	ٹھنڈا	lạnh	V;PFV;MASC;SG;V.PTCP;ACT	ADJ
ٹھنڈا	nhân	ٹھنڈا	nhân	V;PFV;MASC;SG;V.PTCP;ACT	
ٹھنڈک	comfort	ٹھنڈک	comfort		N
ٹھنڈک	solace	ٹھنڈک	solace		
ٹھنڈک	comfort	ٹھنڈک	comfort		N
ٹھنڈک	solace	ٹھنڈک	solace		
ٹِھنک	sob	ٹِھنک	sob	PROPN;NOM;MASC;SG;3	
ٹھنکنا	clink	ٹھنک	clink	V;SG;NFIN;ACT	
ٹھنکنا	jingle	ٹھنک	jingle	V;SG;NFIN;ACT	N
ٹِھنکنا	whine	ٹِھنکنا	whine	PROPN;ACC;MASC;SG;3	
ٹِھنگنا	nhỏ	ٹِھنگنا	nhỏ	PROPN;NOM;MASC;SG;3	ADJ
ٹِھنگنا	lùn	ٹِھنگنا	lùn	PROPN;NOM;MASC;SG;3	ADJ
ٹِھنگنا	phơ	ٹِھنگنا	phơ	PROPN;NOM;MASC;SG;3	
ٹھور	nơi	ٹھور	nơi		N
ٹھور	chỗ	ٹھور	chỗ		N
ٹھور	vết	ٹھور	vết		N
ٹھور	phòng	ٹھور	phòng		N
ٹھورٹھکانا	vết	ٹھورٹھکانا	vết	PROPN;NOM;MASC;SG;3	N
ٹھورٹھکانا	trace	ٹھورٹھکانا	trace	PROPN;NOM;MASC;SG;3	
ٹھوس	lụt	ٹھوس	lụt	ADJ	V
ٹھوس	thật	ٹھوس	thật	ADJ	PART
ٹھوس	compact	ٹھوس	compact	ADJ	N
ٹھوس	nén	ٹھوس	nén	ADJ	
ٹھوس	lụt	ٹھوس	lụt	ADJ	V
ٹھوس	thật	ٹھوس	thật	ADJ	PART
ٹھوس	đặc	ٹھوس	đặc	ADJ	N
ٹھوس	compact	ٹھوس	compact	ADJ	N
ٹھوس	nén	ٹھوس	nén	ADJ	
ٹُھوسنا	cram	ٹُھوسنا	cram	PROPN;NOM;MASC;SG;3	
ٹھوک	hỉ	ٹھوک	hỉ		N
ٹھوک	thổi	ٹھوک	thổi		V
ٹھوک	strike	ٹھوک	strike		N
ٹھوک	đâm	ٹھوک	đâm		V
ٹھوک	slr	ٹھوک	slr		N
ٹھوکا	strike	ٹھوکا	strike	PROPN;NOM;MASC;SG;3	N
ٹھوکا	đâm	ٹھوکا	đâm	PROPN;NOM;MASC;SG;3	V
ٹھوکا	slr	ٹھوکا	slr	PROPN;NOM;MASC;SG;3	N
ٹھوکا	cốc	ٹھوکا	cốc	PROPN;NOM;MASC;SG;3	N
ٹھوکا	gõ	ٹھوکا	gõ	PROPN;NOM;MASC;SG;3	V
ٹھوکا	diss	ٹھوکا	diss	PROPN;NOM;MASC;SG;3	
ٹھوکا	hỉ	ٹھوکا	hỉ	PROPN;NOM;MASC;SG;3	N
ٹھوکا	thổi	ٹھوکا	thổi	PROPN;NOM;MASC;SG;3	V
ٹھوکر	mát	ٹھوکر	mát	V;ACT	ADJ
ٹھوکر	đá	ٹھوکر	đá	V;ACT	N
ٹھوکنا	thrash	ٹھوک	thrash	V;SG;NFIN;ACT	N
ٹھوکنا	phật	ٹھوک	phật	V;SG;NFIN;ACT	N
ٹُھونسنا	đánh	ٹُھونسنا	đánh	PROPN;NOM;MASC;SG;3	V
ٹُھونسنا	phật	ٹُھونسنا	phật	PROPN;NOM;MASC;SG;3	N
ٹُھونسنا	đồ	ٹُھونسنا	đồ	PROPN;NOM;MASC;SG;3	N
