विपक्षी	антагонисти	विपक्षी	антагонист	N;NOM;MASC;SG;3	N;INDF;MASC;PL
मूर्तिकला	скулптури	मूर्तिकला	скулптура	N;NOM;FEM;SG;3	N;INDF;FEM;PL
शाश्वत	вечност	शाश्वत	вечност		N;INDF;FEM;SG
शाश्वत	вечността	शाश्वत	вечност		N;DEF;FEM;SG
बैग	торбички	बैग	торбичка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
बैग	чанти	बैग	чанта	N;NOM;MASC;SG;3	N;INDF;FEM;PL
बैग	торби	बैग	торба	N;NOM;MASC;SG;3	N;INDF;FEM;PL
नर्तक	танцьорки	नर्तक	танцьорка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
नर्तक	танцьори	नर्तक	танцьор	N;NOM;MASC;SG;3	N;INDF;MASC;PL
नर्तक	танцьорите	नर्तक	танцьор	N;NOM;MASC;SG;3	N;DEF;MASC;PL
पढ़ना	четенето	पढ़	четене	V;MASC;NFIN;ACT	N;DEF;NEUT;SG
पढ़ना	четене	पढ़	четене	V;MASC;NFIN;ACT	N;INDF;NEUT;SG
ब्रॉडबैंड	широколентови	ब्रॉडबैंड	широколентов	N;NOM;MASC;SG;3	ADJ;INDF;PL
मैनुअल	ръчна	मैनुअल	ръчен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मैनुअल	ръчни	मैनुअल	ръчен	N;NOM;MASC;SG;3	ADJ;INDF;PL
दर्जन	дузини	दर्जन	дузина	N;NOM;MASC;SG;3	N;INDF;FEM;PL
सस्ती	достъпни	सस्ती	достъпен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
सस्ती	евтино	सस्ती	евтин	ADJ;NOM;FEM;SG	ADV
सस्ती	евтини	सस्ती	евтин	ADJ;NOM;FEM;SG	ADJ;INDF;PL
बेखम	бекъм	बेखम	бекъм	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
पोषित	подхранват	पोषित	подхранвам	PROPN;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN;ACT
स्याही	мастило	स्याही	мастило		N;INDF;NEUT;SG
स्याही	мастилото	स्याही	мастило		N;DEF;NEUT;SG
रॉस	рос	रॉस	рос	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
हल्दी	куркума	हल्दी	куркум	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
पूछे	попитал	पूछ	попитам	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
पूछे	попитала	पूछ	попитам	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
पूछे	попита	पूछ	попитам	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
सेब	apple	सेब	apple	N;NOM;MASC;SG;3	PROPN
रो	плаче	रो	плаче		V;IPFV;IND;SG;3;PRS;FIN;ACT
रो	плач	रो	плач		N;INDF;MASC;SG
रो	плача	रो	плача-(се)		N;INDF;FEM;SG
रो	плачат	रो	плача-(се)		V;IPFV;IND;PL;3;PRS;FIN;ACT
पुस्तकालयों	библиотеката	पुस्तकाल	библиотека	N;ACC;MASC;PL;3	N;DEF;FEM;SG
पुस्तकालयों	библиотека	पुस्तकाल	библиотека	N;ACC;MASC;PL;3	N;INDF;FEM;SG
अश्लील	порно	अश्लील	порно	ADJ	N;INDF;NEUT;SG
आपात	спешно	आपात	спешно	N;NOM;MASC;SG;3	ADV
नामीबिया	намибия	नामीबिया	намибия	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
एनी	ани	एनी	ани	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
नगरीय	градско	नगरीय	градски	N;NOM;MASC;SG;3	ADV
नगरीय	градска	नगरीय	градски	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
नगरीय	градски	नगरीय	градски	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
जैकी	джаки	जैकी	джак	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
जैकी	джеки	जैकी	джека	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जैकी	джаки	जैकी	джак	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
क्रोधित	бесен	क्रोधित	бесен	ADJ	N;INDF;MASC;SG
क्रोधित	бесен	क्रोधित	бесен	ADJ	N;INDF;MASC;SG
क्रोधित	ядосан	क्रोधित	ядосам-(се)	ADJ	N;INDF;MASC;SG
क्रोधित	ядосана	क्रोधित	ядосам-(се)	ADJ	N;INDF;FEM;SG
तात्कालिक	спешна	तात्कालिक	спешен	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
तात्कालिक	спешно	तात्कालिक	спешно	PROPN;NOM;SG;3	ADV
तात्कालिक	незабавно	तात्कालिक	незабавно	PROPN;NOM;SG;3	ADV
तांत्रिक	тантра	तांत्रिक	тантър	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
कमांड	команди	कमांड	команд	N;NOM;MASC;SG;3	N;INDF;MASC;PL
कमांड	командите	कमांड	команд	N;NOM;MASC;SG;3	N;DEF;MASC;PL
कोबेन	кобейн	कोबेन	кобейн	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
विवेकानन्द	вивекананда	विवेकानन्द	вивекананда	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
बुराई	зла	बुराई	зъл	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
बुराई	зъл	बुराई	зъл	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
बुराई	зли	बुराई	зли	N;NOM;FEM;SG;3	N;INDF;MASC;PL
टाइपिंग	пишеш	टाइपिंग	пиша	N;NOM;FEM;SG;3	V;IPFV;IND;SG;2;PRS;FIN;ACT
उत्तेजक	провокативно	उत्तेजक	провокативен	PROPN;NOM;SG;3	ADV
उत्तेजक	стимулант	उत्तेजक	стимулант	PROPN;NOM;SG;3	N;INDF;MASC;SG
दशमलव	десетична	दशमलव	десетичен		ADJ;INDF;FEM;SG
काई	кай	काई	кай		PROPN;INDF;MASC;SG
क्रूर	жесток	क्रूर	жесток	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
क्रूर	жестоко	क्रूर	жестоко	PROPN;NOM;MASC;SG;3	ADV
क्रूर	жестока	क्रूर	жесток	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
क्रूर	жестоки	क्रूर	жесток	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
क्रूर	брутална	क्रूर	брутален	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
क्रूर	брутални	क्रूर	брутален	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
क्रूर	брутален	क्रूर	брутален	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
क्रूर	брутално	क्रूर	брутално	PROPN;NOM;MASC;SG;3	ADV
जोनाथन	джонатан	जोनाथन	джонатам	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
फ्लाइट	полета	फ्लाइट	поле	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
मीणा	мина	मीणा	мина-(се)	PROPN;NOM;MASC;SG;3	V;PFV;IND;SG;3;PST;FIN;ACT
सैर	разходки	सैर	разходка	N;NOM;FEM;SG;3	N;INDF;FEM;PL
सैर	пеша	सैर	пеша	N;NOM;FEM;SG;3	ADV
चिकनी	гладко	चिकना	гладко	ADJ;NOM;FEM;SG	ADV
चिकनी	плавно	चिकना	плавно	ADJ;NOM;FEM;SG	ADV
चिकनी	гладки	चिकना	гладка	ADJ;NOM;FEM;SG	ADJ;INDF;PL
चिकनी	гладка	चिकना	гладка	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
चिकनी	мазна	चिकना	мазна	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
चिकनी	мазни	चिकना	мазен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
चिकनी	мазно	चिकना	мазно	ADJ;NOM;FEM;SG	ADV
कैनेडी	кенеди	कैनेडी	кенеда	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
टाई	равенство	टाई	равенство		N;INDF;NEUT;SG
टाई	вратовръзка	टाई	вратовръзка		N;INDF;FEM;SG
अनुवादित	преведени	अनुवादित	преведа	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
करोड़ों	безброй	करोड	безброй	N;ACC;MASC;PL;3	ADV
गा	пей	गा	пей	V;SG;FIN;ACT	INTJ
पूछताछ	проверки	पूछताछ	проверка	N;NOM;FEM;SG;3	N;INDF;FEM;PL
पूछताछ	запитвания	पूछताछ	запитване	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
सर्पिल	спирала	सर्पिल	спирам-(се)	N;NOM;FEM;SG;3	V;IPFV;INDF;FEM;SG;PST;V.PTCP;ACT
सर्पिल	спиралата	सर्पिल	спирам-(се)	N;NOM;FEM;SG;3	ADJ;IPFV;DEF;FEM;SG;PRS;V.PTCP;ACT
गवाही	свидетелства	गवाही	свидетелство	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
गवाही	показания	गवाही	показание	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
वॉकर	уокър	वॉकर	уокър	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
वॉकर	уолкър	वॉकर	уолкър	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
समाविष्ट	въплътен	समाविष्ट	въплътен	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
फिजी	фиджи	फिजी	фиджа	PROPN;NOM;MASC;SG;3	N;INDF;PL
हुक	хук	हुक	хук	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
फिल	фил	फिल	фил	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
फिलीपींस	филипините	फिलीपींस	филипина	PROPN;NOM;MASC;SG;3	N;DEF;MASC;PL
सपाट	плоски	सपाट	плоска		ADJ;INDF;PL
सपाट	апартамент	सपाट	апартамент		N;INDF;MASC;SG
सपाट	плоско	सपाट	плоско		ADV
सपाट	плоска	सपाट	плоска		N;INDF;FEM;SG
सपाट	плосък	सपाट	плосък		ADJ;INDF;MASC;SG
नक़ल	копия	नक़ल	копие	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
केन्या	кения	केन्या	кен	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
बर्बाद	отпадък	बर्बाद	отпадък	ADJ	N;INDF;MASC;SG
बर्बाद	отпадъци	बर्बाद	отпадък	ADJ	N;INDF;MASC;PL
कस्टम	митническа	कस्टम	митнически	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
कस्टम	митническо	कस्टम	митнически	N;NOM;MASC;SG;3	ADV
कस्टम	митнически	कस्टम	митнически	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
कस्टम	митници	कस्टम	митница	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कस्टम	обичаи	कस्टम	обичай	N;NOM;MASC;SG;3	N;INDF;MASC;PL
कस्टम	потребителски	कस्टम	потребителски	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
कस्टम	обичай	कस्टम	обичам	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN
अकादमिक	академични	अकादमिक	академичен	N;NOM;MASC;SG;3	ADJ;INDF;PL
अकादमिक	академична	अकादमिक	академичен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
शेन	шейн	शेन	шейн	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
असीम	асим	असीम	асим		N;INDF;MASC;SG
असीम	безкрайни	असीम	безкраен		ADJ;INDF;PL
असीम	безкрайно	असीम	безкраен		ADV
असीम	безкраен	असीम	безкраен		ADJ;INDF;MASC;SG
असीम	безкрайна	असीम	безкраен		ADJ;INDF;FEM;SG
एकजुट	обедини	एकजुट	обединя-(се)	ADV	V;PFV;IMP;SG;2;FIN
दांते	данте	दान्ता	данта	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
बगीचे	градински	बगीचा	градински	N;NOM;MASC;PL;3	ADJ;INDF;MASC;SG
बगीचे	градината	बगीचा	градина	N;NOM;MASC;PL;3	N;DEF;FEM;SG
बगीचे	гардън	बगीचा	гардън	N;NOM;MASC;PL;3	N;INDF;MASC;SG
बगीचे	градинка	बगीचा	градинка	N;NOM;MASC;PL;3	N;INDF;FEM;SG
बगीचे	градина	बगीचा	градина	N;NOM;MASC;PL;3	N;INDF;FEM;SG
मुराद	мурад	मुराद	мурад	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
ईमान	фейт	ईमान	фейт	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
भट्टी	пещ	भट्टी	пещ		N;INDF;FEM;SG
भट्टी	котел	भट्टी	котел		N;INDF;MASC;SG
केली	кели	केली	келя	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
केली	кейли	केली	кейля	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
सर्बिया	сърбия	सर्बिया	сърбия	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
दृष्टिगोचर	видима	दृष्टिगोचर	видим	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
दृष्टिगोचर	видими	दृष्टिगोचर	видим	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
दृष्टिगोचर	видимо	दृष्टिगोचर	видимо	PROPN;NOM;MASC;SG;3	ADV
तोप	оръдия	तोप	оръди	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
तोप	кенън	तोप	кенън	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
दूरभाष	телефон	दूरभाष	телефон	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
आंत्र	тиф	आंत्र	тиф		N;INDF;FEM;SG
उड़	полети	उड़	полет	V;ACT	N;INDF;MASC;PL
गुजरता	пропуски	गुजरता	пропуски	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;MASC;PL
गुजरता	проходи	गुजरता	проходя	V;IPFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;PL
माली	малдивите	माली	малдив	PROPN;NOM;MASC;SG;3	N;DEF;MASC;PL
माली	градинар	माली	градинар	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
माली	мали	माली	маля	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
सिएटल	сиатъл	सिएटल	сиатъл	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
प्रिया	прия	प्रिया	прия	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
टायर	гуми	टायर	гумя	N;NOM;MASC;SG;3	N;INDF;FEM;PL
टायर	гумите	टायर	гумя	N;NOM;MASC;SG;3	N;DEF;FEM;PL
टायर	гуми	टायर	гумя	N;NOM;MASC;SG;3	N;INDF;FEM;PL
टायर	гумите	टायर	гумя	N;NOM;MASC;SG;3	N;DEF;FEM;PL
सुधारक	реформатор	सुधारक	реформатор	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अठारह	eighteen	अठारह	eighteen	NUM	PROPN;INDF;MASC;SG
उत्खनन	разкопки	उत्खनन	разкопка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
पेंशन	пенсии	पेंशन	пенсия	N;NOM;FEM;SG;3	N;INDF;FEM;PL
पेंशन	пенсионно	पेंशन	пенсионно	N;NOM;FEM;SG;3	ADV
गरिमा	достойно	गरिमा	достойно	N;NOM;FEM;SG;3	ADV
धागे	прежда	धागा	прежда	N;NOM;MASC;PL;3	N;INDF;FEM;SG
सिलेंडर	бутилки	सिलेंडर	бутилка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
सिलेंडर	цилиндри	सिलेंडर	цилиндър	N;NOM;MASC;SG;3	N;INDF;MASC;PL
मैक्सिकन	мексиканска	मैक्सिकन	мексикански		ADJ;INDF;FEM;SG
मैक्सिकन	мексиканец	मैक्सिकन	мексиканец		N;INDF;MASC;SG
मैक्सिकन	мексикански	मैक्सिकन	мексикански		ADJ;INDF;MASC;SG
मैक्सिकन	мексиканско	मैक्सिकन	мексикански		ADV
देशो	държави	देशो	държава	N;NOM;MASC;SG;3	N;INDF;FEM;PL
देशो	страни	देशो	страна	N;NOM;MASC;SG;3	N;INDF;FEM;PL
कोलम्बिया	колумбия	कोलम्बिया	колумбия	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
कैसा	как	कैसा	как	PRO	ADV
स्टीवन	стивън	स्टीवन	стивън	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
टेल	разказ	टेल	разказ		N;INDF;MASC;SG
टेल	приказка	टेल	приказка		N;INDF;FEM;SG
टेल	опашка	टेल	опашка		N;INDF;FEM;SG
टेल	опашката	टेल	опашка		N;DEF;FEM;SG
कबीले	племето	कबीला	племе	N;NOM;MASC;PL;3	N;DEF;NEUT;SG
कबीले	племе	कबीला	племе	N;NOM;MASC;PL;3	N;INDF;NEUT;SG
रणनीतिक	стратегическо	रणनीतिक	стратегически	ADJ;NOM	ADV
रणनीतिक	тактическо	रणनीतिक	тактически	ADJ;NOM	ADV
झटके	шокира	झटका	шокирам	N;NOM;MASC;PL;3	V;PFV;IND;SG;3;PST;FIN;ACT
रीड	рийд	रीड	рийд	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
रीड	рид	रीड	рид	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
एमी	ейми	एमी	ейма	N;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
एमी	еми	एमी	еми	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मीन	риби	मीन	риба		N;INDF;FEM;PL
कनाडाई	канадци	कनाडाई	канадец	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
कनाडाई	канадска	कनाडाई	канадски	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
कनाडाई	канадец	कनाडाई	канадец	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
कनाडाई	канадски	कनाडाई	канадски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रिसाव	течове	रिसाव	теч	N;NOM;MASC;SG;3	N;INDF;MASC;PL
निषिद्ध	забранено	निषिद्ध	забраня		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
निषिद्ध	забранени	निषिद्ध	забраня		V;PFV;INDF;PL;V.PTCP;PASS
निषिद्ध	забранен	निषिद्ध	забраня		V;PFV;INDF;MASC;SG;V.PTCP;PASS
निषिद्ध	забранена	निषिद्ध	забраня		V;PFV;INDF;FEM;SG;V.PTCP;PASS
निषिद्ध	забранено	निषिद्ध	забраня		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
निषिद्ध	забранена	निषिद्ध	забраня		V;PFV;INDF;FEM;SG;V.PTCP;PASS
निषिद्ध	забранен	निषिद्ध	забраня		V;PFV;INDF;MASC;SG;V.PTCP;PASS
निषिद्ध	забранени	निषिद्ध	забраня		V;PFV;INDF;PL;V.PTCP;PASS
सेम	бийн	सेम	бийн		PROPN;INDF;MASC;SG
सेम	фасул	सेम	фасул		N;INDF;MASC;SG
रॉन	рон	रॉन	рон	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
बरसात	рейни	बरसात	реен	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
बरसात	дъждовен	बरसात	дъждовен	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
बरसात	дъждовна	बरसात	дъждовен	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
बरसात	дъждовни	बरसात	дъждовен	N;NOM;FEM;SG;3	ADJ;INDF;PL
फास्ट	бързо	फास्ट	бързо		ADV
फास्ट	бърз	फास्ट	бърз		ADJ;INDF;MASC;SG
यथार्थवाद	реализъм	यथार्थवाद	реализъм	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
तालिबान	талибаните	तालिबान	талибанин	PROPN;NOM;MASC;SG;3	N;DEF;MASC;PL
स्वादिष्ट	вкусно	स्वादिष्ट	вкусно	N;NOM;MASC;SG;3	ADV
स्वादिष्ट	вкусна	स्वादिष्ट	вкусен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
स्वादिष्ट	вкусен	स्वादिष्ट	вкусен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
स्वादिष्ट	вкусно	स्वादिष्ट	вкусно	N;NOM;MASC;SG;3	ADV
स्वादिष्ट	вкусна	स्वादिष्ट	вкусен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
स्वादिष्ट	вкусен	स्वादिष्ट	вкусен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
स्वादिष्ट	вкусно	स्वादिष्ट	вкусно	N;NOM;MASC;SG;3	ADV
स्वादिष्ट	вкусна	स्वादिष्ट	вкусен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
स्वादिष्ट	вкусни	स्वादिष्ट	вкусен	N;NOM;MASC;SG;3	ADJ;INDF;PL
ज्वाला	пламък	ज्वाला	пламък	PROPN;NOM;FEM;SG;3	N;INDF;MASC;SG
ईंटों	тухла	ईंट	тухла	N;ACC;MASC;PL;3	N;INDF;FEM;SG
ईंटों	брик	ईंट	брик	N;ACC;MASC;PL;3	N;INDF;MASC;SG
कर्ज	дългове	कर्ज	дълг	N;NOM;MASC;SG;3	N;INDF;MASC;PL
सलाद	салати	सलाद	салат	N;NOM;MASC;SG;3	N;INDF;FEM;PL
जलन	ревнив	जलन	ревнив	N;NOM;FEM;SG;3	ADJ;INDF;MASC;SG
जलन	ревнива	जलन	ревнив	N;NOM;FEM;SG;3	ADJ;INDF;FEM;SG
जलन	възпалителни	जलन	възпалителен	N;NOM;FEM;SG;3	ADJ;INDF;PL
शौकिया	аматьори	शौकिया	аматьор	N;NOM;MASC;SG;3	N;INDF;MASC;PL
शौकिया	аматьорски	शौकिया	аматьорски	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अनूठा	уникално	अनूठा	уникално	ADJ;NOM;MASC;SG	ADV
अनूठा	уникални	अनूठा	уникален	ADJ;NOM;MASC;SG	ADJ;INDF;PL
कैरी	кари	कैरी	кара		N;INDF;FEM;PL
कैरी	кери	कैरी	кера		PROPN;INDF;MASC;SG
पेशावर	пешавар	पेशावर	пешавар	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
पहेली	пъзели	पहेली	пъзеля		N;INDF;FEM;PL
पहेली	загадки	पहेली	загадка		N;INDF;FEM;PL
पहेली	пъзел	पहेली	пъзел		N;INDF;MASC;SG
पहेली	загадка	पहेली	загадка		N;INDF;FEM;SG
पहेली	енигма	पहेली	енигма		N;INDF;FEM;SG
रक्तस्राव	кръвоизливи	रक्तस्राव	кръвоизлив	N;NOM;MASC;SG;3	N;INDF;MASC;PL
चादर	листове	चादर	лист	N;NOM;FEM;SG;3	N;INDF;MASC;PL
जामा	джама	जामा	джама		N;INDF;FEM;SG
फ्रैंकलिन	франклин	फ्रैंकलिन	франклин	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
सेकेंड	секунди	सेकेंड	секунда	N;NOM;MASC;SG;3	N;INDF;FEM;PL
सेकेंड	второ	सेकेंड	втори	N;NOM;MASC;SG;3	ADV
सेकेंड	втора	सेकेंड	втори	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
सेकेंड	втори	सेकेंड	втори	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
आयुध	артилерийски	आयुध	артилерийски	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
आयताकार	правоъгълна	आयताकार	правоъгълен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
मैनहटन	манхатън	मैनहटन	манхатън	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
मॉरीशस	мавриций	मॉरीशस	мавриций	PROPN;NOM;MASC;SG;3	N;INDF;FEM;PL
परिधान	костюми	परिधान	костюм	N;NOM;MASC;SG;3	N;INDF;MASC;PL
परिधान	костюмите	परिधान	костюм	N;NOM;MASC;SG;3	N;DEF;MASC;PL
जग	свят	जग	свят		N;INDF;MASC;SG
जग	света	जग	свят		N;DEF;MASC;SG
मातृ	майчина	मातृ	майчина		N;INDF;FEM;SG
मातृ	майчин	मातृ	майчин		N;INDF;MASC;SG
बायर	bayer	बायर	bayer	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लाभप्रद	печеливши	लाभप्रद	печеливш	ADP	ADJ;INDF;PL
लाभप्रद	печеливша	लाभप्रद	печеливш	ADP	ADJ;INDF;FEM;SG
रोचेस्टर	рочестър	रोचेस्टर	рочестър	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
डोनाल्ड	доналд	डोनाल्ड	доналд	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
रमन	раман	रमन	раман	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
घराने	жанрове	घरा	жанър	V;MASC;NFIN;ACT	N;INDF;MASC;PL
ताड़	палм	ताड़	палм	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
धमाके	банг	धमाका	банг	N;NOM;MASC;PL;3	N;INDF;MASC;SG
धमाके	взрив	धमाका	взрив	N;NOM;MASC;PL;3	N;INDF;MASC;SG
सीटी	свирка	सीटी	свирка	PROPN;NOM;FEM;SG;3	N;INDF;FEM;SG
परोसा	служил	परोसा	служа	V;PFV;MASC;SG;V.PTCP;ACT	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
कार्टर	картър	कार्टर	картър	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
कट्टर	догматичен	कट्टर	догматичен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
कट्टर	бясно	कट्टर	бясно	N;NOM;MASC;SG;3	ADV
उपनिवेशवाद	колонии	उपनिवेशवाद	колония	N;NOM;MASC;SG;3	N;INDF;FEM;PL
सैंडविच	сандвичи	सैंडविच	сандвич	N;NOM;MASC;SG;3	N;INDF;MASC;PL
चिप्स	чипове	चिप्स	чип	N;NOM;MASC;SG;3	N;INDF;MASC;PL
बिखरे	пръснати	बिखर	пръсна-(се)	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
बिखरे	разпръснати	बिखर	разпръсна-(се)	V;PFV;MASC;PL;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
शैतान	дявол	शैतान	дявол	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
शैतान	дявола	शैतान	дявол	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
शैतान	сатаната	शैतान	сатана	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
शैतान	сатана	शैतान	сатана	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
शीट	лист	शीट	лист		N;INDF;MASC;SG
शीट	листове	शीट	лист		N;INDF;MASC;PL
शीट	чаршаф	शीट	чаршаф		N;INDF;MASC;SG
शीट	чаршафи	शीट	чаршаф		N;INDF;MASC;PL
शीट	листове	शीट	лист		N;INDF;MASC;PL
उद्धार	достави	उद्धार	доставя	N;NOM;MASC;SG;3	V;PFV;IMP;SG;2;FIN
उद्धार	доставя	उद्धार	доставям	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
पैकेजिंग	опаковки	पैकेजिंग	опаковка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
म्यूनिख	мюнхен	म्यूनिख	мюнхен	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
शरीफ	шариф	शरीफ	шариф	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
दोहराया	повторен	दोहरा	повторен	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
