par	za	par	za		ADP;ACC
cilvēks	osobi	cilvēks	osoba	N;NOM;MASC;SG	N;DAT;FEM;SG
cilvēks	osobe	cilvēks	osoba	N;NOM;MASC;SG	N;NOM;FEM;PL
cilvēks	ljudski	cilvēks	ljudski	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
brālis	brate	brālis	bratiti	N;NOM;MASC;SG	INTJ
parks	parka	parks	park	N;NOM;MASC;SG	N;GEN;MASC;SG
sacensībās	natjecanjima	sacensība	natjecanje	N;ESS;FEM;PL	N;DAT;NEUT;PL
sacensībās	natjecanja	sacensība	natjecanje	N;ESS;FEM;PL	N;NOM;NEUT;PL
sacensībās	takmičenja	sacensība	takmičenje	N;ESS;FEM;PL	N;NOM;NEUT;PL
lapa	stranicu	lapa	stranica	N;NOM;FEM;SG	N;ACC;FEM;SG
lapa	stranice	lapa	stranica	N;NOM;FEM;SG	N;NOM;FEM;PL
darbība	aktivnosti	darbība	aktivnost	N;NOM;FEM;SG	N;NOM;FEM;PL
uzbrucējs	striker	uzbrucējs	striker	N;NOM;MASC;SG	N;NOM;FEM;PL
bronzas	brončana	bronza	brončan	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG;V.PTCP
not	reg	not	reg		N
spēj	sposoban	spēt	sposoban	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;INDF;MASC;SG
spēj	sposobno	spēt	sposobno	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;DEF;NEUT;SG
spēj	sposobni	spēt	sposoban	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;DEF;MASC;PL
spēj	sposobna	spēt	sposoban	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;DEF;FEM;SG
zemi	zemlja	zeme	zemlja	N;ACC;FEM;SG	N;NOM;FEM;SG
zemi	zemlja	zeme	zemlja	N;ACC;FEM;SG	N;NOM;FEM;SG
zemi	kopno	zeme	kopno	N;ACC;FEM;SG	N;NOM;NEUT;SG
zemi	land	zeme	land	N;ACC;FEM;SG	ADP
zemi	zemljište	zeme	zemljište	N;ACC;FEM;SG	N;NOM;NEUT;SG
vidēji	prosječan	vidēji	prosječan	ADV	ADJ;NOM;INDF;MASC;SG
vidēji	prosjek	vidēji	prosjek	ADV	N;NOM;MASC;SG
vidēji	prosječni	vidēji	prosječni	ADV	ADJ;NOM;DEF;MASC;SG
vidēji	prosječna	vidēji	prosječan	ADV	ADJ;NOM;DEF;FEM;SG
vidēji	prosjeka	vidēji	prosjek	ADV	N;GEN;MASC;SG
vidēji	razmeđi	vidēji	razmeđ	ADV	N;INS;FEM;SG
ministru	ministarskoj	ministrs	ministarski	N;ACC;MASC;SG	ADJ;DAT;DEF;FEM;SG
kategorijas	kategorija	kategorija	kategorija	N;NOM;FEM;PL	N;NOM;FEM;SG
ledus	leda	ledus	led	N;NOM;MASC	N;GEN;MASC;SG
ledus	led	ledus	led	N;NOM;MASC	N;NOM;MASC;SG
ledus	ice	ledus	ice	N;NOM;MASC	N;NOM;MASC;SG
septembris	rujna	septembris	rujan	N;NOM;MASC;SG	N;GEN;MASC;SG
treneris	treneru	treneris	trener	N;NOM;MASC;SG	N;DAT;MASC;SG
kāds	što	kāds	što	PRO;NOM;MASC;SG	PRO;NOM;NEUT
kāds	sta	kāds	sta	PRO;NOM;MASC;SG	
kāds	šta	kāds	šta	PRO;NOM;MASC;SG	PRO;NOM;NEUT
kāds	neko	kāds	neki	PRO;NOM;MASC;SG	PRO;NOM;NEUT;SG
kāds	netko	kāds	netko	PRO;NOM;MASC;SG	PRO;NOM;MASC;3
kāds	nekoga	kāds	neki	PRO;NOM;MASC;SG	PRO;ACC;MASC;SG
ķīnas	kinezi	ķīna	kineg	PROPN;NOM;FEM;SG	N;NOM;MASC;PL
ķīnas	kinesko	ķīna	kineski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
ķīnas	kineski	ķīna	kineski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
ķīnas	kinez	ķīna	kinez	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
ķīnas	kineska	ķīna	kineski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
krasta	obale	krasts	obala	N;GEN;MASC;SG	N;NOM;FEM;PL
krasta	obali	krasts	obala	N;GEN;MASC;SG	N;DAT;FEM;SG
krasta	shore	krasts	shor	N;GEN;MASC;SG	N;NOM;MASC;SG
krasta	obala	krasts	obala	N;GEN;MASC;SG	N;NOM;FEM;SG
krasta	obalu	krasts	obala	N;GEN;MASC;SG	N;ACC;FEM;SG
japānas	japanci	japāna	japanac	PROPN;NOM;FEM;SG	N;NOM;MASC;PL
japānas	japanski	japāna	japanski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
japānas	japanac	japāna	japanac	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
japānas	japanska	japāna	japanski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
japānas	japansko	japāna	japanski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
dzīvi	life	dzīve	life	N;ACC;FEM;SG	ADP
dzīvi	zivot	dzīve	zivot	N;ACC;FEM;SG	N;NOM;MASC;SG
dzīvi	život	dzīve	život	N;ACC;FEM;SG	N;NOM;MASC;SG
dzīvi	uživo	dzīve	uživo	N;ACC;FEM;SG	ADV
dzīvi	live	dzīve	live	N;ACC;FEM;SG	N;NOM;MASC;SG
uzvaru	pobjeda	uzvara	pobjeda	N;ACC;FEM;SG	N;NOM;FEM;SG
augstākā	vrhovni	augsta	vrhovan	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;MASC;SG
augstākā	najviša	augsta	najviši	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;RL;FEM;SG
džons	ivan	džons	ivan	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
džons	john	džons	john	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
novembris	studenog	novembris	studeni	N;NOM;MASC;SG	N;GEN;MASC;SG
rowspan	rowspan	rowspan	rowspan		N;NOM;MASC;SG
izveidots	utvrđeno	izveidot	utvrditi	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
izveidots	uspostavljen	izveidot	uspostaviti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
izveidots	uspostavljena	izveidot	uspostaviti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP;PASS
izveidots	osnovan	izveidot	osnovati	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
izveidots	stvoreni	izveidot	stvoriti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;PL;V.PTCP
izveidots	stvoreno	izveidot	stvoriti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
izveidots	stvorena	izveidot	stvoriti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
izveidots	stvoren	izveidot	stvoriti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
skolā	skola	skola	skola	N;ESS;FEM;SG	N;NOM;FEM;SG
skolā	školski	skola	školski	N;ESS;FEM;SG	ADJ;NOM;DEF;MASC;SG
skolā	školska	skola	školski	N;ESS;FEM;SG	ADJ;NOM;DEF;FEM;SG
skolā	škola	skola	škola	N;ESS;FEM;SG	N;NOM;FEM;SG
jūlija	juli	jūlijs	jutlo	N;GEN;MASC;SG	N;NOM;MASC;SG
jūlija	srpanj	jūlijs	srpanj	N;GEN;MASC;SG	N;NOM;MASC;SG
jūlija	jula	jūlijs	julo	N;GEN;MASC;SG	N;NOM;FEM;SG
pulka	pukovnije	pulka	pukovnija	N;NOM;MASC;SG	N;NOM;FEM;PL
valdība	vlade	valdība	vlada	N;NOM;FEM;SG	N;NOM;FEM;PL
paša	vlastiti	pats	vlastit	PRO;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
paša	posjedovati	pats	posjedovati	PRO;NOM;MASC;SG	V;NFIN
impērija	empire	impērija	empir	N;NOM;FEM;SG	ADP
impērija	carstva	impērija	carstvo	N;NOM;FEM;SG	N;NOM;NEUT;PL
impērija	imperija	impērija	imperija	N;NOM;FEM;SG	N;GEN;MASC;SG
sevi	self	sevis	self	PRO;ACC;REFL	ADP
sevi	sebe	sevis	sebe	PRO;ACC;REFL	PRO;ACC;REFL
decembris	prosinca	decembris	prosinac	N;NOM;MASC;SG	N;GEN;MASC;SG
decembris	prosincu	decembris	prosinac	N;NOM;MASC;SG	N;DAT;MASC;SG
decembris	dec	decembris	dec	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
kļuvis	postati	kļūt	postati	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;NFIN
aprīlis	apr	aprīlis	apr	N;NOM;MASC;SG	ADP
aprīlis	travnja	aprīlis	travanj	N;NOM;MASC;SG	N;GEN;MASC;SG
pārstāv	zastupa	pārstāvēt	zastup	V;IMP;SG;2;POS;FIN;ACT	V;IND;SG;3;PRS;FIN
pārstāv	predstavlja	pārstāvēt	predstavljati	V;IMP;SG;2;POS;FIN;ACT	V;IND;SG;3;PRS;FIN
pārstāv	predstavljaju	pārstāvēt	predstavljati	V;IMP;SG;2;POS;FIN;ACT	V;IND;PL;3;PRS;FIN
reizēm	nekad	reize	nekad	N;DAT;FEM;PL	ADV
reizēm	ponekad	reize	ponekad	N;DAT;FEM;PL	ADV
sistēmu	sistem	sistēma	sistem	N;ACC;FEM;SG	N;NOM;MASC;SG
sistēmu	sustav	sistēma	sustav	N;ACC;FEM;SG	N;NOM;MASC;SG
lapas	lišće	lapa	lišće	N;NOM;FEM;PL	N;NOM;NEUT;SG
darbs	job	darbs	job	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
darbs	radna	darbs	radan	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
darbs	radni	darbs	radni	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
darbs	radno	darbs	radni	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
darbs	radni	darbs	radni	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
darbs	radna	darbs	radan	N;NOM;MASC;SG	ADJ;NOM;DEF;FEM;SG
darbs	radno	darbs	radni	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
darbs	radim	darbs	raditi	N;NOM;MASC;SG	V;IND;SG;1;PRS;FIN
oktobris	listopada	oktobris	listopad	N;NOM;MASC;SG	N;GEN;MASC;SG
vārdi	rijeci	vārds	rijeka	N;NOM;MASC;PL	N;DAT;FEM;SG
šie	ovi	šis	ovaj	PRO;NOM;MASC;PL	DET;NOM;MASC;PL
šie	ove	šis	ovaj	PRO;NOM;MASC;PL	DET;GEN;FEM;SG
miljoni	milijun	miljons	milijun	N;NOM;MASC;PL	N;NOM;MASC;SG
titulu	barjak	tituls	barjak	N;ACC;MASC;SG	N;NOM;MASC;SG
dažādas	drukčije	dažāda	drukčije	ADJ;NOM;FEM;PL	ADV
dažādas	drugačiji	dažāda	drugačiji	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
dažādas	drugačija	dažāda	drugačiji	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
dažādas	drugačije	dažāda	drugačije	ADJ;NOM;FEM;PL	ADV
dažādas	razno	dažāda	razni	ADJ;NOM;FEM;PL	ADV
turku	tursko	turka	turski		ADJ;NOM;NEUT;SG
turku	turski	turka	turski		ADJ;NOM;MASC;SG
grāmatu	knjiga	grāmata	knjiga	N;ACC;FEM;SG	N;NOM;FEM;SG
sezona	sezone	sezona	sezona	N;NOM;FEM;SG	N;GEN;FEM;SG
meža	šuma	mežs	šuma	N;GEN;MASC;SG	N;NOM;FEM;SG
meža	šume	mežs	Šuma	N;GEN;MASC;SG	N;NOM;FEM;PL
meža	forest	mežs	forest	N;GEN;MASC;SG	ADP
vairāku	višestruko	vairākas	višestruko	PRO;ACC;MASC;SG	ADV
vairāku	višestruki	vairākas	višestruk	PRO;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
png	png	png	png		ADP
kāda	što	kāda	što	PRO;NOM;FEM;SG	PRO;NOM;NEUT
kāda	sta	kāda	sta	PRO;NOM;FEM;SG	
kāda	šta	kāda	šta	PRO;NOM;FEM;SG	PRO;NOM;NEUT
pāri	pari	pāri	par	ADV	N;ACC;FEM;SG
pāri	parova	pāri	par	ADV	N;GEN;MASC;PL
pāri	povrijediti	pāri	povrijediti	ADV	V;NFIN
pāri	povrijeđen	pāri	povrijediti	ADV	ADJ;NOM;MASC;SG;V.PTCP
pāri	par	pāri	par	ADV	N;NOM;MASC;SG
upe	rijeke	upe	rijeka	N;NOM;FEM;SG	N;NOM;FEM;PL
upe	river	upe	river	N;NOM;FEM;SG	ADP
upe	rijeci	upe	rijeka	N;NOM;FEM;SG	N;DAT;FEM;SG
dzīvnieku	životinja	dzīvnieks	životinja	N;ACC;MASC;SG	N;NOM;FEM;SG
teātrī	teatar	teātris	teatar	N;ESS;MASC;SG	N;NOM;MASC;SG
teātrī	kazalište	teātris	kazalište	N;ESS;MASC;SG	N;NOM;NEUT;SG
pēteris	peter	pēteris	peter	N;NOM;MASC;SG	PROPN;NOM;MASC;SG
viņiem	ih	viņš	oni	PRO;DAT;MASC;PL;3	PRO;ACC;PL;3
viņiem	njih	viņš	oni	PRO;DAT;MASC;PL;3	PRO;ACC;PL;3
vienības	entiteta	vienība	entitet	N;NOM;FEM;PL	N;GEN;MASC;SG
izdots	izdana	izdot	izdati	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG;V.PTCP
izdots	izdano	izdot	izdati	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
turklāt	nadalje	turklāt	nadalje	CONJ	ADV
augu	biljke	augs	biljka	N;ACC;MASC;SG	N;NOM;FEM;PL
augu	biljka	augs	biljka	N;ACC;MASC;SG	N;NOM;FEM;SG
lielais	velike	liels	velik	ADJ;NOM;MASC;SG	ADJ;NOM;DEF;FEM;PL
gaismas	svjetlo	gaisma	svjetlo	N;NOM;FEM;PL	N;NOM;NEUT;SG
gaismas	svijetlo	gaisma	svijetlo	N;NOM;FEM;PL	ADV
gaismas	svjetlost	gaisma	svjetlost	N;NOM;FEM;PL	N;NOM;FEM;SG
gaismas	svijetla	gaisma	svijetao	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
kauss	kupa	kauss	kup	N;NOM;MASC;SG	N;GEN;MASC;SG
albumu	album	albums	album	N;ACC;MASC;SG	N;NOM;MASC;SG
mūsu	naše	mēs	naš	PRO;GEN;PL;1	DET;NOM;FEM;SG;1
mūsu	naš	mēs	naš	PRO;GEN;PL;1	DET;NOM;MASC;SG;1
mūsu	naša	mēs	naš	PRO;GEN;PL;1	DET;NOM;FEM;SG;1
mūsu	naši	mēs	naš	PRO;GEN;PL;1	DET;NOM;MASC;PL;1
mūsu	nase	mēs	nasti	PRO;GEN;PL;1	ADJ;NOM;DEF;FEM;PL
mūsu	nasi	mēs	biti	PRO;GEN;PL;1	ADJ;NOM;DEF;MASC;PL
mūsu	naše	mēs	naš	PRO;GEN;PL;1	DET;NOM;FEM;SG;1
mūsu	naš	mēs	naš	PRO;GEN;PL;1	DET;NOM;MASC;SG;1
mūsu	naša	mēs	naš	PRO;GEN;PL;1	DET;NOM;FEM;SG;1
mūsu	nase	mēs	nasti	PRO;GEN;PL;1	ADJ;NOM;DEF;FEM;PL
āfrikas	afrički	āfrika	afrički	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
āfrikas	afrička	āfrika	afrički	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
cilvēkiem	ljudi	cilvēks	čovjek	N;DAT;MASC;PL	N;NOM;MASC;PL
kaujā	bitku	kaujā	bitka	N;ESS;FEM;SG	N;ACC;FEM;SG
kaujā	boj	kaujā	boj	N;ESS;FEM;SG	N;NOM;MASC;SG
kaujā	bitka	kaujā	bitka	N;ESS;FEM;SG	N;NOM;FEM;SG
lomu	uloga	loma	uloga	N;ACC;FEM;SG	N;NOM;FEM;SG
lomu	ulozi	loma	uloga	N;ACC;FEM;SG	N;DAT;FEM;SG
lomu	uloge	loma	uloga	N;ACC;FEM;SG	N;NOM;FEM;PL
lielbritānijas	britanski	lielbritānija	britanski	N;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
lielbritānijas	britanska	lielbritānija	britanski	N;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
lielbritānijas	britanac	lielbritānija	britanac	N;NOM;FEM;PL	ADJ;NOM;INDF;MASC;SG
okeāna	okean	okeāns	okean	N;GEN;MASC;SG	N;NOM;MASC;SG
okeāna	ocean	okeāns	ocean	N;GEN;MASC;SG	N;NOM;MASC;SG
karjera	karijeri	karjera	karijera	N;NOM;FEM;SG	N;DAT;FEM;SG
karjera	karijeru	karjera	karijera	N;NOM;FEM;SG	N;ACC;FEM;SG
karjera	karijere	karjera	karijera	N;NOM;FEM;SG	N;NOM;FEM;PL
karjera	kamenolom	karjera	kamenol	N;NOM;FEM;SG	N;INS;MASC;SG
karjera	kamenolomu	karjera	kamenolom	N;NOM;FEM;SG	N;DAT;MASC;SG
piezīmes	komentarima	piezīme	komentar	N;NOM;FEM;PL	N;DAT;MASC;PL
piezīmes	komentare	piezīme	komentar	N;NOM;FEM;PL	N;ACC;MASC;PL
piezīmes	komentara	piezīme	komentar	N;NOM;FEM;PL	N;GEN;MASC;PL
formas	oblike	forma	oblik	N;NOM;FEM;PL	N;ACC;MASC;PL
zemnieku	seljak	zemnieks	seljak	N;ACC;MASC;SG	N;NOM;MASC;SG
izņemot	osim	izņemot	osim	V;V.CVB	ADV
izņemot	isključujući	izņemot	isključivati	V;V.CVB	ADV;RL
raksti	članke	raksts	članak	INTJ	N;ACC;MASC;PL
raksti	članci	raksts	članak	INTJ	N;NOM;MASC;PL
https	https	https	https		N;NOM;MASC;SG
pašu	vlastiti	pats	vlastit	PRO;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
pašu	posjedovati	pats	posjedovati	PRO;ACC;MASC;SG	V;NFIN
pašu	isti	pats	isti	PRO;ACC;MASC;SG	ADJ;NOM;DEF;MASC;SG
pašu	ista	pats	isti	PRO;ACC;MASC;SG	ADJ;NOM;DEF;FEM;SG
pašu	isto	pats	isto	PRO;ACC;MASC;SG	ADV
johans	johann	johans	johann	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
johans	johan	johans	johan	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
goda	časti	gods	čast	N;NOM;MASC;SG	N;NOM;FEM;PL
goda	počasni	gods	počasan	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
mācību	nastava	mācība	nastava	N;ACC;FEM;PL	N;NOM;FEM;SG
mācību	trening	mācība	trening	N;ACC;FEM;PL	N;NOM;MASC;SG
mācību	obuka	mācība	obuka	N;ACC;FEM;PL	N;NOM;FEM;SG
mācību	treniranje	mācība	treniranje	N;ACC;FEM;PL	N;NOM;NEUT;SG
sabiedrības	korporacija	sabiedrība	korporacija	N;NOM;FEM;PL	N;NOM;FEM;SG
uzvaras	pobjeda	uzvara	pobjeda	N;NOM;FEM;PL	N;NOM;FEM;SG
uzvaras	pobjeda	uzvara	pobjeda	N;NOM;FEM;PL	N;NOM;FEM;SG
uzvaras	pobeda	uzvara	pobeda	N;NOM;FEM;PL	N;NOM;FEM;SG
andrejs	andrej	andrejs	andrej	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
dzejnieks	pjesnika	dzejnieks	pjesnik	N;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
roberts	roberts	roberts	roberts	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
roberts	robert	roberts	robert	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
roberts	roberte	roberts	robert	PROPN;NOM;MASC;SG	N;NOM;MASC;PL
pili	castle	pils	castle	N;ACC;FEM;SG	ADP
pili	dvorac	pils	dvorac	N;ACC;FEM;SG	N;NOM;MASC;SG
pili	zamak	pils	zamak	N;ACC;FEM;SG	N;NOM;MASC;SG
valstīm	države	valsts	država	N;DAT;FEM;PL	N;NOM;FEM;PL
valstīm	zemljama	valsts	zemlja	N;DAT;FEM;PL	N;INS;FEM;PL
valstīm	zemlje	valsts	zemlja	N;DAT;FEM;PL	N;NOM;FEM;PL
balva	nagrade	balva	nagrada	N;NOM;FEM;SG	N;NOM;FEM;PL
pirmie	prvo	pirmais	prvo	ADJ;NOM;DEF;MASC;PL	ADV
pirmie	prvi	pirmais	prvi	ADJ;NOM;DEF;MASC;PL	ADJ;NOM;MASC;SG
kanādas	kanadska	kanāda	kanadski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;FEM;SG
kanādas	kanadski	kanāda	kanadski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
putnu	ptica	putns	ptica	N;ACC;MASC;SG	N;NOM;FEM;SG
putnu	bird	putns	bird	N;ACC;MASC;SG	ADP
okupācijas	zanimanje	okupācija	zanimanje	N;NOM;FEM;PL	N;NOM;NEUT;SG
austrālijas	australski	austrālija	australski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
ministrs	ministre	ministrs	ministar	N;NOM;MASC;SG	N;ACC;MASC;PL
pasažieru	putnik	pasažieris	putnik	N;GEN;MASC;PL	N;NOM;MASC;SG
pasažieru	putnika	pasažieris	putnik	N;GEN;MASC;PL	N;ACC;MASC;SG
kamēr	dok	kamēr	dok	ADV	CONJ
minēta	spominje	minēt	spominjati	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	V;IND;SG;3;PRS;FIN
minēta	spominjanje	minēt	spominjanje	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	N;NOM;NEUT;SG
abi	oboje	abi	oboje	PRO;NOM;MASC;PL	N;NOM;MASC;SG
abi	abi	abi	abi	PRO;NOM;MASC;PL	PROPN;NOM;MASC;SG
punkti	tačke	punkts	tačak	N;NOM;MASC;PL	ADJ;NOM;DEF;FEM;PL
punkti	tačke	punkts	tačak	N;NOM;MASC;PL	ADJ;NOM;DEF;FEM;PL
punkti	bodova	punkts	bod	N;NOM;MASC;PL	N;GEN;MASC;PL
centrā	centar	centrs	centar	N;ESS;MASC;SG	N;NOM;MASC;SG
centrā	centar	centrs	centar	N;ESS;MASC;SG	N;NOM;MASC;SG
centrā	središte	centrs	središte	N;ESS;MASC;SG	N;NOM;NEUT;SG
centrā	sredina	centrs	sredini	N;ESS;MASC;SG	N;NOM;FEM;SG
austrijas	austrijski	austrija	austrijski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
austrijas	austrija	austrija	austrija	PROPN;NOM;FEM;SG	PROPN;NOM;FEM;SG
austrijas	austriju	austrija	austrija	PROPN;NOM;FEM;SG	N;ACC;FEM;SG
austrijas	austrije	austrija	austrija	PROPN;NOM;FEM;SG	N;NOM;FEM;PL
vietām	mesta	vieta	mest	N;DAT;FEM;PL	N;NOM;NEUT;PL
vietām	mjesta	vieta	mjesto	N;DAT;FEM;PL	N;NOM;NEUT;PL
līdzīgi	slično	līdzīgi	sličan	ADV	ADJ;NOM;DEF;NEUT;SG
līdzīgi	slični	līdzīgi	sličan	ADV	ADJ;NOM;DEF;MASC;PL
līdzīgi	slične	līdzīgi	sličan	ADV	ADJ;NOM;DEF;FEM;PL
līdzīgi	slična	līdzīgi	sličan	ADV	ADJ;NOM;DEF;FEM;SG
sasniedz	postizanje	sasniegt	postizanje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
dažādi	drukčije	dažāds	drukčije	ADJ;NOM;MASC;PL	ADV
dažādi	drugačiji	dažāds	drugačiji	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;MASC;SG
dažādi	drugačija	dažāds	drugačiji	ADJ;NOM;MASC;PL	ADJ;NOM;DEF;FEM;SG
dažādi	drugačije	dažāds	drugačije	ADJ;NOM;MASC;PL	ADV
dažādi	razno	dažāds	razni	ADJ;NOM;MASC;PL	ADV
polijā	poljska	polija	poljska	PROPN;ESS;FEM;SG	PROPN;NOM;FEM;SG
republika	republike	republika	republika	N;NOM;FEM;SG	N;NOM;FEM;PL
izmantots	korištene	izmantot	koristiti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;PL;V.PTCP
izmantots	korišteno	izmantot	koristiti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;NEUT;SG;V.PTCP;PASS
izmantots	korišten	izmantot	korišten	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP;PASS
domes	dvorane	dome	dvorana	N;NOM;FEM;SG	N;NOM;FEM;PL
galvenās	main	galvenā	main	ADJ;NOM;FEM;PL	ADP
galvenās	glavni	galvenā	glavni	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
galvenās	glavno	galvenā	glavni	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
galvenās	glavna	galvenā	glavni	ADJ;NOM;FEM;PL	ADJ;NOM;DEF;FEM;SG
veidojas	formirana	veidoties	formirati	V;FH;IND;3;POS;REFL;PRS;FIN;ACT	ADJ;NOM;DEF;FEM;SG;V.PTCP;PASS
iekļauta	uključeno	iekļaut	uključiti	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP;PASS
iekļauta	uključen	iekļaut	uključiti	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;SG;V.PTCP
āzijas	azijske	āzija	azijski	PROPN;NOM;FEM;PL	ADJ;NOM;DEF;FEM;PL
āzijas	azijski	āzija	azijski	PROPN;NOM;FEM;PL	ADJ;NOM;DEF;MASC;SG
karu	rat	karš	rat	N;ACC;MASC;SG	N;NOM;MASC;SG
karu	rata	karš	rat	N;ACC;MASC;SG	N;GEN;MASC;SG
mākslinieks	artist	mākslinieks	artist	N;NOM;MASC;SG	ADP
pārsvarā	većinom	pārsvars	većinom	N;ESS;MASC;SG	ADV
pārsvarā	uglavnom	pārsvars	uglavnom	N;ESS;MASC;SG	ADV
pārsvarā	pretežno	pārsvars	pretežno	N;ESS;MASC;SG	ADV
latīņu	latinski	latīņa	latinski	N;GEN;FEM;PL	ADV
galvaspilsēta	kapitala	galvaspilsēta	kapital	N;NOM;FEM;SG	N;GEN;MASC;SG
arābu	arapski	arābs	arapski	N;ACC;MASC;SG	ADJ;NOM;MASC;SG
arābu	arapski	arābs	arapski	N;ACC;MASC;SG	ADJ;NOM;MASC;SG
krusta	cross	krusts	cross	N;NOM;MASC;SG	ADP
esot	navodno	būt	navodno	V;NFH;QUOT;POS;PRS;FIN;ACT	ADV
akmens	stone	akmens	ston	N;NOM;MASC;SG	ADP
akmens	rock	akmens	rock	N;NOM;MASC;SG	ADP
bērni	djeco	bērns	djeco	N;NOM;MASC;PL	V;IMP;PL;2;FIN
televīzijas	televizija	televīzija	televizija	N;NOM;FEM;PL	N;NOM;FEM;SG
