और	og	और	og		CONJ
स्वर	vocal	स्वर	vocal	N;NOM;MASC;SG;3	
लघु	logaritme	लघु	logaritme		N;INDF;MASC+FEM;SG
लघु	mindreårige	लघु	mindreårig		ADJ;PL
लघु	mindreårig	लघु	mindreårig		ADJ;INDF;MASC+FEM;SG
लघु	mindre	लघु	mindre		ADV;CMPR
लाइन	line	लाइन	lin	N;NOM;FEM;SG;3	
प्रश्न	spørgsmål	प्रश्न	spørgsmål	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
प्रश्न	spørgsmål	प्रश्न	spørgsmål	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
आलोचना	kritiseret	आलोचना	kritisere	N;NOM;FEM;SG;3	V;INDF;SG;PST;V.PTCP
पहाड़ी	hill	पहाडी	hill	N;NOM;FEM;SG;3	
पुरानी	old	पुराना	old	ADJ;FEM;SG	
पुरानी	gamle	पुराना	gammel	ADJ;FEM;SG	ADJ;PL
पसंद	bogmærker	पसंद	bogmærke	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
सुझाव	forslag	सुझाव	forslag	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
सुझाव	forslag	सुझाव	forslag	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
सुझाव	henstillinger	सुझाव	henstilling	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
सुझाव	anbefalinger	सुझाव	anbefaling	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
सुझाव	drikkepenge	सुझाव	drikkepenge	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
खेती	høster	खेती	høste	N;NOM;FEM;SG;3	V;IND;PRS;FIN;ACT
खेती	høste	खेती	høste	N;NOM;FEM;SG;3	V;NFIN;ACT
लिखने	skrivning	लिख	skrivning	V;NFIN;ACT	N;INDF;MASC+FEM;SG
लिखने	brænding	लिख	brænding	V;NFIN;ACT	N;INDF;MASC+FEM;SG
वर्णित	beskrevet	वर्णित	beskrive	ADJ	V;INDF;SG;PST;V.PTCP
वर्णित	beskrev	वर्णित	beskrive	ADJ	V;IND;PST;FIN;ACT
विभाजन	divisioner	विभाजन	division	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
विभाजन	afdelinger	विभाजन	afdeling	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
प्रशासनिक	administrativ	प्रशासनिक	administrativ	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC+FEM;SG
प्रशासनिक	administrativt	प्रशासनिक	administrativt	PROPN;NOM;MASC;SG;3	ADV
विशेषता	tilskriver	विशेषता	tilskrive	N;NOM;FEM;SG;3	V;IND;PRS;FIN;ACT
कठिन	besværlig	कठिन	besværlig	ADP	ADJ;INDF;MASC+FEM;SG
कठिन	anstrengende	कठिन	anstrenge	ADP	V;PRS;V.PTCP
कठिन	hårde	कठिन	hård	ADP	ADJ;PL
कठिन	svært	कठिन	svær	ADP	ADJ;INDF;NEUT;SG
कठिन	hard	कठिन	hard	ADP	
कठिन	hård	कठिन	hård	ADP	ADJ;INDF;MASC+FEM;SG
कठिन	hårdt	कठिन	hård	ADP	ADJ;INDF;NEUT;SG
कठिन	svær	कठिन	svær	ADP	ADJ;INDF;MASC+FEM;SG
कठिन	hårdt	कठिन	hård	ADP	ADJ;INDF;NEUT;SG
कठिन	hårde	कठिन	hård	ADP	ADJ;PL
कठिन	barsk	कठिन	barsk	ADP	ADJ;INDF;SG
कठिन	sej	कठिन	sej	ADP	ADJ;INDF;MASC+FEM;SG
कठिन	hård	कठिन	hård	ADP	ADJ;INDF;MASC+FEM;SG
कठिन	svært	कठिन	svær	ADP	ADJ;INDF;NEUT;SG
कठिन	svære	कठिन	svær	ADP	ADJ;PL
कठिन	vanskelig	कठिन	vanskelig	ADP	ADJ;INDF;MASC+FEM;SG
कठिन	vanskeligt	कठिन	vanskeligt	ADP	ADJ;INDF;NEUT;SG
कठिन	svær	कठिन	svær	ADP	ADJ;INDF;MASC+FEM;SG
कड़ी	link	कडा	link	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
कड़ी	linket	कडा	linke	ADJ;NOM;FEM;SG	N;DEF;NEUT;SG
कड़ी	link	कडा	link	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
कड़ी	links	कडा	links	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
कड़ी	lænke	कडा	lænke	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
कड़ी	kæde	कडा	kæde	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;SG
कड़ी	kæder	कडा	kæde	ADJ;NOM;FEM;SG	N;INDF;MASC+FEM;PL
कड़ी	kæden	कडा	kæde	ADJ;NOM;FEM;SG	N;DEF;MASC+FEM;SG
एकमात्र	sole	एकमात्र	sole	ADP	N;INDF;MASC+FEM;SG
ईरान	iran	ईरान	iran	PROPN;NOM;MASC;SG;3	PROPN
क्षेत्रीय	regional	क्षेत्रीय	regional	ADJ;NOM	N;INDF;MASC+FEM;SG
जान	kærester	जान	kærester	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
जान	ved	जान	vide	PROPN;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
जान	vide	जान	vide	PROPN;NOM;MASC;SG;3	V;NFIN;ACT
जान	kender	जान	kende	PROPN;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
जान	kend	जान	kend	PROPN;NOM;MASC;SG;3	V;IMP
लड़ाई	battle	लड़ाई	battel	N;NOM;FEM;SG;3	
लड़ाई	kæmpe	लड़ाई	kæmpe	N;NOM;FEM;SG;3	ADJ
लड़ाई	kæmp	लड़ाई	kæmp	N;NOM;FEM;SG;3	V;IMP
परिभाषित	fastlagt	परिभाषित	fastlægge	ADJ	V;INDF;SG;PST;V.PTCP
परिभाषित	afgrænset	परिभाषित	afgrænse	ADJ	V;INDF;SG;PST;V.PTCP
परिभाषित	definerede	परिभाषित	definere	ADJ	V;PST;V.PTCP
परिभाषित	defineret	परिभाषित	definere	ADJ	V;INDF;SG;PST;V.PTCP
अंश	frac	अंश	frac	N;NOM;MASC;SG;3	
ग्रामीण	landdistrikter	ग्रामीण	landdistrikt	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
ग्रामीण	landdistrikterne	ग्रामीण	landdistrikt	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
प्रस्तावित	friede	प्रस्तावित	fri	ADJ	V;IND;PST;FIN;ACT
प्रस्तावित	foreslåede	प्रस्तावित	foreslå	ADJ	V;PL;PST;V.PTCP
प्रस्तावित	foreslået	प्रस्तावित	foreslå	ADJ	V;INDF;SG;PST;V.PTCP
इस्लाम	islamisme	इस्लाम	islamisme	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
इस्लाम	islams	इस्लाम	islams	PROPN;NOM;MASC;SG;3	N;GEN;INDF;MASC+FEM;SG
इस्लाम	islam	इस्लाम	islam	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
समुद्री	marinesoldat	समुद्री	marinesoldat	ADJ;NOM	N;INDF;MASC+FEM;SG
समुद्री	marine	समुद्री	marine	ADJ;NOM	N;INDF;MASC+FEM;SG
उनको	them	वह	them	PRO;SG;3;FORM	
उनको	dem	वह	de	PRO;SG;3;FORM	PRO;ACC;PL;3
उपयोगी	nytteværdi	उपयोगी	nytteværdi	ADJ	N;INDF;MASC+FEM;SG
उपयोगी	nytte	उपयोगी	nytte	ADJ	V;NFIN;ACT
केंद्रीय	central	केंद्रीय	central	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
केंद्रीय	centralt	केंद्रीय	centralt	PROPN;NOM;SG;3	ADJ;INDF;NEUT;SG
सत्र	sessioner	सत्र	session	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
नारायण	narayana	नारायण	narayana	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
नारायण	narayan	नारायण	narayan	PROPN;NOM;MASC;SG;3	
मिश्र	ægypten	मिश्र	ægypt	PROPN;NOM;SG;3	N;INDF;NEUT;SG
मिश्र	egypten	मिश्र	egypt	PROPN;NOM;SG;3	PROPN
मिश्र	egyptisk	मिश्र	egyptisk	PROPN;NOM;SG;3	ADJ;INDF;SG
मिश्र	egyptiske	मिश्र	egyptisk	PROPN;NOM;SG;3	ADJ;PL
पहुँच	adgang	पहुँच	adgang	V;ACT	N;INDF;MASC+FEM;SG
पहुँच	rækkevidde	पहुँच	rækkevidde	V;ACT	N;INDF;MASC+FEM;SG
पहुँच	reach	पहुँच	reach	V;ACT	
पहुँच	tilgængelighed	पहुँच	tilgængelighed	V;ACT	N;INDF;MASC+FEM;SG
मेरा	mit	मैं	min	PRO;MASC;SG;1	DET;NEUT;SG;1
मेरा	mine	मैं	mine	PRO;MASC;SG;1	N;INDF;MASC+FEM;SG
मेरा	min	मैं	min	PRO;MASC;SG;1	DET;MASC+FEM;SG;1
मिस्र	ægypten	मिस्र	ægypt	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
मिस्र	egypten	मिस्र	egypt	PROPN;NOM;MASC;SG;3	PROPN
मिस्र	egyptisk	मिस्र	egyptisk	PROPN;NOM;MASC;SG;3	ADJ;INDF;SG
मिस्र	egyptiske	मिस्र	egyptisk	PROPN;NOM;MASC;SG;3	ADJ;PL
गणराज्य	republik	गणराज्य	republik	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
गणराज्य	republikken	गणराज्य	republik	PROPN;NOM;MASC;SG;3	N;DEF;MASC+FEM;SG
छात्रों	studerende	छात्र	studere	N;ACC;MASC;PL;3	V;PRS;V.PTCP
पुराना	old	पुराना	old	ADJ;MASC;SG	
पुराना	gamle	पुराना	gammel	ADJ;MASC;SG	ADJ;PL
जम्मू	jammu	जम्मू	jammu	PROPN;NOM;MASC;SG;3	PROPN
तेज	hurtigt	तेज	hurtigt	ADJ	ADV
वैसे	alligevel	वैसे	alligevel	PRO	ADV
नवंबर	november	नवंबर	november	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
नवंबर	nov	नवंबर	nov	PROPN;NOM;MASC;SG;3	
कारणों	begrundelse	कारण	begrundelse	N;ACC;MASC;PL;3	N;INDF;MASC+FEM;SG
सर	sir	सर	sige	N;NOM;MASC;SG;3	
अपराध	skrifte	अपराध	skrifte	N;NOM;MASC;SG;3	V;NFIN;ACT
अपराध	forbrydelser	अपराध	forbrydelse	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
अमेरिकन	amerikaner	अमेरिकन	amerikaner	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
अमेरिकन	american	अमेरिकन	american	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
अमेरिकन	amerikanske	अमेरिकन	amerikansk	PROPN;NOM;MASC;SG;3	ADJ;PL
अमेरिकन	amerikansk	अमेरिकन	amerikansk	PROPN;NOM;MASC;SG;3	ADJ;INDF;SG
जन	jan	जन	jan	N;NOM;MASC;SG;3	PROPN
यूनाइटेड	forenet	यूनाइटेड	forenet	PROPN;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
यूनाइटेड	united	यूनाइटेड	united	PROPN;NOM;MASC;SG;3	
यूनाइटेड	forenede	यूनाइटेड	forene	PROPN;NOM;MASC;SG;3	V;PL;PST;V.PTCP
जापानी	japan	जापानी	japan	N;NOM;MASC;SG;3	
जापानी	japansk	जापानी	japansk	N;NOM;MASC;SG;3	ADJ;INDF;SG
जापानी	japanerne	जापानी	japaner	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
जापानी	japanere	जापानी	japanere	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
जापानी	japanske	जापानी	japansk	N;NOM;MASC;SG;3	ADJ;PL
रॉक	klippe	रॉक	klippe	N;NOM;MASC;SG;3	V;NFIN;ACT
रॉक	rokke	रॉक	rokke	N;NOM;MASC;SG;3	V;NFIN;ACT
लंबी	høje	लंबा	høj	ADJ;NOM;FEM;SG	ADJ;PL
लंबी	lange	लंबा	lang	ADJ;NOM;FEM;SG	ADJ;PL
लंबी	længe	लंबा	længe	ADJ;NOM;FEM;SG	ADV
गेम	vildt	गेम	vildt	N;NOM;MASC;SG;3	ADJ;INDF;NEUT;SG
गेम	spillet	गेम	spille	N;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
गेम	kampe	गेम	kamp	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
अन्दर	indenfor	अन्दर	indenfor		ADV
अन्दर	indvendigt	अन्दर	indvendig		ADV
अन्दर	indenfor	अन्दर	indenfor		ADV
अन्दर	inde	अन्दर	inde		ADV
अन्दर	indvendig	अन्दर	indvendig		ADJ;INDF;MASC+FEM;SG
अन्दर	indeni	अन्दर	indeni		ADJ;INDF;MASC+FEM;SG
संपत्ति	aktiver	संपत्ति	aktiv	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
संक्षिप्त	forkortelser	संक्षिप्त	forkortelse	PROPN;NOM;SG;3	N;INDF;MASC+FEM;PL
संक्षिप्त	forkortelse	संक्षिप्त	forkortelse	PROPN;NOM;SG;3	N;INDF;MASC+FEM;SG
संक्षिप्त	kortfattede	संक्षिप्त	kortfattet	PROPN;NOM;SG;3	ADJ;PL
संक्षिप्त	kortfattet	संक्षिप्त	kortfattet	PROPN;NOM;SG;3	ADJ;INDF;SG
संक्षिप्त	kortfattet	संक्षिप्त	kortfattet	PROPN;NOM;SG;3	ADJ;INDF;SG
क्यों	hvorfor	क्यों	hvorfor	PRO	ADV
गलत	misforstår	गलत	misforstår	ADJ	V;IND;PRS;FIN;ACT
गलत	misforstå	गलत	misforstå	ADJ	V;NFIN;ACT
वर्मा	varma	वर्मा	varma	PROPN;NOM;MASC;SG;3	
वर्मा	verma	वर्मा	verma	PROPN;NOM;MASC;SG;3	
सर्वोच्च	supreme	सर्वोच्च	suprem	PROPN;NOM;MASC;SG;3	
सर्वोच्च	højest	सर्वोच्च	højest	PROPN;NOM;MASC;SG;3	ADJ;DEF;RL
सर्वोच्च	højeste	सर्वोच्च	høj	PROPN;NOM;MASC;SG;3	ADJ;DEF;RL
लेना	lena	ले	lena	V;MASC;NFIN;ACT	
वाहन	køretøj	वाहन	køretøj	N;NOM;MASC;PL;3	N;INDF;NEUT;SG
वाहन	køretøj	वाहन	køretøj	N;NOM;MASC;PL;3	N;INDF;NEUT;SG
वाहन	køretøjet	वाहन	køretøj	N;NOM;MASC;PL;3	N;DEF;NEUT;SG
सैनिक	militære	सैनिक	militær	N;NOM;MASC;SG;3	ADJ;PL
सैनिक	militær	सैनिक	militær	N;NOM;MASC;SG;3	ADJ;INDF;MASC+FEM;SG
सैनिक	militært	सैनिक	militært	N;NOM;MASC;SG;3	ADJ;INDF;NEUT;SG
डेटा	oplysninger	डेटा	oplysning	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
डेटा	data	डेटा	data	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
स्थिर	statisk	स्थिर	statisk		ADJ;INDF;SG
स्थिर	statiske	स्थिर	statisk		ADJ;PL
स्थिर	støt	स्थिर	støt		N;INDF;NEUT;SG
विद्वानों	lærde	विद्वान	lærde	N;ACC;MASC;PL;3	ADJ;PL
अशोक	ashoka	अशोक	ashoka	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
रखना	behold	रख	behold	V;MASC;NFIN;ACT	N;INDF;MASC+FEM;SG
रखना	keep	रख	keep	V;MASC;NFIN;ACT	
उपस्थिति	overværelse	उपस्थिति	overværelse	N;NOM;FEM;SG;3	V;PST;V.PTCP
चूंकि	siden	चूंकि	siden	CONJ	ADV
होटल	hotellerne	होटल	hotel	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
होटल	hoteller	होटल	hotel	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
उच्चारण	udtale	उच्चारण	udtale	N;NOM;MASC;SG;3	V;NFIN;ACT
साहित्यिक	litterære	साहित्यिक	litterære	N;NOM;MASC;SG;3	ADJ;PL
साहित्यिक	litterær	साहित्यिक	litterær	N;NOM;MASC;SG;3	ADJ;INDF;MASC+FEM;SG
वृक्ष	tree	वृक्ष	tree	N;NOM;MASC;SG;3	
वृक्ष	træer	वृक्ष	træ	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
वृक्ष	træerne	वृक्ष	træ	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
निवेश	investerer	निवेश	investere	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
निवेश	investere	निवेश	investere	N;NOM;MASC;SG;3	V;NFIN;ACT
निवेश	investorer	निवेश	investor	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवेश	investeringer	निवेश	investering	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवेश	investeringerne	निवेश	investering	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
निवेश	investeringer	निवेश	investering	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवेश	investeringerne	निवेश	investering	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
सत्य	sandheden	सत्य	sandhed		N;DEF;MASC+FEM;SG
सत्य	sandhed	सत्य	sandhed		N;INDF;MASC+FEM;SG
पुराण	purana	पुराण	purana	N;NOM;MASC;SG;3	
सौ	hundrede	सौ	hundrede	NUM	N;INDF;NEUT;SG
आंतरिक	indvendigt	आंतरिक	indvendig	ADJ;NOM	ADV
आंतरिक	interiør	आंतरिक	interiør	ADJ;NOM	N;INDF;NEUT;SG
आंतरिक	internt	आंतरिक	internt	ADJ;NOM	ADV
निकल	nikkel	निकल	nikkel	V;ACT	N;INDF;MASC+FEM;SG
प्रत्यक्ष	åbenlyst	प्रत्यक्ष	åbenlyst	PROPN;NOM;MASC;SG;3	ADV
प्रत्यक्ष	selvfølgeligt	प्रत्यक्ष	selvfølgeligt	PROPN;NOM;MASC;SG;3	ADV
प्रत्यक्ष	oplagt	प्रत्यक्ष	oplagt	PROPN;NOM;MASC;SG;3	ADJ;INDF;SG
प्रत्यक्ष	indlysende	प्रत्यक्ष	indlysende	PROPN;NOM;MASC;SG;3	ADJ
प्रत्यक्ष	direkte	प्रत्यक्ष	direkte	PROPN;NOM;MASC;SG;3	ADV
प्रत्यक्ष	direct	प्रत्यक्ष	direct	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
मित्र	friends	मित्र	friends	N;NOM;MASC;SG;3	V;PRS;V.PTCP
मित्र	venner	मित्र	ven	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
मित्र	vennerne	मित्र	ven	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
मित्र	veninder	मित्र	veninde	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
दर्द	smerter	दर्द	smerte	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
बिजली	el	बिजली	el	N;NOM;FEM;SG;3	
कार्ड	kort	कार्ड	kort	N;NOM;MASC;SG;3	ADJ;INDF;SG
कार्ड	kort	कार्ड	kort	N;NOM;MASC;SG;3	ADJ;INDF;SG
बिंदु	punkterne	बिंदु	punkt	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
बिंदु	points	बिंदु	points	N;NOM;MASC;SG;3	
बिंदु	pointer	बिंदु	pointer	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
बिंदु	punkter	बिंदु	punkt	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
बिंदु	dot	बिंदु	dot	N;NOM;MASC;SG;3	
बिंदु	peg	बिंदु	peg	N;NOM;MASC;SG;3	
बुद्ध	buddha	बुद्ध	buddha	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
स्टेडियम	stadioner	स्टेडियम	stadion	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
हजार	tusinde	हजार	tusinde	NUM	N;INDF;NEUT;PL
हजार	tusind	हजार	tusind	NUM	N;INDF;NEUT;SG
रिलीज़	slip	रिलीज़	slip	N;NOM;MASC;SG;3	V;IMP
रिलीज़	frigiver	रिलीज़	frigiv	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
शांति	peace	शान्ति	peace	N;NOM;FEM;SG;3	
आय	indtægter	आय	indtægte	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
आय	indtægterne	आय	indtægt	N;NOM;FEM;SG;3	N;DEF;MASC+FEM;PL
आय	indkomster	आय	indkomst	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
आय	indtægter	आय	indtægte	N;NOM;FEM;SG;3	N;INDF;MASC+FEM;PL
रन	løber	रन	løbe	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
फाइनल	afsluttende	फाइनल	afslutte	N;NOM;MASC;SG;3	V;PRS;V.PTCP
फाइनल	endeligt	फाइनल	endelig	N;NOM;MASC;SG;3	ADV
फाइनल	endelige	फाइनल	endelig	N;NOM;MASC;SG;3	ADJ;PL
फाइनल	endelig	फाइनल	endelig	N;NOM;MASC;SG;3	ADV
दैनिक	daglige	दैनिक	daglig	N;NOM;MASC;SG;3	ADJ;PL
दैनिक	dagligt	दैनिक	dagligt	N;NOM;MASC;SG;3	ADV
दैनिक	daily	दैनिक	daily	N;NOM;MASC;SG;3	
दैनिक	daglig	दैनिक	daglig	N;NOM;MASC;SG;3	ADV
न्याय	justice	न्याय	justic	N;NOM;MASC;SG;3	
फूल	blomster	फूल	blomst	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
प्राप्ति	søger	प्राप्ति	søge	N;NOM;FEM;SG;3	V;IND;PRS;FIN;ACT
प्राप्ति	søges	प्राप्ति	søge	N;NOM;FEM;SG;3	V;IND;PRS;FIN;PASS
प्राप्ति	søge	प्राप्ति	søge	N;NOM;FEM;SG;3	V;NFIN;ACT
प्राप्ति	søg	प्राप्ति	søg	N;NOM;FEM;SG;3	V;IMP
प्रसार	spred	प्रसार	spred	N;NOM;MASC;SG;3	V;IMP
दिल	dil	दिल	dil	N;NOM;MASC;SG;3	
दिल	heart	दिल	heart	N;NOM;MASC;SG;3	
दिल	hjerter	दिल	hjerte	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
सुंदर	køn	सुन्दर	køn	ADJ	N;INDF;MASC+FEM;SG
यानि	betyder	यानि	betyde	CONJ	V;IND;PRS;FIN;ACT
अफ़्रीका	afrika	अफेरीका	afrika	PROPN;NOM;MASC;SG;3	
इच्छा	begæret	इच्छा	begære	N;NOM;FEM;SG;3	V;INDF;SG;PST;V.PTCP
खंड	bloker	खंड	bloke	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
खंड	blokere	खंड	blok	N;NOM;MASC;SG;3	V;NFIN;ACT
खंड	block	खंड	block	N;NOM;MASC;SG;3	
मिश्रण	bland	मिश्रण	bland	N;NOM;MASC;SG;3	V;IMP
मिश्रण	blande	मिश्रण	blande	N;NOM;MASC;SG;3	V;NFIN;ACT
मिश्रण	bland	मिश्रण	bland	N;NOM;MASC;SG;3	V;IMP
समर्पित	dedikerede	समर्पित	dedikere	ADJ	V;PL;PST;V.PTCP
समर्पित	tilegnet	समर्पित	tilegne	ADJ	V;INDF;SG;PST;V.PTCP
समर्पित	dedikeret	समर्पित	dedikere	ADJ	V;INDF;SG;PST;V.PTCP
पहुंच	adgang	पहुंच	adgang	V;ACT	N;INDF;MASC+FEM;SG
स्मारक	monumenter	स्मारक	monument	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
स्मारक	mindesmærker	स्मारक	mindesmærke	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
व्यास	diameter	व्यास	diameter		N;INDF;MASC+FEM;SG
प्यार	elsker	प्यार	elske	N;NOM;MASC;SG;3	V;IND;PRS;FIN;ACT
प्यार	vild	प्यार	vild	N;NOM;MASC;SG;3	ADJ;INDF;MASC+FEM;SG
प्यार	kærligt	प्यार	kærlig	N;NOM;MASC;SG;3	ADV
प्यार	kærlige	प्यार	kærlig	N;NOM;MASC;SG;3	ADJ;PL
प्यार	kærlig	प्यार	kærlig	N;NOM;MASC;SG;3	ADJ;INDF;MASC+FEM;SG
लखनऊ	lucknow	लखनऊ	lucknow	PROPN;NOM;MASC;SG;3	
आन्दोलन	bevægelser	आन्दोलन	bevægelse	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
आत्मा	soul	आत्मा	soul	N;NOM;FEM;SG;3	
आत्मा	spirit	आत्मा	spirit	N;NOM;FEM;SG;3	
हे	hey	हे	hey		
हे	hej	हे	hej		N;INDF;MASC+FEM;SG
हे	halløj	हे	halløj		N;INDF;NEUT;SG
पक्षी	bird	पक्षी	bird	N;NOM;MASC;SG;3	
निवासी	indbyggerne	निवासी	indbygger	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
निवासी	indbyggere	निवासी	indbygger	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवासी	beboere	निवासी	beboer	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवासी	bosat	निवासी	bosat	N;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
निवासी	bosiddende	निवासी	bosidde	N;NOM;MASC;SG;3	ADJ
निवासी	fastboende	निवासी	fastboende	N;NOM;MASC;SG;3	V;PRS;V.PTCP
निवासी	bosiddende	निवासी	bosidde	N;NOM;MASC;SG;3	ADJ
निवासी	residenter	निवासी	resident	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवासी	indbyggere	निवासी	indbygger	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
निवासी	beboere	निवासी	beboer	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
डेविड	david	डेविड	david	PROPN;NOM;MASC;SG;3	
कह	sig	कह	sig	V;FIN;ACT	PRO;ACC;3;REFL
खास	særligt	खास	særligt	ADJ;NOM	ADV
खास	særlig	खास	særlig	ADJ;NOM	ADV
बांग्लादेश	bangladesh	बांग्लादेश	bangladesh	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
तय	fastsat	तय	fastsætte	ADJ	V;INDF;SG;PST;V.PTCP
तय	fast	तय	fast	ADJ	ADV
तय	fikseret	तय	fiksere	ADJ	V;INDF;SG;PST;V.PTCP
धारावाहिक	episoder	धारावाहिक	episode	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
तारे	star	तारा	star	N;NOM;MASC;SG;3	
तारे	stjernerne	तारा	stjerne	N;NOM;MASC;SG;3	N;DEF;MASC+FEM;PL
तारे	stjerner	तारा	stjerne	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
पौराणिक	mytologisk	पौराणिक	mytologisk	PROPN;NOM;SG;3	ADV
बाकी	resterende	बाकी	resterende	ADJ	V;PRS;V.PTCP
बाकी	rest	बाकी	rest	ADJ	N;INDF;MASC+FEM;SG
बाकी	hvil	बाकी	hvil	ADJ	N;INDF;NEUT;SG
बाकी	hvile	बाकी	hvile	ADJ	V;NFIN;ACT
बाकी	resterende	बाकी	resterende	ADJ	V;PRS;V.PTCP
संत	sant	संत	sant	N;NOM;MASC;SG;3	
संत	helge	संत	helge	N;NOM;MASC;SG;3	
संत	helgener	संत	helgene	N;NOM;MASC;SG;3	N;INDF;MASC+FEM;PL
संत	saint	संत	saint	N;NOM;MASC;SG;3	
ऊंचाई	elevation	ऊंचाई	elevation	N;NOM;FEM;SG;3	
उपग्रह	satellitbaseret	उपग्रह	satellitbaseret	N;NOM;MASC;SG;3	V;INDF;SG;PST;V.PTCP
तुर्की	kalkun	तुर्की	kalkun	PROPN;NOM;MASC;SG;3	N;INDF;MASC+FEM;SG
तुर्की	tyrkiet	तुर्की	tyrki	PROPN;NOM;MASC;SG;3	PROPN
