से	от	से	от		ADP
मौसम	сезоните	मौसम	сезон	N;NOM;MASC;SG;3	N;DEF;MASC;PL
मौसम	сезони	मौसम	сезон	N;NOM;MASC;SG;3	N;INDF;MASC;PL
अर्थात्	означава	अर्थात्	означавам		V;IPFV;IND;SG;3;PRS;FIN;ACT
भावना	емоции	भावना	емоция	N;NOM;FEM;SG;3	N;INDF;FEM;PL
छात्र	студентка	छात्र	студентка	N;NOM;MASC;PL;3	N;INDF;FEM;SG
छात्र	ученик	छात्र	ученик	N;NOM;MASC;PL;3	N;INDF;MASC;SG
छात्र	ученичка	छात्र	ученичка	N;NOM;MASC;PL;3	N;INDF;FEM;SG
छात्र	студент	छात्र	студент	N;NOM;MASC;PL;3	N;INDF;MASC;SG
खाना	храни	खाना	храна	N;NOM;MASC;SG;3	N;INDF;FEM;PL
मिले	намерено	मिल	намеря-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
मिले	намерени	मिल	намеря-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;PL;V.PTCP;PASS
मिले	открит	मिल	открия-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
मिले	намерена	मिल	намеря-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
मिले	намерен	मिल	намеря-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
मिले	мет	मिल	мет	V;PFV;MASC;SG;V.PTCP;ACT	N;INDF;FEM;SG
कैंसर	рак	कैंसर	рак	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
कैंसर	ракът	कैंसर	рак	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
इटली	италия	इटली	италия	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
सिद्धान्त	принципи	सिद्धान्त	принцип	N;NOM;MASC;SG;3	N;INDF;MASC;PL
विरोधी	враждебност	विरोधी	враждебност	ADJ	N;INDF;FEM;SG
विरोधी	враждебно	विरोधी	враждебно	ADJ	ADV
विरोधी	антагонист	विरोधी	антагонист	ADJ	N;INDF;MASC;SG
विरोधी	антагонисти	विरोधी	антагонист	ADJ	N;INDF;MASC;PL
विरोधी	противоположностите	विरोधी	противоположност	ADJ	N;DEF;FEM;PL
घाटी	вали	घाटी	вали	N;NOM;FEM;SG;3	V;IPFV;IMP;SG;3;PRS;FIN
नियंत्रित	контролирана	नियंत्रित	контролирам	ADJ	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
नियंत्रित	контролиран	नियंत्रित	контролирам	ADJ	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
नियंत्रित	контролирани	नियंत्रित	контролирам	ADJ	V;IPFV;INDF;PL;V.PTCP;PASS
नियंत्रित	контролирано	नियंत्रित	контролирам	ADJ	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
विलियम	уилям	विलियम	уилям	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
विविध	разнообразни	विविध	разнообразен		ADJ;INDF;PL
विविध	различни	विविध	различен		ADJ;INDF;PL
विविध	разнообразни	विविध	разнообразен		ADJ;INDF;PL
विविध	разни	विविध	разен		ADJ;INDF;PL
विकल्प	алтернативи	विकल्प	алтернатива	N;NOM;MASC;SG;3	N;INDF;FEM;PL
विकल्प	възможности	विकल्प	възможност	N;NOM;MASC;SG;3	N;INDF;FEM;PL
विकल्प	настройки	विकल्प	настройка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
विकल्प	опции	विकल्प	опция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
उद्यान	park	उद्यान	park	N;NOM;MASC;SG;3	ADJ
होगी	уил	हो	ухл	V;FEM;IND;SG;3;FUT;FIN;ACT	PROPN;INDF;MASC;SG
पशु	животни	पशु	животно	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
पशु	животните	पशु	животно	N;NOM;MASC;SG;3	N;DEF;NEUT;PL
पशु	животни	पशु	животно	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
पशु	животинска	पशु	животински	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
पशु	животински	पशु	животински	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
ज्यादातर	предимно	ज्यादातर	предимно	N;NOM;MASC;SG;3	ADV
ज्यादातर	главно	ज्यादातर	главно	N;NOM;MASC;SG;3	ADV
ईसाई	кристиан	ईसाई	кристиан		N;INDF;MASC;SG
ईसाई	кристиян	ईसाई	кристиян		N;INDF;MASC;SG
ईसाई	крисчън	ईसाई	крисчън		PROPN;INDF;MASC;SG
ईसाई	християнин	ईसाई	християнин		N;INDF;MASC;SG
प्रमाण	улики	प्रमाण	улика	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रमाण	доказателства	प्रमाण	доказателство	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
प्रमाण	доказателства	प्रमाण	доказателство	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
याद	запомни	याद	запомня	N;NOM;FEM;SG;3	V;PFV;IMP;SG;2;FIN
याद	помни	याद	помня	N;NOM;FEM;SG;3	V;IPFV;IMP;SG;2;FIN
मानसिक	психично	मानसिक	психичен	N;NOM;MASC;SG;3	ADV
मानसिक	душевно	मानसिक	душевен	N;NOM;MASC;SG;3	ADV
मानसिक	психични	मानसिक	психичен	N;NOM;MASC;SG;3	ADJ;INDF;PL
मानसिक	психичното	मानसिक	психичен	N;NOM;MASC;SG;3	ADJ;DEF;NEUT;SG
मानसिक	психически	मानसिक	психически	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
मानसिक	душевно	मानसिक	душевен	N;NOM;MASC;SG;3	ADV
मानसिक	мислено	मानसिक	мислено	N;NOM;MASC;SG;3	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
मानसिक	умствено	मानसिक	умствен	N;NOM;MASC;SG;3	ADV
रसायन	химична	रसायन	химичен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
रसायन	химически	रसायन	химически	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रसायन	химикали	रसायन	химикал	N;NOM;MASC;SG;3	N;INDF;MASC;PL
प्रभावी	ефикасно	प्रभावी	ефикасно	ADJ	ADV
प्रभावी	ефективно	प्रभावी	ефективно	ADJ	ADV
विज्ञापन	рекламен	विज्ञापन	рекламен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
विज्ञापन	реклами	विज्ञापन	реклам	N;NOM;MASC;SG;3	N;INDF;FEM;PL
विज्ञापन	рекламират	विज्ञापन	рекламирам	N;NOM;MASC;SG;3	V;IPFV;IND;PL;3;PRS;FIN;ACT
विज्ञापन	реклами	विज्ञापन	реклам	N;NOM;MASC;SG;3	N;INDF;FEM;PL
ईश्वर	господ	ईश्वर	господ		N;INDF;MASC;SG
ईश्वर	бог	ईश्वर	бог		N;INDF;MASC;SG
अमरीका	америка	अमरीका	америка	PROPN;NOM;MASC;SG;3	PROPN;INDF;FEM;SG
शिकार	ловен	शिकार	ловен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
शिकार	жертви	शिकार	жертва	N;NOM;MASC;SG;3	N;INDF;FEM;PL
रोगी	търпелив	रोगी	търпелив	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रूसी	руснак	रूसी	руснак	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
रूसी	руски	रूसी	руски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रूसी	руснаци	रूसी	руснак	PROPN;NOM;MASC;SG;3	N;INDF;MASC;PL
रूसी	руска	रूसी	руски	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
रूसी	руско	रूसी	руско	PROPN;NOM;MASC;SG;3	ADV
अधीन	под	अधीन	под		ADP
गुप्त	гупта	गुप्त	гупт	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
गुप्त	секретно	गुप्त	секретен	PROPN;NOM;MASC;SG;3	ADV
गुप्त	тайна	गुप्त	тайна	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
गुप्त	таен	गुप्त	таен	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
गुप्त	тайната	गुप्त	тайна	PROPN;NOM;MASC;SG;3	N;DEF;FEM;SG
गुप्त	тайно	गुप्त	тайно	PROPN;NOM;MASC;SG;3	ADV
गुप्त	кодирани	गुप्त	кодирам	PROPN;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
गुप्त	инкогнито	गुप्त	инкогни	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
माने	мане	मान	мане	V;PFV;MASC;PL;V.PTCP;ACT	PROPN;INDF;MASC;SG
माने	грива	मान	грив	V;PFV;MASC;PL;V.PTCP;ACT	N;INDF;FEM;SG
हृदय	сърдечни	हृदय	сърдечен	N;NOM;MASC;SG;3	ADJ;INDF;PL
हृदय	сърдечен	हृदय	сърдечен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
हृदय	сърдечна	हृदय	сърдечен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
आयोग	комисии	आयोग	комисия	N;NOM;MASC;SG;3	N;INDF;FEM;PL
आयोग	комисионна	आयोग	комисионен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
हिंदू	хинду	हिंदू	хинду	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
शुद्ध	чисто	शुद्ध	чисто		ADV
शुद्ध	чист	शुद्ध	чист		ADJ;INDF;MASC;SG
शुद्ध	чиста	शुद्ध	чист		ADJ;INDF;FEM;SG
तीसरे	трето	तीसरा	трето	ADJ;ACC;MASC;SG	ADV
चर्च	църкви	चर्च	църква	N;NOM;MASC;SG;3	N;INDF;FEM;PL
चर्च	църквите	चर्च	църква	N;NOM;MASC;SG;3	N;DEF;FEM;PL
चर्च	чърч	चर्च	чърч	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
अपेक्षा	очакване	अपेक्षा	очакване	CONJ	N;INDF;NEUT;SG
अपेक्षा	очаквания	अपेक्षा	очакване	CONJ	N;INDF;NEUT;PL
कार्यालय	работи	कार्यालय	работя	N;NOM;MASC;SG;3	V;IPFV;IMP;SG;2;FIN
कार्यालय	офиси	कार्यालय	офис	N;NOM;MASC;SG;3	N;INDF;MASC;PL
कार्यालय	офисите	कार्यालय	офис	N;NOM;MASC;SG;3	N;DEF;MASC;PL
स्टार	звезден	स्टार	звезден	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
वर्षा	валежи	वर्षा	валеж	N;NOM;FEM;SG;3	N;INDF;MASC;PL
जनरल	обща	जनरल	общ	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
जनरल	общи	जनरल	общ	N;NOM;MASC;SG;3	ADJ;INDF;PL
संदेश	послания	संदेश	послание	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
संदेश	съобщения	संदेश	съобщение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
मार	убий	मार	убия	V;ACT	INTJ
परिचय	относно	परिचय	относно	N;NOM;MASC;SG;3	ADP
सोवियत	съветска	सोवियत	съветски	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
सोवियत	съветски	सोवियत	съветски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
दौर	кръгли	दौर	кръгъл	N;NOM;MASC;SG;3	ADJ;INDF;PL
दौर	кръгло	दौर	кръг	N;NOM;MASC;SG;3	ADV
संचालन	операции	संचालन	операция	N;NOM;MASC;SG;3	N;INDF;FEM;PL
उपस्थित	участници	उपस्थित	участник	ADJ	N;INDF;MASC;PL
उपस्थित	подарък	उपस्थित	подарък	ADJ	N;INDF;MASC;SG
उपस्थित	настояще	उपस्थित	настояще	ADJ	N;INDF;NEUT;SG
अस्पताल	болници	अस्पताल	болница	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अस्पताल	болниците	अस्पताल	болница	N;NOM;MASC;SG;3	N;DEF;FEM;PL
परिवर्तित	променена	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
परिवर्तित	променени	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
परिवर्तित	променен	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
परिवर्तित	променено	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
परिवर्तित	променени	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
परिवर्तित	променено	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
परिवर्तित	модифициран	परिवर्तित	модифицирам	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
परिवर्तित	променен	परिवर्तित	променя-(се)	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
परिवर्तित	модифицирани	परिवर्तित	модифицирам	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
परिवर्तित	модифицирана	परिवर्तित	модифицирам	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
परिवर्तित	превърнати	परिवर्तित	превърна-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
परिवर्तित	преобразуван	परिवर्तित	преобразувам	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
पेश	представяме	पेश	представям-(се)	ADJ	V;IPFV;IND;PL;1;PRS;FIN;ACT
स्वर	гласни	स्वर	гласен	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्वर	гласните	स्वर	гласен	N;NOM;MASC;SG;3	N;DEF;FEM;PL
लघु	логаритъм	लघु	логаритъм		N;INDF;MASC;SG
लघु	незначителни	लघु	незначителен		ADJ;INDF;PL
प्रश्न	въпроси	प्रश्न	въпрос	N;NOM;MASC;SG;3	N;INDF;MASC;PL
आलोचना	критики	आलोचना	критика	N;NOM;FEM;SG;3	N;INDF;FEM;PL
पहाड़ी	хил	पहाडी	хил	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
पहाड़ी	hill	पहाडी	hill	N;NOM;FEM;SG;3	PROPN;INDF;MASC;SG
पुरानी	старо	पुराना	стар	ADJ;FEM;SG	ADV
पुरानी	стари	पुराना	стар	ADJ;FEM;SG	ADJ;INDF;PL
पसंद	обича	पसंद	обичам	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
पसंद	харесва	पसंद	харесвам-(се)	N;NOM;FEM;SG;3	V;IPFV;IND;SG;3;PRS;FIN;ACT
पसंद	харесвания	पसंद	харесване	N;NOM;FEM;SG;3	N;INDF;NEUT;PL
पसंद	отметките	पसंद	отметка	N;NOM;FEM;SG;3	N;DEF;FEM;PL
सुझाव	предложения	सुझाव	предложение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
सुझाव	препоръки	सुझाव	препоръка	N;NOM;MASC;SG;3	N;INDF;FEM;PL
सुझाव	съвети	सुझाव	съвет	N;NOM;MASC;SG;3	N;INDF;MASC;PL
लिखने	писане	लिख	писане	V;NFIN;ACT	N;INDF;NEUT;SG
वर्णित	описани	वर्णित	опиша	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
वर्णित	описано	वर्णित	опиша	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
वर्णित	описана	वर्णित	опиша	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
वर्णित	описан	वर्णित	опиша	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
विभाजन	разделения	विभाजन	разделение	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
विभाजन	участъци	विभाजन	участък	N;NOM;MASC;SG;3	N;INDF;MASC;PL
विभाजन	дивизии	विभाजन	дивизия	N;NOM;MASC;SG;3	N;INDF;FEM;PL
प्रशासनिक	административно	प्रशासनिक	административен	PROPN;NOM;MASC;SG;3	ADV
प्रशासनिक	административен	प्रशासनिक	административен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
प्रशासनिक	административна	प्रशासनिक	административен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
प्रशासनिक	административни	प्रशासनिक	административен	PROPN;NOM;MASC;SG;3	ADJ;INDF;PL
कठिन	трудно	कठिन	трудно	ADP	ADV
कठिन	силно	कठिन	силно	ADP	ADV
कठिन	здраво	कठिन	здраво	ADP	ADV
कठिन	твърдо	कठिन	твърдо	ADP	ADV
कठिन	твърд	कठिन	твърд	ADP	ADJ;INDF;MASC;SG
कठिन	труден	कठिन	труден	ADP	ADJ;INDF;MASC;SG
कठिन	корав	कठिन	корав	ADP	ADJ;INDF;MASC;SG
कठिन	трудно	कठिन	трудно	ADP	ADV
कठिन	труден	कठिन	труден	ADP	ADJ;INDF;MASC;SG
कठिन	трудни	कठिन	труден	ADP	ADJ;INDF;PL
कठिन	трудна	कठिन	труден	ADP	ADJ;INDF;FEM;SG
कड़ी	връзка	कडा	връзка	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
कड़ी	линк	कडा	линк	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
कड़ी	връзки	कडा	връзка	ADJ;NOM;FEM;SG	N;INDF;FEM;PL
कड़ी	верига	कडा	верига	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
कड़ी	вериги	कडा	верига	ADJ;NOM;FEM;SG	N;INDF;FEM;PL
कड़ी	верижка	कडा	верижка	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
कड़ी	веригата	कडा	верига	ADJ;NOM;FEM;SG	N;DEF;FEM;SG
ईरान	иран	ईरान	иран	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
क्षेत्रीय	регионално	क्षेत्रीय	регионален	ADJ;NOM	ADV
परिभाषित	определени	परिभाषित	определя-(се)	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
परिभाषित	дефинирани	परिभाषित	дефинирам	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
ग्रामीण	селски	ग्रामीण	селски	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
ग्रामीण	селско	ग्रामीण	селски	N;NOM;MASC;SG;3	ADV
ग्रामीण	селска	ग्रामीण	селски	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
प्रस्तावित	предложени	प्रस्तावित	предложа	ADJ	V;PFV;INDF;PL;V.PTCP;PASS
प्रस्तावित	предложена	प्रस्तावित	предложа	ADJ	V;PFV;INDF;FEM;SG;V.PTCP;PASS
प्रस्तावित	предложен	प्रस्तावित	предложа	ADJ	V;PFV;INDF;MASC;SG;V.PTCP;PASS
प्रस्तावित	предложено	प्रस्तावित	предложа	ADJ	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
इस्लाम	ислямизъм	इस्लाम	ислямизъм	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
इस्लाम	ислям	इस्लाम	ислем	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
इस्लाम	исляма	इस्लाम	ислям	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
समुद्री	пехотинец	समुद्री	пехотинец	ADJ;NOM	N;INDF;MASC;SG
समझा	разбрано	समझ	разбера-(се)	V;PFV;MASC;SG;V.PTCP;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
उनको	ги	वह	аз	PRO;SG;3;FORM	PRO;ACC;PL;3
उनको	тях	वह	аз	PRO;SG;3;FORM	PRO;ACC;PL;3
उपयोगी	полезно	उपयोगी	полезен	ADJ	ADV
उपयोगी	полезно	उपयोगी	полезен	ADJ	ADV
केंद्रीय	централно	केंद्रीय	централен	PROPN;NOM;SG;3	ADV
केंद्रीय	централен	केंद्रीय	централен	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
केंद्रीय	централа	केंद्रीय	централа	PROPN;NOM;SG;3	N;INDF;FEM;SG
केंद्रीय	централни	केंद्रीय	централен	PROPN;NOM;SG;3	ADJ;INDF;PL
केंद्रीय	централна	केंद्रीय	централен	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
सत्र	сеанси	सत्र	сеанси	N;NOM;MASC;SG;3	N;INDF;MASC;PL
सत्र	сесии	सत्र	сесия	N;NOM;MASC;SG;3	N;INDF;FEM;PL
मिश्र	египет	मिश्र	египет	PROPN;NOM;SG;3	PROPN;INDF;MASC;SG
मिश्र	мишра	मिश्र	мишра	PROPN;NOM;SG;3	N;INDF;FEM;SG
मिश्र	египетски	मिश्र	египетски	PROPN;NOM;SG;3	ADJ;INDF;MASC;SG
पहुँच	достъп	पहुँच	достъп	V;ACT	N;INDF;MASC;SG
पहुँच	достигане	पहुँच	достигане	V;ACT	N;INDF;NEUT;SG
पहुँच	достъпност	पहुँच	достъпност	V;ACT	N;INDF;FEM;SG
मेरा	моите	मैं	мой	PRO;MASC;SG;1	DET;DEF;PL;1
मेरा	мой	मैं	мой	PRO;MASC;SG;1	DET;INDF;MASC;SG;1
मेरा	моята	मैं	мой	PRO;MASC;SG;1	DET;DEF;FEM;SG;1
मेरा	мое	मैं	мой	PRO;MASC;SG;1	DET;INDF;NEUT;SG;1
मेरा	моя	मैं	мой	PRO;MASC;SG;1	DET;INDF;FEM;SG;1
मेरा	моят	मैं	мой	PRO;MASC;SG;1	DET;DEF;MASC;SG;1
मिस्र	египет	मिस्र	египет	PROPN;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
मिस्र	египетски	मिस्र	египетски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
गणराज्य	република	गणराज्य	република	PROPN;NOM;MASC;SG;3	N;INDF;FEM;SG
पुराना	старо	पुराना	стар	ADJ;MASC;SG	ADV
पुराना	стари	पुराना	стар	ADJ;MASC;SG	ADJ;INDF;PL
जम्मू	джаму	जम्मू	джаму	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
तेज	бързо	तेज	бързо	ADJ	ADV
नवंबर	ноември	नवंबर	ноември	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
नवंबर	ноември	नवंबर	ноември	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
अपराध	престъпления	अपराध	престъпление	N;NOM;MASC;SG;3	N;INDF;NEUT;PL
अमेरिकन	американска	अमेरिकन	американски	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
अमेरिकन	американско	अमेरिकन	американски	PROPN;NOM;MASC;SG;3	ADV
अमेरिकन	американски	अमेरिकन	американски	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
अमेरिकन	американец	अमेरिकन	американец	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
जन	ян	जन	ян	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
जन	джан	जन	джан	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
यूनाइटेड	обединени	यूनाइटेड	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;PL;V.PTCP;PASS
यूनाइटेड	обединена	यूनाइटेड	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;FEM;SG;V.PTCP;PASS
यूनाइटेड	обединен	यूनाइटेड	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;MASC;SG;V.PTCP;PASS
यूनाइटेड	юнайтед	यूनाइटेड	юнайтед	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
यूनाइटेड	обединено	यूनाइटेड	обединя-(се)	PROPN;NOM;MASC;SG;3	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
जापानी	японско	जापानी	японски	N;NOM;MASC;SG;3	ADV
जापानी	японска	जापानी	японски	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
जापानी	японци	जापानी	японец	N;NOM;MASC;SG;3	N;INDF;MASC;PL
जापानी	японски	जापानी	японски	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
रॉक	rock	रॉक	rock	N;NOM;MASC;SG;3	PROPN;INDF;MASC;SG
रॉक	скали	रॉक	скала	N;NOM;MASC;SG;3	N;INDF;FEM;PL
लंबी	високи	लंबा	висок	ADJ;NOM;FEM;SG	ADJ;INDF;PL
लंबी	дълги	लंबा	дълъг	ADJ;NOM;FEM;SG	ADJ;INDF;PL
लंबी	дълго	लंबा	дълго	ADJ;NOM;FEM;SG	ADV
लंबी	лонг	लंबा	лонг	ADJ;NOM;FEM;SG	PROPN;INDF;MASC;SG
गेम	игри	गेम	игра	N;NOM;MASC;SG;3	N;INDF;FEM;PL
गेम	игри	गेम	игра	N;NOM;MASC;SG;3	N;INDF;FEM;PL
अन्दर	вътрешно	अन्दर	вътрешен		ADV
अन्दर	вътре	अन्दर	вътре		ADV
संपत्ति	активи	संपत्ति	актив	N;NOM;FEM;SG;3	N;INDF;MASC;PL
संक्षिप्त	съкращение	संक्षिप्त	съкращение	PROPN;NOM;SG;3	N;INDF;NEUT;SG
संक्षिप्त	кратко	संक्षिप्त	кратко	PROPN;NOM;SG;3	ADV
संक्षिप्त	кратка	संक्षिप्त	кратък	PROPN;NOM;SG;3	ADJ;INDF;FEM;SG
गलत	неправилно	गलत	неправилно	ADJ	ADV
गलत	грешно	गलत	грешно	ADJ	ADV
गलत	грешка	गलत	грешка	ADJ	N;INDF;FEM;SG
गलत	невярно	गलत	неверен	ADJ	ADV
गलत	фалшиво	गलत	фалшиво	ADJ	ADV
सर्वोच्च	върховен	सर्वोच्च	върховен	PROPN;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
सर्वोच्च	върховния	सर्वोच्च	върховен	PROPN;NOM;MASC;SG;3	ADJ;DEF;MASC;SG
सर्वोच्च	върховна	सर्वोच्च	върховен	PROPN;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
सर्वोच्च	върховно	सर्वोच्च	върховен	PROPN;NOM;MASC;SG;3	ADV
लेना	лина	ले	лина	V;MASC;NFIN;ACT	N;INDF;FEM;SG
लेना	лена	ले	лена	V;MASC;NFIN;ACT	N;INDF;FEM;SG
वाहन	автомобил	वाहन	автомобил	N;NOM;MASC;PL;3	N;INDF;MASC;SG
वाहन	возило	वाहन	вози	N;NOM;MASC;PL;3	N;INDF;NEUT;SG
सैनिक	военно	सैनिक	военен	N;NOM;MASC;SG;3	ADV
सैनिक	военен	सैनिक	военен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
सैनिक	военна	सैनिक	военен	N;NOM;MASC;SG;3	ADJ;INDF;FEM;SG
सैनिक	военни	सैनिक	военен	N;NOM;MASC;SG;3	ADJ;INDF;PL
डेटा	данни	डेटा	данна	N;NOM;MASC;SG;3	N;INDF;FEM;PL
स्थिर	статично	स्थिर	статичен		ADV
स्थिर	стабилен	स्थिर	стабилен		ADJ;INDF;MASC;SG
स्थिर	стабилно	स्थिर	стабилно		ADV
स्थिर	стабилна	स्थिर	стабилен		ADJ;INDF;FEM;SG
अशोक	ашока	अशोक	ашок	PROPN;NOM;MASC;SG;3	N;DEF;MASC;SG
बाह्य	външна	बाह्य	външен		ADJ;INDF;FEM;SG
बाह्य	външно	बाह्य	външен		ADV
बाह्य	външни	बाह्य	външен		ADJ;INDF;PL
बाह्य	външен	बाह्य	външен		ADJ;INDF;MASC;SG
होटल	хотели	होटल	хотел	N;NOM;MASC;SG;3	N;INDF;MASC;PL
साहित्यिक	литературни	साहित्यिक	литературен	N;NOM;MASC;SG;3	ADJ;INDF;PL
साहित्यिक	литературен	साहित्यिक	литературен	N;NOM;MASC;SG;3	ADJ;INDF;MASC;SG
पुरुषों	men	पुरुष	men	N;ACC;MASC;PL;3	N;INDF;MASC;SG
पुरुषों	менс	पुरुष	менс	N;ACC;MASC;PL;3	N;INDF;MASC;SG
