datu	datu	datu	dat	PROPN	
pelaut	marynarzy	penlaut	marynarz	N;SG	N;GEN;MASC;PL
pelaut	marynarze	penlaut	marynarz	N;SG	N;NOM;MASC;PL
pelaut	marynarzy	penlaut	marynarz	N;SG	N;GEN;MASC;PL
perkantoran	biuro	perkantoran	biuro	N;SG	
perkantoran	biurowe	perkantoran	biurowy	N;SG	ADJ;NOM;NEUT;SG
utang	długi	utang	długi	N;SG	
utang	długi	utang	długi	N;SG	
wordpress	wordpress	wordpress	wordpress	PROPN	
montenegro	czarnogóra	montenegro	czarnogór	PROPN	ADJ;NOM;FEM;SG
montenegro	czarnogóry	montenegro	czarnogóry	PROPN	
pecinta	zakochani	pecinta	zakochać	N;SG	ADJ;NOM;MASC;PL
pecinta	kochanków	pecinta	kochanek	N;SG	N;ACC;MASC;PL
pecinta	kochankowie	pecinta	kochankowo	N;SG	N;NOM;MASC;PL
pecinta	kochanki	pecinta	kochanka	N;SG	N;ACC;FEM;PL
tayangan	wyświetleń	tayangan	wyświetlenie	N;SG	N;GEN;NEUT;PL
tayangan	wrażenia	tayangan	wrażenie	N;SG	N;NOM;NEUT;PL
tayangan	poglądy	tayangan	pogląd	N;SG	N;NOM;MASC;PL
tayangan	widoki	tayangan	widok	N;SG	N;NOM;MASC;PL
tayangan	wrażenia	tayangan	wrażenie	N;SG	N;NOM;NEUT;PL
hikayat	saga	hikayat	sagać	N	
commons	commons	commons	commons	PROPN	N;ACC;MASC;SG
diperhatikan	zauważył	diperhatikan	zauważyć	V;SG;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
diperhatikan	zauważył	diperhatikan	zauważyć	V;SG;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
diperhatikan	zauważyła	diperhatikan	zauważyć	V;SG;PASS	V;PFV;FEM;IND;SG;PST;FIN;ACT
sandy	sandy	sandy	sanda	PROPN	
mangga	mango	mangga	mango	N	
mangga	mango	mangga	mango	N	
diana	diana	diana	diana	PROPN	N;NOM;FEM;SG
tai	tai	tai	tai	PROPN	
engineer	inżynier	engineer	inżynier	PROPN	N;NOM;MASC;SG
banding	odwołania	banding	odwołać	PROPN;SG;ACT	N;PFV;GEN;NEUT;SG;POS;V.MSDR
banding	odwołań	banding	odwołanie	PROPN;SG;ACT	N;GEN;NEUT;PL
banding	apelacji	banding	apelacja	PROPN;SG;ACT	N;GEN;FEM;SG
banding	odwołania	banding	odwołać	PROPN;SG;ACT	N;PFV;GEN;NEUT;SG;POS;V.MSDR
banding	apel	banding	apel	PROPN;SG;ACT	N;NOM;MASC;SG
banding	odwołanie	banding	odwołać	PROPN;SG;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
idris	idris	idris	idris		PROPN;NOM;MASC;SG
gak	gak	gak	gak	PART	
newcastle	newcastle	newcastle	newcastla	PROPN	N;NOM;NEUT;SG
bir	piw	bir	piw	N;SG	
rusa	jelenia	rusa	jeleń	N	
rusa	łoś	rusa	łoś	N	
rusa	jelenia	rusa	jeleń	N	
redaksi	wydawca	redaksi	wydawca	PROPN	N;NOM;MASC;SG
redaksi	redaktor	redaksi	redaktor	PROPN	N;NOM;MASC;SG
redaksi	edytor	redaksi	edytor	PROPN	N;NOM;MASC;SG
redaksi	redaktorzy	redaksi	redaktor	PROPN	N;NOM;MASC;PL
redaksi	wydawcy	redaksi	wydawca	PROPN	N;NOM;MASC;SG
cooper	coopera	cooper	cooper	PROPN	N;ACC;MASC;SG
cooper	cooper	cooper	cooper	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
bahu	bark	bahu	bark	N;SG	
bahu	ramiona	bahu	ramię	N;SG	N;NOM;NEUT;PL
bahu	łopatki	bahu	łopatka	N;SG	N;ACC;FEM;PL
bahu	ramion	bahu	ramię	N;SG	N;GEN;NEUT;PL
bahu	barki	bahu	bark	N;SG	N;NOM;FEM;PL
berlari	uruchomiony	berlari	uruchomić	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
berlari	bieganie	berlari	bieganie	V;SG;ACT	N;NOM;NEUT;SG
anggrek	orchidei	anggrek	orchida	N;SG	
berinteraksi	zaręczony	berinteraksi	zaręczyć	V;SG;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
berinteraksi	zaręczona	berinteraksi	zaręczyć	V;SG;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
berinteraksi	zaręczyny	berinteraksi	zaręczyna	V;SG;ACT	N;NOM;FEM;PL
diteruskan	przekazany	diteruskan	przekazać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
diteruskan	przekazana	diteruskan	przekazać	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
diteruskan	przekazano	diteruskan	przekazać	V;SG;PASS	V;PFV;IND;0;PST;FIN;ACT
diteruskan	przekazane	diteruskan	przekazać	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
arwah	duchy	arwah	duch	N;SG	N;NOM;MASC;PL
michelle	michelle	michelle	michelle	N	PROPN;NOM;FEM;SG
michelle	michele	michelle	michel	N	PROPN;NOM;MASC;SG
electronic	elektroniczne	electronic	elektroniczny	PROPN	ADJ;NOM;NEUT;SG
electronic	elektroniczna	electronic	elektroniczny	PROPN	ADJ;NOM;FEM;SG
electronic	elektroniczny	electronic	elektroniczny	PROPN	ADJ;NOM;MASC;SG
campbell	campbell	campbell	campbell	PROPN	PROPN;NOM;MASC;SG
nevada	nevada	nevada	nevadać	PROPN	N;NOM;MASC;SG
meiji	meiji	meiji	meja	PROPN	
haruka	haruka	haruka	haruka	PROPN	
sajak	rym	sajak	rym	N	
côte	côte	côte	cót	PROPN	
disk	dysk	disk	dysk	PROPN	N;NOM;MASC;SG
disk	dysku	disk	dysk	PROPN	N;GEN;MASC;SG
disk	dysk	disk	dysk	PROPN	N;NOM;MASC;SG
disk	płyta	disk	płyta	PROPN	N;NOM;FEM;SG
disk	dyski	disk	dyski	PROPN	N;NOM;MASC;PL
thompson	thompson	thompson	thompson	PROPN	PROPN;NOM;MASC;SG
rudy	rudy	rudy	ruda	PROPN	
ugm	ugm	ugm	ugieć	PROPN	
elit	elity	elit	elita	N;SG	
susan	susan	susan	susan	PROPN	PROPN;NOM;FEM;SG
susan	zuzia	susan	zuzia	PROPN	PROPN;NOM;FEM;SG
susan	zosia	susan	zosia	PROPN	PROPN;NOM;FEM;SG
shadow	cieniu	shadow	cień	PROPN	N;GEN;MASC;SG
shadow	cienia	shadow	cień	PROPN	N;GEN;MASC;SG
shadow	shadow	shadow	shadow	PROPN	
shadow	cień	shadow	cień	PROPN	
kobayashi	kobayashi	kobayashi	kobaśasha	PROPN	N;NOM;MASC;SG
bull	byka	bull	byk	PROPN	N;ACC;MASC;SG
bull	byk	bull	byk	PROPN	N;NOM;MASC;SG
bull	bull	bull	bull	PROPN	
jujur	szczerze	jujur	szczerze	ADJ;SG	
jujur	szczere	jujur	szczery	ADJ;SG	
instalasi	instalacje	instalasi	instalacja	N;SG	N;NOM;FEM;PL
instalasi	instalacje	instalasi	instalacja	N;SG	N;NOM;FEM;PL
instalasi	montaż	instalasi	montaż	N;SG	
instalasi	instalacje	instalasi	instalacja	N;SG	N;NOM;FEM;PL
cabai	chilli	cabai	chillić	N;SG	
cabai	chili	cabai	chilić	N;SG	
antarktika	antarktyda	antarktika	antarktyda	PROPN	
antarktika	antarktyki	antarktika	antarktyk	PROPN	N;ACC;FEM;SG
room	pomieszczenie	room	pomieszczenie	PROPN	N;NOM;NEUT;SG
room	pokój	room	pokój	PROPN	N;NOM;MASC;SG
launch	start	launch	start	PROPN	
launch	uruchomienie	launch	uruchomienie	PROPN	N;PFV;NOM;NEUT;SG;POS;V.MSDR
launch	startu	launch	stary	PROPN	N;GEN;MASC;SG
lencana	odznaka	lencana	odznak	N;SG	
lencana	odznaki	lencana	odznak	N;SG	V;IPFV;IND;SG;3;FIN;ACT
lencana	wizytówki	lencana	wizytówka	N;SG	N;NOM;FEM;PL
rindu	panna	rindu	panna	PROPN;SG	N;NOM;FEM;SG
lembar	arkusze	lembar	arkusz	N;SG	N;NOM;MASC;PL
lembar	arkusze	lembar	arkusz	N;SG	N;NOM;MASC;PL
lembar	pościel	lembar	pościel	N;SG	
lembar	arkuszy	lembar	arkusza	N;SG	N;GEN;MASC;PL
mengarahkan	kierowanie	menkarahkan	kierować	V;SG;ACT	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
mengarahkan	wół	menkarahkan	wół	V;SG;ACT	N;NOM;MASC;SG
faksi	frakcje	faksi	frakcja	N;SG	N;NOM;FEM;PL
bruno	bruno	bruno	bruno	PROPN	PROPN;NOM;MASC;SG
kelautan	morski	kelautan	morski	N;SG	ADJ;NOM;MASC;SG
kelautan	marine	kelautan	mariny	N;SG	
kelautan	morskie	kelautan	morski	N;SG	ADJ;NOM;NEUT;SG
kelautan	morski	kelautan	morski	N;SG	ADJ;NOM;MASC;SG
bayangan	cieni	bayangan	cień	N;SG	
bayangan	cienie	bayangan	cień	N;SG	N;NOM;MASC;PL
bayangan	cień	bayangan	cień	N;SG	
bayangan	shadow	bayangan	shadow	N;SG	
bayangan	cień	bayangan	cień	N;SG	
pmr	pmr	pmr	pemr	PROPN	
rect	rect	rect	rect	PROPN	
close	zamknij	close	zamknąć	PROPN	V;PFV;IMP;SG;2;FIN;ACT
close	blisko	close	blisko	PROPN	
eddy	eddy	eddy	eddy	PROPN	
ajax	ajax	ajax	ajax	PROPN	
romeo	romeo	romeo	romeo	PROPN	
justin	justin	justin	justin	PROPN	PROPN;NOM;MASC;SG
justin	justyna	justin	justyn	PROPN	PROPN;NOM;FEM;SG
waris	dziedzic	waris	dziedzica	N;SG	PROPN;NOM;MASC;SG
waris	waris	waris	waris	N;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
dirasakan	postrzegane	dirasakan	postrzegać	V;SG;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
dirasakan	postrzegany	dirasakan	postrzegać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
dirasakan	czuł	dirasakan	czuć	V;SG;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
dirasakan	czuła	dirasakan	czuć	V;SG;PASS	V;IPFV;FEM;IND;SG;PST;FIN;ACT
dirasakan	czuł	dirasakan	czuć	V;SG;PASS	V;IPFV;MASC;IND;SG;PST;FIN;ACT
keterbatasan	limity	keterbatasan	limita	N;SG	N;NOM;MASC;PL
mitsubishi	mitsubishi	mitsubishi	mitsubisha	N	
monica	monika	monica	monik	PROPN	PROPN;NOM;FEM;SG
monica	moniki	monica	monika	PROPN	
monica	monica	monica	monica	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
sendirian	samotnie	sendirian	samotnie	N;SG	ADV
sendirian	sama	sendirian	sam	N;SG	ADJ;NOM;FEM;SG
sendirian	sam	sendirian	sam	N;SG	ADJ;NOM;MASC;SG
ingat	zapamiętaj	ingat	zapamiętać		V;PFV;IMP;SG;2;FIN;ACT
ingat	pamiętaj	ingat	pamiętać		V;IPFV;IMP;SG;2;FIN;ACT
torpedo	torpedy	torpedo	torped	N	
bio	bio	bio	bio	PROPN	
bio	życiorys	bio	życiorys	PROPN	N;NOM;MASC;SG
ilegal	nielegalny	ilegal	nielegalny	N;SG	ADJ;NOM;MASC;SG
ilegal	nielegalna	ilegal	nielegalny	N;SG	ADJ;NOM;FEM;SG
ilegal	nielegalne	ilegal	nielegalny	N;SG	ADJ;NOM;NEUT;SG
busur	łuki	busur	łuk	N;SG	N;NOM;MASC;PL
busur	arc	busur	arc	N;SG	
joo	joo	joo	joo	PROPN	
kantong	kieszenie	kantong	kieszeń	N;SG	N;NOM;FEM;PL
kantong	torby	kantong	torba	N;SG	N;NOM;FEM;PL
kantong	kieszenie	kantong	kieszeń	N;SG	N;NOM;FEM;PL
kantong	worki	kantong	worek	N;SG	N;NOM;MASC;PL
kantong	torby	kantong	torba	N;SG	N;NOM;FEM;PL
kantong	torebki	kantong	torebka	N;SG	N;ACC;FEM;PL
copy	kopia	copy	kopia	PROPN	N;NOM;FEM;SG
copy	skopiuj	copy	skopiuj	PROPN	V;PFV;IMP;SG;2;FIN;ACT
copy	kopiuj	copy	kopiuj	PROPN	V;IPFV;IMP;SG;2;FIN;ACT
copy	kopiowanie	copy	kopiować	PROPN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
fisikawan	fizycy	fisikawan	fizyk	N;MASC;SG	N;NOM;MASC;PL
puasa	postu	puasa	post	PROPN;SG	N;GEN;MASC;SG
puasa	szybkie	puasa	szybki	PROPN;SG	ADJ;NOM;NEUT;SG
puasa	szybki	puasa	szybki	PROPN;SG	ADJ;NOM;MASC;SG
puasa	szybka	puasa	szybki	PROPN;SG	ADJ;NOM;FEM;SG
puasa	szybko	puasa	szybko	PROPN;SG	ADV
interwiki	interwiki	interwiki	interwik	PROPN	
dollar	dolary	dollar	dolar	PROPN	N;NOM;MASC;PL
dollar	dolar	dollar	dolar	PROPN	N;NOM;MASC;SG
dollar	dolara	dollar	dolar	PROPN	N;ACC;MASC;SG
mandala	mandala	mandala	mandal	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
pembaruan	odnowienia	penbaruan	odnowienie	N;SG	
pembaruan	aktualizacje	penbaruan	aktualizacja	N;SG	N;NOM;FEM;PL
evans	evans	evans	evans	PROPN	PROPN;NOM;MASC;SG
rina	rina	rina	rino	PROPN	PROPN;NOM;FEM;SG
moskow	moskwy	moskow	moskwy	PROPN	PROPN;GEN;FEM;SG
moskow	moskwie	moskow	moskwa	PROPN	PROPN;DAT;FEM;SG
moskow	moskwa	moskow	moskwa	PROPN	PROPN;NOM;MASC;SG
pengecualian	wyjątki	pengecualian	wyjątek	N;SG	N;NOM;MASC;PL
pengecualian	wyjątków	pengecualian	wyjątek	N;SG	N;GEN;MASC;PL
pengecualian	wyjątki	pengecualian	wyjątek	N;SG	N;NOM;MASC;PL
butuh	potrzebna	butuh	potrzebny	V;SG;ACT	ADJ;NOM;FEM;SG
butuh	potrzebny	butuh	potrzebny	V;SG;ACT	ADJ;NOM;MASC;SG
sandra	sandra	sandra	sandra	PROPN	PROPN;NOM;FEM;SG
sintesis	syntezy	sintesis	syntez	N;SG	
keterlibatan	zaręczyny	keterlibatan	zaręczyna	N;SG	N;NOM;FEM;PL
keterlibatan	udział	keterlibatan	udział	N;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
keterlibatan	współudział	keterlibatan	współudzieć	N;SG	V;IPFV;MASC;IND;SG;PST;FIN;ACT
andre	andre	andre	andra	PROPN	PROPN;NOM;MASC;SG
andre	andré	andre	andra	PROPN	PROPN;NOM;MASC;SG
halo	witam	halo	witać	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
halo	cześć	halo	cześć	PROPN	N;NOM;FEM;SG
tendangan	kopie	tendangan	kopać	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
tendangan	kop	tendangan	kop	N;SG	
tendangan	wykop	tendangan	wykop	N;SG	V;PFV;IMP;SG;2;FIN;ACT
alexandria	aleksandrii	alexandria	aleksandria	PROPN;SG	N;GEN;FEM;SG
akira	akira	akira	akira	PROPN	
enak	pycha	enak	pychać	ADJ;SG	
enak	mniam	enak	mniać	ADJ;SG	
sasuke	sasuke	sasuke	sasuka	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
collins	collins	collins	collins	PROPN	PROPN;NOM;MASC;SG
collins	collinsa	collins	collins	PROPN	
sing	sing	sing	singa	PROPN	
sing	śpiewaj	sing	śpiewać	PROPN	V;IPFV;IMP;SG;2;FIN;ACT
dimasak	gotowane	dimasak	gotować	V;SG;PASS	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
circle	kółka	circle	kółka	PROPN	N;NOM;NEUT;PL
circle	okręgi	circle	okręga	PROPN	N;NOM;MASC;PL
circle	kółko	circle	kółko	PROPN	N;NOM;NEUT;SG
circle	kręgi	circle	krąg	PROPN	N;NOM;MASC;PL
circle	kręgu	circle	krąg	PROPN	N;GEN;MASC;SG
circle	okrąg	circle	okrąg	PROPN	N;NOM;MASC;SG
circle	koło	circle	koło	PROPN	N;NOM;NEUT;SG
circle	krąg	circle	krąg	PROPN	N;NOM;MASC;SG
circle	circle	circle	circle	PROPN	
gizi	żywieniowe	gizi	żywieniowy	PROPN;SG	ADJ;NOM;NEUT;SG
gizi	odżywiania	gizi	odżywiać	PROPN;SG	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
gizi	żywieniu	gizi	żywienie	PROPN;SG	N;DAT;NEUT;SG
gizi	odżywcze	gizi	odżywczy	PROPN;SG	
gizi	odżywczych	gizi	odżywczy	PROPN;SG	ADJ;GEN;MASC;PL
sato	sato	sato	sato	PROPN	PROPN;NOM;MASC;SG
industrial	przemysłowy	industrial	przemysłowy	PROPN	ADJ;NOM;MASC;SG
industrial	przemysł	industrial	przemysł	PROPN	N;NOM;MASC;SG
industrial	przemysłowych	industrial	przemysłowy	PROPN	ADJ;GEN;MASC;PL
industrial	przemysłowe	industrial	przemysłowy	PROPN	ADJ;NOM;NEUT;SG
kesimpulan	konkluzje	kesimpulan	konkluzja	N;SG	N;NOM;FEM;PL
kesimpulan	wnioski	kesimpulan	wniosek	N;SG	N;NOM;MASC;PL
kesimpulan	wnioski	kesimpulan	wniosek	N;SG	N;NOM;MASC;PL
nuh	noe	nuh	noe	PROPN	
nuh	noah	nuh	noa	PROPN	PROPN;NOM;MASC;SG
menyembuhkan	kuracja	mensembuhkan	kuracja	V;SG;ACT	N;NOM;FEM;SG
menyembuhkan	lekarstwo	mensembuhkan	lekarstwo	V;SG;ACT	N;NOM;NEUT;SG
menyembuhkan	wyleczenie	mensembuhkan	wyleczyć	V;SG;ACT	N;PFV;NOM;NEUT;SG;POS;V.MSDR
eye	eye	eye	e	PROPN	
eye	oko	eye	oko	PROPN	N;NOM;NEUT;SG
runtuh	upadł	runtuh	upaść	;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
runtuh	upadku	runtuh	upadek	;SG	N;GEN;MASC;SG
runtuh	zapaść	runtuh	zapaść	;SG	V;PFV;NFIN;ACT
striker	striker	striker	striker	N;SG	
rita	rity	rita	rita	PROPN	
rita	rita	rita	rita	PROPN	PROPN;NOM;FEM;SG
wwe	wwe	wwe	wwać	PROPN	
perkemahan	camp	perkemahan	campa	N	
maritim	morska	maritim	morski	N	ADJ;NOM;FEM;SG
maritim	morski	maritim	morski	N	ADJ;NOM;MASC;SG
maritim	morskie	maritim	morski	N	ADJ;NOM;NEUT;SG
maritim	morskiego	maritim	morski	N	ADJ;ACC;MASC;SG
biologis	biologicznych	biologis	biologiczny	N;SG	ADJ;GEN;MASC;PL
biologis	biologiczne	biologis	biologiczny	N;SG	ADJ;NOM;NEUT;SG
biologis	biologiczna	biologis	biologiczny	N;SG	ADJ;NOM;FEM;SG
biologis	biologiczny	biologis	biologiczny	N;SG	ADJ;NOM;MASC;SG
biologis	biologicznie	biologis	biologicznie	N;SG	ADV
inside	wewnątrz	inside	wewnątrz	PROPN	
lie	kłamstwo	lie	kłamstwo	PROPN	N;NOM;NEUT;SG
lie	kłamać	lie	kłamać	PROPN	V;IPFV;NFIN;ACT
kate	kasia	kate	kasia	PROPN	N;NOM;FEM;SG
kate	kate	kate	kat	PROPN	
sms	teksty	sms	tekst	PROPN	N;NOM;MASC;PL
sms	sms	sms	smać	PROPN	
sms	tekst	sms	tekst	PROPN	N;NOM;MASC;SG
sms	text	sms	text	PROPN	
sms	tekstowe	sms	tekstowy	PROPN	ADJ;NOM;NEUT;SG
kurt	kurt	kurt	kurt	PROPN	PROPN;NOM;MASC;SG
kurt	kurta	kurt	kurta	PROPN	
andré	andré	andré	andra	PROPN	PROPN;NOM;MASC;SG
andré	andre	andré	andra	PROPN	PROPN;NOM;MASC;SG
pemujaan	sekty	penpujaan	sekt	N;SG	
pemujaan	kultu	penpujaan	kult	N;SG	
dallas	dallas	dallas	dallas	PROPN	PROPN;NOM;MASC;SG
diperluas	rozszerzone	diperluas	rozszerzyć	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
diperluas	rozszerzony	diperluas	rozszerzyć	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
diperluas	rozszerzona	diperluas	rozszerzyć	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
diperluas	rozszerzone	diperluas	rozszerzyć	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
diperluas	rozszerzona	diperluas	rozszerzyć	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
diperluas	rozszerzony	diperluas	rozszerzyć	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
diperluas	przedłużony	diperluas	przedłużyć	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terganggu	przerwana	terganggu	przerwać	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
terganggu	przerwany	terganggu	przerwać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
terganggu	przerwano	terganggu	przerwać	V;SG;PASS	V;PFV;IND;0;PST;FIN;ACT
terganggu	przerwane	terganggu	przerwać	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
terganggu	przeszkadzało	terganggu	przeszkadzać	V;SG;PASS	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
terganggu	zaniepokojony	terganggu	zaniepokoić	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
kutukan	klątwa	kutukan	klątwa	N;SG	
add	dodać	add	dodać	PROPN	V;PFV;NFIN;ACT
add	dodawać	add	dodawać	PROPN	V;IPFV;NFIN;ACT
add	dodaj	add	dodać	PROPN	V;PFV;IMP;SG;2;FIN;ACT
perundingan	negocjacje	penrundingan	negocjacja	N;SG	N;NOM;FEM;PL
temuan	znajdzie	temuan	znaleźć	N;SG	V;PFV;IND;SG;3;FUT;FIN;ACT
temuan	znajduje	temuan	znajdować	N;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
temuan	discovery	temuan	discover	N;SG	
antarmuka	interfejsy	antarmuka	interfejsa	N;SG	N;NOM;MASC;PL
antarmuka	interfejsów	antarmuka	interfejs	N;SG	N;GEN;MASC;PL
petang	wieczorny	petang	wieczorny	N;SG	ADJ;NOM;MASC;SG
earl	earl	earl	earl	PROPN	
earl	earla	earl	earel	PROPN	N;ACC;MASC;SG
earl	hrabia	earl	hrabia	PROPN	N;NOM;MASC;SG
earl	earls	earl	earls	PROPN	PROPN;NOM;MASC;SG
aditya	amelia	aditya	amelia	PROPN	PROPN;NOM;FEM;SG
aditya	aditya	aditya	aditya	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
diagram	schematy	diagram	schemat	N;SG	N;ACC;MASC;PL
diagram	wykresy	diagram	wykres	N;SG	N;NOM;MASC;PL
tempuh	emilia	tempuh	emilia	N;SG;ACT	PROPN;NOM;FEM;SG
affairs	romanse	affairs	romans	PROPN	N;NOM;MASC;PL
affairs	spraw	affairs	sprawa	PROPN	N;GEN;FEM;PL
transfermarkt	transfermarkt	transfermarkt	transfermarkt	PROPN	V;PFV;IND;SG;FIN;ACT
elektro	electro	elektro	electro	N;SG	
elektro	elektryczny	elektro	elektryczny	N;SG	ADJ;NOM;MASC;SG
elektro	elektryczne	elektro	elektryczny	N;SG	ADJ;NOM;NEUT;SG
sandi	haseł	sandi	haseł	N;SG	N;GEN;FEM;PL
administrator	administratorów	administrator	administrator	N;SG	N;ACC;MASC;PL
administrator	administratorzy	administrator	administrator	N;SG	N;NOM;MASC;PL
lutheran	luterański	lutheran	luterański	N	ADJ;NOM;MASC;SG
iucn	iucn	iucn	iucn	PROPN	
neil	neila	neil	neil	PROPN	
neil	neil	neil	neil	PROPN	PROPN;NOM;MASC;SG
susah	twardy	susah	twardy	ADJ;SG	N;NOM;MASC;SG
susah	hard	susah	hard	ADJ;SG	
susah	ciężko	susah	ciężko	ADJ;SG	ADV
susah	twarde	susah	twardy	ADJ;SG	
susah	twarda	susah	twarda	ADJ;SG	N;NOM;FEM;SG
susah	trudne	susah	trudny	ADJ;SG	
defense	obronie	defense	obrona	PROPN	N;DAT;FEM;SG
defense	obrony	defense	obrona	PROPN	
defense	obrona	defense	obrona	PROPN	N;NOM;FEM;SG
pena	pen	pena	pen	PROPN;SG	
pena	długopis	pena	długopis	PROPN;SG	
pena	pióro	pena	pióro	PROPN;SG	
pena	pióra	pena	pióra	PROPN;SG	N;ACC;NEUT;PL
pena	pena	pena	pen	PROPN;SG	
gaza	gazie	gaza	gaz	PROPN	N;ACC;MASC;SG
gaza	gazy	gaza	gaz	PROPN	N;NOM;MASC;PL
dilepaskan	zwolnione	dilepaskan	zwolnić	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
dilepaskan	wydane	dilepaskan	wydać	V;SG;PASS	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
dilepaskan	wydany	dilepaskan	wydać	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
dilepaskan	zwolniony	dilepaskan	zwolnić	V;SG;PASS	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
dilepaskan	wydana	dilepaskan	wydać	V;SG;PASS	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
dilepaskan	unleashed	dilepaskan	unleashed	V;SG;PASS	
dilepaskan	wolnostojący	dilepaskan	wolnostować	V;SG;PASS	ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;ACT
colorado	kolorado	colorado	kolorado	PROPN	
colorado	colorado	colorado	colorado	PROPN	N;NOM;MASC;SG
aston	aston	aston	aston	PROPN	V;IPFV;IND;SG;2;PRS;FIN;ACT
upper	upper	upper	upper	PROPN	
upper	górne	upper	górny	PROPN	ADJ;NOM;NEUT;SG
upper	górny	upper	górny	PROPN	
upper	górna	upper	górny	PROPN	ADJ;NOM;FEM;SG
mediterania	śródziemnego	mediterania	śródziemny	N;SG	ADJ;ACC;MASC;SG
amanda	amandą	amanda	amanda	PROPN	N;INS;FEM;SG
amanda	amanda	amanda	amanda	PROPN	PROPN;NOM;FEM;SG
amanda	amando	amanda	amando	PROPN	
adventure	przygody	adventure	przygoda	N	
adventure	przygód	adventure	przygód	N	
sara	sara	sara	sara	PROPN	PROPN;NOM;FEM;SG
sara	saro	sara	saro	PROPN	
yuki	yuki	yuki	Kuka	PROPN;SG	
petir	grom	petir	groć	N;SG	
petir	piorun	petir	piorun	N;SG	
petir	piorun	petir	piorun	N;SG	
janeiro	janeiro	janeiro	janeiro	PROPN	PROPN;NOM;MASC;SG
glenn	glenn	glenn	glenny	PROPN	PROPN;NOM;MASC;SG
movies	filmy	movies	film	PROPN	N;NOM;MASC;PL
eka	eka	eka	eka	PROPN	
menantang	wyzwanie	mentantang	wyzwanie	V;SG;ACT	N;NOM;NEUT;SG
menantang	challenge	mentantang	challenga	V;SG;ACT	
menantang	wyzwania	mentantang	wyzwanie	V;SG;ACT	N;NOM;NEUT;SG
alberto	alberto	alberto	alberto	PROPN	PROPN;NOM;MASC;SG
sex	płci	sex	płzcieć	PROPN	
sex	płeć	sex	płeć	PROPN	N;NOM;FEM;SG
sex	seksu	sex	seks	PROPN	N;GEN;MASC;SG
sex	seks	sex	seks	PROPN	N;NOM;MASC;SG
sex	sex	sex	sex	PROPN	
