terra	тера	terra	тера		N;INDF;FEM;SG
szemét	боклуци	szem	боклук	N;ACC;SG	N;INDF;MASC;PL
szemét	боклуци	szem	боклук	N;ACC;SG	N;INDF;MASC;PL
lakás	плоски	lakás	плоска	N;NOM;SG	ADJ;INDF;PL
lakás	плоско	lakás	плоско	N;NOM;SG	ADV
lakás	плосък	lakás	плосък	N;NOM;SG	ADJ;INDF;MASC;SG
lakás	жилища	lakás	жилище	N;NOM;SG	N;INDF;NEUT;PL
dakota	дакота	dakota	дакът		PROPN;INDF;FEM;SG
évenként	годишно	évenkén	годишно	N;ABS;SG	ADV
koncepció	понятие	koncepció	понятие		N;INDF;NEUT;SG
koncepció	концепция	koncepció	концепция		N;INDF;FEM;SG
jeanne	джоан	jelenik	джоан		N;INDF;FEM;SG
jeanne	джоун	jelenik	джоун		PROPN;INDF;MASC;SG
jeanne	жан	jelenik	жан		PROPN;INDF;MASC;SG
jeanne	жана	jelenik	жана		N;INDF;FEM;SG
átalakított	променени	átalakított	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
átalakított	променено	átalakított	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
átalakított	модифициран	átalakított	модифицирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
átalakított	променен	átalakított	променя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
átalakított	модифицирани	átalakított	модифицирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
átalakított	модифицирана	átalakított	модифицирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
átalakított	превърнати	átalakított	превърна-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
átalakított	преобразуван	átalakított	преобразувам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
átalakított	трансформирана	átalakított	трансформирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
átalakított	адаптирани	átalakított	адаптирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
előnyös	изгодно	előnyös	изгодно		ADV
törlése	изтриете	törlés	изтрия	N;NOM;SG	V;PFV;IMP;PL;2;FIN
törlése	изтрий	törlés	изтрий	N;NOM;SG	V;PFV;IMP;SG;2;FIN
bizonyítékok	доказателство	bizonyítékok	доказателство	N;NOM;PL	N;INDF;NEUT;SG
eduardo	едуардо	eduardo	едуардо		N;INDF;MASC;SG
simpson	симпсън	simpson	симпсън		N;INDF;MASC;SG
nílus	нил	nílus	аз		N;INDF;MASC;SG
orange	оранжев	orang	оранжев		N;INDF;MASC;SG
orange	оранжева	orang	оранжева		ADJ;INDF;FEM;SG
orange	оранжево	orang	оранжево		ADV
orange	оранжеви	orang	оранжев		ADJ;INDF;PL
orange	портокал	orang	портокал		N;INDF;MASC;SG
számláló	контра	számláló	контра		N;INDF;FEM;SG
számláló	брояч	számláló	брояч		N;INDF;MASC;SG
számláló	числител	számláló	числител		N;INDF;MASC;SG
elkerülése	избягвам	elkerülés	избягвам	N;NOM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
elkerülése	избягвайте	elkerülés	избягвам	N;NOM;SG	V;IPFV;IMP;PL;2;FIN
elkerülése	избегне	elkerülés	избегна	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
michelle	мишел	michelle	мишел	N;NOM;SG	PROPN;INDF;MASC;SG
paula	паула	paula	паула		N;INDF;FEM;SG
paula	пола	paula	пола		N;INDF;FEM;SG
gerhard	герхард	gerhard	герхард		N;INDF;MASC;SG
közreműködő	дарител	közreműködő	дарител	ADJ;NOM;SG	N;INDF;MASC;SG
közreműködő	дарители	közreműködő	дарител	ADJ;NOM;SG	N;INDF;MASC;PL
nicaragua	никарагуа	nicarag	никарагуа	N;NOM;SG	PROPN;INDF;MASC;SG
castro	кастро	castro	кастро		PROPN;INDF;MASC;SG
mobile	мобилни	mobile	мобилен		ADJ;INDF;PL
mobile	мобилен	mobile	мобилен		ADJ;INDF;MASC;SG
mobile	мобилно	mobile	мобилно		ADV
mobile	мобилна	mobile	мобилен		ADJ;INDF;FEM;SG
glenn	глен	glenn	глен		PROPN;INDF;MASC;SG
stein	стайн	stein	стайн		PROPN;INDF;MASC;SG
stein	щайн	stein	щайн		PROPN;INDF;MASC;SG
gombák	плесен	gomba	плесен	N;NOM;PL	N;INDF;FEM;SG
ablakok	windows	ablak	windows	N;NOM;PL	N;INDF;MASC;SG
brno	бърно	brno	бърно	PROPN;NOM;SG	PROPN;INDF;NEUT;SG
évszázad	вековен	évszázad	вековен	N;NOM;SG	ADJ;INDF;MASC;SG
armstrong	армстронг	armstrong	армстронг		PROPN;INDF;MASC;SG
törvénytelen	незаконен	törvénytelen	незаконен		ADJ;INDF;MASC;SG
törvénytelen	незаконно	törvénytelen	незаконно		ADV
törvénytelen	незаконна	törvénytelen	незаконен		ADJ;INDF;FEM;SG
aranyos	сладко	aranyos	сладко		ADV
aranyos	сладур	aranyos	сладур		N;INDF;MASC;SG
aranyos	сладка	aranyos	сладка		ADJ;INDF;FEM;SG
aranyos	сладък	aranyos	сладък		ADJ;INDF;MASC;SG
palermo	палермо	palermo	палермо		N;INDF;MASC;SG
bezárt	затворен	bezárt	затворен	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;INDF;MASC;SG
bezárt	затворена	bezárt	затворя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
bezárt	затворено	bezárt	затворя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
bezárt	затворени	bezárt	затворя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
csökkentése	намали	csökkentés	намаля	N;NOM;SG	V;PFV;IMP;SG;2;FIN
rain	рейн	rain	рейн		N;INDF;MASC;SG
rain	дъжд	rain	дъжд		N;INDF;MASC;SG
auto	автоматично	auto	автоматично		ADV
auto	авто	auto	авто		N;INDF;MASC;PL
freddie	фреди	freddie	фреда		N;INDF;MASC;SG
apache	апачи	apac	апача	N;NOM;SG	N;INDF;MASC;PL
hudson	хъдзън	huds	хъдзън		N;INDF;MASC;SG
hudson	хъдсън	huds	хъдсън		N;INDF;MASC;SG
technikailag	технически	technikai	технически	ADJ;FRML;SG	ADV
alekszandrovics	александрович	alekszandrovics	александрович	N;NOM;SG	PROPN;INDF;MASC;SG
perui	перуански	perui	перуански		ADJ;INDF;MASC;SG
perui	перу	perui	перу		PROPN;INDF;MASC;SG
siemens	siemens	siemens	siemens	N;NOM;SG	PROPN;INDF;MASC;SG
kiadások	харчене	kiadás	харчене	N;NOM;PL	N;INDF;NEUT;SG
kiadások	разход	kiadás	разход	N;NOM;PL	N;INDF;MASC;SG
hollywoodi	холивудски	hollywoodi	холивудски		ADJ;INDF;MASC;SG
hollywoodi	холивуд	hollywoodi	холивуд		N;INDF;MASC;SG
divat	модно	divat	моден	N;NOM;SG	ADV
christoph	кристоф	christoph	кристоф		PROPN;INDF;MASC;SG
összeg	sum	összeg	sum	N;NOM;SG	PROPN;INDF;MASC;SG
összeg	сум	összeg	сум	N;NOM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
nicole	никол	nicole	никол		PROPN;INDF;FEM;SG
nepál	непал	nepál	непал	PROPN;NOM;SG	PROPN;INDF;MASC;SG
távközlési	телекомуникациите	távközlési	телекомуникация	N;NOM;SG	N;DEF;FEM;PL
távközlési	телекомуникационни	távközlési	телекомуникационен	N;NOM;SG	ADJ;INDF;PL
felújítás	ремонти	felújítás	ремонт	N;NOM;SG	N;INDF;MASC;PL
professzionális	професионални	professzionális	професионален	ADJ;NOM;SG	ADJ;INDF;PL
professzionális	професионалист	professzionális	професионалист	ADJ;NOM;SG	N;INDF;MASC;SG
professzionális	професионално	professzionális	професионално	ADJ;NOM;SG	ADV
houston	хюстън	houst	хюстън		PROPN;INDF;MASC;SG
ulrich	улрих	ulrich	улра		PROPN;INDF;MASC;SG
működés	функциониращи	működés	функционирам	N;NOM;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
működés	функциониращ	működés	функционирам	N;NOM;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
működés	функционираща	működés	функционирам	N;NOM;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
lombard	ломбард	lombard	ломбард		N;INDF;MASC;SG
waters	води	waters	водя		V;IPFV;IMP;SG;2;FIN
waters	уотърс	waters	уотърс		PROPN;INDF;MASC;SG
waters	водите	waters	вода		N;DEF;FEM;PL
fbi	фбр	fbi	фбр	N;NOM;SG	PROPN;INDF;MASC;SG
későn	късно	későn	късно		ADV
későn	закъснява	későn	закъснявам		V;IPFV;IND;SG;3;PRS;FIN;ACT
cape	нос	cap	нос		N;INDF;MASC;SG
cape	кейп	cap	кейп		N;INDF;MASC;SG
cape	кабо	cap	кабо		PROPN;SG
cape	наметало	cap	наметало		V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
kimondottan	специално	kimond	специално	ADJ;FRML;SG	ADV
kiadatlan	непубликувано	kiadatlan	непубликувано		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
kiadatlan	непубликувани	kiadatlan	непубликувам		V;PFV;INDF;PL;V.PTCP;PASS
vilma	вилма	vilma	вилма		N;INDF;FEM;SG
lili	лилия	lili	лилия		N;INDF;FEM;SG
lili	лили	lili	лила		N;INDF;FEM;SG
lili	лили	lili	лила		N;INDF;FEM;SG
harald	харалд	harald	харалд		N;INDF;MASC;SG
plus	плюс	plus	плюс		ADV
érvénytelen	невалиден	érvénytelen	невалиден		ADJ;INDF;MASC;SG
érvénytelen	инвалид	érvénytelen	инвалид		N;INDF;MASC;SG
érvénytelen	невалидна	érvénytelen	невалиден		ADJ;INDF;FEM;SG
érvénytelen	невалидни	érvénytelen	невалиден		ADJ;INDF;PL
kövér	дебела	kövér	дебел		ADJ;INDF;FEM;SG
kövér	мазнина	kövér	мазнина		N;INDF;FEM;SG
kövér	мазнини	kövér	мазнин		N;INDF;FEM;PL
kövér	дебели	kövér	дебел		ADJ;INDF;PL
kövér	дебел	kövér	дебел		ADJ;INDF;MASC;SG
kínál	оферти	kínál	оферта	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;FEM;PL
kínál	предложения	kínál	предложение	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;PL
kínál	предлагане	kínál	предлагане	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
kerék	колела	kerék	колело	N;NOM;SG	N;INDF;NEUT;PL
kerék	колелата	kerék	колело	N;NOM;SG	N;DEF;NEUT;PL
szimmetrikus	симетрични	szimmetrikus	симетричен	ADJ;NOM;SG	ADJ;INDF;PL
szimmetrikus	симетрични	szimmetrikus	симетричен	ADJ;NOM;SG	ADJ;INDF;PL
kártya	картите	kártya	карта	N;NOM;SG	N;DEF;FEM;PL
kártya	карти	kártya	карта	N;NOM;SG	N;INDF;FEM;PL
kártya	картички	kártya	картичка	N;NOM;SG	N;INDF;FEM;PL
holmes	холмс	holmes	холмс		N;INDF;MASC;SG
kötés	задължителен	kötés	задължителен	N;NOM;SG	ADJ;INDF;MASC;SG
kötés	обвързващи	kötés	обвързвам-(се)	N;NOM;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
tulajdonság	имоти	tulajdonság	имот	N;NOM;SG	N;INDF;MASC;PL
tulajdonság	свойства	tulajdonság	свойство	N;NOM;SG	N;INDF;NEUT;PL
légkör	атмосферни	légkör	атмосферен	N;NOM;SG	ADJ;INDF;PL
kurd	кюрдски	kurd	кюрдски		ADJ;INDF;MASC;SG
kurd	кюрдска	kurd	кюрдски		ADJ;INDF;FEM;SG
kurd	кюрдите	kurd	кюрда		N;DEF;FEM;PL
kurd	кюрди	kurd	кюрди		N;INDF;MASC;PL
mainz	майнц	mainz	майнц		PROPN;INDF;MASC;SG
terveket	дизайни	terv	дизаен	N;ACC;PL	ADJ;INDF;PL
heinz	хайнц	heinz	хайнц		PROPN;INDF;MASC;SG
sárgás	жълтеникав	sárgás	жълтеникав		N;INDF;MASC;SG
felmérés	проучвания	felmérés	проучване	N;NOM;SG	N;INDF;NEUT;PL
gyanús	подозрителна	gyanús	подозрителен		ADJ;INDF;FEM;SG
gyanús	подозрителен	gyanús	подозрителен		ADJ;INDF;MASC;SG
gyanús	подозрителни	gyanús	подозрителен		ADJ;INDF;PL
gyanús	подозрително	gyanús	подозрително		ADV
gyanús	заподозряна	gyanús	заподозра		V;PFV;INDF;FEM;SG;V.PTCP;PASS
gyanús	заподозрян	gyanús	заподозра		V;PFV;INDF;MASC;SG;V.PTCP;PASS
gyanús	заподозрения	gyanús	заподозрение		ADJ;PFV;DEF;MASC;SG;V.PTCP;PASS
henger	бутилки	henger	бутилка	N;NOM;SG	N;INDF;FEM;PL
henger	цилиндри	henger	цилиндър	N;NOM;SG	N;INDF;MASC;PL
műsorok	показва	műsor	показвам-(се)	N;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
csökkenő	слиза	csökkenő	слизам	ADJ;NOM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
todd	тод	todd	тод		PROPN;INDF;MASC;SG
parma	парма	parma	парма		PROPN;INDF;FEM;SG
vágy	копнежи	vágy	копнежа	N;NOM;SG	N;INDF;MASC;PL
vágy	желания	vágy	желание	N;NOM;SG	N;INDF;NEUT;PL
vágy	желанията	vágy	желание	N;NOM;SG	N;DEF;NEUT;PL
romboló	унищожител	romboló	унищожител		N;INDF;MASC;SG
romboló	разрушител	romboló	разрушител		N;INDF;MASC;SG
ugrás	скочи	ugrás	скоча	N;NOM;SG	V;PFV;IND;SG;3;PST;FIN;ACT
erotikus	еротични	erotikus	еротичен	ADJ;NOM;SG	ADJ;INDF;PL
erotikus	еротично	erotikus	еротичен	ADJ;NOM;SG	ADV
homo	хомо	homo	хомо		N;INDF;MASC;SG
hibrid	хибридни	hibrid	хибриден		ADJ;INDF;PL
hibrid	хибрид	hibrid	хибрид		N;INDF;MASC;SG
bon	бон	bon	бон		N;INDF;MASC;SG
robbie	роби	robbi	роба		N;INDF;FEM;PL
morris	морис	morris	морис		PROPN;INDF;MASC;SG
europa	europa	europa	europa		ADJ
europa	европа	europa	европа		PROPN;INDF;FEM;SG
cukor	бонбони	cukor	бонбон	N;NOM;SG	N;INDF;MASC;PL
cukor	кенди	cukor	кенд	N;NOM;SG	N;INDF;FEM;PL
terhes	бременна	terhes	бременен		ADJ;INDF;FEM;SG
terhes	бременни	terhes	бременен		ADJ;INDF;PL
mdf	mdf	mdf	mdf	PROPN;NOM;SG	N;INDF;MASC;PL
tömör	компактен	tömör	компактен		ADJ;INDF;MASC;SG
tömör	твърда	tömör	твърд		ADJ;INDF;FEM;SG
tömör	солиден	tömör	солиден		ADJ;INDF;MASC;SG
tömör	твърдо	tömör	твърдо		ADV
tömör	твърд	tömör	твърд		ADJ;INDF;MASC;SG
áthelyezték	преместени	át+helyez	преместя-(се)	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
áthelyezték	преместен	át+helyez	преместя-(се)	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
áthelyezték	преместена	át+helyez	преместя-(се)	V;DEF;IND;PL;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
anhalt	анхалт	anhal	анхалт	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;FEM;SG
kórházi	болница	kórházi	болница		N;INDF;FEM;SG
kórházi	болницата	kórházi	болница		N;DEF;FEM;SG
ita	ита	ita	ита		PROPN;INDF;FEM;SG
víztározó	резервоар	víztározó	резервоар	ADJ;NOM;SG	N;INDF;MASC;SG
víztározó	резервоара	víztározó	резервоар	ADJ;NOM;SG	N;DEF;MASC;SG
roth	рот	roth	рот		PROPN;INDF;MASC;SG
csont	костите	csont	кост	N;NOM;SG	N;DEF;FEM;PL
csont	кокали	csont	кокал	N;NOM;SG	N;INDF;MASC;PL
csont	кости	csont	кост	N;NOM;SG	N;INDF;FEM;PL
csont	кости	csont	кост	N;NOM;SG	N;INDF;FEM;PL
bennett	бенет	bennett	бенет		PROPN;INDF;FEM;SG
arizona	аризона	arizona	аризон		N;DEF;FEM;SG
jegyzett	записания	jegyzett	запиша-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	ADJ;PFV;DEF;MASC;SG;V.PTCP;PASS
jegyzett	цитиран	jegyzett	цитирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
baseball	бейзбол	baseball	бейзбол		N;INDF;MASC;SG
baseball	бейзбола	baseball	бейзбол		N;DEF;MASC;SG
baseball	бейзболът	baseball	бейзбол		N;DEF;MASC;SG
egyezik	кибрит	egyezik	кибрит	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
egyezik	мачове	egyezik	мач	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;PL
egyezik	съвпадения	egyezik	съвпадя	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;PL
egyezik	мач	egyezik	мач	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
egyezik	съвпадение	egyezik	съвпадение	V;INDF;IND;SG;3;PRS;FIN;ACT	N;INDF;NEUT;SG
bolond	глупак	bolond	глупак		N;INDF;MASC;SG
bolond	глупаво	bolond	глупаво		ADV
kínaiak	китайска	kínai	китайски	N;NOM;PL	ADJ;INDF;FEM;SG
kínaiak	китайско	kínai	китайски	N;NOM;PL	ADV
kínaiak	китайски	kínai	китайски	N;NOM;PL	ADJ;INDF;MASC;SG
kínaiak	китаец	kínai	китаец	N;NOM;PL	N;INDF;MASC;SG
tibet	тибет	tibet	тибет		N;INDF;MASC;SG
ovális	овални	ovális	овален		ADJ;INDF;PL
megosztott	споделено	megosztott	споделя	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
megosztott	споделена	megosztott	споделя	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
megosztott	споделени	megosztott	споделя	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
megosztott	разделена	megosztott	разделя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
megosztott	разделено	megosztott	разделя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
megosztott	разделени	megosztott	разделя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
megosztott	разделен	megosztott	разделя-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
egyenlítői	екваториална	egyenlítő	екваториален	N;NOM;PL	ADJ;INDF;FEM;SG
napokban	дена	nap	ден	N;IN+ESS;PL	N;DEF;MASC;SG
hanna	хана	hanna	хана		N;INDF;FEM;SG
hanna	хана	hanna	хана		N;INDF;FEM;SG
halottak	мъртви	halott	мъртъв	N;NOM;PL	ADJ;INDF;PL
halottak	мъртва	halott	мъртва	N;NOM;PL	ADJ;INDF;FEM;SG
halottak	мъртъв	halott	мъртъв	N;NOM;PL	N;INDF;MASC;SG
utalt	отнесено	utal	отнеса-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
burton	бъртън	burt	бъртън		PROPN;INDF;MASC;SG
nacionalista	националисти	nacionalista	националист	ADJ;NOM;SG	N;INDF;MASC;PL
csatornák	канализация	csator	канализация	N;NOM;PL	N;INDF;FEM;SG
csatornák	канализацията	csator	канализация	N;NOM;PL	N;DEF;FEM;SG
kezelő	оператор	kezelő	оператор	ADJ;NOM;SG	N;INDF;MASC;SG
kezelő	управител	kezelő	управител	ADJ;NOM;SG	N;INDF;MASC;SG
kezelő	мениджър	kezelő	мениджър	ADJ;NOM;SG	N;INDF;MASC;SG
vatikáni	ватикана	vatikáni	ватикан		N;DEF;MASC;SG
módszertani	методологични	módszert	методологичен	ADJ;NOM;SG	ADJ;INDF;PL
hírhedt	скандалния	hír	скандален		ADJ;DEF;MASC;SG
tokiói	токио	tokiói	токио	ADJ;NOM;SG	PROPN;INDF;MASC;SG
józan	трезвен	józan	трезвен		ADJ;INDF;MASC;SG
józan	трезва	józan	трезва		ADJ;INDF;FEM;SG
költség	разходи	költség	разход	N;NOM;SG	N;INDF;MASC;PL
költség	разходи	költség	разход	N;NOM;SG	N;INDF;MASC;PL
ricardo	рикардо	ricardo	рикардо		PROPN;INDF;MASC;SG
mel	мел	mel	мел		PROPN;INDF;MASC;SG
alpesi	алпийски	alpesi	алпийски		ADJ;INDF;MASC;SG
törtek	фракции	tört	фракция	V;INDF;IND;PL;3;PST;FIN;ACT	N;INDF;FEM;PL
galamb	гълъб	galamb	гълъб		N;INDF;MASC;SG
galamb	гълъб	galamb	гълъб		N;INDF;MASC;SG
galamb	гълъби	galamb	гълъб		N;INDF;FEM;PL
szervező	организатор	szervező	организатор		N;INDF;MASC;SG
szervező	организатор	szervező	организатор		N;INDF;MASC;SG
szervező	организатор	szervező	организатор		N;INDF;MASC;SG
befolyásos	влиятелни	befolyásos	влиятелен	ADJ;NOM;SG	ADJ;INDF;PL
elpusztította	унищожени	elpusztít	унищожа	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
elpusztította	унищожена	elpusztít	унищожа	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
elpusztította	разрушени	elpusztít	разруша-(се)	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
elpusztította	унищожен	elpusztít	унищожен	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
elpusztította	унищожено	elpusztít	унищожа	V;DEF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
serena	серена	serena	серен		N;INDF;FEM;SG
serena	серина	serena	серина		N;INDF;FEM;SG
hirdetett	рекламират	hirdet	рекламирам	V;INDF;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;ACT
hirdetett	обява	hirdet	обявам-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	N;INDF;FEM;SG
hirdetett	повишен	hirdet	повиша-(се)	V;INDF;IND;SG;3;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
katalógus	каталози	katalógus	каталог	N;NOM;SG	N;INDF;MASC;PL
platform	перон	platform	перон		N;INDF;MASC;SG
platform	платформата	platform	платформа		N;DEF;FEM;SG
platform	платформа	platform	платформа		N;INDF;FEM;SG
platform	платформи	platform	платформа		N;INDF;FEM;PL
kollektív	колективни	kollektív	колективен		ADJ;INDF;PL
kollektív	колектив	kollektív	колектив		N;INDF;MASC;SG
kollektív	колективна	kollektív	колективен		ADJ;INDF;FEM;SG
kollektív	колективно	kollektív	колективен		ADV
hazafias	патриотично	hazafias	патриотичен		ADV
rogers	роджърс	rogers	роджърс		PROPN;INDF;MASC;SG
tudor	тюдор	tudor	тюдор		N;INDF;FEM;SG
tizenegyedik	eleventh	tizenegyedik	eleventh	ADJ;NOM;SG	N;INDF;MASC;SG
jefferson	джеферсън	jeffers	джеферсън		N;INDF;MASC;SG
meghívást	покани	meghívás	покана	N;ACC;SG	N;INDF;FEM;PL
meghívást	покани	meghívás	покана	N;ACC;SG	N;INDF;FEM;PL
glasgow	глазгоу	glasgow	глазгоу	N;NOM;SG	PROPN;INDF;MASC;SG
suriname	суринам	suriname	суринам	PROPN;NOM;SG	N;INDF;FEM;SG
értelmezni	тълкуване	értelmez	тълкуване	V;NFIN;ACT	N;INDF;NEUT;SG
bauer	бауър	bauer	бауър		N;INDF;MASC;SG
bauer	бауер	bauer	бауер		PROPN;INDF;MASC;SG
muzulmán	мюсюлманин	muzulom	мюсюлманин		N;INDF;MASC;SG
muzulmán	мюсюлмански	muzulom	мюсюлмански		ADJ;INDF;MASC;SG
muzulmán	мюсюлмани	muzulom	мюсюлманин		N;INDF;MASC;PL
muzulmán	мюсюлманска	muzulom	мюсюлмански		ADJ;INDF;FEM;SG
montana	монтана	mont	монтана		PROPN;INDF;FEM;SG
nélkülözhetetlen	незаменим	nélkülözhetetlen	незаменим		ADJ;INDF;MASC;SG
nélkülözhetetlen	незаменима	nélkülözhetetlen	незаменим		ADJ;INDF;FEM;SG
nélkülözhetetlen	съществени	nélkülözhetetlen	съществен		ADJ;INDF;PL
nélkülözhetetlen	съществена	nélkülözhetetlen	съществен		ADJ;INDF;FEM;SG
nélkülözhetetlen	съществено	nélkülözhetetlen	съществено		ADV
biztonság	безопасно	biztonság	безопасен	N;NOM;SG	ADV
biztonság	безопасен	biztonság	безопасен	N;NOM;SG	ADJ;INDF;MASC;SG
len	лен	len	лен		N;INDF;MASC;SG
len	лен	len	лен		N;INDF;MASC;SG
ismétlődő	дублиране	ismétlődő	дублиране	ADJ;NOM;SG	N;INDF;NEUT;SG
ismétlődő	дубликат	ismétlődő	дубликат	ADJ;NOM;SG	N;DEF;MASC;SG
ismétlődő	повторен	ismétlődő	повторен	ADJ;NOM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
bűnös	виновни	bűnös	виновен		ADJ;INDF;PL
bűnös	виновна	bűnös	виновен		ADJ;INDF;FEM;SG
bűnös	виновен	bűnös	виновен		ADJ;INDF;MASC;SG
bűnös	грешник	bűnös	грешник		N;INDF;MASC;SG
kiejtés	произношение	kiejtés	произношение		N;INDF;NEUT;SG
admirális	адмиралът	admirális	адмирал		N;DEF;MASC;SG
admirális	адмирал	admirális	адмирам		N;INDF;MASC;SG
váltakozó	променлив	váltakozó	променлив		ADJ;INDF;MASC;SG
mérhető	измерим	mérhető	измеря		V;PFV;IND;PL;1;PRS;FIN;ACT
mérhető	измерими	mérhető	измерим		ADJ;INDF;PL
puha	меко	puha	меко		ADV
puha	мек	puha	аз		ADJ;INDF;MASC;SG
puha	меки	puha	мякък		ADJ;INDF;PL
puha	нежна	puha	нежен		ADJ;INDF;FEM;SG
puha	мека	puha	мека		N;INDF;FEM;SG
zavaros	объркани	zavaros	объркам-(се)		V;PFV;INDF;PL;V.PTCP;PASS
zavaros	объркано	zavaros	объркам-(се)		V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zavaros	объркан	zavaros	объркам-(се)		V;PFV;INDF;MASC;SG;V.PTCP;PASS
zavaros	объркана	zavaros	объркам-(се)		V;PFV;INDF;FEM;SG;V.PTCP;PASS
zavaros	облачно	zavaros	облачно		ADV
zavaros	объркващи	zavaros	обърквам-(се)		ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
zavaros	объркващо	zavaros	объркващо		ADV
liechtenstein	лихтенщайн	liechtenstein	лихтенщайн	N;NOM;SG	ADJ;INDF;MASC;SG
hubert	юбер	huber	юбер		N;INDF;MASC;SG
