talent	таланти	talent	талант	N;NOM;MASC;SG	N;INDF;MASC;PL
odkrit	открити	odkrit	открит	ADJ;NOM;INDF;MASC;SG;V.PTCP	ADJ;INDF;PL
koles	велосипеди	kolo	велосипед	N;GEN;NEUT;SG	N;INDF;MASC;PL
flote	флотилия	flot	флотилия	N;NOM;FEM;PL	ADJ;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
flote	флота	flot	флот	N;NOM;FEM;PL	N;DEF;MASC;SG
flote	флот	flot	флот	N;NOM;FEM;PL	N;INDF;MASC;SG
kandidata	кандидатите	kandidat	кандидат	N;NOM;MASC;SG	N;DEF;MASC;PL
kandidata	кандидатки	kandidat	кандидатка	N;NOM;MASC;SG	N;INDF;FEM;PL
kandidata	кандидати	kandidat	кандидат	N;NOM;MASC;SG	N;INDF;MASC;PL
dvojna	двойна	dvojen	двоен	NUM;NOM;FEM;SG	ADJ;INDF;FEM;SG
dvojna	двойни	dvojen	двоен	NUM;NOM;FEM;SG	ADJ;INDF;PL
dvojna	двоен	dvojen	двоен	NUM;NOM;FEM;SG	ADJ;INDF;MASC;SG
dvojna	двойно	dvojen	двойно	NUM;NOM;FEM;SG	ADV
frankov	франка	frankov	франк	N;GEN;MASC;PL	N;DEF;MASC;SG
england	англия	england	англия	PROPN;NOM;MASC;SG	PROPN;INDF;FEM;SG
palice	спатия	palica	спатия	N;NOM;FEM;PL	N;INDF;FEM;SG
ločila	пунктуация	ločiti	пунктуация	V;FEM;SG;V.PTCP	N;INDF;FEM;SG
moška	мъжете	moški	мъж	ADJ;NOM;FEM;SG	N;DEF;MASC;PL
moška	men	moški	men	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
moška	мъже	moški	мъж	ADJ;NOM;FEM;SG	N;INDF;MASC;PL
moška	мъжко	moški	мъжко	ADJ;NOM;FEM;SG	ADV
moška	мъжки	moški	мъжки	ADJ;NOM;FEM;SG	ADJ;INDF;PL
moška	мъж	moški	мъж	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
moška	мъжкар	moški	мъжкар	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
moška	мъжка	moški	мъжка	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
harvey	харви	harvey	харвя	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
metka	гретел	metek	гретел	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
metka	куршум	metek	куршум	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
neapelj	неапол	neapelj	неапол	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
vzorca	образци	vzorec	образец	N;NOM;MASC;SG	N;INDF;MASC;PL
vzorca	проби	vzorec	проба	N;NOM;MASC;SG	N;INDF;FEM;PL
vzorca	извадки	vzorec	извадка	N;NOM;MASC;SG	N;INDF;FEM;PL
vzorca	мостри	vzorec	мостра	N;NOM;MASC;SG	N;INDF;MASC;PL
larry	лари	larry	лара	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
obrne	завои	obrniti	завой	V;PFV;IND;SG;3;PRS;FIN	N;INDF;MASC;PL
lesena	дървено	lesen	дървен	ADJ;NOM;FEM;SG	ADV
lesena	дървени	lesen	дървен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
lesena	дърва	lesen	дърво	ADJ;NOM;FEM;SG	N;INDF;NEUT;PL
lesena	дървесина	lesen	дървесина	ADJ;NOM;FEM;SG	N;INDF;FEM;SG
lesena	дървени	lesen	дървен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
lesena	дърво	lesen	дърво	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
samodejno	авто	samodejno	авто	ADV	N;INDF;MASC;PL
samodejno	автоматична	samodejno	автоматичен	ADV	ADJ;INDF;FEM;SG
samodejno	автоматични	samodejno	автоматичен	ADV	ADJ;INDF;PL
samodejno	автоматичен	samodejno	автоматичен	ADV	ADJ;INDF;MASC;SG
wallace	уолъс	wallace	уолъс	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
preprečili	предотвратена	preprečiti	предотвратя	V;PFV;MASC;PL;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
posebnosti	специфичност	posebnost	специфичност	N;NOM;FEM;PL	N;INDF;FEM;SG
pozitivni	положителни	pozitiven	положителен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
pozitivni	положително	pozitiven	положително	ADJ;NOM;MASC;SG	ADV
antike	античността	antika	античност	N;NOM;FEM;PL	N;DEF;FEM;SG
nedavno	скорошна	nedavno	скорошен	ADV	ADJ;INDF;FEM;SG
nedavno	скорошни	nedavno	скорошен	ADV	ADJ;INDF;PL
piramida	пирамиди	piramid	пирамида	N;NOM;FEM;SG	N;INDF;MASC;PL
vesoljska	пространство	vesoljski	пространство	ADJ;NOM;FEM;SG	N;INDF;NEUT;SG
vesoljska	космос	vesoljski	космос	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
vesoljska	космоса	vesoljski	космос	ADJ;NOM;FEM;SG	N;DEF;MASC;SG
ricardo	рикардо	ricarda	рикардо	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
eur	eur	eura	eur	N;NOM;MASC;SG	PROPN;INDF;FEM;SG
duševno	психично	duševno	психичен	ADJ;NOM;NEUT;SG	ADV
duševno	душевно	duševno	душевен	ADJ;NOM;NEUT;SG	ADV
duševno	психични	duševno	психичен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
duševno	умствена	duševno	умствен	ADJ;NOM;NEUT;SG	N;INDF;FEM;SG
duševno	душевно	duševno	душевен	ADJ;NOM;NEUT;SG	ADV
duševno	мислено	duševno	мислено	ADJ;NOM;NEUT;SG	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
duševno	умствено	duševno	умствен	ADJ;NOM;NEUT;SG	ADV
allan	алън	allan	алън	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
allan	алан	allan	алан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zvezno	федерално	zvezen	федерален	ADJ;NOM;NEUT;SG	ADV
kače	змия	kača	змия-се	N;NOM;FEM;PL	N;INDF;FEM;SG
kače	снейк	kača	снейк	N;NOM;FEM;PL	N;INDF;MASC;SG
skoki	скача	skok	скачам	N;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
skoki	скачане	skok	скачане	N;NOM;MASC;PL	N;INDF;NEUT;SG
skoki	скачам	skok	скачам	N;NOM;MASC;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
skoki	скача	skok	скачам	N;NOM;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
srbijo	сърбия	srbeti	сърбия	N;ACC;FEM;SG	PROPN;INDF;FEM;SG
čustveno	емоционална	čustven	емоционален	ADV	ADJ;INDF;FEM;SG
čustveno	емоционални	čustven	емоционален	ADV	ADJ;INDF;PL
čustveno	емоционален	čustven	емоционален	ADV	ADJ;INDF;MASC;SG
saturn	сатурн	saturn	сатурн	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
encima	ензими	encim	ензим	N;NOM;MASC;SG	N;INDF;MASC;PL
tokio	токио	tokio	токио	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
germain	жермен	germain	жермен	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
matt	мат	matt	мат	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
slovenia	словения	slovenia	словен		PROPN;INDF;FEM;SG
opatija	опатия	opatija	опатия	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
centralne	централно	centralen	централен	ADJ;NOM;FEM;PL	ADV
centralne	централен	centralen	централен	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
centralne	централа	centralen	централа	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
centralne	централна	centralen	централен	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
oscar	оскар	oscar	оскар	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
ronnie	рони	ronnie	рона	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
uefa	уефа	uefa	уеф	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
vlaken	влакно	vlakno	влакно	N;GEN;NEUT;PL	N;INDF;NEUT;SG
turistične	туристи	turističen	турист	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
turistične	туристическа	turističen	туристически	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
turistične	турист	turističen	турист	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
turistične	туристически	turističen	туристически	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
ngc	ngc	ngce	ngc	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
clarke	кларк	clarka	кларк	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
celično	клетъчно	celičen	клетъчно	ADJ;NOM;NEUT;SG	ADV
celično	клетъчни	celičen	клетъчен	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
resnica	верни	resnica	верен	N;NOM;FEM;SG	ADJ;INDF;PL
resnica	вярно	resnica	верен	N;NOM;FEM;SG	ADV
dodana	добавена	dodan	добавя	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
dodana	добавен	dodan	добавен	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
dodana	добавени	dodan	добавя	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
dodana	добавено	dodan	добавя	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
funtov	паунда	funt	паунда	N;GEN;MASC;PL	N;DEF;MASC;SG
odziva	реакция	odziv	реакция	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
odziva	отговор	odziv	отговор	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
odziva	повлияване	odziv	повлияване	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
tesla	тесла	tesel	тесло	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
padli	паднал	pasti	падна-(се)	V;PFV;MASC;PL;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
padli	паднало	pasti	падна-(се)	V;PFV;MASC;PL;V.PTCP	V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
padli	паднала	pasti	падна-(се)	V;PFV;MASC;PL;V.PTCP	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
akcija	действия	akcija	действие	N;NOM;FEM;SG	N;INDF;NEUT;PL
tiska	натиснете	tisk	натисна	N;GEN;MASC;SG	V;PFV;IMP;PL;2;FIN
tiska	натисни	tisk	натисен	N;GEN;MASC;SG	V;PFV;IMP;SG;2;FIN
razglašena	провъзгласена	razglašen	провъзглася	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ščiti	щитовете	ščititi	щит	V;IPFV;IND;SG;3;PRS;FIN	N;DEF;MASC;PL
ščiti	щитове	ščititi	щит	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;MASC;PL
waffen	вафен	waffen	вафен	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
andre	андре	andre	андре	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
andre	андре	andre	андре	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
ban	забрани	ban	забраня	N;NOM;MASC;SG	V;PFV;IND;SG;3;PST;FIN;ACT
ban	бан	ban	бан	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
izračuna	изчислява	izračun	изчислявам	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
ema	ема	ema	еми	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
ema	емма	ema	емма	PROPN;NOM;FEM;SG	N;INDF;FEM;SG
pljuč	дробове	pljuč	дроб	N;NOM;MASC;SG	N;INDF;MASC;PL
okoliščine	обстоятелство	okoliščina	обстоятелство	N;NOM;FEM;PL	N;INDF;NEUT;SG
krizo	кризи	kriza	криза	N;ACC;FEM;SG	N;INDF;FEM;PL
silver	сребърни	silver	сребърен	N;NOM;MASC;SG	ADJ;INDF;PL
léon	леон	léon	леон	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
priznana	признати	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
priznana	призната	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
priznana	разпознат	priznan	разпозна-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
priznana	признато	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
priznana	признат	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
priznana	призната	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
priznana	признати	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
priznana	признато	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
priznana	признат	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
priznana	призната	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
priznana	признати	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
priznana	разпознат	priznan	разпозна-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
priznana	признат	priznan	призная-(се)	ADJ;NOM;FEM;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
upokojen	пенсиониран	upokojen	пенсионирам	ADJ;NOM;INDF;MASC;SG	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
upokojen	пенсионер	upokojen	пенсионер	ADJ;NOM;INDF;MASC;SG	N;INDF;MASC;SG
pre	пре	pre	пре		ADV
pre	предварително	pre	предварително		ADV
jason	джейсън	jason	джейсън	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jason	язон	jason	язон	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
danny	дани	danny	дани	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
skrajno	краен	skrajno	краен	ADV	ADJ;INDF;MASC;SG
skrajno	екстремни	skrajno	екстремен	ADV	ADJ;INDF;PL
skrajno	крайни	skrajno	краен	ADV	ADJ;INDF;PL
ravna	плоски	raven	плоска	V;IPFV;IND;SG;3;PRS;FIN	ADJ;INDF;PL
ravna	апартамент	raven	апартамент	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;MASC;SG
ravna	плоско	raven	плоско	V;IPFV;IND;SG;3;PRS;FIN	ADV
ravna	плоска	raven	плоска	V;IPFV;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
ravna	плосък	raven	плосък	V;IPFV;IND;SG;3;PRS;FIN	ADJ;INDF;MASC;SG
delec	частици	delec	частица	N;NOM;MASC;SG	N;INDF;FEM;PL
negativna	отрицателно	negativen	отрицателен	ADJ;NOM;FEM;SG	ADV
negativna	отрицателни	negativen	отрицателен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
zaposlitve	заетост	zaposlitev	заетост	N;NOM;FEM;PL	N;INDF;FEM;SG
sivo	сив	siv	сив	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
sivo	сиво	siv	сиво	ADJ;NOM;NEUT;SG	ADV
sivo	сиви	siv	сив	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
sivo	грей	siv	грей	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
sivo	сив	siv	сив	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
sivo	сиво	siv	сиво	ADJ;NOM;NEUT;SG	ADV
sivo	сиви	siv	сив	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
sivo	грей	siv	грей	ADJ;NOM;NEUT;SG	PROPN;INDF;MASC;SG
vlakna	влакно	vlakno	влакно	N;NOM;NEUT;PL	N;INDF;NEUT;SG
vlakna	влакно	vlakno	влакно	N;NOM;NEUT;PL	N;INDF;NEUT;SG
keramike	керамика	keramika	керамика	N;NOM;FEM;PL	N;INDF;FEM;SG
tarča	целева	tarča	целев	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
tarča	мишена	tarča	мишен	N;NOM;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
arizona	аризона	arizon	аризон	PROPN;NOM;MASC;SG	N;DEF;FEM;SG
zmogljivosti	способности	zmogljivost	способност	N;GEN;FEM;SG	N;INDF;FEM;PL
santo	санто	santa	санто	N;NOM;MASC;SG	PROPN
indeks	индекси	indeks	индекс	N;NOM;MASC;SG	N;INDF;MASC;PL
arheološki	археологически	arheološki	археологически	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
arheološki	археологически	arheološki	археологически	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
eksplozije	взрив	eksplozija	взрив	N;NOM;FEM;PL	N;INDF;MASC;SG
eksplozije	експлозия	eksplozija	експлозия	N;NOM;FEM;PL	N;INDF;FEM;SG
demokratična	демократично	demokratičen	демократичен	ADJ;NOM;FEM;SG	ADV
demokratična	демократични	demokratičen	демократичен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
marin	марин	marin	марин	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
razvite	разработена	razvit	разработя-(се)	ADJ;NOM;FEM;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
razvite	развит	razvit	развит-(се)	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
razvite	разработени	razvit	разработя-(се)	ADJ;NOM;FEM;PL	V;PFV;INDF;PL;V.PTCP;PASS
razvite	разработен	razvit	разработя-(се)	ADJ;NOM;FEM;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
razvite	развита	razvit	развитам	ADJ;NOM;FEM;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
moralno	морално	moralen	морално	ADJ;NOM;NEUT;SG	ADV
moralno	морал	moralen	морал	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
moralno	морални	moralen	морален	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
moralno	морално	moralen	морално	ADJ;NOM;NEUT;SG	ADV
negativni	отрицателно	negativen	отрицателен	ADJ;NOM;MASC;SG	ADV
negativni	отрицателни	negativen	отрицателен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
usmerjeno	насочено	usmerjen	насоча-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
usmerjeno	насочени	usmerjen	насоча-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
hribi	хилс	hrib	хилс	N;NOM;MASC;PL	PROPN;INDF;MASC;SG
oblačil	облекло	oblačilo	облекло	N;GEN;NEUT;PL	N;INDF;NEUT;SG
nosila	носилка	nositi	носилка	V;IPFV;FEM;SG;V.PTCP	N;INDF;FEM;SG
tisoče	хиляди	tisoče	хиляда	N;ACC;MASC;SG	N;INDF;FEM;PL
meritev	измервания	meritev	измерване	N;NOM;FEM;SG	N;INDF;NEUT;PL
meritev	измерванията	meritev	измерване	N;NOM;FEM;SG	N;DEF;NEUT;PL
meritev	измервания	meritev	измерване	N;NOM;FEM;SG	N;INDF;NEUT;PL
mine	мините	miniti	мина	V;PFV;IND;SG;3;PRS;FIN	N;DEF;FEM;PL
mine	мини	miniti	мина	V;PFV;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
opiše	описва	opisati	описвам	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
tommy	томи	tommy	томи		PROPN;INDF;MASC;SG
obiskala	посетиха	obiskati	посетя	V;PFV;FEM;SG;V.PTCP	V;PFV;IND;PL;3;PST;FIN;ACT
videm	удине	videm	удина	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
težavah	затруднено	težava	затрудня-(се)	N;ESS;FEM;PL	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
težavah	трудност	težava	трудност	N;ESS;FEM;PL	N;INDF;FEM;SG
težavah	затруднение	težava	затруднение	N;ESS;FEM;PL	N;INDF;NEUT;SG
doris	дорис	doris	дорис	PROPN;NOM;FEM;SG	PROPN;INDF;FEM;SG
primerni	подходящ	primeren	подходящ	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
primerni	подходяща	primeren	подходящ	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
primerni	подходящо	primeren	подходящ	ADJ;NOM;MASC;PL	ADV
auf	auf	auf	auf		INTJ
tower	кула	tower	кула		N;INDF;FEM;SG
tower	tower	tower	tower		N;INDF;MASC;SG
tower	кулата	tower	кула		N;DEF;FEM;SG
tower	тауър	tower	тауър		N;INDF;MASC;SG
odvisni	зависима	odvisen	зависим	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
odvisni	зависимо	odvisen	зависимо	ADJ;NOM;MASC;PL	ADV
odvisni	зависим	odvisen	завися	ADJ;NOM;MASC;PL	N;INDF;MASC;SG
dodajanje	добави	dodajanje	добавя	N;NOM;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
dodajanje	добавя	dodajanje	добавям	N;NOM;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
dodajanje	добавете	dodajanje	добавя	N;NOM;NEUT;SG	V;PFV;IMP;PL;2;FIN
običajna	обичайно	običajen	обичайно	ADJ;NOM;FEM;SG	ADV
običajna	нормално	običajen	нормално	ADJ;NOM;FEM;SG	ADV
običajna	нормални	običajen	нормален	ADJ;NOM;FEM;SG	ADJ;INDF;PL
vroče	горещи	vroč	горещ	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
vroče	горещо	vroč	горещо	ADJ;NOM;NEUT;SG	ADV
vroče	секси	vroč	секса	ADJ;NOM;NEUT;SG	N;INDF;FEM;PL
por	por	por	por		N
por	праз	por	праз		N;INDF;MASC;SG
por	праз	por	праз		N;INDF;MASC;SG
komercialni	търговско	komercialen	търговски	ADJ;NOM;MASC;SG	ADV
komercialni	реклама	komercialen	реклама	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
manjšine	малцинство	manjšina	малцинство	N;NOM;FEM;PL	N;INDF;NEUT;SG
manjšine	малцинството	manjšina	малцинство	N;NOM;FEM;PL	N;DEF;NEUT;SG
duhovni	духовни	duhoven	духовен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
duhovni	духовно	duhoven	духовен	ADJ;NOM;MASC;SG	ADV
mišica	мускулно	mišica	мускулно	N;NOM;FEM;SG	ADV
mišica	мускули	mišica	мускул	N;NOM;FEM;SG	N;INDF;MASC;PL
sredozemlju	средиземноморски	sredozemlje	средиземноморски	N;DAT;NEUT;SG	ADJ;INDF;MASC;SG
preberite	четете	prebrati	чета	V;PFV;IMP;PL;2;FIN	V;IPFV;IMP;PL;2;FIN
preberite	чета	prebrati	чета	V;PFV;IMP;PL;2;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
preberite	чети	prebrati	чета	V;PFV;IMP;PL;2;FIN	N;INDF;FEM;PL
preberite	прочети	prebrati	прочета	V;PFV;IMP;PL;2;FIN	V;PFV;IMP;SG;2;FIN
preberite	четене	prebrati	четене	V;PFV;IMP;PL;2;FIN	N;INDF;NEUT;SG
posamezno	индивидуално	posamezno	индивидуално	ADJ;NOM;NEUT;SG	ADV
posamezno	индивидуално	posamezno	индивидуално	ADJ;NOM;NEUT;SG	ADV
posamezno	индивид	posamezno	индивид	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
posamezno	индивидуални	posamezno	индивидуален	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
posamezno	поединично	posamezno	поединичен	ADJ;NOM;NEUT;SG	ADV
možni	възможно	možen	възможно	ADJ;NOM;MASC;SG	ADV
možni	възможни	možen	възможен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
hudson	хъдзън	hudson	хъдзън	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
hudson	хъдсън	hudson	хъдсън	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
ohranjeno	запазено	ohranjen	запазя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
ohranjeno	запазен	ohranjen	запазя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ohranjeno	запазени	ohranjen	запазя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
ohranjeno	консервирани	ohranjen	консервирам	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
ohranjeno	запазена	ohranjen	запазя-(се)	ADJ;NOM;NEUT;SG;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
doherty	дохърти	doherty	дохърти	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zlom	фрактури	zlom	фрактура	N;NOM;MASC;SG	N;INDF;FEM;PL
razglasi	декларира	razglasiti	декларирам	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
razglasi	деклариране	razglasiti	деклариране	V;PFV;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
razglasi	обяви	razglasiti	обявя-(се)	V;PFV;IND;SG;3;PRS;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
razglasi	декларира	razglasiti	декларирам	V;PFV;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
jezo	яд	jeza	яд	N;ACC;FEM;SG	INTJ
geometrija	геометрични	geometrija	геометричен	N;NOM;FEM;SG	ADJ;INDF;PL
geometrija	геометрична	geometrija	геометричен	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
sekundarni	вторично	sekundaren	вторично	ADJ;NOM;MASC;SG	ADV
sekundarni	вторични	sekundaren	вторичен	ADJ;NOM;MASC;SG	ADJ;INDF;PL
človeška	човешко	človeški	човешки	ADJ;NOM;FEM;SG	ADV
človeška	човек	človeški	човек	ADJ;NOM;FEM;SG	N;INDF;MASC;SG
novosti	новост	novost	новост	N;NOM;FEM;PL	N;INDF;FEM;SG
oklep	брони	oklep	броня	N;NOM;MASC;SG	N;INDF;FEM;PL
oklep	доспехи	oklep	доспех	N;NOM;MASC;SG	N;INDF;MASC;PL
obsežna	обширно	obsežen	обширно	ADJ;NOM;FEM;SG	ADV
obsežna	обширни	obsežen	обширен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
zaščitna	защитни	zaščiten	защитен	ADJ;NOM;FEM;SG	ADJ;INDF;PL
zaščitna	защитно	zaščiten	защитен	ADJ;NOM;FEM;SG	ADV
leseni	дървен	lesen	дървен	ADJ;NOM;MASC;PL	ADJ;INDF;MASC;SG
leseni	дървено	lesen	дървен	ADJ;NOM;MASC;PL	ADV
leseni	дървена	lesen	дървен	ADJ;NOM;MASC;PL	ADJ;INDF;FEM;SG
barvni	цветове	barven	цвят	ADJ;NOM;MASC;SG	N;INDF;MASC;PL
barvni	цвят	barven	цвят	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
barvni	цветно	barven	цветен	ADJ;NOM;MASC;SG	ADV
