और	и	और	и		CONJ
कनाडा	канаду	कनाडा	канада	PROPN;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
कनाडा	канада	कनाडा	канада	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
व्यक्तियों	лиц	व्यक्ति	лицо	N;ACC;MASC;PL;3	N;ANIM;GEN;NEUT;PL
विश्लेषण	разбивки	विश्लेषण	разбивка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
विश्लेषण	анализа	विश्लेषण	анализ	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
विश्लेषण	analytics	विश्लेषण	analytics	N;NOM;MASC;SG;3	PROPN
विश्लेषण	аналитики	विश्लेषण	аналитик	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
विश्लेषण	аналитики	विश्लेषण	аналитик	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
लक्ष्य	мишени	लक्ष्य	мишень	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
लक्ष्य	цели	लक्ष्य	цель	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
लक्ष्य	целей	लक्ष्य	цель	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
लक्ष्य	цели	लक्ष्य	цель	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
तमिल	тамил	तमिल	тамить	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
अधिकतर	преимущественно	अधिकतर	преимущественно	N;NOM;MASC;SG;3	ADV
मीडिया	media	मीडिया	media	N;NOM;MASC;SG;3	PROPN
मीडिया	сми	मीडिया	смотреть	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
जूलियन	джулиан	जूलियन	джулиан	ADJ	N;ANIM;NOM;MASC;SG
पार्क	park	पार्क	park	N;NOM;MASC;SG;3	PROPN
पार्क	парки	पार्क	парк	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
पार्क	парков	पार्क	парк	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
अधिकारी	официальных	अधिकारी	официальный	N;NOM;MASC;PL;3	ADJ;GEN;PL
अधिकारी	официальное	अधिकारी	официальный	N;NOM;MASC;PL;3	ADJ;NOM;NEUT;SG
अधिकारी	официальный	अधिकारी	официальный	N;NOM;MASC;PL;3	ADJ;NOM;MASC;SG
अधिकारी	официальная	अधिकारी	официальный	N;NOM;MASC;PL;3	ADJ;NOM;FEM;SG
अधिकारी	официальные	अधिकारी	официальный	N;NOM;MASC;PL;3	ADJ;NOM;PL
अधिकारी	офицер	अधिकारी	офицер	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
मिट्टी	глины	मिट्टी	глина	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
मिट्टी	грязи	मिट्टी	грязь	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
तंत्र	system	तंत्र	system	N;NOM;MASC;SG;3	PROPN
सितम्बर	сентября	सितंबर	сентябрь	PROPN;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
सितम्बर	сентябрь	सितंबर	сентябрь	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
सप्ताह	недели	सप्ताह	неделя	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सप्ताह	неделю	सप्ताह	неделя	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
सप्ताह	недели	सप्ताह	неделя	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सप्ताह	недель	सप्ताह	неделя	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
निकट	неминуемой	निकट	неминуемый	ADV;NOM;MASC;SG;3	ADJ;INS;FEM;SG
क्रम	заказать	क्रम	заказать	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
क्रम	последовательности	क्रम	последовательность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
बनने	становясь	बन	становиться	V;NFIN;ACT	V;IPFV;PRS;V.CVB;MID
बनने	став	बन	стать	V;NFIN;ACT	V;PFV;PST;V.CVB;MID
भवन	зданий	भवन	здание	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
भवन	здания	भवन	здание	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
मिली	найдена	मिल	найти	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
मिली	найдено	मिल	найти	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
मिली	найден	मिल	найти	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
मिली	найдены	मिल	найти	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;PL;PST;V.PTCP;PASS
मिली	есть	मिल	быть	V;PFV;FEM;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
शायद	может	शायद	мочь	ADV	V;IPFV;IND;SG;3;PRS;FIN;ACT
शायद	возможно	शायद	возможный	ADV	ADJ;NEUT;SG
शायद	возможно	शायद	возможный	ADV	ADJ;NEUT;SG
शायद	возможно	शायद	возможный	ADV	ADJ;NEUT;SG
देख	см	देख	сантиметр	V;ACT	ADV
लिंक	связать	लिंक	связать	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
लिंक	ссылку	लिंक	ссылка	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
लिंक	связи	लिंक	связь	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
लिंक	ссылки	लिंक	ссылка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
लक्षण	симптомы	लक्षण	симптом	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
लक्षण	знаки	लक्षण	знак	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
लक्षण	признаки	लक्षण	признак	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
संपर्क	связаться	संपर्क	связаться	N;NOM;MASC;SG;3	V;PFV;NFIN;MID
संपर्क	контакты	संपर्क	контакт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
संपर्क	контакты	संपर्क	контакт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
वित्तीय	финансовых	वित्तीय	финансовый	ADJ;NOM	ADJ;GEN;PL
वित्तीय	финансы	वित्तीय	финансы	ADJ;NOM	N;INAN;NOM;MASC;PL
गंगा	ганг	गंगा	ганг	PROPN;NOM;FEM;SG;3	
महीने	месяца	महीना	месяц	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
महीने	месяцы	महीना	месяц	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
महीने	месяцев	महीना	месяц	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
महीने	месяца	महीना	месяц	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
शर्मा	шарма	शर्मा	шарма	PROPN;NOM;SG;3	N;INAN;NOM;MASC;SG
सुरक्षित	охраняемых	सुरक्षित	охранять	ADJ	V;IPFV;GEN;PL;PRS;V.PTCP;PASS
सुरक्षित	защищена	सुरक्षित	защитить	ADJ	V;PFV;FEM;SG;PST;V.PTCP;PASS
सुरक्षित	защищены	सुरक्षित	защитить	ADJ	V;PFV;PL;PST;V.PTCP;PASS
सुरक्षित	защищен	सुरक्षित	защитить	ADJ	V;PFV;MASC;SG;PST;V.PTCP;PASS
सुरक्षित	сейф	सुरक्षित	сейф	ADJ	N;INAN;NOM;MASC;SG
सुरक्षित	защищены	सुरक्षित	защитить	ADJ	V;PFV;PL;PST;V.PTCP;PASS
सुरक्षित	обезопасить	सुरक्षित	обезопасить	ADJ	V;PFV;NFIN;ACT
लगातार	непрерывный	लगातार	непрерывный	ADV	ADJ;NOM;MASC;SG
लगातार	постоянного	लगातार	постоянный	ADV	ADJ;GEN;MASC;SG
लगातार	непрерывное	लगातार	непрерывный	ADV	ADJ;NOM;NEUT;SG
पद्म	падма	पद्म	падма	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
अत्यधिक	тяжелее	अत्यधिक	тяжелый		ADJ;CMPR
अत्यधिक	чрезвычайно	अत्यधिक	чрезвычайно		ADV
अत्यधिक	крайне	अत्यधिक	крайне		ADV
एल्बम	альбомы	एल्बम	альбом	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
धन	money	धन	money	N;NOM;MASC;SG;3	PROPN
धन	деньги	धन	деньги	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सॉफ्टवेयर	software	सॉफ्टवेयर	software	N;NOM;MASC;SG;3	PROPN
योग	сумма	योग	сумма		N;INAN;NOM;FEM;SG
योग	йога	योग	йога		N;INAN;NOM;FEM;SG
योग	йоги	योग	йога		N;INAN;NOM;MASC;PL
शीर्ष	сверху	शीर्ष	сверху	N;NOM;MASC;SG;3	ADV
शीर्ष	top	शीर्ष	top	N;NOM;MASC;SG;3	PROPN
औद्योगिक	промышленных	औद्योगिक	промышленный	ADJ;NOM	ADJ;GEN;PL
नेता	руководитель	नेता	руководитель	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
नेता	лидер	नेता	лидер	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
नेता	лидеров	नेता	лидер	N;NOM;MASC;PL;3	N;ANIM;GEN;MASC;PL
अनुमान	оценить	अनुमान	оценить	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
शीर्षक	заголовки	शीर्षक	заголовок	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
शीर्षक	названия	शीर्षक	название	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
अवसर	возможности	अवसर	возможность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अवसर	возможности	अवसर	возможность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अंक	цифр	अंक	цифра	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
अंक	цифры	अंक	цифра	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अंक	точек	अंक	точка	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
अंक	точки	अंक	точка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अंक	очки	अंक	очки	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
अंक	очков	अंक	очко	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
अंक	баллы	अंक	балл	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्रसाद	прасад	प्रसाद	прасада	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
शोध	исследований	शोध	исследование	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
शोध	исследования	शोध	исследование	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्पेन	испанию	स्पेन	испание	PROPN;NOM;MASC;SG;3	N;INAN;ACC;NEUT;SG
स्पेन	испания	स्पेन	испание	PROPN;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
स्पेन	испании	स्पेन	испания	PROPN;NOM;MASC;SG;3	N;INAN;NOM;NEUT;SG
गांधी	ганди	गांधी	ганди	PROPN;NOM;SG;3	N;ANIM;NOM;MASC;SG
जोखिम	риска	जोखिम	риск	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
जोखिम	риски	जोखिम	риск	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
जोखिम	опасности	जोखिम	опасность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
तापमान	температуры	तापमान	температура	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
तापमान	температуру	तापमान	температура	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
शाखा	ветки	शाखा	ветка	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
शाखा	отделений	शाखा	отделение	N;NOM;FEM;SG;3	N;INAN;GEN;NEUT;PL
शाखा	ветви	शाखा	ветвь	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
शाखा	филиалы	शाखा	филиал	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
शाखा	отрасли	शाखा	отрасль	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
प्रतीक	символов	प्रतीक	символ	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
प्रतीक	символы	प्रतीक	символ	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्रतीक	эмблем	प्रतीक	эмбль	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
प्रतीक	иконки	प्रतीक	иконка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
प्रतीक	значки	प्रतीक	значок	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
संदर्भ	ссылки	संदर्भ	ссылка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
संदर्भ	ref	संदर्भ	ref	N;NOM;MASC;SG;3	
संदर्भ	контексте	संदर्भ	контекст	N;NOM;MASC;SG;3	N;INAN;ESS;MASC;SG
संदर्भ	контекста	संदर्भ	контекст	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
करीब	ближе	करीब	близкий	PART	ADJ;CMPR
करीब	поближе	करीब	близко	PART	ADV;CMPR
करीब	закрыть	करीब	закрыть	PART	V;PFV;NFIN;ACT
करीब	близко	करीब	близко	PART	ADV
करीब	закройте	करीब	закрыть	PART	V;PFV;IMP;PL;2;FIN;ACT
चक्र	колеса	चक्र	колесо	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
चक्र	циклы	चक्र	цикл	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
चक्र	цикла	चक्र	цикл	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
चक्र	циклы	चक्र	цикл	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
प्राथमिक	начального	प्राथमिक	начальный	N;NOM	ADJ;GEN;MASC;SG
प्राथमिक	первичные	प्राथमिक	первичный	N;NOM	ADJ;NOM;PL
प्राथमिक	начальное	प्राथमिक	начальный	N;NOM	ADJ;NOM;NEUT;SG
गुण	собственности	गुण	собственность	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;SG
गुण	свойства	गुण	свойство	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
गुण	атрибуты	गुण	атрибут	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
ग्रह	планете	ग्रह	планета	N;NOM;MASC;SG;3	N;INAN;DAT;FEM;SG
ग्रह	планет	ग्रह	планета	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
ग्रह	планеты	ग्रह	планета	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
महल	махал	महल	махать	N;NOM;MASC;SG;3	V;IPFV;MASC;IND;SG;PST;FIN;ACT
महल	крепостей	महल	крепость	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
महल	крепости	महल	крепость	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सिद्ध	доказана	सिद्ध	доказать		V;PFV;FEM;SG;PST;V.PTCP;PASS
सिद्ध	доказано	सिद्ध	доказать		V;PFV;NEUT;SG;PST;V.PTCP;PASS
सिद्ध	доказал	सिद्ध	доказать		V;PFV;MASC;IND;SG;PST;FIN;ACT
बजाय	вместо	बजाय	вместо		ADP
निधन	death	निधन	death	N;NOM;MASC;SG;3	PROPN
बराबर	равен	बराबर	равный	CONJ	ADJ;MASC;SG
बराबर	равно	बराबर	равный	CONJ	ADJ;NEUT;SG
बराबर	равных	बराबर	равный	CONJ	ADJ;GEN;PL
बराबर	равная	बराबर	равный	CONJ	ADJ;NOM;FEM;SG
बराबर	равных	बराबर	равный	CONJ	ADJ;GEN;PL
बराबर	равный	बराबर	равный	CONJ	ADJ;NOM;MASC;SG
बराबर	равные	बराबर	равный	CONJ	ADJ;NOM;PL
बराबर	равное	बराबर	равный	CONJ	ADJ;NOM;NEUT;SG
मिनट	минуты	मिनट	минута	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
मिनट	минут	मिनट	минута	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
मिनट	минуту	मिनट	минута	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
फिल्मों	фильмы	फिल्म	фильм	N;ACC;FEM;PL;3	N;INAN;NOM;MASC;PL
फिल्मों	кино	फिल्म	кино	N;ACC;FEM;PL;3	N;INAN;NOM;NEUT;SG
व्यवसाय	предприятия	व्यवसाय	предприятие	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
व्यवसाय	предприятий	व्यवसाय	предприятие	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
व्यवसाय	business	व्यवसाय	business	N;NOM;MASC;SG;3	PROPN
बनाई	воссоздали	बना	воссоздать	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN;ACT
संरक्षण	сохранения	संरक्षण	сохранение	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;SG
शो	показывать	शो	показывать	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
शो	show	शो	show	N;NOM;MASC;SG;3	PROPN
शो	показать	शो	показать	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
प्रस्ताव	предложения	प्रस्ताव	предложение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
रिपोर्ट	пожаловаться	रिपोर्ट	жаловаться	N;NOM;FEM;SG;3	V;PFV;NFIN;MID
रिपोर्ट	отчеты	रिपोर्ट	отчет	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
रिपोर्ट	доклады	रिपोर्ट	доклад	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
हिस्से	частично	हिस्सा	частично	N;NOM;MASC;SG;3	ADV
हिस्से	фракции	हिस्सा	фракция	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
मुस्लिम	мусульманских	मुस्लिम	мусульманский	N;NOM;MASC;SG;3	ADJ;GEN;PL
मुस्लिम	мусульманские	मुस्लिम	мусульманский	N;NOM;MASC;SG;3	ADJ;NOM;PL
मुस्लिम	мусульмане	मुस्लिम	мусульманин	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
रिकॉर्ड	записать	रिकॉर्ड	записать	N;NOM;MASC;SG;3	V;PFV;NFIN;ACT
रिकॉर्ड	записывать	रिकॉर्ड	записывать	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
रिकॉर्ड	records	रिकॉर्ड	records	N;NOM;MASC;SG;3	PROPN
रिकॉर्ड	рекорды	रिकॉर्ड	рекорд	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
रिकॉर्ड	записи	रिकॉर्ड	запись	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सरल	простой	सरल	простой		ADJ;NOM;MASC;SG
सरल	простое	सरल	простой		ADJ;NOM;NEUT;SG
सरल	простая	सरल	простой		ADJ;NOM;FEM;SG
सरल	простые	सरल	простой		ADJ;NOM;PL
धातु	металла	धातु	металл	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
धातु	metal	धातु	metal	N;NOM;MASC;SG;3	PROPN
धातु	металлические	धातु	металлический	N;NOM;MASC;SG;3	ADJ;NOM;PL
धातु	металлы	धातु	металл	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
परिषद	совета	परिषद	совет	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
परिषद	конфедерации	परिषद	конфедерация	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
शारीरिक	физическая	शारीरिक	физический	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
शारीरिक	физический	शारीरिक	физический	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
शारीरिक	физические	शारीरिक	физический	N;NOM;MASC;SG;3	ADJ;NOM;PL
शारीरिक	физической	शारीरिक	физический	N;NOM;MASC;SG;3	ADJ;INS;FEM;SG
शारीरिक	физическое	शारीरिक	физический	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
शारीरिक	соматические	शारीरिक	соматический	N;NOM;MASC;SG;3	ADJ;NOM;PL
संघर्ष	конфликты	संघर्ष	конфликт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
तकनीक	tech	तकनीक	tech	N;NOM;FEM;SG;3	PROPN
तकनीक	технику	तकनीक	техника	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
तकनीक	технологии	तकनीक	технология	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
तकनीक	методы	तकनीक	метод	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
फल	фрукты	फल	фрукт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
फल	плоды	फल	плод	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
फल	фрукты	फल	фрукт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
फल	плоды	फल	плод	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
कैसे	как	कैसे	как	PRO	CONJ
कार्बनिक	органические	कार्बनिक	органический	N;NOM;MASC;SG;3	ADJ;NOM;PL
कार्बनिक	органических	कार्बनिक	органический	N;NOM;MASC;SG;3	ADJ;GEN;PL
कार्बनिक	органический	कार्बनिक	органический	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
शाह	шах	शाह	шах	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
विवरण	детали	विवरण	деталь	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
विवरण	подробности	विवरण	подробность	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
शादी	браки	शादी	брак	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
शादी	свадьбу	शादी	свадьба	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
शादी	свадьбы	शादी	свадьба	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
शादी	свадебный	शादी	свадебный	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
सन्दर्भ	ссылки	संदर्भ	ссылка	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सन्दर्भ	контексте	संदर्भ	контекст	N;NOM;MASC;SG;3	N;INAN;ESS;MASC;SG
सन्दर्भ	контекста	संदर्भ	контекст	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
चेन्नई	ченнаи	चेन्नई	ченный	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
परमाणु	ядерная	परमाणु	ядерный	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
परमाणु	ядерные	परमाणु	ядерный	N;NOM;MASC;SG;3	ADJ;NOM;PL
परमाणु	молекулы	परमाणु	молекула	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
परमाणु	атомной	परमाणु	атомный	N;NOM;MASC;SG;3	ADJ;INS;FEM;SG
परमाणु	атомные	परमाणु	атомный	N;NOM;MASC;SG;3	ADJ;NOM;PL
परमाणु	атомная	परमाणु	атомный	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
आक्रमण	вторжения	आक्रमण	вторжение	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
आक्रमण	атаковать	आक्रमण	атаковать	N;NOM;MASC;SG;3	V;IPFV;NFIN;ACT
आक्रमण	атаку	आक्रमण	атака	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
कार	машину	कार	машина	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
कार	car	कार	car	N;NOM;FEM;SG;3	PROPN
कार	автомобили	कार	автомобиль	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
कार	машины	कार	машина	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
केरल	керала	केरल	керал	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
जांच	испытания	जांच	испытание	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
पत्थर	камень	पत्थर	камень	N;NOM;MASC;PL;3	N;INAN;NOM;MASC;SG
पत्थर	стоун	पत्थर	стоун	N;NOM;MASC;PL;3	N;INAN;NOM;MASC;SG
पत्थर	stone	पत्थर	stone	N;NOM;MASC;PL;3	PROPN
आठ	восьмой	आठ	восьмой	NUM	ADJ;NOM;MASC;SG
आठ	eight	आठ	eight	NUM	PROPN
विषयों	темы	विषय	тема	N;ACC;MASC;PL;3	N;INAN;NOM;FEM;PL
टेनिस	tennis	टेनिस	tennis	PROPN;NOM;MASC;SG;3	PROPN
टेनिस	теннис	टेनिस	теннис	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
पारंपरिक	традиционный	पारंपरिक	традиционный	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
पारंपरिक	традиционная	पारंपरिक	традиционный	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
पारंपरिक	традиционные	पारंपरिक	традиционный	PROPN;NOM;SG;3	ADJ;NOM;PL
पारंपरिक	традиционное	पारंपरिक	традиционный	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
अकादमी	академии	अकादमी	академия	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
सतह	поверхности	सतह	поверхность	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
देव	дев	देव	дев	PROPN;NOM;MASC;SG;3	N;ANIM;GEN;FEM;PL
देव	deo	देव	deo	PROPN;NOM;MASC;SG;3	PROPN
आचार्य	ачарья	आचार्य	ачарье	N;NOM;MASC;SG;3	
युक्त	ukraine	युक्त	ukraine		PROPN
युक्त	украина	युक्त	украина		N;INAN;NOM;FEM;SG
युक्त	украину	युक्त	украина		N;INAN;ACC;FEM;SG
अभियान	кампании	अभियान	кампания	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अभियान	кампании	अभियान	кампания	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
घोषित	объявил	घोषित	объявить	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
घोषित	объявлен	घोषित	объявить	ADJ	V;PFV;MASC;SG;PST;V.PTCP;PASS
घोषित	объявлена	घोषित	объявить	ADJ	V;PFV;FEM;SG;PST;V.PTCP;PASS
घोषित	объявить	घोषित	объявить	ADJ	V;PFV;NFIN;ACT
घोषित	объявлять	घोषित	объявлять	ADJ	V;IPFV;NFIN;ACT
घोषित	объявлено	घोषित	объявить	ADJ	V;PFV;NEUT;SG;PST;V.PTCP;PASS
घोषित	объявили	घोषित	объявить	ADJ	V;PFV;IND;PL;PST;FIN;ACT
घोषित	объявил	घोषित	объявить	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
घोषित	объявленные	घोषित	объявить	ADJ	V;PFV;NOM;PL;PST;V.PTCP;PASS
घोषित	объявила	घोषित	объявить	ADJ	V;PFV;FEM;IND;SG;PST;FIN;ACT
लिखी	написано	लिख	писать	V;PFV;FEM;SG;V.PTCP;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
लिखी	письменные	लिख	письменный	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;PL
लिखी	письменное	लिख	письменный	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;NEUT;SG
लिखी	письменный	लिख	письменный	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;NOM;MASC;SG
सिस्टम	system	सिस्टम	system	N;NOM;MASC;SG;3	PROPN
सिस्टम	системы	सिस्टम	система	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
सिस्टम	систем	सिस्टम	система	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
किनारे	углы	किनारा	угол	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
