花卉	virágos	花卉	virágos	N	
失業	munkanélküliségi	失業	munkanélküliségi	V	N;NOM;SG
失業	munkanélküli	失業	munkanélküli	V	
失業	munkanélküliség	失業	munkanélküliség	V	N;NOM;SG
昂貴	drága	昂貴	drága	N	
大	kannabisz	大	kannabisz	PART	N;NOM;SG
大	kender	大	kender	PART	N;NOM;SG
大	marihuánát	大	marihua	PART	N;ACC;SG
大	marihuána	大	marihua	PART	N;NOM;SG
大	fű	大	fű	PART	
大	füvet	大	füv	PART	N;ACC;SG
可	gyanakvó	可	gyanakvó	V	
可	gyanús	可	gyanús	V	
抗	antibiotikumok	抗	antibiotikum	V	N;NOM;PL
抗	antibiotikum	抗	antibiotikum	V	N;NOM;SG
抗	antibiotikumot	抗	antibiotikum	V	N;ACC;SG
抗	antibiotikumok	抗	antibiotikum	V	N;NOM;PL
抗	antibiotikum	抗	antibiotikum	V	N;NOM;SG
抗	antibiotikumot	抗	antibiotikum	V	N;ACC;SG
專營	franchise	專營	franchise	V	
專營	franchise	專營	franchise	V	
自轉	forgás	自轉	forgás	V	N;NOM;SG
自轉	rotációs	自轉	rotációs	V	N;NOM;SG
大通	hajsza	大通	hajszú	PROPN	N;NOM;SG
大通	üldözés	大通	üldözés	PROPN	N;NOM;SG
大通	chase	大通	chase	PROPN	
怪人	dilis	怪人	dilis	N	
破碎	megtört	破碎	megtört	N	
破碎	törött	破碎	törött	N	
破碎	törve	破碎	törv	N	
破碎	összetört	破碎	összetört	N	V;INDF;IND;SG;3;PST;FIN;ACT
語氣	tone	語氣	tone	N	
老年	öregebb	老年	öregebb	N	ADJ;NOM;CMPR;SG
老年	idősebb	老年	idős	N	ADJ;NOM;CMPR;SG
老年	régebbi	老年	régebbi	N	ADJ;NOM;CMPR;SG
隔離	karantén	隔離	karantén	N	
隔離	elkülönített	隔離	elkülönít	N	V;INDF;IND;SG;3;PST;FIN;ACT
隔離	elszigetelt	隔離	elszigetelt	N	V;INDF;IND;SG;3;PST;FIN;ACT
砸	smash	砸	smash	ADP	
生病	beteg	生病	beteg	V	N;NOM;SG
生病	beteg	生病	beteg	V	N;NOM;SG
生病	betegek	生病	beteg	V	N;NOM;PL
中	medián	中	medián	N	
摔	birkózni	摔	birkózik	N	V;NFIN;ACT
高爾夫	golf	高爾夫	golf	N	
山脊	ridge	山脊	ridge	N	
惡作	csíny	惡作	csíny	N	
惡作	csíny	惡作	csíny	N	
拳擊	box	拳擊	box	N	
拳擊	boksz	拳擊	boksz	N	
青蛙	béka	青蛙	béka	N	
高	hatékony	高	hatékony	ADJ	
探險	felfedező	探險	felfedező	V	N;NOM;SG
拖延	késedelem	拖延	késedelem	V	
拖延	késlekedés	拖延	késlekedés	V	
拖延	késés	拖延	késés	V	N;NOM;SG
拖延	késedelem	拖延	késedelem	V	
拖延	késés	拖延	késés	V	N;NOM;SG
伴隨	kísérő	伴隨	kísérő	V	ADJ;NOM;SG
安息	rip	安息	rip	PROPN	N;NOM;SG
預留	fenntartva	預留	fenntartva	V	N;NOM;SG
預留	foglalt	預留	foglal	V	
震撼	megrázta	震撼	meg+ráz	N	V;DEF;IND;SG;3;PST;FIN;ACT
柿	datolyaszilva	柿	datolyaszilva	N	ADV;V.CVB
商家	kereskedő	商家	kereskedő	N	
執照	engedély	執照	engedély	N	
執照	engedély	執照	engedély	N	
鮑威爾	powell	鮑威爾	powell	PROPN	
混合	keverék	混合	kevér	V	N;NOM;SG
混合	elegy	混合	elegy	V	N;NOM;SG
混合	keverékek	混合	keverék	V	N;NOM;PL
混合	keverékek	混合	keverék	V	N;NOM;PL
粉紅	pink	粉紅	pink	N	
粉紅	rózsaszín	粉紅	rózsaszín	N	
粉紅	rózsaszínű	粉紅	rózsaszínű	N	
先例	precedens	先例	precedens	N	
脆	sérülékeny	脆	sérülékeny	N	
脆	törékeny	脆	törékeny	N	
脆	sérülékeny	脆	sérülékeny	N	
脆	sebezhető	脆	sebezhető	N	ADJ;NOM;SG
定制	testre	定制	test	V	
定制	egyedi	定制	egyedi	V	
定制	egyéni	定制	egyéni	V	
火花	sparks	火花	sparks	N	
莽	mang	莽	mang	PROPN	
協和	concord	協和	concord	PROPN	
餐	vendéglátó	餐	vendéglátó	N	ADJ;NOM;SG
亞馬遜	amazon	亞馬遜	amaz	PROPN	
微	halvány	微	halvány	N	
海牙	hágai	海牙	hágai	PROPN	N;NOM;SG
領導	vezér	領導	vezér	V	
領導	leader	領導	leader	V	
領導	vezető	領導	vezető	V	
領導	vezetői	領導	vezető	V	N;NOM;PL
領導	vezetők	領導	vezető	V	N;NOM;PL
言	szavakat	言	szó	V	N;ACC;PL
言	szavak	言	szó	V	N;NOM;PL
容忍	tolerancia	容忍	tolerancia	V	N;NOM;SG
容忍	tolerálható	容忍	tolerálható	V	ADJ;NOM;SG
四	kvartett	四	kvartett	NUM	V;INDF;IND;SG;3;PST;FIN;ACT
核糖	ribóz	核糖	ribóz	N	
糖果	cukorka	糖果	cukorka	N	
糖果	candy	糖果	candy	N	
利潤	profit	利潤	profit		N;NOM;SG
利潤	haszon	利潤	hasz		N;NOM;SG
利潤	nyereség	利潤	nyereség		N;NOM;SG
利潤	profit	利潤	profit		N;NOM;SG
利潤	haszon	利潤	hasz		N;NOM;SG
利潤	nyereség	利潤	nyereség		N;NOM;SG
弊	fegyencek	弊	fegyenc	V	N;NOM;PL
弊	álcák	弊	álca	V	N;NOM;PL
切換	kapcsoló	切換	kapcsoló	V	N;NOM;SG
切換	váltás	切換	váltás	V	N;NOM;SG
切換	kapcsoló	切換	kapcsoló	V	N;NOM;SG
切換	kapcsolót	切換	kapcsoló	V	N;ACC;SG
琮	cong	琮	cong	PROPN	
奔	futás	奔	futás	V	N;NOM;SG
奔	futó	奔	futó	V	
震驚	megrázó	震驚	megrázó	N	
震驚	megdöbbentő	震驚	megdöbbentő	N	
震驚	sokkoló	震驚	sokkoló	N	
震驚	döbbenve	震驚	döbbenve	N	ADV
貨櫃	tároló	貨櫃	tároló	N	ADJ;NOM;SG
協作	együttműködni	協作	együtt+működik	N	V;NFIN;ACT
郵件	mail	郵件	mail	N	
郵件	posta	郵件	posta	N	
代理	ügynökök	代理	ügynök	V	N;NOM;PL
代理	proxy	代理	proxy	V	N;NOM;SG
代理	ügynök	代理	ügynök	V	N;NOM;SG
呂宋	luzon	呂宋	luz	PROPN	PROPN;NOM;SG
美味	finom	美味	finom	N	
美味	finom	美味	finom	N	
美味	finom	美味	finom	N	
虧損	hiány	虧損	hiány	N	
熔	olvad	熔	olvad	N	V;INDF;IND;SG;3;PRS;FIN;ACT
熔	elolvad	熔	el+olvad	N	V;INDF;IND;SG;3;PRS;FIN;ACT
吸入	belégzés	吸入	belégzés	V	N;NOM;SG
吸入	inhalációs	吸入	inhalációs	V	N;NOM;SG
安第斯	andok	安第斯	and	PROPN	
茉莉	molly	茉莉	molly	PROPN	N;NOM;SG
狐狸	fox	狐狸	fox	N	
站立	állva	站立	állva	V	
鼓吹	advocate	鼓吹	advocat	V	N;NOM;SG
印度	indokína	印度	indokín	PROPN	
同化	asszimilációs	同化	asszimilációs	V	N;NOM;SG
對峙	konfrontáció	對峙	konfrontáció	V	N;NOM;SG
對峙	összecsapás	對峙	összecsapás	V	N;NOM;SG
對峙	patthelyzet	對峙	patthelyzet	V	N;NOM;SG
鍋	fű	鍋	fű	N	
鍋	füves	鍋	füves	N	
孵化	inkubációs	孵化	inkubációs	V	ADJ;NOM;SG
大連	dalian	大連	dalian	PROPN	N;NOM;SG
忠誠	hű	忠誠	hű	N	
忠誠	lojális	忠誠	lojális	N	ADJ;NOM;SG
忠誠	hűségesek	忠誠	hűséges	N	ADJ;NOM;PL
忠誠	hűséges	忠誠	hűséges	N	ADJ;NOM;SG
忠誠	hűség	忠誠	hűség	N	
忠誠	hűségesek	忠誠	hűséges	N	ADJ;NOM;PL
忠誠	hűséges	忠誠	hűséges	N	ADJ;NOM;SG
休士頓	houston	休士頓	houst	PROPN	
休士頓	houstonban	休士頓	houstonban	PROPN	N;IN+ESS;SG
供電	elektromosság	供電	elektromosság	V	N;NOM;SG
供電	villamosenergia	供電	villamosenergia	V	N;NOM;SG
四	végtagok	四	végtag	NUM	N;NOM;PL
莎莉	sally	莎莉	sally	PROPN	
視	windows	視	windows	V	N;NOM;SG
視	ablakok	視	ablak	V	N;NOM;PL
視	ablak	視	ablak	V	
視	ablak	視	ablak	V	
視	ablakon	視	ablak	V	
抗	antigén	抗	antigén	V	N;NOM;SG
抗	antigének	抗	antige	V	N;GEN;SG
抗	antigén	抗	antigén	V	N;NOM;SG
老化	öregszik	老化	öregszik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
多哈	dohai	多哈	dohai	PROPN	N;NOM;SG
守護	őrző	守護	őrző	V	
守護	őrzők	守護	őrező	V	N;NOM;PL
經紀	közvetítő	經紀	közvetítő	N	ADJ;NOM;SG
發育	fejlődési	發育	fejlődési	V	N;NOM;SG
仇恨	utálom	仇恨	utálom	N	V;DEF;IND;SG;1;PRS;FIN;ACT
矮人	törpe	矮人	törpe	N	
不	szabálytalan	不	szabálytalan	ADV;NEG	
不	rendhagyó	不	rendhagyó	ADV;NEG	
菩提	bodhi	菩提	bodhi	N	
穩定	stabilitás	穩定	stabilitás	ADJ	N;NOM;SG
穩定	stabilitása	穩定	stabilitás	ADJ	N;NOM;SG
鑰匙	kulcsfontosságú	鑰匙	kulcsfontosságú	N	ADJ;NOM;SG
鑰匙	key	鑰匙	key	N	
櫻桃	cherry	櫻桃	cherry	PROPN	
櫻桃	cseresznyés	櫻桃	cseresznyés	PROPN	
櫻桃	cseresznye	櫻桃	cseresznye	PROPN	N;NOM;SG
櫻桃	cseresznye	櫻桃	cseresznye	PROPN	N;NOM;SG
執事	deacon	執事	deac	N	
哀悼	gyász	哀悼	gyász	V	N;NOM;SG
加重	súlyosbító	加重	súlyosbító	V	N;NOM;SG
大	mogul	大	mogul	ADJ	
大	iparmágnás	大	iparmágnás	ADJ	
安慰	kényelem	安慰	kényelem	V	
安慰	vigasz	安慰	vigasz	V	N;NOM;SG
安慰	megnyugtató	安慰	megnyugtató	V	
乾燥	szárazon	乾燥	száraz	ADJ	
乾燥	száraz	乾燥	száraz	ADJ	
乾燥	szárítás	乾燥	szárítás	ADJ	N;NOM;SG
點數	pont	點數	pont	N	
警示	riadó	警示	riadó	N	
潛力	potenciális	潛力	potenciális	N	
潛力	lehetséges	潛力	lehetséges	N	ADJ;NOM;SG
勞倫斯	lawrence	勞倫斯	lawrence	PROPN	
低溫	kriogén	低溫	krioge	N	
奧斯汀	austin	奧斯汀	austin	PROPN	
管理	menedzser	管理	menedzser	V	N;NOM;SG
管理	vezető	管理	vezető	V	
管理	kezelő	管理	kezelő	V	ADJ;NOM;SG
管理	igazgató	管理	igazgató	V	N;NOM;SG
管理	kezelők	管理	kezelő	V	N;NOM;PL
管理	vezetők	管理	vezető	V	N;NOM;PL
哈桑	hassan	哈桑	hat	PROPN	
委派	megbízás	委派	megbízás	V	N;NOM;SG
委派	megbízatás	委派	megbízatás	V	N;NOM;SG
全景	panorama	全景	panoram	N	
佐賀	saga	佐賀	saga	PROPN	
佛羅里達	floridai	佛羅里達	floridai	PROPN	
佛羅里達	floridában	佛羅里達	florida	PROPN	N;IN+ESS;SG
佛羅里達	florida	佛羅里達	florida	PROPN	
佛羅里達	floridába	佛羅里達	florida	PROPN	N;IN+ALL;SG
誤導	félrevezetés	誤導	félrevezetés	V	N;NOM;SG
誤導	megtévesztő	誤導	megtévesztő	V	
誤導	félrevezető	誤導	félrevezető	V	
比丘	picchu	比丘	picchu	PROPN	N;NOM;SG
波恩	bonn	波恩	bonn	PROPN	PROPN;NOM;SG
回憶	emlékiratait	回憶	emlékirat	V	N;ACC;PL
回憶	emlékirat	回憶	emlékirat	V	N;NOM;SG
鈎	hook	鈎	hook	N	
鈎	hooks	鈎	hooks	N	
觸發	ravaszt	觸發	ravaszt	V	N;ACC;SG
觸發	kiváltó	觸發	kiváltó	V	N;NOM;SG
仁愛	jóindulat	仁愛	jóindulat	PROPN	N;NOM;SG
未婚	hajadon	未婚	hajad	V	N;NOM;SG
未婚	nőtlen	未婚	nőtlen	V	
美式	amerikai	美式	amerikai	N	ADJ;NOM;SG
大膽	merész	大膽	merész	N	
大膽	bátor	大膽	bátor	N	
感知	felfogás	感知	felfogás	N	
感知	felfogás	感知	felfogás	N	
違規	szabálysértés	違規	szabálysértés	V	N;NOM;SG
違規	megsértése	違規	megsértés	V	N;NOM;SG
違規	jogsértés	違規	jogsértés	V	N;NOM;SG
違規	megsértése	違規	megsértés	V	N;NOM;SG
違規	jogsértés	違規	jogsértés	V	N;NOM;SG
違規	rés	違規	rés	V	N;NOM;SG
關節	joint	關節	joint	N	
關節	együttes	關節	együttes	N	
關節	közös	關節	közös	N	
學期	távú	學期	távú	N	
占卜	jövendölés	占卜	jövendölés	V	N;NOM;SG
侵蝕	erózió	侵蝕	erózió	V	N;NOM;SG
後勤	logisztikai	後勤	logisztikai	N	ADJ;NOM;SG
後勤	logisztikai	後勤	logisztikai	N	ADJ;NOM;SG
後勤	logisztikai	後勤	logisztikai	N	ADJ;NOM;SG
固體	tömör	固體	tömör	N	
固體	szilárd	固體	szilárd	N	
固體	szilárd	固體	szilárd	N	
寄宿	lakossági	寄宿	lakossági	N	ADJ;NOM;SG
芝麻	szezám	芝麻	szezám	N	
訂單	megrendelés	訂單	megrendelés	V	N;NOM;SG
訂單	rendelés	訂單	rendelés	V	N;NOM;SG
訂單	rend	訂單	rend	V	N;NOM;SG
訂單	parancs	訂單	parancs	V	N;NOM;SG
訂單	parancsok	訂單	parancsok	V	N;NOM;PL
訂單	megrendelések	訂單	megrendelés	V	N;NOM;PL
訂單	parancs	訂單	parancs	V	N;NOM;SG
訂單	parancsot	訂單	parancsot	V	N;ACC;SG
漁民	halász	漁民	halász	N	
漁民	halász	漁民	halász	N	
漁民	horgász	漁民	horgász	N	
痕跡	traces	痕跡	traces	N	
日內瓦	genfi	日內瓦	genfi	PROPN	
梅森	mason	梅森	mason	PROPN	
梅森	kőműves	梅森	kőműves	PROPN	N;NOM;SG
擁抱	simi	擁抱	simi	N	
擁抱	ölel	擁抱	ölel	N	V;INDF;IND;SG;3;PRS;FIN;ACT
西邊	nyugat	西邊	nyugat	N	
西邊	nyugati	西邊	nyugati	N	
滑行	glide	滑行	glide	N	
出國	külföldön	出國	külföld	V	
出國	külföldre	出國	külföld	V	N;ON+ALL;SG
耐心	türelem	耐心	türelem	ADJ	N;NOM;SG
潛水	búvárkodás	潛水	búvárkodás	V	N;NOM;SG
潛水	búvár	潛水	búvár	V	N;NOM;SG
潛水	merülés	潛水	merülés	V	N;NOM;SG
潛水	merülés	潛水	merülés	V	N;NOM;SG
合法	legitimitását	合法	legitimitás	V	N;ACC;SG
合法	jogszerűségét	合法	jogszerűség	V	N;ACC;SG
合法	jogszerűségét	合法	jogszerűség	V	N;ACC;SG
竇	sinus	竇	sinus	PROPN	
竇	kutyus	竇	kutyus	PROPN	N;NOM;SG
竇	kutya	竇	kutya	PROPN	N;NOM;SG
竇	dou	竇	dou	PROPN	
同源	homológ	同源	homológ	N	
吸引	vonzerejét	吸引	vonzere	V	N;ACC;SG
吸引	vonzalom	吸引	vonzalom	V	N;NOM;SG
吸引	vonzó	吸引	vonzó	V	ADJ;NOM;SG
甘蔗	cane	甘蔗	cane	N	
哭	sír	哭	sír	V	N;NOM;SG
哭	sírás	哭	sírás	V	N;NOM;SG
哭	sírok	哭	sír	V	N;NOM;PL
哭	sír	哭	sír	V	N;NOM;SG
哭	sírás	哭	sírás	V	N;NOM;SG
賭博	gamble	賭博	gamble	N	
成型	képező	成型	képező	N	ADJ;NOM;SG
廣東	kantoni	廣東	kantoni	PROPN	
嚴謹	szigorú	嚴謹	szigorú	ADJ	
三	szigony	三	szigony	NUM	
豁免	mentesítés	豁免	mentesítés		N;NOM;SG
豁免	adómentesség	豁免	adómentesség		N;NOM;SG
豁免	mentesség	豁免	mentesség		N;NOM;SG
豁免	mentesség	豁免	mentesség		N;NOM;SG
豁免	mentességet	豁免	mentesség		N;ACC;SG
豁免	kivételek	豁免	kivétel		N;NOM;PL
豁免	adómentesség	豁免	adómentesség		N;NOM;SG
豁免	mentesség	豁免	mentesség		N;NOM;SG
史詩	epikus	史詩	epikus	N	
暹羅	sziámi	暹羅	sziámi	PROPN	
暹羅	sziám	暹羅	sziám	PROPN	N;NOM;SG
鑄造	casting	鑄造	casting	V	N;NOM;SG
刪去	törlése	刪去	törlés	V	N;NOM;SG
刪去	törlés	刪去	törlés	V	
明文	kifejezett	明文	kifejezett	N	V;INDF;IND;SG;3;PST;FIN;ACT
服務	szolgáltatások	服務	szolgáltatás	V	N;NOM;PL
服務	szolgáltatás	服務	szolgáltatás	V	N;NOM;SG
守衛	őrök	守衛	őr	V	N;NOM;PL
守衛	őr	守衛	őr	V	N;NOM;SG
倫理	etikus	倫理	etikus	N	
倫理	etikai	倫理	etikai	N	
倫理	etikai	倫理	etikai	N	
一	jelenet	一	jelenet	NUM	N;NOM;SG
摸	érintés	摸	érintés	V	N;NOM;SG
投放	kézbesítés	投放	kézbesítés	V	N;NOM;SG
投放	szállítás	投放	szállítás	V	N;NOM;SG
投放	teljesítés	投放	teljesítés	V	N;NOM;SG
投放	szállítási	投放	szállítási	V	N;NOM;SG
艾瑪	emmával	艾瑪	emma	PROPN	N;INS;SG
艾瑪	emma	艾瑪	emma	PROPN	
膨脹	terjeszkedés	膨脹	terjeszkedés	V	N;NOM;SG
膨脹	bővítés	膨脹	bővítés	V	N;NOM;SG
位	elmozdulás	位	elmozdulás	N	
招標	gyengéd	招標	gyengéd	V	
招標	pályázati	招標	pályázati	V	ADJ;NOM;SG
招標	pályázat	招標	pályázat	V	N;NOM;SG
傳道	prédikálni	傳道	prédikál	N	V;NFIN;ACT
波羅	balti	波羅	balti	PROPN	
閃光	flash	閃光	flash	N	
子	vikomt	子	vikom	N	
削減	megszorítások	削減	megszorítás	V	N;NOM;PL
削減	vágó	削減	vágó	V	
削減	vágás	削減	vágás	V	N;NOM;SG
削減	vágás	削減	vágás	V	N;NOM;SG
削減	vágás	削減	vágás	V	N;NOM;SG
削減	vágások	削減	vágás	V	N;NOM;PL
視察	ellenőrzések	視察	ellenőrzés	V	N;NOM;PL
視察	vizsgálatok	視察	vizsgálat	V	N;NOM;PL
視察	vizsgálat	視察	vizsgálat	V	N;NOM;SG
視察	ellenőrzési	視察	ellenőrzési	V	ADJ;NOM;SG
視察	ellenőrzés	視察	ellenőrzés	V	N;NOM;SG
里根	reagan	里根	reagan	PROPN	
殘酷	kegyetlen	殘酷	kegyetlen	ADJ	
殘酷	kegyetlenség	殘酷	kegyetlenség	ADJ	N;NOM;SG
殘酷	kegyetlenség	殘酷	kegyetlenség	ADJ	N;NOM;SG
牧場	legelő	牧場	legelő	N	
牧場	ranch	牧場	ranch	N	
單身	egyedülálló	單身	egyedülálló	N	
單身	single	單身	single	N	
單身	egyetlen	單身	egyetlen	N	
大	jelleg	大	jelleg	ADJ	N;NOM;SG
大	természet	大	természet	ADJ	N;NOM;SG
九	kilences	九	kilences	NUM	
九	kilenc	九	kilenc	NUM	
悲傷	szomorú	悲傷	szomorú	N	
悲傷	bús	悲傷	bús	N	
沒收	lefoglalt	沒收	lefoglalt	V	
粉紅	pink	粉紅	pink	N	
粉紅	rózsaszín	粉紅	rózsaszín	N	
粉紅	rózsaszínű	粉紅	rózsaszínű	N	
反向	fordítva	反向	fordítva	N	ADV;V.CVB
反向	fordított	反向	fordított	N	V;INDF;IND;SG;3;PST;FIN;ACT
原油	nyers	原油	nyers	N	
感恩	hálával	感恩	hála		N;INS;SG
感恩	hálaadás	感恩	hálaadás		N;NOM;SG
生氣	dühös	生氣	dühös	N	
生氣	mérges	生氣	mérges	N	
星期	vasárnap	星期	vasárnap	N	
星期	vasárnap	星期	vasárnap	N	
星期	vasárnapi	星期	vasárnapi	N	
塵埃	port	塵埃	por	N	
平滑	sima	平滑	sima	N	
加速	gyorsító	加速	gyorsító	V	ADJ;NOM;SG
穆爾	moore	穆爾	moore	PROPN	
薄弱	gyengeség	薄弱	gyengeség	ADJ	N;NOM;SG
薄弱	gyenge	薄弱	gyenge	ADJ	
薄弱	gyengék	薄弱	gyengék	ADJ	N;NOM;PL
謊言	hazudj	謊言	hazud	N	V;DEF;IND;SG;1;PRS;FIN;ACT
宙斯	zeusz	宙斯	zeusz	PROPN	
越共	vietkong	越共	vietkong	PROPN	
野獸	bestia	野獸	bestia	N	
填充	töltelék	填充	töltelék	V	N;NOM;SG
起因	okozza	起因	okoz	N	V;DEF;IND;SG;3;PRS;FIN;ACT
起因	okoz	起因	okoz	N	V;INDF;IND;SG;3;PRS;FIN;ACT
縫	varrni	縫	varrni	N	V;NFIN;ACT
高	polimer	高	polimer	PART	N;NOM;SG
反省	tükörkép	反省	tükörkép	V	N;NOM;SG
頂端	felül	頂端	felül	N	
頂端	top	頂端	top	N	
頂端	csúcs	頂端	csúcs	N	
頂端	felső	頂端	felső	N	
頂端	legfelső	頂端	legfelső	N	
郵輪	cruise	郵輪	cruise	N	
燈光	light	燈光	light	N	
瑪利亞	mária	瑪利亞	mária	PROPN	
瑪利亞	maria	瑪利亞	maria	PROPN	
儲備	tartalék	儲備	tartalék	N	
儲備	tartalék	儲備	tartalék	N	
反對	ellenzéki	反對	ellenzéki	V	ADJ;NOM;SG
反對	ellenzék	反對	ellenzék	V	N;NOM;SG
舵	helm	舵	helm	N	
離任	kimenő	離任	kimenő	V	N;NOM;SG
激發	gerjesztés	激發	gerjesztés	V	N;NOM;SG
激發	ösztönzése	激發	ösztönzés	V	N;NOM;SG
禁忌	tilos	禁忌	tilos	N	
禁忌	tiltott	禁忌	tilt	N	V;INDF;IND;SG;3;PST;FIN;ACT
醚	éterek	醚	éter	N	
噴	spray	噴	spray	V	N;NOM;SG
偽裝	álruhában	偽裝	álruh	V	N;IN+ESS;SG
偽裝	álcázás	偽裝	álcázás	V	N;NOM;SG
偽裝	álca	偽裝	álca	V	N;NOM;SG
偽裝	álcázó	偽裝	álcázó	V	ADJ;NOM;SG
偽裝	álcázás	偽裝	álcázás	V	N;NOM;SG
偽裝	álca	偽裝	álca	V	N;NOM;SG
鳩	galamb	鳩	galamb	PROPN	
叛軍	felkelő	叛軍	felkelő	N	
叛軍	lázadó	叛軍	lázadó	N	ADJ;NOM;SG
層次	szintű	層次	szintű	N	
矽	szilícium	矽	szilícium	N	
繡	hímzett	繡	hímzett	N	V;INDF;IND;SG;3;PST;FIN;ACT
匹茲堡	pittsburgh	匹茲堡	pittsburgh	PROPN	N;NOM;SG
笨	hülye	笨	hülye	PART	
少	kevesebbet	少	kevesebb	ADJ	
少	kevesebb	少	kevesebb	ADJ	
少	kevésbé	少	kevésbé	ADJ	ADV
康復	gyógyítás	康復	gyógyítás	V	N;NOM;SG
康復	gyógyulást	康復	gyógyulás	V	N;ACC;SG
康復	gyógyulás	康復	gyógyulás	V	N;NOM;SG
康復	gyógyító	康復	gyógyító	V	ADJ;NOM;SG
康復	rehabilitáció	康復	rehabilitáció	V	N;NOM;SG
康復	rehabilitációs	康復	rehabilitációs	V	ADJ;NOM;SG
康復	fellendülés	康復	fellendülés	V	N;NOM;SG
康復	hasznosítás	康復	hasznosítás	V	N;NOM;SG
康復	helyreállítási	康復	helyreállítási	V	ADJ;NOM;SG
康復	gyógyulás	康復	gyógyulás	V	N;NOM;SG
大院	összetett	大院	összetett	N	V;INDF;IND;SG;3;PST;FIN;ACT
布希	bush	布希	bush	PROPN	
布希	bokor	布希	bokor	PROPN	
莊園	manor	莊園	manor	N	
欺騙	csaló	欺騙	csaló	V	
欺騙	csalás	欺騙	csalás	V	N;NOM;SG
欺騙	csalás	欺騙	csalás	V	N;NOM;SG
欺騙	megtévesztés	欺騙	megtévesztés	V	N;NOM;SG
內政	belső	內政	belső	N	
花朵	virágos	花朵	virágos	N	
造訪	látogató	造訪	látogató	V	ADJ;NOM;SG
造訪	látogatás	造訪	látogatás	V	N;NOM;SG
造訪	látogatóban	造訪	látogató	V	N;IN+ESS;SG
炸藥	dinamit	炸藥	dinami	N	
炸藥	robbanó	炸藥	robbanó	N	
牛仔	cowboy	牛仔	cowboy	N	
親戚	relatív	親戚	relatív	N	
親戚	viszonylagos	親戚	viszonylagos	N	
親戚	rokon	親戚	rokon	N	
結晶	kristályosodás	結晶	kristályosodás	V	N;NOM;SG
橢	ovális	橢	ovális	PART	
疑慮	kétely	疑慮	kétely	V	N;NOM;SG
疑慮	kétséges	疑慮	kétséges	V	ADJ;NOM;SG
疑慮	kétség	疑慮	kétség	V	
疑慮	kétségek	疑慮	kétség	V	N;NOM;PL
疑慮	kétségei	疑慮	kétség	V	N;NOM;PL
疑慮	kétely	疑慮	kétely	V	N;NOM;SG
疑慮	kétség	疑慮	kétség	V	
疑慮	kétségek	疑慮	kétség	V	N;NOM;PL
上學	iskolában	上學	iskolában	V	N;IN+ESS;SG
上學	iskola	上學	iskola	V	N;NOM;SG
上學	suli	上學	suli	V	
路線	ütemterv	路線	ütemterv	N	
窯	ware	窯	ware	N	
正宗	hiteles	正宗	hiteles	N	ADJ;NOM;SG
流血	vérzés	流血	vérzés	V	N;NOM;SG
凍	fagyos	凍	fagyos	N	
諾亞	noé	諾亞	noé	PROPN	
諾亞	noah	諾亞	noah	PROPN	
感	érdeklődő	感	érdeklődő	N	ADJ;NOM;SG
感	érdekel	感	érdekel	N	V;INDF;IND;SG;3;PRS;FIN;ACT
感	érdekelt	感	érdekelt	N	V;INDF;IND;SG;3;PST;FIN;ACT
感	érdekelne	感	érdekel	N	V;INDF;COND;SG;3;PRS;FIN;ACT
感	érdeklődni	感	érdeklődik	N	V;NFIN;ACT
舉例	példák	舉例	példa	V	N;NOM;PL
舉例	példákat	舉例	példa	V	N;ACC;PL
舉例	példa	舉例	példa	V	N;NOM;SG
黏	ragad	黏	ragad	N	V;INDF;IND;SG;3;PRS;FIN;ACT
黏	ragadós	黏	ragadós	N	
黏	ragacsos	黏	ragacsos	N	
牙買加	jamaica	牙買加	jamaica	PROPN	
主宰	uralni	主宰	uralni	N	V;NFIN;ACT
迦太基	carthage	迦太基	cart	PROPN	
渡假	vakáció	渡假	vakáció	V	N;NOM;SG
渡假	nyaralás	渡假	nyaralás	V	N;NOM;SG
偏差	elfogult	偏差	elfogul	N	
陰影	árny	陰影	árny	N	
驚訝	meglepett	驚訝	meglep	N	V;INDF;IND;SG;3;PST;FIN;ACT
驚訝	meglepő	驚訝	meglepő	N	
驚訝	meglepve	驚訝	meglepve	N	
鱷魚	krokodil	鱷魚	krokodil	N	
幾內亞	guinea	幾內亞	guinea	PROPN	
幾內亞	guineai	幾內亞	guineai	PROPN	
籽	mag	籽	mag	N	
付款	fizetés	付款	fizetés	V	N;NOM;SG
付款	fizetés	付款	fizetés	V	N;NOM;SG
付款	fizetések	付款	fizetés	V	N;NOM;PL
付款	kifizetések	付款	kifizetés	V	N;NOM;PL
付款	fizetési	付款	fizetési	V	ADJ;NOM;SG
付款	kifizetés	付款	kifizetés	V	N;NOM;SG
付款	fizetség	付款	fizetség	V	
付款	fizetés	付款	fizetés	V	N;NOM;SG
白	silver	白	silver	PROPN	
白	ezüst	白	ezüst	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
水牛	bivaly	水牛	bivaly	N	
水牛	buffalo	水牛	buffalo	N	
水牛	bivaly	水牛	bivaly	N	
護航	kísérje	護航	kísér	N	V;DEF;IND;SG;3;PRS;FIN;ACT
護航	kísérő	護航	kísérő	N	ADJ;NOM;SG
共生	szimbiotikus	共生	szimbiotikus	V	
共生	szimbiózis	共生	szimbiózis	V	N;NOM;SG
