the	do	the	do	DET;DEF	PROPN
personal	persoal	personal	persoal	ADJ	N
space	no	space	no	N;SG	V
doesn	non	doesn	non	V;IND;SG;3;PRS;FIN	PART
star	star	star	star	N;SG	V
really	que	really	que	ADV	PRO
really	en	really	en	ADV	ADP
really	verdade	really	verdade	ADV	N
china	china	china	china	PROPN;SG	N
possible	sexa	possible	ser	ADJ	V
paul	paul	paul	paul	PROPN;SG	PROPN
working	a	work	o	V;V.MSDR	DET
working	traballo	work	traballo	V;V.MSDR	N
far	de	far	de	ADV	ADP
far	ata	far	ata	ADV	ADP
minister	cabinet	minister	cabinet	N;SG	PROPN
minister	o	minister	o	N;SG	DET
popular	popular	popular	popular	ADJ	N
popular	frente	popular	frente	ADJ	N
popular	cantante	popular	cantante	ADJ	N
married	casou	married	casar	ADJ	V
married	casar	married	casar	ADJ	V
married	casado	married	casado	ADJ	V
europe	europa	europe	europa	PROPN;SG	PROPN
europe	en	europe	en	PROPN;SG	ADP
low	pouco	low	pouco	ADJ	ADV
low	baixo	low	baixo	ADJ	ADP
low	baixa	low	baixa	ADJ	N
low	baixas	low	baixa	ADJ	N
low	baixos	low	baixo	ADJ	N
michael	michael	michael	michael	PROPN;SG	PROPN
release	en	release	en	N;SG	ADP
release	a	release	o	N;SG	DET
wrote	escribiume	write	escribiume	V;IND;PST;FIN	PROPN
wrote	a	write	o	V;IND;PST;FIN	DET
republic	república	republic	república	PROPN;SG	N
thomas	thomas	thomas	thoma	PROPN;SG	N
companies	as	company	o	N;PL	DET
via	través	via	través	ADV	N
via	via	via	via	ADV	PROPN
via	rúa	via	rúa	ADV	N
russian	ruso	russian	ruso	ADJ	N
thanks	moitas	thanks	moito	N;SG	DET
race	a	race	o	N;SG	DET
race	internacional	race	internacional	N;SG	ADJ
civil	civís	civil	civir	ADJ	N
charles	carlos	charle	carlo	N;PL	PROPN
eastern	este	eastern	este	ADJ	DET
body	corporal	body	corporal	N;SG	ADJ
texas	texas	texas	texa	PROPN;SG	PROPN
chief	o	chief	o	N;SG	DET
close	preto	close	preto	ADJ	ADV
upon	de	upon	de	ADV	ADP
upon	para	upon	para	ADV	ADP
upon	sobre	upon	sobre	ADV	ADP
upon	ao	upon	ao	ADV	PROPN
upon	se	upon	se	ADV	CONJ
actually	en	actually	en	ADV	ADP
actually	realidade	actually	realidade	ADV	N
actually	a	actually	o	ADV	DET
actually	de	actually	de	ADV	ADP
actually	feito	actually	feito	ADV	N
cross	cruzar	cross	cruzar	N;SG	V
cross	atravesar	cross	atravesar	N;SG	V
cross	crosstree	cross	crosstree	N;SG	PROPN
health	a	health	o	N;SG	DET
health	health	health	health	N;SG	PROPN
forces	as	force	o	N;PL	DET
green	green	green	grear	N;SG	PROPN
rights	os	rights	o	N;PL	DET
rights	dos	rights	dos	N;PL	PROPN
range	de	range	de	N;SG	ADP
range	montañosa	range	montañoso	N;SG	ADJ
probably	que	probably	que	ADV	PRO
consensus	copenhaguen	consensus	copenhaguen	N;SG	V
bar	de	bar	de	N;SG	ADP
average	media	average	media	ADJ	N
average	medio	average	medio	ADJ	N
average	de	average	de	ADJ	ADP
average	mediocre	average	mediocre	ADJ	N
network	de	network	de	N;SG	ADP
shows	demostra	show	demostrar	N;PL	V
magazine	time	magazine	timir	N;SG	PROPN
usually	adoita	usually	adoitar	ADV	V
usually	xeral	usually	xeral	ADV	ADJ
usually	adoitan	usually	adoitar	ADV	V
completed	os	complete	o	V;PST;V.PTCP	DET
significant	máis	significant	máis	ADJ	ADV
african	áfrica	african	áfrica	PROPN;SG	PROPN
african	africana	african	africano	PROPN;SG	ADJ
african	africanos	african	africano	PROPN;SG	ADJ
african	africano	african	africano	PROPN;SG	ADJ
able	quen	able	quen	ADJ	PRO
able	de	able	de	ADJ	ADP
able	poder	able	poder	ADJ	V
google	google	google	googler	PROPN;SG	PROPN
google	earth	google	earth	PROPN;SG	PROPN
stage	no	stage	no	N;SG	V
addition	ademais	addition	ademais	N;SG	ADV
addition	tamén	addition	tamén	N;SG	ADV
ireland	irlanda	ireland	irlanda	PROPN;SG	PROPN
today	hoxe	today	hoxe	N;SG	ADV
saint	santo	saint	santo	PROPN;SG	ADJ
saint	san	saint	ser	PROPN;SG	ADJ
self	presente	self	presente	PRO	ADJ
africa	áfrica	africa	áfrica	PROPN;SG	PROPN
africa	sudáfrica	africa	sudáfricar	PROPN;SG	ADJ
culture	a	culture	o	N;SG	DET
grand	dólares	grand	dólar	ADJ	N
grand	10000	grand	10000	ADJ	NUM
grand	mil	grand	mil	ADJ	N
things	as	thing	o	N;PL	DET
changed	de	change	de	V;PST;V.PTCP	ADP
gold	de	gold	de	N;SG	ADP
course	suposto	course	suposto	ADV	N
course	que	course	que	ADV	PRO
course	por	course	por	ADV	ADP
course	claro	course	claro	ADV	ADJ
chinese	os	chinese	o	N;PL	DET
chinese	chinesas	chinese	chinés	N;PL	ADJ
chinese	chinesa	chinese	chinés	N;PL	ADJ
developed	o	develop	o	V;PST;V.PTCP	DET
size	do	size	do	N;SG	PROPN
add	dous	add	dous	V;IMP;FIN	N
peter	peter	peter	peter	PROPN;SG	V
peter	pedro	peter	pedro	PROPN;SG	N
basketball	básquet	basketball	básquet	N;SG	PROPN
move	mover	move	mover	N;SG	V
move	moverse	move	moverse	N;SG	PROPN
move	a	move	o	N;SG	DET
standard	estándar	standard	estándar	ADJ	V
standard	de	standard	de	ADJ	ADP
means	que	mean	que	V;IND;SG;3;PRS;FIN	PRO
means	medios	mean	medio	V;IND;SG;3;PRS;FIN	N
training	estudan	training	estudar	N;SG	V
blue	azul	blue	azul	ADJ	N
blue	azuis	blue	azuis	ADJ	N
value	canto	value	canto	N;SG	PRO
christian	christian	christian	christian	PROPN;SG	V
christian	cristiáns	christian	cristián	PROPN;SG	N
private	raso	private	raso	ADJ	N
private	soldado	private	soldar	ADJ	V
catholic	catholic	catholic	catholic	ADJ	PROPN
artists	de	artist	de	N;PL	ADP
seven	sete	seven	sete	NUM	N
ever	que	ever	que	ADV	PRO
ever	algunha	ever	algún	ADV	DET
ever	vez	ever	vez	ADV	N
provide	a	provide	o	V;IMP;FIN	DET
images	as	image	o	N;PL	DET
return	a	return	o	N;SG	DET
return	volvo	return	volvo	N;SG	V
return	regresar	return	regresar	N;SG	V
return	volva	return	volva	N;SG	V
return	volver	return	volver	N;SG	V
construction	construír	construction	construír	N;SG	V
front	diante	front	diante	N;SG	ADV
cover	a	cover	o	N;SG	DET
cover	cubrir	cover	cubrir	N;SG	V
cover	cuberto	cover	cuberto	N;SG	V
cover	cuberta	cover	cubrir	N;SG	V
despite	pesar	despite	pesar	ADV	V
despite	a	despite	o	ADV	DET
despite	malia	despite	malia	ADV	CONJ
read	leo	read	lear	V;IMP;FIN	PROPN
read	le	read	le	V;IMP;FIN	PROPN
henry	henry	henry	henry	PROPN;SG	PROPN
henry	de	henry	de	PROPN;SG	ADP
mark	mark	mark	mark	PROPN;SG	PROPN
mark	marca	mark	marca	PROPN;SG	N
mark	a	mark	o	PROPN;SG	DET
mark	marcos	mark	marco	PROPN;SG	N
federal	circuíto	federal	circuíto	ADJ	N
richard	richard	richard	richard	PROPN;SG	PROPN
attack	atacar	attack	atacar	N;SG	V
conference	de	conference	de	N;SG	ADP
outside	do	outside	do	ADV	PROPN
outside	fora	outside	ir	ADV	V
study	estudar	study	estudar	N;SG	V
study	estudamos	study	estudar	N;SG	V
brother	meu	brother	meu	N;SG	DET
names	os	name	o	N;PL	DET
nothing	non	nothing	non	PRO;SG	PART
medical	medicina	medical	medicina	ADJ	N
medical	médico	medical	médico	ADJ	N
medical	médicos	medical	médico	ADJ	N
medical	médica	medical	médica	ADJ	N
countries	dos	country	dos	N;PL	PROPN
past	pasado	past	pasado	N;SG	ADJ
past	últimos	past	último	N;SG	ADJ
writing	escribir	writing	escribir	N;SG	V
writing	a	writing	o	N;SG	DET
writing	escribía	writing	escribir	N;SG	V
writing	facendo	writing	facer	N;SG	V
writing	súas	writing	seu	N;SG	DET
writing	escrita	writing	escribir	N;SG	V
writing	escribe	writing	escribir	N;SG	V
makes	que	make	que	V;IND;SG;3;PRS;FIN	PRO
interest	interesa	interest	interesar	N;SG	V
provided	cama	provide	cama	V;PST;V.PTCP	N
killed	a	kill	o	V;PST;V.PTCP	DET
killed	mortos	kill	morto	V;PST;V.PTCP	N
fair	xusto	fair	xusto	ADJ	ADV
fair	feira	fair	feira	ADJ	N
search	buscar	search	buscar	N;SG	V
search	busca	search	buscar	N;SG	V
bay	baía	bay	baía	PROPN;SG	N
especially	sobre	especially	sobre	ADV	ADP
especially	todo	especially	todo	ADV	DET
refer	a	refer	o	V;IMP;FIN	DET
refer	refírense	refer	refírense	V;IMP;FIN	PROPN
eventually	co	eventually	co	ADV	PROPN
eventually	tempo	eventually	tempo	ADV	N
eventually	final	eventually	final	ADV	N
eventually	a	eventually	o	ADV	DET
management	de	management	de	N;SG	ADP
management	a	management	o	N;SG	DET
guitar	guitarra	guitar	guitarrar	PROPN;SG	N
hill	outeiro	hill	outeiro	PROPN;SG	N
hill	hill	hill	hill	PROPN;SG	PROPN
hill	outeiros	hill	outeiro	PROPN;SG	N
hill	924	hill	924	PROPN;SG	NUM
sure	seguro	sure	seguro	ADJ	N
sure	de	sure	de	ADJ	ADP
sure	que	sure	que	ADJ	PRO
sure	certo	sure	certo	ADJ	DET
sure	si	sure	si	ADJ	ADV
lower	máis	lower	máis	ADJ;CMPR	ADV
lower	baixos	lower	baixo	ADJ;CMPR	N
lower	pulmonar	lower	pulmonar	ADJ;CMPR	N
lower	calefacción	lower	calefacción	ADJ;CMPR	N
reading	lendo	reading	lendo	N;SG	V
reading	ler	reading	ler	N;SG	V
reading	a	reading	o	N;SG	DET
yet	non	yet	non	ADV	PART
systems	dos	system	dos	N;PL	PROPN
natural	a	natural	o	ADJ	DET
got	que	get	que	V;PST;V.PTCP	PRO
chicago	chicago	chicago	chicago	PROPN;SG	PROPN
ten	dez	ten	dez	NUM	N
individual	cada	individual	cada	N;SG	DET
individual	individuais	individual	individual	N;SG	ADJ
individual	individual	individual	individual	N;SG	ADJ
designed	para	design	para	V;PST;V.PTCP	ADP
rule	reglamento	rule	reglamento	N;SG	PROPN
rule	gobernar	rule	gobernar	N;SG	V
etc	etc	etc	etc		N
paris	parís	paris	parí	PROPN;SG	PROPN
thought	que	think	que	V;PST;FIN	PRO
brown	brown	brown	brown	PROPN;SG	PROPN
brown	marróns	brown	marrón	PROPN;SG	N
brown	marrón	brown	marrón	PROPN;SG	N
brown	claro	brown	claro	PROPN;SG	ADJ
needs	precisa	need	preciso	N;PL	ADJ
needs	ten	need	ter	N;PL	V
needs	necesita	need	necesitar	N;PL	V
smith	smith	smith	smith	PROPN;SG	PROPN
smith	veña	smith	vir	PROPN;SG	V
generally	xeral	generally	xeral	ADV	ADJ
sometimes	veces	sometimes	vez	ADV	N
sometimes	ás	sometimes	á	ADV	N
florida	florida	florida	floridar	PROPN;SG	N
capital	capitol	capital	capitol	N;SG	PROPN
capital	o	capital	o	N;SG	DET
valley	da	valley	da	N;SG	V
valley	valley	valley	valley	N;SG	PROPN
gave	a	give	o	V;IND;PST;FIN	DET
italy	italia	italy	italia	PROPN;SG	PROPN
energy	enerxético	energy	enerxético	N;SG	ADJ
energy	enerxética	energy	enerxético	N;SG	ADJ
believe	cres	believe	cres	V;IMP;FIN	PRO
believe	que	believe	que	V;IMP;FIN	PRO
active	activa	active	activo	ADJ	N
active	a	active	o	ADJ	DET
active	activo	active	activo	ADJ	N
active	activos	active	activo	ADJ	N
active	militante	active	militante	ADJ	N
online	en	online	en	ADV	ADP
online	liña	online	liña	ADV	N
block	bloquear	block	bloquear	N;SG	V
bridge	bridge	bridge	bridge	N;SG	PROPN
families	as	family	o	N;PL	DET
changes	cambia	change	cambiar	N;PL	V
changes	os	change	o	N;PL	DET
changes	muda	change	muda	N;PL	V
followed	o	follow	o	V;PST;V.PTCP	DET
collection	de	collection	de	N;SG	ADP
soon	en	soon	en	ADV	ADP
soon	canto	soon	canto	ADV	PRO
mexico	méxico	mexico	méxico	PROPN;SG	PROPN
particular	en	particular	en	ADJ	ADP
particular	particular	particular	particular	ADJ	N
create	unha	create	un	V;IMP;FIN	DET
soviet	soviética	soviet	soviético	PROPN;SG	ADJ
market	esa	market	ese	N;SG	DET
words	as	word	o	N;PL	DET
code	code	code	coder	N;SG	PROPN
fourth	cuarto	fourth	cuarto	PROPN;SG	ADJ
fourth	cuarta	fourth	cuarto	PROPN;SG	ADJ
fourth	acto	fourth	acto	PROPN;SG	N
fourth	catro	fourth	catro	PROPN;SG	N
fourth	infantaría	fourth	infantar	PROPN;SG	N
van	van	van	ir	PROPN;SG	V
van	pham	van	pham	PROPN;SG	PROPN
mary	mary	mary	mary	PROPN;SG	PROPN
mary	maría	mary	maría	PROPN;SG	N
sound	son	sound	ser	N;SG	V
sound	de	sound	de	N;SG	ADP
sound	parece	sound	parecer	N;SG	V
irish	irlandés	irish	irlandés	ADJ	PROPN
irish	irlandeses	irish	irlander	ADJ	N
perhaps	se	perhaps	se	ADV	CONJ
isn	é	isn	ser	PROPN;SG	V
isn	non	isn	non	PROPN;SG	PART
isn	está	isn	estar	PROPN;SG	V
eight	oito	eight	oito		N
eight	8	eight	8		NUM
problems	os	problem	o	N;PL	DET
native	onde	native	onde	ADJ	PRO
native	terra	native	terra	ADJ	N
channel	canal	channel	canal	N;SG	PROPN
says	que	say	que	V;IND;SG;3;PRS;FIN	PRO
whose	cuxo	whose	cuxo	PRO	N
whose	cuxa	whose	cuxa	PRO	N
whose	cuxos	whose	cuxo	PRO	N
whose	de	whose	de	PRO	ADP
whose	a	whose	o	PRO	DET
foundation	foundation	foundation	foundation	N;SG	PROPN
foundation	transformado	foundation	transformar	N;SG	V
runs	corre	run	currir	N;PL	V
simply	que	simply	que	ADV	PRO
simply	sen	simply	sen	ADV	ADP
governor	gobernador	governor	gobernador	PROPN;SG	N
complete	total	complete	total	ADJ	N
complete	completa	complete	completar	ADJ	V
complete	completar	complete	completar	ADJ	V
test	probar	test	probar	N;SG	V
test	de	test	de	N;SG	ADP
bill	bill	bill	bill	N;SG	PROPN
vote	voto	vote	voto	V;IMP;FIN	N
vote	votos	vote	voto	V;IMP;FIN	N
none	ningunha	none	ningún	N;SG	DET
none	nada	none	nada	N;SG	PRO
none	ningún	none	ningún	N;SG	DET
none	non	none	non	N;SG	PART
none	é	none	ser	N;SG	V
carolina	carolina	carolina	carolina	PROPN;SG	PROPN
behind	de	behind	de	ADV	ADP
behind	tras	behind	tras	ADV	ADP
behind	por	behind	por	ADV	ADP
winning	gañar	win	gañar	N;SG	V
lot	moito	lot	moito	N;SG	ADV
lot	moita	lot	moito	N;SG	DET
lot	moitos	lot	moito	N;SG	DET
lot	moitas	lot	moito	N;SG	DET
taking	a	take	o	V;V.MSDR	DET
mountain	montañosa	mountain	montañoso	N;SG	ADJ
higher	máis	higher	máis	ADJ;CMPR	ADV
higher	altos	higher	alto	ADJ;CMPR	N
higher	tan	higher	tan	ADJ;CMPR	ADV
angeles	ángeles	angeles	ángele	PROPN;SG	N
angeles	angeles	angeles	angel	PROPN;SG	N
angeles	ánxeles	angeles	ánxele	PROPN;SG	N
food	alimentaria	food	alimentario	N;SG	ADJ
likely	que	likely	que	ADJ	PRO
likely	probablemente	likely	probable	ADJ	ADV
likely	risco	likely	risco	ADJ	N
terms	a	term	o	N;PL	DET
sir	señor	sir	señor	PROPN;SG	N
sir	xefe	sir	xefar	PROPN;SG	N
thing	que	thing	que	N;SG	PRO
thing	mesmo	thing	mesmo	N;SG	DET
square	cadrado	square	cadrado	PROPN;SG	ADJ
square	square	square	square	PROPN;SG	V
square	cadradas	square	cadrada	PROPN;SG	ADJ
square	praza	square	praza	PROPN;SG	N
square	limpo	square	limpo	PROPN;SG	ADJ
woman	unha	woman	un	N;SG	DET
officer	de	officer	de	N;SG	ADP
officer	oficial	officer	oficial	N;SG	ADJ
greek	grego	greek	grego	ADJ	N
sent	a	send	o	V;PST;V.PTCP	DET
money	os	money	o	N;SG	DET
saw	vino	see	ver	V;IND;PST;FIN	N
true	verdade	true	verdade	ADJ	N
true	certo	true	certo	ADJ	DET
regular	regularmente	regular	regular	ADJ	ADV
regular	de	regular	de	ADJ	ADP
regular	taxis	regular	taxis	ADJ	N
regular	regular	regular	regular	ADJ	V
commercial	anuncio	commercial	anuncio	ADJ	N
cities	nas	city	nas	N;PL	PROPN
trade	trocar	trade	trocar	N;SG	V
trade	comercial	trade	comercial	N;SG	ADJ
birth	a	birth	o	N;SG	DET
birth	de	birth	de	N;SG	ADP
sun	sol	sun	sol	PROPN;SG	N
finished	xa	finish	xa	V;PST;V.PTCP	ADV
finished	remate	finish	remate	V;PST;V.PTCP	PROPN
finished	remataches	finish	remataches	V;PST;V.PTCP	N
earth	terra	earth	terra	PROPN;SG	N
earth	mundo	earth	mundo	PROPN;SG	N
earth	da	earth	da	PROPN;SG	V
earth	earth	earth	earth	PROPN;SG	PROPN
access	aos	access	aos	N;SG	PROPN
prior	antes	prior	antes	ADJ	ADV
beginning	comezando	beginning	comezar	N;SG	V
beginning	empezando	beginning	empezar	N;SG	V
martin	martin	martin	martin	PROPN;SG	PROPN
god	deus	god	daus	PROPN;SG	N
bit	pouco	bit	pouco	N;SG	ADV
bit	algo	bit	algo	N;SG	PRO
bit	un	bit	un	N;SG	DET
running	correr	running	correr	N;SG	V
running	correndo	running	correr	N;SG	V
running	a	running	o	N;SG	DET
missing	a	missing	o	ADJ	DET
missing	desaparecidos	missing	desaparecer	ADJ	V
missing	faltan	missing	faltar	ADJ	V
missing	falta	missing	falta	ADJ	N
missing	perdidos	missing	perdido	ADJ	V
missing	faltaba	missing	faltar	ADJ	V
economic	o	economic	o	ADJ	DET
certain	certo	certain	certo	ADJ	DET
certain	certas	certain	certo	ADJ	DET
certain	certa	certain	certo	ADJ	DET
certain	seguro	certain	seguro	ADJ	N
certain	certos	certain	certo	ADJ	DET
hit	éxito	hit	éxito	V;IMP;FIN	N
plays	xoga	play	xogar	N;PL	V
whole	toda	whole	todo	ADJ	DET
whole	todo	whole	todo	ADJ	DET
whole	enteiro	whole	enteiro	ADJ	N
whole	a	whole	o	ADJ	DET
joseph	wilson	joseph	wilson	PROPN;SG	PROPN
joseph	joseph	joseph	josephr	PROPN;SG	PROPN
lord	lord	lord	lord	N;SG	PROPN
operations	as	operation	o	N;PL	DET
function	funcionar	function	funcionar	N;SG	V
function	a	function	o	N;SG	DET
louis	luis	louis	luis	PROPN;SG	PROPN
louis	louis	louis	loui	PROPN;SG	PROPN
queen	raíña	queen	raíña	PROPN;SG	N
queen	queen	queen	quen	PROPN;SG	PROPN
security	de	security	de	N;SG	ADP
ohio	ohio	ohio	ohio	PROPN;SG	PROPN
call	chamada	call	chamar	N;SG	V
call	chamamos	call	chamar	N;SG	V
call	chamar	call	chamar	N;SG	V
successful	éxito	successful	éxito	ADJ	N
russia	rusia	russia	rusia	PROPN;SG	PROPN
prince	príncipe	prince	príncipe	PROPN;SG	N
prince	o	prince	o	PROPN;SG	DET
jewish	xudeu	jewish	xudar	ADJ	N
jewish	bebé	jewish	bebé	ADJ	N
jewish	xudeo	jewish	xudeo	ADJ	N
staff	de	staff	de	N;SG	ADP
towards	ao	towards	ao	ADV	PROPN
towards	cara	towards	cara	ADV	N
towards	a	towards	o	ADV	DET
agree	acordo	agree	acordo	V;IND;PRS;FIN	N
agree	de	agree	de	V;IND;PRS;FIN	ADP
agree	dacordo	agree	dacordo	V;IND;PRS;FIN	N
bad	malos	bad	malo	ADJ	N
bad	mal	bad	mal	ADJ	ADV
bad	malo	bad	malo	ADJ	PROPN
nature	da	nature	da	N;SG	V
nature	a	nature	o	N;SG	DET
allowed	se	allow	se	V;PST;V.PTCP	CONJ
allowed	lles	allow	lle	V;PST;V.PTCP	PRO
allowed	non	allow	non	V;PST;V.PTCP	PART
captain	capitán	captain	capitán	PROPN;SG	N
captain	meu	captain	meu	PROPN;SG	DET
saying	que	say	que	V;V.MSDR	PRO
manager	director	manager	director	N;SG	ADJ
meet	con	meet	con	V;IMP;FIN	ADP
lines	de	line	de	N;PL	ADP
rest	descansar	rest	descansar	N;SG	V
rest	demais	rest	demais	N;SG	DET
matter	importa	matter	importar	N;SG	V
matter	che	matter	che	N;SG	
matter	pasa	matter	pasar	N;SG	V
particularly	neno	particularly	neno	ADV	N
particularly	sobre	particularly	sobre	ADV	ADP
particularly	todo	particularly	todo	ADV	DET
particularly	particular	particularly	particular	ADV	N
month	ao	month	ao	N;SG	PROPN
care	importa	care	importar	N;SG	V
care	igual	care	igual	N;SG	ADV
care	me	care	me	N;SG	PRO
practice	unha	practice	un	N;SG	DET
practice	practicar	practice	practicar	N;SG	V
practice	exercen	practice	exercer	N;SG	V
command	de	command	de	N;SG	ADP
command	comando	command	comar	N;SG	V
parties	dos	party	dos	N;PL	PROPN
entire	todo	entire	todo	ADJ	DET
entire	toda	entire	todo	ADJ	DET
entire	a	entire	o	ADJ	DET
entire	enteiro	entire	enteiro	ADJ	N
anyone	ninguén	anyone	ninguén	PRO;SG	ADV
anyone	calquera	anyone	calquera	PRO;SG	DET
anyone	a	anyone	o	PRO;SG	DET
master	o	master	o	N;SG	DET
usa	eua	usa	eua	PROPN;SG	PROPN
stop	de	stop	de	V;IMP;FIN	ADP
stop	para	stop	para	V;IMP;FIN	ADP
feature	a	feature	o	N;SG	DET
illinois	illinois	illinois	illinol	PROPN;SG	PROPN
experience	experimentar	experience	experimentar	N;SG	V
experience	experimentan	experience	experimentar	N;SG	V
engineering	enxeñaría	engineering	enxeñaría	N;SG	V
silver	silver	silver	silver	PROPN;SG	PROPN
separate	separar	separate	separar	ADJ	V
secretary	de	secretary	de	N;SG	ADP
dutch	dutch	dutch	dutch	PROPN;SG	PROPN
lee	lee	lee	lee	PROPN;SG	PROPN
themselves	si	themselves	si	PRO;PL;3;REFL	ADV
themselves	mesmos	themselves	mesmo	PRO;PL;3;REFL	DET
themselves	se	themselves	se	PRO;PL;3;REFL	CONJ
themselves	mesmas	themselves	mesmo	PRO;PL;3;REFL	DET
rules	as	rule	o	N;PL	DET
youth	a	youth	o	N;SG	DET
youth	de	youth	de	N;SG	ADP
scotland	escocia	scotland	escocia	PROPN;SG	PROPN
iii	iii	iii	iii	PROPN;SG	PROPN
room	cuarto	room	cuarto	N;SG	ADJ
stone	de	stone	de	N;SG	ADP
stone	a	stone	o	N;SG	DET
shown	que	show	que	V;PST;V.PTCP	PRO
shown	se	show	se	V;PST;V.PTCP	CONJ
shown	mostra	show	mostra	V;PST;V.PTCP	N
shown	as	show	o	V;PST;V.PTCP	DET
deal	tratar	deal	tratar	N;SG	V
dead	mortos	dead	morto	ADJ	N
dead	morto	dead	morto	ADJ	N
dead	morta	dead	morto	ADJ	N
dead	morreu	dead	morrer	ADJ	V
shot	disparou	shot	disparar	N;SG	V
turn	a	turn	o	V;IMP;FIN	DET
executive	executivo	executive	executivo	ADJ	N
executive	ordenanza	executive	ordenanza	ADJ	N
plant	vexetais	plant	vexetal	N;SG	ADJ
plant	de	plant	de	N;SG	ADP
languages	as	language	o	N;PL	DET
languages	faladas	language	falar	N;PL	V
internet	internet	internet	internet	N;SG	PROPN
feel	que	feel	que	V;IMP;FIN	PRO
mostly	maioría	mostly	maioría	ADV	N
mostly	sobre	mostly	sobre	ADV	ADP
mostly	todo	mostly	todo	ADV	DET
numerous	moitas	numerous	moito	ADJ	DET
ancient	antigo	ancient	antigo	ADJ	N
ancient	antigos	ancient	antigo	ADJ	N
attempt	de	attempt	de	N;SG	ADP
finally	fin	finally	fin	ADV	N
finally	por	finally	por	ADV	ADP
finally	final	finally	final	ADV	N
finally	ao	finally	ao	ADV	PROPN
looking	a	look	o	V;V.MSDR	DET
edward	eduardo	edward	eduardo	PROPN;SG	N
edward	edward	edward	edward	PROPN;SG	PROPN
digital	dixitais	digital	dixital	ADJ	N
claim	a	claim	o	V;IMP;FIN	DET
claim	que	claim	que	V;IMP;FIN	PRO
seat	sentar	seat	sentar	N;SG	V
seat	senta	seat	sentar	N;SG	V
seat	séntese	seat	séntese	N;SG	V
seat	sente	seat	sente	N;SG	V
bbc	bbc	bbc	bbc	PROPN;SG	PROPN
dance	baila	dance	baila	N;SG	V
dance	bailar	dance	bailar	N;SG	V
prize	pulitzer	prize	pulitzer	N;SG	V
prize	o	prize	o	N;SG	DET
doing	a	do	o	V;V.MSDR	DET
georgia	georgia	georgia	georgia	PROPN;SG	PROPN
pacific	pacífico	pacific	pacífico	PROPN;SG	ADJ
recently	hai	recently	haber	ADV	V
fall	caer	fall	caer	N;SG	V
global	de	global	de	ADJ	ADP
era	era	era	ser	N;SG	V
opinion	que	opinion	que	N;SG	PRO
opinion	a	opinion	o	N;SG	DET
fort	forte	fort	forte	PROPN;SG	ADJ
opening	abrir	opening	abrir	N;SG	V
fine	ben	fine	ben	ADJ	ADV
fine	moi	fine	moi	ADJ	ADV
purpose	para	purpose	para	N;SG	ADP
purpose	serve	purpose	servir	N;SG	V
winter	no	winter	no	N;SG	V
winter	o	winter	o	N;SG	DET
congress	congreso	congress	congreso	PROPN;SG	N
met	a	meet	o	V;PST;V.PTCP	DET
income	os	income	o	N;SG	DET
income	do	income	do	N;SG	PROPN
comes	se	come	se	V;IND;SG;3;PRS;FIN	CONJ
older	máis	older	máis	ADJ;CMPR	ADV
older	vella	older	vella	ADJ;CMPR	N
older	vello	older	vello	ADJ;CMPR	N
older	os	older	o	ADJ;CMPR	DET
older	ancián	older	ancián	ADJ;CMPR	N
older	sexa	older	ser	ADJ;CMPR	V
older	maiores	older	maior	ADJ;CMPR	N
older	crecen	older	crecer	ADJ;CMPR	V
lack	de	lack	de	N;SG	ADP
lack	carecen	lack	carecer	N;SG	V
complex	complexa	complex	complexo	N;SG	ADJ
asked	pregunteille	ask	pregunteille	V;PST;V.PTCP	ADJ
asked	lle	ask	lle	V;PST;V.PTCP	PRO
friends	os	friend	o	N;PL	DET
kind	como	kind	como	N;SG	PRO
till	ata	till	ata		ADP
till	que	till	que		PRO
till	até	till	até		ADV
till	a	till	o		DET
asia	asia	asia	asia	PROPN;SG	PROPN
asia	de	asia	de	PROPN;SG	ADP
sense	ten	sense	ter	N;SG	V
meaning	que	meaning	que	N;SG	PRO
meaning	significa	meaning	significar	N;SG	V
meaning	explican	meaning	explicar	N;SG	V
meaning	o	meaning	o	N;SG	DET
intended	de	intend	de	V;PST;V.PTCP	ADP
bishop	bispo	bishop	bispo	PROPN;SG	N
boston	boston	boston	boston	PROPN;SG	PROPN
boston	de	boston	de	PROPN;SG	ADP
rate	de	rate	de	N;SG	ADP
voice	a	voice	o	N;SG	DET
jack	jack	jack	jack	PROPN;SG	PROPN
jack	janek	jack	janek	PROPN;SG	N
justice	justice	justice	justice	N;SG	PROPN
justice	a	justice	o	N;SG	DET
justice	da	justice	da	N;SG	V
justice	aos	justice	aos	N;SG	PROPN
justice	con	justice	con	N;SG	ADP
double	o	double	o	ADJ	DET
double	dobre	double	dobre	ADJ	N
double	double	double	double	ADJ	PROPN
polish	polaca	polish	polacar	PROPN;SG	ADJ
numbers	os	number	o	N;PL	DET
ended	ao	end	ao	V;IND;PST;FIN	PROPN
jones	jones	jone	jone	PROPN;SG	PROPN
israel	israel	israel	israel	PROPN;SG	PROPN
sister	a	sister	o	N;SG	DET
nine	nove	nine	nove		N
nine	9	nine	9		NUM
else	outro	else	outro	ADV	DET
else	outra	else	outro	ADV	DET
else	demais	else	demais	ADV	DET
else	cousa	else	cousa	ADV	N
unknown	descoñecido	unknown	descoñecido	ADJ	N
winner	gaña	winner	gaña	N;SG	V
chart	gráfica	chart	gráfico	N;SG	ADJ
chart	amosa	chart	amosar	N;SG	V
