oli	была	olema	быть	V;IND;SG;3;PST;FIN;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
toetas	поддерживается	toetama	поддерживать	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
toetas	поддерживаются	toetama	поддерживать	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;3;PRS;FIN;PASS
loss	касл	loss	касл	N;NOM;SG	PART
leiab	найдет	leidma	найти	V;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;FUT;FIN;ACT
silma	глаз	silm	глаз	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;MASC;SG
silma	око	silm	око	N;IN+ALL;LGSPEC1;SG	N;INAN;NOM;NEUT;SG
linnad	городах	linn	город	N;NOM;PL	N;INAN;ESS;MASC;PL
linnad	городов	linn	город	N;NOM;PL	N;INAN;GEN;MASC;PL
lõpeb	концы	lõppema	конец	V;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;MASC;PL
lõpeb	заканчивается	lõppema	заканчиваться	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
võtsid	забрала	võtma	забрать	V;IND;PL;3;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;ACT
võtsid	взял	võtma	брать	V;IND;PL;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
võtsid	забрал	võtma	забрать	V;IND;PL;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;ACT
muutunud	изменились	muutuma	измениться	V;PST;V.PTCP;ACT	V;PFV;IND;PL;PST;FIN;MID
muutunud	изменилась	muutuma	измениться	V;PST;V.PTCP;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
muutunud	изменился	muutuma	измениться	V;PST;V.PTCP;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
muutunud	изменилось	muutuma	измениться	V;PST;V.PTCP;ACT	V;PFV;NEUT;IND;SG;PST;FIN;MID
muutunud	изменено	muutuma	изменить	V;PST;V.PTCP;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
õige	вправо	õige	вправо	ADJ;NOM;SG	ADV
õige	исправить	õige	исправить	ADJ;NOM;SG	V;PFV;NFIN;ACT
black	чёрное	black	черный	N;NOM;SG	ADJ;NOM;NEUT;SG
black	черный	black	черный	N;NOM;SG	ADJ;NOM;MASC;SG
black	black	black	black	N;NOM;SG	PROPN
black	чёрные	black	черный	N;NOM;SG	ADJ;NOM;PL
black	чёрный	black	чёрный	N;NOM;SG	ADJ;NOM;MASC;SG
auto	машину	auto	машина	N;NOM;SG	N;INAN;ACC;FEM;SG
auto	car	auto	car	N;NOM;SG	PROPN
teksti	текста	tekst	текст	N;PRT;SG	N;INAN;GEN;MASC;SG
teksti	текст	tekst	текст	N;PRT;SG	N;INAN;NOM;MASC;SG
norras	норвегия	norrama	норвегия	N;IN+ESS;SG	N;INAN;NOM;FEM;SG
norras	норвегию	norrama	норвегия	N;IN+ESS;SG	N;INAN;ACC;FEM;SG
norras	норвегии	norrama	норвегия	N;IN+ESS;SG	N;INAN;NOM;FEM;PL
riigid	штатов	riik	штат	N;NOM;PL	N;INAN;GEN;MASC;PL
riigid	стран	riik	страна	N;NOM;PL	N;INAN;GEN;FEM;PL
õppima	учиться	õppima	учиться	V;IN+ALL;V.CVB;ACT	V;IPFV;NFIN;MID
õppima	учись	õppima	учиться	V;IN+ALL;V.CVB;ACT	V;IPFV;IMP;SG;2;FIN;MID
õppima	учитесь	õppima	учиться	V;IN+ALL;V.CVB;ACT	V;IPFV;IND;PL;2;PRS;FIN;MID
tekst	текста	tekst	текст	N;NOM;SG	N;INAN;GEN;MASC;SG
den	ден	den	день	N;NOM;SG	
sinine	blue	sinine	blue	ADJ;NOM;SG	PROPN
sinine	синие	sinine	синий	ADJ;NOM;SG	ADJ;NOM;PL
sinine	голубые	sinine	голубой	ADJ;NOM;SG	ADJ;NOM;PL
võim	power	võim	power	N;NOM;SG	PROPN
neljas	четвертой	neljas	четвертый	ADJ;NOM;SG	ADJ;INS;FEM;SG
noorem	младшая	noorem	младший	ADJ;NOM;CMPR;SG	ADJ;NOM;FEM;SG
loodus	характера	loodus	характер	N;NOM;SG	N;INAN;GEN;MASC;SG
moodustatud	сформированных	moodusta=tud	сформировать	ADJ;PST;V.PTCP;PASS	V;PFV;GEN;PL;PST;V.PTCP;PASS
moodustatud	сформирован	moodusta=tud	сформировать	ADJ;PST;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
moodustatud	сформировали	moodusta=tud	сформировать	ADJ;PST;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN;ACT
moodustatud	сформированные	moodusta=tud	сформировать	ADJ;PST;V.PTCP;PASS	V;PFV;NOM;PL;PST;V.PTCP;PASS
moodustatud	сформирована	moodusta=tud	сформировать	ADJ;PST;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
protsess	процесса	protsess	процесс	N;NOM;SG	N;INAN;GEN;MASC;SG
printsess	принцессы	printsess	принцесса	N;NOM;SG	N;ANIM;NOM;FEM;PL
sellised	такие	selline	такой	ADJ;NOM;PL	DET;NOM;PL
värvi	цвет	värv	цвет	N;PRT;SG	N;INAN;NOM;MASC;SG
värvi	цвета	värv	цвет	N;PRT;SG	N;INAN;NOM;MASC;PL
värvi	цвет	värv	цвет	N;PRT;SG	N;INAN;NOM;MASC;SG
värvi	цвета	värv	цвет	N;PRT;SG	N;INAN;NOM;MASC;PL
kaheksa	восьмой	kaheksa	восьмой	NUM;NOM;SG	ADJ;NOM;MASC;SG
kaheksa	eight	kaheksa	eight	NUM;NOM;SG	PROPN
kalle	склоне	kalle	склон	N;NOM;SG	N;INAN;ESS;MASC;SG
kiirus	скорости	kiirus	скорость	N;NOM;SG	N;INAN;NOM;FEM;PL
reinhold	райнхольд	reinhol	райнхольд	N;NOM;SG	ADV
lubatud	разрешено	lubatud	разрешить	ADJ;PST;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
lubatud	включено	lubatud	включить	ADJ;PST;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
lubatud	включена	lubatud	включить	ADJ;PST;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
lubatud	включен	lubatud	включить	ADJ;PST;V.PTCP;PASS	V;PFV;MASC;SG;PST;V.PTCP;PASS
lubatud	разрешены	lubatud	разрешить	ADJ;PST;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
lubatud	допускается	lubatud	допускать	ADJ;PST;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
lubatud	разрешено	lubatud	разрешить	ADJ;PST;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
lubatud	разрешена	lubatud	разрешить	ADJ;PST;V.PTCP;PASS	V;PFV;FEM;SG;PST;V.PTCP;PASS
lubatud	разрешены	lubatud	разрешить	ADJ;PST;V.PTCP;PASS	V;PFV;PL;PST;V.PTCP;PASS
lubatud	допускается	lubatud	допускать	ADJ;PST;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
lubatud	разрешено	lubatud	разрешить	ADJ;PST;V.PTCP;PASS	V;PFV;NEUT;SG;PST;V.PTCP;PASS
sarnane	похожие	sarnane	похожий	ADJ;NOM;SG	ADJ;NOM;PL
sarnane	аналогичные	sarnane	аналогичный	ADJ;NOM;SG	ADJ;NOM;PL
sarnane	схожие	sarnane	схожий	ADJ;NOM;SG	ADJ;NOM;PL
jõud	силы	jõud	сила	N;NOM;SG	N;INAN;NOM;FEM;PL
jõud	force	jõud	force	N;NOM;SG	PROPN
jõud	силу	jõud	сила	N;NOM;SG	N;INAN;ACC;FEM;SG
jõud	силы	jõud	сила	N;NOM;SG	N;INAN;NOM;FEM;PL
jõud	сил	jõud	сила	N;NOM;SG	N;INAN;GEN;FEM;PL
jõud	power	jõud	power	N;NOM;SG	PROPN
korra	однажды	kord	однажды	N;GEN;SG	ADV
korra	раз	kord	раз	N;GEN;SG	CONJ
põgenes	сбежали	põgenema	сбежать	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN;ACT
põgenes	бежали	põgenema	бежать	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;ACT
maetud	похоронили	matma	хоронить	V;PST;V.PTCP;PASS	V;PFV;IND;PL;PST;FIN;ACT
laiali	разбросаны	laiali	разбросить	ADV	V;PFV;PL;PST;V.PTCP;PASS
laiali	разойтись	laiali	разойтись	ADV	V;PFV;NFIN;MID
laiali	разгона	laiali	разгон	ADV	N;INAN;GEN;MASC;SG
koosnes	состояли	koosnema	состоять	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;ACT
nsvl	ссср	nsvl	ссср		PROPN;INAN;NOM;MASC;SG
selge	очистить	selge	очистить	ADJ;NOM;SG	V;PFV;NFIN;ACT
selge	чисто	selge	чисто	ADJ;NOM;SG	ADV
liitus	присоединилась	liituma	присоединиться	V;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;IND;SG;PST;FIN;MID
liitus	присоединился	liituma	присоединиться	V;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;IND;SG;PST;FIN;MID
liitus	присоединились	liituma	присоединиться	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN;MID
california	калифорнии	california	калифорния	N;NOM;SG	N;INAN;NOM;FEM;PL
ruumi	пространство	ruum	пространство	N;PRT;SG	N;INAN;NOM;NEUT;SG
ruumi	космической	ruum	космический	N;PRT;SG	ADJ;INS;FEM;SG
ruumi	космос	ruum	космос	N;PRT;SG	N;INAN;NOM;MASC;SG
ruumi	space	ruum	space	N;PRT;SG	PROPN
paar	пара	paar	пара	NUM;NOM;SG	N;INAN;NOM;FEM;SG
paar	пара	paar	пара	NUM;NOM;SG	N;INAN;NOM;FEM;SG
paar	парочку	paar	парочка	NUM;NOM;SG	N;INAN;ACC;FEM;SG
paar	пару	paar	пара	NUM;NOM;SG	N;INAN;ACC;FEM;SG
paar	парочка	paar	парочка	NUM;NOM;SG	N;INAN;NOM;FEM;SG
temperatuur	температуры	temperatuur	температура	N;NOM;SG	N;INAN;NOM;FEM;PL
temperatuur	температуру	temperatuur	температура	N;NOM;SG	N;INAN;ACC;FEM;SG
järgmine	далее	järgmine	далее	ADJ;NOM;SG	ADV
järgmine	next	järgmine	next	ADJ;NOM;SG	PROPN
teadus	науки	teadus	наука	N;NOM;SG	N;INAN;NOM;FEM;PL
ekspress	express	ekspress	express	N;NOM;SG	PROPN
ekspress	выразить	ekspress	выразить	N;NOM;SG	V;PFV;NFIN;ACT
tugev	сильные	tugev	сильный	ADJ;NOM;SG	ADJ;NOM;PL
noor	янг	noor	янг	ADJ;NOM;SG	N;ANIM;NOM;MASC;SG
noor	молодые	noor	молодой	ADJ;NOM;SG	ADJ;NOM;PL
noor	young	noor	young	ADJ;NOM;SG	PROPN
noor	молодых	noor	молодой	ADJ;NOM;SG	ADJ;GEN;PL
noor	нур	noor	нура	ADJ;NOM;SG	PART
häält	голос	hääl	голос	N;PRT;SG	N;INAN;NOM;MASC;SG
lahti	лахти	lahti	лахть	ADV	N;INAN;NOM;FEM;SG
protsessi	процесса	protsess	процесс	N;PRT;SG	N;INAN;GEN;MASC;SG
protsessi	процесс	protsess	процесс	N;PRT;SG	N;INAN;NOM;MASC;SG
mälu	памяти	mälu	память	N;NOM;SG	N;INAN;GEN;FEM;SG
mäe	горы	mägi	гора	N;NOM;SG	N;INAN;NOM;FEM;PL
mäe	горный	mägi	горный	N;NOM;SG	ADJ;NOM;MASC;SG
mäe	горных	mägi	горный	N;NOM;SG	ADJ;GEN;PL
max	max	max	max	N;NOM;SG	PROPN
max	макс	max	макс	N;NOM;SG	
delfi	delphi	delf	delphi	N;NOM;SG	PROPN
delfi	delfi	delf	delfi	N;NOM;SG	PROPN
ajalooline	исторические	aja_looline	исторический	ADJ;NOM;SG	ADJ;NOM;PL
ajalooline	исторической	aja_looline	исторический	ADJ;NOM;SG	ADJ;INS;FEM;SG
ajalooline	исторических	aja_looline	исторический	ADJ;NOM;SG	ADJ;GEN;PL
ajalooline	исторические	aja_looline	исторический	ADJ;NOM;SG	ADJ;NOM;PL
tavaline	регулярные	tavaline	регулярный	ADJ;NOM;SG	ADJ;NOM;PL
tavaline	регулярного	tavaline	регулярный	ADJ;NOM;SG	ADJ;GEN;MASC;SG
kinnitatud	подтверждаю	kinnitama	подтверждать	V;PST;V.PTCP;PASS	V;IPFV;IND;SG;1;PRS;FIN;ACT
tähistab	празднование	tähistama	празднование	V;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
leht	страницу	leht	страница	N;NOM;SG	N;INAN;ACC;FEM;SG
leht	page	leht	page	N;NOM;SG	PROPN
leht	страницы	leht	страница	N;NOM;SG	N;INAN;NOM;FEM;PL
mäng	game	mäng	game	N;NOM;SG	PROPN
paiku	иш	paiku	иш	ADV	
enamus	наиболее	enamus	наиболее	N;NOM;SG	ADV
kiire	быстро	kiire	быстро	ADJ;NOM;SG	ADV
kiire	срочно	kiire	срочно	ADJ;NOM;SG	ADV
kiire	быстро	kiire	быстро	ADJ;NOM;SG	ADV
matemaatika	математике	matemaatika	математика	N;NOM;SG	N;INAN;DAT;FEM;SG
matemaatika	математики	matemaatika	математика	N;NOM;SG	N;ANIM;NOM;MASC;PL
grand	гран	grand	гран	N;NOM;SG	
grand	штук	grand	штука	N;NOM;SG	N;INAN;GEN;FEM;PL
grand	гранд	grand	гранд	N;NOM;SG	
grand	grand	grand	grand	N;NOM;SG	PROPN
madal	мелко	madal	мелко	ADJ;NOM;SG	ADV
madal	низко	madal	низко	ADJ;NOM;SG	ADV
madal	низким	madal	низкий	ADJ;NOM;SG	ADJ;INS;NEUT;SG
air	air	air	air	N;NOM;SG	PROPN
rekord	записать	rekord	записать	N;NOM;SG	V;PFV;NFIN;ACT
rekord	записывать	rekord	записывать	N;NOM;SG	V;IPFV;NFIN;ACT
ühendus	содружества	ühendus	содружество	N;NOM;SG	N;INAN;NOM;NEUT;PL
ühendus	связать	ühendus	связать	N;NOM;SG	V;PFV;NFIN;ACT
ühendus	подключиться	ühendus	подключиться	N;NOM;SG	V;PFV;NFIN;MID
ühendus	общины	ühendus	община	N;NOM;SG	N;INAN;NOM;FEM;PL
ühendus	сообщества	ühendus	сообщество	N;NOM;SG	N;INAN;NOM;NEUT;PL
lubas	обещали	lubama	обещать	V;IND;SG;3;PST;FIN;ACT	V;IPFV;IND;PL;PST;FIN;ACT
vaade	посмотреть	vaade	смотреть	N;NOM;SG	V;PFV;NFIN;ACT
vaade	просмотреть	vaade	просмотреть	N;NOM;SG	V;PFV;NFIN;ACT
karjääri	карьера	karjäär	карьера	N;PRT;SG	N;INAN;NOM;FEM;SG
karjääri	карьеры	karjäär	карьера	N;PRT;SG	N;INAN;NOM;FEM;PL
karjääri	карьера	karjäär	карьера	N;PRT;SG	N;INAN;NOM;FEM;SG
karjääri	карьеры	karjäär	карьера	N;PRT;SG	N;INAN;NOM;FEM;PL
iiri	ирландец	iiri	ирландец	ADJ	N;ANIM;NOM;MASC;SG
iiri	ирландии	iiri	ирландия	ADJ	N;INAN;NOM;FEM;PL
tulemus	итоги	tulemus	итог	N;NOM;SG	N;INAN;NOM;MASC;PL
põhjustab	причины	põhjustama	причина	V;IND;SG;3;PRS;FIN;ACT	N;INAN;NOM;FEM;PL
põhjustab	причин	põhjustama	причина	V;IND;SG;3;PRS;FIN;ACT	N;INAN;GEN;FEM;PL
ühenduse	связь	ühendus	связь	N;GEN;SG	N;INAN;NOM;FEM;SG
ühenduse	подключение	ühendus	подключение	N;GEN;SG	N;INAN;NOM;NEUT;SG
ühenduse	соединение	ühendus	соединение	N;GEN;SG	N;INAN;NOM;NEUT;SG
suhe	взаимоотношения	suhe	взаимоотношение	N;NOM;SG	N;INAN;NOM;NEUT;PL
suhe	отношения	suhe	отношение	N;NOM;SG	N;INAN;NOM;NEUT;PL
kasvavad	растет	kasvama	расти	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
kasvavad	растущий	kasvama	расти	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
kasvavad	растущей	kasvama	расти	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;INS;FEM;SG;PRS;V.PTCP;ACT
kasvavad	растущая	kasvama	расти	V;IND;PL;3;PRS;FIN;ACT	V;IPFV;NOM;FEM;SG;PRS;V.PTCP;ACT
kujutatud	изображается	kujuta=tud	изображать	V;PST;V.PTCP;PASS	V;IPFV;IND;SG;3;PRS;FIN;PASS
väikesed	маленькая	väike	маленький	ADJ;NOM;PL	ADJ;NOM;FEM;SG
väikesed	малых	väike	малый	ADJ;NOM;PL	ADJ;GEN;PL
väikesed	маленький	väike	маленький	ADJ;NOM;PL	ADJ;NOM;MASC;SG
pere	семейное	pere	семейный	N;NOM;SG	ADJ;NOM;NEUT;SG
pere	семьи	pere	семья	N;NOM;SG	N;INAN;NOM;FEM;PL
pere	родные	pere	родной	N;NOM;SG	ADJ;NOM;PL
kunst	arts	kunst	arts	N;NOM;SG	PROPN
kunst	арт	kunst	арт	N;NOM;SG	ADV
kunst	art	kunst	art	N;NOM;SG	PROPN
lasti	груз	laskma	груз	V;IND;PST;FIN;PASS	N;INAN;NOM;MASC;SG
lasti	грузов	laskma	груз	V;IND;PST;FIN;PASS	N;INAN;GEN;MASC;PL
lasti	грузы	laskma	груз	V;IND;PST;FIN;PASS	N;INAN;NOM;MASC;PL
korraldatud	организовал	korraldama	организовывать	V;PST;V.PTCP;PASS	V;PFV;MASC;IND;SG;PST;FIN;ACT
teadmata	неизвестное	teadma	неизвестный	V;PRIV;V.CVB;ACT	ADJ;NOM;NEUT;SG
teadmata	неизвестный	teadma	неизвестный	V;PRIV;V.CVB;ACT	ADJ;NOM;MASC;SG
teadmata	неизвестно	teadma	неизвестный	V;PRIV;V.CVB;ACT	ADJ;NEUT;SG
teadmata	неизвестная	teadma	неизвестный	V;PRIV;V.CVB;ACT	ADJ;NOM;FEM;SG
teadmata	неизвестен	teadma	неизвестный	V;PRIV;V.CVB;ACT	ADJ;MASC;SG
liitu	присоединиться	liit	присоединиться	N;IN+ALL;LGSPEC1;SG	V;PFV;NFIN;MID
liitu	присоединяйтесь	liit	присоединяться	N;IN+ALL;LGSPEC1;SG	V;IPFV;IMP;PL;2;FIN;MID
rahvas	толпы	rahvas	толпа	N;NOM;SG	N;INAN;NOM;FEM;PL
rahvas	людей	rahvas	человек	N;NOM;SG	N;ANIM;GEN;MASC;PL
rahvas	люди	rahvas	человек	N;NOM;SG	N;ANIM;NOM;MASC;PL
võime	умение	võima	умение	V;IND;PL;1;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
võime	способность	võima	способность	V;IND;PL;1;PRS;FIN;ACT	N;INAN;NOM;FEM;SG
kood	code	kood	code	N;NOM;SG	PROPN
lisa	лиза	lisa	лиз	V;IMP;SG;2;PRS;FIN;ACT	N;ANIM;NOM;FEM;SG
lisa	лиса	lisa	лисо	V;IMP;SG;2;PRS;FIN;ACT	N;ANIM;NOM;FEM;SG
lisa	добавьте	lisa	добавить	V;IMP;SG;2;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN;ACT
lisa	приложение	lisa	приложение	V;IMP;SG;2;PRS;FIN;ACT	N;INAN;NOM;NEUT;SG
cambridge	кембридж	cambridge	кембридж	N;NOM;PL	N;INAN;NOM;MASC;SG
laps	детский	laps	детский	N;NOM;SG	ADJ;NOM;MASC;SG
laps	ребенка	laps	ребенок	N;NOM;SG	N;ANIM;ACC;MASC;SG
kommunistliku	коммунистическая	kommunistlik	коммунистический	ADJ;GEN;SG	ADJ;NOM;FEM;SG
kindel	конечно	kindel	конечно	ADJ;NOM;SG	ADV
preisi	прусской	preis	прусский	N;NOM;SG	ADJ;INS;FEM;SG
life	life	life	life	N;NOM;SG	PROPN
life	жизни	life	жизнь	N;NOM;SG	N;INAN;NOM;FEM;PL
windows	windows	windows	windows	N;NOM;SG	PROPN
windows	окна	windows	окно	N;NOM;SG	N;INAN;NOM;NEUT;PL
vangi	заключенный	vang	заключенный	N;IN+ALL;LGSPEC1;SG	N;ANIM;NOM;MASC;SG
vangi	заключённый	vang	заключённый	N;IN+ALL;LGSPEC1;SG	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
pihkva	псков	pihkev	псков	ADJ	N;INAN;NOM;MASC;SG
vorm	форме	vorm	форма	N;NOM;SG	N;INAN;DAT;FEM;SG
vorm	форму	vorm	форма	N;NOM;SG	N;INAN;ACC;FEM;SG
naised	женщин	naine	женщина	N;NOM;PL	N;ANIM;GEN;FEM;PL
roman	римская	roman	римский	N;NOM;SG	ADJ;NOM;FEM;SG
ründaja	нападавшего	ründaja	нападать	N;NOM;SG	V;PFV;ACC;MASC;SG;PST;V.PTCP;ACT
peamised	основная	peamine	основной	ADJ;NOM;PL	ADJ;NOM;FEM;SG
peamised	главная	peamine	главный	ADJ;NOM;PL	ADJ;NOM;FEM;SG
peamised	основных	peamine	основной	ADJ;NOM;PL	ADJ;GEN;PL
päikese	солнечной	päike	солнечный	N;GEN;SG	ADJ;INS;FEM;SG
päikese	солнечное	päike	солнечный	N;GEN;SG	ADJ;NOM;NEUT;SG
päikese	солнечные	päike	солнечный	N;GEN;SG	ADJ;NOM;PL
päikese	солнечная	päike	солнечный	N;GEN;SG	ADJ;NOM;FEM;SG
projekt	project	projekt	project	N;NOM;SG	PROPN
projekt	проекта	projekt	проект	N;NOM;SG	N;INAN;GEN;MASC;SG
teed	дорог	tee	дорога	N;PRT;SG	N;INAN;GEN;FEM;SG
teed	дороги	tee	дорога	N;PRT;SG	N;INAN;NOM;FEM;PL
teed	чаю	tee	чай	N;PRT;SG	N;INAN;DAT;MASC;SG
teed	чая	tee	чай	N;PRT;SG	N;INAN;GEN;MASC;SG
teed	чай	tee	чай	N;PRT;SG	N;INAN;NOM;MASC;SG
lihtne	простые	lihtne	простой	ADJ;NOM;SG	ADJ;NOM;PL
lihtne	полегче	lihtne	легкий	ADJ;NOM;SG	ADJ;CMPR
lihtne	легче	lihtne	легкий	ADJ;NOM;SG	ADJ;CMPR
pärnus	пярну	pärnus	пярно	N;IN+ESS;SG	N;INAN;NOM;MASC;SG
aitas	помогли	aitama	помочь	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN;ACT
põhjamaade	северных	põhja_maa	северный	N;GEN;PL	ADJ;GEN;PL
erinev	разные	erinev	разный	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;NOM;PL
erinev	различных	erinev	различный	ADJ;NOM;SG;PRS;V.PTCP;ACT	ADJ;GEN;PL
juhitud	led	juhtima	led	V;PST;V.PTCP;PASS	PROPN
ostis	купили	ostma	купить	V;IND;SG;3;PST;FIN;ACT	V;PFV;IND;PL;PST;FIN;ACT
lai	широкие	lai	широкий	ADJ;NOM;SG	ADJ;NOM;PL
lai	широкого	lai	широкий	ADJ;NOM;SG	ADJ;GEN;MASC;SG
lai	лай	lai	лай	ADJ;NOM;SG	N;INAN;NOM;MASC;SG
relvastatud	вооруженный	relvasta=tud	вооружить	ADJ;PST;V.PTCP;PASS	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
relvastatud	вооруженная	relvasta=tud	вооружить	ADJ;PST;V.PTCP;PASS	V;PFV;NOM;FEM;SG;PST;V.PTCP;PASS
relvastatud	вооруженных	relvasta=tud	вооружить	ADJ;PST;V.PTCP;PASS	V;PFV;GEN;PL;PST;V.PTCP;PASS
pildi	картинка	pilt	картинка	N;GEN;SG	N;INAN;NOM;FEM;SG
pildi	фотография	pilt	фотография	N;GEN;SG	N;INAN;NOM;FEM;SG
pildi	фотка	pilt	фотка	N;GEN;SG	N;INAN;NOM;FEM;SG
pildi	имидж	pilt	имидж	N;GEN;SG	N;INAN;NOM;MASC;SG
pildi	картинка	pilt	картинка	N;GEN;SG	N;INAN;NOM;FEM;SG
pildi	образ	pilt	образ	N;GEN;SG	N;INAN;NOM;MASC;SG
pildi	изображения	pilt	изображение	N;GEN;SG	N;INAN;NOM;NEUT;PL
pildi	изображение	pilt	изображение	N;GEN;SG	N;INAN;NOM;NEUT;SG
avastas	обнаружен	avastama	обнаружить	V;IND;SG;3;PST;FIN;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
avastas	обнаружена	avastama	обнаружить	V;IND;SG;3;PST;FIN;ACT	V;PFV;FEM;SG;PST;V.PTCP;PASS
avastas	обнаружено	avastama	обнаружить	V;IND;SG;3;PST;FIN;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
avastas	обнаруженные	avastama	обнаружить	V;IND;SG;3;PST;FIN;ACT	V;PFV;NOM;PL;PST;V.PTCP;PASS
kitarr	гитару	kitarr	гитара	N;NOM;SG	N;INAN;ACC;FEM;SG
kitarr	гитары	kitarr	гитара	N;NOM;SG	N;INAN;NOM;FEM;PL
smith	смита	smith	смита	N;NOM;SG	N;ANIM;ACC;MASC;SG
tundub	кажется	tunduma	казаться	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
tundub	чувствуется	tunduma	чувствоваться	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;PASS
bänd	band	bänd	band	N;NOM;SG	PROPN
arenenud	развитые	arenenud	развить	ADJ;PST;V.PTCP;ACT	V;PFV;NOM;PL;PST;V.PTCP;PASS
arenenud	разработан	arenenud	разработать	ADJ;PST;V.PTCP;ACT	V;PFV;MASC;SG;PST;V.PTCP;PASS
arenenud	разработано	arenenud	разработать	ADJ;PST;V.PTCP;ACT	V;PFV;NEUT;SG;PST;V.PTCP;PASS
arenenud	развитых	arenenud	развить	ADJ;PST;V.PTCP;ACT	V;PFV;GEN;PL;PST;V.PTCP;PASS
arenenud	эволюционировали	arenenud	эволюционировать	ADJ;PST;V.PTCP;ACT	V;IPFV;IND;PL;PST;FIN;ACT
arenenud	расширенный	arenenud	расширить	ADJ;PST;V.PTCP;ACT	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
valik	отбора	valik	отбор	N;NOM;SG	N;INAN;GEN;MASC;SG
lõpp	конце	lõpp	конец	N;NOM;SG	N;INAN;ESS;MASC;SG
lõpp	end	lõpp	end	N;NOM;SG	PROPN
lehed	листьев	leht	лист	N;NOM;PL	N;INAN;GEN;MASC;PL
lehed	оставляет	leht	оставлять	N;NOM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
lehed	страниц	leht	страница	N;NOM;PL	N;INAN;GEN;FEM;PL
lehed	листов	leht	лист	N;NOM;PL	N;INAN;GEN;MASC;PL
ain	айн	ain	айн	N;NOM;SG	INTJ
objekti	предмет	objekt	предмет	N;PRT;SG	N;INAN;NOM;MASC;SG
objekti	объект	objekt	объект	N;PRT;SG	N;INAN;NOM;MASC;SG
objekti	объекта	objekt	объект	N;PRT;SG	N;INAN;GEN;MASC;SG
esindajad	представителям	esindaja	представитель	N;NOM;PL	N;ANIM;DAT;MASC;PL
esindajad	представителей	esindaja	представитель	N;NOM;PL	N;ANIM;ACC;MASC;PL
viitab	ссылается	viitama	ссылаться	V;IND;SG;3;PRS;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;MID
don	don	don	don	N;NOM;SG	PROPN
don	дону	don	дон	N;NOM;SG	N;INAN;DAT;MASC;SG
keeled	языках	keel	язык	N;NOM;PL	N;INAN;ESS;MASC;PL
