月	moon	月	moon	N	PROPN;ANIM;NOM;MASC;SG
改變	zmena	改變	zmena	V	N;NOM;FEM;SG
廣場	štvorcový	廣場	štvorcový	N	ADJ;INAN;NOM;MASC;SG
廣場	štvorcových	廣場	štvorcový	N	ADJ;GEN;MASC;PL
廣場	piazza	廣場	piazzať	N	INTJ
大西	atlantiku	大西	atlantika	PROPN	N;INAN;GEN;MASC;SG
大西	atlantic	大西	atlantica	PROPN	N;INAN;NOM;MASC;SG
大西	atlantický	大西	atlantický	PROPN	ADJ;ANIM;NOM;MASC;SG
大西	atlantik	大西	atlantik	PROPN	N;INAN;NOM;MASC;SG
聯邦	federálny	聯邦	federálny	N	ADJ;INAN;NOM;MASC;SG
聯邦	federálne	聯邦	federálne	N	ADJ;NOM;NEUT;SG
聯邦	federálna	聯邦	federálny	N	ADJ;NOM;FEM;SG
土耳其	turecko	土耳其	turecko	PROPN	ADV
土耳其	moriak	土耳其	moriak	PROPN	N;ANIM;NOM;MASC;SG
土耳其	turecku	土耳其	turecko	PROPN	N;DAT;MASC;SG
土耳其	turecka	土耳其	turecko	PROPN	N;NOM;FEM;SG
酸	kyslé	酸	kyslý	N	ADJ;NOM;NEUT;SG
酸	kyslý	酸	kyslý	N	ADJ;INAN;NOM;MASC;SG
酸	kyslý	酸	kyslý	N	ADJ;INAN;NOM;MASC;SG
外交	diplomatický	外交	diplomatický	N	ADJ;INAN;NOM;MASC;SG
外交	diplomatické	外交	diplomatický	N	ADJ;NOM;NEUT;SG
說明	popis	說明	popis	V	N;INAN;NOM;MASC;SG
說明	opis	說明	opis	V	N;INAN;NOM;MASC;SG
連續	nepretržitá	連續	nepretržitý	ADV	ADJ;NOM;FEM;SG
連續	priebežné	連續	priebežný	ADV	ADJ;NOM;NEUT;SG
連續	nepretržitý	連續	nepretržitý	ADV	ADJ;INAN;NOM;MASC;SG
連續	nepretržité	連續	pretržitý	ADV	ADJ;NOM;NEUT;SG
連續	kontinuum	連續	kontinuum	ADV	N;NOM;NEUT;SG
晚	neskorý	晚	neskorý	N	ADJ;INAN;NOM;MASC;SG
晚	neskoro	晚	neskoro	N	ADV
晚	oneskorené	晚	oneskorený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
晚	neskoré	晚	neskorý	N	ADJ;NOM;NEUT;SG
輪	okrúhle	輪	okrúhle	N	ADJ;NOM;NEUT;PL
輪	okrúhly	輪	okrúhly	N	ADJ;INAN;NOM;MASC;SG
記錄	zaznamenanie	記錄	zaznamenanie	V	N;NOM;NEUT;SG
記錄	záznam	記錄	záznam	V	N;INAN;NOM;MASC;SG
記錄	zaznamenávanie	記錄	zaznamenávanie	V	N;NOM;NEUT;SG
記錄	nahrávanie	記錄	nahrávanie	V	N;NOM;NEUT;SG
記錄	záznam	記錄	záznam	V	N;INAN;NOM;MASC;SG
記錄	nahrávanie	記錄	nahrávanie	V	N;NOM;NEUT;SG
記錄	záznamy	記錄	záznam	V	N;INAN;NOM;MASC;PL
記錄	záznamov	記錄	záznam	V	N;INAN;GEN;MASC;PL
記錄	platne	記錄	platňa	V	N;NOM;FEM;PL
記錄	records	記錄	records	V	
作戰	bojové	作戰	bojový	V	ADJ;NOM;NEUT;SG
作戰	boj	作戰	boj	V	N;INAN;NOM;MASC;SG
寫	písanie	寫	písanie	V	N;NOM;NEUT;SG
地理	geografický	地理	geografický	N	ADJ;INAN;NOM;MASC;SG
地理	geografická	地理	geografický	N	ADJ;NOM;FEM;SG
地理	zemepisné	地理	zemepisný	N	ADJ;NOM;NEUT;SG
地理	geografické	地理	geografický	N	ADJ;NOM;NEUT;SG
姜	kang	姜	kang	PROPN	PROPN;ANIM;NOM;MASC;SG
姜	jiang	姜	jiang	PROPN	PROPN;ANIM;NOM;MASC;SG
姜	ginger	姜	ginger	PROPN	N;NOM;FEM;SG
最近	nedávno	最近	nedávno	N	ADV
最近	najnovšie	最近	mový	N	ADV;RL
最近	posledných	最近	posledný	N	ADJ;GEN;MASC;PL
最近	posledné	最近	posledný	N	ADJ;NOM;NEUT;SG
最近	nedávny	最近	nedávny	N	ADJ;INAN;NOM;MASC;SG
最近	nedávne	最近	nedávne	N	ADJ;NOM;NEUT;SG
最近	nedávna	最近	nedávny	N	ADJ;NOM;FEM;SG
咸	slané	咸	slaný	PROPN	ADJ;NOM;NEUT;PL
秘密	tajný	秘密	tajný	N	ADJ;ANIM;NOM;MASC;SG
秘密	tajná	秘密	tajný	N	ADJ;NOM;FEM;SG
秘密	tajné	秘密	tajný	N	ADJ;NOM;NEUT;SG
變	zmena	變	zmena	V	N;NOM;FEM;SG
開放	otvorenosť	開放	otvorenosť	V	N;NOM;FEM;SG
開放	otvorenosti	開放	otvorenosť	V	N;NOM;FEM;SG
開放	open	開放	open	V	
開放	otvorené	開放	otvorený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
開放	otvorená	開放	otvorený	V	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
主持	moderátor	主持	moderátor	V	N;ANIM;NOM;MASC;SG
主持	sprostredkovateľ	主持	sprostredkovateľ	V	N;ANIM;NOM;MASC;SG
主持	hosť	主持	hosť	V	N;ANIM;NOM;MASC;SG
主持	hostiteľskej	主持	hostiteľský	V	ADJ;GEN;FEM;SG
主持	hostiteľa	主持	hostiteľ	V	N;ANIM;ACC;MASC;SG
主持	host	主持	host	V	N;INAN;NOM;MASC;SG
主持	hostiteľ	主持	hostiteľ	V	N;ANIM;NOM;MASC;SG
移民	prisťahovalcom	移民	prisťahovalec	V	N;ANIM;DAT;MASC;PL
移民	prisťahovalcov	移民	prisťahovalec	V	N;ANIM;ACC;MASC;PL
移民	prisťahovalci	移民	prisťahovalec	V	N;ANIM;NOM;MASC;PL
移民	imigrantov	移民	imigrant	V	N;ANIM;GEN;MASC;PL
移民	emigrácia	移民	emigrácia	V	N;NOM;FEM;SG
移民	migranti	移民	migrant	V	N;ANIM;NOM;MASC;PL
移民	migrantov	移民	migrant	V	N;ANIM;GEN;MASC;PL
移民	prisťahovalectva	移民	prisťahovalectvo	V	N;NOM;NEUT;PL
移民	prisťahovalectvo	移民	prisťahovalectvo	V	N;NOM;NEUT;SG
移民	migráciu	移民	migrácia	V	N;ACC;FEM;SG
移民	migrácie	移民	migrácia	V	N;NOM;FEM;PL
移民	prechod	移民	prechod	V	N;INAN;NOM;MASC;SG
移民	migrácia	移民	migrácia	V	N;NOM;FEM;SG
運輸	dopravné	運輸	dopravný	N	ADJ;NOM;NEUT;SG
背	chrbát	背	chrbát		N;INAN;NOM;MASC;SG
背	späť	背	späť		ADV
背	back	背	back		PROPN;ANIM;VOC;MASC;SG
背	naspäť	背	naspäť		ADV
第八	ôsmej	第八	ôsmy	NUM	ADJ;GEN;FEM;SG
第八	ôsmy	第八	oso	NUM	ADJ;INAN;NOM;MASC;SG
第八	ôsma	第八	ôsmo	NUM	ADJ;NOM;FEM;SG
演唱	koncerte	演唱	koncert	V	N;INAN;NOM;MASC;SG
演唱	koncert	演唱	koncert	V	N;INAN;NOM;MASC;SG
演唱	koncertov	演唱	koncert	V	N;INAN;GEN;MASC;PL
演唱	koncerty	演唱	koncert	V	N;INAN;NOM;MASC;PL
錫	tin	錫	tin	PROPN	PROPN;ANIM;NOM;MASC;SG
錫	cínu	錫	cín	PROPN	N;INAN;GEN;MASC;SG
頂	horný	頂	horný	N	ADJ;ANIM;NOM;MASC;SG
頂	top	頂	top	N	PROPN;ANIM;NOM;MASC;SG
頂	horná	頂	horný	N	ADJ;NOM;FEM;SG
柏林	berlin	柏林	berlin	PROPN	PROPN;ANIM;NOM;MASC;SG
柏林	berlíne	柏林	berlín	PROPN	ADV
柏林	berlín	柏林	berlina	PROPN	N;NOM;MASC;SG
三	three	三	three	NUM	
今天	dneska	今天	dnesk	N	INTJ
今天	today	今天	todať	N	INTJ
今天	dnes	今天	dnes	N	ADV
今天	dnešné	今天	dnešný	N	ADJ;NOM;NEUT;SG
親	kiss	親	kiss	N	PROPN;ANIM;NOM;MASC;SG
親	pobozkať	親	pobozkať	N	V;PFV;POS;NFIN
加州	kalifornii	加州	kalifornie	PROPN	PROPN;NOM;FEM;SG
加州	california	加州	californie	PROPN	N;NOM;FEM;SG
加州	kalifornia	加州	kalifornie	PROPN	N;NOM;FEM;SG
北方	severný	北方	severný	N	ADJ;ANIM;NOM;MASC;SG
北方	severné	北方	severný	N	ADJ;NOM;NEUT;SG
北方	severná	北方	severný	N	ADJ;NOM;FEM;SG
北方	severný	北方	severný	N	ADJ;ANIM;NOM;MASC;SG
北方	severnej	北方	severný	N	ADJ;GEN;FEM;SG
北方	severné	北方	severný	N	ADJ;NOM;NEUT;SG
北方	severná	北方	severný	N	ADJ;NOM;FEM;SG
北方	severnom	北方	severný	N	ADJ;ESS;NEUT;SG
活躍	aktívneho	活躍	aktívny	N	ADJ;GEN;NEUT;SG
活躍	aktívne	活躍	aktívne	N	ADV
活躍	aktívni	活躍	aktívny	N	ADJ;ANIM;NOM;MASC;PL
活躍	aktívny	活躍	aktívny	N	ADJ;ANIM;NOM;MASC;SG
活躍	aktívna	活躍	aktívny	N	ADJ;NOM;FEM;SG
首播	premiéra	首播	premiéra	V	N;NOM;FEM;SG
首播	premiéru	首播	premiéra	V	N;ACC;FEM;SG
業務	obchodné	業務	obchodný	N	ADJ;NOM;NEUT;SG
射	zastreliť	射	zastreliť	N	V;PFV;POS;NFIN
射	strieľať	射	strieľať	N	V;IPFV;POS;NFIN
啟	kai	啟	kai	ADP	PROPN;ANIM;NOM;MASC;SG
極	polárne	極	polárne		ADJ;NOM;NEUT;PL
極	extrémne	極	extrémne		ADV
極	krajne	極	krajne		ADV
極	mimoriadne	極	mimoriadne		ADV
野	wild	野	wild	PROPN	PROPN;ANIM;NOM;MASC;SG
野	divé	野	divý	PROPN	ADJ;NOM;NEUT;SG
野	divá	野	divý	PROPN	ADJ;NOM;FEM;SG
野	divoký	野	divoký	PROPN	ADJ;ANIM;NOM;MASC;SG
野	voľne	野	voľne	PROPN	ADV
投資	investovať	投資	investovať	N	V;IPFV;POS;NFIN
投資	investujú	投資	investovať	N	V;IPFV;IND;PL;3;POS;PRS;FIN
海洋	ocean	海洋	ocean	N	PROPN;ANIM;NOM;MASC;SG
類型	napíšte	類型	napísiť	N	V;PFV;IMP;PL;2;POS;FIN
錯誤	nesprávna	錯誤	správny	N	ADJ;NOM;FEM;SG
錯誤	zle	錯誤	zle	N	ADV
錯誤	nesprávne	錯誤	nesprávny	N	ADV
錯誤	nesprávny	錯誤	nesprávny	N	ADJ;INAN;NOM;MASC;SG
健康	zdravý	健康	zdravý	N	ADJ;ANIM;NOM;MASC;SG
健康	zdravá	健康	zdravý	N	ADJ;NOM;FEM;SG
健康	zdravo	健康	zdravo	N	ADV
健康	zdravé	健康	zdravý	N	ADJ;NOM;NEUT;SG
健康	zdravotné	健康	zdravotný	N	ADJ;NOM;NEUT;SG
股	unit	股	unit	N	PROPN;ANIM;NOM;MASC;SG
熱	horúci	熱	horúci	PART	N;INAN;NOM;MASC;SG
熱	sexi	熱	sexi	PART	N;NOM;FEM;SG
熱	hot	熱	hot	PART	
熱	horúca	熱	horúci	PART	ADJ;NOM;FEM;SG
熱	horúce	熱	horúci	PART	ADJ;NOM;NEUT;PL
熱	tepla	熱	tepnúť	PART	N;NOM;NEUT;SG
熱	teplo	熱	teplo	PART	N;NOM;NEUT;SG
熱	horúčavy	熱	horúčava	PART	N;NOM;FEM;PL
空中	letecké	空中	letecký	N	ADJ;NOM;NEUT;SG
空中	vzdušné	空中	vzdušný	N	ADJ;NOM;NEUT;SG
空中	leteckých	空中	letecký	N	ADJ;GEN;MASC;PL
空中	air	空中	air	N	PROPN;ANIM;NOM;MASC;SG
工人	pracujúcich	工人	pracujúci	N	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;ACT
輕	ľahký	輕	ľahký		ADJ;INAN;NOM;MASC;SG
輕	svetlo	輕	svetlo		N;NOM;NEUT;SG
輕	svetla	輕	svetlo		N;NOM;NEUT;PL
輕	zapaľovač	輕	zapaľovač		N;INAN;NOM;MASC;SG
輕	ľahšia	輕	ľahký		ADJ;NOM;CMPR;FEM;SG
輕	ľahší	輕	ľahký		ADJ;ANIM;NOM;CMPR;MASC;SG
經常	pravidelné	經常	pravidelný	ADV	ADJ;NOM;NEUT;SG
經常	pravidelná	經常	pravidelný	ADV	ADJ;NOM;FEM;SG
經常	pravidelný	經常	pravidelný	ADV	ADJ;ANIM;NOM;MASC;SG
經常	casto	經常	casto	ADV	INTJ
臺	terasa	臺	terasa	PROPN	N;NOM;FEM;SG
滿	plné	滿	plný	PROPN	ADJ;NOM;NEUT;SG
滿	plná	滿	plný	PROPN	ADJ;NOM;FEM;SG
滿	plnú	滿	plný	PROPN	N;ACC;FEM;SG
滿	full	滿	full	PROPN	
滿	plný	滿	plný	PROPN	N;INAN;NOM;MASC;SG
負	negatívne	負	negatívne		ADV
負	negatívna	負	gatívny		ADJ;NOM;FEM;SG
負	negatívny	負	negatívny		ADJ;INAN;NOM;MASC;SG
負	záporné	負	záporný		ADJ;NOM;NEUT;SG
亨利	henryho	亨利	henryho	PROPN	N;ANIM;ACC;MASC;SG
亨利	henry	亨利	henry	PROPN	PROPN;ANIM;NOM;MASC;SG
交易	transakcia	交易	transakcia	V	N;NOM;FEM;SG
交易	transakcie	交易	transakcia	V	N;NOM;FEM;PL
交易	transakciu	交易	transakcia	V	N;ACC;FEM;SG
交易	trading	交易	trading	V	INTJ
交易	obchodovanie	交易	obchodovanie	V	N;NOM;NEUT;SG
交易	obchodovania	交易	obchodovanie	V	N;NOM;NEUT;PL
交易	dohodu	交易	dohoda	V	N;ACC;FEM;SG
交易	dohoda	交易	dohoda	V	N;NOM;FEM;SG
交易	transakcie	交易	transakcia	V	N;NOM;FEM;PL
交易	transakcií	交易	transakcia	V	N;GEN;FEM;PL
黑色	čierne	黑色	čierny	N	ADJ;NOM;NEUT;SG
黑色	black	黑色	black	N	PROPN;ANIM;NOM;MASC;SG
黑色	čierny	黑色	čierny	N	ADJ;ANIM;NOM;MASC;SG
黑色	čierna	黑色	čierny	N	ADJ;NOM;FEM;SG
爆炸	výbuchu	爆炸	výbuch	V	N;INAN;GEN;MASC;SG
爆炸	výbuch	爆炸	výbuch	V	N;INAN;NOM;MASC;SG
爆炸	výbuchu	爆炸	výbuch	V	N;INAN;GEN;MASC;SG
爆炸	explózie	爆炸	explózia	V	N;NOM;FEM;PL
爆炸	explóziu	爆炸	explózia	V	N;ACC;FEM;SG
爆炸	explózia	爆炸	explózia	V	N;NOM;FEM;SG
爆炸	výbuch	爆炸	výbuch	V	N;INAN;NOM;MASC;SG
爆炸	detonáciu	爆炸	detonácia	V	N;ACC;FEM;SG
喜歡	jako	喜歡	jako	V	
喜歡	ako	喜歡	ako	V	ADV
喜歡	like	喜歡	lika	V	N;ANIM;VOC;MASC;SG
警方	policajný	警方	policajný	N	ADJ;ANIM;NOM;MASC;SG
十七	seventeen	十七	seventeen	NUM	N;NOM;MASC;SG
尹	yoon	尹	yoon	PROPN	PROPN;ANIM;NOM;MASC;SG
地面	pozemné	地面	pozemný	N	ADJ;NOM;NEUT;SG
地面	pozemný	地面	pozemný	N	ADJ;ANIM;NOM;MASC;SG
普遍	univerzálny	普遍	univerzálny	ADV	ADJ;ANIM;NOM;MASC;SG
普遍	univerzálnych	普遍	univerzálny	ADV	ADJ;GEN;MASC;PL
普遍	univerzálnej	普遍	univerzálny	ADV	ADJ;GEN;FEM;SG
普遍	univerzálne	普遍	univerzálny	ADV	ADJ;NOM;NEUT;SG
十	desaťročí	十	desaťročie	NUM	N;NOM;NEUT;SG
十	desaťročie	十	desaťročie	NUM	N;NOM;NEUT;SG
十四	fourteen	十四	fourteen	NUM	N;NOM;MASC;SG
昆	kun	昆	kun	PROPN	PROPN;ANIM;NOM;MASC;SG
鼠	rat	鼠	rat	N	PROPN;ANIM;NOM;MASC;SG
必要	potrebná	必要	potrebný	N	ADJ;NOM;FEM;SG
必要	nevyhnutná	必要	nevyhnutný	N	ADJ;NOM;FEM;SG
必要	nutné	必要	nutný	N	ADJ;NOM;NEUT;SG
必要	nevyhnutné	必要	nevyhnutný	N	ADJ;NOM;NEUT;SG
必要	potrebné	必要	potrebný	N	ADJ;NOM;NEUT;SG
必要	nutná	必要	nutný	N	ADJ;NOM;FEM;SG
俄	ruska	俄	ruska	PROPN	N;NOM;FEM;SG
俄	rusko	俄	rusko	PROPN	N;NOM;NEUT;SG
南極	antarktíde	南極	antarktída	PROPN	N;NOM;FEM;SG
南極	antarktída	南極	antarktíd	PROPN	N;NOM;FEM;SG
小型	malá	小型	malý	N	ADJ;NOM;FEM;SG
小型	small	小型	small	N	PROPN;ANIM;NOM;MASC;SG
小型	malý	小型	malý	N	ADJ;ANIM;NOM;MASC;SG
小型	malé	小型	malý	N	ADJ;NOM;NEUT;SG
退出	výstup	退出	výstup	V	N;INAN;NOM;MASC;SG
退出	východ	退出	východ	V	N;INAN;NOM;MASC;SG
以色列	izraela	以色列	izrael	PROPN	N;NOM;FEM;SG
以色列	izrael	以色列	izrael	PROPN	N;INAN;NOM;MASC;SG
以色列	izraelom	以色列	izrael	PROPN	N;INAN;INS;MASC;SG
兒童	detská	兒童	detský	N	ADJ;NOM;FEM;SG
兒童	detské	兒童	detský	N	ADJ;NOM;NEUT;SG
兒童	detský	兒童	detský	N	ADJ;ANIM;NOM;MASC;SG
兒童	child	兒童	child	N	PROPN;ANIM;NOM;MASC;SG
一切	vsetko	一切	vsetko	DET	N;NOM;MASC;SG
東部	východná	東部	východný	N	ADJ;NOM;FEM;SG
東部	východné	東部	východný	N	ADJ;NOM;NEUT;SG
東部	východný	東部	východný	N	ADJ;ANIM;NOM;MASC;SG
東部	východne	東部	východne	N	ADV
東部	východná	東部	východný	N	ADJ;NOM;FEM;SG
東部	východné	東部	východný	N	ADJ;NOM;NEUT;SG
東部	východný	東部	východný	N	ADJ;ANIM;NOM;MASC;SG
東部	východnej	東部	východný	N	ADJ;GEN;FEM;SG
逐漸	postupné	逐漸	postupný	ADV	ADJ;NOM;NEUT;SG
逐漸	postupný	逐漸	postupný	ADV	ADJ;INAN;NOM;MASC;SG
固定	stanovené	固定	stanovený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
固定	opravené	固定	opravený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
固定	stacionárne	固定	stacionárny	N	ADJ;NOM;NEUT;SG
游	plávať	游	plávať	N	V;IPFV;POS;NFIN
游	plávajúce	游	plávajúci	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
病	chorý	病	chorý	N	ADJ;ANIM;NOM;MASC;SG
病	chorá	病	chorý	N	ADJ;NOM;FEM;SG
病	chorý	病	chorý	N	ADJ;ANIM;NOM;MASC;SG
病	chorí	病	choriť	N	ADJ;ANIM;NOM;MASC;PL
病	chorá	病	chorý	N	ADJ;NOM;FEM;SG
病	choré	病	chorý	N	ADJ;NOM;NEUT;SG
問	ask	問	ask		
問	opýtať	問	opýtať		V;PFV;POS;NFIN
翡翠	jade	翡翠	jade	PROPN	PROPN;ANIM;NOM;FEM;SG
維持	udržanie	維持	udržanie	V	N;NOM;NEUT;SG
維持	udržiavanie	維持	udržiavanie	V	N;NOM;NEUT;SG
維持	zachovanie	維持	zachovanie	V	N;NOM;NEUT;SG
維持	údržba	維持	údržba	V	N;NOM;FEM;SG
維持	udržiavanie	維持	udržiavanie	V	N;NOM;NEUT;SG
維持	údržby	維持	údržey	V	N;NOM;FEM;PL
維持	údržbu	維持	údržba	V	N;ACC;FEM;SG
臺北	taipei	臺北	taipei	PROPN	N;NOM;MASC;SG
互	vzájomný	互	vzájomný	N	ADJ;INAN;NOM;MASC;SG
互	vzájomná	互	vzájomný	N	ADJ;NOM;FEM;SG
互	vzájomné	互	vzájomný	N	ADJ;NOM;NEUT;SG
天使	angels	天使	angels	N	
天使	angel	天使	angel	N	PROPN;ANIM;NOM;MASC;SG
圖片	obrazok	圖片	obrazok	N	INTJ
建設	konštrukcia	建設	konštrukcia	V	N;NOM;FEM;SG
建設	výstavba	建設	výstavba	V	N;NOM;FEM;SG
建設	stavba	建設	stavba	V	N;NOM;FEM;SG
建設	stavebníctvo	建設	stavebníctvo	V	N;NOM;NEUT;SG
風暴	storm	風暴	storý	N	PROPN;ANIM;NOM;MASC;SG
定義	definovať	定義	definovať	N	V;IPFV;POS;NFIN
定義	vymedziť	定義	vymedziť	N	V;PFV;POS;NFIN
指定	označenia	指定	označenie	V	N;NOM;NEUT;PL
指定	určenie	指定	určenie	V	N;NOM;NEUT;SG
指定	označenie	指定	označenie	V	N;NOM;NEUT;SG
指定	určené	指定	určený	V	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
指定	určený	指定	určený	V	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
解決	vyriešenie	解決	vyriešenie	V	N;NOM;NEUT;SG
熊	nesie	熊	niesť	N	V;IPFV;IND;SG;3;POS;PRS;FIN
熊	bear	熊	bear	N	PROPN;ANIM;NOM;MASC;SG
休	hugh	休	hugh	N	PROPN;ANIM;NOM;MASC;SG
指揮	veliteľstvo	指揮	veliteľstvo	V	N;NOM;NEUT;SG
指揮	príkaz	指揮	príkaz	V	N;INAN;NOM;MASC;SG
指揮	velenie	指揮	velenie	V	N;NOM;NEUT;SG
指揮	sprievodcu	指揮	sprievodca	V	N;INAN;GEN;MASC;SG
指揮	dirigent	指揮	dirigent	V	N;ANIM;NOM;MASC;SG
安排	usporiadanie	安排	usporiadanie	V	N;NOM;NEUT;SG
明星	star	明星	star	N	
明星	hviezdny	明星	hviezdny	N	ADJ;ANIM;NOM;MASC;SG
爆發	ohnisko	爆發	ohnisko	V	N;NOM;NEUT;SG
爆發	erupcia	爆發	erupcia	V	N;NOM;FEM;SG
爆發	výbuch	爆發	výbuch	V	N;INAN;NOM;MASC;SG
現任	súčasné	現任	súčasný	N	ADJ;NOM;NEUT;SG
現任	aktuálna	現任	aktuálny	N	ADJ;NOM;FEM;SG
現任	súčasný	現任	súčasný	N	ADJ;ANIM;NOM;MASC;SG
現任	aktuálne	現任	aktuálny	N	ADV
現任	aktuálny	現任	aktuálny	N	ADJ;INAN;NOM;MASC;SG
現任	prítomná	現任	prítomný	N	ADJ;NOM;FEM;SG
現任	prezentovať	現任	prezentovať	N	V;IPFV;POS;NFIN
現任	prítomný	現任	prítomný	N	ADJ;ANIM;NOM;MASC;SG
你	tvoje	你	tvoj	PRO;2	DET;NOM;NEUT;SG;2
你	váš	你	tvoj	PRO;2	DET;INAN;NOM;MASC;SG;2
你	vaša	你	tvoj	PRO;2	DET;NOM;FEM;SG;2
你	vaše	你	váš	PRO;2	DET;NOM;NEUT;SG;2
你	tvoja	你	tvoj	PRO;2	DET;NOM;FEM;SG;2
你	tvoj	你	tvoj	PRO;2	DET;ANIM;NOM;MASC;SG;2
匈牙利	maďarsko	匈牙利	maďarsko	PROPN	N;NOM;NEUT;SG
匈牙利	maďarsku	匈牙利	maďarsky	PROPN	N;NOM;NEUT;SG
匈牙利	maďarská	匈牙利	maďarský	PROPN	ADJ;NOM;FEM;SG
匈牙利	maďarský	匈牙利	maďarský	PROPN	ADJ;ANIM;NOM;MASC;SG
匈牙利	maďarské	匈牙利	maďarský	PROPN	ADJ;NOM;NEUT;SG
河流	river	河流	river	N	PROPN;ANIM;NOM;MASC;SG
河流	riečna	河流	riečno	N	ADJ;NOM;FEM;SG
京	kjótsky	京	kjótsky	PROPN	ADJ;INAN;NOM;MASC;SG
京	kjótskeho	京	kjótsky	PROPN	ADJ;GEN;NEUT;SG
五	májové	五	májový	NUM	ADJ;NOM;NEUT;SG
五	mája	五	máj	NUM	N;INAN;GEN;MASC;SG
五	môže	五	môcť	NUM	V;IPFV;IND;SG;3;POS;PRS;FIN
五	máj	五	mať	NUM	INTJ
上午	ranná	上午	ranný	N	ADJ;NOM;FEM;SG
上午	rano	上午	rano	N	PROPN;ANIM;NOM;MASC;SG
河北	hebei	河北	hieba	PROPN	N;NOM;FEM;SG
馮	feng	馮	feng	PROPN	N;NOM;FEM;SG
使用	užívateľ	使用	užívateľ	V	N;ANIM;NOM;MASC;SG
使用	užívateľa	使用	užívateľ	V	N;ANIM;ACC;MASC;SG
使用	používateľa	使用	používateľ	V	N;ANIM;ACC;MASC;SG
使用	užívateľské	使用	užívateľský	V	ADJ;NOM;NEUT;SG
使用	používateľ	使用	používateľ	V	N;ANIM;NOM;MASC;SG
使用	užívatelia	使用	užívateľ	V	N;ANIM;NOM;MASC;PL
使用	používatelia	使用	používateľ	V	N;ANIM;NOM;MASC;PL
使用	používateľov	使用	používateľ	V	N;ANIM;ACC;MASC;PL
使用	užívateľov	使用	užívateľ	V	N;ANIM;ACC;MASC;PL
鄧	deng	鄧	deng	PROPN	PROPN;ANIM;NOM;MASC;SG
機械	mechanické	機械	mechanický	N	ADJ;NOM;NEUT;SG
機械	mechanická	機械	mechanický	N	ADJ;NOM;FEM;SG
機械	mechanický	機械	mechanický	N	ADJ;INAN;NOM;MASC;SG
爭議	sporných	爭議	sporný	N	ADJ;GEN;MASC;PL
爭議	sporné	爭議	sporný	N	ADJ;NOM;NEUT;SG
爭議	sporná	爭議	sporný	N	ADJ;NOM;FEM;SG
爭議	spornej	爭議	sporný	N	ADJ;GEN;FEM;SG
爭議	sporný	爭議	sporný	N	ADJ;INAN;NOM;MASC;SG
爭議	kontroverzné	爭議	kontroverzný	N	ADJ;NOM;NEUT;SG
爭議	namietať	爭議	namietať	N	V;IPFV;POS;NFIN
發射	štart	發射	štart	V	N;INAN;NOM;MASC;SG
發射	spustenie	發射	spustenie	V	N;NOM;NEUT;SG
首先	prvý	首先	prvý		ADJ;ANIM;NOM;MASC;SG
首先	prvy	首先	prva		ADJ;INAN;NOM;MASC;SG
首先	najprv	首先	najprv		ADV
首先	prva	首先	prvý		N;NOM;FEM;SG
首先	prvé	首先	prvý		ADJ;NOM;NEUT;SG
首先	prvá	首先	prvý		ADJ;NOM;FEM;SG
入侵	invázia	入侵	inváziť	V	N;NOM;FEM;SG
入侵	inváziu	入侵	invázia	V	N;ACC;FEM;SG
轉換	konverzia	轉換	konverzia	V	N;NOM;FEM;SG
轉換	konverzie	轉換	konverzia	V	N;NOM;FEM;PL
轉換	prevod	轉換	prevod	V	N;INAN;NOM;MASC;SG
轉換	prepočet	轉換	prepočet	V	N;INAN;NOM;MASC;SG
轉換	premena	轉換	premena	V	N;NOM;FEM;SG
轉換	premena	轉換	premena	V	N;NOM;FEM;SG
轉換	transformácia	轉換	transformácia	V	N;NOM;FEM;SG
轉換	premeny	轉換	premena	V	N;NOM;FEM;PL
轉換	transformácie	轉換	transformácia	V	N;NOM;FEM;PL
疑似	podozrenie	疑似	podozrenie	V	N;NOM;NEUT;SG
疑似	podozrivý	疑似	podozrivý	V	ADJ;ANIM;NOM;MASC;SG
唱	spievaj	唱	spievať	N	V;IPFV;IMP;SG;2;POS;FIN
唱	zaspievať	唱	zaspievať	N	V;IPFV;POS;NFIN
唱	spievať	唱	spievať	N	V;IPFV;POS;NFIN
蕭	shaw	蕭	shaw	PROPN	PROPN;ANIM;NOM;MASC;SG
事情	všeličo	事情	všeličo	N	PRO;NOM;NEUT;SG
監督	kontrolované	監督	kontrolovaný	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
軌道	sledovať	軌道	sledovať	N	V;IPFV;POS;NFIN
軌道	orbitálna	軌道	orbitálny	N	ADJ;NOM;FEM;SG
軌道	obieha	軌道	obiehať	N	V;IPFV;IND;SG;3;POS;PRS;FIN
今日	dneska	今日	dnesk	N	INTJ
今日	today	今日	todať	N	INTJ
