את	te	את	te	PART;ACC	V;DEF;IND;SG;1;PRS;FIN;ACT
קבוע	állandó	קבוע	állandó	ADJ;MASC;SG	
קבוע	folyamatos	קבוע	folyamatos	ADJ;MASC;SG	
קבוע	rendszeres	קבוע	rendszeres	ADJ;MASC;SG	
קבוע	normál	קבוע	normál	ADJ;MASC;SG	
קבוע	rögzített	קבוע	rögzített	ADJ;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
קבוע	fix	קבוע	fix	ADJ;MASC;SG	
קבוע	rögzítve	קבוע	rögzítve	ADJ;MASC;SG	N;NOM;SG
לחלוטין	abszolút	לחלוטין	abszolú	ADV	
לחלוטין	teljesen	לחלוטין	teljes	ADV	ADJ;FRML;SG
לחלוטין	teljesen	לחלוטין	teljes	ADV	ADJ;FRML;SG
עולה	költségek	עולה	költség	N;MASC;SG	N;NOM;PL
עולה	emelkedő	עולה	emelkedő	N;MASC;SG	ADJ;NOM;SG
עולה	emelkedik	עולה	emelkedik	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
עולה	emelkedő	עולה	emelkedő	N;MASC;SG	ADJ;NOM;SG
מפלגת	party	מפלגה	party	N;FEM;SG	
מפלגת	parti	מפלגה	parti	N;FEM;SG	ADJ;NOM;SG
מקרה	case	מקרה	case	N;MASC;SG	
ויליאם	william	ויליאם	william	PROPN	
ויליאם	vilmos	ויליאם	vilmos	PROPN	
ברק	villámlás	ברק	villámlás	PROPN	N;NOM;SG
ברק	barak	ברק	barak	PROPN	
ברק	villámlás	ברק	villámlás	PROPN	N;NOM;SG
ברק	villám	ברק	villám	PROPN	N;NOM;SG
פנים	belső	פנים	belső	N;MASC;PL	
פנים	belseje	פנים	belső	N;MASC;PL	N;NOM;SG
פנים	arcát	פנים	arca	N;MASC;PL	N;ACC;SG
פנים	arc	פנים	arc	N;MASC;PL	N;NOM;SG
פנים	arca	פנים	az	N;MASC;PL	N;NOM;SG
מגיע	jövök	הגיע	jövök	V;MASC;SG;V.PTCP;ACT	V;INDF;IND;SG;1;PRS;FIN;ACT
מגיע	jön	הגיע	jön	V;MASC;SG;V.PTCP;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
צבאי	katonaság	צבאי	katonaság	ADJ;MASC;SG	N;NOM;SG
צבאי	hadsereg	צבאי	hadsereg	ADJ;MASC;SG	N;NOM;SG
סין	porcelán	סין	porcela	PROPN	N;NOM;SG
סין	kína	סין	kína	PROPN	PROPN;NOM;SG
סין	china	סין	china	PROPN	
העיקרי	elsődleges	העיקר	elsődleges	PROPN	ADJ;NOM;SG
העיקרי	primer	העיקר	primer	PROPN	
ואז	akkor	ואז	akkor		ADV
מיד	azonnal	מייד	azonnal	ADV	
הנושא	téma	הנושא	téma		N;NOM;SG
חוסר	hiány	חוסר	hiány	N;MASC;SG	
ניסיון	tapasztalatok	ניסיון	tapasztalat	N;MASC;SG	N;NOM;PL
ישראלית	izraeli	ישראלי	izraeli	PROPN	
ישראלית	izraeliek	ישראלי	izraeli	PROPN	N;NOM;PL
חומר	anyagok	חומר	anyag	N;MASC;SG	N;NOM;PL
חומר	cuccok	חומר	cucc	N;MASC;SG	N;NOM;PL
חומר	alapanyagok	חומר	alapanyag	N;MASC;SG	N;NOM;PL
חומר	anyagok	חומר	anyag	N;MASC;SG	N;NOM;PL
כאלה	ilyen	כאלה	ilyen	PROPN	
פרי	gyümölcs	פרי	gyümölcs		N;NOM;SG
פרי	gyümölcsök	פרי	gyümölcs		N;NOM;PL
פרי	gyümölcsöt	פרי	gyümölcsöt		N;ACC;SG
כפר	falusi	כפר	falusi	N;MASC;SG	ADJ;NOM;SG
רד	piros	רד	piros	PROPN	
רד	piroska	רד	piroska	PROPN	
רד	vörös	רד	vörös	PROPN	
ההצבעה	szavazás	ההצבעה	szavazás	PROPN	N;NOM;SG
ההצבעה	szavazati	ההצבעה	szavazati	PROPN	N;NOM;SG
ההצבעה	szavazó	ההצבעה	szavazó	PROPN	
עניין	érd	עניין	érd	N;MASC;SG	
עניין	kamatok	עניין	kamat	N;MASC;SG	N;NOM;PL
דם	véres	דם	véres	N;MASC;SG	
דם	blood	דם	blood	N;MASC;SG	
הכפר	település	הכפר	település		N;NOM;SG
הכפר	falusi	הכפר	falusi		ADJ;NOM;SG
הכפר	falu	הכפר	falu		N;NOM;SG
יפן	japán	יפן	japán	PROPN	
נשק	fegyverek	נשק	fegyver	N;MASC;SG	N;NOM;PL
נשק	karok	נשק	karok	N;MASC;SG	N;NOM;PL
נשק	karokat	נשק	karok	N;MASC;SG	N;ACC;PL
נשק	fegyverek	נשק	fegyver	N;MASC;SG	N;NOM;PL
מיני	szexualitás	מין	szexualitás		N;NOM;SG
מיני	szexuális	מין	szexuális		ADJ;NOM;SG
מיני	szexuálisan	מין	szexuális		ADJ;FRML;SG
המשנה	helytartó	המשנה	helytartó	ADV	N;NOM;SG
המועדון	klub	המועדון	klub	PROPN	N;NOM;SG
המועדון	club	המועדון	club	PROPN	
אמנות	art	אמנות	ar	N;FEM;SG	
הממלכה	királyság	הממלך	királyság	PROPN	N;NOM;SG
בשימוש	használt	בשימוש	használt	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
בשימוש	felhasznált	בשימוש	felhasznált	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
מרדכי	mordecai	מרדכי	mordecai	PROPN	N;NOM;PL
אש	tűz	אש	tűz	N;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
אש	ash	אש	ash	N;FEM;SG	
מרכזי	központok	מרכזי	központ	ADJ;MASC;SG	N;NOM;PL
עשרות	tízes	עשרות	tízes	NUM;FEM;PL	
עשרות	tucatnyi	עשרות	tucatnyi	NUM;FEM;PL	
רוברט	robert	רוברט	rober	PROPN	
רוברט	róbert	רוברט	róber	PROPN	N;NOM;SG
תושבים	lakos	תושב	lakos	N;MASC;PL	N;NOM;SG
קרוב	bezárása	קרוב	bezárás		N;NOM;SG
שמונה	nyolc	שמונה	nyolc	NUM;FEM;SG	
רשמי	tisztviselő	רשמי	tisztviselő	ADJ;MASC;SG	N;NOM;SG
רשמי	formális	רשמי	formális	ADJ;MASC;SG	
אורי	uri	אורי	uri	PROPN	
אורי	jurij	אורי	jurij	PROPN	
אורי	ori	אורי	ori	PROPN	
מאי	may	מאי	may	PROPN	
מאי	május	מאי	május	PROPN	N;NOM;SG
מאי	májusi	מאי	májusi	PROPN	ADJ;NOM;SG
מאי	májusban	מאי	május	PROPN	N;IN+ESS;SG
מאי	mai	מאי	mai	PROPN	
שירת	szolgálta	שירת	szolgál	PROPN	V;DEF;IND;SG;3;PST;FIN;ACT
שירת	szolgált	שירת	szolgál	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
פיתוח	fejlesztési	פיתוח	fejlesztési	N;MASC;SG	ADJ;NOM;SG
פיתוח	fejlődő	פיתוח	fejlődő	N;MASC;SG	ADJ;NOM;SG
חנה	hannah	חנה	hannah	PROPN	
חנה	hanna	חנה	hanna	PROPN	
חנה	hana	חנה	hana	PROPN	
חנה	hanna	חנה	hanna	PROPN	
הקיסר	uralkodó	הקיסר	uralkodó	PROPN	N;NOM;SG
הקיסר	császár	הקיסר	császár	PROPN	
גבי	gabi	גבי	gabi	PROPN	N;NOM;SG
גבי	gaby	גבי	gaby	PROPN	
פעולות	üzemeltetés	פעולה	üzemeltetés	N;FEM;PL	N;NOM;SG
השאלה	kérdés	השאלה	kérdés	PROPN	N;NOM;SG
הטבע	jelleg	הטבע	jelleg		N;NOM;SG
הטבע	természet	הטבע	természet		N;NOM;SG
חלקים	alkatrész	חלק	alkatrész	N;MASC;PL	N;NOM;SG
חלקים	szelvény	חלק	szelvény	N;MASC;PL	N;NOM;SG
חלקים	darab	חלק	darab	N;MASC;PL	
חמש	öt	חמש	öt	NUM;FEM;SG	
חמש	öten	חמש	öten	NUM;FEM;SG	PRO;NOM;PL;3
מילים	szöveget	מילה	szöveg	N;FEM;PL	N;ACC;SG
מילים	szöveg	מילה	szöveg	N;FEM;PL	N;NOM;SG
אוויר	air	אוויר	air	N;MASC;SG	
סיימה	kész	סיים	kész	V;FEM;SG;3;PST;ACT	
אבי	avi	אבי	avi	PROPN	N;NOM;SG
אבי	abby	אבי	abby	PROPN	PROPN;NOM;SG
קישור	hivatkozás	קישור	hivatkozás		N;NOM;SG
קישור	kapcsolat	קישור	kapcsolat		N;NOM;SG
קישור	hivatkozást	קישור	hivatkozás		N;ACC;SG
ערוץ	csatorna	ערוץ	csator		N;NOM;SG
חמישה	öt	חמישה	öt	NUM;MASC;SG	
חמישה	öten	חמישה	öten	NUM;MASC;SG	PRO;NOM;PL;3
הקדוש	saint	הקדוש	saint	PROPN	
הקדוש	szent	הקדוש	szent	PROPN	
מיזם	projekt	מיזם	projekt	N;MASC;SG	
מיזם	project	מיזם	projec	N;MASC;SG	
מיזם	venture	מיזם	ventur	N;MASC;SG	
המכונה	gépezet	המכון	gépezet		N;NOM;SG
המכונה	gép	המכון	gép		N;NOM;SG
אוסטרליה	ausztrália	אוסטרליה	ausztrália	PROPN	N;NOM;SG
ידע	tudtam	ידע	tud	N;MASC;SG	V;INDF;IND;SG;1;PST;FIN;ACT
ידע	tudta	ידע	tud	N;MASC;SG	V;DEF;IND;SG;3;PST;FIN;ACT
ידע	ismeretek	ידע	ismeret	N;MASC;SG	N;NOM;PL
זאב	farkas	זאב	farkas	PROPN	
זאב	wolf	זאב	wolf	PROPN	
החמישי	ötödik	החמיש	ötödik	V;MASC;SG;3;PST;ACT	ADJ;NOM;SG
זוכה	győz	זכה	győz	V;MASC;SG;V.PTCP;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
זוכה	nyert	זכה	nyert	V;MASC;SG;V.PTCP;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
זוכה	győztes	זכה	győztes	V;MASC;SG;V.PTCP;ACT	
זוכה	nyertes	זכה	nyertes	V;MASC;SG;V.PTCP;ACT	
משני	középfokú	משני	középfokú		N;NOM;SG
משני	másodlagos	משני	másodlagos		ADJ;NOM;SG
הוועדה	bizottság	הוועד	bizottság	PROPN	N;NOM;SG
מנחם	menachem	מנחם	menachem	PROPN	
מנחם	megnyugtató	מנחם	megnyugtató	PROPN	
יחיד	egyedülálló	יחיד	egyedülálló	ADJ;MASC;SG	
יחיד	single	יחיד	single	ADJ;MASC;SG	
יחיד	egyetlen	יחיד	egyetlen	ADJ;MASC;SG	
יחיד	szingli	יחיד	szingli	ADJ;MASC;SG	N;NOM;SG
פרופ	kellék	פרופסור	kellék	PROPN	N;NOM;SG
ראשית	első	ראשית	első	ADV	ADJ;NOM;SG
הנרי	henrik	הנרי	henrik	PROPN	N;NOM;SG
הנרי	henry	הנרי	henry	PROPN	
המערבי	nyugati	המערבי	nyugati	PROPN	
המערבי	nyugat	המערבי	nyugat	PROPN	
המערבי	western	המערבי	western	PROPN	
במהירות	gyorsan	במהירות	gyors	ADV	ADJ;FRML;SG
בנימין	benjamin	בנימין	benjami	PROPN	
פול	paul	פול	paul	PROPN	
פול	pál	פול	pál	PROPN	
המזרחי	kelet	המזרח	kelet	PROPN	
המזרחי	keleti	המזרח	keleti	PROPN	
כבש	lamb	כבש	lamb	PROPN	
כבש	bárány	כבש	bárány	PROPN	
דעת	vélemény	דעה	vélemény	N;FEM;SG	
דעת	vélemények	דעה	vélemény	N;FEM;SG	N;NOM;PL
שחור	fekete	שחור	feket	ADJ;MASC;SG	
שחור	black	שחור	black	ADJ;MASC;SG	
לבנון	libanoni	לבנון	libanoni	PROPN	V;NFIN;ACT
לבנון	libanon	לבנון	liban	PROPN	
לבנון	libanoni	לבנון	libanoni	PROPN	V;NFIN;ACT
באמת	tényleg	באמת	tényleg	ADV	
באמת	igazán	באמת	igazán	ADV	
לכיוון	felé	לכיוון	felé	PROPN	ADP
האלה	istennő	האלה	istennő		N;NOM;SG
ארד	arad	ארד	arad	PROPN	PROPN;NOM;SG
ארד	bronz	ארד	bronz	PROPN	
שכתב	felülírja	שכתב	felülír		V;DEF;IND;SG;3;PRS;FIN;ACT
חוקי	jogi	חוקי	jogi	ADJ;MASC;PL	ADJ;NOM;SG
חוקי	legális	חוקי	legális	ADJ;MASC;PL	
חוקי	törvényes	חוקי	törvényes	ADJ;MASC;PL	ADJ;NOM;SG
בתחילה	kezdetben	בתחילה	kezdet	ADV	N;IN+ESS;SG
בתחילה	eleinte	בתחילה	eleint	ADV	
עלי	ali	עלי	ali	PROPN	
לאומי	nemzeti	לאומי	nemzeti	PROPN	ADJ;NOM;SG
לאומי	országos	לאומי	országos	PROPN	ADJ;NOM;SG
לאומי	national	לאומי	national	PROPN	
שמעון	simon	שמעון	simon	PROPN	
שמעון	simeon	שמעון	simeon	PROPN	N;NOM;SG
הכולל	teljes	הכולל	teljes	PROPN	
הכולל	összesen	הכולל	összesen	PROPN	
יוצרים	képező	יוצר	képező	N;MASC;PL	ADJ;NOM;SG
להביא	hozz	הביא	hozz	V;NFIN;ACT	
שינויים	változás	שינוי	változás	N;MASC;PL	N;NOM;SG
שינויים	változtatás	שינוי	változtatás	N;MASC;PL	N;NOM;SG
הצליחו	sikerült	הצליח	sikerül	V;PL;3;PST;ACT	V;INDF;IND;SG;3;PST;FIN;ACT
הבעיה	gond	הבעיה	gond	ADV	
הבעיה	probléma	הבעיה	probléma	ADV	N;NOM;SG
הבעיה	baj	הבעיה	baj	ADV	
נתונים	adat	נתון	adat	N;MASC;PL	N;NOM;SG
נתונים	adatforgalom	נתון	adatforgalom	N;MASC;PL	N;NOM;SG
יולי	júliusban	יולי	július	PROPN	N;IN+ESS;SG
יולי	júliusi	יולי	júliusi	PROPN	ADJ;NOM;SG
יולי	július	יולי	július	PROPN	N;NOM;SG
מזון	élelmiszerek	מזון	élelmiszer	N;MASC;SG	N;NOM;PL
מזון	élelmiszerek	מזון	élelmiszer	N;MASC;SG	N;NOM;PL
מזון	ételek	מזון	étel	N;MASC;SG	N;NOM;PL
ואן	furgon	ואן	furgon	PROPN	N;NOM;SG
בא	jövök	בא	jövök	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;1;PRS;FIN;ACT
בא	jön	בא	jön	V;MASC;SG;3;PST;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
חבל	kötelet	חבל	kötel	ADV	N;ACC;SG
חבל	kötél	חבל	kötél	ADV	N;NOM;SG
חבל	szánalom	חבל	szánalom	ADV	N;NOM;SG
עומד	áll	עמד	áll	V;MASC;SG;V.PTCP;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
עומד	állva	עמד	állva	V;MASC;SG;V.PTCP;ACT	
עומד	áll	עמד	áll	V;MASC;SG;V.PTCP;ACT	V;INDF;IND;SG;3;PRS;FIN;ACT
עזרה	segíteni	עזרה	segít	N;FEM;SG	V;NFIN;ACT
פרקים	epizód	פרק	epizód	N;MASC;PL	N;NOM;SG
מקובל	elfogadhatónak	מקובל	elfogadható	ADJ;MASC;SG	N;DAT;SG
מקובל	elfogadható	מקובל	elfogadható	ADJ;MASC;SG	
מקובל	elfogadva	מקובל	elfogadva	ADJ;MASC;SG	ADV;V.CVB
מקובל	elfogadott	מקובל	el+fogadott	ADJ;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
מקובל	elfogadta	מקובל	el+fogad	ADJ;MASC;SG	V;DEF;IND;SG;3;PST;FIN;ACT
השמש	napsütés	השמש	napsütés		N;NOM;SG
השמש	nap	השמש	nap		N;NOM;SG
השמש	napfény	השמש	napfény		N;NOM;SG
גורם	okoz	גורם	okoz	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
גורם	teszi	גורם	tesz	N;MASC;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
גורם	okok	גורם	ok	N;MASC;SG	N;NOM;PL
גורם	okozza	גורם	okoz	N;MASC;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
גורם	okoz	גורם	okoz	N;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
שבת	szombati	שבת	szombati	PROPN	
שבת	szombaton	שבת	szombat	PROPN	N;ON+ESS;SG
שבת	szombat	שבת	szombat	PROPN	N;NOM;SG
שבת	sabbath	שבת	sabbath	PROPN	N;NOM;SG
נכנס	belép	נכנס	belép	V;MASC;SG;V.PTCP;MID	V;INDF;IND;SG;3;PRS;FIN;ACT
מנסה	próbálom	ניסה	próbál	V;MASC;SG;V.PTCP;ACT	V;DEF;IND;SG;1;PRS;FIN;ACT
מעולם	sosem	מעולם	sosem	ADV	
מעולם	soha	מעולם	soha	ADV	
הגנה	oltalom	הגנה	oltalom	N;FEM;SG	
הגנה	védelmi	הגנה	védelmi	N;FEM;SG	
הגנה	védelmi	הגנה	védelmi	N;FEM;SG	
קל	könnyű	קל	könnyű	ADJ;MASC;SG	
אלפי	alfie	אלפי	alfie	NUM;PSSD;MASC;PL	N;NOM;SG
גובה	magasság	גובה	magasság	N;MASC;SG	
גובה	magasság	גובה	magasság	N;MASC;SG	
מיכאל	michael	מיכאל	michael	PROPN	
מיכאל	mihály	מיכאל	mihály	PROPN	
תקשורת	kommunikációs	תקשורת	kommunikációs	N;FEM;SG	ADJ;NOM;SG
תקשורת	media	תקשורת	media	N;FEM;SG	
תקשורת	kommunikációs	תקשורת	kommunikációs	N;FEM;SG	ADJ;NOM;SG
לס	les	לס	les	PROPN	
המזרח	keletre	המזרח	keletr	PROPN	N;ON+ALL;SG
המזרח	keleti	המזרח	keleti	PROPN	
המזרח	kelet	המזרח	kelet	PROPN	
חולים	páciensek	חלה	páciens	V;MASC;PL;V.PTCP;ACT	N;NOM;PL
חולים	betegek	חלה	beteg	V;MASC;PL;V.PTCP;ACT	N;NOM;PL
אלי	ellie	אלי	ellie	PROPN	
אלי	eli	אלי	eli	PROPN	
אלי	szövetséges	אלי	szövetséges	PROPN	ADJ;NOM;SG
אלי	szövetségesek	אלי	szövetséges	PROPN	N;NOM;PL
אלי	ally	אלי	ally	PROPN	
אלי	ali	אלי	ali	PROPN	
השפעה	befolyásos	השפעה	befolyásos	N;FEM;SG	ADJ;NOM;SG
יצירות	működik	יצירה	működik	N;FEM;PL	V;INDF;IND;SG;3;PRS;FIN;ACT
המחוז	megyei	המחוז	megyei		ADJ;NOM;SG
טען	terhelés	טען	terhelés	V;MASC;SG;3;PST;ACT	N;NOM;SG
תחילה	első	תחילה	első	ADV	ADJ;NOM;SG
נבנה	épült	נבנה	épül	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
נבנה	épített	נבנה	épít	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
נבנה	felépített	נבנה	felépít	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
נבנה	beépített	נבנה	beépített	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
נערך	szerkesztett	נערך	szerkesztett	V;MASC;SG;3;PST;MID	V;INDF;IND;SG;3;PST;FIN;ACT
שווה	forró	שווה	forró	PROPN	
שווה	hot	שווה	hot	PROPN	
שווה	meleg	שווה	meleg	PROPN	
שווה	dögös	שווה	dögös	PROPN	N;NOM;SG
שווה	egyenlők	שווה	egyenlő	PROPN	N;NOM;PL
שווה	egyenlő	שווה	egyenlő	PROPN	
שווה	egyenlők	שווה	egyenlő	PROPN	N;NOM;PL
שווה	egyenlőek	שווה	egyenlő	PROPN	N;NOM;PL
שווה	egyenlő	שווה	egyenlő	PROPN	
שווה	érdemes	שווה	érdemes	PROPN	ADJ;NOM;SG
שווה	megéri	שווה	megéri	PROPN	
שווה	worth	שווה	worth	PROPN	
כוללת	tartalmazza	כלל	tartalmaz	V;FEM;SG;V.PTCP;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
כוכבים	csillag	כוכב	csillag	N;MASC;PL	N;NOM;SG
תוצאות	eredmény	תוצאה	eredmény	N;FEM;PL	N;NOM;SG
תוצאות	eredmény	תוצאה	eredmény	N;FEM;PL	N;NOM;SG
פארק	park	פארק	park	PROPN	N;NOM;SG
החוף	beach	החוף	beach	PROPN	
החוף	part	החוף	part	PROPN	
החוף	tengerpart	החוף	tengerpart	PROPN	N;NOM;SG
החוף	tengerparton	החוף	tengerpart	PROPN	N;ON+ESS;SG
החוף	strand	החוף	strand	PROPN	N;NOM;SG
המשטרה	rendőrség	המשטר	rendőrség	PROPN	N;NOM;SG
המשטרה	rendőr	המשטר	rendőr	PROPN	N;NOM;SG
כותב	író	כתב	író	V;MASC;SG;V.PTCP;ACT	N;NOM;SG
כותב	írja	כתב	ír	V;MASC;SG;V.PTCP;ACT	V;DEF;IND;SG;3;PRS;FIN;ACT
כותב	írással	כתב	írás	V;MASC;SG;V.PTCP;ACT	N;INS;SG
כותב	írás	כתב	írás	V;MASC;SG;V.PTCP;ACT	N;NOM;SG
כותב	írása	כתב	írás	V;MASC;SG;V.PTCP;ACT	N;NOM;SG
להורג	kivégezték	להורג	ki+végez		V;DEF;IND;PL;3;PST;FIN;ACT
סמוך	szomszédos	None	szomszédos	ADV	
שירה	ének	שירה	én		N;NOM;SG
שירה	ének	שירה	én		N;NOM;SG
שירה	éneklés	שירה	éneklés		N;NOM;SG
שירה	énekelni	שירה	énekel		V;NFIN;ACT
שירה	énekel	שירה	én		V;INDF;IND;SG;3;PRS;FIN;ACT
שירה	vers	שירה	vers		N;NOM;SG
שירה	költészet	שירה	költészet		N;NOM;SG
נובל	nemes	נובל	nemes	N;MASC;SG	
נובל	noble	נובל	noble	N;MASC;SG	
נובל	nobel	נובל	nobel	N;MASC;SG	
רשמית	hivatalosan	רשמית	hivatalos	ADV	ADJ;FRML;SG
חסר	hiányzik	חסר	hiányzik	ADJ;MASC;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
חסר	eltűnt	חסר	el+tűnik	ADJ;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
בשביל	for	בשביל	for	ADP	
חתם	aláírva	חתם	aláírva	PROPN	ADV;V.CVB
חתם	aláírás	חתם	aláírás	PROPN	N;NOM;SG
חתם	aláírt	חתם	aláírt	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
ארוך	hosszú	ארוך	hosszú	ADJ;MASC;SG	
עונות	évszak	עונה	évszú	N;FEM;PL	N;NOM;SG
המשתמש	felhasználó	המשתמש	felhasználó	V;MASC;SG;3;PST;ACT	ADJ;NOM;SG
המשתמש	felhasználói	המשתמש	felhasználói	V;MASC;SG;3;PST;ACT	N;NOM;PL
באר	barr	באר	barr	N;FEM;SG	PROPN;NOM;SG
באר	bar	באר	bar	N;FEM;SG	
באר	bár	באר	bár	N;FEM;SG	CONJ
מכונה	gépezet	כונה	gépezet	V;MASC;SG;V.PTCP;PASS	N;NOM;SG
מכונה	gép	כונה	gép	V;MASC;SG;V.PTCP;PASS	N;NOM;SG
מכונה	gépekkel	כונה	gép	V;MASC;SG;V.PTCP;PASS	N;INS;PL
מכונה	gépek	כונה	gép	V;MASC;SG;V.PTCP;PASS	N;NOM;PL
מכונה	gép	כונה	gép	V;MASC;SG;V.PTCP;PASS	N;NOM;SG
אסיה	ázsiai	אסיה	ázsiai	PROPN	ADJ;NOM;SG
אסיה	ázsiai	אסיה	ázsiai	PROPN	ADJ;NOM;SG
אסיה	ázsia	אסיה	ázsia	PROPN	
לפעול	aktus	פעל	aktus	V;NFIN;ACT	N;NOM;SG
לפעול	felvonás	פעל	felvonás	V;NFIN;ACT	N;NOM;SG
דת	vallásos	דת	vallásos	N;FEM;SG	
דת	vallási	דת	vallási	N;FEM;SG	ADJ;NOM;SG
מראה	műsorok	מראה	műsor	N;MASC;SG	N;NOM;PL
מראה	mutatja	מראה	mutat	N;MASC;SG	V;DEF;IND;SG;3;PRS;FIN;ACT
יפו	jaffa	יפו	jaffa	PROPN	
עריכה	szerkesztés	עריכה	szerkesztés	N;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
עריכה	szerkesztés	עריכה	szerkesztés	N;FEM;SG	V;INDF;IND;SG;3;PRS;FIN;ACT
עריכה	vágó	עריכה	vágó	N;FEM;SG	
משמעותי	érdemi	משמעותי	érdemi	ADJ;MASC;SG	
משמעותי	tartalmas	משמעותי	tartalmas	ADJ;MASC;SG	
משמעותי	jelentős	משמעותי	jelentős	ADJ;MASC;SG	
משמעותי	szignifikáns	משמעותי	szignifikáns	ADJ;MASC;SG	N;ON+ESS;SG
עין	eye	עין	eye	N;FEM;SG	
עין	szem	עין	szem	N;FEM;SG	
עין	ein	עין	ein	N;FEM;SG	
תחום	domain	תחום	domain	N;MASC;SG	
נוער	fiatalok	נוער	fiatal	N;MASC;SG	N;NOM;PL
נוער	ifjúsági	נוער	ifjúsági	N;MASC;SG	ADJ;NOM;SG
נוער	tinik	נוער	tinik	N;MASC;SG	N;NOM;PL
נוער	tinédzserek	נוער	tinédzser	N;MASC;SG	N;NOM;PL
נוער	tinik	נוער	tinik	N;MASC;SG	N;NOM;PL
נוער	tinédzserek	נוער	tinédzser	N;MASC;SG	N;NOM;PL
סגן	helyettes	סגן	helyettes	N;MASC;SG	
סגן	megbízott	סגן	meg+bízik	N;MASC;SG	V;INDF;IND;SG;3;PST;FIN;ACT
המקור	eredet	המקור	eredet		N;NOM;SG
המקור	eredete	המקור	eredet		N;NOM;SG
המקור	származás	המקור	származás		N;NOM;SG
המקור	forrás	המקור	forrás		N;NOM;SG
המכון	intézet	המכון	intézet		N;NOM;SG
המכון	intézmény	המכון	intézmény		N;NOM;SG
המשך	folytasd	המשך	folytasd	N;MASC;SG	V;DEF;IMP;SG;1;PRS;FIN;ACT
המשך	folytassa	המשך	folytat	N;MASC;SG	V;DEF;IMP;SG;3;PRS;FIN;ACT
גל	gal	גל	gal	PROPN	
גל	hullám	גל	hullám	PROPN	N;NOM;SG
צעיר	fiatalok	צעיר	fiatal	N;MASC;SG	N;NOM;PL
צעיר	fiatal	צעיר	fiatal	N;MASC;SG	
צעיר	fiatalos	צעיר	fiatalos	N;MASC;SG	ADJ;NOM;SG
הודו	pulyka	הודו	pulyka	PROPN	N;NOM;SG
הודו	törökország	הודו	törökország	PROPN	N;NOM;SG
הודו	india	הודו	india	PROPN	
הידוע	ismertek	הידוע	ismer		V;INDF;IND;PL;3;PST;FIN;ACT
לעולם	sosem	לעולם	sosem	ADV	
לעולם	soha	לעולם	soha	ADV	
הצבעה	szavazz	הצבעה	szavazz	N;FEM;SG	
הצבעה	szavazat	הצבעה	szavazat	N;FEM;SG	
הצבעה	szavazzatok	הצבעה	szavazont	N;FEM;SG	V;INDF;IND;PL;3;PRS;FIN;ACT
הצבעה	szavazó	הצבעה	szavazó	N;FEM;SG	
גישה	belépés	גישה	belépés	N;FEM;SG	
מועדון	club	מועדון	club	N;MASC;SG	
נמל	kikötők	נמל	ki+kötő	PROPN	N;NOM;PL
נמל	kikötő	נמל	kikötő	PROPN	N;NOM;SG
נמל	port	נמל	por	PROPN	
חוזה	szerződés	חוזה	szerződés	N;MASC;SG	
פעמיים	kétszer	פעמיים	két	ADV	
פרויקט	projekt	פרויקט	projekt	N;MASC;SG	
פרויקט	project	פרויקט	projec	N;MASC;SG	
מינים	faj	מין	faj	N;MASC;PL	N;NOM;SG
מינים	állatfaj	מין	állatfaj	N;MASC;PL	N;NOM;SG
אוסף	válogatás	אוסף	válogatás		N;NOM;SG
אוסף	összeállítás	אוסף	összeállítás		N;NOM;SG
אוסף	adatgyűjtés	אוסף	adatgyűjtés		N;NOM;SG
אוסף	gyűjtés	אוסף	gyűjtés		N;NOM;SG
אוסף	gyűjtemény	אוסף	gyűjtemény		N;NOM;SG
אוסף	kollekció	אוסף	kollekció		N;NOM;SG
צבע	színek	צבע	szín	N;MASC;SG	N;NOM;PL
