और	та	और	та		CONJ
रक्षा	захистити	रक्षा	захистити	N;NOM;FEM;SG;3	V;PFV;NFIN
रक्षा	стараються	रक्षा	старатися	N;NOM;FEM;SG;3	V;IPFV;IND;PL;3;PRS;FIN
रक्षा	захисти	रक्षा	захисти	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
रक्षा	оборони	रक्षा	оборона	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
रक्षा	оборону	रक्षा	оборона	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
जर्मन	німецька	जर्मन	німецький	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
जर्मन	німець	जर्मन	німець	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
जर्मन	герман	जर्मन	герман	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
जर्मन	німецькою	जर्मन	німецький	PROPN;NOM;MASC;SG;3	ADJ;INS;FEM;SG
जर्मन	німецький	जर्मन	німецький	PROPN;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
विपरीत	зворотний	विपरीत	зворотний		ADJ;NOM;MASC;SG
विपरीत	протилежність	विपरीत	протилежність		N;INAN;NOM;FEM;SG
विपरीत	відміну	विपरीत	відміна		N;INAN;ACC;FEM;SG
विपरीत	протилежний	विपरीत	протилежний		ADJ;NOM;MASC;SG
विपरीत	навпаки	विपरीत	навпаки		ADV
खुद	себе	खुद	себе	PRO;NOM	PRO;ACC;REFL
खुद	себе	खुद	себе	PRO;NOM	PRO;ACC;REFL
खुद	собі	खुद	себе	PRO;NOM	PRO;DAT;REFL
खुद	собою	खुद	себе	PRO;NOM	PRO;INS;REFL
खुद	виступили	खुद	виступити	PRO;NOM	V;PFV;IND;PL;PST;FIN
खुद	власне	खुद	власне	PRO;NOM	PART
खुद	власні	खुद	власний	PRO;NOM	ADJ;NOM;PL
खुद	власний	खुद	власний	PRO;NOM	ADJ;NOM;MASC;SG
निर्माता	продюсери	निर्माता	продюсер	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
निर्माता	виробники	निर्माता	виробник	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
निर्माता	карет	निर्माता	карета	N;NOM;MASC;SG;3	
निर्माता	виготовлено	निर्माता	виготовити	N;NOM;MASC;SG;3	V;PFV;IND;0;FIN
निर्माता	створив	निर्माता	створити	N;NOM;MASC;SG;3	V;PFV;MASC;IND;SG;PST;FIN
प्रतियोगिता	змагання	प्रतियोगिता	змагання	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
विद्युत	електрику	विद्युत	електрика	N;NOM;FEM;SG;3	N;INAN;ACC;FEM;SG
विद्युत	електрики	विद्युत	електрика	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
विद्युत	електроенергії	विद्युत	електроенергія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
विद्युत	електричний	विद्युत	електричний	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
विद्युत	електричний	विद्युत	електричний	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
वायु	air	वायु	air	N;NOM;FEM;SG;3	
वायु	повітряна	वायु	повітряний	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
निर्भर	залежать	निर्भर	залежати	ADJ	V;IPFV;IND;PL;3;PRS;FIN
अधिनियम	діяти	अधिनियम	діяти	N;NOM;MASC;SG;3	V;IPFV;NFIN
लिखे	пишіть	लिख	писати	V;PFV;MASC;PL;V.PTCP;ACT	V;IPFV;IMP;PL;2;FIN
रूस	росії	रूस	росія	PROPN;NOM;MASC;SG;3	PROPN;INAN;GEN;FEM;SG
रूस	росію	रूस	росіти	PROPN;NOM;MASC;SG;3	PROPN;INAN;ACC;FEM;SG
रूस	росія	रूस	росія	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
विजय	перемога	विजय	перемога	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
विजय	перемоги	विजय	перемога	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
बस	шини	बस	шина	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
बस	бус	बस	бути	N;NOM;FEM;SG;3	
बस	просто	बस	просто	N;NOM;FEM;SG;3	PART
बस	просто	बस	просто	N;NOM;FEM;SG;3	PART
बस	щойно	बस	щойно	N;NOM;FEM;SG;3	ADV
महाराष्ट्र	махараштра	महाराष्ट्र	махараштр	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
महिलाओं	дами	महिला	дами	N;ACC;FEM;PL;3	N;ANIM;NOM;FEM;PL
महिलाओं	леді	महिला	леді	N;ACC;FEM;PL;3	N;ANIM;NOM;FEM;SG
महिलाओं	дівчатка	महिला	дівчатко	N;ACC;FEM;PL;3	N;ANIM;NOM;FEM;PL
महिलाओं	пані	महिला	пані	N;ACC;FEM;PL;3	N;ANIM;NOM;FEM;SG
महिलाओं	жінки	महिला	жінка	N;ACC;FEM;PL;3	N;ANIM;NOM;FEM;PL
हमारे	наше	हम	наш	PRO;MASC;PL;1	DET;NOM;NEUT;SG;1
हमारे	наша	हम	наш	PRO;MASC;PL;1	DET;NOM;FEM;SG;1
हमारे	наші	हम	наш	PRO;MASC;PL;1	DET;NOM;PL;1
हमारे	наш	हम	наш	PRO;MASC;PL;1	DET;NOM;MASC;SG;1
फ्रांस	франції	फ्रांस	франція	PROPN;NOM;MASC;SG;3	PROPN;INAN;GEN;FEM;SG
फ्रांस	франція	फ्रांस	франція	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
फ्रांस	францію	फ्रांस	франція	PROPN;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
धारा	поточні	धारा	поточний	N;NOM;FEM;SG;3	ADJ;NOM;PL
धारा	поточний	धारा	поточний	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
धारा	поточна	धारा	поточний	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
धारा	секції	धारा	секція	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
प्रेम	кохаю	प्रेम	кохати	N;NOM;MASC;SG;3	V;IPFV;IND;SG;1;PRS;FIN
इंजन	двигуни	इंजन	двигун	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
इंजन	рушії	इंजन	рушія	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
अंतरराष्ट्रीय	міжнародний	अंतरराष्ट्रीय	міжнародний	PROPN;NOM;SG;3	ADJ;NOM;MASC;SG
अंतरराष्ट्रीय	міжнародна	अंतरराष्ट्रीय	міжнародний	PROPN;NOM;SG;3	ADJ;NOM;FEM;SG
अंतरराष्ट्रीय	міжнародні	अंतरराष्ट्रीय	міжнародний	PROPN;NOM;SG;3	ADJ;NOM;PL
अंतरराष्ट्रीय	інтернаціонал	अंतरराष्ट्रीय	інтернаціонал	PROPN;NOM;SG;3	N;INAN;NOM;MASC;SG
अंतरराष्ट्रीय	міжнародне	अंतरराष्ट्रीय	міжнародний	PROPN;NOM;SG;3	ADJ;NOM;NEUT;SG
कृष्णा	крішна	कृष्णा	крішний	PROPN;NOM;FEM;SG;3	PROPN;ANIM;NOM;FEM;SG
अभिनय	во	अभिनय	во	N;NOM;MASC;SG;3	
अभिनय	акторська	अभिनय	акторський	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अभिनय	діяти	अभिनय	діяти	N;NOM;MASC;SG;3	V;IPFV;NFIN
विधान	законодавчих	विधान	законодавчий	N;NOM;MASC;SG;3	ADJ;GEN;PL
रासायनिक	хімічна	रासायनिक	хімічний	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
रासायनिक	хімічні	रासायनिक	хімічний	N;NOM;MASC;SG;3	ADJ;NOM;PL
रासायनिक	хімічний	रासायनिक	хімічний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
कृष्ण	крішна	कृष्ण	крішний	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;FEM;SG
चलता	прогулянок	चल	прогулянка	V;IPFV;MASC;SG;V.PTCP;ACT	N;INAN;GEN;FEM;PL
डॉलर	долари	डॉलर	долар	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
डॉलर	доларів	डॉलर	долар	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
बच्चे	дітям	बच्चा	дитина	N;NOM;MASC;PL;3	N;ANIM;DAT;FEM;PL
बच्चे	дітьми	बच्चा	дитина	N;NOM;MASC;PL;3	N;ANIM;INS;FEM;PL
बच्चे	дітлахи	बच्चा	дітлах	N;NOM;MASC;PL;3	N;ANIM;INS;MASC;PL
बच्चे	дитя	बच्चा	дитя	N;NOM;MASC;PL;3	N;INAN;NOM;NEUT;SG
बच्चे	дитяче	बच्चा	дитячий	N;NOM;MASC;PL;3	ADJ;NOM;NEUT;SG
बच्चे	дитяча	बच्चा	дитячий	N;NOM;MASC;PL;3	ADJ;NOM;FEM;SG
बच्चे	дитина	बच्चा	дитина	N;NOM;MASC;PL;3	N;ANIM;NOM;FEM;SG
बच्चे	нащадок	बच्चा	нащадок	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
मन्दिर	храму	मन्दिर	храм	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
पर्याप्त	достатньо	पर्याप्त	достатньо	CONJ	ADV
पर्याप्त	досить	पर्याप्त	досить	CONJ	ADV
पर्याप्त	адекватна	पर्याप्त	адекватний	CONJ	ADJ;NOM;FEM;SG
पर्याप्त	оснащені	पर्याप्त	оснащений	CONJ	ADJ;PFV;NOM;PL;V.PTCP;PASS
मसीह	христос	मसीह	христос	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
मसीह	christ	मसीह	christ	PROPN;NOM;MASC;SG;3	
मसीह	христа	मसीह	христий	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
पूजा	служать	पूजा	служити	N;NOM;FEM;SG;3	V;IPFV;IND;PL;3;PRS;FIN
भारी	heavy	भारी	heavy	ADJ;NOM	
पत्नी	дружині	पत्नी	дружина	N;NOM;FEM;SG;3	N;ANIM;DAT;FEM;SG
मान्यता	чинний	मान्यता	чинний	N;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
इंडिया	індію	इंडिया	індія	PROPN;NOM;FEM;SG;3	PROPN;INAN;ACC;FEM;SG
इंडिया	індія	इंडिया	індія	PROPN;NOM;FEM;SG;3	PROPN;INAN;NOM;FEM;SG
इंडिया	індії	इंडिया	індія	PROPN;NOM;FEM;SG;3	PROPN;INAN;NOM;FEM;SG
कप	чашка	कप	чашка	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कप	чаша	कप	чаш	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
कप	кубок	कप	кубок	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
अत्यंत	неймовірні	अत्यन्त	неймовірний	CONJ	ADJ;NOM;PL
अत्यंत	надзвичайно	अत्यन्त	надзвичайно	CONJ	ADV
उचित	ярмарок	उचित	ярмарка	ADJ;NOM	N;INAN;NOM;MASC;SG
उचित	справедливо	उचित	справедливо	ADJ;NOM	ADV
उचित	відповідну	उचित	відповідний	ADJ;NOM	ADJ;ACC;FEM;SG
सड़क	стріт	सड़क	стріт	N;NOM;FEM;SG;3	
सड़क	дорожні	सड़क	дорожній	N;NOM;FEM;SG;3	ADJ;NOM;PL
रात	ночі	रात	ніч	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
विदेशी	іноземних	विदेशी	іноземний	N;NOM;MASC;SG;3	ADJ;ACC;PL
विदेशी	іноземні	विदेशी	іноземний	N;NOM;MASC;SG;3	ADJ;NOM;PL
विदेशी	іноземний	विदेशी	іноземний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
कोशिश	спробувати	कोशिश	спробувати	N;NOM;FEM;SG;3	V;PFV;NFIN
कोशिश	try	कोशिश	try	N;NOM;FEM;SG;3	
कोशिश	спробуйте	कोशिश	спробувати	N;NOM;FEM;SG;3	V;PFV;IMP;PL;2;FIN
सूत्र	формула	सूत्र	формула	N;NOM;MASC;PL;3	N;INAN;NOM;FEM;SG
सूत्र	сутра	सूत्र	сутро	N;NOM;MASC;PL;3	N;INAN;NOM;FEM;SG
जीव	істоти	जीव	істота	N;NOM;MASC;SG;3	N;ANIM;NOM;FEM;PL
डिग्री	градуси	डिग्री	градус	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
डिग्री	градусів	डिग्री	градус	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;PL
जिनके	чиє	जो	чий	PRO;MASC;SG;3	PRO;INAN;NOM;NEUT;SG
जिनके	чиї	जो	чий	PRO;MASC;SG;3	NUM;NOM
जिनके	чия	जो	чия	PRO;MASC;SG;3	DET;NOM;FEM;SG
जिनके	чий	जो	чий	PRO;MASC;SG;3	DET;NOM;MASC;SG
झील	озера	झील	озеро	N;NOM;FEM;SG;3	N;INAN;NOM;NEUT;PL
मामलों	випадках	मामला	випадок	N;ACC;MASC;PL;3	N;INAN;ESS;MASC;PL
मामलों	випадки	मामला	випадок	N;ACC;MASC;PL;3	N;INAN;NOM;MASC;PL
मामलों	випадків	मामला	випадок	N;ACC;MASC;PL;3	N;INAN;GEN;MASC;PL
यद्यपि	хоча	यद्यपि	хоча		CONJ
यद्यपि	щоправда	यद्यपि	щоправда		ADV
स्वामी	власник	स्वामी	власник	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;SG
स्वामी	свамі	स्वामी	свам	PROPN;NOM;MASC;SG;3	PROPN;ANIM;NOM;MASC;SG
स्वामी	власники	स्वामी	власник	PROPN;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
सिर्फ	щойно	सिर्फ	щойно	PART	ADV
कश्मीर	kashmir	कश्मीर	kashmir	PROPN;NOM;MASC;SG;3	
सुविधा	підприємстві	सुविधा	підприємство	N;NOM;FEM;SG;3	N;INAN;DAT;NEUT;SG
पिछले	попереднє	पिछला	попередній	ADJ;ACC;MASC;PL	ADJ;NOM;NEUT;SG
पिछले	попередні	पिछला	попередній	ADJ;ACC;MASC;PL	ADJ;NOM;PL
पिछले	попередній	पिछला	попередній	ADJ;ACC;MASC;PL	ADJ;NOM;MASC;SG
पिछले	попередня	पिछला	попередній	ADJ;ACC;MASC;PL	ADJ;NOM;FEM;SG
आयु	віці	आयु	вік	N;NOM;FEM;SG;3	ADV
आयु	віки	आयु	вік	N;NOM;FEM;SG;3	N;INAN;NOM;MASC;PL
प्रचार	рекламувати	प्रचार	рекламувати	N;NOM;MASC;SG;3	V;IPFV;NFIN
प्रचार	просувати	प्रचार	просувати	N;NOM;MASC;SG;3	V;IPFV;NFIN
प्रचार	розповсюдити	प्रचार	розповсюдити	N;NOM;MASC;SG;3	V;PFV;NFIN
प्रशिक्षण	тренінги	प्रशिक्षण	тренінг	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
फ़रवरी	лютому	फ़रवरी	лютий	PROPN;NOM;FEM;SG;3	N;INAN;DAT;MASC;SG
फ़रवरी	лютий	फ़रवरी	лютий	PROPN;NOM;FEM;SG;3	ADJ;NOM;MASC;SG
फ़रवरी	лютого	फ़रवरी	лютий	PROPN;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
फ़रवरी	лютого	फ़रवरी	лютий	PROPN;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
उल्लेखनीय	надзвичайно	उल्लेखनीय	надзвичайно	ADJ	ADV
रेडियो	рації	रेडियो	рація	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;PL
डिजाइन	designs	डिजाइन	designs	N;NOM;MASC;SG;3	
कंप्यूटर	computer	कंप्यूटर	computer	N;NOM;MASC;SG;3	
मंत्री	міністру	मंत्री	міністр	N;NOM;MASC;SG;3	N;ANIM;DAT;MASC;SG
मंत्री	міністрів	मंत्री	міністр	N;NOM;MASC;SG;3	N;ANIM;ACC;MASC;PL
मंत्री	міністри	मंत्री	міністр	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
सम्बन्ध	відносини	संबन्ध	відносини	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
आबादी	населеному	आबादी	населений	N;NOM;FEM;SG;3	ADJ;PFV;DAT;MASC;SG;V.PTCP;PASS
तत्व	елементи	तत्व	елемент	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
तत्व	елементом	तत्व	елемент	N;NOM;MASC;SG;3	N;INAN;INS;MASC;SG
तत्व	елементи	तत्व	елемент	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
दस	десятка	दस	десяток	NUM	N;INAN;NOM;MASC;SG
दस	тен	दस	тен	NUM	
भौतिक	фізична	भौतिक	фізичний		ADJ;NOM;FEM;SG
भौतिक	фізичні	भौतिक	фізичний		ADJ;NOM;PL
भौतिक	фізичне	भौतिक	фізичний		ADJ;NOM;NEUT;SG
जिन	цзінь	जो	цзінь	DET;ACC;PL;3	PROPN;INAN;NOM;MASC;SG
जिन	джин	जो	джин	DET;ACC;PL;3	PROPN;ANIM;NOM;MASC;SG
जिन	наливайка	जो	наливайка	DET;ACC;PL;3	N;ANIM;NOM;MASC;SG
आपको	тобою	आप	ти	PRO;SG;2;FORM	PRO;ANIM;INS;SG;2
आपको	ви	आप	ви	PRO;SG;2;FORM	PRO;ANIM;NOM;PL;2
आपको	ти	आप	ти	PRO;SG;2;FORM	PRO;ANIM;NOM;SG;2
आपको	тебе	आप	ти	PRO;SG;2;FORM	PRO;ANIM;ACC;SG;2
सहयोग	співпрацю	सहयोग	співпраця	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
गैस	газова	गैस	газовий	N;NOM;FEM;SG;3	ADJ;NOM;FEM;SG
गैस	газу	गैस	газ	N;NOM;FEM;SG;3	N;INAN;GEN;MASC;SG
वी	wii	वी	wii		
राय	думка	राय	думка	PROPN;NOM;SG;3	N;INAN;NOM;FEM;SG
राय	rai	राय	rai	PROPN;NOM;SG;3	
राय	рой	राय	рой	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
राय	руа	राय	руа	PROPN;NOM;SG;3	
राय	рою	राय	рій	PROPN;NOM;SG;3	N;INAN;GEN;MASC;SG
कनाडा	канаді	कनाडा	канада	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
कनाडा	канади	कनाडा	канада	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
कनाडा	канаду	कनाडा	канада	PROPN;NOM;MASC;SG;3	PROPN;INAN;ACC;FEM;SG
कनाडा	канада	कनाडा	канада	PROPN;NOM;MASC;SG;3	PROPN;INAN;NOM;FEM;SG
व्यक्तियों	особи	व्यक्ति	особа	N;ACC;MASC;PL;3	N;ANIM;NOM;FEM;PL
विश्लेषण	аналітики	विश्लेषण	аналітика	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
लक्ष्य	цілей	लक्ष्य	ціль	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
लक्ष्य	цілі	लक्ष्य	цілий	N;NOM;MASC;SG;3	ADJ;NOM;PL
लक्ष्य	голи	लक्ष्य	голий	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
न्यायालय	судові	न्यायालय	судовий	N;NOM;MASC;SG;3	ADJ;NOM;PL
तमिल	тамільська	तमिल	тамільський	PROPN;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
अधिकतर	здебільшого	अधिकतर	здебільшого	N;NOM;MASC;SG;3	ADV
अधिकतर	переважно	अधिकतर	переважно	N;NOM;MASC;SG;3	ADV
मीडिया	носії	मीडिया	носій	N;NOM;MASC;SG;3	N;ANIM;NOM;MASC;PL
मीडिया	мультимедіа	मीडिया	мультимедіа	N;NOM;MASC;SG;3	V;IPFV;IND;SG;3;FUT;FIN
मीडिया	змі	मीडिया	змо	N;NOM;MASC;SG;3	PROPN;INAN;NOM;MASC;SG
जूलियन	юліан	जूलियन	юліан	ADJ	PROPN;ANIM;NOM;MASC;SG
पार्क	парки	पार्क	парк	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
तट	бухті	तट	бухтя	N;NOM;MASC;SG;3	N;INAN;DAT;FEM;PL
अधिकारी	офіційні	अधिकारी	офіційний	N;NOM;MASC;PL;3	ADJ;NOM;PL
अधिकारी	офіційна	अधिकारी	офіційний	N;NOM;MASC;PL;3	ADJ;NOM;FEM;SG
अधिकारी	офіційний	अधिकारी	офіційний	N;NOM;MASC;PL;3	ADJ;NOM;MASC;SG
अधिकारी	офіційне	अधिकारी	офіційний	N;NOM;MASC;PL;3	ADJ;NOM;NEUT;SG
अधिकारी	наглядач	अधिकारी	наглядач	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
अधिकारी	офіцер	अधिकारी	офіцер	N;NOM;MASC;PL;3	N;ANIM;NOM;MASC;SG
अधिकारी	офіцерів	अधिकारी	офіцер	N;NOM;MASC;PL;3	N;ANIM;ACC;MASC;PL
तंत्र	системи	तंत्र	система	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
तंत्र	системний	तंत्र	системний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
तंत्र	системне	तंत्र	системний	N;NOM;MASC;SG;3	ADJ;NOM;NEUT;SG
तंत्र	системна	तंत्र	системний	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
सितम्बर	вересня	सितंबर	вересень	PROPN;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
सितम्बर	вересні	सितंबर	вересень	PROPN;NOM;MASC;SG;3	ADV
सितम्बर	вересень	सितंबर	вересень	PROPN;NOM;MASC;SG;3	N;INAN;NOM;MASC;SG
सितम्बर	sep	सितंबर	sep	PROPN;NOM;MASC;SG;3	
सप्ताह	тижні	सप्ताह	тиждень	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
सप्ताह	тижнів	सप्ताह	тиждень	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
निकट	поряд	निकट	поряд	ADV;NOM;MASC;SG;3	
निकट	біля	निकट	біля	ADV;NOM;MASC;SG;3	ADP;GEN
क्रम	замовити	क्रम	замовити	N;NOM;MASC;SG;3	V;PFV;NFIN
क्रम	послідовності	क्रम	послідовність	N;NOM;MASC;SG;3	N;INAN;ACC;FEM;SG
बनने	становлення	बन	становлення	V;NFIN;ACT	N;INAN;NOM;NEUT;SG
भवन	будуємо	भवन	будувати	N;NOM;MASC;SG;3	V;IPFV;IND;PL;1;PRS;FIN
भवन	будівельні	भवन	будівельний	N;NOM;MASC;SG;3	ADJ;NOM;PL
भवन	будівлі	भवन	будівля	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
भवन	будівлі	भवन	будівля	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
भवन	будівель	भवन	будівля	N;NOM;MASC;SG;3	N;INAN;GEN;FEM;PL
मिली	знайдені	मिल	знайдений	V;PFV;FEM;SG;V.PTCP;ACT	ADJ;PFV;NOM;PL;V.PTCP;PASS
मिली	got	मिल	got	V;PFV;FEM;SG;V.PTCP;ACT	
ग्राम	грамів	ग्राम	грам	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
ग्राम	грам	ग्राम	гра	N;NOM;MASC;SG;3	
ग्राम	грамів	ग्राम	грам	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
शायद	maybe	शायद	maybe	ADV	
देख	див	देख	див.	V;ACT	
लिंक	посиланням	लिंक	посилання	N;NOM;MASC;SG;3	N;INAN;INS;NEUT;SG
लिंक	посилання	लिंक	посилання	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
लिंक	link	लिंक	link	N;NOM;MASC;SG;3	
लिंक	лінки	लिंक	лінка	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
लिंक	посилання	लिंक	посилання	N;NOM;MASC;SG;3	N;INAN;NOM;NEUT;PL
लिंक	посиланнями	लिंक	посилання	N;NOM;MASC;SG;3	N;INAN;INS;NEUT;PL
लिंक	посилань	लिंक	посилання	N;NOM;MASC;SG;3	N;INAN;GEN;NEUT;PL
लक्षण	симптоми	लक्षण	симптом	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
लक्षण	знаки	लक्षण	знак	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
लक्षण	написи	लक्षण	напис	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
संपर्क	контактна	संपर्क	контактно	N;NOM;MASC;SG;3	ADJ;NOM;FEM;SG
संपर्क	контакти	संपर्क	контакт	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
वित्तीय	фінанси	वित्तीय	фінанса	ADJ;NOM	N;INAN;NOM;MASC;PL
गंगा	ганг	गंगा	ганг	PROPN;NOM;FEM;SG;3	N;INAN;NOM;FEM;SG
महीने	місяці	महीना	місяць	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
महीने	місяцями	महीना	місяцями	N;NOM;MASC;SG;3	N;INAN;INS;MASC;PL
महीने	місяців	महीना	місяць	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
महीने	місяця	महीना	місяць	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
शर्मा	шарма	शर्मा	шарма	PROPN;NOM;SG;3	PROPN;ANIM;NOM;MASC;SG
सुरक्षित	захищено	सुरक्षित	захищено	ADJ	V;PFV;IND;0;FIN
सुरक्षित	сейф	सुरक्षित	сейф	ADJ	
सुरक्षित	безпечно	सुरक्षित	безпечно	ADJ	ADV
लगातार	продовження	लगातार	продовження	ADV	N;INAN;NOM;NEUT;SG
लगातार	послідовних	लगातार	послідовний	ADV	ADJ;GEN;PL
लगातार	підряд	लगातार	підряд	ADV	
लगातार	послідовними	लगातार	послідовний	ADV	ADJ;INS;PL
पद्म	падма	पद्म	падма	PROPN;NOM;MASC;SG;3	N;INAN;NOM;FEM;SG
अत्यधिक	єгора	अत्यधिक	єгора		PROPN;ANIM;NOM;MASC;SG
अत्यधिक	надзвичайно	अत्यधिक	надзвичайно		ADV
बेहतर	better	बेहतर	better	ADJ	
बेहतर	краще	बेहतर	краще	ADJ	ADV;CMPR
लिपि	сценарії	लिपि	сценарія	N;NOM;FEM;SG;3	N;INAN;NOM;FEM;PL
एल्बम	альбому	एल्बम	альбий	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;SG
एल्बम	альбомів	एल्बम	альбом	N;NOM;MASC;SG;3	N;INAN;GEN;MASC;PL
एल्बम	альбоми	एल्बम	альбий	N;NOM;MASC;SG;3	N;INAN;NOM;MASC;PL
धन	гроші	धन	гроші	N;NOM;MASC;SG;3	N;INAN;NOM
सॉफ्टवेयर	програмний	सॉफ्टवेयर	програмний	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
सॉफ्टवेयर	програми	सॉफ्टवेयर	програма	N;NOM;MASC;SG;3	N;INAN;NOM;FEM;PL
योग	сума	योग	сума		N;INAN;NOM;FEM;SG
योग	суму	योग	сума		N;INAN;ACC;FEM;SG
योग	сум	योग	сума		
योग	йога	योग	йог		N;INAN;NOM;FEM;SG
योग	йоги	योग	йог		N;INAN;NOM;FEM;PL
योग	yoga	योग	yoga		
योग	підсумків	योग	підсумок		N;INAN;GEN;MASC;PL
शीर्ष	згори	शीर्ष	згори	N;NOM;MASC;SG;3	ADV
शीर्ष	вгорі	शीर्ष	вгорі	N;NOM;MASC;SG;3	
शीर्ष	топ	शीर्ष	топ	N;NOM;MASC;SG;3	
शीर्ष	верхній	शीर्ष	верхній	N;NOM;MASC;SG;3	ADJ;NOM;MASC;SG
