hope	nádej	hope	nádej	PROPN	N;NOM;FEM;SG
emma	emmu	emma	emm	PROPN	N;ACC;FEM;SG
emma	emma	emma	emma	PROPN	PROPN;NOM;FEM;SG
tertangkap	chytený	tertangkap	chytený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	chytili	tertangkap	chytiť	V;SG;PASS	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
tertangkap	rozbité	tertangkap	rozbitý	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tertangkap	chytený	tertangkap	chytený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	zachytený	tertangkap	zachytený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	chytený	tertangkap	chytený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
tertangkap	zachytené	tertangkap	zachytený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
tertangkap	zajali	tertangkap	zajať	V;SG;PASS	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
pelaut	námorníci	penlaut	námorník	N;SG	N;ANIM;NOM;MASC;PL
pelaut	námorníci	penlaut	námorník	N;SG	N;ANIM;NOM;MASC;PL
pelaut	námorníkov	penlaut	námorník	N;SG	N;ANIM;ACC;MASC;PL
perkantoran	kancelárie	perkantoran	kancelária	N;SG	N;NOM;FEM;PL
perkantoran	kancelárske	perkantoran	kancelársky	N;SG	ADJ;NOM;NEUT;PL
perkantoran	pracovne	perkantoran	pracovne	N;SG	N;NOM;FEM;PL
utang	dlhy	utang	dlh	N;SG	N;INAN;NOM;MASC;PL
utang	dlhy	utang	dlh	N;SG	N;INAN;NOM;MASC;PL
wordpress	wordpress	wordpress	wordpress	PROPN	N;NOM;FEM;SG
montenegro	čiernohorský	montenegro	čiernohorský	PROPN	ADJ;ANIM;NOM;MASC;SG
pecinta	milenci	pecinta	milenec	N;SG	N;ANIM;NOM;MASC;PL
pecinta	milovníkov	pecinta	milovník	N;SG	N;ANIM;ACC;MASC;PL
pecinta	milencov	pecinta	milenec	N;SG	N;ANIM;ACC;MASC;PL
tayangan	dojmy	tayangan	dojem	N;SG	N;INAN;NOM;MASC;PL
tayangan	zobrazenia	tayangan	zobrazenie	N;SG	N;NOM;NEUT;PL
tayangan	pohľady	tayangan	pohľad	N;SG	N;INAN;NOM;MASC;PL
tayangan	zobrazenia	tayangan	zobrazenie	N;SG	N;NOM;NEUT;PL
tayangan	názory	tayangan	názor	N;SG	N;INAN;NOM;MASC;PL
hikayat	saga	hikayat	saga	N	PROPN;ANIM;NOM;MASC;SG
kelanjutan	pokračovania	kelanjutan	pokračovanie	N;SG	N;NOM;NEUT;PL
commons	commons	commons	commons	PROPN	
orientasi	orientácie	orientasi	orientácia	N;SG	N;NOM;FEM;PL
sandy	sandy	sandy	sanda	PROPN	N;NOM;FEM;PL
diana	diana	diana	diana	PROPN	N;NOM;FEM;SG
tai	tai	tai	tai	PROPN	
engineer	inžinier	engineer	inžinker	PROPN	N;ANIM;NOM;MASC;SG
banding	odvolanie	banding	odvolanie	PROPN;SG;ACT	N;NOM;NEUT;SG
banding	odvolania	banding	odvolanie	PROPN;SG;ACT	N;NOM;NEUT;PL
banding	odvolal	banding	odvolať	PROPN;SG;ACT	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
banding	odvolanie	banding	odvolanie	PROPN;SG;ACT	N;NOM;NEUT;SG
banding	odvolania	banding	odvolanie	PROPN;SG;ACT	N;NOM;NEUT;PL
idris	idris	idris	idris		PROPN;ANIM;NOM;MASC;SG
gak	gak	gak	gak	PART	PROPN;ANIM;NOM;MASC;SG
newcastle	newcastle	newcastle	newcastle	PROPN	PROPN;NOM;NEUT;SG
bir	pivá	bir	pivý	N;SG	N;NOM;NEUT;PL
rusa	los	rusa	los	N	PROPN;ANIM;NOM;MASC;SG
redaksi	vydavateľ	redaksi	vydavateľ	PROPN	N;ANIM;NOM;MASC;SG
redaksi	editor	redaksi	editor	PROPN	N;INAN;NOM;MASC;SG
redaksi	redakčné	redaksi	redakčný	PROPN	ADJ;NOM;NEUT;SG
redaksi	redaktorov	redaksi	redaktor	PROPN	N;ANIM;ACC;MASC;PL
cooper	cooper	cooper	cooper	PROPN	PROPN;ANIM;NOM;MASC;SG
bahu	ramena	bahu	ramena	N;SG	N;NOM;NEUT;PL
bahu	plecia	bahu	plece	N;SG	N;NOM;NEUT;PL
bahu	ramená	bahu	rameno	N;SG	N;NOM;NEUT;PL
berlari	chode	berlari	choda	V;SG;ACT	N;INAN;NOM;MASC;SG
berlari	beh	berlari	beh	V;SG;ACT	N;INAN;NOM;MASC;SG
anggrek	orchidey	anggrek	orchidey	N;SG	N;INAN;NOM;MASC;PL
berinteraksi	zasnúbená	berinteraksi	zasnúbený	V;SG;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
berinteraksi	zapojené	berinteraksi	zapojený	V;SG;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
berinteraksi	zasnúbený	berinteraksi	zasnúbený	V;SG;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
arwah	liehoviny	arwah	liehovina	N;SG	N;NOM;FEM;PL
arwah	duchovia	arwah	duch	N;SG	N;ANIM;NOM;MASC;PL
arwah	destiláty	arwah	destilát	N;SG	N;INAN;NOM;MASC;PL
arwah	duchov	arwah	duch	N;SG	N;INAN;GEN;MASC;PL
arwah	duše	arwah	duša	N;SG	N;NOM;FEM;PL
michelle	michelle	michelle	michelle	N	PROPN;NOM;FEM;SG
michelle	michele	michelle	michel	N	PROPN;ANIM;NOM;MASC;SG
electronic	elektronický	electronic	elektronický	PROPN	ADJ;INAN;NOM;MASC;SG
electronic	elektronická	electronic	elektronický	PROPN	ADJ;NOM;FEM;SG
electronic	elektronické	electronic	elektronický	PROPN	ADJ;NOM;NEUT;SG
electronic	elektronickej	electronic	elektronický	PROPN	ADJ;GEN;FEM;SG
campbell	campbell	campbell	campbell	PROPN	PROPN;ANIM;NOM;MASC;SG
nevada	nevade	nevada	vadieť	PROPN	PROPN;NOM;MASC;SG
meiji	meidži	meiji	meidž	PROPN	N;NOM;MASC;SG
côte	côte	côte	côt	PROPN	N;INAN;NOM;MASC;SG
disk	disk	disk	disk	PROPN	N;INAN;NOM;MASC;SG
disk	disku	disk	disko	PROPN	N;NOM;NEUT;SG
disk	kotúč	disk	kotúč	PROPN	N;INAN;NOM;MASC;SG
disk	kotúča	disk	kotúč	PROPN	N;INAN;GEN;MASC;SG
disk	disk	disk	disk	PROPN	N;INAN;NOM;MASC;SG
disk	disku	disk	disko	PROPN	N;NOM;NEUT;SG
disk	disky	disk	diska	PROPN	N;NOM;FEM;PL
disk	diskov	disk	diskov	PROPN	N;GEN;FEM;PL
thompson	thompson	thompson	thompson	PROPN	PROPN;ANIM;NOM;MASC;SG
rudy	rudy	rudy	ruda	PROPN	N;NOM;FEM;PL
ugm	ugm	ugm	ugma	PROPN	PROPN;ANIM;NOM;MASC;SG
elit	elity	elit	elity	N;SG	N;NOM;FEM;PL
elit	elite	elit	elita	N;SG	
susan	zuzana	susan	zuzan	PROPN	N;NOM;FEM;SG
susan	susan	susan	susan	PROPN	PROPN;NOM;FEM;SG
shadow	tieň	shadow	tieň	PROPN	N;INAN;NOM;MASC;SG
shadow	tieňom	shadow	tieň	PROPN	N;INAN;INS;MASC;SG
shadow	tieňa	shadow	tieň	PROPN	N;INAN;GEN;MASC;SG
kobayashi	kobayashi	kobayashi	kobayas	PROPN	N;ANIM;NOM;MASC;SG
bull	býk	bull	býk	PROPN	N;ANIM;NOM;MASC;SG
bull	bull	bull	bull	PROPN	PROPN;ANIM;NOM;MASC;SG
jujur	čestne	jujur	čestne	ADJ;SG	ADV
jujur	poctivo	jujur	poctivo	ADJ;SG	ADV
jujur	úprimne	jujur	úprimne	ADJ;SG	ADV
jujur	uprimne	jujur	uprimne	ADJ;SG	
instalasi	inštalácie	instalasi	inštalácia	N;SG	N;NOM;FEM;PL
instalasi	inštalácie	instalasi	inštalácia	N;SG	N;NOM;FEM;PL
instalasi	zariadenia	instalasi	zariadenie	N;SG	N;NOM;NEUT;PL
instalasi	prevádzky	instalasi	prevádzka	N;SG	N;NOM;FEM;PL
cabai	čili	cabai	čiť	N;SG	N;INAN;NOM;MASC;PL
antarktika	antarktíde	antarktika	antarktída	PROPN	N;NOM;FEM;SG
antarktika	antarktída	antarktika	antarktíd	PROPN	N;NOM;FEM;SG
diiringi	sprevádzaná	diiringi	sprevádzaný	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
diiringi	sprevádzané	diiringi	sprevádzaný	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
room	miestnosť	room	miestnosť	PROPN	N;NOM;FEM;SG
room	izbu	room	izba	PROPN	N;ACC;FEM;SG
room	izby	room	izba	PROPN	N;NOM;FEM;PL
room	izba	room	izba	PROPN	N;NOM;FEM;SG
room	miestnosti	room	miestnosť	PROPN	N;NOM;FEM;PL
launch	štart	launch	štart	PROPN	N;INAN;NOM;MASC;SG
launch	spustenie	launch	spustenie	PROPN	N;NOM;NEUT;SG
launch	spustiť	launch	spustiť	PROPN	V;PFV;POS;NFIN
lencana	odznaky	lencana	odznak	N;SG	N;INAN;NOM;MASC;PL
rindu	chýbať	rindu	chýbať	PROPN;SG	V;IPFV;POS;NFIN
rindu	slečna	rindu	slečna	PROPN;SG	N;NOM;FEM;SG
rindu	miss	rindu	miss	PROPN;SG	
lembar	listy	lembar	list	N;SG	N;INAN;NOM;MASC;PL
lembar	plachty	lembar	plachta	N;SG	N;INAN;NOM;MASC;PL
lembar	plechy	lembar	plech	N;SG	N;INAN;NOM;MASC;PL
faksi	frakcie	faksi	frakcia	N;SG	N;NOM;FEM;PL
bruno	bruno	bruno	bruno	PROPN	PROPN;ANIM;NOM;MASC;SG
kelautan	morské	kelautan	morský	N;SG	ADJ;NOM;NEUT;SG
kelautan	morských	kelautan	morský	N;SG	ADJ;GEN;MASC;PL
kelautan	morský	kelautan	morský	N;SG	ADJ;ANIM;NOM;MASC;SG
kelautan	námorných	kelautan	námorný	N;SG	ADJ;GEN;MASC;PL
kelautan	námorné	kelautan	námorný	N;SG	ADJ;NOM;NEUT;SG
bayangan	tiene	bayangan	tieň	N;SG	N;INAN;NOM;MASC;PL
rect	rect	rect	rect	PROPN	PROPN;ANIM;NOM;MASC;SG
close	zatvoriť	close	zatvoriť	PROPN	V;PFV;POS;NFIN
close	uzavrieť	close	uzavrieť	PROPN	V;PFV;POS;NFIN
close	zavrieť	close	zavrieť	PROPN	V;PFV;POS;NFIN
eddy	eddy	eddy	eddy	PROPN	PROPN;ANIM;NOM;MASC;SG
ajax	ajax	ajax	ajax	PROPN	PROPN;ANIM;NOM;MASC;SG
keberadaannya	existencie	keberadaan	existencia	N;SG	N;NOM;FEM;PL
romeo	romeo	romeo	romeo	PROPN	N;INAN;NOM;MASC;SG
justin	justin	justin	justin	PROPN	PROPN;ANIM;NOM;MASC;SG
justin	justina	justin	justina	PROPN	N;NOM;FEM;SG
dirasakan	vnímané	dirasakan	vnímaný	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dirasakan	cítili	dirasakan	cítiť	V;SG;PASS	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
keterbatasan	obmedzení	keterbatasan	obmedzenie	N;SG	N;NOM;NEUT;PL
keterbatasan	obmedzenia	keterbatasan	obmedzenie	N;SG	N;NOM;NEUT;PL
monica	monika	monica	monika	PROPN	N;NOM;FEM;SG
monica	monica	monica	monica	PROPN	N;NOM;FEM;SG
sendirian	samé	sendirian	samý	N;SG	DET;NOM;NEUT;SG
sendirian	sama	sendirian	sám	N;SG	DET;NOM;FEM;SG
sendirian	samostatne	sendirian	samostatne	N;SG	ADV
sendirian	sami	sendirian	sám	N;SG	DET;ANIM;NOM;MASC;PL
sendirian	sám	sendirian	sám	N;SG	DET;ANIM;NOM;MASC;SG
ingat	zapamätať	ingat	zapamätať		V;PFV;POS;NFIN
ingat	pamätať	ingat	pamätať		V;IPFV;POS;NFIN
ingat	pamätaj	ingat	pamätať		INTJ
ingat	pamätajte	ingat	pamätať		V;IPFV;IMP;PL;2;POS;FIN
bio	bio	bio	bio	PROPN	N;INAN;NOM;MASC;SG
ilegal	nelegálne	ilegal	legálny	N;SG	ADJ;NOM;NEUT;SG
ilegal	nelegálna	ilegal	legálny	N;SG	ADJ;NOM;FEM;SG
ilegal	nezákonné	ilegal	nezákonný	N;SG	ADJ;NOM;NEUT;SG
ilegal	nelegálny	ilegal	nelegálny	N;SG	ADJ;ANIM;NOM;MASC;SG
ilegal	ilegálne	ilegal	ilegálny	N;SG	ADV
busur	luky	busur	luka	N;SG	N;NOM;FEM;PL
luasnya	miery	luas	miera	N;SG	N;NOM;FEM;PL
persenjataan	zbrojnice	persenjataan	zbrojnica	N;SG	N;NOM;FEM;PL
kantong	vreckové	kantong	vreckový	N;SG	ADJ;NOM;NEUT;SG
kantong	vrecká	kantong	vrecko	N;SG	N;NOM;NEUT;PL
kantong	vrecia	kantong	vrecať	N;SG	N;NOM;NEUT;PL
kantong	vaky	kantong	vak	N;SG	N;INAN;NOM;MASC;PL
kantong	vrecúška	kantong	vrecúška	N;SG	N;NOM;NEUT;PL
kantong	tašky	kantong	taška	N;SG	N;NOM;FEM;PL
kelayakan	oprávnenosti	kelayakan	oprávnenosť	N;SG	N;NOM;FEM;PL
copy	skopírovať	copy	skopírovať	PROPN	V;POS;NFIN
copy	kopírovať	copy	kopírovať	PROPN	V;IPFV;POS;NFIN
copy	kópia	copy	kópia	PROPN	N;NOM;FEM;SG
fisikawan	fyzici	fisikawan	fyzica	N;MASC;SG	N;ANIM;NOM;MASC;PL
puasa	nalačno	puasa	nalačno	PROPN;SG	ADV
puasa	rýchle	puasa	rýchly	PROPN;SG	ADJ;NOM;NEUT;SG
puasa	rýchlo	puasa	rýchlo	PROPN;SG	ADV
puasa	rýchly	puasa	rýchly	PROPN;SG	ADJ;ANIM;NOM;MASC;SG
puasa	rýchla	puasa	rýchly	PROPN;SG	ADJ;NOM;FEM;SG
interwiki	interwiki	interwiki	intergik	PROPN	N;NOM;FEM;PL
dollar	doláre	dollar	dolár	PROPN	N;INAN;NOM;MASC;PL
dollar	dolárov	dollar	dolár	PROPN	N;INAN;GEN;MASC;PL
dollar	dolár	dollar	dolár	PROPN	N;INAN;NOM;MASC;SG
mandala	mandala	mandala	mandať	PROPN	N;NOM;FEM;SG
depresi	depresívne	depresi	depresívne	N;SG	ADV
depresi	depresie	depresi	depresie	N;SG	N;NOM;FEM;PL
pembaruan	aktualizuje	penbaruan	aktualizovať	N;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
pembaruan	aktuality	penbaruan	aktualita	N;SG	N;NOM;FEM;PL
pembaruan	aktualizácie	penbaruan	aktualizácia	N;SG	N;NOM;FEM;PL
pembaruan	aktualizovať	penbaruan	aktualizovať	N;SG	V;IPFV;POS;NFIN
evans	evans	evans	evans	PROPN	PROPN;ANIM;NOM;MASC;SG
moskow	moskve	moskow	moskva	PROPN	N;INAN;NOM;MASC;SG
moskow	moskvy	moskow	moskva	PROPN	N;NOM;FEM;PL
moskow	moskva	moskow	moskvo	PROPN	N;INAN;NOM;MASC;SG
pengecualian	výnimky	pengecualian	výnimka	N;SG	N;NOM;FEM;PL
pengecualian	vylúčenia	pengecualian	vylúčenie	N;SG	N;NOM;NEUT;PL
pengecualian	výnimky	pengecualian	výnimka	N;SG	N;NOM;FEM;PL
pengecualian	vylúčení	pengecualian	vylúčený	N;SG	ADJ;ANIM;NOM;MASC;PL;POS;V.PTCP;PASS
pengecualian	výnimky	pengecualian	výnimka	N;SG	N;NOM;FEM;PL
pengecualian	vylúčenia	pengecualian	vylúčenie	N;SG	N;NOM;NEUT;PL
butuh	treba	butuh	treba	V;SG;ACT	ADV
butuh	potrebné	butuh	potrebný	V;SG;ACT	ADJ;NOM;NEUT;SG
butuh	potreba	butuh	potreba	V;SG;ACT	N;NOM;FEM;SG
sandra	sandra	sandra	sandra	PROPN	N;NOM;FEM;SG
sintesis	syntézy	sintesis	syntéza	N;SG	N;NOM;FEM;PL
keterlibatan	zapojenia	keterlibatan	zapojenie	N;SG	N;NOM;NEUT;PL
andre	andre	andre	andre	PROPN	PROPN;ANIM;NOM;MASC;SG
halo	ahoj	halo	ahoj	PROPN	INTJ
halo	hello	halo	hello	PROPN	N;NOM;MASC;SG
halo	ahojte	halo	ahojt	PROPN	INTJ
halo	halo	halo	hať	PROPN	INTJ
tendangan	kopy	tendangan	kopa	N;SG	N;NOM;FEM;PL
tendangan	kopnúť	tendangan	kopnúť	N;SG	V;IPFV;POS;NFIN
alexandria	alexandrii	alexandria	alexandria	PROPN;SG	N;DAT;FEM;SG
akira	akira	akira	akira	PROPN	N;NOM;FEM;SG
sasuke	sasuke	sasuke	sasuk	PROPN	N;ANIM;VOC;MASC;SG
collins	collins	collins	collins	PROPN	PROPN;ANIM;NOM;MASC;SG
sing	spievaj	sing	spievať	PROPN	V;IPFV;IMP;SG;2;POS;FIN
sing	zaspievať	sing	zaspievať	PROPN	V;IPFV;POS;NFIN
sing	spievať	sing	spievať	PROPN	V;IPFV;POS;NFIN
dimasak	varené	dimasak	varený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
circle	kruhy	circle	kruh	PROPN	N;INAN;NOM;MASC;PL
circle	kruhoch	circle	kruh	PROPN	N;INAN;INS;MASC;PL
circle	kruh	circle	kruh	PROPN	N;INAN;NOM;MASC;SG
circle	krúžok	circle	krúžok	PROPN	N;INAN;NOM;MASC;SG
circle	kruhu	circle	kruh	PROPN	N;INAN;GEN;MASC;SG
gizi	výživu	gizi	výživ	PROPN;SG	N;ACC;FEM;SG
gizi	výživa	gizi	výživ	PROPN;SG	N;NOM;FEM;SG
gizi	výživy	gizi	výživ	PROPN;SG	N;NOM;FEM;PL
gizi	výživové	gizi	výživový	PROPN;SG	ADJ;NOM;NEUT;SG
gizi	nutričné	gizi	nutričný	PROPN;SG	ADJ;NOM;NEUT;SG
gizi	živiny	gizi	živina	PROPN;SG	N;NOM;FEM;PL
gizi	živín	gizi	živina	PROPN;SG	N;GEN;FEM;PL
sato	sato	sato	sato	PROPN	PROPN;ANIM;NOM;MASC;SG
ditangani	zvládli	ditangani	zvládnuť	V;SG;PASS	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
industrial	priemyselný	industrial	priemyselný	PROPN	ADJ;ANIM;NOM;MASC;SG
industrial	priemyselná	industrial	priemyselný	PROPN	ADJ;NOM;FEM;SG
industrial	priemyselné	industrial	priemyselný	PROPN	ADJ;NOM;NEUT;SG
kesimpulan	závery	kesimpulan	záver	N;SG	N;INAN;NOM;MASC;PL
kesimpulan	záverov	kesimpulan	záver	N;SG	N;INAN;GEN;MASC;PL
nuh	noah	nuh	noah	PROPN	PROPN;ANIM;NOM;MASC;SG
menyembuhkan	uzdravenie	mensembuhkan	uzdravenie	V;SG;ACT	N;NOM;NEUT;SG
menyembuhkan	liek	mensembuhkan	liek	V;SG;ACT	N;INAN;NOM;MASC;SG
menyembuhkan	konzervovanie	mensembuhkan	konzervovanie	V;SG;ACT	N;NOM;NEUT;SG
eye	oka	eye	oko	PROPN	N;GEN;NEUT;SG
eye	eye	eye	eye	PROPN	
eye	oku	eye	oko	PROPN	N;INAN;DAT;MASC;SG
eye	okom	eye	oko	PROPN	ADV
eye	oko	eye	oko	PROPN	N;NOM;NEUT;SG
runtuh	skolaboval	runtuh	skolabovať	;SG	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
runtuh	zrútil	runtuh	zrútiť	;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
runtuh	rozpadne	runtuh	rozpadnúť	;SG	V;PFV;IND;SG;3;POS;PRS;FIN
runtuh	zabaliť	runtuh	zabaliť	;SG	V;PFV;POS;NFIN
runtuh	zbaliť	runtuh	zbaliť	;SG	V;PFV;POS;NFIN
runtuh	zrútenie	runtuh	zrútenie	;SG	N;NOM;NEUT;SG
runtuh	kolaps	runtuh	kolaps	;SG	N;INAN;NOM;MASC;SG
runtuh	zrúti	runtuh	zrútiť	;SG	V;PFV;IND;SG;3;POS;PRS;FIN
rita	rita	rita	rita	PROPN	PROPN;NOM;FEM;SG
wwe	wwe	wwe	wen	PROPN	PROPN;ANIM;NOM;MASC;SG
wwe	mozeme	wwe	môzť	PROPN	N;INAN;NOM;MASC;SG
maritim	námornej	maritim	námorný	N	ADJ;GEN;FEM;SG
maritim	námorné	maritim	námorný	N	ADJ;NOM;NEUT;SG
maritim	námorná	maritim	námorný	N	ADJ;NOM;FEM;SG
maritim	námorný	maritim	námorný	N	ADJ;ANIM;NOM;MASC;SG
biologis	biologicky	biologis	biologicky	N;SG	ADV
biologis	biologickej	biologis	biologický	N;SG	ADJ;GEN;FEM;SG
biologis	biologický	biologis	biologický	N;SG	ADJ;ANIM;NOM;MASC;SG
biologis	biologické	biologis	biologický	N;SG	ADJ;NOM;NEUT;SG
biologis	biologická	biologis	biologický	N;SG	ADJ;NOM;FEM;SG
biologis	biologicky	biologis	biologicky	N;SG	ADV
inside	dovnútra	inside	dovnútra	PROPN	ADV
inside	vnútri	inside	vnútro	PROPN	N;NOM;NEUT;SG
lie	klamstvo	lie	klamstvo	PROPN	N;NOM;NEUT;SG
lie	lož	lie	lož	PROPN	N;NOM;FEM;SG
lie	klam	lie	klam	PROPN	N;INAN;NOM;MASC;SG
lie	klameš	lie	klamať	PROPN	V;IPFV;IND;SG;2;POS;PRS;FIN
lie	klamať	lie	klamať	PROPN	V;IPFV;POS;NFIN
kate	katka	kate	katka	PROPN	N;NOM;FEM;SG
sms	textov	sms	text	PROPN	N;INAN;GEN;MASC;PL
sms	znenia	sms	znenie	PROPN	N;NOM;NEUT;PL
sms	texty	sms	text	PROPN	N;INAN;NOM;MASC;PL
sms	sms	sms	sms	PROPN	
sms	textový	sms	textový	PROPN	ADJ;INAN;NOM;MASC;SG
sms	text	sms	text	PROPN	N;INAN;NOM;MASC;SG
kurt	kurt	kurt	kurt	PROPN	PROPN;ANIM;NOM;MASC;SG
andré	andré	andré	andrý	PROPN	PROPN;ANIM;NOM;MASC;SG
dallas	dallas	dallas	dallas	PROPN	PROPN;ANIM;NOM;MASC;SG
diperluas	rozšírený	diperluas	rozšírený	V;SG;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
diperluas	rozšírená	diperluas	rozšírený	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
diperluas	rozšírené	diperluas	rozšírený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
diperluas	predĺžený	diperluas	predĺžený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
diperluas	rozšírený	diperluas	rozšírený	V;SG;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
diperluas	predĺžená	diperluas	predĺžený	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
diperluas	rozšírená	diperluas	rozšírený	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
diperluas	predĺžené	diperluas	predĺžený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
diperluas	rozšírené	diperluas	rozšírený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
terganggu	rozptýlený	terganggu	rozptýlený	V;SG;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
terganggu	prerušená	terganggu	prerušený	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
terganggu	prerušené	terganggu	prerušený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
terganggu	prerušený	terganggu	prerušený	V;SG;PASS	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
terganggu	narušené	terganggu	narušený	V;SG;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
terganggu	narušený	terganggu	narušený	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
terganggu	narušená	terganggu	narušený	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
terganggu	nahnevaný	terganggu	nahnevaný	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
terganggu	naštvaný	terganggu	naštvaný	V;SG;PASS	ADJ;ANIM;NOM;MASC;SG
terganggu	nahnevaná	terganggu	nahnevaný	V;SG;PASS	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
kutukan	zatratenia	kutukan	zatratenie	N;SG	N;NOM;NEUT;PL
add	pridaj	add	pridaj	PROPN	V;PFV;IMP;SG;2;POS;FIN
add	pridať	add	pridať	PROPN	V;PFV;POS;NFIN
perundingan	rozhovory	penrundingan	rozhovor	N;SG	N;INAN;NOM;MASC;PL
perundingan	rozpráva	penrundingan	rozprávať	N;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
perundingan	vyjednávania	penrundingan	vyjednávanie	N;SG	N;NOM;NEUT;PL
perundingan	rokovania	penrundingan	rokovanie	N;SG	N;NOM;NEUT;PL
perundingan	vyjednávať	penrundingan	vyjednávať	N;SG	V;IPFV;POS;NFIN
temuan	nájde	temuan	nájsť	N;SG	V;PFV;IND;SG;3;POS;PRS;FIN
temuan	zistenia	temuan	zistenie	N;SG	N;NOM;NEUT;PL
temuan	nálezy	temuan	nález	N;SG	N;INAN;NOM;MASC;PL
antarmuka	rozhrania	antarmuka	rozhranie	N;SG	N;NOM;NEUT;PL
petang	večer	petang	večer	N;SG	ADV
petang	večerný	petang	večerný	N;SG	ADJ;INAN;NOM;MASC;SG
petang	večerné	petang	večerný	N;SG	ADJ;NOM;NEUT;SG
petang	večerná	petang	večerný	N;SG	ADJ;NOM;FEM;SG
earl	earl	earl	earl	PROPN	PROPN;ANIM;NOM;MASC;SG
earl	earls	earl	earls	PROPN	PROPN;INAN;NOM;MASC;SG
aditya	amelia	aditya	ameliť	PROPN	PROPN;NOM;FEM;SG
diagram	schémy	diagram	schý	N;SG	N;NOM;FEM;PL
diagram	diagramy	diagram	diagrama	N;SG	N;INAN;NOM;MASC;PL
tempuh	emilia	tempuh	emilie	N;SG;ACT	PROPN;NOM;FEM;SG
affairs	záležitosti	affairs	záležitosť	PROPN	N;NOM;FEM;PL
transfermarkt	transfermarkt	transfermarkt	transfermarkt	PROPN	N;INAN;NOM;MASC;SG
elektro	elektrická	elektro	elektrický	N;SG	ADJ;NOM;FEM;SG
elektro	elektrický	elektro	elektrický	N;SG	ADJ;INAN;NOM;MASC;SG
elektro	elektrických	elektro	elektrický	N;SG	ADJ;GEN;MASC;PL
elektro	elektrické	elektro	elektrický	N;SG	ADJ;NOM;NEUT;SG
sandi	heslá	sandi	heslo	N;SG	N;NOM;NEUT;PL
administrator	administrátori	administrator	administrátor	N;SG	N;ANIM;NOM;MASC;PL
administrator	správcovia	administrator	správca	N;SG	N;ANIM;NOM;MASC;PL
lutheran	evanjelický	lutheran	evanjelický	N	ADJ;ANIM;NOM;MASC;SG
iucn	iucn	iucn	iucn	PROPN	N;ANIM;NOM;MASC;SG
neil	neil	neil	neiť	PROPN	PROPN;ANIM;NOM;MASC;SG
susah	tvrdo	susah	tvrdo	ADJ;SG	ADV
susah	silno	susah	silno	ADJ;SG	ADV
susah	ťažko	susah	ťažko	ADJ;SG	ADV
