من	که	مِن	که	ADP	CONJ
ديوان	دیوان	ديوان	دیوان		N;SG
الخارجي	بیرونی	خَارِجِيّ	None	ADJ;NOM;DEF;MASC;SG	N;SG
النتيجة	نتیجۀ	نَتِيجَة	نتیجۀ	N;NOM;DEF;SG	
اليونانية	یونان	يُونَانِيّ	یونان	ADJ;NOM;DEF;FEM;SG	N;SG
اليونانية	یونانی	يُونَانِيّ	یونانی	ADJ;NOM;DEF;FEM;SG	N;SG
المنتجات	فرآورده	مُنتَج	فرآورده	N;NOM;DEF;PL	N;SG
المنتجات	محصول	مُنتَج	محصول	N;NOM;DEF;PL	N;SG
المنتجات	ضرب	مُنتَج	None	N;NOM;DEF;PL	N;SG
المنتجات	حاصل	مُنتَج	حاصل	N;NOM;DEF;PL	N;SG
يو	یو	يُو	None		N;SG
خليل	خلیل	خليل	خلیل		N;SG
تسمح	اجازۀ	سَمَح	اجازۀ	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;SG
اللواء	الرسول	لِوَاء	الرسول	N;NOM;DEF;SG	
اللواء	عمومی	لِوَاء	عمومی	N;NOM;DEF;SG	ADJ
الموارد	منبع	مَورِد	منبع	N;NOM;DEF;PL	N;SG
العقد	قرارداده	عَقد	قرارداده	N;NOM;DEF;SG	V;SG;3;V.PTCP
قمة	بالا	قِمَّة	بالا	N;NOM;INDF;SG	ADV;ESS
المسلمون	مسلمان	مُسلِم	مسلمان	N;NOM;DEF;PL	N;SG
بولندا	لهستان	بُولَندَا	لهستان		N;SG
خرج	بیرون	خَرَج	بیرون	V;PFV;MASC;SG;3;ACT	ADV;ESS
خرج	برون	خَرَج	برون	V;PFV;MASC;SG;3;ACT	N;SG
ساعات	ساعت	سَاعَة	ساعت	N;NOM;INDF;PL	N;SG
قليل	لیتل	قَلِيل	لیتل	ADJ;NOM;INDF;MASC;SG	N;SG
قليل	کوچولو	قَلِيل	کوچولو	ADJ;NOM;INDF;MASC;SG	N;SG
المائية	آبزی	مَائِيّ	آبزی	ADJ;NOM;DEF;FEM;SG	N;SG
شغل	شغل	شَغَل	شغل	V;PFV;MASC;SG;3;ACT	N;SG
شغل	کار	شَغَل	کار	V;PFV;MASC;SG;3;ACT	N;SG
شغل	ایوب	شَغَل	ایوب	V;PFV;MASC;SG;3;ACT	N;SG
اتجاه	ترند	اِتِّجَاه	ترند	N;NOM;INDF;SG	V;PL;3;PRS
اتجاه	جهت	اِتِّجَاه	جهت	N;NOM;INDF;SG	ADP
تدريب	تمرینات	تَدرِيب	تمرینه	N;NOM;INDF;SG	N;PL
تدريب	آموزشی	تَدرِيب	آموزشی	N;NOM;INDF;SG	ADJ
بنية	قهوهای	بِنيَة	قهو	N;NOM;INDF;SG	N;PL
القراءة	بخوان	قِرَاءَة	None	N;NOM;DEF;SG	V;IMP;SG;2
القراءة	خوانده	قِرَاءَة	خواند#خوان	N;NOM;DEF;SG	V;SG;3;V.PTCP
القراءة	بخوانند	قِرَاءَة	خواند#خوان	N;NOM;DEF;SG	V;SBJV;PL;3;PRS
القراءة	بخوانید	قِرَاءَة	خواند#خوان	N;NOM;DEF;SG	V;SBJV;PL;2;PRS
الكيمياء	chemistry	كِيمِيَاء	chemistry		N;SG
الكيمياء	شیمی	كِيمِيَاء	شیمی		N;SG
دينية	دینی	دِينِيّ	دین	ADJ;NOM;INDF;FEM;SG	N;SG
سباقات	مسابقه	سِبَاقَة	مسابقه	N;NOM;INDF;PL	N;SG
النقاط	نقطه	نُقطَة	نقطه	N;NOM;DEF;PL	N;SG
النقاط	credits	نُقطَة	credits	N;NOM;DEF;PL	N;SG
النقاط	تیتراژ	نُقطَة	تیتراژ	N;NOM;DEF;PL	N;SG
النقاط	امتیاز	نُقطَة	امتیاز	N;NOM;DEF;PL	N;SG
جيد	خوبی	جَيِّد	خوبی	ADJ;NOM;INDF;MASC;SG	N;SG
جيد	good	جَيِّد	good	ADJ;NOM;INDF;MASC;SG	
جيد	خوب	جَيِّد	خوب	ADJ;NOM;INDF;MASC;SG	ADV
جيد	خوبش	جَيِّد	خوبش	ADJ;NOM;INDF;MASC;SG	
المسيحيين	مسیحی	مَسِيحِيّ	مسیحی	N;ACC;DEF;PL	N;SG
لواء	الرسول	لِوَاء	الرسول	N;NOM;INDF;SG	
لواء	عمومی	لِوَاء	عمومی	N;NOM;INDF;SG	ADJ
المؤلف	مؤلف	مُؤَلِّف	مؤلف		N;SG
المؤلف	composer	مُؤَلِّف	composer		N;SG
المؤلف	آهنگساز	مُؤَلِّف	آهنگساز		N;SG
المؤلف	مؤلف	مُؤَلِّف	مؤلف		N;SG
المؤلف	نویسندۀ	مُؤَلِّف	نویسندۀ		N;SG
المؤلف	نویسنده	مُؤَلِّف	نویسنده		N;SG
متنوعة	متفرقه	مُتَنَوِّع	متفرقه	ADJ;NOM;INDF;FEM;SG	N;SG
متنوعة	جوره	مُتَنَوِّع	جوره	ADJ;NOM;INDF;FEM;SG	N;SG
متنوعة	تنوع	مُتَنَوِّع	تنوع	ADJ;NOM;INDF;FEM;SG	N;SG
جو	جو	جُو	جو		N;SG
قاسم	قاسم	قاسم	قاسم		N;SG
النووية	هسته	نَوَوِيّ	هسته	ADJ;NOM;DEF;FEM;SG	N;SG
زوجة	wife	زَوجَة	wife	N;NOM;INDF;SG	
الهندية	سرخپوست	الهندية	سرخپوست		N;SG
الهندية	هندی	الهندية	هندی		N;SG
الهندية	هندی	الهندية	هندی		N;SG
التعليمية	آموزنده	تَعلِيمِيّ	None	ADJ;NOM;DEF;FEM;SG	N;SG
الروماني	رومانیایی	رُومَانِيّ	رومانیایی	ADJ;NOM;DEF;MASC;SG	N;SG
الروماني	رومانی	رُومَانِيّ	رومانی	ADJ;NOM;DEF;MASC;SG	N;SG
الروماني	رومان	رُومَانِيّ	رومان	ADJ;NOM;DEF;MASC;SG	N;SG
الروماني	رومی	رُومَانِيّ	رومی	ADJ;NOM;DEF;MASC;SG	N;SG
الروماني	رومن	رُومَانِيّ	رومن	ADJ;NOM;DEF;MASC;SG	N;SG
الروماني	روم	رُومَانِيّ	None	ADJ;NOM;DEF;MASC;SG	
خليج	بای	خَلِيج	با	N;NOM;INDF;SG	
عودة	پشت	عَودَة	پشت	N;NOM;INDF;SG	ADP
عودة	باز	عَودَة	باز	N;NOM;INDF;SG	ADJ
عودة	برگشت	عَودَة	بر#گشت#گرد	N;NOM;INDF;SG	V;SG;3;PST
السلسلة	زنجیرهای	سِلسِلَة	زنجیرا	N;NOM;DEF;SG	N;PL
اجتماعية	سوسیال	اِجتِمَاعِيّ	سوسیال	ADJ;NOM;INDF;FEM;SG	N;SG
قراءة	بخوان	قِرَاءَة	None	N;NOM;INDF;SG	V;IMP;SG;2
قراءة	خوانده	قِرَاءَة	خواند#خوان	N;NOM;INDF;SG	V;SG;3;V.PTCP
قراءة	بخوانند	قِرَاءَة	خواند#خوان	N;NOM;INDF;SG	V;SBJV;PL;3;PRS
قراءة	بخوانید	قِرَاءَة	خواند#خوان	N;NOM;INDF;SG	V;SBJV;PL;2;PRS
الصناعة	صنایع	صِنَاعَة	صنعت	N;NOM;DEF;SG	N;PL
برمجيات	نرمافزار	بَرمَجِيّ	نرمافزار	N;NOM;INDF;PL	N;SG
سرطان	سرطانی	سُرطَانَ	سرطانی		N;SG
سرطان	سرطان	سُرطَانَ	سرطان		N;SG
عادل	adel	عادل	adel		N;SG
عادل	عادل	عادل	None		N;SG
عادل	فر	عادل	فر		N;SG
عادل	عادلانه	عادل	عادلانه		ADV
عادل	منصفانه	عادل	منصفانه		ADV
عادل	انصاف	عادل	انصاف		N;SG
عادل	منصف	عادل	منصف		N;SG
الذاتي	نفس	ذَاوتِيّ	نفس	ADJ;NOM;DEF;MASC;SG	N;SG
الذاتي	بخود	ذَاوتِيّ	خود	ADJ;NOM;DEF;MASC;SG	
الصحف	کاغذ	صَحِيفَة	کاغذ	N;NOM;DEF;PL	N;SG
عالمية	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;INDF;FEM;SG	N;SG
عالمية	یونیورسال	عَالَمِيّ	یونیورسال	ADJ;NOM;INDF;FEM;SG	N;SG
عالمية	سراسری	عَالَمِيّ	سراسری	ADJ;NOM;INDF;FEM;SG	N;SG
عالمية	جهانی	عَالَمِيّ	جهانی	ADJ;NOM;INDF;FEM;SG	N;SG
عالمية	گلوبال	عَالَمِيّ	گلوبال	ADJ;NOM;INDF;FEM;SG	N;SG
رد	پاسخ	رَدّ	پاسخ	V;PFV;MASC;SG;3;ACT	N;SG
رد	پاسخگویی	رَدّ	پاسخگویی	V;PFV;MASC;SG;3;ACT	N;SG
رد	پاسخ	رَدّ	پاسخ	V;PFV;MASC;SG;3;ACT	N;SG
رد	واکنش	رَدّ	واکنش	V;PFV;MASC;SG;3;ACT	N;SG
ريتشارد	ریچارد	رِيتشَارد	ریچارد		N;SG
ليون	لئون	لِيُون	لئون		N;SG
ليون	لیون	لِيُون	لیون		N;SG
مسيحية	کریستین	مَسِيحِيّ	کریستین	ADJ;NOM;INDF;FEM;SG	N;SG
مسيحية	کریستیان	مَسِيحِيّ	کریستی	ADJ;NOM;INDF;FEM;SG	N;SG
مسيحية	مسیحی	مَسِيحِيّ	مسیحی	ADJ;NOM;INDF;FEM;SG	N;SG
مسيحية	کریستن	مَسِيحِيّ	کریستن	ADJ;NOM;INDF;FEM;SG	N;SG
مسيحية	مسیحیت	مَسِيحِيّ	مسیحیت	ADJ;NOM;INDF;FEM;SG	N;SG
الصدر	سینه	الصدر	None		N;SG
الصدر	صندوقچه	الصدر	صندوقچه		N;SG
الصدر	سینه	الصدر	None		N;SG
الصدر	پستان	الصدر	پستان		N;SG
التونسي	تونس	تُونِسِيّ	تونس	ADJ;NOM;DEF;MASC;SG	N;SG
فشل	مردود	فَشَل	مردود	N;NOM;INDF;SG	ADJ
منح	گرنت	مَنَح	گرنت	V;PFV;MASC;SG;3;ACT	N;SG
منح	گرانت	مَنَح	گرانت	V;PFV;MASC;SG;3;ACT	N;SG
منح	اعطای	مَنَح	اعطا	V;PFV;MASC;SG;3;ACT	N;SG
تشارلز	شارل	تشَارلز	شارل		N;SG
تشارلز	چارلز	تشَارلز	چارلز		N;SG
علامات	مارکس	عَلَامَة	None	N;NOM;INDF;PL	N;SG
علامات	برچسبها	عَلَامَة	برچسب	N;NOM;INDF;PL	N;SG
الحلقات	حلقه	حَلقَة	حلقه	N;NOM;DEF;PL	N;SG
بنو	b	بَنُو	b		N;SG
البحوث	تحقیق	بَحث	تحقیق	N;NOM;DEF;PL	N;SG
البحوث	پژوهش	بَحث	پژوهش	N;NOM;DEF;PL	N;SG
فنلندا	فنلاند	فِنلَندَا	None		N;SG
جوزيف	یوسف	جُوزِيف	یوسف		N;SG
جوزيف	یوزف	جُوزِيف	یوزف		N;SG
جوزيف	ژوزف	جُوزِيف	ژوزف		N;SG
جوزيف	جوزف	جُوزِيف	جوزف		N;SG
المهنية	حرفهای	مِهنِيّ	حرف	N;NOM;DEF;SG	N;PL
فروع	شعبه	فَرع	شعبه	N;NOM;INDF;PL	N;SG
فروع	شاخه	فَرع	شاخه	N;NOM;INDF;PL	N;SG
دخلت	واردشده	دَخَل	واردشده	V;PFV;FEM;SG;3;ACT	ADJ;SG;3;V.PTCP
بلاي	بلای	بَلَاي	بلای		N;SG
حفظ	ذخیره	حِفظ	ذخیره		N;SG
الذهب	طلایی	ذَهَب	طلایی	N;NOM;DEF;SG	ADJ
نصر	نصر	نصر	نصر		N;SG
نصر	پیروزی	نصر	پیروزی		N;SG
نصر	پیروز	نصر	پیروز		ADJ
نصر	فتح	نصر	فتح		N;SG
ربيع	بهار	ربيع	بهار		N;SG
ربيع	بهاری	ربيع	بهاری		N;SG
ربيع	اسپرینگ	ربيع	اسپرینگ		N;SG
كيمياء	chemistry	كِيمِيَاء	chemistry		N;SG
كيمياء	شیمی	كِيمِيَاء	شیمی		N;SG
الحيوان	حیوانات	حَيَان	حیوان	N;NOM;DEF;SG	N;PL
الحيوان	جانوران	حَيَان	جانور	N;NOM;DEF;SG	N;PL
محلية	محلی	مَحَلِّيّ	محل	ADJ;NOM;INDF;FEM;SG	N;SG
منتجات	فرآورده	مُنتَج	فرآورده	N;NOM;INDF;PL	N;SG
منتجات	محصول	مُنتَج	محصول	N;NOM;INDF;PL	N;SG
منتجات	ضرب	مُنتَج	None	N;NOM;INDF;PL	N;SG
منتجات	حاصل	مُنتَج	حاصل	N;NOM;INDF;PL	N;SG
تحياتي	درود	تحياتي	درود		N;SG
باد	b	بَاد	b		N;SG
باد	بد	بَاد	بد		ADJ
باد	باد	بَاد	باد		N;SG
باد	غنچه	بَاد	غنچه		N;SG
كوكب	سیاره	كَوكَب	سیاره		N;SG
عبدالعزيز	عبدالعزیز	عَبداَلعَزِيز	عبدالعزیز	PROPN	N;SG
فنون	arts	فَنّ	arts	N;NOM;INDF;PL	N;SG
فنون	هنر	فَنّ	هنر	N;NOM;INDF;PL	N;SG
خلق	ایجاد	خَلَق	ایجاد	V;PFV;MASC;SG;3;ACT	N;SG
خلق	آفرینش	خَلَق	آفرینش	V;PFV;MASC;SG;3;ACT	N;SG
خلق	ایجاد	خَلَق	ایجاد	V;PFV;MASC;SG;3;ACT	N;SG
خلق	خلقت	خَلَق	خلقت	V;PFV;MASC;SG;3;ACT	N;SG
حتي	حتی	حَتَّى	حتی		ADV
حتي	وحتی	حَتَّى	وحتی		CONJ
سفينة	کشتیها	سَفِينَة	کشتی	N;NOM;INDF;SG	N;PL
جين	جِین	جين	جِین		N;SG
سلمان	سلمان	سلمان	سلمان		N;SG
خير	خوبی	خَير	خوبی	ADJ;NOM;INDF;MASC;SG	N;SG
خير	good	خَير	good	ADJ;NOM;INDF;MASC;SG	
خير	خوب	خَير	خوب	ADJ;NOM;INDF;MASC;SG	ADV
خير	خوبش	خَير	خوبش	ADJ;NOM;INDF;MASC;SG	
رشيد	رشید	رشيد	رشید		N;SG
رشيد	راشد	رشيد	راشد		N;SG
نجاح	موفق	نَجَاح	موفق	N;NOM;INDF;SG	ADJ
نجاح	موفقیتهای	نَجَاح	موفقیت	N;NOM;INDF;SG	N;PL
رموز	نشانه	رَمز	نشانه	N;NOM;INDF;PL	N;SG
فيزياء	فیزیک	فِيزِيَاء	فیزیک		N;SG
المشتري	خریدار	مُشتَرَى	خریدار		N;SG
المشتري	مشتری	مُشتَرَى	مشتری		N;SG
المشتري	ژوپیتر	مُشتَرَى	ژوپیتر		ADJ;CMPR
جاك	جک	جَاك	جک		N;SG
التجاري	الاهلی	تِجَارِيّ	الاهلی	ADJ;NOM;DEF;MASC;SG	N;SG
التجاري	تجاری	تِجَارِيّ	تجاری	ADJ;NOM;DEF;MASC;SG	N;SG
ظاهرة	پدیدهای	ظَاهِرَة	پدید	N;NOM;INDF;SG	N;PL
لاحقا	بعدها	لَاحِق	بعد	ADJ;ACC;INDF;MASC;SG	ADV
لاحقا	بعدا	لَاحِق	بعداً	ADJ;ACC;INDF;MASC;SG	
لاحقا	بعداً	لَاحِق	بعداً	ADJ;ACC;INDF;MASC;SG	ADV
المدى	گسترۀ	مَدَى	گسترۀ	N;NOM;DEF;SG	
طوكيو	توکیو	طُوكِيُو	توکیو		N;SG
النفسية	روانشناسی	النفسية	روانشناسی		N;SG
النفسية	روانشناختی	النفسية	روانشناختی		N;SG
انخفاض	کم	اِنخِفَاض	کم	N;NOM;INDF;SG	ADJ
مرتين	دوبار	مَرَّة	دوبار	N;ACC;INDF;DU	N;SG
بيان	اظهارات	بَيَان	اظهار	N;NOM;INDF;SG	N;PL
كاليه	کاله	كاليه	کاله		N;SG
مسابقة	رقابتهای	مُسَابَقَة	رقابت	N;NOM;INDF;SG	N;PL
مسابقة	رقابتها	مُسَابَقَة	رقابت	N;NOM;INDF;SG	N;PL
هشام	هشام	هشام	هشام		N;SG
بيتر	پتر	بِيتر	پتر		N;SG
بيتر	پیتر	بِيتر	پیتر		N;SG
بيتر	پطرس	بِيتر	پطرس		N;SG
المعارضة	مخالفین	مُعَارَضَة	مخالف	N;NOM;DEF;SG	N;PL
ميلان	میلان	ميلان	None		N;SG
الشمسية	خورشیدی	شَمسِيّ	خورشید#خور	ADJ;NOM;DEF;FEM;SG	N;SG
حمل	بارگذاری	حَمَل	بارگذاری	V;PFV;MASC;SG;3;ACT	N;SG
حمل	بار	حَمَل	بار	V;PFV;MASC;SG;3;ACT	N;SG
حمل	بارگیری	حَمَل	بارگیری	V;PFV;MASC;SG;3;ACT	N;SG
حمل	بارگیری	حَمَل	بارگیری	V;PFV;MASC;SG;3;ACT	N;SG
حمل	دانلود	حَمَل	دانلود	V;PFV;MASC;SG;3;ACT	N;SG
حمل	حاملگی	حَمَل	حاملگی	V;PFV;MASC;SG;3;ACT	N;SG
حمل	بارداری	حَمَل	بارداری	V;PFV;MASC;SG;3;ACT	N;SG
الجزائري	الجزایر	جَزَائِرِيّ	الجزایر		N;SG
المطلق	مطلق	مُطلَق	مطلق	ADJ;NOM;DEF;MASC;SG	N;SG
مارتن	مارتن	مَارتِن	مارتن		N;SG
مارتن	مارتین	مَارتِن	مارتین		N;SG
بيل	بیل	بِيل	بیل		N;SG
بيل	ناقوس	بِيل	ناقوس		N;SG
بيل	زنگ	بِيل	زنگ		N;SG
بيل	بل	بِيل	بل		
خطر	خطرناک	خَطَر	خطرناک	N;NOM;INDF;SG	ADJ
التواصل	ارتباطات	تَوَاصُل	ارتباط	N;NOM;DEF;SG	N;PL
التواصل	آشنا	تَوَاصُل	آشنا	N;NOM;DEF;SG	ADJ
التواصل	متصل	تَوَاصُل	متصل	N;NOM;DEF;SG	ADJ
يتضمن	شامل	تَضَمَّن	شامل	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ
بريطانية	بریتانیایی	برِيطَانِيّ	بریتانی	ADJ;NOM;INDF;FEM;SG	N;SG
بريطانية	بریتانیا	برِيطَانِيّ	None	ADJ;NOM;INDF;FEM;SG	N;SG
حرة	free	حُرّ	free	ADJ;NOM;INDF;FEM;SG	N;SG
حرة	آزادی	حُرّ	آزادی	ADJ;NOM;INDF;FEM;SG	N;SG
حرة	رایگان	حُرّ	None	ADJ;NOM;INDF;FEM;SG	N;SG
حرة	آزاده	حُرّ	آزاده	ADJ;NOM;INDF;FEM;SG	N;SG
فاطمة	فاطمه	فاطمة	فاطمه		N;SG
فاطمة	فاطمه	فاطمة	فاطمه		N;SG
كيميائية	شیمیایی	كِيمِيَائَة	شیمیایی	ADJ;NOM;INDF;FEM;SG	N;SG
تركي	ترکی	تُركِيّ	ترکی		N;SG
تركي	ترکیه	تُركِيّ	ترکیه		N;SG
تركي	ترکی	تُركِيّ	ترکی		N;SG
حماة	حما	حَمَاة	حما		
الدخول	اماکن	دُخُول	مکان	N;NOM;DEF;SG	N;PL
جميل	زیبا	جَمِيل	زیبا	N;NOM;INDF;SG	ADJ
جميل	قشنگ	جَمِيل	None	N;NOM;INDF;SG	ADJ
جميل	قشنگ	جَمِيل	None	N;NOM;INDF;SG	ADJ
يشمل	شامل	شَمِل	شامل	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ
الجنرال	عمومی	جِنِرَال	عمومی	N;NOM;DEF;SG	ADJ
الشهيرة	معروف	شَهِير	معروف	N;NOM;DEF;SG	ADJ
يحتاج	نیاز	اِحتَاج	نیاز	V;IPFV;MASC;IND;SG;3;FIN;ACT	N;SG
بيع	بفروشید	بَيع	None	N;NOM;INDF;SG	V;SBJV;PL;2;PRS
بيع	sale	بَيع	sale	N;NOM;INDF;SG	
يعقوب	یعقوب	يعقوب	یعقوب		N;SG
يعقوب	جیکوب	يعقوب	جیکوب		N;SG
يعقوب	یاکوب	يعقوب	یاکوب		N;SG
يعقوب	جاکوب	يعقوب	جاکوب		N;SG
شروط	شروط	شَرط	شروط	N;NOM;INDF;PL	N;SG
كوبا	کوبا	كُوبَا	کوبا		N;SG
طارق	تارک	طارق	تارک		N;SG
طارق	تاریک	طارق	None		N;SG
طارق	طارق	طارق	طارق		N;SG
حزم	پاکت	حِزم	پاکت		N;SG
دولي	اینترنشنال	دُوَلِيّ	اینترنشنال	ADJ;NOM;INDF;MASC;SG	N;SG
دولي	بینالمللی	دُوَلِيّ	بینالمللی	ADJ;NOM;INDF;MASC;SG	N;SG
دولي	جهانی	دُوَلِيّ	جهانی	ADJ;NOM;INDF;MASC;SG	N;SG
دولي	دالی	دُوَلِيّ	دال	ADJ;NOM;INDF;MASC;SG	N;SG
ملكية	اموال	مِلكِيَّة	مال	N;NOM;INDF;SG	N;PL
حلقات	حلقه	حَلقَة	حلقه	N;NOM;INDF;PL	N;SG
حوض	وان	حَوض	وان	N;NOM;INDF;SG	
مباشر	دایرکت	مُبَاشِر	دایرکت	ADJ;NOM;INDF;MASC;SG	N;SG
مباشر	direct	مُبَاشِر	None	ADJ;NOM;INDF;MASC;SG	N;SG
فرنسية	فرنچ	فَرَنسِيّ	فرنچ	ADJ;NOM;INDF;FEM;SG	N;SG
فرنسية	فرانسه	فَرَنسِيّ	فرانسه	ADJ;NOM;INDF;FEM;SG	N;SG
فرنسية	فرانسوی	فَرَنسِيّ	فرانسوی	ADJ;NOM;INDF;FEM;SG	N;SG
تحقق	وارسی	حَقَّق	None	V;PFV;MASC;SG;3;ACT	N;SG
تحقق	تأیید	حَقَّق	تأیید	V;PFV;MASC;SG;3;ACT	N;SG
تحقق	بررسی	حَقَّق	بررسی	V;PFV;MASC;SG;3;ACT	N;SG
داكوتا	داکوتای	دَاكَو	داکوتا		N;SG
داكوتا	داکوتا	دَاكَو	داکوتا		N;SG
راشد	راشد	راشد	راشد		N;SG
راشد	بزرگسال	راشد	بزرگسال		N;SG
راشد	بالغ	راشد	بالغ		ADJ
راشد	بزرگسالان	راشد	بزرگسال		N;PL
راشد	رشید	راشد	رشید		N;SG
راشد	راشد	راشد	راشد		N;SG
ويليام	ویلیام	ويليام	ویلیام		N;SG
فؤاد	فواد	فؤاد	فاده		N;SG
فؤاد	فؤاد	فؤاد	فؤاد		N;SG
مؤسسات	پایه	مُؤَسَّسَة	پایه	N;NOM;INDF;PL	N;SG
تحوي	حاوی	تَحَوِّي	حاوی	V;IPFV;FEM;IND;SG;3;FIN;ACT	ADJ
حمزة	حمزه	حمزة	None		N;SG
الطبي	طبی	طِبِّيّ	طبی	ADJ;NOM;DEF;MASC;SG	N;SG
الطبي	medical	طِبِّيّ	medical	ADJ;NOM;DEF;MASC;SG	N;SG
الطبي	پزشکی	طِبِّيّ	پزشکی	ADJ;NOM;DEF;MASC;SG	N;SG
كيبك	کبک	كَيبَك	کبک		N;SG
شرف	عزت	شَرَف	None		N;SG
شرف	شرافت	شَرَف	شرافت		N;SG
شرف	شرف	شَرَف	None		N;SG
شرف	افتخار	شَرَف	افتخار		N;SG
الخيال	تخیلات	خِيَال	تخیل	N;NOM;DEF;SG	N;PL
الخيال	تصورات	خِيَال	تصورت	N;NOM;DEF;SG	N;PL
الخيال	وهم	خِيَال	وهم	N;NOM;DEF;SG	
القبض	دستگیر	قَبض	دستگیر	N;NOM;DEF;SG	ADJ
القبض	دستگیر	قَبض	دستگیر	N;NOM;DEF;SG	ADJ
العصبي	مضطرب	عَصَبِيّ	مضطرب		ADJ
العصبي	عصبی	عَصَبِيّ	عصبی		N;SG
نباتية	گیاهخوار	نباتية	گیاهخوار	ADJ;NOM;INDF;FEM;SG	N;SG
نباتية	vegetarian	نباتية	vegetarian	ADJ;NOM;INDF;FEM;SG	N;SG
نهائي	نهایی	نِهَائِيّ	نهایی	N;NOM;INDF;SG	ADJ
نهائي	آخرین	نِهَائِيّ	آخرین	N;NOM;INDF;SG	ADJ;RL
سامي	sami	سامي	sami		N;SG
سامي	سامی	سامي	سامی		N;SG
سامي	سمیع	سامي	سمیع		N;SG
سامي	سامی	سامي	سامی		N;SG
انا	آنا	انا	آن		N;SG
انا	انا	انا	انا		
العاشر	دهم	عَاشِر	دهم	ADJ;NOM;DEF;MASC;SG	V;SBJV;SG;1;PRS
الهواية	ho	هُوَايَة	ho	N;NOM;DEF;SG	INTJ
الدليل	شواهد	دَلِيل	شاهد	N;NOM;DEF;SG	N;PL
الدليل	مدارک	دَلِيل	مدرک	N;NOM;DEF;SG	N;PL
فيليب	فلیپ	فِيلِيب	فلیپ		N;SG
فيليب	فیلیپ	فِيلِيب	None		N;SG
ثالث	سومی	ثَالِث	None	ADJ;NOM;INDF;MASC;SG	N;SG
الهندي	سرخپوست	هِندِيّ	سرخپوست	ADJ;NOM;DEF;MASC;SG	N;SG
الهندي	هندی	هِندِيّ	هندی	ADJ;NOM;DEF;MASC;SG	N;SG
رضا	ارضای	رضا	None		N;SG
رضا	رضایت	رضا	رضایت		N;SG
رضا	رضا	رضا	رضا		N;SG
شهد	مشهود	شَهِد	مشهود	V;PFV;MASC;SG;3;ACT	ADJ
شهد	شاهد	شَهِد	شاهد	V;PFV;MASC;SG;3;ACT	N;SG
طبيعي	natural	طَبِيعِيّ	natural	ADJ;NOM;INDF;MASC;SG	N;SG
السادسة	ششمی	سَادِس	ششمی	ADJ;NOM;DEF;FEM;SG	N;SG
القاسم	مخرج	القاسم	مخرج		N;SG
اللاعبين	بازیکن	لَاعِب	بازیکن	N;NOM;DEF;PL	N;SG
ذاتية	ذهنی	ذَاوتِيّ	ذهن	ADJ;NOM;INDF;FEM;SG	N;SG
ثلاثية	تریپل	ثُلَاثِيّ	تریپل	ADJ;NOM;INDF;FEM;SG	N;SG
محسن	محسن	محسن	محسن		N;SG
المجتمعات	جوامع	مُجتَمِع	جامعه	ADJ;NOM;DEF;FEM;PL	N;PL
المجتمعات	اجتماعات	مُجتَمِع	اجتماع	ADJ;NOM;DEF;FEM;PL	N;PL
المجتمعات	جوامع	مُجتَمِع	جامعه	ADJ;NOM;DEF;FEM;PL	N;PL
الجمهور	حضار	جُمهُور	حضار	N;NOM;DEF;SG	N;PL
الجمهور	عمومی	جُمهُور	عمومی	N;NOM;DEF;SG	ADJ
الجمهور	علنی	جُمهُور	None	N;NOM;DEF;SG	ADJ
النطاق	گسترۀ	نِطَاق	گسترۀ	N;NOM;DEF;SG	
المؤقت	موقت	مُؤَقَّت	None	ADJ;NOM;DEF;MASC;SG	N;SG
المؤقت	موقتی	مُؤَقَّت	موقتی	ADJ;NOM;DEF;MASC;SG	N;SG
المؤقت	تایمر	مُؤَقَّت	تایمر	ADJ;NOM;DEF;MASC;SG	N;SG
اكثر	دیگر	أَكثَر	دیگر	ADJ;NOM;INDF;MASC;SG	ADV
المذهب	تعالیم	مَذهَب	تعالیم	N;NOM;DEF;SG	N;PL
المذهب	دکترین	مَذهَب	دکترین	N;NOM;DEF;SG	ADJ;RL
قرن	صور	قَرن	صورت	N;NOM;INDF;SG	N;PL
الرومان	رومیها	رُومَان	رومی	N;NOM;DEF;SG	N;PL
وظائف	توابع	وَظِيفَة	توابع	N;NOM;INDF;PL	N;SG
وظائف	جابز	وَظِيفَة	جابز	N;NOM;INDF;PL	N;SG
الدنيا	کمترین	دِنِّيَا	کم	N;NOM;DEF;SG	ADJ;RL
الدنيا	کمینه	دِنِّيَا	کمینه	N;NOM;DEF;SG	
مريم	ماری	مريم	None		N;SG
مريم	مریم	مريم	مریم		N;SG
مريم	مری	مريم	None		N;SG
النرويج	نروژی	نُرُويج	نروژی		N;SG
النرويج	نروژ	نُرُويج	نروژ		N;SG
النرويج	نروژ	نُرُويج	نروژ		N;SG
ثلاثي	trio	ثَلَاثِي	trio	ADJ;NOM;INDF;MASC;SG	N;SG
ثلاثي	تریپل	ثَلَاثِي	تریپل	ADJ;NOM;INDF;MASC;SG	N;SG
بان	پان	بان	پان		N;SG
بان	پن	بان	پن		N;SG
السفينة	کشتیها	سَفِينَة	کشتی	N;NOM;DEF;SG	N;PL
