年	évi	年	évi	N	
北方	északi	北方	északi	N	
北方	észak	北方	észak	N	
北方	északi	北方	északi	N	
活躍	aktív	活躍	aktív	N	
星期	hétfő	星期	hétfő	N	
首播	premier	首播	premier	V	
射	lőni	射	lő	N	V;NFIN;ACT
射	lő	射	lő	N	V;INDF;IND;SG;3;PRS;FIN;ACT
啟	kai	啟	kai	ADP	
野	wild	野	wild	PROPN	
野	vadon	野	vad	PROPN	
野	vadak	野	vad	PROPN	N;NOM;PL
野	vad	野	vad	PROPN	
投資	befektetni	投資	befektet	N	V;NFIN;ACT
投資	befektetési	投資	befektetési	N	ADJ;NOM;SG
海洋	óceán	海洋	óceán	N	
海洋	ocean	海洋	ocean	N	
機會	chance	機會	chance	N	
錯誤	rossz	錯誤	rossz	N	
錯誤	helytelen	錯誤	helytelen	N	
儀	yee	儀	yee	PROPN	
健康	egészségesek	健康	egészséges	N	ADJ;NOM;PL
健康	egészségesen	健康	egészséges	N	ADJ;FRML;SG
健康	egészséges	健康	egészséges	N	ADJ;NOM;SG
健康	egészségügyi	健康	egészségügyi	N	ADJ;NOM;SG
股	unit	股	únit	N	
身高	magasság	身高	magasság	N	
熱	forró	熱	forró	PART	
熱	hot	熱	hot	PART	
熱	meleg	熱	meleg	PART	
熱	dögös	熱	dögös	PART	N;NOM;SG
熱	hőség	熱	hőség	PART	N;NOM;SG
熱	hő	熱	hő	PART	N;NOM;SG
熱	fűtés	熱	fűtés	PART	N;NOM;SG
空中	légi	空中	légi	N	
空中	air	空中	air	N	
工人	dolgozó	工人	dolgozó	N	ADJ;NOM;SG
輕	fény	輕	fény		N;NOM;SG
輕	fényt	輕	fény		N;ACC;SG
輕	könnyebb	輕	könnyű		ADJ;NOM;CMPR;SG
輕	világosabb	輕	világos		ADJ;NOM;CMPR;SG
經常	gyakran	經常	gyakran	ADV	
經常	rendszeresen	經常	rendszeres	ADV	ADJ;FRML;SG
經常	rendszeres	經常	rendszeres	ADV	
經常	normál	經常	normál	ADV	
經常	gyakran	經常	gyakran	ADV	
經常	gyakori	經常	gyakori	ADV	
臺	terasz	臺	terasz	PROPN	N;NOM;SG
臺	teraszon	臺	terasz	PROPN	N;ON+ESS;SG
滿	full	滿	full	PROPN	
滿	teljes	滿	teljes	PROPN	
粵	kantoni	粵	kantoni	PROPN	
亨利	henrik	亨利	henrik	PROPN	N;NOM;SG
亨利	henry	亨利	henry	PROPN	
交易	tranzakció	交易	tranzakció	V	N;NOM;SG
交易	ügylet	交易	ügylet	V	N;NOM;SG
交易	kereskedés	交易	kereskedés	V	N;NOM;SG
交易	üzlet	交易	üzlet	V	N;NOM;SG
交易	egyezség	交易	egyezség	V	
交易	alku	交易	alku	V	
交易	tranzakció	交易	tranzakció	V	N;NOM;SG
交易	ügyletek	交易	ügylet	V	N;NOM;PL
交易	tranzakciók	交易	tranzakció	V	N;NOM;PL
黑色	fekete	黑色	feket	N	
黑色	black	黑色	black	N	
爆炸	robbanás	爆炸	robbanás	V	N;NOM;SG
爆炸	robbantás	爆炸	robbantás	V	N;NOM;SG
喜歡	mint	喜歡	mint	V	CONJ
喜歡	like	喜歡	lik	V	
各種	válogatott	各種	válogat	DET	
十七	seventeen	十七	seventeen	NUM	
十七	tizenhét	十七	tizenh	NUM	
尹	yoon	尹	yoon	PROPN	
普遍	univerzális	普遍	univerzális	ADV	
普遍	egyetemes	普遍	egyetemes	ADV	
十	évtized	十	évtized	NUM	N;NOM;SG
十	évtizedben	十	évtized	NUM	N;IN+ESS;SG
十	évtizede	十	évtized	NUM	N;NOM;SG
然後	aztán	然後	aztán	ADV	
十四	tizennégy	十四	tizennégy	NUM	
鬼	ghost	鬼	ghost	N	
昆	kun	昆	kun	PROPN	
鼠	eger	鼠	eger	N	PROPN;NOM;SG
必要	szükségesek	必要	szükséges	N	ADJ;NOM;PL
必要	szükséges	必要	szükséges	N	ADJ;NOM;SG
俄	oroszország	俄	oroszország	PROPN	N;NOM;SG
山西	sanhszi	山西	sanhszi	PROPN	
南極	antarktisz	南極	antarktisz	PROPN	N;NOM;SG
南極	antarktiszi	南極	antarktiszi	PROPN	N;NOM;SG
小型	kis	小型	kis	N	ADJ;NOM;SG
小型	kicsik	小型	kicsik	N	
小型	kicsi	小型	kicsi	N	
退出	kilépés	退出	kilépés	V	
退出	kilépő	退出	kilépő	V	
退出	kijárat	退出	kijárat	V	N;NOM;SG
以色列	izraeli	以色列	izraeli	PROPN	
以色列	izrael	以色列	izrael	PROPN	
一切	mindent	一切	minden	DET	
一切	minden	一切	minden	DET	PRO;NOM;SG;3
東部	keleti	東部	keleti	N	
東部	kelet	東部	kelet	N	
東部	kelet	東部	kelet	N	
東部	keleti	東部	keleti	N	
逐漸	fokozatosan	逐漸	fokozatos	ADV	ADJ;FRML;SG
逐漸	fokozatos	逐漸	fokozatos	ADV	ADJ;NOM;SG
逐漸	fokozatosan	逐漸	fokozatos	ADV	ADJ;FRML;SG
博物	museum	博物	museum	N	
固定	rögzített	固定	rögzített	N	V;INDF;IND;SG;3;PST;FIN;ACT
固定	fix	固定	fix	N	
固定	álló	固定	álló	N	ADJ;NOM;SG
游	úszik	游	úszik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
游	úszni	游	úsz	N	V;NFIN;ACT
游	tour	游	tour	N	
游	úszó	游	úszó	N	
游	úszni	游	úsz	N	V;NFIN;ACT
翡翠	jáde	翡翠	jád	PROPN	N;NOM;SG
維持	fenntartása	維持	fenntartás	V	N;NOM;SG
維持	fenntartása	維持	fenntartás	V	N;NOM;SG
維持	karbantartási	維持	karbantartási	V	ADJ;NOM;SG
維持	karbantartó	維持	karbantartó	V	N;NOM;SG
維持	karbantartás	維持	karbantartás	V	N;NOM;SG
臺北	taipei	臺北	taip	PROPN	N;NOM;PL
互	kölcsönös	互	kölcsönös	N	
刺	szúrt	刺	szúrt	N	V;INDF;IND;SG;3;PST;FIN;ACT
刺	szúr	刺	szúr	N	V;INDF;IND;SG;3;PRS;FIN;ACT
天使	angel	天使	angel	N	
建設	építkezés	建設	építkezés	V	N;NOM;SG
建設	építési	建設	építési	V	ADJ;NOM;SG
建設	építés	建設	építés	V	N;NOM;SG
定義	meghatározni	定義	meg+határoz	N	V;NFIN;ACT
定義	meghatározó	定義	meghatározó	N	ADJ;NOM;SG
指定	megjelölés	指定	megjelölés	V	
指定	megnevezés	指定	megnevezés	V	N;NOM;SG
指定	kijelölés	指定	kijelölés	V	N;NOM;SG
指定	kijelölt	指定	kijelölt	V	
熊	bear	熊	bear	N	
休	hugh	休	hugh	N	
國語	mandarin	國語	mandarin	N	
指揮	parancsnokság	指揮	parancsnokság	V	N;NOM;SG
指揮	parancs	指揮	parancs	V	N;NOM;SG
指揮	kalauz	指揮	kalauz	V	N;NOM;SG
安排	megállapodások	安排	megállapodás	V	N;NOM;PL
安排	megállapodás	安排	megállapodás	V	N;NOM;SG
安排	elrendezés	安排	elrendezés	V	N;NOM;SG
安排	elrendezése	安排	elrendezés	V	N;NOM;SG
安排	megegyezés	安排	megegyezés	V	
安排	egyezség	安排	egyezség	V	
象	elefánt	象	elefán	N	
象	elefánt	象	elefán	N	
爆發	kitörés	爆發	kitörés	V	N;NOM;SG
爆發	járvány	爆發	járvány	V	N;NOM;SG
爆發	kitörés	爆發	kitörés	V	N;NOM;SG
現任	jelenlegi	現任	jelenlegi	N	
現任	aktuális	現任	aktuális	N	ADJ;NOM;SG
現任	jelen	現任	jelen	N	
匈牙利	hungary	匈牙利	hungary	PROPN	
匈牙利	magyarország	匈牙利	magyarország	PROPN	N;NOM;SG
匈牙利	magyarul	匈牙利	magyar	PROPN	
匈牙利	magyarok	匈牙利	magyar	PROPN	N;NOM;PL
匈牙利	magyar	匈牙利	magyar	PROPN	ADJ;NOM;SG
匈牙利	hungarian	匈牙利	hungarian	PROPN	
羊	bárány	羊	bárány	N	
羊	birkák	羊	birka	N	
羊	birka	羊	birka	N	
羊	kecske	羊	kecske	N	
河流	folyó	河流	folyó	N	
河流	rivers	河流	rivers	N	
出席	szakorvos	出席	szakorvos	V	N;NOM;SG
改造	átalakítás	改造	átalakítás	V	N;NOM;SG
京	kiotói	京	kiotói	PROPN	ADJ;NOM;SG
五	may	五	may	NUM	
五	május	五	május	NUM	N;NOM;SG
五	májusi	五	májusi	NUM	ADJ;NOM;SG
五	májusban	五	május	NUM	N;IN+ESS;SG
上午	reggel	上午	reggel	N	
馮	feng	馮	feng	PROPN	N;NOM;SG
使用	felhasználó	使用	felhasználó	V	ADJ;NOM;SG
使用	felhasználói	使用	felhasználói	V	N;NOM;PL
使用	felhasználói	使用	felhasználói	V	N;NOM;PL
使用	felhasználók	使用	felhasználó	V	N;NOM;PL
鄧	deng	鄧	deng	PROPN	
爭議	vitatta	爭議	vitat	N	V;DEF;IND;SG;3;PST;FIN;ACT
爭議	vitatott	爭議	vitat	N	V;INDF;IND;SG;3;PST;FIN;ACT
爭議	vitatható	爭議	vitatható	N	ADJ;NOM;SG
爭議	ellentmondásos	爭議	ellentmondásos	N	ADJ;NOM;SG
爭議	vitatott	爭議	vitat	N	V;INDF;IND;SG;3;PST;FIN;ACT
發射	kilövés	發射	kilövés	V	N;NOM;SG
發射	indítás	發射	indítás	V	N;NOM;SG
首先	először	首先	először		ADV
首先	első	首先	első		ADJ;NOM;SG
入侵	invázió	入侵	invázió	V	N;NOM;SG
同盟	league	同盟	leag	N	
同盟	szövetséges	同盟	szövetséges	N	ADJ;NOM;SG
轉換	átalakítás	轉換	átalakítás	V	N;NOM;SG
轉換	konverziós	轉換	konverziós	V	ADJ;NOM;SG
轉換	átalakítás	轉換	átalakítás	V	N;NOM;SG
轉換	átalakítás	轉換	átalakítás	V	N;NOM;SG
轉換	konvertáló	轉換	konvertáló	V	N;NOM;SG
轉換	átalakulás	轉換	átalakulás	V	N;NOM;SG
轉換	átalakítás	轉換	átalakítás	V	N;NOM;SG
唱	énekelni	唱	énekel	N	V;NFIN;ACT
唱	énekelj	唱	énekel	N	V;DEF;IND;SG;1;PRS;FIN;ACT
唱	énekel	唱	én	N	V;INDF;IND;SG;3;PRS;FIN;ACT
蕭	shaw	蕭	shaw	PROPN	
血	véres	血	véres	N	
血	blood	血	blood	N	
監督	felügyelt	監督	felügyelt	N	
監督	felügyeleti	監督	felügyeleti	N	ADJ;NOM;SG
軌道	nyomon	軌道	nyomon	N	
軌道	kering	軌道	kering	N	V;INDF;IND;SG;3;PRS;FIN;ACT
今日	ma	今日	ma	N	ADV
狼	farkas	狼	farkas	N	
狼	wolf	狼	wolf	N	
尼斯	szep	尼斯	szep	PROPN	
尼斯	szép	尼斯	szép	PROPN	
部門	megye	部門	megye	N	
汗	kahn	汗	kahn	N	PROPN;NOM;SG
汗	khan	汗	khan	N	
沿	mentén	沿	mentén	N	
南極	antarktiszi	南極	antarktiszi	PROPN	N;NOM;SG
南極	antarktisz	南極	antarktisz	PROPN	N;NOM;SG
綜合	szintézis	綜合	szintézis	V	N;NOM;SG
廣播	rádiós	廣播	rádiós	N	
廣播	radio	廣播	radio	N	
比例	arányos	比例	arányos	N	ADJ;NOM;SG
偶像	idol	偶像	idol	N	
側	oldalirányú	側	oldalirányú	N	ADJ;NOM;SG
側	oldalsó	側	oldalsó	N	
側	side	側	side	N	
鍾	óra	鍾	óra	PROPN	N;NOM;SG
廖	liao	廖	liao	PROPN	
飛行	repülés	飛行	repülés	V	N;NOM;SG
飛行	repülő	飛行	repülő	V	
飛行	repülőút	飛行	repülőú	V	N;NOM;SG
飛行	repülés	飛行	repülés	V	N;NOM;SG
飛行	járat	飛行	járat	V	N;NOM;SG
飛行	repülési	飛行	repülési	V	ADJ;NOM;SG
統一	egységes	統一	egységes	V	ADJ;NOM;SG
統一	egység	統一	egység	V	N;NOM;SG
統一	újraegyesítés	統一	újraegyesítés	V	N;NOM;SG
統一	egyesítés	統一	egyesítés	V	N;NOM;SG
統一	egyesülés	統一	egyesülés	V	N;NOM;SG
冬	téli	冬	téli	N	
冬	télen	冬	tél	N	
恢復	helyreállítása	恢復	helyreállítás	V	N;NOM;SG
恢復	visszaállítása	恢復	visszaállítás	V	N;NOM;SG
恢復	helyreállítási	恢復	helyreállítási	V	ADJ;NOM;SG
恢復	helyreállítása	恢復	helyreállítás	V	N;NOM;SG
恢復	fellendülés	恢復	fellendülés	V	N;NOM;SG
恢復	hasznosítás	恢復	hasznosítás	V	N;NOM;SG
恢復	helyreállítási	恢復	helyreállítási	V	ADJ;NOM;SG
恢復	gyógyulás	恢復	gyógyulás	V	N;NOM;SG
恢復	folytatás	恢復	folytatás	V	N;NOM;SG
綠	midori	綠	midori	N	
綠	zöld	綠	zöld	N	
設施	kényelmi	設施	kényelmi	N	
退役	nyugdíjas	退役	nyugdíjas	V	ADJ;NOM;SG
框	box	框	box	N	
框	rovat	框	rovat	N	
住宅	lakossági	住宅	lakossági	N	ADJ;NOM;SG
住宅	lakóhely	住宅	lakóhely	N	
伊朗	iráni	伊朗	iráni	PROPN	
伊朗	irán	伊朗	irán	PROPN	PROPN;NOM;SG
伊朗	iráni	伊朗	iráni	PROPN	
圍	wai	圍	wai	N	
莊	bankár	莊	bankár	PROPN	N;NOM;SG
莊	zhuang	莊	zhuang	PROPN	
混合	hibrid	混合	hibrid	V	
混合	mix	混合	mix	V	
混合	keverék	混合	kevér	V	N;NOM;SG
混合	keverési	混合	keverési	V	N;NOM;SG
混合	kevert	混合	kevert	V	
混合	vegyes	混合	vegyes	V	
混合	keverve	混合	keverve	V	
混合	keverék	混合	kevér	V	N;NOM;SG
混合	keverés	混合	keverés	V	N;NOM;SG
上海	shanghai	上海	shanghai	PROPN	N;NOM;SG
莫斯科	moszkvai	莫斯科	moszkvai	PROPN	ADJ;NOM;SG
莫斯科	moszkvában	莫斯科	moszkva	PROPN	PROPN;IN+ESS;SG
莫斯科	moszkva	莫斯科	moszkva	PROPN	
希臘	görög	希臘	görög	PROPN	
希臘	görögország	希臘	görögország	PROPN	N;NOM;SG
法案	bill	法案	bill	N	
有限	limited	有限	limited	ADJ	
有限	limitált	有限	limitál	ADJ	
有限	korlátozott	有限	korlátozott	ADJ	
有限	korlátolt	有限	korlátolt	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
有限	véges	有限	véges	ADJ	
被	kényszer	被	kényszer	V;PASS	
被	kényszerített	被	kényszerít	V;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
被	erőltetett	被	erőltet	V;PASS	V;INDF;IND;SG;3;PST;FIN;ACT
合成	összetett	合成	összetett	N	V;INDF;IND;SG;3;PST;FIN;ACT
四十	negyven	四十	negyven	NUM	
基因	gene	基因	gene	N	
罪	sin	罪	sin	N	
展示	show	展示	show	V	
展示	kijelző	展示	kijelző	V	N;NOM;SG
展示	megjelenítés	展示	megjelenítés	V	N;NOM;SG
展示	megjelenítési	展示	megjelenítési	V	N;NOM;SG
湘	xiang	湘	xiang	PROPN	
只要	csak	只要	csak	ADP	ADV
義大利	olaszország	義大利	olaszország	PROPN	
義大利	olasz	義大利	olasz	PROPN	
義大利	olaszország	義大利	olaszország	PROPN	
讀	olvasás	讀	olvasás	V	N;NOM;SG
很快	nemsokára	很快	nemsoka	ADV	N;ON+ALL;SG
追	hajsza	追	hajszú	V	N;NOM;SG
追	üldözés	追	üldözés	V	N;NOM;SG
追	chase	追	chase	V	
厚	sűrű	厚	sűrű	PART	
厚	vastag	厚	vastag	PART	
統治	uralma	統治	uralma	V	N;NOM;SG
統治	uralom	統治	uralom	V	N;NOM;SG
藩	domain	藩	domain	PROPN	
藩	tartomány	藩	tartomány	PROPN	N;NOM;SG
部落	törzsi	部落	törzsi	N	ADJ;NOM;SG
圓	kör	圓	kör		N;NOM;SG
圓	kört	圓	kör		N;ACC;SG
圓	kör	圓	kör		N;NOM;SG
圓	forduló	圓	forduló		N;NOM;SG
圓	körbe	圓	kör		ADV
幫助	segítség	幫助	segítség	V	N;NOM;SG
連結	kapcsolódás	連結	kapcsolódás	V	N;NOM;SG
連結	csatlakozás	連結	csatlakozás	V	N;NOM;SG
連結	hivatkozás	連結	hivatkozás	V	N;NOM;SG
連結	kapcsolat	連結	kapcsolat	V	N;NOM;SG
連結	link	連結	link	V	
連結	linket	連結	link	V	
連結	hivatkozást	連結	hivatkozás	V	N;ACC;SG
連結	kapcsolódás	連結	kapcsolódás	V	N;NOM;SG
連結	kapcsolatot	連結	kapcsolat	V	N;ACC;SG
設定	szett	設定	szett	V	N;NOM;SG
設定	set	設定	set	V	
設定	beállítva	設定	beállítva	V	ADV;V.CVB
設定	forgatás	設定	forgatás	V	N;NOM;SG
設定	beállítás	設定	beállítás	V	N;NOM;SG
設定	beállítások	設定	beállítás	V	N;NOM;PL
星系	galaxy	星系	galaxy	N	
鳳	főnix	鳳	főnix	PROPN	N;NOM;SG
鳳	phoenix	鳳	phoenix	PROPN	
假	hamis	假	hamis	N	
假	kamu	假	kamu	N	
假	hamis	假	hamis	N	
感	értelme	感	értelem	N	
方便	kényelmes	方便	kényelmes	V	ADJ;NOM;SG
領	nyakörv	領	nyakörv		N;NOM;SG
合理	ésszerű	合理	ésszerű	N	
挪威	norvégia	挪威	norvégia	PROPN	N;NOM;SG
挪威	norvég	挪威	norvég	PROPN	
挪威	norvégia	挪威	norvégia	PROPN	N;NOM;SG
勇	yong	勇	yong	N	
所	helyszín	所	helyszín	ADV	N;NOM;SG
所	hely	所	hely	ADV	N;NOM;SG
所	elhelyezkedés	所	elhelyezkedés	ADV	N;NOM;SG
解釋	magyarázat	解釋	magyarázat	V	N;NOM;SG
解釋	magyarázatot	解釋	magyarázat	V	N;ACC;SG
解釋	magyarázat	解釋	magyarázat	V	N;NOM;SG
解釋	magyarázatot	解釋	magyarázat	V	N;ACC;SG
十九	tizenkilenc	十九	tizenkilenc	NUM	
批評	kritika	批評	kritika	V	N;NOM;SG
批評	kritikát	批評	kritika	V	N;ACC;SG
太子	prince	太子	prince	N	
爵士	jazz	爵士	jazz	N	
富士	fuji	富士	fuji	PROPN	
阿根廷	argentína	阿根廷	argentín	PROPN	
創	tron	創	tron		N;NOM;SG
計算	kiszámítása	計算	kiszámítás	V	N;NOM;SG
計算	számító	計算	számító	V	ADJ;NOM;SG
計算	számítás	計算	számítás	V	N;NOM;SG
計算	számítástechnikai	計算	számítástechnikai	V	ADJ;NOM;SG
計算	számítási	計算	számítási	V	N;NOM;SG
計算	számítások	計算	számítás	V	N;NOM;PL
計算	számítás	計算	számítás	V	N;NOM;SG
計算	számítás	計算	számítás	V	N;NOM;SG
計算	számítások	計算	számítás	V	N;NOM;PL
計算	számításokat	計算	számítás	V	N;ACC;PL
對手	rivális	對手	rivális	N	
對手	rivális	對手	rivális	N	
一	nap	一	nap	NUM	N;NOM;SG
一	napon	一	nap	NUM	N;ON+ESS;SG
一	nappal	一	nap	NUM	N;INS;SG
一	napot	一	nap	NUM	N;ACC;SG
廣州	guangzhou	廣州	guangzik	PROPN	
食用	ehető	食用	ehető	V	
晉	jin	晉	jin	PROPN	
晉	dzsinn	晉	dzsinn	PROPN	N;NOM;SG
廣東	guangdong	廣東	guangdong	PROPN	
廣東	kantoni	廣東	kantoni	PROPN	
棒球	baseball	棒球	baseball	N	
中立	semleges	中立	semleges	N	
質量	tömeges	質量	tömeges	N	ADJ;NOM;SG
質量	minőségi	質量	minőségi	N	ADJ;NOM;SG
持有	birtoklás	持有	birtoklás	V	N;NOM;SG
持有	gazdaságok	持有	gazdaság	V	N;NOM;PL
持有	holding	持有	holding	V	N;NOM;SG
理解	megértés	理解	megértés	V	N;NOM;SG
理解	egyetértés	理解	egyetértés	V	
理解	megértő	理解	megértő	V	
理解	megértést	理解	megértés	V	N;ACC;SG
其	igazából	其	igazából	PRO;3	ADV
其	valójában	其	valójában	PRO;3	N;IN+ESS;SG
波蘭	lengyelország	波蘭	lengyelország	PROPN	N;NOM;SG
美洲	amerika	美洲	amerika	PROPN	N;NOM;SG
美洲	america	美洲	america	PROPN	
挑戰	kihívások	挑戰	ki+hívás	V	N;NOM;PL
挑戰	kihívás	挑戰	kihívás	V	N;NOM;SG
挑戰	kihívásokkal	挑戰	kihívás	V	N;INS;PL
挑戰	kihívás	挑戰	kihívás	V	N;NOM;SG
東方	keleti	東方	keleti	N	
東方	kelet	東方	kelet	N	
東方	keleti	東方	keleti	N	
東方	orient	東方	orient	N	
東方	kelet	東方	kelet	N	
東方	keleti	東方	keleti	N	
賈	jia	賈	jia	PROPN	
幾乎	majdnem	幾乎	majdnem	ADV	
阿拉	allah	阿拉	allah	PROPN	N;NOM;SG
玲	ling	玲	ling	PROPN	
月球	hold	月球	hold	N	
月球	holdon	月球	hold	N	
月球	moon	月球	moon	N	
地圖	térkép	地圖	térkép	N	
地圖	térkép	地圖	térkép	N	
杭州	hangzhou	杭州	hangzik	PROPN	
結婚	házasság	結婚	házasság	V	N;NOM;SG
結婚	házasságot	結婚	házasság	V	N;ACC;SG
岳	yue	岳	yue	PROPN	
引用	idézet	引用	idézet	V	N;NOM;SG
引用	idézetek	引用	idézet	V	N;NOM;PL
請求	kérelmek	請求	kérelem	V	N;NOM;PL
請求	kérések	請求	kérés	V	N;NOM;PL
請求	megkeresés	請求	megkeresés	V	N;NOM;SG
請求	kérésére	請求	kérés	V	N;ON+ALL;SG
請求	kérésre	請求	kérés	V	N;ON+ALL;SG
請求	kérés	請求	kérés	V	N;NOM;SG
請求	kérelem	請求	kérel	V	
殖民	kolóniák	殖民	kolónia	V	N;NOM;PL
殖民	telepek	殖民	telep	V	N;NOM;PL
殖民	kolónia	殖民	kolónia	V	N;NOM;SG
殖民	telep	殖民	telep	V	N;NOM;SG
觀眾	néző	觀眾	néző	N	
進攻	támadás	進攻	támadás	V	N;NOM;SG
珊	napsütés	珊	napsütés	PROPN	N;NOM;SG
珊	sun	珊	sun	PROPN	
珊	nap	珊	nap	PROPN	N;NOM;SG
珊	napfény	珊	napfény	PROPN	N;NOM;SG
吸引	vonzalom	吸引	vonzalom	V	N;NOM;SG
專業	szakmai	專業	szakmai	N	ADJ;NOM;SG
專業	profi	專業	profi	N	
專業	professzionális	專業	professzionális	N	ADJ;NOM;SG
旅遊	tour	旅遊	tour	N	
旅遊	utazik	旅遊	utazik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
旅遊	utazó	旅遊	utazó	N	
浪	hullám	浪	hullám		N;NOM;SG
浪	hullámok	浪	hullám		N;NOM;PL
浪	hullám	浪	hullám		N;NOM;SG
需求	kell	需求	kell	N	V;INDF;IND;SG;3;PRS;FIN;ACT
需求	szükséges	需求	szükséges	N	ADJ;NOM;SG
需求	kell	需求	kell	N	V;INDF;IND;SG;3;PRS;FIN;ACT
需求	igény	需求	igény	N	
內部	belső	內部	belső	N	
內部	belül	內部	belül	N	ADP
內部	belső	內部	belső	N	
失	lost	失	lost	V	
日文	japán	日文	japán	N	
特里	terry	特里	terry	PROPN	
公爵	duke	公爵	duke	N	
降低	csökkenés	降低	csökkenés	V	N;NOM;SG
私人	magán	私人	maga	ADJ	
私人	privát	私人	priva	ADJ	
每日	mindennap	每日	mindennap	N	
每日	mindennapi	每日	mindennapi	N	
每日	naponta	每日	naponta	N	
每日	napi	每日	napi	N	
拒絕	csökkenés	拒絕	csökkenés	V	N;NOM;SG
拒絕	visszaesés	拒絕	visszaesés	V	N;NOM;SG
拒絕	tagadás	拒絕	tagadás	V	N;NOM;SG
拒絕	elutasítás	拒絕	elutasítás	V	N;NOM;SG
拒絕	elutasítás	拒絕	elutasítás	V	N;NOM;SG
原始	nyersen	原始	nyersen	N	
原始	nyers	原始	nyers	N	
原始	primitív	原始	primitív	N	
尖	hegyes	尖	hegyes	PART	
潭	tam	潭	tam	PROPN	
俱樂部	club	俱樂部	club	N	
敗	legyőzni	敗	legyőz	N	V;NFIN;ACT
貿易	kereskedelmi	貿易	kereskedelmi	N	ADJ;NOM;SG
減少	csökkenés	減少	csökkenés	V	N;NOM;SG
減少	visszaesés	減少	visszaesés	V	N;NOM;SG
減少	csökkentése	減少	csökkentés	V	N;NOM;SG
減少	csökkentést	減少	csökkentés	V	N;ACC;SG
減少	csökkentése	減少	csökkentés	V	N;NOM;SG
減少	csökkenés	減少	csökkenés	V	N;NOM;SG
減少	csökkentés	減少	csökkentés	V	N;NOM;SG
減少	csökkenés	減少	csökkenés	V	N;NOM;SG
減少	csökkentése	減少	csökkentés	V	N;NOM;SG
知名	láthatóság	知名	láthatóság	ADJ	N;NOM;SG
硬	nehéz	硬	nehéz	PART	
硬	kemény	硬	kemény	PART	
碼頭	dokk	碼頭	dokk	N	
恐怖	borzalom	恐怖	borzalom	N	
肖	shaw	肖	shaw	N	
園	garden	園	garden	N	
風格	styles	風格	styles	N	
這裡	itt	這裡	itt	PRO	ADV
長度	hossz	長度	hossz	N	
勝利	win	勝利	win	N	
勝利	nyerni	勝利	nyer	N	V;NFIN;ACT
勝利	nyerj	勝利	nyerj	N	V;DEF;IND;SG;3;PRS;FIN;ACT
女王	queen	女王	ő	N	
女王	dáma	女王	dáma	N	
蒙特	mont	蒙特	mont	PROPN	
天皇	császár	天皇	császár	N	
每天	mindennap	每天	mindennap	DET	
每天	mindennapi	每天	mindennapi	DET	
邀請	meghívó	邀請	meghívó	V	N;NOM;SG
邀請	meghívás	邀請	meghívás	V	N;NOM;SG
邀請	meghívást	邀請	meghívás	V	N;ACC;SG
邀請	meghívva	邀請	meghívva	V	ADV;V.CVB
邀請	meghívókat	邀請	meg+hívó	V	N;ACC;PL
邀請	meghívó	邀請	meghívó	V	N;NOM;SG
邀請	meghívó	邀請	meghívó	V	N;NOM;SG
邀請	meghívás	邀請	meghívás	V	N;NOM;SG
邀請	meghívást	邀請	meghívás	V	N;ACC;SG
邀請	meghívó	邀請	meghívó	V	N;NOM;SG
邀請	meghívókat	邀請	meg+hívó	V	N;ACC;PL
邀請	meghívás	邀請	meghívás	V	N;NOM;SG
傳說	legendák	傳說	legenda	V	N;NOM;PL
傳說	legendája	傳說	legenda	V	N;NOM;SG
傳說	legenda	傳說	legenda	V	
傳說	legendák	傳說	legenda	V	N;NOM;PL
變化	módosítások	變化	módosítás	V	N;NOM;PL
變化	változtatások	變化	változtatás	V	N;NOM;PL
變化	változás	變化	változás	V	N;NOM;SG
變化	változások	變化	változás	V	N;NOM;PL
變化	változtatás	變化	változtatás	V	N;NOM;SG
實際	tényleges	實際	tényleges	N	
延伸	stretch	延伸	stretch	V	N;NOM;SG
延伸	meghosszabbításáról	延伸	meghosszabbítás	V	N;SG
延伸	kiterjesztése	延伸	kiterjesztés	V	N;NOM;SG
延伸	meghosszabbítás	延伸	meghosszabbítás	V	N;NOM;SG
延伸	kiterjesztés	延伸	kiterjesztés	V	N;NOM;SG
延伸	kiterjesztése	延伸	kiterjesztés	V	N;NOM;SG
延伸	bővítés	延伸	bővítés	V	N;NOM;SG
廠	gyári	廠	gyári	N	
推	nyomja	推	nyom		V;DEF;IND;SG;3;PRS;FIN;ACT
推	nyomd	推	nyomd		V;DEF;IMP;SG;1;PRS;FIN;ACT
前鋒	vanguard	前鋒	vanguard	N	
前鋒	striker	前鋒	striker	N	
收費	vád	收費	vád	N	
巷	lane	巷	lane	N	
翔	xiang	翔	xiang	PROPN	
翔	sho	翔	sho	PROPN	
突破	áttörés	突破	áttörés	V	N;NOM;SG
人生	life	人生	life	N	
回應	reagálás	回應	reagálás	V	N;NOM;SG
通用	általános	通用	általános	N	
通用	generikus	通用	generikus	N	
通用	közös	通用	közös	N	
通用	gyakori	通用	gyakori	N	
修正	módosítás	修正	módosítás	V	N;NOM;SG
修正	módosítások	修正	módosítás	V	N;NOM;PL
修正	módosításai	修正	módosítás	V	N;NOM;PL
修正	módosítás	修正	módosítás	V	N;NOM;SG
地鐵	metro	地鐵	metro	N	
