het	το	het	ο	PRO;3	DET;NOM;DEF;NEUT;SG
jij	εσύ	jij	εσύ	PRO;NOM;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
jij	εσυ	jij	εσυ	PRO;NOM;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
verleden	περασμένες	verleden	περασμένος	N;NEUT;SG	ADJ;NOM;FEM;PL
verleden	περασμένα	verleden	περασμένος	N;NEUT;SG	ADJ;NOM;NEUT;PL
zware	βαρύ	zwaar	βαρύς	ADJ	N;NOM;NEUT;SG
zware	βαριά	zwaar	βαριός	ADJ	ADV
zangeres	σίνγκερ	zangeres	σίνγκερ	N;MASC+FEM;SG	
euro	euro	euro	euro	N;MASC+FEM;SG	
bank	bank	bank	bank	N;MASC+FEM;SG	
uitgeverij	εκδότες	uitgeverij	εκδότης	N;MASC+FEM;SG	N;NOM;MASC;PL
uitgeverij	εκδοτών	uitgeverij	εκδότης	N;MASC+FEM;SG	N;GEN;MASC;PL
bergen	όρη	bergen	όρος	V;NFIN	N;NOM;NEUT;PL
bergen	βουνά	bergen	βουνό	V;NFIN	N;NOM;NEUT;PL
bergen	μπέργκεν	bergen	μπέργκεν	V;NFIN	
winnen	νίκη	winnen	νίκη	V;NFIN	N;ACC;FEM;SG
winnen	νίκη	winnen	νίκη	V;NFIN	N;ACC;FEM;SG
zwitserland	ελβετία	zwitserland	ελβετία	N;NEUT;SG	PROPN;ACC;FEM;SG
optreden	δραση	optreden	δραση	V;NFIN	N;NOM;FEM;SG
optreden	δράση	optreden	δράση	V;NFIN	N;NOM;FEM;SG
optreden	δράσης	optreden	δράση	V;NFIN	N;GEN;FEM;SG
optreden	action	optreden	action	V;NFIN	
royal	βασιλικός	royal	βασιλικός	N;MASC+FEM;SG	ADJ;NOM;MASC;SG
royal	βασιλικό	royal	βασιλικός	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
royal	βασιλική	royal	βασιλικός	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
royal	royal	royal	royal	N;MASC+FEM;SG	
royal	ρόγιαλ	royal	ρόγιαλ	N;MASC+FEM;SG	
volledige	full	volledig	full	ADJ	
volledige	πλήρες	volledig	πλήρης	ADJ	N;NOM;NEUT;SG
oudere	γέροντας	oud	γέρω	ADJ;CMPR	V;IPFV;V.CVB;ACT
oudere	γέροντα	oud	γέρω	ADJ;CMPR	N;VOC;MASC;SG
bos	γουντς	bos	γουντς	N;NEUT;SG	
bos	bos	bos	bos	N;NEUT;SG	
bos	μπος	bos	μπος	N;NEUT;SG	
bos	δάση	bos	δάσος	N;NEUT;SG	N;NOM;NEUT;PL
zoeken	αναζήτηση	zoeken	αναζήτηση	V;NFIN	N;NOM;FEM;SG
gemiddelde	μέσος	gemiddeld	μέσος	ADJ	N;NOM;MASC;SG
gemiddelde	μέση	gemiddeld	μέσο	ADJ	N;NOM;FEM;SG
zweedse	σουηδικά	zweeds	σουηδικά	ADJ	ADV
verschenen	δημοσίευση	verschijnen	δημοσίευση	V;V.PTCP	N;NOM;FEM;SG
beschikbaar	διαθέσιμα	beschikbaar	διαθέσιμος	ADJ	V;IPFV;IND;PL;1;PRS;FIN;ACT
beschikbaar	διατίθεται	beschikbaar	διαθέτω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
beschikbaar	διαθέσιμο	beschikbaar	διαθέσιμο	ADJ	N;NOM;NEUT;SG
lezen	ανάγνωση	lezen	ανάγνωση	V;NFIN	N;NOM;FEM;SG
lezen	διαβάστε	lezen	διαβάζω	V;NFIN	N
lezen	ανάγνωση	lezen	ανάγνωση	V;NFIN	N;NOM;FEM;SG
lezen	διάβασμα	lezen	διάβασμα	V;NFIN	N;NOM;NEUT;SG
spaans	ισπανοί	spaans	ισπανός	ADJ	PROPN;NOM;MASC;PL
spaans	ισπανικά	spaans	ισπανικά	ADJ	ADV
deelnemers	διαγωνιζόμενοι	deelnemer	διαγωνιζόμενος	N;PL	V;PFV;NOM;MASC;PL;V.PTCP;PASS
deelnemers	συμμετέχοντες	deelnemer	συμμετέχων	N;PL	ADJ;NOM;MASC;PL
deelnemers	συμμετέχοντες	deelnemer	συμμετέχων	N;PL	ADJ;NOM;MASC;PL
haven	πορτ	haven	πορτ	N;MASC+FEM;SG	
haven	χέιβεν	haven	χείβω	N;MASC+FEM;SG	
jaarlijks	ετησίως	jaarlijks	ετήσιως	ADJ	ADV
jaarlijks	ετήσιο	jaarlijks	ετήσιος	ADJ	N;NOM;NEUT;SG
rock	rock	rock	rock	N;MASC+FEM;SG	
rock	ροκ	rock	ροκ	N;MASC+FEM;SG	
grenst	σύνορα	grenzen	σύνορο	V;SG;PRS;FIN	N;NOM;NEUT;PL
grenst	συνορα	grenzen	σύνορο	V;SG;PRS;FIN	N;NOM;NEUT;PL
vroege	νωρίς	vroeg	νωρίς	ADJ	ADV
vroege	πρόωρη	vroeg	πρόωρος	ADJ	N;NOM;FEM;SG
klassieke	κλασικά	klassiek	κλασικός	ADJ	ADV
klassieke	κλασσικά	klassiek	κλασσικός	ADJ	ADV
klassieke	κλασικά	klassiek	κλασικός	ADJ	ADV
materiaal	υλικά	materiaal	υλικά	N;NEUT;SG	N;NOM;NEUT;PL
materiaal	υλικά	materiaal	υλικά	N;NEUT;SG	N;NOM;NEUT;PL
materiaal	ύλες	materiaal	ύλος	N;NEUT;SG	N;NOM;FEM;PL
standaard	προκαθορισμένα	standaard	προκαθορίζω	ADJ	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
standaard	αθέτηση	standaard	αθέτηση	ADJ	N;ACC;FEM;SG
standaard	προκαθορισμένη	standaard	προκαθορίζω	ADJ	V;PFV;NOM;FEM;SG;V.PTCP;PASS
standaard	προκαθορισμένο	standaard	προκαθορίζω	ADJ	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
standaard	προεπιλογή	standaard	προεπιλογή	ADJ	N;NOM;FEM;SG
standaard	στάνταρ	standaard	στάνταρ	ADJ	N;GEN;NEUT;PL
standaard	πρότυπο	standaard	πρότυπο	ADJ	N;NOM;NEUT;SG
standaard	standard	standaard	standard	ADJ	
val	βαλ	vallen	βαλ	V;SG;PRS;FIN	PROPN;NOM;MASC;SG
val	val	vallen	val	V;SG;PRS;FIN	
joodse	εβραία	joods	εβραία	ADJ	N;NOM;FEM;SG
deense	δανοί	deens	δανός	ADJ	PROPN;NOM;MASC;PL
deense	δανικά	deens	δανικά	ADJ	ADV
tegenover	αντίθετο	tegenover	αντίθετο	ADP	ADJ;NOM;NEUT;SG
tegenover	απέναντι	tegenover	απέναντι	ADP	ADV
allen	άλεν	al	άλεν	PRO	
allen	allen	al	allen	PRO	
allen	ολα	al	όλος	PRO	ADV
allen	όλοι	al	όλος	PRO	ADJ;NOM;MASC;PL
allen	όλες	al	όλος	PRO	ADJ;NOM;FEM;PL
allen	όλα	al	όλος	PRO	ADJ;NOM;NEUT;PL
beginnen	αρχή	beginnen	αρχή	V;NFIN	N;NOM;FEM;SG
beginnen	εκκίνηση	beginnen	εκκίνηση	V;NFIN	N;ACC;FEM;SG
beginnen	έναρξη	beginnen	έναρξη	V;NFIN	N;ACC;FEM;SG
henry	χένρυ	henry	χένρυ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
henry	χένρι	henry	χένρι	N;MASC+FEM;SG	
limburg	limburg	limburg	limburg	PROPN;NEUT;SG	
steun	ενισχύσεις	steun	ενίσχυση	N;MASC+FEM;SG	N;NOM;FEM;PL
denemarken	δανία	denemarken	δανία	PROPN;NEUT;SG	PROPN;ACC;FEM;SG
google	google	goog	google	N;MASC+FEM;SG	
verlaten	έρημο	verlaten	έρημος	V;V.PTCP	N;ACC;MASC;SG
verlaten	φύγε	verlaten	φύγω	V;V.PTCP	PRO;NOM;MASC;SG;1
negen	nine	negen	nine	NUM	
life	life	life	life		
life	ζωή	life	ζωή		N;ACC;FEM;SG
life	ζωη	life	ζωη		N;ACC;FEM;SG
precies	ακριβώς	precies	ακριβώς	ADJ	ADV
precies	ακριβές	precies	ακριβής	ADJ	ADV
precies	ακριβώς	precies	ακριβώς	ADJ	ADV
bereikte	επιτεύχθηκαν	bereiken	επιτυγχάνω	V;SG;PST;FIN	V;PFV;IND;PL;3;PST;FIN;PASS
hogere	ψηλότερα	hoog	ψηλά	ADJ;CMPR	ADV;CMPR
hogere	υψηλότερα	hoog	ψηλά	ADJ;CMPR	ADV;CMPR
luik	λιέγη	luik	λιέγη	N;NEUT;SG	PROPN;ACC;FEM;SG
luik	χατς	luik	χατός	N;NEUT;SG	
christelijke	κριστιάν	christelijk	κριστιάν	ADJ	
christelijke	christian	christelijk	christian	ADJ	
christelijke	χριστιανοί	christelijk	χριστιανός	ADJ	N;NOM;MASC;PL
christelijke	κρίστιαν	christelijk	κρίστιαν	ADJ	
christelijke	χριστιανός	christelijk	χριστιανός	ADJ	N;NOM;MASC;SG
zang	φωνητικά	zang	φωνητικά	N;MASC+FEM;SG	ADV
zang	τραγουδάει	zang	τραγούδαι	N;MASC+FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
zang	τραγουδάμε	zang	τραγούδαι	N;MASC+FEM;SG	V;IPFV;IND;PL;1;PRS;FIN;ACT
zang	τραγουδώντας	zang	τραγουδώ	N;MASC+FEM;SG	V;IPFV;V.CVB;ACT
zang	τραγουδούν	zang	τραγούδαι	N;MASC+FEM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
zang	σονγκ	zang	σονγκ	N;MASC+FEM;SG	
jack	τζάκ	jack	τζάκ	N;MASC+FEM;SG	
jack	τζακ	jack	τζακ	N;MASC+FEM;SG	
jack	jack	jack	jack	N;MASC+FEM;SG	
dragen	φόρα	dragen	φόρα	V;NFIN	ADV
dragen	φθορά	dragen	φθορά	V;NFIN	N;NOM;FEM;SG
kritiek	επικρίσεις	kritiek	επίκριση	N;MASC+FEM;SG	N;NOM;FEM;PL
kritiek	επικρίσεις	kritiek	επίκριση	N;MASC+FEM;SG	N;NOM;FEM;PL
kritiek	κρίσιμη	kritiek	κρίσιμος	N;MASC+FEM;SG	ADJ;NOM;FEM;SG
kritiek	κρίσιμα	kritiek	κρίσιμα	N;MASC+FEM;SG	ADJ;NOM;NEUT;PL
kritiek	κρίσιμο	kritiek	κρίσιμο	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
kritiek	κρίσιμες	kritiek	κρίσιμος	N;MASC+FEM;SG	ADJ;NOM;FEM;PL
daniel	δανιήλ	daniel	δανιήλ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
daniel	daniel	daniel	daniel	N;MASC+FEM;SG	
daniel	ντάνιελ	daniel	ντάνιελ	N;MASC+FEM;SG	
daniel	ντανιέλ	daniel	ντανιέλ	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
geproduceerd	παραγόμενα	produceren	παραγόμενος	V;V.PTCP	ADV
jacob	jacob	jacob	jacob	N;MASC+FEM;SG	
jacob	τζέικομπ	jacob	τζέικομπ	N;MASC+FEM;SG	
hieronder	κατωτέρω	hieronder	κατωτέρω	N;MASC+FEM;SG	ADV
hieronder	κάτω	hieronder	κάτω	N;MASC+FEM;SG	ADV
hieronder	παρακάτω	hieronder	παράκατος	N;MASC+FEM;SG	ADV
hieronder	κατω	hieronder	κατω	N;MASC+FEM;SG	ADV
zwaar	βαρύ	zwaar	βαρύς	ADJ	N;NOM;NEUT;SG
zwaar	βαριά	zwaar	βαριός	ADJ	ADV
vrienden	friends	vriend	friends	N;PL	
lage	χαμηλά	laag	χαμηλός	ADJ	ADV
kunt	can	kunnen	can	V;SG;PRS;FIN	
kunt	μπορεί	kunnen	μπορώ	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
half	μισό	half	μισός	ADJ	N;NOM;NEUT;SG
half	μισά	half	μισό	ADJ	ADV
half	μισή	half	μισός	ADJ	N;ACC;FEM;SG
kijken	ρολόι	kijken	ρολός	V;NFIN	N;NOM;NEUT;SG
originele	πρωτότυπο	origineel	πρωτότυπο	ADJ	N;NOM;NEUT;SG
zat	σαβ	zitten	σαβ	V;SG;PST;FIN	
internet	ίντερνετ	internet	ίντερνετ	N;NEUT;SG	
internet	internet	internet	internet	N;NEUT;SG	
rechts	σωστα	rechts	σωστα	ADJ	ADV
rechts	δεξιά	rechts	δεξιά	ADJ	ADV
rechts	σωστά	rechts	σωστά	ADJ	ADV
show	show	show	show	N;MASC+FEM;SG	
show	δείξω	show	δείξω	N;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
thuis	πατρίδα	thuis	πατρίδα	ADV	N;ACC;FEM;SG
thuis	σπιτι	thuis	σπιτι	ADV	N;NOM;NEUT;SG
thuis	σπίτι	thuis	σπίτι	ADV	N;NOM;NEUT;SG
kust	ακτές	kust	ακτός	N;MASC+FEM;SG	ADV
kust	ακτη	kust	ακτός	N;MASC+FEM;SG	PROPN;NOM;FEM;SG
voorkeur	προτιμούσε	voorkeur	προτιμώ	N;MASC+FEM;SG	V;IPFV;IND;SG;3;PST;FIN;ACT
santa	σάντα	santa	σάντα	N;SG	
azië	ασία	azië	ασία	PROPN;NEUT;SG	PROPN;NOM;FEM;SG
azië	ασίας	azië	ασία	PROPN;NEUT;SG	PROPN;GEN;FEM;SG
historisch	ιστορικά	historisch	ιστορικά	ADJ	ADV
lee	λι	lee	λι	N;MASC+FEM;SG	
lee	λη	lee	λος	N;MASC+FEM;SG	
plannen	προγραμματισμός	plan	προγραμματισμός	N;PL	N;NOM;MASC;SG
plannen	σχεδιασμού	plan	σχεδιασμός	N;PL	N;GEN;MASC;SG
plannen	σχεδιασμός	plan	σχεδιασμός	N;PL	N;NOM;MASC;SG
plannen	πλάνο	plan	πλάνο	N;PL	N;NOM;NEUT;SG
plannen	σχέδιο	plan	σχέδιο	N;PL	N;NOM;NEUT;SG
max	max	max	max	N;MASC+FEM;SG	
max	μαξ	max	μαξ	N;MASC+FEM;SG	
hierboven	ανωτέρω	hierboven	ανωτέρω	N;PL	ADV
hierboven	παραπάνω	hierboven	παραπάνω	N;PL	ADV
rood	κόκκινο	rood	κόκκινος	ADJ	N;NOM;NEUT;SG
rood	κοκκινο	rood	κοκκινός	ADJ	N;NOM;NEUT;SG
slecht	bad	slecht	bad	ADJ	
overlijden	θάνατος	overlijden	θάνατος	V;NFIN	N;NOM;MASC;SG
overlijden	θάνατο	overlijden	θάνατος	V;NFIN	N;ACC;MASC;SG
etc	κλπ	etc	κλπ	ADV	N
begraven	θαμμένα	begraven	θαμμένα	V;V.PTCP	ADJ;NOM;NEUT;PL
afhankelijk	εξαρτημένος	afhankelijk	εξαρτημένος	ADJ	V;PFV;NOM;MASC;SG;V.PTCP;PASS
afhankelijk	εξαρτημένη	afhankelijk	εξαρτημένος	ADJ	V;PFV;NOM;FEM;SG;V.PTCP;PASS
onbekend	άγνωστα	onbekend	άγνωστος	ADJ	ADV
gewicht	βάρη	gewicht	βάρη	N;NEUT;SG	N;NOM;NEUT;PL
helpen	βοηθεια	helpen	βοηθεια	V;NFIN	N;ACC;FEM;SG
helpen	βοήθεια	helpen	βοήθεια	V;NFIN	N;ACC;FEM;SG
rijden	drive	rijden	drive	V;NFIN	
rijden	οδήγηση	rijden	οδήγηση	V;NFIN	N;NOM;FEM;SG
rijden	οδήγησης	rijden	οδήγηση	V;NFIN	N;GEN;FEM;SG
rijden	οδήγηση	rijden	οδήγηση	V;NFIN	N;NOM;FEM;SG
star	star	star	star	N;MASC+FEM;SG	
star	σταρ	star	σταρ	N;MASC+FEM;SG	
info	info	info	info	N;MASC+FEM;SG	
info	πληροφορίες	info	πληροφορία	N;MASC+FEM;SG	N;NOM;FEM;PL
actie	action	actie	action	N;MASC+FEM;SG	
deels	μερικώς	deels	μερικώς	ADJ	ADV
deels	μερικώς	deels	μερικώς	ADJ	ADV
trekken	κλήρωση	trekken	κλήρωση	V;NFIN	N;NOM;FEM;SG
trekken	σχεδίαση	trekken	σχεδίαση	V;NFIN	N;ACC;FEM;SG
trekken	ισοπαλία	trekken	ισοπαλία	V;NFIN	N;ACC;FEM;SG
trekken	προσέλκυση	trekken	προσέλκυση	V;NFIN	N;NOM;FEM;SG
vriend	φιλε	vriend	φίλομαι	N;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
technische	τεχνικά	technisch	τεχνικά	ADJ	ADV
zilveren	ασημί	zilveren	ασημί	V;V.PTCP	N;NOM;NEUT;PL
zilveren	ασημένια	zilveren	ασημένιος	V;V.PTCP	ADV
zilveren	σίλβερ	zilveren	σίλβερ	V;V.PTCP	
zilveren	ασήμι	zilveren	ασήμι	V;V.PTCP	N;NOM;NEUT;SG
zilveren	silver	zilveren	silver	V;V.PTCP	
list	τέχνασμα	list	τέχνασμα		N;NOM;NEUT;SG
lucht	ουρανός	lucht	ουρανός	N;MASC+FEM;SG	ADJ;NOM;MASC;SG
lucht	s	lucht	s	N;MASC+FEM;SG	
lucht	σκάι	lucht	σκάι	N;MASC+FEM;SG	
lucht	air	lucht	air	N;MASC+FEM;SG	
laag	στρώση	laag	στρώση	ADJ	N;NOM;FEM;SG
laag	στιβάδα	laag	στιβάδα	ADJ	N;NOM;FEM;SG
laag	στρώμα	laag	στρώμα	ADJ	N;NOM;NEUT;SG
laag	χαμηλά	laag	χαμηλός	ADJ	ADV
vrouwelijke	γυναίκα	vrouwelijk	γυναίκα	ADJ	N;NOM;FEM;SG
vrouwelijke	θηλυκό	vrouwelijk	θηλυκός	ADJ	N;NOM;NEUT;SG
studio	studio	studio	studio	N;MASC+FEM;SG	
wta	wta	wij	wta	PROPN;NEUT;SG	N
josé	jose	josé	jose	N;MASC+FEM;SG	
josé	χοσέ	josé	χοσέ	N;MASC+FEM;SG	
josé	ζοζέ	josé	ζοζέ	N;MASC+FEM;SG	
josé	josé	josé	josé	N;MASC+FEM;SG	
josé	χοσέ	josé	χοσέ	N;MASC+FEM;SG	
doden	σκοτώσει	dood	σκοτώνω	ADJ	V;PFV;NFIN;ACT
doden	σκότωσε	dood	σκοτώνω	ADJ	V;PFV;IND;SG;3;PST;FIN;ACT
doden	σκοτώστε	dood	σκοτώνω	ADJ	N
leuven	leuven	leuven	leuven	V;NFIN	
leuven	louvain	leuven	louvain	V;NFIN	
hart	χαρτ	hart	χαρτ	N;NEUT;SG	
houten	ξύλινο	houten	ξυλένιος	ADJ	N;NOM;NEUT;SG
houten	χάουτεν	houten	χάου	ADJ	N
televisie	tv	televisie	tv	N;MASC+FEM;SG	
jacques	ζακ	jacque	ζακ	N;PL	PROPN;NOM;MASC;SG
jacques	jacques	jacque	jacques	N;PL	
françois	φρανσουά	françois	φρανσούά	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
françois	φρανσουά	françois	φρανσούά	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
onderscheiden	διακεκριμένη	onderscheiden	διακεκριμένος	V;NFIN	ADJ;NOM;FEM;SG
onderscheiden	διακεκριμένο	onderscheiden	διακεκριμένος	V;NFIN	ADJ;NOM;NEUT;SG
onderscheiden	διακεκριμένος	onderscheiden	διακεκριμένος	V;NFIN	ADJ;NOM;MASC;SG
jones	τζόουνς	jone	τζόουνς	N;PL	PROPN;NOM;MASC;SG
jones	jones	jone	jones	N;PL	
jones	τζονς	jone	τζονς	N;PL	
braziliaanse	βραζιλίας	braziliaans	βραζιλία	ADJ	PROPN;GEN;FEM;SG
zesde	έκτη	zes	έκτος	ADJ	NUM;NOM;FEM;SG
zesde	έκτος	zes	έκτος	ADJ	N;NOM;MASC;SG
zesde	έκτο	zes	έκτος	ADJ	NUM;NOM;NEUT;SG
toegepast	εφαρμοζόμενη	toepassen	εφαρμοζόμενος	V;V.PTCP	ADJ;NOM;FEM;SG
groene	πράσινα	groen	πράσινος	ADJ	ADV
groene	πράσινο	groen	πράσινο	ADJ	PROPN;NOM;NEUT;SG
groene	πρασινο	groen	πρασινο	ADJ	N;NOM;NEUT;SG
brand	μάρκα	brand	μάρκο	N;MASC+FEM;SG	N;NOM;NEUT;PL
brand	κάψει	brand	κάφει	N;MASC+FEM;SG	V;PFV;NFIN;ACT
brand	κάψε	brand	κάψε	N;MASC+FEM;SG	
andré	αντρέ	andré	αντρέ	N;MASC+FEM;SG	
andré	andre	andré	andre	N;MASC+FEM;SG	
andré	αντρέ	andré	αντρέ	N;MASC+FEM;SG	
andré	andré	andré	andré	N;MASC+FEM;SG	
andré	andre	andré	andre	N;MASC+FEM;SG	
vandaag	σημερα	vandaag	σημερα	ADV	N
oprichting	ιδρυτικό	oprichting	ιδρυτικός	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
kleuren	χρωστικές	kleur	χρωστικός	N;PL	ADJ;NOM;FEM;PL
kleuren	χρώμα	kleur	χρώμα	N;PL	N;NOM;NEUT;SG
kleuren	χρωμα	kleur	χρωμα	N;PL	N;NOM;NEUT;SG
prijzen	τιμή	prijs	τιμή	N;PL	N;NOM;FEM;SG
prijzen	τιμολόγησης	prijs	τιμολόγηση	N;PL	N;GEN;FEM;SG
prijzen	τιμολόγηση	prijs	τιμολόγηση	N;PL	N;ACC;FEM;SG
carl	κάρλ	carl	κάρλ	N;MASC+FEM;SG	
niemand	κανένας	niemand	κανένας	PRO;3	N;NOM;MASC;SG
vervoer	μεταφορές	vervoer	μεταφορά	N;NEUT;SG	N;NOM;FEM;PL
vervoer	μεταφορών	vervoer	μεταφορά	N;NEUT;SG	N;GEN;FEM;PL
beperkt	limited	beperken	limited	V;V.PTCP	
beperkt	περιορισμένα	beperken	περιορίζω	V;V.PTCP	ADV
californië	καλιφόρνια	californië	καλιφόρνια	N;NEUT;SG	PROPN;NOM;FEM;SG
californië	california	californië	california	N;NEUT;SG	
vermoedelijk	υποτίθεται	vermoedelijk	υποτίθεμαι	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
vermoedelijk	υποθετικά	vermoedelijk	υποθετικά	ADJ	ADV
record	ρεκόρ	record	ρεκόρ	N;NEUT;SG	
verdere	περαιτέρω	ver	περαιτέρω	ADJ;CMPR	ADV
kleinere	μικρότερα	klein	μικρός	ADJ;CMPR	ADV;CMPR
kun	κουν	kunnen	κλυ	V;SG;PRS;FIN	
zeeland	ζηλανδία	zeeland	ζηλανδία	N;MASC+FEM;SG	PROPN;ACC;FEM;SG
zeeland	zeeland	zeeland	zeeland	N;MASC+FEM;SG	
persoonlijk	προσωπικό	persoonlijk	προσωπικό	ADJ	N;NOM;NEUT;SG
persoonlijk	προσωπικά	persoonlijk	προσωπικά	ADJ	ADV
persoonlijk	προσωπικά	persoonlijk	προσωπικά	ADJ	ADV
persoonlijk	προσωπικα	persoonlijk	προσωπικά	ADJ	ADV
herman	herman	herman	herman	N;MASC+FEM;SG	
herman	χέρμαν	herman	χέρω	N;MASC+FEM;SG	
moskou	μόσχα	moskou	μόσχα	PROPN;NEUT;SG	PROPN;NOM;FEM;SG
afgeleid	παράγωγο	afleiden	παράγωγος	V;V.PTCP	N;NOM;NEUT;SG
afgeleid	αφηρημένος	afleiden	αφηρημένος	V;V.PTCP	ADJ;NOM;MASC;SG
gebleven	έμεινα	blijven	μένεινος	V;V.PTCP	V;PFV;IND;SG;1;PST;FIN;ACT
gebleven	έμεινε	blijven	μένω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
gebleven	παρέμενε	blijven	παραμένω	V;V.PTCP	V;IPFV;IND;SG;3;PST;FIN;ACT
gebleven	παρέμειναν	blijven	παραμένω	V;V.PTCP	V;PFV;IND;PL;3;PST;FIN;ACT
gebleven	παρέμεινε	blijven	παραμένω	V;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
albums	άλμπουμ	album	άλμπουμ	N;PL	N;MASC;SG
vriendelijke	φιλικά	vriendelijk	φιλικά	ADJ	ADV
eigendom	ακίνητα	eigendom	ακίνητος	N;NEUT;SG	N;NOM;NEUT;PL
williams	γουίλιαμς	william	γουίλιαμ	N;PL	N;NOM;FEM;SG
williams	ουίλιαμς	william	ουίλιαμς	N;PL	N;NOM;NEUT;SG
williams	williams	william	williams	N;PL	
friesland	friesland	friesland	friesland	N;NEUT;SG	
kapel	τσάπελ	kapel	τσάπελ	N;MASC+FEM;SG	
objecten	αντικειμένων	object	αντικειμένος	N;PL	ADJ;GEN;NEUT;PL
inclusief	συμπεριλαμβάνεται	inclusief	συμπεριλαμβάνω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
inclusief	περιλαμβάνονται	inclusief	περιλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
inclusief	συμπεριλαμβάνονται	inclusief	συμπεριλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
inclusief	περιλαμβάνεται	inclusief	περιλαμβάνω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;PASS
inclusief	συμπεριλαμβανομένου	inclusief	συμπεριλαμβανόμενος	ADJ	V;PFV;GEN;MASC;SG;V.PTCP;PASS
inclusief	συμπεριλαμβανομένης	inclusief	συμπεριλαμβανόμενος	ADJ	V;PFV;GEN;FEM;SG;V.PTCP;PASS
inclusief	συμπεριλαμβανομένων	inclusief	συμπεριλαμβανόμενος	ADJ	V;PFV;GEN;FEM;PL;V.PTCP;PASS
inclusief	περιλαμβάνονται	inclusief	περιλαμβάνω	ADJ	V;IPFV;IND;PL;3;PRS;FIN;PASS
inclusief	περιλαμβάνει	inclusief	περιλαμβάνω	ADJ	V;IPFV;IND;SG;3;PRS;FIN;ACT
inclusief	inclusive	inclusief	inclusive	ADJ	
omstandigheden	περίσταση	omstandigheid	περίσταση	N;PL	N;ACC;FEM;SG
prima	πρόστιμο	prima	πρόστιμο	ADJ	N;NOM;NEUT;SG
israël	ισραήλ	israël	ισραήλ	PROPN;NEUT;SG	
leefgebied	ενδιαιτημάτων	leefgebied	ενδιαίτημα	N;NEUT;SG	N;GEN;NEUT;PL
noorwegen	νορβηγία	noorwegen	νορβηγία	PROPN;NEUT;SG	PROPN;ACC;FEM;SG
bob	μπόμπ	bob	μπόμπ	N;MASC+FEM;SG	
bob	μπομπ	bob	μπομπ	N;MASC+FEM;SG	
henri	ανρί	henri	ανρί	N;MASC+FEM;SG	
henri	henri	henri	henri	N;MASC+FEM;SG	
onderwerpen	υποκείμενα	onderwerp	υποκείμενο	N;PL	ADV
twaalf	twelve	twaalf	twelve	NUM	
breed	πλατύ	breed	πλατύ	ADJ	ADV
breed	ευρύ	breed	ευρύς	ADJ	N;NOM;NEUT;SG
münchen	münchen	münchen	münchen	PROPN;NEUT;SG	
münchen	μονάχου	münchen	μονάχος	PROPN;NEUT;SG	PROPN;NOM;MASC;SG
münchen	μόναχο	münchen	μόναχος	PROPN;NEUT;SG	PROPN;NOM;NEUT;SG
portugal	πορτογαλία	portugal	πορτογαλία	PROPN;NEUT;SG	PROPN;ACC;FEM;SG
zoek	αναζητήστε	zoek	αναζητώ	ADJ	V;PFV;IND;PL;2;PRS;FIN;ACT
zoek	αναζήτηση	zoek	αναζήτηση	ADJ	N;NOM;FEM;SG
zoek	βρείτε	zoek	βρίσκω	ADJ	V;PFV;IMP;PL;2;FIN;ACT
zoek	βρες	zoek	βρες	ADJ	V;IPFV;IND;SG;1;PRS;FIN;ACT
zoek	βρω	zoek	βρω	ADJ	V;IPFV;IND;SG;1;FIN;ACT
grieks	ελληνικά	grieks	ελληνικός	ADJ	ADV
grieks	ελληνίδα	grieks	ελληνίδα	ADJ	N;NOM;FEM;SG
grieks	ελληνικα	grieks	ελληνικα	ADJ	N;NOM;NEUT;PL
duitsers	γερμανοί	duitser	γερμανός	N;PL	PROPN;NOM;MASC;PL
conflict	συγκρούσεις	conflict	σύγκρουση	N;NEUT;SG	N;NOM;FEM;PL
