elst	эльст	gla	эльст	N	
blokkering	блокирует	blokkering	блокировать	N;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
blokkering	заблокировать	blokkering	блокировать	N;INDF;FEM;SG	V;PFV;NFIN;ACT
blokkering	блокировать	blokkering	блокировать	N;INDF;FEM;SG	V;IPFV;NFIN;ACT
masters	masters	masters	masters	N;INDF;NEUT;SG	PROPN
masters	мастера	masters	мастер	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
masters	хозяева	masters	хозяин	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
palass	дворцы	palass	дворец	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
eine	eine	eine	eine	NUM;DEF;SG	PROPN
banker	бэнкс	bank	бэнкс	N;INDF;FEM;PL	N;ANIM;NOM;MASC;SG
begått	совершено	begå	совершить	ADJ;INDF;NEUT;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
begått	совершенные	begå	совершить	ADJ;INDF;NEUT;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
forsiktig	осторожно	forsiktig	осторожно	ADJ;INDF;NEUT;SG	ADV
forsiktig	осторожнее	forsiktig	осторожный	ADJ;INDF;NEUT;SG	ADJ;CMPR
forsiktig	аккуратно	forsiktig	аккуратно	ADJ;INDF;NEUT;SG	ADV
forsiktig	нежно	forsiktig	нежно	ADJ;INDF;NEUT;SG	ADV
forsiktig	мягко	forsiktig	мягко	ADJ;INDF;NEUT;SG	ADV
leire	глины	leire	глина	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
tykk	толстый	tykk	толстый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
tykk	толстая	tykk	толстый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
tykk	толстые	tykk	толстый	N;INDF;MASC;SG	ADJ;NOM;PL
vanskeligheter	трудность	vanskeligheter	трудность	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
vanskeligheter	сложность	vanskeligheter	сложность	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
kontroversielle	спорный	kontroversiell	спорный	ADJ;PL	ADJ;NOM;MASC;SG
lin	лин	lin	лина	N;INDF;MASC;SG	PART
kraften	силы	kraft	сила	N;DEF;MASC;SG	N;INAN;NOM;FEM;PL
kraften	force	kraft	force	N;DEF;MASC;SG	PROPN
fylte	заполнена	fylle	заполнить	ADJ;PL;V.PTCP	V;PFV;FEM;SG;PST;V.PTCP;PASS
fylte	заполнены	fylle	заполнить	ADJ;PL;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
fornuftig	разумные	fornuftig	разумный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
kanter	края	kante	край	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
sony	sony	sony	sony	N;INDF;MASC;SG	PROPN
sony	сони	sony	сонь	N;INDF;MASC;SG	N;ANIM;NOM;FEM;PL
forklart	пояснил	forklare	пояснить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
forklart	объяснили	forklare	объяснить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
forklart	объяснила	forklare	объяснить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
forklart	пояснила	forklare	пояснить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;IND;SG;PST;FIN;ACT
forklart	объяснил	forklare	объяснить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
trygg	сейф	trygg	сейф	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
handle	shop	handle	shop	V;NFIN	PROPN
handle	магазин	handle	магазин	V;NFIN	N;INAN;NOM;MASC;SG
handle	акт	handle	акт	V;NFIN	N;INAN;NOM;MASC;SG
sitat	цитирую	sitat	цитировать	N;INDF;NEUT;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
register	зарегистрироваться	register	регистрироваться	N;INDF;NEUT;SG	V;PFV;NFIN;MID
register	зарегистрировать	register	регистрировать	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
knight	найт	knigh	найт	N;INDF;MASC;SG	PART
bla	бла	bla	бло	N;INDF;MASC;SG	
temperaturer	температура	temperatur	температура	N;INDF;MASC;PL	N;INAN;NOM;FEM;SG
avløst	облегчение	avløse	облегчение	ADJ;INDF;SG;V.PTCP	N;INAN;NOM;NEUT;SG
lovlig	законных	lovlig	законный	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
lovlig	законные	lovlig	законный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
rovers	rover	rovers	rover	N;INDF;MASC;SG	PROPN
bengt	бенгт	benge	бенгт	N;INDF;MASC;SG	
six	шесть	six	шесть	N	NUM;NOM
six	six	six	six	N	PROPN
six	шестеро	six	шестеро	N	NUM;NOM
six	шестой	six	шестой	N	ADJ;NOM;MASC;SG
fotnoter	сноски	fotnot	сноска	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
ward	уорд	ward	уорда	PROPN	N;ANIM;NOM;MASC;SG
kjære	родная	kjære	родной	N	ADJ;NOM;FEM;SG
kjære	дорогая	kjære	дорогой	N	ADJ;NOM;FEM;SG
kjære	дорогая	kjære	дорогой	N	ADJ;NOM;FEM;SG
kjære	дорогие	kjære	дорогой	N	ADJ;NOM;PL
speed	скорости	speed	скорость	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
troll	тролли	troll	тролль	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
iver	ивер	iver	ивер	N;INDF;MASC;SG	
behandler	обработки	behandle	обработка	V;IND;PRS;FIN	N;INAN;GEN;FEM;SG
behandler	переработка	behandle	переработка	V;IND;PRS;FIN	N;INAN;NOM;FEM;SG
behandler	обработка	behandle	обработка	V;IND;PRS;FIN	N;INAN;NOM;FEM;SG
behandler	угощения	behandle	угощение	V;IND;PRS;FIN	N;INAN;NOM;NEUT;PL
ekstreme	крайней	ekstrem	крайний	ADJ;PL	ADJ;INS;FEM;SG
ekstreme	крайняя	ekstrem	крайний	ADJ;PL	ADJ;NOM;FEM;SG
ekstreme	крайний	ekstrem	крайний	ADJ;PL	ADJ;NOM;MASC;SG
skall	shell	skall	shell	N;INDF;MASC;SG	PROPN
flying	летать	flying	летать	N;INDF;FEM;SG	V;IPFV;NFIN;ACT
angi	комплект	angi	комплект	V;IMP;FIN	N;INAN;NOM;MASC;SG
angi	сет	angi	сет	V;IMP;FIN	N;INAN;NOM;MASC;SG
angi	набор	angi	набор	V;IMP;FIN	N;INAN;NOM;MASC;SG
angi	ввод	angi	ввод	V;IMP;FIN	N;INAN;NOM;MASC;SG
hoppe	прыгать	hoppe	прыгать	N;INDF;FEM;SG	V;IPFV;NFIN;ACT
hoppe	прыгнуть	hoppe	прыгнуть	N;INDF;FEM;SG	V;PFV;NFIN;ACT
hoppe	хоппе	hoppe	хоппеть	N;INDF;FEM;SG	
geologi	геологии	geologi	геология	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
innover	внутреннего	innover	внутренний	ADP	ADJ;GEN;MASC;SG
innover	внутрь	innover	внутрь	ADP	ADV
hjul	колеса	hjul	колесо	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
hjul	колеса	hjul	колесо	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
hjul	колёса	hjul	колесо	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
beskrivelser	описания	beskrivelser	описание	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
prinsipp	принцип	prinsipp	принцип	N;INDF;NEUT;PL	N;INAN;NOM;MASC;SG
fiende	враги	fiende	враг	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
østlig	восточные	østlig	восточный	N;INDF;MASC;SG	ADJ;NOM;PL
østlig	восточная	østlig	восточный	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
østlig	восточной	østlig	восточный	N;INDF;MASC;SG	ADJ;INS;FEM;SG
østlig	восточное	østlig	восточный	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
pensjon	пенсии	pensjon	пенсия	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
vitne	свидетели	vitne	свидетель	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
vitne	свидетелям	vitne	свидетель	N;INDF;NEUT;SG	N;ANIM;DAT;MASC;PL
vitne	свидетелей	vitne	свидетель	N;INDF;NEUT;SG	N;ANIM;GEN;MASC;PL
håndverk	ремесел	håndverk	ремесел	N;INDF;NEUT;SG	N;INAN;GEN;NEUT;PL
heaven	небеса	heav	небес	N;DEF;MASC;SG	N;INAN;NOM;MASC;PL
undersøkt	рассмотрел	undersøkje	рассмотреть	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
undersøkt	исследовал	undersøkje	исследовать	ADJ;INDF;NEUT;SG;V.PTCP	V;IPFV;MASC;IND;SG;PST;FIN;ACT
sjøsatt	запущен	sjøsatt	запустить	ADJ;INDF;NEUT;SG	V;PFV;MASC;SG;PST;V.PTCP;PASS
sjøsatt	запущена	sjøsatt	запустить	ADJ;INDF;NEUT;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
gylne	золотая	gyle	золотой	ADJ;PL	ADJ;NOM;FEM;SG
gylne	золотой	gyle	золотой	ADJ;PL	ADJ;NOM;MASC;SG
gylne	golden	gyle	golden	ADJ;PL	PROPN
utgiver	издателей	utgive	издатель	N;INDF;FEM;SG	N;ANIM;GEN;MASC;PL
øyeblikk	moments	øyeblikk	moments	N;INDF;MASC;SG	PROPN
øyeblikk	мгновения	øyeblikk	мгновение	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
øyeblikk	моменты	øyeblikk	момент	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
ordinær	обычных	ordinær	обычный	ADJ;INDF;SG	ADJ;GEN;PL
ordinær	обычные	ordinær	обычный	ADJ;INDF;SG	ADJ;NOM;PL
lei	лей	lei	лей	ADJ;INDF;SG	
produksjoner	productions	produksjon	productions	N;INDF;MASC;SG	PROPN
blanke	блестящая	blank	блестящий	ADJ;PL	ADJ;NOM;FEM;SG
blanke	блестящий	blank	блестящий	ADJ;PL	V;IPFV;NOM;MASC;SG;PRS;V.PTCP;ACT
flatt	квартиру	flat	квартира	ADJ;INDF;NEUT;SG	N;INAN;ACC;FEM;SG
flatt	квартира	flat	квартира	ADJ;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
elite	элиты	elite	элита	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
artikel	artikel	artikel	artikel	N;INDF;MASC;SG	PROPN
seksten	sixteen	seksten	sixteen	NUM;PL	PROPN
tegneserier	comics	tegneserie	comics	N;INDF;NEUT;SG	PROPN
tegneserier	комиксы	tegneserie	комикс	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
stabil	стабильно	stabil	стабильно	ADJ;INDF;SG	ADV
kjøp	покупки	kjøp	покупка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
kjøp	приобрести	kjøp	приобрести	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
kjøp	купить	kjøp	купить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
kjøp	покупать	kjøp	покупать	N;INDF;NEUT;SG	V;IPFV;NFIN;ACT
kjøp	покупки	kjøp	покупка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
kjøp	закупки	kjøp	закупка	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
owen	оуэн	owen	оуэн	PROPN	N;ANIM;NOM;MASC;SG
bros	bros	bros	bros	N;INDF;MASC;SG	PROPN
herskere	правители	herskere	правитель	N;INDF;FEM;SG	N;ANIM;NOM;MASC;PL
tykke	толстый	tykke	толстый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
tykke	толстая	tykke	толстый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
tykke	толстые	tykke	толстый	N;INDF;MASC;SG	ADJ;NOM;PL
tomme	дюйм	tom	дюя	ADJ;PL	N;INAN;NOM;MASC;SG
tomme	пусто	tom	пустой	ADJ;PL	ADJ;NEUT;SG
tomme	пустая	tom	пустой	ADJ;PL	ADJ;NOM;FEM;SG
tomme	пустой	tom	пустой	ADJ;PL	ADJ;NOM;MASC;SG
tomme	пустое	tom	пустой	ADJ;PL	ADJ;NOM;NEUT;SG
cat	cat	cat	cat	N;INDF;SG	PROPN
coast	береговая	co	береговой	N	ADJ;NOM;FEM;SG
fyller	наполнения	fylle	наполнение	V;IND;PRS;FIN	N;INAN;NOM;NEUT;PL
fyller	заполнение	fylle	заполнение	V;IND;PRS;FIN	N;INAN;NOM;NEUT;SG
before	до	brfor	до	N;INDF;NEUT;SG	ADP
before	перед	brfor	перед	N;INDF;NEUT;SG	ADP
before	прежде	brfor	прежде	N;INDF;NEUT;SG	ADV
mektig	мощные	mektig	мощный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
avslutte	закончить	avslutte	закончить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
avslutte	завершить	avslutte	завершить	N;INDF;NEUT;SG	V;PFV;NFIN;ACT
maur	муравей	maur	мурав	N;INDF;NEUT;PL	N;ANIM;NOM;MASC;SG
bombefly	бомбардировщики	bombefly	бомбардировщик	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
boks	box	boks	box	N;INDF;MASC;SG	PROPN
fattig	бедные	fattig	бедный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
fattig	бедных	fattig	бедный	ADJ;INDF;NEUT;SG	ADJ;GEN;PL
fisker	рыбы	fiske	рыба	N;INDF;MASC;SG	N;ANIM;NOM;FEM;PL
opprettes	создается	opprettes	создаваться	N;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
opprettes	создает	opprettes	создавать	N;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
opprettes	созданные	opprettes	создать	N;INDF;MASC;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
opprettes	созданный	opprettes	создать	N;INDF;MASC;SG	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
opprettes	создано	opprettes	создать	N;INDF;MASC;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
opprettes	создана	opprettes	создать	N;INDF;MASC;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
opprettes	создан	opprettes	создать	N;INDF;MASC;SG	V;PFV;MASC;SG;PST;V.PTCP;PASS
avlange	удлиненные	avlange	удлинить	ADJ;PL	V;PFV;NOM;PL;PST;V.PTCP;PASS
frø	семенной	frø	семенный	N;INDF;NEUT;SG	ADJ;NOM;MASC;SG
frø	семена	frø	семя	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
frø	семян	frø	семя	N;INDF;NEUT;SG	N;INAN;GEN;NEUT;PL
frø	семена	frø	семя	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
utvist	высланы	utvise	выслать	ADJ;INDF;SG;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
utvist	исключили	utvise	исключить	ADJ;INDF;SG;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
maksimalt	максимум	maksimal	максимум	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
massiv	массовые	massiv	массовый	ADJ;INDF;SG	ADJ;NOM;PL
salget	продажи	salg	продажа	N;DEF;NEUT;SG	N;INAN;NOM;FEM;PL
salget	продаж	salg	продажа	N;DEF;NEUT;SG	N;INAN;GEN;FEM;PL
forsvarer	защитника	forsvare	защитник	V;IND;PRS;FIN	N;ANIM;ACC;MASC;SG
forsvarer	защитник	forsvare	защитник	V;IND;PRS;FIN	N;ANIM;NOM;MASC;SG
overrasket	удивлена	overraske	удивленный	N;DEF;NEUT;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
overrasket	удивил	overraske	удивить	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
overrasket	удивлён	overraske	удивленный	N;DEF;NEUT;SG	ADJ;MASC;SG
overrasket	удивлен	overraske	удивить	N;DEF;NEUT;SG	V;PFV;MASC;SG;PST;V.PTCP;PASS
any	любой	any	любой	N;SG	DET;NOM;MASC;SG
any	любую	any	любой	N;SG	DET;ACC;FEM;SG
any	любые	any	любой	N;SG	DET;NOM;PL
any	любое	any	любой	N;SG	DET;NOM;NEUT;SG
any	любая	any	любой	N;SG	DET;NOM;FEM;SG
ambassaden	посольства	ambassad	посольство	N;DEF;MASC;SG	N;INAN;NOM;NEUT;PL
intervjuer	интервью	intervjue	интервью	N;INDF;FEM;PL	N;INAN;NOM;NEUT;SG
konsekvent	последовательно	konsekvent	последовательно	ADJ;INDF;NEUT;SG	ADV
konsekvent	последовательно	konsekvent	последовательно	ADJ;INDF;NEUT;SG	ADV
elektrisitet	электроэнергии	elektrisitet	электроэнергия	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
glemt	забыли	glemme	забыть	ADJ;INDF;NEUT;SG	V;PFV;IND;PL;PST;FIN;ACT
glemt	забыл	glemme	забыть	ADJ;INDF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
glemt	забыла	glemme	забыть	ADJ;INDF;NEUT;SG	V;PFV;FEM;IND;SG;PST;FIN;ACT
glemt	забыл	glemme	забыть	ADJ;INDF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
glemt	забыли	glemme	забыть	ADJ;INDF;NEUT;SG	V;PFV;IND;PL;PST;FIN;ACT
bokstavelig	буквально	bokstavelig	буквально	N;INDF;MASC;SG	ADV
bokstavelig	буквально	bokstavelig	буквально	N;INDF;MASC;SG	ADV
dypere	глубже	dypere	глубоко	N;INDF;MASC;SG	ADV;CMPR
systems	системы	systems	система	N;INDF;SG	N;INAN;NOM;FEM;PL
systems	систем	systems	система	N;INDF;SG	N;INAN;GEN;FEM;PL
romantiske	романтический	romantisk	романтический	ADJ;PL	ADJ;NOM;MASC;SG
romantiske	романтик	romantisk	романтик	ADJ;PL	N;ANIM;NOM;MASC;SG
romantiske	романтика	romantisk	романтика	ADJ;PL	N;INAN;NOM;FEM;SG
romantiske	романтическая	romantisk	романтический	ADJ;PL	ADJ;NOM;FEM;SG
sykler	велосипеды	sykle	велосипед	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
sykler	велосипеды	sykle	велосипед	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
sykler	мотоциклы	sykle	мотоцикл	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
pokémon	pokémon	pokémon	pokémon	N;INDF;MASC;SG	PROPN
philipp	philipp	philipp	philipp	N;INDF;MASC;SG	PROPN
kjemper	гигантов	kjempe	гигант	N;INDF;MASC;SG	N;ANIM;GEN;MASC;PL
montgomery	монтгомери	montgomery	монтгомерь	N;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
uheldig	неудача	uheldig	неудача	ADJ;INDF;NEUT;SG	N;INAN;NOM;FEM;SG
uheldig	неудачно	uheldig	неудачно	ADJ;INDF;NEUT;SG	ADV
knust	вдребезги	knuse	вдребезг	ADJ;INDF;NEUT;SG;V.PTCP	N;INAN;NOM;MASC;PL
knust	сломан	knuse	сломан	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;SG;PST;V.PTCP;PASS
knust	сломана	knuse	ломать	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;PST;V.PTCP;PASS
knust	разбил	knuse	разбить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;MASC;IND;SG;PST;FIN;ACT
knust	разбили	knuse	разбить	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
seile	паруса	seil	парус	N;INDF;FEM;SG	N;INAN;NOM;MASC;PL
oppfunnet	изобрел	oppfunn	изобрести	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
oppfunnet	изобрели	oppfunn	изобрести	N;DEF;NEUT;SG	V;PFV;IND;PL;PST;FIN;ACT
oppfunnet	изобрёл	oppfunn	изобрать	N;DEF;NEUT;SG	V;PFV;MASC;IND;SG;PST;FIN;ACT
konservativ	консервативные	konservativ	консервативный	ADJ;INDF;SG	ADJ;NOM;PL
display	отображения	display	отображение	N;INDF;NEUT;SG	N;INAN;NOM;NEUT;PL
andorra	андорры	andorre	андорра	N;INDF;FEM;SG	N;INAN;NOM;FEM;PL
falsk	ложный	falsk	ложный	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
falsk	ложное	falsk	ложный	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
falsk	ложные	falsk	ложный	N;INDF;MASC;SG	ADJ;NOM;PL
falsk	фальшивый	falsk	фальшивый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
falsk	фальшивые	falsk	фальшивый	N;INDF;MASC;SG	ADJ;NOM;PL
clements	клементс	clements	клементс	N;INDF;NEUT;SG	
fet	смелый	fet	смелый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
fet	смелые	fet	смелый	N;INDF;MASC;SG	ADJ;NOM;PL
fet	толстый	fet	толстый	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
fet	толстая	fet	толстый	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
fet	жирный	fet	жирный	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
spinner	вращается	spinner	вращаться	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;PASS
waters	водах	waters	вода	N;INDF;MASC;SG	N;INAN;ESS;FEM;PL
tester	проверка	tester	проверка	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
tester	испытание	tester	испытание	N;INDF;FEM;PL	N;INAN;NOM;NEUT;SG
tester	тестирование	tester	тестирование	N;INDF;FEM;PL	N;INAN;NOM;NEUT;SG
imdb	imdb	imdbe	imdb	N	PROPN
ukrainske	украинский	ukrainsk	украинский	ADJ;PL	ADJ;NOM;MASC;SG
ukrainske	украинская	ukrainsk	украинский	ADJ;PL	ADJ;NOM;FEM;SG
ukrainske	украинцы	ukrainsk	украинец	ADJ;PL	N;ANIM;NOM;MASC;PL
without	без	without	без	N;INDF;NEUT;SG	ADP
nøyaktige	точная	nøyaktig	точный	ADJ;PL	ADJ;NOM;FEM;SG
nøyaktige	точный	nøyaktig	точный	ADJ;PL	ADJ;NOM;MASC;SG
nøyaktige	точной	nøyaktig	точный	ADJ;PL	ADJ;INS;FEM;SG
himmel	небеса	himmel	небес	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
himmel	sky	himmel	sky	N;INDF;MASC;SG	PROPN
himmel	скай	himmel	скай	N;INDF;MASC;SG	INTJ
ibm	ibm	ibm	ibm	N;INDF;NEUT;SG	PROPN
rob	роб	rob	роб	PROPN	N;ANIM;NOM;MASC;SG
rob	ограбить	rob	грабить	PROPN	V;PFV;NFIN;ACT
rca	rca	rca	rca	N;INDF	PROPN
manuelt	вручную	manuell	вручную	ADJ;INDF;NEUT;SG	ADV
westwood	westwood	westwood	westwood	N;INDF;SG	PROPN
urter	трав	urter	трава	N;INDF;NEUT;SG	N;INAN;GEN;FEM;PL
urter	травы	urter	трава	N;INDF;NEUT;SG	N;INAN;NOM;FEM;PL
omgivelser	окружение	omgivelser	окружение	N;INDF;MASC;PL	N;INAN;NOM;NEUT;SG
filosofisk	философские	filosofisk	философский	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
velkjent	знакомы	velkjent	знакомый	ADJ;INDF;NEUT;SG	ADJ;PL
velkjent	знакомые	velkjent	знакомый	ADJ;INDF;NEUT;SG	N;ANIM;NOM;MASC;PL
velkjent	знакомая	velkjent	знакомая	ADJ;INDF;NEUT;SG	N;ANIM;NOM;FEM;SG
kerremans	kerremans	kerremans	kerremans	N;INDF;MASC;SG	PROPN
erstatter	замена	erstatter	замена	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
erstatter	заменяет	erstatter	заменять	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
erstatter	замену	erstatter	замена	N;INDF;FEM;PL	N;INAN;ACC;FEM;SG
erstatter	замена	erstatter	замена	N;INDF;FEM;PL	N;INAN;NOM;FEM;SG
skarp	острые	skarp	острый	ADJ;INDF;SG	ADJ;NOM;PL
skarp	шарп	skarp	шарп	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
slåss	бои	slåss	бой	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
overgrep	надругательство	overgrep	надругательство	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;SG
overgrep	злоупотребление	overgrep	злоупотребление	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;SG
player	игрок	play	игрок	N;INDF;FEM;PL	N;ANIM;NOM;MASC;SG
player	проигрыватель	play	проигрыватель	N;INDF;FEM;PL	N;INAN;NOM;MASC;SG
mel	муки	mel	мука	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
muntlig	устно	muntlig	устно	ADJ;INDF;NEUT;SG	ADV
muntlig	устные	muntlig	устный	ADJ;INDF;NEUT;SG	ADJ;NOM;PL
utah	юта	utah	юто	PROPN	N;INAN;NOM;MASC;SG
drøm	dream	drøm	dream	N;INDF;MASC;SG	PROPN
auto	auto	auto	auto	N;INDF;MASC;SG	PROPN
lind	линд	lind	линд	PROPN	N;ANIM;NOM;FEM;SG
uci	uci	uci	uci	N	PROPN
utøverne	спортсменов	utøverne	спортсмен	N;INDF;MASC;SG	N;ANIM;GEN;MASC;PL
utøverne	спортсмены	utøverne	спортсмен	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
kamerun	камеруна	kamerun	камерун	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
fremmed	чужой	fremmed	чужой	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
command	командования	command	командование	N;INDF;MASC;SG	N;INAN;NOM;NEUT;PL
madsen	мэдсен	mads	мэдсен	N;DEF;MASC;SG	
tolkes	толковать	tolke	толковать	N;INDF;MASC;SG	V;IPFV;NFIN;ACT
instrumental	инструментальной	instrumental	инструментальный	N;INDF;MASC;SG	ADJ;INS;FEM;SG
kaster	бросать	kaste	бросать	N;INDF;FEM;PL	V;IPFV;NFIN;ACT
kaster	бросает	kaste	бросать	N;INDF;FEM;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
løpere	бегунов	løpere	бегун	N;INDF;FEM;SG	N;ANIM;GEN;MASC;PL
oppdage	выявления	oppdage	выявление	V;NFIN	N;INAN;NOM;NEUT;SG
oppdage	обнаружение	oppdage	обнаружение	V;NFIN	N;INAN;NOM;NEUT;SG
oppdage	обнаружение	oppdage	обнаружение	V;NFIN	N;INAN;NOM;NEUT;SG
jylland	ютландии	jylland	ютландия	N;INDF;MASC;SG	N;INAN;NOM;FEM;PL
utslipp	выбросы	utslipp	выброс	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
busser	автобусы	busse	автобус	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
busser	автобусов	busse	автобус	N;INDF;MASC;SG	N;INAN;GEN;MASC;PL
verb	глаголы	verb	глагол	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
marina	marina	marina	marina	N;INDF;MASC;SG	PROPN
satse	пари	satse	пари	V;NFIN	
satse	ставка	satse	ставка	V;NFIN	N;INAN;NOM;FEM;SG
interesserte	заинтересованная	interessere	заинтересованный	ADJ;PL;V.PTCP	ADJ;NOM;FEM;SG
interesserte	интересует	interessere	интересовать	ADJ;PL;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;ACT
interesserte	заинтересованным	interessere	заинтересованный	ADJ;PL;V.PTCP	ADJ;INS;MASC;SG
