les	the	le	the	DET;DEF;PL	PROPN
joueurs	pemutar	joueur	penputar	N;MASC;PL	N;SG
lyon	lyon	lyon	lyon	PROPN	PROPN
von	von	von	von	PROPN	PROPN
amérique	amerika	amérique	amerika	ADJ;MASC;SG	PROPN;SG
amérique	america	amérique	america	ADJ;MASC;SG	PROPN
amérique	amerika	amérique	amerika	ADJ;MASC;SG	PROPN;SG
mal	salah	mal	salah	ADV	N;SG
mal	buruk	mal	buruk	ADV	ADJ;SG
mal	jahat	mal	jahat	ADV	ADJ;SG
mal	bad	mal	bad	ADV	PROPN
mal	mal	mal	mal	ADV	N
mal	kejahatan	mal	kejahatan	ADV	N;SG
mal	jahat	mal	jahat	ADV	ADJ;SG
mal	evil	mal	evil	ADV	PROPN
rock	rock	rock	rock	N;MASC;SG	PROPN
abbaye	abbaye	abbaye	abbaye	N;FEM;SG	PROPN
abbaye	abbey	abbaye	abbey	N;FEM;SG	PROPN
nuit	night	nuit	night	N;FEM;SG	PROPN
principalement	kebanyakan	principalement	kebanyakan	ADV	DET;SG
principalement	didominasi	principalement	didominasi	ADV	V;SG;PASS
principalement	utamanya	principalement	utama	ADV	N;SG
prise	taken	prendre	taken	V;FEM;SG;PST;V.PTCP	PROPN
bretagne	bretagne	bretagne	bretagne	PROPN	PROPN
bretagne	bretagne	bretagne	bretagne	PROPN	PROPN
bretagne	brittany	bretagne	brittany	PROPN	PROPN
clubs	klub	club	klub	N;MASC;PL	N;SG
clubs	club	club	club	N;MASC;PL	PROPN
clubs	keriting	club	keriting	N;MASC;PL	N;SG
générale	jendral	général	jendral	ADJ;FEM;SG	N
générale	jenderal	général	jenderal	ADJ;FEM;SG	N;SG
vitesse	speed	vitesse	speed	N;FEM;SG	PROPN
scénario	skenario	scénario	skenario	N;MASC;SG	PROPN;SG
scénario	skenario	scénario	skenario	N;MASC;SG	PROPN;SG
chemin	tapak	chemin	tapak	N;MASC;SG	PROPN
chemin	path	chemin	path	N;MASC;SG	PROPN
chemin	road	chemin	road	N;MASC;SG	PROPN
réalisation	berlakukan	réalisation	berlakukan	N;FEM;SG	V;SG;ACT
réalisation	direalisasikan	réalisation	direalisasikan	N;FEM;SG	V;SG;PASS
centrale	central	central	central	ADJ;FEM;SG	PROPN
centrale	tengah	central	tengah	ADJ;FEM;SG	PROPN;SG
centrale	pusat	central	pusat	ADJ;FEM;SG	N;SG
centrale	sentral	central	sentral	ADJ;FEM;SG	N;SG
centrale	upt	central	upt	ADJ;FEM;SG	PROPN
groupes	grup	groupe	grup	N;MASC;PL	N;SG
groupes	kelompok	groupe	kelompok	N;MASC;PL	N;SG
avis	notice	avis	notice	N;MASC;SG	PROPN
avis	perhatikan	avis	perhatikan	N;MASC;SG	V;SG;ACT
avis	avis	avis	avis	N;MASC;SG	PROPN
éléments	unsur	élément	unsur	N;MASC;PL	N;SG
éléments	elemen	élément	elemen	N;MASC;PL	N;SG
salle	forum	salle	forum	N;FEM;SG	PROPN
salle	room	salle	room	N;FEM;SG	PROPN
carte	map	carte	map	N;FEM;SG	PROPN
sociale	social	social	social	ADJ;FEM;SG	PROPN
sociale	sosial	social	sosial	ADJ;FEM;SG	N;SG
travers	travers	travers	travers	N;MASC;SG	PROPN
valeur	bernilai	valeur	bernilai	N;FEM;SG	V;SG;ACT
utilisation	menggunakan	utilisation	mengunakan	N;FEM;SG	V;SG;ACT
utilisation	gunakan	utilisation	gunakan	N;FEM;SG	V;SG;ACT
utilisation	pakai	utilisation	pakai	N;FEM;SG	V;SG;ACT
allemande	german	allemand	german	ADJ;FEM;SG	PROPN
allemande	jerman	allemand	jerman	ADJ;FEM;SG	PROPN;SG
palais	palais	palais	palais	N;MASC;SG	PROPN
palais	puput	palais	puput	N;MASC;SG	PROPN
palais	keraton	palais	keraton	N;MASC;SG	PROPN
composé	senyawa	composer	senyawa	V;MASC;SG;PST;V.PTCP	N;SG
situation	pgn	situation	pgn	N;FEM;SG	PROPN
droits	hak	droit	hak	N;MASC;PL	N;SG
court	short	court	short	ADJ;MASC;SG	PROPN
vallée	valley	vallée	valley	N;FEM;SG	PROPN
anciens	kuno	ancien	kuno	ADJ;MASC;PL	ADJ;SG
anciens	tua	ancien	tua	ADJ;MASC;PL	ADJ;SG
anciens	lama	ancien	lama	ADJ;MASC;PL	ADJ;SG
anciens	old	ancien	old	ADJ;MASC;PL	PROPN
anciens	alumni	ancien	alumni	ADJ;MASC;PL	N;SG
cité	cité	citer	cité	V;MASC;SG;PST;V.PTCP	PROPN
basse	bass	bas	bass	ADJ;FEM;SG	N
basse	kakap	bas	kakap	ADJ;FEM;SG	PROPN
basse	low	bas	low	ADJ;FEM;SG	PROPN
pro	pro	pro	pro	N;MASC;SG	PROPN
chambre	forum	chambre	forum	N;FEM;SG	PROPN
chambre	room	chambre	room	N;FEM;SG	PROPN
nouveaux	new	nouveau	new	ADJ;MASC;PL	PROPN
nouveaux	baru	nouveau	baru	ADJ;MASC;PL	ADJ;SG
savoir	pengetahuan	savoir	pengetahuan	V;NFIN	N;SG
savoir	knowledge	savoir	knowledge	V;NFIN	PROPN
savoir	tau	savoir	tau	V;NFIN	
glace	ice	glace	ice	N;FEM;SG	PROPN
glace	es	glace	es	N;FEM;SG	PROPN;SG
originale	original	original	original	ADJ;FEM;SG	PROPN
proche	close	proche	close	ADJ;MASC;SG	PROPN
proche	tutup	proche	tutup	ADJ;MASC;SG	PROPN;SG;ACT
proche	sekitar	proche	sekitar	ADJ;MASC;SG	ADP
mot	word	mot	word	N;MASC;SG	PROPN
mot	firman	mot	firman	N;MASC;SG	PROPN;SG
main	utama	main	utama	N;FEM;SG	ADJ;SG
main	hand	main	hand	N;FEM;SG	PROPN
huit	eight	huit	eight	NUM	PROPN
populaire	trending	populaire	trending	ADJ;MASC;SG	PROPN
populaire	tren	populaire	tren	ADJ;MASC;SG	N;SG
critique	kritik	critique	kritik	ADJ;MASC;SG	N;SG
critique	kritikus	critique	kritikus	ADJ;MASC;SG	N;SG
critique	kritik	critique	kritik	ADJ;MASC;SG	N;SG
critique	kritis	critique	kritis	ADJ;MASC;SG	PROPN;SG
del	del	del	del	PROPN	PROPN
publication	posting	publication	posting	N;FEM;SG	PROPN
publication	kirimkan	publication	kirimkan	N;FEM;SG	V;SG;ACT
publication	kirim	publication	kirim	N;FEM;SG	V;SG;ACT
publication	post	publication	post	N;FEM;SG	PROPN
publication	menerbitkan	publication	menterbitkan	N;FEM;SG	V;SG;ACT
dieu	god	dieu	god	N;MASC;SG	PROPN
dieu	allah	dieu	allah	N;MASC;SG	PROPN;SG
uni	uni	uni	uni	V;MASC;SG;PST;V.PTCP	PROPN;SG
japonais	jepang	japonais	jepang	ADJ;MASC;SG	PROPN;SG
japonais	japanese	japonais	japanese	ADJ;MASC;SG	PROPN
australie	australian	australie	australian	PROPN	PROPN
australie	australia	australie	australia	PROPN	PROPN;SG
australie	australia	australie	australia	PROPN	PROPN;SG
catholique	catholic	catholique	catholic	ADJ;MASC;SG	PROPN
catholique	katolik	catholique	katolik	ADJ;MASC;SG	PROPN
mission	mission	mission	mission	N;FEM;SG	PROPN
https	https	https	https	N;MASC;SG	PROPN
accord	accord	accord	accord	N;MASC;SG	PROPN
campagne	campaign	campagne	campaign	N;FEM;SG	PROPN
rapidement	ngakak	rapidement	ngakak	ADV	N
rapidement	cepat	rapidement	cepat	ADV	ADJ;SG
rapidement	fast	rapidement	fast	ADV	PROPN
rapidement	cepat	rapidement	cepat	ADV	ADJ;SG
rapidement	puasa	rapidement	puasa	ADV	PROPN;SG
rapidement	cepat	rapidement	cepat	ADV	ADJ;SG
traduction	translation	traduction	translation	N;FEM;SG	PROPN
anne	anne	anne	anne	N;FEM;SG	PROPN
anne	ann	anne	ann	N;FEM;SG	PROPN
étude	belajar	étude	belajar	N;FEM;SG	V;SG
montréal	toronto	montréal	toronto	N;MASC;SG	PROPN
montréal	montreal	montréal	montreal	N;MASC;SG	PROPN
bgcolor	bgcolor	bgcolor	bgcolor	PROPN	N
importante	jga	important	jga	ADJ;FEM;SG	PROPN
choix	choice	choix	choice	N;MASC;SG	PROPN
coup	blow	coup	blow	N;MASC;SG	PROPN
coup	meniup	coup	mentiup	N;MASC;SG	V;SG;ACT
coup	shot	coup	shot	N;MASC;SG	PROPN
coup	tertembak	coup	tertembak	N;MASC;SG	V;SG;PASS
coup	ditembak	coup	ditembak	N;MASC;SG	V;SG;PASS
enfant	ank	enfant	ank	N;MASC;SG	PROPN
enfant	child	enfant	child	N;MASC;SG	PROPN
information	information	information	information	N;FEM;SG	PROPN
mieux	better	mieux	better	ADV	PROPN
maurice	mauritius	maurice	mauritius	N;MASC;SG	PROPN
maurice	maurice	maurice	maurice	N;MASC;SG	PROPN
défense	defense	défense	defense	N;FEM;SG	PROPN
vice	vice	vice	vice	N;MASC;SG	PROPN
contrôle	control	contrôle	control	N;MASC;SG	PROPN
contrôle	mengontrol	contrôle	menkontrol	N;MASC;SG	V;SG;ACT
contrôle	kendalikan	contrôle	kendalikan	N;MASC;SG	V;SG;ACT
noms	nama	nom	nama	N;MASC;PL	N;SG
noms	names	nom	names	N;MASC;PL	PROPN
noms	mamang	nom	mamang	N;MASC;PL	PROPN
noms	nama	nom	nama	N;MASC;PL	N;SG
produits	product	produire	product	V;MASC;PL;PST;V.PTCP	PROPN
produits	produk	produire	produk	V;MASC;PL;PST;V.PTCP	N;SG
produits	produk	produire	produk	V;MASC;PL;PST;V.PTCP	N;SG
hiver	winter	hiver	winter	N;MASC;SG	PROPN
fondation	foundation	fondation	foundation	N;FEM;SG	PROPN
européenne	eropa	européen	eropa	ADJ;FEM;SG	N;SG
européenne	european	européen	european	ADJ;FEM;SG	PROPN
troupes	pasukan	troupe	pasukan	N;FEM;PL	N;SG
file	antri	file	antri	N;FEM;SG	
antoine	anthony	antoine	anthony	N;MASC;SG	PROPN
antoine	aini	antoine	aini	N;MASC;SG	PROPN
antoine	antony	antoine	antony	N;MASC;SG	PROPN
antoine	antonius	antoine	antonius	N;MASC;SG	PROPN
antoine	antoine	antoine	antoine	N;MASC;SG	PROPN
daniel	daniel	daniel	daniel	PROPN	PROPN
cœur	heart	cœur	heart	N;MASC;SG	PROPN
cœur	core	cœur	core	N;MASC;SG	PROPN
cœur	inti	cœur	inti	N;MASC;SG	PROPN;SG
cœur	hearts	cœur	hearts	N;MASC;SG	PROPN
cœur	kalbu	cœur	kalbu	N;MASC;SG	PROPN;SG
îles	pulau	île	pulau	N;FEM;PL	N;SG
îles	kepulauan	île	kepulauan	N;FEM;PL	PROPN;SG
pris	ketahuan	prendre	ketahuan	V;MASC;SG;PST;V.PTCP	
pris	took	prendre	took	V;MASC;SG;PST;V.PTCP	PROPN
pris	taken	prendre	taken	V;MASC;SG;PST;V.PTCP	PROPN
marine	navy	marine	navy	N;FEM;SG	PROPN
marine	marine	marine	marine	N;FEM;SG	PROPN
bâtiment	building	bâtiment	building	N;MASC;SG	PROPN
bâtiment	membangun	bâtiment	menbangun	N;MASC;SG	V;SG;ACT
peter	petrus	peter	petrus	PROPN	PROPN
peter	peter	peter	peter	PROPN	PROPN
juste	cuma	juste	cuma	ADV	
der	der	der	der	PROPN	PROPN
vient	comes	venir	comes	V;IND;SG;3;PRS;FIN	PROPN
seine	seine	seine	seine	N;FEM;SG	PROPN
amour	love	amour	love	N;MASC;SG	PROPN
amour	cintai	amour	cintai	N;MASC;SG	V;SG;ACT
mont	mount	mont	mount	N;MASC;SG	PROPN
mont	mont	mont	mont	N;MASC;SG	PROPN
statistiques	statistika	statistique	statistika	N;FEM;PL	N;SG
statistiques	statistik	statistique	statistik	N;FEM;PL	N;SG
statistiques	stat	statistique	stat	N;FEM;PL	PROPN
statistiques	statistik	statistique	statistik	N;FEM;PL	N;SG
personnages	aksara	personnage	aksara	N;MASC;PL	N;SG
personnages	karakter	personnage	karakter	N;MASC;PL	N;SG
bonjour	hallo	bonjour	hallo	INTJ	PROPN
bonjour	helo	bonjour	helo	INTJ	PROPN
bonjour	hello	bonjour	hello	INTJ	PROPN
bonjour	halo	bonjour	halo	INTJ	PROPN
marc	marc	marc	marc	N;MASC;SG	PROPN
économique	perekonomian	économique	perekonomian	ADJ;MASC;SG	N;SG
économique	ekonomi	économique	ekonomi	ADJ;MASC;SG	N;SG
économique	ekonomis	économique	ekonomis	ADJ;MASC;SG	N
unité	bhinneka	unité	bhinneka	N;FEM;SG	PROPN
unité	unity	unité	unity	N;FEM;SG	PROPN
lignes	lignes	ligne	lignes	N;FEM;PL	PROPN
lignes	baris	ligne	baris	N;FEM;PL	N;SG
lignes	baris	ligne	baris	N;FEM;PL	N;SG
lignes	lines	ligne	lines	N;FEM;PL	PROPN
lignes	garis	ligne	garis	N;FEM;PL	PROPN;SG
traité	treatise	traiter	treatise	V;MASC;SG;PST;V.PTCP	PROPN
traité	perjanjian	traiter	perjanjian	V;MASC;SG;PST;V.PTCP	N;SG
traité	traktat	traiter	traktat	V;MASC;SG;PST;V.PTCP	N
montre	watch	montrer	watch	V;IND;SG;3;PRS;FIN	PROPN
montre	show	montrer	show	V;IND;SG;3;PRS;FIN	PROPN
montre	pertunjukan	montrer	pertunjukan	V;IND;SG;3;PRS;FIN	N;SG
idée	idea	idée	idea	N;FEM;SG	PROPN
éditeur	redaksi	éditeur	redaksi	N;MASC;SG	PROPN
attaque	stroke	attaque	stroke	N;FEM;SG	PROPN
attaque	menyerang	attaque	menserang	N;FEM;SG	V;SG;ACT
attaque	serang	attaque	serang	N;FEM;SG	
records	catatan	record	catatan	N;MASC;PL	N;SG
records	rekor	record	rekor	N;MASC;PL	N;SG
records	records	record	records	N;MASC;PL	PROPN
principaux	utama	principal	utama	ADJ;MASC;PL	ADJ;SG
sol	sol	sol	sol	N;MASC;SG	PROPN
sol	floor	sol	floor	N;MASC;SG	PROPN
ouvrage	ouvrage	ouvrage	ouvrage	N;MASC;SG	PROPN
fond	terbawah	fond	terbawah	N;MASC;SG	ADP;RL;SG
fond	bottom	fond	bottom	N;MASC;SG	PROPN
format	format	format	format	N;MASC;SG	PROPN;SG
mode	mode	mode	mode	N;FEM;SG	PROPN
mode	mode	mode	mode	N;FEM;SG	PROPN
original	original	original	original	ADJ;MASC;SG	PROPN
espagnol	spanish	espagnol	spanish	ADJ;MASC;SG	PROPN
espagnol	spanyol	espagnol	spanyol	ADJ;MASC;SG	PROPN;SG
créer	buat	créer	buat	V;NFIN	
los	los	el	los	PROPN	PROPN
garde	garde	garde	garde	N;FEM;SG	PROPN
votre	your	son	your	DET;MASC;SG	PROPN
sécurité	security	sécurité	security	N;FEM;SG	PROPN
sécurité	safety	sécurité	safety	N;FEM;SG	PROPN
fédération	federation	fédération	federation	N;FEM;SG	PROPN
fédération	fédération	fédération	fédération	N;FEM;SG	PROPN
quatrième	keempat	quatrième	keempat	ADJ;MASC;SG	NUM
junior	yunior	junior	yunior	ADJ;MASC;SG	PROPN
junior	junior	junior	junior	ADJ;MASC;SG	PROPN
junior	smp	junior	smp	ADJ;MASC;SG	PROPN;SG
police	police	police	police	N;FEM;SG	PROPN
comédie	comédie	comédie	comédie	N;FEM;SG	PROPN
comédie	comedy	comédie	comedy	N;FEM;SG	PROPN
albert	albert	albert	albert	N;MASC;SG	PROPN
bruxelles	bruxelles	bruxelle	bruxelles	ADJ;MASC;PL	PROPN
bruxelles	brussels	bruxelle	brussels	ADJ;MASC;PL	PROPN
bruxelles	brussel	bruxelle	brussel	ADJ;MASC;PL	PROPN
empereur	kaisar	empereur	kaisar	N;MASC;SG	PROPN;SG
xxe	duapuluh	xxe	duapuluh	ADJ;MASC;SG	NUM
xxe	twentieth	xxe	twentieth	ADJ;MASC;SG	PROPN
xxe	xxe	xxe	xxe	ADJ;MASC;SG	PROPN
chevalier	knight	chevalier	knight	N;MASC;SG	PROPN
chevalier	chevalier	chevalier	chevalier	N;MASC;SG	PROPN
armes	gendongan	arme	gendongan	N;FEM;PL	N;SG
armes	lengan	arme	lengan	N;FEM;PL	N;SG
armes	arms	arme	arms	N;FEM;PL	PROPN
armes	senjata	arme	senjata	N;FEM;PL	N;SG
armes	senapan	arme	senapan	N;FEM;PL	N;SG
armes	guns	arme	guns	N;FEM;PL	PROPN
armes	senjata	arme	senjata	N;FEM;PL	N;SG
livres	pembukuan	livre	penbukuan	N;MASC;PL	N;SG
livres	buku	livre	buku	N;MASC;PL	N;SG
principales	utama	principal	utama	ADJ;FEM;PL	ADJ;SG
personnalités	kepribadian	personnalité	kepribadian	N;FEM;PL	N;SG
unique	single	unique	single	ADJ;MASC;SG	N
unique	lajang	unique	lajang	ADJ;MASC;SG	N
unique	jomblo	unique	jomblo	ADJ;MASC;SG	PROPN
unique	keunikan	unique	keunikan	ADJ;MASC;SG	N;SG
unique	unique	unique	unique	ADJ;MASC;SG	PROPN
large	wide	large	wide	ADJ;MASC;SG	PROPN
large	luas	large	luas	ADJ;MASC;SG	N;SG
large	luas	large	luas	ADJ;MASC;SG	N;SG
guillaume	william	guillaume	william	PROPN	PROPN
guillaume	guillaume	guillaume	guillaume	PROPN	PROPN
tel	such	tel	such	ADJ;MASC;SG	PROPN
tel	tel	tel	tel	ADJ;MASC;SG	PROPN
parce	karena	parce	karena	ADV	CONJ
divers	bermacam	divers	bermacam	ADJ;MASC;PL	N;SG;ACT
divers	berbagai	divers	berbagai	ADJ;MASC;PL	DET
divers	beragam	divers	berragam	ADJ;MASC;PL	V;SG;ACT
divers	miscellaneous	divers	miscellaneous	ADJ;MASC;PL	PROPN
tels	such	tel	such	ADJ;MASC;PL	PROPN
actuelle	current	actuel	current	ADJ;FEM;SG	PROPN
actuelle	arus	actuel	arus	ADJ;FEM;SG	N;SG
actuelle	skrg	actuel	skrg	ADJ;FEM;SG	PROPN
classique	klasik	classique	klasik	ADJ;MASC;SG	N;SG
classique	klasik	classique	klasik	ADJ;MASC;SG	N;SG
classique	classic	classique	classic	ADJ;MASC;SG	PROPN
présent	sajikan	présent	sajikan	ADJ;MASC;SG	V;SG;ACT
présent	hadir	présent	hadir	ADJ;MASC;SG	V;SG;ACT
présent	present	présent	present	ADJ;MASC;SG	PROPN
fit	fit	faire	fit	V;IND;SG;3;PST;FIN	PROPN
passé	past	passer	past	V;MASC;SG;PST;V.PTCP	PROPN
berlin	berlin	berlin	berlin	PROPN	PROPN
isbn	isbn	isbn	isbn		PROPN
architecture	architecture	architecture	architecture	N;FEM;SG	PROPN
transport	transport	transport	transport	N;MASC;SG	PROPN
sort	spell	sort	spell	N;MASC;SG	PROPN
sort	eja	sort	eja	N;MASC;SG	PROPN
rené	rené	rendre	rené	PROPN	PROPN
rené	rene	rendre	rene	PROPN	PROPN
alexandre	alexandre	alexandre	alexandre	N;MASC;SG	PROPN
alexandre	alexander	alexandre	alexander	N;MASC;SG	PROPN
oui	ya	oui	ya		PART
oui	yes	oui	yes		PROPN
oui	iya	oui	iya		PART
oui	ya	oui	ya		PART
oui	yeah	oui	yeah		PROPN
pièce	coin	pièce	coin	N;FEM;SG	PROPN
pratique	praktek	pratique	praktek	ADJ;FEM;SG	N;SG
pratique	latihan	pratique	latihan	ADJ;FEM;SG	N;SG
pratique	praktik	pratique	praktik	ADJ;FEM;SG	N;SG
pratique	berlatih	pratique	berlatih	ADJ;FEM;SG	V;SG;ACT
terrain	land	terrain	land	N;MASC;SG	PROPN
tennis	tennis	tennis	tennis	N;MASC;SG	PROPN
donner	donner	donner	donner	V;NFIN	PROPN
donner	sumbang	donner	sumbang	V;NFIN	PROPN;SG;ACT
donner	donasi	donner	donasi	V;NFIN	N;SG
donner	give	donner	give	V;NFIN	PROPN
chose	thing	chose	thing	N;FEM;SG	PROPN
pièces	koin	pièce	koin	N;FEM;PL	N;SG
pièces	parts	pièce	parts	N;FEM;PL	PROPN
pièces	bagian	pièce	bagian	N;FEM;PL	N;SG
fonctions	fungsi	fonction	fungsi	N;FEM;PL	N;SG
fonctions	fungsi	fonction	fungsi	N;FEM;PL	N;SG
fonctions	fitur	fonction	fitur	N;FEM;PL	N;SG
informations	information	information	information	N;FEM;PL	PROPN
informations	informasi	information	informasi	N;FEM;PL	N;SG
marché	pasar	marcher	pasar	V;MASC;SG;PST;V.PTCP	N;SG
alpes	alpen	alpe	alpen	N;FEM;PL	PROPN
alpes	alpes	alpe	alpes	N;FEM;PL	PROPN
sites	situs	site	situs	N;MASC;PL	N;SG
sites	website	site	website	N;MASC;PL	N;SG
basket	basketball	basket	basketball	N;MASC;SG	PROPN
utiliser	using	utiliser	using	V;NFIN	PROPN
utiliser	penggunaan	utiliser	pengunaan	V;NFIN	N;SG
économie	economics	économie	economics	N;FEM;SG	PROPN
longueur	panjang	longueur	panjang	N;FEM;SG	ADJ;SG
légende	caption	légende	caption	N;FEM;SG	PROPN
légende	legend	légende	legend	N;FEM;SG	PROPN
pense	pikir	penser	pikir	V;IND;SG;3;PRS;FIN	
vingt	twenty	vingt	twenty	NUM	PROPN
vingt	vingt	vingt	vingt	NUM	PROPN
arrivée	kedatangan	arriver	kedatangan	V;FEM;SG;PST;V.PTCP	N;SG
conditions	ketentuan	condition	ketentuan	N;FEM;PL	N;SG
conditions	syarat	condition	syarat	N;FEM;PL	N;SG
conditions	kondisi	condition	kondisi	N;FEM;PL	N;SG
commerce	commerce	commerce	commerce	N;MASC;SG	PROPN
commerce	dagang	commerce	dagang	N;MASC;SG	PROPN;SG;ACT
commerce	barter	commerce	barter	N;MASC;SG	PROPN;SG
commerce	dagang	commerce	dagang	N;MASC;SG	PROPN;SG;ACT
commerce	berdagang	commerce	berdagang	N;MASC;SG	V;SG;ACT
commerce	trade	commerce	trade	N;MASC;SG	PROPN
influence	pengaruhi	influence	pengaruhi	N;FEM;SG	V;SG;ACT
influence	memengaruhi	influence	memengaruhi	N;FEM;SG	V
énergie	energy	énergie	energy	N;FEM;SG	PROPN
publique	publik	public	publik	ADJ;FEM;SG	N
publique	public	public	public	ADJ;FEM;SG	PROPN
petits	petits	petit	petits	ADJ;MASC;PL	PROPN
petits	small	petit	small	ADJ;MASC;PL	PROPN
petits	kecil	petit	kecil	ADJ;MASC;PL	ADJ;SG
parties	parts	partie	parts	N;FEM;PL	PROPN
parties	bagian	partie	bagian	N;FEM;PL	N;SG
parties	pesta	partie	pesta	N;FEM;PL	N;SG
parties	pihak	partie	pihak	N;FEM;PL	N;SG
laurent	laurence	laurer	laurence	PROPN	PROPN
laurent	daud	laurer	daud	PROPN	
laurent	david	laurer	david	PROPN	PROPN
laurent	laurent	laurer	laurent	PROPN	PROPN
laurent	lawrence	laurer	lawrence	PROPN	PROPN
kilomètres	miles	kilomètre	miles	N;MASC;PL	PROPN
kilomètres	mil	kilomètre	mil	N;MASC;PL	N;SG
régions	daerah	région	daerah	N;FEM;PL	N;SG
régions	wilayah	région	wilayah	N;FEM;PL	N;SG
régions	kawasan	région	kawasan	N;FEM;PL	N;SG
passer	oper	passer	oper	V;NFIN	PROPN
passer	pass	passer	pass	V;NFIN	PROPN
enseignement	mengajarkan	enseignement	menajarkan	N;MASC;SG	V;SG;ACT
enseignement	mengajari	enseignement	menajari	N;MASC;SG	V;SG;ACT
enseignement	mengajar	enseignement	menajar	N;MASC;SG	V;SG;ACT
seigneur	lord	seigneur	lord	N;MASC;SG	PROPN
poids	berat	poids	berat	N;MASC;SG	ADJ;SG
poids	berat	poids	berat	N;MASC;SG	ADJ;SG
santé	cheers	santé	cheers	N;FEM;SG	PROPN
santé	bersulang	santé	bersulang	N;FEM;SG	V;SG;ACT
santé	ceria	santé	ceria	N;FEM;SG	ADJ;SG
heure	time	heure	time	N;FEM;SG	PROPN
feu	fire	feu	fire	N;MASC;SG	PROPN
italienne	italia	italien	italia	ADJ;FEM;SG	PROPN
voyage	travel	voyage	travel	N;MASC;SG	PROPN
voyage	journey	voyage	journey	N;MASC;SG	PROPN
voyage	trip	voyage	trip	N;MASC;SG	PROPN
supérieur	upper	supérieur	upper	ADJ;MASC;SG	PROPN
supérieur	atas	supérieur	atas	ADJ;MASC;SG	ADP;SG
supérieur	superior	supérieur	superior	ADJ;MASC;SG	PROPN
gestion	management	gestion	management	N;FEM;SG	PROPN
derniers	last	dernier	last	ADJ;MASC;PL	PROPN
derniers	terakhir	dernier	terakhir	ADJ;MASC;PL	ADJ;RL;SG
derniers	terkini	dernier	terkini	ADJ;MASC;PL	N;SG
derniers	terbaru	dernier	terbaru	ADJ;MASC;PL	ADJ;RL;SG
arrière	kembali	arrière	kembali	N;MASC;SG	V;SG;ACT
arrière	mundur	arrière	mundur	N;MASC;SG	V;SG;ACT
arrière	back	arrière	back	N;MASC;SG	PROPN
arrière	rear	arrière	rear	N;MASC;SG	PROPN
black	black	black	black	ADJ;MASC;SG	PROPN
henry	henry	henry	henry	PROPN	PROPN
autriche	austria	autriche	austria	ADJ;MASC;SG	PROPN
résultat	result	résultat	result	N;MASC;SG	PROPN
couleurs	warna	couleur	warna	N;FEM;PL	N;SG
couleurs	color	couleur	color	N;FEM;PL	PROPN
couleurs	berwarna	couleur	berwarna	N;FEM;PL	V;SG;ACT
couleurs	warna	couleur	warna	N;FEM;PL	N;SG
couleurs	colour	couleur	colour	N;FEM;PL	PROPN
couleurs	warna	couleur	warna	N;FEM;PL	N;SG
couleurs	warna	couleur	warna	N;FEM;PL	N;SG
couleurs	colors	couleur	colors	N;FEM;PL	PROPN
comment	how	comment	how	ADV	PROPN
nations	nations	nation	nations	N;FEM;PL	PROPN
central	central	central	central	ADJ;MASC;SG	PROPN
central	tengah	central	tengah	ADJ;MASC;SG	PROPN;SG
central	pusat	central	pusat	ADJ;MASC;SG	N;SG
central	sentral	central	sentral	ADJ;MASC;SG	N;SG
central	upt	central	upt	ADJ;MASC;SG	PROPN
signe	menandatangani	signe	mentandatangani	N;MASC;SG	V;SG;ACT
orchestre	orchestra	orchestre	orchestra	N;MASC;SG	PROPN
concours	contest	concours	contest	N;MASC;SG	PROPN
moderne	modem	moderne	modem	ADJ;MASC;SG	N
longue	long	long	long	ADJ;FEM;SG	PROPN
termine	finish	terminer	finish	V;IND;SG;3;PRS;FIN	PROPN
liées	terikat	lier	terikat	V;FEM;PL;PST;V.PTCP	V;SG;PASS
liées	diikat	lier	diikat	V;FEM;PL;PST;V.PTCP	V;SG;PASS
problèmes	masalah	problème	masalah	N;MASC;PL	N;SG
problèmes	masalah	problème	masalah	N;MASC;PL	N;SG
problèmes	isu	problème	isu	N;MASC;PL	N;SG
record	record	record	record	N;MASC;SG	PROPN
célèbre	famous	célèbre	famous	ADJ;MASC;SG	PROPN
doivent	harus	devoir	harus	V;IND;PL;3;PRS;FIN	ADV;SG;ACT
doivent	mesti	devoir	mesti	V;IND;PL;3;PRS;FIN	
doivent	keharusan	devoir	keharusan	V;IND;PL;3;PRS;FIN	N;SG
doivent	must	devoir	must	V;IND;PL;3;PRS;FIN	PROPN
musical	musik	musical	musik	ADJ;MASC;SG	N;SG
musical	musikal	musical	musikal	ADJ;MASC;SG	N
musical	musical	musical	musical	ADJ;MASC;SG	PROPN
mariage	marriage	mariage	marriage	N;MASC;SG	PROPN
mariage	wedding	mariage	wedding	N;MASC;SG	PROPN
architecte	architect	architecte	architect	N;MASC;SG	PROPN
mêmes	same	même	same	ADJ;MASC;PL	PROPN
artistes	artis	artiste	artis	N;MASC;PL	N;SG
artistes	seniman	artiste	seniman	N;MASC;PL	N;SG
artistes	seniman	artiste	seniman	N;MASC;PL	N;SG
artistes	artis	artiste	artis	N;MASC;PL	N;SG
nos	our	son	our	DET;MASC;PL	PROPN
roger	roger	roger	roger	N;MASC;SG	PROPN
presque	almost	presque	almost	ADV	PROPN
presque	nyaris	presque	nyaris	ADV	
certain	tertentu	certain	tertentu	ADJ;MASC;SG	DET
affaire	case	affaire	case	N;FEM;SG	PROPN
