que	te	que	te	PRO	V;DEF;IND;SG;1;PRS;FIN;ACT
ama	imád	ama	imád	N	V;INDF;IND;SG;3;PRS;FIN;ACT
ama	szereti	ama	szeret	N	V;DEF;IND;SG;3;PRS;FIN;ACT
ama	szeret	ama	szeret	N	V;INDF;IND;SG;3;PRS;FIN;ACT
ama	love	ama	love	N	
ama	dada	ama	dada	N	
ama	ápoló	ama	ápoló	N	ADJ;NOM;SG
pesar	ellenére	pesar	ellenére	V	ADP
pesar	habár	pesar	habár	V	CONJ
pesar	bár	pesar	bár	V	CONJ
pesar	habár	pesar	habár	V	CONJ
pesar	bár	pesar	bár	V	CONJ
pesar	mindegyik	pesar	mindegyik	V	
pesar	mind	pesar	mind	V	CONJ
pesar	minden	pesar	minden	V	PRO;NOM;SG;3
pesar	fie	pesar	fie	V	
partir	től	partir	től	V	
partir	tól	partir	tól	V	
partir	from	partir	from	V	
segredo	titkos	segredo	titkos	N	
desas	ezek	dese	ez	DET	PRO;NOM;PL;3
desas	ezeket	dese	ez	DET	PRO;ACC;PL;3
desas	azok	dese	az	DET	PRO;NOM;PL;3
sexo	van	sexo	van	N	V;INDF;IND;SG;3;PRS;FIN;ACT
absoluto	mindegyik	absoluto	mindegyik	ADJ	
absoluto	mind	absoluto	mind	ADJ	CONJ
absoluto	minden	absoluto	minden	ADJ	PRO;NOM;SG;3
absoluto	nem	absoluto	nem	ADJ	ADV
absoluto	abszolút	absoluto	abszolú	ADJ	
cheguei	itt	chegar	itt	V	ADV
cheguei	ott	chegar	ott	V	ADV
centos	száz	cento	száz	N	NUM;NOM;SG
centos	száz	cento	száz	N	NUM;NOM;SG
chorar	sír	chorar	sír	V	N;NOM;SG
chorar	sírás	chorar	sírás	V	N;NOM;SG
chorar	sírok	chorar	sír	V	N;NOM;PL
chorar	sír	chorar	sír	V	N;NOM;SG
chorar	sírás	chorar	sírás	V	N;NOM;SG
felicidade	kényelem	felicidade	kényelem	N	
felicidade	kényelmet	felicidade	kényelem	N	V;INDF;IND;SG;3;PRS;FIN;ACT
felicidade	joy	felicidade	joy	N	
felicidade	öröm	felicidade	öröm	N	
verde	zöld	verde	zöld	N	
verde	verde	verde	verde	N	
vexamos	lásd	vexar	lásd	V	
dan	ők	dar	ők	V	PRO;NOM;PL;3
dan	adva	dar	adva	V	
dan	megadva	dar	megadva	V	ADV;V.CVB
construír	épület	construír	épület	V	N;NOM;SG
40	negyven	40	negyven	NUM	
vela	lásd	velar	lásd	N	
vela	te	velar	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
podían	ők	poder	ők	V	PRO;NOM;PL;3
honor	megtiszteltetés	honor	megtiszteltetés	N	
honor	megtiszteltetés	honor	megtiszteltetés	N	
cidades	city	cidade	city	N	
cidades	városi	cidade	városi	N	ADJ;NOM;SG
abre	nyitva	abre	nyitva	V	ADV;V.CVB
abre	nyitható	abre	nyitható	V	
central	központi	central	központi	N	ADJ;NOM;SG
central	power	central	power	N	
especialmente	különösen	especial	különös	ADV	ADJ;FRML;SG
especialmente	főleg	especial	főleg	ADV	
especialmente	különösen	especial	különös	ADV	ADJ;FRML;SG
moral	morális	moral	morális	N	ADJ;NOM;SG
moral	erkölcsös	moral	erkölcsös	N	
moral	erkölcsi	moral	erkölcsi	N	
ocorreu	megtörtént	ocorrer	meg+történik	V	
caer	esés	caer	esés	V	N;NOM;SG
caer	őszi	caer	őszi	V	
caer	zuhanás	caer	zuhanás	V	N;NOM;SG
caer	ősszel	caer	ősszel	V	ADV
caer	ősz	caer	ősz	V	
caer	csepp	caer	csepp	V	N;NOM;SG
caer	lefelé	caer	lefelé	V	
caer	le	caer	le	V	ADV
alemáns	németül	alemán	németül	N	
alemáns	német	alemán	német	N	ADJ;NOM;SG
fagan	ők	facer	ők	V	PRO;NOM;PL;3
perigo	veszélyes	perigo	veszélyes	N	
banco	az	banco	az	N	
banco	padon	banco	pad	N	
banco	állj	banco	állj	N	V;INDF;IMP;SG;1;PRS;FIN;ACT
debía	elvileg	deber	elvileg	V	
estudantes	hallgató	estudantes	hallgató	N	
estudantes	tanuló	estudantes	tanuló	N	ADJ;NOM;SG
cría	hiszem	cría	hisz	N	V;DEF;IND;SG;1;PRS;FIN;ACT
cría	higgy	cría	higgy	N	V;INDF;IND;SG;1;PRS;FIN;ACT
cría	hittem	cría	hit	N	V;DEF;IND;SG;1;PRS;FIN;ACT
cría	hitte	cría	hit	N	V;DEF;IND;SG;3;PRS;FIN;ACT
cría	hittem	cría	hit	N	V;DEF;IND;SG;1;PRS;FIN;ACT
cría	gondoltam	cría	gondol	N	V;INDF;IND;SG;1;PST;FIN;ACT
pensamos	gondolat	pensar	gondolat	V	N;NOM;SG
pensamos	kb	pensar	kb	V	N;NOM;SG
pensamos	nagyjából	pensar	nagy	V	N;IN+ABL;SG
pensamos	körülbelül	pensar	körülbelül	V	ADV
pór	szett	pór	szett	V	N;NOM;SG
pór	set	pór	set	V	
pór	beállítva	pór	beállítva	V	ADV;V.CVB
pór	forgatás	pór	forgatás	V	N;NOM;SG
conto	story	conto	story	N	
conto	körülbelül	conto	körülbelül	N	ADV
conto	ez	conto	ez	N	PRO;NOM;SG;3
conto	számolom	conto	számol	N	V;DEF;IND;SG;1;PRS;FIN;ACT
conto	számol	conto	számol	N	V;INDF;IND;SG;3;PRS;FIN;ACT
conto	számít	conto	számít	N	V;INDF;IND;SG;3;PRS;FIN;ACT
completamente	teljesen	completamente	teljes	ADV	ADJ;FRML;SG
completamente	ki	completamente	ki	ADV	PRO;NOM;SG;3
completamente	teljesen	completamente	teljes	ADV	ADJ;FRML;SG
fiestra	ablak	fiestra	ablak	N	
fiestra	ablakon	fiestra	ablak	N	
fiestra	ki	fiestra	ki	N	PRO;NOM;SG;3
franceses	francia	francese	francia	N	
so	csak	so	csak	PROPN	ADV
so	kizárólag	so	kizárólag	PROPN	
so	csak	so	csak	PROPN	ADV
so	egyedül	so	egyedül	PROPN	
so	alatt	so	alatt	PROPN	ADP
so	alatta	so	alat	PROPN	
so	alá	so	alá	PROPN	ADP
paréceme	ez	paréceme	ez	V	PRO;NOM;SG;3
vergoña	kár	vergoña	kár	N	
vergoña	szégyen	vergoña	szégyen	N	
vergoña	szégyellem	vergoña	szégyellem	N	V;DEF;IND;SG;1;PRS;FIN;ACT
falas	te	fala	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
falas	beszélni	fala	beszél	N	V;NFIN;ACT
falas	beszél	fala	beszél	N	V;INDF;IND;SG;3;PRS;FIN;ACT
falas	beszélő	fala	beszélő	N	ADJ;NOM;SG
falas	körülbelül	fala	körülbelül	N	ADV
falas	beszélj	fala	beszél	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
universidade	university	universidade	university	N	
estrada	uton	estrada	ut	N	
estrada	az	estrada	az	N	
subir	emelés	subir	emelés	V	N;NOM;SG
subir	fent	subir	fent	V	
azul	kék	azul	kék	N	
azul	blue	azul	blue	N	
xuíz	judge	xuíz	jud	N	
xuíz	bíró	xuíz	bíró	N	
cómo	tud	cómo	tud	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
cómo	can	cómo	can	ADV	
cómo	lehet	cómo	lesz	ADV	V;INDF;POT;SG;3;PRS;FIN;ACT
cómo	te	cómo	te	ADV	V;DEF;IND;SG;1;PRS;FIN;ACT
tódolos	minden	tódolo	minden	N	PRO;NOM;SG;3
tódolos	mindegyik	tódolo	mindegyik	N	
tódolos	mind	tódolo	mind	N	CONJ
tódolos	minden	tódolo	minden	N	PRO;NOM;SG;3
tódolos	az	tódolo	az	N	
tódolos	mindegy	tódolo	mindegy	N	
dabondo	elég	dabor	elég	V	
dabondo	jó	dabor	jó	V	
estarei	will	estar	will	V	
estarei	fog	estar	fog	V	V;INDF;IND;SG;3;PRS;ACT
estarei	akarat	estar	akarat	V	N;NOM;SG
levas	te	leva	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
levas	viselni	leva	visel	N	V;NFIN;ACT
levas	vinni	leva	vin	N	V;NFIN;ACT
levas	vedd	leva	vedd	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
levas	viselni	leva	visel	N	V;NFIN;ACT
levas	van	leva	van	N	V;INDF;IND;SG;3;PRS;FIN;ACT
levas	with	leva	with	N	
jim	jim	jim	jim	PROPN	
sinxelo	könnyű	sinxelo	könnyű	ADJ	
sinxelo	könnyebben	sinxelo	könnyű	ADJ	ADV
sinxelo	szimpla	sinxelo	szimpla	ADJ	
médicos	orvosi	médico	orvosi	N	ADJ;NOM;SG
cancro	rákos	cancro	rákos	N	
levou	led	levar	led	V	N;NOM;SG
voume	ki	voume	ki	V	PRO;NOM;SG;3
coñecín	met	coñecín	met	V	
longa	hosszú	longo	hosszú	ADJ	
longa	ideje	longo	idő	ADJ	N;NOM;SG
longa	időpont	longo	időpont	ADJ	N;NOM;SG
longa	idő	longo	idő	ADJ	N;NOM;SG
longa	live	longo	live	ADJ	
longa	élni	longo	él	ADJ	V;NFIN;ACT
longa	élőben	longo	élő	ADJ	N;IN+ESS;SG
longa	élő	longo	élő	ADJ	
total	komplett	total	komplett	N	
total	teljes	total	teljes	N	
total	teljessé	total	teljessé	N	V;DEF;IND;SG;3;PRS;FIN;ACT
total	teljes	total	teljes	N	
total	összesen	total	összesen	N	
tentar	és	tentar	és	V	CONJ
conducir	ólom	conducir	ólom	V	N;NOM;SG
conducir	vezetés	conducir	vezetés	V	N;NOM;SG
conducir	vezetési	conducir	vezetési	V	ADJ;NOM;SG
conducir	meghajtó	conducir	meghajtó	V	N;NOM;SG
verme	lásd	verme	lásd	N	
verme	kukac	verme	kukac	N	
excelente	nagyon	excelente	nagyon	ADJ	ADV
excelente	nagyszerű	excelente	nagyszerű	ADJ	
excelente	jó	excelente	jó	ADJ	
formas	mindegy	forma	mindegy	N	
parecía	mint	parecer	mint	V	CONJ
parecía	like	parecer	lik	V	
sensación	érezd	sensación	érez	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
sensación	érzem	sensación	érez	N	V;DEF;IND;SG;1;PRS;FIN;ACT
sensación	érzés	sensación	érzés	N	
sensación	érzem	sensación	érez	N	V;DEF;IND;SG;1;PRS;FIN;ACT
sensación	érezni	sensación	érez	N	V;NFIN;ACT
sensación	értelme	sensación	értelem	N	
intelixente	okos	intelixente	okos	ADJ	
intelixente	intelligens	intelixente	intelligens	ADJ	
intelixente	smart	intelixente	smart	ADJ	
intelixente	okos	intelixente	okos	ADJ	
intelixente	ügyes	intelixente	ügyes	ADJ	
intelixente	ötletes	intelixente	ötletes	ADJ	
intelixente	intelligens	intelixente	intelligens	ADJ	
intelixente	bölcsek	intelixente	bölcs	ADJ	N;NOM;PL
intelixente	bölcs	intelixente	bölcs	ADJ	
gustan	mint	gustar	mint	V	CONJ
gustan	like	gustar	lik	V	
gustan	don	gustar	don	V	
gustan	ők	gustar	ők	V	PRO;NOM;PL;3
gustan	őket	gustar	ők	V	PRO;ACC;PL;3
gustan	gyűlölet	gustar	gyűlölet	V	N;NOM;SG
azuis	kék	azuis	kék	N	
azuis	blue	azuis	blue	N	
próximo	következő	próximo	következő	ADJ	
próximo	közel	próximo	közel	ADJ	
xeo	ice	xeo	ice	N	
xeo	az	xeo	az	N	
broma	viccel	broma	viccel	N	
broma	viccelek	broma	viccel	N	
eras	te	ser	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
eras	voltak	ser	van	N	V;INDF;IND;PL;3;PST;FIN;ACT
eras	volt	ser	van	N	V;INDF;IND;SG;3;PST;FIN;ACT
monte	sok	monte	sok	N	
monte	erdő	monte	erdő	N	
monte	az	monte	az	N	
joffrey	joffrey	joffrey	joffrey	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
cabalos	lovak	cabalo	lovak	V	N;NOM;PL
cabalos	lovakat	cabalo	lovak	V	N;ACC;PL
cabalos	lóerő	cabalo	lóerő	V	N;NOM;SG
cabalos	lovas	cabalo	lovas	V	
cabalos	ló	cabalo	ló	V	N;NOM;SG
interese	érd	interese	érd	N	
interese	érdeklődő	interese	érdeklődő	N	ADJ;NOM;SG
interese	érdekel	interese	érdekel	N	V;INDF;IND;SG;3;PRS;FIN;ACT
interese	érdekelt	interese	érdekelt	N	V;INDF;IND;SG;3;PST;FIN;ACT
interese	érdekelne	interese	érdekel	N	V;INDF;COND;SG;3;PRS;FIN;ACT
interese	érdeklődni	interese	érdeklődik	N	V;NFIN;ACT
compañeiros	haverok	compañeiro	haver	N	
compañeiros	haverok	compañeiro	haver	N	
depende	ez	depender	ez	V	PRO;NOM;SG;3
xamais	sosem	xamal	sosem	ADV	
xamais	soha	xamal	soha	ADV	
xamais	valaha	xamal	valaha	ADV	
xapón	japán	xapón	japán	PROPN	
prensa	media	prensa	media	N	
prensa	az	prensa	az	N	
divertido	móka	divertir	móka	V	N;NOM;SG
divertido	szórakozás	divertir	szórakozás	V	N;NOM;SG
divertido	vicces	divertir	vicces	V	
divertido	szep	divertir	szep	V	
divertido	szép	divertir	szép	V	
divertido	mulatságos	divertir	mulatságos	V	
calma	lefelé	calma	lefelé	N	
calma	le	calma	le	N	ADV
calma	könnyű	calma	könnyű	N	
calma	vedd	calma	vedd	N	V;DEF;IMP;SG;1;PRS;FIN;ACT
william	william	william	william	PROPN	
william	vilmos	william	vilmos	PROPN	
vontade	will	vontade	will	N	
vontade	fog	vontade	fog	N	V;INDF;IND;SG;3;PRS;ACT
vontade	kész	vontade	kész	N	
chamou	hívás	chamar	hívás	V	N;NOM;SG
val	valley	val	valley	N	
dura	nehéz	durar	nehéz	V	
dura	kemény	durar	kemény	V	
dura	kemény	durar	kemény	V	
tv	tv	tv	tv	PROPN	N;NOM;SG
tv	televízió	tv	televízió	PROPN	N;NOM;SG
bailar	dance	bailar	dance	V	
bailar	tánc	bailar	tánc	V	N;NOM;SG
bailar	tánc	bailar	tánc	V	N;NOM;SG
distancia	között	distancia	között	N	ADP
distancia	szakadék	distancia	szakadék	N	
distancia	től	distancia	től	N	
distancia	tól	distancia	tól	N	
distancia	from	distancia	from	N	
distancia	far	distancia	far	N	
distancia	messze	distancia	messze	N	
distancia	messzire	distancia	messzire	N	
sociais	szociális	social	szociális	ADJ	N;NOM;SG
maiores	legnagyobb	maior	nagy	N	ADJ;NOM;RL;SG
maiores	legnagyobb	maior	nagy	N	ADJ;NOM;RL;SG
maiores	nagyobb	maior	nagy	N	ADJ;NOM;CMPR;SG
maiores	nagyobbak	maior	nagy	N	ADV
maiores	idős	maior	idős	N	
maiores	régi	maior	régi	N	
maiores	öreg	maior	öreg	N	
maiores	öregebb	maior	öregebb	N	ADJ;NOM;CMPR;SG
maiores	idősebb	maior	idős	N	ADJ;NOM;CMPR;SG
maiores	régebbi	maior	régebbi	N	ADJ;NOM;CMPR;SG
maiores	nagyobb	maior	nagy	N	ADJ;NOM;CMPR;SG
maiores	az	maior	az	N	
xustiza	jogszabály	xustiza	jogszabály	N	
área	az	área	az	N	
morreron	halott	morrer	halott	V	
morreron	halottak	morrer	halott	V	N;NOM;PL
morreron	megölt	morrer	megölt	V	
morreron	ők	morrer	ők	V	PRO;NOM;PL;3
interesa	érdeklődő	interesar	érdeklődő	V	ADJ;NOM;SG
interesa	érdeklődés	interesar	érdeklődés	V	N;NOM;SG
interesa	kamat	interesar	kamat	V	N;NOM;SG
interesa	érd	interesar	érd	V	
interesa	kamatok	interesar	kamat	V	N;NOM;PL
interesa	gondoskodás	interesar	gondoskodás	V	N;NOM;SG
interesa	érdemes	interesar	érdemes	V	ADJ;NOM;SG
interesa	megéri	interesar	megéri	V	
interesa	worth	interesar	worth	V	
evitalo	segíteni	evitalo	segít	N	V;NFIN;ACT
obra	az	obra	az	N	
obra	játszani	obra	játszik	N	V;NFIN;ACT
obra	play	obra	play	N	
obra	játssz	obra	játssz	N	
has	will	haber	will	V	
has	fog	haber	fog	V	V;INDF;IND;SG;3;PRS;ACT
has	akarat	haber	akarat	V	N;NOM;SG
polly	polly	polly	polly	PROPN	
winnipeg	winnipeg	winnipeg	winnipeg	PROPN	N;NOM;SG
entende	megért	entender	meg+ér	V	
normalmente	általában	normal	általában	ADV	
normalmente	rendszerint	normal	rendszerint	ADV	
normalmente	általában	normal	általában	ADV	
normalmente	általánosságban	normal	általánosság	ADV	N;IN+ESS;SG
normalmente	általában	normal	általában	ADV	
internacional	international	internacional	international	ADJ	
internacional	faj	internacional	faj	ADJ	N;NOM;SG
internacional	futam	internacional	futa	ADJ	N;NOM;SG
internacional	verseny	internacional	verseny	ADJ	N;NOM;SG
dou	can	dar	can	V	
terrible	szörnyű	terrible	szörnyű	ADJ	
terrible	szörnyű	terrible	szörnyű	ADJ	
terrible	szörnyű	terrible	szörnyű	ADJ	
nisto	ezt	nisto	ez	ADV	PRO;ACC;SG;3
nisto	ez	nisto	ez	ADV	PRO;NOM;SG;3
nisto	kb	nisto	kb	ADV	N;NOM;SG
nisto	nagyjából	nisto	nagy	ADV	N;IN+ABL;SG
nisto	ez	nisto	ez	ADV	PRO;NOM;SG;3
nisto	mindegyik	nisto	mindegyik	ADV	
nisto	mind	nisto	mind	ADV	CONJ
nisto	minden	nisto	minden	ADV	PRO;NOM;SG;3
actuar	aktus	actuar	aktus	V	N;NOM;SG
actuar	felvonás	actuar	felvonás	V	N;NOM;SG
pedra	stone	pedra	stone	N	PROPN;NOM;SG
pedra	rock	pedra	rock	N	
acabar	befejezés	acabar	befejezés	V	N;NOM;SG
acabar	vége	acabar	vég	V	N;NOM;SG
acabar	vég	acabar	vég	V	N;NOM;SG
acabar	befejezés	acabar	befejezés	V	N;NOM;SG
gracias	te	gracia	te	N	V;DEF;IND;SG;1;PRS;FIN;ACT
gracias	sok	gracia	sok	N	
gracias	sokat	gracia	sok	N	
gracias	köszönöm	gracia	köszönöm	N	V;DEF;IND;SG;1;PRS;FIN;ACT
gracias	köszi	gracia	köszi	N	V;DEF;IND;SG;1;PRS;FIN;ACT
lembra	hogyan	lembra	hogyan	V	ADV
aspecto	nézd	aspecto	nézd	N	V;DEF;IMP;PL;3;PRS;FIN;ACT
aspecto	mint	aspecto	mint	N	CONJ
aspecto	like	aspecto	lik	N	
aspecto	tetszik	aspecto	tetszik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
aspecto	nézett	aspecto	nézett	N	V;INDF;IND;SG;3;PST;FIN;ACT
aspecto	tűnt	aspecto	tűnt	N	V;INDF;IND;SG;3;PST;FIN;ACT
aspecto	tűnik	aspecto	tűnik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
joe	joe	joe	joe	PROPN	
dame	don	dame	don	PROPN	
dame	ad	dame	ad	PROPN	V;INDF;IND;SG;3;PRS;FIN;ACT
estación	az	estación	az	N	
civil	civil	civil	civil	ADJ	
civil	civil	civil	civil	ADJ	
marcho	le	marcho	le	V	ADV
marcho	kikapcsolva	marcho	kikapcsolva	V	ADV;V.CVB
marcho	off	marcho	off	V	
bombas	bomba	bomba	bomba	N	
tranquilo	aggódj	tranquilo	agyód	ADJ	V;DEF;IND;PL;3;PRS;FIN;ACT
tranquilo	vedd	tranquilo	vedd	ADJ	V;DEF;IMP;SG;1;PRS;FIN;ACT
tranquilo	könnyű	tranquilo	könnyű	ADJ	
tranquilo	don	tranquilo	don	ADJ	
tranquilo	egyedül	tranquilo	egyedül	ADJ	
imaxinar	can	imaxinar	can	V	
sacar	ki	sacar	ki	V	PRO;NOM;SG;3
comunidade	közösségi	comunidade	közösségi	N	ADJ;NOM;SG
incrible	hihetetlen	incrible	hihetetlen	ADJ	
incrible	hihetetlen	incrible	hihetetlen	ADJ	
tantos	sok	tanto	sok	DET	
tantos	sokan	tanto	sokan	DET	ADV
tantos	mindegyik	tanto	mindegyik	DET	
tantos	mind	tanto	mind	DET	CONJ
tantos	minden	tanto	minden	DET	PRO;NOM;SG;3
tantos	sok	tanto	sok	DET	
tantos	sokat	tanto	sok	DET	
tantos	ez	tanto	ez	DET	PRO;NOM;SG;3
delas	ők	dela	ők	PROPN	PRO;NOM;PL;3
delas	őket	dela	ők	PROPN	PRO;ACC;PL;3
delas	egy	dela	egy	PROPN	DET;INDF
delas	azok	dela	az	PROPN	PRO;NOM;PL;3
probar	vizsgálati	probar	vizsgálati	V	N;NOM;SG
probar	vizsgálat	probar	vizsgálat	V	N;NOM;SG
probar	próba	probar	pró	V	N;NOM;SG
probar	teszt	probar	tesz	V	N;NOM;SG
probar	íze	probar	íze	V	N;NOM;SG
tribunal	court	tribunal	cour	N	
risco	kockázatos	risco	kockázatos	N	ADJ;NOM;SG
risco	ez	risco	ez	N	PRO;NOM;SG;3
xiro	fordulj	xiro	fordul	N	V;INDF;IND;SG;1;PRS;FIN;ACT
pública	nyilvánosság	público	nyilvánosság	ADJ	N;NOM;SG
pública	publikus	público	publikus	ADJ	
pública	biztonság	público	biztonság	ADJ	N;NOM;SG
certa	bizonyos	certo	bizonyos	DET	
certa	igaz	certo	igaz	DET	
certa	igazi	certo	igazi	DET	
baleas	púpos	balea	púpos	N	
baleas	bálnavadász	balea	bálnavadász	N	
volverei	vissza	volver	vissza	V	ADV
volverei	sosem	volver	sosem	V	
volverei	soha	volver	soha	V	
volverei	újra	volver	újra	V	ADV
volverei	will	volver	will	V	
volverei	fog	volver	fog	V	V;INDF;IND;SG;3;PRS;ACT
volverei	akarat	volver	akarat	V	N;NOM;SG
concello	city	concello	city	N	
concello	városi	concello	városi	N	ADJ;NOM;SG
concello	hall	concello	hall	N	
concello	town	concello	town	N	
concello	megyei	concello	megyei	N	ADJ;NOM;SG
concello	megye	concello	megye	N	
leis	jogszabály	lei	jogszabály	N	
sentar	ülést	sentar	ülés	V	N;ACC;SG
sentar	ülés	sentar	ülés	V	N;NOM;SG
sentar	lefelé	sentar	lefelé	V	
sentar	le	sentar	le	V	ADV
sentar	itt	sentar	itt	V	ADV
compartir	részesedése	compartir	részesedés	V	N;NOM;SG
compartir	megosztás	compartir	megosztás	V	
compartir	részesedés	compartir	részesedés	V	N;NOM;SG
compartir	megosztás	compartir	megosztás	V	
xenes	gene	xene	gene	N	
querer	szeretettel	querer	szeretet	V	N;INS;SG
querer	love	querer	love	V	
querer	szeretet	querer	szeretet	V	N;NOM;SG
querer	szerelem	querer	szerelem	V	N;NOM;SG
varias	számos	varios	számos	DET	
varias	többféle	varios	többfél	DET	
varias	különféle	varios	különféle	DET	
varias	különböző	varios	különböző	DET	
custa	költség	custar	költség	V	N;NOM;SG
custa	költségek	custar	költség	V	N;NOM;PL
custa	sok	custar	sok	V	
custa	sokat	custar	sok	V	
custa	költség	custar	költség	V	N;NOM;SG
custa	költségek	custar	költség	V	N;NOM;PL
custa	nehéz	custar	nehéz	V	
custa	kemény	custar	kemény	V	
buscando	for	buscar	for	V	
buscando	keresés	buscar	keresés	V	
estúpido	hülye	estúpido	hülye	ADJ	
medida	mérték	medida	mér	N	
medida	for	medida	for	N	
taxi	taxival	taxi	taxival	N	
vexa	óra	vexa	óra	V	N;NOM;SG
vexa	lásd	vexa	lásd	V	
tirar	ki	tirar	ki	V	PRO;NOM;SG;3
tirar	dobás	tirar	dobás	V	N;NOM;SG
coches	kocsival	coche	kocsi	N	
lixo	vacak	lixo	vacak	N	
vía	lehetne	vía	lesz	N	V;INDF;SG;3;PRS;FIN;ACT
vía	lásd	vía	lásd	N	
vía	láttam	vía	lát	N	V;DEF;IND;SG;1;PST;FIN;ACT
vía	látta	vía	lát	N	V;DEF;IND;SG;3;PST;FIN;ACT
vía	az	vía	az	N	
serie	soros	serie	soros	N	
ricos	gazdag	rico	gazdag	ADJ	
ricos	gazdagok	rico	gazdag	ADJ	N;NOM;PL
ricos	rich	rico	rich	ADJ	
desenvolvemento	fejlesztési	desenvolvemento	fejlesztési	N	ADJ;NOM;SG
desenvolvemento	fejlődő	desenvolvemento	fejlődő	N	ADJ;NOM;SG
primeiros	először	primeiro	először	ADJ	ADV
primeiros	korán	primeiro	korán	ADJ	
primeiros	korai	primeiro	korai	ADJ	
primeiros	kevesen	primeiro	kevés	ADJ	ADV
primeiros	pár	primeiro	pár	ADJ	
primeiros	kevés	primeiro	kevés	ADJ	
primeiros	kevesek	primeiro	kevés	ADJ	
primeiros	néhány	primeiro	néhány	ADJ	DET;INDF
robinson	robinson	robinson	robins	PROPN	
robinson	volt	robinson	van	PROPN	V;INDF;IND;SG;3;PST;FIN;ACT
dicilo	mondd	dicilo	mondd	ADV	V;DEF;IMP;SG;1;PRS;FIN;ACT
dicilo	rakd	dicilo	rakd	ADV	V;DEF;IMP;SG;1;PRS;FIN;ACT
dicilo	tedd	dicilo	tedd	ADV	V;DEF;IMP;SG;2;PRS;FIN;ACT
apenas	alig	apenas	alig	ADV	
apenas	van	apenas	van	ADV	V;INDF;IND;SG;3;PRS;FIN;ACT
apenas	aligha	apenas	aligha	ADV	
apenas	alig	apenas	alig	ADV	
camiñar	séta	camiñar	séta	V	N;NOM;SG
camiñar	gyalog	camiñar	gyalog	V	
camiñar	séta	camiñar	séta	V	N;NOM;SG
camiñar	gyalog	camiñar	gyalog	V	
xornais	az	xornal	az	N	
propios	saját	propio	saját	DET	PRO;NOM;SG;3
océano	óceán	océano	óceán	N	
océano	ocean	océano	ocean	N	
océano	az	océano	az	N	
anel	ring	anel	ring	N	
anel	gyűrűs	anel	gyűrűs	N	
traballos	működik	traballo	működik	N	V;INDF;IND;SG;3;PRS;FIN;ACT
traballos	lánc	traballo	lánc	N	
chave	kulcsfontosságú	chave	kulcsfontosságú	N	ADJ;NOM;SG
chave	key	chave	key	N	
chave	az	chave	az	N	
doutro	egyéb	doutro	egyéb	N	
doutro	más	doutro	más	N	PRO;NOM;SG;3
doutro	máskülönben	doutro	máskülönben	N	ADV
doutro	egyébként	doutro	egyébként	N	ADV
doutro	másképpen	doutro	másképpen	N	
doutro	másképp	doutro	másképp	N	
verdadeira	igaz	verdadeiro	igaz	ADJ	
verdadeira	igazi	verdadeiro	igazi	ADJ	
verdadeira	real	verdadeiro	real	ADJ	
verdadeira	igazi	verdadeiro	igazi	ADJ	
verdadeira	valódi	verdadeiro	valódi	ADJ	
marzo	márciusi	marzo	márciusi	N	ADJ;NOM;SG
salvar	mentés	salvar	mentés	V	N;NOM;SG
salvar	mentése	salvar	mentés	V	N;NOM;SG
salvar	megtakarítás	salvar	megtakarítás	V	N;NOM;SG
salvar	mentés	salvar	mentés	V	N;NOM;SG
deberían	ők	deber	ők	V	PRO;NOM;PL;3
disparar	lövöldözés	disparar	lövöldözés	V	N;NOM;SG
disparar	lövés	disparar	lövés	V	N;NOM;SG
disparar	forgatás	disparar	forgatás	V	N;NOM;SG
disparar	tüzelést	disparar	tüzelés	V	N;ACC;SG
puntos	pont	punto	pont	N	
colexio	suli	colexio	suli	N	
primavera	tavaszi	primavera	tavaszi	N	
primavera	itt	primavera	itt	N	ADV
corre	futás	currir	futás	V	N;NOM;SG
riba	fölötte	riba	fölött	ADV	
riba	felett	riba	felett	ADV	ADP
riba	fölött	riba	fölött	ADV	ADP
riba	fent	riba	fent	ADV	
riba	fenti	riba	fent	ADV	
riba	felette	riba	felet	ADV	PRO;NOM;SG;3
riba	vége	riba	vég	ADV	N;NOM;SG
riba	felül	riba	felül	ADV	
riba	top	riba	top	ADV	
riba	csúcs	riba	csúcs	ADV	
riba	felső	riba	felső	ADV	
riba	legfelső	riba	legfelső	ADV	
terei	will	terei	will	V	
terei	fog	terei	fog	V	V;INDF;IND;SG;3;PRS;ACT
terei	akarat	terei	akarat	V	N;NOM;SG
canso	elfáradt	canso	el+fárad	ADV	V;INDF;IND;SG;3;PST;FIN;ACT
canso	fáradt	canso	fárad	ADV	
coidar	gondoskodás	coidar	gondoskodás	V	N;NOM;SG
coidar	után	coidar	után	V	ADP
coidar	after	coidar	after	V	
coidar	miután	coidar	miután	V	CONJ
