lincoln	lincoln	lincoln	lincoln	PROPN	N;NOM;MASC;SG
devenus	postala	devenir	postati	V;MASC;PL;PST;V.PTCP	V;PFV;FEM;SG;V.PTCP
devenus	postal	devenir	postati	V;MASC;PL;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
salomon	salomon	salomon	salomon	PROPN	N;NOM;MASC;SG
salomon	salomon	salomon	salomon	PROPN	N;NOM;MASC;SG
salomon	solomon	salomon	solomon	PROPN	N;NOM;MASC;SG
barbe	brade	barbe	brat	N;FEM;SG	N;NOM;FEM;PL
allié	zlitinski	allié	zlitinski	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
allié	zaveznika	allié	zaveznik	V;MASC;SG;PST;V.PTCP	N;ACC;MASC;SG
allié	zaveznik	allié	zaveznik	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
allié	ally	allié	ally	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
prouver	dokazovanje	prouver	dokazovanje	V;NFIN	N;NOM;NEUT;SG
dette	dolga	dette	dolg	N;FEM;SG	ADJ;NOM;FEM;SG
dette	dolg	dette	dolg	N;FEM;SG	ADJ;NOM;INDF;MASC;SG
dream	sanje	dream	sanja	PROPN	N;NOM;FEM;PL
dream	dream	dream	dream	PROPN	N;NOM;MASC;SG
dream	sanjsko	dream	sanjski	PROPN	ADJ;NOM;NEUT;SG
moyennes	povprečje	moyen	povprečje	ADJ;FEM;PL	N;NOM;NEUT;SG
moyennes	povprečna	moyen	povprečen	ADJ;FEM;PL	ADJ;NOM;FEM;SG
moyennes	povprečno	moyen	povprečen	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
moyennes	srednje	moyen	srednje	ADJ;FEM;PL	ADV
moyennes	srednja	moyen	srednji	ADJ;FEM;PL	ADJ;NOM;FEM;SG
moyennes	gojišče	moyen	gojišče	ADJ;FEM;PL	N;NOM;NEUT;SG
moyennes	povprečja	moyen	povprečje	ADJ;FEM;PL	N;GEN;NEUT;SG
meurthe	meurthe	meurthe	meurteh	N;FEM;SG	PROPN;NOM;MASC;SG
cru	surove	cru	surov	V;MASC;SG;PST;V.PTCP	N;NOM;FEM;PL
cru	surova	cru	surov	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
cru	surovo	cru	surovo	V;MASC;SG;PST;V.PTCP	ADV
cru	surovi	cru	surov	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;SG
cru	surov	cru	surov	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
cru	cru	cru	cro	V;MASC;SG;PST;V.PTCP	PROPN;NOM;MASC;SG
dessert	sladice	dessert	sladica	N;MASC;SG	N;NOM;FEM;PL
dessert	sladice	dessert	sladica	N;MASC;SG	N;NOM;FEM;PL
blake	blake	blake	blak	PROPN	N;NOM;MASC;SG
nationaliste	nacionalistične	nationaliste	nacionalističen	ADJ;MASC;SG	ADJ;NOM;FEM;PL
peuplée	poseljenih	peupler	poseljen	V;FEM;SG;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
expert	strokovna	expert	strokoven	N;MASC;SG	ADJ;NOM;FEM;SG
normand	normand	normand	normand	N;MASC;SG	
lourde	težki	lourd	težek	ADJ;FEM;SG	ADJ;NOM;MASC;PL
lourde	težke	lourd	težek	ADJ;FEM;SG	ADJ;NOM;FEM;PL
holmes	holmes	holme	holmes	PROPN	N;NOM;MASC;SG
renard	fox	renard	fox	N;MASC;SG	PROPN;NOM;MASC;SG
mississippi	mississippi	mississippi	mississippa	N;MASC;SG	N;NOM;MASC;PL
ille	ille	ille	ill	PROPN	N;NOM;MASC;SG
attire	pritegnili	attirer	pritegniti	V;IND;SG;3;PRS;FIN	V;PFV;MASC;PL;V.PTCP
graines	seme	graine	seme	N;FEM;PL	N;NOM;NEUT;SG
graines	semenski	graine	semenski	N;FEM;PL	ADJ;NOM;MASC;SG
graines	seme	graine	seme	N;FEM;PL	N;NOM;NEUT;SG
républicaine	republikanec	républicain	republikanec	ADJ;FEM;SG	N;NOM;MASC;SG
rtl	rtl	rtl	rtl	PROPN	N;NOM;MASC;SG
nova	nova	nova	nov	PROPN	ADJ;NOM;FEM;SG
réputé	uglednih	réputer	ugleden	V;MASC;SG;PST;V.PTCP	ADJ;GEN;MASC;PL
isolées	izolirana	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
isolées	izolirani	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
isolées	izolirane	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
isolées	izolirano	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
isolées	osamljen	isoler	osamljen	V;FEM;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
isolées	izolirana	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
isolées	izoliranih	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
isolées	izolirane	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
isolées	izolirano	isoler	izoliran	V;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
fixé	popravljeno	fixer	popravljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
fixé	fiksno	fixer	fiksen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
fixé	fiksna	fixer	fiksen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
envoyés	odposlanci	envoyer	odposlanec	V;MASC;PL;PST;V.PTCP	N;NOM;MASC;PL
envoyés	poslan	envoyer	poslan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
envoyés	poslana	envoyer	poslan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
envoyés	poslani	envoyer	poslan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
envoyés	poslano	envoyer	poslan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
envoyés	poslane	envoyer	poslan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
galeries	galerija	galerie	galerija	N;FEM;PL	N;NOM;FEM;SG
galeries	galerijo	galerie	galerija	N;FEM;PL	N;ACC;FEM;SG
évident	očitno	évident	očitno	ADJ;MASC;SG	ADV
coûts	strošek	coût	strošek	N;MASC;PL	N;NOM;MASC;SG
auxerre	auxerre	auxerre	auxerra	PROPN	PROPN;NOM;MASC;SG
munitions	streliva	munition	strelivo	N;FEM;PL	N;GEN;NEUT;SG
munitions	strelivo	munition	strelivo	N;FEM;PL	N;NOM;NEUT;SG
munitions	strelivo	munition	strelivo	N;FEM;PL	N;NOM;NEUT;SG
munitions	strelivo	munition	strelivo	N;FEM;PL	N;NOM;NEUT;SG
divine	božanske	divin	božanski	ADJ;FEM;SG	ADJ;NOM;FEM;PL
warren	warren	warren	warren	PROPN	
bouddhisme	budistični	bouddhisme	budističen	N;MASC;SG	ADJ;NOM;MASC;SG
présentés	predstavljena	présenter	predstavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
présentés	predstavljeni	présenter	predstavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
présentés	predstavljeno	présenter	predstavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
présentés	predstavljene	présenter	predstavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
présentés	predstavljen	présenter	predstavljen	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
magnus	magnus	magnu	magnus	PROPN	
révélé	razkrili	révéler	razkriti	V;MASC;SG;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP
révélé	razkrita	révéler	razkriti	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
révélé	razkrita	révéler	razkriti	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
renseignements	obveščanje	renseignement	obveščanje	N;MASC;PL	N;NOM;NEUT;SG
renseignements	informacija	renseignement	informacija	N;MASC;PL	N;NOM;FEM;SG
renseignements	podatek	renseignement	podatek	N;MASC;PL	N;NOM;MASC;SG
collins	collins	collin	collins	PROPN	PROPN;NOM;MASC;SG
acheté	kupljen	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
acheté	kupljene	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
acheté	kupljeno	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
acheté	kupljena	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
acheté	kupljen	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
acheté	kupljene	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
acheté	kupljeno	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
acheté	kupljena	acheter	kupljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
bolivie	bolivijske	bolivie	bolivijski	PROPN	ADJ;NOM;FEM;PL
bolivie	boliviji	bolivie	bolivija	PROPN	N;NOM;FEM;SG
coupé	rez	couper	rez	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
coupé	coupe	couper	coup	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
#aaa	#aaa	#aaa	#aaa	PROPN	
localement	krajevno	localement	krajeven	ADV	ADJ;NOM;NEUT;SG
cerf	cerf	cerf	cerf	N;MASC;SG	
cerf	jeleni	cerf	jelen	N;MASC;SG	ADJ;NOM;MASC;PL
cerf	jelena	cerf	jelen	N;MASC;SG	ADJ;NOM;FEM;SG
courtes	kratki	court	kratek	ADJ;FEM;PL	ADJ;NOM;DEF;MASC;SG
courtes	kratko	court	kratko	ADJ;FEM;PL	ADV
courtes	kratek	court	kratek	ADJ;FEM;PL	ADJ;NOM;INDF;MASC;SG
courtes	kratka	court	kratek	ADJ;FEM;PL	ADJ;NOM;FEM;SG
révolutionnaires	revolucionarji	révolutionnaire	revolucionar	ADJ;MASC;PL	N;NOM;MASC;PL
palatinat	pfalz	palatinat	pfalz	N;MASC;SG	PROPN;NOM;MASC;SG
noces	poroka	noce	poroka	N;FEM;PL	N;NOM;FEM;SG
noces	poroko	noce	poroka	N;FEM;PL	N;ACC;FEM;SG
poméranie	pomorjansko	poméranie	pomorjanski	N;FEM;SG	ADJ;NOM;NEUT;SG
sylvie	sylvia	sylvie	sylvia	PROPN	N;NOM;FEM;SG
sylvie	david	sylvie	david	PROPN	N;NOM;MASC;SG
sylvie	sylvie	sylvie	sylveti	PROPN	N;NOM;MASC;SG
sylvie	suzana	sylvie	suzan	PROPN	ADJ;NOM;FEM;SG
sylvie	susan	sylvie	susan	PROPN	PROPN;NOM;FEM;SG
posthume	posmrtne	posthume	posmrten	ADJ;MASC;SG	ADJ;NOM;FEM;PL
wolfgang	wolfgang	wolfgang	wolfgang	PROPN	N;NOM;MASC;SG
bal	bal	bal	bati	N;MASC;SG	V;IPFV;MASC;SG;V.PTCP
câble	kabli	câble	kabel	N;MASC;SG	N;NOM;MASC;PL
câble	kabelski	câble	kabelski	N;MASC;SG	ADJ;NOM;MASC;SG
mers	morja	mer	morje	N;FEM;PL	N;GEN;NEUT;SG
lost	izgubljena	lost	izgubljen	PROPN	ADJ;NOM;FEM;SG;V.PTCP
lost	izgubljeni	lost	izgubljen	PROPN	ADJ;NOM;MASC;PL;V.PTCP
lost	izgubil	lost	izgubiti	PROPN	V;PFV;MASC;SG;V.PTCP
lost	izgubljeno	lost	izgubljen	PROPN	ADJ;NOM;NEUT;SG;V.PTCP
lost	izgubljen	lost	izgubljen	PROPN	ADJ;NOM;INDF;MASC;SG;V.PTCP
johan	johan	johan	johan	PROPN	N;NOM;MASC;SG
cbs	cbs	cbs	cbs	PROPN	PROPN;NOM;MASC;SG
cbs	cb	cbs	cb	PROPN	
reconstruit	obnovljene	reconstruire	obnovljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
reconstruit	rekonstruirani	reconstruire	rekonstruiran	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL
reconstruit	obnovljena	reconstruire	obnovljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
irlandaise	irske	irlandais	irski	ADJ;FEM;SG	ADJ;NOM;FEM;PL
irlandaise	irci	irlandais	irca	ADJ;FEM;SG	N;NOM;MASC;PL
boucle	zaponke	boucle	zaponka	N;FEM;SG	N;NOM;FEM;PL
boucle	zanke	boucle	zanek	N;FEM;SG	N;NOM;FEM;PL
escadre	wing	escadre	wing	N;FEM;SG	
maçonnerie	zidarski	maçonnerie	zidarski	N;FEM;SG	ADJ;NOM;MASC;PL
slovénie	slovenia	slovénie	slovenia	ADJ;FEM;SG	
slovénie	slovenija	slovénie	slovenija	ADJ;FEM;SG	N;NOM;FEM;SG
piliers	steber	pilier	steber	N;MASC;PL	N;NOM;MASC;SG
talents	nadarjenost	talent	nadarjenost	N;MASC;PL	N;NOM;FEM;SG
talents	talent	talent	talent	N;MASC;PL	N;NOM;MASC;SG
diplomatique	diplomatskih	diplomatique	diplomatski	ADJ;MASC;SG	ADJ;GEN;MASC;PL
doux	doux	doux	doux	ADJ;MASC;SG	N;NOM;MASC;SG
doux	sladkih	doux	sladek	ADJ;MASC;SG	ADJ;GEN;MASC;PL
doux	sladko	doux	sladko	ADJ;MASC;SG	ADV
doux	nežne	doux	nežen	ADJ;MASC;SG	ADJ;NOM;FEM;PL
doux	nežno	doux	nežno	ADJ;MASC;SG	ADV
doux	blaga	doux	blago	ADJ;MASC;SG	N;GEN;NEUT;SG
doux	blago	doux	blago	ADJ;MASC;SG	N;NOM;NEUT;SG
doux	blage	doux	blag	ADJ;MASC;SG	
doux	mehke	doux	mehek	ADJ;MASC;SG	ADJ;NOM;FEM;PL
capables	zmožen	capable	zmožen	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
capables	sposoben	capable	sposoben	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
partagé	skupna	partager	skupen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG
partagé	deljeno	partager	deljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
partagé	deljena	partager	deljen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
romaines	rimljan	romain	rimljan	ADJ;FEM;PL	N;NOM;MASC;SG
romaines	rimska	romain	rimski	ADJ;FEM;PL	ADJ;NOM;FEM;SG
romaines	roman	romain	roman	ADJ;FEM;PL	N;NOM;MASC;SG
romaines	romana	romain	roman	ADJ;FEM;PL	N;NOM;MASC;SG
achevé	končano	achever	končan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
achevé	zaključene	achever	zaključen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
achevé	izpolnjeno	achever	izpolnjen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
achevé	končana	achever	končan	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
achevé	zaključena	achever	zaključen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
joint	joint	joindre	joint	V;MASC;SG;PST;V.PTCP	N;NOM;MASC;SG
joint	skupno	joindre	skupen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG
joint	tesnilo	joindre	tesniti	V;MASC;SG;PST;V.PTCP	N;NOM;NEUT;SG
vieil	vieil	vieux	vieiti	ADJ;MASC;SG	
nigeria	nigeriji	nigeria	nigerija	PROPN	N;DAT;FEM;SG
lou	lou	lou	lou		PROPN;NOM;MASC;SG
gaulois	galci	gaulois	galec	ADJ;MASC;SG	N;NOM;MASC;PL
émilie	emilie	émilie	emilie	PROPN	PROPN;NOM;MASC;SG
émilie	emily	émilie	emily	PROPN	PROPN;NOM;FEM;SG
nacional	nacional	nacional	nacionati	PROPN	PROPN;NOM;MASC;SG
malades	bolan	malade	bolan	N;MASC;PL	ADJ;NOM;INDF;MASC;SG
leonard	leonard	leonard	leonard	PROPN	N;NOM;MASC;SG
concession	koncesije	concession	koncesija	N;FEM;SG	N;NOM;FEM;PL
inspirée	navdih	inspirer	navdih	V;FEM;SG;PST;V.PTCP	N;NOM;MASC;SG
dérive	potepanja	dérive	potepanje	N;FEM;SG	N;NOM;NEUT;PL
eurovision	evrovizije	eurovision	evrovizija	N;FEM;SG	N;NOM;FEM;PL
tort	narobe	tort	narobe	N;MASC;SG	ADV
tort	napačno	tort	napačen	N;MASC;SG	ADJ;NOM;NEUT;SG
tort	napačen	tort	napačen	N;MASC;SG	ADJ;NOM;INDF;MASC;SG
avantages	koristi	avantage	korist	N;MASC;PL	N;NOM;FEM;SG
keith	keith	keith	keith	PROPN	PROPN;NOM;MASC;SG
dommages	škoda	dommage	škoda	N;MASC;PL	N;NOM;FEM;SG
dommages	odškodnina	dommage	odškodnina	N;MASC;PL	N;NOM;FEM;SG
impôt	davki	impôt	davek	N;MASC;SG	N;NOM;MASC;PL
impôt	davčna	impôt	davčen	N;MASC;SG	ADJ;NOM;FEM;SG
impôt	davke	impôt	davek	N;MASC;SG	N;ACC;MASC;PL
impôt	davki	impôt	davek	N;MASC;SG	N;NOM;MASC;PL
guadeloupe	guadeloupe	guadeloupe	guadeloup	N;FEM;SG	N;NOM;FEM;PL
impliqué	vpletena	impliquer	vpleten	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
impliqué	vpleten	impliquer	vpleten	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
impliqué	vključen	impliquer	vključen	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
impliqué	vpletena	impliquer	vpleten	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
impliqué	vpleten	impliquer	vpleten	V;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
memorial	memorial	memorial	memorial	PROPN	N;NOM;MASC;SG
sfondo	sfondo	sfondo	sfonda	PROPN	
bros	bros	bros	bros	PROPN	PROPN;NOM;MASC;SG
nasa	nasa	nasa	nas	N;FEM;SG	PROPN;NOM;FEM;SG
nasa	nasi	nasa	jaz	N;FEM;SG	
mensuel	mesečno	mensuel	mesečno	ADJ;MASC;SG	ADV
équipée	nameščena	équiper	nameščen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
équipée	vgrajen	équiper	vgrajen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
équipée	opremljen	équiper	opremljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
équipée	opremljena	équiper	opremljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
équipée	opremljeno	équiper	opremljeno	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
équipée	opremljeni	équiper	opremljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
équipée	opremljene	équiper	opremljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
profond	globoko	profond	globoko	ADJ;MASC;SG	ADV
spécialisés	specializiranih	spécialiser	specializiran	V;MASC;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
spécialisés	specializiran	spécialiser	specializiran	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
spécialisés	specializirana	spécialiser	specializiran	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
spécialisés	specializirani	spécialiser	specializiran	V;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
spécialisés	specializirano	spécialiser	specializirano	V;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
spécialisés	specializirane	spécialiser	specializiran	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
spécialisés	specializiran	spécialiser	specializiran	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
continuité	kontinuitete	continuité	kontinuiteta	N;FEM;SG	N;NOM;FEM;PL
systématiquement	sistematične	systématiquement	sistematičen	ADV	ADJ;NOM;FEM;PL
systématiquement	sistematičnega	systématiquement	sistematičen	ADV	ADJ;GEN;NEUT;SG
protéines	protein	protéine	protein	N;FEM;PL	N;NOM;MASC;SG
récent	nedavno	récent	nedavno	ADJ;MASC;SG	ADV
récent	nedavne	récent	nedaven	ADJ;MASC;SG	ADJ;NOM;FEM;PL
récent	nedavno	récent	nedavno	ADJ;MASC;SG	ADV
attentats	napade	attentat	napad	N;MASC;PL	N;ACC;MASC;SG
attentats	bombardiranje	attentat	bombardiranje	N;MASC;PL	N;NOM;NEUT;SG
intéressé	zanima	intéresser	zanimati	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN
intéressé	zainteresirani	intéresser	zainteresiran	V;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
intéressé	zainteresirana	intéresser	zainteresiran	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
intéressé	zainteresirane	intéresser	zainteresiran	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
éclairage	osvetlitve	éclairage	osvetlitev	N;MASC;SG	N;NOM;FEM;PL
betty	betty	betty	betty	INTJ	PROPN;NOM;FEM;SG
assurée	zavarovano	assurer	zavarovan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
assurée	zavarovani	assurer	zavarovan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
assurée	zavarovan	assurer	zavarovan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
assurée	zavarovana	assurer	zavarovan	V;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
assurée	zagotovljeno	assurer	zagotovljen	V;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
martinique	martinique	martinique	martinique	ADJ;MASC;SG	N;NOM;MASC;SG
esp	pse	esp	pes		N;NOM;MASC;PL
esp	esp	esp	esp		N;NOM;MASC;SG
mathématique	matematiko	mathématique	matematika	ADJ;MASC;SG	N;ACC;FEM;SG
mathématique	matematiki	mathématique	matematika	ADJ;MASC;SG	N;NOM;FEM;SG
mathématique	matematika	mathématique	matematika	ADJ;MASC;SG	N;NOM;FEM;SG
mathématique	matematiko	mathématique	matematika	ADJ;MASC;SG	N;ACC;FEM;SG
mathématique	matematika	mathématique	matematika	ADJ;MASC;SG	N;NOM;FEM;SG
ita	ita	ita	iti		N;NOM;MASC;SG
baccalauréat	samski	baccalauréat	samski	N;MASC;SG	ADJ;NOM;MASC;PL
gonzález	gonzález	gonzáler	gonzález	PROPN	PROPN;NOM;MASC;SG
gonzález	gonzalez	gonzáler	gonzalez	PROPN	PROPN;NOM;MASC;SG
wikidata	wikipodatki	wikidata	wikipodatek	N;MASC;SG	N;NOM;MASC;PL
dialogues	dialog	dialogue	dialog	N;MASC;PL	N;NOM;MASC;SG
mesurer	merjenje	mesurer	merjenje	V;NFIN	N;NOM;NEUT;SG
mesurer	merjenje	mesurer	merjenje	V;NFIN	N;NOM;NEUT;SG
mesurer	meritev	mesurer	meritev	V;NFIN	N;NOM;FEM;SG
mesurer	meritve	mesurer	meritev	V;NFIN	N;NOM;FEM;PL
mesurer	ukrep	mesurer	ukrep	V;NFIN	N;NOM;MASC;SG
mesurer	merilo	mesurer	merilo	V;NFIN	N;NOM;NEUT;SG
joachim	joachim	joachim	joach	PROPN	PROPN;NOM;MASC;SG
sèvres	sèvres	sèvre	sèvres	N;FEM;PL	N;NOM;MASC;SG
gallois	welsh	gallois	Welsh	ADJ;MASC;SG	PROPN;NOM;MASC;SG
jupiter	jupiter	jupiter	jupiter	PROPN	N;NOM;MASC;SG
protestante	protestantske	protestant	protestantski	ADJ;FEM;SG	ADJ;NOM;FEM;PL
grace	grace	grace	graca	N;FEM;SG	PROPN;NOM;FEM;SG
marianne	marian	marianne	marian	ADJ;FEM;SG	N;NOM;MASC;SG
bohême	bohemia	bohême	bohemia	ADJ;MASC;SG	N;NOM;MASC;SG
bohême	bohemian	bohême	bohemian	ADJ;MASC;SG	N;NOM;MASC;SG
sidi	sidi	sidi	sideti	PROPN	N;NOM;MASC;SG
santos	santos	santo	santos	PROPN	N;NOM;MASC;SG
tombes	graves	tombe	graves	N;FEM;PL	N;NOM;MASC;SG
tombes	grobnica	tombe	grobnica	N;FEM;PL	N;NOM;FEM;SG
tombes	grobnico	tombe	grobnica	N;FEM;PL	N;ACC;FEM;SG
adolf	adolf	adolf	adolf	PROPN	PROPN;NOM;MASC;SG
récents	nedavno	récent	nedavno	ADJ;MASC;PL	ADV
récents	nedavna	récent	nedaven	ADJ;MASC;PL	ADJ;NOM;FEM;SG
réservoir	tanka	réservoir	tanek	N;MASC;SG	ADJ;NOM;FEM;SG
approfondir	poglobitev	approfondir	poglobitev	V;NFIN	N;NOM;FEM;SG
approfondir	poglobitev	approfondir	poglobitev	V;NFIN	N;NOM;FEM;SG
linda	linda	linda	linda	PROPN	N;NOM;FEM;SG
linda	lindo	linda	linda	PROPN	N;ACC;FEM;SG
élevés	povišana	élevé	povišan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
élevés	zvišana	élevé	zvišan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
élevés	povišan	élevé	povišan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
élevés	povečan	élevé	povečan	V;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
utiles	uporaben	utile	uporaben	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
utiles	koristno	utile	koristen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
utiles	uporabna	utile	uporaben	ADJ;MASC;PL	ADJ;NOM;FEM;SG
utiles	uporabno	utile	uporaben	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
utiles	koristna	utile	koristen	ADJ;MASC;PL	ADJ;NOM;FEM;SG
utiles	koristno	utile	koristen	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
glasgow	glasgow	glasgow	glasgow	PROPN	PROPN;NOM;MASC;SG
écoute	poslušamo	écoute	poslušati	N;FEM;SG	V;IPFV;IND;PL;1;PRS;FIN
écoute	poslušam	écoute	poslušati	N;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN
écoute	poslušal	écoute	poslušati	N;FEM;SG	V;IPFV;MASC;SG;V.PTCP
harrison	harrison	harrison	harrison	PROPN	N;NOM;MASC;SG
