den	на	den	на	PRO;DEF;MASC+FEM;SG	ADP
charlotte	шарлот	charlotte	шарлот	PROPN;NOM	N;INDF;FEM;SG
charlotte	шарлота	charlotte	шарлота	PROPN;NOM	N;INDF;FEM;SG
charlotte	шарлът	charlotte	шарл	PROPN;NOM	N;DEF;MASC;SG
satt	сат	sitta	сат	V;IMP;FIN;ACT	PROPN;INDF;MASC;SG
satt	седна	sitta	седна	V;IMP;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
satt	sat	sitta	sat	V;IMP;FIN;ACT	PROPN;INDF;MASC;SG
ponta	понта	ponta	понт	PROPN;NOM	PROPN;INDF;MASC;SG
romerska	римски	romersk	римски	ADJ;NOM;PL	ADJ;INDF;MASC;SG
romerska	римлянин	romersk	римлянин	ADJ;NOM;PL	N;INDF;MASC;SG
romerska	роман	romersk	роман	ADJ;NOM;PL	N;INDF;MASC;SG
romerska	римска	romersk	римски	ADJ;NOM;PL	ADJ;INDF;FEM;SG
high	висок	high	висок	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
high	висока	high	висок	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
high	високи	high	висок	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
high	високо	high	високо	N;NOM;INDF;MASC+FEM;SG	ADV
sådant	такава	sån	такъв	PRO;INDF;NEUT;SG	DET;FEM;SG
sådant	такива	sån	такъв	PRO;INDF;NEUT;SG	DET;PL
sådant	такова	sån	такъв	PRO;INDF;NEUT;SG	DET;NEUT;SG
sådant	такъв	sån	такъв	PRO;INDF;NEUT;SG	DET;MASC;SG
tillstånd	разрешителни	tillstånd	разрешителен	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
tillstånd	разрешения	tillstånd	разрешение	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
tillstånd	разрешителното	tillstånd	разрешително	N;NOM;INDF;NEUT;SG	N;DEF;NEUT;SG
inledde	започнати	inleda	започна	V;IND;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
inledde	започнато	inleda	започна	V;IND;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
inledde	изстреляна	inleda	изстрелям	V;IND;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
inledde	изстрелян	inleda	изстрелям	V;IND;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
sitter	седнала	sitta	седна	V;IND;PRS;FIN;ACT	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
sitter	седнал	sitta	седна	V;IND;PRS;FIN;ACT	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
sitter	седящ	sitta	седя	V;IND;PRS;FIN;ACT	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
real	истинско	real	истински	N;NOM;INDF;MASC+FEM;SG	ADV
real	реал	real	реал	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
real	истинска	real	истински	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
real	реално	real	реално	N;NOM;INDF;MASC+FEM;SG	ADV
real	истински	real	истински	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
vecka	седмицата	vecka	седмица	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
vecka	седмични	vecka	седмичен	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
vecka	седмично	vecka	седмичен	N;NOM;INDF;MASC+FEM;SG	ADV
vecka	седмична	vecka	седмичен	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
vecka	седмичен	vecka	седмичен	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
normandie	нормандия	normandie	нормандия	PROPN;NOM	N;INDF;FEM;SG
mallen	шаблон	mall	шаблон	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
karlsson	карлсон	karlsson	карлсон	PROPN;NOM	N;INDF;MASC;SG
dan	дан	dan	дан	PROPN;NOM	N;INDF;MASC;SG
bob	боб	bob	боб	PROPN;NOM	N;INDF;MASC;SG
skapades	създаде	skapa	създам	V;IND;PST;FIN;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
normalt	нормален	normal	нормален	ADV	ADJ;INDF;MASC;SG
normalt	нормални	normal	нормален	ADV	ADJ;INDF;PL
normalt	нормална	normal	нормален	ADV	ADJ;INDF;FEM;SG
direktör	директорът	direktör	директор	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
kap	кабо	kap	кабо	N;NOM;INDF;NEUT;SG	PROPN;SG
kap	наметало	kap	наметало	N;NOM;INDF;NEUT;SG	V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
funktion	функции	funktion	функция	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;PL
sachsen	sachsen	sachsen	sachsen	PROPN;NOM	PROPN;INDF;MASC;SG
sachsen	саксония	sachsen	саксония	PROPN;NOM	PROPN;INDF;FEM;SG
administrativa	административно	administrativ	административен	ADJ;NOM;PL	ADV
administrativa	административен	administrativ	административен	ADJ;NOM;PL	ADJ;INDF;MASC;SG
administrativa	административна	administrativ	административен	ADJ;NOM;PL	ADJ;INDF;FEM;SG
israel	израел	israel	израел	PROPN;NOM	PROPN;INDF;MASC;SG
stanley	станли	stanley	стана	PROPN;NOM	N;INDF;MASC;SG
stanley	стенли	stanley	стенл	PROPN;NOM	N;INDF;MASC;SG
major	майорът	maja	майор	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
utmärkelser	украса	utmärkelse	украса	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
vinna	победи	vinna	победа	V;IMP;FIN;ACT	N;INDF;FEM;PL
vinna	печеля	vinna	печеля	V;IMP;FIN;ACT	V;IPFV;IND;SG;1;PRS;FIN;ACT
vinna	спечели	vinna	спечеля	V;IMP;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
vinna	печелиш	vinna	печеля	V;IMP;FIN;ACT	V;IPFV;IND;SG;2;PRS;FIN;ACT
vinna	победа	vinna	победа	V;IMP;FIN;ACT	N;INDF;FEM;SG
målare	художниците	mål	художник	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;PL
målare	художници	mål	художник	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
saker	неща	sak	някой	N;NOM;INDF;MASC+FEM;PL	DET;INDF;PL
saker	нещата	sak	някой	N;NOM;INDF;MASC+FEM;PL	PRO;NOM;DEF;PL
saker	неща	sak	някой	N;NOM;INDF;MASC+FEM;PL	DET;INDF;PL
bureau	бюрото	bureau	бюро	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
projektet	проект	projekt	проект	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
verkade	изглеждаше	verka	изглеждам	V;IND;PST;FIN;ACT	V;IPFV;IND;SG;3;IPFV;FIN;ACT
motor	двигатели	motor	двигател	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
motor	моторни	motor	моторен	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
användning	използвайте	användning	използвам	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IMP;PL;2;FIN
vänner	friends	vänna	friends	N;NOM;INDF;MASC+FEM;PL	PROPN;INDF;MASC;SG
joe	джо	joe	джо	PROPN;NOM	PROPN;INDF;MASC;SG
förenade	обединени	förenade	обединя-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
förenade	обединена	förenade	обединя-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
förenade	обединен	förenade	обединя-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
förenade	юнайтед	förenade	юнайтед	ADJ;NOM;PL;PST;V.PTCP	N;INDF;MASC;SG
förenade	обединено	förenade	обединя-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
medeltiden	средновековна	medeltid	средновековен	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;FEM;SG
versionen	версия	version	версия	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
greve	брой	grev	брой	PROPN;NOM	N;INDF;MASC;SG
internet	интернет	intern	интернет	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
huvudstad	капитали	huvudstad	капитал	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
huvudstad	столицата	huvudstad	столица	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
emil	емил	emil	емил	PROPN;NOM	PROPN;INDF;MASC;SG
skellefteå	skellefteå	skellefteå	skellefteå	PROPN;NOM	PROPN;INDF;MASC;SG
polska	полски	polsk	полски	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
polska	полска	polsk	полски	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
tecken	знаци	tecken	знак	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
tecken	герои	tecken	герой	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
tecken	символи	tecken	символя	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
tecken	табели	tecken	табел	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
tecken	признаци	tecken	признак	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
tecken	знаци	tecken	знак	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
föräldrar	родителите	förälder	родител	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
tillräckligt	достатъчен	tillräcklig	достатъчен	ADV	ADJ;INDF;MASC;SG
tillräckligt	достатъчни	tillräcklig	достатъчен	ADV	ADJ;INDF;PL
tillräckligt	достатъчна	tillräcklig	достатъчен	ADV	ADJ;INDF;FEM;SG
open	отворено	open	отворя	PROPN;NOM	ADV
open	отвори	open	отворя-(се)	PROPN;NOM	V;PFV;IND;SG;3;PST;FIN;ACT
open	отваряне	open	отваряне	PROPN;NOM	N;INDF;NEUT;SG
teatern	театър	teat	театър	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
lägger	сложи	lägga	сложа-(се)	V;IND;PRS;FIN;ACT	V;PFV;IMP;SG;2;FIN
shi	ши	shi	ши	V;IMP;FIN;ACT	N;INDF;MASC;SG
sjöar	езерата	sjö	езера	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;SG
sjöar	езерото	sjö	езеро	N;NOM;INDF;MASC+FEM;PL	N;DEF;NEUT;SG
sjöar	лейк	sjö	лейк	N;NOM;INDF;MASC+FEM;PL	PROPN;INDF;MASC;SG
sjöar	езеро	sjö	езеро	N;NOM;INDF;MASC+FEM;PL	N;INDF;NEUT;SG
ämnen	темите	ämne	тема	N;NOM;INDF;NEUT;PL	N;DEF;FEM;PL
ämnen	веществата	ämne	вещество	N;NOM;INDF;NEUT;PL	N;DEF;NEUT;PL
forskare	изследовател	forskare	изследовател	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
forskare	учен	forskare	учен	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
forskare	изследователите	forskare	изследовател	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
forskare	учените	forskare	уча-(се)	N;NOM;INDF;MASC+FEM;PL	ADJ;IPFV;DEF;PL;V.PTCP;PASS
väst	западно	väst	западно	N;NOM;INDF;MASC+FEM;SG	ADV
väst	западна	väst	западна	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;FEM;SG
väst	западен	väst	западя-(се)	N;NOM;INDF;MASC+FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
väst	уест	väst	уест	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
permanent	постоянни	permanent	постоянен	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
permanent	трайно	permanent	траен	ADJ;NOM;INDF;MASC+FEM;SG	ADV
permanent	безвъзвратно	permanent	безвъзвратно	ADJ;NOM;INDF;MASC+FEM;SG	ADV
sånger	песните	sång	песен	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
politiskt	политически	politisk	политически	ADJ;NOM;INDF;NEUT;SG	ADV
politiskt	политически	politisk	политически	ADJ;NOM;INDF;NEUT;SG	ADV
politiskt	политическо	politisk	политически	ADJ;NOM;INDF;NEUT;SG	ADV
theodor	теодор	theodor	теодор	PROPN;NOM	PROPN;INDF;MASC;SG
theodor	теодор	theodor	теодор	PROPN;NOM	PROPN;INDF;MASC;SG
theodor	тиодор	theodor	тиодор	PROPN;NOM	N;INDF;MASC;SG
avsnittet	сечение	avsnitt	сечение	N;NOM;DEF;NEUT;SG	N;INDF;NEUT;SG
avsnittet	секция	avsnitt	секция	N;NOM;DEF;NEUT;SG	N;INDF;FEM;SG
avsnittet	раздел	avsnitt	раздел	N;NOM;DEF;NEUT;SG	N;INDF;MASC;SG
krav	изискване	krav	изискване	N;NOM;INDF;NEUT;PL	N;INDF;NEUT;SG
personen	човек	person	човек	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
personen	личност	person	личност	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
commons	общините	common	община	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;PL
amt	amt	amt	amt	PROPN;NOM	PROPN;INDF;MASC;SG
brott	престъпления	brott	престъпление	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
brott	престъпления	brott	престъпление	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
brott	престъпления	brott	престъпление	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
brott	престъпността	brott	престъпност	N;NOM;INDF;NEUT;SG	N;DEF;FEM;SG
användaren	потребителски	användare	потребителски	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;MASC;SG
användaren	потребител	användare	потребител	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
användaren	ползвател	användare	ползвател	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
anderson	андерсън	anderson	андерсън	PROPN;NOM	PROPN;INDF;MASC;SG
harris	харис	harris	харис	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
byggde	построени	bygga	построя-(се)	V;IND;PST;FIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
byggde	изградена	bygga	изградя	V;IND;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
byggde	построена	bygga	построя-(се)	V;IND;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
byggde	построено	bygga	построя-(се)	V;IND;PST;FIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
byggde	построен	bygga	построя-(се)	V;IND;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
nedre	долна	nedre	долен	ADJ;NOM;CMPR	ADJ;INDF;FEM;SG
nedre	долен	nedre	долен	ADJ;NOM;CMPR	ADJ;INDF;MASC;SG
nedre	дъното	nedre	дъно	ADJ;NOM;CMPR	N;DEF;NEUT;SG
nedre	отдолу	nedre	отдолу	ADJ;NOM;CMPR	ADV
nedre	дъно	nedre	дъно	ADJ;NOM;CMPR	N;INDF;NEUT;SG
bill	бил	bill	съм	PROPN;NOM	V;IPFV;INDF;MASC;IND;SG;V.PTCP;ACT
bill	законопроект	bill	законопроект	PROPN;NOM	N;INDF;MASC;SG
bil	колата	bil	кола	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
bilden	снимка	bild	снимка	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
bilden	картинка	bild	картинка	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
bilden	имидж	bild	имидж	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
bilden	картинка	bild	картинка	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
bilden	образ	bild	образ	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
bilden	изображение	bild	изображение	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
ökade	повишена	öka	повиша-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ökade	увеличена	öka	увелича-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;FEM;SG;V.PTCP;PASS
ökade	увеличен	öka	увеличен	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
ökade	повишен	öka	повиша-(се)	ADJ;NOM;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;V.PTCP;PASS
bär	носи	bära	нося-(се)	V;IMP;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
bär	носене	bära	носене	V;IMP;FIN;ACT	N;INDF;NEUT;SG
bär	боровинки	bära	боровинка	V;IMP;FIN;ACT	N;INDF;FEM;PL
bär	носи	bära	нося-(се)	V;IMP;FIN;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
bär	износване	bära	износване	V;IMP;FIN;ACT	N;INDF;NEUT;SG
bär	бери	bära	бера	V;IMP;FIN;ACT	N;INDF;FEM;SG
budapest	будапеща	budapest	будапеща	PROPN;NOM	PROPN;INDF;FEM;SG
kapten	капитане	kapt	капитане	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
röd	ред	röd	ред	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
röd	червени	röd	червен	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
röd	червено	röd	червено	ADJ;NOM;INDF;MASC+FEM;SG	ADV
turkiet	турция	turkiet	турция	PROPN;NOM	PROPN;INDF;FEM;SG
turkiet	пуйка	turkiet	пуйка	PROPN;NOM	N;INDF;FEM;SG
nelson	нелсън	nelson	нелсън	PROPN;NOM	PROPN;INDF;MASC;SG
organisationen	организация	organisation	организация	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
organisationen	организация	organisation	организация	N;NOM;DEF;MASC+FEM;SG	N;INDF;FEM;SG
vasa	васа	vasa	васа	PROPN;NOM	N;INDF;FEM;SG
känner	усети	känna	усетя-(се)	V;IND;PRS;FIN;ACT	V;PFV;IND;SG;3;PST;FIN;ACT
känner	чувство	känna	чувство	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
känner	усещане	känna	усещане	V;IND;PRS;FIN;ACT	N;INDF;NEUT;SG
internationell	международно	internationell	международно	ADJ;NOM;INDF;MASC+FEM;SG	ADV
internationell	интернешънъл	internationell	интернешънъл	ADJ;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;SG
internationell	международни	internationell	международен	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
portugal	португалия	portugal	португалия	PROPN;NOM	PROPN;INDF;FEM;SG
förhållande	взаимоотношения	förhållande	взаимоотношение	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
förhållande	отношения	förhållande	отношение	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
cours	cours	cours	cours	N;NOM;INDF;MASC+FEM;SG	PROPN
romanen	новела	roman	новя-(се)	N;NOM;DEF;MASC+FEM;SG	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
romanen	роман	roman	роман	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
gilbert	жилбер	gilbert	жилбер	PROPN;NOM	PROPN;INDF;MASC;SG
gilbert	гилбърт	gilbert	гилбърт	PROPN;NOM	PROPN;INDF;MASC;SG
frederick	фредерик	frederick	фредерик	PROPN;NOM	N;INDF;MASC;SG
frederick	фридрих	frederick	фридрих	PROPN;NOM	PROPN;INDF;MASC;SG
post	mail	post	mail	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
sund	здрави	sund	здрав	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
sund	здравословни	sund	здравословен	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;INDF;PL
sund	здравословно	sund	здравословен	ADJ;NOM;INDF;MASC+FEM;SG	ADV
sund	пролива	sund	пролив	ADJ;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
beskrivs	описва	beskriva	описвам	V;IND;PRS;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
föremål	позиции	föremål	позиция	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
föremål	артикули	föremål	артикул	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
föremål	предмети	föremål	предмет	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
föremål	елементи	föremål	елемент	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
föremål	предмети	föremål	предмет	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
föremål	обектите	föremål	обект	N;NOM;INDF;NEUT;SG	N;DEF;MASC;PL
föremål	обекти	föremål	обект	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
relevant	значимост	relevant	значимост	ADJ;NOM;INDF;NEUT;SG	N;INDF;FEM;SG
ledande	водещо	ledande	водя	ADJ;NOM;PRS;V.PTCP	ADV
total	общо	total	общо	ADJ;NOM;INDF;MASC+FEM;SG	ADV
röster	вот	röst	вот	N;NOM;INDF;MASC+FEM;PL	N;INDF;MASC;SG
mali	мали	mali	маля	PROPN;NOM	N;INDF;FEM;SG
lopp	надбягвания	lopp	надбягване	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
lopp	състезания	lopp	състезание	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
lopp	раси	lopp	раса	N;NOM;INDF;NEUT;SG	N;INDF;FEM;PL
sociala	социално	social	социален	ADJ;NOM;PL	ADV
sociala	социален	social	социален	ADJ;NOM;PL	ADJ;INDF;MASC;SG
sociala	социална	social	социален	ADJ;NOM;PL	ADJ;INDF;FEM;SG
undantag	изключения	undantag	изключение	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
undantag	изключения	undantag	изключение	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
undantag	изключения	undantag	изключение	N;NOM;INDF;NEUT;SG	N;INDF;NEUT;PL
horn	рогата	horn	рог	PROPN;NOM	N;DEF;MASC;PL
horn	рога	horn	рога	PROPN;NOM	N;INDF;NEUT;PL
horn	хорн	horn	хорн	PROPN;NOM	PROPN;INDF;MASC;SG
horn	рог	horn	рог	PROPN;NOM	N;INDF;MASC;SG
horn	рога	horn	рога	PROPN;NOM	N;INDF;NEUT;PL
internationellt	международно	internationell	международно	ADJ;NOM;INDF;NEUT;SG	ADV
internationellt	интернешънъл	internationell	интернешънъл	ADJ;NOM;INDF;NEUT;SG	N;INDF;MASC;SG
internationellt	международни	internationell	международен	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;PL
köpte	купена	köpa	купен	V;IND;PST;FIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
köpte	купен	köpa	купен	V;IND;PST;FIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
beskriver	опишете	beskriva	опиша	V;IND;PRS;FIN;ACT	V;PFV;IMP;PL;2;FIN
talen	изказвания	tal	изказване	N;NOM;DEF;NEUT;PL	N;INDF;NEUT;PL
talen	речи	tal	реч	N;NOM;DEF;NEUT;PL	N;INDF;FEM;PL
gordon	гордън	gordon	гордън	PROPN;NOM	PROPN;INDF;MASC;SG
vetenskapliga	научен	vetenskaplig	научен	ADJ;NOM;PL	ADJ;INDF;MASC;SG
vetenskapliga	научно	vetenskaplig	научно	ADJ;NOM;PL	ADV
norrköping	норшьопинг	norrköping	норшьопинг	PROPN;NOM	N;INDF;MASC;SG
programledare	водещ	programledare	водя	N;NOM;INDF;MASC+FEM;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
flygplan	самолети	flygplan	самолет	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
flygplan	самолети	flygplan	самолет	N;NOM;INDF;NEUT;SG	N;INDF;MASC;PL
burundi	бурунди	burundi	бурунд	PROPN;NOM	PROPN;INDF;FEM;PL
allmänt	обща	allmän	общ	ADV	ADJ;INDF;FEM;SG
allmänt	общи	allmän	общ	ADV	ADJ;INDF;PL
allmänt	генерал	allmän	генерал	ADV	N;INDF;MASC;SG
förening	съединението	förening	съединение	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
riktigt	реал	riktig	реал	ADV	PROPN;INDF;MASC;SG
riktigt	истинска	riktig	истински	ADV	ADJ;INDF;FEM;SG
riktigt	истински	riktig	истински	ADV	ADJ;INDF;MASC;SG
soldater	войниците	soldat	войник	N;NOM;INDF;MASC+FEM;PL	N;DEF;MASC;PL
pedro	педро	pedro	педро	PROPN;NOM	PROPN;INDF;MASC;SG
nordisk	скандинавски	nordisk	скандинавски	N;NOM;INDF;MASC+FEM;SG	ADJ;INDF;MASC;SG
senast	последно	senast	последно	ADV;RL	ADV
senast	последен	senast	последен	ADV;RL	ADJ;INDF;MASC;SG
senast	последни	senast	последен	ADV;RL	ADJ;INDF;PL
senast	последна	senast	последен	ADV;RL	ADJ;INDF;FEM;SG
bryssel	брюксел	bryssel	брюксел	PROPN;NOM	PROPN;INDF;MASC;SG
viktigt	важно	viktig	важно	ADJ;NOM;INDF;NEUT;SG	ADV
viktigt	важни	viktig	важен	ADJ;NOM;INDF;NEUT;SG	ADJ;INDF;PL
läsning	чета	läsning	чета	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
läsning	четенето	läsning	четене	N;NOM;INDF;MASC+FEM;SG	N;DEF;NEUT;SG
carlos	карлос	carlos	карлос	PROPN;NOM	PROPN;INDF;MASC;SG
politik	политиката	politik	политика	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
politik	политици	politik	политик	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
politik	политиката	politik	политика	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
politik	полици	politik	полица	N;NOM;INDF;MASC+FEM;SG	N;INDF;MASC;PL
politik	политики	politik	политика	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;PL
sonen	синко	son	синко	N;NOM;DEF;MASC+FEM;SG	INTJ
sonen	сине	son	син	N;NOM;DEF;MASC+FEM;SG	PART
sonen	син	son	син	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC;SG
växjö	växjö	växjö	växjö	PROPN;NOM	PROPN;INDF;MASC;SG
levande	живей	levande	живей	ADJ;NOM;PRS;V.PTCP	V;IPFV;IMP;SG;2;FIN
baden	баден	bad	баден	PROPN;NOM	PROPN;INDF;MASC;SG
börja	начало	börja	начало	V;IMP;FIN;ACT	N;INDF;NEUT;SG
börja	старт	börja	старт	V;IMP;FIN;ACT	N;INDF;MASC;SG
börja	стартиране	börja	стартиране	V;IMP;FIN;ACT	N;INDF;NEUT;SG
karin	карин	karin	карин	PROPN;NOM	N;INDF;MASC;SG
kroppen	тяло	kropp	тяло	N;NOM;DEF;MASC+FEM;SG	N;INDF;NEUT;SG
kroppen	телесно	kropp	телесно	N;NOM;DEF;MASC+FEM;SG	ADV
närvarande	присъстващи	närvarande	присъствам	N;NOM;INDF;NEUT;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
pennsylvania	пенсилвания	pennsylvani	пенсилване	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;FEM;SG
can	могат	can	мога	N;NOM;INDF;MASC+FEM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
can	can	can	can	N;NOM;INDF;MASC+FEM;SG	PROPN;INDF;MASC;SG
