sammanhängande	المتاخمة	sammanhängande	مُتَاخِم	ADJ;NOM;PRS;V.PTCP	N;NOM;DEF;SG
skadad	تضررت	skada	تَضَرَّر	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
skadad	متضرر	skada	مُتَضَرِّر	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;NOM;INDF;SG
skadad	تؤذي	skada	أَذَى	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;IPFV;MASC;IND;SG;2;FIN;ACT
skadad	اذى	skada	أَذَى	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	
skadad	مجروح	skada	مَجرُوح	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	
skadad	جرح	skada	جُرح	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;NOM;INDF;SG
skadad	جرحى	skada	جَرِيح	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;NOM;INDF;PL
skadad	الجرحى	skada	جَرِيح	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;NOM;DEF;PL
skadad	جريح	skada	جَرِيح	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	N;NOM;INDF;SG
navy	البحرية	navy	بَحرِيَّة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
navy	بحرية	navy	بَحرِيّ	N;NOM;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
clayton	كلايتون	clayton	كلَايتُون	PROPN;NOM	
eugene	يوجين	eugene	يُوجِين	PROPN;NOM	
stam	القبيلة	stam	قَبِيلَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stam	السلالة	stam	سِلَالَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bussar	حافلات	buss	حافلات	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;INDF;FEM;PL
bussar	الحافلات	buss	حَافِل	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
mänskligheten	الانسانية	mänsklighet	إِنسَانِيّ	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
mänskligheten	انسانية	mänsklighet	إِنسَانِيّ	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
mänskligheten	البشرية	mänsklighet	بَشَرِيّ	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
mänskligheten	البشرية	mänsklighet	بَشَرِيّ	N;NOM;DEF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
skal	شيل	skal	شيل	N;NOM;INDF;NEUT;SG	
skal	الصدفة	skal	صُدفَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
skal	قشر	skal	قَشَر	N;NOM;INDF;NEUT;SG	
skal	القذائف	skal	قَذِيفَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
skal	قذائف	skal	قَذِيفَة	N;NOM;INDF;NEUT;SG	N;NOM;INDF;PL
cuba	كوبا	cuba	كُوبَا	N;NOM;INDF;MASC+FEM;SG	
shannon	شانون	shannon	شَانُون	PROPN;NOM	
tiaret	تيارت	tiare	تَيَّار	N;NOM;DEF;MASC+FEM;SG	
genetiska	وراثي	genetisk	وراثي	ADJ;NOM;PL	
rapporter	التقارير	rapport	تَقرِير	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bark	bar	bark	ثَظِي	N;NOM;INDF;MASC+FEM;SG	
strålning	الاشعاع	strålning	شَعع	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
strålning	الاشعاعات	strålning	إِشعَاع	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
windsor	ويندسور	pindsor	ويندسور	PROPN;NOM	
windsor	وندسور	pindsor	وندسور	PROPN;NOM	
tillgängligt	تتوفر	tillgänglig	تَوَفَّر	ADJ;NOM;INDF;NEUT;SG	V;IPFV;MASC;IND;SG;3;FIN;ACT
dialekt	اللهجة	dialekt	لَهجَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
bundesliga	البوندسليغا	bundeslig	البوندسليغا	N;NOM;INDF;MASC+FEM;SG	
suppleant	البديل	suppleant	بَدِيل	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
suppleant	المناوب	suppleant	مَنُوب	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
fienden	عدو	fiende	عَدُوّ	N;NOM;DEF;MASC+FEM;SG	
tredjedel	ثالثا	tredjedel	ثَالِث	N;NOM;INDF;MASC+FEM;SG	ADJ;ACC;INDF;MASC;SG
tredjedel	الثالثة	tredjedel	ثَالِث	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
tredjedel	ثالث	tredjedel	ثَالِث	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
tredjedel	الثالث	tredjedel	ثَالِث	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
tredjedel	ثالثة	tredjedel	ثَالِث	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
distribution	التوزيع	distribution	تَوزِيع	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
kräva	مطلب	kräva	مَطلَب	V;IMP;NFIN;ACT	N;NOM;INDF;SG
kräva	الطلب	kräva	طَلَب	V;IMP;NFIN;ACT	N;NOM;DEF;SG
kräva	المطلب	kräva	مَطلَب	V;IMP;NFIN;ACT	N;NOM;DEF;SG
dynamo	دينامو	dynamu	دِينَامُو	PROPN;NOM	
lucy	لوسى	lucy	لوسى	N;NOM;INDF;MASC+FEM;SG	
lucy	لوسي	lucy	لوسي	N;NOM;INDF;MASC+FEM;SG	
fyr	المنارة	fyr	مَنَارَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ile	i	ile	!	N;NOM;INDF;NEUT;SG	
socker	السكر	socker	سُكَّر	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
tillverkat	صنعت	tillverkad	صَنَع	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;FEM;SG;3;PASS
tillverkat	صنع	tillverkad	صَنَع	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
tillverkat	جعل	tillverkad	جَعَل	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
tillverkat	المصنعة	tillverkad	مُصَنَّع	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;DEF;SG
tydligare	اوضح	tydlig	أَوضَح	ADJ;NOM;CMPR	V;PFV;MASC;SG;3;ACT
bolton	بولتون	bolton	بُولتُون	PROPN;NOM	
bysantinska	البيزنطية	bysantinsk	بِيزنطِيّ	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
hänvisar	مشيرا	hänvisa	مُشِير	V;IND;PRS;FIN;ACT	ADJ;ACC;INDF;MASC;SG
richter	ريختر	richt	رَيخَت	PROPN;NOM	
barr	الابر	barr	أَبر	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
barr	ابر	barr	أَبر	N;NOM;INDF;MASC+FEM;SG	
beat	تغلب	bea	تَغَلَّب	N;NOM;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
alexis	الكسيس	alexis	كَسِيس	PROPN;NOM	
nisse	قزم	nisse	قَزَّم	PROPN;NOM	N;NOM;INDF;SG
ändring	التعديل	ändring	تَعدِيل	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ändring	التعديل	ändring	تَعدِيل	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ändring	التغير	ändring	تَغَيُّر	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ändring	التغيير	ändring	تَغيِير	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ändring	غير	ändring	غَير	N;NOM;INDF;MASC+FEM;SG	N;ACC;PSSD;SG
tagen	اخذ	tagen	أَخذ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;PFV;MASC;SG;3;ACT
tagen	ماخوذ	tagen	ماخوذ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	
tagen	تؤخذ	tagen	أَخَذ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	V;IPFV;FEM;IND;SG;3;FIN;ACT
tagen	المتخذة	tagen	مُتَّخَذ	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG
oavgjort	التعادل	oavgöra	تَعَادُل	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
slavar	العبيد	slava	العبيد	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
slavar	عبيد	slava	عبيد	N;NOM;INDF;MASC+FEM;PL	
angela	انجيلا	angela	أَنجِيلَا	N;NOM;INDF;MASC+FEM;SG	
produkten	منتجات	produkt	مُنتَج	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;PL
produkten	منتج	produkt	مُنتَج	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
produkten	المنتجات	produkt	مُنتَج	N;NOM;DEF;MASC+FEM;SG	N;NOM;DEF;PL
uppskattas	اقدر	uppskatta	أَقدَر	V;NFIN;PASS	
uppskattas	نقدر	uppskatta	نقدر	V;NFIN;PASS	
katt	القطط	katt	قُطَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
katt	قطط	katt	قُطَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;INDF;PL
katt	القط	katt	قَطّ	N;NOM;INDF;MASC+FEM;SG	
katt	قط	katt	قَطّ	N;NOM;INDF;MASC+FEM;SG	
katt	القطة	katt	قُطَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
katt	كات	katt	كَات	N;NOM;INDF;MASC+FEM;SG	
representation	التمثيل	representation	تَمثِيل	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
logan	لوغان	loga	لُوغَان	N;NOM;DEF;MASC+FEM;SG	
logan	لوجان	loga	لُوجَان	N;NOM;DEF;MASC+FEM;SG	
dunn	دن	du	دَن	PROPN;NOM	
lärt	تعلمت	lära	تَعَلَّم	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
organismer	الكائن	organism	كَائِن	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;SG
organismer	الكائنات	organism	كَائِن	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
fenomenet	ظاهرة	fenomen	ظَاهِرَة	N;NOM;DEF;NEUT;SG	N;NOM;INDF;SG
ändrat	تغيرت	ändra	تَغَيَّر	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	V;PFV;FEM;SG;3;ACT
ändrat	تغير	ändra	تَغَيُّر	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;INDF;SG
ändrat	المعدل	ändra	مُعَدَّل	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;DEF;SG
ändrat	معدل	ändra	مُعَدَّل	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;INDF;SG
ändrat	تعديل	ändra	تَعدِيل	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;NOM;INDF;SG
skribent	الكاتب	skribent	كَاتِب	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
skribent	كاتب	skribent	كَاتِب	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;INDF;SG
skribent	الكاتبة	skribent	كَاتِب	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
karibiska	الكاريبي	karibisk	الكاريبي	ADJ;NOM;PL	
cheng	شينغ	cheng	شينغ	PROPN;NOM	
martha	مارثا	martha	مَارِث	PROPN;NOM	
lägenhet	مسطح	lägenhet	مَسطَح	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
lägenhet	مسطحة	lägenhet	مسطحة	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;FEM;SG
lägenhet	الشقة	lägenhet	شَقَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
lägenhet	الشقق	lägenhet	شَقَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
fond	الصندوق	fond	صُندُوق	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
iriska	الايرلندية	irisk	إِيرلَندِيّ	N;NOM;INDF;MASC+FEM;SG	
ont	الشر	ond	شَرّ	ADJ;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
ont	شرا	ond	شَرّ	ADJ;NOM;INDF;NEUT;SG	N;NOM;INDF;SG
ont	شر	ond	شَرّ	ADJ;NOM;INDF;NEUT;SG	
ont	تؤذي	ond	أَذَى	ADJ;NOM;INDF;NEUT;SG	V;IPFV;MASC;IND;SG;2;FIN;ACT
ont	اذى	ond	أَذَى	ADJ;NOM;INDF;NEUT;SG	
kapital	العاصمة	kapital	عَاصِمَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
preston	بريستون	preston	برِيستُون	PROPN;NOM	
öknar	الصحارى	öken	صَحَارِيّ	N;NOM;INDF;MASC+FEM;PL	
sally	سالي	sally	سالي	PROPN;NOM	
årlig	السنوي	årlig	سَنَوِيّ	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
årlig	السنوي	årlig	سَنَوِيّ	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
årlig	السنوية	årlig	سَنَوِيّ	ADJ;NOM;INDF;MASC+FEM;SG	ADJ;NOM;DEF;FEM;SG
ockupationen	احتلال	ockupation	اِحتِلَال	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
intäkter	الايرادات	intäkt	إِيرَاد	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
intäkter	ايراد	intäkt	إِيرَاد	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
intäkter	الارباح	intäkt	إِربَاح	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
intäkter	الايرادات	intäkt	إِيرَاد	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
intäkter	دخل	intäkt	دَخَل	N;NOM;INDF;MASC+FEM;PL	V;PFV;MASC;SG;3;ACT
intäkter	الدخل	intäkt	دَخل	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;SG
intäkter	الايرادات	intäkt	إِيرَاد	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
intäkter	العوائد	intäkt	عَائِدَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
intäkter	العائدات	intäkt	عَائِد	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
guvernören	حاكم	guvernör	حَاكِم	N;NOM;DEF;MASC+FEM;SG	
guvernören	محافظ	guvernör	مُحَافِظ	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
avancerad	المتقدمة	avancerad	مُتَقَدِّم	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;DEF;FEM;SG
avancerad	المتقدم	avancerad	مُتَقَدِّم	ADJ;NOM;INDF;MASC+FEM;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;SG
dong	دونج	dong	دونج	N;NOM;INDF;MASC+FEM;SG	
dong	دونغ	dong	دونغ	N;NOM;INDF;MASC+FEM;SG	
sikt	الرؤية	sikt	رُؤيَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
ost	تشيز	ost	أَشَاز	N;NOM;INDF;MASC+FEM;SG	
ost	الجبن	ost	جَبن	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
medina	مدينا	medin	مَدِين	N;NOM;INDF;MASC+FEM;SG	N;ACC;INDF;SG
uttal	نطق	uttal	نَطَق	N;NOM;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
uttal	النطق	uttal	نَطَق	N;NOM;INDF;NEUT;SG	N;NOM;DEF;SG
mohammed	محمد	mohammed	محمد	PROPN;NOM	
mohammed	mohamm	mohammed	mohamm	PROPN;NOM	
statistiskt	احصائي	statistisk	إِحصَائِيّ	ADV	ADJ;NOM;INDF;MASC;SG
statistiskt	احصائية	statistisk	إِحصَائِيّ	ADV	ADJ;NOM;INDF;FEM;SG
dolly	دولي	dolly	دُوَلِيّ	N;NOM;INDF;MASC+FEM;SG	ADJ;NOM;INDF;MASC;SG
dominica	دومينيكا	dominic	دُومِينِيكَا	PROPN;NOM	
variationer	الاختلافات	variation	اِختِلَاف	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
krets	الدائرة	kreta	دَائِرَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
sagor	الحكايات	saga	حِكَايَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
mjuka	ناعمة	mjuk	نَاعِمَة	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
mjuka	الناعمة	mjuk	نَاعِمَة	ADJ;NOM;PL	N;NOM;DEF;SG
mjuka	لينة	mjuk	لَينَة	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
mjuka	ناعم	mjuk	نَاعِم	ADJ;NOM;PL	
patienten	مريض	patient	مَرِيض	N;NOM;DEF;MASC+FEM;SG	N;NOM;INDF;SG
patienten	صبور	patient	صُبُور	N;NOM;DEF;MASC+FEM;SG	
marseille	مرسيليا	marseille	مَرسِيلِيَا	PROPN;NOM	
marseille	مارسيليا	marseille	مارسيليا	PROPN;NOM	
hushåll	الاسر	hushåll	أُسرَة	N;NOM;INDF;NEUT;SG	N;NOM;DEF;PL
verklighet	واقعا	verklighet	وَاقِع	N;NOM;INDF;MASC+FEM;SG	N;ACC;INDF;SG
verklighet	الواقع	verklighet	وَاقِع	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
juventus	يوفنتوس	juventus	فُنفِنتُوس	PROPN;NOM	
doctor	الدكتور	doctor	دُكتُور	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
doctor	دكتور	doctor	دُكتُور	N;NOM;INDF;MASC+FEM;SG	
doctor	الطبيب	doctor	طَبِيب	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
doctor	دكتورة	doctor	دُكتُورَة	N;NOM;INDF;MASC+FEM;SG	
ask	اسال	ask	أَسَال	N;NOM;INDF;MASC+FEM;SG	
sars	سارس	sars	سَارس	N;NOM;INDF;MASC+FEM;SG	
vagn	العربة	vagn	عَرَبَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
vagn	العربة	vagn	عَرَبَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
rich	ثريا	rich	ثَرِّيّ	PROPN;NOM	
rich	غني	rich	غَنِّيّ	PROPN;NOM	
rich	ريتش	rich	ريتش	PROPN;NOM	
rich	الغنية	rich	غَنِيّ	PROPN;NOM	ADJ;NOM;DEF;FEM;SG
rich	ثري	rich	ثري	PROPN;NOM	
rich	غنية	rich	غَنِيّ	PROPN;NOM	ADJ;NOM;INDF;FEM;SG
latakia	اللاذقية	latakium	لَاذِقِيَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
framträdanden	المظاهر	framträdande	مَظهَر	N;NOM;INDF;NEUT;PL	N;NOM;DEF;PL
magnolia	ماغنوليا	magnoli	ماغنوليا	N;NOM;INDF;MASC+FEM;SG	
cumberland	كمبرلاند	cumberland	كَمبَرَلَاند	PROPN;NOM	
stack	الكومة	stack	كَومَة	V;IMP;FIN;ACT	N;NOM;DEF;SG
stack	ستاك	stack	سِتَاك	V;IMP;FIN;ACT	
stack	كومة	stack	كُومَة	V;IMP;FIN;ACT	N;NOM;INDF;SG
floyd	فلويد	floyd	فلويد	PROPN;NOM	
furste	برنس	furst	برنس	N;NOM;INDF;MASC+FEM;SG	
furste	برينس	furst	برِينس	N;NOM;INDF;MASC+FEM;SG	
furste	الامير	furst	أَمِير	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
effektiv	فعالية	effektiv	فَعَّالِيَّة	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;INDF;SG
effektiv	الفعال	effektiv	فَعَّال	ADJ;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
filippo	فيليبو	filippo	فِيلِيبُو	PROPN;NOM	
varelser	المخلوقات	varelse	مَخلُوق	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;PL
varelser	مخلوقات	varelse	مُخلَوِق	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;INDF;FEM;PL
fanny	فاني	fanny	فَانِي	PROPN;NOM	
longifolia	longifo	longifoli	شَبِمَام	N;NOM;INDF;MASC+FEM;SG	
abba	ابا	abba	ابا	PROPN;NOM	
carlson	كارلسون	carlson	كارلسون	PROPN;NOM	
indonesiska	اندونيسيا	indonesisk	إِندُونِيسِيَا	N;NOM;INDF;MASC+FEM;SG	
indonesiska	الاندونيسية	indonesisk	إِندُونِيسِيّ	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
indonesiska	الاندونيسي	indonesisk	إِندُونِيسِيّ	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
identifiera	التعرف	identifiera	تَعَرُّف	V;IMP;FIN;ACT	N;NOM;DEF;SG
identifiera	التعريف	identifiera	تَعرِيف	V;IMP;FIN;ACT	N;NOM;DEF;SG
identifiera	الهوية	identifiera	هُوِيَّة	V;IMP;FIN;ACT	N;NOM;DEF;SG
identifiera	التحديد	identifiera	تَحدِيد	V;IMP;FIN;ACT	N;NOM;DEF;SG
identifiera	التعرف	identifiera	تَعَرُّف	V;IMP;FIN;ACT	N;NOM;DEF;SG
varumärket	براند	varumärket	بَرنَدَة	N;NOM;DEF;NEUT;SG	
varumärket	ماركة	varumärket	مَاركَة	N;NOM;DEF;NEUT;SG	N;NOM;INDF;SG
cell	الزنزانة	cell	زِنزَانَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
cell	الخلية	cell	خَلِيَّة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
barton	بارتون	barton	بارتون	PROPN;NOM	
ansluta	الربط	ansluta	رَبط	V;IMP;FIN;ACT	N;NOM;DEF;SG
ansluta	الوصل	ansluta	وَصَل	V;IMP;FIN;ACT	N;NOM;DEF;SG
ansluta	ربط	ansluta	رَبط	V;IMP;FIN;ACT	N;NOM;INDF;SG
ansluta	تواصل	ansluta	تَوَاصُل	V;IMP;FIN;ACT	N;NOM;INDF;SG
ansluta	التواصل	ansluta	تَوَاصُل	V;IMP;FIN;ACT	N;NOM;DEF;SG
ansluta	للتواصل	ansluta	للتواصل	V;IMP;FIN;ACT	N;GEN;DEF;SG
intervjuer	المقابلات	intervju	مُقَابَلَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
bedford	بيدفورد	bedford	بِيدفُورد	PROPN;NOM	
trädet	شجرة	träde	شُجرَة	N;NOM;DEF;NEUT;SG	N;NOM;INDF;SG
guadalajara	غوادالاخارا	guadalajar	غوادالاخارا	N;NOM;INDF;MASC+FEM;SG	
klicka	اضغط	klicka	اِضغَطّ	V;IMP;FIN;ACT	
klicka	النقر	klicka	نَقر	V;IMP;FIN;ACT	N;NOM;DEF;SG
klicka	نقر	klicka	نقر	V;IMP;FIN;ACT	
klicka	نقرة	klicka	نَقَرَة	V;IMP;FIN;ACT	N;NOM;INDF;SG
boxare	المقاتلين	boxare	مُقَاتِل	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
boxare	المقاتلون	boxare	مُقَاتِل	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
boxare	المقاتلات	boxare	مُقَاتِلَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
boxare	ملاكم	boxare	مَلكَم	N;NOM;INDF;MASC+FEM;PL	N;NOM;INDF;SG
boxare	الملاكمين	boxare	مُلَاكِم	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
auckland	اوكلاند	auckland	اوكلاند	PROPN;NOM	
doris	دوريس	doris	دُورِيس	PROPN;NOM	
teoretisk	نظري	teoretisk	نَظَر	ADJ;NOM;INDF;MASC+FEM;SG	
klassiker	الكلاسيكية	klassik	كُلآسِيكِيّ	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;SG
klassiker	كلاس	klassik	كلاس	N;NOM;INDF;MASC+FEM;PL	
klassiker	كلاسيكي	klassik	كلَاسِيكِيّ	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;INDF;MASC;SG
klassiker	كلاسيكية	klassik	كلَاسِيكِيّ	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;INDF;FEM;SG
klassiker	الكلاسيكية	klassik	كُلآسِيكِيّ	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;DEF;FEM;SG
klassiker	تقليدي	klassik	تَقلِيدِيّ	N;NOM;INDF;MASC+FEM;PL	ADJ;NOM;INDF;MASC;SG
begärde	المطلوب	begära	مَطلُوب	V;IND;PST;FIN;ACT	ADJ;NOM;DEF;MASC;SG
dagliga	اليومية	daglig	يَومِيّ	ADJ;NOM;PL	ADJ;NOM;DEF;FEM;SG
dagliga	اليومي	daglig	يَومِيّ	ADJ;NOM;PL	ADJ;NOM;DEF;MASC;SG
dagliga	يومية	daglig	يَومِيّ	ADJ;NOM;PL	ADJ;NOM;INDF;FEM;SG
dagliga	يوميا	daglig	يَومِيّ	ADJ;NOM;PL	ADJ;ACC;INDF;MASC;SG
give	اعطي	give	أَعطَى	N;NOM;INDF;MASC+FEM;SG	V;PFV;MASC;SG;3;ACT
web	الشبكة	web	شَبَكَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
web	الويب	web	وَيب	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
web	ويب	web	وِيب	N;NOM;INDF;MASC+FEM;SG	
omgivning	البيئة	omgivning	بِيئَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
policy	السياسات	policy	سِيَاسَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;PL
policy	السياسة	policy	سِيَاسَة	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
stalin	ستالين	stalin	ستالين	PROPN;NOM	N;ACC;INDF;DU
maxwell	ماكسويل	maxwell	ماكسويل	PROPN;NOM	
randall	راندل	randall	راندل	N;NOM;INDF;MASC+FEM;SG	
randall	راندال	randall	راندال	N;NOM;INDF;MASC+FEM;SG	
trinity	الثالوث	trinity	ثَالُوث	N;NOM;INDF;MASC+FEM;SG	N;NOM;DEF;SG
täcks	غطى	täcka	غَطَّى	V;IND;PRS;FIN;PASS	V;PFV;MASC;SG;3;ACT
täcks	مغطاة	täcka	مُغَطَّا	V;IND;PRS;FIN;PASS	ADJ;NOM;INDF;FEM;SG
täcks	مغطى	täcka	مَغطَى	V;IND;PRS;FIN;PASS	
delstater	الولايات	delstat	وِلَايَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
delstater	الدول	delstat	دَولَة	N;NOM;INDF;MASC+FEM;PL	N;NOM;DEF;PL
röstar	التصويت	rösta	تَصوِيت	V;IND;PRS;FIN;ACT	N;NOM;DEF;SG
röstar	تصويت	rösta	تَصوِيت	V;IND;PRS;FIN;ACT	N;NOM;INDF;SG
