singh	singh	singh	singh	N;INDF;MASC;SG	PROPN
say	decir	say	decir	N	V;NFIN
say	diga	say	decir	N	V;IMP;SG;3;FIN
ferdige	finalizado	ferdig	finalizar	ADJ;PL	ADJ;MASC;SG;V.PTCP
ferdige	acabado	ferdig	acabar	ADJ;PL	ADJ;MASC;SG;V.PTCP
ferdige	terminado	ferdig	terminar	ADJ;PL	ADJ;MASC;SG;V.PTCP
ferdige	terminada	ferdig	terminado	ADJ;PL	ADJ;FEM;SG;V.PTCP
punk	gamberro	punk	gamberro	N;INDF;MASC;SG	ADJ;MASC;SG
elst	elst	gla	elst	N	PROPN
fabrikk	fábricas	fabrikk	fábrica	N;INDF;MASC;SG	N;FEM;PL
designer	diseñadores	designer	diseñador	N;INDF;MASC;SG	N;MASC;PL
designer	diseñar	designer	diseñar	N;INDF;MASC;SG	V;NFIN
designer	diseñando	designer	diseñar	N;INDF;MASC;SG	V;V.MSDR
sjuende	séptima	sjuende	séptimo	N;INDF;MASC;SG	ADJ;FEM;SG
sjuende	séptimo	sjuende	séptimo	N;INDF;MASC;SG	ADJ;MASC;SG
jenssen	jenssen	jensse	jenssar	N;DEF;MASC;SG	
tyskere	alemanes	tyskere	alemán	N;INDF;FEM;SG	N;MASC;PL
small	pequeñas	small	pequeño	N;INDF;NEUT;SG	ADJ;FEM;PL
small	pequeño	small	pequeño	N;INDF;NEUT;SG	ADJ;MASC;SG
small	pequeña	small	pequeño	N;INDF;NEUT;SG	ADJ;FEM;SG
small	pequeños	small	pequeño	N;INDF;NEUT;SG	ADJ;MASC;PL
elektroniske	electrónico	elektronisk	electrónico	ADJ;PL	ADJ;MASC;SG
elektroniske	electrónica	elektronisk	electrónico	ADJ;PL	ADJ;FEM;SG
elektroniske	electronic	elektronisk	electronic	ADJ;PL	N;MASC;SG
familiene	familia	familie	familia	N;DEF;FEM;PL	N;FEM;SG
inspirerte	inspirada	inspirere	inspirado	ADJ;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
inspirerte	inspiró	inspirere	inspirar	ADJ;PL;V.PTCP	V;IND;SG;3;PST;FIN
inspirerte	inspirado	inspirere	inspirado	ADJ;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
rick	rick	rick	rick	N;INDF;MASC;SG	PROPN
perry	perry	perry	perry	PROPN	PROPN
oppføringer	listados	oppføringer	listado	N;INDF;FEM;PL	ADJ;MASC;PL;V.PTCP
helene	elena	helene	eleno	N;DEF;FEM;PL	N;FEM;SG
helene	helena	helene	heleno	N;DEF;FEM;PL	N;FEM;SG
helene	elena	helene	eleno	N;DEF;FEM;PL	N;FEM;SG
opposisjon	oposiciones	opposisjon	oposición	N;INDF;MASC;SG	N;FEM;PL
opposisjon	opositores	opposisjon	opositor	N;INDF;MASC;SG	N;MASC;PL
seven	siete	seve	siete	N;INDF;NEUT;SG	NUM;PL
farlige	peligroso	farlig	peligroso	ADJ;PL	ADJ;MASC;SG
farlige	peligrosa	farlig	peligroso	ADJ;PL	ADJ;FEM;SG
sean	sean	sean	ser	N;INDF;MASC;SG	V;SBJV;PL;3;PRS;FIN
anmeldelse	revisar	anmeldelse	revisar	N;INDF;MASC;SG	V;NFIN
konsekvens	consecuencias	konsekvens	consecuencia	N;INDF;MASC;SG	N;FEM;PL
gjest	invitada	gjest	invitada	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
gjest	invitado	gjest	invitado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
gjest	invitados	gjest	invitado	N;INDF;MASC;SG	N;MASC;PL
aage	aage	aage	aagerse_ve_vejgüe	N;INDF;MASC;SG	
pearl	perla	pearl	perla	N;INDF;MASC;SG	
pearl	perlas	pearl	perla	N;INDF;MASC;SG	N;FEM;PL
negativt	negativas	negativ	negativo	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
negativt	negativos	negativ	negativo	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
irish	irlandesa	irish	irlandés	N	ADJ;FEM;SG
hrsg	hrsg	hrsg	hrsg	N;INDF;MASC;SG	
johanne	johanne	johanne	johanne	N;INDF;FEM;SG	PROPN
oval	oval	oval	oval	N;INDF;MASC;SG	ADJ;SG
fis	pedo	fis	pedir	N;INDF;MASC;SG	INTJ
fis	pedos	fis	pedo	N;INDF;MASC;SG	N;MASC;PL
lagre	ahorrar	lagre	ahorrar	N;INDF;NEUT;SG	V;NFIN
lagre	guardar	lagre	guardar	N;INDF;NEUT;SG	V;NFIN
lagre	salvar	lagre	salvar	N;INDF;NEUT;SG	V;NFIN
lagre	ahorra	lagre	ahorra	N;INDF;NEUT;SG	V;IND;SG;3;PRS;FIN
arkansas	arkansas	arkansas	arkansa	N;DEF;FEM;SG	N;PL
kyst	costas	kyst	costa	N;INDF;NEUT;SG	N;FEM;PL
deltagere	participantes	deltagere	participante	N;INDF;MASC;SG	N;PL
oppfatter	percibir	oppfatter	percibir	N;INDF;FEM;PL	V;NFIN
oppfatter	perciben	oppfatter	percibir	N;INDF;FEM;PL	V;IND;PL;3;PRS;FIN
oppfatter	perciba	oppfatter	percibir	N;INDF;FEM;PL	V;SBJV;SG;3;PRS;FIN
orleans	orleans	orleans	orlean	N;INDF;MASC;SG	N;MASC;PL
orleans	orleáns	orleans	orleán	N;INDF;MASC;SG	PROPN
splittet	divididas	splitt	dividido	N;DEF;NEUT;SG	ADJ;FEM;PL;V.PTCP
splittet	dividida	splitt	dividido	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
splittet	dividido	splitt	dividido	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
splittet	divididos	splitt	dividido	N;DEF;NEUT;SG	ADJ;MASC;PL;V.PTCP
varm	hot	varm	hot	ADJ;INDF;SG	N
varm	calientes	varm	caliente	ADJ;INDF;SG	ADJ;PL
varm	calor	varm	calor	ADJ;INDF;SG	N;MASC;SG
massakren	masacres	massakre	masacre	N;DEF;MASC;SG	N;FEM;PL
massakren	matanzas	massakre	matanza	N;DEF;MASC;SG	N;FEM;PL
mekanisk	mecánicos	mekanisk	mecánico	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
mekanisk	mecánicas	mekanisk	mecánico	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
helgen	finde	helg	finde	N;INDF;MASC;SG	
helgen	santo	helg	santo	N;INDF;MASC;SG	
helgen	santa	helg	santo	N;INDF;MASC;SG	ADJ;FEM;SG
terreng	terrenos	terreng	terreno	N;INDF;NEUT;SG	N;MASC;PL
uro	disturbios	uro	disturbio	N;INDF;FEM;SG	N;MASC;PL
arkeologisk	arqueológicos	arkeologisk	arqueológico	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
arkeologisk	arqueológicas	arkeologisk	arqueológico	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
ammunisjon	municiones	ammunisjon	munición	N;INDF;MASC;SG	N;FEM;PL
ammunisjon	municiones	ammunisjon	munición	N;INDF;MASC;SG	N;FEM;PL
kiss	besito	kiss	besito	N;INDF;MASC;SG	INTJ
annonsert	anunció	annonsere	anunciar	ADJ;INDF;SG;V.PTCP	V;IND;SG;3;PST;FIN
annonsert	anunciados	annonsere	anunciado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
annonsert	anunciados	annonsere	anunciado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
balkan	balcanes	balkan	balcan	N;INDF;MASC;SG	N;MASC;PL
balkan	balcanes	balkan	balcan	N;INDF;MASC;SG	N;MASC;PL
kommersielt	anuncio	kommersiel	anuncio	ADJ;INDF;NEUT;SG	N;MASC;SG
kommersielt	comerciales	kommersiel	comercial	ADJ;INDF;NEUT;SG	ADJ;PL
stabile	establo	stabil	establo	ADJ;PL	N;MASC;SG
stabile	estable	stabil	estable	ADJ;PL	ADJ;SG
parentes	soportes	parentes	soporte	N;INDF;NEUT;SG	N;MASC;PL
parentes	corchetes	parentes	corchete	N;INDF;NEUT;SG	N;MASC;PL
fornøyd	satisfechos	fornøyd	satisfecho	ADJ;INDF;SG	ADJ;MASC;PL;V.PTCP
fornøyd	felices	fornøyd	feliz	ADJ;INDF;SG	ADJ;PL
fornøyd	happy	fornøyd	happy	ADJ;INDF;SG	N
cover	cubierta	cove	cubierto	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
cover	cubrir	cove	cubrir	N;INDF;MASC;SG	V;NFIN
rolig	calma	rolig	calma	ADJ;INDF;NEUT;SG	N;FEM;SG
rolig	easy	rolig	easy	ADJ;INDF;NEUT;SG	N
santo	santo	santo	santo	N;INDF;NEUT;SG	
ryttere	jinetes	ryttere	jinete	V;NFIN	N;MASC;PL
ryttere	jinetes	ryttere	jinete	V;NFIN	N;MASC;PL
deltaker	concursante	deltaker	concursante	N;INDF;MASC;PL	N;SG
deltaker	participante	deltaker	participante	N;INDF;MASC;PL	N;SG
hanssen	hanssen	hansse	hanssar	N;INDF;MASC;SG	N;PL
gjenopprettet	recuperado	gjenopprett	recuperado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
gjenopprettet	recuperadas	gjenopprett	recuperado	N;DEF;NEUT;SG	ADJ;FEM;PL;V.PTCP
gjenopprettet	recuperados	gjenopprett	recuperar	N;DEF;NEUT;SG	ADJ;MASC;PL;V.PTCP
gjenopprettet	recuperada	gjenopprett	recuperado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
gjenopprettet	restaurada	gjenopprett	restaurado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
gjenopprettet	restauradas	gjenopprett	restaurado	N;DEF;NEUT;SG	ADJ;FEM;PL;V.PTCP
gjenopprettet	restaurado	gjenopprett	restaurado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
forent	unificado	forent	unificado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
forent	unificados	forent	unificado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
forent	unificada	forent	unificar	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
forent	unificadas	forent	unificado	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
forent	unidos	forent	unido	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
forent	unido	forent	unido	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
forent	unió	forent	unir	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
forent	unida	forent	unido	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
utenlandsk	extranjeras	utenlandsk	extranjero	ADJ;INDF;SG	ADJ;FEM;PL
utenlandsk	extranjeros	utenlandsk	extranjero	ADJ;INDF;SG	N;MASC;PL
utenlandsk	extranjero	utenlandsk	extranjero	ADJ;INDF;SG	N;MASC;SG
utenlandsk	foreign	utenlandsk	foreign	ADJ;INDF;SG	N
nedgang	declinar	nedgang	declinar	N;INDF;MASC;SG	V;NFIN
nedgang	disminuir	nedgang	disminuir	N;INDF;MASC;SG	V;NFIN
nedgang	disminuye	nedgang	disminuir	N;INDF;MASC;SG	V;IND;SG;3;PRS;FIN
grenland	grenland	grenland	grenland	N;INDF;MASC;SG	V;IND;PL;3;PRS;FIN
isaac	isaac	isaac	isaac	N;INDF;MASC;SG	PROPN
skeptisk	escépticos	skeptisk	escéptico	ADJ;INDF;SG	ADJ;MASC;PL
symfoni	sinfónica	symfoni	sinfónico	N;INDF;MASC;SG	ADJ;FEM;SG
gata	calles	gate	calle	N;DEF;FEM;SG	N;FEM;PL
klatre	subir	klatre	subir	N;INDF;FEM;SG	V;NFIN
klatre	escalar	klatre	escalar	N;INDF;FEM;SG	V;NFIN
stanset	parado	stanse	parado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
sakte	despacito	sakte	despacito	ADJ;INDF;NEUT;SG	INTJ
sakte	lentamente	sakte	lentamente	ADJ;INDF;NEUT;SG	ADV
halve	mitad	halv	mitad	ADJ;DEF;SG	N;FEM;SG
halve	half	halv	half	ADJ;DEF;SG	N
halve	medio	halv	medio	ADJ;DEF;SG	NUM;MASC;SG
skritt	peldaños	skritt	peldaño	N;INDF;NEUT;SG	N;MASC;PL
skritt	pasos	skritt	paso	N;INDF;NEUT;SG	N;MASC;PL
skritt	escalones	skritt	escalón	N;INDF;NEUT;SG	N;MASC;PL
organisk	orgánicos	organisk	orgánico	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
organisk	orgánicas	organisk	orgánico	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
hundrevis	cientos	hundrevis	ciento	N	NUM;PL
nhm	nhm	nhm	nhm	N;INDF;MASC;SG	
rot	arraigada	rot	arraigado	N;INDF;NEUT;SG	ADJ;FEM;SG;V.PTCP
rot	arraigados	rot	arraigado	N;INDF;NEUT;SG	ADJ;MASC;PL;V.PTCP
rot	arraigado	rot	arraigado	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
dømte	condenado	dømme	condenado	ADJ;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
dømte	convicto	dømme	convicto	ADJ;PL;V.PTCP	N;MASC;SG
dømte	juzgada	dømme	juzgado	ADJ;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
opplevd	experimentados	oppleve	experimentado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
made	hecha	made	hecho	N;INDF;SG	ADJ;FEM;SG;V.PTCP
made	hecho	made	hecho	N;INDF;SG	ADJ;MASC;SG;V.PTCP
olivier	olivier	olivie	olivier	N;INDF;NEUT;SG	PROPN
tjue	twenty	tjue	twenty	NUM;PL	N
tjue	veintiuno	tjue	veintiuno	NUM;PL	N;MASC;PL
eksport	exportaciones	eksport	exportación	N;INDF;MASC;SG	N;FEM;PL
eksport	exportar	eksport	exportar	N;INDF;MASC;SG	V;NFIN
eksport	exportando	eksport	exportar	N;INDF;MASC;SG	V;V.MSDR
eksport	exportadores	eksport	exportador	N;INDF;MASC;SG	N;MASC;PL
eksport	exportar	eksport	exportar	N;INDF;MASC;SG	V;NFIN
opprettholdt	mantenida	oppretthold	mantenido	N;INDF;NEUT;SG	ADJ;FEM;SG;V.PTCP
opprettholdt	mantenido	oppretthold	mantener	N;INDF;NEUT;SG	ADJ;MASC;SG;V.PTCP
opprettholdt	mantenidas	oppretthold	mantenido	N;INDF;NEUT;SG	ADJ;FEM;PL;V.PTCP
opprettholdt	mantenidos	oppretthold	mantener	N;INDF;NEUT;SG	ADJ;MASC;PL;V.PTCP
mater	alimentando	mater	alimentar	N;INDF;MASC;SG	V;V.MSDR
mater	alimentarse	mater	alimentar	N;INDF;MASC;SG	V;SBJV;SG;3;IPFV;FIN
tsjekkiske	checo	tsjekkisk	checo	ADJ;PL	N;MASC;SG
tsjekkiske	checos	tsjekkisk	checo	ADJ;PL	N;MASC;PL
tsjekkiske	checa	tsjekkisk	checo	ADJ;PL	ADJ;FEM;SG
skulpturer	esculturas	skulpture	escultura	N;INDF;MASC;SG	N;FEM;PL
brekke	romper	brekke	romper	N;INDF;NEUT;SG	V;NFIN
brekke	rompiendo	brekke	romper	N;INDF;NEUT;SG	V;V.MSDR
brekke	romper	brekke	romper	N;INDF;NEUT;SG	V;NFIN
grey	gris	grey	gris	N;INDF;MASC;SG	
grey	grises	grey	gris	N;INDF;MASC;SG	N;PL
forandringer	cambia	forandring	cambiar	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
innsiden	dentro	innside	dentro	N;DEF;MASC;SG	ADV
innsiden	adentro	innside	adentro	N;DEF;MASC;SG	
innsiden	inside	innside	insidir	N;DEF;MASC;SG	INTJ
bryst	pechos	bryste	pecho	N;INDF;FEM;SG	N;MASC;PL
bryst	senos	bryste	seno	N;INDF;FEM;SG	N;MASC;PL
analyser	analizar	analyse	analizar	N;INDF;FEM;PL	V;NFIN
analyser	analice	analyse	analizar	N;INDF;FEM;PL	V;IMP;SG;3;FIN
analyser	analiza	analyse	analizar	N;INDF;FEM;PL	V;IND;SG;3;PRS;FIN
analyser	analizar	analyse	analizar	N;INDF;FEM;PL	V;NFIN
hersket	gobernada	herske	gobernado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
hersket	gobernó	herske	gobernar	N;DEF;NEUT;SG	V;IND;SG;3;PST;FIN
hersket	gobernado	herske	gobernado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
hersket	gobernados	herske	gobernado	N;DEF;NEUT;SG	ADJ;MASC;PL;V.PTCP
sørger	luto	sørge	luto	V;IND;PRS;FIN	N;MASC;SG
sørger	duelo	sørge	duelo	V;IND;PRS;FIN	N;MASC;SG
sørger	luto	sørge	luto	V;IND;PRS;FIN	N;MASC;SG
sådan	tales	sådan	tal	N;INDF;MASC;SG	PRO;PL
sektor	sectorial	sektor	sectorial	N;INDF;MASC;SG	ADJ;SG
krysse	cruz	krysse	cruz	V;NFIN	N;FEM;SG
krysse	cross	krysse	cross	V;NFIN	N
krysse	cruce	krysse	cruce	V;NFIN	N;MASC;SG
krysse	cruzado	krysse	cruzar	V;NFIN	ADJ;MASC;SG;V.PTCP
låt	song	låt	song	N;INDF;MASC;SG	PROPN
montana	montana	montan	montana	N;DEF;MASC;SG	ADJ;FEM;SG
serbiske	serbios	serbisk	serbio	ADJ;PL	N;MASC;PL
serbiske	serbio	serbisk	serbio	ADJ;PL	N;MASC;SG
beleiret	sitiada	beleir	sitiado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
ghana	ghana	ghan	ghana	PROPN	N;FEM;SG
forhindret	prevenido	forhindr	prevenir	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
forhindret	impedido	forhindr	impedido	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
rapporter	reportar	rapport	reportar	N;INDF;NEUT;SG	V;NFIN
rapporter	denunciar	rapport	denunciar	N;INDF;NEUT;SG	V;NFIN
rapporter	informes	rapport	informe	N;INDF;NEUT;SG	N;MASC;PL
rapporter	reportajes	rapport	reportaje	N;INDF;NEUT;SG	N;MASC;PL
rapporter	reportes	rapport	reporte	N;INDF;NEUT;SG	N;MASC;PL
romantisk	románticas	romantisk	romántico	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
romantisk	románticos	romantisk	romántico	ADJ;INDF;NEUT;SG	N;MASC;PL
kosovo	kosovo	kosovo	kosovo	PROPN	N;FEM;SG
mind	mind	mind	mind	N;INDF;SG	PROPN
avansert	avanzadas	avansere	avanzado	ADJ;INDF;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
avansert	avanzados	avansere	avanzado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
henviser	referencias	henvise	referencia	N;INDF;FEM;SG	N;FEM;PL
henviser	referir	henvise	referir	N;INDF;FEM;SG	V;NFIN
henviser	refiriendo	henvise	referir	N;INDF;FEM;SG	V;V.MSDR
henviser	refiriéndose	henvise	refiriéndose	N;INDF;FEM;SG	V;SBJV;SG;3;PRS;FIN
henviser	referir	henvise	referir	N;INDF;FEM;SG	V;NFIN
henviser	referirse	henvise	referir	N;INDF;FEM;SG	V;SBJV;SG;3;IPFV;FIN
komponerte	componía	komponere	componer	V;IND;PST;FIN	V;IND;SG;3;IPFV;FIN
tórshavn	tórshavn	tórshavn	tórshavn	N;INDF;NEUT;SG	
begrense	restringir	begrense	restringir	N;INDF;MASC;SG	V;NFIN
begrense	limitando	begrense	limitar	N;INDF;MASC;SG	V;V.MSDR
begrense	limitar	begrense	limitar	N;INDF;MASC;SG	V;NFIN
please	porfavor	please	porfavor	N;INDF;MASC;SG	V;IMP;SG;3;FIN
please	porfa	please	porfa	N;INDF;MASC;SG	INTJ
søstre	hermanas	søstre	hermana	ADJ;PL	N;FEM;PL
bestemmelser	reglamentaciones	bestemmelse	reglamentación	N;INDF;MASC;SG	N;FEM;PL
bestemmelser	reglamentos	bestemmelse	reglamento	N;INDF;MASC;SG	N;MASC;PL
bestemmelser	regulaciones	bestemmelse	regulación	N;INDF;MASC;SG	N;FEM;PL
bestemmelser	disposiciones	bestemmelse	disposición	N;INDF;MASC;SG	N;FEM;PL
bestemmelser	provisiones	bestemmelse	provisión	N;INDF;MASC;SG	N;FEM;PL
verdensbasis	mundial	verdensbasis	mundial	N;INDF;MASC;SG	ADJ;SG
verdensbasis	mundialmente	verdensbasis	mundialmente	N;INDF;MASC;SG	ADV
rasende	furiosa	rasende	furioso	N;INDF;MASC;SG	ADJ;FEM;SG
rasende	furiosos	rasende	furioso	N;INDF;MASC;SG	ADJ;MASC;PL
rasende	furioso	rasende	furioso	N;INDF;MASC;SG	ADJ;MASC;SG
rasende	enfurecido	rasende	enfurecido	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
ofre	victimas	ofre	victima	V;NFIN	N;FEM;PL
ofre	víctimas	ofre	víctima	V;NFIN	N;FEM;PL
sitteplasser	asiento	sitteplasse	asiento	N;INDF;FEM;PL	N;MASC;SG
kjøper	comprador	kjøpe	comprador	V;IND;PRS;FIN	N;MASC;SG
kjøper	compra	kjøpe	compra	V;IND;PRS;FIN	N;FEM;SG
offer	víctima	offer	víctima	N;INDF;NEUT;PL	N;FEM;SG
offer	victima	offer	victima	N;INDF;NEUT;PL	N;FEM;SG
plyndret	saqueado	plyndre	saqueado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
plyndret	saquearon	plyndre	saquear	N;DEF;NEUT;SG	V;IND;PL;3;PST;FIN
pat	pat	pat	pat	N;INDF;MASC;SG	PROPN
testet	probada	test	probado	N;DEF;NEUT;SG	ADJ;FEM;SG;V.PTCP
testet	probados	test	probado	N;DEF;NEUT;SG	ADJ;MASC;PL;V.PTCP
testet	probado	test	probado	N;DEF;NEUT;SG	ADJ;MASC;SG;V.PTCP
lier	lier	lie	lier	N;INDF;FEM;PL	N;SG
besøke	visita	besøke	visita	V;NFIN	N;FEM;SG
væske	fluido	væske	fluido	N;INDF;FEM;SG	ADJ;MASC;SG;V.PTCP
væske	fluida	væske	fluida	N;INDF;FEM;SG	ADJ;FEM;SG;V.PTCP
væske	fluidos	væske	fluido	N;INDF;FEM;SG	N;MASC;PL
væske	liquido	væske	liquido	N;INDF;FEM;SG	ADJ;MASC;SG
væske	líquida	væske	líquido	N;INDF;FEM;SG	ADJ;FEM;SG
væske	líquidos	væske	líquido	N;INDF;FEM;SG	N;MASC;PL
graf	gráfica	graf	gráfico	N;INDF;NEUT;SG	ADJ;FEM;SG
graf	gráfico	graf	gráfico	N;INDF;NEUT;SG	ADJ;MASC;SG
materiell	material	materiell	material	ADJ;INDF;SG	N;MASC;SG
materiell	materiales	materiell	material	ADJ;INDF;SG	N;MASC;PL
materiell	material	materiell	material	ADJ;INDF;SG	N;MASC;SG
materiell	materias	materiell	materia	ADJ;INDF;SG	N;FEM;PL
materiell	materiales	materiell	material	ADJ;INDF;SG	N;MASC;PL
falske	falsa	falsk	falso	ADJ;PL	ADJ;FEM;SG
falske	false	falsk	false	ADJ;PL	N
falske	falso	falsk	falso	ADJ;PL	ADJ;MASC;SG
sichuan	sichuan	sichuan	sichuar	PROPN	ADJ;SG
aksel	aksel	aksel	aksel	N;INDF;MASC;SG	
ulrich	ulrich	ulrich	ulrich	N	PROPN
marsjerte	marchado	marsjere	marchar	V;IND;PST;FIN	ADJ;MASC;SG;V.PTCP
husk	recuerdas	husk	recorda	V;IMP;FIN	V;IND;SG;2;PRS;FIN
husk	recuerda	husk	recordar	V;IMP;FIN	V;IND;SG;3;PRS;FIN
spesialisert	especializados	spesialisere	especializado	ADJ;INDF;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
skatter	tesoro	skatter	tesoro	N;INDF;FEM;PL	N;MASC;SG
skatter	impuesto	skatter	impuesto	N;INDF;FEM;PL	ADJ;MASC;SG;V.PTCP
skillet	distinciones	skill	distinción	N;DEF;NEUT;SG	N;FEM;PL
stipend	becas	stipend	beca	N;INDF;NEUT;SG	N;FEM;PL
stipend	becas	stipend	beca	N;INDF;NEUT;SG	N;FEM;PL
moses	moisés	moses	moisés	N;INDF;MASC;SG	PROPN
atferd	comportamientos	atferd	comportamiento	N;INDF;NEUT;SG	N;MASC;PL
atferd	conductas	atferd	conducta	N;INDF;NEUT;SG	N;FEM;PL
atferd	comportamientos	atferd	comportamiento	N;INDF;NEUT;SG	N;MASC;PL
padling	remando	padling	remar	N;INDF;FEM;SG	V;V.MSDR
padling	canoas	padling	canoa	N;INDF;FEM;SG	N;FEM;PL
bakterier	bacteria	bakterium	bacteria	N;INDF;MASC;PL	N;FEM;SG
collett	collett	collett	collett	N;INDF;MASC;SG	
miami	miami	miami	miami	N	PROPN
kalender	calendario	kalende	calendario	N;INDF;FEM;PL	N;MASC;SG
dekk	neumáticos	dekk	neumático	N;INDF;NEUT;SG	N;MASC;PL
dekk	llantas	dekk	llanta	N;INDF;NEUT;SG	N;FEM;PL
dekk	gomas	dekk	goma	N;INDF;NEUT;SG	N;FEM;PL
dekk	cubierta	dekk	cubierto	N;INDF;NEUT;SG	ADJ;FEM;SG;V.PTCP
dekk	cubrir	dekk	cubrir	N;INDF;NEUT;SG	V;NFIN
dekk	cubierta	dekk	cubierto	N;INDF;NEUT;SG	ADJ;FEM;SG;V.PTCP
portretter	retratos	portrette	retrato	N;INDF;NEUT;SG	N;MASC;PL
innspill	insumos	innspill	insumo	N;INDF;NEUT;SG	N;MASC;PL
haiti	haití	haiti	haitir	N;INDF;NEUT;SG	PROPN
utløste	desencadenó	utløse	desencadenar	ADJ;PL;V.PTCP	V;IND;SG;3;PST;FIN
spesifikt	específicas	spesifikk	especifico	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
spesifikt	específicos	spesifikk	específico	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
spesifikt	específicamente	spesifikk	específicamente	ADJ;INDF;NEUT;SG	ADV
spesifikt	concretamente	spesifikk	concretamente	ADJ;INDF;NEUT;SG	ADV
uttrykt	expresadas	uttrykkje	expresado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
uttrykt	expresó	uttrykkje	expresar	ADJ;INDF;NEUT;SG;V.PTCP	V;IND;SG;3;PST;FIN
uttrykt	expresados	uttrykkje	expresado	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
sint	sint	sint	sint	ADJ;INDF;SG	
sint	mad	sint	mad	ADJ;INDF;SG	N
iranske	iraní	iransk	iraní	ADJ;PL	ADJ;SG
iranske	iraníes	iransk	iraní	ADJ;PL	N;PL
ønskelig	deseados	ønskelig	deseado	N;INDF;MASC;SG	ADJ;MASC;PL;V.PTCP
ønskelig	deseado	ønskelig	deseado	N;INDF;MASC;SG	ADJ;MASC;SG;V.PTCP
ønskelig	deseada	ønskelig	deseado	N;INDF;MASC;SG	ADJ;FEM;SG;V.PTCP
ønskelig	deseadas	ønskelig	deseado	N;INDF;MASC;SG	ADJ;FEM;PL;V.PTCP
ønskelig	deseable	ønskelig	deseable	N;INDF;MASC;SG	ADJ;SG
ønskelig	deseables	ønskelig	deseable	N;INDF;MASC;SG	ADJ;PL
progressiv	progresivas	progressiv	progresivo	ADJ;INDF;NEUT;SG	ADJ;FEM;PL
progressiv	progresista	progressiv	progresista	ADJ;INDF;NEUT;SG	N;SG
progressiv	progresivos	progressiv	progresivo	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
lært	aprendido	lære	aprender	V;V.PTCP	ADJ;MASC;SG;V.PTCP
lært	aprendido	lære	aprender	V;V.PTCP	ADJ;MASC;SG;V.PTCP
luke	lucas	luke	luca	N;INDF;MASC;SG	N;FEM;PL
bratte	empinada	bratt	empinado	ADJ;PL	ADJ;FEM;SG;V.PTCP
jules	jules	jules	jul	N;INDF;MASC;SG	PROPN
