також	וגם	також	וגם	ADV	
варто	שווי	варто	שווי	ADV	
варто	שווים	варто	שווה	ADV	ADJ;MASC;PL
варто	שווה	варто	שווה	ADV	PROPN
причина	הסיבה	причина	הסיב	N;INAN;NOM;FEM;SG	V;FEM;SG;3;PST;ACT
італія	איטליה	італія	איטליה	PROPN;INAN;NOM;FEM;SG	PROPN
політичні	פוליטית	політичний	פוליטי	ADJ;NOM;PL	ADV
політичні	פוליטי	політичний	פוליטי	ADJ;NOM;PL	N;MASC;SG
відродження	הרנסאנס	відродження	הרנסאנס	N;INAN;NOM;NEUT;SG	PROPN
відродження	הרנסנס	відродження	הרנסנס	N;INAN;NOM;NEUT;SG	PROPN
отже	ומכאן	отже	ומכאן	PART	PROPN
отже	לפיכך	отже	לפיכך	PART	CONJ
отже	לכן	отже	לכן	PART	CONJ
отже	לפיכך	отже	לפיכך	PART	CONJ
смерть	דום	смерть	דום	N;INAN;NOM;FEM;SG	PROPN
смерть	אבדון	смерть	אבדון	N;INAN;NOM;FEM;SG	PROPN
смерть	המוות	смерть	המווה	N;INAN;NOM;FEM;SG	
смерть	מות	смерть	מוות	N;INAN;NOM;FEM;SG	
сторони	סייד	сторона	סייד	N;INAN;NOM;FEM;PL	PROPN
сторони	צד	сторона	צד	N;INAN;NOM;FEM;PL	N;MASC;SG
сторони	לצד	сторона	לצד	N;INAN;NOM;FEM;PL	ADP
сторони	הצד	сторона	הצד	N;INAN;NOM;FEM;PL	
сторони	צד	сторона	צד	N;INAN;NOM;FEM;PL	N;MASC;SG
кандидат	המועמד	кандидат	המועמד	N;ANIM;NOM;MASC;SG	PROPN
відбулося	קרו	відбутися	קרה	V;PFV;NEUT;IND;SG;PST;FIN	PROPN
газета	עיתונים	газета	עיתון	N;INAN;NOM;FEM;SG	N;MASC;PL
матері	אמא	мати	אמא	N;ANIM;NOM;FEM;PL	N;FEM;SG
матері	אימא	мати	אימא	N;ANIM;NOM;FEM;PL	
середовища	הסביבה	середовище	הסביב	N;INAN;NOM;NEUT;SG	V;FEM;SG;3;PST;ACT
середовища	סביבות	середовище	סביבה	N;INAN;NOM;NEUT;SG	
інша	אחרים	інший	אחר	DET;NOM;FEM;SG	ADJ;MASC;PL
інша	אחר	інший	אחר	DET;NOM;FEM;SG	ADP
головна	העדיף	головний	העדיף	ADJ;NOM;FEM;SG	V;MASC;SG;3;PST;ACT
головна	מועדפת	головний	הועדף	ADJ;NOM;FEM;SG	V;FEM;SG;V.PTCP;PASS
головна	מועדף	головний	הועדף	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP;PASS
головна	מעדיף	головний	העדיף	ADJ;NOM;FEM;SG	V;MASC;SG;V.PTCP;ACT
споруди	מבנית	споруда	מבנית	N;INAN;NOM;FEM;PL	ADV
залишається	נותרת	залишатися	נותרת	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP;MID
залишається	שרידים	залишатися	שריד	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;PL
залишається	נותר	залишатися	נותר	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;MID
залишається	נשאר	залишатися	נשאר	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;3;PST;MID
збереження	מצילה	збереження	הציל	N;INAN;NOM;NEUT;SG	V;FEM;SG;V.PTCP;ACT
збереження	חוסך	збереження	חסך	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP;ACT
збереження	חוסכת	збереження	חסך	N;INAN;NOM;NEUT;SG	V;FEM;SG;V.PTCP;ACT
нове	חדשים	новий	חדש	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
наступний	הבא	наступний	הבא	ADJ;NOM;MASC;SG	PROPN
польща	פולין	польща	פולין	PROPN;INAN;NOM;FEM;SG	PROPN
сильно	בחוזקה	сильно	בחוזקה	ADV	PROPN
сильно	מעמיק	сильно	העמיק	ADV	ADJ;MASC;SG
сильно	עמוק	сильно	עמוק	ADV	
покоління	דור	покоління	דור	N;INAN;NOM;NEUT;SG	
покоління	דורות	покоління	דור	N;INAN;NOM;NEUT;SG	N;MASC;PL
самі	לבדי	сам	לבדי	DET;NOM;PL;REFL	
самі	לבדו	сам	לבד	DET;NOM;PL;REFL	
самі	לבד	сам	לבד	DET;NOM;PL;REFL	
самі	סמי	сам	סם	DET;NOM;PL;REFL	PROPN
допомогу	עוזרת	допомога	עוזר	N;INAN;ACC;FEM;SG	ADJ;FEM;SG
допомогу	עזור	допомога	עזור	N;INAN;ACC;FEM;SG	PROPN
допомогу	עזרי	допомога	עזר	N;INAN;ACC;FEM;SG	PROPN
автомобілів	השכרה	автомобіл	השכרה	N;INAN;GEN;MASC;PL	N;FEM;SG
отримати	קבל	отримати	קבל	V;PFV;NFIN	PROPN
вам	מנשקו	ви	נישק	PRO;ANIM;DAT;PL;2	PROPN
адміністрації	ממשל	адміністрація	ממשל	N;INAN;NOM;FEM;PL	N;MASC;SG
служив	שירת	служити	שירת	V;IPFV;MASC;IND;SG;PST;FIN	PROPN
гора	ההר	гора	ההר	N;INAN;NOM;FEM;SG	
гора	הר	гора	הר	N;INAN;NOM;FEM;SG	PROPN
гора	מאונט	гора	מאונט	N;INAN;NOM;FEM;SG	PROPN
гора	הר	гора	הר	N;INAN;NOM;FEM;SG	PROPN
гора	מונס	гора	מונס	N;INAN;NOM;FEM;SG	PROPN
гора	גורה	гора	גורה	N;INAN;NOM;FEM;SG	PROPN
тіло	הגוף	тіло	הגוף	N;INAN;NOM;NEUT;SG	
усього	הכולל	усе	הכולל	PRO;INAN;GEN;NEUT;SG	PROPN
шоу	שו	шоу	שו	N;INAN;NOM;NEUT;SG	
шоу	הראה	шоу	הראה	N;INAN;NOM;NEUT;SG	V;MASC;SG;3;PST;ACT
шоу	הצג	шоу	הצג	N;INAN;NOM;NEUT;SG	
край	הקצה	край	הקצה	N;INAN;NOM;MASC;SG	
край	קצה	край	קצה	N;INAN;NOM;MASC;SG	
діє	מעשים	діяти	מעשה	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;PL
взяв	לקח	взяти	לקח	V;PFV;MASC;IND;SG;PST;FIN	N;MASC;SG
взяв	צילם	взяти	צילם	V;PFV;MASC;IND;SG;PST;FIN	PROPN
роберт	רוברט	роберт	רוברט	PROPN;ANIM;NOM;MASC;SG	PROPN
лейтенант	לוטננט	лейтенант	לוטננט	N;ANIM;NOM;MASC;SG	PROPN
лейтенант	הסגן	лейтенант	הסגן	N;ANIM;NOM;MASC;SG	
лейтенант	לוטנט	лейтенант	לוטנט	N;ANIM;NOM;MASC;SG	PROPN
радіо	רדיו	радіо	רדיו	N;INAN;NOM;NEUT;SG	
змагання	תחרות	змагання	תחרות	N;INAN;NOM;NEUT;PL	N;FEM;SG
олімпійські	אולימפי	олімпійський	אולימפי	ADJ;NOM;PL	PROPN
олімпійські	האולימפי	олімпійський	האולימפי	ADJ;NOM;PL	PROPN
лютому	בפברואר	лютий	בפברואר	N;INAN;DAT;MASC;SG	ADV
лютому	פברואר	лютий	פברואר	N;INAN;DAT;MASC;SG	PROPN
відсутність	הרחק	відсутність	הרחק	N;INAN;NOM;FEM;SG	
відсутність	היעדר	відсутність	היעדר	N;INAN;NOM;FEM;SG	
суд	השיפוט	суд	השיפוט	N;INAN;NOM;MASC;SG	PROPN
населених	מיושב	населений	מיושב	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS	V;MASC;SG;V.PTCP;PASS
міститься	הכילה	міститися	הכיל	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;3;PST;ACT
міститься	הכיל	міститися	הכיל	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;3;PST;ACT
міститься	מכילות	міститися	מכילה	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;PL;V.PTCP
працюють	עבודה	працювати	עבודה	V;IPFV;IND;PL;3;PRS;FIN	N;FEM;SG
північна	צפונה	північний	צפון	ADJ;NOM;FEM;SG	ADV
північна	הצפון	північний	הצפון	ADJ;NOM;FEM;SG	PROPN
північна	צפון	північний	צפון	ADJ;NOM;FEM;SG	N;MASC;SG
північна	צפון	північний	צפון	ADJ;NOM;FEM;SG	N;MASC;SG
обидва	שתיהן	обидва	שתיים	NUM;NOM;MASC	PRO;FEM;PL;3
обидва	שניהם	обидва	שניים	NUM;NOM;MASC	
верхній	העליונה	верхній	העליונה	ADJ;NOM;MASC;SG	PROPN
верхній	טופ	верхній	טופ	ADJ;NOM;MASC;SG	
звичайно	בטח	звичайно	בטח	ADV	
звичайно	בטוח	звичайно	None	ADV	
починає	מתחיל	починати	התחיל	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP
млрд	ביליון	млрд	ביליון	INTJ	N;MASC;SG
млрд	מליארד	млрд	מליארד	INTJ	N
млрд	מיליארד	млрд	מיליארד	INTJ	NUM;MASC;SG
студії	אולפן	студія	אולפן	N;INAN;NOM;FEM;PL	N;MASC;SG
студії	סטודיו	студія	סטודיו	N;INAN;NOM;FEM;PL	PROPN
будівля	בונה	будівля	בנה	N;INAN;NOM;FEM;SG	
дати	תאריכים	дати	תאריך	V;PFV;NFIN	N;MASC;PL
гравця	נגן	гравець	נגן	N;ANIM;ACC;MASC;SG	
особливості	מאפיינים	особливість	אפיין	N;INAN;NOM;FEM;PL	V;MASC;PL;V.PTCP;ACT
властивості	רכוש	властивість	רכוש	N;INAN;NOM;FEM;PL	N;MASC;SG
властивості	נכס	властивість	נכס	N;INAN;NOM;FEM;PL	N;MASC;SG
властивості	מאפיינים	властивість	אפיין	N;INAN;NOM;FEM;PL	V;MASC;PL;V.PTCP;ACT
колишні	לשעבר	колишній	לשעבר	ADJ;NOM;PL	ADV
борис	בוריס	борис	בוריס	PROPN;ANIM;NOM;MASC;SG	PROPN
південна	דרומי	південний	דרומי	ADJ;NOM;FEM;SG	PROPN
південна	דרומית	південний	דרומי	ADJ;NOM;FEM;SG	ADV
південна	דרום	південний	דרום	ADJ;NOM;FEM;SG	N;MASC;SG
південна	הדרומי	південний	הדרום	ADJ;NOM;FEM;SG	PROPN
південна	דרום	південний	דרום	ADJ;NOM;FEM;SG	N;MASC;SG
південна	דרומה	південний	דרומה	ADJ;NOM;FEM;SG	
південна	הדרום	південний	הדרום	ADJ;NOM;FEM;SG	
російською	רוסייה	російський	רוסייה	ADJ;INS;FEM;SG	PROPN
російською	רוסית	російський	רוסית	ADJ;INS;FEM;SG	PROPN
російською	רוסי	російський	רוסי	ADJ;INS;FEM;SG	N;MASC;SG
граф	גרף	граф	גרף	N;ANIM;NOM;MASC;SG	PROPN
мапа	מפת	мапа	מפה	N;INAN;NOM;FEM;SG	
мапа	המפה	мапа	המפה	N;INAN;NOM;FEM;SG	
характеристики	מאפיינים	характеристика	אפיין	N;INAN;NOM;FEM;PL	V;MASC;PL;V.PTCP;ACT
поховані	קבורה	похований	קבורה	ADJ;PFV;NOM;PL;V.PTCP;PASS	N;FEM;SG
поховані	נקבר	похований	נקבר	ADJ;PFV;NOM;PL;V.PTCP;PASS	V;MASC;SG;3;PST;MID
поховані	קבורים	похований	קבור	ADJ;PFV;NOM;PL;V.PTCP;PASS	N;MASC;PL
поховані	קבור	похований	קבור	ADJ;PFV;NOM;PL;V.PTCP;PASS	PROPN
писати	כתיבה	писати	כתיבה	V;IPFV;NFIN	N;FEM;SG
донецька	דונצק	донецький	דונצק	ADJ;NOM;FEM;SG	PROPN
центральна	סנטרל	центральний	סנטרל	ADJ;NOM;FEM;SG	PROPN
центральна	מרכזית	центральний	מרכזי	ADJ;NOM;FEM;SG	ADV
центральна	מרכז	центральний	מרכז	ADJ;NOM;FEM;SG	N;MASC;SG
велике	ביג	великий	ביג	ADJ;NOM;NEUT;SG	
велике	גדולים	великий	גדול	ADJ;NOM;NEUT;SG	ADJ;MASC;PL
позначення	מסמן	позначення	מסמן	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP;ACT
засоби	סחורה	засіб	סחורה	N;INAN;NOM;MASC;PL	N;FEM;SG
засоби	אמצעי	засіб	אמצע	N;INAN;NOM;MASC;PL	N;MASC;SG
думка	הדעה	думка	הדעה	N;INAN;NOM;FEM;SG	ADV
сотні	מאות	сотня	מאות	N;INAN;NOM;FEM;PL	NUM;FEM;PL
місяць	מון	місяць	מון	N;INAN;NOM;MASC;SG	PROPN
місяць	ירח	місяць	ירח	N;INAN;NOM;MASC;SG	PROPN
місяць	הירח	місяць	הירח	N;INAN;NOM;MASC;SG	PROPN
училище	לימודים	училище	לימודים	N;INAN;NOM;NEUT;SG	N;MASC;PL
штаб	המפקדה	штаб	המפקד	N;INAN;NOM;MASC;SG	PROPN
штаб	סגל	штаб	סגל	N;INAN;NOM;MASC;SG	PROPN
зони	מואץ	зона	מואץ	N;INAN;NOM;FEM;PL	
вокал	קולי	вокал	קולי	N;ANIM;NOM;MASC;SG	PROPN
робить	שתיין	робити	שתיין	V;IPFV;IND;SG;3;PRS;FIN	
робить	גורם	робити	גורם	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;SG
робить	הופך	робити	הפך	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
наш	שלנו	наш	None	DET;NOM;MASC;SG;1	
збори	הרכבה	збори	הרכבה	N;INAN;NOM	N;FEM;SG
збори	אסיפה	збори	אסיפה	N;INAN;NOM	N;FEM;SG
шість	six	шість	six	NUM;NOM	
максим	מקסימוס	максим	מקסימוס	PROPN;ANIM;NOM;MASC;SG	PROPN
максим	מקסים	максим	מקסים	PROPN;ANIM;NOM;MASC;SG	PROPN
любов	באהבה	любов	באהבה	N;INAN;NOM;FEM;SG	PROPN
любов	אוהב	любов	אהב	N;INAN;NOM;FEM;SG	V;MASC;SG;V.PTCP;ACT
любов	אוהבת	любов	אהב	N;INAN;NOM;FEM;SG	V;FEM;SG;V.PTCP;ACT
любов	אהובה	любов	אהובה	N;INAN;NOM;FEM;SG	PROPN
наука	מדע	наука	מדע	N;INAN;NOM;FEM;SG	
наука	מדעים	наука	מדע	N;INAN;NOM;FEM;SG	N;MASC;PL
галактики	גלקסיה	галактика	גלקסיה	N;INAN;NOM;FEM;PL	N;FEM;SG
середини	אמצע	середина	אמצע	N;INAN;NOM;FEM;PL	N;MASC;SG
китаю	חרסינה	китати	חרסינה	PROPN;INAN;ACC;FEM;SG	N;FEM;SG
китаю	סין	китати	סין	PROPN;INAN;ACC;FEM;SG	PROPN
збільшення	הגדל	збільшення	הגדל	N;INAN;NOM;NEUT;SG	
збільшення	מתגבר	збільшення	התגבר	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP
золотий	זהב	золотий	זהב	ADJ;NOM;MASC;SG	N;MASC;SG
золотий	זהוב	золотий	זהוב	ADJ;NOM;MASC;SG	
золотий	גולדן	золотий	גולדן	ADJ;NOM;MASC;SG	PROPN
бас	בס	бас	בס	PROPN;ANIM;NOM;MASC;SG	
бас	באס	бас	None	PROPN;ANIM;NOM;MASC;SG	PROPN
маса	מיסה	маса	מיסה	N;INAN;NOM;FEM;SG	PROPN
маса	מסת	маса	מסת	N;INAN;NOM;FEM;SG	PROPN
казахстану	קזחסטן	казахстан	קזחסטן	PROPN;INAN;GEN;MASC	PROPN
сама	לבדי	сам	לבדי	DET;NOM;FEM;SG;REFL	
сама	לבדו	сам	לבד	DET;NOM;FEM;SG;REFL	
сама	לבד	сам	לבד	DET;NOM;FEM;SG;REFL	
ресурси	משאב	ресурс	משאב	N;INAN;NOM;MASC;PL	N;MASC;SG
національність	אתניות	національність	אתני	N;INAN;NOM;FEM;SG	ADJ;FEM;PL
торгівлі	החלפה	торгівля	החלפה	N;INAN;ACC;FEM;PL	N;FEM;SG
торгівлі	מסחר	торгівля	מסחר	N;INAN;ACC;FEM;PL	N;MASC;SG
посади	לשבת	посада	ישב	N;INAN;NOM;FEM;PL	V;NFIN;ACT
конференції	ועידה	конференція	ועידה	N;INAN;NOM;FEM;PL	N;FEM;SG
море	הים	море	הים	N;INAN;NOM;NEUT;SG	
факультету	סגל	факультет	סגל	N;INAN;GEN;MASC;SG	PROPN
факультету	הפקולטה	факультет	הפקולטה	N;INAN;GEN;MASC;SG	PROPN
розділ	מקטע	розділ	מקטע	N;INAN;NOM;MASC;SG	
розділ	החלוקה	розділ	החלוקה	N;INAN;NOM;MASC;SG	PROPN
вирішив	החלטת	вирішити	החלטה	V;PFV;MASC;IND;SG;PST;FIN	N;PSSD;FEM;SG
вирішив	החליטו	вирішити	החליט	V;PFV;MASC;IND;SG;PST;FIN	V;PL;3;PST;ACT
узбережжя	קוסט	узбережжя	קוסט	N;INAN;NOM;NEUT;SG	PROPN
температура	טמפרטורות	температура	טמפרטור	N;INAN;NOM;FEM;SG	N;FEM;PL
галактика	גלקסי	галактик	גלקסי	N;INAN;NOM;FEM;SG	PROPN
галактика	הגלקסיה	галактик	הגלקסיה	N;INAN;NOM;FEM;SG	PROPN
мітка	תג	мітка	תג	N;INAN;NOM;FEM;SG	
мітка	תייגו	мітка	תייגו	N;INAN;NOM;FEM;SG	PROPN
мітка	תייג	мітка	תייג	N;INAN;NOM;FEM;SG	V;MASC;SG;3;FUT;ACT
попередні	קודמת	попередній	קודם	ADJ;NOM;PL	ADJ;FEM;SG
попередні	הקודמת	попередній	הקודם	ADJ;NOM;PL	N;FEM;SG
попередні	הקודם	попередній	הקודם	ADJ;NOM;PL	PROPN
попередні	קודמים	попередній	קדם	ADJ;NOM;PL	V;MASC;PL;V.PTCP;ACT
рима	חרוז	рима	חרוז	PROPN;INAN;NOM;MASC;SG	N;MASC;SG
рима	ריים	рима	ריים	PROPN;INAN;NOM;MASC;SG	
приклад	דוגמית	приклад	דוגמי	N;INAN;NOM;MASC;SG	ADV
приклад	דוגמא	приклад	דוגמה	N;INAN;NOM;MASC;SG	
приклад	לדוגמה	приклад	לדוגמה	N;INAN;NOM;MASC;SG	PROPN
залежить	תלוי	залежати	תלוי	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;SG
нато	נאטו	нато	נאט	PROPN;INAN;NOM;FEM;SG	PROPN
навчальні	הוראה	навчальний	הוראה	ADJ;NOM;PL	N;FEM;SG
навчальні	מלמד	навчальний	לימד	ADJ;NOM;PL	V;MASC;SG;V.PTCP;ACT
навчальні	לימוד	навчальний	לימוד	ADJ;NOM;PL	N;MASC;SG
навчальні	מלמדת	навчальний	לימד	ADJ;NOM;PL	V;FEM;SG;V.PTCP;ACT
американська	אמריקאים	американський	אמריקני	ADJ;NOM;FEM;SG	N;MASC;PL
американська	אמריקני	американський	אמריקני	ADJ;NOM;FEM;SG	PROPN
американська	אמריקאית	американський	אמריקני	ADJ;NOM;FEM;SG	ADV
імператор	קיסר	імператор	קיסר	N;ANIM;NOM;MASC;SG	PROPN
імператор	הקיסר	імператор	הקיסר	N;ANIM;NOM;MASC;SG	PROPN
австро	האוסטרו	австро	האוסטר		PROPN
історичний	היסטורי	історичний	היסטורי	ADJ;NOM;MASC;SG	PROPN
земля	הארץ	земля	הארץ	N;INAN;NOM;FEM;SG	
асоціації	האגודה	асоціація	האגודה	N;INAN;NOM;FEM;PL	PROPN
асоціації	העמותה	асоціація	העמותה	N;INAN;NOM;FEM;PL	N;FEM;SG
асоціації	איגוד	асоціація	איגוד	N;INAN;NOM;FEM;PL	N;MASC;SG
асоціації	עמותה	асоціація	עמותה	N;INAN;NOM;FEM;PL	N;FEM;SG
дім	הביתה	дім	הביתה	N;INAN;NOM;MASC;SG	ADV
дім	הום	дім	הום	N;INAN;NOM;MASC;SG	
дім	בבית	дім	בבית	N;INAN;NOM;MASC;SG	
дім	הבית	дім	הבית	N;INAN;NOM;MASC;SG	ADV
дім	home	дім	home	N;INAN;NOM;MASC;SG	
символ	תו	символ	תו	N;INAN;NOM;MASC;SG	
аналіз	תובנות	аналіз	תבן	N;INAN;NOM;MASC;SG	N;FEM;PL
пол	פאול	поле	פאול		PROPN
пол	פול	поле	פול		PROPN
одеса	אודסה	одеса	אודסה	PROPN;INAN;NOM;FEM;SG	PROPN
навчальних	חינוכית	навчальний	חינוכי	ADJ;ACC;PL	ADV
навчальних	חינוכי	навчальний	חינוכי	ADJ;ACC;PL	ADJ;MASC;SG
зростання	מתגבר	зростання	התגבר	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP
повідомлення	הודעות	повідомлення	הודעה	N;INAN;NOM;NEUT;SG	N;FEM;PL
повідомлення	מסרים	повідомлення	מסר	N;INAN;NOM;NEUT;SG	N;MASC;PL
структури	מבנה	структура	מבנה	N;INAN;NOM;FEM;PL	N;MASC;SG
інше	שונות	інший	שונה	DET;NOM;NEUT;SG	ADJ;FEM;PL
інше	שונה	інший	שונה	DET;NOM;NEUT;SG	
інше	שונים	інший	שונה	DET;NOM;NEUT;SG	ADJ;MASC;PL
інше	אחר	інший	אחר	DET;NOM;NEUT;SG	ADP
інше	אחרים	інший	אחר	DET;NOM;NEUT;SG	ADJ;MASC;PL
інше	אחר	інший	אחר	DET;NOM;NEUT;SG	ADP
встановлення	התקן	встановлення	התקן	N;INAN;NOM;NEUT;SG	
встановлення	להתקין	встановлення	התקין	N;INAN;NOM;NEUT;SG	V;NFIN;ACT
причому	שיפוט	причому	שיפוט	ADV	N;MASC;SG
вартість	העלות	вартість	העלה	N;INAN;NOM;FEM;SG	N;FEM;PL
вартість	הערך	вартість	הערך	N;INAN;NOM;FEM;SG	
автомобіль	אוטו	автомобіль	אוטו	N;INAN;NOM;MASC;SG	PROPN
проживання	מגורים	проживання	מגורים	N;INAN;NOM;NEUT;SG	N;MASC;PL
населеного	מיושב	населений	מיושב	ADJ;PFV;GEN;MASC;SG;V.PTCP;PASS	V;MASC;SG;V.PTCP;PASS
випуск	שחרר	випускати	שחרר	N;INAN;NOM;MASC;SG	PROPN
випуск	שחררו	випускати	שחרר	N;INAN;NOM;MASC;SG	V;PL;3;PST;ACT
випуск	גיליון	випускати	גיליון	N;INAN;NOM;MASC;SG	PROPN
випуск	מוקד	випускати	מוקד	N;INAN;NOM;MASC;SG	
випуск	המוקד	випускати	המוקד	N;INAN;NOM;MASC;SG	
бригади	חטיבה	бригада	חטיבה	N;INAN;NOM;FEM;PL	N;FEM;SG
бригади	חטיבת	бригада	חטיבה	N;INAN;NOM;FEM;PL	N;PSSD;FEM;SG
установи	מוסד	установа	מוסד	N;INAN;NOM;FEM;PL	N;MASC;SG
установи	המוסד	установа	המוסד	N;INAN;NOM;FEM;PL	
уєфа	אירופה	увфа	אירופה	N;INAN;NOM;NEUT;SG	PROPN
комітет	הוועדה	комітет	הוועד	N;INAN;NOM;MASC;SG	PROPN
комітет	הוועד	комітет	הוועד	N;INAN;NOM;MASC;SG	
бразилії	ברזיל	бразилія	ברזיל	PROPN;INAN;GEN;FEM;SG	PROPN
результат	ציון	результат	ציון	N;INAN;NOM;MASC;SG	PROPN
результат	תוצאות	результат	תוצאה	N;INAN;NOM;MASC;SG	N;FEM;PL
живе	שוכן	жити	שכן	V;IPFV;IND;SG;3;PRS;FIN	PROPN
смузі	שייק	смуз	שייק	N;INAN;DAT;FEM;SG	PROPN
лос	לוס	лос	לוס		PROPN
здебільшого	ברובו	здебільшого	ברובו	ADV	
здебільшого	לרוב	здебільшого	ררוב	ADV	
працювали	עבדה	працювати	עבד	V;IPFV;IND;PL;PST;FIN	V;FEM;SG;3;PST
працювали	עבד	працювати	עבד	V;IPFV;IND;PL;PST;FIN	V;MASC;SG;3;PST
хрест	קרוס	хрест	קרוס	N;INAN;NOM;MASC;SG	PROPN
вік	וויק	вік	וויק	N;INAN;NOM;MASC;SG	PROPN
вік	ויק	вік	ויק	N;INAN;NOM;MASC;SG	
вік	הגיל	вік	הגיל	N;INAN;NOM;MASC;SG	ADV
завершення	השלם	завершення	השלם	N;INAN;NOM;NEUT;SG	
завершення	שלם	завершення	שלם	N;INAN;NOM;NEUT;SG	ADJ;MASC;SG
завершення	הושלם	завершення	הושלם	N;INAN;NOM;NEUT;SG	V;MASC;SG;3;PST;PASS
завершення	מסיים	завершення	סיים	N;INAN;NOM;NEUT;SG	V;MASC;SG;V.PTCP;ACT
завершення	מסיימים	завершення	סיים	N;INAN;NOM;NEUT;SG	V;MASC;PL;V.PTCP;ACT
завершення	מסיימת	завершення	סיים	N;INAN;NOM;NEUT;SG	V;FEM;SG;V.PTCP;ACT
речовини	חומר	речовина	חומר	N;INAN;NOM;FEM;PL	N;MASC;SG
забезпечує	מספק	забезпечувати	סיפק	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP;ACT
забезпечує	מספקת	забезпечувати	סיפק	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP;ACT
червоний	רד	червоний	רד	ADJ;NOM;MASC;SG	PROPN
червоний	אדומים	червоний	אדום	ADJ;NOM;MASC;SG	N;MASC;PL
червоний	אדומה	червоний	אדום	ADJ;NOM;MASC;SG	N;FEM;SG
фронт	קדמי	фронт	קדם	N;INAN;NOM;MASC;SG	PROPN
фронт	החזית	фронт	החזית	N;INAN;NOM;MASC;SG	ADV
фронт	לחזית	фронт	לחזית	N;INAN;NOM;MASC;SG	ADV
вибори	בחירות	вибори	בחירות	N;INAN;NOM	N;FEM;PL
вибори	בחירות	вибори	בחירות	N;INAN;NOM	N;FEM;PL
достатньо	מספקת	достатньо	סיפק	ADV	V;FEM;SG;V.PTCP;ACT
грі	gta	гра	gta	N;INAN;DAT;FEM;SG	PROPN
грі	גריס	гра	גריס	N;INAN;DAT;FEM;SG	PROPN
сучасний	מודרנית	сучасний	מודרני	ADJ;NOM;MASC;SG	ADV
сучасний	מודרניות	сучасний	מודרני	ADJ;NOM;MASC;SG	ADJ;FEM;PL
автора	מחבר	автор	מחבר	N;ANIM;NOM;MASC;SG	
автора	שחיבר	автор	שחיבר	N;ANIM;NOM;MASC;SG	PROPN
теми	הנושא	тема	הנושא	N;INAN;NOM;FEM;PL	
теми	נושא	тема	נושא	N;INAN;NOM;FEM;PL	N;MASC;SG
теми	נושא	тема	נושא	N;INAN;NOM;FEM;PL	N;MASC;SG
названо	בשם	назвати	בשם	V;PFV;IND;0;FIN	
названо	נחשף	назвати	נחשף	V;PFV;IND;0;FIN	V;MASC;SG;3;PST;MID
названо	חשף	назвати	חשף	V;PFV;IND;0;FIN	V;MASC;SG;3;PST;ACT
названо	התגלה	назвати	התגלה	V;PFV;IND;0;FIN	V;MASC;SG;3;PST
сучасна	עכשווית	сучасний	עכשווי	ADJ;NOM;FEM;SG	N;FEM;SG
століть	מאות	століття	מאות	N;INAN;GEN;NEUT;PL	NUM;FEM;PL
основу	שלד	основа	שלד	N;INAN;ACC;FEM;SG	PROPN
основу	השלד	основа	השלד	N;INAN;ACC;FEM;SG	
відповідь	תענה	відповідь	תענה	N;INAN;NOM;FEM;SG	V;FEM;SG;3;FUT
відповідь	ענה	відповідь	ענה	N;INAN;NOM;FEM;SG	V;MASC;SG;3;PST;ACT
відповідь	התשובה	відповідь	התשובה	N;INAN;NOM;FEM;SG	V;MASC;SG;3;PST
відповідь	השב	відповідь	השב	N;INAN;NOM;FEM;SG	
париж	פריס	париж	פריז	PROPN;INAN;NOM;MASC;SG	PROPN
париж	פריז	париж	פריז	PROPN;INAN;NOM;MASC;SG	PROPN
бій	הילחם	бій	הילחם	N;INAN;NOM;MASC;SG	PROPN
бій	להילחם	бій	נלחם	N;INAN;NOM;MASC;SG	V;NFIN;MID
виявлені	זוהו	виявлений	זוהו	ADJ;PFV;NOM;PL;V.PTCP;PASS	V;PL;3;PST;PASS
виявлені	זוהה	виявлений	זוהה	ADJ;PFV;NOM;PL;V.PTCP;PASS	V;MASC;SG;3;PST;PASS
