birdlife	birdlife	birdlife	birdlifa	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
perry	perry	perry	perry	PROPN	PROPN;NOM;FEM;SG
helene	helene	helene	helene	N;DEF;FEM;PL	N;NOM;FEM;SG
helene	helena	helene	helena	N;DEF;FEM;PL	N;NOM;FEM;SG
helene	helen	helene	helen	N;DEF;FEM;PL	PROPN;NOM;FEM;SG
hart	hart	hart	hart	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
opposisjon	opozície	opposisjon	opozícia	N;INDF;MASC;SG	N;NOM;FEM;PL
seven	siedmych	seve	siedmy	N;INDF;NEUT;SG	ADJ;ANIM;GEN;MASC;PL
seven	seven	seve	seven	N;INDF;NEUT;SG	PROPN;NOM;FEM;SG
seven	siedmich	seve	sedem	N;INDF;NEUT;SG	NUM;GEN;MASC;PL
seven	sedem	seve	sedem	N;INDF;NEUT;SG	NUM;NOM;NEUT;SG
farlige	nebezpečného	farlig	nebezpečný	ADJ;PL	ADJ;GEN;NEUT;SG
farlige	nebezpečná	farlig	nebezpečný	ADJ;PL	ADJ;NOM;FEM;SG
farlige	nebezpečný	farlig	bezpečný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
farlige	nebezpečné	farlig	nebezpečný	ADJ;PL	ADJ;NOM;NEUT;SG
sean	sean	sean	sean	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
anmeldelse	preskúmať	anmeldelse	preskúmať	N;INDF;MASC;SG	V;PFV;POS;NFIN
anmeldelse	skontrolovať	anmeldelse	skontrolovať	N;INDF;MASC;SG	V;PFV;POS;NFIN
konsekvens	následky	konsekvens	následok	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
konsekvens	dôsledky	konsekvens	dôsledok	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
hop	hop	hop	hop	N;INDF;MASC;SG	INTJ
aage	aage	aage	aage	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
pearl	pearl	pearl	pearl	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
negativt	negatívne	negativ	negatívne	ADJ;INDF;NEUT;SG	ADV
böhmen	čechách	böhm	čecha	N;INDF;MASC;SG	N;GEN;FEM;PL
irish	irish	irish	irish	N	PROPN;ANIM;NOM;MASC;SG
hrsg	hrsg	hrsg	hrsg	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
oval	oválne	oval	oválny	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
fis	prd	fis	prd	N;INDF;MASC;SG	INTJ
lagre	zachrániť	lagre	zachrániť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
lagre	save	lagre	sav	N;INDF;NEUT;SG	
lagre	uložiť	lagre	uložiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
lagre	ukladať	lagre	ukladať	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
deltagere	účastníkov	deltagere	účastník	N;INDF;MASC;SG	N;ANIM;ACC;MASC;PL
deltagere	účastníkmi	deltagere	účastník	N;INDF;MASC;SG	N;ANIM;INS;MASC;PL
deltagere	účastníci	deltagere	účastník	N;INDF;MASC;SG	N;ANIM;NOM;MASC;PL
oppfatter	vnímať	oppfatter	vnímať	N;INDF;FEM;PL	V;IPFV;POS;NFIN
oppfatter	vnímajú	oppfatter	vnímať	N;INDF;FEM;PL	V;IPFV;IND;PL;3;POS;PRS;FIN
orleans	orleans	orleans	orleans	N;INDF;MASC;SG	PROPN;INAN;NOM;MASC;SG
splittet	rozdelili	splitt	rozdeliť	N;DEF;NEUT;SG	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
splittet	rozdelená	splitt	rozdelený	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
splittet	rozdelený	splitt	rozdelený	N;DEF;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
splittet	rozdelené	splitt	rozdelený	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
varm	horúci	varm	horúci	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
varm	sexi	varm	sexi	ADJ;INDF;SG	N;NOM;FEM;SG
varm	hot	varm	hot	ADJ;INDF;SG	
varm	horúce	varm	horúci	ADJ;INDF;SG	ADJ;NOM;NEUT;PL
varm	teple	varm	teplo	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
varm	teplo	varm	teplo	ADJ;INDF;SG	N;NOM;NEUT;SG
helgen	víkendové	helg	víkendový	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
helgen	vikend	helg	vikend	N;INDF;MASC;SG	INTJ
helgen	svätá	helg	svätý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
helgen	svätý	helg	svätý	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
helgen	saint	helg	saint	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
aston	aston	aston	aston	N;INDF;SG	PROPN;ANIM;NOM;MASC;SG
mason	mason	mason	mason	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
xiv	xiv	xiv	xiv	N;INDF;MASC	NUM
gene	gene	gene	gena	N	PROPN;ANIM;NOM;MASC;SG
annie	annie	anni	anniť	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
ammunisjon	munície	ammunisjon	munícia	N;INDF;MASC;SG	N;NOM;FEM;PL
kiss	kiss	kiss	kiss	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
kiss	pobozkať	kiss	pobozkať	N;INDF;MASC;SG	V;PFV;POS;NFIN
eriksson	eriksson	eriksson	eriksson	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
annonsert	oznámil	annonsere	oznámiť	ADJ;INDF;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
annonsert	oznámila	annonsere	oznámiť	ADJ;INDF;SG;V.PTCP	V;PFV;FEM;SG;POS;PST;V.PTCP
annonsert	oznámili	annonsere	oznámiť	ADJ;INDF;SG;V.PTCP	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
frittstående	samostatnú	frittstående	samostatný	N;INDF;NEUT;SG	ADJ;ACC;FEM;SG
frittstående	samostatný	frittstående	samostatný	N;INDF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG
frittstående	samostatné	frittstående	samostatný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG
frittstående	samostatná	frittstående	samostatný	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
stabile	stabilné	stabil	stabilný	ADJ;PL	ADJ;NOM;NEUT;SG
stabile	stabilná	stabil	stabilný	ADJ;PL	ADJ;NOM;FEM;SG
stabile	stabilný	stabil	stabilný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
christoph	christoph	christoph	christu	N	PROPN;ANIM;NOM;MASC;SG
berit	berit	berit	berit	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
parentes	zátvorkách	parentes	zátvorka	N;INDF;NEUT;SG	N;GEN;FEM;PL
parentes	konzoly	parentes	konzol	N;INDF;NEUT;SG	N;NOM;FEM;PL
fornøyd	spokojnosť	fornøyd	spokojnosť	ADJ;INDF;SG	N;NOM;FEM;SG
fornøyd	spokojní	fornøyd	spokojný	ADJ;INDF;SG	ADJ;ANIM;NOM;MASC;PL
fornøyd	šťastne	fornøyd	šťastne	ADJ;INDF;SG	ADV
nettverket	siete	nettverk	sieť	N;DEF;NEUT;SG	N;NOM;FEM;PL
nettverket	sieťové	nettverk	sieťový	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG
cover	cover	cove	cover	N;INDF;MASC;SG	
cover	zakryť	cove	zakryť	N;INDF;MASC;SG	V;PFV;POS;NFIN
rolig	pokoj	rolig	pokoj	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
rolig	ľahko	rolig	ľahko	ADJ;INDF;NEUT;SG	ADV
rolig	easy	rolig	eas	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;SG
santo	santo	santo	santo	N;INDF;NEUT;SG	PROPN;INAN;NOM;MASC;SG
ryttere	jazdcov	ryttere	jazdec	V;NFIN	N;ANIM;ACC;MASC;PL
ryttere	jazdci	ryttere	jazdec	V;NFIN	N;ANIM;NOM;MASC;PL
ryttere	jazdcov	ryttere	jazdec	V;NFIN	N;ANIM;ACC;MASC;PL
ryttere	jazdci	ryttere	jazdec	V;NFIN	N;ANIM;NOM;MASC;PL
deltaker	súťažiaci	deltaker	súťažiaci	N;INDF;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
deltaker	účastník	deltaker	účastník	N;INDF;MASC;PL	N;ANIM;NOM;MASC;SG
deltaker	účastníka	deltaker	účastník	N;INDF;MASC;PL	N;ANIM;ACC;MASC;SG
hanssen	hanssen	hansse	hanssen	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
gjenopprettet	vrátené	gjenopprett	vrátený	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
gjenopprettet	vrátená	gjenopprett	vrátený	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
gjenopprettet	obnovené	gjenopprett	obnovený	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
gjenopprettet	obnovený	gjenopprett	obnovený	N;DEF;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
gjenopprettet	obnovená	gjenopprett	obnovený	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
forent	jednotná	forent	jednotný	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
forent	jednotné	forent	jednotný	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
forent	zjednotení	forent	zjednotenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
forent	jednotný	forent	jednotný	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
forent	united	forent	united	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
forent	zjednotená	forent	zjednotený	N;INDF;MASC;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
forent	zjednotení	forent	zjednotenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
forent	spojené	forent	spojený	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
utenlandsk	cudzích	utenlandsk	cudzí	ADJ;INDF;SG	ADJ;GEN;MASC;PL
randi	randi	randi	randi	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
lørenskog	lørenskog	lørenskog	lírensko	N;INDF;MASC;SG	ADV
nedgang	odmietnuť	nedgang	odmietnuť	N;INDF;MASC;SG	V;PFV;POS;NFIN
nedgang	zamietnuť	nedgang	zamietnuť	N;INDF;MASC;SG	V;PFV;POS;NFIN
nedgang	znižovať	nedgang	znižovať	N;INDF;MASC;SG	V;IPFV;POS;NFIN
nedgang	znížiť	nedgang	znížiť	N;INDF;MASC;SG	V;PFV;POS;NFIN
federation	federácie	federation	federácia	N;INDF;MASC;SG	N;NOM;FEM;PL
agnes	agnes	agnes	agnes	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
phillips	phillips	phillips	phillips	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
gata	street	gate	street	N;DEF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
powell	powell	powell	pohell	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
scotland	škótsko	scotland	škótsko	N;INDF;NEUT;SG	ADV
scotland	škótsku	scotland	škótsky	N;INDF;NEUT;SG	ADV
klatre	liezť	klatre	liezť	N;INDF;FEM;SG	V;IPFV;POS;NFIN
klatre	stúpania	klatre	stúpanie	N;INDF;FEM;SG	N;NOM;NEUT;PL
klatre	vyliezť	klatre	vyliezť	N;INDF;FEM;SG	V;PFV;POS;NFIN
personlighet	osobnosti	personlighet	osobnosť	N;INDF;FEM;SG	N;NOM;FEM;PL
stanset	zastavená	stanse	zastavený	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
stanset	prestalo	stanse	prestať	N;DEF;NEUT;SG	V;PFV;NEUT;SG;POS;PST;V.PTCP
stanset	zastavené	stanse	zastavený	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
stanset	zastavený	stanse	zastavený	N;DEF;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
sakte	pomaličky	sakte	pomaličky	ADJ;INDF;NEUT;SG	ADV
sakte	pomaly	sakte	pomaly	ADJ;INDF;NEUT;SG	ADV
halve	polovica	halv	polovica	ADJ;DEF;SG	N;NOM;FEM;SG
halve	polka	halv	polka	ADJ;DEF;SG	N;NOM;FEM;SG
halve	polovicu	halv	polovica	ADJ;DEF;SG	N;ACC;FEM;SG
skritt	krokov	skritt	krok	N;INDF;NEUT;SG	N;INAN;GEN;MASC;PL
skritt	schody	skritt	schod	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
skritt	kroky	skritt	krok	N;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
amanda	amanda	amand	amanda	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
nhm	nhm	nhm	my	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
søsteren	sister	søster	sister	N;DEF;MASC;SG	
bratt	strmé	bratt	strmý	ADJ;INDF;NEUT;SG	N;INAN;NOM;MASC;PL
rot	zakorenené	rot	zakorenený	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
røa	røa	røe	rvo	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
jennifer	jennifer	jennif	jennifer	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
kjerne	jadrom	kjerne	jadrý	N;INDF;MASC;SG	ADJ;INS;NEUT;SG
dømte	odsúdený	dømme	odsúdený	ADJ;PL;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
dømte	odsúdená	dømme	odsúdený	ADJ;PL;V.PTCP	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
dømte	posudzované	dømme	posudzovaný	ADJ;PL;V.PTCP	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
dømte	posudzoval	dømme	posudzovať	ADJ;PL;V.PTCP	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
dømte	súdený	dømme	súdený	ADJ;PL;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
opplevd	zažil	oppleve	zažiť	ADJ;INDF;NEUT;SG;V.PTCP	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
opplevd	skúsených	oppleve	skúsený	ADJ;INDF;NEUT;SG;V.PTCP	ADJ;ANIM;GEN;MASC;PL;POS;V.PTCP;PASS
opplevd	skúsenosti	oppleve	skúsenosť	ADJ;INDF;NEUT;SG;V.PTCP	N;NOM;FEM;PL
made	vyrobený	made	vyrobený	N;INDF;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
made	vyrobené	made	vyrobený	N;INDF;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
made	vyrobená	made	vyrobený	N;INDF;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
olivier	olivier	olivie	olivier	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
tjue	dvadsať	tjue	dvadsať	NUM;PL	NUM;NOM;NEUT;SG
tjue	twenty	tjue	twent	NUM;PL	N;INAN;NOM;MASC;SG
eksport	exportovať	eksport	exportovať	N;INDF;MASC;SG	V;IPFV;POS;NFIN
sonja	soňa	sonj	soňa	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
opprettholdt	udržiavané	oppretthold	udržiavaný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
opprettholdt	zachované	oppretthold	zachovaný	N;INDF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
opprettholdt	udržiavaná	oppretthold	udržiavaný	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
leon	leon	leon	leon	N;INDF;NEUT;SG	PROPN;ANIM;NOM;MASC;SG
mater	kŕmenia	mater	kŕmenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
jenny	jenny	jenny	jenny	N;INDF;FEM;SG	PROPN;NOM;FEM;SG
tsjekkiske	česká	tsjekkisk	česká	ADJ;PL	ADJ;NOM;FEM;SG
tsjekkiske	české	tsjekkisk	český	ADJ;PL	ADJ;NOM;NEUT;SG
tsjekkiske	czech	tsjekkisk	czech	ADJ;PL	
tsjekkiske	český	tsjekkisk	český	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
tsjekkiske	českého	tsjekkisk	český	ADJ;PL	ADJ;ANIM;GEN;MASC;SG
prinsen	prince	prins	princť	N;DEF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
skulpturer	sochy	skulpture	socha	N;INDF;MASC;SG	N;NOM;FEM;PL
skulpturer	sochy	skulpture	socha	N;INDF;MASC;SG	N;NOM;FEM;PL
brekke	rozbiť	brekke	rozbiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
brekke	zlomiť	brekke	zlomiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
grey	sivý	grey	sivý	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
grey	grey	grey	grey	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
grey	sivá	grey	sivý	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
grey	sivé	grey	sivý	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
innsiden	dovnútra	innside	dovnútra	N;DEF;MASC;SG	ADV
bryst	prsia	bryste	prsia	N;INDF;FEM;SG	N;NOM;NEUT;PL
bryst	prsníkov	bryste	prsník	N;INDF;FEM;SG	N;INAN;GEN;MASC;PL
bryst	prsia	bryste	prsia	N;INDF;FEM;SG	N;NOM;NEUT;PL
analyser	členenie	analyse	členenie	N;INDF;FEM;PL	N;NOM;NEUT;SG
analyser	analyzovať	analyse	analyzovať	N;INDF;FEM;PL	V;IPFV;POS;NFIN
analyser	analyzovať	analyse	analyzovať	N;INDF;FEM;PL	V;IPFV;POS;NFIN
analyser	analyzuje	analyse	analyzovať	N;INDF;FEM;PL	V;IPFV;IND;SG;3;POS;PRS;FIN
hersket	vládol	herske	vládnuť	N;DEF;NEUT;SG	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
hersket	rozhodol	herske	rozhodnúť	N;DEF;NEUT;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
sørger	smúti	sørge	smúť	V;IND;PRS;FIN	N;NOM;MASC;SG
sørger	smútku	sørge	smútok	V;IND;PRS;FIN	N;INAN;GEN;MASC;SG
sørger	smútok	sørge	smútok	V;IND;PRS;FIN	N;INAN;NOM;MASC;SG
sådan	takéto	sådan	takýto	N;INDF;MASC;SG	DET;NOM;NEUT;SG
sådan	takáto	sådan	takýto	N;INDF;MASC;SG	DET;NOM;FEM;SG
sådan	takých	sådan	taký	N;INDF;MASC;SG	DET;ANIM;GEN;MASC;PL
sådan	také	sådan	taký	N;INDF;MASC;SG	DET;NOM;NEUT;SG
krysse	krížová	krysse	krížový	V;NFIN	ADJ;NOM;FEM;SG
krysse	cross	krysse	cross	V;NFIN	PROPN;ANIM;NOM;MASC;SG
krysse	kríž	krysse	kríž	V;NFIN	N;INAN;NOM;MASC;SG
krysse	krížové	krysse	krížový	V;NFIN	ADJ;NOM;NEUT;SG
låt	song	låt	song	N;INDF;MASC;SG	
serbiske	srb	serbisk	srb	ADJ;PL	PROPN;ANIM;NOM;MASC;SG
serbiske	srbská	serbisk	srbský	ADJ;PL	ADJ;NOM;FEM;SG
serbiske	srbskom	serbisk	srbský	ADJ;PL	ADJ;INS;NEUT;SG
serbiske	srbskej	serbisk	srbský	ADJ;PL	ADJ;GEN;FEM;SG
presenterer	zavádzanie	presentere	zavádzanie	V;IND;PRS;FIN	N;NOM;NEUT;SG
presenterer	zavedenie	presentere	zavedenie	V;IND;PRS;FIN	N;NOM;NEUT;SG
presenterer	zavedení	presentere	zavedenie	V;IND;PRS;FIN	N;NOM;NEUT;PL
ghana	ghana	ghan	ghan	PROPN	N;NOM;FEM;SG
forhindret	zabránila	forhindr	zabrániť	N;DEF;NEUT;SG	V;PFV;FEM;SG;POS;PST;V.PTCP
forhindret	zabránili	forhindr	zabrániť	N;DEF;NEUT;SG	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
forhindret	zabránilo	forhindr	zabrániť	N;DEF;NEUT;SG	V;PFV;NEUT;SG;POS;PST;V.PTCP
forhindret	zabránil	forhindr	zabrániť	N;DEF;NEUT;SG	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
tallinn	tallinne	tallinn	tallinne	N;INDF;NEUT;SG	ADV
stafetten	relé	stafett	relý	N;DEF;MASC;SG	N;NOM;FEM;PL
rapporter	hlásiť	rapport	hlásiť	N;INDF;NEUT;SG	V;IPFV;POS;NFIN
rapporter	nahlásiť	rapport	nahlásiť	N;INDF;NEUT;SG	V;PFV;POS;NFIN
rapporter	hlásenia	rapport	hlásenie	N;INDF;NEUT;SG	N;NOM;NEUT;PL
rapporter	správ	rapport	správa	N;INDF;NEUT;SG	N;GEN;FEM;PL
rapporter	správy	rapport	správa	N;INDF;NEUT;SG	N;NOM;FEM;PL
romantisk	romantik	romantisk	romantik	ADJ;INDF;NEUT;SG	N;ANIM;NOM;MASC;SG
romantisk	romantika	romantisk	romantika	ADJ;INDF;NEUT;SG	N;NOM;FEM;SG
kosovo	kosova	kosovo	kosova	PROPN	N;INAN;GEN;MASC;SG
kosovo	kosovo	kosovo	kosovo	PROPN	N;NOM;MASC;SG
mind	mysel	mind	mysieť	N;INDF;SG	INTJ
mind	nazor	mind	nazor	N;INDF;SG	INTJ
begrense	obmedzovať	begrense	obmedzovať	N;INDF;MASC;SG	V;IPFV;POS;NFIN
begrense	obmedziť	begrense	obmedziť	N;INDF;MASC;SG	V;PFV;POS;NFIN
begrense	obmedzujúce	begrense	obmedzujúci	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;ACT
please	prosim	please	prosim	N;INDF;MASC;SG	INTJ
please	poprosím	please	poprosiť	N;INDF;MASC;SG	V;PFV;IND;SG;1;POS;PRS;FIN
please	prosím	please	prosiť	N;INDF;MASC;SG	V;IPFV;IND;SG;1;POS;PRS;FIN
biologi	biológie	biologi	biológia	N;INDF;MASC;SG	N;NOM;FEM;PL
søstre	sestrami	søstre	sestra	ADJ;PL	N;INS;FEM;PL
søstre	sestier	søstre	sestier	ADJ;PL	N;NOM;FEM;PL
søstre	sestry	søstre	sestra	ADJ;PL	N;NOM;FEM;PL
bestemmelser	nariadenia	bestemmelse	nariadenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
bestemmelser	predpisy	bestemmelse	predpis	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
bestemmelser	nariadení	bestemmelse	nariadenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
bestemmelser	regulácie	bestemmelse	regulácia	N;INDF;MASC;SG	N;NOM;FEM;PL
bestemmelser	ustanovenia	bestemmelse	ustanovenie	N;INDF;MASC;SG	N;NOM;NEUT;PL
bestemmelser	rezervy	bestemmelse	rezerva	N;INDF;MASC;SG	N;NOM;FEM;PL
munnen	papule	munn	papuľa	N;DEF;MASC;SG	N;NOM;FEM;PL
munnen	ústa	munn	ústa	N;DEF;MASC;SG	N;NOM;NEUT;PL
verdensbasis	celosvetové	verdensbasis	celosvetový	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
verdensbasis	celosvetovo	verdensbasis	celosvetov	N;INDF;MASC;SG	ADV
verdensbasis	celosvetová	verdensbasis	celosvetový	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
verdensbasis	celosvetový	verdensbasis	celosvetový	N;INDF;MASC;SG	ADJ;INAN;NOM;MASC;SG
cameron	cameron	cameron	cameron	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
rasende	zúrivý	rasende	zúrivý	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG
rasende	zbesilo	rasende	zbesiť	N;INDF;MASC;SG	V;PFV;NEUT;SG;POS;PST;V.PTCP
rasende	rozzúrený	rasende	rozzúrený	N;INDF;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
ofre	obetí	ofre	obetie	V;NFIN	N;NOM;NEUT;PL
ofre	obete	ofre	obete	V;NFIN	N;INAN;NOM;MASC;PL
siri	siri	siri	siri	N;INDF;FEM;SG	PROPN;ANIM;NOM;MASC;SG
isle	isle	isle	isle	N	PROPN;ANIM;NOM;MASC;SG
sitteplasser	sedenie	sitteplasse	sedenie	N;INDF;FEM;PL	N;NOM;NEUT;SG
kjøper	kupujúceho	kjøpe	kupujúci	V;IND;PRS;FIN	ADJ;ANIM;GEN;MASC;SG;POS;V.PTCP;ACT
kjøper	kupujúci	kjøpe	kupujúci	V;IND;PRS;FIN	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;ACT
kjøper	kupec	kjøpe	kupec	V;IND;PRS;FIN	N;ANIM;NOM;MASC;SG
kjøper	nákup	kjøpe	nákup	V;IND;PRS;FIN	N;INAN;NOM;MASC;SG
kjøper	kúpa	kjøpe	kúp	V;IND;PRS;FIN	N;NOM;FEM;SG
uka	tyzden	uka	tyzden	N;INDF;MASC;SG	INTJ
offer	obeť	offer	obeť	N;INDF;NEUT;PL	N;NOM;FEM;SG
offer	obeťou	offer	obeť	N;INDF;NEUT;PL	N;INS;FEM;SG
avhenger	zalezi	avhenger	zalez	V;IND;PRS;FIN	
pat	pat	pat	pat	N;INDF;MASC;SG	PROPN;ANIM;NOM;MASC;SG
holmes	holmes	holmes	holmes	N;INDF;MASC;SG	PROPN;NOM;FEM;SG
testet	testovaný	test	testovaný	N;DEF;NEUT;SG	ADJ;INAN;NOM;MASC;SG;POS;V.PTCP;PASS
testet	skúša	test	skúša	N;DEF;NEUT;SG	V;IPFV;IND;SG;3;POS;PRS;FIN
testet	testovaná	test	testovaný	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
testet	testované	test	testovaný	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
testet	skúšaný	test	skúšaný	N;DEF;NEUT;SG	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
besøke	návšteva	besøke	návšteva	V;NFIN	N;NOM;FEM;SG
besøke	návštevy	besøke	návšteva	V;NFIN	N;NOM;FEM;PL
besøke	návštevu	besøke	návšteva	V;NFIN	N;ACC;FEM;SG
væske	tekutín	væske	tekutín	N;INDF;FEM;SG	N;GEN;FEM;PL
væske	kvapalný	væske	kvapalný	N;INDF;FEM;SG	ADJ;INAN;NOM;MASC;SG
væske	kvapalné	væske	kvapalný	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
væske	tekuté	væske	tekutý	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
materiell	materiál	materiell	materiál	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
materiell	materiály	materiell	materiál	ADJ;INDF;SG	N;INAN;NOM;MASC;PL
materiell	materiál	materiell	materiál	ADJ;INDF;SG	N;INAN;NOM;MASC;SG
materiell	materiálov	materiell	materiál	ADJ;INDF;SG	N;INAN;GEN;MASC;PL
falske	falošné	falsk	falošný	ADJ;PL	ADJ;NOM;NEUT;SG
falske	falošný	falsk	falošný	ADJ;PL	ADJ;ANIM;NOM;MASC;SG
