من	кой	مِن	кой	ADP	PRO;NOM;MASC;SG
مفهوم	разбрано	مَفهُوم	разбера-(се)	N;NOM;INDF;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
قديمة	старо	قَدِيم	стар	ADJ;NOM;INDF;FEM;SG	ADV
قديمة	стари	قَدِيم	стар	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;PL
جورجيا	джорджия	جُورجِيَا	джорджия		N;INDF;FEM;SG
جورجيا	грузия	جُورجِيَا	груз		PROPN;INDF;FEM;SG
ثنائي	двоичен	ثُنَائِيّ	двоичен	ADJ;NOM;INDF;MASC;SG	N;INDF;MASC;SG
ثنائي	двойка	ثُنَائِيّ	двойка	ADJ;NOM;INDF;MASC;SG	N;INDF;FEM;SG
التونسية	тунис	تُونِسِيّ	тунис	ADJ;NOM;DEF;FEM;SG	N;INDF;MASC;SG
وطنية	патриотично	وَطَنِيّ	патриотичен	ADJ;NOM;INDF;FEM;SG	ADV
وطنية	национални	وَطَنِيّ	национален	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;PL
وطنية	национално	وَطَنِيّ	национален	ADJ;NOM;INDF;FEM;SG	ADV
وطنية	патриотизъм	وَطَنِيّ	патриотизъм	ADJ;NOM;INDF;FEM;SG	N;INDF;MASC;SG
قياس	измервания	قِيَاس	измерване	N;NOM;INDF;SG	N;INDF;NEUT;PL
شعبية	популярно	شَعبِيَّة	популярен	N;NOM;INDF;SG	ADV
شعبية	популярен	شَعبِيَّة	популярен	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
شعبية	популярна	شَعبِيَّة	популярен	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
شعبية	популярни	شَعبِيَّة	популярен	N;NOM;INDF;SG	ADJ;INDF;PL
تسبب	причинявайки	تَسَبَّب	причинявам	V;PFV;MASC;SG;3;ACT	ADV
تسبب	причиняване	تَسَبَّب	причиняване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
سليم	слим	سليم	слим		PROPN;INDF;MASC;SG
النبات	растение	نَبَات	растение	N;NOM;DEF;SG	N;INDF;NEUT;SG
النبات	растителна	نَبَات	растителен	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
النبات	завод	نَبَات	завод	N;NOM;DEF;SG	N;INDF;MASC;SG
بطل	шампиона	بَطَل	шампион	N;NOM;INDF;SG	N;DEF;MASC;SG
علمية	научни	عِلمِيّ	научен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;PL
علمية	научно	عِلمِيّ	научно	ADJ;NOM;INDF;FEM;SG	ADV
الاتصالات	комуникации	اِتِّصَال	комуникация	N;NOM;DEF;PL	N;INDF;FEM;PL
الاتصالات	контакти	اِتِّصَال	контакт	N;NOM;DEF;PL	N;INDF;MASC;PL
الاتصالات	комуникация	اِتِّصَال	комуникация	N;NOM;DEF;PL	N;INDF;FEM;SG
الاتصالات	общуване	اِتِّصَال	общуване	N;NOM;DEF;PL	N;INDF;NEUT;SG
الاتصالات	съобщаване	اِتِّصَال	съобщаване	N;NOM;DEF;PL	N;INDF;NEUT;SG
الاتصالات	комуникации	اِتِّصَال	комуникация	N;NOM;DEF;PL	N;INDF;FEM;PL
الفوز	победи	فَوز	победа	N;NOM;DEF;SG	N;INDF;FEM;PL
الفوز	печеля	فَوز	печеля	N;NOM;DEF;SG	V;IPFV;IND;SG;1;PRS;FIN;ACT
الفوز	спечели	فَوز	спечеля	N;NOM;DEF;SG	V;PFV;IND;SG;3;PST;FIN;ACT
الفوز	печелиш	فَوز	печеля	N;NOM;DEF;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
الفوز	победа	فَوز	победа	N;NOM;DEF;SG	N;INDF;FEM;SG
الملكة	царица	مَلِكَة	царица	N;NOM;DEF;SG	N;INDF;FEM;SG
الملكة	кралица	مَلِكَة	кралица	N;NOM;DEF;SG	N;INDF;FEM;SG
بالرغم	макар	بِ	макар	N;NOM;DEF;SG	ADP
المجموعات	колекции	مَجمُوعَة	колекция	N;NOM;DEF;PL	N;INDF;FEM;PL
المجموعات	групи	مَجمُوعَة	група	N;NOM;DEF;PL	N;INDF;FEM;PL
مسلمون	мюсюлманите	مُسلِم	мюсюлманин	N;NOM;INDF;PL	N;DEF;MASC;PL
المقاومة	съпротива	مُقَاوَمَة	съпротива	N;NOM;DEF;SG	N;INDF;FEM;SG
المقاومة	резистентност	مُقَاوَمَة	резистентност	N;NOM;DEF;SG	N;INDF;FEM;SG
المقاومة	устойчивост	مُقَاوَمَة	устойчивост	N;NOM;DEF;SG	N;INDF;FEM;SG
المقاومة	съпротивление	مُقَاوَمَة	съпротивление	N;NOM;DEF;SG	N;INDF;NEUT;SG
دراما	драмата	دِرَامَا	драма	N;NOM;INDF;PL	N;DEF;FEM;SG
دراما	драма	دِرَامَا	драма	N;NOM;INDF;PL	N;INDF;FEM;SG
سقوط	падаща	سُقُوط	падам-(се)	N;NOM;INDF;SG	ADJ;IPFV;INDF;FEM;SG;PRS;V.PTCP;ACT
سقوط	падащи	سُقُوط	падам-(се)	N;NOM;INDF;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
سقوط	падащ	سُقُوط	падам-(се)	N;NOM;INDF;SG	ADJ;IPFV;INDF;MASC;SG;PRS;V.PTCP;ACT
سقوط	есента	سُقُوط	есен	N;NOM;INDF;SG	N;DEF;FEM;SG
الحاج	хаджи	الحاج	хаджи		N;INDF;MASC;SG
الروسي	руснак	رُوسِيّ	руснак	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;SG
الروسي	руски	رُوسِيّ	руски	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
الروسي	руснаци	رُوسِيّ	руснак	ADJ;NOM;DEF;MASC;SG	N;INDF;MASC;PL
الروسي	руска	رُوسِيّ	руски	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
الروسي	руско	رُوسِيّ	руско	ADJ;NOM;DEF;MASC;SG	ADV
مصطلحات	терминология	مُصطَلَح	терминология	N;NOM;INDF;PL	N;INDF;FEM;SG
الدستور	конституция	دُستُور	конституция	N;NOM;DEF;SG	N;INDF;FEM;SG
التقنية	технически	تَقنِيَّة	технически	N;NOM;DEF;SG	ADV
التقنية	техническа	تَقنِيَّة	технически	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
التقنية	техническо	تَقنِيَّة	технически	N;NOM;DEF;SG	ADV
التقنية	тех	تَقنِيَّة	аз	N;NOM;DEF;SG	PROPN;INDF;MASC;SG
التقنية	техника	تَقنِيَّة	техника	N;NOM;DEF;SG	N;INDF;FEM;SG
التقنية	технология	تَقنِيَّة	технология	N;NOM;DEF;SG	N;INDF;FEM;SG
التقنية	технологии	تَقنِيَّة	технология	N;NOM;DEF;SG	N;INDF;FEM;PL
الجلد	кожен	جَلد	кожен	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
الجلد	кожи	جَلد	кожа	N;NOM;DEF;SG	N;INDF;FEM;PL
الجلد	кожа	جَلد	кожа	N;NOM;DEF;SG	N;INDF;FEM;SG
الجلد	кожена	جَلد	кожен	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
الجلد	кожа	جَلد	кожа	N;NOM;DEF;SG	N;INDF;FEM;SG
الصحراء	сахара	صَحرَاء	сахар	N;NOM;DEF;SG	N;INDF;FEM;SG
الصحراء	пустиня	صَحرَاء	пустиня	N;NOM;DEF;SG	N;INDF;FEM;SG
ديفيد	дейвид	دِيفِيد	дейвид		PROPN;INDF;MASC;SG
ديفيد	давид	دِيفِيد	давид		N;INDF;MASC;SG
الوزن	тегло	وَزن	тегло	N;NOM;DEF;SG	N;INDF;NEUT;SG
الوزن	тежест	وَزن	тежест	N;NOM;DEF;SG	N;INDF;FEM;SG
التصويت	гласувайте	تَصوِيت	гласувам	N;NOM;DEF;SG	V;IPFV;IMP;PL;2;FIN
التصويت	вот	تَصوِيت	вот	N;NOM;DEF;SG	N;INDF;MASC;SG
التصويت	гласуване	تَصوِيت	гласуване	N;NOM;DEF;SG	N;INDF;NEUT;SG
التصويت	гласуване	تَصوِيت	гласуване	N;NOM;DEF;SG	N;INDF;NEUT;SG
ماري	мери	مَارِي	меря-(се)		N;INDF;FEM;SG
تعليم	преподаването	تَعلِيم	преподаване	N;NOM;INDF;SG	N;DEF;NEUT;SG
القرار	решение	قَرَار	решение	N;NOM;DEF;SG	N;INDF;NEUT;SG
القرار	резолюция	قَرَار	резолюция	N;NOM;DEF;SG	N;INDF;FEM;SG
شعب	разделения	شَعب	разделение	N;NOM;INDF;SG	N;INDF;NEUT;PL
شعب	участъци	شَعب	участък	N;NOM;INDF;SG	N;INDF;MASC;PL
شعب	дивизии	شَعب	дивизия	N;NOM;INDF;SG	N;INDF;FEM;PL
سيارة	колата	سَيَّارَة	кола	N;NOM;INDF;SG	N;DEF;FEM;SG
الجماعة	събор	جَمَاعَة	събор	N;NOM;DEF;SG	N;INDF;MASC;SG
الجماعة	общност	جَمَاعَة	общност	N;NOM;DEF;SG	N;INDF;FEM;SG
الجماعة	родство	جَمَاعَة	родство	N;NOM;DEF;SG	N;INDF;NEUT;SG
برشلونة	барса	برشلونة	барса		N;DEF;MASC;SG
برشلونة	барселона	برشلونة	барселон		N;INDF;FEM;SG
النظرية	теорията	نَظَرِيَّة	теория		N;DEF;FEM;SG
النظرية	теория	نَظَرِيَّة	теория		N;INDF;FEM;SG
الديمقراطي	демократично	دِيمُقرَاطِيّ	демократичен	N;NOM;DEF;SG	ADV
الديمقراطي	демократичен	دِيمُقرَاطِيّ	демократичен	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
الديمقراطي	демократични	دِيمُقرَاطِيّ	демократичен	N;NOM;DEF;SG	ADJ;INDF;PL
الديمقراطي	демократична	دِيمُقرَاطِيّ	демократичен	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
الديمقراطي	демократ	دِيمُقرَاطِيّ	демократ	N;NOM;DEF;SG	N;INDF;MASC;SG
المنتج	продукт	مُنتَج	продукт	N;NOM;DEF;SG	N;INDF;MASC;SG
المنتج	продукти	مُنتَج	продукт	N;NOM;DEF;SG	N;INDF;MASC;PL
المنتج	продуцент	مُنتَج	продуцент	N;NOM;DEF;SG	N;INDF;MASC;SG
المنتج	производител	مُنتَج	производител	N;NOM;DEF;SG	N;INDF;MASC;SG
القديس	сейнт	قِدِّيس	сейнт	N;NOM;DEF;SG	N;INDF;MASC;SG
القديس	свети	قِدِّيس	свет	N;NOM;DEF;SG	N;INDF;MASC;SG
القديس	светица	قِدِّيس	светица	N;NOM;DEF;SG	N;INDF;FEM;SG
القديس	светец	قِدِّيس	светец	N;NOM;DEF;SG	N;INDF;MASC;SG
ليلة	нощта	لَيلَة	нощ	N;NOM;INDF;SG	N;DEF;FEM;SG
التصميم	оформление	تَصمِيم	оформление	N;NOM;DEF;SG	N;INDF;NEUT;SG
التصميم	подредба	تَصمِيم	подредба	N;NOM;DEF;SG	N;INDF;FEM;SG
التصميم	проектиране	تَصمِيم	проектиране	N;NOM;DEF;SG	N;INDF;NEUT;SG
التصميم	дизайн	تَصمِيم	дизайн	N;NOM;DEF;SG	N;INDF;MASC;SG
حجة	аргументи	حُجَّة	аргумент	N;NOM;INDF;SG	N;INDF;MASC;PL
الفصيلة	взвод	الفصيلة	взвод	N;NOM;DEF;SG	N;INDF;MASC;SG
المهمة	задача	مَهَمَّة	задача	N;NOM;DEF;SG	N;INDF;FEM;SG
المهمة	мисия	مَهَمَّة	мисия	N;NOM;DEF;SG	N;INDF;FEM;SG
بحث	търси	بَحَث	търся	V;PFV;MASC;SG;3;ACT	V;IPFV;IMP;SG;3;PRS;FIN
بحث	търсене	بَحَث	търсене	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
بحث	проучване	بَحَث	проучване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
بحث	проучвания	بَحَث	проучване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;PL
بحث	изследване	بَحَث	изследване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
بحث	изследвания	بَحَث	изследване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;PL
غالبا	често	غَالِب	често	ADJ;ACC;INDF;MASC;SG	ADV
غالبا	предимно	غَالِب	предимно	ADJ;ACC;INDF;MASC;SG	ADV
غالبا	главно	غَالِب	главно	ADJ;ACC;INDF;MASC;SG	ADV
الجنس	секс	جِنس	секс	N;NOM;DEF;SG	N;INDF;MASC;SG
الرعاية	спонсорство	رِعَايَة	спонсорство	N;NOM;DEF;SG	N;INDF;NEUT;SG
الرعاية	грижи	رِعَايَة	грижа	N;NOM;DEF;SG	N;INDF;FEM;PL
الرعاية	грижа	رِعَايَة	грижа	N;NOM;DEF;SG	N;INDF;FEM;SG
الحقيقة	истина	حَقِيقَة	истина	N;NOM;DEF;SG	N;INDF;FEM;SG
الحجم	обем	حَجم	обем	N;NOM;DEF;SG	N;INDF;MASC;SG
الحجم	размери	حَجم	размер	N;NOM;DEF;SG	N;INDF;MASC;PL
الحجم	големина	حَجم	големина	N;NOM;DEF;SG	N;INDF;FEM;SG
الحجم	размер	حَجم	размер	N;NOM;DEF;SG	N;INDF;MASC;SG
تصوير	фотографията	تَصوِير	фотография	N;NOM;INDF;SG	N;DEF;FEM;SG
شيخ	шейх	شَيخ	шейх	N;NOM;INDF;SG	PROPN;INDF;MASC;SG
تقدر	оценена	قَدَّر	оценя	V;IPFV;FEM;IND;SG;3;FIN;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
تقدر	оценен	قَدَّر	оценя	V;IPFV;FEM;IND;SG;3;FIN;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
يذكر	споменава	ذَكَر	споменавам	V;IPFV;MASC;IND;SG;3;FIN;PASS	V;IPFV;IND;SG;3;PRS;FIN;ACT
منتج	продукти	مُنتَج	продукт	N;NOM;INDF;SG	N;INDF;MASC;PL
كيلومتر	километър	كيلومتر	километър		N;INDF;MASC;SG
كمال	камал	كمال	камал		N;INDF;MASC;SG
كمال	съвършенството	كمال	съвършенство		N;DEF;NEUT;SG
كمال	съвършенство	كمال	съвършенство		N;INDF;NEUT;SG
كمال	кемал	كمال	кемал		N;INDF;MASC;SG
حمض	киселина	حَمض	киселина		N;INDF;FEM;SG
انتشار	разпространява	اِنتِشَار	разпространявам-(се)	N;NOM;INDF;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
انتشار	разпространението	اِنتِشَار	разпространение	N;NOM;INDF;SG	N;DEF;NEUT;SG
النقاش	дискусия	النقاش	дискусия		N;INDF;FEM;SG
النقاش	обсъждания	النقاش	обсъждане		N;INDF;NEUT;PL
النقاش	дискусии	النقاش	дискусия		N;INDF;FEM;PL
النقاش	обсъждане	النقاش	обсъждане		N;INDF;NEUT;SG
النقاش	разискване	النقاش	разискване		N;INDF;NEUT;SG
النقاش	разисквания	النقاش	разискване		N;INDF;NEUT;PL
النقاش	дебат	النقاش	дебат		N;INDF;MASC;SG
النقاش	дебати	النقاش	дебат		N;INDF;MASC;PL
سابقا	досега	سَابِق	досега	ADJ;ACC;INDF;MASC;SG	ADV
المدني	гражданско	مَدَنِيّ	граждански	ADJ;NOM;DEF;MASC;SG	ADV
المدني	граждански	مَدَنِيّ	граждански	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
المدني	гражданска	مَدَنِيّ	граждански	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
المدني	цивилен	مَدَنِيّ	цивилен	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
المدني	цивилна	مَدَنِيّ	цивилен	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
المدني	цивилни	مَدَنِيّ	цивилен	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;PL
المدني	гражданско	مَدَنِيّ	граждански	ADJ;NOM;DEF;MASC;SG	ADV
المدني	граждански	مَدَنِيّ	граждански	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
المدني	гражданска	مَدَنِيّ	граждански	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
دكتور	лекар	دُكتُور	лекар		N;INDF;MASC;SG
دكتور	докторе	دُكتُور	доктор		N;INDF;MASC;SG
يعيش	живи	عَاش	жив	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;INDF;PL
يعيش	жива	عَاش	жив	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;INDF;FEM;SG
يعيش	live	عَاش	live	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ
يعيش	жив	عَاش	жив	V;IPFV;MASC;IND;SG;3;FIN;ACT	ADJ;INDF;MASC;SG
يعيش	живей	عَاش	живей	V;IPFV;MASC;IND;SG;3;FIN;ACT	V;IPFV;IMP;SG;2;FIN
مسلم	мюсюлмански	مُسلِم	мюсюлмански	N;NOM;INDF;SG	ADJ;INDF;MASC;SG
مسلم	мюсюлмани	مُسلِم	мюсюлманин	N;NOM;INDF;SG	N;INDF;MASC;PL
مسلم	мюсюлманска	مُسلِم	мюсюлмански	N;NOM;INDF;SG	ADJ;INDF;FEM;SG
الجولة	турне	جَولَة	турне	N;NOM;DEF;SG	N;INDF;NEUT;SG
الجولة	обиколка	جَولَة	обиколка	N;NOM;DEF;SG	N;INDF;FEM;SG
الجولة	тур	جَولَة	тур	N;NOM;DEF;SG	N;INDF;MASC;SG
الجولة	кръгла	جَولَة	кръгъл	N;NOM;DEF;SG	N;INDF;FEM;SG
الجولة	кръгли	جَولَة	кръгъл	N;NOM;DEF;SG	ADJ;INDF;PL
الجولة	рунд	جَولَة	рунд	N;NOM;DEF;SG	N;INDF;MASC;SG
الجولة	кръгло	جَولَة	кръг	N;NOM;DEF;SG	ADV
الجولة	кръг	جَولَة	кръг	N;NOM;DEF;SG	N;INDF;MASC;SG
مبارك	честито	مبارك	чести		N;DEF;NEUT;PL
مبارك	поздравления	مبارك	поздравлен		N;INDF;NEUT;PL
مبارك	благословено	مبارك	благословено		ADV
مبارك	благословен	مبارك	благословен		ADJ;INDF;MASC;SG
مبارك	благословена	مبارك	благословен		ADJ;INDF;FEM;SG
مبارك	благословени	مبارك	благословен		ADJ;INDF;PL
مؤسس	създател	مُؤَسِّس	създател		N;INDF;MASC;SG
مؤسس	основателят	مُؤَسِّس	основател		N;DEF;MASC;SG
مؤسس	основател	مُؤَسِّس	основател		N;INDF;MASC;SG
نظم	системи	نَظَّم	система	V;PFV;MASC;SG;3;ACT	N;INDF;FEM;PL
عسكري	военно	عَسكَرِيّ	военен	ADJ;NOM;INDF;MASC;SG	ADV
عسكري	военни	عَسكَرِيّ	военен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
المزيد	повече	مَزِيد	повече	N;NOM;DEF;SG	ADV;INDF;PL
المزيد	още	مَزِيد	още	N;NOM;DEF;SG	ADV
كاملة	пълни	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;PL
كاملة	пълно	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADV
كاملة	пълно	كَامِل	пълен	ADJ;NOM;INDF;FEM;SG	ADV
كاملة	завършен	كَامِل	завърша	ADJ;NOM;INDF;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
كاملة	завършено	كَامِل	завърша	ADJ;NOM;INDF;FEM;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
منصور	мансур	منصور	мансур		N;INDF;MASC;SG
الذهبي	златен	ذَهَبِيّ	златен	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;MASC;SG
الذهبي	златни	ذَهَبِيّ	златен	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;PL
الذهبي	златно	ذَهَبِيّ	златен	ADJ;NOM;DEF;MASC;SG	ADV
الذهبي	златна	ذَهَبِيّ	златен	ADJ;NOM;DEF;MASC;SG	ADJ;INDF;FEM;SG
بدء	започнете	بَدء	започна	N;NOM;INDF;SG	V;PFV;IMP;PL;2;FIN
الصحافة	преса	صَحَافَة	преса	N;NOM;DEF;SG	N;INDF;FEM;SG
الصحافة	натиснете	صَحَافَة	натисна	N;NOM;DEF;SG	V;PFV;IMP;PL;2;FIN
الصحافة	натисни	صَحَافَة	натисен	N;NOM;DEF;SG	V;PFV;IMP;SG;2;FIN
الصحافة	журналистика	صَحَافَة	журналистика	N;NOM;DEF;SG	N;INDF;FEM;SG
العظيم	страхотно	عَظِيم	страхотно	ADJ;NOM;DEF;MASC;SG	ADV
صحيح	правилно	صَحِيح	правилно	ADJ;NOM;INDF;MASC;SG	ADV
صحيح	истина	صَحِيح	истина	ADJ;NOM;INDF;MASC;SG	N;INDF;FEM;SG
صحيح	верни	صَحِيح	верен	ADJ;NOM;INDF;MASC;SG	ADJ;INDF;PL
صحيح	вярно	صَحِيح	верен	ADJ;NOM;INDF;MASC;SG	ADV
رسوم	хонорар	رَسم	хонорар	N;NOM;INDF;PL	N;INDF;MASC;SG
رسوم	такса	رَسم	такса	N;NOM;INDF;PL	N;INDF;FEM;SG
القيمة	стойност	قِيمَة	стойност	N;NOM;DEF;SG	N;INDF;FEM;SG
الشيعة	шиити	شِيعَة	шиита	N;NOM;DEF;SG	N;INDF;MASC;PL
الشيعة	шая	شِيعَة	шая	N;NOM;DEF;SG	N;INDF;MASC;SG
مستقلة	независими	مُستَقِلّ	независим	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;PL
مستقلة	автономни	مُستَقِلّ	автономен	ADJ;NOM;INDF;FEM;SG	ADJ;INDF;PL
قرر	решено	قَرَّر	реша	V;PFV;MASC;SG;3;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
قرر	решете	قَرَّر	реша	V;PFV;MASC;SG;3;ACT	V;PFV;IMP;PL;2;FIN
الاستخدام	използване	اِستِخدَام	използване	N;NOM;DEF;SG	N;INDF;NEUT;SG
الاستخدام	употреба	اِستِخدَام	употреба	N;NOM;DEF;SG	N;INDF;FEM;SG
الاستخدام	използване	اِستِخدَام	използване	N;NOM;DEF;SG	N;INDF;NEUT;SG
الاستخدام	употреба	اِستِخدَام	употреба	N;NOM;DEF;SG	N;INDF;FEM;SG
الاستخدام	използвайте	اِستِخدَام	използвам	N;NOM;DEF;SG	V;IPFV;IMP;PL;2;FIN
مايكل	майкъл	مَايكِل	майкъл		PROPN;INDF;MASC;SG
تحول	превръщане	تَحَوَّل	превръщане	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
تحول	преобразуване	تَحَوَّل	преобразуване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
تحول	трансформира	تَحَوَّل	трансформирам	V;PFV;MASC;SG;3;ACT	V;IPFV;IND;SG;3;PRS;FIN;ACT
تحول	преобразуване	تَحَوَّل	преобразуване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
تحول	трансформация	تَحَوَّل	трансформация	V;PFV;MASC;SG;3;ACT	N;INDF;FEM;SG
تحول	преобразяване	تَحَوَّل	преобразяване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
تحول	преобразуване	تَحَوَّل	преобразуване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
البابا	папата	البابا	папа		N;DEF;MASC;SG
البابا	папа	البابا	пап		N;INDF;MASC;SG
البابا	поуп	البابا	поуп		N;INDF;MASC;SG
النتائج	последици	نَتِيجَة	последица	N;NOM;DEF;PL	N;INDF;FEM;PL
النتائج	последствия	نَتِيجَة	последствие	N;NOM;DEF;PL	N;INDF;NEUT;PL
النتائج	резултати	نَتِيجَة	резултат	N;NOM;DEF;PL	N;INDF;MASC;PL
النتائج	находки	نَتِيجَة	находка	N;NOM;DEF;PL	N;INDF;FEM;PL
النتائج	открития	نَتِيجَة	откритие	N;NOM;DEF;PL	N;INDF;NEUT;PL
النتائج	констатации	نَتِيجَة	констатация	N;NOM;DEF;PL	N;INDF;FEM;PL
النتائج	изводи	نَتِيجَة	извод	N;NOM;DEF;PL	N;INDF;MASC;PL
النتائج	заключения	نَتِيجَة	заключение	N;NOM;DEF;PL	N;INDF;NEUT;PL
المحور	въртене	مِحوَر	въртене	N;NOM;DEF;SG	N;INDF;NEUT;SG
المحور	ос	مِحوَر	ос	N;NOM;DEF;SG	N;INDF;FEM;SG
المحور	оси	مِحوَر	ося-се	N;NOM;DEF;SG	N;INDF;FEM;PL
المحور	оста	مِحوَر	остам	N;NOM;DEF;SG	ADV
تدور	завъртане	دَار	завъртане	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;INDF;NEUT;SG
تدور	въртене	دَار	въртене	V;IPFV;FEM;IND;SG;3;FIN;ACT	N;INDF;NEUT;SG
تدور	завърти	دَار	завъртя-(се)	V;IPFV;FEM;IND;SG;3;FIN;ACT	V;PFV;IMP;SG;2;FIN
الفكر	мисъл	فِكر	мисъл	N;NOM;DEF;SG	N;INDF;FEM;SG
استخدم	използване	اِستَخدَم	използване	V;PFV;MASC;SG;3;ACT	N;INDF;NEUT;SG
استخدم	употреба	اِستَخدَم	употреба	V;PFV;MASC;SG;3;ACT	N;INDF;FEM;SG
استخدم	използвайте	اِستَخدَم	използвам	V;PFV;MASC;SG;3;ACT	V;IPFV;IMP;PL;2;FIN
استخدم	използвано	اِستَخدَم	използвам	V;PFV;MASC;SG;3;ACT	V;IPFV;INDF;NEUT;SG;V.PTCP;PASS
استخدم	използван	اِستَخدَم	използвам	V;PFV;MASC;SG;3;ACT	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
استخدم	използвани	اِستَخدَم	използвам	V;PFV;MASC;SG;3;ACT	V;IPFV;INDF;PL;V.PTCP;PASS
استخدم	използвана	اِستَخدَم	използвам	V;PFV;MASC;SG;3;ACT	V;IPFV;INDF;FEM;SG;V.PTCP;PASS
سيرة	биографията	سِيرَة	биография	N;NOM;INDF;SG	N;DEF;FEM;SG
المصطلح	срок	المصطلح	срок	N;NOM;DEF;SG	N;INDF;MASC;SG
المصطلح	термин	المصطلح	термин	N;NOM;DEF;SG	N;INDF;MASC;SG
المصطلح	мандат	المصطلح	мандат	N;NOM;DEF;SG	N;INDF;MASC;SG
المصطلح	терминология	المصطلح	терминология	N;NOM;DEF;SG	N;INDF;FEM;SG
ميداليات	медалите	مِيدَالِيَات	медал	N;NOM;INDF;PL	N;DEF;MASC;PL
المستقبل	бъдеще	مُستَقبَل	бъдеще	N;NOM;DEF;SG	N;INDF;NEUT;SG
المستقبل	бъдещ	مُستَقبَل	бъдещ	N;NOM;DEF;SG	ADJ;INDF;MASC;SG
المستقبل	бъдещи	مُستَقبَل	бъдещ	N;NOM;DEF;SG	ADJ;INDF;PL
المستقبل	бъдеща	مُستَقبَل	бъдещ	N;NOM;DEF;SG	ADJ;INDF;FEM;SG
توقيع	подписано	تَوقِيع	подпиша-(се)	N;NOM;INDF;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
توقيع	подписан	تَوقِيع	подпиша-(се)	N;NOM;INDF;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
توقيع	подписани	تَوقِيع	подпиша-(се)	N;NOM;INDF;SG	V;PFV;INDF;PL;V.PTCP;PASS
الفلسطيني	палестинските	فِلَسطِينِيّ	палестински	N;NOM;DEF;SG	ADJ;DEF;PL
تفسير	обяснения	تَفسِير	обясня-(се)	N;NOM;INDF;SG	N;INDF;NEUT;PL
تفسير	разяснения	تَفسِير	разяснение	N;NOM;INDF;SG	N;INDF;NEUT;PL
تفسير	тълкува	تَفسِير	тълкувам	N;NOM;INDF;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
متوسط	средно	مُتَوَسِّط	средно	ADJ;NOM;INDF;MASC;SG	ADV
