loại	क़िस्म	loại	कठिस्म	N	
vương	क्राउन	vương	क्राउन	N	
vương	वांग	vương	वांग	N	PROPN;NOM;MASC;SG;3
vương	रिच	vương	रिच	N	PROPN;NOM;MASC;SG;3
vương	समृद्ध	vương	समृद्ध	N	ADP
toàn	पूरी	toàn	पूरा	N	ADJ;NOM;FEM;SG
toàn	पूरा	toàn	पूरा	N	ADJ;NOM;MASC;SG
toàn	पूरे	toàn	पूरा	N	ADJ;MASC;PL
nhật	जापानी	nhật	जापानी		N;NOM;MASC;SG;3
viết	प्रिंटर	viết	प्रिंटर	V	N;NOM;MASC;SG;3
viết	मुद्रक	viết	मुद्रक	V	
viết	लेखन	viết	लेखन	V	
lan	इयान	lan	इयान	N	PROPN;NOM;MASC;SG;3
bảo	bao	bảo	bao	V	
đơn	फ़ॉर्म	đơn	फ़ॉर्म	N	ADJ
đơn	अकेला	đơn	अकेला	N	V;PFV;MASC;SG;V.PTCP;ACT
đơn	single	đơn	single	N	
đơn	सिंगल	đơn	सिंगल	N	PROPN;NOM;MASC;SG;3
bao	बोरी	bao	बोरी		N;NOM;FEM;SG;3
bao	केसे	bao	केसे		N;NOM;MASC;SG;3
bao	कैसे	bao	कैसे		PRO
bao	कैसा	bao	कैसा		PRO
truyền	ट्रांसफर	truyền	ट्रांसफर	V	N;NOM;MASC;SG;3
truyền	स्थानांतरण	truyền	स्थानांतरण	V	N;NOM;MASC;SG;3
truyền	हस्तांतरण	truyền	हस्तांतरण	V	N;NOM;MASC;SG;3
truyền	ट्रांसफ़र	truyền	ट्रांसफ़र	V	N;NOM;MASC;SG;3
truyền	हस्तांतरण	truyền	हस्तांतरण	V	N;NOM;MASC;SG;3
nghiệp	बेचारी	nghiệp	बेचारी	ADJ	N;NOM;FEM;SG;3
nghiệp	बेचारे	nghiệp	बेचारा	ADJ	V;MASC;SG;FIN;ACT
nghiệp	गरीब	nghiệp	गरीब	ADJ	N;NOM;MASC;SG;3
nghiệp	बेचारा	nghiệp	बेचारा	ADJ	PROPN;NOM;MASC;SG;3
nghiệp	ग़रीब	nghiệp	ग़रीब	ADJ	N;NOM;FEM;SG;3
nghiệp	कैरियर	nghiệp	कैरियर	ADJ	N;NOM;MASC;SG;3
nghiệp	आजीविका	nghiệp	आजीविका	ADJ	N;NOM;MASC;SG;3
nghiệp	करियर	nghiệp	करियर	ADJ	N;NOM;MASC;SG;3
nội	दादा	nội	दादा	N	PROPN;NOM;MASC;SG;3
nội	आंतरिक	nội	आंतरिक	N	ADJ;NOM
nội	आन्तरिक	nội	आन्तरिक	N	ADJ;NOM
thuật	जादू	thuật	जादू	N	
gian	जियान	gian	जियान	N	PROPN;NOM;MASC;SG;3
tướng	साधारण	tướng	साधारण	N	PROPN;NOM;MASC;SG;3
phong	डोनट	phong	डोनट	N	
phong	फेंग	phong	फेंग	N	PROPN;NOM;MASC;SG;3
phong	phong	phong	phong	N	
đảo	आइलैंड	đảo	आइलैंड	N	PROPN;NOM;MASC;SG;3
đảo	आइलैंड्स	đảo	आइलैंड	N	PROPN;NOM;MASC;SG;3
utc	यूटीसी	utc	यूटीसी	N	PROPN;NOM;MASC;SG;3
utc	utc	utc	utc	N	PROPN;NOM;MASC;SG;3
utc	gmt	utc	gmt	N	PROPN;NOM;MASC;SG;3
tâm	केन्द्र	tâm	केंद्र		PROPN;NOM;MASC;SG;3
tâm	केंद्र	tâm	केंद्र		PROPN;NOM;MASC;SG;3
tâm	मध्य	tâm	मध्य		
tâm	बीच	tâm	बीच		ADV;NOM;MASC;SG;3
thanh	मुखर	thanh	मुखर		PROPN;NOM;MASC;SG;3
thanh	स्वर	thanh	स्वर		N;NOM;MASC;SG;3
thanh	गायन	thanh	गायन		N;NOM;MASC;SG;3
thanh	बार	thanh	बार		N;NOM;FEM;SG;3
thanh	टूलबार	thanh	टूलबार		N;NOM;MASC;SG;3
dùng	उपयोग	dùng	उपयोग	V	N;NOM;MASC;SG;3
dùng	यूजर	dùng	यूजर	V	N;NOM;MASC;SG;3
dùng	प्रयोक्ता	dùng	प्रयोक्ता	V	N;NOM;MASC;SG;3
dùng	उपयोगकर्ता	dùng	उपयोगकर्ता	V	N;NOM;MASC;PL;3
dùng	उपयोक्ता	dùng	उपयोक्ता	V	N;NOM;MASC;SG;3
nói	बात	nói	बात	V	N;NOM;FEM;SG;3
lats	लात्स	lats	लात्स	N	
hoạt	एनिमेट	hoạt	एनिमेट	V	N;NOM;MASC;SG;3
hoạt	एनीमेशन	hoạt	एनीमेशन	V	N;NOM;MASC;SG;3
hoạt	एनिमेशन	hoạt	एनिमेशन	V	N;NOM;MASC;SG;3
shift	शिफ़्ट	shift	शिफ़्ट	N	
phủ	सरकारी	phủ	सरकारी	N	ADJ;NOM
phủ	ओवरले	phủ	ओवरले	N	PROPN;NOM;MASC;SG;3
đang	हैं	đang	है		V;IND;PL;3;PRS;FIN;ACT
giữa	केंद्रित	giữa	केंद्रित	ADP	ADJ
giữa	मध्य	giữa	मध्य	ADP	
giữa	केंद्रित	giữa	केंद्रित	ADP	ADJ
giữa	केन्द्रित	giữa	केंद्रित	ADP	ADJ
phòng	रोम	phòng	रोम	N	PROPN;NOM;MASC;SG;3
phòng	कक्ष	phòng	कक्ष	N	
phòng	कमरा	phòng	कमरा	N	V;PFV;MASC;SG;V.PTCP;ACT
phòng	कक्ष	phòng	कक्ष	N	
đổi	परिवर्तन	đổi	परिवर्तन	V	N;NOM;MASC;SG;3
đổi	बदलाव	đổi	बदलाव	V	N;NOM;MASC;SG;3
chuyển	ट्रांसफर	chuyển	ट्रांसफर	V	N;NOM;MASC;SG;3
chuyển	स्थानांतरण	chuyển	स्थानांतरण	V	N;NOM;MASC;SG;3
chuyển	हस्तांतरण	chuyển	हस्तांतरण	V	N;NOM;MASC;SG;3
chuyển	ट्रांसफ़र	chuyển	ट्रांसफ़र	V	N;NOM;MASC;SG;3
chuyển	स्विच	chuyển	स्विच	V	N;NOM;MASC;SG;3
chuyển	चाल	chuyển	चाल	V	N;NOM;FEM;SG;3
chuyển	मूव	chuyển	मूव	V	
nay	nay	nay	nay	PROPN	
nay	आज	nay	आज	PROPN	N;NOM;MASC;SG;3
trọng	महत्वपूर्ण	trọng	महत्वपूर्ण		ADJ
dịch	अनुवाद	dịch	अनुवाद		N;NOM;MASC;SG;3
dịch	अनुवादक	dịch	अनुवादक		N;NOM;MASC;SG;3
dịch	अनुवाद	dịch	अनुवाद		N;NOM;MASC;SG;3
dịch	अनुवाद	dịch	अनुवाद		N;NOM;MASC;SG;3
chế	बनाया	chế	बना	N	V;PFV;MASC;SG;V.PTCP;ACT
chế	बना	chế	बन	N	V;PFV;MASC;SG;V.PTCP;ACT
biết	जानिये	biết	जानिया	V	PROPN;NOM;MASC;SG;3
biết	जानिए	biết	जानिए	V	PROPN;NOM;MASC;SG;3
biết	जान	biết	जान	V	PROPN;NOM;MASC;SG;3
nằm	स्थित	nằm	स्थित	V	ADJ
nằm	स्तिथ	nằm	स्तिथ	V	
nằm	झूठ	nằm	झूठ	V	
chất	उल्लेखित	chất	उल्लेखित	N	PROPN;NOM;SG;3
chất	निर्दिष्ट	chất	निर्दिष्ट	N	PROPN;NOM;MASC;SG;3
binh	सैनिको	binh	सैनिको	N	
sáng	उज्ज्वल	sáng	उज्ज्वल	N	PROPN;NOM;MASC;SG;3
sáng	उज्जवल	sáng	उज्जवल	N	PROPN;NOM;MASC;SG;3
sáng	सवेरा	sáng	सवेरा	N	PROPN;NOM;MASC;SG;3
thân	जिस्म	thân	जिस्म		N;NOM;MASC;SG;3
thân	बॉडी	thân	बॉडी		N;NOM;FEM;SG;3
thân	शरीर	thân	शरीर		N;NOM;MASC;SG;3
cuối	अंतिम	cuối	अंतिम	N	ADJ;NOM
cuối	आखरी	cuối	आखरी	N	
cuối	आखिरी	cuối	आखिरी	N	ADJ
cuối	पिछला	cuối	पिछला	N	ADJ;NOM;MASC;SG
tăng	वृद्धि	tăng	वृद्धि	V	N;NOM;FEM;SG;3
tăng	टैंक	tăng	टैंक	V	N;NOM;MASC;SG;3
tăng	टैंक	tăng	टैंक	V	N;NOM;MASC;SG;3
trưởng	कैप्टन	trưởng	कैप्टन		N;NOM;MASC;SG;3
trưởng	क्षेत्ररक्षण	trưởng	क्षेत्ररक्षण		N;NOM;MASC;SG;3
trưởng	कप्तान	trưởng	कप्तान		N;NOM;MASC;SG;3
nguyễn	nguyễn	nguyễn	nguyễn	N	
nguyễn	गुयेन	nguyễn	गुयेन	N	PROPN;NOM;MASC;SG;3
lưu	लियू	lưu	लियू	V	PROPN;NOM;MASC;SG;3
lưu	सहेजें	lưu	सहेज	V	N;NOM;MASC;SG;3
nổi	मशहूर	nổi	मशहूर		ADJ
nổi	प्रसिद्ध	nổi	प्रसिद्ध		ADJ
nổi	फ्लैश	nổi	फ्लैश		N;NOM;MASC;SG;3
đặt	सेट	đặt	सेट	V	N;NOM;MASC;SG;3
đặt	समुच्चय	đặt	समुच्चय	V	N;NOM;MASC;SG;3
đặt	नियत	đặt	नियत	V	
đình	टिंग	đình	टिंग	N	
chim	चिड़िया	chim	चिड़िया	N	PROPN;NOM;FEM;SG;3
chim	बर्ड	chim	बर्ड	N	PROPN;NOM;FEM;SG;3
dài	long	dài	long	ADJ	
bóng	शैडो	bóng	शैडो	N	
bóng	छाया	bóng	छा	N	V;PFV;MASC;SG;V.PTCP;ACT
bóng	बॉल	bóng	बॉल	N	PROPN;NOM;MASC;SG;3
bóng	परछाई	bóng	परछाई	N	V;PFV;FEM;SG;V.PTCP;ACT
bóng	छाया	bóng	छा	N	V;PFV;MASC;SG;V.PTCP;ACT
vua	किंग	vua	किंग	N	PROPN;NOM;MASC;SG;3
vua	किंग्स	vua	किंग	N	PROPN;NOM;MASC;SG;3
phi	अफ़्रीका	phi	अफेरीका	N	PROPN;NOM;MASC;SG;3
phi	अफ्रीका	phi	अफ्रीका	N	PROPN;NOM;MASC;SG;3
biệt	एयरबोर्न	biệt	एयरबोर्न		N;NOM;MASC;SG;3
biến	चर	biến	चर	V	N;NOM;MASC;SG;3
biến	परिवर्तनशील	biến	परिवर्तनशील	V	N;NOM;MASC;SG;3
biến	परिवर्तनीय	biến	परिवर्तनीय	V	N;NOM
biến	रूपांतरण	biến	रूपांतरण	V	N;NOM;MASC;SG;3
hậu	रानी	hậu	रानी		N;NOM;FEM;SG;3
hậu	महारानी	hậu	महारानी		N;NOM;FEM;SG;3
chưa	नहींं	chưa	नहींं		
chưa	नहीं	chưa	नहीं		PART;NEG
thu	एकत्रित	thu	एकत्रित	V	ADJ
bên	पार्श्व	bên	पार्श्व	N	
bên	तरफ	bên	तरफ	N	ADV;NOM;FEM;SG;3
vẫn	स्टिल	vẫn	स्टिल		
nghệ	कलात्मक	nghệ	कलात्मक	N	PROPN;NOM;SG;3
nghệ	हल्दी	nghệ	हल्दी	N	PROPN;NOM;FEM;SG;3
mất	गुमशुदा	mất	गुमशुदा	V	
liệu	दस्तावेज	liệu	दस्तावेज	V	N;NOM;MASC;PL;3
liệu	दस्तावेज़	liệu	दस्तावेज़	V	N;NOM;MASC;SG;3
sơn	चित्रित	sơn	चित्रित	N	ADJ
báo	पैंथर	báo	पैंथर	N	
mục	मद	mục	मद	N	
tìm	खोज	tìm	खोज	V	N;NOM;FEM;SG;3
tìm	फिन	tìm	फिन	V	
kiến	ant	kiến	खुा	N	
giao	इंटरफेस	giao	इंटरफेस	V	N;NOM;MASC;SG;3
giao	अंतरफलक	giao	अंतरफलक	V	N;NOM;MASC;SG;3
giao	इंटरफ़ेस	giao	इंटरफ़ेस	V	N;NOM;MASC;SG;3
giao	उद्धार	giao	उद्धार	V	N;NOM;MASC;SG;3
thần	जिनी	thần	जो	N	
tương	शिआंग	tương	शिआंग		PROPN;NOM;MASC;SG;3
bạn	आपको	bạn	आप	N	PRO;SG;2;FORM
bạn	आप	bạn	आप	N	PRO;NOM;SG;2;FORM
bạn	तुम	bạn	तुम	N	PRO;NOM;SG;3
bạn	dost	bạn	dost	N	
hữu	स्वामी	hữu	स्वामी		PROPN;NOM;MASC;SG;3
hữu	मालिक	hữu	मालिक		N;NOM;MASC;SG;3
thay	परिवर्तन	thay	परिवर्तन	V	N;NOM;MASC;SG;3
thay	बदलाव	thay	बदलाव	V	N;NOM;MASC;SG;3
giá	मान	giá	मान	N	V;SG;FIN;ACT
giá	लायक	giá	लायक	N	ADP
chí	संक्रांति	chí	संक्रांति	N	PROPN;NOM;FEM;SG;3
chí	chí	chí	chí	N	
vai	कंधा	vai	कंधा	N	
vai	वाई	vai	वाई	N	
gần	लगभग	gần	लगभग	ADJ	PART
gần	बन्द	gần	बंद	ADJ	
gần	करीब	gần	करीब	ADJ	PART
gần	निकट	gần	निकट	ADJ	ADV;NOM;MASC;SG;3
cứu	सहेजें	cứu	सहेज	V	N;NOM;MASC;SG;3
cứu	मदद	cứu	मदद	V	N;NOM;FEM;SG;3
cứu	सहायता	cứu	सहायता	V	N;NOM;FEM;SG;3
cứu	उद्धार	cứu	उद्धार	V	N;NOM;MASC;SG;3
cứu	बचाव	cứu	बचाव	V	N;NOM;MASC;SG;3
lớp	क्लास	lớp	क्लास	N	
quyết	निर्धारित	quyết	निर्धारित	N	ADJ;NOM
quyết	संकल्पित	quyết	संकल्पित	N	PROPN;NOM;MASC;SG;3
thương	घायल	thương	घायल	V	ADJ
thương	क्यूट	thương	क्यूट	V	
thương	प्यारा	thương	प्यारा	V	PROPN;NOM;MASC;SG;3
thương	cute	thương	cute	V	
thương	चोट	thương	चोट	V	N;NOM;FEM;SG;3
thương	आहत	thương	आहत	V	PROPN;NOM;MASC;SG;3
thương	ठेस	thương	ठेस	V	
hát	गाओ	hát	गा	V	
hát	गाना	hát	गाना	V	N;NOM;MASC;SG;3
hát	गायकों	hát	गायक	V	N;ACC;MASC;PL;3
hát	गायन	hát	गायन	V	N;NOM;MASC;SG;3
tiền	मनी	tiền	मनी	N	
phục	सर्वर	phục	सर्वर	V	N;NOM;MASC;SG;3
tuổi	ओल्ड	tuổi	ओल्ड	N	
tuổi	पुराने	tuổi	पुराना	N	ADJ;MASC;PL
tuổi	पुरानी	tuổi	पुराना	N	ADJ;FEM;SG
tuổi	पुराना	tuổi	पुराना	N	ADJ;MASC;SG
tuổi	वृद्ध	tuổi	वृद्ध	N	PROPN;NOM;MASC;SG;3
tuổi	बूढ़ा	tuổi	बूढ़ा	N	PROPN;NOM;MASC;SG;3
tân	वर्जिन	tân	वर्जिन	N	PROPN;NOM;MASC;SG;3
tân	टैन	tân	टैन	N	
tân	टेन	tân	टेन	N	
tân	तन	tân	तन	N	
hoàn	हीरो	hoàn	हीरो		N;NOM;MASC;SG;3
hoàn	hero	hoàn	hero		PROPN;NOM;MASC;SG;3
hoàn	नायक	hoàn	नायक		PROPN;NOM;MASC;SG;3
hoàn	नायिका	hoàn	नायिका		N;NOM;FEM;SG;3
chơi	खेल	chơi	खेल	V	N;NOM;MASC;SG;3
chơi	गेम	chơi	गेम	V	N;NOM;MASC;SG;3
chơi	खेल	chơi	खेल	V	N;NOM;MASC;SG;3
nguồn	स्त्रोत	nguồn	स्त्रोत	N	
nguồn	स्त्रोत	nguồn	स्त्रोत	N	
kim	जिन	kim	जो	N	DET;ACC;PL;3
kim	किम	kim	किम	N	PROPN;NOM;MASC;SG;3
long	लंबी	long	लंबा	N	ADJ;NOM;FEM;SG
long	लंबा	long	लंबा	N	ADJ;MASC;SG
long	लम्बी	long	लंबा	N	ADJ;NOM;FEM;SG
long	long	long	long	N	
long	ड्रैगन	long	ड्रैगन	N	PROPN;NOM;MASC;SG;3
đóng	बन्द	đóng	बंद	V	
đóng	करीब	đóng	करीब	V	PART
đóng	बंद	đóng	बंद	V	ADJ
đóng	बन्द	đóng	बंद	V	
đóng	बंद	đóng	बंद	V	ADJ
dẫn	लीड	dẫn	लीड	V	
dẫn	लीड	dẫn	लीड	V	
dẫn	सीसा	dẫn	सीसा	V	N;NOM;MASC;SG;3
dẫn	सीसे	dẫn	सीसे	V	N;NOM;MASC;SG;3
quá	भी	quá	भी		PART
quá	too	quá	too		
thắng	विन	thắng	विन	N	
thắng	जीतना	thắng	जीत	N	V;MASC;NFIN;ACT
thắng	जीता	thắng	जीत	N	V;PFV;MASC;SG;V.PTCP;ACT
thắng	जीते	thắng	जीत	N	V;PFV;MASC;SG;V.PTCP;ACT
thắng	जीती	thắng	जीत	N	V;PFV;FEM;SG;V.PTCP;ACT
thắng	जीता	thắng	जीत	N	V;PFV;MASC;SG;V.PTCP;ACT
thắng	विन्स	thắng	विन्स	N	PROPN;NOM;MASC;SG;3
mang	लाओ	mang	ला	V	
giáp	कवच	giáp	कवच	V	N;NOM;MASC;SG;3
hạng	क्लास	hạng	क्लास	N	
huy	हुई	huy	हो	N	V;PFV;FEM;SG;V.PTCP;ACT
huy	hui	huy	hui	N	PROPN;NOM;MASC;SG;3
cây	ट्री	cây	ट्री	N	
thư	letters	thư	letters	N	
tra	जाँचें	tra	जाँच	V	
tra	जाँच	tra	जाँच	V	N;NOM;FEM;SG;3
nga	रूसी	nga	रूसी	N	PROPN;NOM;MASC;SG;3
nga	रुस	nga	रुस	N	PROPN;NOM;MASC;SG;3
nga	रूस	nga	रूस	N	PROPN;NOM;MASC;SG;3
nga	नगा	nga	नगा	N	
nga	nga	nga	nga	N	PROPN;NOM;MASC;SG;3
triệu	zhao	triệu	zhao	NUM	
triệu	मिलियन	triệu	मिलियन	NUM	
triệu	मिलियन	triệu	मिलियन	NUM	
triệu	लाखों	triệu	लाख	NUM	N;ACC;MASC;PL;3
triệu	लाखो	triệu	लाखो	NUM	
thi	exam	thi	exam	N	
thi	thi	thi	thi	N	PROPN;NOM;MASC;SG;3
thi	exams	thi	exams	N	
phép	अनुमत	phép	अनुमत	N	
new	नया	new	नया		ADJ;NOM;MASC;SG
new	नई	new	नया		ADJ;NOM;FEM;SG
yếu	निर्बल	yếu	निर्बल	N	
yếu	दुर्बल	yếu	दुर्बल	N	
yếu	कमज़ोर	yếu	कमज़ोर	N	ADP
yếu	कमजोर	yếu	कमजोर	N	ADJ
mật	गुप्त	mật	गुप्त	N	PROPN;NOM;MASC;SG;3
mạng	संजाल	mạng	संजाल	N	
mạng	संजाल	mạng	संजाल	N	
câu	सजा	câu	सजा	N	PROPN;NOM;FEM;SG;3
ghi	लेखन	ghi	लेखन	V	
sao	क्यूँ	sao	क्यूँ	PROPN	
sao	क्यों	sao	क्यों	PROPN	PRO
giả	गलत	giả	गलत		ADJ
cung	धनुष	cung	धनुष	V	PROPN;NOM;MASC;SG;3
chống	साहस	chống	साहस	V	
chống	हिम्मत	chống	हिम्मत	V	N;NOM;FEM;SG;3
chống	खिलाफ	chống	खिलाफ	V	ADP
chống	विरुद्ध	chống	विरुद्ध	V	ADP
chống	विरूद्ध	chống	विरूद्ध	V	CONJ
đảng	party	đảng	party	N	
đảng	gang	đảng	gang	N	
nhập	इनपुट	nhập	इनपुट	V	N;NOM;MASC;SG;3
nhập	एंटर	nhập	एंटर	V	
nhập	आयात	nhập	आयात	V	N;NOM;MASC;SG;3
hạt	कोर	hạt	कोर	N	
hạt	काउंटी	hạt	काउंटी	N	PROPN;NOM;MASC;SG;3
chết	निधन	chết	निधन	V	N;NOM;MASC;SG;3
chết	मोत	chết	मोत	V	
chết	मृत्यु	chết	मृत्यु	V	N;NOM;FEM;SG;3
chết	मौत	chết	मौत	V	N;NOM;FEM;SG;3
chết	मुर्दे	chết	मुर्दा	V	N;NOM;MASC;SG;3
chung	पारस्परिक	chung	पारस्परिक	ADJ	N;NOM;MASC;SG;3
chung	परस्पर	chung	परस्पर	ADJ	
chung	चुंग	chung	चुंग	ADJ	
chung	यूनिवर्सल	chung	यूनिवर्सल	ADJ	N;NOM;MASC;SG;3
chung	सार्वभौमिक	chung	सार्वभौमिक	ADJ	PROPN;NOM;SG;3
chung	जनरल	chung	जनरल	ADJ	N;NOM;MASC;SG;3
chung	साधारण	chung	साधारण	ADJ	PROPN;NOM;MASC;SG;3
chung	सामान्य	chung	सामान्य	ADJ	N;NOM;MASC;SG;3
chung	कॉमन	chung	कॉमन	ADJ	
chung	सामान्य	chung	सामान्य	ADJ	N;NOM;MASC;SG;3
trần	चैन	trần	चैन	N	
trần	chan	trần	chan	N	PROPN;NOM;MASC;SG;3
mẫu	फ़ॉर्म	mẫu	फ़ॉर्म	N	ADJ
mẫu	मल	mẫu	मल	N	
tất	मोज़ा	tất	मोज़ा		N;NOM;MASC;SG;3
mạnh	मेंग	mạnh	मेंग	ADJ	
mạnh	मज़बूत	mạnh	मज़बूत	ADJ	CONJ
mạnh	बलवान	mạnh	बलवान	ADJ	PROPN;NOM;MASC;SG;3
mạnh	दमदार	mạnh	दमदार	ADJ	PROPN;NOM;MASC;SG;3
trái	शेष	trái	शेष		ADJ
trái	बाएं	trái	बाएं		N;NOM;MASC;SG;3
từng	कभी	từng	कभी	PROPN	PRO
bán	बिक्री	bán	बिक्री	V	N;NOM;FEM;SG;3
bán	विक्रय	bán	विक्रय	V	N;NOM;MASC;SG;3
bán	बिक्री	bán	बिक्री	V	N;NOM;FEM;SG;3
rộng	चौड़ाई	rộng	चौड़ाई	ADJ	N;NOM;FEM;SG;3
rộng	चौडाई	rộng	चौडाई	ADJ	
rộng	वाइड	rộng	वाइड	ADJ	N;NOM;MASC;SG;3
rộng	व्यापक	rộng	व्यापक	ADJ	PROPN;NOM;SG;3
rộng	ब्रॉड	rộng	ब्रॉड	ADJ	
rộng	व्यापक	rộng	व्यापक	ADJ	PROPN;NOM;SG;3
thủy	डायन	thủy	डायन	V	
thủy	शुई	thủy	शुई	V	N;NOM;MASC;SG;3
album	अलबम	album	अलबम	N	PROPN;NOM;MASC;SG;3
quy	बिस्किट	quy	बिस्किट	N	
giờ	अब	giờ	अब	N	PRO;NOM
giờ	अभी	giờ	अभी	N	PRO;NOM
mỗi	हर	mỗi	हर	NUM	DET
mỗi	प्रत्येक	mỗi	प्रत्येक	NUM	DET
mỗi	प्रत्येक	mỗi	प्रत्येक	NUM	DET
núi	माउंट	núi	माउंट	N	PROPN;NOM;MASC;SG;3
núi	kyu	núi	kyu	N	PROPN;NOM;MASC;SG;3
sang	संग	sang	संग	V	N;NOM;MASC;SG;3
phản	विश्वासघात	phản	विश्वासघात	V	N;NOM;MASC;SG;3
phản	गद्दारी	phản	गद्दारी	V	N;NOM;FEM;SG;3
phản	देशद्रोह	phản	देशद्रोह	V	PROPN;NOM;MASC;SG;3
đoạn	अनुच्छेद	đoạn	अनुच्छेद	N	PROPN;NOM;MASC;SG;3
yêu	प्यार	yêu	प्यार	V	N;NOM;MASC;SG;3
yêu	मोहब्बत	yêu	मोहब्बत	V	N;NOM;FEM;SG;3
yêu	प्रेम	yêu	प्रेम	V	N;NOM;MASC;SG;3
yêu	प्यार	yêu	प्यार	V	N;NOM;MASC;SG;3
yêu	मोहब्बत	yêu	मोहब्बत	V	N;NOM;FEM;SG;3
yêu	मीत	yêu	मीत	V	PROPN;NOM;MASC;SG;3
môi	लिप	môi	लिप	N	
kiện	सू	kiện	सू	V	PROPN;NOM;MASC;SG;3
kiện	मुकदमा	kiện	मुकदमा	V	N;NOM;MASC;SG;3
biên	bien	biên	ओप	N	PROPN;NOM;MASC;SG;3
biên	बार्डर	biên	बार्डर	N	PROPN;NOM;MASC;SG;3
align	पंक्तिबद्ध	align	पंक्तिबद्ध		N;NOM;MASC;SG;3
align	क्षारीय	align	क्षारीय		N;NOM
độc	अकेला	độc	अकेला	ADJ	V;PFV;MASC;SG;V.PTCP;ACT
độc	अकेले	độc	अकेला	ADJ	V;MASC;SG;3;FIN;ACT
độc	अलोन	độc	अलोन	ADJ	
độc	विषाक्त	độc	विषाक्त	ADJ	N;NOM;MASC;SG;3
pháo	तोपखाने	pháo	तोपखा	N	
giúp	मदद	giúp	मदद	V	N;NOM;FEM;SG;3
giúp	सहायता	giúp	सहायता	V	N;NOM;FEM;SG;3
nha	डेंटिस्ट	nha	डेंटिस्ट		N;NOM;MASC;SG;3
nha	डेंटल	nha	डेंटल		N;NOM;MASC;SG;3
phá	ब्रेक	phá	ब्रेक	V	N;NOM;MASC;SG;3
phá	ब्रेकिंग	phá	ब्रेकिंग	V	N;NOM;FEM;SG;3
tay	हाथों	tay	हाथ	N	V;MASC;SBJV;PL;FIN;ACT
hồng	पिंक	hồng	पिंक	N	PROPN;NOM;FEM;SG;3
hồng	हांग	hồng	हांग	N	PROPN;NOM;MASC;SG;3
hồng	रोजा	hồng	रोजा	N	PROPN;NOM;MASC;SG;3
rồi	फिर	rồi	फिर	CONJ	ADV
rồi	तब	rồi	तब	CONJ	PRO;NOM
chia	साझेदारी	chia	साझेदारी	V	N;NOM;FEM;SG;3
chia	साझा	chia	साझा	V	
chia	विभक्त	chia	विभक्त	V	ADJ
chia	विभाजित	chia	विभाजित	V	ADJ
chia	विभाजित	chia	विभाजित	V	ADJ
ruồi	उड़ना	ruồi	उड़	N	V;MASC;NFIN;ACT
ruồi	उड़	ruồi	उड़	N	V;ACT
ruồi	उड़ता	ruồi	उड़	N	V;IPFV;MASC;SG;V.PTCP;ACT
phạm	आपराधिक	phạm	आपराधिक	N	PROPN;NOM;SG;3
phạm	क्रिमिनल	phạm	क्रिमिनल	N	PROPN;NOM;MASC;SG;3
chọn	चयन	chọn	चयन	V	N;NOM;MASC;SG;3
chọn	pick	chọn	pick	V	
chọn	पिक	chọn	पिक	V	
lục	हरित	lục	हरित	N	PROPN;NOM;MASC;SG;3
lục	हरी	lục	हरा	N	ADJ;NOM;FEM;SG
lục	हरा	lục	हरा	N	V;MASC;SG;V.PTCP;ACT
lục	ग्रीन	lục	ग्रीन	N	
bàn	टेबल	bàn	टेबल	N	
bàn	मेज़	bàn	मेज	N	
bàn	तालिका	bàn	तालिका	N	
bàn	डेस्क	bàn	डेस्क	N	PROPN;NOM;MASC;SG;3
bàn	टेबल	bàn	टेबल	N	
đai	बेल्ट	đai	बेल्ट	N	
trực	डायरेक्ट	trực	डायरेक्ट	V	N;NOM;MASC;SG;3
trực	प्रत्यक्ष	trực	प्रत्यक्ष	V	PROPN;NOM;MASC;SG;3
trực	direct	trực	direct	V	
trực	सीधा	trực	सीधा	V	ADJ;NOM;MASC;SG
dung	विषयवस्तु	dung	विषयवस्तु		N;NOM;FEM;SG;3
dung	सामग्री	dung	सामग्री		N;NOM;FEM;SG;3
dung	गोबर	dung	गोबर		N;NOM;MASC;SG;3
dung	विषयवस्तु	dung	विषयवस्तु		N;NOM;FEM;SG;3
dung	सामग्री	dung	सामग्री		N;NOM;FEM;SG;3
bệnh	बीमार	bệnh	बीमार	N	ADJ
đào	आडू	đào	आडू	N	
đào	ताओ	đào	ता	N	
đào	आड़ू	đào	आड़ू	N	
khai	दावे	khai	दावा	V	N;NOM;MASC;SG;3
khai	दावा	khai	दावा	V	N;NOM;MASC;SG;3
tốt	good	tốt	good	ADJ	N;NOM;FEM;SG;3
tốt	गुड	tốt	गुड	ADJ	
tốt	शुभ	tốt	शुभ	ADJ	
lệnh	कमांड्स	lệnh	कमांड		N;NOM;MASC;PL;3
lệnh	कमांड	lệnh	कमांड		N;NOM;MASC;SG;3
lệnh	कमांड	lệnh	कमांड		N;NOM;MASC;SG;3
lệnh	ऑर्डर	lệnh	ऑर्डर		N;NOM;MASC;SG;3
lệnh	आदेश	lệnh	आदेश		N;NOM;MASC;SG;3
chuẩn	मानक	chuẩn	मानक	V	
chuẩn	सामान्य	chuẩn	सामान्य	V	N;NOM;MASC;SG;3
chữ	letters	chữ	letters	N	
duy	सिर्फ	duy	सिर्फ	N	PART
duy	केवल	duy	केवल	N	PART
duy	तभी	duy	तभी	N	PRO;NOM
