категорія	catégories	категорія	catégorie	N;INAN;NOM;FEM;SG	N;FEM;PL
проблема	problématique	проблема	problématique	N;INAN;NOM;FEM;SG	ADJ;FEM;SG
температури	température	температура	température	N;INAN;NOM;FEM;PL	N;FEM;SG
захворювання	trouble	захворювання	trouble	N;INAN;NOM;NEUT;SG	ADJ;MASC;SG
захворювання	maladies	захворювання	maladie	N;INAN;NOM;NEUT;SG	N;FEM;PL
захворювання	maladies	захворювання	maladie	N;INAN;NOM;NEUT;SG	N;FEM;PL
визнання	aveux	визнання	aveu	N;INAN;NOM;NEUT;SG	N;MASC;PL
визнання	confesser	визнання	confesser	N;INAN;NOM;NEUT;SG	V;NFIN
вільям	guillaume	вільям	guillaume	PROPN;ANIM;NOM;MASC;SG	PROPN
вільям	william	вільям	william	PROPN;ANIM;NOM;MASC;SG	PROPN
сучасні	modernité	сучасний	modernité	ADJ;NOM;PL	N;FEM;SG
сучасні	moderne	сучасний	moderne	ADJ;NOM;PL	ADJ;MASC;SG
переможець	gagnants	переможець	gagnant	N;ANIM;NOM;MASC;SG	ADJ;MASC;PL
переможець	gagnante	переможець	gagnant	N;ANIM;NOM;MASC;SG	ADJ;FEM;SG
переможець	gagnant	переможець	gagner	N;ANIM;NOM;MASC;SG	V;PRS;V.PTCP
літаків	avion	літак	avion	N;INAN;GEN;MASC;PL	N;MASC;SG
змагань	concours	змагання	concours	N;INAN;GEN;NEUT;PL	N;MASC;SG
фортеці	citadelle	фортека	citadelle	N;INAN;NOM;FEM;PL	N;FEM;SG
піренеї	pyrénées	піренея	pyrénée	PROPN;INAN;NOM;FEM;SG	N;FEM;PL
спорт	sportif	спорт	sportif	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
спорт	sportive	спорт	sportif	N;INAN;NOM;MASC;SG	ADJ;FEM;SG
спорт	sports	спорт	sport	N;INAN;NOM;MASC;SG	N;MASC;PL
порівняно	comparés	порівняно	comparer	ADV	V;MASC;PL;PST;V.PTCP
порівняно	comparé	порівняно	comparer	ADV	V;MASC;SG;PST;V.PTCP
участю	impliquant	участь	impliquer	N;INAN;INS;FEM;SG	V;PRS;V.PTCP
ель	mansoura	ель	mansoura		PROPN
ель	ale	ель	ale		PROPN
петербург	pétersbourg	петербург	pétersbourg	PROPN;INAN;NOM;MASC;SG	PROPN
петербург	petersbourg	петербург	petersbourg	PROPN;INAN;NOM;MASC;SG	N;MASC;SG
бельгії	belgique	бельгія	belgique	PROPN;INAN;GEN;FEM;SG	ADJ;MASC;SG
звільнення	libèrent	звільнення	liber	N;INAN;NOM;NEUT;SG	V;IND;PL;3;PRS;FIN
економіка	economique	економіка	economique	N;INAN;NOM;FEM;SG	ADJ;MASC;SG
білі	blanche	білий	blanc	ADJ;NOM;PL	ADJ;FEM;SG
білі	blanc	білий	blanc	ADJ;NOM;PL	N;MASC;SG
запропонував	offerts	запропонувати	offrir	V;PFV;MASC;IND;SG;PST;FIN	V;MASC;PL;PST;V.PTCP
запропонував	offertes	запропонувати	offrir	V;PFV;MASC;IND;SG;PST;FIN	V;FEM;PL;PST;V.PTCP
математики	mathématique	математика	mathématique	N;INAN;NOM;FEM;PL	ADJ;MASC;SG
молодший	mineures	молодший	mineur	ADJ;NOM;CMPR;MASC;SG	ADJ;FEM;PL
молодший	mineur	молодший	mineur	ADJ;NOM;CMPR;MASC;SG	N;MASC;SG
нижня	abaisser	нижній	abaisser	ADJ;NOM;FEM;SG	V;NFIN
визначається	définie	визначатися	définir	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;SG;PST;V.PTCP
визначається	définis	визначатися	définir	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;PL;PST;V.PTCP
визначається	définies	визначатися	définir	V;IPFV;IND;SG;3;PRS;FIN	V;FEM;PL;PST;V.PTCP
визначається	défini	визначатися	définir	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;PST;V.PTCP
віталій	vitaliy	віталії	vitaliy	PROPN;ANIM;NOM;MASC;SG	PROPN
віталій	vitali	віталії	vitali	PROPN;ANIM;NOM;MASC;SG	PROPN
віталій	vitalis	віталії	vitalis	PROPN;ANIM;NOM;MASC;SG	PROPN
віталій	vitaly	віталії	vitaly	PROPN;ANIM;NOM;MASC;SG	PROPN
біла	biała	білий	biała	ADJ;NOM;FEM;SG	PROPN
біла	blancs	білий	blanc	ADJ;NOM;FEM;SG	ADJ;MASC;PL
біла	blanches	білий	blanc	ADJ;NOM;FEM;SG	ADJ;FEM;PL
біла	blanc	білий	blanc	ADJ;NOM;FEM;SG	N;MASC;SG
біла	bila	білий	bila	ADJ;NOM;FEM;SG	PROPN
власні	propre	власний	propre	ADJ;NOM;PL	ADJ;MASC;SG
власні	posséder	власний	posséder	ADJ;NOM;PL	V;NFIN
православної	orthodoxie	православний	orthodoxie	ADJ;GEN;FEM;SG	N;FEM;SG
православної	orthodoxes	православний	orthodoxe	ADJ;GEN;FEM;SG	ADJ;MASC;PL
кордон	frontalier	кордон	frontalier	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
кордон	frontières	кордон	frontière	N;INAN;NOM;MASC;SG	N;FEM;PL
місцеві	locale	місцевий	local	ADJ;NOM;PL	ADJ;FEM;SG
місцеві	local	місцевий	local	ADJ;NOM;PL	ADJ;MASC;SG
веде	prospects	вести	prospect	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;PL
стосовно	concernant	стосовно	concerner	ADV	V;PRS;V.PTCP
почесний	honorifiques	почесний	honorifique	ADJ;NOM;MASC;SG	ADJ;MASC;PL
білецький	bielecki	білецький	bielecki	ADJ;NOM;MASC;SG	PROPN
казахстан	kazakhstan	казахстан	kazakhstan	PROPN;INAN;NOM	PROPN
червона	rouges	червоний	rouge	ADJ;NOM;FEM;SG	ADJ;MASC;PL
короткий	courts	короткий	court	ADJ;NOM;MASC;SG	ADJ;MASC;PL
короткий	courtes	короткий	court	ADJ;NOM;MASC;SG	ADJ;FEM;PL
провулок	alley	провулок	alley	N;INAN;NOM;MASC;SG	PROPN
провулок	allée	провулок	aller	N;INAN;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
причини	cause	причина	cause	N;INAN;NOM;FEM;PL	N;FEM;SG
проводиться	être	проводитися	être	V;IPFV;IND;SG;3;PRS;FIN	V;NFIN
степан	stjepan	степан	stjepan	PROPN;ANIM;NOM;MASC;SG	N;MASC;SG
степан	stepan	степан	stepan	PROPN;ANIM;NOM;MASC;SG	PROPN
степан	stéphane	степан	stéphane	PROPN;ANIM;NOM;MASC;SG	PROPN
степан	stephen	степан	stephen	PROPN;ANIM;NOM;MASC;SG	PROPN
степан	étienne	степан	étien	PROPN;ANIM;NOM;MASC;SG	N;MASC;SG
працівників	employés	працівник	employer	N;ANIM;ACC;MASC;PL	V;MASC;PL;PST;V.PTCP
працівників	salariés	працівник	salarié	N;ANIM;ACC;MASC;PL	V;MASC;PL;PST;V.PTCP
примітки	remarque	примітка	remarque	N;INAN;NOM;FEM;PL	N;FEM;SG
примітки	note	примітка	note	N;INAN;NOM;FEM;PL	N;FEM;SG
примітки	notez	примітка	noter	N;INAN;NOM;FEM;PL	V;IMP;PL;2;PRS;FIN
сад	jardins	сад	jardin	N;INAN;NOM;MASC;SG	N;MASC;PL
сад	sade	сад	sade	N;INAN;NOM;MASC;SG	PROPN
німецька	allemand	німецький	allemand	ADJ;NOM;FEM;SG	N;MASC;SG
німецька	allemands	німецький	allemand	ADJ;NOM;FEM;SG	ADJ;MASC;PL
окупації	profession	окупація	profession	N;INAN;NOM;FEM;PL	N;FEM;SG
окупації	occupation	окупація	occupation	N;INAN;NOM;FEM;PL	N;FEM;SG
марк	marc	марк	marc	PROPN;ANIM;NOM;MASC;SG	N;MASC;SG
пар	paires	пар	paire		N;FEM;PL
пар	pari	пар	pari		N;MASC;SG
лев	lion	лев	lion	PROPN;ANIM;NOM;MASC;SG	N;MASC;SG
лев	lionne	лев	lionne	PROPN;ANIM;NOM;MASC;SG	N;FEM;SG
лев	lev	лев	lev	PROPN;ANIM;NOM;MASC;SG	
лев	léon	лев	léon	PROPN;ANIM;NOM;MASC;SG	N;MASC;SG
лев	léo	лев	léo	PROPN;ANIM;NOM;MASC;SG	PROPN
лев	leo	лев	leo	PROPN;ANIM;NOM;MASC;SG	PROPN
валерій	valery	валерій	valery	PROPN;ANIM;NOM;MASC;SG	PROPN
валерій	valeri	валерій	valeri	PROPN;ANIM;NOM;MASC;SG	PROPN
валерій	valerius	валерій	valeriu	PROPN;ANIM;NOM;MASC;SG	PROPN
довгий	longues	довгий	long	ADJ;NOM;MASC;SG	ADJ;FEM;PL
довгий	longs	довгий	long	ADJ;NOM;MASC;SG	ADJ;MASC;PL
довгий	longtemps	довгий	longtemps	ADJ;NOM;MASC;SG	ADV
драми	drame	драма	drame	N;INAN;NOM;FEM;PL	N;MASC;SG
драми	dramatique	драма	dramatique	N;INAN;NOM;FEM;PL	ADJ;MASC;SG
польоту	volants	політ	volant	N;INAN;GEN;MASC;SG	N;MASC;PL
польоту	battant	політ	battre	N;INAN;GEN;MASC;SG	V;PRS;V.PTCP
польоту	voler	політ	voler	N;INAN;GEN;MASC;SG	V;NFIN
змі	média	змо	média	PROPN;INAN;NOM;MASC;SG	N;MASC;SG
змі	médias	змо	média	PROPN;INAN;NOM;MASC;SG	N;MASC;PL
богородиці	virgin	богородика	virgin	N;INAN;NOM;FEM;PL	PROPN
богородиці	vierges	богородика	vierge	N;INAN;NOM;FEM;PL	ADJ;MASC;PL
богородиці	vierge	богородика	vierge	N;INAN;NOM;FEM;PL	ADJ;MASC;SG
богородиці	puceau	богородика	puceau	N;INAN;NOM;FEM;PL	N;MASC;SG
споруд	déménagement	споруда	déménagement	N;INAN;GEN;FEM;PL	N;MASC;SG
споруд	réinstallation	споруда	réinstallation	N;INAN;GEN;FEM;PL	N;FEM;SG
споруд	relocalisation	споруда	relocalisation	N;INAN;GEN;FEM;PL	N;FEM;SG
споруд	relogement	споруда	relogement	N;INAN;GEN;FEM;PL	N;MASC;SG
споруд	délocalisation	споруда	délocalisation	N;INAN;GEN;FEM;PL	N;FEM;SG
слави	célébrité	слава	célébrité	N;INAN;NOM;FEM;PL	N;FEM;SG
слави	renommée	слава	renommer	N;INAN;NOM;FEM;PL	V;FEM;SG;PST;V.PTCP
слави	gloire	слава	gloire	N;INAN;NOM;FEM;PL	N;FEM;SG
слави	fame	слава	fame	N;INAN;NOM;FEM;PL	N;MASC;SG
перетворення	transformations	перетворення	transformation	N;INAN;NOM;NEUT;SG	N;FEM;PL
перетворення	transformer	перетворення	transformer	N;INAN;NOM;NEUT;SG	V;NFIN
перетворення	transforme	перетворення	transformer	N;INAN;NOM;NEUT;SG	V;IND;SG;3;PRS;FIN
перетворення	convertissant	перетворення	convertir	N;INAN;NOM;NEUT;SG	V;PRS;V.PTCP
реалізації	implémentation	реалізація	implémentation	N;INAN;NOM;FEM;PL	N;FEM;SG
реалізації	réalisation	реалізація	réalisation	N;INAN;NOM;FEM;PL	N;FEM;SG
боротьбі	combats	боротьба	combat	N;INAN;DAT;FEM;SG	N;MASC;PL
аеропорт	aéroports	аеропорт	aéroport	N;INAN;NOM;MASC;SG	N;MASC;PL
героїв	héros	герой	héros	N;ANIM;ACC;MASC;PL	N;MASC;SG
героїв	heroes	герой	heroe	N;ANIM;ACC;MASC;PL	PROPN
жили	vécue	жити	vivre	V;IPFV;IND;PL;PST;FIN	V;FEM;SG;PST;V.PTCP
жили	vécu	жити	vivre	V;IPFV;IND;PL;PST;FIN	V;MASC;SG;PST;V.PTCP
жінка	femelle	жінка	femelle	N;ANIM;NOM;FEM;SG	ADJ;FEM;SG
жінка	femelles	жінка	femelle	N;ANIM;NOM;FEM;SG	N;FEM;PL
жінка	féminin	жінка	féminin	N;ANIM;NOM;FEM;SG	ADJ;MASC;SG
жінка	femmes	жінка	femme	N;ANIM;NOM;FEM;SG	N;FEM;PL
португалії	portugal	португалія	portugal	PROPN;INAN;GEN;FEM;SG	ADJ;MASC;SG
назад	arriéré	назад	arriéré	ADV	V;MASC;SG;PST;V.PTCP
назад	reculer	назад	reculer	ADV	V;NFIN
назад	dos	назад	dos	ADV	N;MASC;SG
назад	arrière	назад	arrière	ADV	N;MASC;SG
назад	retour	назад	retour	ADV	N;MASC;SG
назад	revenir	назад	revenir	ADV	V;NFIN
хвороби	maladie	хвороба	maladie	N;INAN;NOM;FEM;PL	N;FEM;SG
хвороби	maladie	хвороба	maladie	N;INAN;NOM;FEM;PL	N;FEM;SG
процеси	processus	процес	processus	N;INAN;NOM;MASC;PL	N;MASC;SG
угоди	aubaine	угода	aubain	N;INAN;NOM;FEM;PL	N;FEM;SG
анна	anne	анна	anne	PROPN;ANIM;NOM;FEM;SG	N;FEM;SG
анна	anna	анна	anna	PROPN;ANIM;NOM;FEM;SG	PROPN
англійська	anglais	англійський	anglais	ADJ;NOM;FEM;SG	N;MASC;SG
увійшов	entrés	увійти	entrer	V;PFV;MASC;IND;SG;PST;FIN	V;MASC;PL;PST;V.PTCP
надзвичайно	remarquables	надзвичайно	remarquable	ADV	ADJ;MASC;PL
надзвичайно	remarquable	надзвичайно	remarquable	ADV	ADJ;MASC;SG
течії	courants	течія	courant	N;INAN;NOM;FEM;PL	ADJ;MASC;PL
течії	amont	течія	amont	N;INAN;NOM;FEM;PL	N;MASC;SG
молдови	moldave	молдова	moldave	PROPN;INAN;NOM;FEM;SG	ADJ;MASC;SG
молдови	moldova	молдова	moldova	PROPN;INAN;NOM;FEM;SG	PROPN
молдови	moldavie	молдова	moldavie	PROPN;INAN;NOM;FEM;SG	PROPN
спроби	essayant	спроба	essayer	N;INAN;NOM;FEM;PL	V;PRS;V.PTCP
спроби	essayer	спроба	essayer	N;INAN;NOM;FEM;PL	V;NFIN
відкрита	ouverte	відкритий	ouvrir	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;FEM;SG;PST;V.PTCP
відкрита	ouvrez	відкритий	ouvrir	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;IMP;PL;2;PRS;FIN
відкрита	ouvert	відкритий	ouvrir	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;MASC;SG;PST;V.PTCP
відкрита	ouverture	відкритий	ouverture	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	N;FEM;SG
відкрита	ouvrir	відкритий	ouvrir	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS	V;NFIN
повний	complets	повний	complet	ADJ;NOM;MASC;SG	ADJ;MASC;PL
повний	complètes	повний	complet	ADJ;NOM;MASC;SG	ADJ;FEM;PL
кошти	accumulées	кошти	accumuler	N;INAN;NOM	V;FEM;PL;PST;V.PTCP
кошти	accumulés	кошти	accumuler	N;INAN;NOM	V;MASC;PL;PST;V.PTCP
кошти	accumulé	кошти	accumuler	N;INAN;NOM	V;MASC;SG;PST;V.PTCP
кошти	accumulée	кошти	accumuler	N;INAN;NOM	V;FEM;SG;PST;V.PTCP
кошти	cumulé	кошти	cumuler	N;INAN;NOM	V;MASC;SG;PST;V.PTCP
кошти	coûts	кошти	coût	N;INAN;NOM	N;MASC;PL
випуску	libèrent	випуск	liber	N;INAN;GEN;MASC;SG	V;IND;PL;3;PRS;FIN
написання	ecrire	написання	ecrire	N;INAN;NOM;NEUT;SG	V;NFIN
написання	écrire	написання	écrire	N;INAN;NOM;NEUT;SG	V;NFIN
ситуації	situation	ситуація	situation	N;INAN;ACC;FEM;PL	N;FEM;SG
жодного	aucun	жодний	aucun	DET;GEN;MASC;SG	PRO;MASC;SG
жодного	néant	жодний	néant	DET;GEN;MASC;SG	N;MASC;SG
надалі	still	надалі	still	ADV	PROPN
народ	gens	народ	gens	N;INAN;NOM;MASC;SG	N;MASC;PL
народ	personnes	народ	personne	N;INAN;NOM;MASC;SG	N;FEM;PL
герої	héros	герой	héros	N;ANIM;NOM;MASC;PL	N;MASC;SG
герої	heroes	герой	heroe	N;ANIM;NOM;MASC;PL	PROPN
долина	dolina	долина	doliner	N;INAN;NOM;FEM;SG	PROPN
долина	valley	долина	valley	N;INAN;NOM;FEM;SG	PROPN
леонід	léonidas	леонід	léonida	PROPN;ANIM;NOM;MASC;SG	PROPN
леонід	leonid	леонід	leonid	PROPN;ANIM;NOM;MASC;SG	PROPN
спостереження	suivi	спостереження	suivre	N;INAN;NOM;NEUT;SG	V;MASC;SG;PST;V.PTCP
спостереження	moniteurs	спостереження	moniteur	N;INAN;NOM;NEUT;SG	N;MASC;PL
спостереження	surveiller	спостереження	surveiller	N;INAN;NOM;NEUT;SG	V;NFIN
спостереження	observations	спостереження	observation	N;INAN;NOM;NEUT;SG	N;FEM;PL
спостереження	observer	спостереження	observer	N;INAN;NOM;NEUT;SG	V;NFIN
спостереження	observant	спостереження	observer	N;INAN;NOM;NEUT;SG	V;PRS;V.PTCP
введення	taper	введення	taper	N;INAN;NOM;NEUT;SG	V;NFIN
санта	santa	санта	santa	PROPN;ANIM;NOM;FEM;SG	PROPN
остання	derniers	останній	dernier	ADJ;NOM;FEM;SG	ADJ;MASC;PL
остання	dernières	останній	dernier	ADJ;NOM;FEM;SG	ADJ;FEM;PL
остання	dernières	останній	dernier	ADJ;NOM;FEM;SG	ADJ;FEM;PL
остання	derniers	останній	dernier	ADJ;NOM;FEM;SG	ADJ;MASC;PL
найбільший	surdimensionné	найбільший	surdimensionner	ADJ;NOM;CMPR;MASC;SG	V;MASC;SG;PST;V.PTCP
морі	mori	море	mori	N;INAN;NOM;NEUT;SG	PROPN
зміст	contenu	зміст	contenir	N;INAN;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
зміст	contenus	зміст	contenu	N;INAN;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
зміст	sommaire	зміст	sommaire	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
зміст	contenus	зміст	contenu	N;INAN;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
зміст	contenu	зміст	contenir	N;INAN;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
нам	nam	ми	nam	PRO;ANIM;DAT;PL;1	PROPN
високий	élevée	високий	élever	ADJ;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
високий	hautes	високий	haut	ADJ;NOM;MASC;SG	ADJ;FEM;PL
високий	tall	високий	tall	ADJ;NOM;MASC;SG	PROPN
обробки	transformation	обробка	transformation	N;INAN;NOM;FEM;PL	N;FEM;SG
обробки	traitement	обробка	traitement	N;INAN;NOM;FEM;PL	N;MASC;SG
використовували	déployé	використовувати	déployer	V;IPFV;IND;PL;PST;FIN	V;MASC;SG;PST;V.PTCP
використовували	déployée	використовувати	déployer	V;IPFV;IND;PL;PST;FIN	V;FEM;SG;PST;V.PTCP
силами	powers	сила	power	N;INAN;INS;FEM;PL	PROPN
польські	polonaise	польський	polonais	ADJ;NOM;PL	ADJ;FEM;SG
польські	polonais	польський	polonais	ADJ;NOM;PL	ADJ;MASC;SG
вірменії	arménienne	вірменія	arménien	PROPN;INAN;GEN;FEM;SG	ADJ;FEM;SG
вірменії	arménie	вірменія	arménie	PROPN;INAN;GEN;FEM;SG	PROPN
архів	archivées	архів	archiver	N;INAN;NOM;MASC;SG	V;FEM;PL;PST;V.PTCP
архів	archivé	архів	archiver	N;INAN;NOM;MASC;SG	V;MASC;SG;PST;V.PTCP
архів	archivés	архів	archiver	N;INAN;NOM;MASC;SG	V;MASC;PL;PST;V.PTCP
архів	archiver	архів	archiver	N;INAN;NOM;MASC;SG	V;NFIN
архів	archives	архів	archive	N;INAN;NOM;MASC;SG	N;FEM;PL
банк	banques	банк	banque	N;INAN;NOM;MASC;SG	N;FEM;PL
світло	légère	світло	léger	N;INAN;NOM;NEUT;SG	ADJ;FEM;SG
світло	léger	світло	léger	N;INAN;NOM;NEUT;SG	ADJ;MASC;SG
світло	lumières	світло	lumière	N;INAN;NOM;NEUT;SG	N;FEM;PL
світло	luminaires	світло	luminaire	N;INAN;NOM;NEUT;SG	N;MASC;PL
попередній	prev	попередній	prev	ADJ;NOM;MASC;SG	
попередній	précédentes	попередній	précédent	ADJ;NOM;MASC;SG	ADJ;FEM;PL
попередній	précédents	попередній	précédent	ADJ;NOM;MASC;SG	ADJ;MASC;PL
естонії	estonie	естонія	estonie	PROPN;INAN;NOM;FEM;SG	N;FEM;SG
грузії	géorgie	грузія	géorgie	PROPN;INAN;GEN;FEM;SG	PROPN
грузії	georgie	грузія	georgie	PROPN;INAN;GEN;FEM;SG	N;FEM;SG
виграв	gagnées	виграти	gagnée	V;PFV;MASC;IND;SG;PST;FIN	V;FEM;PL;PST;V.PTCP
виграв	won	виграти	won	V;PFV;MASC;IND;SG;PST;FIN	
виграв	gagnés	виграти	gagner	V;PFV;MASC;IND;SG;PST;FIN	V;MASC;PL;PST;V.PTCP
дорівнює	égales	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;FEM;PL
дорівнює	égaux	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;PL
дорівнює	égal	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;SG
дорівнює	égale	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;FEM;SG
дорівнює	égale	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;FEM;SG
дорівнює	égaux	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;PL
дорівнює	égales	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;FEM;PL
дорівнює	égal	дорівнювати	égal	V;IPFV;IND;SG;3;PRS;FIN	ADJ;MASC;SG
будучи	être	бути	être	V;IPFV;PRS;V.CVB	V;NFIN
пише	écrit	писати	écrire	V;IPFV;IND;SG;3;PRS;FIN	V;MASC;SG;PST;V.PTCP
авіації	aviation	авіація	aviation	N;INAN;NOM;FEM;PL	N;FEM;SG
авіації	aéronautique	авіація	aéronautique	N;INAN;NOM;FEM;PL	ADJ;MASC;SG
федір	fedor	федір	fedor	PROPN;ANIM;NOM;MASC;SG	PROPN
федір	fiodor	федір	fiodor	PROPN;ANIM;NOM;MASC;SG	PROPN
найкращі	meilleure	найкращий	meilleur	ADJ;NOM;RL;PL	ADJ;FEM;SG
найкращі	meilleur	найкращий	meilleur	ADJ;NOM;RL;PL	ADJ;MASC;SG
найкращі	best	найкращий	best	ADJ;NOM;RL;PL	PROPN
японія	japon	японія	japon	PROPN;INAN;NOM;FEM;SG	PROPN
зміна	changeant	зміна	changer	N;INAN;NOM;FEM;SG	V;PRS;V.PTCP
зміна	changer	зміна	changer	N;INAN;NOM;FEM;SG	V;NFIN
зміна	modifiez	зміна	modifier	N;INAN;NOM;FEM;SG	V;IMP;PL;2;PRS;FIN
зміна	modifier	зміна	modifier	N;INAN;NOM;FEM;SG	V;NFIN
зміна	modifier	зміна	modifier	N;INAN;NOM;FEM;SG	V;NFIN
зміна	changements	зміна	changement	N;INAN;NOM;FEM;SG	N;MASC;PL
зміна	changer	зміна	changer	N;INAN;NOM;FEM;SG	V;NFIN
хтось	someone	хтось	someone	PRO;ANIM;NOM	N;MASC;SG
залишки	demeure	залишки	demeure	N;INAN;NOM;FEM;PL	N;FEM;SG
риб	pêcher	риба	pêcher	N;ANIM;ACC;FEM;PL	V;NFIN
риб	poisson	риба	poisson	N;ANIM;ACC;FEM;PL	N;MASC;SG
підписав	signées	підписати	signée	V;PFV;MASC;IND;SG;PST;FIN	V;FEM;PL;PST;V.PTCP
підписав	signés	підписати	signer	V;PFV;MASC;IND;SG;PST;FIN	V;MASC;PL;PST;V.PTCP
насамперед	fédéraux	насамперед	fédéral	ADV	ADJ;MASC;PL
випадків	cas	випадок	cas	N;INAN;GEN;MASC;PL	N;MASC;SG
тетяна	tatiana	тетяний	tatiana	PROPN;ANIM;NOM;FEM;SG	PROPN
тетяна	tatyana	тетяний	tatyana	PROPN;ANIM;NOM;FEM;SG	PROPN
тетяна	tatiana	тетяний	tatiana	PROPN;ANIM;NOM;FEM;SG	PROPN
технічні	technique	технічний	technique	ADJ;NOM;PL	ADJ;MASC;SG
метал	métaux	метал	métal	N;INAN;NOM;MASC;SG	N;MASC;PL
метал	métallique	метал	métallique	N;INAN;NOM;MASC;SG	ADJ;MASC;SG
метал	métalliques	метал	métallique	N;INAN;NOM;MASC;SG	ADJ;MASC;PL
стоїть	standing	стояти	standing	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;SG
стоїть	stands	стояти	stand	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;PL
стоїть	gradins	стояти	gradin	V;IPFV;IND;SG;3;PRS;FIN	N;MASC;PL
середнього	moyennes	середній	moyen	ADJ;GEN;MASC;SG	ADJ;FEM;PL
середнього	moyenne	середній	moyenne	ADJ;GEN;MASC;SG	N;FEM;SG
зустрічі	rencontre	зустріч	rencontre	N;INAN;NOM;FEM;PL	N;FEM;SG
зустрічі	réunion	зустріч	réunion	N;INAN;NOM;FEM;PL	N;FEM;SG
могила	tombes	могила	tombe	N;INAN;NOM;FEM;SG	N;FEM;PL
могила	tombe	могила	tomber	N;INAN;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
могила	tombe	могила	tomber	N;INAN;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
могила	grave	могила	grave	N;INAN;NOM;FEM;SG	ADJ;MASC;SG
могила	mogila	могила	mogila	N;INAN;NOM;FEM;SG	PROPN
малий	petits	малий	petit	ADJ;NOM;MASC;SG	ADJ;MASC;PL
малий	petites	малий	petit	ADJ;NOM;MASC;SG	ADJ;FEM;PL
малий	maly	малий	maly	ADJ;NOM;MASC;SG	PROPN
малий	mali	малий	mali	ADJ;NOM;MASC;SG	N;MASC;SG
румуни	roumains	румун	roumain	N;ANIM;NOM;MASC;PL	ADJ;MASC;PL
птахи	oiseau	птах	oiseau	N;ANIM;NOM;MASC;PL	N;MASC;SG
птахи	bird	птах	bird	N;ANIM;NOM;MASC;PL	PROPN
перехід	sauter	перехід	sauter	N;INAN;NOM;MASC;SG	V;NFIN
перехід	saute	перехід	sauter	N;INAN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
китаї	chine	китай	chine	PROPN;INAN;NOM;MASC;SG	N;FEM;SG
міжнародна	internationaux	міжнародний	international	ADJ;NOM;FEM;SG	ADJ;MASC;PL
функція	fonctions	функція	fonction	N;INAN;NOM;FEM;SG	N;FEM;PL
гармати	cannon	гармати	cannon	N;INAN;NOM;FEM;PL	PROPN
гармати	canon	гармати	canon	N;INAN;NOM;FEM;PL	N;MASC;SG
тур	dist	тур	dire	N;INAN;NOM;MASC;SG	
тур	tournée	тур	tourner	N;INAN;NOM;MASC;SG	V;FEM;SG;PST;V.PTCP
кордону	rim	кордон	rim	N;INAN;GEN;MASC;SG	PROPN
селяни	paysan	селянин	paysan	N;ANIM;NOM;MASC;PL	N;MASC;SG
селяни	paysanne	селянин	paysan	N;ANIM;NOM;MASC;PL	ADJ;FEM;SG
китай	chine	китай	chine	PROPN;INAN;NOM;MASC;SG	N;FEM;SG
тернопіль	ternopil	тернопіль	ternopil	PROPN;INAN;NOM;MASC;SG	PROPN
богдана	bohdan	богдан	bohdan	PROPN;ANIM;NOM;MASC;SG	PROPN
пер	pers	пер	pers		ADJ;MASC;SG
розміри	dimension	розмір	dimension	N;INAN;NOM;MASC;PL	N;FEM;SG
розміри	taille	розмір	taille	N;INAN;NOM;MASC;PL	N;FEM;SG
реформи	reforme	реформа	reformer	N;INAN;NOM;FEM;PL	N;FEM;SG
реформи	réformer	реформа	réformer	N;INAN;NOM;FEM;PL	V;NFIN
реформи	réforme	реформа	réforme	N;INAN;NOM;FEM;PL	N;FEM;SG
