som	لايك	som	لَايك	ADP	
mandag	الاثنين	mandag	اِثنَان	N;INDF;MASC;SG	N;NOM;DEF;SG
fremdeles	لسه	fremdeles	لسه	N;INDF;MASC;SG	
krav	المطالبة	krav	مُطَالَبَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
krav	المتطلبات	krav	مُتَطَلَّبَات	N;INDF;NEUT;SG	N;NOM;DEF;PL
krav	متطلبات	krav	مُتَطَلَّبَات	N;INDF;NEUT;SG	N;NOM;INDF;PL
krav	الاحتياجات	krav	اِحتِيَاج	N;INDF;NEUT;SG	N;NOM;DEF;PL
krav	الشروط	krav	شَرط	N;INDF;NEUT;SG	N;NOM;DEF;PL
krav	المطالب	krav	مَطلَب	N;INDF;NEUT;SG	N;NOM;DEF;PL
krav	مطالب	krav	مَطلَب	N;INDF;NEUT;SG	N;NOM;INDF;PL
rapport	الابلاغ	rapport	إِبلَاغ	N;INDF;MASC;SG	N;NOM;DEF;SG
rapport	التقرير	rapport	تَقرِير	N;INDF;MASC;SG	N;NOM;DEF;SG
tom	توم	tom	تَومّ	ADJ;INDF;SG	
black	اسود	black	أَسوَد	N	
black	بلاك	black	بلَاك	N	
black	سوداء	black	أَسوَد	N	ADJ;NOM;INDF;FEM;SG
fjerde	رابع	fjerde	رَابِع	ADJ;DEF;SG	ADJ;NOM;INDF;MASC;SG
fjerde	رابعة	fjerde	رَابِع	ADJ;DEF;SG	ADJ;NOM;INDF;FEM;SG
fjerde	رابعا	fjerde	رَابِع	ADJ;DEF;SG	ADJ;ACC;INDF;MASC;SG
lufthavn	المطار	lufthavn	مَطَار	N;INDF;MASC;SG	N;NOM;DEF;SG
vunnet	فاز	vunn	فَاز	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
vunnet	وون	vunn	وون	N;DEF;NEUT;SG	
mor	امي	mor	امي	N;INDF;FEM;SG	
mor	ام	mor	إِم	N;INDF;FEM;SG	
mor	الام	mor	أُمّ	N;INDF;FEM;SG	N;NOM;DEF;SG
havet	بحر	hav	بَحر	N;DEF;NEUT;SG	N;NOM;INDF;SG
forsøk	حاول	forsøk	حَاوَل	N;INDF;NEUT;SG	V;MASC;IMP;SG;FIN
forsøk	جرب	forsøk	جُرب	N;INDF;NEUT;SG	
forsøk	المحاولات	forsøk	مُحَاوَلَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
forsøk	محاولات	forsøk	مُحَاوَلَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
forsøk	المحاولة	forsøk	مُحَاوَلَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
angeles	جليس	angeles	جليس	N;INDF;SG	
polen	بولندا	pol	بُولَندَا	N;INDF;MASC;SG	
relativt	النسبي	relativ	نِسبِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
regjering	الوزارة	regjering	وِزَارَة	N;INDF;FEM;SG	N;NOM;DEF;SG
regjering	الحكومة	regjering	حُكُومَة	N;INDF;FEM;SG	N;NOM;DEF;SG
regjering	الحكومات	regjering	حُكُومَة	N;INDF;FEM;SG	N;NOM;DEF;PL
dårlig	باد	dårlig	بَاد	ADJ;INDF;NEUT;SG	
staten	دولة	stat	دَولَة	N;DEF;MASC;SG	N;NOM;INDF;SG
staten	ولاية	stat	وِلَايَة	N;DEF;MASC;SG	N;NOM;INDF;SG
erstattet	استبدل	erstatt	اِستَبدَل	N;DEF;NEUT;SG	V;PFV;MASC;SG;3;ACT
soldater	جنود	soldat	جُندِيّ	N;INDF;MASC;SG	N;NOM;INDF;PL
soldater	الجنود	soldat	جُندِيّ	N;INDF;MASC;SG	N;NOM;DEF;PL
kommet	وصل	komme	وَصَل		V;PFV;MASC;SG;3;ACT
kommet	وصلت	komme	وَصَل		V;PFV;FEM;SG;3;ACT
problemer	المشاكل	problem	مُشكِلَة	N;INDF;MASC;PL	N;NOM;DEF;PL
problemer	ورطة	problem	وَرَطَة	N;INDF;MASC;PL	N;NOM;INDF;SG
problemer	مشكلة	problem	مُشكِلَة	N;INDF;MASC;PL	N;NOM;INDF;SG
problemer	المشكلات	problem	مُشكِلَة	N;INDF;MASC;PL	N;NOM;DEF;PL
problemer	المشاكل	problem	مُشكِلَة	N;INDF;MASC;PL	N;NOM;DEF;PL
problemer	المسائل	problem	مَسأَلَة	N;INDF;MASC;PL	N;NOM;DEF;PL
problemer	القضايا	problem	قَضِيَّة	N;INDF;MASC;PL	N;NOM;DEF;PL
arbeider	العامل	arbeide	عَامِل	V;IND;PRS;FIN	N;NOM;DEF;SG
arbeider	عامل	arbeide	عَامِل	V;IND;PRS;FIN	N;NOM;INDF;SG
arbeider	اعمل	arbeide	عَمَل	V;IND;PRS;FIN	
hvite	بيضاء	hvite	بَيضَاء	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
hvite	الابيض	hvite	أَبيَض	N;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
hvite	وايت	hvite	وايت	N;INDF;NEUT;SG	
hvite	ابيض	hvite	أَبيَض	N;INDF;NEUT;SG	
filmer	الافلام	film	فِيلم	N;INDF;FEM;PL	N;NOM;DEF;PL
filmer	الافلام	film	فِيلم	N;INDF;FEM;PL	N;NOM;DEF;PL
skottland	اسكتلندا	skottland	إِسكُتلَندَا	N;INDF;MASC;SG	
sist	الاخيرة	sist	أَخِير	ADV	ADJ;NOM;DEF;FEM;SG
sist	اخر	sist	آخَر	ADV	ADJ;NOM;INDF;MASC;SG
sist	اخير	sist	أَخِير	ADV	ADJ;NOM;INDF;MASC;SG
sist	تدوم	sist	دَام	ADV	V;IPFV;FEM;IND;SG;3;FIN;ACT
sist	الاخير	sist	أَخِير	ADV	ADJ;NOM;DEF;MASC;SG
oversatt	مترجمة	oversatt	مُتَرَجِّم		N;NOM;INDF;SG
omfattende	شاملة	omfattende	شَامِل	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
omfattende	شامل	omfattende	شَامِل	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
listen	قائمة	list	قَائِمَة	N;DEF;MASC;SG	N;NOM;INDF;SG
listen	قائمه	list	قائمه	N;DEF;MASC;SG	
dyr	حيوانات	dyr	حيوانات	N;INDF;NEUT;SG	N;NOM;INDF;PL
dyr	الحيوانات	dyr	حَيَوَان	N;INDF;NEUT;SG	N;NOM;DEF;PL
dyr	حيوانية	dyr	حيوانية	N;INDF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
dyr	الحيوان	dyr	حَيَان	N;INDF;NEUT;SG	N;NOM;DEF;SG
hjem	المنزل	hjem	مَنزِل	N;INDF;NEUT;SG	N;NOM;DEF;SG
hjem	الوطن	hjem	وَطَن	N;INDF;NEUT;SG	N;NOM;DEF;SG
hjem	البيت	hjem	بَيت	N;INDF;NEUT;SG	N;NOM;DEF;SG
skipet	سفينة	skip	سَفِينَة	N;DEF;NEUT;SG	N;NOM;INDF;SG
litteratur	الادب	litteratur	أَدَب	N;INDF;MASC;SG	N;NOM;DEF;SG
litteratur	ادب	litteratur	أَدَب	N;INDF;MASC;SG	
trommer	براميل	tromme	بَرمِيل	N;INDF;FEM;PL	
trommer	الطبول	tromme	طُبُول	N;INDF;FEM;PL	N;NOM;DEF;SG
oppført	مدرجة	oppføre	مَدرَجَة	ADJ;INDF;SG;V.PTCP	N;NOM;INDF;SG
oppført	مدرج	oppføre	مُدَرِّج	ADJ;INDF;SG;V.PTCP	N;NOM;INDF;SG
grensen	حدود	grens	حَدّ	N;DEF;MASC;SG	N;NOM;INDF;PL
grensen	الحدود	grens	حَدّ	N;DEF;MASC;SG	N;NOM;DEF;PL
vestlige	غربي	vestlig	غَربِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
vestlige	غربية	vestlig	غَربِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
vestlige	الغربية	vestlig	غَربِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
vestlige	غرب	vestlig	غَرب	ADJ;PL	N;NOM;INDF;SG
system	النظام	system	نِظَام	N;INDF;NEUT;SG	N;NOM;DEF;SG
system	المنظومة	system	مَنظُومَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
system	نظم	system	نَظَّم	N;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
system	الانظمة	system	نِظَام	N;INDF;NEUT;SG	N;NOM;DEF;PL
system	النظم	system	نِظَام	N;INDF;NEUT;SG	N;NOM;DEF;PL
system	انظمة	system	نِظَام	N;INDF;NEUT;SG	N;NOM;INDF;PL
bind	التعادل	binde	تَعَادُل	N;INDF;NEUT;SG	N;NOM;DEF;SG
love	العشق	love	عِشق	N;INDF;FEM;SG	N;NOM;DEF;SG
love	احب	love	احب	N;INDF;FEM;SG	
love	الحب	love	حُبّ	N;INDF;FEM;SG	N;NOM;DEF;SG
bass	الباس	bass	بَاس	N;INDF;MASC;SG	
bass	باس	bass	بَاس	N;INDF;MASC;SG	
offentlig	الجمهور	offentlig	جُمهُور	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
offentlig	عام	offentlig	عَام	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
offentlig	العامة	offentlig	عَامَّة	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
offentlig	علانية	offentlig	عَلَانِيَّة	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
offentlig	علنا	offentlig	عَلَن	ADJ;INDF;NEUT;SG	N;ACC;INDF;SG
huset	منزل	hus	مَنزِل	N;DEF;NEUT;SG	N;NOM;INDF;SG
huset	هاوس	hus	هاوس	N;DEF;NEUT;SG	
hvem	من	hvem	مِن	N;INDF;MASC;SG	ADP
hvem	اللي	hvem	لَيّ	N;INDF;MASC;SG	
oldid	oldid	oldid	اِضحَثّ	N;INDF;MASC;SG	
spansk	الاسبانية	spansk	إِسبَانِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
spansk	اسبانية	spansk	إِسبَانِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
spansk	اسباني	spansk	إِسبَانِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
spansk	اسبانيا	spansk	إِسبَانِيَا	N;INDF;MASC;SG	
årlig	السنوي	årlig	سَنَوِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
årlig	السنوية	årlig	سَنَوِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;FEM;SG
bjørn	الدب	bjørn	دَبّ	N;INDF;MASC;SG	N;NOM;DEF;SG
bjørn	بير	bjørn	بَير	N;INDF;MASC;SG	
trenger	حاجة	trenger	حَاجَة	V;IND;PRS;FIN	N;NOM;INDF;SG
trenger	الحاجة	trenger	حَاجَة	V;IND;PRS;FIN	N;NOM;DEF;SG
enda	بعد	enda	بَعدَ	ADV	ADP;NOM
brukere	المستخدمون	brukere	مُستَخدِم	V;NFIN	N;NOM;DEF;PL
brukere	مستخدمون	brukere	مُستَخدِم	V;NFIN	N;NOM;INDF;PL
brukere	المستخدمين	brukere	مُستَخدِم	V;NFIN	N;ACC;DEF;PL
brukere	مستخدمين	brukere	مُستَخدَم	V;NFIN	N;ACC;INDF;PL
brukere	مستخدمو	brukere	مُستَخدِم	V;NFIN	N;NOM;INDF;PL
faktisk	بالحقيقة	faktisk	بِلحَقِيقَة	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
hæren	جيش	hær	جَيش	N;DEF;MASC;SG	N;NOM;INDF;SG
utvalg	العينة	utvalg	عَينَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
utvalg	الانتقاء	utvalg	اِنتِقَاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
utvalg	الاختيار	utvalg	اِختِيَار	N;INDF;NEUT;SG	N;NOM;DEF;SG
utvalg	التحديد	utvalg	تَحدِيد	N;INDF;NEUT;SG	N;NOM;DEF;SG
fjell	ماونتن	fjell	مُاُونَة	N;INDF;NEUT;SG	
fjell	جبل	fjell	جَبَل	N;INDF;NEUT;SG	
fjell	الجبل	fjell	جَبَل	N;INDF;NEUT;SG	N;NOM;DEF;SG
fjell	جبال	fjell	جَبَل	N;INDF;NEUT;SG	N;NOM;INDF;PL
fjell	الجبال	fjell	جَبَل	N;INDF;NEUT;SG	N;NOM;DEF;PL
måneder	الاشهر	måned	شَهر	N;INDF;MASC;PL	N;NOM;DEF;PL
måneder	الشهور	måned	شَهر	N;INDF;MASC;PL	N;NOM;DEF;PL
gått	مشيت	gå	مشيت	V;V.PTCP	
århundre	القرن	århundre	قَرن	N;INDF;NEUT;SG	N;NOM;DEF;SG
irland	ايرلندا	irland	إِيرلَندَا	N;INDF;NEUT;SG	
henry	هنرى	henry	هِنرِيّ	N;INDF;MASC;SG	
henry	هنري	henry	هِنرِي	N;INDF;MASC;SG	
jobbet	عملت	jobb	عَمِل	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;ACT
biskop	الاسقف	biskop	الاسقف	N;INDF;MASC;SG	N;NOM;DEF;SG
biskop	اسقف	biskop	اسقف	N;INDF;MASC;SG	
biskop	بيشوب	biskop	بيشوب	N;INDF;MASC;SG	
anders	اندرس	anders	أَندرِس	N;MASC	
offisielt	الرسمي	offisiell	رَسمِيّ	ADJ;INDF;NEUT;SG	ADJ;NOM;DEF;MASC;SG
offisielt	مسؤول	offisiell	مَسؤُول	ADJ;INDF;NEUT;SG	N;NOM;INDF;SG
offentlige	الجمهور	offentlige	جُمهُور	ADJ;PL	N;NOM;DEF;SG
offentlige	عام	offentlige	عَام	ADJ;PL	N;NOM;INDF;SG
offentlige	العامة	offentlige	عَامَّة	ADJ;PL	N;NOM;DEF;SG
offentlige	عامة	offentlige	عَامّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
offentlige	علنية	offentlige	عَلَنِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
svarte	اجاب	svart	أَجَاب	ADJ;PL	
svarte	ردت	svart	رَدّ	ADJ;PL	V;PFV;FEM;SG;3;ACT
svarte	ورد	svart	وَرَد	ADJ;PL	
svarte	الاسود	svart	أَسوَد	ADJ;PL	N;NOM;DEF;SG
svarte	اسود	svart	أَسوَد	ADJ;PL	
svarte	بلاك	svart	بلَاك	ADJ;PL	
svarte	سوداء	svart	أَسوَد	ADJ;PL	ADJ;NOM;INDF;FEM;SG
stortinget	برلمان	storting	بَرلَمَان	N;DEF;NEUT;SG	N;NOM;INDF;SG
lille	الصغير	lilje	صَغِير	N;INDF;MASC;SG	
lille	قليل	lilje	قَلِيل	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
lille	القليل	lilje	قَلِيل	N;INDF;MASC;SG	
beijing	بكين	beijing	بِكِين	N;INDF;FEM;SG	
beijing	بيجين	beijing	بِيجِين	N;INDF;FEM;SG	
beijing	بكين	beijing	بِكِين	N;INDF;FEM;SG	
johannes	يوهانس	johannes	وَ	N;INDF;MASC;SG	
utvidet	مددت	utvid	مَدَّد	N;DEF;NEUT;SG	V;PFV;FEM;SG;3;ACT
utvidet	مدد	utvid	مُدَّة	N;DEF;NEUT;SG	N;NOM;INDF;SG
utvidet	موسعة	utvid	مُوسِع	N;DEF;NEUT;SG	ADJ;NOM;INDF;FEM;SG
utvidet	موسع	utvid	مُوَسَّع	N;DEF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
tour	الجولة	tour	جَولَة	N;INDF;SG	N;NOM;DEF;SG
sveits	يسرا	sveits	سَرّ	N;INDF;MASC;SG	
sveits	سويسرا	sveits	سُوِيسرَا	N;INDF;MASC;SG	
forskning	بحوث	forsking	بَحث	N;INDF;FEM;SG	N;NOM;INDF;PL
forskning	الابحاث	forsking	بَحث	N;INDF;FEM;SG	N;NOM;DEF;PL
forskning	ابحاث	forsking	بَحث	N;INDF;FEM;SG	N;NOM;INDF;PL
forskning	بحث	forsking	بَحَث	N;INDF;FEM;SG	V;PFV;MASC;SG;3;ACT
forskning	البحوث	forsking	بَحث	N;INDF;FEM;SG	N;NOM;DEF;PL
forskning	البحث	forsking	بَحث	N;INDF;FEM;SG	N;NOM;DEF;SG
produksjon	الصنع	produksjon	صَنع	N;INDF;MASC;SG	N;NOM;DEF;SG
produksjon	التصنيع	produksjon	تَصنِيع	N;INDF;MASC;SG	N;NOM;DEF;SG
produksjon	الانتاج	produksjon	إِنتَاج	N;INDF;MASC;SG	N;NOM;DEF;SG
produksjon	التصنيع	produksjon	تَصنِيع	N;INDF;MASC;SG	N;NOM;DEF;SG
linje	السطر	linje	سِطر	N;INDF;FEM;SG	N;NOM;DEF;SG
linje	الخط	linje	خَطّ	N;INDF;FEM;SG	N;NOM;DEF;SG
lys	خفيف	lys	خفيف	N;INDF;NEUT;SG	ADJ;NOM;INDF;MASC;SG
lys	الخفيفة	lys	خَفِيف	N;INDF;NEUT;SG	N;NOM;DEF;SG
lys	النور	lys	النور	N;INDF;NEUT;SG	N;NOM;DEF;SG
lys	فاتح	lys	فاتح	N;INDF;NEUT;SG	
lys	نور	lys	نور	N;INDF;NEUT;SG	
lys	الشمعة	lys	شُمعَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
lignende	مشابهة	lignende	مُشَابِه	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
lignende	مماثل	lignende	مُمَاثِل	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
lignende	مماثلة	lignende	مُمَاثِل	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
lignende	مشابه	lignende	مشابه	N;INDF;MASC;SG	
begynner	بداية	begynne	بِدَايَة	V;IND;PRS;FIN	N;NOM;INDF;SG
begynner	البداية	begynne	بِدَايَة	V;IND;PRS;FIN	N;NOM;DEF;SG
begynner	بدء	begynne	بَدء	V;IND;PRS;FIN	N;NOM;INDF;SG
begynner	البدء	begynne	بَدء	V;IND;PRS;FIN	N;NOM;DEF;SG
redaktør	محررة	redaktør	محررة	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
redaktør	المحرر	redaktør	مُحَرَّر	N;INDF;MASC;SG	N;NOM;DEF;SG
stasjon	المحطة	stasjon	مَحَطَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
kunst	الفن	kunst	فَنّ	N;INDF;FEM;SG	N;NOM;DEF;SG
kunst	ارت	kunst	أَرت	N;INDF;FEM;SG	
kunst	فن	kunst	فَنّ	N;INDF;FEM;SG	
universitet	الجامعة	universitet	جَامِعَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
seier	نصر	seie	نصر	V;IND;PRS;FIN	
seier	النصر	seie	النصر	V;IND;PRS;FIN	
seier	الانتصار	seie	اِنتِصَار	V;IND;PRS;FIN	N;NOM;DEF;SG
seier	انتصار	seie	اِنتِصَار	V;IND;PRS;FIN	N;NOM;INDF;SG
deltakere	المشاركون	deltakere	مُشَارِك	N;INDF;NEUT;SG	N;NOM;DEF;PL
deltakere	المشتركون	deltakere	مُشتَرَك	N;INDF;NEUT;SG	N;NOM;DEF;PL
deltakere	الحضور	deltakere	حُضُور	N;INDF;NEUT;SG	N;NOM;DEF;SG
radio	المذياع	radio	مِذيَاع	N;INDF;MASC;SG	N;NOM;DEF;SG
radio	راديو	radio	راديو	N;INDF;MASC;SG	
radio	الراديو	radio	رَادِيُو	N;INDF;MASC;SG	N;NOM;DEF;SG
radio	الاذاعة	radio	إِذَاعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
fredag	الجمعه	fredag	الجمعه	N;INDF;MASC;SG	N;NOM;DEF;SG
fredag	الجمعة	fredag	جُمعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
direktør	المديرة	direktør	مُدِير	N;INDF;MASC;SG	N;NOM;DEF;SG
direktør	المدير	direktør	مُدِير	N;INDF;MASC;SG	N;NOM;DEF;SG
direktør	المخرج	direktør	مُخرِج	N;INDF;MASC;SG	N;NOM;DEF;SG
grupper	الجماعات	gruppe	جَمَاعَة	N;INDF;FEM;PL	N;NOM;DEF;PL
grupper	المجموعات	gruppe	مَجمُوعَة	N;INDF;FEM;PL	N;NOM;DEF;PL
enig	اتفق	enig	اِتَّفَق	ADJ;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
enig	اتفق	enig	اِتَّفَق	ADJ;INDF;NEUT;SG	V;PFV;MASC;SG;3;ACT
enig	اوافق	enig	أَوَّق	ADJ;INDF;NEUT;SG	
enig	نتفق	enig	نتفق	ADJ;INDF;NEUT;SG	V;IPFV;MASC;IND;PL;1;FIN;ACT
damer	السيدات	dame	سَيِّدَة	N;INDF;FEM;PL	N;NOM;DEF;PL
damer	سيداتي	dame	سيداتي	N;INDF;FEM;PL	
kontroll	التحكم	kontroll	تَحَكُّم	N;INDF;MASC;SG	N;NOM;DEF;SG
kontroll	السيطرة	kontroll	سَيطَرَة	N;INDF;MASC;SG	N;NOM;DEF;SG
kontroll	تحكم	kontroll	حَكَم	N;INDF;MASC;SG	
history	التاريخ	history	تَارِيخ	N;INDF;NEUT;SG	N;NOM;DEF;SG
keiser	الامبراطور	keise	أَمبِرَاطُور	N;INDF;MASC;SG	N;NOM;DEF;SG
keiser	امبراطور	keise	امبراطور	N;INDF;MASC;SG	
bra	الخير	bra	خَير	ADJ;INDF;NEUT;SG	N;NOM;DEF;SG
bra	طيب	bra	طيب	ADJ;INDF;NEUT;SG	
bra	بخير	bra	بخير	ADJ;INDF;NEUT;SG	
rike	ثريا	rik	ثَرِّيّ	ADJ;PL	
rike	غني	rik	غَنِّيّ	ADJ;PL	
rike	ريتش	rik	ريتش	ADJ;PL	
rike	الغنية	rik	غَنِيّ	ADJ;PL	ADJ;NOM;DEF;FEM;SG
rike	ثري	rik	ثري	ADJ;PL	
rike	غنية	rik	غَنِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
egypt	egy	egypt	كَثَّم	N;INDF;MASC;SG	
tap	الخسارة	tap	خَسَارَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
tap	خسائر	tap	خَسَارَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
tap	الخسائر	tap	خَسَارَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
tap	الاصابات	tap	إِصَابَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
tap	اصابات	tap	إِصَابَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
onsdag	الاربعاء	onsdag	أَربِعَاء	N;INDF;MASC;SG	N;NOM;DEF;SG
musiker	موسيقية	musiker	مُوسِيقِيّ	N;INDF;MASC;SG	ADJ;NOM;INDF;FEM;SG
politikk	السياسات	politikk	سِيَاسَة	N;INDF;MASC;SG	N;NOM;DEF;PL
politikk	السياسة	politikk	سِيَاسَة	N;INDF;MASC;SG	N;NOM;DEF;SG
politikk	سياسات	politikk	سِيَاسَة	N;INDF;MASC;SG	N;NOM;INDF;PL
politikk	السياسات	politikk	سِيَاسَة	N;INDF;MASC;SG	N;NOM;DEF;PL
trakk	درو	trekkje	دَرُو	V;IND;PST;FIN	
harry	هارى	harry	هارى	N;INDF;MASC;SG	
harry	هاري	harry	هاري	N;INDF;MASC;SG	
tilfeller	الحالات	tilfelle	حَالَة	N;INDF;FEM;PL	N;NOM;DEF;PL
tilfeller	القضايا	tilfelle	قَضِيَّة	N;INDF;FEM;PL	N;NOM;DEF;PL
nevnt	ذكرت	nevne	ذَكَر	ADJ;INDF;NEUT;SG;V.PTCP	V;PFV;FEM;SG;3;ACT
syv	سبع	syve	سَبعَة		NUM;NOM;INDF;FEM
syv	se	syve	إِشَّ		
syv	سبعة	syve	سَبعَة		NUM;NOM;INDF;MASC
syv	السبعة	syve	سَبعَة		NUM;NOM;DEF;MASC
ansatte	العاملون	ansatte	عَامِل	N;INDF;FEM;SG	N;NOM;DEF;PL
ansatte	موظفين	ansatte	مُوَظَّف	N;INDF;FEM;SG	N;NOM;INDF;PL
ansatte	الموظفون	ansatte	مُوَظَّف	N;INDF;FEM;SG	N;NOM;DEF;PL
ansatte	الموظفين	ansatte	مُوَظَّف	N;INDF;FEM;SG	N;NOM;DEF;PL
italienske	ايطالي	italiensk	إِيطَالِيّ	ADJ;PL	ADJ;NOM;INDF;MASC;SG
italienske	الايطالية	italiensk	إِيطَالِيَّة	ADJ;PL	N;NOM;DEF;SG
italienske	ايطالية	italiensk	إِيطَالِيّ	ADJ;PL	ADJ;NOM;INDF;FEM;SG
italienske	ايطاليا	italiensk	إِيطَالِيَا	ADJ;PL	
italienske	الايطالي	italiensk	إِيطَالِيّ	ADJ;PL	N;NOM;DEF;SG
nivå	المستوى	nivå	مُستَوَى	N;INDF;NEUT;SG	N;NOM;DEF;SG
dato	الموعد	dato	مَوعِد	N;INDF;MASC;SG	N;NOM;DEF;SG
dato	التاريخ	dato	تَارِيخ	N;INDF;MASC;SG	N;NOM;DEF;SG
dato	تواريخ	dato	تَورِيخ	N;INDF;MASC;SG	N;NOM;INDF;PL
dato	المواعيد	dato	مِيعَاد	N;INDF;MASC;SG	N;NOM;DEF;PL
dato	مواعيد	dato	مَوعِد	N;INDF;MASC;SG	N;NOM;INDF;PL
dato	التواريخ	dato	تَورِيخ	N;INDF;MASC;SG	N;NOM;DEF;PL
bakgrunn	الخلفية	bakgrunn	خَلفِيَّة	N;INDF;MASC;SG	N;NOM;DEF;SG
bygge	البناء	bygge	بِنَاء	N;INDF;NEUT;SG	N;NOM;DEF;SG
bygge	المبنى	bygge	مَبنَى	N;INDF;NEUT;SG	N;NOM;DEF;SG
bygge	البناية	bygge	بِنَايَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
bygge	نبني	bygge	نبني	N;INDF;NEUT;SG	
time	ساعه	time	ساعه	N;INDF;MASC;SG	
time	الساعة	time	سَاعَة	N;INDF;MASC;SG	N;NOM;DEF;SG
hodet	راسي	hod	راسي	N;DEF;NEUT;SG	
hodet	راس	hod	رَأس	N;DEF;NEUT;SG	
bidrag	التبرع	bidrag	تَبَرُّع	N;INDF;NEUT;SG	N;NOM;DEF;SG
bidrag	تبرعات	bidrag	تَبَرُّع	N;INDF;NEUT;SG	N;NOM;INDF;PL
bidrag	المنح	bidrag	مِنحَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
bidrag	الهبات	bidrag	هَبَات	N;INDF;NEUT;SG	N;NOM;DEF;PL
bidrag	التبرعات	bidrag	تَبَرُّع	N;INDF;NEUT;SG	N;NOM;DEF;PL
bidrag	الاسهام	bidrag	إِسهَام	N;INDF;NEUT;SG	N;NOM;DEF;SG
bidrag	المساهمة	bidrag	مُسَاهَمَة	N;INDF;NEUT;SG	N;NOM;DEF;SG
bidrag	الاشتراكات	bidrag	اِشتِرَاك	N;INDF;NEUT;SG	N;NOM;DEF;PL
bidrag	المساهمات	bidrag	مُسَاهَمَة	N;INDF;NEUT;SG	N;NOM;DEF;PL
bidrag	مساهمات	bidrag	مُسَاهَمَة	N;INDF;NEUT;SG	N;NOM;INDF;PL
bidrag	التبرعات	bidrag	تَبَرُّع	N;INDF;NEUT;SG	N;NOM;DEF;PL
lenke	الرابط	lenke	رَابِط	N;INDF;MASC;SG	N;NOM;DEF;SG
lenke	لينك	lenke	لينك	N;INDF;MASC;SG	
referanser	المراجع	referanse	المراجع	N;INDF;NEUT;SG	N;NOM;DEF;PL
referanser	مراجع	referanse	مَرجَع	N;INDF;NEUT;SG	N;NOM;INDF;PL
andreas	اندرياس	andre	أَندرِيَاس	N;INDF;MASC;SG	
valget	انتخاب	valg	اِنتِخَاب	N;DEF;NEUT;SG	N;NOM;INDF;SG
valget	الانتخابات	valg	اِنتِخَاب	N;DEF;NEUT;SG	N;NOM;DEF;PL
valget	انتخابات	valg	اِنتِخَاب	N;DEF;NEUT;SG	N;NOM;INDF;PL
journalist	الصحفي	journalist	صُحُفِيّ	N;INDF;MASC;SG	N;NOM;DEF;SG
