johannes	johannes	johanne	johannes	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
veicināšana	promocijo	veicināšana	promocija	N;NOM;FEM;SG	N;ACC;FEM;SG
nora	nora	nora	nor	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
sur	sur	sur	sur		PROPN;NOM;MASC;SG
log	dnevnik	logt	dnevnik		N;NOM;MASC;SG
log	log	logt	log		N;NOM;MASC;SG
log	deblo	logt	deblo		N;NOM;NEUT;SG
pagarināts	razširjeni	pagarināt	razširjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
pagarināts	razširjeno	pagarināt	razširjeno	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pagarināts	podaljšana	pagarināt	podaljšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
pagarināts	podaljšano	pagarināt	podaljšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pagarināts	razširjena	pagarināt	razširjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
pagarināts	podaljšan	pagarināt	podaljšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
pagarināts	podaljšano	pagarināt	podaljšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pagarināts	podaljšan	pagarināt	podaljšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
pagarināts	podaljšana	pagarināt	podaljšan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
gultas	postelj	gulta	postelja	N;NOM;FEM;PL	N;GEN;FEM;PL
gultas	postelja	gulta	postelja	N;NOM;FEM;PL	N;NOM;FEM;SG
gultas	posteljo	gulta	postelja	N;NOM;FEM;PL	N;ACC;FEM;SG
karaļi	kralje	karalis	kralj	N;NOM;MASC;PL	N;ACC;MASC;PL
hamburgā	hamburg	hamburga	hamburg	N;ESS;MASC;SG	PROPN;NOM;MASC;SG
olivers	oliver	olivers	oliver	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
olivers	oliverja	olivers	oliver	PROPN;NOM;MASC;SG	N;ACC;MASC;SG
atnesa	pripeljan	atnest	pripeljan	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
organismi	organizme	organisms	organizem	N;NOM;MASC;PL	N;ACC;MASC;PL
vienpadsmit	eleven	vienpadsmit	eleven	NUM;PL	N;NOM;MASC;SG
ceļotājs	popotnika	ceļotājs	popotnika	N;NOM;MASC;SG	N;ANIM;ACC;MASC;SG
simti	sto	simti	sto	N;NOM;MASC;PL	NUM;NOM;PL
simti	stotine	simti	stotina	N;NOM;MASC;PL	N;NOM;FEM;SG
skaidro	razlaga	skaidrot	razlagati	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;FEM;SG
latgale	latgale	latgale	latgati	N;NOM;FEM;SG	V;IPFV;FEM;PL;V.PTCP
sociālais	socialne	sociāls	socialen	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
darīts	storjeno	darīt	storjen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
darīts	končano	darīt	končan	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
darīts	opravljeno	darīt	opravljen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
darīts	narejeno	darīt	narejen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
faila	datoteko	faila	datoteka	N;NOM;MASC;SG	N;ACC;FEM;SG
abū	yas	abū	yas	PROPN	PROPN;NOM;MASC;SG
modas	maud	moda	maud	N;NOM;FEM;PL	N;NOM;FEM;SG
likteni	usoda	liktene	usoda	N;ACC;MASC;SG	N;NOM;FEM;SG
likteni	usoda	liktene	usoda	N;ACC;MASC;SG	N;NOM;FEM;SG
dieviete	boginjo	dieviete	boginja	N;NOM;FEM;SG	N;ACC;FEM;SG
briesmas	nevarnosti	briesmas	nevarnost	N;NOM;FEM	N;GEN;FEM;PL
briesmas	nevarnost	briesmas	nevarnost	N;NOM;FEM	N;NOM;FEM;SG
barjeru	ovira	barjera	ovira	N;ACC;MASC;SG	N;NOM;FEM;SG
barjeru	pregrada	barjera	pregrada	N;ACC;MASC;SG	N;NOM;FEM;SG
atvaļināts	upokojeni	atvaļināt	upokojen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;DEF;MASC;SG
atvaļināts	upokojen	atvaļināt	upokojen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
džeina	jane	džeins	jane	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
džeina	jayne	džeins	jayen	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
novērotas	opažena	novērot	opažen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
novērotas	opaženi	novērot	opažen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
novērotas	opažene	novērot	opažen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
novērotas	opaženo	novērot	opažen	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
sociālistu	socialdemokratov	sociālists	socialdemokrat	N;ACC;MASC;SG	N;GEN;MASC;PL
piecdesmit	fifty	piecdesmit	fifty	NUM;PL	
piekļūt	dostop	piekļūt	dostop	V;POS;NFIN	N;NOM;MASC;SG
atcelta	odpovedal	atcelt	odpovedati	ADJ;NOM;FEM;SG	V;PFV;MASC;SG;V.PTCP
barbara	barbara	barbars	barbara	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
politiķi	politikov	politiķis	politik	N;NOM;MASC;PL	N;GEN;MASC;PL
stratēģijas	strategij	stratēģija	strategija	N;NOM;FEM;PL	N;GEN;FEM;PL
tuvākā	najbližji	tuvs	blizek	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;DEF;RL;MASC;SG
tuvākā	najbližja	tuvs	blizek	ADJ;NOM;CMPR;FEM;SG	ADJ;NOM;RL;FEM;SG
tuvākā	najbližje	tuvs	ulizek	ADJ;NOM;CMPR;FEM;SG	ADV;RL
masačūsetsas	massachusetts	masačūsets	massachusetts	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
failus	datotek	fails	datoteka	N;ACC;MASC;PL	N;GEN;FEM;PL
failus	datoteke	fails	datoteka	N;ACC;MASC;PL	N;NOM;FEM;PL
prezidentūras	predsedstvo	prezidentūra	predsedstvo	N;NOM;FEM;PL	N;NOM;NEUT;SG
prezidentūras	predsedovanje	prezidentūra	predsedovanje	N;NOM;FEM;PL	N;NOM;NEUT;SG
sēj	posejana	sēja	posejan	V;FH;IND;3;POS;PRS;FIN;ACT	ADJ;NOM;FEM;SG;V.PTCP
neapoles	neapelj	neapole	neapelj	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG
neapoles	neaplju	neapole	neapelj	PROPN;NOM;FEM;SG	PROPN;DAT;MASC;SG
kaļķu	apna	kaļķis	apna	N;GEN;MASC;PL	N;NOM;MASC;SG
kaļķu	apno	kaļķis	apen	N;GEN;MASC;PL	N;NOM;FEM;SG
čaka	chuck	čaka	chucka	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
čaka	chucka	čaka	chucka	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
uzstādīt	komplet	uzstādīt	komplet	V;POS;NFIN	N;NOM;MASC;SG
uzstādīt	namestitev	uzstādīt	namestitev	V;POS;NFIN	N;NOM;FEM;SG
uzstādīt	vgrajena	uzstādīt	vgrajen	V;POS;NFIN	ADJ;NOM;FEM;SG;V.PTCP
uzstādīt	nameščeni	uzstādīt	nameščen	V;POS;NFIN	ADJ;NOM;MASC;PL;V.PTCP
uzstādīt	vgrajeni	uzstādīt	vgrajen	V;POS;NFIN	ADJ;NOM;MASC;PL;V.PTCP
uzstādīt	nameščena	uzstādīt	nameščen	V;POS;NFIN	ADJ;NOM;FEM;SG;V.PTCP
uzstādīt	nameščen	uzstādīt	nameščen	V;POS;NFIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
uzstādīt	vgrajen	uzstādīt	vgrajen	V;POS;NFIN	ADJ;NOM;INDF;MASC;SG;V.PTCP
pastāvīga	trajno	pastāvīga	trajno	ADJ;NOM;FEM;SG	ADV
nogāzes	naklon	nogāze	naklon	N;NOM;FEM;PL	N;NOM;MASC;SG
nogāzes	nagib	nogāze	nagib	N;NOM;FEM;PL	N;NOM;MASC;SG
nogāzes	pobočjih	nogāze	pobočje	N;NOM;FEM;PL	N;ESS;NEUT;PL
noslēdz	zapre	noslēgt	zapreti	V;FH;IND;SG;2;POS;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
ienaidnieks	sovražniki	ienaidnieks	sovražnik	N;NOM;MASC;SG	N;NOM;MASC;PL
pagātnes	pretekli	pagātne	pretekel	N;NOM;FEM;PL	ADJ;NOM;MASC;PL;V.PTCP
pagātnes	preteklost	pagātne	preteklost	N;NOM;FEM;PL	N;NOM;FEM;SG
pagātnes	preteklosti	pagātne	preteklost	N;NOM;FEM;PL	N;GEN;FEM;SG
piedzīvojumi	pustolovščina	piedzīvojums	pustolovščina	N;NOM;MASC;PL	N;NOM;FEM;SG
piedzīvojumi	pustolovščino	piedzīvojums	pustolovščina	N;NOM;MASC;PL	N;ACC;FEM;SG
piedzīvojumi	avantura	piedzīvojums	avantura	N;NOM;MASC;PL	N;NOM;FEM;SG
atvērt	odprto	atvērt	odprt	V;POS;NFIN	ADJ;NOM;NEUT;SG;V.PTCP
hiēnas	hijene	hiēna	hijen	N;NOM;FEM;PL	ADJ;NOM;FEM;PL;V.PTCP
uzsver	povzetki	uzsvērt	povzetek	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;MASC;PL
donavas	donavi	donava	donava	N;NOM;FEM;PL	N;NOM;FEM;SG
auss	ušesa	auss	uho	N;NOM;FEM;SG	N;NOM;NEUT;PL
kviešu	pšenični	kvietis	pšeničen	N;GEN;MASC;PL	ADJ;NOM;DEF;MASC;SG
kviešu	pšenica	kvietis	pšenica	N;GEN;MASC;PL	N;NOM;FEM;SG
kviešu	pšenico	kvietis	pšenica	N;GEN;MASC;PL	N;ACC;FEM;SG
kviešu	pšenice	kvietis	pšenica	N;GEN;MASC;PL	N;NOM;FEM;PL
šaura	ozko	šaura	ozko	ADJ;NOM;FEM;SG	ADV
šaura	ozki	šaura	ozek	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
šaura	ozke	šaura	ozek	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
ledu	led	ledus	led	N;ACC;MASC	N;NOM;MASC;SG
ledu	ice	ledus	ice	N;ACC;MASC	
ledu	ledom	ledus	led	N;ACC;MASC	N;DAT;MASC;PL
neolīta	neolitika	neolīt	neolitik	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	N;GEN;MASC;SG
izgatavota	proizvedeno	izgatavot	proizveden	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
izgatavota	proizveden	izgatavot	proizveden	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
izgatavota	izdelano	izgatavot	izdelan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
izgatavota	izdelan	izgatavot	izdelan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
izgatavota	izdelane	izgatavot	izdelan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
egejas	egejskih	egeja	egejski	N;NOM;FEM;PL	ADJ;GEN;MASC;PL
ienākumus	dohodek	ienākums	dohodek	N;ACC;MASC;PL	N;NOM;MASC;SG
ienākumus	dohodka	ienākums	dohodek	N;ACC;MASC;PL	N;GEN;MASC;SG
ienākumus	dohodki	ienākums	dohodek	N;ACC;MASC;PL	N;NOM;MASC;PL
ienākumus	prihodki	ienākums	prihodek	N;ACC;MASC;PL	N;NOM;MASC;PL
ienākumus	prihodek	ienākums	prihodek	N;ACC;MASC;PL	N;NOM;MASC;SG
jaunākie	najnovejši	jauns	nov	ADJ;NOM;CMPR;MASC;PL	ADJ;NOM;DEF;RL;MASC;SG
jaunākie	najnovejše	jauns	nov	ADJ;NOM;CMPR;MASC;PL	ADJ;NOM;RL;FEM;SG
jaunākie	najnovejša	jauns	nov	ADJ;NOM;CMPR;MASC;PL	ADJ;NOM;RL;FEM;SG
lode	metka	lode	metek	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
skalas	tehtnica	skala	tehtnica	N;NOM;FEM;PL	N;NOM;FEM;SG
galīgi	dokončni	galīgi	dokončen	ADV	ADJ;NOM;MASC;SG
galīgi	dokončna	galīgi	dokončen	ADV	ADJ;NOM;FEM;SG
galīgi	dokončne	galīgi	dokončen	ADV	ADJ;NOM;FEM;PL
kaujinieku	borci	kaujinieks	borec	N;ACC;MASC;SG	N;NOM;MASC;PL
kaujinieku	borca	kaujinieks	borec	N;ACC;MASC;SG	N;NOM;MASC;SG
kaujinieku	milica	kaujinieks	milica	N;ACC;MASC;SG	N;NOM;FEM;SG
kaujinieku	milice	kaujinieks	milica	N;ACC;MASC;SG	N;NOM;FEM;PL
pakešu	paketi	pakeša	paketi	N;ACC;MASC;PL	N;NOM;MASC;PL
mainījies	spremenjen	mainīties	spremenjen	V;FH;IND;SG;2;POS;REFL;PST;FIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
mainījies	spremenjeno	mainīties	spremenjen	V;FH;IND;SG;2;POS;REFL;PST;FIN;ACT	ADJ;NOM;NEUT;SG;V.PTCP
iepriekšējie	predhodna	iepriekšējs	predhoden	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
iepriekšējie	prejšnja	iepriekšējs	prejšnji	ADJ;NOM;MASC;PL	ADJ;NOM;FEM;SG
iepriekšējie	predhodni	iepriekšējs	predhoden	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
iepriekšējie	prejšnji	iepriekšējs	prejšnji	ADJ;NOM;MASC;PL	ADJ;NOM;MASC;SG
iepriekšējie	predhodno	iepriekšējs	predhodno	ADJ;NOM;MASC;PL	ADV
ipv	ipv	ipv	ipv		
plazmas	plazma	plazma	plazma	N;NOM;FEM;PL	N;NOM;MASC;SG
plazmas	plazmo	plazma	plazma	N;NOM;FEM;PL	N;ACC;FEM;SG
plazmas	plazemski	plazma	plazemski	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
horvātija	hrvaška	horvātija	hrvaški	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
disciplīnās	disciplin	disciplīna	disciplina	N;ESS;FEM;PL	N;GEN;FEM;PL
zara	vejo	zars	vedeti	N;NOM;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN
derīgas	fit	derīga	fit	ADJ;NOM;FEM;PL	N;NOM;MASC;SG
nelsons	nelson	nelsons	nelson	PROPN;NOM;MASC;SG	
rasels	russell	rasels	russeli	PROPN;NOM;MASC;SG	
halles	halle	halle	halla	N;NOM;FEM;PL	PROPN;NOM;FEM;SG
irbe	partridge	irbe	partridg	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
pakājē	obronkih	pakājēt	obronek	N;ESS;FEM;SG	N;ESS;MASC;PL
pretiniekiem	nasprotniki	pretinieks	nasprotnik	N;DAT;MASC;PL	N;NOM;MASC;PL
pretiniekiem	nasprotnike	pretinieks	nasprotnik	N;DAT;MASC;PL	N;ACC;MASC;PL
pretiniekiem	nasprotnikov	pretinieks	nasprotnik	N;DAT;MASC;PL	N;GEN;MASC;PL
nesaskaņas	nestrinjanje	nesaskaņa	nestrinjanje	N;NOM;FEM;PL	N;NOM;NEUT;SG
nesaskaņas	razdor	nesaskaņa	razdor	N;NOM;FEM;PL	N;NOM;MASC;SG
magnētisko	magnetno	magnētiska	magneten	ADJ;ACC;MASC;SG	ADJ;NOM;NEUT;SG
magnētisko	magnetni	magnētiska	magneten	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;SG
magnētisko	magnetna	magnētiska	magneten	ADJ;ACC;MASC;SG	ADJ;NOM;FEM;SG
tuvāko	najbližji	tuvs	blizek	ADJ;ACC;CMPR;MASC;SG	ADJ;NOM;DEF;RL;MASC;SG
tuvāko	najbližja	tuvs	blizek	ADJ;ACC;CMPR;MASC;SG	ADJ;NOM;RL;FEM;SG
tuvāko	najbližje	tuvs	ulizek	ADJ;ACC;CMPR;MASC;SG	ADV;RL
iziešanas	izhod	iziešana	izhod	N;NOM;FEM;PL	N;NOM;MASC;SG
iziešanas	izstop	iziešana	izstop	N;NOM;FEM;PL	
fords	ford	fords	ford	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
deivs	dave	deivs	dava	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG
deivs	dava	deivs	dava	PROPN;NOM;MASC;SG	V;PFV;IND;DU;3;PRS;FIN
ķēde	verigo	ķēde	veriga	N;NOM;FEM;SG	N;ACC;FEM;SG
ķēde	verige	ķēde	veriga	N;NOM;FEM;SG	N;NOM;FEM;PL
pcall	pcall	pcall	pcall		
vatikāna	vatikanu	vatikāns	vatikan	N;GEN;MASC;SG	N;DAT;MASC;SG
vatikāna	vatikan	vatikāns	vatikan	N;GEN;MASC;SG	N;NOM;MASC;SG
apmaiņa	izmenjavo	apmaiņa	izmenjava	N;NOM;FEM;SG	N;ACC;FEM;SG
apmaiņa	izmenjave	apmaiņa	izmenjava	N;NOM;FEM;SG	N;NOM;FEM;PL
apmaiņa	izmenjav	apmaiņa	izmenjava	N;NOM;FEM;SG	N;GEN;FEM;PL
apmaiņa	izmenjave	apmaiņa	izmenjava	N;NOM;FEM;SG	N;NOM;FEM;PL
demonstrācijas	demonstracij	demonstrācija	demonstracija	N;NOM;FEM;PL	N;GEN;FEM;PL
deviņu	nine	deviņi	nini	NUM;ACC;MASC;PL	
deviņu	devet	deviņi	devet	NUM;ACC;MASC;PL	NUM;NOM;PL
veiksmīgu	uspešno	veiksmīga	uspešno	ADJ;ACC;MASC;SG	ADV
veiksmīgu	uspešen	veiksmīga	uspešen	ADJ;ACC;MASC;SG	ADJ;NOM;INDF;MASC;SG
veiksmīgu	uspešni	veiksmīga	uspešen	ADJ;ACC;MASC;SG	ADJ;NOM;MASC;PL
veiksmīgu	uspešna	veiksmīga	uspešen	ADJ;ACC;MASC;SG	ADJ;NOM;FEM;SG
england	anglija	england	anglija		N;NOM;FEM;SG
england	england	england	england		PROPN;NOM;MASC;SG
england	angliji	england	anglija		N;NOM;FEM;SG
england	anglije	england	Anglija		N;GEN;FEM;SG
england	anglijo	england	angliti		N;ACC;FEM;SG
dievi	bogov	dievs	bog	N;NOM;MASC;PL	N;GEN;MASC;PL
vera	vera	vērt	vera	PROPN;NOM;FEM;SG	N;NOM;FEM;SG
petrovs	petrov	petrovs	peter	PROPN;NOM;MASC;SG	N;NOM;MASC;SG
pretinieks	sovražniki	pretinieks	sovražnik	N;NOM;MASC;SG	N;NOM;MASC;PL
dziļāk	globlje	dziļi	globok	ADV;CMPR	ADJ;NOM;CMPR;NEUT;SG
dziļāk	globlji	dziļi	globlj	ADV;CMPR	ADJ;NOM;DEF;CMPR;MASC;SG
nodrošināta	zavarovano	nodrošināt	zavarovan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
nodrošināta	zavarovane	nodrošināt	zavarovan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
nodrošināta	zavarovana	nodrošināt	zavarovan	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
nodrošināta	zagotovljeno	nodrošināt	zagotovljen	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
nodrošināta	zagotovljeno	nodrošināt	zagotovljen	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
liktenis	usodo	liktenis	usoda	N;NOM;MASC;SG	N;ACC;FEM;SG
liktenis	usodo	liktenis	usoda	N;NOM;MASC;SG	N;ACC;FEM;SG
vdk	kgb	vdk	kgb	PROPN	PROPN;NOM;MASC;SG
drīzumā	kmalu	drīzums	kmalu	N;ESS;MASC;SG	ADV
drīzumā	prihajajoči	drīzums	prihajajoč	N;ESS;MASC;SG	ADJ;NOM;MASC;PL;V.PTCP
drīzumā	prihajajoče	drīzums	prihajajoč	N;ESS;MASC;SG	ADJ;NOM;FEM;PL;V.PTCP
sēklu	semenski	sēkla	semenski	N;ACC;MASC;SG	ADJ;NOM;MASC;SG
sēklu	seme	sēkla	seme	N;ACC;MASC;SG	N;NOM;NEUT;SG
sēklu	semena	sēkla	seme	N;ACC;MASC;SG	N;NOM;NEUT;PL
gaļa	mesa	gaļa	meso	N;NOM;FEM;SG	N;GEN;NEUT;SG
gaļa	mesni	gaļa	mesen	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
sietlas	seattle	sietla	seatel	PROPN;NOM;FEM;PL	PROPN;NOM;MASC;SG
smiltis	peska	smilts	pesek	N;NOM;FEM;PL	N;GEN;MASC;SG
smiltis	peščena	smilts	peščen	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
smiltis	pesek	smilts	pesek	N;NOM;FEM;PL	N;NOM;MASC;SG
smiltis	peščeni	smilts	peščen	N;NOM;FEM;PL	ADJ;NOM;MASC;SG
pievienoti	dodana	pievienot	dodan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
pievienoti	dodane	pievienot	dodan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
pievienoti	dodanih	pievienot	dodan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
pievienoti	dodan	pievienot	dodan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
pievienoti	dodani	pievienot	dodan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
pievienoti	dodano	pievienot	dodan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pievienoti	pritrjen	pievienot	pritrjen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
pievienoti	pritrjeno	pievienot	pritrjen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pievienoti	priloženo	pievienot	priložen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
pievienoti	pritrjena	pievienot	pritrjen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
pievienoti	priloženi	pievienot	priložen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
pievienoti	priloženo	pievienot	priložen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
tumša	temni	tumša	temen	ADJ;NOM;FEM;SG	ADJ;NOM;MASC;PL
tumša	temno	tumša	temno	ADJ;NOM;FEM;SG	ADV
novēro	opazuj	novērot	opazuj	V;IMP;SG;2;POS;PRS;FIN;ACT	V;PFV;IND;SG;3;PRS;FIN
dzejā	verz	dzeja	verz	N;ESS;FEM;SG	N;NOM;MASC;SG
papua	papua	papust	papua		N;NOM;MASC;SG
varoņi	heroje	varonis	heroja	N;NOM;MASC;PL	N;ACC;MASC;PL
varoņi	junake	varonis	junak	N;NOM;MASC;PL	N;ACC;MASC;PL
varoņi	junakov	varonis	junak	N;NOM;MASC;PL	N;GEN;MASC;PL
hip	kolk	hipēt	kolk		DET
hip	boka	hipēt	bok		N;NOM;MASC;SG
formatdate	formatdate	formatdate	formatdat	N;NOM;FEM;SG	N;NOM;FEM;PL
gēnu	gene	gēns	gen	N;ACC;MASC;SG	N;NOM;MASC;PL
gēnu	gen	gēns	gen	N;ACC;MASC;SG	N;NOM;MASC;SG
romeo	romeo	romeo	romeo		N;NOM;MASC;SG
zobenu	meč	zobens	meč	N;ACC;MASC;SG	N;NOM;MASC;SG
bērnība	otroštva	bērnība	otroštvo	N;NOM;FEM;SG	N;GEN;NEUT;SG
departamentā	oddelek	departaments	oddelek	N;ESS;MASC;SG	N;NOM;MASC;SG
amatniecības	plovilo	amatniecība	plovilo	N;NOM;FEM;PL	N;NOM;NEUT;SG
amatniecības	obrti	amatniecība	obrt	N;NOM;FEM;PL	N;NOM;FEM;SG
euro	evro	euro	evro		N;NOM;MASC;SG
euro	euro	euro	eura		N;NOM;MASC;SG
uzņemti	vpisal	uzņemt	vpisati	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	V;PFV;MASC;SG;V.PTCP
uzņemti	vpisan	uzņemt	vpisan	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
uzņemti	vključenih	uzņemt	vključen	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
dvēsele	duši	dvēsele	dušiti	N;NOM;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN
dvēsele	dušo	dvēsele	duša	N;NOM;FEM;SG	N;ACC;FEM;SG
smags	težki	smags	težek	ADJ;NOM;MASC;SG	ADJ;NOM;MASC;PL
smags	težke	smags	težek	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
smags	hude	smags	hud	ADJ;NOM;MASC;SG	ADJ;NOM;FEM;PL
smags	hudo	smags	hudo	ADJ;NOM;MASC;SG	ADV
artis	artis	arts	artis	PROPN;NOM;MASC;SG	
migla	megleno	migla	meglen	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
krava	obremenitve	krava	obremenitev	N;NOM;FEM;SG	N;NOM;FEM;PL
krava	naloži	krava	nalož	N;NOM;FEM;SG	V;PFV;IND;SG;3;PRS;FIN
krava	obremenitev	krava	obremenitev	N;NOM;FEM;SG	N;GEN;FEM;SG
krava	tovorni	krava	tovoren	N;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
semimajor	semimajor	semimajor	semimajor	ADJ;NOM;MASC;SG	
iekšzemē	notranjost	iekšzeme	notranjost	N;ESS;FEM;SG	N;NOM;FEM;SG
iekšzemē	celinskih	iekšzeme	celinski	N;ESS;FEM;SG	ADJ;GEN;MASC;PL
sēž	sedenje	sēdēt	sedenje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
ieguldījums	naložbe	ieguldījums	naložba	N;NOM;MASC;SG	N;NOM;FEM;PL
