ivar	ivar	ivar	ivara		
suppleret	dopolnjeno	supplere	dopolnjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
suppleret	dopolnjena	supplere	dopolnjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
suppleret	dopolnjena	supplere	dopolnjen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
nepal	nepalu	nepal	nepalo	PROPN	PROPN;DAT;MASC;SG
koncentreret	zgoščeno	koncentrere	zgoščen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
koncentreret	koncentrirana	koncentrere	koncentriran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
koncentreret	osredotočanje	koncentrere	osredotočanje	V;INDF;SG;PST;V.PTCP	N;NOM;NEUT;SG
amy	amy	amy	amy	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
walk	sprehod	walk	sprehod		N;NOM;MASC;SG
walk	hoja	walk	hoja		N;NOM;FEM;SG
walk	sprehodi	walk	sprehod		N;NOM;MASC;PL
walk	peš	walk	peš		N;NOM;MASC;SG
walk	hodi	walk	hoditi		V;IPFV;IND;SG;3;PRS;FIN
opdagelsesrejsende	raziskovalec	opdagelsesrejsende	raziskovalec	ADJ	N;NOM;MASC;SG
opdagelsesrejsende	raziskovalci	opdagelsesrejsende	raziskovalec	ADJ	N;NOM;MASC;PL
molekyler	molekul	molekyle	molekul	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
møbler	pohištva	møbel	pohištvo	N;INDF;NEUT;PL	N;GEN;NEUT;SG
møbler	pohištvo	møbel	pohištvo	N;INDF;NEUT;PL	N;NOM;NEUT;SG
rick	rick	rick	rick		N;NOM;MASC;SG
rick	ricka	rick	ricko		N;ACC;MASC;SG
neutrale	nevtralno	neutral	nevtralno	ADJ;PL	ADJ;NOM;NEUT;SG
neutrale	nevtralni	neutral	nevtralen	ADJ;PL	ADJ;NOM;DEF;MASC;SG
neutrale	nevtralen	neutral	nevtralen	ADJ;PL	ADJ;NOM;INDF;MASC;SG
rob	rob	rob	rob		N;NOM;MASC;SG
omfattet	vključeni	omfatte	vključen	N;DEF;NEUT;SG	ADJ;NOM;MASC;PL;V.PTCP
omfattet	vključena	omfatte	vključen	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;V.PTCP
omfattet	vključene	omfatte	vključen	N;DEF;NEUT;SG	ADJ;NOM;FEM;PL;V.PTCP
omfattet	vključen	omfatte	vključen	N;DEF;NEUT;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
omfattet	vključeno	omfatte	vključen	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP
omfattet	pokrito	omfatte	pokrit	N;DEF;NEUT;SG	ADJ;NOM;NEUT;SG;V.PTCP
omfattet	pokrit	omfatte	pokrit	N;DEF;NEUT;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
omfattet	pokrita	omfatte	pokrit	N;DEF;NEUT;SG	ADJ;NOM;FEM;SG;V.PTCP
omfattet	pokrite	omfatte	pokrit	N;DEF;NEUT;SG	ADJ;NOM;FEM;PL;V.PTCP
terror	groze	terror	groza	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
kriminelle	kriminalno	kriminel	kriminalen	ADJ;PL	ADJ;NOM;NEUT;SG
kriminelle	kazensko	kriminel	kazenski	ADJ;PL	ADJ;NOM;NEUT;SG
kriminelle	kriminalec	kriminel	kriminalec	ADJ;PL	N;NOM;MASC;SG
kriminelle	zločinci	kriminel	zločinec	ADJ;PL	N;NOM;MASC;PL
kriminelle	kriminalci	kriminel	kriminalec	ADJ;PL	N;NOM;MASC;PL
leftarm	leftarm	leftarm	leftar		N;NOM;MASC;SG
forøget	povečana	forøge	povečan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
forøget	povečan	forøge	povečan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
forøget	povečano	forøge	povečan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
forøget	zvišana	forøge	zvišan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
regelmæssige	redno	regelmæssig	redno	ADJ;PL	ADV
regelmæssige	redni	regelmæssig	reden	ADJ;PL	ADJ;NOM;MASC;SG
regelmæssige	redna	regelmæssig	reden	ADJ;PL	ADJ;NOM;FEM;SG
cypern	ciper	cypern	ciper	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
cypern	cipru	cypern	ciper	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
halve	polovici	halv	polovica	ADJ;PL	N;NOM;FEM;SG
halve	polovice	halv	polovica	ADJ;PL	N;NOM;FEM;PL
mitsubishi	mitsubishi	mitsubishi	mitsubish		N;NOM;MASC;PL
skarpe	oster	skarp	oster	ADJ;PL	ADJ;NOM;INDF;MASC;SG
skarpe	ostra	skarp	oster	ADJ;PL	ADJ;NOM;FEM;SG
skarpe	ostro	skarp	ostro	ADJ;PL	ADV
skarpe	sharp	skarp	sharpa	ADJ;PL	N;NOM;MASC;SG
kriminalitet	zločini	kriminalitet	zločin	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
batteri	baterije	batteri	baterija	N;INDF;NEUT;SG	N;NOM;FEM;PL
batteri	akumulatorji	batteri	akumulator	N;INDF;NEUT;SG	N;NOM;MASC;PL
batteri	baterije	batteri	baterija	N;INDF;NEUT;SG	N;NOM;FEM;PL
seg	seg	seg	seg		
omkostninger	strošek	omkostning	strošek	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
motors	motorji	motors	motor		N;NOM;MASC;PL
passede	fit	passe	fit	V;IND;PST;FIN;ACT	N;NOM;MASC;SG
cia	cia	cia	ciaa		PROPN;NOM;FEM;SG
cia	cia	cia	ciaa		PROPN;NOM;FEM;SG
forberede	pripravljanje	forbere	pripravljanje	V;NFIN;ACT	N;NOM;NEUT;SG
forberede	priprava	forbere	priprava	V;NFIN;ACT	N;NOM;FEM;SG
lissabon	lizbonska	lissabon	lizbonski		ADJ;NOM;FEM;SG
lissabon	lizboni	lissabon	lizbon		PROPN;NOM;FEM;SG
lissabon	lizbonske	lissabon	lizbonski		ADJ;NOM;FEM;PL
lissabon	lisbon	lissabon	lisbon		N;NOM;MASC;SG
grace	grace	grace	graca		PROPN;NOM;FEM;SG
skandinavisk	skandinavske	skandinavisk	skandinavski	ADJ;INDF;SG	ADJ;NOM;FEM;PL
tusind	tisoč	tusind	tisoč	N;INDF;NEUT;SG	NUM;ACC;PL
templet	temple	temple	temple	N;DEF;NEUT;SG	
håbet	upal	håb	upati	N;DEF;NEUT;SG	V;IPFV;MASC;SG;V.PTCP
håbet	hope	håb	hopa	N;DEF;NEUT;SG	
håbet	upala	håb	upati	N;DEF;NEUT;SG	V;IPFV;FEM;SG;V.PTCP
håbet	upal	håb	upati	N;DEF;NEUT;SG	V;IPFV;MASC;SG;V.PTCP
indlagt	hospitaliziran	indlægge	hospitaliziran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
indlagt	hospitaliziran	indlægge	hospitaliziran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
indlagt	sprejet	indlægge	sprejet	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
reform	reforme	reform	reforma	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
videnskabeligt	znanstveno	videnskabelig	znanstven	ADV	ADJ;NOM;NEUT;SG
videnskabeligt	znanstvena	videnskabelig	znanstven	ADV	ADJ;NOM;FEM;SG
videnskabeligt	znanstveno	videnskabelig	znanstven	ADV	ADJ;NOM;NEUT;SG
videnskabeligt	znanstvene	videnskabelig	znanstven	ADV	ADJ;NOM;FEM;PL
psykisk	psihično	psykisk	psihičen	ADJ;INDF;SG	ADV
psykisk	jasnovidec	psykisk	jasnovidec	ADJ;INDF;SG	N;NOM;MASC;SG
psykisk	psihiatrične	psykisk	psihiatričen	ADJ;INDF;SG	ADJ;NOM;FEM;PL
psykisk	psihično	psykisk	psihičen	ADJ;INDF;SG	ADV
psykisk	umsko	psykisk	umski	ADJ;INDF;SG	ADV
clara	klara	clara	klara		N;NOM;FEM;SG
clara	clara	clara	clar		PROPN;NOM;FEM;SG
hoteller	hotele	hotel	hoteti	N;INDF;NEUT;PL	V;IPFV;FEM;PL;V.PTCP
hoteller	hoteli	hotel	hoteti	N;INDF;NEUT;PL	V;IPFV;MASC;PL;V.PTCP
beskadiget	poškodovano	beskadige	poškodovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
beskadiget	poškodovanih	beskadige	poškodovan	V;INDF;SG;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
beskadiget	poškodovan	beskadige	poškodovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
beskadiget	poškodovani	beskadige	poškodovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
beskadiget	poškodovane	beskadige	poškodovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
beskadiget	poškodovana	beskadige	poškodovan	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
rudolph	rudolph	rudolph	rudolph	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
rudolph	rudolf	rudolph	rudolf	N;INDF;MASC+FEM;SG	PROPN;NOM;MASC;SG
ward	ward	ward	ward		
modtagelse	sprejemam	modtagelse	sprejemati	N;INDF;MASC+FEM;SG	V;IPFV;IND;SG;1;PRS;FIN
support	podpore	support	podpora	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
sandhed	resnice	sandhed	resnica	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
hævet	vzgojen	hæve	vzgojen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
hævet	vzgojena	hæve	vzgojen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
hævet	postavljeno	hæve	postavljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
hævet	otekle	hæve	oteklo	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
manuelt	priročnik	manuel	priročnik	ADJ;INDF;SG	N;NOM;MASC;SG
manuelt	ročno	manuel	ročen	ADJ;INDF;SG	ADV
manuelt	ročno	manuel	ročen	ADJ;INDF;SG	ADV
inn	inn	inn	inn		
inn	gostilna	inn	gostilna		N;NOM;FEM;SG
inn	gostišče	inn	gostišče		N;NOM;NEUT;SG
magic	čarobno	magic	čarobno		ADJ;NOM;NEUT;SG
magic	čarovnija	magic	čarovnija		N;NOM;FEM;SG
magic	magic	magic	magica		N;NOM;MASC;SG
magic	magično	magic	magičen		ADJ;NOM;NEUT;SG
magic	magijo	magic	magija		N;ACC;FEM;SG
racer	racer	race	racer	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
racer	dirkač	race	dirkač	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
iau	iau	iau	iti		PROPN;NOM;FEM;SG
specialiseret	specializiranih	specialisere	specializiran	V;INDF;SG;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
specialiseret	specializiran	specialisere	specializiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
specialiseret	specializirana	specialisere	specializiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
specialiseret	specializirani	specialisere	specializiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
specialiseret	specializirano	specialisere	specializirano	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
specialiseret	specializirane	specialisere	specializiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
specialiseret	specializiran	specialisere	specializiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
voice	glas	voice	glas		N;NOM;MASC;SG
bjerre	bjerre	bjerre	bjerra	N;INDF;NEUT;SG	
størrelser	velikosti	størrelse	velikost	N;INDF;MASC+FEM;PL	N;GEN;FEM;SG
øre	ušesa	øre	uho	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
øre	ušes	øre	ušes	N;INDF;MASC+FEM;SG	N;GEN;NEUT;PL
øre	ušesi	øre	uho	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
øre	ušesa	øre	uho	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
walt	walt	walt	walt		N;NOM;MASC;SG
hudson	hudson	hudson	hudson		PROPN;NOM;MASC;SG
rapporterede	prijavljenih	rapportere	prijavljen	V;IND;PST;FIN;ACT	ADJ;GEN;MASC;PL;V.PTCP
susan	suzana	susan	suzan	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
susan	susan	susan	susan	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
karsten	karsten	karsten	karsten	N;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
triple	trojno	triple	trojno		ADJ;NOM;NEUT;SG
triple	trojni	triple	trojen		NUM;NOM;MASC;SG
klassificeret	zaupno	klassificere	zaupen	V;INDF;SG;PST;V.PTCP	ADV
sædvanlige	običajno	sædvanlig	običajno	ADJ;PL	ADV
sædvanlige	običajna	sædvanlig	običajen	ADJ;PL	ADJ;NOM;FEM;SG
taber	poraženec	tabe	poraženec	V;IND;PRS;FIN;ACT	N;NOM;MASC;SG
taber	zguba	tabe	zguba	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
armenien	armenski	armenie	armenski	N;DEF;MASC+FEM;SG	ADJ;NOM;DEF;MASC;SG
tropiske	tropski	tropisk	tropski	ADJ;PL	ADJ;NOM;MASC;SG
hand	roki	hand	roka		N;NOM;FEM;DU
hand	roka	hand	roka		N;NOM;MASC;SG
indstilling	nastavitve	indstilling	nastavitev	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
munch	munch	munch	munch		N;NOM;MASC;SG
rapporter	prijavi	rapport	prijava	N;INDF;MASC+FEM;PL	V;PFV;IND;SG;3;PRS;FIN
rapporter	poročilo	rapport	poročilo	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
rapporter	poročili	rapport	poročilo	N;INDF;MASC+FEM;PL	V;PFV;MASC;PL;V.PTCP
kompleks	kompleks	kompleks	kompleks	ADJ;INDF;SG	N;NOM;MASC;SG
fænomener	pojavi	fænomene	pojaviti	N;INDF;NEUT;PL	V;PFV;IND;SG;3;PRS;FIN
redigere	urejanje	redig	urejanje	V;NFIN;ACT	N;NOM;NEUT;SG
glenn	glenn	glenn	glenn		PROPN;NOM;MASC;SG
eksport	izvozi	eksport	izvoziti	N;INDF;MASC+FEM;SG	V;PFV;IND;SG;3;PRS;FIN
elite	elite	elite	elita	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
jakobsen	jakobsen	jakobsen	jakobsen	N;DEF;MASC+FEM;SG	
nedsatte	zmanjšan	nedsat	zmanjšan	V;PL;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
nedsatte	zmanjšana	nedsat	zmanjšan	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
nedsatte	znižana	nedsat	znižan	V;PL;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
nedsatte	zmanjšano	nedsat	zmanjšan	V;PL;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
nedsatte	zmanjšani	nedsat	zmanjšan	V;PL;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
kørsel	vožnje	kørsel	vožnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ment	mišljeno	mene	mišljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
legendariske	legendarna	legendarisk	legendaren	ADJ;PL	ADJ;NOM;FEM;SG
legendariske	legendarno	legendarisk	legendaren	ADJ;PL	ADJ;NOM;NEUT;SG
legendariske	legendarni	legendarisk	legendaren	ADJ;PL	ADJ;NOM;MASC;SG
memorial	memorial	memorial	memorial		N;NOM;MASC;SG
polo	pola	polo	pola	N;INDF;MASC+FEM;SG	N;NOM;MASC;DU
frugter	sadje	frugte	sadje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
frugter	sadje	frugte	sadje	N;INDF;MASC+FEM;PL	N;NOM;NEUT;SG
tunesien	tunizija	tunesien	tunizija	PROPN	N;NOM;FEM;SG
tunesien	tunizijski	tunesien	tunizijski	PROPN	ADJ;NOM;MASC;PL
indvandrere	priseljenec	indvandrer	priseljenec	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
anklager	tožilec	anklage	tožilec	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
anklager	tožilka	anklage	tožilka	N;INDF;MASC+FEM;PL	N;NOM;FEM;SG
peters	peters	peters	peters		N;NOM;MASC;SG
venezuela	venezuelski	venezuela	venezuelski		ADJ;NOM;MASC;SG
venezuela	venezueli	venezuela	venezuel		N;NOM;FEM;SG
alexandria	aleksandriji	alexandria	aleksandrija		N;DAT;FEM;SG
ride	jahanje	ride	jahanje	V;NFIN;ACT	N;NOM;NEUT;SG
ride	vožnja	ride	vožnja	V;NFIN;ACT	N;NOM;FEM;SG
ride	prevoz	ride	prevoz	V;NFIN;ACT	N;NOM;MASC;SG
ride	vožnjo	ride	vožnja	V;NFIN;ACT	N;ACC;FEM;SG
ridge	greben	ridge	greben		N;NOM;MASC;SG
ridge	ridge	ridge	ridg		N;NOM;MASC;SG
classic	klasika	classic	klasika		N;NOM;FEM;SG
classic	klasično	classic	klasičen		ADV
classic	klasična	classic	klasičen		ADJ;NOM;FEM;SG
classic	klasičen	classic	klasičen		ADJ;NOM;INDF;MASC;SG
classic	klasični	classic	klasičen		ADJ;NOM;MASC;SG
ritualer	obred	ritual	obred	N;INDF;NEUT;PL	N;NOM;MASC;SG
ritualer	ritual	ritual	ritual	N;INDF;NEUT;PL	N;NOM;MASC;SG
mændene	moške	mand	moški	N;DEF;MASC+FEM;PL	ADJ;NOM;FEM;PL
mændene	men	mand	mena	N;DEF;MASC+FEM;PL	N;NOM;MASC;SG
mændene	moška	mand	moški	N;DEF;MASC+FEM;PL	ADJ;NOM;FEM;SG
ambassade	veleposlaništva	ambassade	veleposlaništvo	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
newcastle	newcastle	newcastel	newcastla		N;NOM;MASC;SG
fyldte	polnjena	fylde	polnjen	V;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
fyldte	polnjene	fylde	polnjen	V;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
fyldte	napolnjena	fylde	napolnjen	V;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
fyldte	napolnjen	fylde	napolnjen	V;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
fyldte	napolnjeno	fylde	napolnjen	V;PST;V.PTCP	ADJ;NOM;NEUT;SG;V.PTCP
ontario	ontario	ontario	ontari		PROPN;NOM;NEUT;SG
åndelige	duhovna	åndelig	duhoven	ADJ;PL	ADJ;NOM;FEM;SG
åndelige	duhovni	åndelig	duhoven	ADJ;PL	ADJ;NOM;MASC;SG
åndelige	duhovnega	åndelig	duhoven	ADJ;PL	ADJ;GEN;NEUT;SG
åndelige	duhovno	åndelig	duhoven	ADJ;PL	ADJ;NOM;NEUT;SG
panzer	panzer	panze	panzer	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
tropperne	čet	trop	čet	N;DEF;MASC+FEM;PL	N;NOM;MASC;SG
gottorp	gottorp	gottorp	gottorp	PROPN	N;NOM;MASC;SG
iversen	iversen	iversen	iversen		
særskilt	ločeni	særskilt	ločen	ADJ;INDF;SG	ADJ;NOM;MASC;PL;V.PTCP
højdepunkt	poudari	højdepunkt	poudariti	N;INDF;NEUT;SG	V;PFV;IND;SG;3;PRS;FIN
højdepunkt	poudariti	højdepunkt	poudariti	N;INDF;NEUT;SG	V;PFV;NFIN
kommunistisk	komunistično	kommunistisk	komunističen	ADV	ADJ;NOM;NEUT;SG
kommunistisk	komunist	kommunistisk	komunist	ADV	N;NOM;MASC;SG
kommunistisk	komunistična	kommunistisk	komunističen	ADV	ADJ;NOM;FEM;SG
kommunistisk	komunistični	kommunistisk	komunističen	ADV	ADJ;NOM;MASC;SG
sko	čevelj	sko	čevelj	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
bakken	hill	bakke	hill	N;DEF;MASC+FEM;SG	PROPN;NOM;MASC;SG
simpelt	enostavno	simpel	enostavno	ADJ	ADV
simpelt	preprosto	simpel	preprosto	ADJ	ADV
mælk	mlečni	mælk	mlečen	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;PL
track	steza	track	steza		N;NOM;FEM;SG
track	skladbo	track	skladba		N;ACC;FEM;SG
track	tir	track	tir		N;NOM;MASC;SG
track	proga	track	proga		N;NOM;FEM;SG
track	progi	track	proga		N;NOM;FEM;SG
intelligens	inteligenca	intellig	inteligenca	N;GEN;INDF;MASC+FEM;SG	N;NOM;FEM;SG
intelligens	obveščevalna	intellig	obveščevalen	N;GEN;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
eastwood	eastwood	eastwood	eastwood		N;NOM;MASC;SG
virus	virusi	virus	virus	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
virus	virusi	virus	virus	N;INDF;MASC+FEM;SG	N;NOM;MASC;PL
virus	viruse	virus	virus	N;INDF;MASC+FEM;SG	N;ACC;MASC;PL
marcel	marcel	marcel	marcel		N;NOM;MASC;SG
leonard	leonard	leonard	leonard		N;NOM;MASC;SG
halle	halle	halle	halla	N;INDF;MASC+FEM;SG	PROPN;NOM;FEM;SG
birger	birger	birger	birger	N;INDF;MASC+FEM;PL	N;NOM;MASC;SG
seattle	seattle	seattle	seatel		PROPN;NOM;MASC;SG
mozart	mozart	mozart	mozart		N;NOM;MASC;SG
evil	zlobna	evil	zloben		ADJ;NOM;FEM;SG
evil	zlo	evil	zlo		
evil	hudoben	evil	hudoben		ADJ;NOM;INDF;MASC;SG
evil	zloben	evil	zloben		ADJ;NOM;INDF;MASC;SG
evil	zlobno	evil	zlobno		ADJ;NOM;NEUT;SG
dylan	dylan	dylan	dylan		N;NOM;MASC;SG
vision	vidu	vision	vido	N;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
gæst	gost	gæst	gost	N;INDF;MASC+FEM;SG	
statsborger	državljan	statsborger	državljan	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
statsborger	meščan	statsborger	meščan	ADJ;INDF;MASC+FEM;SG	N;NOM;MASC;SG
definerer	opredeljevanje	definere	opredeljevanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
ugift	neporočena	ugift	neporočen	N;INDF;MASC+FEM;SG	ADJ;NOM;FEM;SG
brasilianske	brazilski	brasiliansk	brazilski	ADJ;PL	ADJ;NOM;MASC;SG
vestindien	karibih	vestindie	karib	N;DEF;MASC+FEM;SG	N;ESS;MASC;PL
zulu	zulu	zulu	zul		N;NOM;MASC;SG
beat	premagal	beat	premagati	N;INDF;NEUT;SG	V;PFV;MASC;SG;V.PTCP
gradvis	postopna	gradvis	postopen	ADV	ADJ;NOM;FEM;SG
gradvis	napredno	gradvis	napreden	ADV	ADJ;NOM;NEUT;SG
gradvis	napreden	gradvis	napreden	ADV	ADJ;NOM;INDF;MASC;SG
winter	zimska	winter	zimski		ADJ;NOM;FEM;SG
winter	zimsko	winter	zimski		ADJ;NOM;NEUT;SG
winter	zimo	winter	zima		N;ACC;FEM;SG
winter	zima	winter	zima		N;NOM;FEM;SG
winter	winter	winter	winter		N;NOM;MASC;SG
gert	gert	gern	gert		PROPN;NOM;MASC;SG
peace	mir	peace	mir		N;NOM;MASC;SG
peace	peace	peace	peac		
ralph	ralph	ralph	ralph		N;NOM;MASC;SG
percussion	tolkala	percussion	tolkati	N;INDF;MASC+FEM;SG	N;NOM;NEUT;PL
matcher	vžigalice	matcher	vžigalica	V;IND;PRS;FIN;ACT	N;NOM;FEM;PL
matcher	ujemanja	matcher	ujemanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;PL
matcher	ujemanje	matcher	ujemanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
matcher	ujemanje	matcher	ujemanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
vedrører	pomisleki	vedrøre	pomislek	V;IND;PRS;FIN;ACT	N;NOM;MASC;PL
vedrører	zaskrbljenost	vedrøre	zaskrbljenost	V;IND;PRS;FIN;ACT	N;NOM;FEM;SG
tilbyde	daritev	tilbyde	daritev	V;NFIN;ACT	N;NOM;FEM;SG
tilbyde	ponudba	tilbyde	ponudba	V;NFIN;ACT	N;NOM;FEM;SG
tilbyde	ponudbo	tilbyde	ponudba	V;NFIN;ACT	N;ACC;FEM;SG
fejlagtigt	zmotno	fejlagtigt	zmoten	ADV	ADJ;NOM;NEUT;SG
hope	upanja	hope	upanje		N;GEN;NEUT;SG
hope	hope	hope	hopa		
hope	upanje	hope	upanje		N;NOM;NEUT;SG
regelmæssigt	redni	regelmæssigt	reden	ADV	ADJ;NOM;MASC;SG
regelmæssigt	redna	regelmæssigt	reden	ADV	ADJ;NOM;FEM;SG
nævne	omenjen	nævne	omenjen	V;NFIN;ACT	ADJ;NOM;INDF;MASC;SG;V.PTCP
renæssance	renesančni	renæssance	renesančen	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
finansieret	financirane	finansiere	financiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
finansieret	financiran	finansiere	financiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
finansieret	financiranih	finansiere	financiran	V;INDF;SG;PST;V.PTCP	ADJ;GEN;MASC;PL;V.PTCP
finansieret	financiran	finansiere	financiran	V;INDF;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
personale	osebje	personal	osebje	ADJ;PL	N;NOM;NEUT;SG
personale	osebje	personal	osebje	ADJ;PL	N;NOM;NEUT;SG
kaster	metanje	kaste	metanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
kaster	metanje	kaste	metanje	V;IND;PRS;FIN;ACT	N;NOM;NEUT;SG
halvkugle	polobli	halvkugle	polobli	N;INDF;MASC+FEM;SG	ADJ;NOM;MASC;SG
happy	srečna	happy	srečen		ADJ;NOM;FEM;SG
happy	srečen	happy	srečen		ADJ;NOM;INDF;MASC;SG
happy	vesela	happy	vesel		ADJ;NOM;FEM;SG
happy	srečno	happy	srečno		ADJ;NOM;NEUT;SG
ansøgning	vloge	ansøgning	vloga	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ansøgning	prošnje	ansøgning	prošnja	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ansøgning	prijave	ansøgning	prijava	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
ansøgning	aplikacije	ansøgning	aplikacija	N;INDF;MASC+FEM;SG	N;NOM;FEM;PL
vagn	vagn	vagn	vagn		
command	poveljstvo	command	poveljstvo		N;NOM;NEUT;SG
command	ukaz	command	ukaz		N;NOM;MASC;SG
genopbygget	obnovljena	genopbygget	obnovljen	V;INDF;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
