ausscheiden	pengunduran	ausscheiden	penunduran	V;NFIN	N;SG
erkenntnis	wawasan	erkenntnis	wawasan	V;IND;SG;3;PRS;FIN	N;SG
erkenntnis	insight	erkenntnis	insight	V;IND;SG;3;PRS;FIN	PROPN
château	château	château	château	PROPN;NOM;MASC;SG	PROPN
fraglich	dipertanyakan	fraglich	dipertanyakan	ADJ	V;SG;PASS
fraglich	meragukan	fraglich	menragukan	ADJ	V;SG;ACT
fraglich	diragukan	fraglich	diragukan	ADJ	V;SG;PASS
steven	steven	steven	steven	PROPN;NOM;SG	PROPN
parker	parker	park	parker	PROPN	PROPN
bruders	bâ	bruders	bâ		PROPN
bruders	saudara	bruders	saudara		N;SG
bruders	brother	bruders	brother		PROPN
bruders	kakak	bruders	kakak		N;SG
diff	diff	diff	diff		PROPN
pflicht	duty	pflicht	duty	ADJ	PROPN
pflicht	kewajiban	pflicht	kewajiban	ADJ	N;SG
pflicht	ojek	pflicht	ojek	ADJ	N
pflicht	kewajiban	pflicht	kewajiban	ADJ	N;SG
pflicht	wajib	pflicht	wajib	ADJ	
pflicht	wajib	pflicht	wajib	ADJ	
talent	bakat	talent	bakat	ADJ	N;SG
talent	talenta	talent	talenta	ADJ	N;SG
talent	bakatnya	talent	bakat	ADJ	N;SG
talent	bakat	talent	bakat	ADJ	N;SG
talent	talenta	talent	talenta	ADJ	N;SG
talent	bakatnya	talent	bakat	ADJ	N;SG
talent	talent	talent	talent	ADJ	PROPN
fire	fire	fein	fire		PROPN
fire	api	fein	api		N;SG
fire	kebakaran	fein	kebakaran		N;SG
türkisch	turki	türkisch	turki	ADJ	PROPN;SG
türkisch	turkish	türkisch	turkish	ADJ	PROPN
passagiere	penumpang	passagieren	pentumpang		N;SG
passagiere	penumpang	passagieren	pentumpang		N;SG
generalsekretär	sekretaris	generalsekretär	sekretaris	ADJ	N;SG
generalsekretär	menteri	generalsekretär	menteri	ADJ	N;SG
generalsekretär	sekertaris	generalsekretär	sekertaris	ADJ	N
schnellen	fast	schnell	fast	ADJ	PROPN
schnellen	puasa	schnell	puasa	ADJ	PROPN;SG
bahnen	apian	bahnen	apian	V;NFIN	N;SG
theologische	teologi	theologisch	teologi	ADJ;NOM;FEM;PL	N;SG
thompson	thompson	thompson	thompson	PROPN;NOM;SG	PROPN
konstantinopel	konstantinopel	konstantinopel	konstantinopel	PROPN;NOM;MASC;SG	PROPN
konstantinopel	istanbul	konstantinopel	istanbul	PROPN;NOM;MASC;SG	PROPN
henriette	henrietta	henrieten	henrietta	PROPN;NOM;FEM;SG	PROPN
four	empat	four	empat		NUM
four	four	four	four		PROPN
dichtung	menyegel	dichtung	mensegel		V;SG;ACT
dichtung	penyegelan	dichtung	pensegelan		N;SG
dichtung	puisi	dichtung	puisi		N
dichtung	segel	dichtung	segel		N;SG
dichtung	meterai	dichtung	meterai		N;SG
dichtung	seal	dichtung	seal		PROPN
hinreichend	kecukupan	hinreichend	kecukupan	ADJ	N;SG
theoretisch	teoritis	theoretisch	teoritis	ADJ	N
theoretisch	teori	theoretisch	teori	ADJ	N;SG
robinson	robinson	robinson	robinson	PROPN;NOM;SG	N
decken	selimut	decken	selimut	V;NFIN	N;SG
decken	sampul	decken	sampul	V;NFIN	N;SG
decken	cover	decken	cover	V;NFIN	PROPN
decken	penutup	decken	pentutup	V;NFIN	N;SG
hop	hop	hopen	hop	PROPN;NOM;SG	PROPN
legend	legend	legend	legend	ADJ	PROPN
legend	legenda	legend	legenda	ADJ	N;SG
wünsche	wish	wünschen	wish	;SG	PROPN
wünsche	berharap	wünschen	berharap	;SG	V;SG;ACT
wünsche	berharap	wünschen	berharap	;SG	V;SG;ACT
wünsche	keinginan	wünschen	keinginan	;SG	N;SG
wünsche	hasrat	wünschen	hasrat	;SG	N;SG
mien	mien	mienen	mien		PROPN
nachbarn	tetangga	nachbarn	tetangga	ADJ	N;SG
nachbarn	tetangga	nachbarn	tetangga	ADJ	N;SG
nachbarn	tetangga	nachbarn	tetangga	ADJ	N;SG
nachbarn	tetangga	nachbarn	tetangga	ADJ	N;SG
ernährung	gizi	Ernährung	gizi	N;NOM;FEM;SG	PROPN;SG
ernährung	gizi	Ernährung	gizi	N;NOM;FEM;SG	PROPN;SG
bologna	bologna	bologna	bologna	PROPN	PROPN
vergleichen	perbandingan	vergleichen	perbandingan	V;NFIN	N;SG
vergleichen	diff	vergleichen	diff	V;NFIN	PROPN
vergleichen	perbandingan	vergleichen	perbandingan	V;NFIN	N;SG
björn	bjorn	björn	bjorn	PROPN;NOM;MASC;SG	PROPN
björn	björn	björn	björn	PROPN;NOM;MASC;SG	PROPN
kolumbien	columbia	kolumbien	columbia	PROPN;NOM;NEUT;SG	PROPN
kolumbien	kolombia	kolumbien	kolombia	PROPN;NOM;NEUT;SG	PROPN;SG
kolumbien	kolombia	kolumbien	kolombia	PROPN;NOM;NEUT;SG	PROPN;SG
verabschiedet	adopsi	verabschieden	adopsi	V;V.PTCP	N;SG
geistliche	kiai	geistlich	kiai	ADJ;NOM;FEM;PL	PROPN
geistliche	imam	geistlich	imam	ADJ;NOM;FEM;PL	N;SG
geistliche	pendeta	geistlich	pendeta	ADJ;NOM;FEM;PL	N;SG
geistliche	priest	geistlich	priest	ADJ;NOM;FEM;PL	PROPN
geistliche	spiritual	geistlich	spiritual	ADJ;NOM;FEM;PL	N
geistliche	rohani	geistlich	rohani	ADJ;NOM;FEM;PL	N;SG
geistliche	imam	geistlich	imam	ADJ;NOM;FEM;PL	N;SG
geistliche	ulama	geistlich	ulama	ADJ;NOM;FEM;PL	N;SG
download	download	download	download		PROPN
download	unduhan	download	unduhan		N;SG
download	mengunduh	download	menunduh		V;SG;ACT
download	unduh	download	unduh		PROPN;SG;ACT
dublin	dublin	dublin	dublin	PROPN;NOM;SG	PROPN
gabriele	gabriele	gabrielen	gabriele	PROPN;NOM;FEM;SG	PROPN
planck	planck	planck	planck	PROPN;NOM;SG	PROPN
fantasy	fantasi	fantasy	fantasi	PROPN	N
fantasy	fantasy	fantasy	fantasy	PROPN	PROPN
anerkannte	dikenal	anerkannt	dikenal	ADJ;SG	V;SG;PASS
anerkannte	diakui	anerkannt	diakui	ADJ;SG	V;SG;PASS
anerkannte	diakui	anerkannt	diakui	ADJ;SG	V;SG;PASS
anerkannte	dikenal	anerkannt	dikenal	ADJ;SG	V;SG;PASS
anerkannte	dikenali	anerkannt	dikenali	ADJ;SG	V;SG;PASS
anerkannte	diakui	anerkannt	diakui	ADJ;SG	V;SG;PASS
anerkannte	mengenali	anerkannt	menkenali	ADJ;SG	V;SG;ACT
springen	jump	springen	jump	V;NFIN	PROPN
springen	loncat	springen	loncat	V;NFIN	N;SG;ACT
springen	lompat	springen	lompat	V;NFIN	N;SG
springen	leap	springen	leap	V;NFIN	PROPN
springen	lompatan	springen	lompatan	V;NFIN	N;SG
springen	jumping	springen	jumping	V;NFIN	PROPN
springen	lompat	springen	lompat	V;NFIN	N;SG
interessierte	tertarik	interessieren	tertarik	V;IND;SG;3;PST;FIN	ADJ;SG
interessierte	minat	interessieren	minat	V;IND;SG;3;PST;FIN	N;SG
aktivität	kegiatan	aktivität	kegiatan	ADJ	N;SG
aktivität	aktivitas	aktivität	aktivitas	ADJ	PROPN;SG
luigi	luigi	luigi	luigi	PROPN;NOM;MASC;SG	PROPN
annehmen	asumsikan	annehmen	asumsikan	V;NFIN	PROPN
annehmen	terima	annehmen	terrima	V;NFIN	N;SG;ACT
abteilungen	divisi	abteilingen	divisi	N;NOM;FEM;PL	N;SG
abteilungen	pembagian	abteilingen	penbagian	N;NOM;FEM;PL	N;SG
abteilungen	departemen	abteilingen	departemen	N;NOM;FEM;PL	N;SG
abteilungen	kompartemen	abteilingen	kompartemen	N;NOM;FEM;PL	N;SG
störungen	interferensi	störung	interferensi	V;NFIN	N;SG
störungen	gangguan	störung	gangguan	V;NFIN	N;SG
störungen	gangguan	störung	gangguan	V;NFIN	N;SG
ken	ken	Ken	ken	PROPN;NOM;MASC;SG	PROPN
sportarten	sport	sportarten	sport	V;NFIN	PROPN
sportarten	olahraga	sportarten	olahraga	V;NFIN	N;SG
sportarten	olahraga	sportarten	olahraga	V;NFIN	N;SG
sportarten	sports	sportarten	sports	V;NFIN	PROPN
halbe	setengah	halb	setengah	ADJ;NOM;FEM;PL	ADJ;SG
halbe	separuh	halb	separuh	ADJ;NOM;FEM;PL	ADJ;SG
halbe	setengahnya	halb	setengah	ADJ;NOM;FEM;PL	N;SG
halbe	half	halb	half	ADJ;NOM;FEM;PL	PROPN
halbe	setengah	halb	setengah	ADJ;NOM;FEM;PL	ADJ;SG
louisiana	louisiana	louisiana	louisiana	PROPN;NOM;NEUT;SG	PROPN
taiwan	taiwan	taiwan	taiwan	PROPN;NOM;MASC;SG	PROPN;SG
kritischen	kritis	kritisch	kritis	ADJ	PROPN;SG
vorzeitig	prematur	vorzeitig	prematur	ADJ	N
sturz	kejatuhan	sturz	kejatuhan		N;SG
sturz	gulingkan	sturz	gulingkan		V;SG;ACT
sturz	menggulingkan	sturz	mengulingkan		V;SG;ACT
sturz	terjun	sturz	terjun		N;SG;ACT
sturz	falls	sturz	falls		PROPN
sturz	jatuh	sturz	jatuh		V;SG;ACT
sturz	fall	sturz	fall		PROPN
sturz	jatuh	sturz	jatuh		V;SG;ACT
erweiterten	diperbesar	erweitern	diperbesar	V;IND;PL;3;PST;FIN	V;SG;PASS
aufzeichnungen	catatan	aufzeichnangen	catatan	V;NFIN	N;SG
aufzeichnungen	rekor	aufzeichnangen	rekor	V;NFIN	N;SG
aufzeichnungen	records	aufzeichnangen	records	V;NFIN	PROPN
amazon	amazon	amazon	amazon		PROPN
befestigt	terlampir	befestigen	terlampir	V;V.PTCP	N
administrative	administratif	administrativ	administratif	ADJ;NOM;FEM;PL	N;SG
shakespeare	shakespeare	shakespeare	shakespeare	N;NOM;MASC;SG	PROPN
forst	kehutanan	forsen	kehutanan	PROPN;NOM;SG	N;SG
forst	forst	forsen	forst	PROPN;NOM;SG	PROPN
forst	hutan	forsen	hutan	PROPN;NOM;SG	N;SG
forst	forest	forsen	forest	PROPN;NOM;SG	PROPN
hang	menggantung	hang	mengantung	N	V;SG;ACT
hang	hang	hang	hang	N	PROPN
stadtmauer	tembok	stadtmau	tembok		N;SG
stadtmauer	dinding	stadtmau	dinding		N;SG
labor	labs	labor	labs		N
labor	lab	labor	lab		PROPN;SG
labor	laboratory	labor	laboratory		PROPN
labor	laboratorium	labor	laboratorium		N
labor	laboratorium	labor	laboratorium		N
labor	lab	labor	lab		PROPN;SG
labor	buruh	labor	buruh		N;SG
samstag	sabtu	samstag	sabtu	ADV	N;SG
samstag	sabtu	samstag	sabtu	ADV	N;SG
lehmann	lehmann	lehmann	lehmann	PROPN;NOM;SG	PROPN
classic	klasik	classic	klasik	PROPN	N;SG
classic	classic	classic	classic	PROPN	PROPN
wirtschafts	perekonomian	wirtschafts	perekonomian	PROPN	N;SG
wirtschafts	ekonomi	wirtschafts	ekonomi	PROPN	N;SG
wirtschafts	economie	wirtschafts	economie	PROPN	PROPN
med	med	med	med		PROPN
oberste	supreme	ober	supreme	ADJ;NOM	PROPN
schwäbisch	schwäbisch	schwäbisch	schwäbisch	ADJ	PROPN
berühmt	famous	berühmt	famous	ADJ	PROPN
berühmt	selebritis	berühmt	selebritis	ADJ	N
berühmt	selebriti	berühmt	selebriti	ADJ	N
berühmt	celebrity	berühmt	celebrity	ADJ	PROPN
berühmt	ketenaran	berühmt	ketenaran	ADJ	N;SG
berühmt	fame	berühmt	fame	ADJ	PROPN
restaurierung	memulihkan	restaurierung	menpulihkan	N;NOM;FEM;SG	V;SG;ACT
restaurierung	mengembalikan	restaurierung	menkembalikan	N;NOM;FEM;SG	V;SG;ACT
geehrt	kehormatan	ehren	kehormatan	V;V.PTCP	N;SG
geehrt	terhormat	ehren	terhormat	V;V.PTCP	ADJ;RL;SG
jonas	jonas	jonas	jonas	PROPN;NOM;MASC;SG	PROPN
jonas	yunus	jonas	yunus	PROPN;NOM;MASC;SG	PROPN
jonas	jonah	jonas	jonah	PROPN;NOM;MASC;SG	PROPN
umzug	memindahkan	umzugen	menpindahkan	N;SG	V;SG;ACT
umzug	pindah	umzugen	pindah	N;SG	V;SG;ACT
umzug	bergerak	umzugen	bergerak	N;SG	V;SG;ACT
niedrigen	low	niedrig	low	ADJ	PROPN
ski	ski	ski	ski		PROPN
ski	ski	ski	ski		PROPN
weichen	switch	weichen	switch	V;NFIN	N
weichen	saklar	weichen	saklar	V;NFIN	N;SG
ansprechen	respon	ansprechen	respon	V;NFIN	N;SG
ansprechen	tanggapan	ansprechen	tanggapan	V;NFIN	N;SG
ansprechen	respons	ansprechen	respons	V;NFIN	N;SG
gezielt	ditargetkan	gezielt	ditargetkan	ADJ	V;SG;PASS
held	hero	held	hero	PROPN;SG	PROPN
held	pahlawan	held	pahlawan	PROPN;SG	N;SG
erhöhung	naikkan	erhöhung	naikkan	N;NOM;FEM;SG	V;SG;ACT
erhöhung	tingkatkan	erhöhung	tingkatkan	N;NOM;FEM;SG	V;SG;ACT
erhöhung	meningkat	erhöhung	mentingkat	N;NOM;FEM;SG	V;SG;ACT
erhöhung	meningkatkan	erhöhung	mentingkatkan	N;NOM;FEM;SG	V;SG;ACT
kfz	otomotif	kfz	otomotif		N;SG
wüste	gurun	wüst	gurun		N;SG
wüste	desert	wüst	desert		PROPN
wüste	belantara	wüst	belantara		PROPN;SG
verkauften	terjual	verkaufen	terjual	V;IND;PL;3;PST;FIN	V;SG;PASS
verkauften	sold	verkaufen	sold	V;IND;PL;3;PST;FIN	PROPN
verkauften	dijual	verkaufen	dijual	V;IND;PL;3;PST;FIN	V;SG;PASS
adolph	adolph	adolph	adolph	PROPN;NOM;MASC;SG	PROPN
polizisten	polisi	polizist	polisi	N;PL	N;SG
polizisten	cops	polizist	cops	N;PL	PROPN
polizisten	polisi	polizist	polisi	N;PL	N;SG
polizisten	kepolisian	polizist	kepolisian	N;PL	N;SG
polizisten	police	polizist	police	N;PL	PROPN
polizisten	pejabat	polizist	pejabat	N;PL	N;SG
polizisten	petugas	polizist	petugas	N;PL	N;SG
polizisten	perwira	polizist	perwira	N;PL	N;SG
mhz	mhz	mhz	mhz		PROPN
uci	uci	uci	uci	PROPN;NOM;SG	PROPN
carter	carter	carter	carter	PROPN;NOM;SG	PROPN
princeton	princeton	princeton	princeton	PROPN;NOM;SG	PROPN
latein	latin	latein	latin	ADJ	N
tschechische	ceko	tschechisch	ceko	ADJ;NOM;FEM;PL	PROPN;SG
fortgesetzt	lanjutan	fortsetzen	lanjutan	V;V.PTCP	N;SG
politisches	politik	politisch	politik	ADJ;NOM;NEUT;SG	N;SG
atlanta	atlanta	atlanta	atlanta	PROPN	PROPN;SG
hip	hip	hip	hip	ADJ	PROPN
hip	pinggul	hip	pinggul	ADJ	N
antwerpen	antwerp	antwerpen	antwerp		PROPN
kaiserslautern	kaiserslautern	kaiserslaut	kaiserslautern	PROPN;NOM;SG	PROPN
bks	bks	bks	bks	;SG	PROPN
invasion	invasi	invasion	invasi		N;SG
antonius	anthony	antonius	anthony	PROPN;NOM;MASC;SG	PROPN
antonius	aini	antonius	aini	PROPN;NOM;MASC;SG	PROPN
antonius	antony	antonius	antony	PROPN;NOM;MASC;SG	PROPN
antonius	antonius	antonius	antonius	PROPN;NOM;MASC;SG	PROPN
antonius	antonius	antonius	antonius	PROPN;NOM;MASC;SG	PROPN
muhammad	muhammad	muhammad	muhammad	PROPN;NOM;SG	PROPN;SG
northern	utara	northern	utara	PROPN	PROPN;SG
northern	northern	northern	northern	PROPN	PROPN
julian	julian	julian	julian	PROPN;NOM;MASC;SG	PROPN
nil	nil	nil	nil	PROPN;NOM;MASC;SG	PROPN
nil	nil	nil	nil	PROPN;NOM;MASC;SG	PROPN
selbständige	independen	selbständig	independen	ADJ;NOM;FEM;PL	ADJ;SG
selbständige	independent	selbständig	independent	ADJ;NOM;FEM;PL	PROPN
selbständige	mandiri	selbständig	mandiri	ADJ;NOM;FEM;PL	ADJ;SG
güterverkehr	pengangkutan	güterverkehr	penangkutan	ADJ	N;SG
güterverkehr	angkutan	güterverkehr	angkutan	ADJ	N;SG
alternativen	alternative	alternativ	alternative	ADJ	N;SG
alternativen	alternatif	alternativ	alternatif	ADJ	N;SG
alternativen	alternatifnya	alternativ	alternatif	ADJ	N;SG
alternativen	alternative	alternativ	alternative	ADJ	N;SG
alternativen	alternatif	alternativ	alternatif	ADJ	N;SG
sant	sant	senen	sant	PROPN	PROPN
altenburg	altenburg	altenburg	altenburg	PROPN;NOM;NEUT;SG	N
abc	abc	abc	abc		PROPN
herrscht	reigns	herrschen	reigns	V;IND;SG;3;PRS;FIN	PROPN
bestritten	sengketa	bestreiten	sengketa	V;V.PTCP	N;SG
kiew	kiev	keißen	kiev		PROPN
kiew	kiev	keißen	kiev		PROPN
hard	susah	hard	susah	PROPN	ADJ;SG
hard	hard	hard	hard	PROPN	PROPN
hard	keras	hard	keras	PROPN	ADJ;SG
wiedergänger	revenant	wiedergänger	revenant	ADJ	PROPN
faust	faust	fausen	faust		PROPN
faust	kepalan	fausen	kepalan		N;SG
faust	tinju	fausen	tinju		N;SG
faust	fist	fausen	fist		PROPN
vita	vita	vita	vita		PROPN
evans	evans	evans	evans	PROPN;NOM;MASC;SG	PROPN
anlehnung	afiliasi	anlehnung	afiliasi	ADJ	N;SG
interessante	menarik	interessant	menarik	ADJ;NOM;FEM;PL	V;SG
holding	menahan	holding	mentahan		V;SG;ACT
holding	memegang	holding	menpegang		V;SG;ACT
holding	holding	holding	holding		PROPN
apple	apel	applen	apel		N;SG
apple	apple	applen	apple		PROPN
schlage	sarankan	schlage	sarankan	V;SG;FIN	
schwanz	tail	schwanzen	tail	N	PROPN
schwanz	dick	schwanzen	dick	N	PROPN
fisch	pisces	fisch	pisces		N;SG
fisch	ikan	fisch	ikan		N;SG
fisch	seafood	fisch	seafood		N
thron	tahta	thron	tahta		N;SG
thron	singgasana	thron	singgasana		N
thron	arsy	thron	arsy		PROPN
thron	takhta	thron	takhta		N;SG
rapper	rapper	rapper	rapper		N
rapper	rapper	rapper	rapper		N
ozean	oceanic	ozean	oceanic		PROPN
ozean	samudera	ozean	samudera		PROPN;SG
ozean	samudra	ozean	samudra		PROPN;SG
ozean	lautan	ozean	lautan		N;SG
ozean	samudera	ozean	samudera		PROPN;SG
ozean	samudra	ozean	samudra		PROPN;SG
ozean	lautan	ozean	lautan		N;SG
ozean	laut	ozean	laut		N;SG
ozean	ocean	ozean	ocean		PROPN
konservatorium	konservatori	konservatorium	konservatori	PROPN	N;SG
untergrund	underground	untergrund	underground	ADJ	N
senior	senior	senior	senior	PROPN;NOM;SG	N;SG
nachkriegszeit	pascaperang	nachkriegszeit	pascaperang	ADJ	N;SG
aufsätze	esai	aufsätzen	esai	N;NOM;PL	N;SG;ACT
cooper	cooper	cooper	cooper	PROPN;NOM;SG	PROPN
rechner	kalkulator	rechner	kalkulator		N;SG
rechner	komputer	rechner	komputer		N;SG
rechner	penyelenggara	rechner	penselenggara		N;SG
rechner	host	rechner	host		N
rechner	komputer	rechner	komputer		N;SG
rechner	computer	rechner	computer		PROPN
rechner	penyelenggara	rechner	penselenggara		N;SG
rechner	host	rechner	host		N
rechner	kalkulator	rechner	kalkulator		N;SG
ulmer	ulmer	ulm	ulmer		PROPN
schubert	schubert	schubern	schubert		PROPN
brigitte	brigitte	brigitt	brigitte	PROPN;NOM;FEM;SG	PROPN
fränkischen	franconian	fränkischen	franconian	ADJ;NOM;PL	PROPN
fränkischen	frankish	fränkischen	frankish	ADJ;NOM;PL	PROPN
zugrunde	mendasari	zugrunde	mendasari	ADV	V;SG;ACT
barry	barry	barry	barry	PROPN;SG	PROPN
bahnhöfe	stasiun	bahnhöfen	stasiun	N;NOM;MASC;PL	N;SG
brüdern	ikhwan	brüdern	ikhwan		N
brüdern	saudara	brüdern	saudara		N;SG
brüdern	bersaudara	brüdern	bersaudara		V;SG;ACT
brüdern	brothers	brüdern	brothers		N
patent	paten	patent	paten	PROPN	N;SG
patent	paten	patent	paten	PROPN	N;SG
webseiten	website	webseiten	website	V;NFIN	N;SG
webseiten	web	webseiten	web	V;NFIN	N
webseiten	situs	webseiten	situs	V;NFIN	N;SG
webseiten	website	webseiten	website	V;NFIN	N;SG
unterfamilie	subkeluarga	unterfamilie	subkeluarga	ADJ	PROPN
knochen	bones	knochen	bones	V;NFIN	PROPN
knochen	tulangku	knochen	tulang	V;NFIN	N;SG
knochen	tulang	knochen	tulang	V;NFIN	N;SG
knochen	bone	knochen	bone	V;NFIN	PROPN
knochen	tulang	knochen	tulang	V;NFIN	N;SG
ack	ack	ack	ack		PROPN
posen	poznań	pos	poznań	PROPN	PROPN
posen	pose	pos	pose	PROPN	N;SG
posen	posen	pos	posen	PROPN	PROPN
wenzel	wenzel	wenzel	wenzel		PROPN
wenzel	wenceslas	wenzel	wenceslas		PROPN
pionier	pioneer	pionier	pioneer	ADJ	PROPN
pionier	pelopor	pionier	pelopor	ADJ	N;SG
pionier	pionir	pionier	pionir	ADJ	N
pionier	pelopor	pionier	pelopor	ADJ	N;SG
type	jenis	type	jenis		N;SG
type	tipe	type	tipe		N;SG
type	ketik	type	ketik		PROPN
blütezeit	berbunga	blütezeit	berbunga	ADJ	V;SG;ACT
blütezeit	bloom	blütezeit	bloom	ADJ	PROPN
blütezeit	mekar	blütezeit	mekar	ADJ	PROPN
blütezeit	heyday	blütezeit	heyday	ADJ	PROPN
rumänischen	rumania	rumänisch	rumania	ADJ	PROPN;SG
metz	metz	metz	metz	PROPN;NOM;MASC;SG	PROPN
harold	harold	harold	harold	PROPN;NOM;MASC;SG	PROPN
brothers	saudara	brothers	saudara	PROPN;NOM;SG	N;SG
brothers	bersaudara	brothers	bersaudara	PROPN;NOM;SG	V;SG;ACT
brothers	brothers	brothers	brothers	PROPN;NOM;SG	N
tests	uji	tests	uji	N	PROPN;SG
tests	testing	tests	testing	N	PROPN
tests	menguji	tests	menkuji	N	V;SG;ACT
entfernten	remot	entfernt	remot	V;IND;PL;3;PST;FIN	N;SG
entfernten	jauh	entfernt	jauh	V;IND;PL;3;PST;FIN	ADJ;SG
entfernten	remote	entfernt	remote	V;IND;PL;3;PST;FIN	N
ausgehen	nightlife	ausgehen	nightlife	V;NFIN	N
ausgehen	kencan	ausgehen	kencan	V;NFIN	N;SG
ausgehen	dating	ausgehen	dating	V;NFIN	N
ausgehen	out	ausgehen	out	V;NFIN	PROPN
lebenslauf	resume	lebenslauf	resume		N
lebenslauf	kurikulum	lebenslauf	kurikulum		PROPN;SG
lebenslauf	biografi	lebenslauf	biografi		N;SG
lebenslauf	lanjutkan	lebenslauf	lanjutkan		V;SG;ACT
lebenslauf	resume	lebenslauf	resume		N
sorgt	peduli	sorgen	peduli	V;IND;SG;3;PRS;FIN	ADJ;SG
staffeln	seasons	staffeln	seasons	N;NOM;FEM;PL	PROPN
staffeln	musim	staffeln	musim	N;NOM;FEM;PL	N;SG
alkohol	alkohol	alkohol	alkohol		N;SG
alkohol	miras	alkohol	miras		N;SG
gene	jeni	gen	jeni		N;SG
gene	gene	gen	gene		PROPN
gene	gen	gen	gen		N;SG
gene	gen	gen	gen		N;SG
trasse	tapak	trassen	tapak	N	PROPN
trasse	path	trassen	path	N	PROPN
rechnen	aritmetik	rechnen	aritmetik	V;NFIN	N
rechnen	aritmatika	rechnen	aritmatika	V;NFIN	N
rechnen	math	rechnen	math	V;NFIN	PROPN
rechnen	matematika	rechnen	matematika	V;NFIN	N;SG
silva	silva	silva	silva	PROPN	PROPN
menschheit	kemanusiaan	menschheit	kemanusiaan		N;SG
ehre	kehormatan	ehr	kehormatan		N;SG
ehre	kehormatan	ehr	kehormatan		N;SG
ehre	honor	ehr	honor		PROPN
ehre	kemuliaan	ehr	kemuliaan		N;SG
ehre	glory	ehr	glory		PROPN
öffentlicher	publik	öffentlich	publik	ADJ	N
öffentlicher	public	öffentlich	public	ADJ	PROPN
toll	tol	toll	tol	ADJ	N;SG
christ	christian	christ	christian	PROPN	PROPN
christ	kristiani	christ	kristiani	PROPN	PROPN;SG
christ	kristen	christ	kristen	PROPN	PROPN;SG
christ	kristus	christ	kristus	PROPN	PROPN;SG
christ	christ	christ	christ	PROPN	PROPN
vorwort	pengantar	vorworen	penantar		N;SG
vorwort	pengantar	vorworen	penantar		N;SG
tropischen	tropical	tropisch	tropical	ADJ	PROPN
tropischen	tropis	tropisch	tropis	ADJ	N;SG
miami	miami	miami	miami	PROPN;NOM;MASC;SG	PROPN
shanghai	shanghai	shanghai	shanghai	PROPN;NOM;MASC;SG	PROPN
mexico	meksiko	mexico	meksiko	PROPN;NOM;SG	PROPN;SG
mexico	mexico	mexico	mexico	PROPN;NOM;SG	PROPN
bischofs	uskup	bischofs	uskup		N;SG
bischofs	bishop	bischofs	bishop		PROPN
vertretung	rep	vertretung	rep	N;FEM;SG	PROPN
fauna	fauna	fauna	fauna		PROPN
fauna	wildlife	fauna	wildlife		PROPN
fauna	margasatwa	fauna	margasatwa		N;SG
protokoll	menit	protokoll	menit	ADJ	N;SG
protokoll	transkrip	protokoll	transkrip	ADJ	PROPN
protokoll	protokol	protokoll	protokol	ADJ	N;SG
protokoll	log	protokoll	log	ADJ	PROPN
protokoll	log	protokoll	log	ADJ	PROPN
athleten	atlet	athlet	atlet	V;IND;PL;3;PST;FIN	N;SG
athleten	atlit	athlet	atlit	V;IND;PL;3;PST;FIN	N;SG
athleten	atlet	athlet	atlet	V;IND;PL;3;PST;FIN	N;SG
athleten	atlit	athlet	atlit	V;IND;PL;3;PST;FIN	N;SG
lahn	lahn	lahn	lahn	PROPN;NOM;SG	PROPN
teilnehmern	peserta	teilnehmern	peserta	V;NFIN	N;SG
teilnehmern	partisipan	teilnehmern	partisipan	V;NFIN	N;SG
teilnehmern	peserta	teilnehmern	peserta	V;NFIN	N;SG
baker	baker	bak	baker	PROPN	PROPN
ethnischen	etnis	ethnisch	etnis	ADJ;PL	N;SG
ethnischen	etnik	ethnisch	etnik	ADJ;PL	N;SG
copa	copa	copa	copa	PROPN;NOM;SG	PROPN
breiter	luas	breit	luas	ADJ	N;SG
breiter	wide	breit	wide	ADJ	PROPN
breiter	luas	breit	luas	ADJ	N;SG
udo	udo	udo	udo	PROPN;NOM;MASC;SG	PROPN
steuerung	control	steuerung	control	ADJ	PROPN
steuerung	kendali	steuerung	kendali	ADJ	N;SG
steuerung	kontrol	steuerung	kontrol	ADJ	N;SG;ACT
steuerung	pengendalian	steuerung	penkendalian	ADJ	N;SG
steuerung	mengontrol	steuerung	menkontrol	ADJ	V;SG;ACT
steuerung	kendalikan	steuerung	kendalikan	ADJ	V;SG;ACT
steuerung	pengontrol	steuerung	penontrol	ADJ	N;SG
steuerung	controller	steuerung	controller	ADJ	PROPN
steuerung	pengendalian	steuerung	penkendalian	ADJ	N;SG
steuerung	mengontrol	steuerung	menkontrol	ADJ	V;SG;ACT
steuerung	mengendalikan	steuerung	menkendalikan	ADJ	V;SG;ACT
steuerung	pemerintahan	steuerung	penperintahan	ADJ	N;SG
steuerung	kontrol	steuerung	kontrol	ADJ	N;SG;ACT
steuerung	mengontrol	steuerung	menkontrol	ADJ	V;SG;ACT
steuerung	kendali	steuerung	kendali	ADJ	N;SG
vortrag	speech	vortragen	speech	N;SG	PROPN
vortrag	berpidato	vortragen	berpidato	N;SG	V;SG;ACT
vortrag	bicaralah	vortragen	bicaralah	N;SG	V;SG;ACT
vortrag	talk	vortragen	talk	N;SG	PROPN
vortrag	bicara	vortragen	bicara	N;SG	
prinzipien	prinsip	prinzip	prinsip	V;NFIN	N;SG
