der	the	der	the	DET;NOM;DEF;MASC;SG	PROPN
internationale	internationale	international	internationale	ADJ;NOM;FEM;PL	N
zusätzlich	tambahan	zusätzlich	tambahan	ADJ	N;SG
dresden	dresden	dresden	dresden	PROPN;NOM;NEUT;SG	PROPN
homepage	homepage	homepage	homepage		N
schreiben	tulis	schreiben	tulis	V;NFIN	N;SG;ACT
schreiben	surat	schreiben	surat	V;NFIN	N;SG
schreiben	huruf	schreiben	huruf	V;NFIN	N;SG
schreiben	letter	schreiben	letter	V;NFIN	PROPN
schreiben	penulisan	schreiben	pentulisan	V;NFIN	N;SG
schreiben	tulisan	schreiben	tulisan	V;NFIN	N;SG
darstellung	tampilkan	darstellung	tampilkan	N;NOM;FEM;SG	V;SG;ACT
rudolf	rudolph	rudolf	rudolph	PROPN;NOM;MASC;SG	PROPN
rudolf	rudolf	rudolf	rudolf	PROPN;NOM;MASC;SG	PROPN
tatsächlich	memang	tatsächlich	memang	ADJ	ADV
tatsächlich	sebenarnya	tatsächlich	sebenarnya	ADJ	ADV
tatsächlich	actually	tatsächlich	actually	ADJ	PROPN
firma	teguh	firma	teguh	N;NOM;FEM;SG	ADJ;SG
firma	tegas	firma	tegas	N;NOM;FEM;SG	ADJ;SG
firma	company	firma	company	N;NOM;FEM;SG	PROPN
nahe	close	nahe	close		PROPN
nahe	dekat	nahe	dekat		ADJ;SG
nahe	tutup	nahe	tutup		PROPN;SG;ACT
nahe	dekat	nahe	dekat		ADJ;SG
nahe	nahe	nahe	nahe		PROPN
nahe	terdekat	nahe	terdekat		ADJ;RL;SG
nahe	sekitar	nahe	sekitar		ADP
größten	biggest	groß	biggest	ADJ;NOM;MASC;SG	PROPN
größten	greatest	groß	greatest	ADJ;NOM;MASC;SG	PROPN
league	league	league	league	PROPN;SG	PROPN
league	liga	league	liga	PROPN;SG	N;SG
tore	gates	tor	gates	N;NOM;NEUT;PL	PROPN
tore	gerbang	tor	gerbang	N;NOM;NEUT;PL	N;SG
tore	gol	tor	gol	N;NOM;NEUT;PL	N;SG
tore	tujuan	tor	tujuan	N;NOM;NEUT;PL	N;SG
politischen	politik	politisch	politik	ADJ;NOM;MASC;PL	N;SG
wahl	pemilu	wahl	pemilu		N;SG
wahl	pilihan	wahl	pilihan		N;SG
wahl	choice	wahl	choice		PROPN
darf	may	dürfen	may	V;IND;SG;3;PRS;FIN	PROPN
darf	mei	dürfen	mei	V;IND;SG;3;PRS;FIN	PROPN;SG
männer	jantan	männer	jantan	N;NOM;MASC;PL	N;SG
männer	pria	männer	pria	N;NOM;MASC;PL	N;SG
männer	men	männer	men	N;NOM;MASC;PL	PROPN
männer	jantan	männer	jantan	N;NOM;MASC;PL	N;SG
männer	male	männer	male	N;NOM;MASC;PL	PROPN
männer	mens	männer	mens	N;NOM;MASC;PL	PROPN
schauspielerin	aktris	schauspielerin	aktris	ADJ	N;SG
schauspielerin	actress	schauspielerin	actress	ADJ	PROPN
wiener	sosis	wiener	sosis		N;SG
hannover	hanover	hannover	hanover	PROPN;NOM;NEUT;SG	PROPN
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	PROPN
hannover	hannover	hannover	hannover	PROPN;NOM;NEUT;SG	PROPN
hannover	newport	hannover	newport	PROPN;NOM;NEUT;SG	PROPN
werde	will	werden	will	V;SBJV;SG;3;PRS;FIN	PROPN
werde	akan	werden	akan	V;SBJV;SG;3;PRS;FIN	ADV
werde	menjadi	werden	menjadi	V;SBJV;SG;3;PRS;FIN	V;SG;ACT
gründung	foundation	gründung	foundation	ADJ	PROPN
gründung	fondasi	gründung	fondasi	ADJ	N;SG
gründung	yayasan	gründung	yayasan	ADJ	N;SG
gründung	pondasi	gründung	pondasi	ADJ	N;SG
gründung	pembuatan	gründung	penbuatan	ADJ	N;SG
gründung	ciptaan	gründung	ciptaan	ADJ	N;SG
gründung	penciptaan	gründung	penciptaan	ADJ	N;SG
gründung	kreasi	gründung	kreasi	ADJ	N;SG;ACT
gründung	pembentukan	gründung	penbentukan	ADJ	N;SG
gründung	formasi	gründung	formasi	ADJ	N;SG
gründung	pembentukan	gründung	penbentukan	ADJ	N;SG
gründung	pendirian	gründung	pendirian	ADJ	N;SG
dar	dar	dar	dar	ADV	PROPN
beste	finest	gut	finest	ADJ;NOM;FEM;PL	PROPN
beste	terbaik	gut	terbaik	ADJ;NOM;FEM;PL	ADJ;RL;SG
beste	best	gut	best	ADJ;NOM;FEM;PL	PROPN
zeitung	koran	zeitung	koran		N;SG
zeitung	koran	zeitung	koran		N;SG
zeitung	koran	zeitung	koran		N;SG
zeitung	makalah	zeitung	makalah		N;SG
zeitung	paper	zeitung	paper		PROPN
zeitung	kertas	zeitung	kertas		N;SG
zeitung	zeitung	zeitung	zeitung		N
spd	spd	spd	spd	PROPN;NOM;SG	PROPN
schlacht	battle	schlacht	battle	N;NOM;FEM;SG	PROPN
richtig	kanan	richtig	kanan	ADV	N;SG
richtig	benar	richtig	benar	ADV	ADJ;SG
richtig	right	richtig	right	ADV	PROPN
richtig	benar	richtig	benar	ADV	ADJ;SG
richtig	true	richtig	true	ADV	PROPN
richtig	betulkan	richtig	betulkan	ADV	ADJ;SG
akademie	academy	akademie	academy	N;NOM;FEM;SG	PROPN
akademie	akademie	akademie	akademie	N;NOM;FEM;SG	PROPN
gehen	walk	gehen	walk	V;NFIN	PROPN
division	divisi	division	divisi		N;SG
division	pembagian	division	penbagian		N;SG
division	division	division	division		PROPN
anzahl	num	anzahl	num	N;SG	PROPN
anzahl	nomer	anzahl	nomer	N;SG	PROPN;SG
olympischen	olympic	olympisch	olympic	ADJ;NOM;MASC;PL	PROPN
olympischen	olimpiade	olympisch	olimpiade	ADJ;NOM;MASC;PL	N;SG
olympischen	olimpiade	olympisch	olimpiade	ADJ;NOM;MASC;PL	N;SG
stil	styles	stil	styles	ADJ	PROPN
stil	gaya	stil	gaya	ADJ	N;SG
stil	gaya	stil	gaya	ADJ	N;SG
stil	style	stil	style	ADJ	N
stil	bergaya	stil	bergaya	ADJ	V;SG;ACT
stil	stil	stil	stil	ADJ	PROPN
deine	milikmu	dein	milik	PRO;NOM;MASC;SG	N;SG
deine	yours	dein	yours	PRO;NOM;MASC;SG	PROPN
deine	your	dein	your	PRO;NOM;MASC;SG	PROPN
sagen	say	sagen	say	V;NFIN	PROPN
sagen	tell	sagen	tell	V;NFIN	PROPN
charles	charles	charles	charles	PROPN;NOM;MASC;SG	PROPN
gebaut	built	bauen	built	V;V.PTCP	PROPN
größte	biggest	groß	biggest	ADJ;NOM;FEM;SG	PROPN
größte	greatest	groß	greatest	ADJ;NOM;FEM;SG	PROPN
wahrscheinlich	mungkin	wahrscheinlich	mungkin	ADJ	ADV
wahrscheinlich	kemungkinan	wahrscheinlich	kemungkinan	ADJ	N;SG
erreichen	jangkau	erreichen	jangkau	V;NFIN	N;SG
erreichen	jangkauan	erreichen	jangkauan	V;NFIN	N;SG
till	till	till	till	PROPN;SG	PROPN
herzog	herzog	herziehen	herzog	PROPN;NOM;MASC;SG	PROPN
herzog	duke	herziehen	duke	PROPN;NOM;MASC;SG	PROPN
herzog	adipati	herziehen	adipati	PROPN;NOM;MASC;SG	N
zentrum	zentrum	zentrum	zentrum	PROPN;NOM;SG	PROPN
zentrum	tengah	zentrum	tengah	PROPN;NOM;SG	PROPN;SG
zentrum	pusat	zentrum	pusat	PROPN;NOM;SG	N;SG
zentrum	center	zentrum	center	PROPN;NOM;SG	PROPN
zentrum	tengah	zentrum	tengah	PROPN;NOM;SG	PROPN;SG
zentrum	pusat	zentrum	pusat	PROPN;NOM;SG	N;SG
zentrum	centre	zentrum	centre	PROPN;NOM;SG	PROPN
jede	setiap	jed	setiap	PRO;NOM;INDF;FEM;SG	DET
jede	every	jed	every	PRO;NOM;INDF;FEM;SG	PROPN
jede	setiap	jed	setiap	PRO;NOM;INDF;FEM;SG	DET
jede	sembarang	jed	sembarang	PRO;NOM;INDF;FEM;SG	N
jede	any	jed	any	PRO;NOM;INDF;FEM;SG	PROPN
jede	setiap	jed	setiap	PRO;NOM;INDF;FEM;SG	DET
jede	tiap	jed	tiap	PRO;NOM;INDF;FEM;SG	DET
jede	each	jed	each	PRO;NOM;INDF;FEM;SG	PROPN
dagegen	menentang	dagegen	mententang	ADV	V;SG;ACT
dagegen	melawan	dagegen	menlawan	ADV	ADP;SG;ACT
dagegen	against	dagegen	against	ADV	PROPN
dagegen	terhadap	dagegen	terhadap	ADV	ADP
liebe	dear	lieb	dear	PROPN;NOM;SG	PROPN
liebe	sayang	lieb	sayang	PROPN;NOM;SG	N;SG
liebe	yth	lieb	yth	PROPN;NOM;SG	PROPN
liebe	rpp	lieb	rpp	PROPN;NOM;SG	N;SG
liebe	love	lieb	love	PROPN;NOM;SG	PROPN
liebe	cintai	lieb	cintai	PROPN;NOM;SG	V;SG;ACT
liebe	cinta	lieb	cinta	PROPN;NOM;SG	N;SG
rom	rome	rom	rome	PROPN;NOM;NEUT;SG	PROPN
rom	romawi	rom	romawi	PROPN;NOM;NEUT;SG	PROPN;SG
rom	roma	rom	roma	PROPN;NOM;NEUT;SG	PROPN
rom	rom	rom	rom	PROPN;NOM;NEUT;SG	PROPN
ihres	miliknya	ihr	milik	DET;GEN;MASC;SG	N;SG;ACT
umfasst	sampul	umfassen	sampul	V;IND;SG;3;PRS;FIN	N;SG
nachfolger	penerus	nachfolg	penterus	ADJ	N;SG
nachfolger	penerus	nachfolg	penterus	ADJ	N;SG
grenze	batasi	grenze	batasi	ADJ	V;SG;ACT
grenze	batas	grenze	batas	ADJ	N;SG
grenze	membatasi	grenze	menbatasi	ADJ	V;SG;ACT
grenze	limit	grenze	limit	ADJ	PROPN
grenze	batas	grenze	batas	ADJ	N;SG
grenze	batas	grenze	batas	ADJ	N;SG
grenze	perbatasan	grenze	perbatasan	ADJ	N;SG
grenze	tepi	grenze	tepi	ADJ	N;SG
grenze	tepian	grenze	tepian	ADJ	N;SG
grenze	perbatasan	grenze	perbatasan	ADJ	N;SG
grenze	frontier	grenze	frontier	ADJ	PROPN
nächsten	selanjutnya	nah	selanjutnya	ADJ;PL	ADV
nächsten	berikutnya	nah	berikutnya	ADJ;PL	ADV
nächsten	next	nah	next	ADJ;PL	PROPN
truppen	pasukan	truppen	pasukan	V;NFIN	N;SG
mitarbeiter	karyawan	Mitarbeiter	karyawan	ADJ	N;MASC;SG
mitarbeiter	karyawan	Mitarbeiter	karyawan	ADJ	N;MASC;SG
mitarbeiter	asosiasi	Mitarbeiter	asosiasi	ADJ	N;SG
mitarbeiter	kolaborator	Mitarbeiter	kolaborator	ADJ	N;SG
mitarbeiter	staf	Mitarbeiter	staf	ADJ	N;SG
mitarbeiter	staff	Mitarbeiter	staff	ADJ	N
britischen	britania	britisch	britania	ADJ;NOM;MASC;PL	PROPN
britischen	british	britisch	british	ADJ;NOM;MASC;PL	PROPN
werner	werner	wern	werner	PROPN;NOM;MASC;SG	PROPN
verwendung	menggunakan	verwendung	mengunakan	N;SG	V;SG;ACT
verwendung	gunakan	verwendung	gunakan	N;SG	V;SG;ACT
verwendung	pakai	verwendung	pakai	N;SG	V;SG;ACT
verwendung	menggunakan	verwendung	mengunakan	N;SG	V;SG;ACT
sieg	win	seigen	win	N;NOM;SG	PROPN
sieg	menang	seigen	menang	N;NOM;SG	;SG
sieg	menangkan	seigen	mentangkan	N;NOM;SG	V;SG;ACT
sieg	sieg	seigen	sieg	N;NOM;SG	PROPN
sieg	victory	seigen	victory	N;NOM;SG	PROPN
eintrag	entry	eintrag	entry	N	PROPN
china	tiongkok	china	tiongkok	PROPN;NOM;MASC;SG	PROPN
china	china	china	china	PROPN;NOM;MASC;SG	PROPN
china	jatim	china	jatim	PROPN;NOM;MASC;SG	PROPN
china	cina	china	cina	PROPN;NOM;MASC;SG	PROPN;SG
hohe	high	hoch	high	ADJ;NOM;FEM;PL	PROPN
hohe	tinggi	hoch	tinggi	ADJ;NOM;FEM;PL	ADJ;SG
falls	terjun	falls	terjun	CONJ	N;SG;ACT
falls	falls	falls	falls	CONJ	PROPN
falls	jatuh	falls	jatuh	CONJ	V;SG;ACT
leicht	cahaya	leicht	cahaya	ADJ	N;SG
leicht	lampu	leicht	lampu	ADJ	N;SG
leicht	light	leicht	light	ADJ	PROPN
leicht	easy	leicht	easy	ADJ	PROPN
verbunden	dikaitkan	verbinden	dikaitkan	ADJ;V.PTCP	V;SG;PASS
verbunden	diasosiasikan	verbinden	diasosiasikan	ADJ;V.PTCP	V;SG;PASS
verbunden	terkait	verbinden	terkait	ADJ;V.PTCP	V;SG;PASS
verbunden	lampirkan	verbinden	lampirkan	ADJ;V.PTCP	V;SG;ACT
verbunden	terlampir	verbinden	terlampir	ADJ;V.PTCP	N
verbunden	dilampirkan	verbinden	dilampirkan	ADJ;V.PTCP	V;SG;PASS
verbunden	terhubung	verbinden	terhubung	ADJ;V.PTCP	V;SG;PASS
verbunden	terkoneksi	verbinden	terkoneksi	ADJ;V.PTCP	V;SG;PASS
verbunden	tersambung	verbinden	tersambung	ADJ;V.PTCP	V;SG;PASS
verbunden	berafiliasi	verbinden	berafiliasi	ADJ;V.PTCP	V;SG;ACT
verbunden	ditautkan	verbinden	ditautkan	ADJ;V.PTCP	V;SG;PASS
verbunden	terkait	verbinden	terkait	ADJ;V.PTCP	V;SG;PASS
verbunden	terhubung	verbinden	terhubung	ADJ;V.PTCP	V;SG;PASS
bald	botak	bald	botak	ADV	PROPN;SG
bald	soon	bald	soon	ADV	PROPN
autoren	penulis	autor	pentulis		N;SG
autoren	pengarang	autor	penarang		N;SG
autoren	penulis	autor	pentulis		N;SG
autoren	pembuat	autor	penbuat		N;SG
autoren	pengarang	autor	penarang		N;SG
autoren	penulis	autor	pentulis		N;SG
all	all	all	all	ADV	PROPN
all	aii	all	aii	ADV	PROPN
all	semua	all	semua	ADV	DET
tiefe	kedalaman	tief	kedalaman		N;SG
tiefe	kedalaman	tief	kedalaman		N;SG
tiefe	mendalam	tief	mendalam		V;SG;ACT
tiefe	mendalam	tief	mendalam		V;SG;ACT
tiefe	deep	tief	deep		PROPN
press	tekan	press	tekan	PROPN	N;SG;ACT
press	pers	press	pers	PROPN	N;SG
press	press	press	press	PROPN	PROPN
gattung	genus	gattung	genus	ADJ	N
gattung	spesies	gattung	spesies	ADJ	N;SG
gattung	species	gattung	species	ADJ	N
allein	sendirian	allein	sendirian	ADV	N;SG
allein	alone	allein	alone	ADV	PROPN
allein	sendiri	allein	sendiri	ADV	ADJ;SG
allein	solo	allein	solo	ADV	PROPN;SG
bürgermeister	walikota	bürgermeister	walikota	ADJ	PROPN
bürgermeister	mayor	bürgermeister	mayor	ADJ	PROPN
polen	polandia	polen	polandia		PROPN;SG
polen	kutub	polen	kutub		N;SG
polen	galah	polen	galah		N;SG
nord	utara	nord	utara	ADJ	PROPN;SG
nord	north	nord	north	ADJ	PROPN
nord	nord	nord	nord	ADJ	PROPN
bestehen	insist	bestehen	insist	V;NFIN	PROPN
bestehen	keberadaan	bestehen	keberadaan	V;NFIN	N;SG
bestehen	keberadaannya	bestehen	keberadaan	V;NFIN	N;SG
bestehen	eksistensi	bestehen	eksistensi	V;NFIN	N
zuletzt	last	zuletzt	last	ADV	PROPN
zuletzt	terakhir	zuletzt	terakhir	ADV	ADJ;RL;SG
verheiratet	married	verheiraten	married	ADJ;V.PTCP	PROPN
verheiratet	menikah	verheiraten	mennikah	ADJ;V.PTCP	V;SG;ACT
verheiratet	mengawinkan	verheiraten	menkawinkan	ADJ;V.PTCP	V;SG;ACT
verheiratet	wed	verheiraten	wed	ADJ;V.PTCP	PROPN
verheiratet	nikahi	verheiraten	nikahi	ADJ;V.PTCP	V;SG;ACT
verheiratet	rabu	verheiraten	rabu	ADJ;V.PTCP	N;SG
ernannt	nominasi	ernennen	nominasi	V;V.PTCP	N;SG
produktion	output	produktion	output		N
produktion	keluaran	produktion	keluaran		N;SG
produktion	production	produktion	production		PROPN
produktion	produksi	produktion	produksi		N;SG
produktion	productions	produktion	productions		PROPN
produktion	manufaktur	produktion	manufaktur		N
produktion	pabrikasi	produktion	pabrikasi		N;SG
herrschaft	dominasi	herrschaft	dominasi	ADJ	N;SG
berg	gunung	berg	gunung	PROPN;NOM;MASC;SG	N;SG
berg	mountain	berg	mountain	PROPN;NOM;MASC;SG	PROPN
berg	pegunungan	berg	pegunungan	PROPN;NOM;MASC;SG	N;SG
berg	berg	berg	berg	PROPN;NOM;MASC;SG	PROPN
berg	gunung	berg	gunung	PROPN;NOM;MASC;SG	N;SG
berg	mount	berg	mount	PROPN;NOM;MASC;SG	PROPN
berg	kait	berg	kait	PROPN;NOM;MASC;SG	N;SG
berg	bukit	berg	bukit	PROPN;NOM;MASC;SG	PROPN;SG
berg	hill	berg	hill	PROPN;NOM;MASC;SG	PROPN
sla	sla	sla	sla		PROPN
alt	alto	alt	alto	ADJ	PROPN
alt	alt	alt	alt	ADJ	PROPN
alt	old	alt	old	ADJ	PROPN
punkt	barang	punken	barang		N;SG
punkt	butir	punken	butir		PROPN;SG
punkt	item	punken	item		N
punkt	dot	punken	dot		PROPN
punkt	poin	punken	poin		N;SG
punkt	titik	punken	titik		N;SG
punkt	point	punken	point		N
andreas	andreas	andreas	andreas	PROPN;NOM;MASC;SG	PROPN
andreas	andreas	andreas	andreas	PROPN;NOM;MASC;SG	PROPN
andreas	andrew	andreas	andrew	PROPN;NOM;MASC;SG	PROPN
stiftung	endowment	stiftung	endowment	N;NOM;FEM;SG	PROPN
stiftung	foundation	stiftung	foundation	N;NOM;FEM;SG	PROPN
stiftung	stiftung	stiftung	stiftung	N;NOM;FEM;SG	PROPN
aktiv	active	aktiv	active	ADJ	PROPN
aktiv	proaktif	aktiv	proaktif	ADJ	N
familienname	marga	familiennam	marga	ADJ	N;SG
österreichischen	austria	österreichisch	austria	ADJ;NOM;MASC;PL	PROPN
österreichischen	österreichische	österreichisch	österreichische	ADJ;NOM;MASC;PL	PROPN
punkte	dots	punken	dots	N;NOM;MASC;PL	PROPN
punkte	noktah	punken	noktah	N;NOM;MASC;PL	N;SG
punkte	titik	punken	titik	N;NOM;MASC;PL	N;SG
punkte	poin	punken	poin	N;NOM;MASC;PL	N;SG
sinne	indra	sinnen	indra	N	PROPN;SG
gegensatz	kontradiksi	gegensatz	kontradiksi	ADJ	N;SG
gegensatz	kontras	gegensatz	kontras	ADJ	N;SG
minuten	menit	minuten	menit	V;NFIN	N;SG
minuten	mnt	minuten	mnt	V;NFIN	PROPN
minuten	menit	minuten	menit	V;NFIN	N;SG
minuten	mnt	minuten	mnt	V;NFIN	PROPN
minuten	min	minuten	min	V;NFIN	PROPN
bleiben	tetap	bleiben	tetap	V;NFIN	ADV;SG
bleiben	stay	bleiben	stay	V;NFIN	PROPN
frühen	early	früh	early	ADJ	PROPN
rang	rank	rang	rank	N;SG	PROPN
historischen	bersejarah	historisch	bersejarah	ADJ;NOM;MASC;SG	N;SG;ACT
historischen	historis	historisch	historis	ADJ;NOM;MASC;SG	N
historischen	bersejarah	historisch	bersejarah	ADJ;NOM;MASC;SG	N;SG;ACT
historischen	sejarah	historisch	sejarah	ADJ;NOM;MASC;SG	N;SG
finale	finale	final	finale	N;NOM;NEUT;SG	PROPN
finale	finals	final	finals	N;NOM;NEUT;SG	PROPN
jeden	setiap	jed	setiap	PRO;ACC;INDF;MASC;SG	DET
jeden	every	jed	every	PRO;ACC;INDF;MASC;SG	PROPN
jeden	setiap	jed	setiap	PRO;ACC;INDF;MASC;SG	DET
jeden	tiap	jed	tiap	PRO;ACC;INDF;MASC;SG	DET
jeden	each	jed	each	PRO;ACC;INDF;MASC;SG	PROPN
jeden	setiap	jed	setiap	PRO;ACC;INDF;MASC;SG	DET
jeden	sembarang	jed	sembarang	PRO;ACC;INDF;MASC;SG	N
jeden	any	jed	any	PRO;ACC;INDF;MASC;SG	PROPN
verfahren	proses	verfahren	proses	V;NFIN	N;SG
verfahren	prosedur	verfahren	prosedur	V;NFIN	N;SG
verfahren	metoda	verfahren	metoda	V;NFIN	N;SG
verfahren	method	verfahren	method	V;NFIN	PROPN
verfahren	metode	verfahren	metode	V;NFIN	N;SG
verfahren	prosedur	verfahren	prosedur	V;NFIN	N;SG
tour	tour	tour	tour		PROPN
tour	tur	tour	tur		N
tour	wisata	tour	wisata		N;SG
wollen	menginginkan	wollen	meninginkan	V;IND;PL;3;PRS;FIN	V;SG;ACT
wollen	wanna	wollen	wanna	V;IND;PL;3;PRS;FIN	PROPN
wollen	ingin	wollen	ingin	V;IND;PL;3;PRS;FIN	V;SG;ACT
wollen	inginkan	wollen	inginkan	V;IND;PL;3;PRS;FIN	V;SG;ACT
wollen	pengen	wollen	pengen	V;IND;PL;3;PRS;FIN	PROPN
wollen	mau	wollen	mau	V;IND;PL;3;PRS;FIN	ADV
ergebnis	hasil	ergebnis	hasil	ADJ	N;SG
ergebnis	pendapatan	ergebnis	pendapatan	ADJ	N;SG
ergebnis	penghasilan	ergebnis	penhasilan	ADJ	N;SG
ergebnis	hasil	ergebnis	hasil	ADJ	N;SG
ergebnis	result	ergebnis	result	ADJ	PROPN
ergebnis	hasilnya	ergebnis	hasil	ADJ	N;SG
ergebnis	hasil	ergebnis	hasil	ADJ	N;SG
mark	markus	mark	markus	PROPN	PROPN
mark	tanda	mark	tanda	PROPN	N;SG
mark	tandai	mark	tandai	PROPN	V;SG;ACT
mark	mark	mark	mark	PROPN	PROPN
leitung	sutradara	leitung	sutradara	ADJ	N;SG
leitung	direktur	leitung	direktur	ADJ	N;SG
leitung	kepemimpinan	leitung	kepemimpinan	ADJ	N;SG
leitung	pimpinan	leitung	pimpinan	ADJ	N;SG
württemberg	württemberg	württemberg	württemberg	PROPN;NOM;NEUT;SG	PROPN
falsch	salah	falsch	salah	ADJ	N;SG
falsch	salah	falsch	salah	ADJ	N;SG
falsch	palsu	falsch	palsu	ADJ	PROPN;SG
falsch	false	falsch	false	ADJ	PROPN
falsch	salah	falsch	salah	ADJ	N;SG
artikeln	artikel	artikeln	artikel	ADJ	N;SG
gold	emas	gold	emas		N;SG
gold	gold	gold	gold		PROPN
weise	wise	weis	wise	ADJ	PROPN
weise	way	weis	way	ADJ	PROPN
außer	kecuali	außer	kecuali	ADP	CONJ
heiligen	santo	heilig	santo	ADJ	PROPN
heiligen	saints	heilig	saints	ADJ	PROPN
heiligen	santo	heilig	santo	ADJ	PROPN
heiligen	saint	heilig	saint	ADJ	PROPN
heiligen	kudus	heilig	kudus	ADJ	PROPN;SG
heiligen	holy	heilig	holy	ADJ	PROPN
heiligen	sakral	heilig	sakral	ADJ	N
möglichkeit	peluang	möglichkeit	peluang	ADJ	N;SG
möglichkeit	kesempatan	möglichkeit	kesempatan	ADJ	N;SG
möglichkeit	opsi	möglichkeit	opsi	ADJ	N;SG
möglichkeit	kemungkinan	möglichkeit	kemungkinan	ADJ	N;SG
leiter	tangga	leiter	tangga	ADJ	N;SG
leiter	head	leiter	head	ADJ	PROPN
leiter	kepala	leiter	kepala	ADJ	N;SG
leiter	leader	leiter	leader	ADJ	PROPN
leiter	pemimpin	leiter	penpimpin	ADJ	N;SG
los	los	los	los	ADV	PROPN
river	sungai	river	sungai	PROPN;NOM;SG	PROPN;SG
river	river	river	river	PROPN;NOM;SG	PROPN
rennen	balapan	rennen	balapan	V;NFIN	N;SG
rennen	ras	rennen	ras	V;NFIN	N;SG
rennen	balapan	rennen	balapan	V;NFIN	N;SG
rennen	race	rennen	race	V;NFIN	PROPN
rennen	perlombaan	rennen	perlombaan	V;NFIN	N;SG
rennen	ras	rennen	ras	V;NFIN	N;SG
rennen	lomba	rennen	lomba	V;NFIN	N;SG
rennen	balapan	rennen	balapan	V;NFIN	N;SG
rennen	balap	rennen	balap	V;NFIN	N;SG;ACT
rennen	racing	rennen	racing	V;NFIN	N
del	del	del	del	PROPN;SG	PROPN
union	union	union	union	PROPN;NOM;SG	PROPN
union	uni	union	uni	PROPN;NOM;SG	PROPN;SG
union	serikat	union	serikat	PROPN;NOM;SG	PROPN;SG
japan	jepang	japan	jepang	PROPN;NOM;NEUT;SG	PROPN;SG
japan	japan	japan	japan	PROPN;NOM;NEUT;SG	PROPN
belegt	sibuk	belegen	sibuk	ADJ;V.PTCP	;SG
belegt	dibiakkan	belegen	dibiakkan	ADJ;V.PTCP	V;SG;PASS
belegt	dibuktikan	belegen	dibuktikan	ADJ;V.PTCP	V;SG;PASS
belegt	terbukti	belegen	terbukti	ADJ;V.PTCP	V;SG;PASS
belegt	didokumentasikan	belegen	didokumentasikan	ADJ;V.PTCP	V;SG;PASS
belegt	pendudukan	belegen	pendudukan	ADJ;V.PTCP	N;SG
belegt	ditempati	belegen	ditempati	ADJ;V.PTCP	V;SG;PASS
belegt	diduduki	belegen	diduduki	ADJ;V.PTCP	V;SG;PASS
knapp	knapp	knapp	knapp	ADJ	PROPN
knapp	langka	knapp	langka	ADJ	N;SG
webseite	website	webseite	website		N;SG
webseite	situs	webseite	situs		N;SG
webseite	site	webseite	site		PROPN
webseite	website	webseite	website		N;SG
webseite	web	webseite	web		N
großer	großer	groß	großer	ADJ	PROPN
müller	müller	müll	müller	PROPN;NOM;MASC;SG	PROPN
müller	miller	müll	miller	PROPN;NOM;MASC;SG	PROPN
müller	muller	müll	muller	PROPN;NOM;MASC;SG	PROPN
müller	mueller	müll	mueller	PROPN;NOM;MASC;SG	PROPN
angaben	data	angeben	data	V;NFIN	N;SG
vorsitzender	presiden	vorsitzend	presiden	ADJ	N;SG
vorsitzender	ketua	vorsitzend	ketua	ADJ	N;SG
vorsitzender	kursi	vorsitzend	kursi	ADJ	N;SG
vorsitzender	ketua	vorsitzend	ketua	ADJ	N;SG
albert	albert	albern	albert	PROPN;SG	PROPN
fest	solid	fest	solid	ADV	PROPN
fest	padat	fest	padat	ADV	ADJ;SG
fest	pesta	fest	pesta	ADV	N;SG
fest	ketat	fest	ketat	ADV	ADJ;SG
fest	fest	fest	fest	ADV	PROPN
dank	trims	dank	trims	ADV	PROPN
dank	terimakasih	dank	terimakasih	ADV	V;SG;PASS
dank	makasih	dank	makasih	ADV	N
entsprechend	menurut	entsprechend	menurut	ADJ	ADP
kanton	guangzhou	kanton	guangzhou	N;NOM;MASC;SG	PROPN;SG
kanton	canton	kanton	canton	N;NOM;MASC;SG	PROPN
kanton	kanton	kanton	kanton	N;NOM;MASC;SG	PROPN
düsseldorf	düsseldorf	düsseldorf	düsseldorf	PROPN;NOM;NEUT;SG	PROPN
düsseldorf	dusseldorf	düsseldorf	dusseldorf	PROPN;NOM;NEUT;SG	PROPN
genannten	direferensikan	genannt	direferensikan	V;IND;PL;3;PST;FIN	V;SG;PASS
genannten	disebut	genannt	disebut	V;IND;PL;3;PST;FIN	V;SG;PASS
genannten	dirujuk	genannt	dirujuk	V;IND;PL;3;PST;FIN	V;SG;PASS
erkennen	deteksi	erkennen	deteksi	V;NFIN	N;SG
historische	bersejarah	historisch	bersejarah	ADJ;NOM;FEM;PL	N;SG;ACT
historische	historis	historisch	historis	ADJ;NOM;FEM;PL	N
historische	bersejarah	historisch	bersejarah	ADJ;NOM;FEM;PL	N;SG;ACT
historische	sejarah	historisch	sejarah	ADJ;NOM;FEM;PL	N;SG
politik	polis	politik	polis	ADJ	N;SG
politik	kebijakan	politik	kebijakan	ADJ	N;SG
politik	politik	politik	politik	ADJ	N;SG
anna	anne	anna	anne	PROPN;NOM;FEM;SG	PROPN
anna	anna	anna	anna	PROPN;NOM;FEM;SG	PROPN
katholischen	catholic	katholisch	catholic	ADJ;NOM;MASC;SG	PROPN
katholischen	katolik	katholisch	katolik	ADJ;NOM;MASC;SG	PROPN
zeitpunkt	timing	zeitpunkt	timing	ADJ	PROPN
