και	और	και	और	CONJ	
αρχαίοι	अगलों	αρχαίος	अगल	ADJ;NOM;MASC;PL	N;ACC;MASC;PL;3
διατήρηση	संरक्षण	διατήρηση	संरक्षण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διατήρηση	रखरखाव	διατήρηση	रखरखाव	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διατήρηση	मेंटेनेंस	διατήρηση	मेंटेनेंस	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διατήρηση	संरक्षण	διατήρηση	संरक्षण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
διατήρηση	अवधारण	διατήρηση	अवधारण	N;ACC;FEM;SG	
διατήρηση	स्तंभन	διατήρηση	स्तंभन	N;ACC;FEM;SG	
παιδί	किड	παιδί	किड	N;NOM;NEUT;SG	
παιδί	बच्चे	παιδί	बच्चा	N;NOM;NEUT;SG	N;NOM;MASC;PL;3
παιδί	चाइल्ड	παιδί	चाइल्ड	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
δίπλα	सटा	δίπλα	सट	ADV	V;PFV;MASC;SG;V.PTCP;ACT
εικόνες	चित्र	εικόνα	चित्र	N;NOM;FEM;PL	N;NOM;MASC;SG;3
εικόνες	छवि	εικόνα	छवि	N;NOM;FEM;PL	N;NOM;FEM;SG;3
εικόνες	चित्र	εικόνα	चित्र	N;NOM;FEM;PL	N;NOM;MASC;SG;3
εικόνες	बिंब	εικόνα	बिंब	N;NOM;FEM;PL	N;NOM;MASC;SG;3
εθνικότητα	राष्ट्रीयता	εθνικότητα	राष्ट्रीयता	N;ACC;FEM;SG	N;NOM;FEM;SG;3
τελευταίος	आखरी	τελευταίος	आखरी	ADJ;NOM;MASC;SG	
ενώσεις	सम्बद्धता	ένωση	सम्बद्धता	N;NOM;FEM;PL	N;NOM;FEM;SG;3
ενώσεις	एसोसिएशन	ένωση	एसोसिएशन	N;NOM;FEM;PL	N;NOM;FEM;SG;3
ενώσεις	यौगिकों	ένωση	यौगिक	N;NOM;FEM;PL	N;ACC;MASC;PL;3
σκηνή	दृश्य	σκηνός	दृश्य	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σκηνή	सीन	σκηνός	सीन	N;ACC;FEM;SG	N;NOM;MASC;SG;3
σκηνή	झाँकी	σκηνός	झाँकी	N;ACC;FEM;SG	N;NOM;FEM;SG;3
σκηνή	तम्बू	σκηνός	तम्बू	N;ACC;FEM;SG	N;NOM;MASC;SG;3
εξωτερικό	बाहरी	εξωτερικό	बाहरी	N;NOM;NEUT;SG	ADJ;NOM
εξωτερικό	बाह्य	εξωτερικό	बाह्य	N;NOM;NEUT;SG	
εργασία	श्रमिक	εργασία	श्रमिक	N;NOM;FEM;SG	N;NOM;MASC;PL;3
γερμανοί	जर्मन	γερμανός	जर्मन	PROPN;NOM;MASC;PL	PROPN;NOM;MASC;SG;3
γερμανοί	जर्मनी	γερμανός	जर्मनी	PROPN;NOM;MASC;PL	PROPN;NOM;MASC;SG;3
τάξη	क्लास	τάξη	क्लास	N;NOM;FEM;SG	
διορίστηκε	नियुक्त	διορίζω	नियुक्त	V;PFV;IND;SG;3;PST;FIN;PASS	ADJ
παρελθόν	अतीत	παρελθόν	अतीत	N;NOM;NEUT;SG	
παρελθόν	पास्ट	παρελθόν	पास्ट	N;NOM;NEUT;SG	
δουλειά	job	δουλειά	job	N;NOM;FEM;SG	
συμπεριφορά	व्यवहार	συμπεριφορά	व्यवहार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
συμπεριφορά	बर्ताव	συμπεριφορά	बर्ताव	N;ACC;FEM;SG	N;NOM;MASC;SG;3
συμπεριφορά	आचरण	συμπεριφορά	आचरण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
συμπεριφορά	तेवर	συμπεριφορά	तेवर	N;ACC;FEM;SG	N;NOM;MASC;PL;3
συμπεριφορά	एटीट्यूड	συμπεριφορά	एटीट्यूड	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
συμπεριφορά	रूख	συμπεριφορά	रूख	N;ACC;FEM;SG	
συμπεριφορά	attitude	συμπεριφορά	ओॉीओाठ	N;ACC;FEM;SG	N;NOM;MASC;SG;3
συμπεριφορά	रवैया	συμπεριφορά	रवैया	N;ACC;FEM;SG	N;NOM;MASC;SG;3
συμπεριφορά	व्यवहार	συμπεριφορά	व्यवहार	N;ACC;FEM;SG	N;NOM;MASC;SG;3
συμπεριφορά	बर्ताव	συμπεριφορά	बर्ताव	N;ACC;FEM;SG	N;NOM;MASC;SG;3
βόρειο	उत्तरी	βόρειο	उत्तरी	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
απόψεις	राय	άποψη	राय	N;NOM;FEM;PL	PROPN;NOM;SG;3
απόψεις	दृश्य	άποψη	दृश्य	N;NOM;FEM;PL	N;NOM;MASC;SG;3
σύμβολο	चिह्न	σύμβολο	चिह्न	N;NOM;NEUT;SG	
προσθήκη	अलावा	προσθήκη	अलावा	N	ADP
προσθήκη	जोड़	προσθήκη	जोड़	N	V;SG;FIN;ACT
προσθήκη	जोड	προσθήκη	जोड	N	
προσθήκη	जोड़ें	προσθήκη	जोड़	N	V;SBJV;PL;FIN;ACT
προσθήκη	add	προσθήκη	add	N	PROPN;NOM;MASC;SG;3
ισραήλ	इज़राइल	ισραήλ	इज़राइल		PROPN;NOM;MASC;SG;3
ισραήλ	इजरायल	ισραήλ	इजरायल		PROPN;NOM;MASC;SG;3
ισραήλ	इसराइल	ισραήλ	इसराइल		PROPN;NOM;MASC;SG;3
ισραήλ	इसराईल	ισραήλ	इसराईल		PROPN;NOM;FEM;SG;3
άρης	एरीस	άρης	एरीस	PROPN;NOM;MASC;SG	
άρης	मंगल	άρης	मंगल	PROPN;NOM;MASC;SG	
καναδά	कनाडा	καναδός	कनाडा	PROPN;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
παιχνίδια	गेम्स	παιχνίδιο	गेम्स	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
παιχνίδια	गेम	παιχνίδιο	गेम	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
παιχνίδια	खेल	παιχνίδιο	खेल	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
παιχνίδια	खिलौने	παιχνίδιο	खिलौना	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
κομμάτια	टुकड़ो	κομμάτι	टुकडा	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
κομμάτια	टुकड़े	κομμάτι	टुकडा	N;NOM;NEUT;PL	V;PFV;MASC;PL;V.PTCP;ACT
ανάλυση	विश्लेषण	ανάλυση	विश्लेषण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ανάλυση	विश्लेषण	ανάλυση	विश्लेषण	N;ACC;FEM;SG	N;NOM;MASC;SG;3
κόκκινο	लाल	κόκκινος	लाल	N;NOM;NEUT;SG	
κόκκινο	रेड	κόκκινος	रेड	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
δίσκος	अलबम	δίσκος	अलबम	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
ροκ	शैल	ροκ	शैल		
ροκ	रॉक	ροκ	रॉक		N;NOM;MASC;SG;3
ροκ	चट्टान	ροκ	चट्टान		N;NOM;FEM;SG;3
αντικείμενα	आइटम	αντικείμενο	आइटम	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
αντικείμενα	मद	αντικείμενο	मद	N;NOM;NEUT;PL	
αντικείμενα	वस्तु	αντικείμενο	वस्तु	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
αντικείμενα	ऑब्जेक्ट	αντικείμενο	ऑब्जेक्ट	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
ενέργειας	ऊर्जा	ενέργεια	ऊर्जा	N;GEN;FEM;SG	N;NOM;FEM;SG;3
ενέργειας	उर्जा	ενέργεια	उर्जा	N;GEN;FEM;SG	N;NOM;FEM;SG;3
ζώνη	मण्डल	ζώνη	मण्डल	N;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
ζώνη	बेल्ट	ζώνη	बेल्ट	N;NOM;FEM;SG	
σύλλογοι	सम्बद्धता	σύλλογος	सम्बद्धता	ADJ;NOM;MASC;PL	N;NOM;FEM;SG;3
σύλλογοι	एसोसिएशन	σύλλογος	एसोसिएशन	ADJ;NOM;MASC;PL	N;NOM;FEM;SG;3
σύλλογοι	चिड़ी	σύλλογος	चिड़ी	ADJ;NOM;MASC;PL	V;PFV;FEM;SG;V.PTCP;ACT
σύλλογοι	क्लब	σύλλογος	क्लब	ADJ;NOM;MASC;PL	N;NOM;MASC;SG;3
σχέδια	डिजाइन	σχέδιο	डिजाइन	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
σχέδια	प्रोजेक्ट	σχέδιο	प्रोजेक्ट	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
χιλιάδες	हज़ारो	χιλιάδα	हज़ारो	NUM;NOM;FEM;PL	
χιλιάδες	हजारों	χιλιάδα	हजार	NUM;NOM;FEM;PL	N;ACC;MASC;PL;3
χιλιάδες	हजारो	χιλιάδα	हजारो	NUM;NOM;FEM;PL	
χιλιάδες	हज़ारों	χιλιάδα	हज़ार	NUM;NOM;FEM;PL	N;ACC;MASC;PL;3
δίκτυο	संजाल	δίκτυο	संजाल	N;NOM;NEUT;SG	
φως	प्रकाश	φως	प्रकाश	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
φως	हल्का	φως	हल्का	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
πραγματικό	यथार्थ	πραγματικός	यथार्थ	ADJ;NOM;NEUT;SG	ADV
πραγματικό	रीयल	πραγματικός	रीयल	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
πραγματικό	रियल	πραγματικός	रियल	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
παραπομπές	संदर्भ	παραπομπή	संदर्भ	N;NOM;FEM;PL	N;NOM;MASC;SG;3
παραπομπές	सन्दर्भ	παραπομπή	संदर्भ	N;NOM;FEM;PL	N;NOM;MASC;SG;3
μικρές	छोटा	μικρός	छोटा	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
μικρές	छोटी	μικρός	छोटा	ADJ;NOM;FEM;PL	ADJ;FEM;SG
πίνακας	टेबल	πίνακα	टेबल	N;NOM;MASC;SG	
πίνακας	मेज़	πίνακα	मेज	N;NOM;MASC;SG	
πίνακας	तालिका	πίνακα	तालिका	N;NOM;MASC;SG	
πίνακας	चित्रकारों	πίνακα	चित्रकार	N;NOM;MASC;SG	N;ACC;MASC;PL;3
απάντηση	उत्तर	απάντηση	उत्तर	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
απάντηση	जवाब	απάντηση	जवाब	N;ACC;FEM;SG	N;NOM;MASC;SG;3
απάντηση	जवाब	απάντηση	जवाब	N;ACC;FEM;SG	N;NOM;MASC;SG;3
παρόμοια	समान	παρόμοιος	समान	ADV	
απόλυτο	निरपेक्ष	απόλυτος	निरपेक्ष	ADJ;NOM;NEUT;SG	ADP
περιλαμβάνονται	शामिल	περιλαμβάνω	शामिल	V;IPFV;IND;PL;3;PRS;FIN;PASS	ADJ
περιλαμβάνονται	शामिल	περιλαμβάνω	शामिल	V;IPFV;IND;PL;3;PRS;FIN;PASS	ADJ
αποκλειστικά	एक्सक्लूसिव	αποκλειστικά	एक्सक्लूसिव	ADV	N;NOM;MASC;SG;3
αποκλειστικά	exclusive	αποκλειστικά	exclusive	ADV	N;NOM;MASC;SG;3
αποκλειστικά	अनन्य	αποκλειστικά	अनन्य	ADV	
αποκλειστικά	विशेष	αποκλειστικά	विशेष	ADV	ADJ;NOM
νότιο	दक्षिणी	νότιος	दक्षिणी	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
νότιο	दक्षिणी	νότιος	दक्षिणी	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
νότιο	साउथ	νότιος	साउथ	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
νότιο	दक्षिण	νότιος	दक्षिण	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
πολιτικές	नीतियों	πολιτική	नीति	N;NOM;FEM;PL	N;ACC;FEM;PL;3
πράγματα	बातों	πράγμα	बात	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
πράγματα	बाते	πράγμα	बाते	N;NOM;NEUT;PL	
πράγματα	सामान	πράγμα	सामान	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
οποιαδήποτε	कोई	οποιοσδήποτε	कोई	PRO;NOM;FEM;SG;3	PRO;NOM;SG;3
άννα	अन्ना	άννος	अन्ना	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
άννα	ऐना	άννος	ऐना	PROPN;NOM;FEM;SG	
άννα	अण्णा	άννος	अण्णा	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
άννα	anna	άννος	anna	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
απλώς	सिर्फ	απλά	सिर्फ	ADV	PART
απλώς	बस	απλά	बस	ADV	N;NOM;FEM;SG;3
έζησε	जिया	φήνω	जिया	V;PFV;IND;SG;3;PST;FIN;ACT	
ιαπωνία	जापान	ιαπωνία	जापान	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
ιαπωνία	जापानी	ιαπωνία	जापानी	PROPN;ACC;FEM;SG	N;NOM;MASC;SG;3
σειρές	श्रेणी	σειρός	श्रेणी	N;NOM;FEM;PL	N;NOM;FEM;SG;3
σειρές	पंक्ति	σειρός	पंक्ति	N;NOM;FEM;PL	N;NOM;FEM;SG;3
φον	वॉन	φον	वॉन	N	PROPN;NOM;MASC;SG;3
φον	वोन	φον	वोन	N	PROPN;NOM;MASC;SG;3
ολυμπιακό	ओलम्पिक	ολυμπιακός	ओलम्पिक		PROPN;NOM;MASC;SG;3
δολάρια	डॉलर	δολάριο	डॉलर	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
κεντρικό	केंद्रीय	κεντρικός	केंद्रीय	ADJ;NOM;NEUT;SG	PROPN;NOM;SG;3
κεντρικό	मध्य	κεντρικός	मध्य	ADJ;NOM;NEUT;SG	
κεντρικό	सेंट्रल	κεντρικός	सेंट्रल	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
ακαδημίας	अकादमी	ακαδημία	अकादमी	N;GEN;FEM;SG	N;NOM;FEM;SG;3
βαθμούς	ग्रेड	βαθμός	ग्रेड	N;ACC;MASC;PL	N;NOM;MASC;SG;3
καταστροφή	आपदा	καταστροφή	आपदा	N;ACC;FEM;SG	N;NOM;FEM;SG;3
καταστροφή	विपत्ति	καταστροφή	विपत्ति	N;ACC;FEM;SG	N;NOM;FEM;SG;3
καταστροφή	प्रलय	καταστροφή	प्रलय	N;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
καταστροφή	विनाश	καταστροφή	विनाश	N;ACC;FEM;SG	N;NOM;MASC;SG;3
ναι	yes	ναι	yes	ADV	PROPN;NOM;MASC;SG;3
ναι	हाँ	ναι	हाँ	ADV	
ναι	हां	ναι	हाँ	ADV	
ναι	यस	ναι	यस	ADV	
ναι	हाँ	ναι	हाँ	ADV	
ναι	yeah	ναι	yeah	ADV	
όργανα	वाद्यों	όργανο	वाद्य	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
όργανα	यंत्र	όργανο	यंत्र	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
όργανα	संस्थाओं	όργανο	संस्था	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
όργανα	संस्थानों	όργανο	संस्थान	N;NOM;NEUT;PL	N;ACC;MASC;PL;3
τιμές	कीमतों	τιμή	कीमत	N;NOM;FEM;PL	N;ACC;FEM;PL;3
τιμές	दामों	τιμή	दाम	N;NOM;FEM;PL	N;ACC;MASC;PL;3
τιμές	मानों	τιμή	मान	N;NOM;FEM;PL	N;ACC;MASC;PL;3
τιμές	मान	τιμή	मान	N;NOM;FEM;PL	V;SG;FIN;ACT
πίεση	दाब	πίεση	दाब	N;ACC;FEM;SG	N;NOM;MASC;SG;3
πίεση	दबाव	πίεση	दबाव	N;ACC;FEM;SG	N;NOM;MASC;SG;3
κόμματα	दल	κόμμα	दल	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
κόμματα	पार्टियों	κόμμα	पार्टी	N;NOM;NEUT;PL	N;ACC;FEM;PL;3
χαρακτήρες	किरदार	χαρακτήρας	किरदार	N;NOM;FEM;PL	N;NOM;MASC;SG;3
χαρακτήρες	अक्षर	χαρακτήρας	अक्षर	N;NOM;FEM;PL	N;NOM;MASC;SG;3
χαρακτήρες	वर्ण	χαρακτήρας	वर्ण	N;NOM;FEM;PL	N;NOM;MASC;SG;3
πολιτικό	राजनीतिज्ञ	πολιτικός	राजनीतिज्ञ	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
πολιτικό	राजनेता	πολιτικός	राजनेता	ADJ;NOM;NEUT;SG	N;NOM;MASC;PL;3
πολιτικό	राजनैतिक	πολιτικός	राजनैतिक	ADJ;NOM;NEUT;SG	N;NOM;MASC;SG;3
χημική	रसायन	χημικός	रसायन	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
χημική	केमिकल	χημικός	केमिकल	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
χημική	रासायनिक	χημικός	रासायनिक	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
βίντεο	video	βίντεο	video	N;NEUT;SG	
ασίας	एशिया	ασία	एशिया	PROPN;GEN;FEM;SG	PROPN;NOM;MASC;SG;3
ίδρυσε	स्थापित	ιδρύω	स्थापित	V;PFV;IND;SG;3;PST;FIN;ACT	ADJ
ίδρυσε	संस्थापित	ιδρύω	संस्थापित	V;PFV;IND;SG;3;PST;FIN;ACT	PROPN;NOM;SG;3
παλιά	ओल्ड	παλιός	ओल्ड	ADV	
παλιά	पुराने	παλιός	पुराना	ADV	ADJ;MASC;PL
παλιά	पुरानी	παλιός	पुराना	ADV	ADJ;FEM;SG
παλιά	पुराना	παλιός	पुराना	ADV	ADJ;MASC;SG
παλιά	वृद्ध	παλιός	वृद्ध	ADV	PROPN;NOM;MASC;SG;3
παλιά	बूढ़ा	παλιός	बूढ़ा	ADV	PROPN;NOM;MASC;SG;3
βρετανία	ब्रिटेन	βρετανία	ब्रिटेन	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
στρατηγός	साधारण	στρατηγός	साधारण	N;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
εξαιρετικά	बेहद	εξαιρετικά	बेहद	ADV	CONJ
εξαιρετικά	अत्यंत	εξαιρετικά	अत्यन्त	ADV	CONJ
εξαιρετικά	अत्यधिक	εξαιρετικά	अत्यधिक	ADV	
εξαιρετικά	उत्कृष्ट	εξαιρετικά	उत्कृष्ट	ADV	PROPN;NOM;SG;3
εξαιρετικά	बेहतरीन	εξαιρετικά	बेहतरीन	ADV	ADJ
οικονομικά	अर्थशास्त्र	οικονομικά	अर्थशास्त्र	ADV	N;NOM;MASC;SG;3
ίδρυμα	फाउंडेशन	ίδρυμα	फाउंडेशन	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
κάποιον	किसी	κάποιος	कोई	PRO;ACC;MASC;SG;3	PRO;ACC;SG;3
υπόλοιπα	आराम	υπόλοιπος	आराम	ADV	PROPN;NOM;MASC;SG;3
υπόλοιπα	रेस्ट	υπόλοιπος	रेस्ट	ADV	N;NOM;FEM;SG;3
υπόλοιπα	बाकी	υπόλοιπος	बाकी	ADV	ADJ
σταθμό	स्टेशन	σταθμός	स्टेशन	N;ACC;MASC;SG	N;NOM;MASC;SG;3
σχετική	रिश्तेदार	σχετικός	रिश्तेदार	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
σχετική	सापेक्ष	σχετικός	सापेक्ष	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
αρχιτεκτονική	आर्किटेक्चर	αρχιτεκτονικός	आर्किटेक्चर	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
αρχιτεκτονική	वास्तु	αρχιτεκτονικός	वास्तु	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
αρχιτεκτονική	वास्तुकला	αρχιτεκτονικός	वास्तुकला	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
προπονητές	कोच	προπονητής	कोच	N;NOM;MASC;PL	N;NOM;MASC;SG;3
δραστηριότητα	क्रिया	δραστηριότητα	क्रिया	N;ACC;FEM;SG	N;NOM;FEM;SG;3
δραστηριότητα	गतिविधि	δραστηριότητα	गतिविधि	N;ACC;FEM;SG	N;NOM;FEM;SG;3
δραστηριότητα	सक्रियता	δραστηριότητα	सक्रियता	N;ACC;FEM;SG	N;NOM;FEM;SG;3
δραστηριότητα	क्रियाएँ	δραστηριότητα	क्रिया	N;ACC;FEM;SG	N;NOM;FEM;PL;3
δραστηριότητα	कार्यकलाप	δραστηριότητα	कार्यकलाप	N;ACC;FEM;SG	N;NOM;MASC;SG;3
τεχνική	तकनीकी	τεχνικός	तकनीकी	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
τεχνική	तकनीक	τεχνικός	तकनीक	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
διαμέρισμα	सपाट	διαμέρισμα	सपाट	N;NOM;NEUT;SG	
γράμματα	letters	γράμμα	letters	N;NOM;NEUT;PL	
γράμματα	अक्षर	γράμμα	अक्षर	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
μακεδονία	मकदूनिया	μακεδονία	मकदूनिया	PROPN;ACC;FEM;SG	PROPN;NOM;MASC;SG;3
κάποιοι	कुछ	κάποιος	कुछ	PRO;NOM;MASC;PL;3	DET
εθνικός	राष्टीय	εθνικός	राष्टीय	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
εθνικός	राष्ट्रीय	εθνικός	राष्ट्रीय	ADJ;NOM;MASC;SG	PROPN;NOM;MASC;SG;3
εθνικός	नेशनल	εθνικός	नेशनल	ADJ;NOM;MASC;SG	PROPN;NOM
υόρκη	यॉर्क	υόρκη	यॉर्क	PROPN;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
βασιλική	नवाबी	βασιλικός	नवाबी	ADJ;NOM;FEM;SG	
βασιλική	रॉयल	βασιλικός	रॉयल	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
βασιλική	शाही	βασιλικός	शाही	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
βασιλική	royal	βασιλικός	royal	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
μνημείο	लैंडमार्क	μνημείο	लैंडमार्क	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
μνημείο	मकबरा	μνημείο	मकबरा	N;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
τζέιμς	जेम्स	τζέιμα	जेम्स		PROPN;NOM;MASC;SG;3
μονάδες	इकाइयों	μονάδα	इकाई	N;NOM;FEM;PL	N;ACC;FEM;PL;3
μονάδες	यूनिट	μονάδα	यूनिट	N;NOM;FEM;PL	N;NOM;FEM;SG;3
μονάδες	इकाई	μονάδα	इकाई	N;NOM;FEM;PL	N;NOM;FEM;SG;3
γονείς	अभिभावक	γονέας	अभिभावक	N;NOM;MASC;PL	N;NOM;MASC;SG;3
δημοτική	नगरपालिका	δημοτικός	नगरपालिका	ADJ;NOM;FEM;SG	N;NOM;FEM;SG;3
μάχες	लड़ता	μάχη	लड़	N;NOM;FEM;PL	V;IPFV;MASC;SG;V.PTCP;ACT
μάχες	झगड़े	μάχη	झगडा	N;NOM;FEM;PL	N;NOM;MASC;SG;3
μάχες	लड़	μάχη	लड़	N;NOM;FEM;PL	V;ACT
μάχες	लड़ाइयों	μάχη	लड़ाई	N;NOM;FEM;PL	N;ACC;FEM;PL;3
πολιτικά	राजनीति	πολιτικός	राजनीति	ADV	N;NOM;FEM;SG;3
πολιτικά	पॉलिटिक्स	πολιτικός	पॉलिटिक्स	ADV	N;NOM;MASC;SG;3
πολιτικά	राजनीती	πολιτικός	राजनीती	ADV	PROPN;NOM;FEM;SG;3
πολιτικά	नीतियां	πολιτικός	नीति	ADV	N;NOM;FEM;PL;3
καθεστώς	स्टेटस	καθεστώς	स्टेटस	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
καθεστώς	स्थिति	καθεστώς	स्थिति	N;ACC;NEUT;SG	N;NOM;FEM;SG;3
καθεστώς	प्रस्थिति	καθεστώς	प्रस्थिति	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
καθεστώς	औकात	καθεστώς	औकात	N;ACC;NEUT;SG	
καθεστώς	स्कीम	καθεστώς	स्कीम	N;ACC;NEUT;SG	N;NOM;FEM;SG;3
καθεστώς	योजना	καθεστώς	योजना	N;ACC;NEUT;SG	N;NOM;FEM;SG;3
καθεστώς	शासन	καθεστώς	शासन	N;ACC;NEUT;SG	N;NOM;MASC;SG;3
ρωμαϊκή	रोमन	ρωμαϊκός	रोमन	ADJ;NOM;FEM;SG	
λογική	युक्तिसंगत	λογικός	युक्तिसंगत	ADJ;NOM;FEM;SG	ADV
λογική	तार्किक	λογικός	तार्किक	ADJ;NOM;FEM;SG	
λογική	लॉजिकल	λογικός	लॉजिकल	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
λογική	तर्क	λογικός	तर्क	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
λογική	लॉजिक	λογικός	लॉजिक	ADJ;NOM;FEM;SG	N;NOM;MASC;SG;3
βυζαντινή	बीज़ान्टिन	βυζαντινός	बीज़ान्टिन	ADJ;NOM;FEM;SG	PROPN;NOM;MASC;SG;3
αφρικής	अफ़्रीकी	αφρικός	अफ़्रीकी	ADJ;GEN;FEM;SG	N;NOM;MASC;SG;3
κριτήρια	मापदंड	κριτήριο	मापदंड	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
κριτήρια	मापदण्ड	κριτήριο	मापदण्ड	N;NOM;NEUT;PL	N;NOM;MASC;SG;3
ολυμπιακούς	ओलंपिक्स	ολυμπιακός	ओलंपिक्स	ADJ;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
ολυμπιακούς	ओलंपिक	ολυμπιακός	ओलंपिक	ADJ;ACC;MASC;PL	PROPN;NOM;MASC;SG;3
μοναδικό	बेजोड़	μοναδικός	बेजोड़	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
μοναδικό	अद्वितीय	μοναδικός	अद्वितीय	ADJ;NOM;NEUT;SG	PROPN;NOM;MASC;SG;3
δικαιωμάτων	अधिकार	δικαίωμα	अधिकार	N;GEN;NEUT;PL	N;NOM;MASC;SG;3
δικαιωμάτων	अधिकारों	δικαίωμα	अधिकार	N;GEN;NEUT;PL	N;ACC;MASC;PL;3
εσωτερικών	आंतरिक	εσωτερικός	आंतरिक	N;GEN;FEM;PL	ADJ;NOM
όρια	सीमा	όριο	सीमा	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
όρια	सीमा	όριο	सीमा	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
όρια	लिमिट	όριο	लिमिट	N;NOM;NEUT;PL	
όρια	हद	όριο	हद	N;NOM;NEUT;PL	N;NOM;FEM;SG;3
φυσικό	कुदरती	φυσικός	कुदरती	ADJ;NOM;NEUT;SG	
φυσικό	प्राकृतिक	φυσικός	प्राकृतिक	ADJ;NOM;NEUT;SG	PROPN;NOM;SG;3
αίγυπτο	इजिप्ट	αίγυπτος	इजिप्ट	PROPN;ACC;FEM;SG	
αίγυπτο	मिस्त्र	αίγυπτος	मिस्त्र	PROPN;ACC;FEM;SG	
