から	від	から	від	CONJ	ADP;GEN
スウェーデン	швеції	スウェーデン	швеція	PROPN	PROPN;INAN;GEN;FEM;SG
ミス	міс	ミス	мости	N	
ロバート	роберт	ロバート	роберт	PROPN	PROPN;ANIM;NOM;MASC;SG
ロバート	робер	ロバート	робра	PROPN	PROPN;ANIM;NOM;MASC;SG
動画	відео	動画	відео	N	
動画	відео	動画	відео	N	
わら	крапля	わら	крапль		N;INAN;NOM;FEM;SG
広告	ad	広告	ad	N	
広告	рекламні	広告	рекламний	N	ADJ;NOM;PL
佐賀	saga	佐賀	saga	PROPN	
実行	виконання	実行	виконання	V	N;INAN;NOM;NEUT;SG
始める	старт	始める	старт	V	N;INAN;NOM;MASC;SG
始める	початок	始める	початок	V	N;INAN;NOM;MASC;SG
始める	початок	始める	початок	V	N;INAN;NOM;MASC;SG
日記	journal	日記	journal	N	
有効	ввімкнено	有効	ввімкнути	ADJ	V;PFV;IND;0;FIN
有効	увімкнено	有効	увімкнути	ADJ	V;PFV;IND;0;FIN
フラン	франк	フラン	франк	PROPN	PROPN;ANIM;NOM;MASC;SG
フラン	френ	フラン	френ	PROPN	N;ANIM;NOM;FEM;SG
フラン	фран	フラン	фран	PROPN	
鎌倉	камакура	鎌倉	камакура	PROPN	N;INAN;NOM;MASC;SG
パワー	power	パワー	power	N	
サポート	підтримка	サポート	підтримка	V	N;INAN;NOM;FEM;SG
戦艦	морський	戦艦	морський	N	ADJ;NOM;MASC;SG
音声	audio	音声	audio	N	
うた	uta	うた	uta	N	
トロ	торо	トロ	торо	PROPN	
学習	навчання	学習	навчання	V	N;INAN;NOM;NEUT;SG
四国	сікоку	四国	сікокий	PROPN	N;INAN;NOM;MASC;SG
人生	лайф	人生	Лайф	N	
証券	злочинна	証券	злочинний	N	ADJ;NOM;FEM;SG
大和	ямато	大和	ямато	PROPN	
コピー	копіювання	コピー	копіювання	V	N;INAN;NOM;NEUT;SG
コピー	копія	コピー	копія	V	N;INAN;NOM;FEM;SG
コピー	копії	コピー	копія	V	N;INAN;NOM;FEM;PL
コピー	копій	コピー	копія	V	N;INAN;GEN;FEM;PL
コピー	копіювання	コピー	копіювання	V	N;INAN;NOM;NEUT;SG
空軍	airforce	空軍	airforce	N	
希望	сподівань	希望	сподівання	V	N;INAN;GEN;NEUT;PL
希望	надії	希望	надія	V	N;INAN;NOM;FEM;PL
希望	надії	希望	надія	V	N;INAN;NOM;FEM;PL
希望	надія	希望	надія	V	N;INAN;NOM;FEM;SG
マリア	марія	マリア	марія	PROPN	PROPN;ANIM;NOM;FEM;SG
航空機	авіаційна	航空機	авіаційний	N	ADJ;NOM;FEM;SG
ジェイ	джей	ジェイ	джей	PROPN	PROPN;ANIM;NOM;MASC;SG
マシン	machine	マシン	machine	N	
ソフトウェア	програмний	ソフトウェア	програмний	N	ADJ;NOM;MASC;SG
燃料	пальне	燃料	пальний	N	ADJ;NOM;NEUT;SG
再生	програвання	再生	програвання	V	N;INAN;NOM;NEUT;SG
再生	відтворення	再生	відтворення	V	N;INAN;NOM;NEUT;SG
再生	реабілітація	再生	реабілітація	V	N;INAN;NOM;FEM;SG
撤退	зняття	撤退	зняття	V	N;INAN;NOM;NEUT;SG
司令官	commander	司令官	commander	N	
天使	angels	天使	angels	N	
無料	вільна	無料	вільний	N	ADJ;NOM;FEM;SG
無料	безкоштовне	無料	безкоштовний	N	ADJ;NOM;NEUT;SG
無料	вільний	無料	вільний	N	ADJ;NOM;MASC;SG
無料	безкоштовно	無料	безкоштовно	N	ADV
無料	вільно	無料	вільно	N	ADV
ビジネス	ділова	ビジネス	ділово	N	ADJ;NOM;FEM;SG
ビジネス	business	ビジネス	business	N	
ビジネス	діловий	ビジネス	діловий	N	ADJ;NOM;MASC;SG
ジャンプ	стрибати	ジャンプ	стрибати	N	V;IPFV;NFIN
ジャンプ	перейти	ジャンプ	перейти	N	V;PFV;NFIN
ソウル	сеулі	ソウル	сеуль	PROPN	PROPN;INAN;DAT;MASC;SG
ソウル	душу	ソウル	душа	PROPN	N;INAN;ACC;FEM;SG
ソウル	душа	ソウル	душа	PROPN	N;INAN;NOM;FEM;SG
ソウル	soul	ソウル	soul	PROPN	
ソウル	душею	ソウル	душа	PROPN	N;INAN;INS;FEM;SG
期待	кавалер	期待	кавалер	V	N;ANIM;NOM;MASC;SG
期待	очікувань	期待	очікування	V	N;INAN;GEN;NEUT;PL
期待	сподівання	期待	сподівання	V	N;INAN;NOM;NEUT;SG
期待	очікувана	期待	очікуваний	V	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
期待	очікувані	期待	очікуваний	V	ADJ;PFV;NOM;PL;V.PTCP;PASS
困難	складності	困難	складність	ADJ	N;INAN;GEN;FEM;SG
困難	складність	困難	складність	ADJ	N;INAN;NOM;FEM;SG
困難	труднощі	困難	труднощі	ADJ	N;INAN;NOM;MASC;PL
供給	постачання	供給	постачання	V	N;INAN;NOM;NEUT;SG
記憶	спогад	記憶	спогад	V	N;INAN;NOM;MASC;SG
早稲田	васеда	早稲田	васеда	PROPN	PROPN;INAN;NOM;MASC;SG
低い	low	低い	low	ADJ	
まとめ	огляд	まとめる	огляд	V	N;INAN;NOM;MASC;SG
まとめ	резюме	まとめる	резюме	V	N;INAN;NOM;NEUT;SG
まとめ	зведення	まとめる	зведення	V	N;INAN;NOM;NEUT;SG
まとめ	підсумок	まとめる	підсумок	V	N;INAN;NOM;MASC;SG
はい	yes	はく	yes	CONJ	
はい	так	はく	так	CONJ	INTJ
北京	пекін	北京	пекін	PROPN	
北京	пекінська	北京	пекінський	PROPN	ADJ;NOM;FEM;SG
引用	цитати	引用	цитати	V	N;INAN;NOM;MASC;PL
引用	цитата	引用	цитатий	V	N;INAN;NOM;FEM;SG
引用	цитування	引用	цитування	V	N;INAN;NOM;NEUT;SG
引用	цитати	引用	цитати	V	N;INAN;NOM;MASC;PL
引用	цитатами	引用	цитати	V	N;INAN;INS;MASC;PL
引用	цитату	引用	цитата	V	N;INAN;ACC;FEM;SG
引用	лапки	引用	лапка	V	N;INAN;NOM;FEM;PL
引用	цитата	引用	цитатий	V	N;INAN;NOM;FEM;SG
引用	цитування	引用	цитування	V	N;INAN;NOM;NEUT;SG
サイド	збоку	サイド	збоку	N	ADV
サイド	бічна	サイド	бічний	N	ADJ;NOM;FEM;SG
トリ	торі	トリ	торі	PROPN	
原則	засади	原則	засади	V	N;INAN;NOM;MASC;PL
原則	принципи	原則	принцип	V	N;INAN;NOM;MASC;PL
ラブ	кохаю	ラブ	кохати	N	V;IPFV;IND;SG;1;PRS;FIN
信頼	довіра	信頼	довір	V	N;INAN;NOM;FEM;SG
信頼	впевненість	信頼	впевненість	V	N;INAN;NOM;FEM;SG
信頼	довіра	信頼	довір	V	N;INAN;NOM;FEM;SG
信頼	довірливий	信頼	довірливий	V	ADJ;NOM;MASC;SG
信頼	довірою	信頼	довіра	V	N;INAN;INS;FEM;SG
信頼	безмежну	信頼	безмежний	V	ADJ;ACC;FEM;SG
信頼	надійний	信頼	надійний	V	ADJ;NOM;MASC;SG
信頼	надійність	信頼	надійність	V	N;INAN;NOM;FEM;SG
信頼	надійних	信頼	надійний	V	ADJ;GEN;PL
分析	аналізу	分析	аналіз	V	N;INAN;GEN;MASC;SG
分析	аналіз	分析	аналіз	V	N;INAN;NOM;MASC;SG
ベルリン	берлін	ベルリン	берлін	PROPN	PROPN;INAN;NOM;MASC;SG
惑星	planet	惑星	planet	N	
同時	одночасних	同時	одночасний	N	ADJ;GEN;PL
中野	накано	中野	накано	PROPN	PROPN;INAN;NOM;NEUT;SG
ルイス	льюїс	ルイス	льюїс	PROPN	PROPN;ANIM;NOM;FEM;SG
ルイス	льюіс	ルイス	льюіс	PROPN	PROPN;ANIM;NOM;MASC;SG
ルイス	людовик	ルイス	людовик	PROPN	N;ANIM;NOM;MASC;SG
ルイス	луї	ルイス	луя	PROPN	PROPN;ANIM;NOM;MASC;SG
ルイス	луїс	ルイス	луїс	PROPN	PROPN;ANIM;NOM;MASC;SG
目標	цілі	目標	цілий	N	ADJ;NOM;PL
裁判所	судові	裁判所	судовий	N	ADJ;NOM;PL
計算	підрахунок	計算	підрахунок	V	N;INAN;NOM;MASC;SG
計算	обчислення	計算	обчислення	V	N;INAN;NOM;NEUT;SG
計算	підрахунку	計算	підрахунок	V	N;INAN;GEN;MASC;SG
計算	розрахунки	計算	розрахунок	V	N;INAN;NOM;MASC;PL
計算	обчислення	計算	обчислення	V	N;INAN;NOM;NEUT;SG
計算	обчислення	計算	обчислення	V	N;INAN;NOM;NEUT;SG
バイ	поки	バイ	поки	N	ADV
バイ	бувай	バイ	бувати	N	V;IPFV;IMP;SG;2;FIN
テスト	перевірити	テスト	перевірити	N	V;PFV;NFIN
テスト	test	テスト	test	N	
意識	свідомість	意識	свідомість	V	N;INAN;NOM;FEM;SG
呼称	найменування	呼称	найменування	V	N;INAN;NOM;NEUT;SG
許可	дозволу	許可	дозвіл	V	N;INAN;GEN;MASC;SG
許可	дозвіл	許可	дозвіл	V	N;INAN;NOM;MASC;SG
許可	дозволи	許可	дозвіти	V	N;INAN;NOM;MASC;PL
回復	відновлення	回復	відновлення	V	N;INAN;NOM;NEUT;SG
回復	відновленню	回復	відновлення	V	N;INAN;DAT;NEUT;SG
回復	відновлення	回復	відновлення	V	N;INAN;NOM;NEUT;SG
回復	одужання	回復	одужання	V	N;INAN;NOM;NEUT;SG
拡張	розширені	拡張	розширений	V	ADJ;PFV;NOM;PL;V.PTCP;PASS
拡張	розширена	拡張	розширений	V	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
拡張	розширений	拡張	розширений	V	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
拡張	суфікси	拡張	суфікс	V	N;INAN;NOM;MASC;PL
拡張	додатки	拡張	додаток	V	N;INAN;NOM;MASC;PL
拡張	розширення	拡張	розширення	V	N;INAN;NOM;NEUT;SG
大きい	біг	大きい	бігти	ADJ	V;IPFV;MASC;IND;SG;PST;FIN
ハート	гарт	ハート	гарт	N	
伊勢	ісе	伊勢	ісе	PROPN	
固定	фіксація	固定	фіксація	V	N;INAN;NOM;FEM;SG
固定	фіксована	固定	фіксований	V	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
固定	фіксований	固定	фіксований	V	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
マイケル	михайло	マイケル	михайло	PROPN	PROPN;ANIM;NOM;MASC;SG
マイケル	майкл	マイケル	майкл	PROPN	PROPN;ANIM;NOM;MASC;SG
マイケル	michael	マイケル	michael	PROPN	
マイケル	михаїл	マイケル	михаїл	PROPN	N;ANIM;NOM;MASC;SG
占領	зайнятого	占領	зайнятий	V	ADJ;PFV;GEN;MASC;SG;V.PTCP;PASS
占領	зайняте	占領	зайнятий	V	ADJ;PFV;NOM;NEUT;SG;V.PTCP;PASS
占領	окупаційні	占領	окупаційний	V	ADJ;NOM;PL
占領	окупація	占領	окупація	V	N;INAN;NOM;FEM;SG
占領	окупації	占領	окупація	V	N;INAN;NOM;FEM;PL
背景	сп	背景	сп	N	
準備	приготування	準備	приготування	V	N;INAN;NOM;NEUT;SG
準備	підготовка	準備	підготовка	V	N;INAN;NOM;FEM;SG
アート	арт	アート	арт	N	
アート	художня	アート	художній	N	ADJ;NOM;FEM;SG
スイス	швейцарія	スイス	швейцарія	PROPN	N;INAN;NOM;FEM;SG
スイス	швейцарії	スイス	швейцарія	PROPN	PROPN;INAN;GEN;FEM;SG
スイス	швейцарський	スイス	швейцарський	PROPN	ADJ;NOM;MASC;SG
スイス	швейцарська	スイス	швейцарський	PROPN	ADJ;NOM;FEM;SG
除去	ліквідацію	除去	ліквідація	V	N;INAN;ACC;FEM;SG
除去	усунення	除去	усунення	V	N;INAN;NOM;NEUT;SG
除去	вилучення	除去	вилучення	V	N;INAN;NOM;NEUT;SG
除去	видалення	除去	видалення	V	N;INAN;NOM;NEUT;SG
知事	губернатор	知事	губернатор	N	ADJ;NOM;MASC;SG
崩壊	згортання	崩壊	згортання	V	N;INAN;NOM;NEUT;SG
崩壊	розпаду	崩壊	розпада	V	N;INAN;GEN;MASC;SG
最新	найновіші	最新	найновіший	N	ADJ;NOM;RL;PL
最新	останні	最新	останній	N	ADJ;NOM;PL
最新	остання	最新	останній	N	ADJ;NOM;FEM;SG
キリスト	християнський	キリスト	християнський	N	ADJ;NOM;MASC;SG
キリスト	християнська	キリスト	християнський	N	ADJ;NOM;FEM;SG
交渉	узгодження	交渉	узгодження	V	N;INAN;NOM;NEUT;SG
交渉	перемовини	交渉	перемовина	V	N;INAN;NOM;FEM;PL
交渉	переговори	交渉	переговори	V	N;INAN;NOM
交渉	переговори	交渉	переговори	V	N;INAN;NOM
普及	популяризація	普及	популяризація	V	N;INAN;NOM;FEM;SG
武田	такеда	武田	такеда	PROPN	PROPN;ANIM;NOM;MASC;SG
マスター	master	マスター	master	N	
アナ	анно	アナ	анно	PROPN	
アナ	ана	アナ	ана	PROPN	PROPN;ANIM;NOM;FEM;SG
アナ	ена	アナ	ена	PROPN	
アナ	анна	アナ	анна	PROPN	PROPN;ANIM;NOM;FEM;SG
最近	недавні	最近	недавний	N	ADJ;NOM;PL
最近	нещодавні	最近	нещодавні	N	ADJ;NOM;PL
最近	недавно	最近	недавно	N	ADV
最近	нещодавно	最近	нещодавно	N	ADV
無期	невизначений	無期	невизначений	N	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
整理	чистки	整理	чистка	V	N;INAN;NOM;FEM;PL
整理	очищення	整理	очищення	V	N;INAN;NOM;NEUT;SG
アウト	назовні	アウト	назовні	N	ADV
アウト	вийшов	アウト	вийти	N	V;PFV;MASC;IND;SG;PST;FIN
アウト	out	アウト	out	N	
協定	угода	協定	угода	V	N;INAN;NOM;FEM;SG
協定	угоду	協定	угода	V	N;INAN;ACC;FEM;SG
協定	угод	協定	угода	V	N;INAN;GEN;FEM;PL
推定	презумпція	推定	презумпція	V	N;INAN;NOM;FEM;SG
推定	орієнтовний	推定	орієнтовний	V	ADJ;NOM;MASC;SG
推定	приблизна	推定	приблизний	V	ADJ;NOM;FEM;SG
協議	консультацію	協議	консультація	V	N;INAN;ACC;FEM;SG
協議	консультація	協議	консультація	V	N;INAN;NOM;FEM;SG
協議	консультації	協議	консультація	V	N;INAN;NOM;FEM;PL
ダウン	вниз	ダウン	вниз	PROPN	
ダウン	down	ダウン	down	PROPN	
ダウン	униз	ダウン	униз	PROPN	
ダウン	даун	ダウン	даун	PROPN	PROPN;ANIM;NOM;MASC;SG
前田	маеда	前田	маеда	PROPN	N;INAN;NOM;MASC;SG
処分	розпорядженні	処分	розпорядження	V	N;INAN;DAT;NEUT;SG
ケイ	кей	ケイ	Кей	PROPN	
ケイ	kei	ケイ	kei	PROPN	
中間	intermediate	中間	intermediate	N	
検証	перевірка	検証	перевірка	V	N;INAN;NOM;FEM;SG
検証	перевірки	検証	перевірка	V	N;INAN;NOM;FEM;PL
検証	перевірка	検証	перевірка	V	N;INAN;NOM;FEM;SG
認識	визнання	認識	визнання	V	N;INAN;NOM;NEUT;SG
逮捕	арешт	逮捕	арешт	V	N;INAN;NOM;MASC;SG
オフ	off	オフ	off		
オフ	вимкнено	オフ	вимкнути		V;PFV;IND;0;FIN
キャラ	кара	キャラ	кара	PROPN	N;INAN;NOM;FEM;SG
キャラ	cara	キャラ	cara	PROPN	
金属	металевий	金属	металевий	N	ADJ;NOM;MASC;SG
トーク	поговоримо	トーク	поговорити	N	V;PFV;IND;PL;1;FUT;FIN
トーク	talk	トーク	talk	N	
トーク	говорити	トーク	говорити	N	V;IPFV;NFIN
バラ	рози	バラ	роза	N	
バラ	роуз	バラ	роуз	N	PROPN;ANIM;NOM;FEM;SG
バラ	роза	バラ	роза	N	PROPN;ANIM;NOM;FEM;SG
バラ	розі	バラ	роз	N	
拒否	відмову	拒否	відмова	V	N;INAN;ACC;FEM;SG
ボス	boss	ボス	boss	N	
ボス	босс	ボス	босс	N	
ゴールデン	золотий	ゴールデン	золотий	N	ADJ;NOM;MASC;SG
ゴールデン	голден	ゴールデン	голден	N	
ゴールデン	золоті	ゴールデン	золотий	N	ADJ;NOM;PL
ゴールデン	золоте	ゴールデン	золотий	N	ADJ;NOM;NEUT;SG
クロス	крос	クロス	крос	N	
興行	конферансьє	興行	конферансьє	V	N;ANIM;NOM;MASC;SG
興行	ефективність	興行	ефективність	V	N;INAN;NOM;FEM;SG
興行	виступ	興行	виступ	V	N;INAN;NOM;MASC;SG
解除	скасування	解除	скасування	V	N;INAN;NOM;NEUT;SG
負傷	поранених	負傷	поранений	V	ADJ;ANIM;PFV;ACC;PL;V.PTCP;PASS
負傷	поранені	負傷	поранений	V	ADJ;PFV;NOM;PL;V.PTCP;PASS
負傷	поранений	負傷	поранений	V	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
ルス	луз	ルス	луз	PROPN	
ソビエト	радянський	ソビエト	радянський	PROPN	ADJ;NOM;MASC;SG
ソビエト	радянська	ソビエト	радянський	PROPN	ADJ;NOM;FEM;SG
ソビエト	радянські	ソビエト	радянський	PROPN	ADJ;NOM;PL
中島	nakajima	中島	nakajima	PROPN	
フランク	франк	フランク	франк	PROPN	PROPN;ANIM;NOM;MASC;SG
フランク	френк	フランク	френк	PROPN	PROPN;ANIM;NOM;MASC;SG
フランク	френку	フランク	френк	PROPN	N;ANIM;DAT;MASC;SG
ハンガリー	угорщини	ハンガリー	угорщина	PROPN	PROPN;INAN;NOM;FEM;SG
ハンガリー	угорщині	ハンガリー	угорщина	PROPN	PROPN;INAN;DAT;FEM;SG
ハンガリー	угорщина	ハンガリー	угорщина	PROPN	PROPN;INAN;NOM;FEM;SG
職員	служить	職員	служити	N	V;IPFV;IND;SG;3;PRS;FIN
職員	приймав	職員	приймати	N	V;IPFV;MASC;IND;SG;PST;FIN
職員	офіційні	職員	офіційний	N	ADJ;NOM;PL
職員	офіційна	職員	офіційний	N	ADJ;NOM;FEM;SG
職員	офіційний	職員	офіційний	N	ADJ;NOM;MASC;SG
職員	офіційне	職員	офіційний	N	ADJ;NOM;NEUT;SG
ポート	пор	ポート	пор.	N	
ホワイト	білий	ホワイト	білий	N	ADJ;NOM;MASC;SG
ホワイト	біла	ホワイト	білий	N	ADJ;NOM;FEM;SG
ホワイト	біле	ホワイト	білий	N	ADJ;NOM;NEUT;SG
ホワイト	білі	ホワイト	білий	N	ADJ;NOM;PL
ホワイト	вайт	ホワイト	вайт	N	PROPN;ANIM;NOM;MASC;SG
中華人民共和国	кнр	中華人民共和国	кнр	PROPN	
ミックス	змішана	ミックス	змішаний	N	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
ミックス	змішаний	ミックス	змішаний	N	ADJ;PFV;NOM;MASC;SG;V.PTCP;PASS
ミックス	змішані	ミックス	змішаний	N	ADJ;PFV;NOM;PL;V.PTCP;PASS
質問	запитання	質問	запитання	V	N;INAN;NOM;NEUT;SG
質問	питання	質問	питання	V	N;INAN;NOM;NEUT;SG
質問	запитань	質問	запитання	V	N;INAN;GEN;NEUT;PL
質問	питань	質問	питання	V	N;INAN;GEN;NEUT;PL
質問	вопросы	質問	вопрос	V	
質問	запитання	質問	запитання	V	N;INAN;NOM;NEUT;SG
質問	питання	質問	питання	V	N;INAN;NOM;NEUT;SG
閉鎖	закриття	閉鎖	закриття	V	N;INAN;NOM;NEUT;SG
閉鎖	замикання	閉鎖	замикання	V	N;INAN;NOM;NEUT;SG
言及	згадки	言及	згадки	V	N;INAN;NOM;FEM;PL
ギリシャ	греції	ギリシャ	греція	PROPN	PROPN;INAN;NOM;FEM;SG
ギリシャ	греція	ギリシャ	греція	PROPN	N;INAN;NOM;FEM;SG
金曜日	friday	金曜日	friday	N	
ライフ	лайф	ライフ	Лайф	N	
否定	заперечення	否定	заперечення	V	N;INAN;NOM;NEUT;SG
広場	квадратний	広場	квадратний	N	ADJ;NOM;MASC;SG
ビッグ	великі	ビッグ	великий	N	ADJ;NOM;PL
ビッグ	велике	ビッグ	великий	N	ADJ;NOM;NEUT;SG
ビッグ	велика	ビッグ	великий	N	ADJ;NOM;FEM;SG
ビッグ	великий	ビッグ	великий	N	ADJ;NOM;MASC;SG
ビッグ	біг	ビッグ	бігти	N	V;IPFV;MASC;IND;SG;PST;FIN
ヤング	янг	ヤング	янг	N	
ヤング	молода	ヤング	молодий	N	ADJ;NOM;FEM;SG
ヤング	молоді	ヤング	молодий	N	ADJ;NOM;PL
ヤング	молодою	ヤング	молодий	N	ADJ;INS;FEM;SG
ヤング	молодий	ヤング	молодий	N	ADJ;NOM;MASC;SG
ヤング	молодим	ヤング	молодий	N	ADJ;INS;NEUT;SG
ヘンリー	генрі	ヘンリー	генрі	PROPN	PROPN;ANIM;NOM;MASC;SG
ヘンリー	генріх	ヘンリー	генрій	PROPN	PROPN;ANIM;NOM;MASC;SG
ヘンリー	анрі	ヘンリー	анрі	PROPN	PROPN;ANIM;NOM;MASC;SG
爆発	вибухом	爆発	вибух	V	N;INAN;INS;MASC;SG
爆発	вибух	爆発	вибу	V	N;INAN;NOM;MASC;SG
爆発	вибухи	爆発	вибух	V	N;INAN;NOM;MASC;PL
モスクワ	московська	モスクワ	московський	PROPN	ADJ;NOM;FEM;SG
モスクワ	moscow	モスクワ	moscow	PROPN	
モスクワ	москва	モスクワ	москва	PROPN	PROPN;INAN;NOM;FEM;SG
重	дублювати	重	дублювати	N	V;IPFV;NFIN
重	повторне	重	повторний	N	ADJ;NOM;NEUT;SG
重	перекриваються	重	перекриватися	N	V;IPFV;IND;PL;3;PRS;FIN
さくら	сакура	さくら	сакур	PROPN	N;INAN;NOM;FEM;SG
巨人	гіганти	巨人	гігант	PROPN	N;ANIM;NOM;MASC;PL
巨人	giant	巨人	giant	PROPN	
巨人	велетенська	巨人	велетенський	PROPN	ADJ;NOM;FEM;SG
巨人	гігант	巨人	гігант	PROPN	N;INAN;NOM;MASC;SG
巨人	велетень	巨人	велетення	PROPN	N;ANIM;NOM;MASC;SG
アクセス	доступ	アクセス	доступ	V	N;INAN;NOM;MASC;SG
アクセス	звернення	アクセス	звернення	V	N;INAN;NOM;NEUT;SG
アクセス	доступ	アクセス	доступ	V	N;INAN;NOM;MASC;SG
アクセス	звернень	アクセス	звернення	V	N;INAN;GEN;NEUT;PL
安定	стабільність	安定	стабільність	V	N;INAN;NOM;FEM;SG
安定	стабільна	安定	стабільний	V	ADJ;NOM;FEM;SG
安定	стійкий	安定	стійкий	V	ADJ;NOM;MASC;SG
青山	аояма	青山	аояма	PROPN	N;ANIM;NOM;MASC;SG
調整	корекція	調整	корекція	V	N;INAN;NOM;FEM;SG
調整	коригування	調整	коригування	V	N;INAN;NOM;NEUT;SG
調整	коригування	調整	коригування	V	N;INAN;NOM;NEUT;SG
調整	координації	調整	координація	V	N;INAN;GEN;FEM;SG
調整	координацію	調整	координація	V	N;INAN;ACC;FEM;SG
調整	комплексні	調整	комплексний	V	ADJ;NOM;PL
中世	середньовічна	中世	середньовічний	N	ADJ;NOM;FEM;SG
不足	дефіциту	不足	дефіцит	V	N;INAN;GEN;MASC;SG
不足	нестача	不足	нестач	V	N;INAN;NOM;FEM;SG
不足	відсутність	不足	відсутність	V	N;INAN;NOM;FEM;SG
不足	брак	不足	брак	V	N;INAN;NOM;MASC;SG
不足	нестача	不足	нестач	V	N;INAN;NOM;FEM;SG
解釈	інтерпретації	解釈	інтерпретація	V	N;INAN;NOM;FEM;PL
解釈	інтерпретація	解釈	інтерпретація	V	N;INAN;NOM;FEM;SG
解釈	тлумачення	解釈	тлумачення	V	N;INAN;NOM;NEUT;SG
岡田	окада	岡田	окада	PROPN	PROPN;ANIM;NOM;MASC;SG
買収	поглинання	買収	поглинання	V	N;INAN;NOM;NEUT;SG
買収	збору	買収	збір	V	N;INAN;GEN;MASC;SG
募集	вербування	募集	вербування	V	N;INAN;NOM;NEUT;SG
ビット	біт	ビット	біт	N	
ビット	біт	ビット	біт	N	
日曜日	щонеділі	日曜日	щонеділі	N	ADV
注目	обрані	注目	обран	V	N;ANIM;NOM;MASC;PL
注目	увага	注目	увага	V	N;INAN;NOM;FEM;SG
国王	кінг	国王	кінг	N	PROPN;ANIM;NOM;MASC;SG
分布	розподіл	分布	розподіл	V	N;INAN;NOM;MASC;SG
パス	передати	パス	передати	N	V;PFV;NFIN
パス	проїхати	パス	проїхати	N	V;PFV;NFIN
リーダー	reader	リーダー	reader	N	
ファイナル	фінал	ファイナル	фінал	PROPN	N;INAN;NOM;MASC;SG
ファイナル	остаточний	ファイナル	остаточний	PROPN	ADJ;NOM;MASC;SG
ファイナル	final	ファイナル	final	PROPN	
コモ	como	コモ	como	PROPN	
ポルトガル	португалії	ポルトガル	португалія	PROPN	PROPN;INAN;GEN;FEM;SG
ポルトガル	португалія	ポルトガル	португалія	PROPN	N;INAN;NOM;FEM;SG
ゆき	юкі	ゆき	юкий	PROPN	PROPN;ANIM;NOM;FEM;SG
結合	бонд	結合	бонд	N	PROPN;ANIM;NOM;MASC;SG
ライセンス	випущена	ライセンス	випущений	N	ADJ;PFV;NOM;FEM;SG;V.PTCP;PASS
メール	мейл	メール	мейл	N	INTJ
メール	email	メール	email	N	
生涯	безперервне	生涯	безперервний	N	ADJ;NOM;NEUT;SG
赤い	ред	赤い	ред.	ADJ	
クリア	чисто	クリア	чисто	N	ADV
クリア	очистити	クリア	очистити	N	V;PFV;NFIN
実績	поставлені	実績	поставлений	N	ADJ;PFV;NOM;PL;V.PTCP;PASS
アリ	мурашка	アリ	мурашка		N;ANIM;NOM;FEM;SG
アリ	мурашки	アリ	мурашка		N;ANIM;NOM;FEM;PL
アリ	мурахи	アリ	мура		N;ANIM;NOM;FEM;PL
アリ	арі	アリ	арі		
アリ	мурахи	アリ	мура		N;ANIM;NOM;FEM;PL
アリ	алі	アリ	алі		PROPN;ANIM;NOM;FEM;SG
繰り返し	повторюється	繰り返し	повторюватися	ADV	V;IPFV;IND;SG;3;PRS;FIN
繰り返し	повторювати	繰り返し	повторювати	ADV	V;IPFV;NFIN
繰り返し	повторити	繰り返し	повторити	ADV	V;PFV;NFIN
繰り返し	повторюю	繰り返し	повторювати	ADV	V;IPFV;IND;SG;1;PRS;FIN
繰り返し	повторення	繰り返し	повторення	ADV	N;INAN;NOM;NEUT;SG
繰り返し	повторення	繰り返し	повторення	ADV	N;INAN;NOM;NEUT;SG
繰り返し	повторення	繰り返し	повторення	ADV	N;INAN;NOM;NEUT;SG
新規	створити	新規	створити	ADJ	V;PFV;NFIN
閲覧	навігація	閲覧	навігація	V	N;INAN;NOM;FEM;SG
閲覧	перегляд	閲覧	перегляд	V	N;INAN;NOM;MASC;SG
閲覧	навігація	閲覧	навігація	V	N;INAN;NOM;FEM;SG
閲覧	навігацію	閲覧	навігація	V	N;INAN;ACC;FEM;SG
閲覧	перегляду	閲覧	перегляд	V	N;INAN;GEN;MASC;SG
トヨタ	toyota	トヨタ	toyota	PROPN	
ヤン	ян	ヤン	ян	PROPN	PROPN;ANIM;NOM;MASC;SG
上昇	rise	上昇	rise	V	
悪魔	біс	悪魔	біс	N	
規制	постанова	規制	постановий	V	N;INAN;NOM;FEM;SG
規制	регулювання	規制	регулювання	V	N;INAN;NOM;NEUT;SG
規制	контрольовані	規制	контрольований	V	ADJ;PFV;NOM;PL;V.PTCP;PASS
オペラ	opera	オペラ	opera	PROPN	
オペラ	опера	オペラ	опера	PROPN	N;INAN;NOM;FEM;SG
オペラ	опер	オペラ	опер	PROPN	N;INAN;GEN;FEM;PL
カイ	кай	カイ	Кай	PROPN	
みんな	всім	みんな	всі	ADV	PRO;ANIM;DAT
みんな	усіх	みんな	увесь	ADV	DET;GEN;PL
みんな	усі	みんな	увесь	ADV	DET;NOM;PL
