til	בשביל	til	בשביל	ADV	ADP
oprindelig	מקוריות	oprindelig	מקורי	ADV	ADJ;FEM;PL
oprindelig	מקוריים	oprindelig	מקורי	ADV	ADJ;MASC;PL
oprindelig	מקורי	oprindelig	מקורי	ADV	ADJ;MASC;SG
oprindelig	המקורי	oprindelig	המקור	ADV	PROPN
central	סנטרל	central	סנטרל	N;INDF;MASC+FEM;SG	PROPN
central	מרכזית	central	מרכזי	N;INDF;MASC+FEM;SG	ADV
central	מרכזי	central	מרכזי	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
seneste	אחרונות	sen	אחרון	ADJ;DEF;RL	N;FEM;PL
seneste	לאחרונה	sen	לאחרונה	ADJ;DEF;RL	ADV
sorte	שחורה	sort	שחורה	ADJ;PL	ADJ;FEM;SG
sorte	השחור	sort	השחור	ADJ;PL	
sorte	black	sort	black	ADJ;PL	
sorte	שחור	sort	שחור	ADJ;PL	ADJ;MASC;SG
lee	לי	lee	ל		
saint	קדוש	saint	קדוש		
saint	הקדוש	saint	הקדוש		PROPN
saint	קדושה	saint	קדוש		PROPN
vigtige	חשוב	vigtig	חשוב	ADJ;PL	ADJ;MASC;SG
vigtige	חשובה	vigtig	חשוב	ADJ;PL	ADJ;FEM;SG
angrebet	הותקף	angreb	הותקף	N;DEF;NEUT;SG	V;MASC;SG;3;PST;PASS
angrebet	תקף	angreb	תקף	N;DEF;NEUT;SG	V;MASC;SG;3;PST;ACT
angrebet	הותקפה	angreb	הותקף	N;DEF;NEUT;SG	V;FEM;SG;3;PST;PASS
journalist	כתבת	journalist	כתב	N;INDF;MASC+FEM;SG	PROPN
kvinde	נשי	kvinde	איש	N;INDF;MASC+FEM;SG	
kvinde	נקבה	kvinde	נקבה	N;INDF;MASC+FEM;SG	PROPN
henry	הנרי	henry	הנרי		PROPN
oplysninger	מידע	oplysning	מידע	N;INDF;MASC+FEM;PL	N;MASC;SG
oplysninger	מידע	oplysning	מידע	N;INDF;MASC+FEM;PL	N;MASC;SG
oplysninger	אינפורמציה	oplysning	אינפורמציה	N;INDF;MASC+FEM;PL	N;FEM;SG
oplysninger	מידע	oplysning	מידע	N;INDF;MASC+FEM;PL	N;MASC;SG
oplysninger	דאטה	oplysning	דאטה	N;INDF;MASC+FEM;PL	PROPN
besejrede	מנוצחים	besejre	נוצח	V;IND;PST;FIN;ACT	V;MASC;PL;V.PTCP;PASS
besejrede	מובס	besejre	מובס	V;IND;PST;FIN;ACT	V;MASC;SG;V.PTCP;PASS
besejrede	תבוסה	besejre	תבוסה	V;IND;PST;FIN;ACT	N;FEM;SG
besejrede	הובס	besejre	הובס	V;IND;PST;FIN;ACT	V;MASC;SG;3;PST;PASS
intet	כלום	ingen	כלום	PRO;NEUT;SG	N;MASC;SG
svært	קשה	svær	קשה	ADJ;INDF;NEUT;SG	ADV
svært	קשיח	svær	קשיח	ADJ;INDF;NEUT;SG	
svært	קשה	svær	קשה	ADJ;INDF;NEUT;SG	ADV
svært	קשים	svær	קשה	ADJ;INDF;NEUT;SG	ADJ;MASC;PL
foreningen	האגודה	forening	האגודה	N;DEF;MASC+FEM;SG	PROPN
joseph	יוסף	joseph	יוסף	N;INDF;MASC+FEM;SG	PROPN
landsbyen	הכפר	landsby	הכפר	N;DEF;MASC+FEM;SG	
line	קו	lin	קו		N;MASC;SG
line	שורה	lin	שורה		N;FEM;SG
græske	יוונים	græsk	יוון	ADJ;PL	N;MASC;PL
græske	יווני	græsk	יווני	ADJ;PL	PROPN
græske	יוונית	græsk	יוונית	ADJ;PL	PROPN
jord	הארץ	jord	הארץ	N;INDF;MASC+FEM;SG	
dig	את	du	את	PRO;ACC;MASC+FEM;SG;2	PART;ACC
dig	אותך	du	אתך	PRO;ACC;MASC+FEM;SG;2	
enig	מסכימים	enig	הסכים	ADJ;INDF;MASC+FEM;SG	V;MASC;PL;V.PTCP;ACT
enig	מסכימה	enig	הסכים	ADJ;INDF;MASC+FEM;SG	V;FEM;SG;V.PTCP;ACT
enig	מסכים	enig	הסכים	ADJ;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP;ACT
berømte	מפורסם	berømt	מפורסם	ADJ;PL	V;MASC;SG;V.PTCP;PASS
berømte	המפורסם	berømt	המפורסם	ADJ;PL	PROPN
berømte	מפורסמת	berømt	מפורסם	ADJ;PL	ADJ;FEM;SG
brugere	משתמשים	bruger	השתמש	N;INDF;MASC+FEM;PL	V;MASC;PL;V.PTCP
bad	מקלחת	bede	מקלחת	V;IND;PST;FIN;ACT	N;FEM;SG
bad	רע	bede	רע	V;IND;PST;FIN;ACT	N;MASC;SG
bad	רעה	bede	רע	V;IND;PST;FIN;ACT	
bad	רעים	bede	רעים	V;IND;PST;FIN;ACT	ADJ;MASC;PL
bad	רעות	bede	רעות	V;IND;PST;FIN;ACT	PROPN
bad	רחצה	bede	רחצה	V;IND;PST;FIN;ACT	N;FEM;SG
bad	אמבטיה	bede	אמבטיה	V;IND;PST;FIN;ACT	N;FEM;SG
bad	אמבט	bede	אמבט	V;IND;PST;FIN;ACT	
bad	מקלחת	bede	מקלחת	V;IND;PST;FIN;ACT	N;FEM;SG
kaptajn	קפטן	kaptajn	קפטן	N;INDF;MASC+FEM;SG	PROPN
kaptajn	סרן	kaptajn	סרן	N;INDF;MASC+FEM;SG	PROPN
star	כוכב	star	כוכב		N;MASC;SG
star	כוכבת	star	כוכב		N;FEM;SG
star	סטאר	star	סטאר		PROPN
latin	לטינית	latin	לטיני		ADV
latin	לטיני	latin	לטיני		PROPN
latin	בלטינית	latin	בלטיני		ADV
latin	הלטינית	latin	הלטיני		ADV
levede	חיו	leve	חי	V;IND;PST;FIN;ACT	PROPN
ude	בחוץ	ude	בחוץ	ADV	
grønland	גרינלנד	grønland	גרינלנד	N;INDF;NEUT;SG	PROPN
efteråret	סתיו	efterår	סתיו	N;DEF;NEUT;SG	
klart	ברור	klart	ברור	ADV	ADJ;MASC;SG
klart	נקה	klart	נקה	ADV	
klart	נקי	klart	נקי	ADV	ADJ;MASC;SG
klart	בברור	klart	בברור	ADV	
holder	הולדר	holde	הולדר	V;IND;PRS;FIN;ACT	PROPN
münchen	מינכן	münche	מינכן	PROPN	PROPN
bayern	בוואריה	bay	בוואריה	N;DEF;MASC+FEM;SG	PROPN
bayern	באיירן	bay	אייר	N;DEF;MASC+FEM;SG	PROPN
frank	פרנק	frank	פרנק		PROPN
betegnelse	השם	betegnelse	השם	N;INDF;MASC+FEM;SG	
betegnelse	שם	betegnelse	שם	N;INDF;MASC+FEM;SG	ADV
show	הראה	show	הראה	N;INDF;NEUT;SG	V;MASC;SG;3;PST;ACT
show	הצג	show	הצג	N;INDF;NEUT;SG	
north	צפונה	north	צפון	N;INDF;MASC+FEM;SG	ADV
north	הצפון	north	הצפון	N;INDF;MASC+FEM;SG	PROPN
american	אמריקאים	american	אמריקני	N;INDF;MASC+FEM;SG	N;MASC;PL
american	אמריקני	american	אמריקני	N;INDF;MASC+FEM;SG	PROPN
american	אמריקאית	american	אמריקני	N;INDF;MASC+FEM;SG	ADV
american	אמריקאי	american	אמריקני	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
materiale	חומרי	materiale	חומרי	N;INDF;NEUT;SG	ADJ;MASC;PL
materiale	חומרים	materiale	חומר	N;INDF;NEUT;SG	N;MASC;PL
biskop	בישופ	biskop	בישופ	N;INDF;MASC+FEM;SG	PROPN
biskop	בישוף	biskop	בישוף	N;INDF;MASC+FEM;SG	PROPN
maler	צייר	male	צייר	N;INDF;MASC+FEM;SG	PROPN
air	אוויר	air	אוויר		N;MASC;SG
air	אייר	air	אייר		PROPN
air	אויר	air	אויר		PROPN
timer	טיימר	time	טיימר	N;INDF;MASC+FEM;PL	N;MASC;SG
personlige	אישית	personlig	אישית	ADJ;PL	ADV
personlige	אישי	personlig	אישי	ADJ;PL	ADJ;MASC;SG
sidder	יושב	sidde	יושב	V;IND;PRS;FIN;ACT	N;MASC;SG
sidder	יושב	sidde	יושב	V;IND;PRS;FIN;ACT	N;MASC;SG
stå	עמוד	stå	עמוד	V;NFIN;ACT	
stå	סטנד	stå	סטנד	V;NFIN;ACT	PROPN
andreas	אנדריאס	andrens	אנדריאס	PROPN	PROPN
andreas	אנדראס	andrens	אנדראס	PROPN	PROPN
umiddelbart	מייד	umiddelbart	מייד	ADV	
umiddelbart	מיידי	umiddelbart	מיידי	ADV	ADJ;MASC;SG
etape	הבמה	etape	הבמה	N;INDF;MASC+FEM;SG	
olympiske	אולימפי	olympisk	אולימפי	ADJ;PL	PROPN
olympiske	האולימפי	olympisk	האולימפי	ADJ;PL	PROPN
forening	האגודה	forening	האגודה	N;INDF;MASC+FEM;SG	PROPN
html	html	html	html	N;INDF;MASC+FEM;SG	
ejer	הבעלים	eje	הבעל	V;IND;PRS;FIN;ACT	N;MASC;PL
ejer	בעלים	eje	בעלים	V;IND;PRS;FIN;ACT	N;MASC;PL
moskva	מוסקבה	moskva	מוסקבה	PROPN	PROPN
oprindelse	המקור	oprindelse	המקור	N;INDF;MASC+FEM;SG	
oprindelse	המקורות	oprindelse	המקורה	N;INDF;MASC+FEM;SG	N;FEM;PL
oprindelse	מקורות	oprindelse	מקור	N;INDF;MASC+FEM;SG	N;MASC;PL
king	המלך	king	המלך		
king	קינג	king	קינג		PROPN
king	מלך	king	מלך		N;MASC;SG
press	עיתונות	press	עיתונות		N;FEM;SG
ung	צעירה	ung	צעיר	ADJ;INDF;MASC+FEM;SG	N;FEM;SG
ung	צעירות	ung	צעיר	ADJ;INDF;MASC+FEM;SG	N;FEM;PL
ung	צעירים	ung	צעיר	ADJ;INDF;MASC+FEM;SG	N;MASC;PL
ung	יאנג	ung	אנג	ADJ;INDF;MASC+FEM;SG	PROPN
ung	צעיר	ung	צעיר	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
friedrich	פרידריך	friedrich	פרידריך	N;INDF;MASC+FEM;SG	PROPN
genre	סוגה	genre	סוג	N;INDF;MASC+FEM;SG	ADV
mit	מוקש	min	מוקש	DET;NEUT;SG;1	V;MASC;SG;V.PTCP;PASS
mit	שלי	min	שלי	DET;NEUT;SG;1	
france	צרפת	france	צרפת		PROPN
flyttet	עבר	flytte	עבר	V;INDF;SG;PST;V.PTCP	N;MASC;SG
vært	מארחים	være	מארח	N;INDF;MASC+FEM;SG	N;MASC;PL
vært	המארח	være	המארח	N;INDF;MASC+FEM;SG	PROPN
vært	מארח	være	מרח	N;INDF;MASC+FEM;SG	PROPN
vært	מנחה	være	מנחה	N;INDF;MASC+FEM;SG	
smith	סמית	smith	סמית		PROPN
forbundet	מקושר	forbund	מקושר	N;DEF;NEUT;SG	PROPN
forbundet	מחוברים	forbund	מחובר	N;DEF;NEUT;SG	V;MASC;PL;V.PTCP;PASS
forbundet	מחובר	forbund	חובר	N;DEF;NEUT;SG	V;MASC;SG;V.PTCP;PASS
forbundet	מחוברת	forbund	מחובר	N;DEF;NEUT;SG	PROPN
forbundet	מקושר	forbund	מקושר	N;DEF;NEUT;SG	PROPN
forbundet	מקושרת	forbund	קושר	N;DEF;NEUT;SG	V;FEM;SG;V.PTCP;PASS
bestående	קיימת	bestå	קיים	V;PRS;V.PTCP	ADJ;FEM;SG
bestående	קיימות	bestå	קיים	V;PRS;V.PTCP	ADJ;FEM;PL
bestående	קיים	bestå	קיים	V;PRS;V.PTCP	ADJ;MASC;SG
bestående	קיימים	bestå	קיים	V;PRS;V.PTCP	ADJ;MASC;PL
inspireret	בהשראת	inspirere	בהשראת	V;INDF;SG;PST;V.PTCP	ADP
inspireret	השראה	inspirere	השראה	V;INDF;SG;PST;V.PTCP	N;FEM;SG
praksis	להתאמן	praksis	התאמן	N;INDF;MASC+FEM;SG	V;NFIN
tro	האמונה	tro	האמונה	V;NFIN;ACT	
tro	פיית	tro	פיית	V;NFIN;ACT	
tro	אמונה	tro	אמונה	V;NFIN;ACT	N;FEM;SG
tro	תאמין	tro	האמין	V;NFIN;ACT	ADV
tro	האמונה	tro	האמונה	V;NFIN;ACT	
tro	אמונה	tro	אמונה	V;NFIN;ACT	N;FEM;SG
indien	הודו	indien	הודו	PROPN	PROPN
indien	אינדיה	indien	אינדיה	PROPN	PROPN
håndbold	כדוריד	håndbold	כדוריד	N;INDF;MASC+FEM;SG	PROPN
punkt	הפריט	punkt	הפריט	N;INDF;NEUT;SG	V;MASC;SG;3;PST;ACT
punkt	פוינט	punkt	פוינט	N;INDF;NEUT;SG	PROPN
lund	לונד	lund	לונד		PROPN
projektet	פרוייקט	projekt	פרוייקט	N;DEF;NEUT;SG	PROPN
foråret	מעיין	forår	מעיין	N;DEF;NEUT;SG	PROPN
foråret	האביב	forår	האביב	N;DEF;NEUT;SG	V;MASC;SG;3;PST;ACT
sophie	סופי	sophie	סופי	N;INDF;MASC+FEM;SG	
operation	המבצע	operation	המבצע	N;INDF;MASC+FEM;SG	PROPN
colspan	colspan	colspan	colspan	N;INDF;MASC+FEM;SG	PRO;MASC;SG;3
udelukkende	בבלעדיות	udelukkende	בבלעדיות	ADV	N;FEM;PL
hørte	שמע	høre	שמע	V;IND;PST;FIN;ACT	
israel	ישראל	israel	ישראל		PROPN
brød	נשבר	brød	נשבר	N;INDF;NEUT;SG	V;MASC;SG;3;PST;MID
brød	מרושש	brød	מרושש	N;INDF;NEUT;SG	ADJ;MASC;SG
brød	הלחם	brød	הלחם	N;INDF;NEUT;SG	
brød	לחם	brød	לחם	N;INDF;NEUT;SG	
din	שלך	din	שלך	DET;MASC+FEM;SG;2	
din	שלך	din	שלך	DET;MASC+FEM;SG;2	
mødte	נפגשו	møde	נפגש	V;IND;PST;FIN;ACT	V;PL;3;PST;MID
award	פרס	award	פרס	N;INDF;MASC+FEM;SG	PROPN
månen	מון	mån	מון	N;DEF;MASC+FEM;SG	PROPN
månen	ירח	mån	ירח	N;DEF;MASC+FEM;SG	PROPN
månen	הירח	mån	הירח	N;DEF;MASC+FEM;SG	PROPN
morten	מורטן	morten	מורטן	PROPN	PROPN
californien	קליפורניה	californi	קליפורניה	N;DEF;MASC+FEM;SG	PROPN
resultater	התוצאות	resultat	התוצאות	N;INDF;NEUT;PL	N;FEM;SG
delt	שיתפו	delt	שיתף	V;INDF;SG;PST;V.PTCP	V;PL;3;PST;ACT
delt	משותף	delt	משותף	V;INDF;SG;PST;V.PTCP	ADJ;MASC;SG
delt	משותפת	delt	משותף	V;INDF;SG;PST;V.PTCP	ADJ;FEM;SG
delt	פיצול	delt	פיצול	V;INDF;SG;PST;V.PTCP	N;MASC;SG
optræder	ביצוע	optræde	ביצוע	V;IND;PRS;FIN;ACT	N;MASC;SG
bred	רחבה	bred	רחבה	ADJ;INDF;MASC+FEM;SG	N;FEM;SG
bred	רחב	bred	רחב	ADJ;INDF;MASC+FEM;SG	
bred	רחבה	bred	רחבה	ADJ;INDF;MASC+FEM;SG	N;FEM;SG
bred	רחבות	bred	רחבה	ADJ;INDF;MASC+FEM;SG	N;FEM;PL
bred	רחב	bred	רחב	ADJ;INDF;MASC+FEM;SG	
tegnet	מנוי	tegne	מנוי	V;INDF;SG;PST;V.PTCP	PROPN
udvidet	המורחבת	udvide	המורחבת	V;INDF;SG;PST;V.PTCP	PROPN
udvidet	מורחב	udvide	הורחב	V;INDF;SG;PST;V.PTCP	PROPN
udvidet	מורחב	udvide	הורחב	V;INDF;SG;PST;V.PTCP	PROPN
udvidet	מוגדלת	udvide	מוגדל	V;INDF;SG;PST;V.PTCP	ADJ;FEM;SG
design	עיצובים	design	עיצוב	N;INDF;NEUT;SG	N;MASC;PL
kone	אשתו	kone	אשת	N;INDF;MASC+FEM;SG	
kone	רעיה	kone	רעיה	N;INDF;MASC+FEM;SG	PROPN
fejl	טעות	fejl	טעות	N;INDF;MASC+FEM;PL	N;FEM;SG
fejl	שגיאה	fejl	שגיאה	N;INDF;MASC+FEM;PL	N;FEM;SG
fejl	שגיאת	fejl	שגיאה	N;INDF;MASC+FEM;PL	N;PSSD;FEM;SG
sølv	סילבר	sølv	סילבר	N;INDF;NEUT;SG	PROPN
sølv	כסופה	sølv	כסוף	N;INDF;NEUT;SG	
sølv	כסוף	sølv	כסוף	N;INDF;NEUT;SG	
særlige	ספיישל	særlig	ספיישל	ADJ;PL	PROPN
særlige	מיוחדת	særlig	מיוחד	ADJ;PL	ADJ;FEM;SG
særlige	מיוחד	særlig	מיוחד	ADJ;PL	ADJ;MASC;SG
online	מחובר	onlin	חובר	N;INDF;NEUT;SG	V;MASC;SG;V.PTCP;PASS
online	באינטרנט	onlin	באינטרנט	N;INDF;NEUT;SG	PROPN
prinsesse	הנסיכה	prinsesse	הנסיכה	N;INDF;MASC+FEM;SG	V;FEM;SG;3;PST;ACT
prinsesse	נסיכה	prinsesse	נסיכה	N;INDF;MASC+FEM;SG	PROPN
ben	רגלי	ben	רגל	N;INDF;NEUT;PL	
ben	רגלים	ben	רגל	N;INDF;NEUT;PL	
ben	בן	ben	בן	N;INDF;NEUT;PL	PROPN
ben	רגל	ben	רגל	N;INDF;NEUT;PL	
daniel	דניאל	daniel	דניאל	N;INDF;MASC+FEM;SG	PROPN
muligvis	יתכן	muligvis	יתכן	ADV	V;SG;3;FUT
muligvis	ייתכן	muligvis	ייתכן	ADV	V
belgien	בלגיה	belgien	בלגיה	PROPN	PROPN
vores	שלנו	vores	None	DET;1	
vores	שלנו	vores	None	DET;1	
træ	ווד	træ	ווד	N;INDF;NEUT;SG	PROPN
gustav	גוסטב	gustav	גוסטב	N;INDF;MASC+FEM;SG	PROPN
karakter	תו	karakter	תו	N;INDF;MASC+FEM;SG	
hjælpe	עוזרת	hjælpe	עוזר	V;NFIN;ACT	ADJ;FEM;SG
hjælpe	עוזר	hjælpe	עוזר	V;NFIN;ACT	N;MASC;SG
hjælpe	עזרה	hjælpe	עזרה	V;NFIN;ACT	N;FEM;SG
hjælpe	עזור	hjælpe	עזור	V;NFIN;ACT	PROPN
hjælpe	עזרי	hjælpe	עזר	V;NFIN;ACT	PROPN
life	life	life	life		
life	החיים	life	החיים		ADV
life	חיים	life	חיים		PROPN
esbjerg	אסביירג	esbjerg	אסביירג	PROPN	PROPN
sætte	שים	sætte	None	V;NFIN;ACT	
sætte	שימי	sætte	שימי	V;NFIN;ACT	
udviklingen	אבולוציה	udvikling	אבולוציה	N;DEF;MASC+FEM;SG	PROPN
udviklingen	התפתחויות	udvikling	התפתחות	N;DEF;MASC+FEM;SG	N;FEM;PL
øer	האיים	øe	האיים	N;INDF;NEUT;PL	PROPN
øer	איים	øe	אי	N;INDF;NEUT;PL	PROPN
don	דון	don	דון		PROPN
start	התחל	start	התחל	N;INDF;MASC+FEM;SG	PROPN
start	מתחילה	start	התחיל	N;INDF;MASC+FEM;SG	V;FEM;SG;V.PTCP;ACT
start	מתחיל	start	התחיל	N;INDF;MASC+FEM;SG	V;MASC;SG;V.PTCP
start	החל	start	None	N;INDF;MASC+FEM;SG	ADP
mexico	מקסיקו	mexico	מקסיקו	PROPN	PROPN
mistede	אבדה	miste	אבדה	V;IND;PST;FIN;ACT	N;FEM;SG
mistede	אבודה	miste	אבודה	V;IND;PST;FIN;ACT	N;FEM;SG
mistede	אבודים	miste	אבוד	V;IND;PST;FIN;ACT	N;MASC;PL
mistede	אבוד	miste	אבוד	V;IND;PST;FIN;ACT	
max	מקס	max	המקס	N;INDF;NEUT;SG	PROPN
kim	קים	kim	קים	PROPN	PROPN
tidligt	ארלי	tidligt	ארלי	ADV	PROPN
tidligt	תחילת	tidligt	תחילה	ADV	N;PSSD;FEM;SG
taler	מדבר	tale	מדבר	V;IND;PRS;FIN;ACT	N;MASC;SG
taler	דיבורים	tale	דיבור	V;IND;PRS;FIN;ACT	N;MASC;PL
taler	דיבור	tale	דיבור	V;IND;PRS;FIN;ACT	N;MASC;SG
taler	נאומים	tale	נאום	V;IND;PRS;FIN;ACT	N;MASC;PL
taler	רמקול	tale	רמקול	V;IND;PRS;FIN;ACT	PROPN
taler	מדבר	tale	מדבר	V;IND;PRS;FIN;ACT	N;MASC;SG
oversat	התרגום	oversat	התרגום	V;INDF;SG;PST;V.PTCP	
oversat	תרגום	oversat	תרגום	V;INDF;SG;PST;V.PTCP	N;MASC;SG
møder	פגישות	møde	פגישה	V;IND;PRS;FIN;ACT	N;FEM;PL
møder	ישיבות	møde	ישיבה	V;IND;PRS;FIN;ACT	N;FEM;PL
møder	פגישה	møde	פגישה	V;IND;PRS;FIN;ACT	N;FEM;SG
møder	ישיבה	møde	ישיבה	V;IND;PRS;FIN;ACT	N;FEM;SG
møder	מפגש	møde	מפגש	V;IND;PRS;FIN;ACT	N;MASC;SG
washington	וושינגטון	washington	ואשינגטון	N;INDF;MASC+FEM;SG	PROPN
afgørende	חיוניות	afgørende	חיוניות	ADJ	N;FEM;SG
ernst	ארנסט	ernst	ארנסט	N;INDF;MASC+FEM;SG	PROPN
standard	מחדל	standard	מחדל	N;INDF;MASC+FEM;SG	
standard	סטנדרטים	standard	לסטנדרט	N;INDF;MASC+FEM;SG	N;MASC;PL
standard	סטנדרט	standard	None	N;INDF;MASC+FEM;SG	PROPN
standard	סטנדרטי	standard	סטנדרטי	N;INDF;MASC+FEM;SG	ADJ;MASC;SG
musiker	מוזיקאי	musiker	מוזיקני	N;INDF;MASC+FEM;SG	PROPN
dækker	כיסויי	dække	כיסוי	V;IND;PRS;FIN;ACT	N;PSSD;MASC;PL
populære	פופולרי	populær	פופולרי	ADJ;PL	ADJ;MASC;SG
populære	אהוד	populær	אהוד	ADJ;PL	PROPN
populære	פופולרית	populær	פופולרית	ADJ;PL	ADJ;FEM;SG
populære	פופולריות	populær	פופולריות	ADJ;PL	N;FEM;SG
populære	פופולרי	populær	פופולרי	ADJ;PL	ADJ;MASC;SG
populære	פופולריות	populær	פופולריות	ADJ;PL	N;FEM;SG
bank	הבנק	bank	הבנק	N;INDF;MASC+FEM;SG	
pris	המחיר	pris	המחיר	N;INDF;MASC+FEM;SG	V;MASC;SG;3;PST;ACT
pris	פרייס	pris	פרייס	N;INDF;MASC+FEM;SG	PROPN
pris	העלות	pris	העלה	N;INDF;MASC+FEM;SG	N;FEM;PL
school	לימודים	school	לימודים	N;INDF;MASC+FEM;SG	N;MASC;PL
nomineret	מועמדת	nominere	מועמד	V;INDF;SG;PST;V.PTCP	N;FEM;SG
nomineret	מועמדות	nominere	הועמד	V;INDF;SG;PST;V.PTCP	
nomineret	מועמד	nominere	מועמד	V;INDF;SG;PST;V.PTCP	N;MASC;SG
ægteskab	נישואים	ægteskab	נישואין	N;INDF;NEUT;SG	N;MASC;PL
ægteskab	נישואין	ægteskab	נישואין	N;INDF;NEUT;SG	N;MASC;PL
ungarn	הונגריה	ungarn	הונגריה		PROPN
stærk	חזקים	stærk	חזק	ADJ;INDF;MASC+FEM;SG	ADJ;MASC;PL
stærk	סטרונג	stærk	סטרונג	ADJ;INDF;MASC+FEM;SG	PROPN
stærk	חזקות	stærk	חזק	ADJ;INDF;MASC+FEM;SG	ADJ;FEM;PL
albert	אלברט	albert	אלברט		PROPN
albert	אלבר	albert	אלבר		PROPN
bibliotek	הספרייה	bibliotek	הספרייה	N;INDF;NEUT;SG	PROPN
harald	הארלד	harald	הארלד		PROPN
uger	וויקס	uge	וויקס	N;INDF;MASC+FEM;PL	PROPN
vokal	שירה	vokal	שירה	N;INDF;MASC+FEM;SG	
ændringer	משתנה	ændringe	השתנה	N;INDF;MASC+FEM;PL	V;MASC;SG;V.PTCP
ændringer	שינויי	ændringe	שינוי	N;INDF;MASC+FEM;PL	ADJ;MASC;PL
sjælland	זילנד	sjælland	זילנד		PROPN
problem	הבעיה	problem	הבעיה	N;INDF;NEUT;SG	ADV
institut	המכון	institut	המכון	N;INDF;MASC+FEM;SG	
institut	המוסד	institut	המוסד	N;INDF;MASC+FEM;SG	
institut	הקרן	institut	הקרן	N;INDF;MASC+FEM;SG	
bidrag	תרומות	bidrag	תרומה	N;INDF;NEUT;SG	N;FEM;PL
profil	הפרופיל	profil	הפרופיל	N;INDF;MASC+FEM;SG	PROPN
hotel	מלונות	hotel	מלון	N;INDF;NEUT;SG	N;MASC;PL
mester	מאסטר	mester	מאסטר	N;INDF;MASC+FEM;SG	PROPN
mester	אדון	mester	אדון	N;INDF;MASC+FEM;SG	
mester	מסטר	mester	מסטר	N;INDF;MASC+FEM;SG	PROPN
søen	אגם	søe	אגם	N;DEF;MASC+FEM;SG	PROPN
søen	לייק	søe	לייק	N;DEF;MASC+FEM;SG	PROPN
post	פוסט	post	פוסט	N;INDF;MASC+FEM;SG	PROPN
post	פרסם	post	פרסם	N;INDF;MASC+FEM;SG	V;MASC;SG;3;PST;ACT
will	ויל	will	ויל		PROPN
will	וויל	will	וויל		PROPN
afrika	אפריקה	afrika	אפריקה		PROPN
afrika	אפריקאית	afrika	אפריקני		PROPN
afrika	אפריקאי	afrika	אפריקאי		PROPN
afrika	אפריקני	afrika	אפריקני		PROPN
greve	רוזן	grev	רוזן	N;INDF;MASC+FEM;SG	PROPN
emnet	הנושא	emne	הנושא	N;DEF;NEUT;SG	
nævnt	ציינו	nævnt	ציין	V;INDF;SG;PST;V.PTCP	V;PL;3;PST;ACT
trommer	תיפוף	tromme	נפף	N;INDF;MASC+FEM;PL	N;MASC;SG
oscar	אוסקר	oscar	אוסקר	N;INDF;MASC+FEM;SG	PROPN
sendte	נשלחו	sende	נשלח	V;IND;PST;FIN;ACT	V;PL;3;PST;MID
sendte	נשלח	sende	נשלח	V;IND;PST;FIN;ACT	V;MASC;SG;3;PST;MID
sendte	נשלחה	sende	נשלח	V;IND;PST;FIN;ACT	V;FEM;SG;3;PST;MID
landsby	הכפר	landsby	הכפר	N;INDF;MASC+FEM;SG	
museet	המוזיאון	museum	המוזיאון	N;DEF;NEUT;SG	PROPN
grækenland	יוון	grækenland	יוון	PROPN	PROPN
virker	פועל	virke	פועל	V;IND;PRS;FIN;ACT	N;MASC;SG
virker	יצירות	virke	יצירה	V;IND;PRS;FIN;ACT	N;FEM;PL
virker	עובדת	virke	עובדה	V;IND;PRS;FIN;ACT	N;FEM;SG
virker	עובד	virke	עובד	V;IND;PRS;FIN;ACT	PROPN
japansk	יפני	japansk	יפני	ADJ;INDF;SG	PROPN
japansk	יפנית	japansk	יפני	ADJ;INDF;SG	PROPN
japansk	יפנים	japansk	יפנים	ADJ;INDF;SG	N;MASC;PL
modstand	האופוזיציה	modstand	האופוזיציה	N;INDF;MASC+FEM;SG	PROPN
wiki	ויקי	wiki	ויקי	N;INDF;MASC+FEM;SG	PROPN
projekt	פרוייקט	projekt	פרוייקט	N;INDF;NEUT;SG	PROPN
militær	צבא	militær	צבא	ADJ;INDF;MASC+FEM;SG	N;MASC;SG
søgte	חיפש	søge	חיפש	V;IND;PST;FIN;ACT	N;MASC;SG
søgte	חיפש	søge	חיפש	V;IND;PST;FIN;ACT	N;MASC;SG
knyttet	נקשרו	knytte	נקשר	V;INDF;SG;PST;V.PTCP	V;PL;3;PST;MID
knyttet	מקושר	knytte	מקושר	V;INDF;SG;PST;V.PTCP	PROPN
udenfor	בחוץ	udenfor	בחוץ	ADV	
udenfor	מחוץ	udenfor	מחוץ	ADV	
beskrivelse	התיאור	beskrivelse	התיאור	N;INDF;MASC+FEM;SG	PROPN
tror	תחשוב	tro	חשב	V;IND;PRS;FIN;ACT	V;MASC;SG;3;FUT;ACT
can	יכולה	cinke	יכול		V;FEM;SG;V.PTCP
can	יכול	cinke	None		V;MASC;SG;V.PTCP
digte	שירה	digte	שירה	N;INDF;MASC+FEM;PL	
mængde	נפח	mængde	נפח	N;INDF;MASC+FEM;SG	
mængde	כרך	mængde	כרך	N;INDF;MASC+FEM;SG	
mængde	הסכום	mængde	הסכום	N;INDF;MASC+FEM;SG	
