contraste	contrastes	contraste	contraste	N;MASC;SG	N;MASC;PL
fracasso	fracasar	fracasso	fracasar	N;MASC;SG	V;NFIN
fracasso	fallar	fracasso	fallar	N;MASC;SG	V;NFIN
solos	solos	solo	solo	N;MASC;PL	ADJ;MASC;PL
solos	tierra	solo	tierra	N;MASC;PL	N;FEM;SG
solos	suelo	solo	suelo	N;MASC;PL	N;MASC;SG
got	got	got	got	N;MASC;SG	PROPN
got	tengo	got	tener	N;MASC;SG	V;IND;SG;1;PRS;FIN
got	consiguió	got	conseguir	N;MASC;SG	V;IND;SG;3;PST;FIN
thompson	fernández	thompson	fernández	N;MASC;SG	PROPN
plena	full	pleno	full	ADJ;FEM;SG	INTJ
citados	citado	citar	citado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
citados	citó	citar	citar	V;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
citados	citada	citar	citado	V;MASC;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
citados	citados	citar	citado	V;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
citados	citado	citar	citado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
citados	citó	citar	citar	V;MASC;PL;V.PTCP	V;IND;SG;3;PST;FIN
citados	cotizado	citar	cotizado	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
distribuído	distribuidas	distribuir	distribuido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
distribuído	distribuido	distribuir	distribuir	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
distribuído	repartido	distribuir	repartido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
distribuído	distribuida	distribuir	distribuido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
wolf	lobos	wolf	lobo	N;MASC;SG	N;MASC;PL
variam	varía	variar	variar	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
variam	varia	variar	vario	V;IND;PL;3;PRS;FIN	V;IND;SG;3;PRS;FIN
danilo	danilo	danilo	danilo	N;MASC;SG	PROPN
ricos	rico	rico	rico	N;MASC;PL	ADJ;MASC;SG
ricos	ricas	rico	rico	N;MASC;PL	ADJ;FEM;PL
ricos	rich	rico	rich	N;MASC;PL	PROPN
ricos	rica	rico	rico	N;MASC;PL	ADJ;FEM;SG
ricos	adinerado	rico	adinerar	N;MASC;PL	ADJ;MASC;SG;V.PTCP
tópicos	tópico	tópico	tópico	N;MASC;PL	N;MASC;SG
tópicos	tema	tópico	tema	N;MASC;PL	N;MASC;SG
tópicos	temáticas	tópico	temático	N;MASC;PL	ADJ;FEM;PL
rotação	rotar	rotação	rotar	N;FEM;SG	V;NFIN
rotação	rotativa	rotação	rotativo	N;FEM;SG	ADJ;FEM;SG
catolicismo	católico	catolicismo	católico	N;MASC;SG	ADJ;MASC;SG
catolicismo	católicos	catolicismo	católico	N;MASC;SG	N;MASC;PL
catolicismo	católica	catolicismo	católico	N;MASC;SG	ADJ;FEM;SG
destruída	destruida	destruir	destruido	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
destruída	destruidas	destruir	destruido	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
destruída	destruidos	destruir	destruido	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
destruída	destruido	destruir	destruido	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
magno	magno	magno	magno	N;MASC;SG	PROPN
terrenos	terreno	terreno	terreno	N;MASC;PL	N;MASC;SG
terrenos	tierra	terreno	tierra	N;MASC;PL	N;FEM;SG
terrenos	terreno	terreno	terreno	N;MASC;PL	N;MASC;SG
exclusiva	exclusividad	exclusivo	exclusividad	ADJ;FEM;SG	N;FEM;SG
exclusiva	exclusivas	exclusivo	exclusivo	ADJ;FEM;SG	ADJ;FEM;PL
exclusiva	exclusivos	exclusivo	exclusivo	ADJ;FEM;SG	ADJ;MASC;PL
júri	jurado	júri	jurado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
lançamentos	lanzamiento	lançamento	lanzamiento	N;MASC;PL	N;MASC;SG
lançamentos	lanza	lançamento	lanza	N;MASC;PL	N;FEM;SG
lançamentos	comunicados	lançamento	comunicado	N;MASC;PL	ADJ;MASC;PL;V.PTCP
caribe	caribeño	caribe	caribeño	N;MASC;SG	ADJ;MASC;SG
caribe	caribeños	caribe	caribeño	N;MASC;SG	N;MASC;PL
giuseppe	giuseppe	giuseppe	giuseppe	N;MASC;SG	PROPN
dita	dicta	dizer	dicta	N;FEM;SG	V;IND;SG;3;PRS;FIN
dita	dictados	dizer	dictado	N;FEM;SG	ADJ;MASC;PL;V.PTCP
internos	internos	interno	interno	N;MASC;PL	ADJ;MASC;PL
internos	interno	interno	interno	N;MASC;PL	ADJ;MASC;SG
internos	interna	interno	interno	N;MASC;PL	ADJ;FEM;SG
palestina	palestinos	palestina	palestino	N;FEM;SG	N;MASC;PL
palestina	palestina	palestina	palestino	N;FEM;SG	ADJ;FEM;SG
palestina	palestinos	palestina	palestino	N;FEM;SG	N;MASC;PL
palestina	palestina	palestina	palestino	N;FEM;SG	ADJ;FEM;SG
palestina	palestinas	palestina	palestino	N;FEM;SG	ADJ;FEM;PL
taiwan	taiwaneses	taiwan	taiwanés	N;MASC;SG	N;MASC;PL
aldeias	poblados	aldeia	poblado	N;FEM;PL	ADJ;MASC;PL;V.PTCP
restrições	restricción	restrição	restricción	N;FEM;PL	N;FEM;SG
neil	neil	neil	neil	N;MASC;SG	PROPN
desfile	desfilar	desfilar	desfilar	N;MASC;SG	V;NFIN
diminuir	descenso	diminuir	descenso	V;NFIN	N;MASC;SG
diminuir	disminución	diminuir	disminución	V;NFIN	N;FEM;SG
fischer	fischer	fischer	fischer	N;MASC;SG	PROPN
evil	malvado	evil	malvar	N;MASC;SG	ADJ;MASC;SG;V.PTCP
evil	mal	evil	mal	N;MASC;SG	ADV
evil	malvada	evil	malvado	N;MASC;SG	ADJ;FEM;SG;V.PTCP
premiado	otorgado	premiar	otorgar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
premiado	galardonado	premiar	galardonado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
premiado	adjudicado	premiar	adjudicar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
premiado	premiado	premiar	premiado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
premiado	concedido	premiar	concedido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
aonde	where	aonde	where	ADV	N
aonde	donde	aonde	donde	ADV	PRO
aonde	adonde	aonde	adonde	ADV	
aonde	dónde	aonde	dónde	ADV	PRO
visitar	visita	visitar	visita	V;NFIN	N;FEM;SG
run	corran	run	correr	N;MASC;SG	V;IMP;PL;3;FIN
run	correr	run	correr	N;MASC;SG	V;NFIN
run	corre	run	correr	N;MASC;SG	V;IND;SG;3;PRS;FIN
run	ejecutar	run	ejecutar	N;MASC;SG	V;NFIN
capturado	capturado	capturar	capturado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
capturado	captado	capturar	captado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
capturado	capturados	capturar	capturado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
capturado	capturada	capturar	capturado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
oposto	opuestos	oposto	opuesto	ADJ;MASC;SG	ADJ;MASC;PL;V.PTCP
oposto	enfrente	oposto	enfrente	ADJ;MASC;SG	ADV
edit	edita	edit	editar	N;MASC;SG	V;IND;SG;3;PRS;FIN
edit	editar	edit	editar	N;MASC;SG	V;NFIN
primário	primario	primário	primario	N;MASC;SG	ADJ;MASC;SG
primário	primarias	primário	primaria	N;MASC;SG	N;FEM;PL
primário	primarios	primário	primario	N;MASC;SG	ADJ;MASC;PL
coberta	cubierta	cobrir	cubierto	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
coberta	cubiertas	cobrir	cubierto	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
coberta	cubierto	cobrir	cubierto	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
coberta	cubiertos	cobrir	cubierto	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
traduções	traducción	tradução	traducción	N;FEM;PL	N;FEM;SG
traduções	traducción	tradução	traducción	N;FEM;PL	N;FEM;SG
defensores	defensoras	defensor	defensora	N;MASC;PL	ADJ;FEM;PL
defensores	aboga	defensor	abogar	N;MASC;PL	V;IND;SG;3;PRS;FIN
lar	lar	lar	lar	N;MASC;SG	
completou	completada	completar	completado	V;IND;SG;3;PST;FIN	ADJ;FEM;SG;V.PTCP
completou	finalizado	completar	finalizar	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
completou	completadas	completar	completado	V;IND;SG;3;PST;FIN	ADJ;FEM;PL;V.PTCP
completou	completados	completar	completado	V;IND;SG;3;PST;FIN	ADJ;MASC;PL;V.PTCP
completou	terminado	completar	terminar	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
completou	completado	completar	completado	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
vasta	vastos	vasto	vasto	ADJ;FEM;SG	ADJ;MASC;PL
vasta	vastas	vasto	vasta	ADJ;FEM;SG	ADJ;FEM;PL
parabéns	enhorabuena	parabéns	enhorabuena	N;MASC;PL	N;FEM;SG
parabéns	enhorabuena	parabéns	enhorabuena	N;MASC;PL	N;FEM;SG
gases	gasolina	gase	gasolina	N;MASC;PL	N;FEM;SG
gases	gas	gase	gas	N;MASC;PL	N;MASC;SG
concluída	completada	concluído	completado	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
concluída	finalizado	concluído	finalizar	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluída	completadas	concluído	completado	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
concluída	completados	concluído	completado	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
concluída	terminado	concluído	terminar	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluída	completado	concluído	completado	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
eleitores	electorado	eleitor	electorado	N;MASC;PL	N;MASC;SG
australiana	australianas	australiano	australiano	N;FEM;SG	ADJ;FEM;PL
australiana	australianos	australiano	australiano	N;FEM;SG	N;MASC;PL
australiana	australiana	australiano	australiano	N;FEM;SG	ADJ;FEM;SG
august	august	august	augusto	N;MASC;SG	PROPN
bizantinos	bizantina	bizantino	bizantino	N;MASC;PL	ADJ;FEM;SG
bizantinos	bizantino	bizantino	bizantino	N;MASC;PL	ADJ;MASC;SG
qualificação	calificar	qualificação	calificar	N;FEM;SG	V;NFIN
qualificação	cualificaciones	qualificação	cualificación	N;FEM;SG	N;FEM;PL
luke	lucas	luke	luca	N;MASC;SG	N;FEM;PL
deep	profundo	deep	profundo	N;MASC;SG	ADJ;MASC;SG
deep	profunda	deep	profundo	N;MASC;SG	ADJ;FEM;SG
concluído	completada	concluir	completado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
concluído	finalizado	concluir	finalizar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluído	completadas	concluir	completado	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
concluído	completados	concluir	completado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
concluído	terminado	concluir	terminar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluído	completado	concluir	completado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluído	acabados	concluir	acabar	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
concluído	terminados	concluir	terminado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
concluído	finalizado	concluir	finalizar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluído	acabado	concluir	acabar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluído	terminado	concluir	terminar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
concluído	terminada	concluir	terminado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
fortificações	fortificación	fortificação	fortificación	N;FEM;PL	N;FEM;SG
fortificações	fortificación	fortificação	fortificación	N;FEM;PL	N;FEM;SG
western	occidental	western	occidental	N;MASC;SG	ADJ;SG
western	occidentales	western	occidental	N;MASC;SG	ADJ;PL
culpa	culpas	culpa	culpa	N;FEM;SG	N;FEM;PL
culpa	culpar	culpa	culpar	N;FEM;SG	V;NFIN
culpa	culpable	culpa	culpable	N;FEM;SG	ADJ;SG
culpa	culpas	culpa	culpa	N;FEM;SG	N;FEM;PL
kurt	kurt	kurt	kurt	PROPN;MASC;SG	PROPN
falado	hablado	falar	hablar	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
falado	hablada	falar	hablado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
mina	míos	mina	mío	N;FEM;SG	PRO;MASC;PL;2
mina	mio	mina	mio	N;FEM;SG	INTJ
mina	mías	mina	mío	N;FEM;SG	PRO;FEM;PL;2
mina	mío	mina	mío	N;FEM;SG	PRO;MASC;SG;1
mina	mía	mina	mía	N;FEM;SG	DET;FEM;SG;1
circunstâncias	circunstancia	circunstância	circunstancia	N;FEM;PL	N;FEM;SG
orange	anaranjado	orange	anaranjado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
residentes	residente	residente	residente	N;MASC;PL	N;SG
derrotas	derrota	derrota	derrota	N;FEM;PL	N;FEM;SG
derrotas	derrota	derrota	derrota	N;FEM;PL	N;FEM;SG
mundialmente	worldwide	mundialmente	worldwide	ADV	N
mundialmente	mundial	mundialmente	mundial	ADV	ADJ;SG
tanque	tanques	tanque	tanque	N;MASC;SG	N;MASC;PL
tito	tito	tito	tito	N;MASC;SG	PROPN
tito	tito	tito	tito	N;MASC;SG	PROPN
museus	museo	museu	museo	N;MASC;PL	N;MASC;SG
ferido	herida	ferir	herido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
ferido	herido	ferir	herido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ferido	lesionados	ferir	lesionado	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
ferido	heridos	ferir	herido	V;MASC;SG;V.PTCP	N;MASC;PL
ferido	lesionado	ferir	lesionado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ferido	heridos	ferir	herido	V;MASC;SG;V.PTCP	N;MASC;PL
ferido	herida	ferir	herido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
ferido	herido	ferir	herido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ferido	lastimado	ferir	lastimado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
ferido	herido	ferir	herido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
dallas	dallas	dalla	dalla	N;MASC;SG	N;FEM;PL
plástico	plástica	plástico	plástico	N;MASC;SG	ADJ;FEM;SG
plástico	plásticos	plástico	plástico	N;MASC;SG	N;MASC;PL
plástico	plástica	plástico	plástico	N;MASC;SG	ADJ;FEM;SG
plástico	plásticos	plástico	plástico	N;MASC;SG	N;MASC;PL
card	tarjetas	card	tarjeta	N;MASC;SG	N;FEM;PL
positivas	positivo	positivo	positivo	ADJ;FEM;PL	ADJ;MASC;SG
positivas	positiva	positivo	positivo	ADJ;FEM;PL	ADJ;FEM;SG
cartão	tarjetas	cartão	tarjeta	N;MASC;SG	N;FEM;PL
violação	violaciones	violação	violación	N;FEM;SG	N;FEM;PL
fort	fuerte	fort	fuerte	N;MASC;SG	ADJ;SG
cargas	carga	carga	carga	N;FEM;PL	N;FEM;SG
sex	vie	sexta-feira	vie	N;MASC;SG	
sex	sexuales	sexta-feira	sexual	N;MASC;SG	ADJ;PL
sex	sexos	sexta-feira	sexo	N;MASC;SG	N;MASC;PL
cerâmica	cerámicas	cerâmica	cerámico	N;FEM;SG	N;FEM;PL
cerâmica	cerámicas	cerâmica	cerámico	N;FEM;SG	N;FEM;PL
cerâmica	cerámicas	cerâmica	cerámico	N;FEM;SG	N;FEM;PL
falsa	false	falso	false	ADJ;FEM;SG	N
falsa	falsos	falso	falso	ADJ;FEM;SG	ADJ;MASC;PL
falsa	falsas	falso	falso	ADJ;FEM;SG	ADJ;FEM;PL
falsa	farsante	falso	farsante	ADJ;FEM;SG	N;SG
falsa	falsos	falso	falso	ADJ;FEM;SG	ADJ;MASC;PL
manifestação	demostraciones	manifestação	demostración	N;FEM;SG	N;FEM;PL
edwards	edwards	edwards	edwards	N;MASC;SG	PROPN
prof	prof	prof	prof	N;MASC;SG	PROPN
melhorias	mejoría	melhoria	mejoría	N;FEM;PL	N;FEM;SG
melhorias	mejoramiento	melhoria	mejoramiento	N;FEM;PL	N;MASC;SG
melhorias	perfeccionamiento	melhoria	perfeccionamiento	N;FEM;PL	N;MASC;SG
melhorias	mejora	melhoria	mejora	N;FEM;PL	N;FEM;SG
controlo	controlar	controlo	controlar	N;MASC;SG	V;NFIN
rebelde	rebeldes	rebelde	rebelde	N;MASC;SG	N;PL
rebelde	rebelde	rebelde	rebelde	N;MASC;SG	ADJ;SG
rebelde	rebelde	rebelde	rebelde	N;MASC;SG	ADJ;SG
proibido	prohibida	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
proibido	prohibido	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
proibido	prohibidas	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
proibido	prohibidos	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
proibido	prohibida	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
proibido	prohibido	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
proibido	prohibidas	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
proibido	prohibidos	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
proibido	prohibida	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
proibido	prohibido	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
proibido	prohibidas	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
proibido	prohibidos	proibir	prohibido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
marine	marinos	marine	marino	N;MASC;SG	N;MASC;PL
marine	marinas	marine	marina	N;MASC;SG	N;FEM;PL
culinária	cocinando	culinário	cocinar	N;FEM;SG	V;V.MSDR
culinária	cocinar	culinário	cocinar	N;FEM;SG	V;NFIN
culinária	culinaria	culinário	culinario	N;FEM;SG	ADJ;FEM;SG
culinária	culinario	culinário	culinario	N;FEM;SG	ADJ;MASC;SG
mito	mitos	mito	mito	N;MASC;SG	N;MASC;PL
químicos	químico	químico	químico	N;MASC;PL	ADJ;MASC;SG
químicos	químicas	químico	químico	N;MASC;PL	ADJ;FEM;PL
químicos	chemical	químico	chemical	N;MASC;PL	N;SG
químicos	química	químico	química	N;MASC;PL	N;FEM;SG
consulta	consultar	consulta	consultar	N;FEM;SG	V;NFIN
consulta	consultas	consulta	consulta	N;FEM;SG	N;FEM;PL
análises	analítica	análise	analítico	N;FEM;PL	ADJ;FEM;SG
reverter	reversa	reverter	reversa	V;NFIN	N;FEM;SG
reverter	inversa	reverter	inversa	V;NFIN	N;FEM;SG
reverter	reverso	reverter	reverso	V;NFIN	N;MASC;SG
reverter	revés	reverter	revés	V;NFIN	N;MASC;SG
aula	clases	aula	clase	N;FEM;SG	N;FEM;PL
dramática	dramática	dramático	dramático	N;FEM;SG	ADJ;FEM;SG
dramática	dramáticos	dramático	dramático	N;FEM;SG	ADJ;MASC;PL
dramática	dramáticas	dramático	dramático	N;FEM;SG	ADJ;FEM;PL
dramática	dramático	dramático	dramático	N;FEM;SG	ADJ;MASC;SG
filmado	rodado	filmar	rodado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
filmado	filmado	filmar	filmado	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
filmado	filmada	filmar	filmado	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
matando	matanza	matar	matanza	V;V.MSDR	N;FEM;SG
matando	matanzas	matar	matanza	V;V.MSDR	N;FEM;PL
giro	linda	giro	linda	N;MASC;SG	ADJ;FEM;SG
giro	lindos	giro	lindo	N;MASC;SG	ADJ;MASC;PL
giro	lindas	giro	lindo	N;MASC;SG	ADJ;FEM;PL
giro	lindo	giro	lindo	N;MASC;SG	ADJ;MASC;SG
ferrovia	ferroviario	ferrovia	ferroviario	N;FEM;SG	ADJ;MASC;SG
ferrovia	ferrocarriles	ferrovia	ferrocarril	N;FEM;SG	N;MASC;PL
ferrovia	ferroviarios	ferrovia	ferroviario	N;FEM;SG	N;MASC;PL
fique	quédate	ficar	quédate	V;SBJV;SG;3;PRS;FIN	V;IND;SG;2;PRS;FIN
fique	quedo	ficar	quedar	V;SBJV;SG;3;PRS;FIN	V;IND;SG;1;PRS;FIN
fique	quedate	ficar	quedate	V;SBJV;SG;3;PRS;FIN	V;IND;SG;2;PRS;FIN
fique	estadía	ficar	estadía	V;SBJV;SG;3;PRS;FIN	N;FEM;SG
fique	estancia	ficar	estancia	V;SBJV;SG;3;PRS;FIN	N;FEM;SG
elias	elías	elia	elía	N;MASC;SG	N;FEM;PL
elias	elías	elia	elía	N;MASC;SG	N;FEM;PL
soberano	soberana	soberano	soberano	N;MASC;SG	ADJ;FEM;SG
soberano	soberanos	soberano	soberano	N;MASC;SG	N;MASC;PL
colocadas	colocada	colocar	colocado	V;FEM;PL;V.PTCP	ADJ;FEM;SG;V.PTCP
colocadas	colocados	colocar	colocado	V;FEM;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
colocadas	colocado	colocar	colocado	V;FEM;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
judeu	judías	judeu	judía	N;MASC;SG	N;FEM;PL
judeu	judía	judeu	judío	N;MASC;SG	ADJ;FEM;SG
judeu	judíos	judeu	judío	N;MASC;SG	N;MASC;PL
judeu	judía	judeu	judío	N;MASC;SG	ADJ;FEM;SG
vegetais	vegetal	vegetal	vegetal	N;MASC;PL	ADJ;SG
vegetais	verdura	vegetal	verdura	N;MASC;PL	N;FEM;SG
vegetais	verdura	vegetal	verdura	N;MASC;PL	N;FEM;SG
alimento	alimentos	alimento	alimento	N;MASC;SG	N;MASC;PL
elétrons	electrón	elétron	electrón	N;MASC;PL	N;MASC;SG
regresso	regresar	regresso	regresar	N;MASC;SG	V;NFIN
automóvel	coches	automóvel	coche	N;MASC;SG	N;MASC;PL
automóvel	automóviles	automóvel	automóvil	N;MASC;SG	N;MASC;PL
cana	reed	cana	reed	N;FEM;SG	PROPN
cana	rod	cana	rod	N;FEM;SG	PROPN
cana	cana	cana	cana	N;FEM;SG	
asiático	asiáticas	asiático	asiático	ADJ;MASC;SG	ADJ;FEM;PL
asiático	asia	asiático	asia	ADJ;MASC;SG	N;FEM;SG
asiático	asiáticos	asiático	asiático	ADJ;MASC;SG	ADJ;MASC;PL
cinquenta	fifty	cinquenta	fifty	NUM	N
cinquenta	cincuenta	cinquenta	cincuenta	NUM	N;FEM;PL
estética	estético	estética	estético	N;FEM;SG	ADJ;MASC;SG
estética	estético	estética	estético	N;FEM;SG	ADJ;MASC;SG
dores	dolor	dor	dolor	N;FEM;PL	N;MASC;SG
repercussão	repercusiones	repercussão	repercusión	N;FEM;SG	N;FEM;PL
massas	pasta	massa	pasta	N;FEM;PL	N;FEM;SG
reduzido	reducido	reduzir	reducido	V;MASC;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
reduzido	reducida	reduzir	reducido	V;MASC;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
reduzido	reducidas	reduzir	reducido	V;MASC;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
reduzido	reducidos	reduzir	reducido	V;MASC;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
provocou	provocada	provocar	provocado	V;IND;SG;3;PST;FIN	ADJ;FEM;SG;V.PTCP
provocou	provocado	provocar	provocado	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;V.PTCP
legais	legal	legal	legal	ADJ;MASC;PL	ADJ;SG
legais	jurídico	legal	jurídico	ADJ;MASC;PL	ADJ;MASC;SG
lúcia	lucía	lúcia	lucir	N;FEM;SG	V;IND;SG;3;IPFV;FIN
lúcia	lucía	lúcia	lucir	N;FEM;SG	V;IND;SG;3;IPFV;FIN
gustav	gustavo	gustav	gustavo	N;MASC;SG	
amostra	muestra	amostra	mostrar	N;FEM;SG	V;IND;SG;3;PRS;FIN
amostra	muestras	amostra	muestra	N;FEM;SG	N;FEM;PL
vegetal	verduras	vegetal	verdura	ADJ;MASC;SG	N;FEM;PL
vegetal	hortalizas	vegetal	hortaliza	ADJ;MASC;SG	N;FEM;PL
vegetal	verdura	vegetal	verdura	ADJ;MASC;SG	N;FEM;SG
vegetal	vegetales	vegetal	vegetal	ADJ;MASC;SG	N;MASC;PL
exibidos	exhibido	exibir	exhibido	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
exibidos	mostrados	exibir	mostrar	V;MASC;PL;V.PTCP	ADJ;MASC;PL;V.PTCP
exibidos	mostrado	exibir	mostrar	V;MASC;PL;V.PTCP	ADJ;MASC;SG;V.PTCP
conteúdos	contenido	conteúdo	contenido	N;MASC;PL	N;MASC;SG
conteúdos	contenido	conteúdo	contenido	N;MASC;PL	N;MASC;SG
correr	run	correr	run	V;NFIN	N
empregado	empleada	empregado	empleado	N;MASC;SG	ADJ;FEM;SG;V.PTCP
empregado	empleados	empregado	empleado	N;MASC;SG	N;MASC;PL
empregado	asalariado	empregado	asalariado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
empregado	empleado	empregado	empleado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
empregado	empleada	empregado	empleado	N;MASC;SG	ADJ;FEM;SG;V.PTCP
empregado	empleadas	empregado	empleada	N;MASC;SG	ADJ;FEM;PL;V.PTCP
sexuais	sexuales	sexual	sexual	N;MASC;PL	ADJ;PL
sexuais	sexual	sexual	sexual	N;MASC;PL	ADJ;SG
reduzida	reducido	reduzir	reducido	V;FEM;SG;V.PTCP	ADJ;MASC;SG;V.PTCP
reduzida	reducida	reduzir	reducido	V;FEM;SG;V.PTCP	ADJ;FEM;SG;V.PTCP
reduzida	reducidas	reduzir	reducido	V;FEM;SG;V.PTCP	ADJ;FEM;PL;V.PTCP
reduzida	reducidos	reduzir	reducido	V;FEM;SG;V.PTCP	ADJ;MASC;PL;V.PTCP
keith	keith	keith	keith	N;MASC;SG	PROPN
costume	habitual	costume	habitual	N;MASC;SG	ADJ;SG
costume	habituales	costume	habitual	N;MASC;SG	ADJ;PL
costume	usual	costume	usual	N;MASC;SG	ADJ;SG
costume	personalizado	costume	personalizado	N;MASC;SG	ADJ;MASC;SG;V.PTCP
costume	personalizada	costume	personalizado	N;MASC;SG	ADJ;FEM;SG;V.PTCP
costume	costumbres	costume	costumbre	N;MASC;SG	N;FEM;PL
horizontal	horizontales	horizontal	horizontal	ADJ;MASC;SG	ADJ;PL
