筋	τένοντες	筋	τένω	N	ADJ;NOM;MASC;PL
機密	εμπιστευτικές	機密	εμπιστευτικός	N	ADJ;NOM;FEM;PL
機密	εμπιστευτικά	機密	εμπιστευτικά	N	ADV
諾曼	νόρμαν	諾曼	νόρμαν	PROPN	
散布	scatter	散布	scatter	V	
斐濟	φίτζι	斐濟	φίτζι	PROPN	PROPN;NOM;FEM;SG
潛在	δυνατότητες	潛在	δυνατότητα	V	N;NOM;FEM;PL
潛在	δυναμικό	潛在	δυναμικός	V	N;NOM;NEUT;SG
呼叫	κλήση	呼叫	κλήση	V	N;NOM;FEM;SG
呼叫	κλήση	呼叫	κλήση	V	N;NOM;FEM;SG
呼叫	κάλεσμα	呼叫	κάλεσμα	V	N;NOM;NEUT;SG
出血	αιμορραγία	出血	αιμορραγία	V	N;NOM;FEM;SG
出血	αιμορραγία	出血	αιμορραγία	V	N;NOM;FEM;SG
烤	ψητό	烤	ψητός	V	N;NOM;NEUT;SG
口腔	στοματική	口腔	στοματικός	N	ADJ;NOM;FEM;SG
口腔	προφορική	口腔	προφορικός	N	ADJ;NOM;FEM;SG
港灣	χάρμπορ	港灣	χάρμπορ	PROPN	
港灣	λιμάνι	港灣	λιμάνι	PROPN	N;NOM;NEUT;SG
港灣	harbour	港灣	harbour	PROPN	
牽引	έλξης	牽引	έλξη	V	N;GEN;FEM;SG
牽引	έλξη	牽引	έλξη	V	N;NOM;FEM;SG
滑翔	glide	滑翔	glide	N	
左邊	αριστερά	左邊	αριστερά	N	ADV
左邊	αριστερή	左邊	αριστερής	N	ADJ;NOM;FEM;SG
左邊	αριστερα	左邊	αριστέρα	N	ADV
喵	νιάου	喵	νιάος	PROPN	
絕望	απεγνωσμένη	絕望	απεγνωσμένος	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
絕望	απελπισμένη	絕望	απελπίζω	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
絕望	απελπισμένοι	絕望	απελπίζω	N	ADJ;NOM;MASC;PL
絕望	απελπισμένος	絕望	απελπισμένος	N	ADJ;NOM;MASC;SG
摩納哥	μονακό	摩納哥	μονακός	PROPN	
格言	μαξίμ	格言	μαξίμ	N	
敵對	εχθρότητα	敵對	εχθρότητα	V	N;ACC;FEM;SG
敵對	εχθρικός	敵對	εχθρικός	V	ADJ;NOM;MASC;SG
敵對	εχθρικά	敵對	εχθρικά	V	ADV
敵對	εχθρική	敵對	εχθρικός	V	ADJ;NOM;FEM;SG
敵對	εχθρικό	敵對	εχθρικός	V	ADJ;NOM;NEUT;SG
出處	προέλευση	出處	προέλευση	V	N;ACC;FEM;SG
出處	καταγωγή	出處	καταγωγή	V	N;NOM;FEM;SG
出處	προέλευση	出處	προέλευση	V	N;ACC;FEM;SG
電磁	ηλεκτρομαγνητικό	電磁	ηλεκτρομαγνητικός	N	ADJ;NOM;NEUT;SG
電磁	ηλεκτρομαγνητικά	電磁	ηλεκτρομαγνητικά	N	ADV
電磁	ηλεκτρομαγνητική	電磁	ηλεκτρομαγνητικός	N	ADJ;NOM;FEM;SG
瘋	τρέλα	瘋	τρέλα		N;NOM;FEM;SG
瘋	τρελή	瘋	τρελή		N;NOM;FEM;SG
瘋	τρελός	瘋	τρελός		N;NOM;MASC;SG
瘋	τρελό	瘋	τρελό		N;NOM;NEUT;SG
金子	χρυσός	金子	χρυσός	PROPN	N;NOM;MASC;SG
金子	χρυσό	金子	χρυσός	PROPN	
金子	χρυσο	金子	χρύσος	PROPN	N;NOM;NEUT;SG
金子	χρυσάφι	金子	χρυσάφι	PROPN	N;NOM;NEUT;SG
金子	χρυσά	金子	χρυσάς	PROPN	N;NOM;NEUT;PL
贏	νίκη	贏	νίκη	V	N;ACC;FEM;SG
開除	απόλυση	開除	απόλυση	V	N;ACC;FEM;SG
持久	ανθεκτικό	持久	ανθεκτικός	V	ADJ;NOM;NEUT;SG
持久	ανθεκτική	持久	ανθεκτικός	V	ADJ;NOM;FEM;SG
永久	μονιμότητα	永久	μονιμότητα	ADJ	N;ACC;FEM;SG
捐助	δωρεές	捐助	δωρεός	V	N;NOM;FEM;PL
東正	ορθοδοξία	東正	ορθοδοξία	PROPN	N;NOM;FEM;SG
東正	ορθόδοξη	東正	ορθόδοξος	PROPN	ADJ;NOM;FEM;SG
燕子	κατάπιε	燕子	κατάπιω	PROPN	V;IPFV;IND;SG;3;PST;FIN;ACT
燕子	καταπιεί	燕子	καταπιαίνω	PROPN	V;PFV;NFIN;ACT
燕子	καταπίνει	燕子	καταπίνω	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
燕子	χελιδόνια	燕子	χελιδόνιο	PROPN	N;NOM;NEUT;PL
橢	ελλειπτικό	橢	ελλειπτικό	N	ADJ;NOM;NEUT;SG
追逐	καταδίωξη	追逐	καταδίωξη	V	N;ACC;FEM;SG
追逐	κυνηγητό	追逐	κυνηγητός	V	N;NOM;NEUT;SG
追逐	τσέις	追逐	τσέις	V	
追逐	καταδίωξη	追逐	καταδίωξη	V	N;ACC;FEM;SG
君士坦丁	κόνσταντιν	君士坦丁	κόνσταντιν	PROPN	V;IPFV;IND;SG;3;PST;FIN;PASS
君士坦丁	κωνσταντίνος	君士坦丁	κωνσταντίνος	PROPN	PROPN;NOM;MASC;SG
美式	φούτμπολ	美式	φούτμπολ	N	
美式	football	美式	football	N	
天然	αερίου	天然	αέριο	ADJ	N;GEN;NEUT;SG
天然	αέριο	天然	αέριο	ADJ	N;NOM;NEUT;SG
天然	αέρια	天然	αέριος	ADJ	N;NOM;NEUT;PL
天然	βενζίνη	天然	βενζίνη	ADJ	N;NOM;FEM;SG
天然	γκάζι	天然	γκάζι	ADJ	PROPN;NOM;NEUT;SG
方塊	τετράγωνα	方塊	τετράγωνος	N	ADV
均衡	ισόρροπη	均衡	ισόρροπος	N	ADJ;NOM;FEM;SG
均衡	ισορροπημένο	均衡	ισορροπημένος	N	ADJ;NOM;NEUT;SG
均衡	ισορροπημένη	均衡	ισορροπημένος	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
均衡	υπόλοιπο	均衡	υπόλοιπος	N	ADJ;NOM;NEUT;SG
掃	σαρωτικές	掃	σαρωτικός		ADJ;NOM;FEM;PL
藏	θιβετιανή	藏	θιβετιανός	PROPN	ADJ;NOM;FEM;SG
藏	θιβέτ	藏	θιβέτ	PROPN	
色素	χρωστική	色素	χρωστικός	N	ADJ;NOM;FEM;SG
保管	κηδεμονία	保管	κηδεμονία	V	N;ACC;FEM;SG
保管	επιμέλεια	保管	επιμέλεια	V	N;NOM;FEM;SG
粗糙	τραχύ	粗糙	τραχύς	N	ADJ;NOM;NEUT;SG
粗糙	τραχύ	粗糙	τραχύς	N	ADJ;NOM;NEUT;SG
激情	παθιασμένο	激情	παθιάζω	N	ADJ;NOM;NEUT;SG
激情	παθιασμένος	激情	παθιασμένος	N	ADJ;NOM;MASC;SG
激情	παθιασμένη	激情	παθιάζω	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
珍貴	πολύτιμος	珍貴	πολύτιμος	N	ADJ;NOM;MASC;SG
珍貴	πολύτιμο	珍貴	πολύτιμο	N	ADJ;NOM;NEUT;SG
珍貴	πολύτιμη	珍貴	πολύτιμος	N	ADJ;NOM;FEM;SG
珍貴	πολύτιμοι	珍貴	πολύτιμος	N	ADJ;NOM;MASC;PL
珍貴	πολύτιμα	珍貴	πολύτιμα	N	ADV
嚴厲	σκληρό	嚴厲	σκληρός	N	ADJ;NOM;NEUT;SG
嚴厲	σκληρή	嚴厲	σκληρός	N	ADJ;NOM;FEM;SG
通航	πλωτούς	通航	πλωτός	V	N
轎車	σεντάν	轎車	σεντάν	N	
俄亥俄	οχάιο	俄亥俄	οχάιο	PROPN	
獅子	λέο	獅子	λέος	N	
獅子	λίο	獅子	λίο	N	
獅子	leo	獅子	leo	N	
夔	κούι	夔	κούι	PROPN	N
約瑟	ιωσήφ	約瑟	ιωσήφ	PROPN	N;MASC;SG
約瑟	joseph	約瑟	joseph	PROPN	
約瑟	τζόσεφ	約瑟	τζόσεφ	PROPN	
約瑟	τζόζεφ	約瑟	τζόζεφ	PROPN	PROPN;NOM;MASC;SG
約旦	ιορδανία	約旦	ιορδανία	PROPN	PROPN;ACC;FEM;SG
約旦	τζόρνταν	約旦	τζόρω	PROPN	V;IPFV;IND;PL;3;PST;FIN;PASS
約旦	jordan	約旦	jordan	PROPN	
性	σεξ	性	σεξ	N	
性	sex	性	sex	N	
昨天	χθες	昨天	χθες	N	ADV
昨天	εχθές	昨天	εχθός	N	ADV
昨天	χτες	昨天	χτε	N	ADV
昨天	χθές	昨天	χθές	N	ADV
應對	αντιμετώπισης	應對	αντιμετώπιση	V	N;GEN;FEM;SG
生殖	αναπαραγωγική	生殖	αναπαραγωγικός	N	ADJ;NOM;FEM;SG
十	ten	十	ten	NUM	
交配	ταίρι	交配	ταίρι	V	N;NOM;NEUT;SG
交配	ζευγαρώματος	交配	ζεύγαρωμα	V	N;GEN;NEUT;SG
交配	ζευγάρωμα	交配	ζευγάρωμα	V	N;NOM;NEUT;SG
冰球	χόκεϊ	冰球	χόκεϊ	N	
投射	προβολή	投射	προβολή	V	N;NOM;FEM;SG
漢	σεούλ	漢	σεούλ	PROPN	PROPN;NOM;FEM;SG
酸性	οξυ	酸性	οξυ	N	
多明尼加	δομινικανή	多明尼加	δομινικανός	PROPN	PROPN;NOM;FEM;SG
猴子	πίθηκος	猴子	πίθηκος	N	ADJ;NOM;MASC;SG
抬	ανύψωση	抬	ανύψωση	ADP	N;ACC;FEM;SG
抬	ασανσέρ	抬	ασανσέρ	ADP	N;NOM;NEUT;SG
抬	ανελκυστήρας	抬	ανελκυστήρας	ADP	N;NOM;MASC;SG
可	αξιόπιστο	可	αξιόπιστος	V	ADJ;NOM;NEUT;SG
可	αξιόπιστη	可	αξιόπιστος	V	ADJ;NOM;FEM;SG
歐文	όουεν	歐文	όουεν	PROPN	
歐文	owen	歐文	owen	PROPN	
歐文	ίρβινγκ	歐文	ίρβινγκ	PROPN	
俄	ρωσική	俄	ρωσικός	PROPN	ADJ;NOM;FEM;SG
俄	ρώσικα	俄	ρώσικα	PROPN	ADV
俄	ρωσικά	俄	ρωσικός	PROPN	ADV
俄	ρώσος	俄	ρώσος	PROPN	PROPN;NOM;MASC;SG
揭示	αποκαλυπτικό	揭示	αποκαλυπτικός	V	ADJ;NOM;NEUT;SG
揭示	αποκάλυψη	揭示	αποκάλυψη	V	N;ACC;FEM;SG
反駁	αντίκρουση	反駁	αντίκρουση	V	N;ACC;FEM;SG
妄想	παρανοϊκή	妄想	παρανοϊκός	N	ADJ;NOM;FEM;SG
妄想	παρανοϊκός	妄想	παρανοϊκός	N	ADJ;NOM;MASC;SG
成年	ενήλικο	成年	ενήλικος	V	ADJ;NOM;NEUT;SG
成年	ενήλικας	成年	ενήλικα	V	ADJ;NOM;MASC;SG
成年	ενήλικα	成年	ενήλικος	V	ADV
成年	ενήλικος	成年	ενήλικος	V	ADJ;NOM;MASC;SG
成年	ενήλικες	成年	ενήλικος	V	ADJ;NOM;FEM;PL
成年	ενηλίκων	成年	ενήλικος	V	N;GEN;NEUT;PL
成年	ενηλίκων	成年	ενήλικος	V	N;GEN;NEUT;PL
成年	ενήλικοι	成年	ενήλικος	V	ADJ;NOM;MASC;PL
成年	ενήλικες	成年	ενήλικος	V	ADJ;NOM;FEM;PL
冬青	χόλυ	冬青	χόλυ	PROPN	N
冬青	χόλι	冬青	χόλι	PROPN	
冬青	holly	冬青	holly	PROPN	
空前	πρωτοφανές	空前	πρωτοφανός	N	ADJ;NOM;NEUT;SG
明智	σοφό	明智	σοφός	N	ADJ;NOM;NEUT;SG
明智	σοφή	明智	σοφή	N	ADJ;NOM;FEM;SG
抽籤	κλήρωση	抽籤	κλήρωση	V	N;NOM;FEM;SG
抽籤	σχεδίαση	抽籤	σχεδίαση	V	N;ACC;FEM;SG
抽籤	ισοπαλία	抽籤	ισοπαλία	V	N;ACC;FEM;SG
聖人	άγιοι	聖人	άγιος	N	ADJ;NOM;MASC;PL
聖人	αγία	聖人	αγία	N	PROPN;NOM;FEM;SG
聖人	αγιος	聖人	αγιος	N	DET;NOM;DEF;MASC;SG
聖人	άγιος	聖人	άγιος	N	ADJ;NOM;MASC;SG
阿瑟	arthur	阿瑟	arthur	PROPN	
阿瑟	άρθουρ	阿瑟	άρθουρ	PROPN	PROPN;NOM;MASC;SG
捕獲	σύλληψη	捕獲	σύλληψη	V	N;ACC;FEM;SG
捕獲	αιχμαλωσία	捕獲	αιχμαλωσία	V	N;NOM;FEM;SG
布魯塞爾	βρυξέλλες	布魯塞爾	βρυξέλλες	PROPN	PROPN;NOM;FEM;PL
布魯塞爾	βρυξελλών	布魯塞爾	βρύξελλος	PROPN	N;GEN;MASC;PL
失業	ανέργων	失業	άνεργος	V	N;GEN;MASC;PL
失業	άνεργοι	失業	άνεργος	V	N;NOM;MASC;PL
失業	άνεργος	失業	άνεργος	V	N;NOM;MASC;SG
失業	άνεργη	失業	άνεργος	V	N;VOC;FEM;SG
失業	ανεργία	失業	ανεργία	V	N;NOM;FEM;SG
失業	ανεργίας	失業	ανεργία	V	N;GEN;FEM;SG
砷	αρσενικό	砷	αρσενικός	N	ADJ;NOM;NEUT;SG
昂貴	ακριβά	昂貴	ακριβά	N	ADV
昂貴	ακριβή	昂貴	ακριβός	N	ADV
昂貴	ακριβό	昂貴	ακριβός	N	ADJ;NOM;NEUT;SG
大	κάνναβη	大	κάνναβη	PART	N;NOM;FEM;SG
大	μαριχουάνα	大	μαριχουάνα	PART	N;NOM;FEM;SG
大	φούντα	大	φούντα	PART	PROPN;NOM;FEM;SG
大	χόρτο	大	χόρτος	PART	N;NOM;NEUT;SG
可	ύποπτο	可	ύποπτος	V	ADJ;NOM;NEUT;SG
可	καχύποπτος	可	καχύποπτος	V	ADJ;NOM;MASC;SG
小丑	τζόκερ	小丑	τζόκερ	N	
抗	αντιβιοτικά	抗	αντιβιοτικά	V	ADV
抗	αντιβιοτικό	抗	αντιβιοτικός	V	ADJ;NOM;NEUT;SG
抗	αντιβιοτικό	抗	αντιβιοτικός	V	ADJ;NOM;NEUT;SG
專營	franchises	專營	franchises	V	
專營	franchise	專營	franchise	V	
關島	γκουάμ	關島	γκουάμ	N	
自轉	περιστροφή	自轉	περιστροφή	V	N;NOM;FEM;SG
大通	κυνηγητό	大通	κυνηγητός	PROPN	N;NOM;NEUT;SG
大通	τσέις	大通	τσέις	PROPN	
大通	καταδίωξη	大通	καταδίωξη	PROPN	N;ACC;FEM;SG
破碎	σπασμένη	破碎	σπάζω	N	ADJ;NOM;FEM;SG
破碎	σπασμένα	破碎	σπάζω	N	ADJ;NOM;NEUT;PL
破碎	σπασμένο	破碎	σπάζω	N	ADJ;NOM;NEUT;SG
破碎	σπασμένος	破碎	σπασμένος	N	ADJ;NOM;MASC;SG
老年	μεγαλύτερος	老年	μεγάλος	N	ADJ;NOM;CMPR;MASC;SG
老年	μεγαλύτερη	老年	μεγάλος	N	ADJ;NOM;CMPR;FEM;SG
老年	μεγαλύτερο	老年	μεγάλος	N	ADJ;NOM;CMPR;NEUT;SG
老年	παλαιότερη	老年	παλιός	N	ADJ;NOM;CMPR;FEM;SG
隔離	καραντίνα	隔離	καραντίνα	N	ADV
隔離	απομονωμένος	隔離	απομονωμένος	N	V;PFV;NOM;MASC;SG;V.PTCP;PASS
隔離	απομονωμένο	隔離	απομονωμένος	N	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
隔離	απομονωμένα	隔離	απομονωμένος	N	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
隔離	απομονωμένη	隔離	απομονωμένος	N	V;PFV;NOM;FEM;SG;V.PTCP;PASS
砸	σπάσιμο	砸	σπάσιμο	ADP	N;NOM;NEUT;SG
生病	άρρωστος	生病	άρρωστος	V	ADJ;NOM;MASC;SG
生病	άρρωστος	生病	άρρωστος	V	ADJ;NOM;MASC;SG
生病	άρρωστοι	生病	άρρωστος	V	ADJ;NOM;MASC;PL
生病	άρρωστη	生病	άρρωστος	V	ADJ;NOM;FEM;SG
生病	άρρωστο	生病	άρρωστος	V	ADJ;NOM;NEUT;SG
證書	πιστοποιητικά	證書	πιστοποιητικά	N	ADV
濟南	τζινάν	濟南	τζινάν	PROPN	
山脊	ριτζ	山脊	ριτζ	N	
日產	nissan	日產	nissan	N	
拳擊	μποξ	拳擊	μποξ	N	
探險	εξερευνητής	探險	εξερευνητής	V	N;NOM;MASC;SG
探險	εξερευνητές	探險	εξερευνητής	V	N;NOM;MASC;PL
拖延	καθυστέρηση	拖延	καθυστέρηση	V	N;ACC;FEM;SG
拖延	καθυστερήσεις	拖延	καθυστέρηση	V	N;NOM;FEM;PL
拖延	καθυστέρηση	拖延	καθυστέρηση	V	N;ACC;FEM;SG
拖延	αναβλητικότητα	拖延	αναβλητικότητα	V	N;ACC;FEM;SG
伴隨	συνοδευτικά	伴隨	συνοδευτικά	V	ADV
伴隨	συνοδευτικό	伴隨	συνοδευτικός	V	ADJ;NOM;NEUT;SG
安息	rip	安息	rip	PROPN	
煩惱	ενοχλημένος	煩惱	ενοχλημένος	N	V;PFV;NOM;MASC;SG;V.PTCP;PASS
鮑威爾	πάουελ	鮑威爾	πάουελ	PROPN	PROPN;NOM;MASC;SG
混合	μίγμα	混合	μίγμα	V	N;NOM;NEUT;SG
混合	μείγμα	混合	μείγμα	V	N;NOM;NEUT;SG
混合	μείγματα	混合	μέγμα	V	N;NOM;NEUT;PL
先例	προηγούμενο	先例	προηγούμενος	N	ADJ;NOM;NEUT;SG
脆	εύθραυστα	脆	εύθραυστα	N	ADV
脆	εύθραυστη	脆	εύθραυστος	N	ADJ;NOM;FEM;SG
脆	εύθραυστο	脆	εύθραυστος	N	ADJ;NOM;NEUT;SG
脆	ευάλωτη	脆	ευάλωτος	N	ADJ;NOM;FEM;SG
脆	ευάλωτα	脆	ευάλωτα	N	ADJ;NOM;NEUT;PL
脆	ευάλωτος	脆	ευάλωτος	N	ADJ;NOM;MASC;SG
脆	ευάλωτοι	脆	ευάλωτος	N	ADJ;NOM;MASC;PL
脆	ευάλωτες	脆	ευάλωτος	N	ADJ;NOM;FEM;PL
定制	συνήθεια	定制	συνήθεια	V	N;NOM;FEM;SG
定制	έθιμο	定制	έθιμο	V	N;NOM;NEUT;SG
定制	έθιμα	定制	έθιμα	V	N;NOM;NEUT;PL
莽	μανγκ	莽	μανγκ	PROPN	N
協和	ομόνοια	協和	ομόνοια	PROPN	N;NOM;FEM;SG
亞馬遜	αμαζόνιο	亞馬遜	αμαζόνιο	PROPN	N;NOM;NEUT;SG
休假	φύγε	休假	φύγω	V	PRO;NOM;MASC;SG;1
海牙	χάγης	海牙	χάγη	PROPN	N;GEN;FEM;SG
海牙	χάγη	海牙	χάγη	PROPN	PROPN;ACC;FEM;SG
領導	ηγέτης	領導	ηγέτης	V	N;NOM;MASC;SG
領導	leader	領導	leader	V	
領導	αρχηγός	領導	αρχηγός	V	N;NOM;MASC;SG
領導	αρχηγοί	領導	αρχηγός	V	N;NOM;MASC;PL
領導	ηγέτες	領導	ηγέτης	V	N;NOM;MASC;PL
言	λογια	言	λογιο	V	N;NOM;NEUT;PL
言	λόγια	言	λόγος	V	N;NOM;NEUT;PL
言	λέξεις	言	λέξη	V	N;NOM;FEM;PL
拆解	διάλυση	拆解	διάλυση	V	N;NOM;FEM;SG
容忍	ανεκτικότητα	容忍	ανεκτικότητα	V	N;ACC;FEM;SG
容忍	ανοχή	容忍	ανοχή	V	N;ACC;FEM;SG
容忍	ανεκτό	容忍	ανεκτός	V	ADJ;NOM;NEUT;SG
容忍	ανεκτή	容忍	ανεκτός	V	ADJ;NOM;FEM;SG
四	κουαρτέτο	四	κουάρτητος	NUM	N;NOM;NEUT;SG
偏好	προτιμούσε	偏好	προτιμώ	N	V;IPFV;IND;SG;3;PST;FIN;ACT
糖果	κάντυ	糖果	κάντυ	N	PROPN;NOM;FEM;SG
山寨	εξοχικό	山寨	εξοχικός	N	ADJ;NOM;NEUT;SG
利潤	κέρδος	利潤	κέρδος		N;NOM;NEUT;SG
利潤	κέρδη	利潤	κέρδος		N;NOM;NEUT;PL
利潤	αποδοτικότητα	利潤	αποδοτικότητα		N;ACC;FEM;SG
利潤	κερδοφορία	利潤	κερδοφορία		N;ACC;FEM;SG
利潤	κέρδη	利潤	κέρδος		N;NOM;NEUT;PL
弊	κατάδικους	弊	κατάδικος	V	ADJ;ACC;MASC;PL
弊	κατάδικοι	弊	κατάδικος	V	ADJ;NOM;MASC;PL
切換	εναλλαγή	切換	εναλλαγή	V	N;NOM;FEM;SG
切換	διακόπτης	切換	διακόπτης	V	N;NOM;MASC;SG
切換	διακόπτη	切換	διακόπτης	V	N;NOM;NEUT;SG
切換	εναλλαγή	切換	εναλλαγή	V	N;NOM;FEM;SG
奔	τρέξιμο	奔	τρέξιμο	V	N;NOM;NEUT;SG
震驚	συγκλονιστικό	震驚	συγκλονιστικός	N	ADJ;NOM;NEUT;SG
震驚	συγκλονιστική	震驚	συγκλονιστικός	N	ADJ;NOM;FEM;SG
震驚	σοκαρισμένος	震驚	σοκαρισμένος	N	ADJ;NOM;MASC;SG
協作	συνεργαστείτε	協作	συνεργάζομαι	N	V;IPFV;IND;PL;2;PRS;FIN;ACT
郵件	mail	郵件	mail	N	
無視	αδιαφορία	無視	αδιαφορία	V	N;ACC;FEM;SG
代理	παράγοντες	代理	παράγοντας	V	N;NOM;MASC;PL
代理	πράκτορες	代理	πράκτορας	V	N;NOM;MASC;PL
代理	πληρεξούσιος	代理	πληρεξούσιος	V	ADJ;NOM;MASC;SG
代理	διαμεσολαβητή	代理	διαμεσολαβητής	V	N;VOC;MASC;SG
代理	πράκτορας	代理	πράκτορας	V	N;NOM;MASC;SG
代理	πράκτορα	代理	πράκτορα	V	N;ACC;MASC;SG
呂宋	λουζόν	呂宋	λουζόν	PROPN	
美味	γευστικό	美味	γευστικός	N	ADJ;NOM;NEUT;SG
美味	νόστιμο	美味	νόστιμο	N	ADJ;NOM;NEUT;SG
美味	νόστιμα	美味	νόστιμα	N	ADJ;NOM;NEUT;PL
美味	νόστιμη	美味	νόστιμος	N	ADJ;NOM;FEM;SG
美味	νόστιμο	美味	νόστιμο	N	ADJ;NOM;NEUT;SG
美味	νόστιμα	美味	νόστιμα	N	ADJ;NOM;NEUT;PL
美味	νόστιμο	美味	νόστιμο	N	ADJ;NOM;NEUT;SG
美味	νόστιμα	美味	νόστιμα	N	ADJ;NOM;NEUT;PL
熔	λιώσει	熔	λιώνω	N	V;PFV;NFIN;ACT
蜜蜂	μπι	蜜蜂	μπι	N	
吸入	εισπνοή	吸入	εισπνοή	V	N;NOM;FEM;SG
吸入	εισπνοή	吸入	εισπνοή	V	N;NOM;FEM;SG
安第斯	άνδεις	安第斯	άντης	PROPN	N;NOM;FEM;PL
茉莉	μόλυ	茉莉	μόλυ	PROPN	ADV
茉莉	molly	茉莉	molly	PROPN	
茉莉	μόλι	茉莉	μόλι	PROPN	
茉莉	μόλλυ	茉莉	μόλλ	PROPN	ADV
包機	ναύλωσε	包機	ναύλω	N	V;PFV;IND;SG;3;PST;FIN;ACT
注意	προσοχή	注意	προσοχή	V	N;NOM;FEM;SG
注意	προσοχη	注意	προσόχος	V	
狐狸	φοξ	狐狸	φοξ	N	
狐狸	fox	狐狸	fox	N	
站立	όρθια	站立	όρθιο	V	ADV
站立	όρθιος	站立	όρθιος	V	ADJ;NOM;MASC;SG
站立	όρθιοι	站立	όρθιος	V	ADJ;NOM;MASC;PL
站立	stand	站立	stand	V	
鼓吹	συνήγορος	鼓吹	συνήγορος	V	N;NOM;MASC;SG
吞噬	καταβροχθίζει	吞噬	καταβροχθίζω	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
印度	ινδοκίνα	印度	ινδοκίνα	PROPN	N;NOM;FEM;SG
同化	αφομοίωση	同化	αφομοίωση	V	N;ACC;FEM;SG
對峙	αντιπαράθεση	對峙	αντιπαράθεση	V	N;ACC;FEM;SG
常年	πολυετείς	常年	πολύετης	N	ADJ;NOM;MASC;PL
鍋	ποτ	鍋	ποτ	N	
孵化	επώαση	孵化	επώαση	V	N;NOM;FEM;SG
孵化	επώασης	孵化	επώαση	V	N;GEN;FEM;SG
孵化	επώασης	孵化	επώαση	V	N;GEN;FEM;SG
孵化	καταπακτή	孵化	καταπακτός	V	N;NOM;FEM;SG
孵化	χατς	孵化	χατός	V	
忠誠	πιστοί	忠誠	πιστός	N	ADJ;NOM;MASC;PL
忠誠	πιστός	忠誠	πιστός	N	ADJ;NOM;MASC;SG
忠誠	πιστό	忠誠	πιστός	N	ADJ;NOM;NEUT;SG
忠誠	πιστή	忠誠	πιστός	N	ADJ;NOM;FEM;SG
忠誠	πιστοί	忠誠	πιστός	N	ADJ;NOM;MASC;PL
忠誠	πιστός	忠誠	πιστός	N	ADJ;NOM;MASC;SG
忠誠	πιστό	忠誠	πιστός	N	ADJ;NOM;NEUT;SG
忠誠	πιστή	忠誠	πιστός	N	ADJ;NOM;FEM;SG
休士頓	χιούστον	休士頓	χιούστος	PROPN	
供電	ηλεκτρισμού	供電	ηλεκτρισμός	V	N;GEN;MASC;SG
供電	ηλεκτρισμός	供電	ηλεκτρισμός	V	N;NOM;MASC;SG
四	άκρα	四	άκρα	NUM	N;NOM;NEUT;PL
莎莉	σάλι	莎莉	σάλι	PROPN	N;NOM;FEM;SG
莎莉	σάλλυ	莎莉	σάλλυ	PROPN	N
視	windows	視	windows	V	
視	παραθύρων	視	παράθυρος	V	N;GEN;NEUT;PL
視	παράθυρα	視	παράθυρα	V	N;NOM;NEUT;PL
視	παράθυρο	視	παράθυρος	V	N;NOM;NEUT;SG
抗	αντιγόνο	抗	αντιγόνο	V	N;NOM;NEUT;SG
抗	αντιγόνα	抗	αντιγόνο	V	N;NOM;NEUT;PL
多哈	ντόχα	多哈	ντόχα	PROPN	
守護	κηδεμόνας	守護	κηδεμόνας	V	N;NOM;MASC;SG
守護	φύλακας	守護	φύλακα	V	N;NOM;MASC;SG
守護	φύλακα	守護	φύλακα	V	N;ACC;MASC;SG
守護	φύλακες	守護	φύλακας	V	N;NOM;MASC;PL
經紀	μεσίτης	經紀	μεσίτης	N	NUM;NOM;MASC;SG
仇恨	μισώ	仇恨	μισώ	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
琵琶	pipa	琵琶	pipa	PROPN	
不	παράτυπο	不	παράτυπο	ADV;NEG	N;SG
菩提	μπόντι	菩提	μπόντι	N	
穩定	σταθερότητας	穩定	σταθερότητα	ADJ	N;GEN;FEM;SG
穩定	σταθερότητα	穩定	σταθερότητα	ADJ	N;ACC;FEM;SG
世襲	κληρονομικό	世襲	κληρονομικός	N	ADJ;NOM;NEUT;SG
世襲	κληρονομική	世襲	κληρονομικός	N	ADJ;NOM;FEM;SG
櫻桃	κεράσι	櫻桃	κεράσι	PROPN	N;NOM;NEUT;SG
櫻桃	τσέρι	櫻桃	τσέρι	PROPN	
櫻桃	κεράσια	櫻桃	κεράσιος	PROPN	N;NOM;NEUT;PL
哀悼	συλλυπητήρια	哀悼	συλλυπητήρια	V	ADV
哀悼	πένθος	哀悼	πένθος	V	N;NOM;NEUT;SG
加重	επιβαρυντικές	加重	επιβαρυντικός	V	ADJ;NOM;FEM;PL
大	μεγιστάνας	大	μεγιστάνας	ADJ	N;NOM;MASC;SG
大	μεγιστάνας	大	μεγιστάνας	ADJ	N;NOM;MASC;SG
安慰	άνεση	安慰	άνεση	V	N;ACC;FEM;SG
安慰	παρηγοριά	安慰	παρηγοριά	V	N;NOM;FEM;SG
空手	καράτε	空手	καράτ	N	
