間	przerwa	間	przerwa	N	
銀色	srebro	銀色	srebro	N	
銀色	srebrny	銀色	srebrny	N	
銀色	srebra	銀色	srebro	N	
銀色	srebrna	銀色	srebrny	N	
銀色	silver	銀色	silver	N	
小牛	cielę	小牛	ciela	PROPN	V;IPFV;IND;SG;1;PRS;FIN;ACT
訪談	wywiad	訪談	wywiad	V	N;NOM;MASC;SG
訪談	wywiady	訪談	wywiad	V	N;NOM;MASC;PL
訪談	przesłuchanie	訪談	przesłuchanie	V	N;NOM;NEUT;SG
訪談	rozmowa	訪談	rozmowa	V	N;NOM;FEM;SG
訪談	przesłuchania	訪談	przesłuchanie	V	N;NOM;NEUT;SG
訪談	wywiady	訪談	wywiad	V	N;NOM;MASC;PL
口味	smakuje	口味	smakować	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
揚州	yangzhou	揚州	yangzou	PROPN	N;NOM;MASC;SG
就	inauguracji	就	inauguracja	ADV	N;GEN;FEM;SG
噴發	erupcja	噴發	erupcja	V	N;NOM;FEM;SG
噴發	erupcje	噴發	erupcja	V	N;NOM;FEM;PL
饒	rao	饒	rao	V	PROPN;NOM;MASC;SG
失誤	pomyłki	失誤	pomyłka	N	
溶解	rozpuszczenie	溶解	rozpuszczyć	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
溶解	rozpuszczonego	溶解	rozpuszczyć	V	ADJ;ACC;MASC;SG
主觀	subiektywne	主觀	subiektywny	N	ADJ;NOM;NEUT;SG
天平	łuski	天平	łuski	N	
天平	skale	天平	skała	N	
反感	niechęć	反感	niechęć	V	N;NOM;FEM;SG
反感	zniesmaczony	反感	znieśmaczyć	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
李	plum	李	plum	PROPN	
李	śliwki	李	śliwka	PROPN	
腸	jelito	腸	jelito	N	
腸	jelita	腸	jelita	N	
腸	jelit	腸	jelit	N	
腸	jelito	腸	jelito	N	
腸	jelita	腸	jelita	N	
腸	jelit	腸	jelit	N	
腸	jelita	腸	jelita	N	
鹼	alkalicznych	鹼	alkaliczny	N	ADJ;GEN;MASC;PL
秋山	akiyama	秋山	akiyama	PROPN	
液晶	lcd	液晶	lecdyć	N	
福爾摩斯	holmes	福爾摩斯	holmes	PROPN	
福爾摩斯	holmesa	福爾摩斯	holmes	PROPN	
野心	ambitne	野心	ambitny	N	ADJ;NOM;NEUT;SG
野心	ambitna	野心	ambitny	N	ADJ;NOM;FEM;SG
野心	ambitny	野心	ambitny	N	ADJ;NOM;MASC;SG
別墅	villa	別墅	vill	N	
幅度	przedziały	幅度	przedział	N	V;PFV;MASC;IND;PL;PST;FIN;ACT
印地安	indian	印地安	indian	PROPN	
印地安	indianie	印地安	indiana	PROPN	N;NOM;MASC;PL
籠	cage	籠	caga	N	
顯示	wyświetlacz	顯示	wyświetlacz	V	N;NOM;MASC;SG
顯示	wyświetlanie	顯示	wyświetlać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
顯示	wyświetlania	顯示	wyświetlanie	V	N;IPFV;GEN;NEUT;SG;POS;V.MSDR
顯示	monitory	顯示	monitor	V	N;NOM;MASC;PL
有害	szkodliwego	有害	szkodliwy	N	ADJ;ACC;MASC;SG
有害	szkodliwy	有害	szkodliwy	N	ADJ;NOM;MASC;SG
有害	szkodliwych	有害	szkodliwy	N	ADJ;GEN;MASC;PL
有害	szkodliwe	有害	szkodliwy	N	ADJ;NOM;NEUT;SG
銀河	galaktyce	銀河	galaktyka	PROPN	N;DAT;FEM;SG
銀河	galaktyki	銀河	galaktyk	PROPN	N;ACC;FEM;PL
銀河	galaktyka	銀河	galaktyka	PROPN	N;NOM;FEM;SG
銀河	galaxy	銀河	galar	PROPN	N;ACC;MASC;SG
罰款	grzywien	罰款	grzywien	N	
罰款	grzywny	罰款	grzywny	N	
葡萄	glukozy	葡萄	glukoza	N	
鋰	lit	鋰	lit	N	
鋰	litu	鋰	lit	N	V;IPFV;IND;SG;PRS;FIN;ACT
劍橋	cambridge	劍橋	cambridge	PROPN	
詛咒	przekleństwo	詛咒	przekleństwo	V	N;NOM;NEUT;SG
詛咒	klątwę	詛咒	klątwa	V	N;ACC;FEM;SG
詛咒	klątwa	詛咒	klątwa	V	
達拉斯	dallas	達拉斯	dallas	PROPN	PROPN;NOM;MASC;SG
草莓	truskawki	草莓	truskawka	V	N;ACC;FEM;PL
草莓	truskawki	草莓	truskawka	V	N;ACC;FEM;PL
草莓	truskawek	草莓	truskawka	V	N;GEN;FEM;PL
補償	rekompensata	補償	rekompensata	N	
教父	chrzestnym	教父	chrzestny	N	ADJ;INS;MASC;SG
蝙	batman	蝙	batman	N	
肽	peptydu	肽	peptyd	N	
廁	toalety	廁	toaleta	V	N;GEN;FEM;SG
廁	toaleta	廁	toaleta	V	N;NOM;FEM;SG
廁	wc	廁	wc	V	
廁	łazience	廁	łazienka	V	N;DAT;FEM;SG
廁	łazienka	廁	łazienka	V	N;NOM;FEM;SG
廁	łazienki	廁	łazienka	V	N;ACC;FEM;PL
葉子	li	葉子	lić	N	PROPN;NOM;MASC;SG
葉子	liście	葉子	liść	N	
葉子	li	葉子	lić	N	PROPN;NOM;MASC;SG
葉子	liść	葉子	liść	N	
葉子	yoko	葉子	yoko	N	
激進	radykalne	激進	radykalny	N	ADJ;NOM;NEUT;SG
激進	radykalnie	激進	radykalnie	N	ADV
有罪	winne	有罪	winny	V	ADJ;NOM;NEUT;SG
有罪	winny	有罪	winny	V	
樣式	style	樣式	style	N	
樣式	style	樣式	style	N	
遷徙	migracja	遷徙	migracja	V	N;NOM;FEM;SG
遷徙	migracji	遷徙	migracja	V	N;GEN;FEM;SG
遷徙	migracje	遷徙	migracja	V	N;NOM;FEM;PL
交響	symphony	交響	symphon	N	
抄襲	plagiat	抄襲	plagiat	V	
海倫	helena	海倫	helen	PROPN	PROPN;NOM;FEM;SG
海倫	helen	海倫	helen	PROPN	PROPN;NOM;FEM;SG
螢	ying	螢	ying	N	PROPN;NOM;MASC;SG
讀音	wymowa	讀音	wymować	N	
多瑙	dunaju	多瑙	dunaj	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
阿爾及利亞	algierii	阿爾及利亞	algieria	PROPN	PROPN;GEN;FEM;SG
阿爾及利亞	algieria	阿爾及利亞	algieria	PROPN	
騷擾	nękanie	騷擾	nękać	V	N;NOM;NEUT;SG
騷擾	prześladowanie	騷擾	prześladowanie	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
騷擾	molestowanie	騷擾	molestować	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
攝影	kamery	攝影	kamera	V	N;ACC;FEM;PL
攝影	aparatu	攝影	aparat	V	N;GEN;MASC;SG
攝影	kamera	攝影	kamera	V	N;NOM;FEM;SG
攝影	aparat	攝影	aparat	V	N;NOM;MASC;SG
拜	zwiedzanie	拜	zwiedzać	PROPN	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
拜	odwiedziny	拜	odwiedzina	PROPN	N;NOM;FEM;SG
拜	odwiedza	拜	odwiedzać	PROPN	V;IPFV;IND;SG;3;PRS;FIN;ACT
法老	faraona	法老	faraon	N	
微小	maleńki	微小	maleńka	ADJ	
微小	tiny	微小	tin	ADJ	
出版	wydawnictwo	出版	wydawnictwo	V	N;NOM;NEUT;SG
出版	wydawca	出版	wydawca	V	N;NOM;MASC;SG
出版	wydawcy	出版	wydawca	V	N;NOM;MASC;SG
出版	wydawcy	出版	wydawca	V	N;NOM;MASC;SG
出版	wydawnictwa	出版	wydawnictwo	V	N;NOM;NEUT;SG
出版	wydawców	出版	wydawca	V	N;ACC;MASC;PL
精美	znakomita	精美	znakomity	ADJ	
溫和	delikatnie	溫和	delikatnie	ADJ	ADV
溫和	umiarkowanie	溫和	umiarkowanie	ADJ	ADV
溫和	umiar	溫和	umiara	ADJ	
溫和	umiarkowanie	溫和	umiarkowanie	ADJ	ADV
溫和	łagodne	溫和	łagodny	ADJ	
公升	litra	公升	litra	V	
公升	litr	公升	litr	V	N;ACC;MASC;SG
公升	litry	公升	litra	V	
公升	litrów	公升	litr	V	N;GEN;MASC;PL
公升	litra	公升	litra	V	
公升	litr	公升	litr	V	N;ACC;MASC;SG
公升	litry	公升	litra	V	
公升	litrów	公升	litr	V	N;GEN;MASC;PL
相對	relatywizm	相對	relatywizm	ADJ	N;NOM;MASC;SG
相對	względności	相對	względność	ADJ	N;GEN;FEM;SG
對	naprzeciw	對	naprzeciw	ADP	
對	przeciwieństwo	對	przeciwieństwo	ADP	N;NOM;NEUT;SG
對	naprzeciwko	對	naprzeciwko	ADP	
香料	spice	香料	spica	N	
悼念	hołd	悼念	hołd	V	N;NOM;MASC;SG
悼念	żałobę	悼念	żałoba	V	N;ACC;FEM;SG
悼念	żało	悼念	żać	V	N;GEN;FEM;SG
悼念	żałobie	悼念	żałoby	V	N;DAT;FEM;SG
辣椒	chilli	辣椒	chillić	N	
辣椒	chili	辣椒	chilić	N	
辣椒	pieprz	辣椒	pieprz	N	
辣椒	pepper	辣椒	pepper	N	
賭場	kasyn	賭場	kasyn	N	
賭場	kasyna	賭場	kasyna	N	
賭場	kasynie	賭場	kasyn	N	V;PFV;IND;SG;3;FIN;ACT
賭場	kasyna	賭場	kasyna	N	
賭場	casino	賭場	casino	N	
悲劇	tragiczne	悲劇	tragiczny	N	ADJ;NOM;NEUT;SG
悲劇	tragiczna	悲劇	tragiczny	N	ADJ;NOM;FEM;SG
悲劇	tragiczny	悲劇	tragiczny	N	ADJ;NOM;MASC;SG
鎖定	zamek	鎖定	zamek	V	
鎖定	zamknięty	鎖定	zamknięty	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
鎖定	zamknięte	鎖定	zamknąć	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
鎖定	zablokowane	鎖定	zablokować	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
租金	dzierżawa	租金	dzierżawać	N	
喀麥隆	kamerun	喀麥隆	kamerun	PROPN	PROPN;NOM;MASC;SG
誤解	nieporozumienie	誤解	nieporozumienie	V	N;NOM;NEUT;SG
誤解	nieporozumienia	誤解	nieporozumienie	V	N;NOM;NEUT;SG
誤解	nieporozumień	誤解	nieporozumienie	V	N;GEN;NEUT;PL
誤解	nieporozumienia	誤解	nieporozumienie	V	N;NOM;NEUT;SG
彎曲	zakrzywione	彎曲	zakrzywić	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
彎曲	bend	彎曲	bend	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
溫暖	ciepła	溫暖	ciepło	N	
溫暖	ciepło	溫暖	ciepło	N	
溫暖	ciepły	溫暖	ciepły	N	ADJ;NOM;MASC;SG
溫暖	ciepła	溫暖	ciepło	N	
溫暖	ciepło	溫暖	ciepło	N	
解剖	rozwarstwienie	解剖	rozwarstwienie		N;NOM;NEUT;SG
神像	gato	神像	gato	N	
朝代	dynastii	朝代	dynastia	N	
你	witam	你	witać	PRO;2	V;IPFV;IND;SG;1;PRS;FIN;ACT
你	cześć	你	cześć	PRO;2	N;NOM;FEM;SG
皂	mydło	皂	mydło	N	
承包	wykonawców	承包	wykonawca	V	N;ACC;MASC;PL
承包	wykonawcy	承包	wykonawca	V	N;NOM;MASC;PL
承包	wykonawca	承包	wykonawca	V	N;NOM;MASC;SG
承包	wykonawcy	承包	wykonawca	V	N;NOM;MASC;PL
草坪	trawniki	草坪	trawnik	N	
方舟	arkę	方舟	arka	PROPN	N;ACC;FEM;SG
方舟	arka	方舟	arka	PROPN	
方舟	arki	方舟	ark	PROPN	
編譯	kompilacji	編譯	kompilacja	V	N;GEN;FEM;SG
編譯	skompilowane	編譯	skompilować	V	ADJ;NOM;NEUT;SG
編譯	kompilacji	編譯	kompilacja	V	N;GEN;FEM;SG
編譯	kompilacji	編譯	kompilacja	V	N;GEN;FEM;SG
編譯	kompilacja	編譯	kompilacja	V	N;NOM;FEM;SG
鉛	prowadź	鉛	prowadzić	N	V;IPFV;IMP;SG;2;FIN;ACT
鉛	ołowiu	鉛	ołowiek	N	
鞭	bat	鞭	bat	N	
界	określić	界	określić	N	V;PFV;NFIN;ACT
馬賽	marsylii	馬賽	marsylia	PROPN	PROPN;GEN;FEM;SG
彈性	elastyczne	彈性	elastyczny	N	ADJ;NOM;NEUT;SG
彈性	elastyczna	彈性	elastyczny	N	ADJ;NOM;FEM;SG
彈性	elastyczny	彈性	elastyczny	N	ADJ;NOM;MASC;SG
彈性	elastyczne	彈性	elastyczny	N	ADJ;NOM;NEUT;SG
彈性	elastyczna	彈性	elastyczny	N	ADJ;NOM;FEM;SG
彈性	elastyczny	彈性	elastyczny	N	ADJ;NOM;MASC;SG
彈性	flex	彈性	flex	N	
長老	starsza	長老	stary	N	ADJ;NOM;CMPR;FEM;SG
長老	starszy	長老	stary	N	ADJ;NOM;CMPR;MASC;SG
長老	starszych	長老	stary	N	ADJ;ACC;CMPR;MASC;PL
長老	starszyzna	長老	starszyzna	N	ADJ;NOM;CMPR;FEM;SG
長老	starsi	長老	stary	N	ADJ;NOM;CMPR;MASC;PL
野牛	bison	野牛	bison	N	
走私	przemycić	走私	przemycić	N	V;PFV;NFIN;ACT
戒指	ring	戒指	ring	N	
酒井	sakai	酒井	sakai	PROPN	
乙酸	octan	乙酸	octać	N	
大	masakra	大	masakier	PART	
大	zbrodnia	大	zbrodnia	PART	N;NOM;FEM;SG
大	holokaustu	大	holokaust	PART	N;GEN;MASC;SG
劫持	porwania	劫持	porwanie	V	N;GEN;NEUT;SG
基	piedestale	基	piedestale	V	N;ACC;MASC;SG
損壞	uszkodzone	損壞	uszkodzić	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
損壞	uszkodzony	損壞	uszkodzić	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
損壞	uszkodzone	損壞	uszkodzić	N	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
損壞	uszkodzona	損壞	uszkodzić	N	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
損壞	uszkodzony	損壞	uszkodzić	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
損壞	szkody	損壞	szkoda	N	
損壞	szkody	損壞	szkoda	N	
專長	niszowych	專長	niszowy	N	ADJ;GEN;MASC;PL
羅素	russel	羅素	russel	PROPN	N;NOM;MASC;SG
羅素	russell	羅素	russel	PROPN	PROPN;NOM;MASC;SG
羅素	russella	羅素	russell	PROPN	
更	korekt	更	korekt	ADV	V;IPFV;IND;SG;1;FIN;ACT
更	poprawki	更	poprawka	ADV	N;ACC;FEM;PL
更	korekty	更	korekta	ADV	N;GEN;FEM;SG
更	korekty	更	korekta	ADV	N;GEN;FEM;SG
更	poprawka	更	poprawka	ADV	N;NOM;FEM;SG
更	korekta	更	korekta	ADV	N;NOM;FEM;SG
特種	swat	特種	swat	ADJ	
音速	sonic	音速	sonica	N	
音速	dźwiękowy	音速	dźwiękowy	N	ADJ;NOM;MASC;SG
叻	lat	叻	rok	PROPN	N;GEN;MASC;PL
密西西比	missisipi	密西西比	missisipa	PROPN	
密西西比	mississippi	密西西比	mississippa	PROPN	
雙	dwustronnie	雙	dwustronnie	NUM	ADV
雙	dwustronnych	雙	dwustronny	NUM	ADJ;GEN;MASC;PL
雙	dwustronne	雙	dwustronny	NUM	ADJ;NOM;NEUT;SG
迷失	zagubiona	迷失	zagubić	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
迷失	zagubiony	迷失	zagubić	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
迷失	stracone	迷失	stracić	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
迷失	utracone	迷失	utracić	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
警務	police	警務	polic	N	
仙女	andromedae	仙女	andromeda	N	
仙女	andromeda	仙女	andromeda	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
橘子	pomarańczowy	橘子	pomarańczowy	N	ADJ;NOM;MASC;SG
橘子	orange	橘子	oranga	N	
橘子	pomarańczowe	橘子	pomarańczowy	N	ADJ;NOM;NEUT;SG
橘子	pomarańczowa	橘子	pomarańczowy	N	ADJ;NOM;FEM;SG
橘子	pomarańcze	橘子	pomarańczy	N	V;IPFV;IND;SG;PRS;FIN;ACT
橘子	pomarańczy	橘子	pomarańczy	N	
川口	kawaguchi	川口	kawaguch	PROPN	N;NOM;MASC;SG
死亡	śmiertelności	死亡	śmiertelność	V	N;GEN;FEM;SG
死亡	śmiertelność	死亡	śmiertelność	V	N;NOM;FEM;SG
歌聲	śpiewać	歌聲	śpiewać	N	V;IPFV;NFIN;ACT
歌聲	śpiewa	歌聲	śpiewać	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
歌聲	śpiewam	歌聲	śpiewać	N	V;IPFV;IND;SG;1;PRS;FIN;ACT
散射	rozproszonym	散射	rozprosić	V	ADJ;PFV;INS;MASC;SG;POS;V.PTCP;PASS
布加勒斯特	bukareszcie	布加勒斯特	bukareszt	PROPN	N;NOM;MASC;SG
污水	kanalizacyjne	污水	kanalizacyjny	N	ADJ;NOM;NEUT;SG
存款	depozyt	存款	depozyt	V	N;NOM;MASC;SG
存款	depozytu	存款	depozyt	V	N;GEN;MASC;SG
存款	depozyty	存款	depozyt	V	N;NOM;MASC;PL
存款	depozytów	存款	depozyt	V	N;GEN;MASC;PL
存款	depozyty	存款	depozyt	V	N;NOM;MASC;PL
獨裁	dyktatorskich	獨裁	dyktatorski	N	ADJ;GEN;MASC;PL
朝倉	asakura	朝倉	asakura	PROPN	
想象	wyobrazić	想象	wyobrazić	N	V;PFV;NFIN;ACT
祈	modlitwie	祈	modlitwa	V	N;DAT;FEM;SG
祈	modlitwy	祈	modlitwa	V	N;GEN;FEM;SG
祈	modlitwę	祈	modlitwa	V	N;ACC;FEM;SG
祈	modlitwa	祈	modlitwa	V	N;NOM;FEM;SG
祈	modlitwa	祈	modlitwa	V	N;NOM;FEM;SG
祈	modlitwa	祈	modlitwa	V	N;NOM;FEM;SG
祈	modlitw	祈	modlitwa	V	
祈	modlitwy	祈	modlitwa	V	N;GEN;FEM;SG
相容	zgodna	相容	zgodny	N	ADJ;NOM;FEM;SG
相容	zgodny	相容	zgodny	N	ADJ;NOM;MASC;SG
廚師	cook	廚師	cook	N	PROPN;NOM;MASC;SG
廚師	gotować	廚師	gotować	N	V;IPFV;NFIN;ACT
王	koronę	王	korona	PROPN	N;ACC;FEM;SG
王	crown	王	crowny	PROPN	
王	korony	王	korona	PROPN	N;ACC;FEM;SG
王	korona	王	korona	PROPN	N;NOM;FEM;SG
王	koron	王	koron	PROPN	
王	korony	王	korona	PROPN	N;ACC;FEM;SG
營養	żywieniowe	營養	żywieniowy	N	ADJ;NOM;NEUT;SG
營養	odżywcze	營養	odżywczy	N	
營養	odżywczych	營養	odżywczy	N	ADJ;GEN;MASC;PL
營養	odżywczych	營養	odżywczy	N	ADJ;GEN;MASC;PL
愛媛	ehime	愛媛	ehima	N	
凝聚	spójności	凝聚	spójność	V	N;GEN;FEM;SG
凝聚	spójność	凝聚	spójność	V	N;NOM;FEM;SG
橡膠	guma	橡膠	guma	N	
橡膠	gumy	橡膠	guma	N	
教義	creed	教義	creed	N	
扳機	spust	扳機	spust	N	
探險	wyprawy	探險	wyprawa	V	N;ACC;FEM;PL
探險	ekspedycje	探險	ekspedycja	V	N;NOM;FEM;PL
探險	przygodę	探險	przygoda	V	N;ACC;FEM;SG
探險	przygoda	探險	przygoda	V	N;NOM;FEM;SG
探險	przygody	探險	przygoda	V	
探險	przygód	探險	przygód	V	
探險	wyprawy	探險	wyprawa	V	N;ACC;FEM;PL
探險	ekspedycja	探險	ekspedycja	V	N;NOM;FEM;SG
探險	wyprawa	探險	wyprawa	V	N;NOM;FEM;SG
區塊	zablokuj	區塊	zablokować	N	V;PFV;IMP;SG;2;FIN;ACT
區塊	zablokować	區塊	zablokować	N	V;PFV;NFIN;ACT
亞熱帶	subtropikalnych	亞熱帶	subtropikalny	PROPN	ADJ;GEN;MASC;PL
地道	tuneli	地道	tunel	N	
所	salomon	所	salomon	N	V;IPFV;IND;SG;2;PRS;FIN;ACT
所	salomona	所	salomon	N	
腕	nadgarstka	腕	nadgarstka	N	
附上	zamkniętych	附上	zamknąć	V	ADJ;PFV;GEN;MASC;PL;POS;V.PTCP;PASS
附上	załączony	附上	załączyć	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
聲援	solidarność	聲援	solidarność	V	N;NOM;FEM;SG
聲援	solidarności	聲援	solidarność	V	N;GEN;FEM;SG
核子	nuklearne	核子	nuklearny	N	ADJ;NOM;NEUT;SG
核子	jądrowa	核子	jądrowa	N	ADJ;NOM;FEM;SG
核子	nuklearna	核子	nuklearny	N	ADJ;NOM;FEM;SG
核子	jądrowe	核子	jądrowy	N	ADJ;NOM;NEUT;SG
核子	nuklearny	核子	nuklearny	N	ADJ;NOM;MASC;SG
核子	jądrowej	核子	jądrowy	N	ADJ;GEN;FEM;SG
莖	macierzystych	莖	macierzysty	N	ADJ;GEN;MASC;PL
廢棄	porzucenie	廢棄	porzucić	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
廢棄	opuszczony	廢棄	opuszczony	V	ADJ;NOM;MASC;SG
廢棄	porzucona	廢棄	porzucić	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
廢棄	porzucony	廢棄	porzucić	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
廢棄	porzucone	廢棄	porzucić	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
廢棄	opuszczona	廢棄	opuścić	V	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
檢視	przeglądanie	檢視	przeglądać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
檢視	oglądanie	檢視	oglądać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
檢視	wyświetlanie	檢視	wyświetlać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
檢視	widok	檢視	widok	V	N;NOM;MASC;SG
大	wiolonczeli	大	wiolonczeny	PART	V;PFV;MASC;IND;PL;PST;FIN;ACT
加熱	upał	加熱	upał	V	
加熱	heat	加熱	heat	V	
加熱	ciepło	加熱	ciepło	V	
加熱	gorąco	加熱	gorąco	V	ADV
加熱	ciepła	加熱	ciepło	V	
加熱	ogrzewanie	加熱	ogrzewanie	V	N;NOM;NEUT;SG
加熱	podgrzewane	加熱	podgrzewać	V	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
還	przywrócić	還	przywrócić	ADV	V;PFV;NFIN;ACT
還	przywrócenie	還	przywrócenie	ADV	N;PFV;NOM;NEUT;SG;POS;V.MSDR
暴風	storm	暴風	storm	N	
巴頓	patton	巴頓	patton	PROPN	
華沙	warszawa	華沙	warszawa	PROPN	
誘惑	pokus	誘惑	pokus	N	
掃	skanowanie	掃	skanować	V	N;NOM;NEUT;SG
掃	skanowania	掃	skanowanie	V	N;GEN;NEUT;SG
掃	skany	掃	skana	V	N;ACC;MASC;PL
掃	skanowanie	掃	skanować	V	N;NOM;NEUT;SG
掃	skanowania	掃	skanowanie	V	N;GEN;NEUT;SG
掃	skan	掃	skan	V	N;NOM;MASC;SG
壺	dzban	壺	dzban	N	
升降	wyciągów	升降	wyciąg	V	N;GEN;MASC;PL
升降	wyciągi	升降	wyciąg	V	N;NOM;MASC;PL
升降	windy	升降	winda	V	
升降	winda	升降	winda	V	N;NOM;FEM;SG
升降	windy	升降	winda	V	
升降	windą	升降	winda	V	N;INS;FEM;SG
機密	poufne	機密	poufny	N	
城牆	ścian	城牆	ściana	N	
諾曼	norman	諾曼	norman	PROPN	PROPN;NOM;MASC;SG
諾曼	normana	諾曼	norman	PROPN	
環礁	atol	環礁	atol	N	PROPN;NOM;MASC;SG
散布	rozproszonym	散布	rozprosić	V	ADJ;PFV;INS;MASC;SG;POS;V.PTCP;PASS
斐濟	fidżi	斐濟	fidżić	PROPN	
潛在	potencjał	潛在	potencjać	V	N;ACC;MASC;SG
呼叫	powołanie	呼叫	powołać	V	N;PFV;NOM;NEUT;SG;POS;V.MSDR
嵌	wbudowane	嵌	wbudować	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
嵌	wbudowany	嵌	wbudować	V	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
嵌	osadzone	嵌	osadzić	V	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
嵌	osadzanie	嵌	osadzać	V	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
出血	krwawienie	出血	krwawić	V	N;NOM;NEUT;SG
出血	krwotok	出血	krwotok	V	N;NOM;MASC;SG
出血	krwawienia	出血	krwawień	V	N;NOM;NEUT;SG
烤	piec	烤	piec	V	N;NOM;MASC;SG
口腔	mouth	口腔	mouth	N	
口腔	ustne	口腔	ustny	N	
口腔	doustne	口腔	doustny	N	ADJ;NOM;NEUT;SG
口腔	doustnie	口腔	doustnąć	N	ADV
港灣	harbor	港灣	harbor	PROPN	PROPN;NOM;MASC;SG
港灣	harbour	港灣	harbour	PROPN	V;IPFV;IND;SG;PRS;FIN;ACT
牽引	trakcji	牽引	trakcja	V	N;GEN;FEM;SG
滑翔	glide	滑翔	glidy	N	
菊池	kikuchi	菊池	kikuch	PROPN	
左邊	lewy	左邊	lewy	N	ADJ;NOM;MASC;SG
左邊	lewo	左邊	lewo	N	
勇氣	odwagi	勇氣	odwaga	N	
絕望	rozpaczy	絕望	rozpacz	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
絕望	zdesperowani	絕望	zdesperować	N	ADJ;PFV;NOM;MASC;PL;POS;V.PTCP;PASS
絕望	rozpaczliwie	絕望	rozpaczliwie	N	ADV
絕望	zdesperowany	絕望	zdesperować	N	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
絕望	zdesperowana	絕望	zdesperować	N	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
摩納哥	monaco	摩納哥	monaco	PROPN	
摩納哥	monako	摩納哥	monako	PROPN	
格言	motto	格言	motto	N	
格言	maxim	格言	maxić	N	
甘肅	gansu	甘肅	gans	PROPN	PROPN;NOM;MASC;SG
敵對	wrogości	敵對	wrogość	V	N;GEN;FEM;SG
敵對	wrogość	敵對	wrogość	V	N;NOM;FEM;SG
敵對	wrogo	敵對	wrogo	V	ADV
敵對	wróg	敵對	wróg	V	N;NOM;MASC;SG
敵對	nieprzyjaciel	敵對	nieprzyjaciel	V	N;NOM;MASC;SG
敵對	wrogie	敵對	wrogi	V	
敵對	wrogi	敵對	wrogi	V	N;NOM;MASC;SG
出處	pochodzenia	出處	pochodzić	V	N;GEN;NEUT;SG
出處	pochodzenie	出處	pochodzenie	V	N;NOM;NEUT;SG
出處	pochodzenie	出處	pochodzenie	V	N;NOM;NEUT;SG
電磁	elektromagnetyczne	電磁	elektromagnetyczny	N	ADJ;NOM;NEUT;SG
瘋	szalona	瘋	szalony		ADJ;NOM;FEM;SG
瘋	szalone	瘋	szalony		ADJ;NOM;NEUT;SG
瘋	szaleństwo	瘋	szaleństwo		N;NOM;NEUT;SG
瘋	wariatka	瘋	wariatka		N;NOM;FEM;SG
瘋	wariat	瘋	wariat		N;NOM;MASC;SG
瘋	szalony	瘋	szalony		ADJ;NOM;MASC;SG
金子	złota	金子	złoty	PROPN	
金子	złoto	金子	złoto	PROPN	
金子	gold	金子	gold	PROPN	
金子	złoty	金子	złoty	PROPN	
贏	win	贏	wina	V	
贏	wygrana	贏	wygrać	V	N;NOM;FEM;SG
