月	moon	月	moon	N	
批評	kritik	批評	kritik	V	N;INDF;MASC+FEM;SG
太子	prince	太子	prince	N	
檔案	arkivere	檔案	arkiver	N	V;NFIN;ACT
富士	fuji	富士	fuji	PROPN	
阿根廷	argentinas	阿根廷	argentinas	PROPN	N;INDF;MASC+FEM;SG
阿根廷	argentina	阿根廷	argentina	PROPN	PROPN
當選	folkevalgt	當選	folkevalge	V	ADJ;INDF;SG
創	tron	創	tron		N;INDF;MASC+FEM;SG
計算	beregning	計算	beregning	V	N;INDF;MASC+FEM;SG
計算	databehandling	計算	databehandling	V	N;INDF;MASC+FEM;SG
計算	beregning	計算	beregning	V	N;INDF;MASC+FEM;SG
計算	udregning	計算	udregning	V	N;INDF;MASC+FEM;SG
計算	beregningerne	計算	beregning	V	N;DEF;MASC+FEM;PL
計算	beregninger	計算	beregning	V	N;INDF;MASC+FEM;PL
計算	udregninger	計算	udregning	V	N;INDF;MASC+FEM;PL
對手	rivaliserende	對手	rivalisere	N	V;PRS;V.PTCP
碧	bea	碧	bea	PROPN	
一	dag	一	dag	NUM	N;INDF;MASC+FEM;SG
一	dagen	一	dag	NUM	N;DEF;MASC+FEM;SG
一	kampdag	一	kampdag	NUM	N;INDF;MASC+FEM;SG
廣州	guangzhou	廣州	guangzhou	PROPN	N;INDF;MASC+FEM;SG
錢	money	錢	money	N	
食用	spiselige	食用	spiselig	V	ADJ;PL
食用	spiseligt	食用	spiseligt	V	ADV
食用	spiselig	食用	spiselig	V	ADJ;INDF;MASC+FEM;SG
晉	jin	晉	jin	PROPN	
晉	jinn	晉	jinn	PROPN	
廣東	guangdong	廣東	guangdong	PROPN	N;INDF;MASC+FEM;SG
廣東	kantonesisk	廣東	kantonesisk	PROPN	ADJ;INDF;SG
中立	neutral	中立	neutral	N	ADJ;INDF;MASC+FEM;SG
中立	neutralt	中立	neutralt	N	ADJ;INDF;NEUT;SG
中立	neutrale	中立	neutral	N	ADJ;PL
質量	mass	質量	mass	N	
持有	besiddelse	持有	besiddelse	V	N;INDF;MASC+FEM;SG
持有	besiddelser	持有	besiddelse	V	N;INDF;MASC+FEM;PL
持有	bedrifter	持有	bedrifter	V	N;INDF;MASC+FEM;PL
持有	bedriften	持有	bedriften	V	N;DEF;MASC+FEM;SG
持有	holding	持有	holding	V	N;INDF;MASC+FEM;SG
持有	bedrift	持有	bedrift	V	N;INDF;MASC+FEM;SG
理解	forståelse	理解	forståelse	V	N;INDF;MASC+FEM;SG
理解	forstående	理解	forstående	V	ADJ
其	faktisk	其	faktisk	PRO;3	ADV
波蘭	polen	波蘭	pole	PROPN	PROPN
波蘭	polens	波蘭	polen	PROPN	N;GEN;DEF;MASC+FEM;SG
美洲	america	美洲	america	PROPN	
美洲	amerika	美洲	amerika	PROPN	N;INDF;MASC+FEM;SG
美洲	usa	美洲	usa	PROPN	PROPN
恆星	star	恆星	star	N	
淑	sook	淑	sook	PROPN	
挑戰	udfordringerne	挑戰	udfordring	V	N;DEF;MASC+FEM;PL
挑戰	udfordringer	挑戰	udfordring	V	N;INDF;MASC+FEM;PL
挑戰	challenge	挑戰	challenge	V	N;INDF;MASC+FEM;SG
挑戰	udfordring	挑戰	udfordring	V	N;INDF;MASC+FEM;SG
挑戰	udfordringen	挑戰	udfordring	V	N;DEF;MASC+FEM;SG
挑戰	udfordrende	挑戰	udfordrende	V	ADJ
東方	dongfang	東方	dongfang	N	
東方	østpå	東方	østpå	N	ADV
東方	orientalske	東方	orientalsk	N	ADJ;PL
東方	østlig	東方	østlig	N	ADJ;INDF;MASC+FEM;SG
東方	østlige	東方	østlig	N	ADJ;PL
賈	jia	賈	jia	PROPN	
阿拉	allah	阿拉	allah	PROPN	N;INDF;MASC+FEM;SG
阿拉	allahs	阿拉	allahs	PROPN	N;INDF;MASC+FEM;SG
消失	forsvind	消失	forsvind	V	N;INDF;NEUT;SG
司令	øverstbefalende	司令	øverstbefalende	N	ADJ
月球	lunar	月球	lunar	N	
月球	moon	月球	moon	N	
地圖	kort	地圖	kort	N	ADJ;INDF;SG
地圖	kort	地圖	kort	N	ADJ;INDF;SG
杭州	hangzhou	杭州	hangzhou	PROPN	N;INDF;NEUT;SG
結婚	ægteskabet	結婚	ægteskab	V	N;DEF;NEUT;SG
結婚	ægteskab	結婚	ægteskab	V	N;INDF;NEUT;SG
結婚	ægteskaber	結婚	ægteskab	V	N;INDF;NEUT;PL
岳	yue	岳	yue	PROPN	
引用	citat	引用	citat	V	N;INDF;NEUT;SG
引用	citater	引用	citat	V	N;INDF;NEUT;PL
引用	anførselstegn	引用	anførselstegn	V	N;INDF;MASC+FEM;SG
請求	forespørgsler	請求	forespørgsel	V	N;INDF;MASC+FEM;PL
請求	anmodninger	請求	anmodning	V	N;INDF;MASC+FEM;PL
請求	forespørgsel	請求	forespørgsel	V	N;INDF;MASC+FEM;SG
請求	anmodning	請求	anmodning	V	N;INDF;MASC+FEM;SG
殖民	kolonier	殖民	kolonie	V	N;INDF;MASC+FEM;PL
殖民	koloni	殖民	koloni	V	N;INDF;MASC+FEM;SG
殖民	kolonien	殖民	kolonie	V	N;DEF;MASC+FEM;SG
菲律賓	filippinerne	菲律賓	filippin	PROPN	N;DEF;MASC+FEM;PL
進攻	angrebet	進攻	angreb	V	N;DEF;NEUT;SG
進攻	angriber	進攻	angriber	V	N;INDF;MASC+FEM;SG
進攻	angreb	進攻	angreb	V	N;INDF;NEUT;SG
珊	sun	珊	sun	PROPN	
珊	sol	珊	sol	PROPN	N;INDF;MASC+FEM;SG
珊	solen	珊	sol	PROPN	N;DEF;MASC+FEM;SG
貓	cats	貓	cats	N	
貓	cat	貓	cat	N	
吸引	tiltrækning	吸引	tiltrækning	V	N;INDF;MASC+FEM;SG
測試	prøve	測試	prøve	N	V;NFIN;ACT
測試	tester	測試	test	N	V;IND;PRS;FIN;ACT
專業	faglige	專業	faglig	N	ADJ;PL
專業	fagligt	專業	fagligt	N	ADV
專業	professionelt	專業	professionelt	N	ADJ;INDF;NEUT;SG
專業	professionel	專業	professionel	N	ADJ;INDF;MASC+FEM;SG
專業	professionelle	專業	professionel	N	ADJ;PL
旅遊	tour	旅遊	tour	N	
旅遊	travel	旅遊	travel	N	
旅遊	rejs	旅遊	rejs	N	V;IMP
浪	bølger	浪	bølge		N;INDF;MASC+FEM;PL
浪	bølgerne	浪	bolger		N;DEF;MASC+FEM;PL
浪	vink	浪	vink		N;INDF;NEUT;SG
浪	bølgen	浪	bølg		N;DEF;MASC+FEM;SG
浪	bølge	浪	bølge		N;INDF;MASC+FEM;SG
內部	indvendigt	內部	indvendig	N	ADV
內部	indvendige	內部	indvendig	N	ADJ;PL
內部	indvendig	內部	indvendig	N	ADJ;INDF;MASC+FEM;SG
內部	indvendigt	內部	indvendig	N	ADV
內部	indenfor	內部	indenfor	N	ADV
內部	inde	內部	inde	N	ADV
內部	indvendig	內部	indvendig	N	ADJ;INDF;MASC+FEM;SG
內部	indeni	內部	indeni	N	ADJ;INDF;MASC+FEM;SG
內部	intern	內部	intern	N	ADJ;INDF;MASC+FEM;SG
內部	interne	內部	interne	N	ADJ;PL
內部	internt	內部	internt	N	ADV
內部	indvendigt	內部	indvendig	N	ADV
內部	internt	內部	internt	N	ADV
失	fortabt	失	fortabe	V	ADJ;INDF;SG
失	lost	失	lost	V	
集合	samle	集合	samle	N	V;NFIN;ACT
集合	saml	集合	saml	N	V;IMP
日文	japansk	日文	japansk	N	ADJ;INDF;SG
日文	japanske	日文	japansk	N	ADJ;PL
特里	terry	特里	terry	PROPN	
君主	suveræne	君主	suveræn	N	ADJ;PL
君主	suveræn	君主	suveræn	N	ADJ;INDF;MASC+FEM;SG
君主	suverænt	君主	suverænt	N	ADJ;INDF;NEUT;SG
公爵	duke	公爵	duke	N	
降低	nedgang	降低	nedgang	V	N;INDF;MASC+FEM;SG
降低	fald	降低	fald	V	N;INDF;NEUT;SG
每日	daglige	每日	daglig	N	ADJ;PL
每日	daglige	每日	daglig	N	ADJ;PL
每日	dagligt	每日	dagligt	N	ADV
每日	daily	每日	daily	N	
每日	daglig	每日	daglig	N	ADV
拒絕	tilbagegang	拒絕	tilbagegang	V	N;INDF;MASC+FEM;SG
拒絕	forfald	拒絕	forfald	V	N;INDF;NEUT;SG
拒絕	fornægtelse	拒絕	fornægtelse	V	N;INDF;MASC+FEM;SG
拒絕	nægtelse	拒絕	nægtelse	V	N;INDF;MASC+FEM;SG
拒絕	benægtelse	拒絕	benægtelse	V	N;INDF;MASC+FEM;SG
拒絕	forkastelse	拒絕	forkastelse	V	N;INDF;MASC+FEM;SG
拒絕	afslag	拒絕	afslag	V	N;INDF;NEUT;SG
拒絕	afvisning	拒絕	afvisning	V	N;INDF;MASC+FEM;SG
原始	rå	原始	rå	N	ADJ;INDF;SG
原始	ubehandlet	原始	ubehandlet	N	ADJ;INDF;SG
原始	råt	原始	råt	N	ADJ;INDF;NEUT;SG
原始	raw	原始	raw	N	
原始	primitiv	原始	primitiv	N	ADJ;INDF;MASC+FEM;SG
原始	primitivt	原始	primitivt	N	ADJ;INDF;NEUT;SG
原始	primitive	原始	primitiv	N	ADJ;PL
原始	originalt	原始	originalt	N	ADJ;INDF;NEUT;SG
原始	oprindelige	原始	oprindelig	N	ADJ;PL
原始	oprindelig	原始	oprindelig	N	ADV
原始	originale	原始	original	N	ADJ;PL
原始	oprindeligt	原始	oprindeligt	N	ADV
原始	original	原始	original	N	ADJ;INDF;MASC+FEM;SG
尖	spids	尖	spids	PART	N;INDF;MASC+FEM;SG
尖	spidse	尖	spids	PART	ADJ;PL
潭	tam	潭	tam	PROPN	N;INDF;MASC+FEM;SG
敗	besejre	敗	besejre	N	V;NFIN;ACT
貿易	trading	貿易	trading	N	
貿易	trade	貿易	trade	N	
減少	tilbagegang	減少	tilbagegang	V	N;INDF;MASC+FEM;SG
減少	forfald	減少	forfald	V	N;INDF;NEUT;SG
減少	reduktion	減少	reduktion	V	N;INDF;MASC+FEM;SG
減少	nedbringelse	減少	nedbringelse	V	N;INDF;MASC+FEM;SG
減少	nedsættelse	減少	nedsættelse	V	N;INDF;MASC+FEM;SG
減少	nedgang	減少	nedgang	V	N;INDF;MASC+FEM;SG
減少	fald	減少	fald	V	N;INDF;NEUT;SG
減少	reducering	減少	reducering	V	N;INDF;MASC+FEM;SG
知名	synlighed	知名	synlighed	ADJ	N;INDF;MASC+FEM;SG
知名	sigtbarhed	知名	sigtbarhed	ADJ	N;INDF;MASC+FEM;SG
知名	udsyn	知名	udsyn	ADJ	N;INDF;NEUT;SG
身體	body	身體	body	N	
硬	hårde	硬	hård	PART	ADJ;PL
硬	svært	硬	svær	PART	ADJ;INDF;NEUT;SG
硬	hard	硬	hard	PART	
硬	hård	硬	hård	PART	ADJ;INDF;MASC+FEM;SG
硬	hårdt	硬	hård	PART	ADJ;INDF;NEUT;SG
硬	svær	硬	svær	PART	ADJ;INDF;MASC+FEM;SG
碼頭	kaj	碼頭	kaj	N	PROPN
邱	qiu	邱	qiu	PROPN	
肖	shaw	肖	shaw	N	
園	have	園	have	N	V;NFIN;ACT
生	born	生	born	V	
風格	stiler	風格	stile	N	V;IND;PRS;FIN;ACT
風格	style	風格	style	N	
這裡	her	這裡	her	PRO	ADV
勝利	win	勝利	win	N	
勝利	vinder	勝利	vinde	N	V;IND;PRS;FIN;ACT
勝利	vinde	勝利	vinde	N	V;NFIN;ACT
女王	queen	女王	que	N	
蒙特	mont	蒙特	mont	PROPN	
每天	daglige	每天	daglig	DET	ADJ;PL
每天	hverdagen	每天	hverdag	DET	N;DEF;MASC+FEM;SG
每天	hverdag	每天	hverdag	DET	N;INDF;MASC+FEM;SG
邀請	invitation	邀請	invitation	V	N;INDF;MASC+FEM;SG
邀請	invitationer	邀請	invitation	V	N;INDF;MASC+FEM;PL
邀請	opfordringer	邀請	opfordring	V	N;INDF;MASC+FEM;PL
邀請	opfordring	邀請	opfordring	V	N;INDF;MASC+FEM;SG
邀請	invitationen	邀請	invitation	V	N;DEF;MASC+FEM;SG
邀請	indbydelse	邀請	indbydelse	V	N;INDF;MASC+FEM;SG
邀請	invitation	邀請	invitation	V	N;INDF;MASC+FEM;SG
邀請	invitationer	邀請	invitation	V	N;INDF;MASC+FEM;PL
傳說	legenden	傳說	legende	V	N;DEF;MASC+FEM;SG
傳說	legender	傳說	legende	V	N;INDF;MASC+FEM;PL
傳說	sagn	傳說	sagn	V	N;INDF;NEUT;SG
傳說	legender	傳說	legende	V	N;INDF;MASC+FEM;PL
傳說	sagn	傳說	sagn	V	N;INDF;NEUT;SG
變化	forandringer	變化	forandring	V	N;INDF;MASC+FEM;PL
變化	ændringer	變化	ændringe	V	N;INDF;MASC+FEM;PL
延伸	strækning	延伸	strækning	V	N;INDF;MASC+FEM;SG
延伸	stræk	延伸	stræk	V	N;INDF;NEUT;SG
延伸	udvidelse	延伸	udvidelse	V	N;INDF;MASC+FEM;SG
延伸	forlængelse	延伸	forlængelse	V	N;INDF;MASC+FEM;SG
廠	factory	廠	factory	N	
推	push	推	push		
推	skubbe	推	skubbe		V;NFIN;ACT
推	pres	推	pres		N;INDF;NEUT;SG
推	skub	推	skub		N;INDF;NEUT;SG
收費	afgifter	收費	afgift	N	ADV
收費	afgifter	收費	afgift	N	ADV
巷	lane	巷	lane	N	
巷	alley	巷	alley	N	
翔	xiang	翔	xiang	PROPN	
翔	shang	翔	shang	PROPN	
翔	sho	翔	sho	PROPN	
突破	gennembrud	突破	gennembrud	V	N;INDF;NEUT;SG
突破	breaking	突破	breaking	V	N;INDF;MASC+FEM;SG
人生	life	人生	life	N	
通用	generiske	通用	generisk	N	ADJ;PL
通用	generisk	通用	generisk	N	ADJ;INDF;SG
通用	almindelige	通用	almindelig	N	ADJ;PL
通用	fælles	通用	fælles	N	ADJ
通用	almindelig	通用	almindelig	N	ADJ;INDF;MASC+FEM;SG
修正	ændringsforslag	修正	ændringsforslag	V	N;INDF;NEUT;SG
修正	ændring	修正	ændring	V	N;INDF;MASC+FEM;SG
修正	ændringsforslag	修正	ændringsforslag	V	N;INDF;NEUT;SG
修正	ændringer	修正	ændringe	V	N;INDF;MASC+FEM;PL
天文	astronomiske	天文	astronomisk	N	ADJ;PL
原創	originalt	原創	originalt	N	ADJ;INDF;NEUT;SG
原創	oprindelige	原創	oprindelig	N	ADJ;PL
原創	oprindelig	原創	oprindelig	N	ADV
原創	originale	原創	original	N	ADJ;PL
原創	oprindeligt	原創	oprindeligt	N	ADV
原創	original	原創	original	N	ADJ;INDF;MASC+FEM;SG
瓜	melon	瓜	melon	N	
司法	justice	司法	justic	N	
花園	have	花園	have	N	V;NFIN;ACT
玄	xuan	玄	xuan	PROPN	
玄	hyun	玄	hyun	PROPN	
實驗	eksperimentere	實驗	eksperimentere	N	V;NFIN;ACT
實驗	eksperimentelle	實驗	eksperimentelle	N	ADJ;PL
實驗	eksperimenterende	實驗	eksperimentere	N	V;PRS;V.PTCP
實驗	eksperimentel	實驗	eksperimentel	N	ADJ;INDF;MASC+FEM;SG
估計	skøn	估計	skøn	V	ADJ;INDF;MASC+FEM;SG
估計	overslag	估計	overslag	V	N;INDF;NEUT;SG
估計	skøn	估計	skøn	V	ADJ;INDF;MASC+FEM;SG
估計	overslag	估計	overslag	V	N;INDF;NEUT;SG
估計	estimat	估計	estimat	V	N;INDF;NEUT;SG
估計	skøn	估計	skøn	V	ADJ;INDF;MASC+FEM;SG
估計	estimering	估計	estimering	V	N;INDF;MASC+FEM;SG
箱	box	箱	box	N	
規劃	planlægningen	規劃	planlægning	V	N;DEF;MASC+FEM;SG
規劃	planlægning	規劃	planlægning	V	N;INDF;MASC+FEM;SG
伏	volt	伏	volt	PROPN	
後衛	forsvarer	後衛	forsvare	N	V;IND;PRS;FIN;ACT
國內	indenlandske	國內	indenlandsk	N	ADJ;PL
國內	indenrigs	國內	indenrig	N	
國內	indenlandsk	國內	indenlandsk	N	ADV
海南	hainan	海南	hainan	PROPN	N;INDF;MASC+FEM;SG
津	tsu	津	tsu	PROPN	
十字	cross	十字	cross	N	
十字	krydse	十字	krydse	N	V;NFIN;ACT
十字	krydser	十字	krydse	N	V;IND;PRS;FIN;ACT
信仰	faith	信仰	faith	N	
信仰	tro	信仰	tro	N	V;NFIN;ACT
信仰	tro	信仰	tro	N	V;NFIN;ACT
反應	reagerer	反應	reagere	N	V;IND;PRS;FIN;ACT
反應	reagere	反應	reagere	N	V;NFIN;ACT
安徽	anhui	安徽	anhui	PROPN	PROPN
本地	lokalt	本地	lokalt	N	ADV
本地	lokale	本地	lokal	N	ADJ;PL
本地	lokalt	本地	lokalt	N	ADV
本地	lokal	本地	lokal	N	ADJ;INDF;MASC+FEM;SG
本地	local	本地	local	N	
銷售	salget	銷售	salg	V	N;DEF;NEUT;SG
銷售	salg	銷售	salg	V	N;INDF;NEUT;SG
銷售	udsalg	銷售	udsalg	V	N;INDF;NEUT;SG
銷售	salg	銷售	salg	V	N;INDF;NEUT;SG
旅行	travel	旅行	travel	N	
旅行	rejs	旅行	rejs	N	V;IMP
旅行	trip	旅行	trip	N	
小	savn	小	savn	PART	N;INDF;NEUT;SG
小	frøken	小	frøk	PART	N;INDF;MASC+FEM;SG
小	savne	小	savne	PART	V;NFIN;ACT
小	savner	小	savne	PART	V;IND;PRS;FIN;ACT
多	adskillige	多	adskillig	NUM	ADJ;PL
多	flere	多	mange	NUM	ADJ;CMPR;PL
考慮	overvej	考慮	overvej	V	N;INDF;SG
靖	jing	靖	jing	PROPN	
波斯	persisk	波斯	persisk	PROPN	ADJ;INDF;SG
波斯	persiske	波斯	persisk	PROPN	ADJ;PL
退休	afgående	退休	afgående	V	ADJ
退休	pensionering	退休	pensionering	V	N;INDF;MASC+FEM;SG
路易	louis	路易	louis	PROPN	
路易	ludvig	路易	ludvig	PROPN	N;INDF;MASC+FEM;SG
冬季	winter	冬季	winter	N	
棋	skak	棋	skak	PROPN	N;INDF;MASC+FEM;SG
棋	shogi	棋	shogi	PROPN	
久	lang	久	lang	N	ADJ;INDF;MASC+FEM;SG
久	lange	久	lang	N	ADJ;PL
久	længe	久	længe	N	ADV
機器	machine	機器	machine	N	
通道	channel	通道	channel	N	
墨	ink	墨	ink	N	
逮捕	arrest	逮捕	arrest	V	N;INDF;MASC+FEM;SG
逮捕	anholdelse	逮捕	anholdelse	V	N;INDF;MASC+FEM;SG
逮捕	arrestation	逮捕	arrestation	V	N;INDF;MASC+FEM;SG
逮捕	anholdelser	逮捕	anholdelse	V	N;INDF;MASC+FEM;PL
逮捕	arrestationer	逮捕	arrestation	V	N;INDF;MASC+FEM;PL
心理	psykologisk	心理	psykologisk	N	ADV
心理	psykologiske	心理	psykologisk	N	ADJ;PL
心理	psykiske	心理	psykisk	N	ADJ;PL
心理	psykisk	心理	psykisk	N	ADJ;INDF;SG
心理	mentale	心理	mental	N	ADJ;PL
心理	mentalt	心理	mentale	N	ADV
心理	psykiske	心理	psykisk	N	ADJ;PL
心理	psykisk	心理	psykisk	N	ADJ;INDF;SG
每個	hver	每個	hver	DET	PRO;MASC+FEM;SG
每個	hver	每個	hver	DET	PRO;MASC+FEM;SG
失敗	fejle	失敗	fejle		V;NFIN;ACT
失敗	fejler	失敗	fejle		V;IND;PRS;FIN;ACT
失敗	mislykkes	失敗	mislykke		V;NFIN;PASS
失敗	mislykket	失敗	mislykke		V;INDF;SG;PST;V.PTCP
失敗	fejlede	失敗	fejle		V;IND;PST;FIN;ACT
失敗	mislykkedes	失敗	mislykkes		V;IND;PST;FIN;ACT
失敗	fejlet	失敗	fejle		V;INDF;SG;PST;V.PTCP
失敗	svigt	失敗	svig		N;INDF;NEUT;SG
失敗	fiasko	失敗	fiasko		N;INDF;MASC+FEM;SG
捷克	tjekkiske	捷克	tjekkisk	PROPN	ADJ;PL
捷克	tjekkisk	捷克	tjekkisk	PROPN	ADJ;INDF;SG
數位	digitalt	數位	digitalt	N	ADJ;INDF;NEUT;SG
數位	digitale	數位	digital	N	ADJ;PL
馬來西亞	malaysia	馬來西亞	malaysia	PROPN	
投降	overgivelse	投降	overgivelse	V	N;INDF;MASC+FEM;SG
蕾	lei	蕾	lei	PROPN	N;INDF;MASC+FEM;SG
蕾	ree	蕾	ree	PROPN	N;INDF;MASC+FEM;SG
郎	lang	郎	lang	N	ADJ;INDF;MASC+FEM;SG
四	april	四	april	NUM	N;INDF;MASC+FEM;SG
條件	betinget	條件	betinge	N	V;INDF;SG;PST;V.PTCP
條件	betingede	條件	betinget	N	V;PL;PST;V.PTCP
蘇格蘭	scotland	蘇格蘭	scotland	PROPN	N;INDF;MASC+FEM;SG
蘇格蘭	skotland	蘇格蘭	skotland	PROPN	PROPN
印尼	indonesiske	印尼	indonesisk	PROPN	ADJ;PL
下降	tilbagegang	下降	tilbagegang	V	N;INDF;MASC+FEM;SG
下降	forfald	下降	forfald	V	N;INDF;NEUT;SG
下降	dråbe	下降	dråbe	V	N;INDF;MASC+FEM;SG
霸	bak	霸	bak	PROPN	
創建	skabelse	創建	skabelse	V	N;INDF;MASC+FEM;SG
創建	oprettelse	創建	oprettelse	V	N;INDF;MASC+FEM;SG
吃	spisning	吃	spisning	V	N;INDF;MASC+FEM;SG
可	pålidelig	可	pålidelig	V	ADJ;INDF;MASC+FEM;SG
可	troværdig	可	troværdig	V	ADJ;INDF;MASC+FEM;SG
可	pålidelige	可	pålidelig	V	ADJ;PL
可	pålideligt	可	pålideligt	V	ADJ;INDF;NEUT;SG
強烈	kraftigt	強烈	kraftigt	ADJ	ADV
強烈	stærkt	強烈	stærkt	ADJ	ADV
強烈	strong	強烈	strong	ADJ	
芝加哥	chicago	芝加哥	chicago	PROPN	
運作	funktion	運作	funktion	V	N;INDF;MASC+FEM;SG
女人	woman	女人	woman	N	
滕	teng	滕	teng	PROPN	
華	kinesere	華	kinesere	PROPN	N;INDF;MASC+FEM;PL
華	kineser	華	kineser	PROPN	N;INDF;MASC+FEM;SG
華	kinesiske	華	kinesisk	PROPN	ADJ;PL
華	kinesisk	華	kinesisk	PROPN	ADJ;INDF;SG
華	kineserne	華	kineser	PROPN	N;DEF;MASC+FEM;PL
繼承	arven	繼承	arv	V	N;DEF;MASC+FEM;SG
繼承	arv	繼承	arv	V	N;INDF;MASC+FEM;SG
平面	flad	平面	flad	N	ADJ;INDF;MASC+FEM;SG
平面	fladt	平面	fladt	N	ADV
平面	flade	平面	flad	N	ADJ;PL
重量	vægte	重量	vægte	N	V;NFIN;ACT
化學	kemisk	化學	kemisk	N	ADJ;INDF;SG
乾	tørre	乾	tør	N	ADJ;PL
乾	tørt	乾	tør	N	ADJ;INDF;NEUT;SG
乾	tør	乾	turde	N	V;IND;PRS;FIN;ACT
蔣	chiang	蔣	chiang	PROPN	N;INDF;NEUT;SG
老師	lærer	老師	lære	N	V;IND;PRS;FIN;ACT
五十	halvtreds	五十	halvtreds	NUM	ADV
五十	fifty	五十	fifty	NUM	
堅	caine	堅	caine	ADP	N;INDF;MASC+FEM;SG
刻	graveret	刻	gravere	N	V;INDF;SG;PST;V.PTCP
刻	indgraveret	刻	indgravere	N	V;INDF;SG;PST;V.PTCP
刻	skærer	刻	skære	N	V;IND;PRS;FIN;ACT
平原	plain	平原	plain	N	
平原	sletter	平原	slette	N	V;IND;PRS;FIN;ACT
證明	bevis	證明	bevis	V	N;INDF;NEUT;SG
證明	beviset	證明	bevis	V	N;DEF;NEUT;SG
證明	beviser	證明	bevis	V	N;INDF;NEUT;PL
佔領	besættelse	佔領	besættelse	V	N;INDF;MASC+FEM;SG
佔領	erhverv	佔領	erhverv	V	N;INDF;NEUT;SG
佔領	indflytning	佔領	indflytning	V	N;INDF;MASC+FEM;SG
領導	førende	領導	førende	V	ADJ
領導	lederskab	領導	lederskab	V	N;INDF;NEUT;SG
領導	ledelse	領導	ledelse	V	N;INDF;MASC+FEM;SG
蓮	lotus	蓮	lotus	PROPN	
幸福	lykkelig	幸福	lykkelig	N	ADJ;INDF;MASC+FEM;SG
幸福	glade	幸福	glad	N	ADJ;PL
幸福	tilfreds	幸福	tilfreds	N	ADJ;INDF;MASC+FEM;SG
幸福	glad	幸福	glad	N	ADJ;INDF;SG
幸福	happy	幸福	happy	N	
靜	jing	靜	jing	N	
引入	introduktion	引入	introduktion	V	N;INDF;MASC+FEM;SG
貝爾	klokke	貝爾	klokke	PROPN	N;INDF;MASC+FEM;SG
貝爾	bell	貝爾	bell	PROPN	
奧運	olympiske	奧運	olympisk	PROPN	ADJ;PL
奧運	olympic	奧運	olympic	PROPN	
奧運	olympisk	奧運	olympisk	PROPN	ADJ;INDF;SG
奧運	ol	奧運	ol	PROPN	N;INDF;MASC+FEM;SG
歡迎	velkommen	歡迎	velkommen	V	ADJ;INDF;MASC+FEM;SG
歡迎	velkomst	歡迎	velkomst	V	N;INDF;MASC+FEM;SG
泰國	thailand	泰國	thailand	PROPN	
凌	ram	凌	ram	PROPN	
火山	vulkansk	火山	vulkansk	N	ADJ;INDF;SG
廟	temple	廟	templ	N	
阿拉伯	arabien	阿拉伯	arabi	PROPN	N;DEF;MASC+FEM;SG
生存	overlevelsen	生存	overlevelse	V	N;DEF;MASC+FEM;SG
生存	overlevelse	生存	overlevelse	V	N;INDF;MASC+FEM;SG
棒	fantastisk	棒	fantastisk	N	ADJ;INDF;SG
棒	fedt	棒	fedt	N	ADJ;INDF;NEUT;SG
棒	stor	棒	stor	N	ADJ;INDF;MASC+FEM;SG
棒	skønt	棒	skøn	N	ADJ;INDF;NEUT;SG
棒	herligt	棒	herlig	N	ADJ;INDF;NEUT;SG
女孩	girl	女孩	girl	N	
女孩	girls	女孩	girls	N	
藤	vinstokke	藤	vinstokke	PROPN	N;INDF;NEUT;PL
藤	rattan	藤	rattan	PROPN	N;INDF;MASC+FEM;SG
受傷	tilskadekomne	受傷	tilskadekomn	V	N;INDF;MASC+FEM;SG
受傷	såret	受傷	sår	V	N;DEF;NEUT;SG
受傷	kvæstede	受傷	kvæstet	V	ADJ;PL
評論	bemærkning	評論	bemærkning	V	N;INDF;MASC+FEM;SG
評論	kommentar	評論	kommentar	V	N;INDF;MASC+FEM;SG
評論	bemærkninger	評論	bemærkning	V	N;INDF;MASC+FEM;PL
評論	kommentarer	評論	kommentar	V	N;INDF;MASC+FEM;PL
主張	fortaler	主張	fortale	V	N;INDF;MASC+FEM;SG
承認	genkendelse	承認	genkendelse	V	N;INDF;MASC+FEM;SG
承認	anerkendelse	承認	anerkendelse	V	N;INDF;MASC+FEM;SG
承認	erkendelse	承認	erkendelse	V	N;INDF;MASC+FEM;SG
廣泛	udbredte	廣泛	udbrede	ADV	V;PL;PST;V.PTCP
廣泛	udbredt	廣泛	udbrede	ADV	V;INDF;SG;PST;V.PTCP
廣泛	ekstensivt	廣泛	ekstensivt	ADV	N;INDF;NEUT;SG
廣泛	omfattende	廣泛	omfattende	ADV	ADJ
廣泛	ekstensiv	廣泛	ekstensiv	ADV	ADJ;INDF;SG
嶺	ridge	嶺	ridge	N	
更	ændr	更	ændr	ADV	V;IMP
更	forandringer	更	forandring	ADV	N;INDF;MASC+FEM;PL
更	ændringer	更	ændringe	ADV	N;INDF;MASC+FEM;PL
更	skift	更	skift	ADV	N;INDF;NEUT;SG
更	ændring	更	ændring	ADV	N;INDF;MASC+FEM;SG
更	forandring	更	forandring	ADV	N;INDF;MASC+FEM;SG
更	ændr	更	ændr	ADV	V;IMP
派遣	afsendelse	派遣	afsendelse	V	N;INDF;MASC+FEM;SG
派遣	forsendelse	派遣	forsendelse	V	N;INDF;MASC+FEM;SG
泥	mud	泥	mud	N	
泥	clay	泥	clay	N	
葵	kwai	葵	kwai	PROPN	
葵	aoi	葵	aoi	PROPN	
研究	postgraduate	研究	postgraduate	V	N;INDF;MASC+FEM;SG
