til	برای	til	برای	ADV	ADP
ansatte	کارمندان	ansætte	کارمند	V;PL;PST;V.PTCP	N;PL
ansatte	کارکنان	ansætte	کارکن	V;PL;PST;V.PTCP	N;PL
ansatte	کارمند	ansætte	کارمند	V;PL;PST;V.PTCP	N;SG
ansatte	کارمندان	ansætte	کارمند	V;PL;PST;V.PTCP	N;PL
ansatte	ستاد	ansætte	ستاد	V;PL;PST;V.PTCP	N;SG
ansatte	عصای	ansætte	عصا	V;PL;PST;V.PTCP	N;SG
blade	برگ	blad	برگ	N;INDF;NEUT;PL	N;SG
blade	بلید	blad	بلید	N;INDF;NEUT;PL	N;SG
blade	تیغه	blad	تیغه	N;INDF;NEUT;PL	N;SG
blade	تیغ	blad	تیغ	N;INDF;NEUT;PL	N;SG
blade	برگی	blad	برگی	N;INDF;NEUT;PL	N;SG
blade	برگ	blad	برگ	N;INDF;NEUT;PL	N;SG
levende	living	levende	None	ADJ	N;SG
levende	وزندگی	levende	وزندگی	ADJ	N;SG
levende	زندگی	levende	زندگی	ADJ	N;SG
rød	رد	rød	رد	ADJ;INDF;MASC+FEM;SG	N;SG
rød	قرمز	rød	قرمز	ADJ;INDF;MASC+FEM;SG	N;SG
rød	سرخ	rød	سرخ	ADJ;INDF;MASC+FEM;SG	N;SG
kvindelige	نسوان	kvindelig	نسوان	ADJ;PL	N;SG
kvindelige	زن	kvindelig	زن	ADJ;PL	N;SG
kvindelige	مؤنث	kvindelig	مؤنث	ADJ;PL	N;SG
kvindelige	مونث	kvindelig	مونث	ADJ;PL	N;SG
kvindelige	ماده	kvindelig	ماده	ADJ;PL	N;SG
kører	رانندگی	køre	None	V;IND;PRS;FIN;ACT	N;SG
kører	روان	køre	روان	V;IND;PRS;FIN;ACT	N;SG
kører	دویدن	køre	None	V;IND;PRS;FIN;ACT	N;SG
kører	اجرا	køre	اجرا	V;IND;PRS;FIN;ACT	N;SG
bygge	ساختن	bygge	ساختن	V;NFIN;ACT	N;SG
stille	صامت	stille	صامت	ADJ	N;SG
stille	سایلنت	stille	سایلنت	ADJ	N;SG
stille	خاموش	stille	خاموش	ADJ	N;SG
stille	خموش	stille	خموش	ADJ	N;SG
vigtigt	مهمند	vigtig	مهمند	ADJ;INDF;NEUT;SG	N;SG
elever	مردمک	elev	مردمک	N;INDF;MASC+FEM;PL	N;SG
trække	pull	trække	pull	V;NFIN;ACT	N;SG
traditionelle	سنتی	traditionel	سنت	ADJ;PL	N;SG
korte	کوتاهی	kort	کوتاه	ADJ;PL	N;SG
læge	پزشکان	læge	پزشک	N;INDF;MASC+FEM;SG	N;PL
out	بیرون	out	بیرون		ADV;ESS
out	برون	out	برون		N;SG
mangler	گمشده	mangle	گمشده	V;IND;PRS;FIN;ACT	N;SG
irland	ایرلند	irland	ایرلند	PROPN	N;SG
forekommer	رخ	forekomme	رخ	V;IND;PRS;FIN;ACT	N;SG
religiøse	دینی	religiøs	دین	ADJ;PL	N;SG
imellem	میان	imellem	میان	ADV	ADP
imellem	بین	imellem	بین	ADV	ADP
bærer	حمل	bære	حمل	V;IND;PRS;FIN;ACT	N;SG
bærer	حامل	bære	حامل	V;IND;PRS;FIN;ACT	N;SG
bærer	خوبان	bære	خوبان	V;IND;PRS;FIN;ACT	N;SG
big	بیگ	big	بیگ		N;SG
big	b	big	b		N;SG
big	بزرگ	big	بزرگ		ADJ
big	بزرگی	big	بزرگی		N;SG
rejser	مسافرت	rejse	مسافرت	N;INDF;MASC+FEM;PL	N;SG
rejser	travel	rejse	travel	N;INDF;MASC+FEM;PL	N;SG
rejser	سفر	rejse	سفر	N;INDF;MASC+FEM;PL	N;SG
rejser	سفر	rejse	سفر	N;INDF;MASC+FEM;PL	N;SG
rejser	مسافرت	rejse	مسافرت	N;INDF;MASC+FEM;PL	N;SG
ender	اندر	ende	اندر	V;IND;PRS;FIN;ACT	
straks	فورا	straks	فورا	ADV	
nærmest	نزدیکترین	nærmest	نزدیک	ADV;RL	ADJ;RL
nærmest	نزدیکترین	nærmest	نزدیک	ADV;RL	ADJ;RL
awards	جوایز	award	جایزه		N;PL
org	org	org	org		N;SG
katolske	کاتولیک	katolsk	کاتولیک	ADJ;PL	N;SG
deltage	شرکت	deltage	شرکت	V;NFIN;ACT	N;SG
song	نغمه	song	نغمه		N;SG
song	ترانه	song	ترانه		N;SG
song	اهنگ	song	اهنگ		N;SG
song	آهنگ	song	آهنگ		N;SG
song	آواز	song	آواز		N;SG
begrænset	ممنوع	begrænse	ممنوع	V;INDF;SG;PST;V.PTCP	ADJ
begrænset	محدود	begrænse	محدود	V;INDF;SG;PST;V.PTCP	ADJ
manchester	manchester	manchester	manchester	N;INDF;MASC+FEM;PL	N;SG
manchester	منچستر	manchester	منچستر	N;INDF;MASC+FEM;PL	N;SG
tyskerne	آلمانیا	tysker	آلمانیا	N;DEF;MASC+FEM;PL	N;SG
hjemme	خانه	hjemme	خانه	ADV	N;SG
hjemme	وطن	hjemme	وطن	ADV	N;SG
hjemme	خونه	hjemme	خونه	ADV	N;SG
hjemme	آغازه	hjemme	آغازه	ADV	N;SG
social	اجتماعی	social	اجتماعی	N;INDF;MASC+FEM;SG	ADJ
chris	کریس	chris	کریس		N;SG
selvstændig	خودگردان	selvstændig	خودگرد	ADJ;INDF;MASC+FEM;SG	N;SG
selvstændig	خودمختار	selvstændig	خودمختار	ADJ;INDF;MASC+FEM;SG	N;SG
ray	پرتو	ray	None		N;SG
lyngby	lyngby	lyngby	None	PROPN	N;SG
sjældent	نادره	sjældent	نادره	ADV	N;SG
sjældent	کمیاب	sjældent	کمیاب	ADV	N;SG
sjældent	نادر	sjældent	نادر	ADV	N;SG
sjældent	نادری	sjældent	نادری	ADV	N;SG
behov	نیازمند	behov	نیازمند	N;INDF;NEUT;SG	ADJ
hill	تپه	hill	تپه		N;SG
hill	هیل	hill	هیل		N;SG
enhed	دستگاهها	enhed	دستگاه	N;INDF;MASC+FEM;SG	N;PL
fuld	پر	fuld	پر	ADJ;INDF;MASC+FEM;SG	N;SG
fuld	کاملش	fuld	کاملش	ADJ;INDF;MASC+FEM;SG	N;SG
fuld	فول	fuld	فول	ADJ;INDF;MASC+FEM;SG	N;SG
fuld	پره	fuld	پره	ADJ;INDF;MASC+FEM;SG	N;SG
fuld	مستی	fuld	مستی	ADJ;INDF;MASC+FEM;SG	N;SG
fuld	مست	fuld	مست	ADJ;INDF;MASC+FEM;SG	N;SG
gods	کالاهای	gods	کالا	N;INDF;NEUT;SG	N;PL
gods	اجناس	gods	اجناس	N;INDF;NEUT;SG	N;PL
gods	کالاها	gods	کالا	N;INDF;NEUT;SG	N;PL
ført	led	føre	led	V;INDF;SG;PST;V.PTCP	N;SG
ført	رفاقت	føre	رفاقت	V;INDF;SG;PST;V.PTCP	N;SG
indført	معرفی	indføre	معرفی	V;INDF;SG;PST;V.PTCP	N;SG
edward	ادوارد	edward	ادوارد		N;SG
slå	بیت	slå	بیت	V;NFIN;ACT	N;SG
privat	خلوت	privat	None	ADJ;INDF;SG	N;SG
privat	شخصی	privat	شخص	ADJ;INDF;SG	N;SG
privat	سرباز	privat	سرباز	ADJ;INDF;SG	N;SG
privat	private	privat	private	ADJ;INDF;SG	N;SG
privat	خصوصی	privat	خصوصی	ADJ;INDF;SG	N;SG
white	سپید	white	سپید		N;SG
white	وایت	white	وایت		N;SG
white	سفید	white	سفید		ADJ
arne	آرنه	arne	آرنه	PROPN	N;SG
kontakt	آشنا	kontakt	آشنا	N;INDF;MASC+FEM;SG	ADJ
manglende	کمبود	mangle	کمبود	V;PRS;V.PTCP	N;SG
manglende	نداشتن	mangle	نداشتن	V;PRS;V.PTCP	N;SG
manglende	عدم	mangle	عدم	V;PRS;V.PTCP	N;SG
manglende	گمشده	mangle	گمشده	V;PRS;V.PTCP	N;SG
klassiske	کلاسیک	klassisk	کلاسیک	ADJ;PL	N;SG
klassiske	classic	klassisk	classic	ADJ;PL	N;SG
stigende	رشد	stige	رشد	V;PRS;V.PTCP	N;SG
stigende	افزایش	stige	افزایش	V;PRS;V.PTCP	N;SG
stigende	افزایشی	stige	افزایشی	V;PRS;V.PTCP	N;SG
stigende	طلوع	stige	طلوع	V;PRS;V.PTCP	N;SG
stigende	صعودی	stige	صعودی	V;PRS;V.PTCP	N;SG
stigende	عروج	stige	عروج	V;PRS;V.PTCP	N;SG
vor	ما	vores	ما	DET;MASC+FEM;SG;1	PRO;PL;1
føre	تقدم	føre	تقدم	V;NFIN;ACT	N;SG
føre	سرب	føre	سرب	V;NFIN;ACT	N;SG
føre	لید	føre	لید	V;NFIN;ACT	N;SG
grænse	مرزبانی	grænse	مرزبانی	N;INDF;MASC+FEM;SG	N;PL
grænse	محدود	grænse	محدود	N;INDF;MASC+FEM;SG	ADJ
forenede	یونایتد	forene	یونایت#یونا	V;PL;PST;V.PTCP	N;SG
forenede	متحد	forene	None	V;PL;PST;V.PTCP	N;SG
henning	هنینگ	henning	هنینگ		N;SG
heinrich	هاینریش	heinrich	هاینریش		N;SG
angriber	حملات	angriber	None	N;INDF;MASC+FEM;SG	N;PL
axel	اکسل	axel	اکسل		N;SG
lukket	بسته	lukke	بسته	V;INDF;SG;PST;V.PTCP	ADJ;SG;3;V.PTCP
falder	انداختن	falde	None	V;IND;PRS;FIN;ACT	N;SG
falder	آبشار	falde	آبشار	V;IND;PRS;FIN;ACT	N;SG
falder	فالز	falde	فالز	V;IND;PRS;FIN;ACT	N;SG
falder	سقوط	falde	سقوط	V;IND;PRS;FIN;ACT	N;SG
falder	پاییز	falde	پاییز	V;IND;PRS;FIN;ACT	N;SG
falder	fall	falde	fall	V;IND;PRS;FIN;ACT	N;SG
falder	افتادن	falde	افتادن	V;IND;PRS;FIN;ACT	N;SG
kender	بدانند	kende	دانست#دان	V;IND;PRS;FIN;ACT	V;SBJV;PL;3;PRS
kender	بدانید	kende	None	V;IND;PRS;FIN;ACT	V;IMP;PL;2
kender	داند	kende	دانست#دان	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS
major	عمده	major	عمده		ADJ
major	ماژور	major	ماژور		N;SG
major	سرگرد	major	سرگرد		N;SG
natten	شبها	nat	شب	N;DEF;MASC+FEM;SG	N;PL
natten	شبانه	nat	شبانه	N;DEF;MASC+FEM;SG	ADV
romersk	روم	romersk	None	N;INDF;MASC+FEM;SG	
indsats	تلاشهای	indsats	تلاش	N;INDF;MASC+FEM;SG	N;PL
indsats	تلاشها	indsats	تلاش	N;INDF;MASC+FEM;SG	N;PL
madrid	مادرید	madrid	مادرید	PROPN	N;SG
finske	فنلاندی	finsk	None	ADJ;PL	N;SG
finske	فنلاند	finsk	None	ADJ;PL	N;SG
rum	فضاهای	rum	فضا	N;INDF;NEUT;SG	N;PL
rum	اتاقها	rum	اتاق	N;INDF;NEUT;SG	N;PL
rum	اتاقهای	rum	اتاق	N;INDF;NEUT;SG	N;PL
omfattede	شامل	omfatte	شامل	V;IND;PST;FIN;ACT	ADJ
johann	یوهان	johann	یوهان		N;SG
farver	رنگ	farve	رنگ	N;INDF;MASC+FEM;PL	N;SG
farver	رنگ	farve	رنگ	N;INDF;MASC+FEM;PL	N;SG
emil	امیل	emil	None		N;SG
toppen	بالا	top	بالا	N;DEF;MASC+FEM;SG	ADV;ESS
indledende	آغازی	indlede	None	V;PRS;V.PTCP	N;SG
indledende	آغازین	indlede	None	V;PRS;V.PTCP	ADJ
indledende	مقدماتی	indlede	مقدمه	V;PRS;V.PTCP	N;PL
opgaver	تکالیف	opgave	تکالیف	N;INDF;MASC+FEM;PL	N;SG
opgaver	تکالیف	opgave	تکالیف	N;INDF;MASC+FEM;PL	N;SG
internationalt	اینترنشنال	international	اینترنشنال	ADJ;INDF;NEUT;SG	N;SG
internationalt	بینالمللی	international	بینالمللی	ADJ;INDF;NEUT;SG	N;SG
internationalt	جهانی	international	جهانی	ADJ;INDF;NEUT;SG	N;SG
ringe	تماس	ringe	تماس	V;NFIN;ACT	N;SG
ringe	حلقه	ringe	حلقه	V;NFIN;ACT	N;SG
ringe	رینگ	ringe	None	V;NFIN;ACT	N;SG
ringe	انگشتر	ringe	انگشتر	V;NFIN;ACT	N;SG
ringe	حلقه	ringe	حلقه	V;NFIN;ACT	N;SG
professionelle	حرفهای	professionel	حرف	ADJ;PL	N;PL
koncerter	کنسرت	koncert	کنسرت	N;INDF;MASC+FEM;PL	N;SG
ødelagt	خراب	ødelægge	None	V;INDF;SG;PST;V.PTCP	ADJ
ødelagt	شکسته	ødelægge	شکسته	V;INDF;SG;PST;V.PTCP	ADJ;SG;3;V.PTCP
jøder	یهود	jøde	یهود	N;INDF;MASC+FEM;PL	N;SG
jøder	یهودی	jøde	یهودی	N;INDF;MASC+FEM;PL	N;SG
jøder	یهود	jøde	یهود	N;INDF;MASC+FEM;PL	N;SG
jøder	یهودی	jøde	یهودی	N;INDF;MASC+FEM;PL	N;SG
rasmus	راسموس	rasmus	راسموس		N;SG
leje	اقساط	leje	اقساط	N;INDF;MASC+FEM;SG	N;PL
etc	غیره	etc	غیره		N;SG
pladser	صندلی	plads	صندلی	N;INDF;MASC+FEM;PL	N;SG
varer	کالا	vare	کالا	N;INDF;MASC+FEM;PL	N;SG
grønne	گرین	grøn	گرین	ADJ;PL	N;SG
udstyret	مجهز	udstyre	None	V;INDF;SG;PST;V.PTCP	N;SG
teknisk	فنی	teknisk	فنی	ADJ;INDF;SG	N;SG
teknisk	تکنیکی	teknisk	تکنیکی	ADJ;INDF;SG	N;SG
undersøgelser	مکرر	undersøgelse	مکرر	N;INDF;MASC+FEM;PL	ADJ
starter	شروع	starte	شروع	V;IND;PRS;FIN;ACT	N;SG
starter	آغاز	starte	آغاز	V;IND;PRS;FIN;ACT	N;SG
starter	استارتر	starte	استارتر	V;IND;PRS;FIN;ACT	N;SG
starter	شروع	starte	شروع	V;IND;PRS;FIN;ACT	N;SG
starter	آغاز	starte	آغاز	V;IND;PRS;FIN;ACT	N;SG
årtier	دهه	årti	دهه	N;INDF;NEUT;PL	N;SG
williams	ویلیامز	william	ویلیامز		N;SG
kanoner	کانن	kanon	کانن	N;INDF;MASC+FEM;PL	N;SG
populær	عامه	populær	عامه	ADJ;INDF;MASC+FEM;SG	N;SG
populær	محبوبه	populær	محبوبه	ADJ;INDF;MASC+FEM;SG	N;SG
populær	محبوب	populær	محبوب	ADJ;INDF;MASC+FEM;SG	N;SG
studerende	دانشجویان	studere	دانشجو	V;PRS;V.PTCP	N;PL
studerende	محصل	studere	محصل	V;PRS;V.PTCP	N;SG
studerende	شاگرد	studere	شاگرد	V;PRS;V.PTCP	N;SG
studerende	دانشجو	studere	دانشجو	V;PRS;V.PTCP	N;SG
tekster	شعر	tekster	شعر	N;INDF;MASC+FEM;PL	N;SG
blue	کبود	blue	کبود#کن		N;SG
blue	آبی	blue	آبی		ADJ
blue	بلو	blue	بلو		N;SG
etablerede	تمکین	etablere	تمکین	V;PL;PST;V.PTCP	N;SG
hollandske	هلندی	hollandsk	هلندی	ADJ;PL	N;SG
hollandske	داچ	hollandsk	داچ	ADJ;PL	N;SG
hollandske	هلند	hollandsk	هلند	ADJ;PL	N;SG
kinesisk	چینی	kinesisk	چینی	ADJ;INDF;SG	N;SG
ens	esa	ens	esa	ADJ	N;SG
trådte	واردشده	træde	واردشده	V;IND;PST;FIN;ACT	ADJ;SG;3;V.PTCP
war	جنگ	war	جنگ		N;SG
war	جنگی	war	جنگی		N;SG
årligt	سالانه	årligt	سالانه	ADV	ADJ
årligt	سالیانه	årligt	سالیانه	ADV	ADJ
årligt	سالانه	årligt	سالانه	ADV	ADJ
årligt	سالیانه	årligt	سالیانه	ADV	ADJ
offentlig	همگانی	offentlig	همگانی	ADJ;INDF;MASC+FEM;SG	N;SG
offentlig	public	offentlig	public	ADJ;INDF;MASC+FEM;SG	N;SG
størstedelen	عمده	størstedel	عمده	N;DEF;MASC+FEM;SG	ADJ
pige	girl	pige	girl	N;INDF;MASC+FEM;SG	
grundlæggende	مبانی	grundlæggende	مبنا	ADJ	N;PL
grundlæggende	اصول	grundlæggende	اصل	ADJ	N;PL
grundlæggende	بنیادی	grundlæggende	بنیادی	ADJ	N;SG
grundlæggende	پایه	grundlæggende	پایه	ADJ	N;SG
grundlæggende	پکیج	grundlæggende	پکیج	ADJ	N;SG
grundlæggende	بیسیک	grundlæggende	بیسیک	ADJ	N;SG
lavere	پایینی	lav	پایینی	ADJ;CMPR	N;SG
ønske	کاش	ønske	کاش	N;INDF;NEUT;SG	ADV
jackson	جکسون	jackson	جکسون		N;SG
oprette	ایجاد	oprette	ایجاد	V;NFIN;ACT	N;SG
oprette	ایجاد	oprette	ایجاد	V;NFIN;ACT	N;SG
mads	مدس	mads	مدس		N;SG
forsøger	تلاش	forsøge	تلاش	V;IND;PRS;FIN;ACT	N;SG
forsøger	سعی	forsøge	سعی	V;IND;PRS;FIN;ACT	N;SG
ophold	بمان	ophold	None	N;INDF;NEUT;SG	V;IMP;SG;2
ophold	بمانی	ophold	بمانی	N;INDF;NEUT;SG	V;IMP;2
ophold	بمانم	ophold	ممتم	N;INDF;NEUT;SG	V;SBJV;SG;1;PRS
ophold	بمانید	ophold	None	N;INDF;NEUT;SG	V;SBJV;PL;2;PRS
kinesiske	چینی	kinesisk	چینی	ADJ;PL	N;SG
champions	قهرمانان	champions	قهرمان	N;INDF;MASC+FEM;SG	N;PL
tidlig	پگاه	tidlig	None	ADJ;INDF;MASC+FEM;SG	N;SG
tidlig	اوایل	tidlig	اول	ADJ;INDF;MASC+FEM;SG	N;PL
diverse	متفرقه	diverse	متفرقه	ADJ	N;SG
primære	ابتدایی	primær	ابتدایی	ADJ;PL	N;SG
ankom	رسیدن	ankomme	رسیدن	V;IND;PST;FIN;ACT	N;SG
ankom	رسید	ankomme	رسید#رس	V;IND;PST;FIN;ACT	N;SG
egypten	مصر	egypt	مصر	PROPN	N;SG
kraftigt	قوی	kraftigt	قوی	ADV	ADJ
kraftigt	توانا	kraftigt	None	ADV	N;SG
kraftigt	نیرومند	kraftigt	نیرومند	ADV	ADJ
kraftigt	پرقدرت	kraftigt	پرقدرت	ADV	ADJ
kraftigt	قدرتمند	kraftigt	قدرتمند	ADV	N;SG
jødiske	یهود	jødisk	یهود	ADJ;PL	N;SG
jødiske	یهودیان	jødisk	یهودی	ADJ;PL	N;PL
jødiske	یهودی	jødisk	یهودی	ADJ;PL	N;SG
drift	عملیات	drift	عملیات	N;INDF;MASC+FEM;SG	N;PL
holm	هولم	holm	هولم		
vokser	رشد	vokse	رشد	V;IND;PRS;FIN;ACT	N;SG
vokser	رشد	vokse	رشد	V;IND;PRS;FIN;ACT	N;SG
grader	درجه	grad	درجه	N;INDF;MASC+FEM;PL	N;SG
talrige	بیشماری	talrig	بیشماری	ADJ;PL	N;SG
medier	رسانه	medie	رسانه	N;INDF;NEUT;PL	N;SG
industri	صنایع	industri	صنعت	N;INDF;MASC+FEM;SG	N;PL
real	رئال	real	رئال		N;SG
real	حقیقی	real	حقیقی		N;SG
real	واقعی	real	واقعی		ADJ
lav	make	lav	make	V;IMP	
lav	را	lav	را	V;IMP	PART
lav	کم	lav	کم	V;IMP	ADJ
lav	low	lav	low	V;IMP	N;SG
flytte	حرکت	flytte	حرکت	V;NFIN;ACT	N;SG
deltager	حاضرین	deltage	حاضرین	V;IND;PRS;FIN;ACT	N;PL
deltager	شرکت	deltage	شرکت	V;IND;PRS;FIN;ACT	N;SG
frit	free	frit	free	ADV	N;SG
frit	آزادی	frit	آزادی	ADV	N;SG
frit	رایگان	frit	None	ADV	N;SG
frit	آزاده	frit	آزاده	ADV	N;SG
frit	آزاد	frit	آزاد	ADV	ADJ
faste	روزه	fast	روزه	ADJ;PL	N;SG
faste	معین	fast	معین	ADJ;PL	N;SG
brigade	الرسول	brigade	الرسول	N;INDF;MASC+FEM;SG	
argentina	آرژانتین	argentina	آرژانتین	PROPN	N;SG
argentina	آرژانتین	argentina	آرژانتین	PROPN	N;SG
argentina	آرژانتینی	argentina	آرژانتینی	PROPN	N;SG
procent	درصد	procent	درصد	N;INDF;MASC+FEM;PL	N;SG
procent	درصدی	procent	درصدی	N;INDF;MASC+FEM;PL	N;SG
procent	درصد	procent	درصد	N;INDF;MASC+FEM;PL	N;SG
læse	خواندن	læse	خواندن	V;NFIN;ACT	N;SG
læse	خواندن	læse	خواندن	V;NFIN;ACT	N;SG
læse	قرائت	læse	قرائت	V;NFIN;ACT	N;SG
fjerne	حذف	fjerne	حذف	V;NFIN;ACT	N;SG
fjerne	حذف	fjerne	حذف	V;NFIN;ACT	N;SG
klassisk	کلاسیک	klassisk	کلاسیک	ADJ;INDF;SG	N;SG
klassisk	کلاسیک	klassisk	کلاسیک	ADJ;INDF;SG	N;SG
klassisk	classic	klassisk	classic	ADJ;INDF;SG	N;SG
tyrkiet	ترکیه	tyrki	ترکیه	PROPN	N;SG
tyrkiet	ترکی	tyrki	ترکی	PROPN	N;SG
tyrkiet	بوقلمون	tyrki	بوقلمون	PROPN	N;SG
serier	سری	serie	سری	N;INDF;MASC+FEM;PL	N;SG
afstand	گسترۀ	afstand	گسترۀ	N;INDF;MASC+FEM;SG	
tilsyneladende	آشکار	tilsyneladende	آشکار	ADV	ADJ
tilsyneladende	ظاهری	tilsyneladende	ظاهری	ADV	N;SG
herning	هرنینگ	herning	هرنینگ		N;SG
basis	پایه	basis	پایه		N;SG
basis	مبنا	basis	مبنا		N;SG
basis	پایگاه	basis	None		N;SG
basis	پایه	basis	پایه		N;SG
ordre	دستورات	ordre	دستور	N;INDF;MASC+FEM;SG	N;PL
vælge	انتخاب	vælge	انتخاب	V;NFIN;ACT	N;SG
vælge	انتخاب	vælge	انتخاب	V;NFIN;ACT	N;SG
vælge	انتخاب	vælge	انتخاب	V;NFIN;ACT	N;SG
vælge	برگزیدن	vælge	بر#گز	V;NFIN;ACT	N;SG
køre	درایو	køre	درایو	V;NFIN;ACT	N;SG
køre	رانندگی	køre	None	V;NFIN;ACT	N;SG
køre	سوق	køre	سوق	V;NFIN;ACT	N;SG
køre	رانندگی	køre	None	V;NFIN;ACT	N;SG
sir	آقا	sige	آقا		N;SG
sir	اقا	sige	اقا		N;SG
sir	قربان	sige	قربان		N;SG
svar	جوابها	svar	جواب	N;INDF;NEUT;SG	N;PL
svar	پاسخها	svar	پاسخ	N;INDF;NEUT;SG	N;PL
svar	جوابهای	svar	جواب	N;INDF;NEUT;SG	N;PL
svar	پاسخهای	svar	پاسخ	N;INDF;NEUT;SG	N;PL
green	سبز	gre	سبز		ADJ
green	گرین	gre	گرین		N;SG
sachsen	زاکسن	sachsen	زاکسن	PROPN	N;SG
rigtig	رئال	rigtig	رئال	ADV	N;SG
rigtig	حقیقی	rigtig	حقیقی	ADV	N;SG
rigtig	واقعی	rigtig	واقعی	ADV	ADJ
naturlige	natural	naturlig	natural	ADJ;PL	N;SG
eksisterende	موجود	eksistere	موجود	V;PRS;V.PTCP	ADJ
rowspan	rowspan	rowspan	rowspan		N;SG
publikum	حضار	publikum	حضار	N;INDF;NEUT;SG	N;PL
hav	بحر	hav	بحر	N;INDF;NEUT;SG	
brian	براین	brian	براین		ADP
brian	برایان	brian	برایان		N;SG
tilhørende	مرتبط	tilhørende	مرتبط	ADJ	N;SG
kæmpe	بزرگی	kæmpe	بزرگی	ADJ	N;SG
kæmpe	غول	kæmpe	غول	ADJ	N;SG
kæmpe	جنگیدن	kæmpe	None	ADJ	N;SG
kæmpe	دعوا	kæmpe	None	ADJ	N;SG
kæmpe	بجنگ	kæmpe	بجنگ	ADJ	N;SG
lette	سهولت	let	None	ADJ;PL	N;SG
lette	آسانی	let	None	ADJ;PL	N;SG
lette	گشایش	let	گشایش	ADJ;PL	N;SG
slet	حذف	slet	حذف	ADV	N;SG
nødvendigt	واجب	nødvendig	واجب	ADJ;INDF;NEUT;SG	N;SG
bragte	آوردن	bringe	آوردن	V;IND;PST;FIN;ACT	N;SG
barcelona	بارسلون	barcelona	بارسلون		N;SG
barcelona	بارسلونا	barcelona	بارسلونا		N;SG
originale	اصیل	original	None	ADJ;PL	N;SG
originale	اوریجینال	original	اوریجینال	ADJ;PL	N;SG
tvunget	اجباری	tvinge	اجباری	V;INDF;SG;PST;V.PTCP	N;SG
tvunget	اجبار	tvinge	اجبار	V;INDF;SG;PST;V.PTCP	N;SG
grundlagde	بنیان	grundlægge	None	V;IND;PST;FIN;ACT	N;SG
blomster	گل	blomst	گل	N;INDF;NEUT;PL	N;SG
elektrisk	برق	elektrisk	برق	ADJ;INDF;SG	N;SG
elektrisk	electrical	elektrisk	electrical	ADJ;INDF;SG	N;SG
elektrisk	الکتریکی	elektrisk	الکتریکی	ADJ;INDF;SG	N;SG
elektrisk	برقی	elektrisk	برق	ADJ;INDF;SG	N;SG
elektrisk	الکتریکی	elektrisk	الکتریکی	ADJ;INDF;SG	N;SG
elektrisk	الکتریک	elektrisk	الکتریک	ADJ;INDF;SG	N;SG
polske	لهستانی	polsk	لهستانی	ADJ;PL	N;SG
statistik	آمارهای	statistik	آمار	N;INDF;MASC+FEM;SG	N;PL
anerkendt	تصدیق	anerkende	تصدیق	V;INDF;SG;PST;V.PTCP	N;SG
fuldt	پر	fuldt	پر	ADV	N;SG
fuldt	کاملش	fuldt	کاملش	ADV	N;SG
fuldt	سرشار	fuldt	سرشار	ADV	ADJ
fuldt	فول	fuldt	فول	ADV	N;SG
fuldt	پره	fuldt	پره	ADV	N;SG
ring	حلقه	ring	حلقه	V;IMP	N;SG
ring	رینگ	ring	None	V;IMP	N;SG
ring	انگشتر	ring	انگشتر	V;IMP	N;SG
ring	بخوانید	ring	خواند#خوان	V;IMP	V;SBJV;PL;2;PRS
ring	تماس	ring	تماس	V;IMP	N;SG
dør	بمیرم	dø	None	V;IND;PRS;FIN;ACT	V;SBJV;SG;1;PRS
dør	بمیرد	dø	مرد#میر	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS
dør	بمیر	dø	بمیر	V;IND;PRS;FIN;ACT	V;IMP;SG;2
dør	در	dø	در	V;IND;PRS;FIN;ACT	ADP
dør	بمیرد	dø	مرد#میر	V;IND;PRS;FIN;ACT	V;SBJV;SG;3;PRS
ske	قاشق	ske	قاشق	V;NFIN;ACT	N;SG
dømt	محکوم	dømme	محکوم	V;INDF;SG;PST;V.PTCP	ADJ
dømt	محکوم	dømme	محکوم	V;INDF;SG;PST;V.PTCP	ADJ
opdaget	کشف	opdage	کشف	V;INDF;SG;PST;V.PTCP	N;SG
opdaget	خالدار	opdage	خالدار	V;INDF;SG;PST;V.PTCP	N;SG
brand	براند	brand	رساند#ران	N;INDF;MASC+FEM;SG	V;SBJV;SG;3;PRS
brand	برند	brand	None	N;INDF;MASC+FEM;SG	V;SBJV;PL;3;PRS
senest	جدیدترین	senest	None	ADV;RL	ADJ;RL
senest	آخرین	senest	آخرین	ADV;RL	ADJ;RL
pdf	pdf	pdf	pdf	V;IMP	N;SG
bjørn	بیر	bjørn	بیر	N;INDF;MASC+FEM;SG	INTJ
nærmere	نزدیکتر	nærmere	نزدیک	ADV;CMPR	ADJ;CMPR
undervisning	تحصیلات	undervisning	تحصیل	N;INDF;MASC+FEM;SG	N;PL
kæmpede	جهاد	kæmpe	جهاد	V;IND;PST;FIN;ACT	N;SG
texas	تکزاس	texas	تکزاس	PROPN	N;SG
texas	تگزاس	texas	تگزاس	PROPN	N;SG
hundrede	صد	hundrede	صد	N;INDF;NEUT;SG	NUM
numre	عدد	nummer	عدد	N;INDF;NEUT;PL	N;SG
nationalyears	nationalyears	nationaly	nationalyears		N;SG
konkurrence	رقابتهای	konkurrence	رقابت	N;INDF;MASC+FEM;SG	N;PL
konkurrence	رقابتها	konkurrence	رقابت	N;INDF;MASC+FEM;SG	N;PL
